ウォーコー・ゾーモー 	 Worqor Zormor
とある街 	 A Faraway Place
実り豊かな大地 	 Land of Eternal Harvest
彩り豊かな入江 	 Cove of Countless Colors
歪な岩の谷 	 Valley of Living Stone
霧深き海 	 Veil of Mist
中央広場 	 Font of Paths Aplenty
街道の休息地 	 Caravan Campsite
日向へ続く広場 	 Sun-teased Cavern
街を望む丘 	 Jealous Slope
赤石の間 	 Ruby Receiving Room
眠り火の間 	 Smoldering Bedchamber
七色の浜 	 Seven-shade Sands
虹の演舞台 	 Shimmering Stage
人魚の石舞台 	 Sea-maid's Mirror
野盗のたまり場 	 Den of Thieves
古びたねぐら 	 Old Nest
剛剣の試し場 	 Wound of the Heavens
朽ちた家屋 	 Overgrown Dwelling
街外れの裏通り 	 Beckoning Backstreet
賑やかな市場 	 Bountiful Bazaar
正門通り 	 Tiled Thoroughfare
実り豊かな大地 	 Land of Eternal Harvest
ブドウ畑 	 Ever-ripe Vineyard
棄てられた宮殿 	 Palace of the Spurned
隠遁者の膝元 	 Anchorite's Auspice
彩り豊かな入江 	 Cove of Countless Colors
歪な岩の谷 	 Valley of Living Stone
磁力の洞窟 	 Passage of Earth
浮かび岩の山道 	 Passage of Sky
修行者たちの道 	 Little-traveled Path
誰もいない村 	 Village of No One
虚の海 	 Land of Sea
リング・オブ・アルカディア 	 Arcadia
惑星オイジュス 	 Oizys
メガリスポリス 	 Megalithopolis
凪去った砂漠 	 Erg Eris
リフティング・レグ 	 The Regolift
ケープ・ゲーラス 	 Cape Geras
モロス・ウェル 	 The Moros Well
藍裂の幽陸 	 Shadefleet
翠核の谷 	 Emerald Echoes
立盾の壁 	 Shielding Wall
虚空の壁 	 Falsifying Wall
圧壊した坑道 	 Collapsed Tunnel
ロングロスト・キャロット 	 Long-lost Carrot
先駆者のオアシス 	 Foregone Oasis
極束の浜 	 Sound Pole
テラ・ファーマ基地 	 Terra Firma
因果の井戸端 	 Event Rise
アンカーマウンテン 	 Unmoored Anchor
藍裂の小丘 	 Indigo Flagship
デザート・バロー遺跡 	 Desert Burrow
先駆者のオアシス 	 Foregone Oasis
メガリスポリス東 	 Megalithopolis
極界の水平線 	 Magnetic Horizon
圧壊した坑道東 	 Collapsed Tunnel
モロス・ウェル 	 The Moros Well
藍裂の裂界 	 Under Overboard
サブターレイン 	 The Subterrain
ウォーコー・チーテ 	 Worqor Chirteh
戦略目標地01 	 Triumph 1
戦略目標地03 	 Triumph 3
戦略目標地02 	 Triumph 2
戦略目標地04 	 Triumph 4
戦略目標地05 	 Triumph 5
戦略目標地06 	 Triumph 6
戦略目標地07 	 Triumph 7
戦略目標地08 	 Triumph 8
戦略目標地09 	 Triumph 9
戦略目標地10 	 Triumph 10
戦略目標地11 	 Triumph 11
戦略目標地12 	 Triumph 12
睡蓮湖近郊 	 Lilyswim
ムーンゲート基地 	 Moongate Hub
キャラバシュ・コーヴ 	 Calabash Cove
ウェディングウェイの式園 	 Weddingway's Bower
グリーミングマウンテン 	 Gleamslope
ルナ・ネイディア 	 Lunar Nadir
グラスブロワーズ基地 	 Glassblowers' Beacon
イリデセント・ステップス 	 Iridized Rise
硝礫の川浜 	 The Saltpeter Shore
カプセル・カズム 	 Capsule Chasm
フュージングウェイ・ヴェント 	 Fusingway Vent
テラ・ファーマ基地 	 Terra Firma
リフティング・レグ北西 	 Northwestern Regolift
ケープ・ゲーラス 	 Cape Geras
藍裂の幽陸 	 Shadefleet
デザート・バロー遺跡 	 Desert Burrow
広場への道 	 Unfamiliar Street
入江へ続く洞窟 	 Prismatic Cave
虚の海 	 Land of Sea
路地裏の広場 	 Font of Earthly Treasures
路地裏の広場 	 Font of Earthly Treasures
ドーゲーウォーの野営地 	 Dorgerwor the Astute
祭陽殿跡 	 Singing Stone
チーテ野城跡 	 Chirteh's Keep
ジィゴ岩砦 	 Zirgor
雪見の丘 	 Argent Overlook
ヴァデー岩砦 	 Vahder
雪水の泉 	 Snowmelt
異聞商客物語 	 Another Merchant's Tale
