エンピレアム 	 Empyreum
昏き微睡の間 	 Slumbering Canopy
神子の祭壇 	 Kairimai Loquloqai
遺忘の史跡 	 Ancestral Pavilion
名もなき白浜 	 Silver-white Sands
波食い洞 	 Waveater Cave
テサタの入り江 	 Tesata Bay
船食いのトンボロ 	 Shipwreck Shoal
髭の岬 	 Baleen Cape
痕の沼地 	 Abiding Wetlands
算命樹の麓 	 Incalculable Roots
樹上の道 	 Boughsplane
算術士の洞 	 The Arithmetician's Cup
算命樹の樹冠 	 Incalculable Heights
木像の道 	 Aloqulo Thickets
巡礼の場 	 Sacred Site
夢見の地下道 	 Dreaming Halls
古き参道 	 Ancient Trail
霧の道 	 Shrouded Bridge
神子の祭祀場 	 The Speaker's Realm
異聞アロアロ島 	 Another Aloalo Island
ディルムの層 	 Dilumu
クルペの層 	 Qurupe
ノコセロの層 	 Nokosero
ディルムの狭間 	 Sands of Morn
クルペの狭間 	 Roots of Gloam
ディルムの試練 	 Dawn Trial
クルペの試練 	 Dusk Trial
ノコセロの試練 	 Midnight Trial
ディルムの道 	 Dalu Dilumu
クルペの道 	 Dalu Qurupe
ノコセロの道 	 Dalo Nokosero
●ハーム島研究施設前 	 ●ハーム島研究施設前
サイバイ洞周辺 	 Saibai Cavern
ブロンズレイク北西湖底 	 Northwest Bronze Lake Depths
月の地下渓谷 	 The Lunar Subterrane
月の地下渓谷 	 The Lunar Subterrane
バロンの町 	 Baron
バロン城 	 Baron Castle
クリスタル広場 	 Cloven Crystal Square
バロン城正門 	 Bloodied Barbican
バロン城中庭 	 Carnelian Courtyard
月の地下渓谷 	 The Lunar Subterrane
バロンの町 	 Baron
バロン城 	 Baron Castle
赤き月の底 	 The Abyssal Fracture
詩想空間 	 The Memory of Embers
華めく神域 タレイア 	 Thaleia
水天 	 Heaven of Water
知神の水郷 	 Mind's Libation
風天 	 Heaven of Wind
旅神の霊峰 	 Mythic Mountains
オシュオン神殿 	 The Wanderer's Heights
オムファロス 	 The Omphalos
星天 	 Highest Heaven
水天 	 Heaven of Water
知神の水郷 	 Mind's Libation
風天 	 Heaven of Wind
旅神の霊峰 	 Mythic Mountains
オムファロス 	 The Omphalos
星天 	 Highest Heaven
知恵の河 	 River of Knowledge
大洋の虚 	 Briny Deep
風の通り道 	 Windward Pass
オシュオン神殿 	 The Wanderer's Heights
祝福の天球 	 The Twelve's Embrace
導きの水廊 	 Way of the Wise
六天座の門 	 Seventh Gate
六天座の階 	 Stairway to the Seventh
水晶の地底湖 	 Mother Lode
ゴルベーザの記憶 	 What Once Was
渓谷の底 	 Darkened Vestibule
ブランダーヴィルスクウェア 	 Blunderville Square
ブランダーヴィル 	 Blunderville
マンダヴィルフィーバー 	 Gentlebean's Fever
マンダヴィルパレード 	 Manderville-can Parade
マンダヴィルスピナー 	 The Gold Swiveller
マンダヴィルキャッスル 	 Saucery Siege
マンダヴィルマウンテン 	 Manderville Mountain
マンダヴィルロビー 	 Lobbyville
早足の浜 	 Swiftstep Beach
忘れられた道 	 Forgotten Footfalls
算命樹の枝 	 Incalculable Boughs
