ギルドリーヴ 	 Levemete
[巴術士ギルド] 	 Mealvaan's Gate
(Arcanists' Guild)
レストラン「ビスマルク」 	 The Bismarck
レストラン「ビスマルク」
[調理師ギルド] 	 The Bismarck
(Culinarians' Guild)
ナルディク＆ヴィメリー社 	 Naldiq & Vymelli's
ナルディク＆ヴィメリー社
[鍛冶師ギルド]
[甲冑師ギルド] 	 Naldiq & Vymelli's
(Blacksmiths' Guild)
(Armorers' Guild)
巴術士ギルド 	 Arcanists' Guild
網倉 	 Fisherman's Bottom
網倉
[漁師ギルド] 	 Fisherman's Bottom
(Fishermen's Guild)
溺れた海豚亭 	 The Drowning Wench
溺れた海豚亭
[冒険者ギルド] 	 The Drowning Wench
(Adventurers' Guild)
魚商｢ハイアライン｣ 	 The Hyaline
薬舗｢セブンスセージ｣ 	 The Seventh Sage
永遠の乙女亭 	 The Missing Member
調理師ギルド 	 Culinarians' Guild
ミズンマスト 	 The Mizzenmast
アドミラルブリッジ 	 The Bridge
アドミラルブリッジ：作戦指揮所 	 Stateroom
アドミラルブリッジ：作戦会議室 	 Briefing Room
リムサ・ロミンサ・ランディング 	 Airship Landing
チョコボ留 	 Chocobokeep
ポラリス灯台 	 Pharos Polaris
フェリードック 	 Ferry Docks
養殖場 	 The Barrel
競売所 	 Auction House
クロウズリフト 	 Crow's Lift
ブルワークホール 	 Bulwark Hall
宿屋「ミズンマスト」 	 Mizzenmast Inn
漁師ギルド 	 Fishermen's Guild
ゼファー陸門 	 Zephyr Gate
テンペスト陸門 	 Tempest Gate
アフトカースル 	 The Aftcastle
エーテライト・プラザ 	 Limsa Lominsa Aetheryte Plaza
八分儀広場 	 The Octant
アンカーヤード 	 Anchor Yard
鰺刺大橋 	 Procession of Terns
国際街広場 	 Hawkers' Round
東国際街商通り 	 East Hawkers' Alley
西国際街商通り 	 West Hawkers' Alley
ランプレイ橋廊 	 The Lamprey's Leap
ミノウ橋廊 	 The Minnow's Leap
中央管区 	 Central Limsa Lominsa
北管区 	 Northern Islands
船長区 	 Captains Ward
南管区 	 Southern Islands
水兵区 	 Sailors Ward
商業区 	 Market Wards
船着場：リムサ・ロミンサ 	 Lominsan Ferry Docks
黒渦団：軍令部 	 Maelstrom Command
黄撫子の扉 	 Carnation Door
閉ざされた扉 	 Sealed Door
閉ざされた扉 	 Sealed Door
避難地の主門 	 Runstop Headgate
避難地の内門 	 Runstop Gutgate
避難地の裏門 	 Runstop Backgate
野営地の主門 	 Longstop Headgate
船長室の扉 	 Captain's Quarters
冒険者ギルド前（鍛冶師・甲冑師ギルド/黒渦団） 	 The Aftcastle
調理師ギルド前（レストラン「ビスマルク」） 	 Culinarians' Guild
斧術士ギルド前（コーラルタワー） 	 Marauders' Guild
マーケット（国際街広場） 	 Hawkers' Alley
漁師ギルド前（双剣士ギルド） 	 Fishermen's Guild
巴術士ギルド前（フェリードック） 	 Arcanists' Guild
ゼファー陸門（中央ラノシア方面） 	 Zephyr Gate (Middle La Noscea)
テンペスト陸門（低地ラノシア方面） 	 Tempest Gate (Lower La Noscea)
冒険者ギルド前 	 Adventurers' Guild
呪術士ギルド前 	 Thaumaturges' Guild
剣術士ギルド前（コロセウム） 	 Gladiators' Guild
採掘師ギルド前（ブルースカイ） 	 Miners' Guild
錬金術師ギルド前 	 Alchemists' Guild
裁縫師ギルド前 	 Weavers' Guild
ウルダハ王政庁 	 The Chamber of Rule
ナナモ新門（西ザナラーン方面） 	 Gate of the Sultana (Western Thanalan)
ナル大門（中央ザナラーン北方面） 	 Gate of Nald (Central Thanalan)
ザル大門（中央ザナラーン南方面） 	 Gate of Thal (Central Thanalan)
弓術士ギルド前 	 Archers' Guild
マーケット（革細工師ギルド前） 	 Leatherworkers' Guild & Shaded Bower
槍術士ギルド前 	 Lancers' Guild
幻術士ギルド前 	 Conjurers' Guild
園芸師ギルド前 	 Botanists' Guild
ミィ・ケット野外音楽堂 	 Mih Khetto's Amphitheatre
彫金師ギルド前 	 Goldsmiths' Guild
サイレントガーデン 	 The Silent Garden
ロングホール 	 The Long Hall
旅人の桟橋 	 Point of Peregrination
水上庭園 	 Still Waters
無限回廊 	 The Endless Rise
旅人の安息所 	 The Final Ease
ワンダラーチャントリー 	 The Chantry
金地金の沼 	 Golden Pools
無銭の洞窟 	 The Empty Pocket
黄水湖 	 Bile Lake
守衛の罠 	 The Trap
守衛の詰所 	 The Lock
金庫の扉 	 The Banded Lid
徴税人の金庫 	 Coincounter's Chest
守銭奴の住処 	 The Miser's Hold
守銭奴の蔵 	 The Miser's Take
門兵詰所 	 Guardhouse
チョコボ房 	 Chocobo Stables
虎口 	 The Gullet
大広間 	 Grand Hall
龍息の瀧 	 Dragonbreath Falls
衛兵食房 	 Feasting Hall
衛兵宿房 	 Knights' Quarters
聖ダナフェン礼拝堂 	 Altar to Saint Daniffen
練兵広場 	 Training Hall
太陽のテラス 	 The Sun Terrace
タタメフII世の祈祷所 	 The Oratory of Tatamefu II
ララフトI世の中庭 	 The Rosarium of Lalafuto I
ララフトIV世の地下神殿 	 The Adytum of Lalafuto IV
武力の間 	 The Vault of Steel
巨富の間 	 The Vault of Wealth
魔力の間 	 The Vault of Aether
知恵の間 	 The Vault of Secrets
ララフトIII世の中庭 	 The Rosarium of Lalafuto III
審理の間 	 The Inquisitor's Measure
メメト女王の祈祷所 	 The Oratory of Memeto the Meek
太陽神アーゼマの間 	 The Cameral Chamber
祈祷所の扉 	 Inner Sanctum Gate
閉ざされた扉 	 Sealed Door
閉ざされた扉 	 Sealed Door
閉ざされた扉 	 Sealed Door
閉ざされた門扉 	 Sealed Door
閉ざされた扉 	 Sealed Door
地下神殿の扉 	 Lower Sanctum Gate
武力の扉 	 Vault of Steel
巨富の扉 	 Vault of Wealth
魔力の扉 	 Vault of Aether
知恵の扉 	 Vault of Secrets
審理の扉 	 Path to Retribution
渇水の層 	 The Dry Sands
湧水の層 	 The Wet Sands
青燐水の層 	 The Blue Sands
飽食の前室 	 Feeding Pit
沈殿せし中室 	 Sunken Antechamber
大喰王の玄室 	 Craver's Den
埋門 	 Chocobo Stables Gate
大手門 	 Gullet Gate
応門 	 Grand Hall Gate
食房の扉 	 Feasting Hall Gate
魔導フィールドⅣ 	 Level IV Magitek Field
1F 	 Ground Level
B1F 	 First Drop
ウルヴズピット 	 The Wolf Pit
ファングケージ 	 Fang Cage
クロウケージ 	 Claw Cage
遺跡入口 	 Sanctum Entrance
埋没遺跡 	 Inner Sanctum
地下遺跡 	 Lower Sanctum
大十字の広間 	 The Crossroads
腐汁の迷宮 	 Path of Decay
異界の迷宮 	 Path of Vice
煉獄の迷宮 	 Path of Redemption
昇天の歩廊 	 Walk of Ascension
死者の浴室 	 Pools of Demise
入口（仮） 	 入口（仮）
愚者の浴室 	 Pools of Folly
腐王の廟堂 	 Hall of the Tainted
嘆声の歩廊 	 Walk of Lament
妖王の廟堂 	 Hall of the Deviant
焦熱の歩廊 	 Walk of Fire
獣王の廟堂 	 Hall of the Savage
不浄の大広間 	 The Gier Hall
惨劇の翼廊 	 The Bloody Transept
裏切りの謁見室 	 The Presence Chamber
1F 	 Ground Floor
2F 	 Second Floor
3F 	 Third Floor
悲憤の前庭 	 The Forecourt
バービガン 	 The Barbican
右翼ブレテーシュ 	 The Right Brattice
補助格納庫 	 The Strongroom
騎兵詰所 	 The Barracks
左翼ブレテーシュ 	 The Left Brattice
勇将の廟堂 	 Hall of the Inexorable
亡者の浴室 	 Pools of Oblivion
被疑者の間の扉 	 Accusation Chamber door
拷問の間の扉 	 Abacination Chamber door
探査拠点区 	 Exploratory Site Entrance
メテオの風穴 	 Meteor Fissure
メテオの探査坑 	 Aetheroacoustic Exploratory Site
アラグの遺構 	 Allagan Megastructure
第Iブレード 	 First Blade
探査坑深部 	 Lower Aetheroacoustic Exploratory Site
第VII区画 	 Sector VII
第IV区画 	 Sector IV
第II区画 	 Sector II
第I区画 	 Sector I
第III区画 	 Sector III
第V区画 	 Sector V
第VI区画 	 Sector VI
機関部燃焼室 	 Engine Room
機関部圧縮室 	 Compression Chamber
機関部推進剤室 	 Propellant Chamber
稼働隔壁 	 Drive Cylinder
バハムートの右手 	 The Right Hand of Bahamut
第一艦橋 	 Main Bridge
リフト区画 	 The Lifts
第XIIブレード 	 Twelfth Blade
第XIブレード 	 Eleventh Blade
第Xブレード 	 Tenth Blade
第IXブレード 	 Ninth Blade
第VIIIブレード 	 Eighth Blade
第VIIブレード 	 Seventh Blade
第VIブレード 	 Sixth Blade
第Vブレード 	 Fifth Blade
第IVブレード 	 Fourth Blade
第IIIブレード 	 Third Blade
第IIブレード 	 Second Blade
防衛指揮室 	 Security Command
ザ・フォールド 	 The Fold
拘束艦 	 The Ragnarok
ヘキサリフト 	 Hexalift
拘束艦稼働隔壁 	 Ragnarok Outer Hull
要塞外郭 	 Outer Hold
要塞主郭 	 Inner Hold
機関部燃焼室 	 Engine Room
機関部圧縮室 	 Compression Chamber
機関部推進剤室 	 Propellant Chamber
シリウス大灯台 	 Pharos Sirius
第二塔基部 	 Second Spire
エーテル貯蔵室 	 Fuel Chamber
エーテル圧縮室 	 Aether Compressor
シリウスの灯室 	 Beacon Chamber
第三塔基部 	 Third Spire
第四塔基部 	 Fourth Spire
エーテルポンプ室 	 Aether Pump
5F 	 Fifth Floor
4F 	 Fourth Floor
3F 	 Third Floor
2F 	 Second Floor
1F 	 Ground Floor
B1F 	 Flood Cellar
クリスタルゲート 	 Crystal Gate
八剣士の前庭 	 The Eight Sentinels
セブンスヘブン 	 The Seventh Heaven
第789洞穴団の採掘地 	 789th Order Dig
ノォヴの育成地 	 Novv's Nursery
月影島 	 Moonshade Isle
洋上の商船 	 Open Sea - Merchantman
洋上の海賊船 	 Open Sea - Pirate Vessel
海還りの墓碑 	 The Reef of Sending
未知の釣り場 	 Undiscovered Fishing Hole
葉脈水系 	 The Vein
鏡池 	 The Mirror
青翠の奈落 	 Verdant Drop
さざなみ小川 	 Springripple Brook
シルフランド渓谷 	 Sylphlands
ハズーバ支流：上流 	 Upper Hathoeva River
ハズーバ支流：中流 	 Middle Hathoeva River
ハズーバ支流：下流 	 Lower Hathoeva River
ハズーバ支流：東 	 East Hathoeva River
ゴブリン族の生簀 	 Goblinblood
さざめき川 	 Murmur Rills
フォールゴウド秋瓜湖畔 	 Fallgourd Float
タホトトル湖畔 	 Lake Tahtotl
グリダニア：翡翠湖畔 	 Jadeite Flood
グリダニア：紅茶川水系下流 	 Lower Black Tea Brook
タングル湿林源流 	 The Deep Tangle
唄う裂谷北部 	 The North Shards
クルザス川 	 Coerthas River
剣ヶ峰山麓 	 The Nail
キャンプ・ドラゴンヘッド溜池 	 Dragonhead Latrines
調査隊の氷穴 	 Exploratory Ice Hole
イシュガルド大雲海 	 Sea of Clouds
ゼファードリフト沿岸 	 Zephyr Drift
サマーフォード沿岸 	 Summerford
西アジェレス川 	 West Agelyss River
モラビー湾西岸 	 Moraby Bay
シダーウッド沿岸部 	 Cedarwood
南ブラッドショア 	 South Bloodshore
北ブラッドショア 	 North Bloodshore
東アジェレス川 	 East Agelyss River
レインキャッチャー沼沢地 	 The Juggernaut
スカルバレー沿岸部 	 Skull Valley
ハーフストーン沿岸部 	 Halfstone
幻影諸島北岸 	 Isles of Umbra Northshore
幻影諸島南岸 	 Isles of Umbra Southshore
ブロンズレイク南岸 	 South Bronze Lake
ブロンズレイク北東岸 	 Northeast Bronze Lake
ブロンズレイク・シャロー 	 Bronze Lake Shallows
ロングクライム渓谷 	 The Long Climb
スートクリーク上流 	 Upper Soot Creek
スートクリーク下流 	 Lower Soot Creek
ドライボーン北湧水地 	 North Drybone
ドライボーン南湧水地 	 South Drybone
バーガンディ川 	 Burgundy Falls
ザハラクの湧水 	 Zahar'ak
サゴリー砂海 	 Sagolii Desert
サゴリー砂丘 	 Sagolii Dunes
ブルーフォグ湧水地 	 Bluefog
グリダニア：紅茶川水系上流 	 Upper Black Tea Brook
グリダニア：囁きの渓谷 	 Whispering Gorge
ロータノ海沖合：船首 	 Rhotano Sea (Privateer Forecastle)
ロータノ海沖合：船尾 	 Rhotano Sea (Privateer Sterncastle)
クルザス不凍池 	 Unfrozen Pond
クリアプール 	 Clearpool
ベーンプール南 	 South Banepool
ベーンプール西 	 West Banepool
モーン大岩窟西 	 West Mourn
サリャク河上流 	 Upper Thaliak River
サリャク河中州 	 Middle Thaliak River
ソーム・アル笠雲 	 Sohm Al Summit
廃液溜まり 	 Aetherochemical Spill
ブロンズレイク北西岸 	 Northwest Bronze Lake
常夏の島北 	 North Isle of Endless Summer
ティモン川 	 Timmon Beck
夜の森 	 Dimwold
流星の尾 	 The Comet's Tail
ベロジナ川 	 The Velodyna River
ミラージュクリーク 	 Mirage Creek
夫婦池 	 Grymm & Enid
スロウウォッシュ 	 The Slow Wash
ヒース滝 	 Heather Falls
裁定者の像 	 The Ephor
ブルズバス 	 The Bull's Bath
アラギリ水源地 	 Ala Ghiri Reservoir
アームズ・オブ・ミード 	 The Arms of Meed
ロッホ・セル湖 	 Loch Seld
紅玉台場近海 	 The Ruby Price
獄之蓋近海 	 Hells' Lid
ベッコウ島近海 	 The Isle of Bekko
沖之岩近海 	 Shoal Rock
オノコロ島近海 	 Onokoro
イサリ村沿岸 	 Isari
ゼッキ島近海 	 The Isle of Zekki
アオサギ池 	 The Heron's Nest
アオサギ川 	 The Heron's Way
ナマイ村溜池 	 Namai
ドマ城前 	 Doma Castle
城下船場 	 Mercantile Docks
無二江東 	 The One River (East)
無二江西 	 The One River (West)
梅泉郷 	 Plum Spring
七彩溝 	 Prism Lake
七彩渓谷 	 Prism Canyon
ドタール・カー 	 Dotharl Khaa
アジム・カート 	 Azim Khaat
ネム・カール 	 Nem Khaal
タオ・カール 	 Tao Khaal
ヤト・カール下流 	 Lower Yat Khaal
ヤト・カール上流 	 Upper Yat Khaal
監獄廃墟 トトラクの千獄 	 The Thousand Maws of Toto-Rak
地下霊殿 タムタラの墓所 	 The Tam-Tara Deepcroft
封鎖坑道 カッパーベル銅山 	 Copperbell Mines
天然要害 サスタシャ浸食洞 	 Sastasha
霧中行軍 オーラムヴェイル 	 Aurum Vale
名門屋敷 ハウケタ御用邸 	 Haukke Manor
魔獣領域 ハラタリ修練所 	 Halatali
奪還支援 ブレイフロクスの野営地 	 Brayflox's Longstop
遺跡探索 カルン埋没寺院 	 The Sunken Temple of Qarn
旅神聖域 ワンダラーパレス 	 The Wanderer's Palace
城塞攻略 ストーンヴィジル 	 Stone Vigil
流砂迷宮 カッターズクライ 	 Cutter's Cry
掃討作戦 ゼーメル要塞 	 Dzemael Darkhold
邪教排撃 古城アムダプール 	 Amdapor Keep
怪鳥巨塔 シリウス大灯台 	 Pharos Sirius
騒乱坑道 カッパーベル銅山 (Hard) 	 Copperbell Mines (Hard)
妖異屋敷 ハウケタ御用邸 (Hard) 	 Haukke Manor (Hard)
盟友支援 ブレイフロクスの野営地 (Hard) 	 Brayflox's Longstop (Hard)
剣闘領域 ハラタリ修練所 (Hard) 	 Halatali (Hard)
腐敗遺跡 古アムダプール市街 	 The Lost City of Amdapor
ミスト・ヴィレッジ：コテージ 	 Private Cottage - Mist
ミスト・ヴィレッジ：ハウス 	 Private House - Mist
ミスト・ヴィレッジ：レジデンス 	 Private Mansion - Mist
ゴブレットビュート：コテージ 	 Private Cottage - The Goblet
ゴブレットビュート：ハウス 	 Private House - The Goblet
ゴブレットビュート：レジデンス 	 Private Mansion - The Goblet
ラベンダーベッド：コテージ 	 Private Cottage - The Lavender Beds
ラベンダーベッド：ハウス 	 Private House - The Lavender Beds
ラベンダーベッド：レジデンス 	 Private Mansion - The Lavender Beds
1F 	 Ground Floor
2F 	 Second Floor
B1F 	 Cellarage
1F 	 Ground Floor
2F 	 Second Floor
B1F 	 Cellarage
1 	 1
2 	 2
3 	 3
4 	 4
5 	 5
6 	 6
7 	 7
8 	 8
9 	 9
10 	 10
11 	 11
12 	 12
13 	 13
14 	 14
15 	 15
16 	 16
17 	 17
18 	 18
19 	 19
20 	 20
21 	 21
22 	 22
23 	 23
24 	 24
25 	 25
26 	 26
27 	 27
28 	 28
29 	 29
30 	 30
ハウス（フリーカンパニー） 	 Estate Hall (Free Company)
ハウジング関連担当官 	 Resident Caretaker
1F 	 Ground Floor
B1F 	 Cellarage
船着場：ミスト・ヴィレッジ 	 Mist Docks
ミスト・ヴィレッジ東 	 Mist East
ラベンダーベッド東 	 Lavender East
ゴブレットビュート北 	 Goblet North
ゴブレットビュート南東 	 Goblet Southeast
案内人：ゴブレットビュート 	 Residential Area Guide
ミスト・ヴィレッジ南 	 Mist South
ミスト・ヴィレッジ南（船着場） 	 Mist South (Docks)
ミスト・ヴィレッジ：プライベートルーム 	 Private Chambers - Mist
ゴブレットビュート：プライベートルーム 	 Private Chambers - The Goblet
ラベンダーベッド：プライベートルーム 	 Private Chambers - The Lavender Beds
ハウス（個人） 	 Estate Hall (Private)
ミスト・ヴィレッジ 	 Mist
[拡張街]ミスト・ヴィレッジ 	 Mist Subdivision
ゴブレットビュート 	 The Goblet
[拡張街]ゴブレットビュート 	 The Goblet Subdivision
ラベンダーベッド 	 The Lavender Beds
[拡張街]ラベンダーベッド 	 The Lavender Beds Subdivision
[拡張街]ミストビーチ 	 Mist Beach Subdivision
[拡張街]ミストゲート・スクエア 	 Mistgate Square Subdivision
[拡張街]メルウィブ水道橋 	 The Admiral's Waterspire Subdivision
[拡張街]シーゲイズ商通り 	 Seagaze Markets Subdivision
[拡張街]ミスト・ヴィレッジ北東 	 Mist Northeast Subdivision
[拡張街]ミスト・ヴィレッジ南東 	 Mist Southeast Subdivision
[拡張街]ミスト・ヴィレッジ中央 	 Central Mist Subdivision
[拡張街]ミスト・ヴィレッジ北西（船着場） 	 Mist Northwest Subdivision
[拡張街]ミスト・ヴィレッジ南西 	 Mist Southwest Subdivision
[拡張街]シーゲイズ商通り（居住区担当官） 	 Seagaze Markets Subdivision
[拡張街]センナの大樹 	 Senna's Pride Subdivision
[拡張街]樹冠商店街 	 Dappled Stalls Subdivision
[拡張街]鎮守の石門 	 Autumn's Sentinels Subdivision
[拡張街]若草商店街 	 Wildflower Stalls Subdivision
[拡張街]ラベンダーベッド北東 	 Lavender Northeast Subdivision
[拡張街]ラベンダーベッド南 	 Lavender South Subdivision
[拡張街]ラベンダーベッド北西 	 Lavender Northwest Subdivision
[拡張街]ラベンダーベッド南西 	 Lavender Southwest Subdivision
[拡張街]ヤイヌ・パーの円庭 	 Yainu-Par Subdivision
[拡張街]紫水桟橋 	 Amethyst Shallows Subdivision
[拡張街]樹冠商店街（居住区担当官） 	 Dappled Stalls Subdivision
[拡張街]エンドレスドラフト 	 The Endless Draught Subdivision
[拡張街]ゴブレット市場 	 Goblet Exchange Subdivision
[拡張街]ブリミングハート広場 	 The Brimming Heart Subdivision
[拡張街]ナナモ大風車 	 The Sultana's Breath Subdivision
[拡張街]ラウバーンの腕 	 Raubahn's Salute Subdivision
[拡張街]ゴブレットビュート東 	 Goblet East Subdivision
[拡張街]ゴブレットビュート北 	 Goblet North Subdivision
[拡張街]ゴブレットビュート南東 	 Goblet Southeast Subdivision
[拡張街]ゴブレットビュート南 	 Goblet South Subdivision
[拡張街]ゴブレットビュート南西 	 Goblet Southwest Subdivision
[拡張街]ゴブレット市場（居住区担当官） 	 Goblet Exchange Subdivision
[拡張街]船着場：ミスト・ヴィレッジ 	 Mist Docks Subdivision
ミストゲート・スクエア 	 Mistgate Square
メルウィブ水道橋 	 The Admiral's Waterspire
シーゲイズ商通り 	 Seagaze Markets
ミストビーチ 	 Mist Beach
ミスト・ヴィレッジ北西 	 Mist West
ミスト・ヴィレッジ北東 	 Mist Northeast
シーゲイズ商通り（居住区担当官） 	 Seagaze Markets
ミスト・ヴィレッジ南東 	 Mist Southeast
ゴブレット市場 	 Goblet Exchange
エンドレスドラフト 	 The Endless Draught
ブリミングハート広場 	 The Brimming Heart
ナナモ大風車 	 The Sultana's Breath
ラウバーンの腕 	 Raubahn's Salute
ゴブレット市場（居住区担当官） 	 Goblet Exchange
ゴブレットビュート北東 	 Goblet Northeast
ゴブレットビュート西 	 Goblet West
ゴブレットビュート東 	 Goblet East
樹冠商店街 	 Dappled Stalls
センナの大樹 	 Senna's Pride
鎮守の石門 	 Autumn's Sentinels
若草商店街 	 Wildflower Stalls
ヤイヌ・パーの円庭 	 Yainu-Par
紫水桟橋 	 Amethyst Shallows
ラベンダーベッド北西 	 Lavender Northwest
ラベンダーベッド南東 	 Lavender Southeast
ラベンダーベッド南西 	 Lavender Southwest
樹冠商店街（居住区担当官） 	 Dappled Stalls
ミスト・ヴィレッジ：地下工房 	 Company Workshop - Mist
ゴブレットビュート：地下工房 	 Company Workshop - The Goblet
ラベンダーベッド：地下工房 	 Company Workshop - The Lavender Beds
エーテライト 	 Aetheryte
都市転送網 	 Aethernet Shard
ショップ 	 Shop
修理 	 Repairs
モグレター 	 Delivery Moogle
呼び鈴 	 Summoning Bell
リテイナー手続き 	 Retainer Vocate
リンクシェル発行 	 Linkshell Distributor
カンパニーチェスト 	 Company Chest
呼び鈴（宿屋内） 	 Summoning Bell (Inn Room)
ベッド（宿屋内） 	 Bed (Inn Room)
訪問帳 	 Message Book Stand
簡易エーテライト 	 Aetheryte Shard
ダンジョン 	 Dungeon
船着場 	 Ferry Docks
フェリードック 	 Ferry Docks
発着場 	 Landing
拠点/集落 	 Settlement
宿屋 	 Inn
冒険者ギルド 	 Adventurers' Guild
上の階層へ移動 	 To Upper Level
下の階層へ移動 	 To Lower Level
隣接エリアへ移動 	 Adjoining Area
蛮族拠点：アマルジャ族 	 Amalj'aa Stronghold
蛮族拠点：シルフ族 	 Sylph Stronghold
蛮族拠点：イクサル族 	 Ixali Stronghold
蛮族拠点：サハギン族 	 Sahagin Stronghold
蛮族拠点：コボルド族 	 Kobold Stronghold
剣術士ギルド 	 Gladiators' Guild
格闘士ギルド 	 Pugilists' Guild
斧術士ギルド 	 Marauders' Guild
槍術士ギルド 	 Lancers' Guild
弓術士ギルド 	 Archers' Guild
幻術士ギルド 	 Conjurers' Guild
呪術士ギルド 	 Thaumaturges' Guild
巴術士ギルド 	 Arcanists' Guild
木工師ギルド 	 Carpenters' Guild
鍛冶師ギルド 	 Blacksmiths' Guild
甲冑師ギルド 	 Armorers' Guild
彫金師ギルド 	 Goldsmiths' Guild
革細工師ギルド 	 Leatherworkers' Guild
裁縫師ギルド 	 Weavers' Guild
錬金術師ギルド 	 Alchemists' Guild
調理師ギルド 	 Culinarians' Guild
採掘師ギルド 	 Miners' Guild
園芸師ギルド 	 Botanists' Guild
漁師ギルド 	 Fishermen's Guild
黒渦団：軍令部 	 Maelstrom Command
双蛇党：統合司令部 	 Adders' Nest
不滅隊：作戦本部 	 Hall of Flames
ハウジング関連担当官 	 Resident Caretaker
マーケットボード 	 Market Board
デュエルエリア 	 Dueling Area
レイド 	 Raid
黒渦団ランディング 	 Storm Landing
双蛇党ランディング 	 Serpent Landing
不滅隊ランディング 	 Flame Landing
モブハントボード 	 Hunt Board
天気予報士 	 Skywatcher
双剣士ギルド 	 Rogues' Guild
ゴールドソーサースタッフ 	 Gold Saucer Employee
聖ガンリオル占星院  	 Athenaeum Astrologicum
スカイスチール機工房  	 Skysteel Manufactory
ポーター 	 Porter
別エリアへ移動 	 Gatekeeper
マイスター認定 	 Specialist Approval
マテリア師 	 Materia Master
クロの空想帳 	 Wondrous Tails
お得意様取引 	 Custom Deliveries
トレーダー 	 Trader
コンテンツ内エーテライト 	 Aethernet Shard
メテオの陰地 	 Dalamud's Shadow
バインディングコイル 	 The Outer Coil
ラグナロク級三番艦：艦体中央部 	 Central Decks
ラグナロク級三番艦：作戦室 	 The Holocharts
ラグナロク級三番艦：第一艦橋 	 Main Bridge
拓かれた山道 	 Floating Pass
石兵の血道 	 The Golem Trail
傷跡の門戸 	 Scar's Edge
培養器運搬アーム 	 Incubator Transport
生体管理区 	 Bioweapon Storage
生体転送区 	 Bioweapon Deployment
破壊された外部隔壁 	 Breached Hull
上甲板 	 Upper Decks
主甲板 	 Main Decks
下甲板 	 Lower Decks
左舷第XIV区画 	 Sector XIV
右舷第XIII区画 	 Sector XIII
左舷第XII区画 	 Sector XII
右舷第XI区画 	 Sector XI
左舷第X区画 	 Sector X
右舷第IX区画 	 Sector IX
中枢第VIII区画 	 Sector VIII
中枢第VII区画 	 Sector VII
左舷第VI区画 	 Sector VI
右舷第V区画 	 Sector V
左舷第IV区画 	 Sector IV
右舷第III区画 	 Sector III
左舷第II区画 	 Sector II
右舷第I区画 	 Sector I
中枢艦首区 	 Central Bow
蛮闘の間 	 Hall of the Crupellarii
剣闘士のホール 	 Hall of the Provocatores
ハラタリ修練所 (Hard) 	 Halatali (Hard)
対リヴァイアサン双胴船 	 The Whorleater
腐敗した市街地 	 Central Amdapor
封魔洞 	 Sanctum of Dreams
第一大橋脚 	 First Column
第二大橋脚 	 Second Column
水源地の抜道 	 Watergush Sneakway 
侵入者の仮設橋 	 Unguest's Watercross
ブレイフロクスの芥場 	 Brayflox's Drossdump
侵入者の野営陣 	 Unguest's Breachhold
腐敗の大路 	 The Agora
平和の残滓 	 Halcyon Court
白魔道士の塔 	 Tower of White
夢想宮 	 Dream Gate
封魔洞 	 The Sanctum of Dreams
悪夢の舞踏場 	 The Waking Nightmare
仮設の関門 	 Swiftmake Checkgate
暁の間 	 The Solar
ブレイフロクスの野営地 (Hard) 	 Brayflox's Longstop (Hard)
案内人：ザル回廊 	 Residential Area Guide
培養層 	 Incubation Bay
管理層 	 Monitoring Station 
主格納庫 	 Main Storage Vault
至天の階段 	 The Ladder of Ascension
群狼の広間 	 The Gathering
螺旋回廊 	 The Braid
守護者の闘技場 	 The Ring of the Protector
黄金回廊 	 The Golden Sacristy
帝立歌劇場 	 The Final Curtain
始皇帝の玉座 	 The Emperor's Throne
古木の神判地 	 The Striking Tree
双蛇党ランディング 	 Serpent Landing
不滅隊ランディング 	 Flame Landing
黒渦団ランディング 	 Storm Landing
双蛇党アウトポスト 	 Serpent Outpost
不滅隊アウトポスト 	 Flame Outpost
黒渦団アウトポスト 	 Storm Outpost
アラグ市場跡 	 Allagan Markets
アラグ太陽神殿 	 Allagan Sun Temple
アラグ居住区跡 	 Allagan Manors
ヘリオドロム防衛塔 	 Heliodrome
カルテノー平原：外縁遺跡群 	 Carteneau Flats: Borderland Ruins
タムタラの墓所 (Hard) 	 The Tam-Tara Deepcroft (Hard)
ストーンヴィジル (Hard) 	 The Stone Vigil (Hard)
ハルブレーカー・アイル 	 Hullbreaker Isle
霧髭一味のアジト 	 Runner's Reel
霧髭の宝物庫 	 Hidden Cache
旗艦「ハール号」 	 The Haar
生存者の海岸 	 Survivor Spit
小ホール 	 Minor Hall
エーテライト・プラザ（格闘士ギルド/不滅隊） 	 Ul'dah Aetheryte Plaza
エーテライト・プラザ（冒険者・木工師ギルド/双蛇党） 	 Gridania Aetheryte Plaza
エカトル実験場 	 Ehcatl
呻きの池 	 Greeting Pond
潮の抜け道 	 The Pull
占拠されたアジト 	 Dead Man's Drink
隠れ桟橋 	 The Sultana's Lap
戒律の殻 	 The Chrysalis
久遠の聖堂 	 The Ivory Chapel
ロウェナ記念会館 	 Rowena's House of Splendors
工房「ダイヤモンドフォージ」 	 The Diamond Forge
異端の隧道 	 Corruption
静かなる氷洞 	 Silence
風雪の断崖 	 Conviction
異端の潜窟 	 Contempt
氷柱の円庭 	 Oblivion
アク・アファー円形劇場 	 Akh Afah Amphitheatre
仮設牢獄 	 Asylum
排水管理室 	 The Bellows
カルン埋没寺院 (Hard) 	 The Sunken Temple of Qarn (Hard)
ララフトIV世の地下庭園 	 The Ambulatorium of Lalafuto IV
ララフトI世の中庭 	 The Rosarium of Lalafuto I
