ギルドリーヴ 	 Levemete
都市転送網 	 Aethernet Shard
ショップ 	 Shop
修理 	 Repairs
モグレター 	 Delivery Moogle
呼び鈴 	 Summoning Bell
リテイナー手続き 	 Retainer Vocate
リンクシェル発行 	 Linkshell Distributor
カンパニーチェスト 	 Company Chest
呼び鈴（宿屋内） 	 Summoning Bell (Inn Room)
ベッド（宿屋内） 	 Bed (Inn Room)
訪問帳 	 Message Book Stand
簡易エーテライト 	 Aetheryte Shard
ダンジョン 	 Dungeon
船着場 	 Ferry Docks
フェリードック 	 Ferry Docks
発着場 	 Landing
拠点/集落 	 Settlement
宿屋 	 Inn
冒険者ギルド 	 Adventurers' Guild
上の階層へ移動 	 To Upper Level
下の階層へ移動 	 To Lower Level
隣接エリアへ移動 	 Adjoining Area
蛮族拠点：アマルジャ族 	 Amalj'aa Stronghold
蛮族拠点：シルフ族 	 Sylph Stronghold
蛮族拠点：イクサル族 	 Ixali Stronghold
蛮族拠点：サハギン族 	 Sahagin Stronghold
蛮族拠点：コボルド族 	 Kobold Stronghold
剣術士ギルド 	 Gladiators' Guild
格闘士ギルド 	 Pugilists' Guild
斧術士ギルド 	 Marauders' Guild
槍術士ギルド 	 Lancers' Guild
弓術士ギルド 	 Archers' Guild
幻術士ギルド 	 Conjurers' Guild
呪術士ギルド 	 Thaumaturges' Guild
巴術士ギルド 	 Arcanists' Guild
木工師ギルド 	 Carpenters' Guild
鍛冶師ギルド 	 Blacksmiths' Guild
甲冑師ギルド 	 Armorers' Guild
彫金師ギルド 	 Goldsmiths' Guild
革細工師ギルド 	 Leatherworkers' Guild
裁縫師ギルド 	 Weavers' Guild
錬金術師ギルド 	 Alchemists' Guild
調理師ギルド 	 Culinarians' Guild
採掘師ギルド 	 Miners' Guild
園芸師ギルド 	 Botanists' Guild
漁師ギルド 	 Fishermen's Guild
黒渦団：軍令部 	 Maelstrom Command
双蛇党：統合司令部 	 Adders' Nest
不滅隊：作戦本部 	 Hall of Flames
ハウジング関連担当官 	 Resident Caretaker
マーケットボード 	 Market Board
デュエルエリア 	 Dueling Area
レイド 	 Raid
黒渦団ランディング 	 Storm Landing
双蛇党ランディング 	 Serpent Landing
不滅隊ランディング 	 Flame Landing
モブハントボード 	 Hunt Board
天気予報士 	 Skywatcher
双剣士ギルド 	 Rogues' Guild
ゴールドソーサースタッフ 	 Gold Saucer Employee
聖ガンリオル占星院  	 Athenaeum Astrologicum
スカイスチール機工房  	 Skysteel Manufactory
ポーター 	 Porter
別エリアへ移動 	 Gatekeeper
マイスター認定 	 Specialist Approval
マテリア師 	 Materia Master
クロの空想帳 	 Wondrous Tails
お得意様取引 	 Custom Deliveries
トレーダー 	 Trader
コンテンツ内エーテライト 	 Aethernet Shard
メテオの陰地 	 Dalamud's Shadow
バインディングコイル 	 The Outer Coil
ラグナロク級三番艦：艦体中央部 	 Central Decks
ラグナロク級三番艦：作戦室 	 The Holocharts
ラグナロク級三番艦：第一艦橋 	 Main Bridge
拓かれた山道 	 Floating Pass
石兵の血道 	 The Golem Trail
傷跡の門戸 	 Scar's Edge
培養器運搬アーム 	 Incubator Transport
生体管理区 	 Bioweapon Storage
生体転送区 	 Bioweapon Deployment
破壊された外部隔壁 	 Breached Hull
上甲板 	 Upper Decks
主甲板 	 Main Decks
下甲板 	 Lower Decks
左舷第XIV区画 	 Sector XIV
右舷第XIII区画 	 Sector XIII
左舷第XII区画 	 Sector XII
右舷第XI区画 	 Sector XI
左舷第X区画 	 Sector X
右舷第IX区画 	 Sector IX
中枢第VIII区画 	 Sector VIII
中枢第VII区画 	 Sector VII
左舷第VI区画 	 Sector VI
右舷第V区画 	 Sector V
左舷第IV区画 	 Sector IV
右舷第III区画 	 Sector III
左舷第II区画 	 Sector II
右舷第I区画 	 Sector I
中枢艦首区 	 Central Bow
蛮闘の間 	 Hall of the Crupellarii
剣闘士のホール 	 Hall of the Provocatores
ハラタリ修練所 (Hard) 	 Halatali (Hard)
対リヴァイアサン双胴船 	 The Whorleater
腐敗した市街地 	 Central Amdapor
封魔洞 	 Sanctum of Dreams
第一大橋脚 	 First Column
第二大橋脚 	 Second Column
水源地の抜道 	 Watergush Sneakway 
侵入者の仮設橋 	 Unguest's Watercross
ブレイフロクスの芥場 	 Brayflox's Drossdump
侵入者の野営陣 	 Unguest's Breachhold
腐敗の大路 	 The Agora
平和の残滓 	 Halcyon Court
白魔道士の塔 	 Tower of White
夢想宮 	 Dream Gate
封魔洞 	 The Sanctum of Dreams
悪夢の舞踏場 	 The Waking Nightmare
仮設の関門 	 Swiftmake Checkgate
暁の間 	 The Solar
ブレイフロクスの野営地 (Hard) 	 Brayflox's Longstop (Hard)
案内人：ザル回廊 	 Residential Area Guide
培養層 	 Incubation Bay
管理層 	 Monitoring Station 
主格納庫 	 Main Storage Vault
至天の階段 	 The Ladder of Ascension
群狼の広間 	 The Gathering
螺旋回廊 	 The Braid
守護者の闘技場 	 The Ring of the Protector
黄金回廊 	 The Golden Sacristy
帝立歌劇場 	 The Final Curtain
始皇帝の玉座 	 The Emperor's Throne
古木の神判地 	 The Striking Tree
双蛇党ランディング 	 Serpent Landing
不滅隊ランディング 	 Flame Landing
黒渦団ランディング 	 Storm Landing
双蛇党アウトポスト 	 Serpent Outpost
不滅隊アウトポスト 	 Flame Outpost
黒渦団アウトポスト 	 Storm Outpost
アラグ市場跡 	 Allagan Markets
アラグ太陽神殿 	 Allagan Sun Temple
アラグ居住区跡 	 Allagan Manors
ヘリオドロム防衛塔 	 Heliodrome
カルテノー平原：外縁遺跡群 	 Carteneau Flats: Borderland Ruins
タムタラの墓所 (Hard) 	 The Tam-Tara Deepcroft (Hard)
ストーンヴィジル (Hard) 	 The Stone Vigil (Hard)
ハルブレーカー・アイル 	 Hullbreaker Isle
霧髭一味のアジト 	 Runner's Reel
霧髭の宝物庫 	 Hidden Cache
旗艦「ハール号」 	 The Haar
生存者の海岸 	 Survivor Spit
小ホール 	 Minor Hall
エーテライト・プラザ（格闘士ギルド/不滅隊） 	 Ul'dah Aetheryte Plaza
エーテライト・プラザ（冒険者・木工師ギルド/双蛇党） 	 Gridania Aetheryte Plaza
エカトル実験場 	 Ehcatl
呻きの池 	 Greeting Pond
潮の抜け道 	 The Pull
占拠されたアジト 	 Dead Man's Drink
隠れ桟橋 	 The Sultana's Lap
戒律の殻 	 The Chrysalis
久遠の聖堂 	 The Ivory Chapel
ロウェナ記念会館 	 Rowena's House of Splendors
工房「ダイヤモンドフォージ」 	 The Diamond Forge
異端の隧道 	 Corruption
静かなる氷洞 	 Silence
風雪の断崖 	 Conviction
異端の潜窟 	 Contempt
氷柱の円庭 	 Oblivion
アク・アファー円形劇場 	 Akh Afah Amphitheatre
仮設牢獄 	 Asylum
排水管理室 	 The Bellows
カルン埋没寺院 (Hard) 	 The Sunken Temple of Qarn (Hard)
ララフトIV世の地下庭園 	 The Ambulatorium of Lalafuto IV
ララフトI世の中庭 	 The Rosarium of Lalafuto I
ラグナロク級六番艦：艦体中央部 	 IC-06 Central Decks
ラグナロク級六番艦：再生制御区 	 IC-06 Regeneration Grid
ラグナロク級六番艦：第一艦橋 	 IC-06 Main Bridge
バハムートコア 	 The Burning Heart
ラグナロク級四番艦：第一艦橋 	 IC-04 Main Bridge
生体管理区画 	 Bioweapon Storage
第VII生体区画 	 Bioweapon Sector VII
第IX生体区画 	 Bioweapon Sector IX
第XII生体区画 	 Bioweapon Sector XII
精神接続区画 	 Neurokinetic Linkup
第I信徒区画 	 Alpha Concourse
生体転送区 	 Bioweapon Deployment
再生制御区外殻 	 Outer Regeneration Grid
再生制御区内殻 	 Inner Regeneration Grid
一番艦管制区画 	 IC-01 Control
八番艦管制区画 	 IC-08 Control
九番艦管制区画 	 IC-09 Control
四番艦管制区画 	 IC-04 Control
二番艦管制区画 	 IC-02 Control
バインディングコイル制御区画 	 Coil Operations Deck
コア制御区画 	 Core Override
エーデルワイス商会 	 Dutiful Sisters of the Edelweiss
船着場の平屋 	 Dock Storehouse
応接室 	 Intercessory
地下 	 Weight Chamber
闇の世界 	 The World of Darkness
ケルベロスの胃袋 	 The Belly of the Beast
妖眼の領域 	 Sphere of the Sightless
妖竜の領域 	 Sphere of the Voiceless
妖犬の領域 	 Sphere of the Ravenous
暗闇の領域 	 Sphere of Naught
ケルベロスの胃袋 	 The Belly of the Beast
闇の渚 	 Dark Water
眼の島 	 The Eye
妖眼の展望台 	 The Vista
首の島 	 The Nape
妖竜の狩場 	 The Vermiculary
口の島 	 The Jaws
妖犬の門扉 	 Plutonium
闇の転送装置 	 The Verge
暗闇の殻 	 Pitch Black
古城アムダプール (Hard) 	 Amdapor Keep (Hard)
悲憤の前庭 	 Garden of Sorrow
苦渋の広間 	 The Moot Hall
厄災の十字廊 	 The Twain
流血の演舞場 	 Scarlet Ballroom
洋上の大型船 	 Rhotano Privateer
エーデルワイス商会
[双剣士ギルド] 	 Dutiful Sisters of the Edelweiss
(Rogues' Guild)
31 	 31
32 	 32
33 	 33
34 	 34
35 	 35
36 	 36
37 	 37
38 	 38
39 	 39
40 	 40
41 	 41
42 	 42
43 	 43
44 	 44
45 	 45
46 	 46
47 	 47
48 	 48
49 	 49
50 	 50
51 	 51
52 	 52
53 	 53
54 	 54
55 	 55
56 	 56
57 	 57
58 	 58
59 	 59
60 	 60
ゴールドソーサー 	 The Gold Saucer
エントランススクウェア 	 Entrance Square
エーテライト・プラザ 	 Gold Saucer Aetheryte Plaza
カードスクウェア 	 Card Square
ワンダースクウェア 	 Wonder Square
ラウンドスクウェア 	 Round Square
イベントスクウェア 	 Event Square
ゴールドソーサー・ランディング 	 Airship Landing
メインカウンター 	 Main Counter
チョコボリフト 	 Chocobo Lift
ジャボテンダー 	 El Coloso
マウント・コレル 	 Mt. Corel
イベントステージ 	 Main Stage
くじテンダーボード 	 Cactpot Board
テーブル・マンダヴィル 	 The Manderville Tables
ラウンジ・マンダヴィル 	 The Manderville Lounge
チョコボスクウェア 	 Chocobo Square
チョコボレースカウンター 	 Race Counter
チョコボリフト 	 Chocobo Lift
崩れた構造体 	 Agrius Hull
帝国軍仮設作業場 	 Provisional Research Camp
浮行ガス充填区 	 Ceruleum Spill
幻龍の背 	 The Keeper's Spine
黙約の広間 	 The Forsworn Promise
（仮）第１障壁 	 First Ward
（仮）第2障壁 	 Second Ward
対竜バリスタ：フラヴィアン 	 Flavien's Arm
（仮）第3障壁 	 Third Ward
対竜バリスタ：シルヴトレル 	 Sylvetrel's Arm
（仮）第4障壁 	 Fourth Ward
対竜バリスタ：ハルドラス 	 Haldrath's Arm
聖徒門 	 The Arc of the Worthy
（仮）防衛橋エリア名 	 The Steps of Faith
エーテライト・プラザ 	 Gold Saucer Aetheryte Plaza
エントランススクウェア（カードスクウェア） 	 Entrance & Card Squares
ワンダースクウェア東（ドマ式麻雀） 	 Wonder Square East
ワンダースクウェア西 	 Wonder Square West
イベントスクウェア 	 Event Square
くじテンダーボード 	 Cactpot Board
ラウンドスクウェア 	 Round Square
チョコボスクウェア 	 Chocobo Square
低層 	 Forecastle
中層 	 Quarterdeck
高層 	 Stern
1F 	 Ground Floor
3F 	 Third Floor
B1F 	 Cellar
外郭中庭 	 Outer Training Grounds
騎兵詰所 	 Barracks
キープ内部 	 Inner Keep
閲兵ホール 	 Gathering Hall
作戦会議室 	 Lord Commander's Seat
聖ガンリオル礼拝堂 	 Saint Guenriol's Chapel
キープ外壁 	 Outer Walls
ゴール 	 Finish Line
飛び石の島 	 The Pebble That Skips
木々揺れる参道 	 The Trees That Sway
水巡る社庭 	 The Water That Sings
吹き荒れる随神島 	 The God Who Whispers
風惑う拝殿 	 The Wind That Summons
雲産みの社 	 The Cloud That Laughs
博物戦艦総合デッキ 	 Grand Deck
歴史展示デッキ 	 History Gallery
兵器展示デッキ 	 Soldiery Gallery
博物戦艦防衛デッキ 	 Security Deck
第III展示区 	 Exhibit Level III
特級キメラ培養室 	 High-level Incubation Bay
バイオレット管制区 	 Violet Ward
クリムゾン管制区 	 Crimson Ward
エメラルド管制区 	 Emerald Ward
現実拡張室 	 Reality Augmentation Bay
艦首構造群 	 Forward Complex
左舷構造群 	 Larboard Complex
右舷構造群 	 Starboard Complex
礼拝堂身廊 	 Chantry Nave
礼拝堂側廊 	 Chantry Cloister
庁内庭園 	 Inner Sanctum
氷天宮 	 Hall of the Spear
教皇庁の身廊 	 Vault Nave
聖トールダン大聖堂 	 Saint Thordan's Basilica
礼拝堂の昇降室 	 Chantry Lift
庭園東の昇降室 	 East Sanctum Lift
庭園西の昇降室 	 West Sanctum Lift
氷天宮の昇降室 	 Spear Lift
氷天宮円堂 	 Rotunda
聖歌隊席 	 The Quire
庭園の小ホール 	 Chapter House
氷天宮礼拝堂 	 The Chancel
エアリー・エクステリア 	 Aery Exterior
エアリー・インテリア 	 Aery Interior
エアリー・エイペックス 	 Aery Apex
艦体構造群 	 Central Complex
アク・ファール・ライ 	 Akh Fahl Lye
ミニオンスクウェア 	 Minion Square
第66号前線培養室 	 Incubator 66
テン・ウール 	 Ten Oohr
エルン・スコール 	 Errn Scorh
ニーズヘッグ・アン 	 Nidhogg An
ブロークンリンク 	 The Broken Link
サーペントスロート 	 The Serpent's Throat
シールロック・ランディング 	 Seal Rock Landing
ロンデファイル浸食谷 	 The Long Defile
スワローテイル海岸 	 Swallowtail Sands
先遣隊の発掘場 	 The Dig
メインゲート 	 Main Portal
機械兵器研究棟 	 Automachina Research
物資運搬路 	 Material Transport
物資分配場 	 Material Distribution
生体兵器研究棟 	 Bioweapon Research
特殊警戒通路 	 Security Passage
三闘神制御区 	 Triad Control
ニューロリンク 	 Neurolink
スフィア・オブ・マーヴィン 	 Marvyn
試作機実験庫 	 Analysis and Proving
評価試験場 	 Evaluation and Authentication
第VII培養層 	 Incubation Bay VII
第VIII培養層 	 Incubation Bay VIII
ニューロリンク・ナセル 	 Neurolink Nacelle
機械兵器研究棟 	 Automachina Research
生体兵器研究棟 	 Bioweapon Research
三闘神制御区 	 Triad Control
南の斜面 	 The South Face
霊峰の血管 	 The Veins
不義の山道 	 Betrayal
碧の崖 	 Greenlinn
紅の墓 	 The Red Crypt
蒼の墓 	 The Blue Crypt
霊峰の傷 	 The Wound
ヘス・アファー 	 Hess Afah
ソーム・アル：不義の山道 	 Betrayal
ソーム・アル：霊峰の血管 	 The Veins
ソーム・アル：南の斜面 	 The South Face
黙想閲覧室 	 Reading Room
幻想書庫 	 School of Phantasmagoria
奇想談話室 	 Convocation House
エーテル学研究室 	 Aetherology End
博物学研究室 	 Natural History Room
夢想禁書庫 	 School of Fantastics
魔書の翼廊 	 Hall of Magicks
占星学研究室 	 Astrology and Astromancy Camera
狂想禁書庫 	 Rhapsodies Quadrangle
昇降機 	 Autolift
昇降機 	 Autolift
フィスト・オブ・ゴルディオス 	 The Fist of the Father
第583整備坑道 	 Serviceway #583
第262蒸気機関室 	 Engine Room #262
第44機工兵格納庫 	 Machinery Bay 44
第8大型格納庫 	 Hangar 8
カフ・オブ・ゴルディオス 	 The Cuff of the Father
第542整備坑道 	 Serviceway #542
第541整備坑道 	 Serviceway #541
第539整備坑道 	 Serviceway #539
第12大型格納庫 	 Hangar 12
アーム・オブ・ゴルディオス 	 The Arm of the Father
第523整備坑道 	 Serviceway #523
ストラテゲイオン1階 	 Strategeion - 1F
ストラテゲイオン2階 	 Strategeion - 2F
ストラテゲイオン3階 	 Strategeion - 3F
ストラテゲイオン4階 	 Strategeion - 4F
第9大型復水器 	 Condensate Demineralizer #9
バーデン・オブ・ゴルディオス 	 The Burden of the Father
チョコボスクウェア（ミニオンスクウェア） 	 Minion Square
ディアデム諸島 	 The Diadem
カフ上層 	 Upper Ring
カフ下層 	 Lower Ring
エーテライト・プラザ 	 Ishgard Aetheryte Plaza
忘れられた騎士亭前（聖バルロアイアン広場） 	 The Forgotten Knight
スカイスチール機工房前（聖レネット広場） 	 Skysteel Manufactory
雲霧街 	 The Brume
聖ガンリオル占星院前（イシュガルド・ランディング） 	 Athenaeum Astrologicum
マーケット（宝杖通り） 	 The Jeweled Crozier
聖レマノー大聖堂（聖アンダリム神学院） 	 Saint Reymanaud's Cathedral
神聖裁判所 	 The Tribunal
ラストヴィジル（フォルタン伯爵邸） 	 The Last Vigil
聖徒門（クルザス中央高地方面） 	 The Gates of Judgement (Coerthas Central Highlands)
かいはつしつ 	 The Eighteenth Floor
なおきのへや 	 Office of the Producer
おんがくしつ 	 Sound Studio
LoVMカウンター 	 Lord of Verminion Counter
ウルヴズジェイル演習場 	 The Feasting Grounds
カードバトルルーム 	 The Battlehall
アレキサンダー結節点 	 Articulation
ゴルディオス・ノット 	 The Gordian Knot
4F　5F 	 Fifth & Fourth Levels
3F 	 Third Level
2F 	 Second Level
1F 	 First Level
熱帯展示室 	 Telmatology
乾燥帯展示室 	 Eremology
聖モシャーヌの研究窟 	 The Study
密林の小道 	 Silvology
揺れる蓮池 	 Limnology
腐臭の庭 	 Zymology
女王蜂の玉座 	 Amber Room
芳香の食卓 	 Last Supper
エーテライト・プラザ 	 Idyllshire Aetheryte Plaza
イディルシャイア西 	 West Idyllshire
表紙門（低地ドラヴァニア西方面） 	 Prologue Gate (Western Hinterlands)
裏表紙門（低地ドラヴァニア東方面） 	 Epilogue Gate (Eastern Hinterlands)
コボルド軍地下坑道 	 Sapper Tunnel
1F 	 First Floor
B1F 	 The Underworks
腐敗した市街地 	 Central Amdapor
翼獣の縄張 	 Dark Wings
魔晶堂 	 The Crystallum
守護の聖域 	 The Protectorate
星の渚 	 Pleroma
最上下層 	 The Lower Reaches
最下上層 	 The Upper Reaches
賢者の研究室 	 Where Minds Toil
隠者の娯楽室 	 Where Souls Rest
空中魔法陣 	 The Manifest
浮遊舞踏場 	 Where Hearts Leap
星海展望室 	 Where All Witness
クロウケージ 	 Claw Cage
ファングケージ 	 Fang Cage
腐敗した市街地 	 Central Amdapor
封魔洞 	 Sanctum of Dreams
魔晶堂 	 The Crystallum
古アムダプール市街 (Hard) 	 The Lost City of Amdapor (Hard)
悲嘆の前庭 	 An Answer of Sorrow
静寂の宮殿 	 An Answer of Silence
悔恨の正殿 	 An Answer of Shame
フィスト・オブ・ミダース 	 The Fist of the Son
第721整備坑道 	 Serviceway #721
第334蒸気機関室 	 Engine Room #334
ゴブリサイエンス研究室 	 The Clevering
第726整備坑道 	 Serviceway #726
超最先端実験室 	 Advanced Clevering
カフ・オブ・ミダース 	 The Cuff of the Son
カフ前部 	 Forward Ring
カフ後部 	 Rear Ring
第763整備坑道 	 Serviceway #763
第66機工兵格納庫 	 Machinery Bay 66
第67機工兵格納庫 	 Machinery Bay 67
第68機工兵格納庫 	 Machinery Bay 68
第69機工兵格納庫 	 Machinery Bay 69
第70機工兵格納庫 	 Machinery Bay 70
アーム・オブ・ミダース 	 The Arm of the Son
左上腕部 	 Upper Arm
科学都市 	 Illuminus
第796整備坑道 	 Serviceway #796
第5機関塔 	 Control Tower 5
科学都市外縁 	 Outer Illuminus
アレキサンダー科学都市 	 Illuminus
公開処刑広場 	 Electrocution Gallery
バーデン・オブ・ミダース 	 The Burden of the Son
ミダース・ノット 	 The Midan Knot
キャンプ・グローリー 	 Camp Glory
アウルネスト跡 	 Owl's Nest
ダークスケール湖畔 	 Clearwater
グローリー発掘地 	 Discovery
アラガントームリスS1号基 	 Allagan Tomelith S1
アラガントームリスS2号基 	 Allagan Tomelith S2
アラガントームリスS3号基 	 Allagan Tomelith S3
フィールド・オブ・グローリー 	 The Fields of Glory
ハルブレーカー・アイル (Hard) 	 Hullbreaker Isle (Hard)
禁忌都市マハ 	 The Weeping City of Mhach
ヤフェーム湿地 	 Yafaem Saltmoor
マハ都市遺跡 	 The Weeping Ruins
ピラミッド基部層 	 Pyramid Base
ピラミッド上部層 	 The Gloriole
圧縮世界 	 Twelvefold
ピラミッド最上層 	 Pyramid Peak
不浄の湿地 	 Peat Bogs
湿地の細道 	 The Dryroad
マハ市街地 	 Mhach
ピラミッド陸橋 	 The Approach
基幹通路 	 Main Corridor
警備通路 	 Security Corridor
大怪球の参道 	 The Gallery
圧縮世界 	 Twelvefold
上昇通路 	 Ascending Corridor
[拡張街]船着場：ラベンダーベッド 	 Lavender Beds Docks Subdivision
大迷宮バハムート 	 The Binding Coil of Bahamut
蜘蛛女の狩場 	 The Queen's Room
クェーサル公園 	 Cessair Lawns
シャトト記念広場 	 Shatotto Memorial
神託の祭壇 	 The Shrine of the Goetic
操魔の関門 	 Control Gates
オズマ大回廊 	 The Gloriole
要の玄室 	 Tomb of the Nullstone
哀しみの円庭 	 Unsevered Despair
祈りの身廊 	 Unstifled Prayer
追憶の柱礎 	 Shattered Remembrance
嘆きの庭園 	 Sudden Torment
ラタトスクの殿堂 	 Ratatoskr's Peace
軍獣訓練区画 	 Hell of Howls
行軍訓練区画 	 Hell of Malms
海上訓練区画 	 Hell of Waves
黒渦闘技場 	 Maelstrom
宝物庫入口 	 Treasury Entrance
第一区画 	 1st Chamber
第二区画 	 2nd Chamber
第三区画 	 3rd Chamber
第四区画 	 4th Chamber
第五区画 	 5th Chamber
第六区画 	 6th Chamber
最終区画 	 7th Chamber
中層 	 Middle Floors
最上層 	 Upper Floors
大渓谷の隘路 	 The Wishbone
タパソリ営巣地 	 Tapaxoli
ゼルファトル山麓 	 The First Mountain
営巣地門前 	 The Cage
タパソリ闘技場 	 The Tlachtli
神前祭壇 	 The Vortex
ゼルファトル 	 Xelphatol
死者の宮殿 	 The Palace of the Dead
個人演習場 	 Dueling Circle
稀覯書庫受付 	 Rare Tomes Desk
断想閲覧室 	 School of Nihility
司書長室 	 The Last Lamp
思想稀覯書庫 	 Rare Tomes Room
アクアポリス 	 The Aquapolis
双蛇党兵舎 	 Twin Adder Barracks
不滅隊兵舎 	 Flame Barracks
黒渦団兵舎 	 Maelstrom Barracks
パロック繋留基地 	 The Parrock
レオファードの私室 	 Leofard's Chambers
トップマスト 	 The Topmast
[拡張街]トップマスト 	 The Topmast Subdivision
リリーヒルズ 	 Lily Hills
[拡張街]リリーヒルズ 	 Lily Hills Subdivision
ナナモ大風車 	 The Sultana's Breath
[拡張街]ナナモ大風車 	 The Sultana's Breath Subdivision
トップマスト：ロビー 	 Topmast Apartment Lobby
トップマスト：部屋 	 Topmast Apartment
リリーヒルズ：ロビー 	 Lily Hills Apartment Lobby
リリーヒルズ：部屋 	 Lily Hills Apartment
ナナモ大風車：ロビー 	 Sultana's Breath Apartment Lobby
ナナモ大風車：部屋 	 Sultana's Breath Apartment
001号室 	 Room #001
002号室 	 Room #002
003号室 	 Room #003
004号室 	 Room #004
005号室 	 Room #005
006号室 	 Room #006
107号室 	 Room #107
108号室 	 Room #108
106号室 	 Room #106
101号室 	 Room #101
105号室 	 Room #105
103号室 	 Room #103
104号室 	 Room #104
102号室 	 Room #102
201号室 	 Room #201
202号室 	 Room #202
館主の間 	 The Hall of Blood
亡霊屋敷 ホーンテッドマナー 	 Haunted Manor
アイズ・オブ・アレキサンダー 	 Eyes of the Creator
知神の水瓶 	 The Tipped Ewer
アレキサンダー・ヘッド 	 The Cranium
ミダース・ユニット 	 The Midas Unit
頭部甲板 	 The Cranial Plate
再生処理室 	 Life Support
ブレス・オブ・アレキサンダー 	 Breath of the Creator
公開処刑塔 	 Danglylimbs
科学都市4番街 	 Illuminus - Ward 4
科学都市11番街 	 Illuminus - Ward 11
公開処刑塔前 	 Slickred Drainage Ducts
科学的万能処刑場 	 The Excruciationator
ハート・オブ・アレキサンダー 	 Heart of the Creator
中枢上層 	 The Atrium
中枢下層 	 The Ventricle
コア製造ライン 	 Core Production
エネルギー供給ライン 	 Energy Conduit
中枢大動力室 	 Main Generators
ソウル・オブ・アレキサンダー 	 Soul of the Creator
過去空間 	 Entropy
中央管制室 	 Central Control
ハート・オブ・アレキサンダー 	 Heart of the Creator
バエサルの長城 	 Baelsar's Wall
長城下部 	 Lower Reaches
長城内部1 	 Outer Reaches
長城内部2 	 Inner Reaches
長城上部 	 The Walk
ヴィア・プラエトリア 	 Via Praetoria
魔導兵器格納庫 	 Magitek Installation
飛空戦艦発着場 	 Airship Landing
カストルム・オリエンス 	 Castrum Oriens
長城内兵器庫 	 Armory
長城胸壁 	 Parapet
影の国ダン・スカー 	 Dun Scaith
巨大飛空艇「レディ・ラドリア号」 	 The Lady Radlia
ダン・スカー遺跡群 	 Dun Scaith Ruins
城塞内部 	 The Crumbling Hold
城塞屋上 	 Hold Roof
未知空間 	 Unwhere
影の鐘楼 	 The Belfry
闇薔薇の円庭 	 Round of the Dark Rose
闇薔薇の広間 	 Hall of the Dark Rose
レディ・ラドリア号主甲板 	 Main Deck
影の商店区 	 The Mercantile
影の大通り 	 The Thoroughfare
道化の舞台 	 The Rostrum
女王の観閲広場 	 The Queen's Pride
女王の間 	 The Queen's Graces
観月の座 	 Lunar
ライケンウィード演習場 	 Lichenweed
クロウケージ 	 Claw Cage
ファングケージ 	 Fang Cage
オメガ管制室 	 Omega Control
ソーム・アル山麓 (Hard) 	 Sohm Al (Hard)
ソーム・アル：霊峰の心臓 	 The Heart
炎獣の縄張り 	 The Fever
大溶岩窟 	 Lava Tube
霊峰の心臓 	 The Heart
シロガネ：コテージ 	 Private Cottage - Shirogane
シロガネ：ハウス 	 Private House - Shirogane
シロガネ：レジデンス 	 Private Mansion - Shirogane
茜雲桟橋 	 Akanegumo Bridge
茜坂商店街 	 Akanezaka Markets
白銀浜 	 Shirogane Shores
好文園 	 Kobun Gardens
隠れ浜 	 Hidden Shores
白雲之湯 	 Shirakumo Hot Springs
茜雲桟橋(居住区担当官) 	 Akanegumo Bridge
シロガネ北西 	 Northwestern Shirogane
シロガネ西 	 Western Shirogane
紅梅御殿 	 Kobai Goten
シロガネ北東 	 Northeastern Shirogane
シロガネ南西 	 Southwestern Shirogane
シロガネ南 	 Southern Shirogane
シロガネ南東 	 Southeastern Shirogane
[拡張街]茜雲桟橋 	 Akanegumo Bridge Subdivision
[拡張街]茜坂商店街 	 Akanezaka Markets Subdivision
[拡張街]白銀浜 	 Shirogane Shores Subdivision
[拡張街]好文園 	 Kobun Gardens Subdivision
[拡張街]隠れ浜 	 Hidden Shores Subdivision
[拡張街]白雲之湯 	 Shirakumo Hot Springs Subdivision
[拡張街]シロガネ北 	 Northern Shirogane Subdivision
[拡張街]シロガネ東 	 Eastern Shirogane Subdivision
[拡張街]茜雲桟橋(居住区担当官) 	 Akanegumo Bridge Subdivision
[拡張街]シロガネ北東 	 Northeastern Shirogane Subdivision
[拡張街]シロガネ西 	 Western Shirogane Subdivision
[拡張街]紅梅御殿 	 Kobai Goten Subdivision
[拡張街]シロガネ南西 	 Southwestern Shirogane Subdivision
[拡張街]シロガネ南 	 Southern Shirogane Subdivision
星導山寺院　　　コンテンツ名は「壊神修行 星導山寺院」 	 The Temple of the Fist
ラールガーの肩 	 Rhalgr's Shoulder
星導の参道 	 The Way of Enlightenment
星導山寺院本殿 	 The Closed Fist
水苔池 	 Tourmaline Pond
陰陽苑 	 Harmony
導霊殿 	 Guidance
星導山中腹 	 Dilemma
星導山山頂 	 Enlightenment
格納区画 	 Storage Compound
実験区画 	 Testing Compound
中枢区画 	 Central Compound
陸戦兵器開発房 	 Terrestrial Weaponry
強化実験房 	 Project Aegis
性能試験場 	 Assessment Grounds
蒼玉魚園 	 Sogyoku Piscary
紅玉御殿 	 Kogyoku Palace
紫水祭殿 	 Shisui Temple
春告門前 	 Harutsuge Gate
紅潮之間 	 Akashio Hall
紫水御神楽 	 Shisui Gokagura
エーテライト・プラザ 	 Kugane Aetheryte Plaza
潮風亭前 	 Shiokaze Hostelry
第一波止場 	 Pier #1
ラザハン大使館前 	 Thavnairian Consulate
マーケット（小金通り） 	 Kogane Dori Markets
望海楼 	 Bokairo Inn
