呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			声を聞きし者							
ヤツを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			ヤツを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			蘇る古の武器（星屑のロッド）							
クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			蘇る古の武器（星屑のロッド）							
「黒魔道士」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			「黒魔道士」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			蘇る古の武器（星屑のロッド）							
はやいとこ、ヤカンを完成させて、しこたまエールを飲……な、なンだ、テメェは！			はやいとこ、ヤカンを完成させて、しこたまエールを飲……な、なンだ、テメェは！			蘇る古の武器（星屑のロッド）							
もう、何をすべきか忘れちまったンか？いいか、もう一度だけ説明してやる。			もう、何をすべきか忘れちまったンか？いいか、もう一度だけ説明してやる。			蘇る古の武器（星屑のロッド）							
ドルムキマイラを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			ドルムキマイラを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			蘇る古の武器（星屑のロッド）							
クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			蘇る古の武器（星屑のロッド）							
「黒魔道士」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			「黒魔道士」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			蘇る古の武器（星屑のロッド）							
……チッ、まぁ～だ生きていやがったンか……。ドルムキマイラも案外ふがいねぇ……いや、なンでもねぇよ。こっちの話だ。			……チッ、まぁ～だ生きていやがったンか……。ドルムキマイラも案外ふがいねぇ……いや、なンでもねぇよ。こっちの話だ。			蘇る古の武器（星屑のロッド）							
ともかく「アルミナ研粒」、確かに受け取ったぞ。ちょいと待ってろ、復元作業を進めるからよ……。			ともかく「アルミナ研粒」、確かに受け取ったぞ。ちょいと待ってろ、復元作業を進めるからよ……。			蘇る古の武器（星屑のロッド）							
ふぅ……。細部に手を入れたからそれなりの見た目には、なってきたぞ。			ふぅ……。細部に手を入れたからそれなりの見た目には、なってきたぞ。			蘇る古の武器（星屑のロッド）							
だが、何かが足りねぇ……。今度ばかりは、さすがのオレにも何が足りねぇのかがわからン。			だが、何かが足りねぇ……。今度ばかりは、さすがのオレにも何が足りねぇのかがわからン。			蘇る古の武器（星屑のロッド）							
もっと、この「古の武器」に関する情報があれば……そう、情報が足りねぇンだ！			もっと、この「古の武器」に関する情報があれば……そう、情報が足りねぇンだ！			蘇る古の武器（星屑のロッド）							
過去に「古の武器」を使っていた英雄たちについて、ヤツらの活躍を描いた逸話や伝承、詩歌を集めてこい。その中に、何かヒントになることが書かれているかもしれン！			過去に「古の武器」を使っていた英雄たちについて、ヤツらの活躍を描いた逸話や伝承、詩歌を集めてこい。その中に、何かヒントになることが書かれているかもしれン！			蘇る古の武器（星屑のロッド）							
誰に聞けばいいのか、だと？古い写本でも持ってねぇか、ロウェナにでも聞いてみるンだな。あのアバズレは、古い品物にめっぽう詳しいからよ。			誰に聞けばいいのか、だと？古い写本でも持ってねぇか、ロウェナにでも聞いてみるンだな。あのアバズレは、古い品物にめっぽう詳しいからよ。			蘇る古の武器（星屑のロッド）							
ん、調子はどう？ゲロルトには、ウンザリさせられているって表情ね。ところで、あたしに御用？			ん、調子はどう？ゲロルトには、ウンザリさせられているって表情ね。ところで、あたしに御用？			蘇る古の武器（星屑のロッド）							
……「古の武器」の復元のために、英雄たちについての逸話を記した写本を……ね。			……「古の武器」の復元のために、英雄たちについての逸話を記した写本を……ね。			蘇る古の武器（星屑のロッド）							
確かに、あたしのツテを使えば、そうした古い写本や書物を手に入れることは、さほど難しくはないはず。			確かに、あたしのツテを使えば、そうした古い写本や書物を手に入れることは、さほど難しくはないはず。			蘇る古の武器（星屑のロッド）							
でも、あたしは商人なの。タダで取り寄せるなんて願い下げ。ここは冒険者と商人らしく、取引といきましょう。			でも、あたしは商人なの。タダで取り寄せるなんて願い下げ。ここは冒険者と商人らしく、取引といきましょう。			蘇る古の武器（星屑のロッド）							
あたしは「黒き魔女シャトト」を題材にした写本を探す。あんたは、あたしが欲しいものを手に入れる。			あたしは「黒き魔女シャトト」を題材にした写本を探す。あんたは、あたしが欲しいものを手に入れる。			蘇る古の武器（星屑のロッド）							
つまり「アムダプールの石板」よ。黒衣森南部森林の「古城アムダプール」っていう第五星暦時代の遺跡を踏破すれば見つかるはずよ。			つまり「アムダプールの石板」よ。黒衣森南部森林の「古城アムダプール」っていう第五星暦時代の遺跡を踏破すれば見つかるはずよ。			蘇る古の武器（星屑のロッド）							
さぁ、公正な取引を成立させるためにも、お互い必要なものを手に入れてこようじゃないか。			さぁ、公正な取引を成立させるためにも、お互い必要なものを手に入れてこようじゃないか。			蘇る古の武器（星屑のロッド）							
確かに、集めてくれたようだね。こっちも約束を守るとしよう。さぁ、交換だよ。			確かに、集めてくれたようだね。こっちも約束を守るとしよう。さぁ、交換だよ。			蘇る古の武器（星屑のロッド）							
チッ、もう戻ったのか……おぅおぅ、ごくろうさンでしたっと。			チッ、もう戻ったのか……おぅおぅ、ごくろうさンでしたっと。			蘇る古の武器（星屑のロッド）							
確かに「黒き魔女シャトト」について記された写本みてぇだな。しっかし、読みにくい代物だなぁ、オイ。			確かに「黒き魔女シャトト」について記された写本みてぇだな。しっかし、読みにくい代物だなぁ、オイ。			蘇る古の武器（星屑のロッド）							
そうだ。オレが休ン……じゃねぇ、写本を読み込ンでる間に、テメェは、この「未完の星屑のロッド」を試してこい！			そうだ。オレが休ン……じゃねぇ、写本を読み込ンでる間に、テメェは、この「未完の星屑のロッド」を試してこい！			蘇る古の武器（星屑のロッド）							
カタチだけは、それなりに仕上がってるから、そこそこ使える武器にはなってるハズだ。			カタチだけは、それなりに仕上がってるから、そこそこ使える武器にはなってるハズだ。			蘇る古の武器（星屑のロッド）							
黒魔道士ならではの視点ってやつで、この武器に何が足りてねぇのかを調べてくれ。			黒魔道士ならではの視点ってやつで、この武器に何が足りてねぇのかを調べてくれ。			蘇る古の武器（星屑のロッド）							
写本から得られる知識と、テメェが体感して得た感覚。これを合わせることで、答えを探すンだ。			写本から得られる知識と、テメェが体感して得た感覚。これを合わせることで、答えを探すンだ。			蘇る古の武器（星屑のロッド）							
よし、かつての「シャトト」の様に、「未完の星屑のロッド」を装備して、強敵と戦ってこい。			よし、かつての「シャトト」の様に、「未完の星屑のロッド」を装備して、強敵と戦ってこい。			蘇る古の武器（星屑のロッド）							
……そうだな、外地ラノシアの「ウ・ガマロ武装鉱山」にいるウ・ガマロ・クォリーマン、ウ・ガマロ・プリースト、ウ・ガマロ・ビーズマンを各8体なで斬りにして来るンだ！			……そうだな、外地ラノシアの「ウ・ガマロ武装鉱山」にいるウ・ガマロ・クォリーマン、ウ・ガマロ・プリースト、ウ・ガマロ・ビーズマンを各8体なで斬りにして来るンだ！			蘇る古の武器（星屑のロッド）							
よし、かつての「シャトト」の様に、「未完の星屑のロッド」を装備して、強敵と戦ってこい。			よし、かつての「シャトト」の様に、「未完の星屑のロッド」を装備して、強敵と戦ってこい。			蘇る古の武器（星屑のロッド）							
……そうだな、外地ラノシアの「ウ・ガマロ武装鉱山」にいるウ・ガマロ・クォリーマン、ウ・ガマロ・プリースト、ウ・ガマロ・ビーズマンを各8体なで斬りにして来るンだ！			……そうだな、外地ラノシアの「ウ・ガマロ武装鉱山」にいるウ・ガマロ・クォリーマン、ウ・ガマロ・プリースト、ウ・ガマロ・ビーズマンを各8体なで斬りにして来るンだ！			蘇る古の武器（星屑のロッド）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（星屑のロッド）							
おう、帰ってきたか。……だが、そのツラからすっと、まだ古の武器に足りねぇモンを掴みきれてねぇようだな？			おう、帰ってきたか。……だが、そのツラからすっと、まだ古の武器に足りねぇモンを掴みきれてねぇようだな？			蘇る古の武器（星屑のロッド）							
こうなったら、伝説に残るような戦いをするっきゃねぇ。……そうだな「ハラタリ修練所」のヌシ、多頭龍「ハイドラ」を倒してこい。			こうなったら、伝説に残るような戦いをするっきゃねぇ。……そうだな「ハラタリ修練所」のヌシ、多頭龍「ハイドラ」を倒してこい。			蘇る古の武器（星屑のロッド）							
東ザナラーン「ハラタリ修練所」前の指定地点で、コンテンツ「ハイドラ討伐戦」を開放できるようになりました。			東ザナラーン「ハラタリ修練所」前の指定地点で、コンテンツ「ハイドラ討伐戦」を開放できるようになりました。			蘇る古の武器（星屑のロッド）							
「未完の星屑のロッド」を装備して「ハイドラ討伐戦」に挑み、ハイドラを倒しましょう！			「未完の星屑のロッド」を装備して「ハイドラ討伐戦」に挑み、ハイドラを倒しましょう！			蘇る古の武器（星屑のロッド）							
棲み着いていた魔獣も、あらかた掃討できたんですが、「ハイドラ」という大物だけが残っていて……。ええ！？　奴に挑むつもりですか？			棲み着いていた魔獣も、あらかた掃討できたんですが、「ハイドラ」という大物だけが残っていて……。ええ！？　奴に挑むつもりですか？			蘇る古の武器（星屑のロッド）							
修練所のヌシ「ハイドラ」は、恐怖をまき散らす、恐るべき存在。命の保証はできませんよ、それでも行くのです！？			修練所のヌシ「ハイドラ」は、恐怖をまき散らす、恐るべき存在。命の保証はできませんよ、それでも行くのです！？			蘇る古の武器（星屑のロッド）							
ハイドラとの戦いは、「未完の星屑のロッド」を装備している状態でのみ挑むことができます。			ハイドラとの戦いは、「未完の星屑のロッド」を装備している状態でのみ挑むことができます。			蘇る古の武器（星屑のロッド）							
あぁン？　写本はどうしたのか、だと？細けぇ文字を見てると、頭痛くなるンでな！……ヤカン作って、気分転換してるンだよ！			あぁン？　写本はどうしたのか、だと？細けぇ文字を見てると、頭痛くなるンでな！……ヤカン作って、気分転換してるンだよ！			蘇る古の武器（星屑のロッド）							
ガミガミガミガミ、テメェはオレの母ちゃんか？			ガミガミガミガミ、テメェはオレの母ちゃんか？			蘇る古の武器（星屑のロッド）							
テメェも、こんなところでグダグダしてねぇでさっさと「未完の星屑のロッド」を試して、意見を聞かせろってンだ！　チクショウめぇ！			テメェも、こんなところでグダグダしてねぇでさっさと「未完の星屑のロッド」を試して、意見を聞かせろってンだ！　チクショウめぇ！			蘇る古の武器（星屑のロッド）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（星屑のロッド）							
チッ、まだ生きてやがったンか……。ハイドラに喰われれば、良かったのにな？……まぁ、それはともかく、写本の話でもすっか。			チッ、まだ生きてやがったンか……。ハイドラに喰われれば、良かったのにな？……まぁ、それはともかく、写本の話でもすっか。			蘇る古の武器（星屑のロッド）							
例の写本には、シャトトに関する恐ろしい逸話の数々が記されていたンだが、その中に興味深いものがあってな。			例の写本には、シャトトに関する恐ろしい逸話の数々が記されていたンだが、その中に興味深いものがあってな。			蘇る古の武器（星屑のロッド）							
シャトトは古代魔法にも精通し、あるとき戯れに星を招く魔法「メテオ」を詠唱したそうだ。			シャトトは古代魔法にも精通し、あるとき戯れに星を招く魔法「メテオ」を詠唱したそうだ。			蘇る古の武器（星屑のロッド）							
ンで、呼び降ろした星を砕いて杖を作った……と。これこそ正真正銘、オリジナルの「星屑のロッド」だな。			ンで、呼び降ろした星を砕いて杖を作った……と。これこそ正真正銘、オリジナルの「星屑のロッド」だな。			蘇る古の武器（星屑のロッド）							
もちろん、オレたちに星を呼び降ろすことなンてできねぇ。だがな、安心しろ。星の欠片を手に入れることはできる。			もちろん、オレたちに星を呼び降ろすことなンてできねぇ。だがな、安心しろ。星の欠片を手に入れることはできる。			蘇る古の武器（星屑のロッド）							
写本に、砕けた星が大地に飛散し、岩や樹木など、あらゆる物に同化したと書かれているンだ。			写本に、砕けた星が大地に飛散し、岩や樹木など、あらゆる物に同化したと書かれているンだ。			蘇る古の武器（星屑のロッド）							
つまり、万物に変容、融合する物質「ダークマター」こそが、かつて古代魔法「メテオ」で招かれた星の名残ってわけよ。			つまり、万物に変容、融合する物質「ダークマター」こそが、かつて古代魔法「メテオ」で招かれた星の名残ってわけよ。			蘇る古の武器（星屑のロッド）							
手に入らなかった杖頭の一部を、金属で代用していたわけだが……これでオリジナルの素材について理解できたぜ。			手に入らなかった杖頭の一部を、金属で代用していたわけだが……これでオリジナルの素材について理解できたぜ。			蘇る古の武器（星屑のロッド）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（星屑のロッド）							
そんなわけで、オレの方は収穫があった。テメェの方は、どうなんだ？　しっかり使い込ンだンだろうな？「体感して得た感覚」ってもンを、説明してもらおうか！			そんなわけで、オレの方は収穫があった。テメェの方は、どうなんだ？　しっかり使い込ンだンだろうな？「体感して得た感覚」ってもンを、説明してもらおうか！			蘇る古の武器（星屑のロッド）							
なるほど……言いてぇことはわかった。確かに、テメェが指摘することにも一理はある。			なるほど……言いてぇことはわかった。確かに、テメェが指摘することにも一理はある。			蘇る古の武器（星屑のロッド）							
よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			蘇る古の武器（星屑のロッド）							
よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			蘇る古の武器（星屑のロッド）							
ふぅ……これで、ちったぁマシになったろう。あとは、最後の焼き入れを残すのみだ……。			ふぅ……これで、ちったぁマシになったろう。あとは、最後の焼き入れを残すのみだ……。			蘇る古の武器（星屑のロッド）							
「古の武器」と原型の武器、ふたつの武器と使い手の魂を最後の焼き入れによって、完全に融合させる！往年の姿を復元するンだ！			「古の武器」と原型の武器、ふたつの武器と使い手の魂を最後の焼き入れによって、完全に融合させる！往年の姿を復元するンだ！			蘇る古の武器（星屑のロッド）							
そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			蘇る古の武器（星屑のロッド）							
焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			蘇る古の武器（星屑のロッド）							
「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			蘇る古の武器（星屑のロッド）							
なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（星屑のロッド）							
そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			蘇る古の武器（星屑のロッド）							
焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			蘇る古の武器（星屑のロッド）							
「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			蘇る古の武器（星屑のロッド）							
なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（星屑のロッド）							
ヘ、ヘヘヘッ……本当に蛮神との戦いから、生きて戻ってくるとはよ……。し、心配し……いや、なんだ。……テメェも、やるじゃねぇか。			ヘ、ヘヘヘッ……本当に蛮神との戦いから、生きて戻ってくるとはよ……。し、心配し……いや、なんだ。……テメェも、やるじゃねぇか。			蘇る古の武器（星屑のロッド）							
よし、まずは「イフリートの炎」、「ガルーダの風」、「タイタンの黄土」を渡してくれ。炉の準備をするからよ……。			よし、まずは「イフリートの炎」、「ガルーダの風」、「タイタンの黄土」を渡してくれ。炉の準備をするからよ……。			蘇る古の武器（星屑のロッド）							
へへ……こいつがあれば炉は問題ねぇ。お次は、冷却用の「ラザハン焼入油」だ。ちゃんと用意してきたンだろうな？			へへ……こいつがあれば炉は問題ねぇ。お次は、冷却用の「ラザハン焼入油」だ。ちゃんと用意してきたンだろうな？			蘇る古の武器（星屑のロッド）							
「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（星屑のロッド）							
ヘ、ヘヘヘッ……これで全ての準備が整ったぜ。			ヘ、ヘヘヘッ……これで全ての準備が整ったぜ。			蘇る古の武器（星屑のロッド）							
テメェが神狩りを成したのなら、オレも武具職人として、神業を見せねぇわけにはいかねぇな。			テメェが神狩りを成したのなら、オレも武具職人として、神業を見せねぇわけにはいかねぇな。			蘇る古の武器（星屑のロッド）							
はぁ、はぁ、はぁ……つ、ついにできたぞ……それが「星屑のロッド」だッ！！！大切にしろよなッ！！！			はぁ、はぁ、はぁ……つ、ついにできたぞ……それが「星屑のロッド」だッ！！！大切にしろよなッ！！！			蘇る古の武器（星屑のロッド）							
この先、クエストを進行させるには、「邪教排撃 古城アムダプール」の攻略が必要になります。			この先、クエストを進行させるには、「邪教排撃 古城アムダプール」の攻略が必要になります。			蘇る古の武器（星屑のロッド）							
なお、「邪教排撃 古城アムダプール」をコンテンツファインダーに登録するためには、特定のクエストをコンプリートする必要があります。			なお、「邪教排撃 古城アムダプール」をコンテンツファインダーに登録するためには、特定のクエストをコンプリートする必要があります。			蘇る古の武器（星屑のロッド）							
この先、クエストを進行させるには、「真イフリート討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真イフリート討滅戦」の攻略が必要になります。			蘇る古の武器（星屑のロッド）							
なお、「真イフリート討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真イフリート討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（星屑のロッド）							
この先、クエストを進行させるには、「真ガルーダ討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真ガルーダ討滅戦」の攻略が必要になります。			蘇る古の武器（星屑のロッド）							
なお、「真ガルーダ討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真ガルーダ討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（星屑のロッド）							
この先、クエストを進行させるには、「真タイタン討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真タイタン討滅戦」の攻略が必要になります。			蘇る古の武器（星屑のロッド）							
なお、「真タイタン討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真タイタン討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（星屑のロッド）							
貧乏臭ぇ冒険者が、なンの用だ？　あぁン？こちとらテメェになんざ、用はねぇンだよ！			貧乏臭ぇ冒険者が、なンの用だ？　あぁン？こちとらテメェになんざ、用はねぇンだよ！			蘇る古の武器（星屑のロッド）							
クエスト「蘇る古の武器」を同時に複数、受注することはできません。別の武器を入手したい場合は、該当クエストをコンプリートするか、破棄する必要があります。			クエスト「蘇る古の武器」を同時に複数、受注することはできません。別の武器を入手したい場合は、該当クエストをコンプリートするか、破棄する必要があります。			蘇る古の武器（星屑のロッド）							
ドルムキマイラを倒せ！			ドルムキマイラを倒せ！			蘇る古の武器（星屑のロッド）							
ハイドラを倒せ！			ハイドラを倒せ！			蘇る古の武器（星屑のロッド）							
ウルダハのミルバネス礼拝堂にいるラライは、冒険者に、ククルカの遺した新たな黒魔法を託したいようだ。			ウルダハのミルバネス礼拝堂にいるラライは、冒険者に、ククルカの遺した新たな黒魔法を託したいようだ。			破壊の力を求めて							
前回までの冒険録：マラサジャ牢獄に100年の間捕えられていた黒魔道士ククルカ・タタルカ。彼の導きにより、冒険者は3人の獣人と出会う。獣人たちと共に、ククルカが決死の力で封じていた妖異を討伐する冒険者。憂いがなくなったことに安堵しつつ、ククルカは天へと消えていったのだった。　　　　　　　　　　　　*　*　*ラライから、ククルカの遺した書物の話を聞いた。ククルカは、新たな黒魔法についての研究成果を、二冊の書物に記したようだ。南ザナラーンのナルの祠で、「ラライ」と合流しよう。			前回までの冒険録：マラサジャ牢獄に100年の間捕えられていた黒魔道士ククルカ・タタルカ。彼の導きにより、冒険者は3人の獣人と出会う。獣人たちと共に、ククルカが決死の力で封じていた妖異を討伐する冒険者。憂いがなくなったことに安堵しつつ、ククルカは天へと消えていったのだった。　　　　　　　　　　　　*　*　*ラライから、ククルカの遺した書物の話を聞いた。ククルカは、新たな黒魔法についての研究成果を、二冊の書物に記したようだ。南ザナラーンのナルの祠で、「ラライ」と合流しよう。			破壊の力を求めて							
無事に「ナルの書」を発見できた。つづけて、東ザナラーンのザルの祠で「ラライ」と合流しよう。			無事に「ナルの書」を発見できた。つづけて、東ザナラーンのザルの祠で「ラライ」と合流しよう。			破壊の力を求めて							
「ザルの書」は、何者かによって盗み出されていた……。ウルダハに戻り、ミルバネス礼拝堂で「ラライ」と相談しよう。			「ザルの書」は、何者かによって盗み出されていた……。ウルダハに戻り、ミルバネス礼拝堂で「ラライ」と相談しよう。			破壊の力を求めて							
ラライは、「ナルの書」を解読しながら、犯人の手がかりを探ってくれるそうだ。「ザルの書」を取り返すために、己を鍛えておこう。※黒魔道士のレベルが52以上になると、ミルバネス礼拝堂のラライから次の黒魔道士クエストを受注することができます。			ラライは、「ナルの書」を解読しながら、犯人の手がかりを探ってくれるそうだ。「ザルの書」を取り返すために、己を鍛えておこう。※黒魔道士のレベルが52以上になると、ミルバネス礼拝堂のラライから次の黒魔道士クエストを受注することができます。			破壊の力を求めて							
ナルの祠のラライと合流			ナルの祠のラライと合流			破壊の力を求めて							
ザルの祠のラライと合流			ザルの祠のラライと合流			破壊の力を求めて							
ミルバネス礼拝堂のラライと話す			ミルバネス礼拝堂のラライと話す			破壊の力を求めて							
黒魔道士Forename Surnameよ。破壊の力を極めるべく、着実に前進しているようですね……。そんなあなたに、頼みたいことがあるのです。			黒魔道士Forename Surnameよ。破壊の力を極めるべく、着実に前進しているようですね……。そんなあなたに、頼みたいことがあるのです。			破壊の力を求めて							
私は、あの悲しき事件で師が亡くなったあと……ククルカ様が100年の時を過ごした、マラサジャ監獄の独房を調べていました。			私は、あの悲しき事件で師が亡くなったあと……ククルカ様が100年の時を過ごした、マラサジャ監獄の独房を調べていました。			破壊の力を求めて							
すべては、師を一時でも疑ったことの罪滅ぼし……。ククルカ様の研究内容を調査して、後世に伝えるため。			すべては、師を一時でも疑ったことの罪滅ぼし……。ククルカ様の研究内容を調査して、後世に伝えるため。			破壊の力を求めて							
……そして調査の結果、独房の中から、謎めいた文字列が綴られた、一枚の紙片が見つかったのです。			……そして調査の結果、独房の中から、謎めいた文字列が綴られた、一枚の紙片が見つかったのです。			破壊の力を求めて							
暗号化魔法を解いてみて驚きました。そこに記されていたのは、呪術士ギルドも存在さえ知らぬ、「二冊の禁書の在処」が記されていたのですから……！			暗号化魔法を解いてみて驚きました。そこに記されていたのは、呪術士ギルドも存在さえ知らぬ、「二冊の禁書の在処」が記されていたのですから……！			破壊の力を求めて							
書物の名は、「ナルの書」と「ザルの書」……。「古の禁術」が記されているという、この双書は、ククルカ様の後継者たる、あなたが受け継ぐべきでしょう。			書物の名は、「ナルの書」と「ザルの書」……。「古の禁術」が記されているという、この双書は、ククルカ様の後継者たる、あなたが受け継ぐべきでしょう。			破壊の力を求めて							
暗号に記されていた、ひとつ目の書物の在処は、「南ザナラーン」の「ナルの祠」です！かの地で、秘匿された書物を紐解いてみましょう！			暗号に記されていた、ひとつ目の書物の在処は、「南ザナラーン」の「ナルの祠」です！かの地で、秘匿された書物を紐解いてみましょう！			破壊の力を求めて							
暗号に記されていた、ひとつ目の書物の在処は、「南ザナラーン」の「ナルの祠」です。かの地で、秘匿された書物を紐解いてみましょう！			暗号に記されていた、ひとつ目の書物の在処は、「南ザナラーン」の「ナルの祠」です。かの地で、秘匿された書物を紐解いてみましょう！			破壊の力を求めて							
暗号に記された位置に、確かに古書が隠されていました……。……これが、ククルカ様が遺された「ナルの書」。			暗号に記された位置に、確かに古書が隠されていました……。……これが、ククルカ様が遺された「ナルの書」。			破壊の力を求めて							
この書物を手にしてから、手の震えが止まりません。どれほど強力な黒魔法が載っているのかと思うと恐ろしくて……。			この書物を手にしてから、手の震えが止まりません。どれほど強力な黒魔法が載っているのかと思うと恐ろしくて……。			破壊の力を求めて							
しかし、危険だからこそ、管理せねばなりません……。残る「ザルの書」は、「ザルの祠」に封じられています。早速、行ってみましょう。			しかし、危険だからこそ、管理せねばなりません……。残る「ザルの書」は、「ザルの祠」に封じられています。早速、行ってみましょう。			破壊の力を求めて							
た、大変です……！Forename Surnameよ、こちらを御覧なさい！			た、大変です……！Forename Surnameよ、こちらを御覧なさい！			破壊の力を求めて							
「ザルの書」が封印されていたはずの箱の中に、何も入っていないのです……！			「ザルの書」が封印されていたはずの箱の中に、何も入っていないのです……！			破壊の力を求めて							
い、いったい、誰が持ち去ったのでしょうか！？これは由々しき事態ですよ……！			い、いったい、誰が持ち去ったのでしょうか！？これは由々しき事態ですよ……！			破壊の力を求めて							
「破壊の力」の悪用を企む輩の手に、「ザルの書」が渡ったとしたら、どんな惨事を招くことか！			「破壊の力」の悪用を企む輩の手に、「ザルの書」が渡ったとしたら、どんな惨事を招くことか！			破壊の力を求めて							
