オールド・シャーレアンの小柄なグリーナーは、冒険者のことを探しているようだ。			オールド・シャーレアンの小柄なグリーナーは、冒険者のことを探しているようだ。			ギルドシップのモブハント（初級）							
……ありがとう、本当に頼もしいのね。それじゃあ、「ルヴェユール邸」で待っているわ！			……ありがとう、本当に頼もしいのね。それじゃあ、「ルヴェユール邸」で待っているわ！			お得意様アメリアンス							
いらっしゃい、Forenameさん！あらためて歓迎するわ。			いらっしゃい、Forenameさん！あらためて歓迎するわ。			お得意様アメリアンス							
これまでずっと、「暁の血盟」のスポンサーという形で、子どもたちのサポートをしてきたつもりだったのだけれど、その役目も、もう終わってしまったでしょう？			これまでずっと、「暁の血盟」のスポンサーという形で、子どもたちのサポートをしてきたつもりだったのだけれど、その役目も、もう終わってしまったでしょう？			お得意様アメリアンス							
だから今度はね……あなたや子どもたちが命懸けで守ってくれたこの世界を、私なりの方法で支えていきたいと思ったの。			だから今度はね……あなたや子どもたちが命懸けで守ってくれたこの世界を、私なりの方法で支えていきたいと思ったの。			お得意様アメリアンス							
でも、それも私ひとりの力では限界がある。だから、あなたが手伝ってくれることになって心強いわ。			でも、それも私ひとりの力では限界がある。だから、あなたが手伝ってくれることになって心強いわ。			お得意様アメリアンス							
Forenameさん。これからはアルフィノとアリゼーの母としてだけではなく、パートナーとしても、どうぞよろしくお願いしますね。			Forenameさん。これからはアルフィノとアリゼーの母としてだけではなく、パートナーとしても、どうぞよろしくお願いしますね。			お得意様アメリアンス							
そうそう、お家に来てもらったのには理由があるのよ。実はこのルヴェユール家でも、ホームステイの試みとして、留学生をひとり受け入れることになっているの。			そうそう、お家に来てもらったのには理由があるのよ。実はこのルヴェユール家でも、ホームステイの試みとして、留学生をひとり受け入れることになっているの。			お得意様アメリアンス							
メリルドさんが港まで迎えに行ってくれたから、もう間もなく、サベネアから女の子が来てくれるわ。とっても優秀な、錬金術師の子だそうよ！			メリルドさんが港まで迎えに行ってくれたから、もう間もなく、サベネアから女の子が来てくれるわ。とっても優秀な、錬金術師の子だそうよ！			お得意様アメリアンス							
失礼いたします、アメリアンス様。ミラディーン様をお連れいたしました。			失礼いたします、アメリアンス様。ミラディーン様をお連れいたしました。			お得意様アメリアンス							
よ、よ、よ……よろしくお願いします！！サベネアから参りました、ミラディーンと申します！今日から、た、たいへんお世話になります！			よ、よ、よ……よろしくお願いします！！サベネアから参りました、ミラディーンと申します！今日から、た、たいへんお世話になります！			お得意様アメリアンス							
まあ、あなたがミラディーンちゃんね！遠路はるばる、本当によく来てくれたわ。			まあ、あなたがミラディーンちゃんね！遠路はるばる、本当によく来てくれたわ。			お得意様アメリアンス							
私がアメリアンスよ、どうぞよろしくね。そしてこちらが……			私がアメリアンスよ、どうぞよろしくね。そしてこちらが……			お得意様アメリアンス							
はっはい、存じています！ご息女のアリゼーさんご子息のアルフィノさんですね！？			はっはい、存じています！ご息女のアリゼーさんご子息のアルフィノさんですね！？			お得意様アメリアンス							
……ふふっ、ふふふふ。残念だけれど、違うわ。			……ふふっ、ふふふふ。残念だけれど、違うわ。			お得意様アメリアンス							
こちらは私のお仕事上のパートナー、Forenameさんよ。そして……終末から世界を救った、英雄さんでもあるわ。			こちらは私のお仕事上のパートナー、Forenameさんよ。そして……終末から世界を救った、英雄さんでもあるわ。			お得意様アメリアンス							
あわわ、ごめんなさい！　とんだご無礼を！サベネア島でのご活躍も存じておりましたが、お顔を拝見したことがなくて……！			あわわ、ごめんなさい！　とんだご無礼を！サベネア島でのご活躍も存じておりましたが、お顔を拝見したことがなくて……！			お得意様アメリアンス							
憧れの魔法大学に来ることができて、なにより、本当に感激しているんです……！			憧れの魔法大学に来ることができて、なにより、本当に感激しているんです……！			お得意様アメリアンス							
この歴史を感じさせる重厚な学び舎の中で、幾人もの偉大な賢人たちが、学業に打ち込んできたんですね！			この歴史を感じさせる重厚な学び舎の中で、幾人もの偉大な賢人たちが、学業に打ち込んできたんですね！			お得意様アメリアンス							
ミラディーン様……こちらは魔法大学の校舎ではなく、ルヴェユール邸、あなた様の下宿先となります。			ミラディーン様……こちらは魔法大学の校舎ではなく、ルヴェユール邸、あなた様の下宿先となります。			お得意様アメリアンス							
慣れるまでは不便をかけてしまうかもしれないけれど、本当の家だと思ってくつろいでちょうだいね。			慣れるまでは不便をかけてしまうかもしれないけれど、本当の家だと思ってくつろいでちょうだいね。			お得意様アメリアンス							
こっ……これがお家……！？			こっ……これがお家……！？			お得意様アメリアンス							
あのっ、世間知らずで未熟者ですが、しばらくの間、どうぞよろしくお願いします！			あのっ、世間知らずで未熟者ですが、しばらくの間、どうぞよろしくお願いします！			お得意様アメリアンス							
礼儀正しくて可愛い子だわ。でも、そんなに畏まらなくていいのよ。……そうだ、ミラちゃんって呼んでもいいかしら？			礼儀正しくて可愛い子だわ。でも、そんなに畏まらなくていいのよ。……そうだ、ミラちゃんって呼んでもいいかしら？			お得意様アメリアンス							
は、はいっ！どうぞ、お好きに呼んでください！			は、はいっ！どうぞ、お好きに呼んでください！			お得意様アメリアンス							
それでは、ミラディーン様。お部屋へご案内いたします。			それでは、ミラディーン様。お部屋へご案内いたします。			お得意様アメリアンス							
他のいくつかの家庭でも、同様にホームステイが始まるわ。初めてのホストマザーとして、私も頑張らなくっちゃね！ここでうまくいけば、本格的に事業が始められる。			他のいくつかの家庭でも、同様にホームステイが始まるわ。初めてのホストマザーとして、私も頑張らなくっちゃね！ここでうまくいけば、本格的に事業が始められる。			お得意様アメリアンス							
ということで、さっそくお仕事のお話なのだけれど……あなたに調達をお願いしてもいいかしら？			ということで、さっそくお仕事のお話なのだけれど……あなたに調達をお願いしてもいいかしら？			お得意様アメリアンス							
留学生たちが落ち着き次第、授業に合流できるそうなの。それまでに、入学に必要なものを用意してもらえたら嬉しいわ。			留学生たちが落ち着き次第、授業に合流できるそうなの。それまでに、入学に必要なものを用意してもらえたら嬉しいわ。			お得意様アメリアンス							
必要な素材は、アゴラにいる、「よろず屋 シンノヴ」さんが取り揃えてくださるそうよ。よろしくお願いね、Forenameさん！			必要な素材は、アゴラにいる、「よろず屋 シンノヴ」さんが取り揃えてくださるそうよ。よろしくお願いね、Forenameさん！			お得意様アメリアンス							
知神の港のテオポルダンは、グリーナーと話している。			知神の港のテオポルダンは、グリーナーと話している。			お得意様マーグラット							
リトルシャーレアンの休憩中の研究員と話す			リトルシャーレアンの休憩中の研究員と話す			お得意様マーグラット							
テオポルダンと話す			テオポルダンと話す			お得意様マーグラット							
了解した、その方針で進めてくれ。手紙と伝言まで運んでもらって、ありがとうよ。			了解した、その方針で進めてくれ。手紙と伝言まで運んでもらって、ありがとうよ。			お得意様マーグラット							
うおっ！？終末を退けた英雄殿じゃないか！			うおっ！？終末を退けた英雄殿じゃないか！			お得意様マーグラット							
奇遇だな、こんなところでまた会えるなんて！どうだ、その後は元気にしてたか？フルシュノんとこの双子とは、今でも一緒に？			奇遇だな、こんなところでまた会えるなんて！どうだ、その後は元気にしてたか？フルシュノんとこの双子とは、今でも一緒に？			お得意様マーグラット							
……って、お前にとっては一度会っただけだもんな。思い出せなくても無理はない。			……って、お前にとっては一度会っただけだもんな。思い出せなくても無理はない。			お得意様マーグラット							
改めて、俺はテオポルダン。ラヴィリンソスの研究員たちをまとめる立場にある。			改めて、俺はテオポルダン。ラヴィリンソスの研究員たちをまとめる立場にある。			お得意様マーグラット							
前に会ったのは、エーテル縮退炉の問題で揉めてたときさ。準備を手伝いにきたお前とルヴェユールの双子に、フルシュノの話をしたんだが……まあ些末なことだ。			前に会ったのは、エーテル縮退炉の問題で揉めてたときさ。準備を手伝いにきたお前とルヴェユールの双子に、フルシュノの話をしたんだが……まあ些末なことだ。			お得意様マーグラット							
終末の騒動において、「暁」はこの星に最高の結果を持ち帰ってくれた。			終末の騒動において、「暁」はこの星に最高の結果を持ち帰ってくれた。			お得意様マーグラット							
お前たちの功績があってこそ、うちの連中も今なお研究や開発を続けられていられるんだ。			お前たちの功績があってこそ、うちの連中も今なお研究や開発を続けられていられるんだ。			お得意様マーグラット							
何と言う？			何と言う？			お得意様マーグラット							
まだラヴィリンソスで研究すべきことが？			まだラヴィリンソスで研究すべきことが？			お得意様マーグラット							
新たな魔導船を製造中とか……？			新たな魔導船を製造中とか……？			お得意様マーグラット							
魔導船を造り終えたらお役御免じゃないかって？残念、幸か不幸か、仕事は今日もたんまりあるぞ！			魔導船を造り終えたらお役御免じゃないかって？残念、幸か不幸か、仕事は今日もたんまりあるぞ！			お得意様マーグラット							
その計画は、なきにしもあらず！が、そればっかりってわけでもないな！			その計画は、なきにしもあらず！が、そればっかりってわけでもないな！			お得意様マーグラット							
折角だ、もし時間があるなら、ラヴィリンソスの「今」を見学していかないか？			折角だ、もし時間があるなら、ラヴィリンソスの「今」を見学していかないか？			お得意様マーグラット							
どのみち俺も、下へ戻る予定なんだ。グリーナー経由で受け取った研究員宛のアレコレを、甲斐甲斐しく配って回らなくちゃならん。			どのみち俺も、下へ戻る予定なんだ。グリーナー経由で受け取った研究員宛のアレコレを、甲斐甲斐しく配って回らなくちゃならん。			お得意様マーグラット							
よしきた！研究員たちも、きっと喜ぶぞ！			よしきた！研究員たちも、きっと喜ぶぞ！			お得意様マーグラット							
とすると、誰のところを訪ねるべきか……イマドキな仕事をしていて、英雄殿と話せそうな……			とすると、誰のところを訪ねるべきか……イマドキな仕事をしていて、英雄殿と話せそうな……			お得意様マーグラット							
ああ、「マーグラット」にしよう。おもしろい奴だし、ちょうど彼女宛の伝言を預かってるから、俺の用事も済んで一石二鳥だ。			ああ、「マーグラット」にしよう。おもしろい奴だし、ちょうど彼女宛の伝言を預かってるから、俺の用事も済んで一石二鳥だ。			お得意様マーグラット							
んじゃ、さっそく向かうとするか！彼女の所属する研究室は、リトルシャーレアンの東側にある。入口に誰かしらいるだろうから、声をかけてみよう。			んじゃ、さっそく向かうとするか！彼女の所属する研究室は、リトルシャーレアンの東側にある。入口に誰かしらいるだろうから、声をかけてみよう。			お得意様マーグラット							
この建物で間違いない。マーグラットがいるか聞いてみるか。			この建物で間違いない。マーグラットがいるか聞いてみるか。			お得意様マーグラット							
はい、うちの研究室に何か御用でしょうか？			はい、うちの研究室に何か御用でしょうか？			お得意様マーグラット							
休んでるところに悪いな。マーグラットは中にいるか？			休んでるところに悪いな。マーグラットは中にいるか？			お得意様マーグラット							
彼女なら……ええと……その……「シソーロス資材院の発注窓口」にいるんじゃないかと。			彼女なら……ええと……その……「シソーロス資材院の発注窓口」にいるんじゃないかと。			お得意様マーグラット							
必要なものを頼みにいっているというか……くだを巻きにいっているというか……はい……。			必要なものを頼みにいっているというか……くだを巻きにいっているというか……はい……。			お得意様マーグラット							
シソーロス資材院ってのは、名前のとおり、研究に必要な物品の管理をしている部門でな。その窓口のひとつが、リトルシャーレアンにあるんだ。			シソーロス資材院ってのは、名前のとおり、研究に必要な物品の管理をしている部門でな。その窓口のひとつが、リトルシャーレアンにあるんだ。			お得意様マーグラット							
ちょっとした消耗品の購入から、グリーナーズ・ギルドシップへの収集依頼代行までこなす、非常に便利な窓口なんだが……。			ちょっとした消耗品の購入から、グリーナーズ・ギルドシップへの収集依頼代行までこなす、非常に便利な窓口なんだが……。			お得意様マーグラット							
とりあえず、俺たちも顔を出してみるか。広場の先、エーテライトのすぐそばにある建物だ。			とりあえず、俺たちも顔を出してみるか。広場の先、エーテライトのすぐそばにある建物だ。			お得意様マーグラット							
うひゃあ……テオポルダンさんが行っちゃった……。ごめんマーグラット、無事を祈る……。			うひゃあ……テオポルダンさんが行っちゃった……。ごめんマーグラット、無事を祈る……。			お得意様マーグラット							
到着、この中に発注窓口があるんだ。さてさて、マーグラットはまだいるか……？			到着、この中に発注窓口があるんだ。さてさて、マーグラットはまだいるか……？			お得意様マーグラット							
言うまでもないことだけどね、我々ラヴィリンソスの研究員は、知の開拓者らしい合理的手法で労働環境を構築している。			言うまでもないことだけどね、我々ラヴィリンソスの研究員は、知の開拓者らしい合理的手法で労働環境を構築している。			お得意様マーグラット							
ひとつ、研究の成果は独占せずに共有すること。ふたつ、付随して利益が生じた場合には、所定の割合を本部に納入すること……。			ひとつ、研究の成果は独占せずに共有すること。ふたつ、付随して利益が生じた場合には、所定の割合を本部に納入すること……。			お得意様マーグラット							
そうして集まった資金で、研究に用いる物品を一括購入＆一元管理。おかげさまで、安く上がるし無駄もないというわけだ。			そうして集まった資金で、研究に用いる物品を一括購入＆一元管理。おかげさまで、安く上がるし無駄もないというわけだ。			お得意様マーグラット							
しかしね、ホッジくん。私は思うんだよ。			しかしね、ホッジくん。私は思うんだよ。			お得意様マーグラット							
このやり方、研究に必須な物品は正しく供給されるけど、「必須じゃないけどあると快適～！」なものは、承認が下りにくい！　てか下りない！			このやり方、研究に必須な物品は正しく供給されるけど、「必須じゃないけどあると快適～！」なものは、承認が下りにくい！　てか下りない！			お得意様マーグラット							
天下のラヴィリンソスともあろうものが、なんて狭量なんだ！このけちんぼ！　しみったれの甲斐性なしー！			天下のラヴィリンソスともあろうものが、なんて狭量なんだ！このけちんぼ！　しみったれの甲斐性なしー！			お得意様マーグラット							
……ほほーう？ずいぶん熱心にホッジの職務を邪魔してるじゃないか。			……ほほーう？ずいぶん熱心にホッジの職務を邪魔してるじゃないか。			お得意様マーグラット							
い、意見の提出と言ってほしいな！そして聞いてたんなら改善していただきたいものだね本部長！			い、意見の提出と言ってほしいな！そして聞いてたんなら改善していただきたいものだね本部長！			お得意様マーグラット							
資材院の連中はいつだって善処してくれてるさ。しかし悲しきかな、資金には限りがある……。			資材院の連中はいつだって善処してくれてるさ。しかし悲しきかな、資金には限りがある……。			お得意様マーグラット							
というわけで、おとなしく働けマーグラット。ちょうど、大事な共同開発者様から伝言を賜ってるぞ。			というわけで、おとなしく働けマーグラット。ちょうど、大事な共同開発者様から伝言を賜ってるぞ。			お得意様マーグラット							
『ご相談いただいたスケジュールの件ですが、　当初日程のままでお願いしたく存じます、かしこ』			『ご相談いただいたスケジュールの件ですが、　当初日程のままでお願いしたく存じます、かしこ』			お得意様マーグラット							
ンギイイイイィィ……！それが難しいから相談したんだがー！？！？			ンギイイイイィィ……！それが難しいから相談したんだがー！？！？			お得意様マーグラット							
なんだいなんだい、またアレかい？現場が無理だって言ってるのに、上へ上へと伝わる中で、「厳しいですがまあどうにか」みたいな空気になった！？			なんだいなんだい、またアレかい？現場が無理だって言ってるのに、上へ上へと伝わる中で、「厳しいですがまあどうにか」みたいな空気になった！？			お得意様マーグラット							
いつもそうだ！　どこもそう！かすかな望みに縋ってみても、最後にこちらへ寄こされるのは、どうにかやらなきゃならないって事実だけ！			いつもそうだ！　どこもそう！かすかな望みに縋ってみても、最後にこちらへ寄こされるのは、どうにかやらなきゃならないって事実だけ！			お得意様マーグラット							
言っておくけど、作業時間ってそうそう圧縮されないからな！？「急ぐ」なんていうのは結局、休憩やら私生活やらを削って、仕事の時間を増やしますって意味なんだ！			言っておくけど、作業時間ってそうそう圧縮されないからな！？「急ぐ」なんていうのは結局、休憩やら私生活やらを削って、仕事の時間を増やしますって意味なんだ！			お得意様マーグラット							
ウエエエーーーン、あんまりだあ……！やっと再会した愛しのフカフカベッドと、もうお別れだなんて！			ウエエエーーーン、あんまりだあ……！やっと再会した愛しのフカフカベッドと、もうお別れだなんて！			お得意様マーグラット							
あのソフトな優しさから引き離された我々は、研究室の、かっっったい椅子の上で昼も夜も過ごすんだ……。			あのソフトな優しさから引き離された我々は、研究室の、かっっったい椅子の上で昼も夜も過ごすんだ……。			お得意様マーグラット							
けちんぼ資材院が全然換えてくれない、あの椅子の上で！腰が痛い……腰が痛いよう……って呻きながら！			けちんぼ資材院が全然換えてくれない、あの椅子の上で！腰が痛い……腰が痛いよう……って呻きながら！			お得意様マーグラット							
何と言う？			何と言う？			お得意様マーグラット							
何か手伝おうか？			何か手伝おうか？			お得意様マーグラット							
自分は職人だが……			自分は職人だが……			お得意様マーグラット							
おや、君は……確かどこかで…………			おや、君は……確かどこかで…………			お得意様マーグラット							
ああそうだ、エーテルタンクを探してた人！			ああそうだ、エーテルタンクを探してた人！			お得意様マーグラット							
手を貸してくれるだなんて、そんな……恩返しされるほど大した情報は提供してなかったはずだけど、今の私は頼れるものなら頼り倒す所存だぞ？			手を貸してくれるだなんて、そんな……恩返しされるほど大した情報は提供してなかったはずだけど、今の私は頼れるものなら頼り倒す所存だぞ？			お得意様マーグラット							
具体的には、職人仕事を頼めるかい？資材を集めてきたりとか、物を作り出すような……。			具体的には、職人仕事を頼めるかい？資材を集めてきたりとか、物を作り出すような……。			お得意様マーグラット							
職人だと名乗り出たってことは、手を貸してくれると思ってもいいのかい……？			職人だと名乗り出たってことは、手を貸してくれると思ってもいいのかい……？			お得意様マーグラット							
恩返しされるほど大した情報は提供してなかったはずだけど、今の私は頼れるものなら頼り倒す所存だぞ？			恩返しされるほど大した情報は提供してなかったはずだけど、今の私は頼れるものなら頼り倒す所存だぞ？			お得意様マーグラット							
エクセレント、なんて頼り甲斐があるんだろう！どこかの誰かさんと違って、すっごく優しいし気前もいい！			エクセレント、なんて頼り甲斐があるんだろう！どこかの誰かさんと違って、すっごく優しいし気前もいい！			お得意様マーグラット							
それじゃあ遠慮なく、我々の腰を救ってくれるかな？快適な椅子やクッション、筋肉の凝りをほぐすもの、腰痛改善に役立つサプリメントの材料……。			それじゃあ遠慮なく、我々の腰を救ってくれるかな？快適な椅子やクッション、筋肉の凝りをほぐすもの、腰痛改善に役立つサプリメントの材料……。			お得意様マーグラット							
数はいくらあっても構わないよ。うちの研究室の仲間たちは、みんな同じ苦境に立たされているからね！			数はいくらあっても構わないよ。うちの研究室の仲間たちは、みんな同じ苦境に立たされているからね！			お得意様マーグラット							
もちろん、無賃労働なんて最低なことはさせるものか。以前どこぞと仕事をしたときに頂戴して持て余している、カラフルなスクリップを贈呈しよう！			もちろん、無賃労働なんて最低なことはさせるものか。以前どこぞと仕事をしたときに頂戴して持て余している、カラフルなスクリップを贈呈しよう！			お得意様マーグラット							
本当にいいのか……？こいつを手伝えば、ラヴィリンソスの今を知るって目的は、確かに果たせるだろうが……。			本当にいいのか……？こいつを手伝えば、ラヴィリンソスの今を知るって目的は、確かに果たせるだろうが……。			お得意様マーグラット							
それならまあ、こっちとしては反対する理由もない。すまないが、しばらく付き合ってやってくれ。			それならまあ、こっちとしては反対する理由もない。すまないが、しばらく付き合ってやってくれ。			お得意様マーグラット							
ホッジ！マーグラットの持ってるスクリップの発行元に連絡して、暫定的にここでも交換対応ができるようにしといてくれ。			ホッジ！マーグラットの持ってるスクリップの発行元に連絡して、暫定的にここでも交換対応ができるようにしといてくれ。			お得意様マーグラット							
………………了解。			………………了解。			お得意様マーグラット							
製作に必要なものがあれば、ホッジの隣にいる「ル・ヒャンキ」に頼むといい。備品から出す以上、さすがに無償とはいかないがな。			製作に必要なものがあれば、ホッジの隣にいる「ル・ヒャンキ」に頼むといい。備品から出す以上、さすがに無償とはいかないがな。			お得意様マーグラット							
じゃあ俺は仕事に戻るが……くれぐれも無理はするなよ。			じゃあ俺は仕事に戻るが……くれぐれも無理はするなよ。			お得意様マーグラット							
マーグラット、お前は無茶をさせるなよ！			マーグラット、お前は無茶をさせるなよ！			お得意様マーグラット							
ではでは、腰痛改善のための品々、よろしくお願いするよ！最初は様子見ってことで、少数から持ってきてくれてもいいからね……？			ではでは、腰痛改善のための品々、よろしくお願いするよ！最初は様子見ってことで、少数から持ってきてくれてもいいからね……？			お得意様マーグラット							
ルヴェユール邸のアメリアンスは、ミラディーンを迎えにいきたいようだ。			ルヴェユール邸のアメリアンスは、ミラディーンを迎えにいきたいようだ。			魔法人形は自立する							
アメリアンスと話して同行させる			アメリアンスと話して同行させる			魔法人形は自立する							
連れているアメリアンスと指定地点で話す			連れているアメリアンスと指定地点で話す			魔法人形は自立する							
アメリアンスを連れて研究中の魔法大学生と話す			アメリアンスを連れて研究中の魔法大学生と話す			魔法人形は自立する							
連れているアメリアンスと指定地点で話す			連れているアメリアンスと指定地点で話す			魔法人形は自立する							
アメリアンスと話す			アメリアンスと話す			魔法人形は自立する							
もし入れ違いになったときのために、メリルドさんには、ここで待機してもらうことにするわ。			もし入れ違いになったときのために、メリルドさんには、ここで待機してもらうことにするわ。			魔法人形は自立する							
さあ、一緒に魔法大学に行ってミラちゃんを探しましょう！ふふっ、突然行ったら驚くかしら。			さあ、一緒に魔法大学に行ってミラちゃんを探しましょう！ふふっ、突然行ったら驚くかしら。			魔法人形は自立する							
……もちろん、お迎えの役目も申し出たのですが、事を大きくしてはミラディーン様が萎縮してしまうからと……。どうかアメリアンス様をよろしくお願いいたします。			……もちろん、お迎えの役目も申し出たのですが、事を大きくしてはミラディーン様が萎縮してしまうからと……。どうかアメリアンス様をよろしくお願いいたします。			魔法人形は自立する							
クエスト進行中はお得意様取引が行えなくなります。再開するためには、クエスト「魔法人形は自立する」の、コンプリートが必要になりますので、ご注意ください。			クエスト進行中はお得意様取引が行えなくなります。再開するためには、クエスト「魔法人形は自立する」の、コンプリートが必要になりますので、ご注意ください。			魔法人形は自立する							
うーん……勇んで来てみたはいいけれど、さすがに気おくれしちゃうわね。あなたの後ろを歩いてもいいかしら……？			うーん……勇んで来てみたはいいけれど、さすがに気おくれしちゃうわね。あなたの後ろを歩いてもいいかしら……？			魔法人形は自立する							
ふふっ、ありがとう……優しいのね。			ふふっ、ありがとう……優しいのね。			魔法人形は自立する							
それじゃあ、行きましょうか。ひとまず、フェノメノン大講堂に向かってみましょう。			それじゃあ、行きましょうか。ひとまず、フェノメノン大講堂に向かってみましょう。			魔法人形は自立する							
何をする？			何をする？			魔法人形は自立する							
話す			話す			魔法人形は自立する							
同行状態を解除する			同行状態を解除する			魔法人形は自立する							
キャンセル			キャンセル			魔法人形は自立する							
あら、どうしたの？お腹でも空いちゃったかしら？			あら、どうしたの？お腹でも空いちゃったかしら？			魔法人形は自立する							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			魔法人形は自立する							
あら、急用かしら？気を付けていってらっしゃいね。魔法大学の前で待っているから、声をかけてくれると嬉しいわ。			あら、急用かしら？気を付けていってらっしゃいね。魔法大学の前で待っているから、声をかけてくれると嬉しいわ。			魔法人形は自立する							
おかえりなさい、用事はもういいのかしら？それじゃあ、ミラちゃん探し再開ね！			おかえりなさい、用事はもういいのかしら？それじゃあ、ミラちゃん探し再開ね！			魔法人形は自立する							
うーん、さすがにここでバッタリとはいかないわよね。今日は実習があると言っていたから、「工匠殿」にいるのかしら。もしそこにもいないようなら、学生さんに聞いてみましょう！			うーん、さすがにここでバッタリとはいかないわよね。今日は実習があると言っていたから、「工匠殿」にいるのかしら。もしそこにもいないようなら、学生さんに聞いてみましょう！			魔法人形は自立する							
ふふ、それにしても懐かしいわ。昔のことを思い出して、いろいろお話ししたくなっちゃう。			ふふ、それにしても懐かしいわ。昔のことを思い出して、いろいろお話ししたくなっちゃう。			魔法人形は自立する							
「シャーレアン魔法大学」について話す			「シャーレアン魔法大学」について話す			魔法人形は自立する							
「学部」について話す			「学部」について話す			魔法人形は自立する							
最後にここに来たのは、子どもたちの卒業式よ。フルシュノさんは、お仕事が入って来られなくなってね……。			最後にここに来たのは、子どもたちの卒業式よ。フルシュノさんは、お仕事が入って来られなくなってね……。			魔法人形は自立する							
それを聞いたアリゼーが、大層拗ねちゃったの。アルフィノは仕方がないことだと理解していたけれど、心の底では傷ついていたに違いないわ。			それを聞いたアリゼーが、大層拗ねちゃったの。アルフィノは仕方がないことだと理解していたけれど、心の底では傷ついていたに違いないわ。			魔法人形は自立する							
でもね、フルシュノさんの落ち込みようもすごかったのよ。休日はアリゼーの機嫌を直すために、アルフィノと一緒に、キッチンでジンジャークッキーを焼いていたっけ……ふふふ。			でもね、フルシュノさんの落ち込みようもすごかったのよ。休日はアリゼーの機嫌を直すために、アルフィノと一緒に、キッチンでジンジャークッキーを焼いていたっけ……ふふふ。			魔法人形は自立する							
私は魔法学を専攻していたのだけれど、フルシュノさんの専攻は、賢学だったわ。賢者を志す人が専攻する複合学問よ。			私は魔法学を専攻していたのだけれど、フルシュノさんの専攻は、賢学だったわ。賢者を志す人が専攻する複合学問よ。			魔法人形は自立する							
あるときね、魔法薬を実験する機会があって……そこでフルシュノさんと同じグループになったの！			あるときね、魔法薬を実験する機会があって……そこでフルシュノさんと同じグループになったの！			魔法人形は自立する							
もう信じられないほど不愛想で、噂どおりの堅物だったわ。たしかに近寄りがたい雰囲気だったのだけれど、……でもなんだかそれが面白くってね、ふふふ。			もう信じられないほど不愛想で、噂どおりの堅物だったわ。たしかに近寄りがたい雰囲気だったのだけれど、……でもなんだかそれが面白くってね、ふふふ。			魔法人形は自立する							
私が話しかけるたびに、必ず目をそらすんだもの。それが可笑しくって、可笑しくって……！ふふっ……いけない、あの人に怒られちゃう……ふふふふ。			私が話しかけるたびに、必ず目をそらすんだもの。それが可笑しくって、可笑しくって……！ふふっ……いけない、あの人に怒られちゃう……ふふふふ。			魔法人形は自立する							
あー、研究課題のテーマどうすっかなー。あとで教授に相談してみるか……。			あー、研究課題のテーマどうすっかなー。あとで教授に相談してみるか……。			魔法人形は自立する							
聞き込みをするには、アメリアンスもいた方がよさそうだ。彼女を同行させてこよう。			聞き込みをするには、アメリアンスもいた方がよさそうだ。彼女を同行させてこよう。			魔法人形は自立する							
ええと……俺に何か用っすか？			ええと……俺に何か用っすか？			魔法人形は自立する							
研究中にごめんなさい。ミラディーンという名の留学生の居場所をご存知ありませんか？			研究中にごめんなさい。ミラディーンという名の留学生の居場所をご存知ありませんか？			魔法人形は自立する							
私はアメリアンス・ルヴェユール。ミラディーンの滞在先の……ホストマザーを務めている者です。			私はアメリアンス・ルヴェユール。ミラディーンの滞在先の……ホストマザーを務めている者です。			魔法人形は自立する							
ル、ルヴェユール……！？ってあの、名門ルヴェユール家の！？			ル、ルヴェユール……！？ってあの、名門ルヴェユール家の！？			魔法人形は自立する							
ああいや、すんません！ええと、彼女なら同じ講義を受けてるんで知ってますよ。放課後は、大書院近くの東屋で自習してることが多いっす！			ああいや、すんません！ええと、彼女なら同じ講義を受けてるんで知ってますよ。放課後は、大書院近くの東屋で自習してることが多いっす！			魔法人形は自立する							
そうなのね、教えてくれてありがとう。研究の邪魔をしちゃってごめんなさい、がんばってね。			そうなのね、教えてくれてありがとう。研究の邪魔をしちゃってごめんなさい、がんばってね。			魔法人形は自立する							
はっ、はい……！お会いできて光栄っす！			はっ、はい……！お会いできて光栄っす！			魔法人形は自立する							
「大書院の近くの東屋」ですって。行ってみましょうか！			「大書院の近くの東屋」ですって。行ってみましょうか！			魔法人形は自立する							
留学生のミラディーンなら、「大書院の近くの東屋」でよく見かけるっすよ！			留学生のミラディーンなら、「大書院の近くの東屋」でよく見かけるっすよ！			魔法人形は自立する							
「ヌーメノン大書院」について話す			「ヌーメノン大書院」について話す			魔法人形は自立する							
そうそう、大書院と言えば……ある日、深夜に調べ物に来たことがあってね。普段はそんなことしないのだけど、論文の提出期限が近くて。			そうそう、大書院と言えば……ある日、深夜に調べ物に来たことがあってね。普段はそんなことしないのだけど、論文の提出期限が近くて。			魔法人形は自立する							
想像してみて？人のいない真夜中の大書院、静かで不気味……自分の足音だけが響いているの……。			想像してみて？人のいない真夜中の大書院、静かで不気味……自分の足音だけが響いているの……。			魔法人形は自立する							
すると突然、何もないところから人影が！			すると突然、何もないところから人影が！			魔法人形は自立する							
その正体は幽霊……じゃなくて、フルシュノさんよ。禁書庫に忍び込むために、バニシュの魔法を使っていたのね。			その正体は幽霊……じゃなくて、フルシュノさんよ。禁書庫に忍び込むために、バニシュの魔法を使っていたのね。			魔法人形は自立する							
