プラ・エンニ茸窟のスール＝オールは、グランソンが出した答えを聞きたいようだ。			プラ・エンニ茸窟のスール＝オールは、グランソンが出した答えを聞きたいようだ。			いつか君が言った言葉							
アンタの力を、もっとオレに見せてくれ！			アンタの力を、もっとオレに見せてくれ！			顔に傷のある男							
あれだけの罪喰いを、いとも簡単に倒すとは、どうやらオレの見る目は間違ってなかったようだな。			あれだけの罪喰いを、いとも簡単に倒すとは、どうやらオレの見る目は間違ってなかったようだな。			顔に傷のある男							
いや、試すような真似をして悪かった。アンタの腕前は十分にわかったから、続きはクリスタリウムの「彷徨う階段亭」で話そう。			いや、試すような真似をして悪かった。アンタの腕前は十分にわかったから、続きはクリスタリウムの「彷徨う階段亭」で話そう。			顔に傷のある男							
さて、アンタの強さはよくわかったことだし、改めて、正式に依頼をさせてもらえるかい？			さて、アンタの強さはよくわかったことだし、改めて、正式に依頼をさせてもらえるかい？			顔に傷のある男							
Forename、オレは、故あってディカイオシュネーを追っている。あの野郎を討つために、アンタの力を貸してほしい。			Forename、オレは、故あってディカイオシュネーを追っている。あの野郎を討つために、アンタの力を貸してほしい。			顔に傷のある男							
感謝するぜ。どうやらオレはツイてるらしい。アンタみたいな心強い助っ人に出会えたんだからな。			感謝するぜ。どうやらオレはツイてるらしい。アンタみたいな心強い助っ人に出会えたんだからな。			顔に傷のある男							
さて……そうと決まれば、まずはディカイオシュネーの居場所を探らないとな。			さて……そうと決まれば、まずはディカイオシュネーの居場所を探らないとな。			顔に傷のある男							
おそらく長旅になるだろう、お互い支度を調えておこうぜ。準備ができたら、またここに来てくれ。			おそらく長旅になるだろう、お互い支度を調えておこうぜ。準備ができたら、またここに来てくれ。			顔に傷のある男							
プラ・エンニ茸窟のスール＝オールは、冒険者を待っていたようだ。			プラ・エンニ茸窟のスール＝オールは、冒険者を待っていたようだ。			揺れる天秤							
スール＝オールと話した。双頭狼の爪の在処を教える前に、昔話に付き合ってほしいという。イル・メグのリェー・ギア城にいる「スール＝オール」と話そう。			スール＝オールと話した。双頭狼の爪の在処を教える前に、昔話に付き合ってほしいという。イル・メグのリェー・ギア城にいる「スール＝オール」と話そう。			揺れる天秤							
冒険者は、スール＝オールを通して、在りし日のフッブート王国を視た。過去視では、フッブート王国に騎士として仕えていたブランデンが、その座を追われてもなお、事件を解決しようと奔走していた。そして、事件の黒幕が、宮廷魔道士タドリクであったことを突き止める。			冒険者は、スール＝オールを通して、在りし日のフッブート王国を視た。過去視では、フッブート王国に騎士として仕えていたブランデンが、その座を追われてもなお、事件を解決しようと奔走していた。そして、事件の黒幕が、宮廷魔道士タドリクであったことを突き止める。			揺れる天秤							
「光の戦士たち」は、タドリクを追い詰めるも、一瞬の隙を突かれ、ソールディアが魔物に変えられてしまった。ソールディアを慕うブランデンは、心が定まらないまま、かつての主に剣を振り降ろした。光のクリスタルを手に涙を流すブランデンの正義は、この時を境に歪んでしまったようだ。プラ・エンニ茸窟の「スール＝オール」と話そう。			「光の戦士たち」は、タドリクを追い詰めるも、一瞬の隙を突かれ、ソールディアが魔物に変えられてしまった。ソールディアを慕うブランデンは、心が定まらないまま、かつての主に剣を振り降ろした。光のクリスタルを手に涙を流すブランデンの正義は、この時を境に歪んでしまったようだ。プラ・エンニ茸窟の「スール＝オール」と話そう。			揺れる天秤							
スール＝オールと話した。復讐を遂げるため、ディカイオシュネーのことを、同じ姿を持つブランデンごと憎み続けてきたグランソンの心は、揺らいでいるようだ。グランソンがどういう答えにたどり着くのか、待つことにしよう。※いずれかのTANKジョブのレベルが80以上になると、プラ・エンニ茸窟のスール＝オールから次のTANKロールクエストを受注することができます。			スール＝オールと話した。復讐を遂げるため、ディカイオシュネーのことを、同じ姿を持つブランデンごと憎み続けてきたグランソンの心は、揺らいでいるようだ。グランソンがどういう答えにたどり着くのか、待つことにしよう。※いずれかのTANKジョブのレベルが80以上になると、プラ・エンニ茸窟のスール＝オールから次のTANKロールクエストを受注することができます。			揺れる天秤							
リェー・ギア城のスール＝オールと話す			リェー・ギア城のスール＝オールと話す			揺れる天秤							
プラ・エンニ茸窟のスール＝オールと話す			プラ・エンニ茸窟のスール＝オールと話す			揺れる天秤							
本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「アクトラ・オルワ・イン」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「アクトラ・オルワ・イン」を完了する必要があります。			揺れる天秤							
おぬしか、ちょうど良い時に来たな。たった今、こやつの対価の支払いが終わった。約定に従い、おぬしらの問いに答えよう。			おぬしか、ちょうど良い時に来たな。たった今、こやつの対価の支払いが終わった。約定に従い、おぬしらの問いに答えよう。			揺れる天秤							
ったく、まさか犬コロにコキ使われることになるとはな。働いた分は、ちゃんと答えてもらえるんだろうな？			ったく、まさか犬コロにコキ使われることになるとはな。働いた分は、ちゃんと答えてもらえるんだろうな？			揺れる天秤							
我らを、犬と言うでない。して、何が聞きたいのじゃ？			我らを、犬と言うでない。して、何が聞きたいのじゃ？			揺れる天秤							
相棒が見た過去の情景によれば、スール＝オール、アンタはブランデンと旧知の間柄らしいな。あの野郎が今どうなっているか知っているのか？			相棒が見た過去の情景によれば、スール＝オール、アンタはブランデンと旧知の間柄らしいな。あの野郎が今どうなっているか知っているのか？			揺れる天秤							
無論じゃ。光の氾濫を起こした大罪人の汚名を着せられたまま命を落とし、挙げ句、その亡骸さえ罪喰いと成り果てておるのじゃろう？			無論じゃ。光の氾濫を起こした大罪人の汚名を着せられたまま命を落とし、挙げ句、その亡骸さえ罪喰いと成り果てておるのじゃろう？			揺れる天秤							
それなら話は早い。あの野郎は……ディカイオシュネーは、どういう訳か、フッブート王国の三国宝を集めて回っているらしい。			それなら話は早い。あの野郎は……ディカイオシュネーは、どういう訳か、フッブート王国の三国宝を集めて回っているらしい。			揺れる天秤							
そのために、これまで何人が犠牲になったことか……。			そのために、これまで何人が犠牲になったことか……。			揺れる天秤							
……そうか、あやつは未だにあの御方のことを……。相変わらず、見上げた忠義心じゃな。			……そうか、あやつは未だにあの御方のことを……。相変わらず、見上げた忠義心じゃな。			揺れる天秤							
おいおい、アンタにとっちゃお友達かもしれないがな……オレにとっちゃ、ブランデンだろうがディカイオシュネーだろうが、ミリンダを殺した憎むべき復讐の対象でしかねえんだよ。			おいおい、アンタにとっちゃお友達かもしれないがな……オレにとっちゃ、ブランデンだろうがディカイオシュネーだろうが、ミリンダを殺した憎むべき復讐の対象でしかねえんだよ。			揺れる天秤							
確かに、恋人を殺されたことは悲しむべきことであり、復讐を求めるのも理解はできる。			確かに、恋人を殺されたことは悲しむべきことであり、復讐を求めるのも理解はできる。			揺れる天秤							
が、ディカイオシュネーは、罪喰いに過ぎん。三国宝を求めるのも、肉体に残された記憶の残滓に、影響されての無自覚なものじゃろう……本来のブランデンは……			が、ディカイオシュネーは、罪喰いに過ぎん。三国宝を求めるのも、肉体に残された記憶の残滓に、影響されての無自覚なものじゃろう……本来のブランデンは……			揺れる天秤							
生前の野郎のことなんざ、知ったことか！田舎育ちの、ちょっと剣が扱える程度の凡人であるオレが、四使徒の一角を倒すには、より多くの憎しみが必要なんだ！			生前の野郎のことなんざ、知ったことか！田舎育ちの、ちょっと剣が扱える程度の凡人であるオレが、四使徒の一角を倒すには、より多くの憎しみが必要なんだ！			揺れる天秤							
今のオレにとっちゃ、ブランデンだろうがディカイオシュネーだろうが、あの野郎の姿をしたヤツはすべて敵だ！！			今のオレにとっちゃ、ブランデンだろうがディカイオシュネーだろうが、あの野郎の姿をしたヤツはすべて敵だ！！			揺れる天秤							
さあ、「双頭狼の爪」の在り処を教えてもらおうか！そいつを餌にして、あの野郎を引きずり出してやる！！			さあ、「双頭狼の爪」の在り処を教えてもらおうか！そいつを餌にして、あの野郎を引きずり出してやる！！			揺れる天秤							
おぬし……。			おぬし……。			揺れる天秤							
すまぬが、指輪そのものを渡すとなると、その対価はあまりに大きすぎて釣り合いが取れぬ。			すまぬが、指輪そのものを渡すとなると、その対価はあまりに大きすぎて釣り合いが取れぬ。			揺れる天秤							
この期に及んで対価だと？もはや四の五の言っている余裕はオレにはない！どうやら、力づくで聞き出すしかなさそうだな！！			この期に及んで対価だと？もはや四の五の言っている余裕はオレにはない！どうやら、力づくで聞き出すしかなさそうだな！！			揺れる天秤							
止めるな、Forename！！オレはミリンダの仇を討つためならば、たとえアンタだろうと！！			止めるな、Forename！！オレはミリンダの仇を討つためならば、たとえアンタだろうと！！			揺れる天秤							
……ワシはブランデンのことを気に入っていた。あやつの肉体が罪喰いに利用されたままでは、我慢がならぬというのが本意じゃ。			……ワシはブランデンのことを気に入っていた。あやつの肉体が罪喰いに利用されたままでは、我慢がならぬというのが本意じゃ。			揺れる天秤							
おぬしらがいれば……ブランデンの心を解き放ってやることができるかもしれぬな……。			おぬしらがいれば……ブランデンの心を解き放ってやることができるかもしれぬな……。			揺れる天秤							
……昔話に付き合ってくれるか。聞く気があるのなら、「リェー・ギア城」まで来い。			……昔話に付き合ってくれるか。聞く気があるのなら、「リェー・ギア城」まで来い。			揺れる天秤							
今さら、何を聞いたところで……。			今さら、何を聞いたところで……。			揺れる天秤							
よくわからんキノコをひたすら集めさせられて、疲労困憊だぜ……。			よくわからんキノコをひたすら集めさせられて、疲労困憊だぜ……。			揺れる天秤							
今でこそリェー・ギア城と呼ばれておるが、フッブート王国時代の名はグリュネスリヒト城と言ってな……100年前、ワシはこの城に仕えていたのじゃ。			今でこそリェー・ギア城と呼ばれておるが、フッブート王国時代の名はグリュネスリヒト城と言ってな……100年前、ワシはこの城に仕えていたのじゃ。			揺れる天秤							
おぬしが視た過去のとおり、フッブート王国では、人が魔物化する事件が起こっていた……。			おぬしが視た過去のとおり、フッブート王国では、人が魔物化する事件が起こっていた……。			揺れる天秤							
ブランデンは王国騎士として事件の捜査に当たっていた。じゃがある時、魔物化した住民を傷つけることをためらい、ソールディア姫が負傷してしまったのじゃ。			ブランデンは王国騎士として事件の捜査に当たっていた。じゃがある時、魔物化した住民を傷つけることをためらい、ソールディア姫が負傷してしまったのじゃ。			揺れる天秤							
姫を危険に晒したとして糾弾されたブランデンは、騎士の称号を剥奪され、王国を後にすることになってな……。			姫を危険に晒したとして糾弾されたブランデンは、騎士の称号を剥奪され、王国を後にすることになってな……。			揺れる天秤							
だが、しばらくして、ヤツは帰ってきた。魔物化事件の解決を請け負ったアルバートという冒険者の一行に、ブランデンの姿を見つけた時、ワシは嬉しかったよ。			だが、しばらくして、ヤツは帰ってきた。魔物化事件の解決を請け負ったアルバートという冒険者の一行に、ブランデンの姿を見つけた時、ワシは嬉しかったよ。			揺れる天秤							
ソールディア姫もブランデンの帰還を大いに喜び、かつてのように、ともに魔物化事件の捜査をするようになった。そうしている内に、ふたりは強い信頼関係で結ばれていった。			ソールディア姫もブランデンの帰還を大いに喜び、かつてのように、ともに魔物化事件の捜査をするようになった。そうしている内に、ふたりは強い信頼関係で結ばれていった。			揺れる天秤							
……じゃが、やがて転機が訪れる。フッブート王国にとっても、ブランデンにとっても……。			……じゃが、やがて転機が訪れる。フッブート王国にとっても、ブランデンにとっても……。			揺れる天秤							
事件の黒幕である、宮廷魔道士タドリクを追い詰めたことでな。			事件の黒幕である、宮廷魔道士タドリクを追い詰めたことでな。			揺れる天秤							
やはり、例の宮廷魔道士の仕業で間違いない。			やはり、例の宮廷魔道士の仕業で間違いない。			揺れる天秤							
そうか……わかった。なら、行こう。			そうか……わかった。なら、行こう。			揺れる天秤							
答えろ、タドリク！王に忠誠を誓う宮廷魔道士だったお前が、なぜあのような惨劇を！			答えろ、タドリク！王に忠誠を誓う宮廷魔道士だったお前が、なぜあのような惨劇を！			揺れる天秤							
ブランデン……貴様……王国を追放されたのではなかったのか！？			ブランデン……貴様……王国を追放されたのではなかったのか！？			揺れる天秤							
たとえ騎士の座を追われようとも、オレはソールディア姫のために剣を振るう……それだけだ。			たとえ騎士の座を追われようとも、オレはソールディア姫のために剣を振るう……それだけだ。			揺れる天秤							
ふん、ぬかしおって。ならば貴様らを葬り、王国を手中にするだけよ。			ふん、ぬかしおって。ならば貴様らを葬り、王国を手中にするだけよ。			揺れる天秤							
さあ、愚民ども！この私のために戦えることを光栄に思うがよい！			さあ、愚民ども！この私のために戦えることを光栄に思うがよい！			揺れる天秤							
タ、タドリク様ッ……何を！？			タ、タドリク様ッ……何を！？			揺れる天秤							
我が力の恐ろしさを見せてやろう！			我が力の恐ろしさを見せてやろう！			揺れる天秤							
己の欲望の前では、部下すら斬り捨てるか。ソールディア様の王国に、貴様は必要ない。悪いが、ここで斬らせてもらう。			己の欲望の前では、部下すら斬り捨てるか。ソールディア様の王国に、貴様は必要ない。悪いが、ここで斬らせてもらう。			揺れる天秤							
おのれ、おのれぇ…………！私はこんな所で終わるような器ではない……！王権を手にすべきは、この私だ……！！			おのれ、おのれぇ…………！私はこんな所で終わるような器ではない……！王権を手にすべきは、この私だ……！！			揺れる天秤							
ブランデン！！			ブランデン！！			揺れる天秤							
タドリク……王家の相談役まで務めたお前が、なぜ……？			タドリク……王家の相談役まで務めたお前が、なぜ……？			揺れる天秤							
まさしく、それだ……！稀代の天才たるこの私を、よくも使用人同然に……！貴様は、道連れだ……ソールディアァァァァァァァ！！！！			まさしく、それだ……！稀代の天才たるこの私を、よくも使用人同然に……！貴様は、道連れだ……ソールディアァァァァァァァ！！！！			揺れる天秤							
姫ッ！！			姫ッ！！			揺れる天秤							
チッ、こいつ……！！			チッ、こいつ……！！			揺れる天秤							
姫、ご無事ですか！？			姫、ご無事ですか！？			揺れる天秤							
ああ……それよりもブランデン、ひとつ頼みたいことがあるんだ……。			ああ……それよりもブランデン、ひとつ頼みたいことがあるんだ……。			揺れる天秤							
オレはあなたの剣になると誓った。騎士団を追われた後も、この想いは変わらない。何なりと、申しつけて……			オレはあなたの剣になると誓った。騎士団を追われた後も、この想いは変わらない。何なりと、申しつけて……			揺れる天秤							
ありがとう、ブランデン……お前のような騎士に恵まれて、私は幸せだ……。			ありがとう、ブランデン……お前のような騎士に恵まれて、私は幸せだ……。			揺れる天秤							
では……どうか頼む。お前を傷つけたくはない……。フッブート王国の民である、お前を……。			では……どうか頼む。お前を傷つけたくはない……。フッブート王国の民である、お前を……。			揺れる天秤							
できない……あなたを殺すことなど……オレにはできない！！			できない……あなたを殺すことなど……オレにはできない！！			揺れる天秤							
……頼む……ブラ……ン……デン……！！……畏れるな……正義を成すことを……！！……お前は……私の剣……なのだろう……？			……頼む……ブラ……ン……デン……！！……畏れるな……正義を成すことを……！！……お前は……私の剣……なのだろう……？			揺れる天秤							
(-魔物化したソールディア-)オマエガ……ブランデンダナ……。シンマイキシノ……ワリニ……ウデガタツト……キイテイル……。ワタシノケント……ナリ……ナリ……リリリリリリリ…………。			(-魔物化したソールディア-)オマエガ……ブランデンダナ……。シンマイキシノ……ワリニ……ウデガタツト……キイテイル……。ワタシノケント……ナリ……ナリ……リリリリリリリ…………。			揺れる天秤							
…………待ってくれ。オレが…………オレがやる…………。			…………待ってくれ。オレが…………オレがやる…………。			揺れる天秤							
(-魔物化したソールディア-)ブラン…………デン…………アリガ…………トウ…………。			(-魔物化したソールディア-)ブラン…………デン…………アリガ…………トウ…………。			揺れる天秤							
タドリクに協力していた者は、ひとり残らず捕らえ、地下牢に繋いでおきました。まだヒトの姿を保っていた者だけですが……。			タドリクに協力していた者は、ひとり残らず捕らえ、地下牢に繋いでおきました。まだヒトの姿を保っていた者だけですが……。			揺れる天秤							
オレは……もう二度と畏れたりはしない……。どんな犠牲を払ってでも、オレの正義を成してみせる……。それが、ソールディアへの手向けだ……。			オレは……もう二度と畏れたりはしない……。どんな犠牲を払ってでも、オレの正義を成してみせる……。それが、ソールディアへの手向けだ……。			揺れる天秤							
……どんな過去を視た？			……どんな過去を視た？			揺れる天秤							
あの野郎も……ブランデンも、大切な存在を自らの手で……？オレと……ミリンダの時のように……。			あの野郎も……ブランデンも、大切な存在を自らの手で……？オレと……ミリンダの時のように……。			揺れる天秤							
積もる話もあるじゃろうが……ひとまず「プラ・エンニ茸窟」に戻るとしようぞ。			積もる話もあるじゃろうが……ひとまず「プラ・エンニ茸窟」に戻るとしようぞ。			揺れる天秤							
こんな所まで連れてきて、何を話そうってんだ……。			こんな所まで連れてきて、何を話そうってんだ……。			揺れる天秤							
何故ワシがソールディア姫に仕えていたか……それは、あの御方に大きな恩があるゆえ。			何故ワシがソールディア姫に仕えていたか……それは、あの御方に大きな恩があるゆえ。			揺れる天秤							
かつてソールディア姫は、獣に襲われて死にかけていたワシを救ってくださった。			かつてソールディア姫は、獣に襲われて死にかけていたワシを救ってくださった。			揺れる天秤							
この世界に、命に代わる対価はない。ゆえに、ワシは命を懸けてソールディア姫に尽くすと誓ったのじゃ。			この世界に、命に代わる対価はない。ゆえに、ワシは命を懸けてソールディア姫に尽くすと誓ったのじゃ。			揺れる天秤							
ソールディア姫は亡くなられたが、ワシはまだ生きておる。ならば、あの御方への誓いは未だ続いているということじゃ。救わねばなるまいな……姫のために、ブランデンの亡骸を……。			ソールディア姫は亡くなられたが、ワシはまだ生きておる。ならば、あの御方への誓いは未だ続いているということじゃ。救わねばなるまいな……姫のために、ブランデンの亡骸を……。			揺れる天秤							
オレは…………。			オレは…………。			揺れる天秤							
復讐などという行為は、並の精神状態で成せるものではない。ゆえに、おぬしはブランデンとディカイオシュネー、そのどちらも憎むことで、復讐心を力に変えていたのじゃな。			復讐などという行為は、並の精神状態で成せるものではない。ゆえに、おぬしはブランデンとディカイオシュネー、そのどちらも憎むことで、復讐心を力に変えていたのじゃな。			揺れる天秤							
じゃが、ブランデンに起こった真実を知ったおぬしは、あやつに共感してしまい、その結果……憎しみが揺らいでしまった。恋人の仇を討つために捨てたはずの心が、まだ残っていたのじゃ。			じゃが、ブランデンに起こった真実を知ったおぬしは、あやつに共感してしまい、その結果……憎しみが揺らいでしまった。恋人の仇を討つために捨てたはずの心が、まだ残っていたのじゃ。			揺れる天秤							
そうなってしまっては、もう復讐のために剣は振るえまい。これからどうするのじゃ？			そうなってしまっては、もう復讐のために剣は振るえまい。これからどうするのじゃ？			揺れる天秤							
少し、考えさせてくれ……。			少し、考えさせてくれ……。			揺れる天秤							
ディカイオシュネーを討つためには、こやつの力が必要じゃ。どういう答えにたどり着くか、待ってみようではないか。			ディカイオシュネーを討つためには、こやつの力が必要じゃ。どういう答えにたどり着くか、待ってみようではないか。			揺れる天秤							
…………。			…………。			揺れる天秤							
彷徨う階段亭のグランソンは、冒険者のことを待っているようだ。			彷徨う階段亭のグランソンは、冒険者のことを待っているようだ。			あの忘れえぬ日々							
グランソンと話した。グランソンは、過去にディカイオシュネーと遭遇した経験があるという。コルシア島のライト村にいる「グランソン」と話そう。			グランソンと話した。グランソンは、過去にディカイオシュネーと遭遇した経験があるという。コルシア島のライト村にいる「グランソン」と話そう。			あの忘れえぬ日々							
グランソンと話した。ライト村の住人たちから、ディカイオシュネーの情報を集めよう。			グランソンと話した。ライト村の住人たちから、ディカイオシュネーの情報を集めよう。			あの忘れえぬ日々							
ライト村の住人たちから、ディカイオシュネーの情報を集めた。ライト村の「グランソン」と話そう。			ライト村の住人たちから、ディカイオシュネーの情報を集めた。ライト村の「グランソン」と話そう。			あの忘れえぬ日々							
グランソンと話した。ライト村で生まれ育ったというグランソンは、ミリンダという恋人とともに貧しくも幸せな日々を過ごしていたらしい。しかし、1年前のある日、突如現れたディカイオシュネーにミリンダが罪喰いにされてしまい、グランソン自らの手で討ったという、辛い過去があるようだ。ディカイオシュネーは、住人たちを罪喰いへと変えた後、ミリンダがユールモアの古物商から修復を依頼されていた腕輪、「双頭狼の牙」を拾い上げ、どこかへと消えたという。この日を境に、グランソンはディカイオシュネーへの復讐を誓ったと話す。ディカイオシュネーとの因縁について話し終えたグランソンは、ライト村に残り、引き続き情報を集めておくという。※いずれかのTANKジョブのレベルが74以上になると、ライト村のグランソンから次のTANKロールクエストを受注することができます。			グランソンと話した。ライト村で生まれ育ったというグランソンは、ミリンダという恋人とともに貧しくも幸せな日々を過ごしていたらしい。しかし、1年前のある日、突如現れたディカイオシュネーにミリンダが罪喰いにされてしまい、グランソン自らの手で討ったという、辛い過去があるようだ。ディカイオシュネーは、住人たちを罪喰いへと変えた後、ミリンダがユールモアの古物商から修復を依頼されていた腕輪、「双頭狼の牙」を拾い上げ、どこかへと消えたという。この日を境に、グランソンはディカイオシュネーへの復讐を誓ったと話す。ディカイオシュネーとの因縁について話し終えたグランソンは、ライト村に残り、引き続き情報を集めておくという。※いずれかのTANKジョブのレベルが74以上になると、ライト村のグランソンから次のTANKロールクエストを受注することができます。			あの忘れえぬ日々							
ライト村のグランソンと話す			ライト村のグランソンと話す			あの忘れえぬ日々							
ライト村で情報を集める			ライト村で情報を集める			あの忘れえぬ日々							
グランソンと話す			グランソンと話す			あの忘れえぬ日々							
よう、Forename。準備ができたようだな。			よう、Forename。準備ができたようだな。			あの忘れえぬ日々							
それじゃあ早速、ディカイオシュネーの野郎を探す旅に出るとしようぜ！			それじゃあ早速、ディカイオシュネーの野郎を探す旅に出るとしようぜ！			あの忘れえぬ日々							
探すと言っても、闇雲に歩き回るわけじゃないから、安心しな。光の氾濫で多くの土地が失われたとは言え、ノルヴラントは広大だ。そんなことしてたら、標的を見つける前にこっちがくたばっちまう。			探すと言っても、闇雲に歩き回るわけじゃないから、安心しな。光の氾濫で多くの土地が失われたとは言え、ノルヴラントは広大だ。そんなことしてたら、標的を見つける前にこっちがくたばっちまう。			あの忘れえぬ日々							
あの野郎を探す上で手がかりになるものが、ひとつあるのさ。と言うのも、オレは過去にコルシア島の「ライト村」という場所で、ディカイオシュネーと遭遇したことがあってね。			あの野郎を探す上で手がかりになるものが、ひとつあるのさ。と言うのも、オレは過去にコルシア島の「ライト村」という場所で、ディカイオシュネーと遭遇したことがあってね。			あの忘れえぬ日々							
その後、ディカイオシュネーが、再びライト村に現れたかは定かじゃないが、まずは現地に行って、情報を集めるとしよう。			その後、ディカイオシュネーが、再びライト村に現れたかは定かじゃないが、まずは現地に行って、情報を集めるとしよう。			あの忘れえぬ日々							
それじゃ……行こうぜ、相棒！			それじゃ……行こうぜ、相棒！			あの忘れえぬ日々							
ここがライト村だ。どうだい、何もないわびしい村だろ？だが、オレにとって特別な場所でな……。			ここがライト村だ。どうだい、何もないわびしい村だろ？だが、オレにとって特別な場所でな……。			あの忘れえぬ日々							
いや、この話はまた後で話そう。まずは、ディカイオシュネーの足取りを掴むことが先決だ。			いや、この話はまた後で話そう。まずは、ディカイオシュネーの足取りを掴むことが先決だ。			あの忘れえぬ日々							
二手にわかれて、村人たちから情報を集めよう。何人かと話したら、ここに戻ってきてくれ。			二手にわかれて、村人たちから情報を集めよう。何人かと話したら、ここに戻ってきてくれ。			あの忘れえぬ日々							
なんじゃ、アンタ。ワシに何か聞きたいことでも？			なんじゃ、アンタ。ワシに何か聞きたいことでも？			あの忘れえぬ日々							
ディカイオシュネーという罪喰いの居場所を知らぬか、と？もしや、ガルジェントの騎士の姿をした罪喰いのことか？			ディカイオシュネーという罪喰いの居場所を知らぬか、と？もしや、ガルジェントの騎士の姿をした罪喰いのことか？			あの忘れえぬ日々							
すまぬが、その話はしたくない。ヤツはこの村から多くのものを奪っていきおった。ワシらは一刻も早く忘れたいのじゃ、忘れられるものならばな……。			すまぬが、その話はしたくない。ヤツはこの村から多くのものを奪っていきおった。ワシらは一刻も早く忘れたいのじゃ、忘れられるものならばな……。			あの忘れえぬ日々							
ひ、ひい！何なんですか、あなたは！			ひ、ひい！何なんですか、あなたは！			あの忘れえぬ日々							
過去にこの村に現れた罪喰いを探しているって……？ま、まさかそれは……！？			過去にこの村に現れた罪喰いを探しているって……？ま、まさかそれは……！？			あの忘れえぬ日々							
あ……あの悪魔の話はやめてください！やっと外を出歩けるぐらいまで心が落ち着いてきたんです！あの光景を思い出したら、ああ…………ああああ！！			あ……あの悪魔の話はやめてください！やっと外を出歩けるぐらいまで心が落ち着いてきたんです！あの光景を思い出したら、ああ…………ああああ！！			あの忘れえぬ日々							
二手にわかれて、村人たちから情報を集めよう。何人かと話したら、村の入口で合流しよう。			二手にわかれて、村人たちから情報を集めよう。何人かと話したら、村の入口で合流しよう。			あの忘れえぬ日々							
すまぬが、その話はしたくない。ヤツはこの村から多くのものを奪っていきおった。ワシらは一刻も早く忘れたいのじゃ、忘れられるものならばな……。			すまぬが、その話はしたくない。ヤツはこの村から多くのものを奪っていきおった。ワシらは一刻も早く忘れたいのじゃ、忘れられるものならばな……。			あの忘れえぬ日々							
あ……あの悪魔の話はやめてください！やっと外を出歩けるぐらいまで心が落ち着いてきた所なんです！あの光景を思い出したら、ああ…………ああああ！！			あ……あの悪魔の話はやめてください！やっと外を出歩けるぐらいまで心が落ち着いてきた所なんです！あの光景を思い出したら、ああ…………ああああ！！			あの忘れえぬ日々							
よう、何か収穫はあったかい？			よう、何か収穫はあったかい？			あの忘れえぬ日々							
ま、だろうと思ったよ。ライト村の住人たちは、ずっと「あの日」に囚われ続けているんだ。			ま、だろうと思ったよ。ライト村の住人たちは、ずっと「あの日」に囚われ続けているんだ。			あの忘れえぬ日々							
何と答える？			何と答える？			あの忘れえぬ日々							
過去に村で何があった？			過去に村で何があった？			あの忘れえぬ日々							
あの日とは？			あの日とは？			あの忘れえぬ日々							
アンタを相棒と呼ぶからには、そろそろ話しておかなきゃならないか……。あの日、オレとライト村に起こったことを。			アンタを相棒と呼ぶからには、そろそろ話しておかなきゃならないか……。あの日、オレとライト村に起こったことを。			あの忘れえぬ日々							
言ってなかったが、オレはこの村で生まれ育ったんだ。剣しか取り柄のないオレは、狩りで日銭を稼ぎながら、恋人のミリンダと貧しくも幸せな日々を過ごしていた。			言ってなかったが、オレはこの村で生まれ育ったんだ。剣しか取り柄のないオレは、狩りで日銭を稼ぎながら、恋人のミリンダと貧しくも幸せな日々を過ごしていた。			あの忘れえぬ日々							
1年ほど前のある日……彫金職人をしていたミリンダの元に、ユールモアの古物商から、腕輪の修復依頼が舞い込んだ。			1年ほど前のある日……彫金職人をしていたミリンダの元に、ユールモアの古物商から、腕輪の修復依頼が舞い込んだ。			あの忘れえぬ日々							
どこぞの国の王族が身につけていた由緒ある品だとかで、「双頭狼の牙」という大仰な名で呼ばれていたっけ。			どこぞの国の王族が身につけていた由緒ある品だとかで、「双頭狼の牙」という大仰な名で呼ばれていたっけ。			あの忘れえぬ日々							
ちょうど、夫婦の契りを交わそうという話が出ていた時期でな。ミリンダは、この大仕事を成功させて、結婚資金を稼ぐんだ、なんて意気込んでいたよ。			ちょうど、夫婦の契りを交わそうという話が出ていた時期でな。ミリンダは、この大仕事を成功させて、結婚資金を稼ぐんだ、なんて意気込んでいたよ。			あの忘れえぬ日々							
そんな訳で、オレとしても彼女を手伝ってやりたくて、近くの造船所まで、高価な工具を借りに行ったんだ。だが、ライト村に帰ってオレが見たのは……			そんな訳で、オレとしても彼女を手伝ってやりたくて、近くの造船所まで、高価な工具を借りに行ったんだ。だが、ライト村に帰ってオレが見たのは……			あの忘れえぬ日々							
あの野郎……ディカイオシュネーが、村人たちを次々に罪喰いへと変えていく光景だった。			あの野郎……ディカイオシュネーが、村人たちを次々に罪喰いへと変えていく光景だった。			あの忘れえぬ日々							
隣の家の婆さんは、貧しいオレたちによく野菜を分けてくれた。木こりのおっさんは、冬になると家まで薪を届けてくれた。オレの目の前で、世話になった連中が化け物へと変異していく。			隣の家の婆さんは、貧しいオレたちによく野菜を分けてくれた。木こりのおっさんは、冬になると家まで薪を届けてくれた。オレの目の前で、世話になった連中が化け物へと変異していく。			あの忘れえぬ日々							
何が起こっているのか理解する前に、オレは無意識にミリンダを探していた。			何が起こっているのか理解する前に、オレは無意識にミリンダを探していた。			あの忘れえぬ日々							
