七賢人の庭のネムジジは、冒険者のことを待ち構えていたようだ。			七賢人の庭のネムジジは、冒険者のことを待ち構えていたようだ。			「パンデモニウム」への警告							
だが、仮にもパンデモニウムは、ラハブレア本人の管轄下にある施設だろう？そこで暴れることで、心証が良くなるとはとても思えなくてな。			だが、仮にもパンデモニウムは、ラハブレア本人の管轄下にある施設だろう？そこで暴れることで、心証が良くなるとはとても思えなくてな。			獄卒長は終の広間にて待つ							
その点は、同意見だが……相手の目的は不明、かつ地の利も敵にあり……状況は芳しくない。実際に矢面に立つ君は、彼の封印を可能だと思うかい？			その点は、同意見だが……相手の目的は不明、かつ地の利も敵にあり……状況は芳しくない。実際に矢面に立つ君は、彼の封印を可能だと思うかい？			獄卒長は終の広間にて待つ							
何と言う？			何と言う？			獄卒長は終の広間にて待つ							
まずは、やってみよう			まずは、やってみよう			獄卒長は終の広間にて待つ							
失敗したら、そのときにまた考えればいい			失敗したら、そのときにまた考えればいい			獄卒長は終の広間にて待つ							
まったく、あっけらかんと……。どれほどの修羅場をくぐってきたか知らないが、頼もしいよ。			まったく、あっけらかんと……。どれほどの修羅場をくぐってきたか知らないが、頼もしいよ。			獄卒長は終の広間にて待つ							
Forename、ありがとう……。			Forename、ありがとう……。			獄卒長は終の広間にて待つ							
参考になるかはわからないけど、気づいたことをひとつ。獄卒長が融合したのは、ヴリコラカスという創造生物だと思う。獲物のエーテルを吸収する生物だ。			参考になるかはわからないけど、気づいたことをひとつ。獄卒長が融合したのは、ヴリコラカスという創造生物だと思う。獲物のエーテルを吸収する生物だ。			獄卒長は終の広間にて待つ							
それに加え、パンデモニウムの内部環境へと干渉する、獄卒長の権限を用いて、戦闘を有利に進めようとしてくるだろう。不利な状況での戦いになるが……君を信じているよ。			それに加え、パンデモニウムの内部環境へと干渉する、獄卒長の権限を用いて、戦闘を有利に進めようとしてくるだろう。不利な状況での戦いになるが……君を信じているよ。			獄卒長は終の広間にて待つ							
こんな方法で力を得ようとするなんて、どちらが愚か者だか……。本当なら、この手でヘスペロスを打ち倒してやりたいが、俺の実力では返り討ちにあうだけ……この怒りはあんたに託す。			こんな方法で力を得ようとするなんて、どちらが愚か者だか……。本当なら、この手でヘスペロスを打ち倒してやりたいが、俺の実力では返り討ちにあうだけ……この怒りはあんたに託す。			獄卒長は終の広間にて待つ							
しかし……半神、「ヘーミテオス」か。融合能力をどうやって得たのか知らないが、他の生物をその身に取り込むなど、おぞましいことをするものだ。			しかし……半神、「ヘーミテオス」か。融合能力をどうやって得たのか知らないが、他の生物をその身に取り込むなど、おぞましいことをするものだ。			獄卒長は終の広間にて待つ							
さあ、テミス！ヘスペロスを……封印するぞ！			さあ、テミス！ヘスペロスを……封印するぞ！			獄卒長は終の広間にて待つ							
そうは……させぬ……。			そうは……させぬ……。			獄卒長は終の広間にて待つ							
このような不確かな存在に、半神たる私が敗れようとは……。やはり、最も警戒すべきは貴様であったということか。			このような不確かな存在に、半神たる私が敗れようとは……。やはり、最も警戒すべきは貴様であったということか。			獄卒長は終の広間にて待つ							
敗れはしたが、お前たちの好きにはさせぬ……。我が肉体……何より我が心中を、暴かせはしないッ……！			敗れはしたが、お前たちの好きにはさせぬ……。我が肉体……何より我が心中を、暴かせはしないッ……！			獄卒長は終の広間にて待つ							
まだ抵抗するのかい？Forenameとの戦いで、限界のようだが……。			まだ抵抗するのかい？Forenameとの戦いで、限界のようだが……。			獄卒長は終の広間にて待つ							
ああ、だが、やるべきことが……残って、いる。己が結末は……己自身の手で……。			ああ、だが、やるべきことが……残って、いる。己が結末は……己自身の手で……。			獄卒長は終の広間にて待つ							
フフフ……なんと嬉しき……あの方を裏切らず、心酔の中……。これこそ、我が望み……我が美しき、最……期……。			フフフ……なんと嬉しき……あの方を裏切らず、心酔の中……。これこそ、我が望み……我が美しき、最……期……。			獄卒長は終の広間にて待つ							
ヘスペロス……馬鹿な人だ……本当、馬鹿ですよ。			ヘスペロス……馬鹿な人だ……本当、馬鹿ですよ。			獄卒長は終の広間にて待つ							
俺のような「落ちこぼれ」に囚われて……。獄卒長として辺獄を立派に統率していた、あんたの方が、よほど、ラハブレアの信頼を得ていたはずなのに……。			俺のような「落ちこぼれ」に囚われて……。獄卒長として辺獄を立派に統率していた、あんたの方が、よほど、ラハブレアの信頼を得ていたはずなのに……。			獄卒長は終の広間にて待つ							
この星の一員としての役割より、自己の望みを優先し、それが叶わぬとみるや、志半ばであろうと星に還ることを選ぶ。こんな終わりもある、ということかな……。			この星の一員としての役割より、自己の望みを優先し、それが叶わぬとみるや、志半ばであろうと星に還ることを選ぶ。こんな終わりもある、ということかな……。			獄卒長は終の広間にて待つ							
だとしても……せめて、何故こんなことをしたのかくらい、教えてほしかったよ。			だとしても……せめて、何故こんなことをしたのかくらい、教えてほしかったよ。			獄卒長は終の広間にて待つ							
胸の内に秘めていたラハブレアへの心酔。その感情が肥大化し、息子である君へと嫉妬や憎悪を募らせた結果、理性を手放し、さらなる力を求めてしまったのかな……。			胸の内に秘めていたラハブレアへの心酔。その感情が肥大化し、息子である君へと嫉妬や憎悪を募らせた結果、理性を手放し、さらなる力を求めてしまったのかな……。			獄卒長は終の広間にて待つ							
誰かを強く憎んでしまうほどの、心酔や尊敬……。あんたも、そういう気持ちに覚えはあるか？			誰かを強く憎んでしまうほどの、心酔や尊敬……。あんたも、そういう気持ちに覚えはあるか？			獄卒長は終の広間にて待つ							
何と言う？			何と言う？			獄卒長は終の広間にて待つ							
わかるような気がする			わかるような気がする			獄卒長は終の広間にて待つ							
理解はできても、肯定はできない			理解はできても、肯定はできない			獄卒長は終の広間にて待つ							
そうか……。俺も、受け入れることは到底できないが……心のどこかで、共感する部分もあるんだ。			そうか……。俺も、受け入れることは到底できないが……心のどこかで、共感する部分もあるんだ。			獄卒長は終の広間にて待つ							
あの人の言葉こそが、俺を正しき方向へと導いてくれる。星の未来のため、あの人が示した道を歩んでいくべきなんだと、そう思える相手が……俺にもいたから。			あの人の言葉こそが、俺を正しき方向へと導いてくれる。星の未来のため、あの人が示した道を歩んでいくべきなんだと、そう思える相手が……俺にもいたから。			獄卒長は終の広間にて待つ							
……まあ、ヘスペロスの真意や目的はどうあれ、これで、仲間たちと創造生物を救い出せるはずだ。今は、それを喜ぼう。			……まあ、ヘスペロスの真意や目的はどうあれ、これで、仲間たちと創造生物を救い出せるはずだ。今は、それを喜ぼう。			獄卒長は終の広間にて待つ							
それなら、私も役に立てると思うよ。			それなら、私も役に立てると思うよ。			獄卒長は終の広間にて待つ							
辺獄全域を覆っていたヘスペロスの魔力は消え失せた。今なら、この施設の制御権を掌握することで、元の状態へと戻せるはずだ。			辺獄全域を覆っていたヘスペロスの魔力は消え失せた。今なら、この施設の制御権を掌握することで、元の状態へと戻せるはずだ。			獄卒長は終の広間にて待つ							
ここから、制御権を……！？あんた、そんなことまで可能なのか……？			ここから、制御権を……！？あんた、そんなことまで可能なのか……？			獄卒長は終の広間にて待つ							
……！　この気配は、なんだ……？			……！　この気配は、なんだ……？			獄卒長は終の広間にて待つ							
エリクトニオス、あの先は……。			エリクトニオス、あの先は……。			獄卒長は終の広間にて待つ							
ああ、辺獄の下にある「煉獄」層に通じている。……どうかしたのか？			ああ、辺獄の下にある「煉獄」層に通じている。……どうかしたのか？			獄卒長は終の広間にて待つ							
……ふたりとも、警戒を。			……ふたりとも、警戒を。			獄卒長は終の広間にて待つ							
辺獄を正常化したことで、ようやく下層の気配が感知できた。あの先は、まだ……！			辺獄を正常化したことで、ようやく下層の気配が感知できた。あの先は、まだ……！			獄卒長は終の広間にて待つ							
れ、煉獄への通路に結界が！？			れ、煉獄への通路に結界が！？			獄卒長は終の広間にて待つ							
……一度、地上へと戻ろう。どうやら認識を改める必要があるようだ。			……一度、地上へと戻ろう。どうやら認識を改める必要があるようだ。			獄卒長は終の広間にて待つ							
この事件は、まだ終わってなどいない。			この事件は、まだ終わってなどいない。			獄卒長は終の広間にて待つ							
次から次へと……。「辺獄」だけではなく、「煉獄」より先の階層でも、事件が起きているということか……？			次から次へと……。「辺獄」だけではなく、「煉獄」より先の階層でも、事件が起きているということか……？			獄卒長は終の広間にて待つ							
まずはひとつ、伝えておこう。ヘスペロスは倒したというのに、パンデモニウムに起きている、異変は、いっこうに収まっていない……！			まずはひとつ、伝えておこう。ヘスペロスは倒したというのに、パンデモニウムに起きている、異変は、いっこうに収まっていない……！			獄卒長は終の広間にて待つ							
まだ理解が追いついてないんだが……ヘスペロス獄卒長は、この事件の黒幕ではなかったということか？			まだ理解が追いついてないんだが……ヘスペロス獄卒長は、この事件の黒幕ではなかったということか？			獄卒長は終の広間にて待つ							
残念ながら、そういうことだね。どうやら真の黒幕は「煉獄」以下の層に潜んでいるらしい。			残念ながら、そういうことだね。どうやら真の黒幕は「煉獄」以下の層に潜んでいるらしい。			獄卒長は終の広間にて待つ							
最初に出会ったとき、君は錯乱状態だったが、やはりあれも、黒幕によるものだったのだろう……。相手はずいぶんと精神魔法に長けているようだ。			最初に出会ったとき、君は錯乱状態だったが、やはりあれも、黒幕によるものだったのだろう……。相手はずいぶんと精神魔法に長けているようだ。			獄卒長は終の広間にて待つ							
ヘスペロスもまた、魔法的に願望を増幅されていたとすれば、動機と行動が一致していなかった点にも説明がつく。彼がどうやって「融合」を果たしたのかも、ね……。			ヘスペロスもまた、魔法的に願望を増幅されていたとすれば、動機と行動が一致していなかった点にも説明がつく。彼がどうやって「融合」を果たしたのかも、ね……。			獄卒長は終の広間にて待つ							
待ってくれ、融合って……！「煉獄」以下にも、多くの獄卒たちと創造生物がいるんだぞ。			待ってくれ、融合って……！「煉獄」以下にも、多くの獄卒たちと創造生物がいるんだぞ。			獄卒長は終の広間にて待つ							
君も、気づいたようだね。獄卒たちは、融合体「ヘーミテオス」とやらに使う、「材料」として、あえて残されたのだと考えるべきだろう……！			君も、気づいたようだね。獄卒たちは、融合体「ヘーミテオス」とやらに使う、「材料」として、あえて残されたのだと考えるべきだろう……！			獄卒長は終の広間にて待つ							
つまり……仲間たちはみんな、ヘスペロス獄卒長のような融合体にされてしまったということか。			つまり……仲間たちはみんな、ヘスペロス獄卒長のような融合体にされてしまったということか。			獄卒長は終の広間にて待つ							
……いや。あれほどの精度で融合させるには、かなり時間がかかるはず。まだ、大半の獄卒は無事なはずだ。			……いや。あれほどの精度で融合させるには、かなり時間がかかるはず。まだ、大半の獄卒は無事なはずだ。			獄卒長は終の広間にて待つ							
だが……あいにく煉獄への道は、敵の結界で封鎖されてしまった。まずは結界を調べて、侵入の糸口を探らねば。			だが……あいにく煉獄への道は、敵の結界で封鎖されてしまった。まずは結界を調べて、侵入の糸口を探らねば。			獄卒長は終の広間にて待つ							
なら、先ほどの広間で結界を調べる必要があるということか。辺獄に残る創造生物が邪魔してこないといいが……。			なら、先ほどの広間で結界を調べる必要があるということか。辺獄に残る創造生物が邪魔してこないといいが……。			獄卒長は終の広間にて待つ							
……ここでひとつ、朗報も伝えておこうか。幸い、辺獄の制御権はまだ私が掌握したままだ。今なら「檻」を行使することで、一挙に再封印できるだろう。			……ここでひとつ、朗報も伝えておこうか。幸い、辺獄の制御権はまだ私が掌握したままだ。今なら「檻」を行使することで、一挙に再封印できるだろう。			獄卒長は終の広間にて待つ							
ほ、本当か……！なら辺獄の創造生物はみんな、元どおり収監できるんだな？			ほ、本当か……！なら辺獄の創造生物はみんな、元どおり収監できるんだな？			獄卒長は終の広間にて待つ							
再封印後の管理には、唯一の獄卒である、君の力を借りる必要があるけどね。煉獄への侵入方法を発見するまでの間は、安全を保てるだろう。			再封印後の管理には、唯一の獄卒である、君の力を借りる必要があるけどね。煉獄への侵入方法を発見するまでの間は、安全を保てるだろう。			獄卒長は終の広間にて待つ							
しかし、正直いって、私も、これほど深刻な事態だとまでは思ってなかった。できるかぎり、私たちだけで解決したいと考えているが……。			しかし、正直いって、私も、これほど深刻な事態だとまでは思ってなかった。できるかぎり、私たちだけで解決したいと考えているが……。			獄卒長は終の広間にて待つ							
……ラハブレアに事態を報告するか？			……ラハブレアに事態を報告するか？			獄卒長は終の広間にて待つ							
まあ、それも煉獄へと入れるようになってから考えよう……。獄卒たちの安否や、黒幕の正体に迫る情報などを集めてから、判断しても、遅くはないはずだ。			まあ、それも煉獄へと入れるようになってから考えよう……。獄卒たちの安否や、黒幕の正体に迫る情報などを集めてから、判断しても、遅くはないはずだ。			獄卒長は終の広間にて待つ							
……わかった。俺も、仲間や創造生物の被害が増すくらいなら、ラハブレアを呼び寄せた方が、遥かにマシだ。			……わかった。俺も、仲間や創造生物の被害が増すくらいなら、ラハブレアを呼び寄せた方が、遥かにマシだ。			獄卒長は終の広間にて待つ							
それに、ほかに黒幕がいるとなると、獄卒長の心酔や言動が、違う意味を持ち始める……。不確定要素があるうちは、慎重を期したほうがいいだろうからね。			それに、ほかに黒幕がいるとなると、獄卒長の心酔や言動が、違う意味を持ち始める……。不確定要素があるうちは、慎重を期したほうがいいだろうからね。			獄卒長は終の広間にて待つ							
……さて、そういうわけで、私とエリクトニオスは、まだパンデモニウムに留まるよ。ただし、しばらく戦闘の必要はなさそうだ。			……さて、そういうわけで、私とエリクトニオスは、まだパンデモニウムに留まるよ。ただし、しばらく戦闘の必要はなさそうだ。			獄卒長は終の広間にて待つ							
それならForenameだけでも、休息を取ってほしい。肉体的な疲労は、あんたが一番高いだろうからな。テミスには、引き続き負担をかけてしまうが……。			それならForenameだけでも、休息を取ってほしい。肉体的な疲労は、あんたが一番高いだろうからな。テミスには、引き続き負担をかけてしまうが……。			獄卒長は終の広間にて待つ							
ふたりのおかげで、今の成果があるんだからな。俺にできることなんて……創造生物の管理程度だ。今のうちくらい、俺に仕事を押し付けて休んでくれ。			ふたりのおかげで、今の成果があるんだからな。俺にできることなんて……創造生物の管理程度だ。今のうちくらい、俺に仕事を押し付けて休んでくれ。			獄卒長は終の広間にて待つ							
おやおや、ずいぶんと自己評価の低いことだね。創造生物に関する知識や、「檻」の魔法の行使……。それらの助けは、君なくして得られなかったというのに。			おやおや、ずいぶんと自己評価の低いことだね。創造生物に関する知識や、「檻」の魔法の行使……。それらの助けは、君なくして得られなかったというのに。			獄卒長は終の広間にて待つ							
私たちは、ここに来た経緯も立場も違う。でもだからこそ、それぞれの得意分野を活かしてこれたんだ。誰ひとり欠けても、パンデモニウムを救うことはできないよ。			私たちは、ここに来た経緯も立場も違う。でもだからこそ、それぞれの得意分野を活かしてこれたんだ。誰ひとり欠けても、パンデモニウムを救うことはできないよ。			獄卒長は終の広間にて待つ							
すまない、ヘスペロス獄卒長の酷評が存外こたえていたらしい。各々の役割を全力で果たし、内部のみんなを救う。それは……この3人で、だな。			すまない、ヘスペロス獄卒長の酷評が存外こたえていたらしい。各々の役割を全力で果たし、内部のみんなを救う。それは……この3人で、だな。			獄卒長は終の広間にて待つ							
そのとおりだとも。さておき、エリクトニオスの提案には、私も賛成だよ。Forenameには、たしかに休息が必要だ。			そのとおりだとも。さておき、エリクトニオスの提案には、私も賛成だよ。Forenameには、たしかに休息が必要だ。			獄卒長は終の広間にて待つ							
休みがてら、クリスタルを君に託した相手へと、中間報告でもしてきてはどうだい？			休みがてら、クリスタルを君に託した相手へと、中間報告でもしてきてはどうだい？			獄卒長は終の広間にて待つ							
そうか、Forenameは、十四人委員会に関係する者じゃないんだったな。なら、ラハブレアに漏れ伝わる心配もないという訳か。			そうか、Forenameは、十四人委員会に関係する者じゃないんだったな。なら、ラハブレアに漏れ伝わる心配もないという訳か。			獄卒長は終の広間にて待つ							
私も、友人にだけは状況を伝えておこうかな。ここを離れては、黒幕による結界への侵食が加速してしまうし、外での仕事を、いくつか引き受けてもらわないと……。			私も、友人にだけは状況を伝えておこうかな。ここを離れては、黒幕による結界への侵食が加速してしまうし、外での仕事を、いくつか引き受けてもらわないと……。			獄卒長は終の広間にて待つ							
クローディエン先生のご判断で、各機関への報告は、最低限の内容に留めております。実際、現代ではまだ何も起きていないですしね。			クローディエン先生のご判断で、各機関への報告は、最低限の内容に留めております。実際、現代ではまだ何も起きていないですしね。			獄卒長は終の広間にて待つ							
かき集めたクリスタルすべてのエーテル波形記録を出せって、クローディエン先生も、無茶を言うものですよ。……助手としては、そういう要求のほうが燃えますけどね！			かき集めたクリスタルすべてのエーテル波形記録を出せって、クローディエン先生も、無茶を言うものですよ。……助手としては、そういう要求のほうが燃えますけどね！			獄卒長は終の広間にて待つ							
Forenameさん、おかえりなさい！過去世界で、何か手がかりを得ることはできましたか……？			Forenameさん、おかえりなさい！過去世界で、何か手がかりを得ることはできましたか……？			獄卒長は終の広間にて待つ							
パンデモニウムに迫る危機。まさかその調査から、古の創造生物と戦う羽目になるとは……。貴方が無事に帰ってこられて、本当によかった。			パンデモニウムに迫る危機。まさかその調査から、古の創造生物と戦う羽目になるとは……。貴方が無事に帰ってこられて、本当によかった。			獄卒長は終の広間にて待つ							
クリスタルが発した警告は事実だったということですか。しかし、こうなるとクリスタルを残した人物の正体と目的が、ますます疑問に思えてきますね。			クリスタルが発した警告は事実だったということですか。しかし、こうなるとクリスタルを残した人物の正体と目的が、ますます疑問に思えてきますね。			獄卒長は終の広間にて待つ							
ええ、古代人と同時代を生きた者たちなのか、はたまた、後の世でパンデモニウムに起きた事件を知り得た者か。結晶に込められた記憶の謎は、いまだ闇の中です。			ええ、古代人と同時代を生きた者たちなのか、はたまた、後の世でパンデモニウムに起きた事件を知り得た者か。結晶に込められた記憶の謎は、いまだ闇の中です。			獄卒長は終の広間にて待つ							
……ただ、判明した事実もありますよ。Forenameさんが、ふたたび過去の事象へと干渉し、かつ、何事もなく地続きの未来である現代に帰還したことです。			……ただ、判明した事実もありますよ。Forenameさんが、ふたたび過去の事象へと干渉し、かつ、何事もなく地続きの未来である現代に帰還したことです。			獄卒長は終の広間にて待つ							
すなわち、パンデモニウムの危機は、Forenameさんが介入したことを前提に、現代への歴史に組み込まれているということになります……！			すなわち、パンデモニウムの危機は、Forenameさんが介入したことを前提に、現代への歴史に組み込まれているということになります……！			獄卒長は終の広間にて待つ							
この危機を放置すれば、歴史にどんな影響が出るかわかりません。特に未知数なのは……黒幕とやらの思惑どおり、パンデモニウムから危険な創造生物が解き放たれた場合です。			この危機を放置すれば、歴史にどんな影響が出るかわかりません。特に未知数なのは……黒幕とやらの思惑どおり、パンデモニウムから危険な創造生物が解き放たれた場合です。			獄卒長は終の広間にて待つ							
これにより、過去の世界に混乱が生じれば、古代人に、さらなる恐怖が刻み込まれるやもしれません。そして恐怖や絶望の感情は、「終末の獣」を強大化させる……。			これにより、過去の世界に混乱が生じれば、古代人に、さらなる恐怖が刻み込まれるやもしれません。そして恐怖や絶望の感情は、「終末の獣」を強大化させる……。			獄卒長は終の広間にて待つ							
危機を救わねば、古の「終末」が、より規模の大きな災厄と化すかもしれないということでしょうか。まさか……現代への歴史が途切れてしまう可能性も……？			危機を救わねば、古の「終末」が、より規模の大きな災厄と化すかもしれないということでしょうか。まさか……現代への歴史が途切れてしまう可能性も……？			獄卒長は終の広間にて待つ							
エルピスの未来と現代の繋がりを、断つわけにはいきません。最悪の事態が起こらぬよう、どうか、事件を解決まで導いてくださいませんか……？			エルピスの未来と現代の繋がりを、断つわけにはいきません。最悪の事態が起こらぬよう、どうか、事件を解決まで導いてくださいませんか……？			獄卒長は終の広間にて待つ							
ありがとうございます……。また、貴方にばかり重責を負わせる私たちをお許しください。こちらも、できるかぎりの助力を行わせていただきますので。			ありがとうございます……。また、貴方にばかり重責を負わせる私たちをお許しください。こちらも、できるかぎりの助力を行わせていただきますので。			獄卒長は終の広間にて待つ							
そうだ、例のクリスタルをお返しいただけませんか？事件の舞台は、貴方だけで向かうことができる場所のようですし、内部に込められた記憶を、さらに調査したいのです。			そうだ、例のクリスタルをお返しいただけませんか？事件の舞台は、貴方だけで向かうことができる場所のようですし、内部に込められた記憶を、さらに調査したいのです。			獄卒長は終の広間にて待つ							
はい、たしかに！過去の世界でも一区切りがついた状況のようですし、我々が研究を行っている間は、どうかお休みを……。			はい、たしかに！過去の世界でも一区切りがついた状況のようですし、我々が研究を行っている間は、どうかお休みを……。			獄卒長は終の広間にて待つ							
ああ、そうだ！　本格的に研究を始めるにあたり、もうひとり、我々の研究に携わる助手を増強したんです。貴方の調査にも関係するので、お伝えしておきますね。			ああ、そうだ！　本格的に研究を始めるにあたり、もうひとり、我々の研究に携わる助手を増強したんです。貴方の調査にも関係するので、お伝えしておきますね。			獄卒長は終の広間にて待つ							
彼女「ミレニー」は、古今東西の武具を研究しておりまして。もし過去の世界で、有用そうな物品を見つけたら、状態問わず、彼女にお持ちください。			彼女「ミレニー」は、古今東西の武具を研究しておりまして。もし過去の世界で、有用そうな物品を見つけたら、状態問わず、彼女にお持ちください。			獄卒長は終の広間にて待つ							
研究時に得たツテを活用して、貴方に役立つ装備へと、交換や加工をしてもらえるはずです。今後も戦闘は起きるでしょうし……どうかご活用ください。			研究時に得たツテを活用して、貴方に役立つ装備へと、交換や加工をしてもらえるはずです。今後も戦闘は起きるでしょうし……どうかご活用ください。			獄卒長は終の広間にて待つ							
それと、貴方が報告してくださった内容は、助手のネムジジさんに、すべて記録してもらってるんです。確認したいことがあれば、彼女にお尋ねを！			それと、貴方が報告してくださった内容は、助手のネムジジさんに、すべて記録してもらってるんです。確認したいことがあれば、彼女にお尋ねを！			獄卒長は終の広間にて待つ							
……なんだか、予感があるんです。この研究は、私の生涯で最も重大なものになるだろうと。			……なんだか、予感があるんです。この研究は、私の生涯で最も重大なものになるだろうと。			獄卒長は終の広間にて待つ							
そこに、貴方という憧れの存在が手を貸してくれること。これほど幸せで、頼もしいことはありません……。だからこそ、私も全力で研究に打ち込みたいと思います。			そこに、貴方という憧れの存在が手を貸してくれること。これほど幸せで、頼もしいことはありません……。だからこそ、私も全力で研究に打ち込みたいと思います。			獄卒長は終の広間にて待つ							
クリスタル内の記憶を解析できれば、きっとパンデモニウムの事件に役立つ情報が得られるはず……！判明した事柄があれば、すぐにお伝えいたしますね。			クリスタル内の記憶を解析できれば、きっとパンデモニウムの事件に役立つ情報が得られるはず……！判明した事柄があれば、すぐにお伝えいたしますね。			獄卒長は終の広間にて待つ							
アポリア本部のクローディエンは新発見に興奮しているようだ。			アポリア本部のクローディエンは新発見に興奮しているようだ。			「パンデモニウム」には獣が潜む							
前回までの冒険録：エルピスの直下に位置するラハブレア院の研究施設「パンデモニウム」。創造生物を収容する「大監獄」とも例えられるこの施設に、謎のクリスタルからの警告を受けた冒険者、十四人委員会に属する組織の人間だというテミスのふたりが訪れる。そこでふたりは、ラハブレアの息子であり獄卒でもあるエリクトニオスと出会う。一同は、監獄を支配した黒幕によって暴走している創造生物を封印していくと共に、洗脳された「辺獄」層の獄卒長ヘスペロスを打倒。次の層へと降りる階段の封印を解除でき次第、さらに奥深くの「煉獄」層へと向かうことを決め、冒険者は一時、現代へと帰還するのだった。　　　　　　　　　　　　*　*　*クローディエンは調査のため旅立っていった。ネムジジの助言に従い、エルピスのペリペテイア晶蔵院に向かい「晶蔵院の職員」と話そう。			前回までの冒険録：エルピスの直下に位置するラハブレア院の研究施設「パンデモニウム」。創造生物を収容する「大監獄」とも例えられるこの施設に、謎のクリスタルからの警告を受けた冒険者、十四人委員会に属する組織の人間だというテミスのふたりが訪れる。そこでふたりは、ラハブレアの息子であり獄卒でもあるエリクトニオスと出会う。一同は、監獄を支配した黒幕によって暴走している創造生物を封印していくと共に、洗脳された「辺獄」層の獄卒長ヘスペロスを打倒。次の層へと降りる階段の封印を解除でき次第、さらに奥深くの「煉獄」層へと向かうことを決め、冒険者は一時、現代へと帰還するのだった。　　　　　　　　　　　　*　*　*クローディエンは調査のため旅立っていった。ネムジジの助言に従い、エルピスのペリペテイア晶蔵院に向かい「晶蔵院の職員」と話そう。			「パンデモニウム」には獣が潜む							
同様の情報を求めて、テミスもペリペテイア晶蔵院を訪ねてきていた。エルピスのレーテー海で、「テミス」と話そう。			同様の情報を求めて、テミスもペリペテイア晶蔵院を訪ねてきていた。エルピスのレーテー海で、「テミス」と話そう。			「パンデモニウム」には獣が潜む							
ラハブレア院に獄卒長から「異常なし」という報告があったらしい。パンデモニウムへ戻るため、エルピスのレーテー海にある転移装置の前で「テミス」と話そう。			ラハブレア院に獄卒長から「異常なし」という報告があったらしい。パンデモニウムへ戻るため、エルピスのレーテー海にある転移装置の前で「テミス」と話そう。			「パンデモニウム」には獣が潜む							
エリクトニオスに黒幕からの干渉があった。パンデモニウム正門で「エリクトニオス」と話そう。			エリクトニオスに黒幕からの干渉があった。パンデモニウム正門で「エリクトニオス」と話そう。			「パンデモニウム」には獣が潜む							
エリクトニオスから礼を伝えられた。どうやら黒幕はエリクトニオスに自身の正体を明かしたらしい……。			エリクトニオスから礼を伝えられた。どうやら黒幕はエリクトニオスに自身の正体を明かしたらしい……。			「パンデモニウム」には獣が潜む							
ペリペテイア晶蔵院で晶蔵院の職員と話す			ペリペテイア晶蔵院で晶蔵院の職員と話す			「パンデモニウム」には獣が潜む							
テミスと話す			テミスと話す			「パンデモニウム」には獣が潜む							
テミスと再度話す			テミスと再度話す			「パンデモニウム」には獣が潜む							
エリクトニオスと話す			エリクトニオスと話す			「パンデモニウム」には獣が潜む							
聞いてください、Forenameさん！　大発見ですよ！例の「記憶のクリスタル」を調べた結果、ついに私にも「声」が聞こえたんです！			聞いてください、Forenameさん！　大発見ですよ！例の「記憶のクリスタル」を調べた結果、ついに私にも「声」が聞こえたんです！			「パンデモニウム」には獣が潜む							
先生、クローディエンせんせーい……！新発見に沸き立つ、研究者の悪癖がまた出ていますよ？いきなりその熱量で喋られても、相手は困るだけです。			先生、クローディエンせんせーい……！新発見に沸き立つ、研究者の悪癖がまた出ていますよ？いきなりその熱量で喋られても、相手は困るだけです。			「パンデモニウム」には獣が潜む							
あっ……Forenameさん、申し訳ありません！研究に突入すると、どうにも周りが見えなくなって。			あっ……Forenameさん、申し訳ありません！研究に突入すると、どうにも周りが見えなくなって。			「パンデモニウム」には獣が潜む							
先日、星海から現れて貴方へと警告を発した結晶……何者かの記憶が込められたクリスタルを覚えていますか？			先日、星海から現れて貴方へと警告を発した結晶……何者かの記憶が込められたクリスタルを覚えていますか？			「パンデモニウム」には獣が潜む							
古代世界に存在した「パンデモニウム」。大監獄とも称される彼の施設は、警告どおり何者かに支配され、創造生物と人との融合という、醜悪な実験が行われていた……。			古代世界に存在した「パンデモニウム」。大監獄とも称される彼の施設は、警告どおり何者かに支配され、創造生物と人との融合という、醜悪な実験が行われていた……。			「パンデモニウム」には獣が潜む							
そして貴方は、現地で出会ったテミスさんと共に、パンデモニウムの獄卒、エリクトニオスさんを救出。彼の協力も得て、もっとも浅い「辺獄」層の支配権を取り戻した。			そして貴方は、現地で出会ったテミスさんと共に、パンデモニウムの獄卒、エリクトニオスさんを救出。彼の協力も得て、もっとも浅い「辺獄」層の支配権を取り戻した。			「パンデモニウム」には獣が潜む							
しかし、より深い「煉獄」層以降は、未だに謎の敵対勢力によって、支配されたまま……。その正体も目的も、依然として不明なのでしたよね？			しかし、より深い「煉獄」層以降は、未だに謎の敵対勢力によって、支配されたまま……。その正体も目的も、依然として不明なのでしたよね？			「パンデモニウム」には獣が潜む							
我々も、更なる情報を求めクリスタルを調査しておりました。そしてついに、内部の記憶が発していると思われる、強い思念を感知することに成功したんですよ！			我々も、更なる情報を求めクリスタルを調査しておりました。そしてついに、内部の記憶が発していると思われる、強い思念を感知することに成功したんですよ！			「パンデモニウム」には獣が潜む							
思念の内容を解析したところ、驚くべき事実が判明しました……！どうやら、この現代にはもうひとつ、こうしたクリスタルが存在しているようなのです！			思念の内容を解析したところ、驚くべき事実が判明しました……！どうやら、この現代にはもうひとつ、こうしたクリスタルが存在しているようなのです！			「パンデモニウム」には獣が潜む							
