幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			偉人の後継者							
そうだ。オレが休ン……じゃねぇ、写本を読み込ンでる間に、テメェは、この「未完のタイラス」を試してこい！			そうだ。オレが休ン……じゃねぇ、写本を読み込ンでる間に、テメェは、この「未完のタイラス」を試してこい！			蘇る古の武器（タイラス）							
カタチだけは、それなりに仕上がってるから、そこそこ使える武器にはなってるハズだ。			カタチだけは、それなりに仕上がってるから、そこそこ使える武器にはなってるハズだ。			蘇る古の武器（タイラス）							
白魔道士ならではの視点ってやつで、この武器に何が足りてねぇのかを調べてくれ。			白魔道士ならではの視点ってやつで、この武器に何が足りてねぇのかを調べてくれ。			蘇る古の武器（タイラス）							
写本から得られる知識と、テメェが体感して得た感覚。これを合わせることで、答えを探すンだ。			写本から得られる知識と、テメェが体感して得た感覚。これを合わせることで、答えを探すンだ。			蘇る古の武器（タイラス）							
よし、かつての「ア・トワ・カント」の様に、「未完のタイラス」を装備して、強敵と戦ってこい。			よし、かつての「ア・トワ・カント」の様に、「未完のタイラス」を装備して、強敵と戦ってこい。			蘇る古の武器（タイラス）							
……そうだな、外地ラノシアの「ウ・ガマロ武装鉱山」にいるウ・ガマロ・クォリーマン、ウ・ガマロ・プリースト、ウ・ガマロ・ビーズマンを各8体なで斬りにして来るンだ！			……そうだな、外地ラノシアの「ウ・ガマロ武装鉱山」にいるウ・ガマロ・クォリーマン、ウ・ガマロ・プリースト、ウ・ガマロ・ビーズマンを各8体なで斬りにして来るンだ！			蘇る古の武器（タイラス）							
よし、かつての「ア・トワ・カント」の様に、「未完のタイラス」を装備して、強敵と戦ってこい。			よし、かつての「ア・トワ・カント」の様に、「未完のタイラス」を装備して、強敵と戦ってこい。			蘇る古の武器（タイラス）							
……そうだな、外地ラノシアの「ウ・ガマロ武装鉱山」にいるウ・ガマロ・クォリーマン、ウ・ガマロ・プリースト、ウ・ガマロ・ビーズマンを各8体なで斬りにして来るンだ！			……そうだな、外地ラノシアの「ウ・ガマロ武装鉱山」にいるウ・ガマロ・クォリーマン、ウ・ガマロ・プリースト、ウ・ガマロ・ビーズマンを各8体なで斬りにして来るンだ！			蘇る古の武器（タイラス）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（タイラス）							
おう、帰ってきたか。……だが、そのツラからすっと、まだ古の武器に足りねぇモンを掴みきれてねぇようだな？			おう、帰ってきたか。……だが、そのツラからすっと、まだ古の武器に足りねぇモンを掴みきれてねぇようだな？			蘇る古の武器（タイラス）							
こうなったら、伝説に残るような戦いをするっきゃねぇ。……そうだな「ハラタリ修練所」のヌシ、多頭龍「ハイドラ」を倒してこい。			こうなったら、伝説に残るような戦いをするっきゃねぇ。……そうだな「ハラタリ修練所」のヌシ、多頭龍「ハイドラ」を倒してこい。			蘇る古の武器（タイラス）							
東ザナラーン「ハラタリ修練所」前の指定地点で、コンテンツ「ハイドラ討伐戦」を開放できるようになりました。			東ザナラーン「ハラタリ修練所」前の指定地点で、コンテンツ「ハイドラ討伐戦」を開放できるようになりました。			蘇る古の武器（タイラス）							
「未完のタイラス」を装備して「ハイドラ討伐戦」に挑み、ハイドラを倒しましょう！			「未完のタイラス」を装備して「ハイドラ討伐戦」に挑み、ハイドラを倒しましょう！			蘇る古の武器（タイラス）							
棲み着いていた魔獣も、あらかた掃討できたんですが、「ハイドラ」という大物だけが残っていて……。ええ！？　奴に挑むつもりですか？			棲み着いていた魔獣も、あらかた掃討できたんですが、「ハイドラ」という大物だけが残っていて……。ええ！？　奴に挑むつもりですか？			蘇る古の武器（タイラス）							
修練所のヌシ「ハイドラ」は、恐怖をまき散らす、恐るべき存在。命の保証はできませんよ、それでも行くのです！？			修練所のヌシ「ハイドラ」は、恐怖をまき散らす、恐るべき存在。命の保証はできませんよ、それでも行くのです！？			蘇る古の武器（タイラス）							
ハイドラとの戦いは、「未完のタイラス」を装備している状態でのみ挑むことができます。			ハイドラとの戦いは、「未完のタイラス」を装備している状態でのみ挑むことができます。			蘇る古の武器（タイラス）							
あぁン？　写本はどうしたのか、だと？細けぇ文字を見てると、頭痛くなるンでな！……ヤカン作って、気分転換してるンだよ！			あぁン？　写本はどうしたのか、だと？細けぇ文字を見てると、頭痛くなるンでな！……ヤカン作って、気分転換してるンだよ！			蘇る古の武器（タイラス）							
ガミガミガミガミ、テメェはオレの母ちゃんか？			ガミガミガミガミ、テメェはオレの母ちゃんか？			蘇る古の武器（タイラス）							
テメェも、こんなところでグダグダしてねぇでさっさと「未完のタイラス」を試して、意見を聞かせろってンだ！　チクショウめぇ！			テメェも、こんなところでグダグダしてねぇでさっさと「未完のタイラス」を試して、意見を聞かせろってンだ！　チクショウめぇ！			蘇る古の武器（タイラス）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（タイラス）							
チッ、まだ生きてやがったンか……。ハイドラに喰われれば、良かったのにな？……まぁ、それはともかく、写本の話でもすっか。			チッ、まだ生きてやがったンか……。ハイドラに喰われれば、良かったのにな？……まぁ、それはともかく、写本の話でもすっか。			蘇る古の武器（タイラス）							
例の写本はな、「アルダネス聖櫃堂」の呪術士が記した随筆でな。			例の写本はな、「アルダネス聖櫃堂」の呪術士が記した随筆でな。			蘇る古の武器（タイラス）							
ウルダハに来訪したア・トワ・カントと筆者の呪術士が語らった内容が、書かれていたンだ。			ウルダハに来訪したア・トワ・カントと筆者の呪術士が語らった内容が、書かれていたンだ。			蘇る古の武器（タイラス）							
……安心しな。「タイラス」に関する話題も見つけたぜ。幻術士は一般的に、天然木で作られた杖を好むだろ？			……安心しな。「タイラス」に関する話題も見つけたぜ。幻術士は一般的に、天然木で作られた杖を好むだろ？			蘇る古の武器（タイラス）							
魔法の心得があった筆者は、角尊のア・トワ・カントが石材の杖を持つことを不思議に思い、質問したンだ。			魔法の心得があった筆者は、角尊のア・トワ・カントが石材の杖を持つことを不思議に思い、質問したンだ。			蘇る古の武器（タイラス）							
これに対し、ア・トワ・カントはこう答えた。「石にあって、石にはあらず。長き時を経て、　石の如き静寂を知るに至った樹木なり」ってな。			これに対し、ア・トワ・カントはこう答えた。「石にあって、石にはあらず。長き時を経て、　石の如き静寂を知るに至った樹木なり」ってな。			蘇る古の武器（タイラス）							
つまり、「タイラス」は樹木が変容した石……珪化木で作られていたってわけよ。			つまり、「タイラス」は樹木が変容した石……珪化木で作られていたってわけよ。			蘇る古の武器（タイラス）							
……古の武器の不足していた部分をオレが石材で補っちまったのが、マズかったみてぇだな……。			……古の武器の不足していた部分をオレが石材で補っちまったのが、マズかったみてぇだな……。			蘇る古の武器（タイラス）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（タイラス）							
そんなわけで、オレの方は収穫があった。テメェの方は、どうなんだ？　しっかり使い込ンだンだろうな？「体感して得た感覚」ってもンを、説明してもらおうか！			そんなわけで、オレの方は収穫があった。テメェの方は、どうなんだ？　しっかり使い込ンだンだろうな？「体感して得た感覚」ってもンを、説明してもらおうか！			蘇る古の武器（タイラス）							
なるほど……言いてぇことはわかった。確かに、テメェが指摘することにも一理はある。			なるほど……言いてぇことはわかった。確かに、テメェが指摘することにも一理はある。			蘇る古の武器（タイラス）							
よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			蘇る古の武器（タイラス）							
よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			蘇る古の武器（タイラス）							
ふぅ……これで、ちったぁマシになったろう。あとは、最後の焼き入れを残すのみだ……。			ふぅ……これで、ちったぁマシになったろう。あとは、最後の焼き入れを残すのみだ……。			蘇る古の武器（タイラス）							
「古の武器」と原型の武器、ふたつの武器と使い手の魂を最後の焼き入れによって、完全に融合させる！往年の姿を復元するンだ！			「古の武器」と原型の武器、ふたつの武器と使い手の魂を最後の焼き入れによって、完全に融合させる！往年の姿を復元するンだ！			蘇る古の武器（タイラス）							
そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			蘇る古の武器（タイラス）							
焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			蘇る古の武器（タイラス）							
「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			蘇る古の武器（タイラス）							
なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（タイラス）							
そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			蘇る古の武器（タイラス）							
焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			蘇る古の武器（タイラス）							
「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			蘇る古の武器（タイラス）							
なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（タイラス）							
ヘ、ヘヘヘッ……本当に蛮神との戦いから、生きて戻ってくるとはよ……。し、心配し……いや、なんだ。……テメェも、やるじゃねぇか。			ヘ、ヘヘヘッ……本当に蛮神との戦いから、生きて戻ってくるとはよ……。し、心配し……いや、なんだ。……テメェも、やるじゃねぇか。			蘇る古の武器（タイラス）							
よし、まずは「イフリートの炎」、「ガルーダの風」、「タイタンの黄土」を渡してくれ。炉の準備をするからよ……。			よし、まずは「イフリートの炎」、「ガルーダの風」、「タイタンの黄土」を渡してくれ。炉の準備をするからよ……。			蘇る古の武器（タイラス）							
へへ……こいつがあれば炉は問題ねぇ。お次は、冷却用の「ラザハン焼入油」だ。ちゃんと用意してきたンだろうな？			へへ……こいつがあれば炉は問題ねぇ。お次は、冷却用の「ラザハン焼入油」だ。ちゃんと用意してきたンだろうな？			蘇る古の武器（タイラス）							
「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（タイラス）							
ヘ、ヘヘヘッ……これで全ての準備が整ったぜ。			ヘ、ヘヘヘッ……これで全ての準備が整ったぜ。			蘇る古の武器（タイラス）							
テメェが神狩りを成したのなら、オレも武具職人として、神業を見せねぇわけにはいかねぇな。			テメェが神狩りを成したのなら、オレも武具職人として、神業を見せねぇわけにはいかねぇな。			蘇る古の武器（タイラス）							
はぁ、はぁ、はぁ……つ、ついにできたぞ……それが「タイラス」だッ！！！大切にしろよなッ！！！			はぁ、はぁ、はぁ……つ、ついにできたぞ……それが「タイラス」だッ！！！大切にしろよなッ！！！			蘇る古の武器（タイラス）							
この先、クエストを進行させるには、「邪教排撃 古城アムダプール」の攻略が必要になります。			この先、クエストを進行させるには、「邪教排撃 古城アムダプール」の攻略が必要になります。			蘇る古の武器（タイラス）							
なお、「邪教排撃 古城アムダプール」をコンテンツファインダーに登録するためには、特定のクエストをコンプリートする必要があります。			なお、「邪教排撃 古城アムダプール」をコンテンツファインダーに登録するためには、特定のクエストをコンプリートする必要があります。			蘇る古の武器（タイラス）							
この先、クエストを進行させるには、「真イフリート討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真イフリート討滅戦」の攻略が必要になります。			蘇る古の武器（タイラス）							
なお、「真イフリート討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真イフリート討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（タイラス）							
この先、クエストを進行させるには、「真ガルーダ討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真ガルーダ討滅戦」の攻略が必要になります。			蘇る古の武器（タイラス）							
なお、「真ガルーダ討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真ガルーダ討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（タイラス）							
この先、クエストを進行させるには、「真タイタン討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真タイタン討滅戦」の攻略が必要になります。			蘇る古の武器（タイラス）							
なお、「真タイタン討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真タイタン討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（タイラス）							
貧乏臭ぇ冒険者が、なンの用だ？　あぁン？こちとらテメェになんざ、用はねぇンだよ！			貧乏臭ぇ冒険者が、なンの用だ？　あぁン？こちとらテメェになんざ、用はねぇンだよ！			蘇る古の武器（タイラス）							
クエスト「蘇る古の武器」を同時に複数、受注することはできません。別の武器を入手したい場合は、該当クエストをコンプリートするか、破棄する必要があります。			クエスト「蘇る古の武器」を同時に複数、受注することはできません。別の武器を入手したい場合は、該当クエストをコンプリートするか、破棄する必要があります。			蘇る古の武器（タイラス）							
ドルムキマイラを倒せ！			ドルムキマイラを倒せ！			蘇る古の武器（タイラス）							
ハイドラを倒せ！			ハイドラを倒せ！			蘇る古の武器（タイラス）							
キャンプ・トランキルのラヤ・オ・センナは、冒険者に話があるようだ。			キャンプ・トランキルのラヤ・オ・センナは、冒険者に話があるようだ。			不浄なるもの							
前回までの冒険録：白魔道士の力を得て、角尊ラヤ・オ・センナとア・ルン・センナと共に、冒険者は、長老の木に宿る大精霊を鎮める「鎮撫の儀」を執り行う。一時蘇ったア・トワ・カントの力も借りて、一同は、大精霊を鎮めることに成功するのだった。　　　　　　　　　　　　*　*　*ラヤ・オ・センナから危険な事実が明らかになったと伝えられた。中央森林のエバーシェイドにある長老の木で「ラヤ・オ・センナ」と話そう。			前回までの冒険録：白魔道士の力を得て、角尊ラヤ・オ・センナとア・ルン・センナと共に、冒険者は、長老の木に宿る大精霊を鎮める「鎮撫の儀」を執り行う。一時蘇ったア・トワ・カントの力も借りて、一同は、大精霊を鎮めることに成功するのだった。　　　　　　　　　　　　*　*　*ラヤ・オ・センナから危険な事実が明らかになったと伝えられた。中央森林のエバーシェイドにある長老の木で「ラヤ・オ・センナ」と話そう。			不浄なるもの							
黒衣森に流れ込む「不浄なるもの」があると聞いた。北部森林のフォールゴウドで、ア・トワ・カントの従者の情報を集めよう。			黒衣森に流れ込む「不浄なるもの」があると聞いた。北部森林のフォールゴウドで、ア・トワ・カントの従者の情報を集めよう。			不浄なるもの							
従者はすでに亡くなっており、その孫がア・トワの墓標を守っているらしい。北部森林のプラウドクリークで孫の「エシヴァ」を探そう。			従者はすでに亡くなっており、その孫がア・トワの墓標を守っているらしい。北部森林のプラウドクリークで孫の「エシヴァ」を探そう。			不浄なるもの							
エシヴァを襲っていた魔物を討伐した。プラウドクリークの「エシヴァ」に「角尊の密書」を渡そう。			エシヴァを襲っていた魔物を討伐した。プラウドクリークの「エシヴァ」に「角尊の密書」を渡そう。			不浄なるもの							
エシヴァに角尊の密書を渡した。長老の木の「ラヤ・オ・センナ」と話そう。			エシヴァに角尊の密書を渡した。長老の木の「ラヤ・オ・センナ」と話そう。			不浄なるもの							
ラヤ・オ・センナたちと話した。長老の木の「エシヴァ」と話そう。			ラヤ・オ・センナたちと話した。長老の木の「エシヴァ」と話そう。			不浄なるもの							
エシヴァから今後の相談をしたいと言われた。フォールゴウドの「エシヴァ」と話そう。			エシヴァから今後の相談をしたいと言われた。フォールゴウドの「エシヴァ」と話そう。			不浄なるもの							
エシヴァと話した。浄化の旅に備え、力を蓄えておこう。※白魔道士のレベルが52以上になると、フォールゴウドのエシヴァから、次の白魔道士クエストを受注することができます。			エシヴァと話した。浄化の旅に備え、力を蓄えておこう。※白魔道士のレベルが52以上になると、フォールゴウドのエシヴァから、次の白魔道士クエストを受注することができます。			不浄なるもの							
長老の木のラヤ・オ・センナと話す			長老の木のラヤ・オ・センナと話す			不浄なるもの							
フォールゴウドで従者の情報を集める			フォールゴウドで従者の情報を集める			不浄なるもの							
エシヴァを探す			エシヴァを探す			不浄なるもの							
エシヴァに角尊の密書を渡す			エシヴァに角尊の密書を渡す			不浄なるもの							
長老の木のラヤ・オ・センナと話す			長老の木のラヤ・オ・センナと話す			不浄なるもの							
エシヴァと話す			エシヴァと話す			不浄なるもの							
フォールゴウドのエシヴァと話す			フォールゴウドのエシヴァと話す			不浄なるもの							
Forename、いいところに来たわね……。あんたの力が必要なの……。			Forename、いいところに来たわね……。あんたの力が必要なの……。			不浄なるもの							
とても危険な事実が明らかになったわ……。今すぐ、長老の木に来てくれないかしら。詳しい話は、向こうでするから……頼んだわよ。			とても危険な事実が明らかになったわ……。今すぐ、長老の木に来てくれないかしら。詳しい話は、向こうでするから……頼んだわよ。			不浄なるもの							
とても危険な事実が明らかになったわ……。今すぐ、長老の木に来てくれないかしら。詳しい話は、向こうでするから……頼んだわよ。			とても危険な事実が明らかになったわ……。今すぐ、長老の木に来てくれないかしら。詳しい話は、向こうでするから……頼んだわよ。			不浄なるもの							
来てくれてありがとう……。僕たちだけじゃ、どうしていいかわからなくて。			来てくれてありがとう……。僕たちだけじゃ、どうしていいかわからなくて。			不浄なるもの							
……大精霊の様子はどう？			……大精霊の様子はどう？			不浄なるもの							
変わらない……。同じ答えを、繰り返し告げているばかりだよ。			変わらない……。同じ答えを、繰り返し告げているばかりだよ。			不浄なるもの							
そう……。やっぱり、対話だけで解決策を探るのは難しそうね。			そう……。やっぱり、対話だけで解決策を探るのは難しそうね。			不浄なるもの							
Forename、ア・トワ様の力を借りて、「長老の木」に宿る大精霊を鎮めたことは覚えているわね？			Forename、ア・トワ様の力を借りて、「長老の木」に宿る大精霊を鎮めたことは覚えているわね？			不浄なるもの							
その後、正気を取り戻した大精霊と、対話をつづけていたの。ところが最近になって、同じ言葉を繰り返すようになった……。……「不浄なるものが流れ込み、森を蝕みつつある」ってね。			その後、正気を取り戻した大精霊と、対話をつづけていたの。ところが最近になって、同じ言葉を繰り返すようになった……。……「不浄なるものが流れ込み、森を蝕みつつある」ってね。			不浄なるもの							
エ・スミ・ヤンにも調べてもらったんだけど……どうやら、ア・トワ様が生きていた時代にも、大精霊がこういう反応を示したことがあったようなんだ。			エ・スミ・ヤンにも調べてもらったんだけど……どうやら、ア・トワ様が生きていた時代にも、大精霊がこういう反応を示したことがあったようなんだ。			不浄なるもの							
もしかして、ア・トワ様が生前に行っていた癒しの旅は、「不浄なるもの」から、森を守るためだったのかもしれない。			もしかして、ア・トワ様が生前に行っていた癒しの旅は、「不浄なるもの」から、森を守るためだったのかもしれない。			不浄なるもの							
ただ、ア・トワ様の旅に関する詳細な記録は、碩老樹瞑想窟にも、残されていないらしいのよ……。なんでも、同行していた「従者」が管理しているんだとか……。			ただ、ア・トワ様の旅に関する詳細な記録は、碩老樹瞑想窟にも、残されていないらしいのよ……。なんでも、同行していた「従者」が管理しているんだとか……。			不浄なるもの							
そこで、あんたにお願いよ！その従者を探し、この「角尊の密書」を渡してほしいの。ここへ来てもらうように書いておいたから。			そこで、あんたにお願いよ！その従者を探し、この「角尊の密書」を渡してほしいの。ここへ来てもらうように書いておいたから。			不浄なるもの							
旅から帰郷した従者は、ア・トワ様の墓標を管理するため、「フォールゴウド」で暮らしているらしいわ。			旅から帰郷した従者は、ア・トワ様の墓標を管理するため、「フォールゴウド」で暮らしているらしいわ。			不浄なるもの							
まずは、「フォールゴウド」の人たちに、従者の居場所を聞いてみて！よろしくね……！			まずは、「フォールゴウド」の人たちに、従者の居場所を聞いてみて！よろしくね……！			不浄なるもの							
「不浄なるもの」をどうにかしないと……。Forename、頼んだわよ……！			「不浄なるもの」をどうにかしないと……。Forename、頼んだわよ……！			不浄なるもの							
大精霊が、こんな反応を示すなんて……。「不浄なるもの」を早く取り除かないと……。			大精霊が、こんな反応を示すなんて……。「不浄なるもの」を早く取り除かないと……。			不浄なるもの							
まずは、「フォールゴウド」の人たちに、従者の居場所を聞いてみて！よろしくね……！			まずは、「フォールゴウド」の人たちに、従者の居場所を聞いてみて！よろしくね……！			不浄なるもの							
……残念ながら、お探しの方はすでに亡くなられております。彼の孫の「エシヴァ」が、お祖父様の役目を引き継いで、ア・トワ様の墓標を管理していますよ。			……残念ながら、お探しの方はすでに亡くなられております。彼の孫の「エシヴァ」が、お祖父様の役目を引き継いで、ア・トワ様の墓標を管理していますよ。			不浄なるもの							
墓標は、黒衣森の「プラウドクリーク」にありまして。先代から引き継いだ大切な役目とはいえ、魔物も徘徊している場所なので、心配ですよ……。			墓標は、黒衣森の「プラウドクリーク」にありまして。先代から引き継いだ大切な役目とはいえ、魔物も徘徊している場所なので、心配ですよ……。			不浄なるもの							
……ア・トワ様の従者ねえ。確かに、お墓を管理している方がいるって聞いたことがあるわ。でも、若い女性だったような……。			……ア・トワ様の従者ねえ。確かに、お墓を管理している方がいるって聞いたことがあるわ。でも、若い女性だったような……。			不浄なるもの							
……ア・トワ様の従者の方？その方でしたら、数年前に亡くなってしまいましてね……。亡くなる直前まで、ア・トワ様の墓標を気にしてました。			……ア・トワ様の従者の方？その方でしたら、数年前に亡くなってしまいましてね……。亡くなる直前まで、ア・トワ様の墓標を気にしてました。			不浄なるもの							
墓標の管理は、孫の「エシヴァ」が引き継いだのですが、なんでも、先日墓標が野盗に荒らされてしまったとか。最近は、墓標の手入れに余念がないようですよ。			墓標の管理は、孫の「エシヴァ」が引き継いだのですが、なんでも、先日墓標が野盗に荒らされてしまったとか。最近は、墓標の手入れに余念がないようですよ。			不浄なるもの							
墓標は、黒衣森の「プラウドクリーク」にありまして。先代から引き継いだ大切な役目とはいえ、魔物も徘徊している場所なので、心配ですよ……。			墓標は、黒衣森の「プラウドクリーク」にありまして。先代から引き継いだ大切な役目とはいえ、魔物も徘徊している場所なので、心配ですよ……。			不浄なるもの							
……ア・トワ様の従者ねえ。確かにお墓を管理している方がいるって聞いたことがあるわ。でも、若い女性だったような……。			……ア・トワ様の従者ねえ。確かにお墓を管理している方がいるって聞いたことがあるわ。でも、若い女性だったような……。			不浄なるもの							
墓標の管理は、孫の「エシヴァ」が引き継いだのですが、なんでも、先日墓標が野盗に荒らされてしまったとか。最近は、墓標の手入れに余念がないようですよ。			墓標の管理は、孫の「エシヴァ」が引き継いだのですが、なんでも、先日墓標が野盗に荒らされてしまったとか。最近は、墓標の手入れに余念がないようですよ。			不浄なるもの							
ありがとうございます……！墓標の手入れに夢中で、背後の警戒を怠っていました……。			ありがとうございます……！墓標の手入れに夢中で、背後の警戒を怠っていました……。			不浄なるもの							
あなたは、旅のお方ですか？……えっ！角尊がア・トワ様の従者を探している……？			あなたは、旅のお方ですか？……えっ！角尊がア・トワ様の従者を探している……？			不浄なるもの							
…………それは、数年前に亡くなった私の祖父です。しかし、今ごろになって、角尊様が何のご用ですか？			…………それは、数年前に亡くなった私の祖父です。しかし、今ごろになって、角尊様が何のご用ですか？			不浄なるもの							
……祖父が亡くなってからは、私が後を継いで、ア・トワ様の墓標を管理してます。用件でしたら、私が承りましょう……。			……祖父が亡くなってからは、私が後を継いで、ア・トワ様の墓標を管理してます。用件でしたら、私が承りましょう……。			不浄なるもの							
……これは！この手紙に書かれていたことは本当なのですか？黒衣森が、「不浄なるもの」の脅威にさらされているなんて。			……これは！この手紙に書かれていたことは本当なのですか？黒衣森が、「不浄なるもの」の脅威にさらされているなんて。			不浄なるもの							
ご推察のとおりです……。ア・トワ様の旅は、各地の「不浄なるもの」を浄化し、取り除くためのものでした……。			ご推察のとおりです……。ア・トワ様の旅は、各地の「不浄なるもの」を浄化し、取り除くためのものでした……。			不浄なるもの							
「不浄なるもの」とは、何らかの原因により穢れたエーテル。直接、その原因を探し出して浄化しないかぎり、完全に取り除くことはできません……。			「不浄なるもの」とは、何らかの原因により穢れたエーテル。直接、その原因を探し出して浄化しないかぎり、完全に取り除くことはできません……。			不浄なるもの							
……でも、かつてのア・トワ様のように、「不浄なるもの」を浄化する旅に出向く勇気を、今の角尊が持てるのならば……。			……でも、かつてのア・トワ様のように、「不浄なるもの」を浄化する旅に出向く勇気を、今の角尊が持てるのならば……。			不浄なるもの							
この話を、角尊の前で説明しなければいけませんね……。亡くなった祖父に代わり、私が「長老の木」まで出向きます。			この話を、角尊の前で説明しなければいけませんね……。亡くなった祖父に代わり、私が「長老の木」まで出向きます。			不浄なるもの							
浄化の旅なんて、そんな……。			浄化の旅なんて、そんな……。			不浄なるもの							
現代の角尊が、どのような答えを出すのか……。私は…………。			現代の角尊が、どのような答えを出すのか……。私は…………。			不浄なるもの							
エシヴァを探してきてくれてありがとう。話は、彼女から聞いたわ……。			エシヴァを探してきてくれてありがとう。話は、彼女から聞いたわ……。			不浄なるもの							
「不浄なるもの」の脅威にさらされた森を守るには、その根源を探し出して、浄化するしかない。そういうことだね……？			「不浄なるもの」の脅威にさらされた森を守るには、その根源を探し出して、浄化するしかない。そういうことだね……？			不浄なるもの							
だからこそ、ア・トワ様は角尊として生まれながら、森を出て世界を旅するという選択をなさったのです。			だからこそ、ア・トワ様は角尊として生まれながら、森を出て世界を旅するという選択をなさったのです。			不浄なるもの							
でも、それはア・トワ様だからできたことよ。森の掟によって、特別な使命を帯びてるあたしたちは、そう簡単に、森の外へ行くことは……。			でも、それはア・トワ様だからできたことよ。森の掟によって、特別な使命を帯びてるあたしたちは、そう簡単に、森の外へ行くことは……。			不浄なるもの							
Forename……。君の力を、黒衣森を救うために貸してもらえないかな？			Forename……。君の力を、黒衣森を救うために貸してもらえないかな？			不浄なるもの							
冒険者である君なら、森の掟にしばられることなく、世界を巡ることができるだろう……？			冒険者である君なら、森の掟にしばられることなく、世界を巡ることができるだろう……？			不浄なるもの							
