ラザハンの小さな少年は、頼みたいことがあるようだ。			ラザハンの小さな少年は、頼みたいことがあるようだ。			紳士の長い眠り							
フフンフフフ  フフフフン			フフンフフフ  フフフフン			マンダヴィル家の謎							
タララララ  タララララ  タララララララ  タララララララン			タララララ  タララララ  タララララララ  タララララララン			マンダヴィル家の謎							
チャラララ  チャラララララララン			チャラララ  チャラララララララン			マンダヴィル家の謎							
ラザハンのナシュ・マカラッカは、冒険者を待っていたようだ。			ラザハンのナシュ・マカラッカは、冒険者を待っていたようだ。			のめり込んだ男							
前回までの冒険録：冒険者はナシュ・マカラッカと再会し、昏睡状態に陥っていたヒルディブランドの「魂」を探すため第一世界に向かう。「魂」を持ち帰ることで、ヒルディブランドは復活を果たすが、突如飛来した未確認飛行物体に拐われてしまうのだった。　　　　　　　　　　　　*　*　*ナシュ・マカラッカと話し、ヒルディブランドを探すため月に向かうことになった。ガレマルドのキャンプ・ブロークングラスで「ナシュ・マカラッカ」と話そう。			前回までの冒険録：冒険者はナシュ・マカラッカと再会し、昏睡状態に陥っていたヒルディブランドの「魂」を探すため第一世界に向かう。「魂」を持ち帰ることで、ヒルディブランドは復活を果たすが、突如飛来した未確認飛行物体に拐われてしまうのだった。　　　　　　　　　　　　*　*　*ナシュ・マカラッカと話し、ヒルディブランドを探すため月に向かうことになった。ガレマルドのキャンプ・ブロークングラスで「ナシュ・マカラッカ」と話そう。			のめり込んだ男							
ナシュ・マカラッカと話し、月に渡るためバブイルの塔に向かうことになった。ガレマルドのエンセラダス魔導工廠で「ナシュ・マカラッカ」と話そう。			ナシュ・マカラッカと話し、月に渡るためバブイルの塔に向かうことになった。ガレマルドのエンセラダス魔導工廠で「ナシュ・マカラッカ」と話そう。			のめり込んだ男							
ナシュ・マカラッカとバブイルの塔に向かおうとしたところデリオンがいた。デリオンも加わり月に向かうことになった。嘆きの海の涙の入江で「ナシュ・マカラッカ」と話そう。			ナシュ・マカラッカとバブイルの塔に向かおうとしたところデリオンがいた。デリオンも加わり月に向かうことになった。嘆きの海の涙の入江で「ナシュ・マカラッカ」と話そう。			のめり込んだ男							
ナシュ・マカラッカと話したところ、デリオンが月の監視者の館に駆けていった。館に向かうと、きんきんレポリットが訪問中だった。ベストウェイ・バローに案内してもらい、情報収集することになった。嘆きの海のベストウェイ・バローで「ナシュ・マカラッカ」と話し、同行させよう。			ナシュ・マカラッカと話したところ、デリオンが月の監視者の館に駆けていった。館に向かうと、きんきんレポリットが訪問中だった。ベストウェイ・バローに案内してもらい、情報収集することになった。嘆きの海のベストウェイ・バローで「ナシュ・マカラッカ」と話し、同行させよう。			のめり込んだ男							
ナシュ・マカラッカとデリオンを連れて聞き込みを始めた。ふたりを連れた状態で、ベストウェイ・バローのレポリットと話そう。※同行状態が解除された場合、ベストウェイ・バローの「ナシュ・マカラッカ」か「デリオン」に話しかけることで同行を再開できます。			ナシュ・マカラッカとデリオンを連れて聞き込みを始めた。ふたりを連れた状態で、ベストウェイ・バローのレポリットと話そう。※同行状態が解除された場合、ベストウェイ・バローの「ナシュ・マカラッカ」か「デリオン」に話しかけることで同行を再開できます。			のめり込んだ男							
ぶらぶらレポリットと話したが、情報は得られなかった。ナシュ・マカラッカとデリオンを連れた状態で、ベストウェイ・バローのレポリットと話そう。			ぶらぶらレポリットと話したが、情報は得られなかった。ナシュ・マカラッカとデリオンを連れた状態で、ベストウェイ・バローのレポリットと話そう。			のめり込んだ男							
こいこいレポリットと話したが、情報は得られなかった。ナシュ・マカラッカとデリオンを連れた状態で、ベストウェイ・バローのレポリットと話そう。			こいこいレポリットと話したが、情報は得られなかった。ナシュ・マカラッカとデリオンを連れた状態で、ベストウェイ・バローのレポリットと話そう。			のめり込んだ男							
ウィービングウェイと話したところ、UFOの目撃情報を得た。嘆きの海 南の「探索地点」でUFOを探そう。			ウィービングウェイと話したところ、UFOの目撃情報を得た。嘆きの海 南の「探索地点」でUFOを探そう。			のめり込んだ男							
UFOを発見し飛んでいった方へ向かうと、大量のヒルディブランドを発見した。それはUFOに複製されたものだった。本物のヒルディブランドと再会すると、彼を拐った異星人のコヨコヨと仲良くなっていた。コヨコヨは行方不明の仲間を捜索しにきたという。嘆きの海 南の「ヒルディブランド」と話そう。			UFOを発見し飛んでいった方へ向かうと、大量のヒルディブランドを発見した。それはUFOに複製されたものだった。本物のヒルディブランドと再会すると、彼を拐った異星人のコヨコヨと仲良くなっていた。コヨコヨは行方不明の仲間を捜索しにきたという。嘆きの海 南の「ヒルディブランド」と話そう。			のめり込んだ男							
ヒルディブランドと話した。彼は新たな事件に意気込んでいるようだ。			ヒルディブランドと話した。彼は新たな事件に意気込んでいるようだ。			のめり込んだ男							
キャンプ・ブロークングラスのナシュ・マカラッカと話す			キャンプ・ブロークングラスのナシュ・マカラッカと話す			のめり込んだ男							
ナシュ・マカラッカと話す			ナシュ・マカラッカと話す			のめり込んだ男							
涙の入江のナシュ・マカラッカと話す			涙の入江のナシュ・マカラッカと話す			のめり込んだ男							
ナシュ・マカラッカと話して同行させる			ナシュ・マカラッカと話して同行させる			のめり込んだ男							
ナシュ・マカラッカとデリオンを連れて情報収集			ナシュ・マカラッカとデリオンを連れて情報収集			のめり込んだ男							
ナシュ・マカラッカとデリオンを連れて再度情報収集			ナシュ・マカラッカとデリオンを連れて再度情報収集			のめり込んだ男							
ナシュ・マカラッカとデリオンを連れてさらに情報収集			ナシュ・マカラッカとデリオンを連れてさらに情報収集			のめり込んだ男							
探索地点でUFOを探す			探索地点でUFOを探す			のめり込んだ男							
ヒルディブランドと話す			ヒルディブランドと話す			のめり込んだ男							
冒険者さん、またナシュのお手伝いに来てくれたんですね～。ちょうど進展があったところなので、助かります～。			冒険者さん、またナシュのお手伝いに来てくれたんですね～。ちょうど進展があったところなので、助かります～。			のめり込んだ男							
そうだ、本題に入る前に、以前、ヒルディブランド様のタマシイを運ぶために使った、ソウル・サイフォンをお返ししておきますね。			そうだ、本題に入る前に、以前、ヒルディブランド様のタマシイを運ぶために使った、ソウル・サイフォンをお返ししておきますね。			のめり込んだ男							
大切な物だと思うので、しっかり、しまっておいてください～。			大切な物だと思うので、しっかり、しまっておいてください～。			のめり込んだ男							
さて、「ヒルディブランド様誘拐事件」について捜査したところ、有力な情報を見つけました！			さて、「ヒルディブランド様誘拐事件」について捜査したところ、有力な情報を見つけました！			のめり込んだ男							
なんと、とある雑誌に、サベネア島で人が未確認飛行物体(UFO)に拐われたという記事が、載っていたんですよ！			なんと、とある雑誌に、サベネア島で人が未確認飛行物体(UFO)に拐われたという記事が、載っていたんですよ！			のめり込んだ男							
それって、きっとヒルディブランド様のことですよね！？記事によると、その人は月に連れてかれちゃったそうです～！			それって、きっとヒルディブランド様のことですよね！？記事によると、その人は月に連れてかれちゃったそうです～！			のめり込んだ男							
何と言う？			何と言う？			のめり込んだ男							
前にも聞いた気が……			前にも聞いた気が……			のめり込んだ男							
さては、オカルト雑誌？			さては、オカルト雑誌？			のめり込んだ男							
そうそう、前にお話を聞いた「ドリアン」さんが編集している、雑誌『オカルトマン』に載っていたんですよ～。			そうそう、前にお話を聞いた「ドリアン」さんが編集している、雑誌『オカルトマン』に載っていたんですよ～。			のめり込んだ男							
しかも、ガレマルドから月に行けるらしくて、次号では月で取材を敢行するそうなんです。			しかも、ガレマルドから月に行けるらしくて、次号では月で取材を敢行するそうなんです。			のめり込んだ男							
異世界にまで行く冒険者さんのことですから、もしかして、お月様にも行ったことがありますか～？			異世界にまで行く冒険者さんのことですから、もしかして、お月様にも行ったことがありますか～？			のめり込んだ男							
さすがです～！どうか、ナシュと一緒に月に行って、ヒルディブランド様を探してください～！			さすがです～！どうか、ナシュと一緒に月に行って、ヒルディブランド様を探してください～！			のめり込んだ男							
何と言う？			何と言う？			のめり込んだ男							
月に向かおう！			月に向かおう！			のめり込んだ男							
オカルト雑誌は信じられない……			オカルト雑誌は信じられない……			のめり込んだ男							
でもでも、ドリアンさんが言ったとおり、ヒルディブランド様はUFOに誘拐されました。			でもでも、ドリアンさんが言ったとおり、ヒルディブランド様はUFOに誘拐されました。			のめり込んだ男							
だから、きっと月にいるはずなんです～！どうか協力をお願いします～。			だから、きっと月にいるはずなんです～！どうか協力をお願いします～。			のめり込んだ男							
引き受けてくれて、ありがとうございます～！			引き受けてくれて、ありがとうございます～！			のめり込んだ男							
ガレマルドでしたら、前にヒルディブランド様を探して、世界中を周っていたときに立ち寄ったことがあります。それでは、出発しましょう～。			ガレマルドでしたら、前にヒルディブランド様を探して、世界中を周っていたときに立ち寄ったことがあります。それでは、出発しましょう～。			のめり込んだ男							
ガレマルド、寒いです～。ここから、どうやって月に行くのでしょう？			ガレマルド、寒いです～。ここから、どうやって月に行くのでしょう？			のめり込んだ男							
バブルの塔？あのトゲトゲの塔のことですか～？			バブルの塔？あのトゲトゲの塔のことですか～？			のめり込んだ男							
わかりました！「エンセラダス魔導工廠」というところから入るんですね。さっそく、向かいましょう～！			わかりました！「エンセラダス魔導工廠」というところから入るんですね。さっそく、向かいましょう～！			のめり込んだ男							
いよいよ、お月様に行くんですね！ナシュ、ドキドキです～。			いよいよ、お月様に行くんですね！ナシュ、ドキドキです～。			のめり込んだ男							
(-？？？？-)世界の危機が迫っているのだ！それを世に知らしめるため、私は月に行かねばならなーい！			(-？？？？-)世界の危機が迫っているのだ！それを世に知らしめるため、私は月に行かねばならなーい！			のめり込んだ男							
再三にわたって申し上げているとおり、派遣団の許可を得ていない者を通すわけにはいきません！			再三にわたって申し上げているとおり、派遣団の許可を得ていない者を通すわけにはいきません！			のめり込んだ男							
まさかあなたは、異星人と結託してるシャーレアン人！？こんなところにまで進出しているとは、なんと恐ろしい……！			まさかあなたは、異星人と結託してるシャーレアン人！？こんなところにまで進出しているとは、なんと恐ろしい……！			のめり込んだ男							
私はダルマスカの出身です。さっきから、何をわけのわからないことを……。			私はダルマスカの出身です。さっきから、何をわけのわからないことを……。			のめり込んだ男							
あ～！『オカルトマン』の「ドリアン」さんじゃないですか～！			あ～！『オカルトマン』の「ドリアン」さんじゃないですか～！			のめり込んだ男							
雑誌『オカルトファン』編集の「デリオン」ですけど、あなた方はたしか、ご友人が誘拐(アブダクション)されてしまった……。			雑誌『オカルトファン』編集の「デリオン」ですけど、あなた方はたしか、ご友人が誘拐(アブダクション)されてしまった……。			のめり込んだ男							
これは、Forenameさん。もしかして、こちらの方はお知り合いですか？			これは、Forenameさん。もしかして、こちらの方はお知り合いですか？			のめり込んだ男							
何と言う？			何と言う？			のめり込んだ男							
一度、話したことがある			一度、話したことがある			のめり込んだ男							
マッタクシリマセン			マッタクシリマセン			のめり込んだ男							
そうでしたか。ちょっと困ったことになっておりまして……			そうでしたか。ちょっと困ったことになっておりまして……			のめり込んだ男							
ですよね。こんな怪しげな人、あなたの知り合いだなんて……			ですよね。こんな怪しげな人、あなたの知り合いだなんて……			のめり込んだ男							
あれれ～、冒険者さん忘れたんですか？ドリアンさんとは一度、お話ししたことがありますよ～。			あれれ～、冒険者さん忘れたんですか？ドリアンさんとは一度、お話ししたことがありますよ～。			のめり込んだ男							
さっき、Forenameと呼ばれました？あなたは、かの有名な「暁」の英雄だったのですね！			さっき、Forenameと呼ばれました？あなたは、かの有名な「暁」の英雄だったのですね！			のめり込んだ男							
だったら、英雄殿から説得してください！世界とご友人を救うため、今すぐ月へ向かわねばならないと……！			だったら、英雄殿から説得してください！世界とご友人を救うため、今すぐ月へ向かわねばならないと……！			のめり込んだ男							
なんと、誘拐されたご友人を探すため月に……！			なんと、誘拐されたご友人を探すため月に……！			のめり込んだ男							
それは一大事ですね！お知り合いの方も、なにやら事情を知っている様子。皆さんどうぞ、バブイルの塔から月へとお向かいください！			それは一大事ですね！お知り合いの方も、なにやら事情を知っている様子。皆さんどうぞ、バブイルの塔から月へとお向かいください！			のめり込んだ男							
おかげさまで、月への門が開けました。ここで会ったのも何かの縁、ともに異星人を追いましょう！			おかげさまで、月への門が開けました。ここで会ったのも何かの縁、ともに異星人を追いましょう！			のめり込んだ男							
ここは……いったい……？			ここは……いったい……？			のめり込んだ男							
お月様、真っ白です～。ヒルディブランド様はどこにいるんでしょうね～？			お月様、真っ白です～。ヒルディブランド様はどこにいるんでしょうね～？			のめり込んだ男							
な、なんと、もう月に着いたのですか！？恐るべし帝国の技術……			な、なんと、もう月に着いたのですか！？恐るべし帝国の技術……			のめり込んだ男							
げ、月面に異様な建物が……！やはり異星人は、すでに侵略のための基地を築いていたのだな！？さっそく潜入取材して、その陰謀を明らかにしてやるぞ……！			げ、月面に異様な建物が……！やはり異星人は、すでに侵略のための基地を築いていたのだな！？さっそく潜入取材して、その陰謀を明らかにしてやるぞ……！			のめり込んだ男							
ドリアンさん、行っちゃいました～。あとを追いましょう。			ドリアンさん、行っちゃいました～。あとを追いましょう。			のめり込んだ男							
い、異星人だーーーッ！それも、巨人型と……小兎型の二種類も……！			い、異星人だーーーッ！それも、巨人型と……小兎型の二種類も……！			のめり込んだ男							
レポリットがお茶を持ってきてくれたと思ったら、今度は人が訪問してくるとは……月もずいぶんと賑やかになったものだ。			レポリットがお茶を持ってきてくれたと思ったら、今度は人が訪問してくるとは……月もずいぶんと賑やかになったものだ。			のめり込んだ男							
な、なんだ、この頭に響く音は？うまく聞き取れなかったのに、内容が頭に入ってきた……まさか、人を洗脳するための怪雷波！？			な、なんだ、この頭に響く音は？うまく聞き取れなかったのに、内容が頭に入ってきた……まさか、人を洗脳するための怪雷波！？			のめり込んだ男							
急に飛び込んできて、さっきから何を言ってるんですか？			急に飛び込んできて、さっきから何を言ってるんですか？			のめり込んだ男							
こっちは人語を話すとは、仲間のシャーレアン人に教わったか！？おのれ、小兎型異星人め……お前たちの存在を誌面で公表し、陰謀を知らしめてやる！			こっちは人語を話すとは、仲間のシャーレアン人に教わったか！？おのれ、小兎型異星人め……お前たちの存在を誌面で公表し、陰謀を知らしめてやる！			のめり込んだ男							
あなたは確か、ウリエンジェのお仲間でしたね。お連れの方は、とんでもない勘違いをなされている様子……どうか説明してあげてくれませんか？			あなたは確か、ウリエンジェのお仲間でしたね。お連れの方は、とんでもない勘違いをなされている様子……どうか説明してあげてくれませんか？			のめり込んだ男							
何と言う？			何と言う？			のめり込んだ男							
彼らは星の侵略なんかしない			彼らは星の侵略なんかしない			のめり込んだ男							
彼らは人類の味方だ			彼らは人類の味方だ			のめり込んだ男							
ハッ、もしかして、あなたも異星人と結託をッ！？			ハッ、もしかして、あなたも異星人と結託をッ！？			のめり込んだ男							
そういえば、「暁の血盟」は解散を発表したものの、秘密結社として存続し、世界を陰から操っているという噂も……。			そういえば、「暁の血盟」は解散を発表したものの、秘密結社として存続し、世界を陰から操っているという噂も……。			のめり込んだ男							
いい加減にしてください、ドリアンさん！冒険者さんも、かわいいウサギさんも、星の侵略なんかするわけありません！			いい加減にしてください、ドリアンさん！冒険者さんも、かわいいウサギさんも、星の侵略なんかするわけありません！			のめり込んだ男							
私たちは、誘拐されたヒルディブランド様を探しにきたんです。この辺で素敵な紳士か、銀色の空飛ぶ円盤を見かけてませんか～？			私たちは、誘拐されたヒルディブランド様を探しにきたんです。この辺で素敵な紳士か、銀色の空飛ぶ円盤を見かけてませんか～？			のめり込んだ男							
すまないが、そういう人物や物体は見ていない。月の監視が私の役目だったが、それも不要となったいま、レポリットたちの方が何かと詳しいはずだ……。			すまないが、そういう人物や物体は見ていない。月の監視が私の役目だったが、それも不要となったいま、レポリットたちの方が何かと詳しいはずだ……。			のめり込んだ男							
うーむ、私には特に覚えはありませんが、ほかのレポリットたちが、目撃しているかも……。			うーむ、私には特に覚えはありませんが、ほかのレポリットたちが、目撃しているかも……。			のめり込んだ男							
私たちの拠点、ベストウェイ・バローに案内しますので、そこで聞き込みをしてみてくれませんか？			私たちの拠点、ベストウェイ・バローに案内しますので、そこで聞き込みをしてみてくれませんか？			のめり込んだ男							
わかりました！案内をお願いします～！			わかりました！案内をお願いします～！			のめり込んだ男							
ヒトのために造られたあの場所を見れば、お連れの方の疑いもきっと晴れることでしょう。			ヒトのために造られたあの場所を見れば、お連れの方の疑いもきっと晴れることでしょう。			のめり込んだ男							
な、なんということだ……。			な、なんということだ……。			のめり込んだ男							
お連れの方は、ベストウェイ・バローの素晴らしさに、感動のあまり絶句しているようです。			お連れの方は、ベストウェイ・バローの素晴らしさに、感動のあまり絶句しているようです。			のめり込んだ男							
さて、散歩でもしようかしら……。			さて、散歩でもしようかしら……。			のめり込んだ男							
おや、冒険者の方ですか？よければ、私たちが建造した新たな宝物庫、エキサイトロンに寄っていってくださいな。			おや、冒険者の方ですか？よければ、私たちが建造した新たな宝物庫、エキサイトロンに寄っていってくださいな。			のめり込んだ男							
なかなか、おしゃれな服を着てますね。新たな服の参考にさせてもらいます～。			なかなか、おしゃれな服を着てますね。新たな服の参考にさせてもらいます～。			のめり込んだ男							
ウサギさん、いっぱいです～！			ウサギさん、いっぱいです～！			のめり込んだ男							
こ、これほどまで巨大な地下基地が造られているとは、人類に勝ち目はあるのだろうか……？			こ、これほどまで巨大な地下基地が造られているとは、人類に勝ち目はあるのだろうか……？			のめり込んだ男							
基地なんかじゃありませんよ。見回ってごらんなさい、兵器なんてありませんから。			基地なんかじゃありませんよ。見回ってごらんなさい、兵器なんてありませんから。			のめり込んだ男							
それでは、この辺りで聞き込みをしてくださいな。私は用事があるので、これにて失礼します。			それでは、この辺りで聞き込みをしてくださいな。私は用事があるので、これにて失礼します。			のめり込んだ男							
さあ、みんなでいっしょに、ヒルディブランド様やUFOの目撃情報を集めましょう！			さあ、みんなでいっしょに、ヒルディブランド様やUFOの目撃情報を集めましょう！			のめり込んだ男							
うーん、よく仕事の息抜きに嘆きの海を散歩するのですが、そのようなヒトや物体は見てませんね。			うーん、よく仕事の息抜きに嘆きの海を散歩するのですが、そのようなヒトや物体は見てませんね。			のめり込んだ男							
そうですか。ありがとうございます、ほかを当たってみますね～。			そうですか。ありがとうございます、ほかを当たってみますね～。			のめり込んだ男							
しらを切ってもお見通しだ。きっとこの基地のどこかに、UFOが隠されているはず……。			しらを切ってもお見通しだ。きっとこの基地のどこかに、UFOが隠されているはず……。			のめり込んだ男							
何をする？			何をする？			のめり込んだ男							
話す			話す			のめり込んだ男							
同行状態を解除する			同行状態を解除する			のめり込んだ男							
キャンセル			キャンセル			のめり込んだ男							
ウサギさん、耳が長いです～。			ウサギさん、耳が長いです～。			のめり込んだ男							
この地下基地をとことん取材して、陰謀を明らかにしてやります。次号は特大号になりますよ……！			この地下基地をとことん取材して、陰謀を明らかにしてやります。次号は特大号になりますよ……！			のめり込んだ男							
「エーテライト」について話す			「エーテライト」について話す			のめり込んだ男							
お月様にもエーテライトがあるんですね～。すごいです～。			お月様にもエーテライトがあるんですね～。すごいです～。			のめり込んだ男							
まさか、エーテライトまであるとは……さしずめ、密約をかわしたシャーレアンと行き来するためだな？			まさか、エーテライトまであるとは……さしずめ、密約をかわしたシャーレアンと行き来するためだな？			のめり込んだ男							
知ってましたか？エーテライトはアラグ文明由来の技術とされてますが、もとはといえば、異星人がもたらしたものなんですよ。			知ってましたか？エーテライトはアラグ文明由来の技術とされてますが、もとはといえば、異星人がもたらしたものなんですよ。			のめり込んだ男							
ほかには、リンクパールなんかもそうです。会話はすべて、シャーレアン人に傍受されているので、使用の際は気をつけてくださいね。			ほかには、リンクパールなんかもそうです。会話はすべて、シャーレアン人に傍受されているので、使用の際は気をつけてくださいね。			のめり込んだ男							
「網の下」について話す			「網の下」について話す			のめり込んだ男							
下で何かが、グルグルと回ってます～。			下で何かが、グルグルと回ってます～。			のめり込んだ男							
この下にあるのは……動力源？そうか、そうだったのか、この月自体が……！			この下にあるのは……動力源？そうか、そうだったのか、この月自体が……！			のめり込んだ男							
知ってましたか？月という天体は自然にできたものではなく、超古代文明によって造られた人工物なんですよ。			知ってましたか？月という天体は自然にできたものではなく、超古代文明によって造られた人工物なんですよ。			のめり込んだ男							
そして、その文明は異星人と交流があった。長らく月の用途は謎でしたが、これではっきりしました。そう、巨大な宇宙船だったのです……！			そして、その文明は異星人と交流があった。長らく月の用途は謎でしたが、これではっきりしました。そう、巨大な宇宙船だったのです……！			のめり込んだ男							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			のめり込んだ男							
あれれ、急用でも思い出しました～？ナシュたちはさっきのところで待ってます～。			あれれ、急用でも思い出しました～？ナシュたちはさっきのところで待ってます～。			のめり込んだ男							
異星人の基地に怖気づいたのですか？無理もありません、落ち着くまで先ほどの場所で待ちましょう。			異星人の基地に怖気づいたのですか？無理もありません、落ち着くまで先ほどの場所で待ちましょう。			のめり込んだ男							
急用は済みましたか～？じゃあ、情報収集を再開しましょう～。			急用は済みましたか～？じゃあ、情報収集を再開しましょう～。			のめり込んだ男							
何とか落ち着いたようですね。それでは、取材に戻るとしましょうか。			何とか落ち着いたようですね。それでは、取材に戻るとしましょうか。			のめり込んだ男							
このクエストを進行させるには、ナシュ・マカラッカとデリオンが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、ナシュ・マカラッカとデリオンが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			のめり込んだ男							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			のめり込んだ男							
お連れの男性の方、何か変なこと仰ってましたが、気のせいでしょうか……？			お連れの男性の方、何か変なこと仰ってましたが、気のせいでしょうか……？			のめり込んだ男							
ヒトの方でしたら、よく見かけますよ！私たちが建造した宝物庫、エキサイトロンにご招待してるんです！お探しのヒトの特徴を、もっと教えてもらえますか？			ヒトの方でしたら、よく見かけますよ！私たちが建造した宝物庫、エキサイトロンにご招待してるんです！お探しのヒトの特徴を、もっと教えてもらえますか？			のめり込んだ男							
え～っと、紳士的で……ボロボロの服を着ているはずです～。			え～っと、紳士的で……ボロボロの服を着ているはずです～。			のめり込んだ男							
う～ん、宝物庫に来る冒険者のみなさんは、立派な装備を身につけられていますから、違いそうですね。お力になれなくて、すみません。			う～ん、宝物庫に来る冒険者のみなさんは、立派な装備を身につけられていますから、違いそうですね。お力になれなくて、すみません。			のめり込んだ男							
きっと異星人の実験台にされて、いまはもう……。ああ、なんと恐ろしい。			きっと異星人の実験台にされて、いまはもう……。ああ、なんと恐ろしい。			のめり込んだ男							
私の見立てでは、あの巨人型異星人こそが本体であり、ここにいる小兎型異星人は、侵略のために造りだされた人工生物。			私の見立てでは、あの巨人型異星人こそが本体であり、ここにいる小兎型異星人は、侵略のために造りだされた人工生物。			のめり込んだ男							
ウサギのような外見は、人類を油断させるためでしょう。決して惑わされてはなりません、あなたも大変なことになりますよ。			ウサギのような外見は、人類を油断させるためでしょう。決して惑わされてはなりません、あなたも大変なことになりますよ。			のめり込んだ男							
ドリアンさんの言うことは放っておいて、聞き込みを続けましょう～。			ドリアンさんの言うことは放っておいて、聞き込みを続けましょう～。			のめり込んだ男							
ご用が済みましたら、ぜひエキサイトロンにも寄っていってくださいな！			ご用が済みましたら、ぜひエキサイトロンにも寄っていってくださいな！			のめり込んだ男							
えーと、それらしきヒトは見てませんが……嘆きの海の南に素材収集に行ったとき、見慣れない物体が飛んでいるのを目撃しました。			えーと、それらしきヒトは見てませんが……嘆きの海の南に素材収集に行ったとき、見慣れない物体が飛んでいるのを目撃しました。			のめり込んだ男							
アラグ文明の遺物か、新種の浮遊生物だろうと思って、さして気にしませんでしたがね……。			アラグ文明の遺物か、新種の浮遊生物だろうと思って、さして気にしませんでしたがね……。			のめり込んだ男							
それは耳寄りな情報ですね！どうも、ありがとうございます～！			それは耳寄りな情報ですね！どうも、ありがとうございます～！			のめり込んだ男							
こ、これは……小兎型異星人の製造機？こうして仲間を増やして、我々の星に送り込む気か……？			こ、これは……小兎型異星人の製造機？こうして仲間を増やして、我々の星に送り込む気か……？			のめり込んだ男							
ハッ、わかったぞ！耳に見えるものは怪雷波の発生装置……ウサギの姿で人類に近づいて、洗脳するという作戦だなッ！			ハッ、わかったぞ！耳に見えるものは怪雷波の発生装置……ウサギの姿で人類に近づいて、洗脳するという作戦だなッ！			のめり込んだ男							
異星人め、陰謀はすべて暴いたぞ！これを記事にして世に知らしめれば、お前たちもお終いだーーーッ！			異星人め、陰謀はすべて暴いたぞ！これを記事にして世に知らしめれば、お前たちもお終いだーーーッ！			のめり込んだ男							
変なヒトがいるようですが、お連れの方でしょうか……？			変なヒトがいるようですが、お連れの方でしょうか……？			のめり込んだ男							
まったく知らない人です～。			まったく知らない人です～。			のめり込んだ男							
それでは、嘆きの海の南に向かい、UFOを探すとしましょう！			それでは、嘆きの海の南に向かい、UFOを探すとしましょう！			のめり込んだ男							
ちょっと待ってくださいよ！こんなところに、ひとりで置いてかないでくださーい！			ちょっと待ってくださいよ！こんなところに、ひとりで置いてかないでくださーい！			のめり込んだ男							
見慣れない物体を目撃したのは、嘆きの海の南です。フワフワと空を飛んでましたよ。			見慣れない物体を目撃したのは、嘆きの海の南です。フワフワと空を飛んでましたよ。			のめり込んだ男							
星、きれいです～。冒険者さんも、UFOを探してください～。			星、きれいです～。冒険者さんも、UFOを探してください～。			のめり込んだ男							
置いてくなんて、あんまりですよ。UFOを探せばいいのでしょう？そういうことなら、専門家の私に任せてください。			置いてくなんて、あんまりですよ。UFOを探せばいいのでしょう？そういうことなら、専門家の私に任せてください。			のめり込んだ男							
UFOの探索を開始します。気になる部分にズームし、左クリック[???]ボタン/[???]ボタンで確認しましょう！			UFOの探索を開始します。気になる部分にズームし、左クリック[???]ボタン/[???]ボタンで確認しましょう！			のめり込んだ男							
あ～、UFO、発見しました～！			あ～、UFO、発見しました～！			のめり込んだ男							
UFO、あっちへ飛んでいきました～！急いで、あとを追いましょう！			UFO、あっちへ飛んでいきました～！急いで、あとを追いましょう！			のめり込んだ男							
やりました～！ヒルディブランド様、発見です～！			やりました～！ヒルディブランド様、発見です～！			のめり込んだ男							
こ、これは惨い……間違いなく、異星人の仕業だ……。			こ、これは惨い……間違いなく、異星人の仕業だ……。			のめり込んだ男							
あれれ～？ヒルディブランド様がいっぱいです～！			あれれ～？ヒルディブランド様がいっぱいです～！			のめり込んだ男							
(-ヒルディブランド？-)おや、みなさんおそろいで。ここはまた、いったいどこでしょう……？			(-ヒルディブランド？-)おや、みなさんおそろいで。ここはまた、いったいどこでしょう……？			のめり込んだ男							
(-ヒルディブランド……？-)これはこれは、知的な紳士ですな。			(-ヒルディブランド……？-)これはこれは、知的な紳士ですな。			のめり込んだ男							
(-ヒルディブランド？-)あなたこそ、素敵な紳士ではありませんか。			(-ヒルディブランド？-)あなたこそ、素敵な紳士ではありませんか。			のめり込んだ男							
(-ヒルディブランド！？-)おやおや、紳士の集まりですかな？ぜひ、私も混ぜてください。			(-ヒルディブランド！？-)おやおや、紳士の集まりですかな？ぜひ、私も混ぜてください。			のめり込んだ男							
い、いったい、何が起こっているのでしょう？			い、いったい、何が起こっているのでしょう？			のめり込んだ男							
何と言う？			何と言う？			のめり込んだ男							
ヒルディブランドの幻影？			ヒルディブランドの幻影？			のめり込んだ男							
ヒルディブランドのクローン？			ヒルディブランドのクローン？			のめり込んだ男							
それってつまり、ニセモノってことですよね？だとしたら、本物かどうか確かめてみましょう～！			それってつまり、ニセモノってことですよね？だとしたら、本物かどうか確かめてみましょう～！			のめり込んだ男							
(-ヒルディブランドたち-)ナシュ、なんて物を持ってきたのですか！？早くしまいなさい！			(-ヒルディブランドたち-)ナシュ、なんて物を持ってきたのですか！？早くしまいなさい！			のめり込んだ男							
う～ん、みんな本物のヒルディブランド様みたいですね～。			う～ん、みんな本物のヒルディブランド様みたいですね～。			のめり込んだ男							
