ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			継承の儀							
では、あなたはいかがですか……？自分を誰かと比較して、自信をなくすようなことはありますか？			では、あなたはいかがですか……？自分を誰かと比較して、自信をなくすようなことはありますか？			本当の自分							
何と言う？			何と言う？			本当の自分							
他人と比べても仕方がない！			他人と比べても仕方がない！			本当の自分							
そういうときもある			そういうときもある			本当の自分							
他人と比べるなって、そんなこと無理ですよ。優秀な職人と示せなければ、仕事がなくなってしまう！そうなったら、彫金師になった意味が……			他人と比べるなって、そんなこと無理ですよ。優秀な職人と示せなければ、仕事がなくなってしまう！そうなったら、彫金師になった意味が……			本当の自分							
王女様のお連れの方でも、僕と同じ想いを……？なおさら、この先も上手く生きていける自信がありません。これでは、せっかく彫金師になった意味が……			王女様のお連れの方でも、僕と同じ想いを……？なおさら、この先も上手く生きていける自信がありません。これでは、せっかく彫金師になった意味が……			本当の自分							
そういえば僕は、父の影響で彫金師を目指したのでした。いつも美しい作品を作って、お客さんを笑顔にする父のことを、心から尊敬していたのです。			そういえば僕は、父の影響で彫金師を目指したのでした。いつも美しい作品を作って、お客さんを笑顔にする父のことを、心から尊敬していたのです。			本当の自分							
そんな父のような偉大な彫金師になろうと腕を磨いていたら、いつしかそれ自体が目的になってしまっていた……。			そんな父のような偉大な彫金師になろうと腕を磨いていたら、いつしかそれ自体が目的になってしまっていた……。			本当の自分							
なりたかった「本当の自分」は、父のような誰かを笑顔にする職人だったというのに……。			なりたかった「本当の自分」は、父のような誰かを笑顔にする職人だったというのに……。			本当の自分							
僕……もう一度頑張ってみようと思います。そのためにはローペリさんとお話ししないと。おふたりとも、ありがとうございました！			僕……もう一度頑張ってみようと思います。そのためにはローペリさんとお話ししないと。おふたりとも、ありがとうございました！			本当の自分							
「本当の自分」か……。			「本当の自分」か……。			本当の自分							
…………。			…………。			本当の自分							
あ、悪い悪い！ちょっと考えごとしてた。			あ、悪い悪い！ちょっと考えごとしてた。			本当の自分							
何はともあれ、フォンジャンテーンが吹っ切れたようで良かったぜ、うん！			何はともあれ、フォンジャンテーンが吹っ切れたようで良かったぜ、うん！			本当の自分							
オック・ハヌのウクラマトは、イヒーハナ祭に備えたいようだ。			オック・ハヌのウクラマトは、イヒーハナ祭に備えたいようだ。			イヒーハナ祭							
ウクラマトと話す			ウクラマトと話す			イヒーハナ祭							
指定地点で見渡して魔物を討伐			指定地点で見渡して魔物を討伐			イヒーハナ祭							
指定地点で見渡して魔物を再度討伐			指定地点で見渡して魔物を再度討伐			イヒーハナ祭							
指定地点で見渡して魔物をさらに討伐			指定地点で見渡して魔物をさらに討伐			イヒーハナ祭							
指定地点で待機			指定地点で待機			イヒーハナ祭							
リヌハヌと話す			リヌハヌと話す			イヒーハナ祭							
ウケブの言うとおり、イヒーハナ祭が始まれば、素晴らしい光景が見られるよ。			ウケブの言うとおり、イヒーハナ祭が始まれば、素晴らしい光景が見られるよ。			イヒーハナ祭							
イヒーハナ祭、とっても楽しみね！			イヒーハナ祭、とっても楽しみね！			イヒーハナ祭							
さあて、祭りの本番に備えて、アタシらは少し休んでおくか……！			さあて、祭りの本番に備えて、アタシらは少し休んでおくか……！			イヒーハナ祭							
神輿の前にいるの、ウクラマト王女じゃないか？やはり、やはり、「葦の試練」を超えるために、イヒーハナ祭を開こうとしてるって噂は本当だったのか。			神輿の前にいるの、ウクラマト王女じゃないか？やはり、やはり、「葦の試練」を超えるために、イヒーハナ祭を開こうとしてるって噂は本当だったのか。			イヒーハナ祭							
たしかに、あの祭りは豊穣を祈願するものだけど、それで葦の不作が解消できるって、本気で思ってるのかな？			たしかに、あの祭りは豊穣を祈願するものだけど、それで葦の不作が解消できるって、本気で思ってるのかな？			イヒーハナ祭							
一方、コーナ様は少し水田を調べただけで、すぐにオック・ハヌを出ていってしまわれたそうだけど……やっぱり、まだ若いおふたりには荷が重いんじゃないかしら。			一方、コーナ様は少し水田を調べただけで、すぐにオック・ハヌを出ていってしまわれたそうだけど……やっぱり、まだ若いおふたりには荷が重いんじゃないかしら。			イヒーハナ祭							
いいや、いいや、コーナ様をお見かけした者によれば、あの御方は去り際、こうつぶやいたそうだ。「この試練を超える方法がわかった」……と。			いいや、いいや、コーナ様をお見かけした者によれば、あの御方は去り際、こうつぶやいたそうだ。「この試練を超える方法がわかった」……と。			イヒーハナ祭							
あら、あら！コーナ様がどんなやり方で「葦の試練」に挑むのか、楽しみね。			あら、あら！コーナ様がどんなやり方で「葦の試練」に挑むのか、楽しみね。			イヒーハナ祭							
へっ、さすがはコーナ兄さんだぜ。ちょっと水田を調べただけで、不作の解消法を見抜いちまうなんて……。			へっ、さすがはコーナ兄さんだぜ。ちょっと水田を調べただけで、不作の解消法を見抜いちまうなんて……。			イヒーハナ祭							
こっちだって、あとひと息だろ。			こっちだって、あとひと息だろ。			イヒーハナ祭							
ああ、そうだな！みんなが戻ってきたら、イヒーハナ祭を始めるぞ！			ああ、そうだな！みんなが戻ってきたら、イヒーハナ祭を始めるぞ！			イヒーハナ祭							
待たせたね。どうにか競技も終わり「風に選ばれし者の羽根」を、手に入れることができたよ。			待たせたね。どうにか競技も終わり「風に選ばれし者の羽根」を、手に入れることができたよ。			イヒーハナ祭							
優勝者の風魔法、本当にすごかったのよ！もの凄い風を巻き上げて羽根を飛ばしたんだから！			優勝者の風魔法、本当にすごかったのよ！もの凄い風を巻き上げて羽根を飛ばしたんだから！			イヒーハナ祭							
私たちも挑戦してみたけど、なかなか難しかったわ。特にエレンヴィルは、足元に羽根を落として……			私たちも挑戦してみたけど、なかなか難しかったわ。特にエレンヴィルは、足元に羽根を落として……			イヒーハナ祭							
……俺はグリーナーだ、魔法は得意じゃない。			……俺はグリーナーだ、魔法は得意じゃない。			イヒーハナ祭							
こっちも、眼にはめる「アボキシャ」の原石と、担ぎ棒用の「ウユイポ材」は、無事に入手できたわ。あとは船大工のウケブさんが加工したものを取り付けるだけよ。			こっちも、眼にはめる「アボキシャ」の原石と、担ぎ棒用の「ウユイポ材」は、無事に入手できたわ。あとは船大工のウケブさんが加工したものを取り付けるだけよ。			イヒーハナ祭							
ところで、神輿には誰が乗るのかね？			ところで、神輿には誰が乗るのかね？			イヒーハナ祭							
そういや、前に来たときはオヤジを乗せてたよな？よくもまあ、あんな馬鹿でかい図体のジジイを担げるなぁと、感心したもんだぜ。			そういや、前に来たときはオヤジを乗せてたよな？よくもまあ、あんな馬鹿でかい図体のジジイを担げるなぁと、感心したもんだぜ。			イヒーハナ祭							
神輿の乗り手には、もっとも名誉ある人物が選ばれる。故に、連王の都合がつけばその役割を頼むことが多かったが……今回、俺が選んだ人物はグルージャジャ様じゃない。			神輿の乗り手には、もっとも名誉ある人物が選ばれる。故に、連王の都合がつけばその役割を頼むことが多かったが……今回、俺が選んだ人物はグルージャジャ様じゃない。			イヒーハナ祭							
へえ、誰なんだ？			へえ、誰なんだ？			イヒーハナ祭							
イヒーハナ祭を再び開催できるのは、あんたらのおかげだ。だから俺は……ウクラマトに乗ってもらいたい。			イヒーハナ祭を再び開催できるのは、あんたらのおかげだ。だから俺は……ウクラマトに乗ってもらいたい。			イヒーハナ祭							
えっ、アタシ！？			えっ、アタシ！？			イヒーハナ祭							
…………神輿って、酔わねぇよな？			…………神輿って、酔わねぇよな？			イヒーハナ祭							
た、多分……。			た、多分……。			イヒーハナ祭							
よし、わかったぜ！誰よりもイヒーハナ祭の開催に強い想いのある、リヌハヌの頼みとあっちゃ断れねぇってもんだ！			よし、わかったぜ！誰よりもイヒーハナ祭の開催に強い想いのある、リヌハヌの頼みとあっちゃ断れねぇってもんだ！			イヒーハナ祭							
この神輿には、アタシが乗る！			この神輿には、アタシが乗る！			イヒーハナ祭							
ありがとう、ウクラマト。			ありがとう、ウクラマト。			イヒーハナ祭							
あんたらにも、もうひと働き頼みたい。神輿は集落から「コザヌア・キー」って場所まで練り歩く。俺たちが祀る神、ケーツハリーの像がある聖地だ。			あんたらにも、もうひと働き頼みたい。神輿は集落から「コザヌア・キー」って場所まで練り歩く。俺たちが祀る神、ケーツハリーの像がある聖地だ。			イヒーハナ祭							
そこまでの道中で、神輿が魔物に襲われないように、あらかじめ安全を確保しておいてほしいんだ。			そこまでの道中で、神輿が魔物に襲われないように、あらかじめ安全を確保しておいてほしいんだ。			イヒーハナ祭							
わかった、任せてくれ。			わかった、任せてくれ。			イヒーハナ祭							
ウケブが神輿を直すまで待ってるだけじゃ暇だ！ギリギリまでアタシもそっちを手伝うぜ！			ウケブが神輿を直すまで待ってるだけじゃ暇だ！ギリギリまでアタシもそっちを手伝うぜ！			イヒーハナ祭							
魔物退治となると、俺が役に立てるとは思えない。ウケブの手伝いでもしておこう。			魔物退治となると、俺が役に立てるとは思えない。ウケブの手伝いでもしておこう。			イヒーハナ祭							
コザヌア・キーは、オック・ハヌ南側の街道を道なりに歩き、最初の分かれ道を東に進むと見えてくる、参道の先だ。道中の安全確保、よろしく頼んだよ。			コザヌア・キーは、オック・ハヌ南側の街道を道なりに歩き、最初の分かれ道を東に進むと見えてくる、参道の先だ。道中の安全確保、よろしく頼んだよ。			イヒーハナ祭							
では、集落を南に出たところから見回りを始めるとしよう。			では、集落を南に出たところから見回りを始めるとしよう。			イヒーハナ祭							
戦えない俺がついていっても仕方ないからな。そっちは任せた。			戦えない俺がついていっても仕方ないからな。そっちは任せた。			イヒーハナ祭							
イヒーハナ祭の最中、神輿が魔物に襲われることが多くてな。事前に危険を排除しておきたいんだ。			イヒーハナ祭の最中、神輿が魔物に襲われることが多くてな。事前に危険を排除しておきたいんだ。			イヒーハナ祭							
すぐに神輿の修理に取りかかる。そちらの用事が済むころには、完璧に直っているだろう。			すぐに神輿の修理に取りかかる。そちらの用事が済むころには、完璧に直っているだろう。			イヒーハナ祭							
神輿が魔具であるなら、そこから放たれるエーテルに惹かれて、魔物が襲ってきてもおかしくはない。しっかり対処をしておかないとね。			神輿が魔具であるなら、そこから放たれるエーテルに惹かれて、魔物が襲ってきてもおかしくはない。しっかり対処をしておかないとね。			イヒーハナ祭							
とっとと片付けましょ！			とっとと片付けましょ！			イヒーハナ祭							
ウケブさんは、異部族の文化を調べるのが好きみたい。そうしていろいろな部族のことを学ぶうちに、コザマル・カでの生活に興味が湧いて移住を決めたんですって。			ウケブさんは、異部族の文化を調べるのが好きみたい。そうしていろいろな部族のことを学ぶうちに、コザマル・カでの生活に興味が湧いて移住を決めたんですって。			イヒーハナ祭							
コザヌア・キーへ向かうには、ここから道なりに進んだあと、最初の分かれ道を東に進むんだったよな。そうすると参道に入れるって言ってたっけ……。			コザヌア・キーへ向かうには、ここから道なりに進んだあと、最初の分かれ道を東に進むんだったよな。そうすると参道に入れるって言ってたっけ……。			イヒーハナ祭							
それじゃ、手分けして道中の見回りをしようぜ。もし魔物を見つけたら、その場でぶっ倒してくれ。ある程度倒し終えたら、「ケーツハリー像」の前で集合だ！			それじゃ、手分けして道中の見回りをしようぜ。もし魔物を見つけたら、その場でぶっ倒してくれ。ある程度倒し終えたら、「ケーツハリー像」の前で集合だ！			イヒーハナ祭							
へへっ！いっちょあがり！			へへっ！いっちょあがり！			イヒーハナ祭							
やっぱり、身体を動かす方が性に合ってるわ！			やっぱり、身体を動かす方が性に合ってるわ！			イヒーハナ祭							
ふふ、そんなに心配しなくても、私は大丈夫よ。			ふふ、そんなに心配しなくても、私は大丈夫よ。			イヒーハナ祭							
この調子で、コザヌア・キーを目指そう。			この調子で、コザヌア・キーを目指そう。			イヒーハナ祭							
お、もう着いてたのか。			お、もう着いてたのか。			イヒーハナ祭							
これがケーツハリー像だね？			これがケーツハリー像だね？			イヒーハナ祭							
ああ、ハヌハヌ族が信仰する豊穣の神らしい。			ああ、ハヌハヌ族が信仰する豊穣の神らしい。			イヒーハナ祭							
何と言う？			何と言う？			イヒーハナ祭							
これも葦で作られているようだ			これも葦で作られているようだ			イヒーハナ祭							
空飛ぶ白鯨じゃないんだ……			空飛ぶ白鯨じゃないんだ……			イヒーハナ祭							
アナイダアカデミアで見た気がする……			アナイダアカデミアで見た気がする……			イヒーハナ祭							
ハヌハヌ族にとって、葦がどれだけ大切なもんかわかるよな。この神様は、別の大陸で暮らしてたハヌハヌ族を、トラル大陸まで運んできた存在なんだとさ。			ハヌハヌ族にとって、葦がどれだけ大切なもんかわかるよな。この神様は、別の大陸で暮らしてたハヌハヌ族を、トラル大陸まで運んできた存在なんだとさ。			イヒーハナ祭							
なんだって、クジラだと思ったんだ？ともかく、この神様は別の大陸で暮らしてたハヌハヌ族を、トラル大陸まで運んできた存在なんだとさ。			なんだって、クジラだと思ったんだ？ともかく、この神様は別の大陸で暮らしてたハヌハヌ族を、トラル大陸まで運んできた存在なんだとさ。			イヒーハナ祭							
ふむ、古代人の学術機関で目撃した、創造生物と似ていると……。			ふむ、古代人の学術機関で目撃した、創造生物と似ていると……。			イヒーハナ祭							
もしかしたら、当時の記憶の残滓を受け継いだ誰かが、無意識に語った言葉が、この信仰の基になったのかもしれないね。			もしかしたら、当時の記憶の残滓を受け継いだ誰かが、無意識に語った言葉が、この信仰の基になったのかもしれないね。			イヒーハナ祭							
アタシには何のことだか、さっぱりだが……			アタシには何のことだか、さっぱりだが……			イヒーハナ祭							
とにかく、この神様は大昔に別の大陸で暮らしてたハヌハヌ族を、トラル大陸まで運んできた存在だって言われてるんだ。			とにかく、この神様は大昔に別の大陸で暮らしてたハヌハヌ族を、トラル大陸まで運んできた存在だって言われてるんだ。			イヒーハナ祭							
別の大陸……となるとハヌハヌ族のルーツは、やはり……。			別の大陸……となるとハヌハヌ族のルーツは、やはり……。			イヒーハナ祭							
そのあたりも興味深い話だけど、まずは安全確保ができたってリヌハヌに教えてあげましょ。そろそろ神輿の修理も終わってるでしょうし。			そのあたりも興味深い話だけど、まずは安全確保ができたってリヌハヌに教えてあげましょ。そろそろ神輿の修理も終わってるでしょうし。			イヒーハナ祭							
おっと、なら乗り手のアタシは、急いで戻らないとな！ついでにリヌハヌへの報告も済ませておくから、お前らはゆっくり戻ってきてくれていいぜ！			おっと、なら乗り手のアタシは、急いで戻らないとな！ついでにリヌハヌへの報告も済ませておくから、お前らはゆっくり戻ってきてくれていいぜ！			イヒーハナ祭							
神輿が無事だったのはよかったけどよ……アタシの一撃が、バクージャジャには通用しなかった。これほど実力差があるなんて……。			神輿が無事だったのはよかったけどよ……アタシの一撃が、バクージャジャには通用しなかった。これほど実力差があるなんて……。			イヒーハナ祭							
戦えない俺にできるのは、せいぜいおたくらを呼び戻すぐらいなものだ。もらったリンクパールがさっそく役に立ったな。			戦えない俺にできるのは、せいぜいおたくらを呼び戻すぐらいなものだ。もらったリンクパールがさっそく役に立ったな。			イヒーハナ祭							
なんとか間に合って良かったわね。			なんとか間に合って良かったわね。			イヒーハナ祭							
複数の継承候補者で王の座を争うのだから、当然、こういう展開にもなるだろうね。			複数の継承候補者で王の座を争うのだから、当然、こういう展開にもなるだろうね。			イヒーハナ祭							
私たちの留守を狙って神輿を奪おうなんて、やることが汚いのよ！			私たちの留守を狙って神輿を奪おうなんて、やることが汚いのよ！			イヒーハナ祭							
挨拶のできない者に、ろくな者はいない。私の人生において、もっとも大切な学びだ。			挨拶のできない者に、ろくな者はいない。私の人生において、もっとも大切な学びだ。			イヒーハナ祭							
あんたも、戻ってきてくれてありがとな。			あんたも、戻ってきてくれてありがとな。			イヒーハナ祭							
なんとか神輿を守ろうとしたんだけど、さすがに双頭が相手じゃ厳しかったよ……。			なんとか神輿を守ろうとしたんだけど、さすがに双頭が相手じゃ厳しかったよ……。			イヒーハナ祭							
なーに言ってんだ！お前が時間を稼いでくれたおかげで間に合ったんだぜ。もっと胸を張れって！			なーに言ってんだ！お前が時間を稼いでくれたおかげで間に合ったんだぜ。もっと胸を張れって！			イヒーハナ祭							
バルデシオン分館のオジカ・ツンジカは、冒険者に伝えたいことがあるようだ。			バルデシオン分館のオジカ・ツンジカは、冒険者に伝えたいことがあるようだ。			未知なる冒険へ							
前回までの冒険録：ヴォイドを巡る戦いに決着をつけた冒険者は、エレンヴィルからウクラマトを紹介される。彼女は新大陸、正式にはトラル大陸を統治するトライヨラ連王国の王女であり、次代の王を決める継承の儀の協力者として冒険者を誘いに来たという。黄金郷を始めとするトラル大陸の話を聞いた冒険者は、グ・ラハ・ティアとの会話を経て、ウクラマトへの協力を決めた。トラル大陸に同行するのは、アルフィノとアリゼー、そして黄金郷とガラフの調査を目的とするクルル。こうして冒険者たちは、エレンヴィルが船を調達し、トラル大陸に出発する時を待つのだった。　　　　　　　　　　　　*　*　*エレンヴィルから連絡があったそうだ。みんなに報せる間、メインホールの「指定地点」で待機しよう。			前回までの冒険録：ヴォイドを巡る戦いに決着をつけた冒険者は、エレンヴィルからウクラマトを紹介される。彼女は新大陸、正式にはトラル大陸を統治するトライヨラ連王国の王女であり、次代の王を決める継承の儀の協力者として冒険者を誘いに来たという。黄金郷を始めとするトラル大陸の話を聞いた冒険者は、グ・ラハ・ティアとの会話を経て、ウクラマトへの協力を決めた。トラル大陸に同行するのは、アルフィノとアリゼー、そして黄金郷とガラフの調査を目的とするクルル。こうして冒険者たちは、エレンヴィルが船を調達し、トラル大陸に出発する時を待つのだった。　　　　　　　　　　　　*　*　*エレンヴィルから連絡があったそうだ。みんなに報せる間、メインホールの「指定地点」で待機しよう。			未知なる冒険へ							
トラル大陸に渡る目的を確認し合った。オールド・シャーレアンのバルデシオン分館前にいる「エレンヴィル」と話そう。			トラル大陸に渡る目的を確認し合った。オールド・シャーレアンのバルデシオン分館前にいる「エレンヴィル」と話そう。			未知なる冒険へ							
仲間たちは港へ向かったようだ。エレンヴィルとともに船へ乗り込もう。			仲間たちは港へ向かったようだ。エレンヴィルとともに船へ乗り込もう。			未知なる冒険へ							
トラル大陸の話を、乗り合わせた人々から聞こう。一度帰還した場合は、オールド・シャーレアンの知神の港にいる「威勢のいい船員」が案内してくれるようだ。			トラル大陸の話を、乗り合わせた人々から聞こう。一度帰還した場合は、オールド・シャーレアンの知神の港にいる「威勢のいい船員」が案内してくれるようだ。			未知なる冒険へ							
トラル大陸に関する話を聞いた。大洋の船上で「クルル」と話そう。			トラル大陸に関する話を聞いた。大洋の船上で「クルル」と話そう。			未知なる冒険へ							
大嵐を乗り越えて、トラル大陸近海までたどり着いた。小舟でトライヨラへと向かおう。			大嵐を乗り越えて、トラル大陸近海までたどり着いた。小舟でトライヨラへと向かおう。			未知なる冒険へ							
トライヨラに到着した。トライヨラの満ちた玄関にいる「エレンヴィル」と話そう。			トライヨラに到着した。トライヨラの満ちた玄関にいる「エレンヴィル」と話そう。			未知なる冒険へ							
エレンヴィルと話した。さあ、夜明けに広がる路を進んでいこう！			エレンヴィルと話した。さあ、夜明けに広がる路を進んでいこう！			未知なる冒険へ							
メインホールの指定地点で待機			メインホールの指定地点で待機			未知なる冒険へ							
エレンヴィルと話す			エレンヴィルと話す			未知なる冒険へ							
乗り合わせた人々と話す			乗り合わせた人々と話す			未知なる冒険へ							
クルルと話す			クルルと話す			未知なる冒険へ							
エレンヴィルと話す			エレンヴィルと話す			未知なる冒険へ							
Forename、おかえりぃ～！ついさっき、エレンヴィルさんから連絡がきたんだよぉ～。			Forename、おかえりぃ～！ついさっき、エレンヴィルさんから連絡がきたんだよぉ～。			未知なる冒険へ							
なんでも、トラル大陸に渡る船の調達に、目処が立ったみたいでさぁ～。			なんでも、トラル大陸に渡る船の調達に、目処が立ったみたいでさぁ～。			未知なる冒険へ							
ほかのみんなにも報せてくるから、「メインホール」に入って待っててねぇ～。			ほかのみんなにも報せてくるから、「メインホール」に入って待っててねぇ～。			未知なる冒険へ							
いよいよ、次の冒険が始まるねぇ～。			いよいよ、次の冒険が始まるねぇ～。			未知なる冒険へ							
オジカから聞いたよ。私たちも旅立つ準備はできている。			オジカから聞いたよ。私たちも旅立つ準備はできている。			未知なる冒険へ							
あとは、エレンヴィルさんの到着を待つだけね。			あとは、エレンヴィルさんの到着を待つだけね。			未知なる冒険へ							
待たせたな。			待たせたな。			未知なる冒険へ							
トライヨラ行きの船の乗船権を融通してもらえないかと、グリーナーズ・ギルドシップにかけあってたんだが……ようやく目処がついた。			トライヨラ行きの船の乗船権を融通してもらえないかと、グリーナーズ・ギルドシップにかけあってたんだが……ようやく目処がついた。			未知なる冒険へ							
残念ながら貸し切りってわけじゃないがな。博物学の研究者やら、新天地を目指す職人やら、ほかの乗客と一緒に向かうことになる。			残念ながら貸し切りってわけじゃないがな。博物学の研究者やら、新天地を目指す職人やら、ほかの乗客と一緒に向かうことになる。			未知なる冒険へ							
乗船させてもらえるだけで、ありがたいわ。			乗船させてもらえるだけで、ありがたいわ。			未知なる冒険へ							
出航まではまだ少しばかり時間がある。話しておきたいことがあるなら、今のうちだぞ。			出航まではまだ少しばかり時間がある。話しておきたいことがあるなら、今のうちだぞ。			未知なる冒険へ							
なら、念のため確認しとくぜ。お前ら、トラル大陸に行く目的を忘れちゃいねぇよな？			なら、念のため確認しとくぜ。お前ら、トラル大陸に行く目的を忘れちゃいねぇよな？			未知なる冒険へ							
もちろんだよ。			もちろんだよ。			未知なる冒険へ							
トラル大陸を統べる国家、トライヨラ連王国。その次期国王を決めるための儀式、継承の儀……。			トラル大陸を統べる国家、トライヨラ連王国。その次期国王を決めるための儀式、継承の儀……。			未知なる冒険へ							
私たちは、第一王女であるウクラマトの協力者として、ともに継承の儀に参加するために同行する。			私たちは、第一王女であるウクラマトの協力者として、ともに継承の儀に参加するために同行する。			未知なる冒険へ							
それはそれとして、私とアルフィノには別の目的もあるんだけどね。			それはそれとして、私とアルフィノには別の目的もあるんだけどね。			未知なる冒険へ							
復興途上のガレマルドでは、諸外国や異種族とどう和解して、相互協力を行っていくかという課題が残されている。			復興途上のガレマルドでは、諸外国や異種族とどう和解して、相互協力を行っていくかという課題が残されている。			未知なる冒険へ							
多部族国家のトライヨラ連王国に行けば、何か学び得るものがあるかもしれない……。			多部族国家のトライヨラ連王国に行けば、何か学び得るものがあるかもしれない……。			未知なる冒険へ							
もちろん、継承の儀には全力で協力するわ。			もちろん、継承の儀には全力で協力するわ。			未知なる冒険へ							
それさえ約束してくれりゃ、あとはお前たちの好きにしてもらって構わねぇさ。			それさえ約束してくれりゃ、あとはお前たちの好きにしてもらって構わねぇさ。			未知なる冒険へ							
クルルだって、じいちゃんのことを調べたいんだろ？			クルルだって、じいちゃんのことを調べたいんだろ？			未知なる冒険へ							
ええ……私が見つけた古い手紙は、ウクラマトさんのお父様でもある連王グルージャジャ陛下が、ガラフおじいちゃんに「黄金郷」の調査を依頼したものだった。			ええ……私が見つけた古い手紙は、ウクラマトさんのお父様でもある連王グルージャジャ陛下が、ガラフおじいちゃんに「黄金郷」の調査を依頼したものだった。			未知なる冒険へ							
不思議なことに、その調査についての記録は残っていない。本当に実施されたのかどうか……そして、手紙と一緒に残されていた、この耳飾りは何なのか。			不思議なことに、その調査についての記録は残っていない。本当に実施されたのかどうか……そして、手紙と一緒に残されていた、この耳飾りは何なのか。			未知なる冒険へ							
私はバルデシオン委員会の代表代行として、これらの真実を知っておきたいの。			私はバルデシオン委員会の代表代行として、これらの真実を知っておきたいの。			未知なる冒険へ							
トライヨラに着いたら、オヤジと話す機会もあるはずだ。いっそ、直接聞いてみたらいいんじゃねぇか？			トライヨラに着いたら、オヤジと話す機会もあるはずだ。いっそ、直接聞いてみたらいいんじゃねぇか？			未知なる冒険へ							
ええ、その機会があればぜひ。			ええ、その機会があればぜひ。			未知なる冒険へ							
黄金郷のことなら、ほかにも気になってる奴がいるみてぇだしな。			黄金郷のことなら、ほかにも気になってる奴がいるみてぇだしな。			未知なる冒険へ							
……悪いが黄金郷なんて、俺は信じちゃいない。おたくらに同行するのは、トライヨラの王女殿下から、現地のガイド役を仰せつかったからだ。			……悪いが黄金郷なんて、俺は信じちゃいない。おたくらに同行するのは、トライヨラの王女殿下から、現地のガイド役を仰せつかったからだ。			未知なる冒険へ							
相変わらずの陰険ぶりだな。			相変わらずの陰険ぶりだな。			未知なる冒険へ							
お前も、いいんだよな？今さら、やーめたってのは勘弁してもらいてぇけどさ！			お前も、いいんだよな？今さら、やーめたってのは勘弁してもらいてぇけどさ！			未知なる冒険へ							
何と言う？			何と言う？			未知なる冒険へ							
進むべき道を探すために進もう！			進むべき道を探すために進もう！			未知なる冒険へ							
ウクラマトを王様にしてみせよう			ウクラマトを王様にしてみせよう			未知なる冒険へ							
そこに冒険があるなら……			そこに冒険があるなら……			未知なる冒険へ							
まずは歩いてみる、ってことだな！			まずは歩いてみる、ってことだな！			未知なる冒険へ							
ハッハッハ！いいねぇ、頼りにしてるぜ！			ハッハッハ！いいねぇ、頼りにしてるぜ！			未知なる冒険へ							
へへっ、それが冒険者ってやつか。			へへっ、それが冒険者ってやつか。			未知なる冒険へ							
さて、各々決意を再確認できたところで、そろそろ出発するか。			さて、各々決意を再確認できたところで、そろそろ出発するか。			未知なる冒険へ							
ほかの連中は、知神の港へ向かったぞ。よっぽど今回の旅を楽しみにしてるのか、早足でな。			ほかの連中は、知神の港へ向かったぞ。よっぽど今回の旅を楽しみにしてるのか、早足でな。			未知なる冒険へ							
乗り遅れることはないだろうが、急ぐに越したことはない。俺たちも行くとしよう。			乗り遅れることはないだろうが、急ぐに越したことはない。俺たちも行くとしよう。			未知なる冒険へ							
トラル大陸まではまだかかりそうだし、乗り合わせた人たちから、話を聞いてみたらどうかしら？			トラル大陸まではまだかかりそうだし、乗り合わせた人たちから、話を聞いてみたらどうかしら？			未知なる冒険へ							
……ハァ……ハァ……。			……ハァ……ハァ……。			未知なる冒険へ							
これだけ船旅が続くと、体がなまっちゃいそう。あとで手合わせに付き合ってくれる？			これだけ船旅が続くと、体がなまっちゃいそう。あとで手合わせに付き合ってくれる？			未知なる冒険へ							
この船では、突然の大嵐に備えて、魔法障壁発動器が備え付けられているらしい。			この船では、突然の大嵐に備えて、魔法障壁発動器が備え付けられているらしい。			未知なる冒険へ							
起動させるほどの事態になったことは、これまで一度もないとのことだが……。			起動させるほどの事態になったことは、これまで一度もないとのことだが……。			未知なる冒険へ							
エレンヴィル君がトライヨラ行きの便を探してるって聞いて、私が乗船権を手配してあげたの。ちょうど、仕事でトラル大陸に渡る予定だったからね。			エレンヴィル君がトライヨラ行きの便を探してるって聞いて、私が乗船権を手配してあげたの。ちょうど、仕事でトラル大陸に渡る予定だったからね。			未知なる冒険へ							
「大洋の船上」へ移動しますか？			「大洋の船上」へ移動しますか？			未知なる冒険へ							
トライヨラに行くのは、これが初めてなんですよ。			トライヨラに行くのは、これが初めてなんですよ。			未知なる冒険へ							
僕は、フォンジャンテーンと言います。以前はウルダハの宝飾店「エシュテム」で働いていたのですが、わけあって辞めることになりましてね……。			僕は、フォンジャンテーンと言います。以前はウルダハの宝飾店「エシュテム」で働いていたのですが、わけあって辞めることになりましてね……。			未知なる冒険へ							
心機一転、シャーレアンを訪れてみても働き口は見つからず、たまたまこの船に空きが出たと聞いたので乗り込んだのです。			心機一転、シャーレアンを訪れてみても働き口は見つからず、たまたまこの船に空きが出たと聞いたので乗り込んだのです。			未知なる冒険へ							
聞けばトライヨラの連王は、どんな種族も受け入れてくださる、懐の深い方だそうですので、期待しています。			聞けばトライヨラの連王は、どんな種族も受け入れてくださる、懐の深い方だそうですので、期待しています。			未知なる冒険へ							
はぁ……今度こそ上手くいくといいのですが……。			はぁ……今度こそ上手くいくといいのですが……。			未知なる冒険へ							
トライヨラは、どんなところなのでしょうね……。			トライヨラは、どんなところなのでしょうね……。			未知なる冒険へ							
よう、あんたも賭けるかい？トライヨラの次代の王様になるのが、誰なのかをさ。			よう、あんたも賭けるかい？トライヨラの次代の王様になるのが、誰なのかをさ。			未知なる冒険へ							
