木工師ギルドのベアティヌは、相談したいことがあるようだ。			木工師ギルドのベアティヌは、相談したいことがあるようだ。			新人木工師、チェミ・ジンジャル！							
見目にとどまらず、素材のコンポジットボウの弱点である接合部の強度を、絶妙に補強した加工も素晴らしい。			見目にとどまらず、素材のコンポジットボウの弱点である接合部の強度を、絶妙に補強した加工も素晴らしい。			出藍の誉れ							
こんな弓は、見たことがない……。お前と……ベアティヌが届けてくれた弓……これがあれば、俺は……！			こんな弓は、見たことがない……。お前と……ベアティヌが届けてくれた弓……これがあれば、俺は……！			出藍の誉れ							
Forename、見ていてくれ！			Forename、見ていてくれ！			出藍の誉れ							
うおおぉぉぉおおっ！！！			うおおぉぉぉおおっ！！！			出藍の誉れ							
お前のおかげで勝利できた、ありがとう。……そして、お前を導いたベアティヌにも感謝の言葉を伝えておいてくれ。			お前のおかげで勝利できた、ありがとう。……そして、お前を導いたベアティヌにも感謝の言葉を伝えておいてくれ。			出藍の誉れ							
おかえりなさい……！彼の部隊の勝利が、このグリダニアにまで届いていますよ……！			おかえりなさい……！彼の部隊の勝利が、このグリダニアにまで届いていますよ……！			出藍の誉れ							
本当に、本当によかった……。そして、本当に、ありがとうございました。			本当に、本当によかった……。そして、本当に、ありがとうございました。			出藍の誉れ							
あなたを木工師として指導するうちに……先生も、ひとまわり成長できた……と思います……。			あなたを木工師として指導するうちに……先生も、ひとまわり成長できた……と思います……。			出藍の誉れ							
Forenameさん……あなたはもう、立派な大木です。私からお教えできることは、もうありませんが……			Forenameさん……あなたはもう、立派な大木です。私からお教えできることは、もうありませんが……			出藍の誉れ							
お互い、木工師である限り、成長し続けましょう……。これからも腕を磨いていきましょうね……フフ、フ……！			お互い、木工師である限り、成長し続けましょう……。これからも腕を磨いていきましょうね……フフ、フ……！			出藍の誉れ							
「木工師」の物語が、ひとつの区切りを迎えました！次の「木工師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			「木工師」の物語が、ひとつの区切りを迎えました！次の「木工師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			出藍の誉れ							
1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			出藍の誉れ							
条件を満たし、木工師ギルドの、「ベアティヌ」に話しかけ、新たなクラスクエストを開始しましょう！			条件を満たし、木工師ギルドの、「ベアティヌ」に話しかけ、新たなクラスクエストを開始しましょう！			出藍の誉れ							
雲霧街のバルトヴューは、新しい弓が欲しいようだ。			雲霧街のバルトヴューは、新しい弓が欲しいようだ。			竜を狙う父							
バルトヴューは、弓を新調して大物のドラゴン族を狙いたいようだ。「ホーリーシーダー・コンポジットボウ」を製作し、雲霧街の「バルトヴュー」に納品しよう。			バルトヴューは、弓を新調して大物のドラゴン族を狙いたいようだ。「ホーリーシーダー・コンポジットボウ」を製作し、雲霧街の「バルトヴュー」に納品しよう。			竜を狙う父							
バルトヴューにホーリーシーダー・コンポジットボウを納品した。バルトヴューは、息子に無視されているようだ。代わりにイシュガルドのスカイスチール機工房付近にいる「フィリパレ」と話そう。			バルトヴューにホーリーシーダー・コンポジットボウを納品した。バルトヴューは、息子に無視されているようだ。代わりにイシュガルドのスカイスチール機工房付近にいる「フィリパレ」と話そう。			竜を狙う父							
フィリパレは呼んでも来ないようだ。雲霧街の「バルトヴュー」に報告しよう。			フィリパレは呼んでも来ないようだ。雲霧街の「バルトヴュー」に報告しよう。			竜を狙う父							
バルトヴューに報告した。冒険者の作った弓で、ヌーグルヴィルを狩りにいくバルトヴューの武運を祈りつつ、木工師としての修行を続けよう。※木工師のレベルが55以上になると、雲霧街のバルトヴューから次の木工師クエストを受注することができます。			バルトヴューに報告した。冒険者の作った弓で、ヌーグルヴィルを狩りにいくバルトヴューの武運を祈りつつ、木工師としての修行を続けよう。※木工師のレベルが55以上になると、雲霧街のバルトヴューから次の木工師クエストを受注することができます。			竜を狙う父							
ホーリーシーダー・コンポジットボウを製作バルトヴューにホーリーシーダー・コンポジットボウを納品			ホーリーシーダー・コンポジットボウを製作バルトヴューにホーリーシーダー・コンポジットボウを納品			竜を狙う父							
フィリパレと話す			フィリパレと話す			竜を狙う父							
バルトヴューに報告			バルトヴューに報告			竜を狙う父							
よう、木工師さん！ちっとばかり、金が貯まってきたから、「ホーリーシーダー・コンポジットボウ」を作ってほしいんだ。			よう、木工師さん！ちっとばかり、金が貯まってきたから、「ホーリーシーダー・コンポジットボウ」を作ってほしいんだ。			竜を狙う父							
今の俺に倒せるのは、下位の眷属程度で報酬も少ないが、何とかやりくりして代金をこさえたのさ。			今の俺に倒せるのは、下位の眷属程度で報酬も少ないが、何とかやりくりして代金をこさえたのさ。			竜を狙う父							
「ホーリーシーダー・コンポジットボウ」さえあれば、上位の眷属どころか、大物のドラゴン族だって……。そうなりゃ、一気に騎士の称号を得ることだって夢じゃない！			「ホーリーシーダー・コンポジットボウ」さえあれば、上位の眷属どころか、大物のドラゴン族だって……。そうなりゃ、一気に騎士の称号を得ることだって夢じゃない！			竜を狙う父							
払える金額は、決して多くはないが…………頼む、このとおりだ！			払える金額は、決して多くはないが…………頼む、このとおりだ！			竜を狙う父							
俺が欲しいのは「ホーリーシーダー・コンポジットボウ」だ。払える金額は、決して多くはないが…………頼む、このとおりだ！			俺が欲しいのは「ホーリーシーダー・コンポジットボウ」だ。払える金額は、決して多くはないが…………頼む、このとおりだ！			竜を狙う父							
ありがとよ！　こいつはスゲェ弓だぜ！軽くて取り回しもしやすいが、何より弦の張りが別格だ。これなら、重めの矢だって自在に放てるだろうな！			ありがとよ！　こいつはスゲェ弓だぜ！軽くて取り回しもしやすいが、何より弦の張りが別格だ。これなら、重めの矢だって自在に放てるだろうな！			竜を狙う父							
……実はな、ずっと狙ってた獲物がいるんだ。「ヌーグルヴィル」って名のドラゴン族なんだが……。			……実はな、ずっと狙ってた獲物がいるんだ。「ヌーグルヴィル」って名のドラゴン族なんだが……。			竜を狙う父							
まるで、鋼鉄の鎧を着込んでいるかのような硬い鱗を持ち、矢どころか、騎兵の槍ですら通さないと言われる難物だ。だが、この弓ならきっと戦えるはずさ……！			まるで、鋼鉄の鎧を着込んでいるかのような硬い鱗を持ち、矢どころか、騎兵の槍ですら通さないと言われる難物だ。だが、この弓ならきっと戦えるはずさ……！			竜を狙う父							
そんな悪名高い存在を仕留めたとなりゃ、騎士に取り立てられ、息子にも楽させてやれる……！……そうだ、息子の「フィリパレ」を呼んできてくれないか？			そんな悪名高い存在を仕留めたとなりゃ、騎士に取り立てられ、息子にも楽させてやれる……！……そうだ、息子の「フィリパレ」を呼んできてくれないか？			竜を狙う父							
難しい年頃で、近ごろは俺が呼んでも無視しやがるもんでね……おそらく「スカイスチール機工房」付近で、いつものように狩りをしていると思う……すまんが頼んだぜ。			難しい年頃で、近ごろは俺が呼んでも無視しやがるもんでね……おそらく「スカイスチール機工房」付近で、いつものように狩りをしていると思う……すまんが頼んだぜ。			竜を狙う父							
難しい年頃で、近ごろは俺が呼んでも無視しやがるもんでね……おそらく「スカイスチール機工房」付近で、いつものように狩りをしていると思う……すまんが頼んだぜ。			難しい年頃で、近ごろは俺が呼んでも無視しやがるもんでね……おそらく「スカイスチール機工房」付近で、いつものように狩りをしていると思う……すまんが頼んだぜ。			竜を狙う父							
……静かに……今、狩りの真っ最中なんだ。クルザスの強風から逃れるために、皇都に迷い込んだ野鳥を狙ってるんだよ。			……静かに……今、狩りの真っ最中なんだ。クルザスの強風から逃れるために、皇都に迷い込んだ野鳥を狙ってるんだよ。			竜を狙う父							
父ちゃんみたいに弓を持たなくても、罠を仕掛ければ、けっこう捕れるんだぜ。……え、父ちゃんが呼んでるって？			父ちゃんみたいに弓を持たなくても、罠を仕掛ければ、けっこう捕れるんだぜ。……え、父ちゃんが呼んでるって？			竜を狙う父							
どうせ、またドラゴン族退治に行くんだろ。いっつも怪我して帰ってきて、少し良くなったらすぐこれだ……。……最近の父ちゃんは嫌いだ、会いたくないよ。			どうせ、またドラゴン族退治に行くんだろ。いっつも怪我して帰ってきて、少し良くなったらすぐこれだ……。……最近の父ちゃんは嫌いだ、会いたくないよ。			竜を狙う父							
どうせ、またドラゴン族退治に行くんだろ。いっつも怪我して帰ってきて、少し良くなったらすぐこれだ……。……最近の父ちゃんは嫌いだ、会いたくないよ。			どうせ、またドラゴン族退治に行くんだろ。いっつも怪我して帰ってきて、少し良くなったらすぐこれだ……。……最近の父ちゃんは嫌いだ、会いたくないよ。			竜を狙う父							
……そうか、手間をとらせちまって、すまなかったな。せめて出発前に、息子の顔を見たかったが仕方あるまい。			……そうか、手間をとらせちまって、すまなかったな。せめて出発前に、息子の顔を見たかったが仕方あるまい。			竜を狙う父							
よし、ヌーグルヴィル討伐に行ってくる！あんたが作ってくれた弓で、奴を撃ち落としてやるさ！……いい報せを、待っていてくれよな！			よし、ヌーグルヴィル討伐に行ってくる！あんたが作ってくれた弓で、奴を撃ち落としてやるさ！……いい報せを、待っていてくれよな！			竜を狙う父							
雲霧街のバルトヴューは、再びヌーグルヴィルを狩りにいくようだ。			雲霧街のバルトヴューは、再びヌーグルヴィルを狩りにいくようだ。			竜を捕らえる木材							
バルトヴューは、ヌーグルヴィル狩りにいこうとしたが、弓が見当たらず、フィリパレの姿もないようだ。イシュガルドの聖大厩舎付近で「フィリパレ」を探そう。			バルトヴューは、ヌーグルヴィル狩りにいこうとしたが、弓が見当たらず、フィリパレの姿もないようだ。イシュガルドの聖大厩舎付近で「フィリパレ」を探そう。			竜を捕らえる木材							
フィリパレを見つけた。バルトヴューは息子の助言を受け、ヌーグルヴィルを罠で狩ることにするようだ。罠に最適な木材を調べるため、グリダニアの木工師ギルドにいる「ベアティヌ」と話そう。			フィリパレを見つけた。バルトヴューは息子の助言を受け、ヌーグルヴィルを罠で狩ることにするようだ。罠に最適な木材を調べるため、グリダニアの木工師ギルドにいる「ベアティヌ」と話そう。			竜を捕らえる木材							
ベアティヌと話した。ベアティヌから、イシュガルドの木工師ロアトゥロアンを紹介された。クルザス中央高地のアートボルグ砦群にいる「ロアトゥロアン」と話そう。			ベアティヌと話した。ベアティヌから、イシュガルドの木工師ロアトゥロアンを紹介された。クルザス中央高地のアートボルグ砦群にいる「ロアトゥロアン」と話そう。			竜を捕らえる木材							
ロアトゥロンと話した。ロアトゥロアンによると、ドラゴンの罠に最適な木材はバーチ材のようだ。「バーチ材」を3つ製作し、雲霧街の「バルトヴュー」に納品しよう。			ロアトゥロンと話した。ロアトゥロアンによると、ドラゴンの罠に最適な木材はバーチ材のようだ。「バーチ材」を3つ製作し、雲霧街の「バルトヴュー」に納品しよう。			竜を捕らえる木材							
バーチ材をバルトヴューに納品した。お互いを思いやるバルトヴューとフィリパレの幸せと、罠の成功を祈りながら、木工師の修行に励もう。※木工師のレベルが60以上になると、雲霧街のバルトヴューから次の木工師クエストを受注することができます。			バーチ材をバルトヴューに納品した。お互いを思いやるバルトヴューとフィリパレの幸せと、罠の成功を祈りながら、木工師の修行に励もう。※木工師のレベルが60以上になると、雲霧街のバルトヴューから次の木工師クエストを受注することができます。			竜を捕らえる木材							
フィリパレを探す			フィリパレを探す			竜を捕らえる木材							
木工師ギルドのベアティヌに相談			木工師ギルドのベアティヌに相談			竜を捕らえる木材							
アートボルグ砦群のロアトゥロアンに相談			アートボルグ砦群のロアトゥロアンに相談			竜を捕らえる木材							
バーチ材を製作イシュガルドのバルトヴューにバーチ材を納品			バーチ材を製作イシュガルドのバルトヴューにバーチ材を納品			竜を捕らえる木材							
よう、Forename。出る前に、あんたに会えてよかった。実はこれから、再びヌーグルヴィル狩りに挑むんだ。			よう、Forename。出る前に、あんたに会えてよかった。実はこれから、再びヌーグルヴィル狩りに挑むんだ。			竜を捕らえる木材							
あれから、ずいぶん訓練を積んでな……あんたが作った弓に相応しい実力を付けたつもりさ。今度こそ奴を仕留めてやる……じゃあ、行ってくるぜ！			あれから、ずいぶん訓練を積んでな……あんたが作った弓に相応しい実力を付けたつもりさ。今度こそ奴を仕留めてやる……じゃあ、行ってくるぜ！			竜を捕らえる木材							
……と、言いたいところだが、おかしいな。作ってもらった弓が見当たらねぇうえに、さっきまで居た息子の姿もない……まさか、あいつ……。			……と、言いたいところだが、おかしいな。作ってもらった弓が見当たらねぇうえに、さっきまで居た息子の姿もない……まさか、あいつ……。			竜を捕らえる木材							
すまねえが、俺と手分けして「フィリパレ」を探してくれないか？俺は、この辺りを探してみる。あんたは「聖大厩舎」の辺りを頼むぜ！			すまねえが、俺と手分けして「フィリパレ」を探してくれないか？俺は、この辺りを探してみる。あんたは「聖大厩舎」の辺りを頼むぜ！			竜を捕らえる木材							
すまねえが、俺と手分けして「フィリパレ」を探してくれないか？俺は、この辺りを探してみる。あんたは「聖大厩舎」の辺りを頼むぜ！			すまねえが、俺と手分けして「フィリパレ」を探してくれないか？俺は、この辺りを探してみる。あんたは「聖大厩舎」の辺りを頼むぜ！			竜を捕らえる木材							
なんで、父ちゃんはそこまでして……。この弓さえなければ……！			なんで、父ちゃんはそこまでして……。この弓さえなければ……！			竜を捕らえる木材							
バカ野郎ッ！　やはり、お前が持ってたのか！なんてことするんだ！！			バカ野郎ッ！　やはり、お前が持ってたのか！なんてことするんだ！！			竜を捕らえる木材							
何でまた、ヌーグルヴィルと戦おうとするんだ！……今度こそ……今度こそ、死んじゃうぞ！			何でまた、ヌーグルヴィルと戦おうとするんだ！……今度こそ……今度こそ、死んじゃうぞ！			竜を捕らえる木材							
……フィリパレ……お前。大丈夫、父ちゃんは死んだりするもんか。安全な場所から、弓を使って戦うんだからな。			……フィリパレ……お前。大丈夫、父ちゃんは死んだりするもんか。安全な場所から、弓を使って戦うんだからな。			竜を捕らえる木材							
嘘だっ！　この前だって、殺されかけたばかりじゃないか！僕があの修道士さんに頼んでなかったら、死んでたんだぞ！			嘘だっ！　この前だって、殺されかけたばかりじゃないか！僕があの修道士さんに頼んでなかったら、死んでたんだぞ！			竜を捕らえる木材							
……なんだって？			……なんだって？			竜を捕らえる木材							
僕が「正教の修道士」さんに頼んでいたんだ。ドラゴンとの戦いで、怪我人が出るかもしれないから、助けに行ってほしいって。			僕が「正教の修道士」さんに頼んでいたんだ。ドラゴンとの戦いで、怪我人が出るかもしれないから、助けに行ってほしいって。			竜を捕らえる木材							
何てこった……どうりで都合よく救助されたわけだ……。これほど、息子を心配させていたことにも、気付かなかったなんて……。			何てこった……どうりで都合よく救助されたわけだ……。これほど、息子を心配させていたことにも、気付かなかったなんて……。			竜を捕らえる木材							
だが、大物を狩らないことには、騎士にはなれない。お前にいい暮らしをさせて、好きなことをさせてやりたいんだ。……俺みたいな一兵卒になんて、なってほしくないんだよ！			だが、大物を狩らないことには、騎士にはなれない。お前にいい暮らしをさせて、好きなことをさせてやりたいんだ。……俺みたいな一兵卒になんて、なってほしくないんだよ！			竜を捕らえる木材							
今のままでいい！！僕は、父ちゃんに死んでほしくないよ……。			今のままでいい！！僕は、父ちゃんに死んでほしくないよ……。			竜を捕らえる木材							
……！！			……！！			竜を捕らえる木材							
だったら、ヌーグルヴィルと戦う方法を変えればいいんだ。もっと安全で、もっと確実な方法にさ！			だったら、ヌーグルヴィルと戦う方法を変えればいいんだ。もっと安全で、もっと確実な方法にさ！			竜を捕らえる木材							
そんなことできたら、皆がしているさ……。			そんなことできたら、皆がしているさ……。			竜を捕らえる木材							
僕はね、野鳥を仕留めるのに罠を使ってるんだ。だから、父ちゃんも大きな罠を仕掛けて、動けなくなったヌーグルヴィルを狩ればいい！			僕はね、野鳥を仕留めるのに罠を使ってるんだ。だから、父ちゃんも大きな罠を仕掛けて、動けなくなったヌーグルヴィルを狩ればいい！			竜を捕らえる木材							
……罠……そうか、罠か……。			……罠……そうか、罠か……。			竜を捕らえる木材							
ねえねえ、木工師さん、父ちゃんの罠を作るため、木材を用意してくれよ！			ねえねえ、木工師さん、父ちゃんの罠を作るため、木材を用意してくれよ！			竜を捕らえる木材							
……確かに罠にかけるってのは、妙案かもしれない。臆病者だと言う奴もいるかもしれんが……俺は死ぬわけにはいかないんだ。			……確かに罠にかけるってのは、妙案かもしれない。臆病者だと言う奴もいるかもしれんが……俺は死ぬわけにはいかないんだ。			竜を捕らえる木材							
こいつを、ひとりぼっちにできない、……俺と同じ思いをさせたくないんだ。			こいつを、ひとりぼっちにできない、……俺と同じ思いをさせたくないんだ。			竜を捕らえる木材							
すまねぇが、今回もまた力を貸してくれないか？ドラゴン族の怪力にも折れない木材を、3つほど、調達してほしいんだ。			すまねぇが、今回もまた力を貸してくれないか？ドラゴン族の怪力にも折れない木材を、3つほど、調達してほしいんだ。			竜を捕らえる木材							
だが、どんな木なら大丈夫なのか見当もつかん。あんたの師匠にでも知恵を借りて、どうにか罠の材料となる、木材を見つけてきてくれ！			だが、どんな木なら大丈夫なのか見当もつかん。あんたの師匠にでも知恵を借りて、どうにか罠の材料となる、木材を見つけてきてくれ！			竜を捕らえる木材							
暴れるドラゴン族に易々と破壊されるような罠じゃ、仕掛けるだけ無駄ってもんだ……相当な強度が必要だろう。あんたの師匠なら、どんな木材がいいかわかるんじゃないか？			暴れるドラゴン族に易々と破壊されるような罠じゃ、仕掛けるだけ無駄ってもんだ……相当な強度が必要だろう。あんたの師匠なら、どんな木材がいいかわかるんじゃないか？			竜を捕らえる木材							
なるほど……ドラゴン族を捕らえるための罠ですか……。フフフ……古びた槍を届けにいったはずが……思わぬ顧客との出会いがあったようですね。			なるほど……ドラゴン族を捕らえるための罠ですか……。フフフ……古びた槍を届けにいったはずが……思わぬ顧客との出会いがあったようですね。			竜を捕らえる木材							
それなら、クルザス中央高地の「アートボルグ砦群」にいる、「ロアトゥロアン」という人物に、相談するといいでしょう。彼はクルザスの地で、植林活動を続ける園芸師……。			それなら、クルザス中央高地の「アートボルグ砦群」にいる、「ロアトゥロアン」という人物に、相談するといいでしょう。彼はクルザスの地で、植林活動を続ける園芸師……。			竜を捕らえる木材							
簡単に折れぬ粘りがあり、なおかつ寒さに強い……。この条件を満たす木材を探すなら、現地の専門家に聞くのが、最適……先生、そう思うんですよ。			簡単に折れぬ粘りがあり、なおかつ寒さに強い……。この条件を満たす木材を探すなら、現地の専門家に聞くのが、最適……先生、そう思うんですよ。			竜を捕らえる木材							
クルザス中央高地の「アートボルグ砦群」にいる、「ロアトゥロアン」なら、きっといい助言をしてくれます。			クルザス中央高地の「アートボルグ砦群」にいる、「ロアトゥロアン」なら、きっといい助言をしてくれます。			竜を捕らえる木材							
粘りがあり、寒さに強い木材か……。確かに、クルザスで働く園芸師になら、何かわかるかもな。			粘りがあり、寒さに強い木材か……。確かに、クルザスで働く園芸師になら、何かわかるかもな。			竜を捕らえる木材							
……ふむ、ドラゴン族を捕えるための罠ですか。それでしたら、「バーチ材」が候補に挙がります。			……ふむ、ドラゴン族を捕えるための罠ですか。それでしたら、「バーチ材」が候補に挙がります。			竜を捕らえる木材							
バーチは、木目の美しさこそオークやチークに劣りますが、強度も粘りも申し分なく、何より水気に強いのです。寒冷なクルザスで用いる罠には、最適だと思いますよ。			バーチは、木目の美しさこそオークやチークに劣りますが、強度も粘りも申し分なく、何より水気に強いのです。寒冷なクルザスで用いる罠には、最適だと思いますよ。			竜を捕らえる木材							
おぉ、Forename。ドラゴン族の罠となる、木材は見つかったか？			おぉ、Forename。ドラゴン族の罠となる、木材は見つかったか？			竜を捕らえる木材							
……この「バーチ材」で罠をつくればいいんだな？なるほど、確かに簡単には折れそうもない木材だ。その上、水気にも強いなら、雪や氷もへっちゃらだな！			……この「バーチ材」で罠をつくればいいんだな？なるほど、確かに簡単には折れそうもない木材だ。その上、水気にも強いなら、雪や氷もへっちゃらだな！			竜を捕らえる木材							
無理な注文を聞いてくれて、すまねえな。相変わらず少ないが、代金を受け取ってくれよ……。……今度こそ、いい報せを待っていてくれよな！			無理な注文を聞いてくれて、すまねえな。相変わらず少ないが、代金を受け取ってくれよ……。……今度こそ、いい報せを待っていてくれよな！			竜を捕らえる木材							
クガネのチェミ・ジンジャルは、奮起しているようだ。			クガネのチェミ・ジンジャルは、奮起しているようだ。			チェミ・ジンジャル奮闘記							
チェミ・ジンジャルは、次の依頼人のために製作物を作成済みだという。クガネのウミネコ茶屋にいる「チェミ・ジンジャル」と話そう。			チェミ・ジンジャルは、次の依頼人のために製作物を作成済みだという。クガネのウミネコ茶屋にいる「チェミ・ジンジャル」と話そう。			チェミ・ジンジャル奮闘記							
チェミ・ジンジャルの代わりに、茶屋の固定客を増やすための家具製作をおこなうことになった。ウミネコ茶屋の客たちと話そう。			チェミ・ジンジャルの代わりに、茶屋の固定客を増やすための家具製作をおこなうことになった。ウミネコ茶屋の客たちと話そう。			チェミ・ジンジャル奮闘記							
茶屋の客たちは、茶や団子とは別の、時間を潰すことのできる物を欲しているようだ。潮風亭の「チェミ・ジンジャル」と話そう。			茶屋の客たちは、茶や団子とは別の、時間を潰すことのできる物を欲しているようだ。潮風亭の「チェミ・ジンジャル」と話そう。			チェミ・ジンジャル奮闘記							
チェミ・ジンジャルと話し、製作物が決まった。「キセル箱の材料」をもとに「高級キセル箱」を製作し、ウミネコ茶屋の「ウメ」に納品しよう。※「キセル箱の材料」を失った場合は、チェミ・ジンジャルに話しかけましょう。材料を入手し、再挑戦が可能になります。			チェミ・ジンジャルと話し、製作物が決まった。「キセル箱の材料」をもとに「高級キセル箱」を製作し、ウミネコ茶屋の「ウメ」に納品しよう。※「キセル箱の材料」を失った場合は、チェミ・ジンジャルに話しかけましょう。材料を入手し、再挑戦が可能になります。			チェミ・ジンジャル奮闘記							
ウメは、喫煙文化のあるクガネでは、高級キセル箱は好まれるだろうと喜んだ。途中から現れたベアティヌに、次はドマの文化を学ぶよう促された。潮風亭のチェミ・ジンジャルと話そう。			ウメは、喫煙文化のあるクガネでは、高級キセル箱は好まれるだろうと喜んだ。途中から現れたベアティヌに、次はドマの文化を学ぶよう促された。潮風亭のチェミ・ジンジャルと話そう。			チェミ・ジンジャル奮闘記							
チェミ・ジンジャルと話した。ドマへと向かった彼女が、無事にヤンサの地へ到着するのを待とう。※木工師のレベルが68以上になると、潮風亭のコトカゼから次の木工師クエストを受注することができます。			チェミ・ジンジャルと話した。ドマへと向かった彼女が、無事にヤンサの地へ到着するのを待とう。※木工師のレベルが68以上になると、潮風亭のコトカゼから次の木工師クエストを受注することができます。			チェミ・ジンジャル奮闘記							
ウミネコ茶屋のチェミ・ジンジャルと話す			ウミネコ茶屋のチェミ・ジンジャルと話す			チェミ・ジンジャル奮闘記							
ウミネコ茶屋の客から話を聞く			ウミネコ茶屋の客から話を聞く			チェミ・ジンジャル奮闘記							
潮風亭のチェミ・ジンジャルと話す			潮風亭のチェミ・ジンジャルと話す			チェミ・ジンジャル奮闘記							
製作手帳 クラスクエスト：高級キセル箱を製作ウメに高級キセル箱を納品			製作手帳 クラスクエスト：高級キセル箱を製作ウメに高級キセル箱を納品			チェミ・ジンジャル奮闘記							
潮風亭のチェミ・ジンジャルと話す			潮風亭のチェミ・ジンジャルと話す			チェミ・ジンジャル奮闘記							
あ、Forenameさん！			あ、Forenameさん！			チェミ・ジンジャル奮闘記							
聞いてくださいよ～！ウチ、あれからすごくがんばって勉強して、たくさんの技術を身につけることができたんです！			聞いてくださいよ～！ウチ、あれからすごくがんばって勉強して、たくさんの技術を身につけることができたんです！			チェミ・ジンジャル奮闘記							
Forenameさんには、ウチの情けないお姿を見られてしまいましたから、それを払拭すべく尽力する所存です……！！			Forenameさんには、ウチの情けないお姿を見られてしまいましたから、それを払拭すべく尽力する所存です……！！			チェミ・ジンジャル奮闘記							
実は、すでに困っている人も見つけてきてあるのです！それだけでなく、ご依頼の品まで製作済みです！ふふん、お褒めいただいてもいいんですよ！			実は、すでに困っている人も見つけてきてあるのです！それだけでなく、ご依頼の品まで製作済みです！ふふん、お褒めいただいてもいいんですよ！			チェミ・ジンジャル奮闘記							
依頼人の方は「ウミネコ茶屋」でお待ちです！早速、向かいましょう！このチェミ・ジンジャルが、華麗に依頼を解決してみせますよー！			依頼人の方は「ウミネコ茶屋」でお待ちです！早速、向かいましょう！このチェミ・ジンジャルが、華麗に依頼を解決してみせますよー！			チェミ・ジンジャル奮闘記							
そんなご無体な～！ちゃんとご要望どおりの物をお作りしたはずですよ！この看板、とってもかわいいじゃないですか～！！			そんなご無体な～！ちゃんとご要望どおりの物をお作りしたはずですよ！この看板、とってもかわいいじゃないですか～！！			チェミ・ジンジャル奮闘記							
だから！こんなもの渡されても困るんだって！			だから！こんなもの渡されても困るんだって！			チェミ・ジンジャル奮闘記							
あのねえ……アタシがアンタに頼んだのは、ウチの店に新しい固定客が付くような物だったわよね。			あのねえ……アタシがアンタに頼んだのは、ウチの店に新しい固定客が付くような物だったわよね。			チェミ・ジンジャル奮闘記							
なのに、なんで「看板」なのよ！？しかも、この文字、下手くそすぎて読めないじゃない！もっとお店の根本的な部分を、改善できる物はないの！？			なのに、なんで「看板」なのよ！？しかも、この文字、下手くそすぎて読めないじゃない！もっとお店の根本的な部分を、改善できる物はないの！？			チェミ・ジンジャル奮闘記							
……うう……Forenameさん～……。			……うう……Forenameさん～……。			チェミ・ジンジャル奮闘記							
あら、アンタの方が頼りになりそうだね。この子の知り合いならさ、ウチの悩みを聞いてくれないかい？			あら、アンタの方が頼りになりそうだね。この子の知り合いならさ、ウチの悩みを聞いてくれないかい？			チェミ・ジンジャル奮闘記							
ありがと！この茶屋には、何かが欠けてる気がするのよ。常連が増えるような、その何かを作ってほしいの！			ありがと！この茶屋には、何かが欠けてる気がするのよ。常連が増えるような、その何かを作ってほしいの！			チェミ・ジンジャル奮闘記							
……そもそも、うちの「客」たちは、この店のことをどう思ってんのかねえ。それがわかれば、何を作ればいいかわかると思うのだけれど……。			……そもそも、うちの「客」たちは、この店のことをどう思ってんのかねえ。それがわかれば、何を作ればいいかわかると思うのだけれど……。			チェミ・ジンジャル奮闘記							
うう……ウチが不甲斐ないばかりに、またまたご迷惑を……。でもでも、せめて、材料のお手伝いぐらいはさせていただきます！製作物のヒントが得られたら、潮風亭までお越しください！			うう……ウチが不甲斐ないばかりに、またまたご迷惑を……。でもでも、せめて、材料のお手伝いぐらいはさせていただきます！製作物のヒントが得られたら、潮風亭までお越しください！			チェミ・ジンジャル奮闘記							
この子、ホントに私の話を聞いてたのかい！？			この子、ホントに私の話を聞いてたのかい！？			チェミ・ジンジャル奮闘記							
なにやら茶屋が騒がしいな……どうしたんだろう。			なにやら茶屋が騒がしいな……どうしたんだろう。			チェミ・ジンジャル奮闘記							
なんだい、揉めごとかい？			なんだい、揉めごとかい？			チェミ・ジンジャル奮闘記							
なんだなんだぁ？あんまりはしゃぐと、赤誠組が来るぞぉ？			なんだなんだぁ？あんまりはしゃぐと、赤誠組が来るぞぉ？			チェミ・ジンジャル奮闘記							
この店に足りないものだって？そりゃ、団子食べて茶を飲むだけの店だし……。何かほかに時間をつぶせるような物があればいいと思うねぇ。			この店に足りないものだって？そりゃ、団子食べて茶を飲むだけの店だし……。何かほかに時間をつぶせるような物があればいいと思うねぇ。			チェミ・ジンジャル奮闘記							
はあ、やってられないよ……まったくさ。こんなときはキセルでも吸って、全部煙に巻いてしまいたくなるよ。			はあ、やってられないよ……まったくさ。こんなときはキセルでも吸って、全部煙に巻いてしまいたくなるよ。			チェミ・ジンジャル奮闘記							
確かにこの店の団子は美味いし、茶も悪かねえ。だが、それだけだ。せめて一服する道具でもあればな……。			確かにこの店の団子は美味いし、茶も悪かねえ。だが、それだけだ。せめて一服する道具でもあればな……。			チェミ・ジンジャル奮闘記							
本当に常連を増やすことができるのかねえ？			本当に常連を増やすことができるのかねえ？			チェミ・ジンジャル奮闘記							
