錬金術師ギルドのセヴェリアンは、憤慨しているようだ。			錬金術師ギルドのセヴェリアンは、憤慨しているようだ。			奇怪な死体							
「知力の甘口秘薬」と引き換えに、「ヤヤロク」から情報を聞き出すことができたら、忘れずに私の下まで報告に来るのだぞ。			「知力の甘口秘薬」と引き換えに、「ヤヤロク」から情報を聞き出すことができたら、忘れずに私の下まで報告に来るのだぞ。			禁忌の刃							
なんだか物乞いをしたようで、恐縮です。苦くない知力の秘薬、お待ちしておりますよ。			なんだか物乞いをしたようで、恐縮です。苦くない知力の秘薬、お待ちしておりますよ。			禁忌の刃							
ほう、これが私のために特別に作った知力の秘薬ですか。では、ありがたく頂戴いたします。			ほう、これが私のために特別に作った知力の秘薬ですか。では、ありがたく頂戴いたします。			禁忌の刃							
これは、苦味がなくて飲みやすいですね、って……。……おお……こ、これが知力の秘薬の効果ですか！頭の中が、まるで本棚を片付けるように整理されていく……！			これは、苦味がなくて飲みやすいですね、って……。……おお……こ、これが知力の秘薬の効果ですか！頭の中が、まるで本棚を片付けるように整理されていく……！			禁忌の刃							
すみません……大導師の名前を忘れたというのは、嘘なんです。どうしても知力の秘薬という物を飲んでみたかったもので……。			すみません……大導師の名前を忘れたというのは、嘘なんです。どうしても知力の秘薬という物を飲んでみたかったもので……。			禁忌の刃							
では……噂について、私の知っていることをお話します……。第七霊災直後まで大導師だった、ムムエポという者について。彼は、生命の根源について熱心に研究していました。			では……噂について、私の知っていることをお話します……。第七霊災直後まで大導師だった、ムムエポという者について。彼は、生命の根源について熱心に研究していました。			禁忌の刃							
あるとき、彼が「心の臓の刃」と呼ばれる、死者蘇生の力を持った呪具を手に入れたという噂を耳にしました。			あるとき、彼が「心の臓の刃」と呼ばれる、死者蘇生の力を持った呪具を手に入れたという噂を耳にしました。			禁忌の刃							
実際に「心の臓の刃」を使用して、死者の蘇生を行ったかどうかはわかりません。ほどなく、彼は不正蓄財の罪で投獄されてしまいましたから。			実際に「心の臓の刃」を使用して、死者の蘇生を行ったかどうかはわかりません。ほどなく、彼は不正蓄財の罪で投獄されてしまいましたから。			禁忌の刃							
しかし、ムムエポが「心の臓の刃」を入手した時期と同じ頃、彼がエラリグ墓地の埋葬権を購入したという話を聞きました。			しかし、ムムエポが「心の臓の刃」を入手した時期と同じ頃、彼がエラリグ墓地の埋葬権を購入したという話を聞きました。			禁忌の刃							
その棺にはもしかすると、蘇生実験の被検体となった者が埋葬されているのかも……という噂が教団内外で囁かれていたこともあります。			その棺にはもしかすると、蘇生実験の被検体となった者が埋葬されているのかも……という噂が教団内外で囁かれていたこともあります。			禁忌の刃							
さすがにそんなことはありえないと思いますが……気になるのであれば、「エラリグ墓地」に行って確かめてみては？棺を調べるためには、墓守の「イードギサ」の許可が必要ですがね。			さすがにそんなことはありえないと思いますが……気になるのであれば、「エラリグ墓地」に行って確かめてみては？棺を調べるためには、墓守の「イードギサ」の許可が必要ですがね。			禁忌の刃							
ヤヤロクの望みどおり、「知力の甘口秘薬」を用意してやれ。その代わり、情報は必ず手に入れるのだ。材料が足りないようなら、いくらでも支給しよう。			ヤヤロクの望みどおり、「知力の甘口秘薬」を用意してやれ。その代わり、情報は必ず手に入れるのだ。材料が足りないようなら、いくらでも支給しよう。			禁忌の刃							
よし、「知力の甘口秘薬」は用意できたようだな。ならば早速、ヤヤロクから情報を聞き出してくるのだ。			よし、「知力の甘口秘薬」は用意できたようだな。ならば早速、ヤヤロクから情報を聞き出してくるのだ。			禁忌の刃							
ムムエポが埋葬した棺を調べさせてほしいと？本人の許可は得ているのかね？			ムムエポが埋葬した棺を調べさせてほしいと？本人の許可は得ているのかね？			禁忌の刃							
ならば、それはまかりならん。資格があるのは、棺を購入した者か、遺体の遺族だけだ。許可を得ていないのであれば、立ち去るがいい。			ならば、それはまかりならん。資格があるのは、棺を購入した者か、遺体の遺族だけだ。許可を得ていないのであれば、立ち去るがいい。			禁忌の刃							
生命の根源に到達することは、我が教団の心願であります。しかし、その過程で禁忌に触れたとあれば問題ですね……。			生命の根源に到達することは、我が教団の心願であります。しかし、その過程で禁忌に触れたとあれば問題ですね……。			禁忌の刃							
む、助手ではないか。どうだ、ヤヤロクから何か聞き出せたのか？			む、助手ではないか。どうだ、ヤヤロクから何か聞き出せたのか？			禁忌の刃							
ほう、やはりムムエポが犯した「禁忌」とは、「死者の蘇生」のことであったか……。			ほう、やはりムムエポが犯した「禁忌」とは、「死者の蘇生」のことであったか……。			禁忌の刃							
それに「心の臓の刃」か……かつて私が死者蘇生の方法を模索していた頃、耳にしたことがあったが、まさか実在していたとはな。			それに「心の臓の刃」か……かつて私が死者蘇生の方法を模索していた頃、耳にしたことがあったが、まさか実在していたとはな。			禁忌の刃							
ムムエポが同時期に、埋葬権を購入していたとなると、「心の臓の刃」が実際に使われた可能性は極めて高いだろう。死体なくして、死者蘇生はできんからな。			ムムエポが同時期に、埋葬権を購入していたとなると、「心の臓の刃」が実際に使われた可能性は極めて高いだろう。死体なくして、死者蘇生はできんからな。			禁忌の刃							
エラリグ墓地の棺の中に納められているのは、死者蘇生実験の被験者か……どうやら調べる必要がありそうだ。だが遺族以外が棺に触れることは禁じられている……さて……。			エラリグ墓地の棺の中に納められているのは、死者蘇生実験の被験者か……どうやら調べる必要がありそうだ。だが遺族以外が棺に触れることは禁じられている……さて……。			禁忌の刃							
よし……ならば、まずは私自らムムエポと面会してくる。その際、「心の臓の刃」について聞ければよいが、棺を調べる許可だけでも得られないか、やってみよう。			よし……ならば、まずは私自らムムエポと面会してくる。その際、「心の臓の刃」について聞ければよいが、棺を調べる許可だけでも得られないか、やってみよう。			禁忌の刃							
フフフ……どうした、私自ら動くことがそんなに驚きか？勘違いするな……私は私のために行動しているのだ。この様な楽事を、助手のお前に独占されるのは業腹であろう。			フフフ……どうした、私自ら動くことがそんなに驚きか？勘違いするな……私は私のために行動しているのだ。この様な楽事を、助手のお前に独占されるのは業腹であろう。			禁忌の刃							
それまでの間、お前は学問に勤しんでおけ。我々錬金術師には、常に新たな発見が求められているからな。			それまでの間、お前は学問に勤しんでおけ。我々錬金術師には、常に新たな発見が求められているからな。			禁忌の刃							
クラフターの「クラスクエスト」では、クエスト中に入手した材料を使い、製作を行います。			クラフターの「クラスクエスト」では、クエスト中に入手した材料を使い、製作を行います。			禁忌の刃							
製作に失敗した場合は、NPCに話しかけることで、再度、材料を入手できます。			製作に失敗した場合は、NPCに話しかけることで、再度、材料を入手できます。			禁忌の刃							
それでは、実際に製作をしてみましょう！製作手帳「スペシャルレシピ」の「クラスクエスト関連」以下、「クラスクエスト」の項目を選択することで製作できます。			それでは、実際に製作をしてみましょう！製作手帳「スペシャルレシピ」の「クラスクエスト関連」以下、「クラスクエスト」の項目を選択することで製作できます。			禁忌の刃							
錬金術師として、真実を追い求めたことにより、「品質精査」を修得しました！			錬金術師として、真実を追い求めたことにより、「品質精査」を修得しました！			禁忌の刃							
所有者の許可なく勝手に棺を触るでないぞ。			所有者の許可なく勝手に棺を触るでないぞ。			禁忌の刃							
レヴナンツトールのウィルトウェークは、冒険者に初仕事を依頼したいようだ。			レヴナンツトールのウィルトウェークは、冒険者に初仕事を依頼したいようだ。			ココロノメデミレバ							
ウィルトウェークから暗号解読を依頼された。リムサ・ロミンサの溺れた海豚亭にいる「バデロン」に「モードゥナの暗号地図」を見せ、解読を試みよう。			ウィルトウェークから暗号解読を依頼された。リムサ・ロミンサの溺れた海豚亭にいる「バデロン」に「モードゥナの暗号地図」を見せ、解読を試みよう。			ココロノメデミレバ							
バデロンにモードゥナの暗号地図を見せた。暗号らしき文字列は、実はでたらめな記号だったようだ。レヴナンツトールの「ウィルトウェーク」に「モードゥナの暗号地図」を返却し、このことを報告しよう。			バデロンにモードゥナの暗号地図を見せた。暗号らしき文字列は、実はでたらめな記号だったようだ。レヴナンツトールの「ウィルトウェーク」に「モードゥナの暗号地図」を返却し、このことを報告しよう。			ココロノメデミレバ							
ウィルトウェークに報告し、預かっていたモードゥナの暗号地図を返却した。犯罪者らは実行役に、暗号ではなく魔法のインクで犯行を指示していたようだ。指示書を偽造し、実行犯をおびきだすため、「ミスライトエンチャントインク」を3つ製作し、レヴナンツトールの「ウィルトウェーク」に納品しよう。			ウィルトウェークに報告し、預かっていたモードゥナの暗号地図を返却した。犯罪者らは実行役に、暗号ではなく魔法のインクで犯行を指示していたようだ。指示書を偽造し、実行犯をおびきだすため、「ミスライトエンチャントインク」を3つ製作し、レヴナンツトールの「ウィルトウェーク」に納品しよう。			ココロノメデミレバ							
ウィルトウェークにミスライトエンチャントインクを納品した。モードゥナにある聖コイナク財団の調査地で「ウィルトウェーク」と合流しよう。			ウィルトウェークにミスライトエンチャントインクを納品した。モードゥナにある聖コイナク財団の調査地で「ウィルトウェーク」と合流しよう。			ココロノメデミレバ							
ウィルトウェーク、チャネネと合流した。犯行現場に現れた「近東風の若者」が捕縛されたものの、若者は応答すらできない自失状態にあった。とはいえ、捜査は大きな進展を見せたといえる。これからも錬金術の専門家としてウィルトウェークらを支え、犯罪捜査に協力していこう。※錬金術師のレベルが55以上になると、レヴナンツトールのウィルトウェークから次の錬金術師クエストを受注することができます。			ウィルトウェーク、チャネネと合流した。犯行現場に現れた「近東風の若者」が捕縛されたものの、若者は応答すらできない自失状態にあった。とはいえ、捜査は大きな進展を見せたといえる。これからも錬金術の専門家としてウィルトウェークらを支え、犯罪捜査に協力していこう。※錬金術師のレベルが55以上になると、レヴナンツトールのウィルトウェークから次の錬金術師クエストを受注することができます。			ココロノメデミレバ							
リムサ・ロミンサのバデロンにモードゥナの暗号地図を見せる			リムサ・ロミンサのバデロンにモードゥナの暗号地図を見せる			ココロノメデミレバ							
レヴナンツトールのウィルトウェークにモードゥナの暗号地図を渡す			レヴナンツトールのウィルトウェークにモードゥナの暗号地図を渡す			ココロノメデミレバ							
ミスライトエンチャントインクを製作ウィルトウェークにミスライトエンチャントインクを納品			ミスライトエンチャントインクを製作ウィルトウェークにミスライトエンチャントインクを納品			ココロノメデミレバ							
聖コイナク財団の調査地でウィルトウェークと合流			聖コイナク財団の調査地でウィルトウェークと合流			ココロノメデミレバ							
いよいよ君に、捜査顧問としての初仕事を依頼したい！先だって、「聖コイナク財団」の拠点に賊が押し入った。……盗まれたのは出土品が数点、古代アラグ文明の遺物だ。			いよいよ君に、捜査顧問としての初仕事を依頼したい！先だって、「聖コイナク財団」の拠点に賊が押し入った。……盗まれたのは出土品が数点、古代アラグ文明の遺物だ。			ココロノメデミレバ							
衛兵によると、賊は逃走の際に紙切れを落としたそうだ。謎の記号がみっちりと記された「暗号地図」のようだな。犯罪者どもの連絡用とみているが……その解読を頼みたい。			衛兵によると、賊は逃走の際に紙切れを落としたそうだ。謎の記号がみっちりと記された「暗号地図」のようだな。犯罪者どもの連絡用とみているが……その解読を頼みたい。			ココロノメデミレバ							
……リムサ・ロミンサの冒険者ギルドで顔役をやってる、バデロンは知ってるな？って野郎がいる。実は暗号解読にかけちゃ、第一人者と呼べる男だ。			……リムサ・ロミンサの冒険者ギルドで顔役をやってる、バデロンは知ってるな？って野郎がいる。実は暗号解読にかけちゃ、第一人者と呼べる男だ。			ココロノメデミレバ							
溺れた海豚亭の「バデロン」のもとに赴いて、彼とともに、「モードゥナの暗号地図」の解読を試みてもらえないか？犯人は、錬金術を使う集団……何かわかるといいのだが。			溺れた海豚亭の「バデロン」のもとに赴いて、彼とともに、「モードゥナの暗号地図」の解読を試みてもらえないか？犯人は、錬金術を使う集団……何かわかるといいのだが。			ココロノメデミレバ							
溺れた海豚亭の「バデロン」のもとに赴いて、彼とともに、「モードゥナの暗号地図」の解読を試みてもらえないか？犯人は、錬金術を使う集団……何かわかるといいのだが。			溺れた海豚亭の「バデロン」のもとに赴いて、彼とともに、「モードゥナの暗号地図」の解読を試みてもらえないか？犯人は、錬金術を使う集団……何かわかるといいのだが。			ココロノメデミレバ							
よう、いらっしゃい。……何だ？まるで、俺に見せたいものがあるってカンジの顔だな。			よう、いらっしゃい。……何だ？まるで、俺に見せたいものがあるってカンジの顔だな。			ココロノメデミレバ							
……ほう、錬金術を使う犯罪者どもの、暗号解読か。たしかに錬金術師は、やたらと隠語や暗号を使いたがる。だが、俺のみたとこじゃ、コイツはそもそも暗号文じゃないな。			……ほう、錬金術を使う犯罪者どもの、暗号解読か。たしかに錬金術師は、やたらと隠語や暗号を使いたがる。だが、俺のみたとこじゃ、コイツはそもそも暗号文じゃないな。			ココロノメデミレバ							
暗号文にあるはずの、規則性がまったくない……。俺が犯人なら、こういう「それっぽい記号」は偽装に使うね。暗号はでたらめで、真の伝達事項は「あぶりだし」で書くとかな！			暗号文にあるはずの、規則性がまったくない……。俺が犯人なら、こういう「それっぽい記号」は偽装に使うね。暗号はでたらめで、真の伝達事項は「あぶりだし」で書くとかな！			ココロノメデミレバ							
暗号じゃない以上、俺の出番はここまでだ。依頼主に、そう伝えとくといいぜ。			暗号じゃない以上、俺の出番はここまでだ。依頼主に、そう伝えとくといいぜ。			ココロノメデミレバ							
俺が犯人なら、でたらめな暗号は偽装に使って、真の伝達事項は「あぶりだし」でも使って書くね。依頼主に、そう伝えとくといいぜ。			俺が犯人なら、でたらめな暗号は偽装に使って、真の伝達事項は「あぶりだし」でも使って書くね。依頼主に、そう伝えとくといいぜ。			ココロノメデミレバ							
あ、君！どう……例の暗号は、解読できた？			あ、君！どう……例の暗号は、解読できた？			ココロノメデミレバ							
どうだ、バデロンには会えたか？あの地図には、謎の記号がみっちり書かれていたから、野郎といえど難航するかもしれんな……。			どうだ、バデロンには会えたか？あの地図には、謎の記号がみっちり書かれていたから、野郎といえど難航するかもしれんな……。			ココロノメデミレバ							
……なんと、バデロンは、これが暗号じゃないというのだな。「自分ならあぶりだしで書く」とは、あの男らしい！ところで……こちらのほうでも、わずかだが捜査に進展があった。			……なんと、バデロンは、これが暗号じゃないというのだな。「自分ならあぶりだしで書く」とは、あの男らしい！ところで……こちらのほうでも、わずかだが捜査に進展があった。			ココロノメデミレバ							
暗号地図に付着していた成分の、分析結果が返ってきたの。錬金術で使う「ミスライトエンチャントインク」だって。エンチャントインクの一種らしいけど、これってどういう品？			暗号地図に付着していた成分の、分析結果が返ってきたの。錬金術で使う「ミスライトエンチャントインク」だって。エンチャントインクの一種らしいけど、これってどういう品？			ココロノメデミレバ							
エンチャントインクとは？			エンチャントインクとは？			ココロノメデミレバ							
「魔道書」の材料			「魔道書」の材料			ココロノメデミレバ							
エーテル伝導率を高めたインク			エーテル伝導率を高めたインク			ココロノメデミレバ							
「魔道書」の魔紋を記すのに使うインク、ってこと……？なるほど……そのためにエーテル伝導率を高めて、魔力を伝わりやすくしてあるのね。			「魔道書」の魔紋を記すのに使うインク、ってこと……？なるほど……そのためにエーテル伝導率を高めて、魔力を伝わりやすくしてあるのね。			ココロノメデミレバ							
金属の粉末を混ぜて、エーテル伝導率を高めたインク……？それって、魔力を伝わりやすくしてあるってことだよね？……そっか、これを使って、魔道書に「魔紋」を記すわけか。			金属の粉末を混ぜて、エーテル伝導率を高めたインク……？それって、魔力を伝わりやすくしてあるってことだよね？……そっか、これを使って、魔道書に「魔紋」を記すわけか。			ココロノメデミレバ							
ということは……。この文字に、巴術を使う要領で魔力を流し込んでみれば、何かわかるかも……？			ということは……。この文字に、巴術を使う要領で魔力を流し込んでみれば、何かわかるかも……？			ココロノメデミレバ							
……だめみたい……特に魔法が発動する様子もないし、流れ込んだエーテルは、ある1点で止まってしまう。地図上でいうと、ちょうど犯行現場のあたりだね。			……だめみたい……特に魔法が発動する様子もないし、流れ込んだエーテルは、ある1点で止まってしまう。地図上でいうと、ちょうど犯行現場のあたりだね。			ココロノメデミレバ							
犯行現場だと……？　そうか、わかったぞ！こいつは、錬金術を使った「あぶりだし」の指示書だな！魔力を注ぐと、地図上に目標地点が浮かび上がるって寸法だ！			犯行現場だと……？　そうか、わかったぞ！こいつは、錬金術を使った「あぶりだし」の指示書だな！魔力を注ぐと、地図上に目標地点が浮かび上がるって寸法だ！			ココロノメデミレバ							
あ、そういうことか！　さすがバデロンさんね！待って……実行役が、地図を頼りに犯行に及ぶとすれば、同じ方法で、犯人をおびきだすこともできるんじゃない？			あ、そういうことか！　さすがバデロンさんね！待って……実行役が、地図を頼りに犯行に及ぶとすれば、同じ方法で、犯人をおびきだすこともできるんじゃない？			ココロノメデミレバ							
……やってみる価値は、あるかもな。実は以前にも、似たような暗号地図の断片が見つかってる。仮にその発見場所が、犯行の指示に使われているとすれば……。			……やってみる価値は、あるかもな。実は以前にも、似たような暗号地図の断片が見つかってる。仮にその発見場所が、犯行の指示に使われているとすれば……。			ココロノメデミレバ							
私たちが暗号地図を偽造して、そこに置いておけば、実行犯を好きな場所に誘導できるはずだよ！			私たちが暗号地図を偽造して、そこに置いておけば、実行犯を好きな場所に誘導できるはずだよ！			ココロノメデミレバ							
よし、チャネネには地図の偽造を頼む！そしてForenameには、最も重要な……「ミスライトエンチャントインク」を3つほど、製作してほしい！			よし、チャネネには地図の偽造を頼む！そしてForenameには、最も重要な……「ミスライトエンチャントインク」を3つほど、製作してほしい！			ココロノメデミレバ							
「ミスライトエンチャントインク」の製作は順調か？聞けば、錬金術師として、かなりの腕前が必要な品らしいな……。			「ミスライトエンチャントインク」の製作は順調か？聞けば、錬金術師として、かなりの腕前が必要な品らしいな……。			ココロノメデミレバ							
……おおっ、こいつがそのインクか！ありがたく使わせてもらうぞ。これで、犯罪集団と同じ暗号地図を偽造できる……。			……おおっ、こいつがそのインクか！ありがたく使わせてもらうぞ。これで、犯罪集団と同じ暗号地図を偽造できる……。			ココロノメデミレバ							
実行犯はモードゥナの「聖コイナク財団の調査地」におびき出す。荒仕事はオレたちでやるから、ぜひ現場に来てくれ！味方に、凄腕の錬金術師がいると心強いからな。			実行犯はモードゥナの「聖コイナク財団の調査地」におびき出す。荒仕事はオレたちでやるから、ぜひ現場に来てくれ！味方に、凄腕の錬金術師がいると心強いからな。			ココロノメデミレバ							
実行犯はモードゥナの「聖コイナク財団の調査地」におびき出す。荒仕事はオレたちでやるから、ぜひ現場に来てくれ！味方に凄腕の錬金術師がいると、心強いからな。			実行犯はモードゥナの「聖コイナク財団の調査地」におびき出す。荒仕事はオレたちでやるから、ぜひ現場に来てくれ！味方に凄腕の錬金術師がいると、心強いからな。			ココロノメデミレバ							
大成功だよ！ついさっき、現れた不審者をとっつかまえたところ！だけど……少し様子がおかしいんだよね。			大成功だよ！ついさっき、現れた不審者をとっつかまえたところ！だけど……少し様子がおかしいんだよね。			ココロノメデミレバ							
………………。			………………。			ココロノメデミレバ							
まんまと作戦成功だ！たったいま、容疑者の身柄を確保したぞ！偽造した地図を持って、こいつがノコノコ現れたんだ。			まんまと作戦成功だ！たったいま、容疑者の身柄を確保したぞ！偽造した地図を持って、こいつがノコノコ現れたんだ。			ココロノメデミレバ							
ただ……ちょっと、変なんだよ。……ねえ、君、私の声が聞こえる？			ただ……ちょっと、変なんだよ。……ねえ、君、私の声が聞こえる？			ココロノメデミレバ							
………………。			………………。			ココロノメデミレバ							
自失状態か……。取り調べても、何も出てこないかもな。			自失状態か……。取り調べても、何も出てこないかもな。			ココロノメデミレバ							
もしかして、容疑者じゃなくて被害者？錬金薬でクスリ漬けにされて、犯人に操られてたとか……。			もしかして、容疑者じゃなくて被害者？錬金薬でクスリ漬けにされて、犯人に操られてたとか……。			ココロノメデミレバ							
戻って身許を洗おう。見たところ、近東系の顔立ちのようだな。			戻って身許を洗おう。見たところ、近東系の顔立ちのようだな。			ココロノメデミレバ							
近東……錬金術の本場とされている地域だね。……ん、あの人は？			近東……錬金術の本場とされている地域だね。……ん、あの人は？			ココロノメデミレバ							
なんだ、あいつは……？おい、そこの老人！			なんだ、あいつは……？おい、そこの老人！			ココロノメデミレバ							
あの老人も、近東風のいでたちだったよ。怪しいね……。			あの老人も、近東風のいでたちだったよ。怪しいね……。			ココロノメデミレバ							
解決すべき謎が、また増えてしまったが……しかし君のおかげで、敵の尻尾の先ぐらいはつかんだようだ！この若者は重要参考人として、冒険者ギルドで身柄を預かろう。			解決すべき謎が、また増えてしまったが……しかし君のおかげで、敵の尻尾の先ぐらいはつかんだようだ！この若者は重要参考人として、冒険者ギルドで身柄を預かろう。			ココロノメデミレバ							
それにしても、人をこんな状態にしてしまうとは……錬金薬か何か知らんが、厄介な技術を使う連中のようだな。近いうちにまた、君の助力を請うことになりそうだ！			それにしても、人をこんな状態にしてしまうとは……錬金薬か何か知らんが、厄介な技術を使う連中のようだな。近いうちにまた、君の助力を請うことになりそうだ！			ココロノメデミレバ							
錬金術師ギルドのセヴェリアンは、究極の錬金術に足りないものを突き止めたらしい。			錬金術師ギルドのセヴェリアンは、究極の錬金術に足りないものを突き止めたらしい。			ひとときの奇跡							
セヴェリアンから依頼を受けた。ウルダハのパールレーンにいる「ワ・ブリナ」と話そう。			セヴェリアンから依頼を受けた。ウルダハのパールレーンにいる「ワ・ブリナ」と話そう。			ひとときの奇跡							
ワ・ブリナと話した。「クイックサンド」の冒険者や「ルビーロード国際市場」の商人をあたって、ワ・ナージャの情報を集めよう。			ワ・ブリナと話した。「クイックサンド」の冒険者や「ルビーロード国際市場」の商人をあたって、ワ・ナージャの情報を集めよう。			ひとときの奇跡							
ワ・ナージャの情報を集めた。ウルダハの錬金術師ギルドにいる「セヴェリアン」に「詠唱のマテリダ」のついた「バッデッドローズワンド」を1個納品しよう。			ワ・ナージャの情報を集めた。ウルダハの錬金術師ギルドにいる「セヴェリアン」に「詠唱のマテリダ」のついた「バッデッドローズワンド」を1個納品しよう。			ひとときの奇跡							
セヴェリアンにバッデッドローズワンドを納品した。しかし、セヴェリアンはワ・ナージャを蘇らせることはできなかった。錬金術師ギルドの「セヴェリアン」と話そう。			セヴェリアンにバッデッドローズワンドを納品した。しかし、セヴェリアンはワ・ナージャを蘇らせることはできなかった。錬金術師ギルドの「セヴェリアン」と話そう。			ひとときの奇跡							
究極の錬金術は失敗したが、セヴェリアンは達成感にみちていた。彼は今後も、新たな研究で錬金術の可能性を拓き続けていくだろう。セヴェリアンに負けないよう、錬金術師として仕事に励もう。※以下の条件を満たすと、錬金術師ギルドのセヴェリアンから、新たなクラスクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			究極の錬金術は失敗したが、セヴェリアンは達成感にみちていた。彼は今後も、新たな研究で錬金術の可能性を拓き続けていくだろう。セヴェリアンに負けないよう、錬金術師として仕事に励もう。※以下の条件を満たすと、錬金術師ギルドのセヴェリアンから、新たなクラスクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			ひとときの奇跡							
ワ・ブリナと話す			ワ・ブリナと話す			ひとときの奇跡							
ワ・ナージャの情報を集める			ワ・ナージャの情報を集める			ひとときの奇跡							
セヴェリアンに依頼品を納品			セヴェリアンに依頼品を納品			ひとときの奇跡							
セヴェリアンと話す			セヴェリアンと話す			ひとときの奇跡							
……助手か？はは……ついに、ついに私は突き止めたぞ……！			……助手か？はは……ついに、ついに私は突き止めたぞ……！			ひとときの奇跡							
究極の錬金術を成すには……ナージャを蘇らせるには、肉体を蘇生させるだけでは駄目だったのだ。			究極の錬金術を成すには……ナージャを蘇らせるには、肉体を蘇生させるだけでは駄目だったのだ。			ひとときの奇跡							
肉体と魂をつなぐ、ナージャをナージャたらしめる何かが、必要らしい……。			肉体と魂をつなぐ、ナージャをナージャたらしめる何かが、必要らしい……。			ひとときの奇跡							
だが、私の手元には、何もないのだ。彼女の遺品ひとつすら……なくてな……。			だが、私の手元には、何もないのだ。彼女の遺品ひとつすら……なくてな……。			ひとときの奇跡							
だから妹を……「ワ・ブリナ」を訪ねて、彼女にゆかりのある品を、預かってきてほしい。私はその間に、別の準備を……。			だから妹を……「ワ・ブリナ」を訪ねて、彼女にゆかりのある品を、預かってきてほしい。私はその間に、別の準備を……。			ひとときの奇跡							
なに、少し疲れているが問題はない。寝ながらでも作業できると、前に言っただろう？			なに、少し疲れているが問題はない。寝ながらでも作業できると、前に言っただろう？			ひとときの奇跡							
……この5年間、ずっとそうしてきたのだ。今更、苦になど思うものか。			……この5年間、ずっとそうしてきたのだ。今更、苦になど思うものか。			ひとときの奇跡							
……ワ・ナージャの遺品を捜している？そう、セヴェリアンさんは、まだ諦めていないのね。			……ワ・ナージャの遺品を捜している？そう、セヴェリアンさんは、まだ諦めていないのね。			ひとときの奇跡							
私だって姉さんを忘れたことなんてないわ。「あの時、旅に連れ出さなければ」って考えて、眠れない夜が今でもあるの。			私だって姉さんを忘れたことなんてないわ。「あの時、旅に連れ出さなければ」って考えて、眠れない夜が今でもあるの。			ひとときの奇跡							
私と姉さんは旅人だったのよ。幻術の修行をしながら、ふたりで世界を巡っていたの。そしてこの地で、セヴェリアンさんと出会った。			私と姉さんは旅人だったのよ。幻術の修行をしながら、ふたりで世界を巡っていたの。そしてこの地で、セヴェリアンさんと出会った。			ひとときの奇跡							
貴公子ともてはやされながら、錬金術のことになると子供みたいにはしゃぐ、変な人！姉と彼は惹かれあって……私はふたりの幸せを願っていたわ。			貴公子ともてはやされながら、錬金術のことになると子供みたいにはしゃぐ、変な人！姉と彼は惹かれあって……私はふたりの幸せを願っていたわ。			ひとときの奇跡							
けれど5年前、幸せは終わってしまった。同盟軍へ志願した私に、姉さんが同行するっていったの。それが、ワ・ナージャ最後の旅になってしまった……。			けれど5年前、幸せは終わってしまった。同盟軍へ志願した私に、姉さんが同行するっていったの。それが、ワ・ナージャ最後の旅になってしまった……。			ひとときの奇跡							
遺品はないわ。あっても渡せない。でも、それでは彼が納得しないでしょうから最後の機会をあげる。			遺品はないわ。あっても渡せない。でも、それでは彼が納得しないでしょうから最後の機会をあげる。			ひとときの奇跡							
「クイックサンド」の冒険者や、「ルビーロード国際市場」の商人をあたりなさい。姉さんに憧れている人は、大勢いたのよ？			「クイックサンド」の冒険者や、「ルビーロード国際市場」の商人をあたりなさい。姉さんに憧れている人は、大勢いたのよ？			ひとときの奇跡							
姉さんについて知りたければ、「クイックサンド」の冒険者や、「ルビーロード国際市場」の商人をあたりなさい。			姉さんについて知りたければ、「クイックサンド」の冒険者や、「ルビーロード国際市場」の商人をあたりなさい。			ひとときの奇跡							
あまり待たないわ。実験の結果にかかわらず、姉さんを取り戻しに行くつもりよ。			あまり待たないわ。実験の結果にかかわらず、姉さんを取り戻しに行くつもりよ。			ひとときの奇跡							
ワ・ナージャの情報がほしい？ほー、その名前をまた聞く日が来るとはなあ！			ワ・ナージャの情報がほしい？ほー、その名前をまた聞く日が来るとはなあ！			ひとときの奇跡							
ナージャとブリナは「美人幻術士姉妹」って有名でな。旅先で出会えた日には、最高にツイてるって言われたもんさ。			ナージャとブリナは「美人幻術士姉妹」って有名でな。旅先で出会えた日には、最高にツイてるって言われたもんさ。			ひとときの奇跡							
腕も立ったのに、5年前の霊災で死んじまった。あっけないもんだよなぁ……。彼女が杖をかざす華麗な姿、もう一度見たかったよ。			腕も立ったのに、5年前の霊災で死んじまった。あっけないもんだよなぁ……。彼女が杖をかざす華麗な姿、もう一度見たかったよ。			ひとときの奇跡							
ワ・ナージャさん？ええ、もちろん知ってるわよ。ファンだったもの！			ワ・ナージャさん？ええ、もちろん知ってるわよ。ファンだったもの！			ひとときの奇跡							
ふたりが使っていた姉妹杖に憧れて、私も使いたい……って思っていたんだけどちょっとだけ実力が足りなくて。			ふたりが使っていた姉妹杖に憧れて、私も使いたい……って思っていたんだけどちょっとだけ実力が足りなくて。			ひとときの奇跡							
なんて杖だったっけなぁ。ナージャといえば、あの杖だったんだけど……。「詠唱のマテリダ」がついてたはずよ。			なんて杖だったっけなぁ。ナージャといえば、あの杖だったんだけど……。「詠唱のマテリダ」がついてたはずよ。			ひとときの奇跡							
