彷徨う階段亭のサイエラは、冒険者に聞きたいことがあるようだ。			彷徨う階段亭のサイエラは、冒険者に聞きたいことがあるようだ。			時を超えた想い							
さあ、次の手がかりを追いましょう。少し退屈でしょうが、これは倒すべき元凶を追うには必要なこと。ラケティカ大森林の「シチュア湿地」まで来てくださいね。			さあ、次の手がかりを追いましょう。少し退屈でしょうが、これは倒すべき元凶を追うには必要なこと。ラケティカ大森林の「シチュア湿地」まで来てくださいね。			影の英雄譚							
よくぞ、おいでくださいました。またも長話になりますが、辛抱してくださいね。			よくぞ、おいでくださいました。またも長話になりますが、辛抱してくださいね。			影の英雄譚							
アム・アレーンでの一件で、冒険者としての名声を高めたことで、アルバートの一行には、次々と依頼が舞い込むようになります。彼らがラケティカ大森林を訪れたのは、そんな時分でした。			アム・アレーンでの一件で、冒険者としての名声を高めたことで、アルバートの一行には、次々と依頼が舞い込むようになります。彼らがラケティカ大森林を訪れたのは、そんな時分でした。			影の英雄譚							
その過程で、狩人レンダ・レイは、付近で狂暴な魔獣「バラム・キツェー」が出没していると知り、密かに一行を離れ、単独での追跡を決行します。			その過程で、狩人レンダ・レイは、付近で狂暴な魔獣「バラム・キツェー」が出没していると知り、密かに一行を離れ、単独での追跡を決行します。			影の英雄譚							
なぜなら、その獣こそ、彼女のかつての仲間を殺した仇だったのです。			なぜなら、その獣こそ、彼女のかつての仲間を殺した仇だったのです。			影の英雄譚							
それは、今の仲間を危険にさらさぬための独走でもありましたが、ノルヴラント随一の魔獣を前に、レンダ・レイは窮地に陥ります。ですが、アルバートたちは決して彼女を見捨てなかった。			それは、今の仲間を危険にさらさぬための独走でもありましたが、ノルヴラント随一の魔獣を前に、レンダ・レイは窮地に陥ります。ですが、アルバートたちは決して彼女を見捨てなかった。			影の英雄譚							
仲間たちの協力を得て、因縁の大物を仕留めたレンダ・レイは、ナイルベルトと同様に、光のクリスタルを手にしたといいます。			仲間たちの協力を得て、因縁の大物を仕留めたレンダ・レイは、ナイルベルトと同様に、光のクリスタルを手にしたといいます。			影の英雄譚							
そして、これ以降、彼女は仲間のためならば、どんな危険も顧みない凄腕の射手として、知られるようになります。が、一方で自由な生き方を捨てもしました……。			そして、これ以降、彼女は仲間のためならば、どんな危険も顧みない凄腕の射手として、知られるようになります。が、一方で自由な生き方を捨てもしました……。			影の英雄譚							
知っていますか？全盛期の彼女が「勇気の狩人」と呼ばれていたことを……そう、勇気……つまり「アンドレイア」です。			知っていますか？全盛期の彼女が「勇気の狩人」と呼ばれていたことを……そう、勇気……つまり「アンドレイア」です。			影の英雄譚							
そして、シルヴァは、またしても盗みました。レンダ・レイが捨て去った「自由なる心」を……。			そして、シルヴァは、またしても盗みました。レンダ・レイが捨て去った「自由なる心」を……。			影の英雄譚							
……ふふ、どうか、ご安心くださいな。倒すべき「すべての元凶」の痕跡は、しっかりと見つけています。どうやら、その者もここに来ていたようですね。			……ふふ、どうか、ご安心くださいな。倒すべき「すべての元凶」の痕跡は、しっかりと見つけています。どうやら、その者もここに来ていたようですね。			影の英雄譚							
さあ、次の場所へ向かいましょう。続いて訪れるべきは妖精郷「イル・メグ」の中心、「リェー・ギア城」です。			さあ、次の場所へ向かいましょう。続いて訪れるべきは妖精郷「イル・メグ」の中心、「リェー・ギア城」です。			影の英雄譚							
長旅、ご苦労さま……。私が妖精郷を無事に旅してきたことが不思議ですか？ふふ……そんな些末なことは置いておいて、物語を続けましょう。			長旅、ご苦労さま……。私が妖精郷を無事に旅してきたことが不思議ですか？ふふ……そんな些末なことは置いておいて、物語を続けましょう。			影の英雄譚							
バラム・キツェーの討伐という偉業を成し遂げ、一行の名声は、いよいよ「英雄」へと近づいていきます。その最後のひと押しとなったのが、フッブート王国での事件です。			バラム・キツェーの討伐という偉業を成し遂げ、一行の名声は、いよいよ「英雄」へと近づいていきます。その最後のひと押しとなったのが、フッブート王国での事件です。			影の英雄譚							
当時、この王国では、次々と領民が魔物に変異するという怪事件が起きていました。			当時、この王国では、次々と領民が魔物に変異するという怪事件が起きていました。			影の英雄譚							
かつて、王国騎士だったブランデンを、故郷から切り離すことになったほどの難事件です。ですが、彼らは旅を通じて経験を積み、大きく成長していました。			かつて、王国騎士だったブランデンを、故郷から切り離すことになったほどの難事件です。ですが、彼らは旅を通じて経験を積み、大きく成長していました。			影の英雄譚							
やがて、アルバートたちは、事件の黒幕が宮廷魔道士であることを突き止め、討ち倒しました。が、そこに喜びはなく、大きな悲しみを背負うことになります。			やがて、アルバートたちは、事件の黒幕が宮廷魔道士であることを突き止め、討ち倒しました。が、そこに喜びはなく、大きな悲しみを背負うことになります。			影の英雄譚							
なぜなら、その黒幕タドリクが、かつてブランデンが忠誠を誓った王女ソールディアを、魔物へと変えてしまったのですから……。			なぜなら、その黒幕タドリクが、かつてブランデンが忠誠を誓った王女ソールディアを、魔物へと変えてしまったのですから……。			影の英雄譚							
守ると誓った王女に乞われ、剣を振り下ろしたブランデン。その想いたるや……。			守ると誓った王女に乞われ、剣を振り下ろしたブランデン。その想いたるや……。			影の英雄譚							
しかし、この悲劇を境に、騎士ブランデンは変わりました。優しさゆえに迷いを秘めていた剣からは、鈍さが消え去り、その鋭さは剣聖の域に達したのです。			しかし、この悲劇を境に、騎士ブランデンは変わりました。優しさゆえに迷いを秘めていた剣からは、鈍さが消え去り、その鋭さは剣聖の域に達したのです。			影の英雄譚							
あまりの荒々しさゆえに、人々はブランデンをこう呼びました。鬼の形相で魔を討ち続ける「正義の魔剣士」と……。そう、正義……「ディカイオシュネー」です。			あまりの荒々しさゆえに、人々はブランデンをこう呼びました。鬼の形相で魔を討ち続ける「正義の魔剣士」と……。そう、正義……「ディカイオシュネー」です。			影の英雄譚							
もう、おわかりでしょうが、またもシルヴァは盗みました。ブランデンが捨て去った「温情の心」を……。彼女は心を盗むたびに、その力を強めていきました。			もう、おわかりでしょうが、またもシルヴァは盗みました。ブランデンが捨て去った「温情の心」を……。彼女は心を盗むたびに、その力を強めていきました。			影の英雄譚							
急激に剣士として強くなるシルヴァを、アルバートたちは、修行の成果だと思ったでしょうが……違ったのですよ。			急激に剣士として強くなるシルヴァを、アルバートたちは、修行の成果だと思ったでしょうが……違ったのですよ。			影の英雄譚							
さて、ここにも「すべての元凶」が現れていたようです。追い詰めるのも、あと少し……次は、ふたたびのコルシア島。その山岳部、「トメラの村」に向かいましょう。			さて、ここにも「すべての元凶」が現れていたようです。追い詰めるのも、あと少し……次は、ふたたびのコルシア島。その山岳部、「トメラの村」に向かいましょう。			影の英雄譚							
長旅に付き合っていただき、感謝します。さて、貴方も物語の結末など察しているとは思いますが、今しばらく、ご辛抱くださいましね。			長旅に付き合っていただき、感謝します。さて、貴方も物語の結末など察しているとは思いますが、今しばらく、ご辛抱くださいましね。			影の英雄譚							
フッブート王国の一件は、彼らの名声を確固たるものとしました。しかし、もうひとつの英雄的行為については、あまり知られていません。			フッブート王国の一件は、彼らの名声を確固たるものとしました。しかし、もうひとつの英雄的行為については、あまり知られていません。			影の英雄譚							
発端は、ラケティカ大森林のロンカ遺跡にて、一行の癒やし手、ラミットが大再生魔法を会得したことによります。			発端は、ラケティカ大森林のロンカ遺跡にて、一行の癒やし手、ラミットが大再生魔法を会得したことによります。			影の英雄譚							
そもそも、領地から離れないことで知られるドワーフ族の彼女が、旅に出た目的こそ、件の魔法を修得するためだったのです。病に侵された妹を救うために……。			そもそも、領地から離れないことで知られるドワーフ族の彼女が、旅に出た目的こそ、件の魔法を修得するためだったのです。病に侵された妹を救うために……。			影の英雄譚							
ですが、妹を含む数多くの病人たちを救いながらも、掟を破ったとして、彼女は永久追放を宣告されてしまいます。			ですが、妹を含む数多くの病人たちを救いながらも、掟を破ったとして、彼女は永久追放を宣告されてしまいます。			影の英雄譚							
一族との結びつきを重んじるドワーフ族にとって、これがいかに酷い仕打ちか……貴方には想像できますか？			一族との結びつきを重んじるドワーフ族にとって、これがいかに酷い仕打ちか……貴方には想像できますか？			影の英雄譚							
それでもラミットは、失意の底に沈むことなく、一族の証たる兜を脱ぎ、英雄として生きることを誓いました。			それでもラミットは、失意の底に沈むことなく、一族の証たる兜を脱ぎ、英雄として生きることを誓いました。			影の英雄譚							
以後、多くの人々を癒やした彼女は、こう呼ばれました。思慮深き「節制の導師」と……。そう、節制……「ソープロシュネー」です。			以後、多くの人々を癒やした彼女は、こう呼ばれました。思慮深き「節制の導師」と……。そう、節制……「ソープロシュネー」です。			影の英雄譚							
そして、シルヴァはラミットが捨て去った「伝統の心」を盗み、いよいよ、人知を超えた力を手にしていました。仲間に知られることもなく……。			そして、シルヴァはラミットが捨て去った「伝統の心」を盗み、いよいよ、人知を超えた力を手にしていました。仲間に知られることもなく……。			影の英雄譚							
一方、アルバートたちは、トメラの村の出来事に前後して、自分たちが倒すべき相手の影を、おぼろげに掴んでいました。			一方、アルバートたちは、トメラの村の出来事に前後して、自分たちが倒すべき相手の影を、おぼろげに掴んでいました。			影の英雄譚							
その名は「影の王」……ノルヴラント社会を裏から操り、不安と混沌を広める謎めいた存在です。			その名は「影の王」……ノルヴラント社会を裏から操り、不安と混沌を広める謎めいた存在です。			影の英雄譚							
世界を救うため、英雄として歩む覚悟を決めた彼らは、多くを犠牲にしながらも、「影の王」との対決を決意します。			世界を救うため、英雄として歩む覚悟を決めた彼らは、多くを犠牲にしながらも、「影の王」との対決を決意します。			影の英雄譚							
貴方はもう「影の王」の正体に、気づいているのではありませんか？			貴方はもう「影の王」の正体に、気づいているのではありませんか？			影の英雄譚							
では、私たちも倒すべき「すべての元凶」を追い詰めましょう。旅の終着点……決戦の地は、レイクランドです。			では、私たちも倒すべき「すべての元凶」を追い詰めましょう。旅の終着点……決戦の地は、レイクランドです。			影の英雄譚							
私は罠の準備をしてから向かいますので、貴方は「ラクサン城」のテラスにて、庭を見張っていてください。よろしくお願いしますね……。			私は罠の準備をしてから向かいますので、貴方は「ラクサン城」のテラスにて、庭を見張っていてください。よろしくお願いしますね……。			影の英雄譚							
なぜだ、シルヴァ！なぜ、俺たちを裏切ったッ！俺とお前は……俺たちは仲間だったんじゃないのか！？			なぜだ、シルヴァ！なぜ、俺たちを裏切ったッ！俺とお前は……俺たちは仲間だったんじゃないのか！？			影の英雄譚							
もちろん、仲間だとも……。世界を救うため、英雄になると誓いあった大切な仲間だよ。			もちろん、仲間だとも……。世界を救うため、英雄になると誓いあった大切な仲間だよ。			影の英雄譚							
だったら……！なんだって、お前が「影の王」なんだよッ！			だったら……！なんだって、お前が「影の王」なんだよッ！			影の英雄譚							
それは、お前たちが「光のクリスタル」を得る過程で、代償として捨て去った心の欠片を集めてきたからさ……！真の英雄となるためにッ……！			それは、お前たちが「光のクリスタル」を得る過程で、代償として捨て去った心の欠片を集めてきたからさ……！真の英雄となるためにッ……！			影の英雄譚							
ナイルベルトが捨てた「追慕の心」は、闇を友とすることを可能とし、その力を我が物となさしめた！			ナイルベルトが捨てた「追慕の心」は、闇を友とすることを可能とし、その力を我が物となさしめた！			影の英雄譚							
レンダ・レイが捨てた「自由なる心」は、私を人という枷から解き放った！			レンダ・レイが捨てた「自由なる心」は、私を人という枷から解き放った！			影の英雄譚							
ブランデンが捨てた「温情の心」は、分かたれた命への慈愛となり、私を理想へ突き動かした！			ブランデンが捨てた「温情の心」は、分かたれた命への慈愛となり、私を理想へ突き動かした！			影の英雄譚							
ラミットが捨てた「伝統の心」は、私とこの世界との結びつきを強め、古の力を得る鍵となった！			ラミットが捨てた「伝統の心」は、私とこの世界との結びつきを強め、古の力を得る鍵となった！			影の英雄譚							
そして、アルバート……お前はこれから「友愛の心」を捨てる！旅の中で友情を育んだ私に、その斧を振り下ろすことによって！			そして、アルバート……お前はこれから「友愛の心」を捨てる！旅の中で友情を育んだ私に、その斧を振り下ろすことによって！			影の英雄譚							
私は、その心を糧として戦おう！君を愛するがゆえに……！			私は、その心を糧として戦おう！君を愛するがゆえに……！			影の英雄譚							
我は「影の王」！闇に沈みし世界より来たりて、この世界を砕き、その魂を救う者なり！			我は「影の王」！闇に沈みし世界より来たりて、この世界を砕き、その魂を救う者なり！			影の英雄譚							
うおおおおおおッ！			うおおおおおおッ！			影の英雄譚							
どうやら「超える力」によって、私の過去を視たようだね……。			どうやら「超える力」によって、私の過去を視たようだね……。			影の英雄譚							
そう、私こそが6人目の仲間「シルヴァ」だ。いや違うな……その名すら本名ではない。			そう、私こそが6人目の仲間「シルヴァ」だ。いや違うな……その名すら本名ではない。			影の英雄譚							
なぜなら私は、君と同じく、この世界の住人ではないのだから……。			なぜなら私は、君と同じく、この世界の住人ではないのだから……。			影の英雄譚							
私は「闇の氾濫」によって滅びた「第十三世界」で生まれ、故郷を救うことに失敗した、英雄のなり損ないのひとりなのさ。			私は「闇の氾濫」によって滅びた「第十三世界」で生まれ、故郷を救うことに失敗した、英雄のなり損ないのひとりなのさ。			影の英雄譚							
「ウヌクアルハイ」と呼ばれる少年の仲間だった者……と、言えば、「第一世界」に渡ってきた理由も察しが付くだろう？アシエンの誘いに乗り、次元圧壊を起こそうとしたのさ。			「ウヌクアルハイ」と呼ばれる少年の仲間だった者……と、言えば、「第一世界」に渡ってきた理由も察しが付くだろう？アシエンの誘いに乗り、次元圧壊を起こそうとしたのさ。			影の英雄譚							
世界が闇に沈み、命なきヴォイドと化したことを悔やみ、アシエンの誘いに乗り、ここ「第一世界」へと渡ってきた。次元圧壊を起こす手助けをするためにね。			世界が闇に沈み、命なきヴォイドと化したことを悔やみ、アシエンの誘いに乗り、ここ「第一世界」へと渡ってきた。次元圧壊を起こす手助けをするためにね。			影の英雄譚							
第十三世界で「闇の氾濫」が起きたことで、対極に位置する第一世界で「光の氾濫」が起きようとしている。それゆえに、世界の統合を急ぐべきだと説得されたのさ。			第十三世界で「闇の氾濫」が起きたことで、対極に位置する第一世界で「光の氾濫」が起きようとしている。それゆえに、世界の統合を急ぐべきだと説得されたのさ。			影の英雄譚							
このままでは、やがて「光の氾濫」が起き、統合する価値すらない、虚無の世界になってしまう。世界統合を望むアシエンにとっては、避けたい状況だ。			このままでは、やがて「光の氾濫」が起き、統合する価値すらない、虚無の世界になってしまう。世界統合を望むアシエンにとっては、避けたい状況だ。			影の英雄譚							
ならば、あえて光を高め得る才ある者たち、つまりアルバートたち英雄の資質を持つ者たちを集め、光の増大を制御下に置こうと考えたのだろうさ。			ならば、あえて光を高め得る才ある者たち、つまりアルバートたち英雄の資質を持つ者たちを集め、光の増大を制御下に置こうと考えたのだろうさ。			影の英雄譚							
私に与えられたのは、英雄一行に仲間として潜り込み、その成長を支えつつ、密かに力の一部を奪い取ること……。そして、己が闇の英雄となり、彼らの歩みを止めることだ。			私に与えられたのは、英雄一行に仲間として潜り込み、その成長を支えつつ、密かに力の一部を奪い取ること……。そして、己が闇の英雄となり、彼らの歩みを止めることだ。			影の英雄譚							
こうして第一世界を、ギリギリのバランスで保ちつつ、一方、アシエンたちが原初世界側で霊災のトリガーを引く……。			こうして第一世界を、ギリギリのバランスで保ちつつ、一方、アシエンたちが原初世界側で霊災のトリガーを引く……。			影の英雄譚							
これが、当時、ミトロンとアログリフの座にあった、アシエンどもの計画だったわけだが……			これが、当時、ミトロンとアログリフの座にあった、アシエンどもの計画だったわけだが……			影の英雄譚							
結局のところ失敗に終わった。英雄のなり損ないである私は、英雄が捨てた心を盗むことで、「影の王」として力を高めたが、それでもなお敗北したのだよ。			結局のところ失敗に終わった。英雄のなり損ないである私は、英雄が捨てた心を盗むことで、「影の王」として力を高めたが、それでもなお敗北したのだよ。			影の英雄譚							
敗因は、アルバートが決戦の中でさえ、「友愛の心」を捨てなかったこと。			敗因は、アルバートが決戦の中でさえ、「友愛の心」を捨てなかったこと。			影の英雄譚							
あの大馬鹿野郎は、裏切り者である私すら、本気で救おうとしたのさ。そして、最後の力を奪えなかった私は、戦いに敗れた……。			あの大馬鹿野郎は、裏切り者である私すら、本気で救おうとしたのさ。そして、最後の力を奪えなかった私は、戦いに敗れた……。			影の英雄譚							
後の展開は、知ってのとおり。「光の戦士たち」は、そのままミトロンとアログリフを討ち、懸念されていた「光の氾濫」が発生した……。			後の展開は、知ってのとおり。「光の戦士たち」は、そのままミトロンとアログリフを討ち、懸念されていた「光の氾濫」が発生した……。			影の英雄譚							
以後、私は滅びゆく世界に取り残され、終わりの時を待ち続けた。これでも「不滅なる者」の端くれだから、簡単には死ねないし、すべてを見届けるのが、関与した者の責務にも思えたのでね。			以後、私は滅びゆく世界に取り残され、終わりの時を待ち続けた。これでも「不滅なる者」の端くれだから、簡単には死ねないし、すべてを見届けるのが、関与した者の責務にも思えたのでね。			影の英雄譚							
だが、数年前に「四使徒」が現れた。			だが、数年前に「四使徒」が現れた。			影の英雄譚							
タイミング的には、君の仲間が第一世界に渡ってきた時期と一致する。光の使徒の介入を感じ、アシエンが対抗として用意したのだろう。			タイミング的には、君の仲間が第一世界に渡ってきた時期と一致する。光の使徒の介入を感じ、アシエンが対抗として用意したのだろう。			影の英雄譚							
ドン・ヴァウスリーあたりに入れ知恵をして、「光の戦士たち」の遺体で罪喰いを作らせたといったところか……。彼らの墓は、ユールモア領にあったからな。			ドン・ヴァウスリーあたりに入れ知恵をして、「光の戦士たち」の遺体で罪喰いを作らせたといったところか……。彼らの墓は、ユールモア領にあったからな。			影の英雄譚							
ところがどういうわけか、かつて自分が裏切った仲間たちの姿をした四使徒を見たとき、私は、怒りに呑まれ……許してはおけないと感じたんだ。			ところがどういうわけか、かつて自分が裏切った仲間たちの姿をした四使徒を見たとき、私は、怒りに呑まれ……許してはおけないと感じたんだ。			影の英雄譚							
罪悪感や後悔がそうさせるのか……この感情は、自分でも上手く説明はできない。いずれにせよ、いまさら善人を気取るつもりはないがね。			罪悪感や後悔がそうさせるのか……この感情は、自分でも上手く説明はできない。いずれにせよ、いまさら善人を気取るつもりはないがね。			影の英雄譚							
ともかく、アシエンを警戒させる存在が現れたのなら、賭けてみようと思ったのさ。			ともかく、アシエンを警戒させる存在が現れたのなら、賭けてみようと思ったのさ。			影の英雄譚							
だから、サイエラと名乗ってクリスタリウムに移住し、酒場で働きながら、罪喰い狩りの賞金稼ぎを集め始めた。いつか来る、アシエンの敵と引き合わせるために……。			だから、サイエラと名乗ってクリスタリウムに移住し、酒場で働きながら、罪喰い狩りの賞金稼ぎを集め始めた。いつか来る、アシエンの敵と引き合わせるために……。			影の英雄譚							
そして、君が現れ……四使徒は討たれた。彼らの魂にも、ようやく安らぎが訪れたことだろう。			そして、君が現れ……四使徒は討たれた。彼らの魂にも、ようやく安らぎが訪れたことだろう。			影の英雄譚							
もはや思い残すことはない……。「すべての元凶」として、世界を砕こうとした「影の王」として、真の英雄たる君に討ってもらいたいんだ。			もはや思い残すことはない……。「すべての元凶」として、世界を砕こうとした「影の王」として、真の英雄たる君に討ってもらいたいんだ。			影の英雄譚							
この世界のために戦い続けた英雄、「光の戦士たち」の真実を語り終えた今、私の役割は終わった。身勝手な願いとは重々承知の上だが……どうか私を殺してくれ……。			この世界のために戦い続けた英雄、「光の戦士たち」の真実を語り終えた今、私の役割は終わった。身勝手な願いとは重々承知の上だが……どうか私を殺してくれ……。			影の英雄譚							
サイエラに何と言う？			サイエラに何と言う？			影の英雄譚							
生きて責任を果たせ！			生きて責任を果たせ！			影の英雄譚							
…………			…………			影の英雄譚							
何を馬鹿なことを！君も、アルバートと同じように情けをかけようというのか！			何を馬鹿なことを！君も、アルバートと同じように情けをかけようというのか！			影の英雄譚							
ハッ……なんて、目で見つめやがるんだ……。安易に「死」に逃げようとする私を、軽蔑するかい？それとも、自殺の手伝いなど御免だとでも？			ハッ……なんて、目で見つめやがるんだ……。安易に「死」に逃げようとする私を、軽蔑するかい？それとも、自殺の手伝いなど御免だとでも？			影の英雄譚							
いいか、私は「影の王」として、多くの人々の命を翻弄してきた！真に大罪人と呼ぶべき者がいるとすれば、それは私だ……！君は、倒すべき「すべての元凶」を見逃すというのか！？			いいか、私は「影の王」として、多くの人々の命を翻弄してきた！真に大罪人と呼ぶべき者がいるとすれば、それは私だ……！君は、倒すべき「すべての元凶」を見逃すというのか！？			影の英雄譚							
サイエラに何と言う？			サイエラに何と言う？			影の英雄譚							
それでも生きて責任を果たすべきだ！			それでも生きて責任を果たすべきだ！			影の英雄譚							
ならば責任を果たしてから死を選べ！			ならば責任を果たしてから死を選べ！			影の英雄譚							
…………。英雄ってやつは、これだから……。			…………。英雄ってやつは、これだから……。			影の英雄譚							
こうと決めたら、その道を進み続ける。ちょっとやそっとで、方向を曲げさせることはできない。奴の隣を歩んだことで知っていたはずなんだがな……。			こうと決めたら、その道を進み続ける。ちょっとやそっとで、方向を曲げさせることはできない。奴の隣を歩んだことで知っていたはずなんだがな……。			影の英雄譚							
……死ぬなら、勝手に死ねということか。			……死ぬなら、勝手に死ねということか。			影の英雄譚							
確かに、君の手を、薄汚い私の血で穢すわけにもいかないな。君は、私が最後までなることのできなかった、真の英雄なのだから……。			確かに、君の手を、薄汚い私の血で穢すわけにもいかないな。君は、私が最後までなることのできなかった、真の英雄なのだから……。			影の英雄譚							
わかった、ならば今少しだけ、生き恥をさらすとしよう……。せめて、アルバートたちの……大罪人「光の戦士たち」の名誉が回復するまで……。			わかった、ならば今少しだけ、生き恥をさらすとしよう……。せめて、アルバートたちの……大罪人「光の戦士たち」の名誉が回復するまで……。			影の英雄譚							
あの酒場の片隅で、マスターと酔っぱらいたちを相手にしながら、真実を伝える語り部となることでな……。			あの酒場の片隅で、マスターと酔っぱらいたちを相手にしながら、真実を伝える語り部となることでな……。			影の英雄譚							
Forename……君を見ていると、アルバートを思い出して嫌になるよ。			Forename……君を見ていると、アルバートを思い出して嫌になるよ。			影の英雄譚							
さあ、帰ろう、あの酒場に……な。			さあ、帰ろう、あの酒場に……な。			影の英雄譚							
サイエラのヤツ、戻ってきたのはいいが、なんだか雰囲気がガラリと変わっちまった……。どうしたってんだ？			サイエラのヤツ、戻ってきたのはいいが、なんだか雰囲気がガラリと変わっちまった……。どうしたってんだ？			影の英雄譚							
やれやれ、久しぶりに鎧を着たら肩が凝ってしかたがない。時を経て消耗した私には、そこらの雑兵にも劣る力しか、残されていないものでね……。			やれやれ、久しぶりに鎧を着たら肩が凝ってしかたがない。時を経て消耗した私には、そこらの雑兵にも劣る力しか、残されていないものでね……。			影の英雄譚							
せいぜい、これからはアルバートたちの名誉のため、酒場の語り部として過ごしてみるさ。			せいぜい、これからはアルバートたちの名誉のため、酒場の語り部として過ごしてみるさ。			影の英雄譚							
私の独りよがりな旅に付き合ってくれて、ありがとう。君は真の英雄として、このまま歩み続けてちょうだい。私には、それができなかったから……。			私の独りよがりな旅に付き合ってくれて、ありがとう。君は真の英雄として、このまま歩み続けてちょうだい。私には、それができなかったから……。			影の英雄譚							
