デルタ管区の管理システムは、静かに佇んでいる。			デルタ管区の管理システムは、静かに佇んでいる。			未登録竜への罰則							
清掃システムに報告			清掃システムに報告			清掃の恐怖							
ザ……ザザ……施設の清掃再開エラー。清掃端末群が、制御下から離れています。			ザ……ザザ……施設の清掃再開エラー。清掃端末群が、制御下から離れています。			清掃の恐怖							
制御不能の清掃端末「アラガンワーク・ハーベストマン」は5体。手動での強制終了をしてください。繰り返しま……ザザ……。			制御不能の清掃端末「アラガンワーク・ハーベストマン」は5体。手動での強制終了をしてください。繰り返しま……ザザ……。			清掃の恐怖							
制御不能の清掃端末「アラガンワーク・ハーベストマン」は5体。手動での強制終了をしてください。繰り返しま……ザザ……。			制御不能の清掃端末「アラガンワーク・ハーベストマン」は5体。手動での強制終了をしてください。繰り返しま……ザザ……。			清掃の恐怖							
ザ……ザザ……制御不能の清掃端末の活動停止を確認。協力に感謝致します……。			ザ……ザザ……制御不能の清掃端末の活動停止を確認。協力に感謝致します……。			清掃の恐怖							
清掃端末が、規定の耐用年数を4962年超過……ザ……。エラーの再発を防止するため、端末の交換をお勧めします。直ちに執政官に進言してくだ……ザザ……。			清掃端末が、規定の耐用年数を4962年超過……ザ……。エラーの再発を防止するため、端末の交換をお勧めします。直ちに執政官に進言してくだ……ザザ……。			清掃の恐怖							
第II転送リング付近の鎮圧システムは、静かに佇んでいる。			第II転送リング付近の鎮圧システムは、静かに佇んでいる。			アラグ式評価試験							
鎮圧システムは、対人制圧用兵器の評価試験を開始した。アジス・ラーのアルファ管区にいる「アラガンワーク・パラディン」と「アラガンワーク・エンジニア」を、それぞれ3体ずつ討伐しよう。			鎮圧システムは、対人制圧用兵器の評価試験を開始した。アジス・ラーのアルファ管区にいる「アラガンワーク・パラディン」と「アラガンワーク・エンジニア」を、それぞれ3体ずつ討伐しよう。			アラグ式評価試験							
対人制圧用兵器を討伐した。第II転送リング付近の「鎮圧システム」に報告しよう。			対人制圧用兵器を討伐した。第II転送リング付近の「鎮圧システム」に報告しよう。			アラグ式評価試験							
鎮圧システムに報告した。冒険者が勝利したことで、評価試験は期待外れの結果になってしまったようだ。			鎮圧システムに報告した。冒険者が勝利したことで、評価試験は期待外れの結果になってしまったようだ。			アラグ式評価試験							
アラガンワーク・パラディンを討伐			アラガンワーク・パラディンを討伐			アラグ式評価試験							
アラガンワーク・エンジニアを討伐			アラガンワーク・エンジニアを討伐			アラグ式評価試験							
鎮圧システムに報告			鎮圧システムに報告			アラグ式評価試験							
ザ……ザザ……対人制圧用兵器のアップデートを完了しました。評価試験を開始します……。			ザ……ザザ……対人制圧用兵器のアップデートを完了しました。評価試験を開始します……。			アラグ式評価試験							
評価対象として、「アラガンワーク・パラディン」3体、「アラガンワーク・エンジニア」3体を用意しました。実戦形式で戦闘能力を評価してください。			評価対象として、「アラガンワーク・パラディン」3体、「アラガンワーク・エンジニア」3体を用意しました。実戦形式で戦闘能力を評価してください。			アラグ式評価試験							
評価対象として、「アラガンワーク・パラディン」3体、「アラガンワーク・エンジニア」3体を用意しました。実戦形式で戦闘能力を評価してください。			評価対象として、「アラガンワーク・パラディン」3体、「アラガンワーク・エンジニア」3体を用意しました。実戦形式で戦闘能力を評価してください。			アラグ式評価試験							
ザ……ザザ……お疲れさまでした。今回、試験を行った対人制圧用兵器の戦闘能力は、総合的に見て、期待外れの結果と言えるでしょう。			ザ……ザザ……お疲れさまでした。今回、試験を行った対人制圧用兵器の戦闘能力は、総合的に見て、期待外れの結果と言えるでしょう。			アラグ式評価試験							
これ以上の成果をお求めであれば、最新型のハードウェアとの交換を進言いたします。			これ以上の成果をお求めであれば、最新型のハードウェアとの交換を進言いたします。			アラグ式評価試験							
