ショートストップ野営地のタップクリクスは、冒険者を疑いの目で見ている。			ショートストップ野営地のタップクリクスは、冒険者を疑いの目で見ている。			冒険者はゴブの仲間							
シュコォ……シュコォ……そもそも　岩って　どこの岩？タップクリクスの　決まりは　聞いてない！			シュコォ……シュコォ……そもそも　岩って　どこの岩？タップクリクスの　決まりは　聞いてない！			見張り召集ゴブ！							
シュコォ……シュコォ…………なんで　みんな　ば～らばら？これは　報告しないと　ダメみたい！			シュコォ……シュコォ…………なんで　みんな　ば～らばら？これは　報告しないと　ダメみたい！			見張り召集ゴブ！							
あにた　「スローフィクス」に　伝えてちょうだい！わたしたち　「青の手」　追い返すからそっちは　よろしく　お願いね～！			あにた　「スローフィクス」に　伝えてちょうだい！わたしたち　「青の手」　追い返すからそっちは　よろしく　お願いね～！			見張り召集ゴブ！							
あにた　「スローフィクス」に　伝えてちょうだい！わたしたち　「青の手」　追い返すからそっちは　よろしく　お願いね～！			あにた　「スローフィクス」に　伝えてちょうだい！わたしたち　「青の手」　追い返すからそっちは　よろしく　お願いね～！			見張り召集ゴブ！							
シュコォ……シュコォ……みんな　ほんとに　適当すぎる～。			シュコォ……シュコォ……みんな　ほんとに　適当すぎる～。			見張り召集ゴブ！							
シュコォ……シュコォ……自由すぎるのも　考えものね～。			シュコォ……シュコォ……自由すぎるのも　考えものね～。			見張り召集ゴブ！							
シュコォ……シュコォ……みんなの　にんしき　ず～れずれ～。			シュコォ……シュコォ……みんなの　にんしき　ず～れずれ～。			見張り召集ゴブ！							
シュコォ……シュコォ……おやおや　あらあら　どうしたゴブ？			シュコォ……シュコォ……おやおや　あらあら　どうしたゴブ？			見張り召集ゴブ！							
なるほど　それは　当然ゴブ。防衛ラインは　適当だから見張りの自由に　させてるゴブ！			なるほど　それは　当然ゴブ。防衛ラインは　適当だから見張りの自由に　させてるゴブ！			見張り召集ゴブ！							
「自由の都市」に　決まりは　ないけど……本当にこれで　大丈夫ゴブ？			「自由の都市」に　決まりは　ないけど……本当にこれで　大丈夫ゴブ？			見張り召集ゴブ！							
シャーレアン工匠街のドリップウィクスは、冒険者がやってきた理由を尋ねようとしている。			シャーレアン工匠街のドリップウィクスは、冒険者がやってきた理由を尋ねようとしている。			手帳奪還ゴブ！							
ドリップウィクスから、ドリップウィクスの手帳を取り返すよう頼まれた。シャーレアン工匠街の「III号ゴブリガードE型」を討伐しよう。			ドリップウィクスから、ドリップウィクスの手帳を取り返すよう頼まれた。シャーレアン工匠街の「III号ゴブリガードE型」を討伐しよう。			手帳奪還ゴブ！							
討伐したIII号ゴブリガードE型は、ドリップウィクスの手帳を持っていなかった。さらに「III号ゴブリガードE型」を討伐して、「ドリップウィクスの手帳」を取り返そう。			討伐したIII号ゴブリガードE型は、ドリップウィクスの手帳を持っていなかった。さらに「III号ゴブリガードE型」を討伐して、「ドリップウィクスの手帳」を取り返そう。			手帳奪還ゴブ！							
「青の手」からドリップウィクスの手帳を取り返した。シャーレアン工匠街の「ドリップウィクス」に「ドリップウィクスの手帳」を渡そう。			「青の手」からドリップウィクスの手帳を取り返した。シャーレアン工匠街の「ドリップウィクス」に「ドリップウィクスの手帳」を渡そう。			手帳奪還ゴブ！							
ドリップウィクスにドリップウィクスの手帳を渡した。彼はスローフィクスの呼び出しに答え、イディルシャイアへと帰っていった。イディルシャイアの「ドリップウィクス」と話そう。			ドリップウィクスにドリップウィクスの手帳を渡した。彼はスローフィクスの呼び出しに答え、イディルシャイアへと帰っていった。イディルシャイアの「ドリップウィクス」と話そう。			手帳奪還ゴブ！							
頻発する問題を解決するため、ドリップウィクスがルールを作ることになった。ドリップウィクスは冒険者にも協力してほしいようだが、手伝えることはあるのだろうか？			頻発する問題を解決するため、ドリップウィクスがルールを作ることになった。ドリップウィクスは冒険者にも協力してほしいようだが、手伝えることはあるのだろうか？			手帳奪還ゴブ！							
III号ゴブリガードE型からまれに得られるドリップウィクスの手帳を入手			III号ゴブリガードE型からまれに得られるドリップウィクスの手帳を入手			手帳奪還ゴブ！							
ドリップウィクスにドリップウィクスの手帳を渡す			ドリップウィクスにドリップウィクスの手帳を渡す			手帳奪還ゴブ！							
イディルシャイアのドリップウィクスと話す			イディルシャイアのドリップウィクスと話す			手帳奪還ゴブ！							
シュコォ……シュコォ……「青の手」　短気で　とっても困る！争うルールを　決めるべき　僕は言っただけなのに！			シュコォ……シュコォ……「青の手」　短気で　とっても困る！争うルールを　決めるべき　僕は言っただけなのに！			手帳奪還ゴブ！							
そういや　あなたは　なにしにここに？どうして　僕を　助けてくれた？			そういや　あなたは　なにしにここに？どうして　僕を　助けてくれた？			手帳奪還ゴブ！							
シュコォ……シュコォ……スローフィクスが　呼んでいる？都市について　悩んでる？			シュコォ……シュコォ……スローフィクスが　呼んでいる？都市について　悩んでる？			手帳奪還ゴブ！							
戻りたいけど　それならばとられた「手帳」　取り返さねば～気づいた都市の　問題点　いっぱいいっぱい書いてる！			戻りたいけど　それならばとられた「手帳」　取り返さねば～気づいた都市の　問題点　いっぱいいっぱい書いてる！			手帳奪還ゴブ！							
犯人は　「青の手」操る　「III号ゴブリガードE型」！ところがどっこい　どのゴブリガードか　全然わからん！数体倒せば　どいつかきっと　持っているに違いない～！			犯人は　「青の手」操る　「III号ゴブリガードE型」！ところがどっこい　どのゴブリガードか　全然わからん！数体倒せば　どいつかきっと　持っているに違いない～！			手帳奪還ゴブ！							
犯人は　「青の手」操る　「III号ゴブリガードE型」！ところがどっこい　どのゴブリガードか　全然わからん！数体倒せば　どいつかきっと　持っているに違いない～！			犯人は　「青の手」操る　「III号ゴブリガードE型」！ところがどっこい　どのゴブリガードか　全然わからん！数体倒せば　どいつかきっと　持っているに違いない～！			手帳奪還ゴブ！							
犯人は　「青の手」操る　「III号ゴブリガードE型」！ところがどっこい　どのゴブリガードか　全然わからん！数体倒せば　どいつかきっと　持っているに違いない～！			犯人は　「青の手」操る　「III号ゴブリガードE型」！ところがどっこい　どのゴブリガードか　全然わからん！数体倒せば　どいつかきっと　持っているに違いない～！			手帳奪還ゴブ！							
シュコォ……シュコォ……命の恩人さん　「手帳」は　取り返せた？			シュコォ……シュコォ……命の恩人さん　「手帳」は　取り返せた？			手帳奪還ゴブ！							
これはたしかにゴブの「手帳」　都市の問題　書き溜めた！恩人さんも　よかったら　「スローフィクス」のお話を一緒に聞いて　都市の改善　考えよ～？			これはたしかにゴブの「手帳」　都市の問題　書き溜めた！恩人さんも　よかったら　「スローフィクス」のお話を一緒に聞いて　都市の改善　考えよ～？			手帳奪還ゴブ！							
シュコォ……シュコォ……ドリップウィクス　怒ってる。とっても　すっごく　怖いゴブ……。			シュコォ……シュコォ……ドリップウィクス　怒ってる。とっても　すっごく　怖いゴブ……。			手帳奪還ゴブ！							
シュコォ……シュコォ……これは　いいところに　恩人さん！あなたからも　このおバカに　言ってほしい！			シュコォ……シュコォ……これは　いいところに　恩人さん！あなたからも　このおバカに　言ってほしい！			手帳奪還ゴブ！							
前からずっと　言っている！都市には　ルール必要　言っている！ルールがないから　問題が　とってもたくさん大発生！			前からずっと　言っている！都市には　ルール必要　言っている！ルールがないから　問題が　とってもたくさん大発生！			手帳奪還ゴブ！							
シュコォ……シュコォ……「自由の都市」に　ルールなんて　必要ないと　思うゴブ！たぶんね　おそらく　だったらいいゴブ……。			シュコォ……シュコォ……「自由の都市」に　ルールなんて　必要ないと　思うゴブ！たぶんね　おそらく　だったらいいゴブ……。			手帳奪還ゴブ！							
問題　増えて　相談してきたあなたが　言うこと　違ってる！			問題　増えて　相談してきたあなたが　言うこと　違ってる！			手帳奪還ゴブ！							
だいたい　道具の貸し出しも　ルール曖昧　適当すぎ！だからこうして　問題が　とってもいっぱい大発生！			だいたい　道具の貸し出しも　ルール曖昧　適当すぎ！だからこうして　問題が　とってもいっぱい大発生！			手帳奪還ゴブ！							
それに　都市なら　領地くらいルール敷かなきゃ　守れもしない！見張りが　困惑　当然よ！			それに　都市なら　領地くらいルール敷かなきゃ　守れもしない！見張りが　困惑　当然よ！			手帳奪還ゴブ！							
シュコォ……シュコォ……わかった　わかった　言うとおり！都市には　ルール　必要ゴブ……。			シュコォ……シュコォ……わかった　わかった　言うとおり！都市には　ルール　必要ゴブ……。			手帳奪還ゴブ！							
シュコォ……シュコォ……それじゃあ　僕が　ルールを決める！恩人さんには悪いけど　あなたの協力とってもほしい！			シュコォ……シュコォ……それじゃあ　僕が　ルールを決める！恩人さんには悪いけど　あなたの協力とってもほしい！			手帳奪還ゴブ！							
ショートストップ野営地のタップクリクスは、おしりに怪我を負ったようだ。			ショートストップ野営地のタップクリクスは、おしりに怪我を負ったようだ。			お尻はやめて							
タップクリクスの話を聞いた。低地ドラヴァニアのシャーレアン工匠街で、タップクリクスのおしりに怪我をさせた「ラーテル」を3体討伐しよう。			タップクリクスの話を聞いた。低地ドラヴァニアのシャーレアン工匠街で、タップクリクスのおしりに怪我をさせた「ラーテル」を3体討伐しよう。			お尻はやめて							
ラーテルを討伐した。ショートストップ野営地の「タップクリクス」に報告しよう。			ラーテルを討伐した。ショートストップ野営地の「タップクリクス」に報告しよう。			お尻はやめて							
タップクリクスに報告した。シャーレアンの都から人が居なくなり、山から下りてきた魔物が多くなっているようだ。			タップクリクスに報告した。シャーレアンの都から人が居なくなり、山から下りてきた魔物が多くなっているようだ。			お尻はやめて							
ラーテルを討伐			ラーテルを討伐			お尻はやめて							
タップクリクスに報告			タップクリクスに報告			お尻はやめて							
シュコォ……シュコォ……凶暴野獣に襲われて　お尻をガブリと　やられたぞ……あにた強そう　「ラーテル」を　3体　倒してちょうだいよ～！			シュコォ……シュコォ……凶暴野獣に襲われて　お尻をガブリと　やられたぞ……あにた強そう　「ラーテル」を　3体　倒してちょうだいよ～！			お尻はやめて							
シュコォ……シュコォ……凶暴野獣に襲われて　お尻をガブリと　やられたぞ……あにた強そう　「ラーテル」を　3体　倒してちょうだいよ～！			シュコォ……シュコォ……凶暴野獣に襲われて　お尻をガブリと　やられたぞ……あにた強そう　「ラーテル」を　3体　倒してちょうだいよ～！			お尻はやめて							
シュコォ……シュコォ……さすが　強そう冒険者！お尻も無事なら　無傷の様子！			シュコォ……シュコォ……さすが　強そう冒険者！お尻も無事なら　無傷の様子！			お尻はやめて							
15年前　「大撤収」　シャーレアン人　夜逃げして野獣が山から下りてきた～！今じゃ　野獣の巣窟よ～！			15年前　「大撤収」　シャーレアン人　夜逃げして野獣が山から下りてきた～！今じゃ　野獣の巣窟よ～！			お尻はやめて							
安全　快適　住環境作るためなりゃ　えんやこら　獣退治が必要そう……気を引き締めて　かからねば～！			安全　快適　住環境作るためなりゃ　えんやこら　獣退治が必要そう……気を引き締めて　かからねば～！			お尻はやめて							
シャーレアン学士街の廃品狙いのゴブリン族は、モルボルグレートに手を焼いているようだ。			シャーレアン学士街の廃品狙いのゴブリン族は、モルボルグレートに手を焼いているようだ。			モルボル釣ってスランプ脱出？							
廃品狙いのゴブリン族から、モルボルグレートの幼生体を討伐する依頼を受けた。幼生体をおびき寄せるため、低地ドラヴァニアのクイックスピル・デルタで、「フェルトスモクス」に協力を頼もう。			廃品狙いのゴブリン族から、モルボルグレートの幼生体を討伐する依頼を受けた。幼生体をおびき寄せるため、低地ドラヴァニアのクイックスピル・デルタで、「フェルトスモクス」に協力を頼もう。			モルボル釣ってスランプ脱出？							
フェルトスモクスに協力してもらえることになった。低地ドラヴァニアの聖モシャーヌ植物園で、「フェルトスモクス」に釣り餌を撒いてもらい、幼生体をおびき寄せて討伐しよう。			フェルトスモクスに協力してもらえることになった。低地ドラヴァニアの聖モシャーヌ植物園で、「フェルトスモクス」に釣り餌を撒いてもらい、幼生体をおびき寄せて討伐しよう。			モルボル釣ってスランプ脱出？							
釣り餌に寄ってきたモルボルグレート・シードリングを討伐した。聖モシャーヌ植物園の「フェルトスモクス」と話そう。			釣り餌に寄ってきたモルボルグレート・シードリングを討伐した。聖モシャーヌ植物園の「フェルトスモクス」と話そう。			モルボル釣ってスランプ脱出？							
フェルトスモクスと話した。釣果がさっぱり上がらないのに、モルボルはあっさりと釣れたことで、彼女は複雑な気分のようだ。シャーレアン学士街の「廃品狙いのゴブリン族」に報告しよう。			フェルトスモクスと話した。釣果がさっぱり上がらないのに、モルボルはあっさりと釣れたことで、彼女は複雑な気分のようだ。シャーレアン学士街の「廃品狙いのゴブリン族」に報告しよう。			モルボル釣ってスランプ脱出？							
廃品狙いのゴブリン族に報告した。幼生体を討伐したことで、廃品狙いのゴブリン族も安心したようだ。			廃品狙いのゴブリン族に報告した。幼生体を討伐したことで、廃品狙いのゴブリン族も安心したようだ。			モルボル釣ってスランプ脱出？							
フェルトスモクスと話す			フェルトスモクスと話す			モルボル釣ってスランプ脱出？							
フェルトスモクスと話し現れたモルボルグレート・シードリングを討伐			フェルトスモクスと話し現れたモルボルグレート・シードリングを討伐			モルボル釣ってスランプ脱出？							
フェルトスモクスと話す			フェルトスモクスと話す			モルボル釣ってスランプ脱出？							
廃品狙いのゴブリン族に報告			廃品狙いのゴブリン族に報告			モルボル釣ってスランプ脱出？							
いつまで　経っても　魚はかからず……なにを　どうすりゃ　釣れるぞな……。			いつまで　経っても　魚はかからず……なにを　どうすりゃ　釣れるぞな……。			モルボル釣ってスランプ脱出？							
シュコォ……シュコォ……腕利きそうな冒険者　ひとつ仕事を受けてみない？			シュコォ……シュコォ……腕利きそうな冒険者　ひとつ仕事を受けてみない？			モルボル釣ってスランプ脱出？							
ゴブは　廃品漁りで稼いでる邪魔になってるモルボルグレート　繁殖止めたい　思ってる幼生体を　3匹　討伐　お願いしたい。			ゴブは　廃品漁りで稼いでる邪魔になってるモルボルグレート　繁殖止めたい　思ってる幼生体を　3匹　討伐　お願いしたい。			モルボル釣ってスランプ脱出？							
幼生体　普段　隠れて出てこない魚を餌に誘き寄せ　一網打尽で仕留めたい南で見たぞ　釣りが大好き　「フェルトスモクス」　相談だ。			幼生体　普段　隠れて出てこない魚を餌に誘き寄せ　一網打尽で仕留めたい南で見たぞ　釣りが大好き　「フェルトスモクス」　相談だ。			モルボル釣ってスランプ脱出？							
幼生体　普段　隠れて出てこない魚を餌に誘き寄せ　一網打尽で仕留めたい南で見たぞ　釣りが大好き　「フェルトスモクス」　相談だ。			幼生体　普段　隠れて出てこない魚を餌に誘き寄せ　一網打尽で仕留めたい南で見たぞ　釣りが大好き　「フェルトスモクス」　相談だ。			モルボル釣ってスランプ脱出？							
シュコォ……シュコォ……残念　まだまだ　釣果なし……これは　たまたま　違いない……。			シュコォ……シュコォ……残念　まだまだ　釣果なし……これは　たまたま　違いない……。			モルボル釣ってスランプ脱出？							
魚を餌に　幼生体を誘きだす？奴らは何でも　口にする　だから「釣り餌」撒いてみよ……ものは試し　「聖モシャーヌ植物園」　行ってみよ……。			魚を餌に　幼生体を誘きだす？奴らは何でも　口にする　だから「釣り餌」撒いてみよ……ものは試し　「聖モシャーヌ植物園」　行ってみよ……。			モルボル釣ってスランプ脱出？							
幼生体　普段　隠れて出てこない魚を餌に誘き寄せ　一網打尽で仕留めたい南で見たぞ　釣りが大好き　「フェルトスモクス」　相談だ。			幼生体　普段　隠れて出てこない魚を餌に誘き寄せ　一網打尽で仕留めたい南で見たぞ　釣りが大好き　「フェルトスモクス」　相談だ。			モルボル釣ってスランプ脱出？							
シュコォ……シュコォ……モルボル釣るのは　初めてだ……ひとまず　「釣り餌」　撒いてみるぞ……ほーれほれ！			シュコォ……シュコォ……モルボル釣るのは　初めてだ……ひとまず　「釣り餌」　撒いてみるぞ……ほーれほれ！			モルボル釣ってスランプ脱出？							
シュコォ……シュコォ……フェルトスモクス　会えたかな～？幼生体　一網打尽　頼んだぞ～！			シュコォ……シュコォ……フェルトスモクス　会えたかな～？幼生体　一網打尽　頼んだぞ～！			モルボル釣ってスランプ脱出？							
シュコォ……シュコォ……釣れたよ　釣れた　爆釣ぞ……魚は釣れず　モルボル　大漁　なんだか複雑　気分ぞな……。			シュコォ……シュコォ……釣れたよ　釣れた　爆釣ぞ……魚は釣れず　モルボル　大漁　なんだか複雑　気分ぞな……。			モルボル釣ってスランプ脱出？							
ひとまず　成果は十分ぞ……「廃品狙いのゴブリン族」　報告するといい……。			ひとまず　成果は十分ぞ……「廃品狙いのゴブリン族」　報告するといい……。			モルボル釣ってスランプ脱出？							
ひとまず　成果は十分ぞ……「廃品狙いのゴブリン族」　報告するといい……。			ひとまず　成果は十分ぞ……「廃品狙いのゴブリン族」　報告するといい……。			モルボル釣ってスランプ脱出？							
シュコォ……シュコォ……幼生体　がっつりばっちり　倒したと？さすがは強い冒険者！　感謝をしよう　たんとしよう！			シュコォ……シュコォ……幼生体　がっつりばっちり　倒したと？さすがは強い冒険者！　感謝をしよう　たんとしよう！			モルボル釣ってスランプ脱出？							
さすがは釣り好き　「フェルトスモクス」！後でお礼を言いに行き　釣りの技でも習うとしよう！			さすがは釣り好き　「フェルトスモクス」！後でお礼を言いに行き　釣りの技でも習うとしよう！			モルボル釣ってスランプ脱出？							
シャーレアン学士街のブームショクスは、最後のノルマを達成したがっている。			シャーレアン学士街のブームショクスは、最後のノルマを達成したがっている。			最後の調査も危険がいっぱい							
ブームショクスの話を聞いた。彼のノルマ達成を手助けするため低地ドラヴァニアの聖モシャーヌ植物園の南東で「オーン・コリブリ」を討伐して、「オーン・コリブリの羽根」を3枚入手しよう。			ブームショクスの話を聞いた。彼のノルマ達成を手助けするため低地ドラヴァニアの聖モシャーヌ植物園の南東で「オーン・コリブリ」を討伐して、「オーン・コリブリの羽根」を3枚入手しよう。			最後の調査も危険がいっぱい							
オーン・コリブリの羽根を入手した。シャーレアン学士街の「ブームショクス」に報告しよう。			オーン・コリブリの羽根を入手した。シャーレアン学士街の「ブームショクス」に報告しよう。			最後の調査も危険がいっぱい							
ブームショクスにオーン・コリブリの羽根を渡した。無事にノルマを達成したようだ。イディルシャイアの「ドライドクス」に、彼のノルマが終わったことを報告しよう。			ブームショクスにオーン・コリブリの羽根を渡した。無事にノルマを達成したようだ。イディルシャイアの「ドライドクス」に、彼のノルマが終わったことを報告しよう。			最後の調査も危険がいっぱい							
ドライドクスに報告した。新米だというのに、無事ノルマをこなしたことが評価されてしまい、ブームショクスは、引き続き調査任務を任されることになりそうだ……。			ドライドクスに報告した。新米だというのに、無事ノルマをこなしたことが評価されてしまい、ブームショクスは、引き続き調査任務を任されることになりそうだ……。			最後の調査も危険がいっぱい							
オーン・コリブリを倒しオーン・コリブリの羽根を入手			オーン・コリブリを倒しオーン・コリブリの羽根を入手			最後の調査も危険がいっぱい							
ブームショクスにオーン・コリブリの羽根を渡す			ブームショクスにオーン・コリブリの羽根を渡す			最後の調査も危険がいっぱい							
イディルシャイアのドライドクスに報告			イディルシャイアのドライドクスに報告			最後の調査も危険がいっぱい							
シュコォ……シュコォ……またまた　またまた　助けてほしい～！これが　最後のノルマ　何が何でも　達成したい～！			シュコォ……シュコォ……またまた　またまた　助けてほしい～！これが　最後のノルマ　何が何でも　達成したい～！			最後の調査も危険がいっぱい							
「聖モシャーヌ植物園」　南東にいる　「オーン・コリブリ」バシッと倒して　その羽根を　3枚ばかり　採ってきて～！どうかよろしく　頼みたい～！			「聖モシャーヌ植物園」　南東にいる　「オーン・コリブリ」バシッと倒して　その羽根を　3枚ばかり　採ってきて～！どうかよろしく　頼みたい～！			最後の調査も危険がいっぱい							
「聖モシャーヌ植物園」　南東にいる　「オーン・コリブリ」バシッと倒して　その羽根を　3枚ばかり　採ってきて～！どうかよろしく　頼みたい～！			「聖モシャーヌ植物園」　南東にいる　「オーン・コリブリ」バシッと倒して　その羽根を　3枚ばかり　採ってきて～！どうかよろしく　頼みたい～！			最後の調査も危険がいっぱい							
「聖モシャーヌ植物園」　南東にいる　「オーン・コリブリ」バシッと倒して　その羽根を　3枚ばかり　採ってきて～！どうかよろしく　頼みたい～！			「聖モシャーヌ植物園」　南東にいる　「オーン・コリブリ」バシッと倒して　その羽根を　3枚ばかり　採ってきて～！どうかよろしく　頼みたい～！			最後の調査も危険がいっぱい							
シュコォ……シュコォ……やった　やった　ありがとう～！これで　ノルマ達成ね～　全部　冒険者のお陰だね～！			シュコォ……シュコォ……やった　やった　ありがとう～！これで　ノルマ達成ね～　全部　冒険者のお陰だね～！			最後の調査も危険がいっぱい							
ようやく　これにて　帰れるよ～！ゴブには　やっぱり調査より　機械いじり　向いてるみたい安全　安心できる場所　戻って　コツコツ　作業したい～！			ようやく　これにて　帰れるよ～！ゴブには　やっぱり調査より　機械いじり　向いてるみたい安全　安心できる場所　戻って　コツコツ　作業したい～！			最後の調査も危険がいっぱい							
準備できたら　帰還する～！それじゃあ　「ドライドクス」に　報告よろしく～！いろいろ　手伝い　ありがとね～！			準備できたら　帰還する～！それじゃあ　「ドライドクス」に　報告よろしく～！いろいろ　手伝い　ありがとね～！			最後の調査も危険がいっぱい							
準備できたら　帰還する～！それじゃあ　「ドライドクス」に　報告よろしく～！いろいろ　手伝い　ありがとね～！			準備できたら　帰還する～！それじゃあ　「ドライドクス」に　報告よろしく～！いろいろ　手伝い　ありがとね～！			最後の調査も危険がいっぱい							
シュコォ……シュコォ……新人　様子は　どうだった～？			シュコォ……シュコォ……新人　様子は　どうだった～？			最後の調査も危険がいっぱい							
……なんと　ノルマ達成　果たしたの！？はじめは　無理だと思っていたがどうやら　調査の才能あり　これは嬉しい　発見よ～！			……なんと　ノルマ達成　果たしたの！？はじめは　無理だと思っていたがどうやら　調査の才能あり　これは嬉しい　発見よ～！			最後の調査も危険がいっぱい							
今後も　調査は　全部任せてあたしは　機械いじりに　戻れそう～冒険者には　感謝　感謝の　大感謝～！			今後も　調査は　全部任せてあたしは　機械いじりに　戻れそう～冒険者には　感謝　感謝の　大感謝～！			最後の調査も危険がいっぱい							
シャーレアン学士街のブームショクスは、泣きだしそうな目をしている。			シャーレアン学士街のブームショクスは、泣きだしそうな目をしている。			水場の調査は危険がいっぱい							
ブームショクスの話を聞いた。水場に棲息するモルボルグレートが怖くて、調査をできないようだ。低地ドラヴァニアの聖モシャーヌ植物園付近で「モルボルグレート」を3体討伐しよう。			ブームショクスの話を聞いた。水場に棲息するモルボルグレートが怖くて、調査をできないようだ。低地ドラヴァニアの聖モシャーヌ植物園付近で「モルボルグレート」を3体討伐しよう。			水場の調査は危険がいっぱい							
モルボルグレートを討伐した。シャーレアン学士街の「ブームショクス」に報告しよう。			モルボルグレートを討伐した。シャーレアン学士街の「ブームショクス」に報告しよう。			水場の調査は危険がいっぱい							
ブームショクスに報告した。これで水場の調査を進められるようだ。			ブームショクスに報告した。これで水場の調査を進められるようだ。			水場の調査は危険がいっぱい							
モルボルグレートを討伐			モルボルグレートを討伐			水場の調査は危険がいっぱい							
ブームショクスに報告			ブームショクスに報告			水場の調査は危険がいっぱい							
またまた　登場　お邪魔の魔物……奴ら　怖くて　水場に入れぬ……！「モルボルグレート」　3体ほど　どうか倒してもらいたい～！			またまた　登場　お邪魔の魔物……奴ら　怖くて　水場に入れぬ……！「モルボルグレート」　3体ほど　どうか倒してもらいたい～！			水場の調査は危険がいっぱい							
またまた　登場　お邪魔の魔物……！奴ら　怖くて　水場に入れぬ……！「モルボルグレート」　3体ほど　どうか倒してもらいたい～！			またまた　登場　お邪魔の魔物……！奴ら　怖くて　水場に入れぬ……！「モルボルグレート」　3体ほど　どうか倒してもらいたい～！			水場の調査は危険がいっぱい							
シュコォ……シュコォ……ホントに　ホントに　ありがとう～！これで　水場の調査が　進むというもの～！			シュコォ……シュコォ……ホントに　ホントに　ありがとう～！これで　水場の調査が　進むというもの～！			水場の調査は危険がいっぱい							
この先　その先　植物園　資源があるやら　調査する～！早くノルマを　達成し　選者街に　戻りたい～！			この先　その先　植物園　資源があるやら　調査する～！早くノルマを　達成し　選者街に　戻りたい～！			水場の調査は危険がいっぱい							
聖モシャーヌ植物園付近のミッドナイト・デューは、仲間が襲われ焦っているようだ。			聖モシャーヌ植物園付近のミッドナイト・デューは、仲間が襲われ焦っているようだ。			築いたものを壊さぬために							
ミッドナイト・デューから話を聞いた。犯人を追っていたゴブリン族が、犯人たちによって傷つけられたらしい。低地ドラヴァニアのシャーレアン学士街にある倒壊した橋へと向かい、「ミッドナイト・デュー」と話そう。			ミッドナイト・デューから話を聞いた。犯人を追っていたゴブリン族が、犯人たちによって傷つけられたらしい。低地ドラヴァニアのシャーレアン学士街にある倒壊した橋へと向かい、「ミッドナイト・デュー」と話そう。			築いたものを壊さぬために							
ミッドナイト・デューは、犯人を追い詰めたものの手出しできずにいるようだ。シャーレアン学士街の倒壊した橋で「荒くれ者のお頭」と話して、現れた敵を討伐しよう。			ミッドナイト・デューは、犯人を追い詰めたものの手出しできずにいるようだ。シャーレアン学士街の倒壊した橋で「荒くれ者のお頭」と話して、現れた敵を討伐しよう。			築いたものを壊さぬために							
荒くれ者のお頭の仲間を討伐した。シャーレアン学士街の倒壊した橋で、「荒くれ者のお頭」を追いかけて話そう。			荒くれ者のお頭の仲間を討伐した。シャーレアン学士街の倒壊した橋で、「荒くれ者のお頭」を追いかけて話そう。			築いたものを壊さぬために							
荒くれ者のお頭は、仲間を倒され観念したようだ。シャーレアン学士街の倒壊した橋にいる「ミッドナイト・デュー」に報告しよう。			荒くれ者のお頭は、仲間を倒され観念したようだ。シャーレアン学士街の倒壊した橋にいる「ミッドナイト・デュー」に報告しよう。			築いたものを壊さぬために							
ミッドナイト・デューが、荒くれ者たちの始末を引き受けてくれた。イディルシャイアで「ミッドナイト・デュー」と話そう。			ミッドナイト・デューが、荒くれ者たちの始末を引き受けてくれた。イディルシャイアで「ミッドナイト・デュー」と話そう。			築いたものを壊さぬために							
ミッドナイト・デューと話した。廃墟になったシャーレアンの跡地を隠れ家にしようと、各都市を追われた犯罪者がやってくるときがあるらしい。イディルシャイアのゴブリン族との信頼関係が守れたことに、ミッドナイト・デューも安堵していた。			ミッドナイト・デューと話した。廃墟になったシャーレアンの跡地を隠れ家にしようと、各都市を追われた犯罪者がやってくるときがあるらしい。イディルシャイアのゴブリン族との信頼関係が守れたことに、ミッドナイト・デューも安堵していた。			築いたものを壊さぬために							
シャーレアン学士街のミッドナイト・デューと話す			シャーレアン学士街のミッドナイト・デューと話す			築いたものを壊さぬために							
荒くれ者のお頭と話して現れた敵を討伐			荒くれ者のお頭と話して現れた敵を討伐			築いたものを壊さぬために							
荒くれ者のお頭と話す			荒くれ者のお頭と話す			築いたものを壊さぬために							
シャーレアン学士街のミッドナイト・デューと話す			シャーレアン学士街のミッドナイト・デューと話す			築いたものを壊さぬために							
イディルシャイアのミッドナイト・デューと話す			イディルシャイアのミッドナイト・デューと話す			築いたものを壊さぬために							
さっき、犯人を見つけたまでは良かったが、追跡していた仲間のゴブリン族がやられてね……。負傷させられたようなんだ。			さっき、犯人を見つけたまでは良かったが、追跡していた仲間のゴブリン族がやられてね……。負傷させられたようなんだ。			築いたものを壊さぬために							
リンクパール通信によれば、騒動が起きたのは、倒壊した橋の辺りみたいだ。ここからだと南の方角だね……急いで現場に向かうぞ！			リンクパール通信によれば、騒動が起きたのは、倒壊した橋の辺りみたいだ。ここからだと南の方角だね……急いで現場に向かうぞ！			築いたものを壊さぬために							
シュコォ……シュコォ……戦い不得意　やっぱり　やられた……。			シュコォ……シュコォ……戦い不得意　やっぱり　やられた……。			築いたものを壊さぬために							
シュコォ……シュコォ……追い詰めたけど　反撃されて見てのとおりの　ありさまぞ……。			シュコォ……シュコォ……追い詰めたけど　反撃されて見てのとおりの　ありさまぞ……。			築いたものを壊さぬために							
