情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			謎の事件屋							
……とはいえ、私も鬼じゃないからねぇ。それなりの「誠意」があるんだったら、話は違うけど？			……とはいえ、私も鬼じゃないからねぇ。それなりの「誠意」があるんだったら、話は違うけど？			はじまりの予告							
なにこれぇ、こんなもので私の機嫌をとろうっていうの？アルジクラベンダーなんて、もう見飽きちゃったわよ。			なにこれぇ、こんなもので私の機嫌をとろうっていうの？アルジクラベンダーなんて、もう見飽きちゃったわよ。			はじまりの予告							
私はね、高価な「骨董品」が好きなの。いつまでも変わらない美しさ……そう、私みたいなね。……さぁ、帰ってちょうだい。			私はね、高価な「骨董品」が好きなの。いつまでも変わらない美しさ……そう、私みたいなね。……さぁ、帰ってちょうだい。			はじまりの予告							
そ、そんな……。あの有名な「武器怪盗」が、次の標的として、ドリルダさんが買われた「契約の剣」を狙っているのです！			そ、そんな……。あの有名な「武器怪盗」が、次の標的として、ドリルダさんが買われた「契約の剣」を狙っているのです！			はじまりの予告							
悪名高い武器怪盗の予告状、世間の関心も高まっています。一言だけでも、ぜひ取材させていただけませんか……！			悪名高い武器怪盗の予告状、世間の関心も高まっています。一言だけでも、ぜひ取材させていただけませんか……！			はじまりの予告							
そんなの、知ったこっちゃないわよ……。これから「砂蠍衆」の要人がウチに来る予定なの。あんたたちがいたら、邪魔でしょう？			そんなの、知ったこっちゃないわよ……。これから「砂蠍衆」の要人がウチに来る予定なの。あんたたちがいたら、邪魔でしょう？			はじまりの予告							
あと……「武器怪盗」だったかしら？そんな輩が現れたとしても、すぐに捕まるはずよ。ウチには自警団がいるからねぇ。			あと……「武器怪盗」だったかしら？そんな輩が現れたとしても、すぐに捕まるはずよ。ウチには自警団がいるからねぇ。			はじまりの予告							
それに、もしもの時に備えて、優秀な「事件屋」も雇ってあるのよ？			それに、もしもの時に備えて、優秀な「事件屋」も雇ってあるのよ？			はじまりの予告							
あら、噂をすれば、そろそろ来たみたいじゃない。超優秀で、超知的な、美形の事件屋さんが……♪			あら、噂をすれば、そろそろ来たみたいじゃない。超優秀で、超知的な、美形の事件屋さんが……♪			はじまりの予告							
入港する船が打ち鳴らす、号鐘の間に間に……			入港する船が打ち鳴らす、号鐘の間に間に……			はじまりの予告							
解決を待つ事件の呼び声を……キャッチ！			解決を待つ事件の呼び声を……キャッチ！			はじまりの予告							
事件屋ヒルディィィィィブランドゥ！武器怪盗を捕まえに、やってまいりましたぞ！			事件屋ヒルディィィィィブランドゥ！武器怪盗を捕まえに、やってまいりましたぞ！			はじまりの予告							
おや、奇遇ですな、冒険者殿！このようなところにまで私に会いに来てくれるとは。……やっぱり、私のファン？			おや、奇遇ですな、冒険者殿！このようなところにまで私に会いに来てくれるとは。……やっぱり、私のファン？			はじまりの予告							
ヒヒヒ、ヒルディブランドですって？だっ、誰が大枚はたいて、変態を呼ぶもんですか！私が依頼したのは…………！			ヒヒヒ、ヒルディブランドですって？だっ、誰が大枚はたいて、変態を呼ぶもんですか！私が依頼したのは…………！			はじまりの予告							
(-冷静な声の男-)……やれやれ。まるで、ぼくが金に釣られたかのように聞こえる。言葉には注意をしてくれないか？			(-冷静な声の男-)……やれやれ。まるで、ぼくが金に釣られたかのように聞こえる。言葉には注意をしてくれないか？			はじまりの予告							
(-冷静な声の男-)ぼくは、自信家な怪盗の「予告状」に興味を持っただけさ。……調子に乗っている馬鹿な悪人には、きっちりと制裁を加えたくなる性分でね。			(-冷静な声の男-)ぼくは、自信家な怪盗の「予告状」に興味を持っただけさ。……調子に乗っている馬鹿な悪人には、きっちりと制裁を加えたくなる性分でね。			はじまりの予告							
(-冷静な声の男-)……あぁ失礼、少々遅れてしまったようだ。道すがら、殺人事件をいくつか解決していてね。			(-冷静な声の男-)……あぁ失礼、少々遅れてしまったようだ。道すがら、殺人事件をいくつか解決していてね。			はじまりの予告							
ぼくが、依頼のあった事件屋……。ブリアルディアンだ。			ぼくが、依頼のあった事件屋……。ブリアルディアンだ。			はじまりの予告							
事件屋……ムリアルディアン！？			事件屋……ムリアルディアン！？			はじまりの予告							
ブリアルディアンだ。			ブリアルディアンだ。			はじまりの予告							
君は確か、ヒルディブランド……だったかな？横のミコッテ族は、助手のナシュ・マカラッカ君だ。			君は確か、ヒルディブランド……だったかな？横のミコッテ族は、助手のナシュ・マカラッカ君だ。			はじまりの予告							
君たちも、事件屋を名乗っているそうだね。残念だけど……君たちのようなポンコツの出番はない。ひとりで十分さ、エオルゼアを守る「事件屋」はね。			君たちも、事件屋を名乗っているそうだね。残念だけど……君たちのようなポンコツの出番はない。ひとりで十分さ、エオルゼアを守る「事件屋」はね。			はじまりの予告							
さて、ぼくは、いろいろと準備があるので失礼する。奥方様、彼らにはお引き取りを願ってはいかがかな？			さて、ぼくは、いろいろと準備があるので失礼する。奥方様、彼らにはお引き取りを願ってはいかがかな？			はじまりの予告							
「契約の剣」が、ウチの金庫に収められるまでの間、我が家の自警団の指揮は、彼にお任せしてあるの。そういうわけだから、さっさと帰ってちょうだい。			「契約の剣」が、ウチの金庫に収められるまでの間、我が家の自警団の指揮は、彼にお任せしてあるの。そういうわけだから、さっさと帰ってちょうだい。			はじまりの予告							
……まったく、遅かったじゃないのよ、マリア。ちゃんと水を買ってきたんだろうねぇ？			……まったく、遅かったじゃないのよ、マリア。ちゃんと水を買ってきたんだろうねぇ？			はじまりの予告							
つっ……壺を……川に落として……。そのまま流れてしまって……。			つっ……壺を……川に落として……。そのまま流れてしまって……。			はじまりの予告							
ハァ！？　あの壺がいくらすると思ってるんだい！ソーン朝時代の王家の品だったっていう、値打ちものの骨董品だよ！？			ハァ！？　あの壺がいくらすると思ってるんだい！ソーン朝時代の王家の品だったっていう、値打ちものの骨董品だよ！？			はじまりの予告							
いつもビクビクして、情けない子ね！どこまで使えない娘なの……。さっさと拾ってきなさい！			いつもビクビクして、情けない子ね！どこまで使えない娘なの……。さっさと拾ってきなさい！			はじまりの予告							
むむっ……落ちついてください、ドリルダ殿。小さな子どもに遠出をさせるのは、とっても危険です！壺の奪還については、我々におまかせあれ！			むむっ……落ちついてください、ドリルダ殿。小さな子どもに遠出をさせるのは、とっても危険です！壺の奪還については、我々におまかせあれ！			はじまりの予告							
…………このヒルディブランドの知的な計算によると、ドリルダ殿が大事にしている壺を回収すれば、我々が捜査に参加できる可能性も……アップ！			…………このヒルディブランドの知的な計算によると、ドリルダ殿が大事にしている壺を回収すれば、我々が捜査に参加できる可能性も……アップ！			はじまりの予告							
……まる聞こえよ。			……まる聞こえよ。			はじまりの予告							
さぁ、お嬢さん！どこで壺を落としてしまったのですかな？			さぁ、お嬢さん！どこで壺を落としてしまったのですかな？			はじまりの予告							
ウ、ウルダハで買った水を壺に入れて、帰る途中のことでした……。			ウ、ウルダハで買った水を壺に入れて、帰る途中のことでした……。			はじまりの予告							
魔物に壺を奪われてしまって……。あれよあれよという間に、壺が川に落ちてしまったのです……。			魔物に壺を奪われてしまって……。あれよあれよという間に、壺が川に落ちてしまったのです……。			はじまりの予告							
魔物は、ほかのものに気を取られたみたいでした……。川に落ちた壺が無事かどうかは、わかりません……。			魔物は、ほかのものに気を取られたみたいでした……。川に落ちた壺が無事かどうかは、わかりません……。			はじまりの予告							
ひ、拾いに行こうにも、下には魔物がたくさんいて……。……ご、ごめんなさい。			ひ、拾いに行こうにも、下には魔物がたくさんいて……。……ご、ごめんなさい。			はじまりの予告							
そんな悲しそうな顔ばかりせずとも、大丈夫ですぞ！我々は、必ずや壺を取り戻して、マリア殿を笑顔にして差し上げましょう！			そんな悲しそうな顔ばかりせずとも、大丈夫ですぞ！我々は、必ずや壺を取り戻して、マリア殿を笑顔にして差し上げましょう！			はじまりの予告							
ああ、ごめんね。私は「事件屋ブリアルディアン」を取材しておくから。いってらっしゃ～い♪			ああ、ごめんね。私は「事件屋ブリアルディアン」を取材しておくから。いってらっしゃ～い♪			はじまりの予告							
あっ！　エリー殿、ぬけがけですな！？…………取材ばっかりしていると、顔にコジワが増えますぞ。			あっ！　エリー殿、ぬけがけですな！？…………取材ばっかりしていると、顔にコジワが増えますぞ。			はじまりの予告							
だから、まる聞こえよ！コジワって何よ！私は記者なんだから、取材は当然でしょ！？　フン！			だから、まる聞こえよ！コジワって何よ！私は記者なんだから、取材は当然でしょ！？　フン！			はじまりの予告							
ふーむ、では気を取り直して、壺の情報を探してみましょう！			ふーむ、では気を取り直して、壺の情報を探してみましょう！			はじまりの予告							
……また、詳しい場所を聞かずに！			……また、詳しい場所を聞かずに！			はじまりの予告							
マリアちゃん、案内してあげてくれるかしら？……まぁ、きっと大丈夫よ。なんというか……アイツには強運があるからね。			マリアちゃん、案内してあげてくれるかしら？……まぁ、きっと大丈夫よ。なんというか……アイツには強運があるからね。			はじまりの予告							
マリア殿から、壺を落とした場所を聞きましたぞ。ノフィカの井戸に向かい、壺の情報を探してみましょう！			マリア殿から、壺を落とした場所を聞きましたぞ。ノフィカの井戸に向かい、壺の情報を探してみましょう！			はじまりの予告							
あんたたち、いつまでウロウロしてるのよ。砂蠍衆の要人と大事な商談があるんだから、さっさと、どっかいってちょうだい！			あんたたち、いつまでウロウロしてるのよ。砂蠍衆の要人と大事な商談があるんだから、さっさと、どっかいってちょうだい！			はじまりの予告							
ああ、壺が川に落ちたのは見たよ。……ただ、その後しばらくして、何かが割れた音を聞いたなぁ……。			ああ、壺が川に落ちたのは見たよ。……ただ、その後しばらくして、何かが割れた音を聞いたなぁ……。			はじまりの予告							
川に落ちたときは割れてなかったと思うがなぁ。その後の不吉な音は……うーむ。			川に落ちたときは割れてなかったと思うがなぁ。その後の不吉な音は……うーむ。			はじまりの予告							
壺を探しているだって？その壺かどうかは知らんが、何かが川に落ちて、下流に流れていったのなら見たぞ。			壺を探しているだって？その壺かどうかは知らんが、何かが川に落ちて、下流に流れていったのなら見たぞ。			はじまりの予告							
怪鳥がそれを追いかけていったのだが……戻ってきた時には、長い竿のようなものを持っていたな。あれは、なんだったんだ？			怪鳥がそれを追いかけていったのだが……戻ってきた時には、長い竿のようなものを持っていたな。あれは、なんだったんだ？			はじまりの予告							
何かが川に落ちて、流れていったのなら見たぞ。下流のどこかに流れ着いているんじゃないか？			何かが川に落ちて、流れていったのなら見たぞ。下流のどこかに流れ着いているんじゃないか？			はじまりの予告							
くそっ……足の裏に何か刺さって、いてぇ！ええい、これも全部、あのバカ鳥のせいだっ。オレの大切な武器を持っていきやがって……！			くそっ……足の裏に何か刺さって、いてぇ！ええい、これも全部、あのバカ鳥のせいだっ。オレの大切な武器を持っていきやがって……！			はじまりの予告							
……壺？そんなもん知らねぇよ、イテテ！			……壺？そんなもん知らねぇよ、イテテ！			はじまりの予告							
男の足元に、何かの破片が散らばっているようだ……。			男の足元に、何かの破片が散らばっているようだ……。			はじまりの予告							
くそっ……足の裏に何か刺さって、いてぇ！ええい、これも全部、あのバカ鳥のせいだっ。オレの大切な武器を持って行きやがって……！			くそっ……足の裏に何か刺さって、いてぇ！ええい、これも全部、あのバカ鳥のせいだっ。オレの大切な武器を持って行きやがって……！			はじまりの予告							
冒険者殿、何か探し当てましたかな！？……………………あっ。			冒険者殿、何か探し当てましたかな！？……………………あっ。			はじまりの予告							
(-東方風の男-)…………あれっ？この壺、オレが踏んづけて割っちまったのか？			(-東方風の男-)…………あれっ？この壺、オレが踏んづけて割っちまったのか？			はじまりの予告							
(-東方風の男-)もしかして、お嬢ちゃんの壺だったのかい？こりゃ、悪いことをしたなぁ……。			(-東方風の男-)もしかして、お嬢ちゃんの壺だったのかい？こりゃ、悪いことをしたなぁ……。			はじまりの予告							
おや、訳知り顔の御仁。一体ここで何があったのか、教えていただけますかな？			おや、訳知り顔の御仁。一体ここで何があったのか、教えていただけますかな？			はじまりの予告							
(-東方風の男-)オレはなんっつーか……「旅の剣豪」でなぁ。強者を探して、この辺りを歩いていたんだが、怪鳥に襲われ、大切な武器を奪われちまったんだ。			(-東方風の男-)オレはなんっつーか……「旅の剣豪」でなぁ。強者を探して、この辺りを歩いていたんだが、怪鳥に襲われ、大切な武器を奪われちまったんだ。			はじまりの予告							
(-東方風の男-)夢中になってクソ怪鳥を追いかけていたんだが、その時に、壺を踏んづけちまったのかもしれねぇ……。			(-東方風の男-)夢中になってクソ怪鳥を追いかけていたんだが、その時に、壺を踏んづけちまったのかもしれねぇ……。			はじまりの予告							
……マリアさん、大丈夫ですよ～。ヒルディブランド様に、何か良い考えがあるみたいです！			……マリアさん、大丈夫ですよ～。ヒルディブランド様に、何か良い考えがあるみたいです！			はじまりの予告							
きました……きましたぞ！この事件屋ヒルディブランド……。「壺がバラバラ事件」の解決策を、エスコートしましたぞ！			きました……きましたぞ！この事件屋ヒルディブランド……。「壺がバラバラ事件」の解決策を、エスコートしましたぞ！			はじまりの予告							
ひとまず、大きい破片は私が拾いましょう。皆さんは、散らばっている小さな破片を集めてくれますかな？			ひとまず、大きい破片は私が拾いましょう。皆さんは、散らばっている小さな破片を集めてくれますかな？			はじまりの予告							
そういえば前回も、水辺で探しものをしましたなぁ。			そういえば前回も、水辺で探しものをしましたなぁ。			はじまりの予告							
なんだか、悪いことしちまったなぁ……。			なんだか、悪いことしちまったなぁ……。			はじまりの予告							
壺の破片は集められましたかな？			壺の破片は集められましたかな？			はじまりの予告							
おお、助かりましたぞ！この破片があれば、元の壺も復元可能なはず……。			おお、助かりましたぞ！この破片があれば、元の壺も復元可能なはず……。			はじまりの予告							
そう、どんなにバラバラになっていても、あの人なら……。あの「エオルゼア最強の彫金師」ならば、可能なはずです！			そう、どんなにバラバラになっていても、あの人なら……。あの「エオルゼア最強の彫金師」ならば、可能なはずです！			はじまりの予告							
ヒルディブランドは、動揺しているようだ。			ヒルディブランドは、動揺しているようだ。			秘史を抱く者たち							
フィリスが、天秤委員会の最後のひとりだった。一方ヒルディブランドは、怪しい気配を感じ取ったという。ウルダハの政庁層で、不審な痕跡がないか探そう。			フィリスが、天秤委員会の最後のひとりだった。一方ヒルディブランドは、怪しい気配を感じ取ったという。ウルダハの政庁層で、不審な痕跡がないか探そう。			秘史を抱く者たち							
怪しい手紙を見つけた。中には「注意」と書かれていた。政庁層で、不審な痕跡がないか再度探そう。			怪しい手紙を見つけた。中には「注意」と書かれていた。政庁層で、不審な痕跡がないか再度探そう。			秘史を抱く者たち							
2通目の怪しい手紙を見つけた。中には「親しきものこそ　すべてを疑え」と書かれていた。政庁層で、さらに不審な痕跡がないか探そう。			2通目の怪しい手紙を見つけた。中には「親しきものこそ　すべてを疑え」と書かれていた。政庁層で、さらに不審な痕跡がないか探そう。			秘史を抱く者たち							
3通目の怪しい手紙を見つけたところ、背後からゴッドベルトが現れた。彼は、捜査に協力をしてくれるという。宝物庫前に戻り、「ゴッドベルト」と話そう。			3通目の怪しい手紙を見つけたところ、背後からゴッドベルトが現れた。彼は、捜査に協力をしてくれるという。宝物庫前に戻り、「ゴッドベルト」と話そう。			秘史を抱く者たち							
仲間に偽物が紛れ込んでいる可能性があるようだが、ゴッドベルトには、誰が偽物か判断できないようだ。宝物庫前の「ブリアルディアン」、「ナシュ・マカラッカ」、「フィリス」と話し、おかしなところがないか探してみよう。			仲間に偽物が紛れ込んでいる可能性があるようだが、ゴッドベルトには、誰が偽物か判断できないようだ。宝物庫前の「ブリアルディアン」、「ナシュ・マカラッカ」、「フィリス」と話し、おかしなところがないか探してみよう。			秘史を抱く者たち							
3名と話したが、特に怪しいところは見られなかった。宝物庫前の「ゴッドベルト」に報告しよう。			3名と話したが、特に怪しいところは見られなかった。宝物庫前の「ゴッドベルト」に報告しよう。			秘史を抱く者たち							
戻ってきたヒルディブランドの問いかけに対し、ナシュ・マカラッカが不自然な反応をした。彼女に粉末ミラージュディスペラーを使ってみたところ、中から見知らぬ女性が現れた。彼女は一体誰なのだろうか……？			戻ってきたヒルディブランドの問いかけに対し、ナシュ・マカラッカが不自然な反応をした。彼女に粉末ミラージュディスペラーを使ってみたところ、中から見知らぬ女性が現れた。彼女は一体誰なのだろうか……？			秘史を抱く者たち							
黒ずくめの痕跡を探す			黒ずくめの痕跡を探す			秘史を抱く者たち							
黒ずくめの痕跡を再度探す			黒ずくめの痕跡を再度探す			秘史を抱く者たち							
黒ずくめの痕跡をさらに探す			黒ずくめの痕跡をさらに探す			秘史を抱く者たち							
ゴッドベルトと話す			ゴッドベルトと話す			秘史を抱く者たち							
偽物の手がかりを探す			偽物の手がかりを探す			秘史を抱く者たち							
ゴッドベルトと話す			ゴッドベルトと話す			秘史を抱く者たち							
そ…………ん、な……。			そ…………ん、な……。			秘史を抱く者たち							
私、は…………。			私、は…………。			秘史を抱く者たち							
エリー殿が「四大神器」を集めてしまいました。予告どおり「正義の裁き」を決行しようとするでしょう。早く、彼女を見つけねば……！			エリー殿が「四大神器」を集めてしまいました。予告どおり「正義の裁き」を決行しようとするでしょう。早く、彼女を見つけねば……！			秘史を抱く者たち							
……おや、そういえばフィリス殿。貴方は、エリー殿の捜索に向かわなくてよいのですか？			……おや、そういえばフィリス殿。貴方は、エリー殿の捜索に向かわなくてよいのですか？			秘史を抱く者たち							
……私がいったら…………周囲の者を危険に晒してしまいます……。			……私がいったら…………周囲の者を危険に晒してしまいます……。			秘史を抱く者たち							
私は、「天秤委員会」のひとり……「怪盗白仮面」が狙っている最後の人物は、おそらく私です。			私は、「天秤委員会」のひとり……「怪盗白仮面」が狙っている最後の人物は、おそらく私です。			秘史を抱く者たち							
な、なんと、フィリス殿が！			な、なんと、フィリス殿が！			秘史を抱く者たち							
……元々、歴史についての知識は豊富でした。「天秤委員会」には、前任者が退任したということで、最近任命されたのです。			……元々、歴史についての知識は豊富でした。「天秤委員会」には、前任者が退任したということで、最近任命されたのです。			秘史を抱く者たち							
歴史について誤った言説を広められては、国家の品位にかかわると教えられました……。銀冑団の立場から、歴史の均衡を保つのだと……。			歴史について誤った言説を広められては、国家の品位にかかわると教えられました……。銀冑団の立場から、歴史の均衡を保つのだと……。			秘史を抱く者たち							
同じ任に就いている人が数名いるとは聞いていましたが、まさか、それが今回の被害者の方々だったなんて……！			同じ任に就いている人が数名いるとは聞いていましたが、まさか、それが今回の被害者の方々だったなんて……！			秘史を抱く者たち							
……私がここにいると、みなさんも危険に巻き込むことになります。私は、どこかに身を隠しましょう。			……私がここにいると、みなさんも危険に巻き込むことになります。私は、どこかに身を隠しましょう。			秘史を抱く者たち							
ハッハッハ、我々は事件屋！困っている人を見捨てることなど、ありませんぞ！Forename殿も、ブリ殿も、ナシュも味方です！			ハッハッハ、我々は事件屋！困っている人を見捨てることなど、ありませんぞ！Forename殿も、ブリ殿も、ナシュも味方です！			秘史を抱く者たち							
……おや、そういえばナシュはどこにいるのでしょう。			……おや、そういえばナシュはどこにいるのでしょう。			秘史を抱く者たち							
あ～、ヒルディブランド様、ようやく見つけました～！			あ～、ヒルディブランド様、ようやく見つけました～！			秘史を抱く者たち							
おお、ナシュ。心配しましたぞ、どこに行っていたのですか。			おお、ナシュ。心配しましたぞ、どこに行っていたのですか。			秘史を抱く者たち							
エリーさんから、怪しい人影を追ってくれっていわれたので、見張りに行ってました～！			エリーさんから、怪しい人影を追ってくれっていわれたので、見張りに行ってました～！			秘史を抱く者たち							
ふむ、そういえば、まだ例の視線を感じますな……。Forename殿、付近を探ってもらえませんか？私は少し、外の様子を見てきます。			ふむ、そういえば、まだ例の視線を感じますな……。Forename殿、付近を探ってもらえませんか？私は少し、外の様子を見てきます。			秘史を抱く者たち							
……少し、放っておいてくれ。			……少し、放っておいてくれ。			秘史を抱く者たち							
……いけませんね。私が冷静にならないと。			……いけませんね。私が冷静にならないと。			秘史を抱く者たち							
エリーさんは、どこに行ったんですかね～？			エリーさんは、どこに行ったんですかね～？			秘史を抱く者たち							
汚れた手紙が落ちている……。			汚れた手紙が落ちている……。			秘史を抱く者たち							
注意注意注意注意			注意注意注意注意			秘史を抱く者たち							
親しきものこそ　すべてを疑え			親しきものこそ　すべてを疑え			秘史を抱く者たち							
例の「粉」を1回分添付する賢く使うよう			例の「粉」を1回分添付する賢く使うよう			秘史を抱く者たち							
「粉末ミラージュディスペラー」を手に入れた。……背後に何者かの気配がする！！			「粉末ミラージュディスペラー」を手に入れた。……背後に何者かの気配がする！！			秘史を抱く者たち							
ホッホッホウ！息子の友人のForename殿ではありませんか！			ホッホッホウ！息子の友人のForename殿ではありませんか！			秘史を抱く者たち							
近くで商談をしていたら、怪しい気配を感じましてな。ここまで気配を追ってきたのです。ところで、君はいったい何を？			近くで商談をしていたら、怪しい気配を感じましてな。ここまで気配を追ってきたのです。ところで、君はいったい何を？			秘史を抱く者たち							
ホゥ……なるほど、「怪盗白仮面」の事件がそんなことに……。そして、怪しい気配の持ち主からの手紙があったと。			ホゥ……なるほど、「怪盗白仮面」の事件がそんなことに……。そして、怪しい気配の持ち主からの手紙があったと。			秘史を抱く者たち							
ううむ、何者なのでしょう。罠か、それとも……？			ううむ、何者なのでしょう。罠か、それとも……？			秘史を抱く者たち							
……いずれにせよ、注意をするにこしたことはありません。中に残っている人物には、警戒すべきですぞ。			……いずれにせよ、注意をするにこしたことはありません。中に残っている人物には、警戒すべきですぞ。			秘史を抱く者たち							
息子になにかあったら、ママに大目玉をくらいますからな。私も捜査に合流させていただきましょう。			息子になにかあったら、ママに大目玉をくらいますからな。私も捜査に合流させていただきましょう。			秘史を抱く者たち							
ふむ、手持ちの「粉末ミラージュディスペラー」は1回分……。……この中に、偽物が紛れ込んでいる可能性があると、手紙の差出人は伝えたいのでしょうか。			ふむ、手持ちの「粉末ミラージュディスペラー」は1回分……。……この中に、偽物が紛れ込んでいる可能性があると、手紙の差出人は伝えたいのでしょうか。			秘史を抱く者たち							
私より、貴方のほうが皆さんを知っているはず。Forename殿、ここにいる人と話をして、変なところがないか調べてくれませんかな？			私より、貴方のほうが皆さんを知っているはず。Forename殿、ここにいる人と話をして、変なところがないか調べてくれませんかな？			秘史を抱く者たち							
Forename殿、ここにいる人と話をして、変なところがないか調べてくれませんかな？			Forename殿、ここにいる人と話をして、変なところがないか調べてくれませんかな？			秘史を抱く者たち							
エリーが「怪盗白仮面」……？いや、ぼくらしくない、冷静に考えろ……。なにか、決定的な違和感が……ある……。			エリーが「怪盗白仮面」……？いや、ぼくらしくない、冷静に考えろ……。なにか、決定的な違和感が……ある……。			秘史を抱く者たち							
ブリアルディアンさんに、話は聞きました～。エリーさんが「怪盗白仮面」だったなんて、びっくりです～！			ブリアルディアンさんに、話は聞きました～。エリーさんが「怪盗白仮面」だったなんて、びっくりです～！			秘史を抱く者たち							
ゾンビーになるなんて……イヤです……。とても、恐ろしいです……。			ゾンビーになるなんて……イヤです……。とても、恐ろしいです……。			秘史を抱く者たち							
………………違う。……いつもと……違う……。			………………違う。……いつもと……違う……。			秘史を抱く者たち							
なにか、見落としているはず……。決定的な……何かを……。			なにか、見落としているはず……。決定的な……何かを……。			秘史を抱く者たち							
ヒルディブランド様、戻ってくるの遅いですね～。			ヒルディブランド様、戻ってくるの遅いですね～。			秘史を抱く者たち							
……さまざまなことが起こりすぎていて、頭が整理しきれていません……。			……さまざまなことが起こりすぎていて、頭が整理しきれていません……。			秘史を抱く者たち							
ふむ、そうですか……。まぁ、潜入しているとしたら、それがばれぬ自信もあるはず。注意を払いながら、しばらく様子を見てみましょう。			ふむ、そうですか……。まぁ、潜入しているとしたら、それがばれぬ自信もあるはず。注意を払いながら、しばらく様子を見てみましょう。			秘史を抱く者たち							
(-ナシュ・マカラッカ？-)チッ……厄介な奴が来たわね……。あまり時間をかけている暇はないわ……。			(-ナシュ・マカラッカ？-)チッ……厄介な奴が来たわね……。あまり時間をかけている暇はないわ……。			秘史を抱く者たち							
外にいる銀冑団の方に話を聞いてみたのですが、まだ、エリー殿はみつかっていないようですな……。			外にいる銀冑団の方に話を聞いてみたのですが、まだ、エリー殿はみつかっていないようですな……。			秘史を抱く者たち							
……って、なんで父上がここに！？			……って、なんで父上がここに！？			秘史を抱く者たち							
……ようやく、頭が回転してきた。おい、ポンコツ……それ以上近づくな。すでにここに、「怪盗白仮面」がいる可能性があるからな。			……ようやく、頭が回転してきた。おい、ポンコツ……それ以上近づくな。すでにここに、「怪盗白仮面」がいる可能性があるからな。			秘史を抱く者たち							
むむっ！ブリ殿、私を疑っているのですかな！？			むむっ！ブリ殿、私を疑っているのですかな！？			秘史を抱く者たち							
フィリスがここにいる以上、その可能性はゼロではない。一度でも「ひとりきり」になった人物は、全員疑いの対象だ。どこかで、「怪盗白仮面」と入れ替わっていてもおかしくない。			フィリスがここにいる以上、その可能性はゼロではない。一度でも「ひとりきり」になった人物は、全員疑いの対象だ。どこかで、「怪盗白仮面」と入れ替わっていてもおかしくない。			秘史を抱く者たち							
うむ、そのとおりですな。「粉末ミラージュディスペラー」を使えばすぐわかるが……Forename殿以外に、持っている方はいますかな？			うむ、そのとおりですな。「粉末ミラージュディスペラー」を使えばすぐわかるが……Forename殿以外に、持っている方はいますかな？			秘史を抱く者たち							
手元にはもうありません……。先にいかせた銀冑団が、いずれ戻ってきます。彼らが持っている「粉」を集めて使えば……。			手元にはもうありません……。先にいかせた銀冑団が、いずれ戻ってきます。彼らが持っている「粉」を集めて使えば……。			秘史を抱く者たち							
(-ナシュ・マカラッカ？-)チッ……そのとおりよ、こっちには時間がないの。さっさと隙をついて、あのクソ女をゾンビーにしないと……。			(-ナシュ・マカラッカ？-)チッ……そのとおりよ、こっちには時間がないの。さっさと隙をついて、あのクソ女をゾンビーにしないと……。			秘史を抱く者たち							
ふむ、それまでただ待つわけにはいきませんな。この私の推理で、容疑者を絞ってみせましょう！			ふむ、それまでただ待つわけにはいきませんな。この私の推理で、容疑者を絞ってみせましょう！			秘史を抱く者たち							
……まず、エリー殿が入れ替わるとしたら、関わりが長く、なりすましやすい人物！つまり、接点の少ない父上は容疑者から省かれます。			……まず、エリー殿が入れ替わるとしたら、関わりが長く、なりすましやすい人物！つまり、接点の少ない父上は容疑者から省かれます。			秘史を抱く者たち							
残るは私とナシュ、Forename殿です。私とナシュは、ともに事件屋として旅をした時間が長い……。まずは私がナシュに、いくつか質問をしてみましょう！			残るは私とナシュ、Forename殿です。私とナシュは、ともに事件屋として旅をした時間が長い……。まずは私がナシュに、いくつか質問をしてみましょう！			秘史を抱く者たち							
はい～！			はい～！			秘史を抱く者たち							
(-ナシュ・マカラッカ？-)チッ……こういうときに限って、頭が回るなんて！ふたりしか知り得ない情報だと、かなりヤバイ……！			(-ナシュ・マカラッカ？-)チッ……こういうときに限って、頭が回るなんて！ふたりしか知り得ない情報だと、かなりヤバイ……！			秘史を抱く者たち							
第一問！エオルゼアで一番紳士的な人物は！？			第一問！エオルゼアで一番紳士的な人物は！？			秘史を抱く者たち							
ヒ……ヒルディブランド様です～！			ヒ……ヒルディブランド様です～！			秘史を抱く者たち							
……正解！それでは第二問！ナシュが最も尊敬している人物は！？			……正解！それでは第二問！ナシュが最も尊敬している人物は！？			秘史を抱く者たち							
ヒルディブランド様です～！			ヒルディブランド様です～！			秘史を抱く者たち							
……正解！それでは、最後の質問ですぞ！エオルゼアで最も優秀な事件屋の名前は！？			……正解！それでは、最後の質問ですぞ！エオルゼアで最も優秀な事件屋の名前は！？			秘史を抱く者たち							
ヒルディブランド様ですー！！			ヒルディブランド様ですー！！			秘史を抱く者たち							
……うむ！本物のナシュですな！			……うむ！本物のナシュですな！			秘史を抱く者たち							
(-ナシュ・マカラッカ？-)心底、バカでよかった！！！！！！！！！			(-ナシュ・マカラッカ？-)心底、バカでよかった！！！！！！！！！			秘史を抱く者たち							
……おや？			……おや？			秘史を抱く者たち							
ナシュ、少し小じわが増えましたかな！？			ナシュ、少し小じわが増えましたかな！？			秘史を抱く者たち							
