甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			個性を求めて							
……君が、あの甲冑師さんの助手かい？			……君が、あの甲冑師さんの助手かい？			想定外の注文							
そうだ……Forenameという。我が助手に、貴様らの要望を伝えるがいい。			そうだ……Forenameという。我が助手に、貴様らの要望を伝えるがいい。			想定外の注文							
……僕たち今度、手強い魔物に挑むことになってね。その前に、仲間の防具を整えたくてさ。ウチの格闘士、ササピクの頭用の防具なんだけど……。			……僕たち今度、手強い魔物に挑むことになってね。その前に、仲間の防具を整えたくてさ。ウチの格闘士、ササピクの頭用の防具なんだけど……。			想定外の注文							
オイラ、素早さが命だからよ、重い兜なんてお断りだぜ～。動きが鈍っちまうからな～。			オイラ、素早さが命だからよ、重い兜なんてお断りだぜ～。動きが鈍っちまうからな～。			想定外の注文							
彼は少し前まで、ろくなものを着てくれなかったくらいでね……。だから、被っていることを忘れるくらい、とにかく軽くて頑丈な、頭用の防具をお願いしたいんだよ。			彼は少し前まで、ろくなものを着てくれなかったくらいでね……。だから、被っていることを忘れるくらい、とにかく軽くて頑丈な、頭用の防具をお願いしたいんだよ。			想定外の注文							
いったい、どうしろと言うのだ！無理難題にもほどがある。			いったい、どうしろと言うのだ！無理難題にもほどがある。			想定外の注文							
あんた、客の立場に立つとか言ってなかった？それなのに、もう泣き言かい。			あんた、客の立場に立つとか言ってなかった？それなのに、もう泣き言かい。			想定外の注文							
くっ、ハ・ナンザ……。貴様、何をしにきたというのだ？……冷やかしなら、今すぐこの場を去れ。			くっ、ハ・ナンザ……。貴様、何をしにきたというのだ？……冷やかしなら、今すぐこの場を去れ。			想定外の注文							
無理難題と決めつけて、仕事を放り出すのは見過ごせないよ。もっとも、Forenameなら、この大変な仕事でもやってくれるだろうがね。			無理難題と決めつけて、仕事を放り出すのは見過ごせないよ。もっとも、Forenameなら、この大変な仕事でもやってくれるだろうがね。			想定外の注文							
軽くて頑丈な防具といえば、「革細工師ギルド」や「木工師ギルド」だ。それぞれのギルドマスターに、意見を求めてみちゃどうだい？			軽くて頑丈な防具といえば、「革細工師ギルド」や「木工師ギルド」だ。それぞれのギルドマスターに、意見を求めてみちゃどうだい？			想定外の注文							
ふん、論外だ、扱う素材が全く違う……参考になどならぬわ。好敵手よ、無理なら無理でいいのだが……。……ここは、任せたぞ。			ふん、論外だ、扱う素材が全く違う……参考になどならぬわ。好敵手よ、無理なら無理でいいのだが……。……ここは、任せたぞ。			想定外の注文							
あれで、人に物事を頼んでいるつもりなのかね？まぁ、手本を見せてやっとくれよ。			あれで、人に物事を頼んでいるつもりなのかね？まぁ、手本を見せてやっとくれよ。			想定外の注文							
どうやら、話はついたみたいだね。君があの人の代わりに作ってくれるなら、ぜひ頼むよ。			どうやら、話はついたみたいだね。君があの人の代わりに作ってくれるなら、ぜひ頼むよ。			想定外の注文							
好敵手よ、無理なら無理でいいのだが……ここは任せたぞ。			好敵手よ、無理なら無理でいいのだが……ここは任せたぞ。			想定外の注文							
どうやら、話はついたみたいだね。君があの人の代わりに作ってくれるなら、ぜひ頼むよ。			どうやら、話はついたみたいだね。君があの人の代わりに作ってくれるなら、ぜひ頼むよ。			想定外の注文							
軽くて頑丈な防具といえば、「革細工師ギルド」や「木工師ギルド」だ。それぞれのギルドマスターに、意見を求めてみちゃどうだい？			軽くて頑丈な防具といえば、「革細工師ギルド」や「木工師ギルド」だ。それぞれのギルドマスターに、意見を求めてみちゃどうだい？			想定外の注文							
……ふうん、甲冑製作の助言を求めにね。アタシは、徹底して無駄を省くようにしているよ。命をいただいて得た革材を、無駄なく使うためにね。			……ふうん、甲冑製作の助言を求めにね。アタシは、徹底して無駄を省くようにしているよ。命をいただいて得た革材を、無駄なく使うためにね。			想定外の注文							
金属を使った加工じゃどうかは知らないけど、頑丈さを追い求めた結果、無駄が増えていないのか……今一度、考えてみるのもいいかもしれないね。			金属を使った加工じゃどうかは知らないけど、頑丈さを追い求めた結果、無駄が増えていないのか……今一度、考えてみるのもいいかもしれないね。			想定外の注文							
……ふうん、今度は甲冑とは、あんたも忙しいね。だったら、「ゲヴァパターン」を思い出してみな。あれは、一切の無駄を省くための技法だ。			……ふうん、今度は甲冑とは、あんたも忙しいね。だったら、「ゲヴァパターン」を思い出してみな。あれは、一切の無駄を省くための技法だ。			想定外の注文							
金属を使った加工じゃどうかは知らないけど、頑丈さを追い求めた結果、無駄が増えていないのか……今一度、考えてみるのもいいかもしれないね。			金属を使った加工じゃどうかは知らないけど、頑丈さを追い求めた結果、無駄が増えていないのか……今一度、考えてみるのもいいかもしれないね。			想定外の注文							
なるほど……甲冑の相談を受けるなんて……。木工では、木々の特性を知り、無数の木材から造りたい物に、最も適したものを選ぶことが重要です。			なるほど……甲冑の相談を受けるなんて……。木工では、木々の特性を知り、無数の木材から造りたい物に、最も適したものを選ぶことが重要です。			想定外の注文							
きっと、そこは甲冑も同じでしょう……。軽量化しても強度を保つ木材……いや、金属があるんじゃないですか……フフフ……。			きっと、そこは甲冑も同じでしょう……。軽量化しても強度を保つ木材……いや、金属があるんじゃないですか……フフフ……。			想定外の注文							
なんと……貴方は、甲冑にまで枝を伸ばしているのですね……。先生、ビックリしました。			なんと……貴方は、甲冑にまで枝を伸ばしているのですね……。先生、ビックリしました。			想定外の注文							
なるほど……甲冑の相談を受けるなんて……。木工では、木々の特性を知り、無数の木材から造りたい物に、最も適したものを選ぶことが重要です。			なるほど……甲冑の相談を受けるなんて……。木工では、木々の特性を知り、無数の木材から造りたい物に、最も適したものを選ぶことが重要です。			想定外の注文							
きっと、そこは甲冑も同じでしょう……軽量化しても強度を保つ木材……いや、金属があるんじゃないですか……フフフ……。			きっと、そこは甲冑も同じでしょう……軽量化しても強度を保つ木材……いや、金属があるんじゃないですか……フフフ……。			想定外の注文							
どうだい、革細工師ギルドや木工師ギルドでの話は、少しは、参考になったかい？			どうだい、革細工師ギルドや木工師ギルドでの話は、少しは、参考になったかい？			想定外の注文							
……ふむ、「無駄の排除」と「素材選び」か。金属兜から、徹底的に無駄を排除していくとすれば……マスクを作るしかないだろうね。			……ふむ、「無駄の排除」と「素材選び」か。金属兜から、徹底的に無駄を排除していくとすれば……マスクを作るしかないだろうね。			想定外の注文							
素材は、軽さと剛性を兼ね備えた「チタン」がいいだろうね。つまり、作るべきは「チタンストライカーマスク」だ！完成したら「ベナテール」に届けてやりな！			素材は、軽さと剛性を兼ね備えた「チタン」がいいだろうね。つまり、作るべきは「チタンストライカーマスク」だ！完成したら「ベナテール」に届けてやりな！			想定外の注文							
作るべきは「チタンストライカーマスク」だ！完成したら「ベナテール」に届けてやりな！			作るべきは「チタンストライカーマスク」だ！完成したら「ベナテール」に届けてやりな！			想定外の注文							
やあ、待ちかねていたよ。ササピク向けの格闘士の頭用の防具、完成したんだね？			やあ、待ちかねていたよ。ササピク向けの格闘士の頭用の防具、完成したんだね？			想定外の注文							
まさか貴様、本当にあの難題をやってのけたのか……？……どれ、我に見せてみろ。			まさか貴様、本当にあの難題をやってのけたのか……？……どれ、我に見せてみろ。			想定外の注文							
そ、そうか、素材に「チタン」を使ったのだな！薄く加工しながらも、形状を工夫することで剛性を保っている！あの無理難題を、こうも見事にこなすとは……！！			そ、そうか、素材に「チタン」を使ったのだな！薄く加工しながらも、形状を工夫することで剛性を保っている！あの無理難題を、こうも見事にこなすとは……！！			想定外の注文							
やるもんだね～！付けてることを忘れちまいそうなくらい軽いぜ～！			やるもんだね～！付けてることを忘れちまいそうなくらい軽いぜ～！			想定外の注文							
本当にありがとう、Forenameさん。これでササピクも防具を着けてくれて、僕も安心できるよ……。また、お願いしたいね。			本当にありがとう、Forenameさん。これでササピクも防具を着けてくれて、僕も安心できるよ……。また、お願いしたいね。			想定外の注文							
う、うーむ……異業種から知識を学ぶことで、実現不能に思えた客の要望を、すべて満たすとはな。……我は視野が狭く、狭量であったということか。			う、うーむ……異業種から知識を学ぶことで、実現不能に思えた客の要望を、すべて満たすとはな。……我は視野が狭く、狭量であったということか。			想定外の注文							
甲冑師ギルドのハ・ナンザは、冒険者に伝えることがあるようだ。			甲冑師ギルドのハ・ナンザは、冒険者に伝えることがあるようだ。			信念の甲冑師							
ハ・ナンザから依頼を受けた。リムサ・ロミンサの国際街広場にいる「ズヴィンベルク甲曹長」に「天眼のマテリダ」のついた「コバルトホーバージョン」を1着納品しよう。			ハ・ナンザから依頼を受けた。リムサ・ロミンサの国際街広場にいる「ズヴィンベルク甲曹長」に「天眼のマテリダ」のついた「コバルトホーバージョン」を1着納品しよう。			信念の甲冑師							
ズヴィンベルク甲曹長にコバルトホーバージョンを納品した。リムサ・ロミンサの甲冑師ギルドにいる「ブランシュティル」と話そう。			ズヴィンベルク甲曹長にコバルトホーバージョンを納品した。リムサ・ロミンサの甲冑師ギルドにいる「ブランシュティル」と話そう。			信念の甲冑師							
ブランシュティルと話した。リムサ・ロミンサの甲冑師ギルドにいる「ハ・ナンザ」に報告しよう。			ブランシュティルと話した。リムサ・ロミンサの甲冑師ギルドにいる「ハ・ナンザ」に報告しよう。			信念の甲冑師							
ハ・ナンザに報告した。ブランシュティルのことを聞いたハ・ナンザは、彼の敗因が孤独であったことと分析する。彼女の持論は、技術が他者との交流によって切磋琢磨されていくということ。孤独な研鑽では限界があり、それが冒険者とブランシュティルの差になったと語った。勝利という結果に慢心せず、甲冑師としてこれからも仕事を続けよう。※以下の条件を満たすと、甲冑師ギルドのハ・ナンザから、新たなクラスクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			ハ・ナンザに報告した。ブランシュティルのことを聞いたハ・ナンザは、彼の敗因が孤独であったことと分析する。彼女の持論は、技術が他者との交流によって切磋琢磨されていくということ。孤独な研鑽では限界があり、それが冒険者とブランシュティルの差になったと語った。勝利という結果に慢心せず、甲冑師としてこれからも仕事を続けよう。※以下の条件を満たすと、甲冑師ギルドのハ・ナンザから、新たなクラスクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			信念の甲冑師							
国際街広場のズヴィンベルク甲曹長に依頼品を納品			国際街広場のズヴィンベルク甲曹長に依頼品を納品			信念の甲冑師							
甲冑師ギルドのブランシュティルと話す			甲冑師ギルドのブランシュティルと話す			信念の甲冑師							
ハ・ナンザに報告			ハ・ナンザに報告			信念の甲冑師							
この間はギルドの都合を押しつけて、本当にすまなかった。だが、そのことを悔やんでばかりもいられない状況でね。			この間はギルドの都合を押しつけて、本当にすまなかった。だが、そのことを悔やんでばかりもいられない状況でね。			信念の甲冑師							
実は今度、私らの甲冑師ギルドや、リムサ・ロミンサの東方貿易振興機構に対して、メルウィブ提督が視察されることになってる。			実は今度、私らの甲冑師ギルドや、リムサ・ロミンサの東方貿易振興機構に対して、メルウィブ提督が視察されることになってる。			信念の甲冑師							
黒渦団で採用する装備品や物資の数々、その選定に影響する、大事な視察だよ。			黒渦団で採用する装備品や物資の数々、その選定に影響する、大事な視察だよ。			信念の甲冑師							
ブランシュティルの奴が、最後の勝負をこの視察中、提督ご自身に裁定いただこうと提案してきたんだ。			ブランシュティルの奴が、最後の勝負をこの視察中、提督ご自身に裁定いただこうと提案してきたんだ。			信念の甲冑師							
提督の目の前で負けたら、あんたもギルドも面目は丸潰れ。いいかい、絶対に負けることはできないからね、今回は！			提督の目の前で負けたら、あんたもギルドも面目は丸潰れ。いいかい、絶対に負けることはできないからね、今回は！			信念の甲冑師							
勝負の品は、「コバルトホーバージョン」を1着。この装備品は、鏡鉄鉱から作る「コバルトリングズ」を多用した、ホーバージョンの中でも指折りの逸品だ。			勝負の品は、「コバルトホーバージョン」を1着。この装備品は、鏡鉄鉱から作る「コバルトリングズ」を多用した、ホーバージョンの中でも指折りの逸品だ。			信念の甲冑師							
さらに、勝利を確実にするため、ちょっと細工を加えよう。「天眼のマテリダ」を装着するんだ。			さらに、勝利を確実にするため、ちょっと細工を加えよう。「天眼のマテリダ」を装着するんだ。			信念の甲冑師							
完成したら、国際街広場にいる「ズヴィンベルク甲曹長」に渡すんだ。彼が、提督へ連絡してくれる手はずになってるからね。			完成したら、国際街広場にいる「ズヴィンベルク甲曹長」に渡すんだ。彼が、提督へ連絡してくれる手はずになってるからね。			信念の甲冑師							
Forename Surnameだな？「コバルトホーバージョン」は完成したか？提督をお待たせするようなことは許さんぞ。			Forename Surnameだな？「コバルトホーバージョン」は完成したか？提督をお待たせするようなことは許さんぞ。			信念の甲冑師							
うむ……品物はたしかに受け取った。すぐに提督へ報告するゆえ、裁定まで心の準備をしておけ。			うむ……品物はたしかに受け取った。すぐに提督へ報告するゆえ、裁定まで心の準備をしておけ。			信念の甲冑師							
えー、それではこれより……Forename、ブランシュティル両名の三番勝負その最後の勝負を始めるよっ！			えー、それではこれより……Forename、ブランシュティル両名の三番勝負その最後の勝負を始めるよっ！			信念の甲冑師							
あのう提督、こちらの方々は？「コバルトホーバージョン」着てますが。			あのう提督、こちらの方々は？「コバルトホーバージョン」着てますが。			信念の甲冑師							
我が黒渦団の団員たちだ。両名ともにタフさには定評がある。			我が黒渦団の団員たちだ。両名ともにタフさには定評がある。			信念の甲冑師							
なるほど。あの、それで彼らに何をさせるおつもりで？			なるほど。あの、それで彼らに何をさせるおつもりで？			信念の甲冑師							
決まっている……鎧の優劣を決めるのだろう？ならば、こうすれば良い！			決まっている……鎧の優劣を決めるのだろう？ならば、こうすれば良い！			信念の甲冑師							
なあっ！？いきなり何をっ！？			なあっ！？いきなり何をっ！？			信念の甲冑師							
うろたえるな、ハ・ナンザ。……優劣を決めておるのだろうが、実際に攻撃することでな。			うろたえるな、ハ・ナンザ。……優劣を決めておるのだろうが、実際に攻撃することでな。			信念の甲冑師							
そんな乱暴な！着用した兵士に何かあったら……。			そんな乱暴な！着用した兵士に何かあったら……。			信念の甲冑師							
我の鎧は、この程度ではびくともせん。そんなヤワな物を作ったつもりはない。貴様とて、同じであろう？			我の鎧は、この程度ではびくともせん。そんなヤワな物を作ったつもりはない。貴様とて、同じであろう？			信念の甲冑師							
なるほど、君たちが豪語するだけのことはある……！ならば、これはどうだ？			なるほど、君たちが豪語するだけのことはある……！ならば、これはどうだ？			信念の甲冑師							
て、提督！？いきなり撃つなんて！？			て、提督！？いきなり撃つなんて！？			信念の甲冑師							
いきなり撃たれて、耐えられんようでは意味がない。鎧も……そして兵士もな。			いきなり撃たれて、耐えられんようでは意味がない。鎧も……そして兵士もな。			信念の甲冑師							
もちろん、大事な部下を殺すつもりなどないさ。あの鎧の強度を推し量るぐらい、私にもできる。			もちろん、大事な部下を殺すつもりなどないさ。あの鎧の強度を推し量るぐらい、私にもできる。			信念の甲冑師							
それより……どうやら勝負はついたようだな。			それより……どうやら勝負はついたようだな。			信念の甲冑師							
なっ……まさか、我の鎧にだけ穴が開いたのか！？なぜだっ、なぜ貴様と差が出る！？			なっ……まさか、我の鎧にだけ穴が開いたのか！？なぜだっ、なぜ貴様と差が出る！？			信念の甲冑師							
わからないのか？それがわからないからこそ、君は敗北したのだ。			わからないのか？それがわからないからこそ、君は敗北したのだ。			信念の甲冑師							
ぬ、ぬうう……っ！！			ぬ、ぬうう……っ！！			信念の甲冑師							
フフフ、なかなか面白いものを見せてもらった。今後、黒渦団の装備品を新調するときは……君のような甲冑師に仕事を頼むとしよう。			フフフ、なかなか面白いものを見せてもらった。今後、黒渦団の装備品を新調するときは……君のような甲冑師に仕事を頼むとしよう。			信念の甲冑師							
やったじゃないか！僅差であっても勝ちは勝ち、見事だったよ。			やったじゃないか！僅差であっても勝ちは勝ち、見事だったよ。			信念の甲冑師							
これであいつも、少しは自分を見つめ直すといいんだけど。そうだ、ブランシュティルの様子を見てきてくれないかい？			これであいつも、少しは自分を見つめ直すといいんだけど。そうだ、ブランシュティルの様子を見てきてくれないかい？			信念の甲冑師							
……ふん、自分を見つめ直す、だと？ハ・ナンザめに言われるまでもない。……本当は、わかってはいたのだ。			……ふん、自分を見つめ直す、だと？ハ・ナンザめに言われるまでもない。……本当は、わかってはいたのだ。			信念の甲冑師							
ひとりで為すことに、限界があるということはな。だが、それを素直に認めるには、我は時間を重ね過ぎた。			ひとりで為すことに、限界があるということはな。だが、それを素直に認めるには、我は時間を重ね過ぎた。			信念の甲冑師							
……我には、頭を冷やす時間が必要だ。しばらくのあいだは、鍛冶場に立ち入らぬとしよう。			……我には、頭を冷やす時間が必要だ。しばらくのあいだは、鍛冶場に立ち入らぬとしよう。			信念の甲冑師							
だが忘れるな、貴様らが堕落せぬよう、我はいつも見ているぞ。「ハ・ナンザ」の奴めにも、そう伝えておけ！			だが忘れるな、貴様らが堕落せぬよう、我はいつも見ているぞ。「ハ・ナンザ」の奴めにも、そう伝えておけ！			信念の甲冑師							
言いたいこと言ってくれちゃって、まぁ。だがブランシュティルも、ようやくわかってきたようだね。			言いたいこと言ってくれちゃって、まぁ。だがブランシュティルも、ようやくわかってきたようだね。			信念の甲冑師							
そうさ、技術ってのは誰かと繋がってこそ、磨かれる。知ってるかい、コバルトホーバージョンの「コバルト」は、あのコボルド族が語源なんだ。			そうさ、技術ってのは誰かと繋がってこそ、磨かれる。知ってるかい、コバルトホーバージョンの「コバルト」は、あのコボルド族が語源なんだ。			信念の甲冑師							
あたしたちの先人が、連中と交流の果てに見い出したもの。それが鏡鉄鉱こと「コバルト」を使った製品なのさ。いわば、職人同士が切磋琢磨した結晶なんだよ。			あたしたちの先人が、連中と交流の果てに見い出したもの。それが鏡鉄鉱こと「コバルト」を使った製品なのさ。いわば、職人同士が切磋琢磨した結晶なんだよ。			信念の甲冑師							
孤独が生み出す技術なんて、たかが知れている。仲間として同胞として、互いの技術を切磋琢磨することが、至高の高みを目指すための、唯一の道なんだ。			孤独が生み出す技術なんて、たかが知れている。仲間として同胞として、互いの技術を切磋琢磨することが、至高の高みを目指すための、唯一の道なんだ。			信念の甲冑師							
競う相手は「敵」じゃない……あいつは、そこを間違えた。だからブランシュティルは、あんたに負けたのさ。			競う相手は「敵」じゃない……あいつは、そこを間違えた。だからブランシュティルは、あんたに負けたのさ。			信念の甲冑師							
……見事だったよ、Forename。あんたは、私の理想の体現者だ。同じ甲冑師として誇りにさせてほしい。			……見事だったよ、Forename。あんたは、私の理想の体現者だ。同じ甲冑師として誇りにさせてほしい。			信念の甲冑師							
「甲冑師」の物語が、ひとつの区切りを迎えました！次の「甲冑師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			「甲冑師」の物語が、ひとつの区切りを迎えました！次の「甲冑師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			信念の甲冑師							
1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			信念の甲冑師							
条件を満たし、甲冑師ギルドの、「ハ・ナンザ」に話しかけ、新たなクラスクエストを開始しましょう！			条件を満たし、甲冑師ギルドの、「ハ・ナンザ」に話しかけ、新たなクラスクエストを開始しましょう！			信念の甲冑師							
ブランシュティルは、冒険者に話したいことがあるようだ。			ブランシュティルは、冒険者に話したいことがあるようだ。			東方式の甲冑作り							
ブランシュティルと話した。フウゲツの手が空いたため、直接、東方式の甲冑作りを指導してもらえるようだ。小鍛冶屋にいる「フウゲツ」と話そう。			ブランシュティルと話した。フウゲツの手が空いたため、直接、東方式の甲冑作りを指導してもらえるようだ。小鍛冶屋にいる「フウゲツ」と話そう。			東方式の甲冑作り							
フウゲツと話した。東方式の鎧の特徴である小札について学ぶため、東方風の篭手を製作することとなった。ブランシュティルの、部品からこだわりたいとの考えから、実際に篭手を使用している者に話を聞いてみることとなった。クガネの赤誠組屯所にいる「赤誠組の隊士」を訪ね、話を聞こう。			フウゲツと話した。東方式の鎧の特徴である小札について学ぶため、東方風の篭手を製作することとなった。ブランシュティルの、部品からこだわりたいとの考えから、実際に篭手を使用している者に話を聞いてみることとなった。クガネの赤誠組屯所にいる「赤誠組の隊士」を訪ね、話を聞こう。			東方式の甲冑作り							
赤誠組の隊士と話した。軽くて動きやすいものが、良い篭手のようだ。篭手作りのため、小鍛冶屋の「ウンリュウ」に話しかけ「手甲の材料」を入手しよう。			赤誠組の隊士と話した。軽くて動きやすいものが、良い篭手のようだ。篭手作りのため、小鍛冶屋の「ウンリュウ」に話しかけ「手甲の材料」を入手しよう。			東方式の甲冑作り							
ウンリュウから材料を受けとった。「手甲の材料」をもとに「チタン製の手甲」を製作し、小鍛冶屋の「ブランシュティル」に納品しよう。※「手甲の材料」を失った場合は、ウンリュウに話しかけましょう。材料を入手し、再挑戦が可能になります。			ウンリュウから材料を受けとった。「手甲の材料」をもとに「チタン製の手甲」を製作し、小鍛冶屋の「ブランシュティル」に納品しよう。※「手甲の材料」を失った場合は、ウンリュウに話しかけましょう。材料を入手し、再挑戦が可能になります。			東方式の甲冑作り							
チタン製の手甲をブランシュティルに納品し、篭手作りを行った。製作した篭手について、フウゲツから合格点をもらうことができた。次にフウゲツが指南してくれるまで、今回教わった技法を振り返りながら、腕に磨きをかけておくことにしよう。※甲冑師のレベルが68以上になると、小鍛冶屋のフウゲツから次の甲冑師クエストを受注することができます。			チタン製の手甲をブランシュティルに納品し、篭手作りを行った。製作した篭手について、フウゲツから合格点をもらうことができた。次にフウゲツが指南してくれるまで、今回教わった技法を振り返りながら、腕に磨きをかけておくことにしよう。※甲冑師のレベルが68以上になると、小鍛冶屋のフウゲツから次の甲冑師クエストを受注することができます。			東方式の甲冑作り							
フウゲツと話す			フウゲツと話す			東方式の甲冑作り							
赤誠組の隊士と話す			赤誠組の隊士と話す			東方式の甲冑作り							
ウンリュウと話す			ウンリュウと話す			東方式の甲冑作り							
製作手帳 クラスクエスト：チタン製の手甲を製作ブランシュティルにチタン製の手甲を納品			製作手帳 クラスクエスト：チタン製の手甲を製作ブランシュティルにチタン製の手甲を納品			東方式の甲冑作り							
我が兄弟弟子よ。我はあれから、フウゲツ殿の作業を見学させてもらうことで、東方式の甲冑作りを学んできた。			我が兄弟弟子よ。我はあれから、フウゲツ殿の作業を見学させてもらうことで、東方式の甲冑作りを学んできた。			東方式の甲冑作り							
エオルゼアとは、甲冑そのものに対する考え方が違うようで、素材選びから構造に至るまで、驚きの連続であったぞ。			エオルゼアとは、甲冑そのものに対する考え方が違うようで、素材選びから構造に至るまで、驚きの連続であったぞ。			東方式の甲冑作り							
そしてついに、フウゲツ殿の手が空いてきたとのこと。いよいよ、直接の指導を受けることができるようだ。			そしてついに、フウゲツ殿の手が空いてきたとのこと。いよいよ、直接の指導を受けることができるようだ。			東方式の甲冑作り							
個性獲得への第一歩が、ようやく始まるのだ……！さすがの我も、少し武者震いしている。			個性獲得への第一歩が、ようやく始まるのだ……！さすがの我も、少し武者震いしている。			東方式の甲冑作り							
さぁ、「フウゲツ」殿から手ほどきを受けるとしようぞ！			さぁ、「フウゲツ」殿から手ほどきを受けるとしようぞ！			東方式の甲冑作り							
さぁ、「フウゲツ」殿に手ほどきを受けるとしようぞ！			さぁ、「フウゲツ」殿に手ほどきを受けるとしようぞ！			東方式の甲冑作り							
ずいぶんと待たせてしまいましたね。ようやく仕事が片付き、まとまった時間が作れたので、東方式の甲冑作りについて、指導させていただきますよ。			ずいぶんと待たせてしまいましたね。ようやく仕事が片付き、まとまった時間が作れたので、東方式の甲冑作りについて、指導させていただきますよ。			東方式の甲冑作り							
エオルゼア式の板金鎧と、東方式の小札鎧の最大の違い……それは「小札(こざね)」と呼ばれる小さな板を、連結させて作るという点です。			エオルゼア式の板金鎧と、東方式の小札鎧の最大の違い……それは「小札(こざね)」と呼ばれる小さな板を、連結させて作るという点です。			東方式の甲冑作り							
小札は、革が用いられることもありますが、あなた方なら、金属を加工して作るのがいいでしょう。そうすることで、丈夫かつ動きやすい鎧が作れるのです。			小札は、革が用いられることもありますが、あなた方なら、金属を加工して作るのがいいでしょう。そうすることで、丈夫かつ動きやすい鎧が作れるのです。			東方式の甲冑作り							
特にひんがしの国では、弓に対する防御を重視した結果、大きく垂れた大袖など、特徴的な形状に進化しました。異国の方には、奇妙に映る形かもしれませんね。			特にひんがしの国では、弓に対する防御を重視した結果、大きく垂れた大袖など、特徴的な形状に進化しました。異国の方には、奇妙に映る形かもしれませんね。			東方式の甲冑作り							
ともかく、小札こそが東方式の甲冑作りの基本です。まずは、手始めに東方風の篭手を製作してみましょう。基礎を学ぶには、いい練習になることでしょう。			ともかく、小札こそが東方式の甲冑作りの基本です。まずは、手始めに東方風の篭手を製作してみましょう。基礎を学ぶには、いい練習になることでしょう。			東方式の甲冑作り							
製作にあたって必要な素材については、前回と同じく、弟子のウンリュウに聞いてくださいね。			製作にあたって必要な素材については、前回と同じく、弟子のウンリュウに聞いてくださいね。			東方式の甲冑作り							
「東方風の篭手」か……。身に付ける者は、どこを気にするものなのだろうか？部品ひとつから、こだわりたいのだが。			「東方風の篭手」か……。身に付ける者は、どこを気にするものなのだろうか？部品ひとつから、こだわりたいのだが。			東方式の甲冑作り							
私も、普段身につけているわけではないですからね。そういった話を聞きたいのであれば、「赤誠組屯所」にいる、「赤誠組の隊士」を訪ねるのがよいかと思いますよ。			私も、普段身につけているわけではないですからね。そういった話を聞きたいのであれば、「赤誠組屯所」にいる、「赤誠組の隊士」を訪ねるのがよいかと思いますよ。			東方式の甲冑作り							
なるほど。では、その者に話を聞いてから、製作に取り掛かるとしようではないか。			なるほど。では、その者に話を聞いてから、製作に取り掛かるとしようではないか。			東方式の甲冑作り							
どういった答えに至るのか、楽しみにしていますよ。			どういった答えに至るのか、楽しみにしていますよ。			東方式の甲冑作り							
篭手を身に付けている方の話を聞きたいのであれば、「赤誠組屯所」の「赤誠組の隊士」を訪ねるのが、よいかと思いますよ。			篭手を身に付けている方の話を聞きたいのであれば、「赤誠組屯所」の「赤誠組の隊士」を訪ねるのが、よいかと思いますよ。			東方式の甲冑作り							
ここが、フウゲツ殿の仰っていた赤誠組屯所のようだな。こちらの隊士殿に、話を聞いてみるとしよう。			ここが、フウゲツ殿の仰っていた赤誠組屯所のようだな。こちらの隊士殿に、話を聞いてみるとしよう。			東方式の甲冑作り							
お主らは何者ぞ？我に用件でも？			お主らは何者ぞ？我に用件でも？			東方式の甲冑作り							
我らはエオルゼアより参り、フウゲツ殿のもとで修行をしている者である。			我らはエオルゼアより参り、フウゲツ殿のもとで修行をしている者である。			東方式の甲冑作り							
篭手を製作するつもりなのだが、使用者にとって、どのような品が望ましいのか、話を伺いたいと思い、参った次第。			篭手を製作するつもりなのだが、使用者にとって、どのような品が望ましいのか、話を伺いたいと思い、参った次第。			東方式の甲冑作り							
なるほど、左様であったか！腕を守るのは勿論であるが、剣を振るための動きやすさも、良き篭手には欠かせない点である。			なるほど、左様であったか！腕を守るのは勿論であるが、剣を振るための動きやすさも、良き篭手には欠かせない点である。			東方式の甲冑作り							
硬くて重いような篭手では、敵の隙を突いて太刀を浴びせることがならないからな。			硬くて重いような篭手では、敵の隙を突いて太刀を浴びせることがならないからな。			東方式の甲冑作り							
ふむ、動きやすさか……。ありがたい、恩に着るぞ！			ふむ、動きやすさか……。ありがたい、恩に着るぞ！			東方式の甲冑作り							
これで、良い篭手とはどのようなものか知ることができたな。動きやすい方がよいということは、軽くて丈夫な素材を使うのがよさそうだ。			これで、良い篭手とはどのようなものか知ることができたな。動きやすい方がよいということは、軽くて丈夫な素材を使うのがよさそうだ。			東方式の甲冑作り							
Forenameは、「チタン製の手甲」を用意してほしい。我は、ほかの部品を製作するゆえ、準備が完了したら、組み合わせて仕上げようではないか。			Forenameは、「チタン製の手甲」を用意してほしい。我は、ほかの部品を製作するゆえ、準備が完了したら、組み合わせて仕上げようではないか。			東方式の甲冑作り							
