選者殿のチャ・ラカ・ティアは、協力者を探しているようだ。			選者殿のチャ・ラカ・ティアは、協力者を探しているようだ。			崖っぷち准教授の論文							
この魚は、身を守るために、周囲のエーテルを乱し、捕食者を惑わす習性があります。群れの規模が数倍になれば……その影響力も絶大でしょう。			この魚は、身を守るために、周囲のエーテルを乱し、捕食者を惑わす習性があります。群れの規模が数倍になれば……その影響力も絶大でしょう。			小魚が踊るエーテル							
つまり、霊災後に頻発していたという海難事故は、この小魚の群れが、エーテル式羅針盤を惑わしたことが、原因かもしれないっていうわけさ。			つまり、霊災後に頻発していたという海難事故は、この小魚の群れが、エーテル式羅針盤を惑わしたことが、原因かもしれないっていうわけさ。			小魚が踊るエーテル							
実に見事です……。まだ検証の必要はあるでしょうが、その説が事実であれば、遭難を防ぐ羅針盤の調整法の開発にも繋がるかもしれませんね。			実に見事です……。まだ検証の必要はあるでしょうが、その説が事実であれば、遭難を防ぐ羅針盤の調整法の開発にも繋がるかもしれませんね。			小魚が踊るエーテル							
ところでチャ・ラカ、君は以前から、私の資料を覗いては、サベネア島近海の数値を気にしていたような。それはなぜだったのでしょう？			ところでチャ・ラカ、君は以前から、私の資料を覗いては、サベネア島近海の数値を気にしていたような。それはなぜだったのでしょう？			小魚が踊るエーテル							
えっ！？　いやぁ、理由ですか……。なんとなく数値が不自然に思えて……確証はないんですが。			えっ！？　いやぁ、理由ですか……。なんとなく数値が不自然に思えて……確証はないんですが。			小魚が踊るエーテル							
うむ、それですよ、チャ・ラカ。発見の第一歩とは、得てして小さな違和感だったりするものです。			うむ、それですよ、チャ・ラカ。発見の第一歩とは、得てして小さな違和感だったりするものです。			小魚が踊るエーテル							
直感と発想力、そして答えに至る根気……やはり君には、研究者として不可欠な資質があるようです。			直感と発想力、そして答えに至る根気……やはり君には、研究者として不可欠な資質があるようです。			小魚が踊るエーテル							
えっ、ええ！？も、もったいないお言葉です……！			えっ、ええ！？も、もったいないお言葉です……！			小魚が踊るエーテル							
はは、あまり喜びすぎてはなりませんよ！私に少し褒められたくらいで満足していたら、研究者としての大成は、遠のいてしまいますからね。			はは、あまり喜びすぎてはなりませんよ！私に少し褒められたくらいで満足していたら、研究者としての大成は、遠のいてしまいますからね。			小魚が踊るエーテル							
うっ……！また気を引き締めて、研究の続きにあたります！			うっ……！また気を引き締めて、研究の続きにあたります！			小魚が踊るエーテル							
さて、俺は今回のデータを論文にまとめるのに戻るよ。データを取って、分析、考察……その繰り返しだな。			さて、俺は今回のデータを論文にまとめるのに戻るよ。データを取って、分析、考察……その繰り返しだな。			小魚が踊るエーテル							
霊災後に変化した水脈と、魚たちの増殖ペース……それに、海難事故の起きる時期や季節が一致すれば……「水脈潮汐説」の証明に役立つはずだ！			霊災後に変化した水脈と、魚たちの増殖ペース……それに、海難事故の起きる時期や季節が一致すれば……「水脈潮汐説」の証明に役立つはずだ！			小魚が踊るエーテル							
また次も、並みのグリーナーには頼めないような、難しい地域に行ってもらうことになるかもしれないけど……。引き続き、よろしく頼むぜ！			また次も、並みのグリーナーには頼めないような、難しい地域に行ってもらうことになるかもしれないけど……。引き続き、よろしく頼むぜ！			小魚が踊るエーテル							
おっし、どんどん忙しくなってきた！データに論文にって、書類仕事も嵩んでくけど……嬉しい悲鳴ってやつだよな！			おっし、どんどん忙しくなってきた！データに論文にって、書類仕事も嵩んでくけど……嬉しい悲鳴ってやつだよな！			小魚が踊るエーテル							
エーテル学部の貢献ランクが上昇しました！チャ・ラカ・ティアはあなたの事を、「研究室の請負人」と感じているようです！			エーテル学部の貢献ランクが上昇しました！チャ・ラカ・ティアはあなたの事を、「研究室の請負人」と感じているようです！			小魚が踊るエーテル							
「漁師」がレベル85以上になると、選者殿の「チャ・ラカ・ティア」から、次のクエストが受注可能です。			「漁師」がレベル85以上になると、選者殿の「チャ・ラカ・ティア」から、次のクエストが受注可能です。			小魚が踊るエーテル							
次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「星を救った英雄」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「星を救った英雄」を完了する必要があります。			小魚が踊るエーテル							
選者殿のチャ・ラカ・ティアは、論文のためのデータ採集に意欲的なようだ。			選者殿のチャ・ラカ・ティアは、論文のためのデータ採集に意欲的なようだ。			刻まれた北の年月							
チャ・ラカ・ティアから研究対象を釣ってくるよう依頼された。「ガレマールクラム」を6匹、選者殿の「チャ・ラカ・ティア」へ納品しよう。「ガレマールクラム」はガレマルドの釣り場で「ウマビル」を釣り餌にすると釣ることができる。※納品は、収集価値「78」以上で可能となりますが、「184」以上で納品した場合、より多くの報酬が得られます			チャ・ラカ・ティアから研究対象を釣ってくるよう依頼された。「ガレマールクラム」を6匹、選者殿の「チャ・ラカ・ティア」へ納品しよう。「ガレマールクラム」はガレマルドの釣り場で「ウマビル」を釣り餌にすると釣ることができる。※納品は、収集価値「78」以上で可能となりますが、「184」以上で納品した場合、より多くの報酬が得られます			刻まれた北の年月							
チャ・ラカ・ティアに「ガレマールクラム」を納品した。彼の論文を完成させるため、さらに調査に協力していこう。			チャ・ラカ・ティアに「ガレマールクラム」を納品した。彼の論文を完成させるため、さらに調査に協力していこう。			刻まれた北の年月							
ガレマルドで釣り上げたガレマールクラムをチャ・ラカ・ティアに納品			ガレマルドで釣り上げたガレマールクラムをチャ・ラカ・ティアに納品			刻まれた北の年月							
本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「星を救った英雄」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「星を救った英雄」を完了する必要があります。			刻まれた北の年月							
サンプルが集まってくると、考察する頭も刺激される気がするぜ！研究を円滑に進めるためにも、次はどこのサンプルを頼もうかって、ちょうど考えてたところなんだ。			サンプルが集まってくると、考察する頭も刺激される気がするぜ！研究を円滑に進めるためにも、次はどこのサンプルを頼もうかって、ちょうど考えてたところなんだ。			刻まれた北の年月							
サベネア島近海を流れる水脈の分析は、だいぶ進んだよ！データの空白域が埋まっていくのは、気持ちいいもんだな。			サベネア島近海を流れる水脈の分析は、だいぶ進んだよ！データの空白域が埋まっていくのは、気持ちいいもんだな。			刻まれた北の年月							
次に頼みたい場所については、ネレー教授の古いデータも無い。シャーレアンの研究者にとって未踏の地……ガレマルドだ。			次に頼みたい場所については、ネレー教授の古いデータも無い。シャーレアンの研究者にとって未踏の地……ガレマルドだ。			刻まれた北の年月							
これまで立ち入ることができなかった帝国領での採集は、他の地域の水脈との連動性を調べるために、すごく重要なんだ。			これまで立ち入ることができなかった帝国領での採集は、他の地域の水脈との連動性を調べるために、すごく重要なんだ。			刻まれた北の年月							
だが今回は、サベネア島近海域と違って、過去のデータが存在しないから比較は難しい。			だが今回は、サベネア島近海域と違って、過去のデータが存在しないから比較は難しい。			刻まれた北の年月							
そこで役立つのが貝類さ！貝殻に残る成長線という筋からは、樹木の年輪のように、年ごとの成長ぶりや水脈の状況が判別できるんだ！			そこで役立つのが貝類さ！貝殻に残る成長線という筋からは、樹木の年輪のように、年ごとの成長ぶりや水脈の状況が判別できるんだ！			刻まれた北の年月							
古い図鑑を調べたんだが、ガレマルド一帯の水場には、「ガレマールクラム」という貝が棲息してるはず。それが採れたらいいんだけど……。			古い図鑑を調べたんだが、ガレマルド一帯の水場には、「ガレマールクラム」という貝が棲息してるはず。それが採れたらいいんだけど……。			刻まれた北の年月							
何と言う？			何と言う？			刻まれた北の年月							
ガレマルドなら行ったことがある			ガレマルドなら行ったことがある			刻まれた北の年月							
どこへでも任せておけ			どこへでも任せておけ			刻まれた北の年月							
ううっ、頼もしい……！ガレマルドのデータが手に入れば、論文の完成は一気に近づくからな！			ううっ、頼もしい……！ガレマルドのデータが手に入れば、論文の完成は一気に近づくからな！			刻まれた北の年月							
あの手の貝類の釣り餌には、「ウマビル」が使えるんじゃないかな。ガレマルド一帯の水場に広く棲息してるはずだから、派遣団が駐屯するキャンプ・ブロークングラス辺りにもいると思う。			あの手の貝類の釣り餌には、「ウマビル」が使えるんじゃないかな。ガレマルド一帯の水場に広く棲息してるはずだから、派遣団が駐屯するキャンプ・ブロークングラス辺りにもいると思う。			刻まれた北の年月							
危険な地域にお前だけを送り出すのは心苦しいけど……くれぐれも、気をつけて行ってきてくれよ！			危険な地域にお前だけを送り出すのは心苦しいけど……くれぐれも、気をつけて行ってきてくれよ！			刻まれた北の年月							
件の貝はガレマルド一帯の水場に広く棲息してるはずだから、派遣団が駐屯するキャンプ・ブロークングラス辺りにもいると思う。釣り餌には「ウマビル」が使えるはずだ。			件の貝はガレマルド一帯の水場に広く棲息してるはずだから、派遣団が駐屯するキャンプ・ブロークングラス辺りにもいると思う。釣り餌には「ウマビル」が使えるはずだ。			刻まれた北の年月							
現地は危険な状況が続いてるって聞いてるよ……。うう、そんな地域にも物怖じせず踏み込んでこそ、一流のグリーナーなんだろうな……！！			現地は危険な状況が続いてるって聞いてるよ……。うう、そんな地域にも物怖じせず踏み込んでこそ、一流のグリーナーなんだろうな……！！			刻まれた北の年月							
おおっ、これがガレマルドで採集したサンプル……！！これは他の研究者にとっても、垂涎の品かもな！ありがとう！			おおっ、これがガレマルドで採集したサンプル……！！これは他の研究者にとっても、垂涎の品かもな！ありがとう！			刻まれた北の年月							
ガレマルドからこんな見事なサンプルを……！！ますます他の研究者からも、羨ましがられそうだな！本当にありがとう！			ガレマルドからこんな見事なサンプルを……！！ますます他の研究者からも、羨ましがられそうだな！本当にありがとう！			刻まれた北の年月							
ふふん、人が増えると研究も捗るような気がするな！お前のおかげで忙しくなってきたから、うちの学生にも、データ分析を手伝ってもらうことにしたんだ。			ふふん、人が増えると研究も捗るような気がするな！お前のおかげで忙しくなってきたから、うちの学生にも、データ分析を手伝ってもらうことにしたんだ。			刻まれた北の年月							
さておき、危険な地域での採集協力には感謝してるぜ！ガレマルドの水脈に関するデータが手に入るとは、エーテル学界隈がざわついてるくらいだよ！			さておき、危険な地域での採集協力には感謝してるぜ！ガレマルドの水脈に関するデータが手に入るとは、エーテル学界隈がざわついてるくらいだよ！			刻まれた北の年月							
その分、俺の次の論文への注目も高まってきてるんだけどぉ……はぁぁ……意識したら緊張してきた…………。			その分、俺の次の論文への注目も高まってきてるんだけどぉ……はぁぁ……意識したら緊張してきた…………。			刻まれた北の年月							
順調そうですね。聞きましたよ、ガレマルドのサンプルが入手できたとか！未知の水脈解明が進むこと、実に喜ばしい。			順調そうですね。聞きましたよ、ガレマルドのサンプルが入手できたとか！未知の水脈解明が進むこと、実に喜ばしい。			刻まれた北の年月							
ネレー教授！そうなんです、今回も彼女彼が尽力してくれて……。			ネレー教授！そうなんです、今回も彼女彼が尽力してくれて……。			刻まれた北の年月							
気鋭の研究者であるチャ・ラカ……そして、腕利きグリーナーのForename君。ふたりは、実に良い相棒同士であるようですね。			気鋭の研究者であるチャ・ラカ……そして、腕利きグリーナーのForename君。ふたりは、実に良い相棒同士であるようですね。			刻まれた北の年月							
……そうだ！そんなお前が採ってきてくれたサンプルから、今回どんなデータが計測できたか、話しておかなくちゃな。			……そうだ！そんなお前が採ってきてくれたサンプルから、今回どんなデータが計測できたか、話しておかなくちゃな。			刻まれた北の年月							
ガレマールクラムに見込みをつけたのは大正解だった！サンプルからは最大で97年ぶんの成長線が確認できたんだ。約100年の水脈の状況が推測できるということさ。			ガレマールクラムに見込みをつけたのは大正解だった！サンプルからは最大で97年ぶんの成長線が確認できたんだ。約100年の水脈の状況が推測できるということさ。			刻まれた北の年月							
興味深いのは、サベネア島近海のデータと比較したところ、エーテル濃度が、まるでシーソーのように連動していたこと！			興味深いのは、サベネア島近海のデータと比較したところ、エーテル濃度が、まるでシーソーのように連動していたこと！			刻まれた北の年月							
ガレマルドのエーテル値が濃いときは、サベネア島では薄く……逆もまた、ぴったりと一致していたんだ。			ガレマルドのエーテル値が濃いときは、サベネア島では薄く……逆もまた、ぴったりと一致していたんだ。			刻まれた北の年月							
全世界の水脈が一定のリズムで揺らいでいるという、チャ・ラカの「水脈潮汐説」を裏付ける結果と言えるでしょう。			全世界の水脈が一定のリズムで揺らいでいるという、チャ・ラカの「水脈潮汐説」を裏付ける結果と言えるでしょう。			刻まれた北の年月							
さらに多くの地域のデータと比較し、連動性が証明されれば、たとえば豊漁不漁の予測が高確率で可能になります。この研究は、水産業のリスク管理にも役立つものになるでしょう。			さらに多くの地域のデータと比較し、連動性が証明されれば、たとえば豊漁不漁の予測が高確率で可能になります。この研究は、水産業のリスク管理にも役立つものになるでしょう。			刻まれた北の年月							
ですよね……！研究結果を人々の暮らしにも役立ててもらうためにも、俺もがんばります！			ですよね……！研究結果を人々の暮らしにも役立ててもらうためにも、俺もがんばります！			刻まれた北の年月							
お前のおかげで理想的なデータも次々手に入ってるし、論文の進捗も順調ってところだ。仮説にも、なんだか自信が出てきた気がするよ！			お前のおかげで理想的なデータも次々手に入ってるし、論文の進捗も順調ってところだ。仮説にも、なんだか自信が出てきた気がするよ！			刻まれた北の年月							
お前の協力があれば、論文完成も遠くない！これからも、さらに調査を続けていこうな！			お前の協力があれば、論文完成も遠くない！これからも、さらに調査を続けていこうな！			刻まれた北の年月							
今は順調のようですが……やがてチャ・ラカにも、研究者としての試練のときが訪れるかもしれません。			今は順調のようですが……やがてチャ・ラカにも、研究者としての試練のときが訪れるかもしれません。			刻まれた北の年月							
ただ世の役に立つ研究をしたいという動機を超え、やっと芽生えだした研究者としての真理への執着が、彼を苦しませることもあるでしょう。			ただ世の役に立つ研究をしたいという動機を超え、やっと芽生えだした研究者としての真理への執着が、彼を苦しませることもあるでしょう。			刻まれた北の年月							
君には、そのときは彼の背中を押し、先を進む助けとなってやってほしい。……お願いできるでしょうか？			君には、そのときは彼の背中を押し、先を進む助けとなってやってほしい。……お願いできるでしょうか？			刻まれた北の年月							
エーテル学部の貢献ランクが上昇しました！チャ・ラカ・ティアはあなたの事を、「研究室の御用人」と感じているようです！			エーテル学部の貢献ランクが上昇しました！チャ・ラカ・ティアはあなたの事を、「研究室の御用人」と感じているようです！			刻まれた北の年月							
また、「チャ・ラカ・ティア」から受注可能な、シャーレアン魔法大学取引のストーリークエストが発行されました！			また、「チャ・ラカ・ティア」から受注可能な、シャーレアン魔法大学取引のストーリークエストが発行されました！			刻まれた北の年月							
次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「この世界の終末」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「この世界の終末」を完了する必要があります。			刻まれた北の年月							
選者殿のチャ・ラカ・ティアは、データ採集が一気に進むことを期待しているようだ。			選者殿のチャ・ラカ・ティアは、データ採集が一気に進むことを期待しているようだ。			迷えるクジラと水脈							
チャ・ラカ・ティアは迷い込んだというクジラを見に向かった。オールド・シャーレアンの知神の港の「チャ・ラカ・ティア」と話そう。			チャ・ラカ・ティアは迷い込んだというクジラを見に向かった。オールド・シャーレアンの知神の港の「チャ・ラカ・ティア」と話そう。			迷えるクジラと水脈							
チャ・ラカ・ティアはクジラを保護するようだ。選者殿の「指定地点」で待機しよう。			チャ・ラカ・ティアはクジラを保護するようだ。選者殿の「指定地点」で待機しよう。			迷えるクジラと水脈							
クジラの保護を終えたチャ・ラカ・ティアと話した。サベネア島のイェドリマンにいる「チャ・ラカ・ティア」と話そう。			クジラの保護を終えたチャ・ラカ・ティアと話した。サベネア島のイェドリマンにいる「チャ・ラカ・ティア」と話そう。			迷えるクジラと水脈							
サベネア島のチャ・ラカ・ティアはエーテル酔いが酷いようだ。彼に代わりイェドリマンで、打ち上げられた魚についての情報を集めよう。			サベネア島のチャ・ラカ・ティアはエーテル酔いが酷いようだ。彼に代わりイェドリマンで、打ち上げられた魚についての情報を集めよう。			迷えるクジラと水脈							
打ち上げられた魚についての情報を集めた。イェドリマンの「チャ・ラカ・ティア」と話そう。			打ち上げられた魚についての情報を集めた。イェドリマンの「チャ・ラカ・ティア」と話そう。			迷えるクジラと水脈							
チャ・ラカ・ティアは、遡上した川の魚からデータが取れそうだという。「アルネアンサーモン」を、イェドリマンの「チャ・ラカ・ティア」へ納品しよう。「アルネアンサーモン」はサベネア島のクシールローダ川で「ウマビル」などの釣り餌で釣りあげることができる。			チャ・ラカ・ティアは、遡上した川の魚からデータが取れそうだという。「アルネアンサーモン」を、イェドリマンの「チャ・ラカ・ティア」へ納品しよう。「アルネアンサーモン」はサベネア島のクシールローダ川で「ウマビル」などの釣り餌で釣りあげることができる。			迷えるクジラと水脈							
チャ・ラカ・ティアに「アルネアンサーモン」を渡した。オールド・シャーレアンの選者殿で、データを分析する「チャ・ラカ・ティア」と話そう。			チャ・ラカ・ティアに「アルネアンサーモン」を渡した。オールド・シャーレアンの選者殿で、データを分析する「チャ・ラカ・ティア」と話そう。			迷えるクジラと水脈							
チャ・ラカ・ティアと話した。手助けできる新たな情報が手に入り次第、ふたたびチャ・ラカ・ティアに声をかけよう。			チャ・ラカ・ティアと話した。手助けできる新たな情報が手に入り次第、ふたたびチャ・ラカ・ティアに声をかけよう。			迷えるクジラと水脈							
チャ・ラカ・ティアと話す			チャ・ラカ・ティアと話す			迷えるクジラと水脈							
指定地点で待機する			指定地点で待機する			迷えるクジラと水脈							
イェドリマンのチャ・ラカ・ティアと話す			イェドリマンのチャ・ラカ・ティアと話す			迷えるクジラと水脈							
打ち上がった魚の情報を集める			打ち上がった魚の情報を集める			迷えるクジラと水脈							
チャ・ラカ・ティアと話す			チャ・ラカ・ティアと話す			迷えるクジラと水脈							
クシールローダ川でアルネアンサーモンを釣るイェドリマンのチャ・ラカ・ティアにアルネアンサーモンを納品			クシールローダ川でアルネアンサーモンを釣るイェドリマンのチャ・ラカ・ティアにアルネアンサーモンを納品			迷えるクジラと水脈							
選者殿のチャ・ラカ・ティアと話す			選者殿のチャ・ラカ・ティアと話す			迷えるクジラと水脈							
本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「この世界の終末」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「この世界の終末」を完了する必要があります。			迷えるクジラと水脈							
お前の協力のおかげで、仮説の実証が近づいてきたぜ！安全な海域には、ほかのグリーナーを動員することで、各地のデータも集まりつつあるんだ。			お前の協力のおかげで、仮説の実証が近づいてきたぜ！安全な海域には、ほかのグリーナーを動員することで、各地のデータも集まりつつあるんだ。			迷えるクジラと水脈							
さて、それじゃあ肝心のお前に頼みたいことなんだけど……			さて、それじゃあ肝心のお前に頼みたいことなんだけど……			迷えるクジラと水脈							
チャ・ラカさん！！！			チャ・ラカさん！！！			迷えるクジラと水脈							
ん……？おお、どうした？			ん……？おお、どうした？			迷えるクジラと水脈							
そういや、まだお前に紹介してなかったな。研究を手伝ってくれている、うちの学生のオブラシーだ。			そういや、まだお前に紹介してなかったな。研究を手伝ってくれている、うちの学生のオブラシーだ。			迷えるクジラと水脈							
いまは、ゆっくりと挨拶している場合じゃありませんよ……！知神の港に、クジラが迷い込んできたんです！しかも衰弱している様子で……！！			いまは、ゆっくりと挨拶している場合じゃありませんよ……！知神の港に、クジラが迷い込んできたんです！しかも衰弱している様子で……！！			迷えるクジラと水脈							
港湾職員から水脈や水棲生物に詳しい、チャ・ラカさんに、急いで来てほしいって要請が！			港湾職員から水脈や水棲生物に詳しい、チャ・ラカさんに、急いで来てほしいって要請が！			迷えるクジラと水脈							
わ、わかった！すぐ向かうよ……！！			わ、わかった！すぐ向かうよ……！！			迷えるクジラと水脈							
こりゃ、依頼の話は後回しだな。一緒に様子を見に行こうぜ！			こりゃ、依頼の話は後回しだな。一緒に様子を見に行こうぜ！			迷えるクジラと水脈							
みんな集まっているし、このあたりだと思うんですが……。クジラが迷い込むなんて、よっぽどの事件ですよ。			みんな集まっているし、このあたりだと思うんですが……。クジラが迷い込むなんて、よっぽどの事件ですよ。			迷えるクジラと水脈							
あれは北洋を回遊している種類だな……。近海で見かけるのは珍しくないけど、陸に近づくことは、まずないはずだ。			あれは北洋を回遊している種類だな……。近海で見かけるのは珍しくないけど、陸に近づくことは、まずないはずだ。			迷えるクジラと水脈							
ここから観察できる範囲では、外傷は見受けられません。最近は海が荒れたって話も聞かないし、いったいどうして……？			ここから観察できる範囲では、外傷は見受けられません。最近は海が荒れたって話も聞かないし、いったいどうして……？			迷えるクジラと水脈							
ともかく、大学の施設で保護して、治療と分析だ。生体エーテルの測定も行わなきゃならないか……人手の手配を頼めるか？			ともかく、大学の施設で保護して、治療と分析だ。生体エーテルの測定も行わなきゃならないか……人手の手配を頼めるか？			迷えるクジラと水脈							
はい、もちろんです！			はい、もちろんです！			迷えるクジラと水脈							
これは大掛かりな仕事になりそうだな……。悪い、しばらく依頼どころじゃなくなるかもだ。選者殿に戻って、待っていてくれ！			これは大掛かりな仕事になりそうだな……。悪い、しばらく依頼どころじゃなくなるかもだ。選者殿に戻って、待っていてくれ！			迷えるクジラと水脈							
待たせたな……。クジラの応急手当と、簡易的な分析が済んだところだ。			待たせたな……。クジラの応急手当と、簡易的な分析が済んだところだ。			迷えるクジラと水脈							
当初の見立てどおり、大きな外傷はありませんでした。しかし、エーテル酔いに似た症状で、意識が混濁している様子……生体エーテルの値にも乱れが見られました。			当初の見立てどおり、大きな外傷はありませんでした。しかし、エーテル酔いに似た症状で、意識が混濁している様子……生体エーテルの値にも乱れが見られました。			迷えるクジラと水脈							
ああ、港に迷い込んだのも、そのせいだろうな。しかし、いったい何に影響を受けたのか……。			ああ、港に迷い込んだのも、そのせいだろうな。しかし、いったい何に影響を受けたのか……。			迷えるクジラと水脈							
やぁ、チャ・ラカ。それにForenameも。クジラの話は聞いたよ……大変なことになってるみたいだね。			やぁ、チャ・ラカ。それにForenameも。クジラの話は聞いたよ……大変なことになってるみたいだね。			迷えるクジラと水脈							
キット！　どうしてここに？			キット！　どうしてここに？			迷えるクジラと水脈							
同じエーテル学系の研究者として、少し気になることがあってね。水脈関係のことじゃないかって、君に相談に来たんだよ。			同じエーテル学系の研究者として、少し気になることがあってね。水脈関係のことじゃないかって、君に相談に来たんだよ。			迷えるクジラと水脈							
ちょうどクジラが迷いこんできたのと同じ頃！新型エーテライトを置いている、サベネア島のイェドリマンから、大量の魚が浜に打ち上がるという事件があったと、報告がきたんだ。			ちょうどクジラが迷いこんできたのと同じ頃！新型エーテライトを置いている、サベネア島のイェドリマンから、大量の魚が浜に打ち上がるという事件があったと、報告がきたんだ。			迷えるクジラと水脈							
なるほど、離れた場所で同時に起きた、ふたつの事件か……。海洋生物の異常行動は、災害の前触れであることもあり得るし、確かに俺の研究とも関連があるかもしれないな。			なるほど、離れた場所で同時に起きた、ふたつの事件か……。海洋生物の異常行動は、災害の前触れであることもあり得るし、確かに俺の研究とも関連があるかもしれないな。			迷えるクジラと水脈							
でも、生物に強いエーテル酔いを与えるほどの水脈の乱れかぁ……。俺の「水脈潮汐説」でも、それほどの変動は予測できちゃいない。			でも、生物に強いエーテル酔いを与えるほどの水脈の乱れかぁ……。俺の「水脈潮汐説」でも、それほどの変動は予測できちゃいない。			迷えるクジラと水脈							
あくまで水脈は、一定のリズムで世界を巡っているはず。その考えを証明するために、今までデータ分析を重ねてきたんだ。			あくまで水脈は、一定のリズムで世界を巡っているはず。その考えを証明するために、今までデータ分析を重ねてきたんだ。			迷えるクジラと水脈							
突発的な水脈の乱れが事実だとしたら、その原因を特定するまで、俺の理論の証明は遠のいちまう。クジラたちの件の究明は元より、な……。			突発的な水脈の乱れが事実だとしたら、その原因を特定するまで、俺の理論の証明は遠のいちまう。クジラたちの件の究明は元より、な……。			迷えるクジラと水脈							
クジラの件については、近海の水脈に異変がないかどうか、魔法大学がシャーレアン沖に、調査船を出すことになっています。同じことが続けば、都市にとっても問題ですからね。			クジラの件については、近海の水脈に異変がないかどうか、魔法大学がシャーレアン沖に、調査船を出すことになっています。同じことが続けば、都市にとっても問題ですからね。			迷えるクジラと水脈							
そしてキットさんが伝えてくれたように、2件の関連を探るなら、サベネア島側も調査しなければというところでしょうか……。			そしてキットさんが伝えてくれたように、2件の関連を探るなら、サベネア島側も調査しなければというところでしょうか……。			迷えるクジラと水脈							
そうなるね、両方を調べなくちゃ始まらないよ。現地のシャーレアンの協力者に頼んでみるか、それとも……あっ、ちょうど事情に通じた適任者がいるんじゃない？			そうなるね、両方を調べなくちゃ始まらないよ。現地のシャーレアンの協力者に頼んでみるか、それとも……あっ、ちょうど事情に通じた適任者がいるんじゃない？			迷えるクジラと水脈							
何と言う？			何と言う？			迷えるクジラと水脈							
もちろん、自分がサベネア島に向かおう			もちろん、自分がサベネア島に向かおう			迷えるクジラと水脈							
やっぱり自分の出番か……			やっぱり自分の出番か……			迷えるクジラと水脈							
ふふん、頼もしいねー！さすが、うちの被検体に志願した度胸の持ち主だよ。			ふふん、頼もしいねー！さすが、うちの被検体に志願した度胸の持ち主だよ。			迷えるクジラと水脈							
……俺も行かせてくれ！			……俺も行かせてくれ！			迷えるクジラと水脈							
おお？大学に引き篭もってばかりの君が、サベネア島に行くの？			おお？大学に引き篭もってばかりの君が、サベネア島に行くの？			迷えるクジラと水脈							
こいつが各地を飛び回ってくれたことで、俺の研究は進展を見せてきたんだ。なら俺も、肝心なときに待ってるだけじゃいられない！			こいつが各地を飛び回ってくれたことで、俺の研究は進展を見せてきたんだ。なら俺も、肝心なときに待ってるだけじゃいられない！			迷えるクジラと水脈							
チャ・ラカさん、サベネア島なんて行ったことないでしょう……！？行くとなれば、新型エーテライトでってなるんでしょうけど、エーテル酔いが酷いんだから、絶対やめておいたほうが……。			チャ・ラカさん、サベネア島なんて行ったことないでしょう……！？行くとなれば、新型エーテライトでってなるんでしょうけど、エーテル酔いが酷いんだから、絶対やめておいたほうが……。			迷えるクジラと水脈							
今回の調査は、すぐに決行しなくちゃ意味がない！それに……俺がエーテル学の研究者として生きていく以上、フィールドワークは、避けて通れない道だからな。			今回の調査は、すぐに決行しなくちゃ意味がない！それに……俺がエーテル学の研究者として生きていく以上、フィールドワークは、避けて通れない道だからな。			迷えるクジラと水脈							
恐怖が先立って、これまで避けてきたけど……今が、そのときだって感じるんだ！			恐怖が先立って、これまで避けてきたけど……今が、そのときだって感じるんだ！			迷えるクジラと水脈							
……こりゃ、意志は固そうだね！			……こりゃ、意志は固そうだね！			迷えるクジラと水脈							
もう……知りませんからね。Forenameさんに、迷惑がかからないようにしてくださいよ。			もう……知りませんからね。Forenameさんに、迷惑がかからないようにしてくださいよ。			迷えるクジラと水脈							
あっ！　そ、それはそうだな……なぁ、Forename。俺も一緒に行って、構わないか……？			あっ！　そ、それはそうだな……なぁ、Forename。俺も一緒に行って、構わないか……？			迷えるクジラと水脈							
よしっ……！！それじゃあ、イェドリマンで集合だ！俺とお前で、事件の真相を探りにいこう！			よしっ……！！それじゃあ、イェドリマンで集合だ！俺とお前で、事件の真相を探りにいこう！			迷えるクジラと水脈							
チャ・ラカさんは、イェドリマンまで、キットさんのところから新型エーテライトを使うみたいですね。意気込んでましたけど、本当に大丈夫かな……。			チャ・ラカさんは、イェドリマンまで、キットさんのところから新型エーテライトを使うみたいですね。意気込んでましたけど、本当に大丈夫かな……。			迷えるクジラと水脈							
こいつがエーテル酔いで転がってるのを見つけてな……。少し様子を見てやってたんだ。			こいつがエーテル酔いで転がってるのを見つけてな……。少し様子を見てやってたんだ。			迷えるクジラと水脈							
……ぁ…………その声……Forenameか……？			……ぁ…………その声……Forenameか……？			迷えるクジラと水脈							
たまたま通りがかったから看てやってたんだが、これほど酷いエーテル酔いを起こす奴は、珍しいぞ。			たまたま通りがかったから看てやってたんだが、これほど酷いエーテル酔いを起こす奴は、珍しいぞ。			迷えるクジラと水脈							
ううぅ……テレポ直後はかなりやばかった……。今回は、今までで一番すごい景色が見えたなぁ……！			ううぅ……テレポ直後はかなりやばかった……。今回は、今までで一番すごい景色が見えたなぁ……！			迷えるクジラと水脈							
