クガネのヒルディブランドは、シグレの帰りを待っているようだ。			クガネのヒルディブランドは、シグレの帰りを待っているようだ。			薬に侵されし最強の男							
ナシュ・マカラッカに報告			ナシュ・マカラッカに報告			黄金の都の助手							
ナシュ・マカラッカと話す			ナシュ・マカラッカと話す			黄金の都の助手							
ナシュ・マカラッカと再度話す			ナシュ・マカラッカと再度話す			黄金の都の助手							
…………そこのあなた……そう、あなたです。もしや、エオルゼアから来た冒険者さんでは？			…………そこのあなた……そう、あなたです。もしや、エオルゼアから来た冒険者さんでは？			黄金の都の助手							
俺？……べつに、名乗るほどの者じゃないですよ。とにかく、冒険者さんに頼みたいことがあるんです。			俺？……べつに、名乗るほどの者じゃないですよ。とにかく、冒険者さんに頼みたいことがあるんです。			黄金の都の助手							
この建物の中に、エオルゼアから東方まで旅してきた、ミコッテ族の可憐な乙女がいるんです。			この建物の中に、エオルゼアから東方まで旅してきた、ミコッテ族の可憐な乙女がいるんです。			黄金の都の助手							
不慣れな異国の地で、うら若き乙女がひとりで行動していたら、悪い奴に騙されて、かどわかされて、アレやコレや、口にするのもアレなコトを…………			不慣れな異国の地で、うら若き乙女がひとりで行動していたら、悪い奴に騙されて、かどわかされて、アレやコレや、口にするのもアレなコトを…………			黄金の都の助手							
………………ふぅ。とにかく、あなたなら手出ししないってことは、わかってます。だから、彼女のこと……任せましたよ！			………………ふぅ。とにかく、あなたなら手出ししないってことは、わかってます。だから、彼女のこと……任せましたよ！			黄金の都の助手							
ぺぺぺ……ちょろそうなヤツっぺよ……。			ぺぺぺ……ちょろそうなヤツっぺよ……。			黄金の都の助手							
嬢ちゃんが捜してる「すてきなしんし」なら、見たことあるっぺよ！何しろ、オレが助けてやったんだから、間違いないっぺな！居所まで案内してやってもいいっぺよ？			嬢ちゃんが捜してる「すてきなしんし」なら、見たことあるっぺよ！何しろ、オレが助けてやったんだから、間違いないっぺな！居所まで案内してやってもいいっぺよ？			黄金の都の助手							
ほ、本当ですか～！ウナギさん、お願いします～。			ほ、本当ですか～！ウナギさん、お願いします～。			黄金の都の助手							
ウナギじゃなくて、ナマズオのギョドウだっぺよ。……ただし、タダで教えてやるわけにはいかないっぺな。たんまり情報料を弾んでもらうっぺよ？			ウナギじゃなくて、ナマズオのギョドウだっぺよ。……ただし、タダで教えてやるわけにはいかないっぺな。たんまり情報料を弾んでもらうっぺよ？			黄金の都の助手							
お金ですか～？ナシュ、すっからかんです～。			お金ですか～？ナシュ、すっからかんです～。			黄金の都の助手							
あ～、冒険者さんじゃないですか？ナシュをお手伝いにきてくれたんですか～？			あ～、冒険者さんじゃないですか？ナシュをお手伝いにきてくれたんですか～？			黄金の都の助手							
ナシュ、嬉しいです～！あれからヒルディブランド様を捜して、東へ東へ旅を続け、ようやくここまで辿り着いたんですが、見つからなくて……。			ナシュ、嬉しいです～！あれからヒルディブランド様を捜して、東へ東へ旅を続け、ようやくここまで辿り着いたんですが、見つからなくて……。			黄金の都の助手							
でも、こちらのドジョウさんが、ヒルディブランド様の行方をご存知だそうなんです～！			でも、こちらのドジョウさんが、ヒルディブランド様の行方をご存知だそうなんです～！			黄金の都の助手							
ぺぺぺ……まさか姐御旦那の知り合いとは、思ってなかったっぺよ……。ここはひとつ理由を作って、ずらかるしか…………。			ぺぺぺ……まさか姐御旦那の知り合いとは、思ってなかったっぺよ……。ここはひとつ理由を作って、ずらかるしか…………。			黄金の都の助手							
うぺぺぺぺぺぺぺぺ！そ、そんな目で見ないでほしいっぺよ！			うぺぺぺぺぺぺぺぺ！そ、そんな目で見ないでほしいっぺよ！			黄金の都の助手							
とにかく、まだ銭は受け取ってないから、見逃してほしいっぺよ！尋ね人が見つかることを、オオナマズに祈ってるっぺよ～！			とにかく、まだ銭は受け取ってないから、見逃してほしいっぺよ！尋ね人が見つかることを、オオナマズに祈ってるっぺよ～！			黄金の都の助手							
あ、待ってください～！ヒルディブランド様の居場所を教えてください～！！			あ、待ってください～！ヒルディブランド様の居場所を教えてください～！！			黄金の都の助手							
えぇ！あのドジョウさん、ナシュのことを騙そうとしてたんですか～？			えぇ！あのドジョウさん、ナシュのことを騙そうとしてたんですか～？			黄金の都の助手							
ナシュ、がっかりです～。			ナシュ、がっかりです～。			黄金の都の助手							
クガネに着いてから、いろいろな人に、「素敵な紳士」の目撃情報を尋ねてきました。でも、全然見つからないんです……。			クガネに着いてから、いろいろな人に、「素敵な紳士」の目撃情報を尋ねてきました。でも、全然見つからないんです……。			黄金の都の助手							
う～ん……いったいどうしたら、ヒルディブランド様を見つけられるんでしょう……。			う～ん……いったいどうしたら、ヒルディブランド様を見つけられるんでしょう……。			黄金の都の助手							
何と答える？			何と答える？			黄金の都の助手							
また、どこかに刺さっているのでは？			また、どこかに刺さっているのでは？			黄金の都の助手							
事件あるところ、事件屋あり！			事件あるところ、事件屋あり！			黄金の都の助手							
確かに、クルザスで再会した時は、雪に刺さってました～。ギギさんが眠っている、すぐ側で…………。			確かに、クルザスで再会した時は、雪に刺さってました～。ギギさんが眠っている、すぐ側で…………。			黄金の都の助手							
確かに、ヒルディブランド様は、行く先々で事件を見つけて、華麗に解決してきました～。クルザスの時も、ギギさんが眠る場所を見つけていましたし……。			確かに、ヒルディブランド様は、行く先々で事件を見つけて、華麗に解決してきました～。クルザスの時も、ギギさんが眠る場所を見つけていましたし……。			黄金の都の助手							
……ナシュ、わかりましたっ！ヒルディブランド様は、事件の匂いを敏感にキャッチします。だから、事件を探せば、きっと再会できるはずです～！			……ナシュ、わかりましたっ！ヒルディブランド様は、事件の匂いを敏感にキャッチします。だから、事件を探せば、きっと再会できるはずです～！			黄金の都の助手							
そうとわかれば、さっそく事件を探してみましょう！冒険者さんも、いっしょに聞き込みに協力してください～！			そうとわかれば、さっそく事件を探してみましょう！冒険者さんも、いっしょに聞き込みに協力してください～！			黄金の都の助手							
このあたりで事件が起きていないか、街の人に聞いてみるのです～！			このあたりで事件が起きていないか、街の人に聞いてみるのです～！			黄金の都の助手							
最近起きた事件はないか、だと？そうだな……ここ最近、豪商を狙った空き巣事件が多発しておる。			最近起きた事件はないか、だと？そうだな……ここ最近、豪商を狙った空き巣事件が多発しておる。			黄金の都の助手							
つい先日も、楽座街に店を構えるアケボノという商人が、その被害にあったのだ。我々が犯人を追っているのだが、まだ逮捕には至っておらぬ……。			つい先日も、楽座街に店を構えるアケボノという商人が、その被害にあったのだ。我々が犯人を追っているのだが、まだ逮捕には至っておらぬ……。			黄金の都の助手							
何を聞くのかと思えば、事件がないか、じゃと？もちろんあるとも……。			何を聞くのかと思えば、事件がないか、じゃと？もちろんあるとも……。			黄金の都の助手							
望海泉の常連客から聞いたんじゃが、羽振りのいい商人を狙う、空き巣が横行しているそうじゃ。戸締まりには、気を付けんといかんの。			望海泉の常連客から聞いたんじゃが、羽振りのいい商人を狙う、空き巣が横行しているそうじゃ。戸締まりには、気を付けんといかんの。			黄金の都の助手							
…………はっ！？			…………はっ！？			黄金の都の助手							
……す、すみませんでした～！彼女を追っかけていたことは謝ります、この通り！だから、捕縛して拷問して打ち首にするのだけは、ご勘弁をッ！			……す、すみませんでした～！彼女を追っかけていたことは謝ります、この通り！だから、捕縛して拷問して打ち首にするのだけは、ご勘弁をッ！			黄金の都の助手							
……って、あなたは、先ほどの冒険者さん！			……って、あなたは、先ほどの冒険者さん！			黄金の都の助手							
てっきり、純粋無垢な俺を、うら若き乙女に付きまとうような、穢らわしい犯罪者と間違えて捕縛にきた赤誠組の隊士かと……。ところで、俺に何の用です？			てっきり、純粋無垢な俺を、うら若き乙女に付きまとうような、穢らわしい犯罪者と間違えて捕縛にきた赤誠組の隊士かと……。ところで、俺に何の用です？			黄金の都の助手							
え、事件を探しているですって？それなら、俺が遭遇した大事件をお聞かせしますよ。			え、事件を探しているですって？それなら、俺が遭遇した大事件をお聞かせしますよ。			黄金の都の助手							
あれは5年前のことでした……。ウルダハの街角で歩いているときに、俺と目が合ったんです。大勢の人がいる中、俺とあの子の目が……！！			あれは5年前のことでした……。ウルダハの街角で歩いているときに、俺と目が合ったんです。大勢の人がいる中、俺とあの子の目が……！！			黄金の都の助手							
わかりますか、この奇跡が……！？エオルゼア随一の大都会、砂漠の砂粒よりも多くの人がいるのに、俺とあの子の……目が合った……まさに運命……ッ！			わかりますか、この奇跡が……！？エオルゼア随一の大都会、砂漠の砂粒よりも多くの人がいるのに、俺とあの子の……目が合った……まさに運命……ッ！			黄金の都の助手							
…………はぁ、はぁ、はぁ……ふぅ。とにかく、この大事件に遭遇してからずっと、俺は彼女を見守り続けているんです。			…………はぁ、はぁ、はぁ……ふぅ。とにかく、この大事件に遭遇してからずっと、俺は彼女を見守り続けているんです。			黄金の都の助手							
決して、声をかける勇気がないわけじゃないですよ？俺と彼女の間には、そんな無粋な行為は必要ないんです。影のように静かに、影のようにそっと寄り添う、ただそれだけ……。			決して、声をかける勇気がないわけじゃないですよ？俺と彼女の間には、そんな無粋な行為は必要ないんです。影のように静かに、影のようにそっと寄り添う、ただそれだけ……。			黄金の都の助手							
俺はこれからも、影から彼女を見守ります。表では、あなたが彼女を助けてあげてくださいね……！			俺はこれからも、影から彼女を見守ります。表では、あなたが彼女を助けてあげてくださいね……！			黄金の都の助手							
つい先日も、楽座街に店を構えるアケボノという商人が、空き巣の被害にあったのだ。我々が犯人を追っているのだが、まだ逮捕には至っておらぬ……。			つい先日も、楽座街に店を構えるアケボノという商人が、空き巣の被害にあったのだ。我々が犯人を追っているのだが、まだ逮捕には至っておらぬ……。			黄金の都の助手							
望海泉の常連客から聞いたんじゃが、羽振りのいい商人を狙う、空き巣が横行しているそうじゃ。戸締まりには、気を付けんといかんの。			望海泉の常連客から聞いたんじゃが、羽振りのいい商人を狙う、空き巣が横行しているそうじゃ。戸締まりには、気を付けんといかんの。			黄金の都の助手							
事件、起きてましたか～？			事件、起きてましたか～？			黄金の都の助手							
何と答える？			何と答える？			黄金の都の助手							
連続空き巣事件が起きている			連続空き巣事件が起きている			黄金の都の助手							
5年前にウルダハで男と女の目が合った			5年前にウルダハで男と女の目が合った			黄金の都の助手							
連続空き巣事件を発見したんですか！？冒険者さん、すごいです～！			連続空き巣事件を発見したんですか！？冒険者さん、すごいです～！			黄金の都の助手							
目が合った？冒険者さんの冗談、ナシュ、よくわからないです……。ほかに、何か事件は起きていませんでしたか～？			目が合った？冒険者さんの冗談、ナシュ、よくわからないです……。ほかに、何か事件は起きていませんでしたか～？			黄金の都の助手							
さっそく、空き巣にあわれた、楽座街のアケボノさんのところに向かいましょう～！			さっそく、空き巣にあわれた、楽座街のアケボノさんのところに向かいましょう～！			黄金の都の助手							
あそこのお金持ちみたいな方が、アケボノさんですかね～？			あそこのお金持ちみたいな方が、アケボノさんですかね～？			黄金の都の助手							
(-侍らしき男-)くそっ、またヤツの仕業か！遊びのように盗みを働くとは、許せぬッ……！			(-侍らしき男-)くそっ、またヤツの仕業か！遊びのように盗みを働くとは、許せぬッ……！			黄金の都の助手							
(-侍らしき男-)お話をうかがわせていただき感謝いたします、アケボノ殿！必ずや、ヤツを捕らえてみせましょうぞ……。では、これにて失敬！			(-侍らしき男-)お話をうかがわせていただき感謝いたします、アケボノ殿！必ずや、ヤツを捕らえてみせましょうぞ……。では、これにて失敬！			黄金の都の助手							
やっぱり、あの方がアケボノさんでした！さっそく事件のことを聞いてみましょう～！			やっぱり、あの方がアケボノさんでした！さっそく事件のことを聞いてみましょう～！			黄金の都の助手							
わぁ～！			わぁ～！			黄金の都の助手							
(-侍らしき男-)イタタ……これは失礼を！急いでいたもので、つい……お怪我はござらぬか？			(-侍らしき男-)イタタ……これは失礼を！急いでいたもので、つい……お怪我はござらぬか？			黄金の都の助手							
だ、大丈夫です～！その格好は……お侍さんですか～？			だ、大丈夫です～！その格好は……お侍さんですか～？			黄金の都の助手							
如何にも！拙者はシグレと申します。			如何にも！拙者はシグレと申します。			黄金の都の助手							
此度は、ご迷惑をおかけした。しかし、今は追わねばならぬ悪漢がおりますゆえ、これにて御免つかまつる！			此度は、ご迷惑をおかけした。しかし、今は追わねばならぬ悪漢がおりますゆえ、これにて御免つかまつる！			黄金の都の助手							
あのお侍さんも、事件を追っているみたいです～。事件屋として、負けるわけにはいかないです～！			あのお侍さんも、事件を追っているみたいです～。事件屋として、負けるわけにはいかないです～！			黄金の都の助手							
ナシュたちも、あの商人さんに話を聞きましょう～！			ナシュたちも、あの商人さんに話を聞きましょう～！			黄金の都の助手							
はじめまして、事件屋のナシュ・マカラッカといいます。アケボノさんが空き巣にあったと聞いて、やってきたんですが、よかったら、お話を聞かせてくれませんか～？			はじめまして、事件屋のナシュ・マカラッカといいます。アケボノさんが空き巣にあったと聞いて、やってきたんですが、よかったら、お話を聞かせてくれませんか～？			黄金の都の助手							
ほう、事件屋とな？聞いたことがある、はるか西方の地に事件を解決に導く、そのような者たちがいるという噂を……。			ほう、事件屋とな？聞いたことがある、はるか西方の地に事件を解決に導く、そのような者たちがいるという噂を……。			黄金の都の助手							
ならば、ここはお話させていただくのでごわす。今朝方、ウチの若い衆が、蔵の扉が開いているのに気付き、中を検めたところ…………			ならば、ここはお話させていただくのでごわす。今朝方、ウチの若い衆が、蔵の扉が開いているのに気付き、中を検めたところ…………			黄金の都の助手							
ごっそり、貴重品がなくなっていたのでごわす！この書き置きだけを残して……！			ごっそり、貴重品がなくなっていたのでごわす！この書き置きだけを残して……！			黄金の都の助手							
(-渡された書き置き-)「こそドロ一匹オオカミ、参上！」			(-渡された書き置き-)「こそドロ一匹オオカミ、参上！」			黄金の都の助手							
こそドロ……一匹オオカミ……？			こそドロ……一匹オオカミ……？			黄金の都の助手							
そう……近頃、クガネを騒がせている空き巣でごわす。盗みを働くと、きまってこの書き置きを残していくのだとか。まさか、わしの蔵までもが狙われるとは……。			そう……近頃、クガネを騒がせている空き巣でごわす。盗みを働くと、きまってこの書き置きを残していくのだとか。まさか、わしの蔵までもが狙われるとは……。			黄金の都の助手							
クガネ連続空き巣事件……ヒルディブランド様がキャッチしそうな事件の匂いがします～！			クガネ連続空き巣事件……ヒルディブランド様がキャッチしそうな事件の匂いがします～！			黄金の都の助手							
はて……いったい何のことで……？いや、解決してくれるというのなら、誰でも構わぬのでごわす。何しろ赤誠組が手を焼くほどの、神出鬼没な盗賊ゆえ……。			はて……いったい何のことで……？いや、解決してくれるというのなら、誰でも構わぬのでごわす。何しろ赤誠組が手を焼くほどの、神出鬼没な盗賊ゆえ……。			黄金の都の助手							
もしもヤツを見つけることができた際には、わしにお声がけを。充分なお礼を差し上げること、約束するでごわす！			もしもヤツを見つけることができた際には、わしにお声がけを。充分なお礼を差し上げること、約束するでごわす！			黄金の都の助手							
この事件を追っていけば、ヒルディブランド様と再会できそうな気がしてきました～！			この事件を追っていけば、ヒルディブランド様と再会できそうな気がしてきました～！			黄金の都の助手							
事件屋の…………事件屋の助手の勘です～！			事件屋の…………事件屋の助手の勘です～！			黄金の都の助手							
ナシュは、しばらく情報を集めてみるつもりです～。何かわかったら、冒険者さんにも声をかけますから、それまで待っていてください～！			ナシュは、しばらく情報を集めてみるつもりです～。何かわかったら、冒険者さんにも声をかけますから、それまで待っていてください～！			黄金の都の助手							
ヒルディブランド様との再会を信じて「クガネ連続空き巣事件」を調査するナシュ！			ヒルディブランド様との再会を信じて「クガネ連続空き巣事件」を調査するナシュ！			黄金の都の助手							
謎のメモを残していった噂の怪盗「こそドロ一匹オオカミ」は捕らえられるでしょうか？			謎のメモを残していった噂の怪盗「こそドロ一匹オオカミ」は捕らえられるでしょうか？			黄金の都の助手							
さらに 暗躍する新たな影……！			さらに 暗躍する新たな影……！			黄金の都の助手							
ヒルディブランド 紅蓮編次回より いよいよ始まりです～！			ヒルディブランド 紅蓮編次回より いよいよ始まりです～！			黄金の都の助手							
今度の事件解決の鍵は、ナシュ特製のお薬です！ついに、ナシュの錬金術が役に立つときが来たんです～！			今度の事件解決の鍵は、ナシュ特製のお薬です！ついに、ナシュの錬金術が役に立つときが来たんです～！			黄金の都の助手							
でも、事件当日まで何が起こるかわかりませんっ！実際の事件現場を目撃することになるのは……アナタですよ～！			でも、事件当日まで何が起こるかわかりませんっ！実際の事件現場を目撃することになるのは……アナタですよ～！			黄金の都の助手							
楽座街のナシュ・マカラッカは、ヒルディブランドの帰りを待ちわびているようだ。			楽座街のナシュ・マカラッカは、ヒルディブランドの帰りを待ちわびているようだ。			秘められた証拠品							
前回までの冒険録：ヨウジンボウからソボロ助広を取り戻した冒険者たちだったが、赤誠組の隊士たちがやってきたときには、ソボロ助広を手にしたこそドロ一匹オオカミの姿は無かった。そして、こそドロ一匹オオカミを逃した罪として、シグレは捕らえられてしまう。こそドロ一匹オオカミが話していたアケボノの話に引っかかったヒルディブランドは、アケボノの調査に乗り出した。アケボノに隠された闇を解き明かすことはできるのだろうか……。　　　　　　　　　　　　*　*　*ヒルディブランドの帰りを待ちわびていたナシュ・マカラッカだったが、ちょうどそこへヒルディブランドが戻ってくる。アケボノの調査をしている中でファンレターを受け取ったという。そこには、クガネ大橋で待つと書かれており、さっそく向かってしまったヒルディブランド。彼を追いかけ、クガネの異人街で「ヒルディブランド」を探そう。			前回までの冒険録：ヨウジンボウからソボロ助広を取り戻した冒険者たちだったが、赤誠組の隊士たちがやってきたときには、ソボロ助広を手にしたこそドロ一匹オオカミの姿は無かった。そして、こそドロ一匹オオカミを逃した罪として、シグレは捕らえられてしまう。こそドロ一匹オオカミが話していたアケボノの話に引っかかったヒルディブランドは、アケボノの調査に乗り出した。アケボノに隠された闇を解き明かすことはできるのだろうか……。　　　　　　　　　　　　*　*　*ヒルディブランドの帰りを待ちわびていたナシュ・マカラッカだったが、ちょうどそこへヒルディブランドが戻ってくる。アケボノの調査をしている中でファンレターを受け取ったという。そこには、クガネ大橋で待つと書かれており、さっそく向かってしまったヒルディブランド。彼を追いかけ、クガネの異人街で「ヒルディブランド」を探そう。			秘められた証拠品							
ヒルディブランドを探した。人違いのようで、叩き返されてしまっていたヒルディブランド。門の先にいるのはヨウジンボウだと言う。決着をつけるため、異人街の「進入地点」を調べて、「真ヨウジンボウ討滅戦」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			ヒルディブランドを探した。人違いのようで、叩き返されてしまっていたヒルディブランド。門の先にいるのはヨウジンボウだと言う。決着をつけるため、異人街の「進入地点」を調べて、「真ヨウジンボウ討滅戦」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			秘められた証拠品							
真ヨウジンボウ討滅戦を攻略した。異人街にいる「ヒルディブランド」に報告しよう。			真ヨウジンボウ討滅戦を攻略した。異人街にいる「ヒルディブランド」に報告しよう。			秘められた証拠品							
ヒルディブランドに報告した。ヨウジンボウに扮していたギルガメッシュもやってきて、これまでの経緯を説明してくれた。また、ギルガメッシュも調査に協力してくれるという。楽座街にいる「ナシュ・マカラッカ」と話そう。			ヒルディブランドに報告した。ヨウジンボウに扮していたギルガメッシュもやってきて、これまでの経緯を説明してくれた。また、ギルガメッシュも調査に協力してくれるという。楽座街にいる「ナシュ・マカラッカ」と話そう。			秘められた証拠品							
ナシュ・マカラッカと話した。ナシュによると、シグレは切腹を命じられてしまったという。アケボノがソボロ助広を奪ったという、こそドロ一匹オオカミの言葉について調べるため、クガネで聞き込みをしよう。			ナシュ・マカラッカと話した。ナシュによると、シグレは切腹を命じられてしまったという。アケボノがソボロ助広を奪ったという、こそドロ一匹オオカミの言葉について調べるため、クガネで聞き込みをしよう。			秘められた証拠品							
クガネで聞き込みをした。わかったことを、「ヒルディブランド」に報告しよう。			クガネで聞き込みをした。わかったことを、「ヒルディブランド」に報告しよう。			秘められた証拠品							
ヒルディブランドに報告した。もうじき切腹をしてしまうとナシュから聞いたヒルディブランドは、赤誠組の隊士に変装し、切腹を妨害した。その際、こそドロ一匹オオカミが舞い戻ってきて、自分が牢に戻りソボロ助広を戻せば、シグレが切腹する必要はないはずと説く。かくして切腹を免れたシグレだったが、アケボノの追加捜査をしようとしていたところを、アケボノと会談していたクモデに遮られ、捜査の話がなかったことになってしまった。今後について、クガネの「ヒルディブランド」と話そう。			ヒルディブランドに報告した。もうじき切腹をしてしまうとナシュから聞いたヒルディブランドは、赤誠組の隊士に変装し、切腹を妨害した。その際、こそドロ一匹オオカミが舞い戻ってきて、自分が牢に戻りソボロ助広を戻せば、シグレが切腹する必要はないはずと説く。かくして切腹を免れたシグレだったが、アケボノの追加捜査をしようとしていたところを、アケボノと会談していたクモデに遮られ、捜査の話がなかったことになってしまった。今後について、クガネの「ヒルディブランド」と話そう。			秘められた証拠品							
ヒルディブランドと話した。シグレは、牢にいるこそドロ一匹オオカミに尋ねたいことがあるので、話を聞きにいったという。シグレの帰りを待つとしよう。			ヒルディブランドと話した。シグレは、牢にいるこそドロ一匹オオカミに尋ねたいことがあるので、話を聞きにいったという。シグレの帰りを待つとしよう。			秘められた証拠品							
ヒルディブランドを探す			ヒルディブランドを探す			秘められた証拠品							
「真ヨウジンボウ討滅戦」を攻略			「真ヨウジンボウ討滅戦」を攻略			秘められた証拠品							
ヒルディブランドに報告			ヒルディブランドに報告			秘められた証拠品							
ナシュ・マカラッカと話す			ナシュ・マカラッカと話す			秘められた証拠品							
クガネで聞き込みをする			クガネで聞き込みをする			秘められた証拠品							
ヒルディブランドに報告			ヒルディブランドに報告			秘められた証拠品							
ヒルディブランドと話す			ヒルディブランドと話す			秘められた証拠品							
う～ん。いったい、どこまで行ってるんでしょう……。			う～ん。いったい、どこまで行ってるんでしょう……。			秘められた証拠品							
あっ、冒険者さん！ヒルディブランド様を見かけませんでしたか～？			あっ、冒険者さん！ヒルディブランド様を見かけませんでしたか～？			秘められた証拠品							
そうですか～。赤誠組に捕まってしまったシグレさんを助けるために、アケボノさんの捜査をしているはずなんですが……。			そうですか～。赤誠組に捕まってしまったシグレさんを助けるために、アケボノさんの捜査をしているはずなんですが……。			秘められた証拠品							
ハッハッハ、ただいま戻りましたぞ！			ハッハッハ、ただいま戻りましたぞ！			秘められた証拠品							
私が戻ってくるのを待っていてくれたなんて、冒険者殿は、さすが私のファンですな！			私が戻ってくるのを待っていてくれたなんて、冒険者殿は、さすが私のファンですな！			秘められた証拠品							
そういえば……ファンといえば、この事件屋ヒルディブランド、アケボノ殿の調査中に、シャイな方から、ファンレターをいただいたのですぞ！			そういえば……ファンといえば、この事件屋ヒルディブランド、アケボノ殿の調査中に、シャイな方から、ファンレターをいただいたのですぞ！			秘められた証拠品							
さすがヒルディブランド様！ナシュにも見せてください～！			さすがヒルディブランド様！ナシュにも見せてください～！			秘められた証拠品							
もちろんですとも、さぁ！			もちろんですとも、さぁ！			秘められた証拠品							
なんだか、とっても字が汚いですねぇ～。でも、頑張って読んでみます～。			なんだか、とっても字が汚いですねぇ～。でも、頑張って読んでみます～。			秘められた証拠品							
え～っと、ひかりの……んし……どの……ソボロ助広の件では……してやられ………………は手に入れたぞ……。			え～っと、ひかりの……んし……どの……ソボロ助広の件では……してやられ………………は手に入れたぞ……。			秘められた証拠品							
「クガネ大橋」で待つ……。正々堂々……決着を……つけ……よう？			「クガネ大橋」で待つ……。正々堂々……決着を……つけ……よう？			秘められた証拠品							
「光の紳士」……つまり、この私に必ず会いたいという情熱を感じますぞ！			「光の紳士」……つまり、この私に必ず会いたいという情熱を感じますぞ！			秘められた証拠品							
しかも、ソボロ助広の件で、決着をつける情報を持っていると！これは一刻も早く、駆け付けねばなりますまい……！冒険者殿とナシュは、ここでお待ちを！			しかも、ソボロ助広の件で、決着をつける情報を持っていると！これは一刻も早く、駆け付けねばなりますまい……！冒険者殿とナシュは、ここでお待ちを！			秘められた証拠品							
えっと……あっ、この汚い字は、“しんし”じゃなくて、“せんし”ですね。			えっと……あっ、この汚い字は、“しんし”じゃなくて、“せんし”ですね。			秘められた証拠品							
ヒルディブランド様じゃなくて、冒険者さん宛のお手紙です！			ヒルディブランド様じゃなくて、冒険者さん宛のお手紙です！			秘められた証拠品							
……って、ヒルディブランド様は？			……って、ヒルディブランド様は？			秘められた証拠品							
ナシュ、なんだかとっても心配です～。冒険者さん、ヒルディブランド様の後を追ってみてください～！			ナシュ、なんだかとっても心配です～。冒険者さん、ヒルディブランド様の後を追ってみてください～！			秘められた証拠品							
冒険者さん、ヒルディブランド様の後を追ってみてください～！			冒険者さん、ヒルディブランド様の後を追ってみてください～！			秘められた証拠品							
ど、どうやら、人違いのようで……叩き返されてしまいましたぞ。			ど、どうやら、人違いのようで……叩き返されてしまいましたぞ。			秘められた証拠品							
いたのはファンではなく、ヨウジンボウ殿でしたぞ……。冒険者殿と……け、決着をつけると、い、意気込んで……おりました……。			いたのはファンではなく、ヨウジンボウ殿でしたぞ……。冒険者殿と……け、決着をつけると、い、意気込んで……おりました……。			秘められた証拠品							
そこの門より……「クガネ大橋」へ……。……あ、あとは……任せ……まし……た…………。			そこの門より……「クガネ大橋」へ……。……あ、あとは……任せ……まし……た…………。			秘められた証拠品							
…………。			…………。			秘められた証拠品							
ヒルディブランドは、気絶しているようだ。おそらく放っておいても大丈夫だろう。ヨウジンボウが待ち構えている「クガネ大橋」に向かおう。			ヒルディブランドは、気絶しているようだ。おそらく放っておいても大丈夫だろう。ヨウジンボウが待ち構えている「クガネ大橋」に向かおう。			秘められた証拠品							
……ヒルちゃん、ひさしぶりだな。			……ヒルちゃん、ひさしぶりだな。			秘められた証拠品							
おお、ギルちゃんではないですか！なぜこんなところに？			おお、ギルちゃんではないですか！なぜこんなところに？			秘められた証拠品							
なぜも何も……			なぜも何も……			秘められた証拠品							
な、なんと、ヨウジンボウ殿はギルちゃんだったのですか！			な、なんと、ヨウジンボウ殿はギルちゃんだったのですか！			秘められた証拠品							
そのとおり。Forenameとの勝負に敗れた後、再戦のために、旅から旅の生活を続けてきたんだ。			そのとおり。Forenameとの勝負に敗れた後、再戦のために、旅から旅の生活を続けてきたんだ。			秘められた証拠品							
その大一番の勝負を止められるわけにもいかんからな、ヒルちゃんには、悪いことをしたが許してくれ！			その大一番の勝負を止められるわけにもいかんからな、ヒルちゃんには、悪いことをしたが許してくれ！			秘められた証拠品							
私はこのとおり元気ですから、大丈夫ですぞ！……それにしてもギルちゃんは、なぜクガネで、ヨウジンボウ殿として過ごしていたのですかな？			私はこのとおり元気ですから、大丈夫ですぞ！……それにしてもギルちゃんは、なぜクガネで、ヨウジンボウ殿として過ごしていたのですかな？			秘められた証拠品							
話せば長くなるんだが……再戦のためには、力と業物が必要だろう？だから、諸国を漫遊しながら、修行と武器集めをしていたんだ。			話せば長くなるんだが……再戦のためには、力と業物が必要だろう？だから、諸国を漫遊しながら、修行と武器集めをしていたんだ。			秘められた証拠品							
ところが、気づいたら財布の中身がスッカラカンってなもんさ。食いもんにも困るようになって、そのうちバタリと倒れちまってな……。			ところが、気づいたら財布の中身がスッカラカンってなもんさ。食いもんにも困るようになって、そのうちバタリと倒れちまってな……。			秘められた証拠品							
そんなときに、相棒のエンキドゥが、自分を犠牲に……。			そんなときに、相棒のエンキドゥが、自分を犠牲に……。			秘められた証拠品							
朝起きたら、相棒の姿はなく、美味そうな料理が、枕元に置いてあったんだよ……。おかげで、なんとか一命を取り留めることができたぜ。			朝起きたら、相棒の姿はなく、美味そうな料理が、枕元に置いてあったんだよ……。おかげで、なんとか一命を取り留めることができたぜ。			秘められた証拠品							
それからしばらくしたある日、道中で偶然、犬に出会ったんだ。			それからしばらくしたある日、道中で偶然、犬に出会ったんだ。			秘められた証拠品							
そいつが、なんだかとても仲間にしてほしそうに、オレの方をずっと見てきてなぁ。			そいつが、なんだかとても仲間にしてほしそうに、オレの方をずっと見てきてなぁ。			秘められた証拠品							
身寄りもなさそうで、かわいそうだったから、仲間にして、ダイゴロウと名付けたんだ。			身寄りもなさそうで、かわいそうだったから、仲間にして、ダイゴロウと名付けたんだ。			秘められた証拠品							
