八分儀広場の生真面目な警備兵は、冒険者に頼みたいことがあるようだ。			八分儀広場の生真面目な警備兵は、冒険者に頼みたいことがあるようだ。			青魔道士と名乗る男							
ふん、わざわざ私をあざ笑いに来たというのか？相変わらず嫌味なヤツだな君は。			ふん、わざわざ私をあざ笑いに来たというのか？相変わらず嫌味なヤツだな君は。			青息吐息							
久しぶりの再会なんだ、そう噛みつかなくてもいいじゃないか。まあいい、今日はちょっと顔を出したまでだ。そのうちまたゆっくり話そう……。			久しぶりの再会なんだ、そう噛みつかなくてもいいじゃないか。まあいい、今日はちょっと顔を出したまでだ。そのうちまたゆっくり話そう……。			青息吐息							
ふう……ヴァストラッハは古い知り合いだ。私はかつて、巴術士ギルドに所属する魔法学の研究員として、世界各地の魔法体系を調べる仕事をしていたんだ。			ふう……ヴァストラッハは古い知り合いだ。私はかつて、巴術士ギルドに所属する魔法学の研究員として、世界各地の魔法体系を調べる仕事をしていたんだ。			青息吐息							
その一環として、私は彼と共に新大陸に渡り、ワラキ族の古式魔術について研究し、学会で発表したのだが……有用性が認められず、研究費は打ち切られてしまった。			その一環として、私は彼と共に新大陸に渡り、ワラキ族の古式魔術について研究し、学会で発表したのだが……有用性が認められず、研究費は打ち切られてしまった。			青息吐息							
すでに青魔法の理論は完成していた……。私は青魔法に固執し、自費で新大陸にて研究を続けたあげく、借金漬けに陥り、今やこのとおりの客寄せピエロさ。			すでに青魔法の理論は完成していた……。私は青魔法に固執し、自費で新大陸にて研究を続けたあげく、借金漬けに陥り、今やこのとおりの客寄せピエロさ。			青息吐息							
一方、ヴァストラッハは、青魔法を修得したものの、費用が出なくなると、あっさり研究を捨てた。新大陸からも去っていったよ。			一方、ヴァストラッハは、青魔法を修得したものの、費用が出なくなると、あっさり研究を捨てた。新大陸からも去っていったよ。			青息吐息							
それから彼は、商会を興して大成功、富豪の仲間入りをしている。さて、どっちが正しかったのやら……。			それから彼は、商会を興して大成功、富豪の仲間入りをしている。さて、どっちが正しかったのやら……。			青息吐息							
おっと、つまらない話を聞かせてしまった。負け犬の遠吠えだと思って聞き流してくれたまえ。			おっと、つまらない話を聞かせてしまった。負け犬の遠吠えだと思って聞き流してくれたまえ。			青息吐息							
さてと、次なる目標だが、青魔法「猫だまし」にしよう。ラーニングして、青魔道士の腕をさらに磨いたら、また私のもとへ戻ってくるのだ。			さてと、次なる目標だが、青魔法「猫だまし」にしよう。ラーニングして、青魔道士の腕をさらに磨いたら、また私のもとへ戻ってくるのだ。			青息吐息							
一人前の青魔道士への道は長く険しい。歩みを止めるな、Forenameよ！			一人前の青魔道士への道は長く険しい。歩みを止めるな、Forenameよ！			青息吐息							
ウルダハのマーティンは、どこか落ち着きがないようだ。			ウルダハのマーティンは、どこか落ち着きがないようだ。			青雲の志							
マーティンと話したところ、野暮用があると去っていった。ロイスが来て、借金を重ねているマーティンを尾行することになった。ウルダハのフロンデール歩廊で「ロイス」と話そう。			マーティンと話したところ、野暮用があると去っていった。ロイスが来て、借金を重ねているマーティンを尾行することになった。ウルダハのフロンデール歩廊で「ロイス」と話そう。			青雲の志							
ロイスと話したところ、錬金術師ギルドからマーティンが出てきた。引き続き、マーティンを尾行することになった。西ザナラーンの金槌台地で「ロイス」と話そう。			ロイスと話したところ、錬金術師ギルドからマーティンが出てきた。引き続き、マーティンを尾行することになった。西ザナラーンの金槌台地で「ロイス」と話そう。			青雲の志							
ロイスと話し、マーティンが怪しげな男たちと、夢想花の取引をしているところを見た。ロイスが声を上げてしまい、怪しげな男たちに気づかれた。金槌台地で怪しげな男たちを討伐しよう。			ロイスと話し、マーティンが怪しげな男たちと、夢想花の取引をしているところを見た。ロイスが声を上げてしまい、怪しげな男たちに気づかれた。金槌台地で怪しげな男たちを討伐しよう。			青雲の志							
怪しげな男たちを討伐した。事情を聴くため、金槌台地の「マーティン」と話そう。			怪しげな男たちを討伐した。事情を聴くため、金槌台地の「マーティン」と話そう。			青雲の志							
マーティンによると、新大陸のワラキ族の疫病を治すために、金と夢想花が必要だったようだ。ロイスに許されたマーティンは、これからさらに、闘技場で金を稼ぐと張り切るのだった。ウルダハのミルバネス礼拝堂付近で「マーティン」と話そう。			マーティンによると、新大陸のワラキ族の疫病を治すために、金と夢想花が必要だったようだ。ロイスに許されたマーティンは、これからさらに、闘技場で金を稼ぐと張り切るのだった。ウルダハのミルバネス礼拝堂付近で「マーティン」と話そう。			青雲の志							
マーティンと話したところ、試合のため闘技場へ向かった。師は立派な志を持っていたようだ。抜かりなく鍛錬に励んで、青魔法「針千本」をラーニングして、泣男のラトージャのもとへ戻ってこよう。※青魔道士のレベルが40以上になり、青魔法「針千本」をラーニングすると、ミルバネス礼拝堂付近の泣男のラトージャから次の青魔道士クエストを受注することができます。			マーティンと話したところ、試合のため闘技場へ向かった。師は立派な志を持っていたようだ。抜かりなく鍛錬に励んで、青魔法「針千本」をラーニングして、泣男のラトージャのもとへ戻ってこよう。※青魔道士のレベルが40以上になり、青魔法「針千本」をラーニングすると、ミルバネス礼拝堂付近の泣男のラトージャから次の青魔道士クエストを受注することができます。			青雲の志							
フロンデール歩廊のロイスと話す			フロンデール歩廊のロイスと話す			青雲の志							
金槌台地のロイスと話す			金槌台地のロイスと話す			青雲の志							
怪しげな男たちを討伐する			怪しげな男たちを討伐する			青雲の志							
マーティンと話す			マーティンと話す			青雲の志							
ウルダハのマーティンと話す			ウルダハのマーティンと話す			青雲の志							
Forename君。青魔道士としてさらに成長したようだが、青魔法「猫だまし」をラーニングしてから来てくれないか……？			Forename君。青魔道士としてさらに成長したようだが、青魔法「猫だまし」をラーニングしてから来てくれないか……？			青雲の志							
青魔法「猫だまし」をラーニングすると、マーティンから、次の青魔道士クエストを受注することができます。			青魔法「猫だまし」をラーニングすると、マーティンから、次の青魔道士クエストを受注することができます。			青雲の志							
Forename君。青魔法「猫だまし」をラーニングしてきたようだが、すまない、ちょっと野暮用があってね、また後で来てくれ。			Forename君。青魔法「猫だまし」をラーニングしてきたようだが、すまない、ちょっと野暮用があってね、また後で来てくれ。			青雲の志							
久しぶりね、Forename。修行は順調かしら？			久しぶりね、Forename。修行は順調かしら？			青雲の志							
何と答える？			何と答える？			青雲の志							
任せてくれ！			任せてくれ！			青雲の志							
あちこち行くのがしんどい……			あちこち行くのがしんどい……			青雲の志							
それは頼もしいわね！ウチの闘技場で戦える日に備えて、あなたの衣装も用意してるから、これからもがんばって！			それは頼もしいわね！ウチの闘技場で戦える日に備えて、あなたの衣装も用意してるから、これからもがんばって！			青雲の志							
それは大変そうね……。ウチの闘技場で戦える日に備えて、あなたの衣装も用意してるから、どうかがんばって！			それは大変そうね……。ウチの闘技場で戦える日に備えて、あなたの衣装も用意してるから、どうかがんばって！			青雲の志							
ところで、マーティンなんだけど、どうもおかしいのよ……。			ところで、マーティンなんだけど、どうもおかしいのよ……。			青雲の志							
借金があったことは知ってて、一度は完済したはずだけど、どうやら、またもお金を借りているらしいの。ギャラは充分払っているのに、いったい何に使っているのやら……。			借金があったことは知ってて、一度は完済したはずだけど、どうやら、またもお金を借りているらしいの。ギャラは充分払っているのに、いったい何に使っているのやら……。			青雲の志							
もし、うちの看板闘士が、良からぬことをしていたら、闘技場「ブルースカイ」の名にも関わるから、心配なのよね。			もし、うちの看板闘士が、良からぬことをしていたら、闘技場「ブルースカイ」の名にも関わるから、心配なのよね。			青雲の志							
あなたたちは、マーティンの助手なんでしょう。何か知らないかしら？			あなたたちは、マーティンの助手なんでしょう。何か知らないかしら？			青雲の志							
すみませ、ん、先生のプライベートは、謎に包まれて、いて、私たちもよく、知らないんで、す。			すみませ、ん、先生のプライベートは、謎に包まれて、いて、私たちもよく、知らないんで、す。			青雲の志							
そう……。マーティンは用事とか言って、どこかへ向かったみたいね。こうなったら、彼を尾行して真相を確かめてみようかしら。			そう……。マーティンは用事とか言って、どこかへ向かったみたいね。こうなったら、彼を尾行して真相を確かめてみようかしら。			青雲の志							
悪いんだけど、あなたも同行してもらえない？弟子としても気になるところでしょう。			悪いんだけど、あなたも同行してもらえない？弟子としても気になるところでしょう。			青雲の志							
私のプライベート、を知りたいです、か？趣味、は食べ歩、きオススメ、のウルダハグル、メは、ゴールドトリュ、フの串焼、きで、す。			私のプライベート、を知りたいです、か？趣味、は食べ歩、きオススメ、のウルダハグル、メは、ゴールドトリュ、フの串焼、きで、す。			青雲の志							
マーティンを尾行したら、途中で目立たない服装に着替えて、錬金術師ギルドに入っていったわ。			マーティンを尾行したら、途中で目立たない服装に着替えて、錬金術師ギルドに入っていったわ。			青雲の志							
薬……まさか持病でもあるのかしら？それで高い治療費が必要だとか……			薬……まさか持病でもあるのかしら？それで高い治療費が必要だとか……			青雲の志							
また、どこかへと向かったようね。尾行を続けましょう。			また、どこかへと向かったようね。尾行を続けましょう。			青雲の志							
マーティンはこの場所に来てから、しばらく動きがないわ。おそらく、誰かと待ち合わせしているようね。			マーティンはこの場所に来てから、しばらく動きがないわ。おそらく、誰かと待ち合わせしているようね。			青雲の志							
ブツを持って来たぞ。まずは、金を渡してもらおう。			ブツを持って来たぞ。まずは、金を渡してもらおう。			青雲の志							
……確かに。			……確かに。			青雲の志							
いくらなんでも、価格を吊り上げすぎじゃありませんか……？こっちは、また借金をするはめになりましたよ。			いくらなんでも、価格を吊り上げすぎじゃありませんか……？こっちは、また借金をするはめになりましたよ。			青雲の志							
そっちの都合など知ったことか、闇市場の相場は変動するもんだ。ほらよ、お目当ての「夢想花」だ。			そっちの都合など知ったことか、闇市場の相場は変動するもんだ。ほらよ、お目当ての「夢想花」だ。			青雲の志							
夢想花ですって……！			夢想花ですって……！			青雲の志							
誰かいる！目撃者を消すぞ……！！			誰かいる！目撃者を消すぞ……！！			青雲の志							
ごめんなさい、Forename！ヤツらをやっつけて！			ごめんなさい、Forename！ヤツらをやっつけて！			青雲の志							
ごめんなさい、Forename！ヤツらをやっつけて！			ごめんなさい、Forename！ヤツらをやっつけて！			青雲の志							
見たな！			見たな！			青雲の志							
死んでもらう！			死んでもらう！			青雲の志							
ふう……。ありがとう、Forename。さて、マーティンのバカを追及しなくちゃね。			ふう……。ありがとう、Forename。さて、マーティンのバカを追及しなくちゃね。			青雲の志							
よりにもよって、ふたりに尾行されているとはね……。もう、観念するしかないようだ。			よりにもよって、ふたりに尾行されているとはね……。もう、観念するしかないようだ。			青雲の志							
ありがとう、Forename。あなたがいてくれて助かったわ。			ありがとう、Forename。あなたがいてくれて助かったわ。			青雲の志							
問題なのは、マーティン……あなたよ！よりにもよって、ご禁制の夢想花を買っていただなんて！			問題なのは、マーティン……あなたよ！よりにもよって、ご禁制の夢想花を買っていただなんて！			青雲の志							
夢想花が多くの人を中毒と死に追いやった、「ソムヌス香」の材料だってこと、知らないとでも思ったの！？そんな品に手を出した人とは、契約を破棄させてもらうわ！			夢想花が多くの人を中毒と死に追いやった、「ソムヌス香」の材料だってこと、知らないとでも思ったの！？そんな品に手を出した人とは、契約を破棄させてもらうわ！			青雲の志							
これには、深い事情があるんです。どうか、どうか私の弁明だけでも聞いてください……。			これには、深い事情があるんです。どうか、どうか私の弁明だけでも聞いてください……。			青雲の志							
……いいでしょう、聞かせてもらうわ。			……いいでしょう、聞かせてもらうわ。			青雲の志							
夢想花を買った目的は、決して危険なソムヌス香の生成ではなく、ある治療薬を作るためでした。			夢想花を買った目的は、決して危険なソムヌス香の生成ではなく、ある治療薬を作るためでした。			青雲の志							
毒と薬は表裏一体……夢想花の成分は、その薬を作るために不可欠なものなんです。			毒と薬は表裏一体……夢想花の成分は、その薬を作るために不可欠なものなんです。			青雲の志							
そして、薬とは……新大陸のワラキ族の間で広まっている疫病の治療薬。その病は、何を隠そうエオルゼアから持ち込まれたものです。			そして、薬とは……新大陸のワラキ族の間で広まっている疫病の治療薬。その病は、何を隠そうエオルゼアから持ち込まれたものです。			青雲の志							
それって、重い病気なの……？			それって、重い病気なの……？			青雲の志							
エオルゼアの民にとっては、ただの風邪程度のものにすぎません。しかし、孤立した環境で暮らしてきたワラキ族には免疫がなく、死に至る病として、猛威を振るっているのです。			エオルゼアの民にとっては、ただの風邪程度のものにすぎません。しかし、孤立した環境で暮らしてきたワラキ族には免疫がなく、死に至る病として、猛威を振るっているのです。			青雲の志							
今は、呪術医であるワラキ族の少年が奮闘し、薬草を用いて、病人たちの延命治療を続けていますが……このままいけば数年で、彼らは全滅することでしょう。			今は、呪術医であるワラキ族の少年が奮闘し、薬草を用いて、病人たちの延命治療を続けていますが……このままいけば数年で、彼らは全滅することでしょう。			青雲の志							
青魔法のルーツである彼らを何としても救いたい。何より、病を持ち込んだ責任の一端は自分にもある。			青魔法のルーツである彼らを何としても救いたい。何より、病を持ち込んだ責任の一端は自分にもある。			青雲の志							
私は急いで帰国すると、少年の薬草をもとに研究を重ね、全財産をつぎ込んで、治療薬の開発に成功しました。			私は急いで帰国すると、少年の薬草をもとに研究を重ね、全財産をつぎ込んで、治療薬の開発に成功しました。			青雲の志							
だが、疫病を撲滅するためには、薬を量産しなければならない。そんなわけで、私は借金でも何でもして資金を作り、ご禁制と知りながらも、夢想花を買っていた次第です……。			だが、疫病を撲滅するためには、薬を量産しなければならない。そんなわけで、私は借金でも何でもして資金を作り、ご禁制と知りながらも、夢想花を買っていた次第です……。			青雲の志							
なるほど……お金にがめついのも理由があったのね。さっき錬金術師ギルドに寄ったのは、薬に必要なほかの素材を買っていたと……。			なるほど……お金にがめついのも理由があったのね。さっき錬金術師ギルドに寄ったのは、薬に必要なほかの素材を買っていたと……。			青雲の志							
お察しのとおりです。醜い弁明を聞かせてすみません、私は大人しく去ることにします……お世話になりました。			お察しのとおりです。醜い弁明を聞かせてすみません、私は大人しく去ることにします……お世話になりました。			青雲の志							
新大陸の部族を救おうなんて……とても立派な心掛けね。			新大陸の部族を救おうなんて……とても立派な心掛けね。			青雲の志							
その志に免じて、契約の破棄は撤回させてもらうわ！夢想花の件も目をつむることにする。			その志に免じて、契約の破棄は撤回させてもらうわ！夢想花の件も目をつむることにする。			青雲の志							
ほ、本当ですか！？ありがとうございます、深く感謝いたします……！			ほ、本当ですか！？ありがとうございます、深く感謝いたします……！			青雲の志							
そんな大層な目的があるのなら、ますます、ウチの闘技場で稼いでもらわないとね。			そんな大層な目的があるのなら、ますます、ウチの闘技場で稼いでもらわないとね。			青雲の志							
それならぜひ、出場の機会を増やしてくれませんか？必要とするだけの治療薬を生産しきるためなら、いくらでも働きますから！			それならぜひ、出場の機会を増やしてくれませんか？必要とするだけの治療薬を生産しきるためなら、いくらでも働きますから！			青雲の志							
それはありがたいわ。「マスク・ザ・ブルー」の試合は、常に満員御礼なのよ。さっそく、予定を調整しないとね、早くウルダハに戻りましょう。			それはありがたいわ。「マスク・ザ・ブルー」の試合は、常に満員御礼なのよ。さっそく、予定を調整しないとね、早くウルダハに戻りましょう。			青雲の志							
先生が、ワラキ族を、救おうとしてた、なんて、寝耳に水鉄砲、でし、た……。			先生が、ワラキ族を、救おうとしてた、なんて、寝耳に水鉄砲、でし、た……。			青雲の志							
この度は思わぬ事態となったが、君に売人たちを倒してもらって私も助かった。			この度は思わぬ事態となったが、君に売人たちを倒してもらって私も助かった。			青雲の志							
ご禁制の品とはいえ、法外な値段をふっかけられていたもんでね。次は、もっとまともな闇商人を探してみるよ。			ご禁制の品とはいえ、法外な値段をふっかけられていたもんでね。次は、もっとまともな闇商人を探してみるよ。			青雲の志							
さて……青魔道士の試練の方だが、今回は売人たちとの戦いを以て、突破したとみなそう。君は見事な成長ぶりを見せた、この調子で精進したまえ。			さて……青魔道士の試練の方だが、今回は売人たちとの戦いを以て、突破したとみなそう。君は見事な成長ぶりを見せた、この調子で精進したまえ。			青雲の志							
次なる目標は、青魔法「針千本」のラーニングだ。さらに腕を磨いて、また戻ってきてくれ。			次なる目標は、青魔法「針千本」のラーニングだ。さらに腕を磨いて、また戻ってきてくれ。			青雲の志							
だが、私は闘技場での試合を増やしたので、忙しくなる。不在にすることが多くなると思うので、目標を達成したら、泣男のラトージャ君に声をかけてくれ。			だが、私は闘技場での試合を増やしたので、忙しくなる。不在にすることが多くなると思うので、目標を達成したら、泣男のラトージャ君に声をかけてくれ。			青雲の志							
目指すは一流の青魔道士！抜かりなく励むのだ、Forenameよ！それでは、私はさっそく試合に向かう。			目指すは一流の青魔道士！抜かりなく励むのだ、Forenameよ！それでは、私はさっそく試合に向かう。			青雲の志							
先生、寝食削ってま、で、闘技場で戦おうとして、ます。私、ちょっと心配、です。何事もなければ、いいのです、が……。			先生、寝食削ってま、で、闘技場で戦おうとして、ます。私、ちょっと心配、です。何事もなければ、いいのです、が……。			青雲の志							
ウルダハの泣男のラトージャは、慌てているようだ。			ウルダハの泣男のラトージャは、慌てているようだ。			青天の霹靂							
泣男のラトージャから、マーティンが闘技場で大怪我を負ってしまったと聞いた。そこへ、ヴァストラッハが現れ、代わりに試練を与えてくれるという。西ザナラーンのホライズン・エッジで「ヴァストラッハ」と話し、試練の相手を討伐しよう。			泣男のラトージャから、マーティンが闘技場で大怪我を負ってしまったと聞いた。そこへ、ヴァストラッハが現れ、代わりに試練を与えてくれるという。西ザナラーンのホライズン・エッジで「ヴァストラッハ」と話し、試練の相手を討伐しよう。			青天の霹靂							
試練の相手である魔導ヴァンガードを討伐した。ホライズン・エッジの「ヴァストラッハ」に報告しよう。			試練の相手である魔導ヴァンガードを討伐した。ホライズン・エッジの「ヴァストラッハ」に報告しよう。			青天の霹靂							
ヴァストラッハに報告した。ウルダハのミルバネス礼拝堂付近で「ヴァストラッハ」と話そう。			ヴァストラッハに報告した。ウルダハのミルバネス礼拝堂付近で「ヴァストラッハ」と話そう。			青天の霹靂							
ヴァストラッハと話したところ、マーティンが現れた。ヴァストラッハは、疫病の治療薬の代金を払うと申し出るのだった。マーティンは旧友を信じて、病院へと戻っていった。存分に腕を磨き、青魔法「グラワー」をラーニングして、泣男のラトージャのもとへ戻ってこよう。※青魔道士のレベルが50以上になり、青魔法「グラワー」をラーニングすると、ミルバネス礼拝堂付近の泣男のラトージャから次の青魔道士クエストを受注することができます。			ヴァストラッハと話したところ、マーティンが現れた。ヴァストラッハは、疫病の治療薬の代金を払うと申し出るのだった。マーティンは旧友を信じて、病院へと戻っていった。存分に腕を磨き、青魔法「グラワー」をラーニングして、泣男のラトージャのもとへ戻ってこよう。※青魔道士のレベルが50以上になり、青魔法「グラワー」をラーニングすると、ミルバネス礼拝堂付近の泣男のラトージャから次の青魔道士クエストを受注することができます。			青天の霹靂							
ホライズン・エッジのヴァストラッハと話し、試練の相手を討伐する			ホライズン・エッジのヴァストラッハと話し、試練の相手を討伐する			青天の霹靂							
ヴァストラッハに報告			ヴァストラッハに報告			青天の霹靂							
ウルダハのヴァストラッハと話す			ウルダハのヴァストラッハと話す			青天の霹靂							
Forenameさん。青魔道士と、して成長、目覚ましいようで、すが、青魔法「針千本」を、ラーニングしてきて、くださいま、せんか？			Forenameさん。青魔道士と、して成長、目覚ましいようで、すが、青魔法「針千本」を、ラーニングしてきて、くださいま、せんか？			青天の霹靂							
青魔法「針千本」をラーニングすると、泣男のラトージャから、次の青魔道士クエストを受注することができます。			青魔法「針千本」をラーニングすると、泣男のラトージャから、次の青魔道士クエストを受注することができます。			青天の霹靂							
Forenameさん、大変で、す！先生、が闘技場、で魔物にこっぴどく、やられ、大怪我を、負ってしまいまし、た！			Forenameさん、大変で、す！先生、が闘技場、で魔物にこっぴどく、やられ、大怪我を、負ってしまいまし、た！			青天の霹靂							
やっぱ、り、寝食削って、戦ったこと、で、無理が、たたってしまった、ようで、す。			やっぱ、り、寝食削って、戦ったこと、で、無理が、たたってしまった、ようで、す。			青天の霹靂							
青魔法「針千本」を、ラーニングして、きたようです、が、残念なが、ら今回の試練、は……			青魔法「針千本」を、ラーニングして、きたようです、が、残念なが、ら今回の試練、は……			青天の霹靂							
(-聞き覚えのある声-)それならば、私が代わりに試練を出そう……。			(-聞き覚えのある声-)それならば、私が代わりに試練を出そう……。			青天の霹靂							
旧友が倒れたと聞いたもんでね、自分に何かできればと、駆けつけたところだ。			旧友が倒れたと聞いたもんでね、自分に何かできればと、駆けつけたところだ。			青天の霹靂							
聞いているかもしれないが、私も青魔道士なんだ。はっきり言って、マーティンよりも実力は上だよ。彼の代わりに、君に試練を与えて修行の成果を見てあげよう。			聞いているかもしれないが、私も青魔道士なんだ。はっきり言って、マーティンよりも実力は上だよ。彼の代わりに、君に試練を与えて修行の成果を見てあげよう。			青天の霹靂							
確かに、ヴァストラッハ、さんは、先生も敵わ、ない、最強の青魔道士で、す。師として、まったく不足ありませ、ん……。			確かに、ヴァストラッハ、さんは、先生も敵わ、ない、最強の青魔道士で、す。師として、まったく不足ありませ、ん……。			青天の霹靂							
それでは、君の試練に格好の相手を用意するんで、西ザナラーンまで来てくれ。			それでは、君の試練に格好の相手を用意するんで、西ザナラーンまで来てくれ。			青天の霹靂							
内緒で、すが……先生、よりもヴァストラッハさん、の方が、師として、相応しい、かと存じま、す……。			内緒で、すが……先生、よりもヴァストラッハさん、の方が、師として、相応しい、かと存じま、す……。			青天の霹靂							
誤解しないでくれたまえよ、私は帝国人じゃない。経営する商会が、アマジナ鉱山社の運営する、青燐精製所で下請け仕事をしていてね。			誤解しないでくれたまえよ、私は帝国人じゃない。経営する商会が、アマジナ鉱山社の運営する、青燐精製所で下請け仕事をしていてね。			青天の霹靂							
カストルム・メリディアヌムの近くに廃棄されていた、この魔導ヴァンガードを拾って、研究のために修理したんだ。			カストルム・メリディアヌムの近くに廃棄されていた、この魔導ヴァンガードを拾って、研究のために修理したんだ。			青天の霹靂							
君の試練として相応しい強さに調整してあるから、こいつを倒してもらおう。では、準備はいいかな……？			君の試練として相応しい強さに調整してあるから、こいつを倒してもらおう。では、準備はいいかな……？			青天の霹靂							
準備はいいか？			準備はいいか？			青天の霹靂							
見事だった。確かに君は立派な青魔道士になりつつある。だが、私は思うのだよ、剣や魔法の時代は終わりを迎えるとね……。			見事だった。確かに君は立派な青魔道士になりつつある。だが、私は思うのだよ、剣や魔法の時代は終わりを迎えるとね……。			青天の霹靂							
もちろん、帝国の侵略には抵抗しなければならないが、かの国の魔導兵器の力は目を見張るものがある。			もちろん、帝国の侵略には抵抗しなければならないが、かの国の魔導兵器の力は目を見張るものがある。			青天の霹靂							
エオルゼアでも、飛空艇を始め魔導技術の利用は進みつつある。そう遠くない未来、各国のグランドカンパニーにおいても、魔導兵器が主力になるかもしれない。			エオルゼアでも、飛空艇を始め魔導技術の利用は進みつつある。そう遠くない未来、各国のグランドカンパニーにおいても、魔導兵器が主力になるかもしれない。			青天の霹靂							
そうなると勝負を決めるのは、燃料となる青燐水だ。すでに、北ザナラーンでは青燐水をめぐって、帝国軍と不滅隊が睨み合っている。			そうなると勝負を決めるのは、燃料となる青燐水だ。すでに、北ザナラーンでは青燐水をめぐって、帝国軍と不滅隊が睨み合っている。			青天の霹靂							
これから世界のパワーバランスを決めるのは、エーテルやクリスタルではなく、青燐水となっていくのかもね……。			これから世界のパワーバランスを決めるのは、エーテルやクリスタルではなく、青燐水となっていくのかもね……。			青天の霹靂							
まあ、これは私の商人としての考えに過ぎないがね……。さて、ウルダハへ戻ることにしよう。			まあ、これは私の商人としての考えに過ぎないがね……。さて、ウルダハへ戻ることにしよう。			青天の霹靂							
お帰りな、さい。ヴァストラッハ、さんから、の試練も、突破されたようで、何よりで、す……。			お帰りな、さい。ヴァストラッハ、さんから、の試練も、突破されたようで、何よりで、す……。			青天の霹靂							
見事に試練を突破したわけだが、マーティンは、しばらく動けないだろうから、次回も私が……			見事に試練を突破したわけだが、マーティンは、しばらく動けないだろうから、次回も私が……			青天の霹靂							
(-マーティンの声-)待て、勝手に私の弟子をとらないでくれたまえ。			(-マーティンの声-)待て、勝手に私の弟子をとらないでくれたまえ。			青天の霹靂							
先生……！お体、の具合はもう、いいんです、か！？			先生……！お体、の具合はもう、いいんです、か！？			青天の霹靂							
いや、まだ歩くのがやっとだが、我が弟子の様子が気になったものでね……。			いや、まだ歩くのがやっとだが、我が弟子の様子が気になったものでね……。			青天の霹靂							
心配いらないさ、君の弟子は立派に成長している。それより、私は君と話がしたかったんだ。			心配いらないさ、君の弟子は立派に成長している。それより、私は君と話がしたかったんだ。			青天の霹靂							
ワラキ族に蔓延した疫病を撲滅しようとしているそうだね。なんで、私に相談してくれなかったんだ……？			ワラキ族に蔓延した疫病を撲滅しようとしているそうだね。なんで、私に相談してくれなかったんだ……？			青天の霹靂							
君は、青魔法の研究費が打ち切られた途端、すぐにワラキ族に興味を失って去っていっただろう？合理主義の君のこと、利益にならない部族を救うとは思えなくてね。			君は、青魔法の研究費が打ち切られた途端、すぐにワラキ族に興味を失って去っていっただろう？合理主義の君のこと、利益にならない部族を救うとは思えなくてね。			青天の霹靂							
見損なわないでくれたまえ。私だって、青魔法の研究のため、しばらく一緒に過ごした彼らに、まったく情がわかなかったわけじゃない。			見損なわないでくれたまえ。私だって、青魔法の研究のため、しばらく一緒に過ごした彼らに、まったく情がわかなかったわけじゃない。			青天の霹靂							
なあマーティン、我が友よ。ワラキ族を救うため、私も協力しようじゃないか。君が倒れたことで、資金繰りが悪化して困っているのだろう？			なあマーティン、我が友よ。ワラキ族を救うため、私も協力しようじゃないか。君が倒れたことで、資金繰りが悪化して困っているのだろう？			青天の霹靂							
ああ……その通りだ……。			ああ……その通りだ……。			青天の霹靂							
ひとりでも多くの者を救うため、治療薬の生産は急いだほうがいい。我が商会の資金をもってすれば、すぐに必要な量を作れるだろう。あとは私に任せ、君は療養に徹したまえ。			ひとりでも多くの者を救うため、治療薬の生産は急いだほうがいい。我が商会の資金をもってすれば、すぐに必要な量を作れるだろう。あとは私に任せ、君は療養に徹したまえ。			青天の霹靂							
確かに……君に頼るしかないようだ……。すまないが……よろしく頼む。			確かに……君に頼るしかないようだ……。すまないが……よろしく頼む。			青天の霹靂							
ああ、必要量の治療薬を生産できたら、私が責任を持って、新大陸のワラキ族に届けよう。			ああ、必要量の治療薬を生産できたら、私が責任を持って、新大陸のワラキ族に届けよう。			青天の霹靂							
……ありがとう、ヴァストラッハ。			……ありがとう、ヴァストラッハ。			青天の霹靂							
いいんだ、昔のよしみじゃないか。治療薬のレシピは、後で教えてもらおう。私は仕事があるんで、戻ることにするよ。			いいんだ、昔のよしみじゃないか。治療薬のレシピは、後で教えてもらおう。私は仕事があるんで、戻ることにするよ。			青天の霹靂							
ヴァストラッハは損得しか考えない男だったが、こんな利他的なことをするなんてね。どうやら、私の目が曇っていたようだ……。			ヴァストラッハは損得しか考えない男だったが、こんな利他的なことをするなんてね。どうやら、私の目が曇っていたようだ……。			青天の霹靂							
Forename君。今回は、君の修行に付き合えなくてすまなかった。			Forename君。今回は、君の修行に付き合えなくてすまなかった。			青天の霹靂							
ヴァストラッハから試練を受けたようだが、彼の青魔道士としての実力は確かなので、間違いないだろう。			ヴァストラッハから試練を受けたようだが、彼の青魔道士としての実力は確かなので、間違いないだろう。			青天の霹靂							
さて、いよいよ最後の目標といこう。青魔法「グラワー」をラーニングしてくるのだ。そして、存分に腕を磨いたら、また戻ってきてくれたまえ。			さて、いよいよ最後の目標といこう。青魔法「グラワー」をラーニングしてくるのだ。そして、存分に腕を磨いたら、また戻ってきてくれたまえ。			青天の霹靂							
一人前の青魔道士までもう少しだ！このまま駆け抜けるのだ、Forenameよ！			一人前の青魔道士までもう少しだ！このまま駆け抜けるのだ、Forenameよ！			青天の霹靂							
とまあ、勇ましいことを言っといてなんだが、私は病院を抜け出してきたので、戻らなければならない。目標を達成したら、また泣男のラトージャ君に声をかけてくれ。			とまあ、勇ましいことを言っといてなんだが、私は病院を抜け出してきたので、戻らなければならない。目標を達成したら、また泣男のラトージャ君に声をかけてくれ。			青天の霹靂							
