聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			東風吹き込む占星院							
ひとりで門を開けなければ、それもやむなしと覚悟していたが、姉者兄者がいてくれれば万全だ！さあ、「氷天」について教えてくれ！			ひとりで門を開けなければ、それもやむなしと覚悟していたが、姉者兄者がいてくれれば万全だ！さあ、「氷天」について教えてくれ！			東風去りし占星院							
「氷天」について何を説明する？			「氷天」について何を説明する？			東風去りし占星院							
氷天の宮殿について			氷天の宮殿について			東風去りし占星院							
氷天の祝福について			氷天の祝福について			東風去りし占星院							
なるほど、氷の天界の「氷天」には、月神が月光で凍らせ、戦神が削った氷の宮殿があるのか！その力により、苛烈に攻めることができるんだな！			なるほど、氷の天界の「氷天」には、月神が月光で凍らせ、戦神が削った氷の宮殿があるのか！その力により、苛烈に攻めることができるんだな！			東風去りし占星院							
ふむふむ……氷天の祝福を暗示したアルカナは「槍」。その力を用いることで、氷の宮殿の力を得て、苛烈に攻めることができるのか！			ふむふむ……氷天の祝福を暗示したアルカナは「槍」。その力を用いることで、氷の宮殿の力を得て、苛烈に攻めることができるのか！			東風去りし占星院							
姉者兄者、ありがとな！よーし、残すは「氷天座」を見上げて、天界の門を開くだけだ！			姉者兄者、ありがとな！よーし、残すは「氷天座」を見上げて、天界の門を開くだけだ！			東風去りし占星院							
これがエオルゼアで見上げる最後の星空か……。			これがエオルゼアで見上げる最後の星空か……。			東風去りし占星院							
なんて鋭く冷厳に輝く「氷天座」だ……。戦神ゆかりの地だからこそ、その力をより実感できる……。			なんて鋭く冷厳に輝く「氷天座」だ……。戦神ゆかりの地だからこそ、その力をより実感できる……。			東風去りし占星院							
属性を冠した天界の門を、すべて開いた時こそ、至高の七天の境地に至るための、始まりのとき……。そう、レヴェヴァ師が話していた意味が、今ならわかる！			属性を冠した天界の門を、すべて開いた時こそ、至高の七天の境地に至るための、始まりのとき……。そう、レヴェヴァ師が話していた意味が、今ならわかる！			東風去りし占星院							
風水術は、地脈、風脈、水脈を読み取り、力を得る。レヴェヴァ師は、そのことを「母なる星を詠む占星術」と解釈し、新たな仮説を導きだそうとしていた。			風水術は、地脈、風脈、水脈を読み取り、力を得る。レヴェヴァ師は、そのことを「母なる星を詠む占星術」と解釈し、新たな仮説を導きだそうとしていた。			東風去りし占星院							
互いに教え合い、洋の東西に分かれた知識を統合し、新たな知を生み出そうと、レヴェヴァ師と話してたのに……。			互いに教え合い、洋の東西に分かれた知識を統合し、新たな知を生み出そうと、レヴェヴァ師と話してたのに……。			東風去りし占星院							
約束を果たせず心苦しいが……抜き差しならない故郷の事情だから、もう行かなきゃ。挨拶なしに旅立つ不義理を許してほしいと、皆に伝えてくれ。			約束を果たせず心苦しいが……抜き差しならない故郷の事情だから、もう行かなきゃ。挨拶なしに旅立つ不義理を許してほしいと、皆に伝えてくれ。			東風去りし占星院							
姉者兄者にだけでも、最後に会えてよかった。俺を教え導いてくれて、ありがとう……。それじゃ、達者でな。			姉者兄者にだけでも、最後に会えてよかった。俺を教え導いてくれて、ありがとう……。それじゃ、達者でな。			東風去りし占星院							
戻りましたか。まずは、レヴェヴァ師に状況をお知らせください。			戻りましたか。まずは、レヴェヴァ師に状況をお知らせください。			東風去りし占星院							
戻ったか。む、キョクホウの姿が見えぬが……？何があったというのだ？			戻ったか。む、キョクホウの姿が見えぬが……？何があったというのだ？			東風去りし占星院							
なんと……故郷に戻ってしまったと？奴ほど向学心にあふれる者は、そういない。道半ばで投げ出すとは、よほどの事情があるのだろう……。			なんと……故郷に戻ってしまったと？奴ほど向学心にあふれる者は、そういない。道半ばで投げ出すとは、よほどの事情があるのだろう……。			東風去りし占星院							
運命はつねに揺らぎ、己の手で切り開くことができるもの。別離とて、生ある限り永遠ではなく、再び交わることもあろう。そのときまで、わしは己がすべきことを成そう。			運命はつねに揺らぎ、己の手で切り開くことができるもの。別離とて、生ある限り永遠ではなく、再び交わることもあろう。そのときまで、わしは己がすべきことを成そう。			東風去りし占星院							
当面、わしは皇都での講話会に集中する。「ジャンヌキナル」にも、伝えておいてくれ。さあ、ますます忙しくなるぞ……！			当面、わしは皇都での講話会に集中する。「ジャンヌキナル」にも、伝えておいてくれ。さあ、ますます忙しくなるぞ……！			東風去りし占星院							
そうでしたか……寂しい限りです。キョクホウ君は、誰にでも気さくに声をかけて、占星院に清風をもたらしてくれていたので、残念です。			そうでしたか……寂しい限りです。キョクホウ君は、誰にでも気さくに声をかけて、占星院に清風をもたらしてくれていたので、残念です。			東風去りし占星院							
そうなると、彼に格別な期待を寄せていた、レヴェヴァ師の心情が、少しばかり気がかりです。ああ見えて、まだうら若き乙女ですから……。			そうなると、彼に格別な期待を寄せていた、レヴェヴァ師の心情が、少しばかり気がかりです。ああ見えて、まだうら若き乙女ですから……。			東風去りし占星院							
皇都に占星術を広める使命があるとはいえ、アルカナ占いの件を含め、失望は拭えないでしょうからね。我らもいつでも協力できるよう、お互い備えておきましょう。			皇都に占星術を広める使命があるとはいえ、アルカナ占いの件を含め、失望は拭えないでしょうからね。我らもいつでも協力できるよう、お互い備えておきましょう。			東風去りし占星院							
聖ガンリオル占星院のジャンヌキナルは、占星術師を目指すと決めた冒険者に話があるようだ。			聖ガンリオル占星院のジャンヌキナルは、占星術師を目指すと決めた冒険者に話があるようだ。			天界への道							
占星術師の修練を始めることになった。聖ガンリオル占星院の「ジャンヌキナル」と話そう。			占星術師の修練を始めることになった。聖ガンリオル占星院の「ジャンヌキナル」と話そう。			天界への道							
ジャンヌキナルと話し、占星術師の修練を開始した。シャーレアンの客人について、聖ガンリオル占星院で情報を集めよう。			ジャンヌキナルと話し、占星術師の修練を開始した。シャーレアンの客人について、聖ガンリオル占星院で情報を集めよう。			天界への道							
シャーレアンの客人の情報を集めた。聖ガンリオル占星院の「ジャンヌキナル」と話そう。			シャーレアンの客人の情報を集めた。聖ガンリオル占星院の「ジャンヌキナル」と話そう。			天界への道							
ジャンヌキナルに報告した。シャーレアンの客人の話を聞くため、クルザス中央高地のアドネール占星台にいる「ジャンヌキナル」と話そう。			ジャンヌキナルに報告した。シャーレアンの客人の話を聞くため、クルザス中央高地のアドネール占星台にいる「ジャンヌキナル」と話そう。			天界への道							
シャーレアンの客人の行方が判明した。南部森林のクォーリーミルにいる「カンプラン」と話そう。			シャーレアンの客人の行方が判明した。南部森林のクォーリーミルにいる「カンプラン」と話そう。			天界への道							
カンプランと話した。南部森林の蛇殻林にいる「カンプラン」と話そう。			カンプランと話した。南部森林の蛇殻林にいる「カンプラン」と話そう。			天界への道							
シャーレアンの客人を発見した。託された「スターグローブ」を装備し、「レヴェヴァ」と話そう。			シャーレアンの客人を発見した。託された「スターグローブ」を装備し、「レヴェヴァ」と話そう。			天界への道							
ジャンヌキナルと話す			ジャンヌキナルと話す			天界への道							
シャーレアンの客人の情報を集める			シャーレアンの客人の情報を集める			天界への道							
ジャンヌキナルと話す			ジャンヌキナルと話す			天界への道							
アドネール占星台のジャンヌキナルと話す			アドネール占星台のジャンヌキナルと話す			天界への道							
クォーリーミルのカンプランと話す			クォーリーミルのカンプランと話す			天界への道							
蛇殻林のカンプランと話す			蛇殻林のカンプランと話す			天界への道							
ようこそ、Forenameさん。私もまた、シャーレアン式占星術の学びの途にある者……。ともに、神秘的な星の力を学んでいきましょう。			ようこそ、Forenameさん。私もまた、シャーレアン式占星術の学びの途にある者……。ともに、神秘的な星の力を学んでいきましょう。			天界への道							
占星術は、シャーレアン発祥の知識……。イシュガルドに伝わってからは、ドラゴン族の動向を予測するための技術として、発展しました。			占星術は、シャーレアン発祥の知識……。イシュガルドに伝わってからは、ドラゴン族の動向を予測するための技術として、発展しました。			天界への道							
ですから、イシュガルド式占星術を扱う者を「占星術士」……シャーレアン式占星術を扱う者を「占星術師」と呼び分けます。			ですから、イシュガルド式占星術を扱う者を「占星術士」……シャーレアン式占星術を扱う者を「占星術師」と呼び分けます。			天界への道							
今、貴方に伝えたいのは、正しい「占星術師」の知識……。天に座す星々から力を得て、癒やしや強化の魔法を紡ぎ、人々に運命を切り開く力をあたえる魔法体系です。			今、貴方に伝えたいのは、正しい「占星術師」の知識……。天に座す星々から力を得て、癒やしや強化の魔法を紡ぎ、人々に運命を切り開く力をあたえる魔法体系です。			天界への道							
それでは、「占星術師」となるための修練を始めましょうか。修練を始めてよければ、もう一度、私に声をかけてください。			それでは、「占星術師」となるための修練を始めましょうか。修練を始めてよければ、もう一度、私に声をかけてください。			天界への道							
ふむ、修練を受ける準備はよろしいようですね。それでは、「占星術師」の修練を始めましょう。			ふむ、修練を受ける準備はよろしいようですね。それでは、「占星術師」の修練を始めましょう。			天界への道							
……その昔、学術都市「シャーレアン」が、遥か西方の低地ドラヴァニアに存在していたころのこと。私は、かの地に留学し、占星術の修練に励みました。			……その昔、学術都市「シャーレアン」が、遥か西方の低地ドラヴァニアに存在していたころのこと。私は、かの地に留学し、占星術の修練に励みました。			天界への道							
我がイシュガルドにおける占星術は「学術」であり、座学と天体の観測こそが、何よりも重視されます。			我がイシュガルドにおける占星術は「学術」であり、座学と天体の観測こそが、何よりも重視されます。			天界への道							
一方、シャーレアンにおける占星術は「魔法体系」です。星々から力を引き出し、魔法を行使するため、術者としての素養が必要不可欠……。			一方、シャーレアンにおける占星術は「魔法体系」です。星々から力を引き出し、魔法を行使するため、術者としての素養が必要不可欠……。			天界への道							
したがって、シャーレアンでは占星術の学びの前に、術者としての基礎修練に時間を割くのです……。			したがって、シャーレアンでは占星術の学びの前に、術者としての基礎修練に時間を割くのです……。			天界への道							
しかし貴方は、すでに豊かな魔力を持っておられる様子。すぐにでも、初歩的な占星魔法を修得できるでしょう。ですが、問題もあるのです……。			しかし貴方は、すでに豊かな魔力を持っておられる様子。すぐにでも、初歩的な占星魔法を修得できるでしょう。ですが、問題もあるのです……。			天界への道							
……実は、北洋のシャーレアン本国より、「占星術師」の先生をお招きする予定なのですが、どうにもいらっしゃる気配がありません……。			……実は、北洋のシャーレアン本国より、「占星術師」の先生をお招きする予定なのですが、どうにもいらっしゃる気配がありません……。			天界への道							
まずは、ここ「聖ガンリオル占星院」の占星術士たちに、先生からの連絡について、話を聞いてみてください。貴方に、星の導きがあらんことを……。			まずは、ここ「聖ガンリオル占星院」の占星術士たちに、先生からの連絡について、話を聞いてみてください。貴方に、星の導きがあらんことを……。			天界への道							
星の導きがあらんことを……。			星の導きがあらんことを……。			天界への道							
……シャーレアンの「占星術師」から連絡がなかったかって？連絡は受けていないが……重要な報せなら、アドネール占星台の方にいっているかもな。			……シャーレアンの「占星術師」から連絡がなかったかって？連絡は受けていないが……重要な報せなら、アドネール占星台の方にいっているかもな。			天界への道							
この占星院は、あくまで研究の場……。アドネール占星台が、実践の場であり、事実上のイシュガルド占星術の中心地だからね。			この占星院は、あくまで研究の場……。アドネール占星台が、実践の場であり、事実上のイシュガルド占星術の中心地だからね。			天界への道							
……シャーレアンの「占星術師」から連絡がなかったかって？連絡は受けていないが……重要な報せなら、アドネール占星台の方にいっているかもな。			……シャーレアンの「占星術師」から連絡がなかったかって？連絡は受けていないが……重要な報せなら、アドネール占星台の方にいっているかもな。			天界への道							
この占星院は、あくまで研究の場……。アドネール占星台が、実践の場であり、事実上のイシュガルド占星術の中心地だからね。			この占星院は、あくまで研究の場……。アドネール占星台が、実践の場であり、事実上のイシュガルド占星術の中心地だからね。			天界への道							
……シャーレアンから招聘された「占星術師」を探してるって？そんな話は聞いてないね。もしや、ジャンヌキナルに言われたのか？			……シャーレアンから招聘された「占星術師」を探してるって？そんな話は聞いてないね。もしや、ジャンヌキナルに言われたのか？			天界への道							
向こうの占星術を広めようと躍起だが、ムダなことだよ。竜の動向を予測できない魔法なんて、意味がないからね。			向こうの占星術を広めようと躍起だが、ムダなことだよ。竜の動向を予測できない魔法なんて、意味がないからね。			天界への道							
……シャーレアンから招聘された「占星術師」を探してるって？そんな話は聞いてないね。もしや、ジャンヌキナルに言われたのか？			……シャーレアンから招聘された「占星術師」を探してるって？そんな話は聞いてないね。もしや、ジャンヌキナルに言われたのか？			天界への道							
向こうの占星術を広めようと躍起だが、ムダなことだよ。竜の動向を予測できない魔法なんて、意味がないからね。			向こうの占星術を広めようと躍起だが、ムダなことだよ。竜の動向を予測できない魔法なんて、意味がないからね。			天界への道							
……シャーレアンの「占星術師」からの連絡を待っているって？今、アドネール占星台から戻ってきたところなんだが、確かフォルルモル台長が、そんな話をしていたな……。			……シャーレアンの「占星術師」からの連絡を待っているって？今、アドネール占星台から戻ってきたところなんだが、確かフォルルモル台長が、そんな話をしていたな……。			天界への道							
何か手紙のせいで、フォルルモル台長がご立腹だったから、すぐにシャーレアン絡みだとわかったよ。			何か手紙のせいで、フォルルモル台長がご立腹だったから、すぐにシャーレアン絡みだとわかったよ。			天界への道							
……シャーレアンの「占星術師」からの連絡を待っているって？今、アドネール占星台から戻ってきたところなんだが、確かフォルルモル台長が、そんな話をしていたな……。			……シャーレアンの「占星術師」からの連絡を待っているって？今、アドネール占星台から戻ってきたところなんだが、確かフォルルモル台長が、そんな話をしていたな……。			天界への道							
何か手紙のせいで、フォルルモル台長がご立腹だったから、すぐにシャーレアン絡みだとわかったよ。			何か手紙のせいで、フォルルモル台長がご立腹だったから、すぐにシャーレアン絡みだとわかったよ。			天界への道							
……なんと、フォルルモル台長に報せが行ってしまいましたか。もっとも知られてはならない方でしたが、仕方ありません。これもまた、運命……。			……なんと、フォルルモル台長に報せが行ってしまいましたか。もっとも知られてはならない方でしたが、仕方ありません。これもまた、運命……。			天界への道							
しかし、占星術とは、運命を切り開くための力……。「アドネール占星台」に報せの内容を確認しに行きましょう。			しかし、占星術とは、運命を切り開くための力……。「アドネール占星台」に報せの内容を確認しに行きましょう。			天界への道							
Forenameさん、いらっしゃいましたね。フォルルモル台長に、お話を伺おうとしていたところです。			Forenameさん、いらっしゃいましたね。フォルルモル台長に、お話を伺おうとしていたところです。			天界への道							
お前は、いつぞやの冒険者……。異国かぶれのジャンヌキナルなどとつるんでおるのか。これだから、冒険者は信用ならんのだ。			お前は、いつぞやの冒険者……。異国かぶれのジャンヌキナルなどとつるんでおるのか。これだから、冒険者は信用ならんのだ。			天界への道							
竜の動向を予測しない星読みなど、イシュガルドには不要！皇都に生まれ、皇都に育った者ならば、当然の感覚だ。			竜の動向を予測しない星読みなど、イシュガルドには不要！皇都に生まれ、皇都に育った者ならば、当然の感覚だ。			天界への道							
星は、竜のためだけに存在しているわけではありません。その可能性を認めぬようでは、結果的に皇都の民に、不利益をもたらすのではないでしょうか？			星は、竜のためだけに存在しているわけではありません。その可能性を認めぬようでは、結果的に皇都の民に、不利益をもたらすのではないでしょうか？			天界への道							
半端者の若造が、本家筋だからといって、占星台の台長であるこの俺に、説教をするというのか？			半端者の若造が、本家筋だからといって、占星台の台長であるこの俺に、説教をするというのか？			天界への道							
滅相もありません……。ただ、皇都にとって有益な知識を、学びたいだけなのです。これは教皇庁にも認められた、個人的な研究でもあります。			滅相もありません……。ただ、皇都にとって有益な知識を、学びたいだけなのです。これは教皇庁にも認められた、個人的な研究でもあります。			天界への道							
……聞けば、「占星術師」の先生から報せがあったとか。どうか、報せの内容を教えてください。			……聞けば、「占星術師」の先生から報せがあったとか。どうか、報せの内容を教えてください。			天界への道							
フン、教皇庁のお歴々にも困ったものだ。よかろう……異国の「占星術師」のひとりやふたりで、皇都の常識が変わるはずもない……。			フン、教皇庁のお歴々にも困ったものだ。よかろう……異国の「占星術師」のひとりやふたりで、皇都の常識が変わるはずもない……。			天界への道							
報せによれば、異国の客人たちは、南部森林のクォーリーミルあたりを彷徨っているようだ。不慣れとはいえ道に迷うとは、その知識の浅さが知れるな。			報せによれば、異国の客人たちは、南部森林のクォーリーミルあたりを彷徨っているようだ。不慣れとはいえ道に迷うとは、その知識の浅さが知れるな。			天界への道							
Forenameさん。冒険者である貴方は、黒衣森の地理にも詳しいでしょう。我が従者、カンプランとともに先生を探してください。			Forenameさん。冒険者である貴方は、黒衣森の地理にも詳しいでしょう。我が従者、カンプランとともに先生を探してください。			天界への道							
ありがとうございます。では、星の導きに従って先生を見つけ出し、聖ガンリオル占星院にお連れしてくださいね。			ありがとうございます。では、星の導きに従って先生を見つけ出し、聖ガンリオル占星院にお連れしてくださいね。			天界への道							
Forename様……どうぞ、よろしくお願いいたします。まずは「クォーリーミル」から捜索を開始してみましょう。			Forename様……どうぞ、よろしくお願いいたします。まずは「クォーリーミル」から捜索を開始してみましょう。			天界への道							
……フン、何の用だ。			……フン、何の用だ。			天界への道							
Forename様、お待ちしておりました。お客人方の捜索を始める前に、お話しておきたいことがあります。……貴方様は、「占星術師」を目指されておられるとか。			Forename様、お待ちしておりました。お客人方の捜索を始める前に、お話しておきたいことがあります。……貴方様は、「占星術師」を目指されておられるとか。			天界への道							
旦那様……ジャンヌキナル様は、シャーレアン式占星術の研究に、熱を上げておいでです。しかし、それゆえに、皇都では冷遇されておられます。			旦那様……ジャンヌキナル様は、シャーレアン式占星術の研究に、熱を上げておいでです。しかし、それゆえに、皇都では冷遇されておられます。			天界への道							
かくいう自分も、旦那様への忠誠心は揺るぎませんが、シャーレアン式占星術だけは、どうにも信じられません。			かくいう自分も、旦那様への忠誠心は揺るぎませんが、シャーレアン式占星術だけは、どうにも信じられません。			天界への道							
……ですから、貴方様には、旦那様のよき理解者となっていただきたいのです。不躾な申し出、大変、失礼いたしました……。			……ですから、貴方様には、旦那様のよき理解者となっていただきたいのです。不躾な申し出、大変、失礼いたしました……。			天界への道							
さて、肝心のお客人方ですが、周辺で聞き込みをしたところ、蛇殻林に向かう、それらしき人を見た者がいるようです。自分が先行しますので、ついていらしてください。			さて、肝心のお客人方ですが、周辺で聞き込みをしたところ、蛇殻林に向かう、それらしき人を見た者がいるようです。自分が先行しますので、ついていらしてください。			天界への道							
お祖父様……。			お祖父様……。			天界への道							
Forename様！こちらが探していたお客人だそうです！突然、賊に襲われたそうで……。			Forename様！こちらが探していたお客人だそうです！突然、賊に襲われたそうで……。			天界への道							
(-人形のような少女-)お祖父様……。			(-人形のような少女-)お祖父様……。			天界への道							
おや、そこの娘……まるで、お人形だねぇ。こりゃ、高く売れそうだ！			おや、そこの娘……まるで、お人形だねぇ。こりゃ、高く売れそうだ！			天界への道							
(-年老いた占星術師-)そうか……証は、お主を選んだか……。			(-年老いた占星術師-)そうか……証は、お主を選んだか……。			天界への道							
まずは、ジジィを捕えるよ！			まずは、ジジィを捕えるよ！			天界への道							
おら、ジジィ、歩け！			おら、ジジィ、歩け！			天界への道							
ジジィを返してほしくば、娘だけがここに残りな！孫娘の身柄と交換なら、こいつを解放してやる。……ただし、妙なマネをしたら命はないぞ！			ジジィを返してほしくば、娘だけがここに残りな！孫娘の身柄と交換なら、こいつを解放してやる。……ただし、妙なマネをしたら命はないぞ！			天界への道							
(-人形のような少女-)お祖父様！？			(-人形のような少女-)お祖父様！？			天界への道							
(-人形のような少女-)このクリスタルは、お祖父様の「占星術師の証」……。なぜ、光っているのだ……？			(-人形のような少女-)このクリスタルは、お祖父様の「占星術師の証」……。なぜ、光っているのだ……？			天界への道							
(-人形のような少女-)この冒険者に反応しているのか……？なるほど……汝の資質と運命を見抜いたお祖父様が、あえて託すために「証」を残したか……。			(-人形のような少女-)この冒険者に反応しているのか……？なるほど……汝の資質と運命を見抜いたお祖父様が、あえて託すために「証」を残したか……。			天界への道							
自分が、救援を呼んできましょう！			自分が、救援を呼んできましょう！			天界への道							
(-人形のような少女-)……待て、助けはいらぬ。我らだけで、お祖父様を助け出すことができる。			(-人形のような少女-)……待て、助けはいらぬ。我らだけで、お祖父様を助け出すことができる。			天界への道							
(-人形のような少女-)Forenameと言ったな。よいか、そのソウルクリスタルを身に着けよ……！			(-人形のような少女-)Forenameと言ったな。よいか、そのソウルクリスタルを身に着けよ……！			天界への道							
(-人形のような少女-)さすれば、証に宿りし、歴代の「占星術師」たちの知が、汝の心の内に流れ込むであろう！			(-人形のような少女-)さすれば、証に宿りし、歴代の「占星術師」たちの知が、汝の心の内に流れ込むであろう！			天界への道							
(-レヴェヴァ-)なに、案じるでない。わしとて、お祖父様に手ほどきを受けた「占星術師」だ。天球儀と占星術の扱い方は、このレヴェヴァが指南してやる。			(-レヴェヴァ-)なに、案じるでない。わしとて、お祖父様に手ほどきを受けた「占星術師」だ。天球儀と占星術の扱い方は、このレヴェヴァが指南してやる。			天界への道							
(-レヴェヴァ-)新たに生まれし「占星術師」よ……。囚われの身となったお祖父様を、汝の「占星術」によって救い出すのだ！			(-レヴェヴァ-)新たに生まれし「占星術師」よ……。囚われの身となったお祖父様を、汝の「占星術」によって救い出すのだ！			天界への道							
(-レヴェヴァ-)ここで出会い、証を手にしたことはまさに運命。そこに残されたお祖父様の「天球儀」を携え、己が心の天球を巡らせ、我らの運命を切り開け！			(-レヴェヴァ-)ここで出会い、証を手にしたことはまさに運命。そこに残されたお祖父様の「天球儀」を携え、己が心の天球を巡らせ、我らの運命を切り開け！			天界への道							
新しいジョブを修得しました！受け取った武器を装備することで、ジョブチェンジができます。			新しいジョブを修得しました！受け取った武器を装備することで、ジョブチェンジができます。			天界への道							
ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			天界への道							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			天界への道							
聖ガンリオル占星院のジャンヌキナルは、冒険者に伝えたいことがあるようだ。			聖ガンリオル占星院のジャンヌキナルは、冒険者に伝えたいことがあるようだ。			叡智を守護する者							
魔物の掃討作戦にて、占星術師に参加要請があったそうだ。クルザス西部高地のヘムロックにいる「デュランデル家の騎士」と話そう。			魔物の掃討作戦にて、占星術師に参加要請があったそうだ。クルザス西部高地のヘムロックにいる「デュランデル家の騎士」と話そう。			叡智を守護する者							
デュランデル家の騎士と話した。ヘムロックの「負傷した騎兵」に、「アスペクト・ベネフィク」をしよう。			デュランデル家の騎士と話した。ヘムロックの「負傷した騎兵」に、「アスペクト・ベネフィク」をしよう。			叡智を守護する者							
負傷した騎兵を癒したが、まだ負傷者がいるようだ。ヘムロックの「負傷した騎兵」に、「アスペクト・ベネフィク」をしよう。			負傷した騎兵を癒したが、まだ負傷者がいるようだ。ヘムロックの「負傷した騎兵」に、「アスペクト・ベネフィク」をしよう。			叡智を守護する者							
負傷した騎兵を癒したが、ほかにも負傷者がいるようだ。ヘムロックの「負傷した騎兵」に、「アスペクト・ベネフィク」をしよう。			負傷した騎兵を癒したが、ほかにも負傷者がいるようだ。ヘムロックの「負傷した騎兵」に、「アスペクト・ベネフィク」をしよう。			叡智を守護する者							
負傷した騎兵を癒したところ、レヴェヴァに身の危険が及んでいることがわかった。ヘムロックの「レヴェヴァ」と「ジャンヌキナル」を探し、ふたりを救助しよう。			負傷した騎兵を癒したところ、レヴェヴァに身の危険が及んでいることがわかった。ヘムロックの「レヴェヴァ」と「ジャンヌキナル」を探し、ふたりを救助しよう。			叡智を守護する者							
レヴェヴァとジャンヌキナルを救助した。しかし、シャーレアンの占星術師セヴェスターに「ルフィンの日記」が奪われた。ヘムロックの「ジャンヌキナル」と話そう。			レヴェヴァとジャンヌキナルを救助した。しかし、シャーレアンの占星術師セヴェスターに「ルフィンの日記」が奪われた。ヘムロックの「ジャンヌキナル」と話そう。			叡智を守護する者							
ジャンヌキナルと話した。ルフィンの日記を奪ったセヴェスターが、レヴェヴァを狙う勢力の黒幕だった。ヘムロックの「デュランデル家の騎士」に報告しよう。			ジャンヌキナルと話した。ルフィンの日記を奪ったセヴェスターが、レヴェヴァを狙う勢力の黒幕だった。ヘムロックの「デュランデル家の騎士」に報告しよう。			叡智を守護する者							
デュランデル家の騎士に報告した。聖ガンリオル占星院にいる「ジャンヌキナル」と話そう。			デュランデル家の騎士に報告した。聖ガンリオル占星院にいる「ジャンヌキナル」と話そう。			叡智を守護する者							
ジャンヌキナルと話した。レヴェヴァたちは、セヴェスターから「ルフィンの日記」を取り戻すという。高度な占星魔法を扱うセヴェスターに対抗できるよう、占星魔法の修練に励もう。※占星術師のレベルが60以上になると、聖ガンリオル占星院のジャンヌキナルから次の占星術師クエストを受注することができます。			ジャンヌキナルと話した。レヴェヴァたちは、セヴェスターから「ルフィンの日記」を取り戻すという。高度な占星魔法を扱うセヴェスターに対抗できるよう、占星魔法の修練に励もう。※占星術師のレベルが60以上になると、聖ガンリオル占星院のジャンヌキナルから次の占星術師クエストを受注することができます。			叡智を守護する者							
ヘムロックのデュランデル家の騎士と話す			ヘムロックのデュランデル家の騎士と話す			叡智を守護する者							
負傷した騎兵にアスペクト・ベネフィクをする			負傷した騎兵にアスペクト・ベネフィクをする			叡智を守護する者							
再び負傷した騎兵にアスペクト・ベネフィクをする			再び負傷した騎兵にアスペクト・ベネフィクをする			叡智を守護する者							
さらに負傷した騎兵にアスペクト・ベネフィクをする			さらに負傷した騎兵にアスペクト・ベネフィクをする			叡智を守護する者							
レヴェヴァとジャンヌキナルを見つけ救助する			レヴェヴァとジャンヌキナルを見つけ救助する			叡智を守護する者							
ヘムロックのジャンヌキナルと話す			ヘムロックのジャンヌキナルと話す			叡智を守護する者							
デュランデル家の騎士に報告			デュランデル家の騎士に報告			叡智を守護する者							
聖ガンリオル占星院のジャンヌキナルと話す			聖ガンリオル占星院のジャンヌキナルと話す			叡智を守護する者							
ごきげんよう、Forenameさん。レヴェヴァ師の治療活動の甲斐あって、占星魔法の噂は、皇都でも徐々に広まりつつあるようです。			ごきげんよう、Forenameさん。レヴェヴァ師の治療活動の甲斐あって、占星魔法の噂は、皇都でも徐々に広まりつつあるようです。			叡智を守護する者							
その証として、ひとつの依頼が舞い込みました。ある作戦に、癒し手として参加してほしいと要請がきたのです！			その証として、ひとつの依頼が舞い込みました。ある作戦に、癒し手として参加してほしいと要請がきたのです！			叡智を守護する者							
クルザス西部高地の廃村「ヘムロック」を、再建する計画の一環として、魔物を掃討する作戦です。			クルザス西部高地の廃村「ヘムロック」を、再建する計画の一環として、魔物を掃討する作戦です。			叡智を守護する者							
作戦を主導するのは、デュランデル家の騎兵団。厳しい戦いが予想されますが、ここでの活躍は、「占星術師」の名を高める好機になるでしょう。			作戦を主導するのは、デュランデル家の騎兵団。厳しい戦いが予想されますが、ここでの活躍は、「占星術師」の名を高める好機になるでしょう。			叡智を守護する者							
レヴェヴァ師とカンプランは、すでに現地入りしています。貴方もクルザス西部高地の「ヘムロック」に向かい、「デュランデル家の騎士」と合流してください。			レヴェヴァ師とカンプランは、すでに現地入りしています。貴方もクルザス西部高地の「ヘムロック」に向かい、「デュランデル家の騎士」と合流してください。			叡智を守護する者							
貴方も、クルザス西部高地の「ヘムロック」に向かい、「デュランデル家の騎士」と合流してください。			貴方も、クルザス西部高地の「ヘムロック」に向かい、「デュランデル家の騎士」と合流してください。			叡智を守護する者							
掃討作戦に参加する癒し手だな？それでは、門を開こう。			掃討作戦に参加する癒し手だな？それでは、門を開こう。			叡智を守護する者							
「ヘムロック」に移動しますか？			「ヘムロック」に移動しますか？			叡智を守護する者							
はい			はい			叡智を守護する者							
いいえ			いいえ			叡智を守護する者							
やはり、騎兵団は苦戦を強いられているようです。			やはり、騎兵団は苦戦を強いられているようです。			叡智を守護する者							
負傷者が多い、急ぎ癒さねば……。			負傷者が多い、急ぎ癒さねば……。			叡智を守護する者							
自分は騎兵団とともに、魔物の掃討にあたります。			自分は騎兵団とともに、魔物の掃討にあたります。			叡智を守護する者							
