解放軍の将校は、冒険者を待っていたようだ。			解放軍の将校は、冒険者を待っていたようだ。			ウェポン襲来							
シドの誘導に従い、ターンクリフの魔導兵器格納庫に進入した。ターンクリフの「ガイウス」と話そう。			シドの誘導に従い、ターンクリフの魔導兵器格納庫に進入した。ターンクリフの「ガイウス」と話そう。			飛べ！ ウェルリトへ 							
ガイウスと話した。サファイアウェポンを通して視た過去で、ガイウスを義父上と呼ぶ孤児、リコンが、レックスの代わりに出撃した経緯を知った。シドによれば、サファイアウェポンの操縦者は、ルビーウェポンと同様、コアと一体化してしまっていたようだ。ターンクリフのヴァルドランと話そう。			ガイウスと話した。サファイアウェポンを通して視た過去で、ガイウスを義父上と呼ぶ孤児、リコンが、レックスの代わりに出撃した経緯を知った。シドによれば、サファイアウェポンの操縦者は、ルビーウェポンと同様、コアと一体化してしまっていたようだ。ターンクリフのヴァルドランと話そう。			飛べ！ ウェルリトへ 							
ヴァルドランと話して、ガイウスとの過去の因縁について聞いた。ターンクリフの「セウェラ」と話そう。			ヴァルドランと話して、ガイウスとの過去の因縁について聞いた。ターンクリフの「セウェラ」と話そう。			飛べ！ ウェルリトへ 							
セウェラと話した。疑似聖石システムの「オーバーソウルモード」が起動してしまうと、ウェポンの操縦者の命は助からない。その事実を知ったガイウスは、なぜ、アルフォンスはそのことをわかっていて、兄妹たちをウェポンに乗せるのだと憤る。今後、ヴァルドランとガイウスは、生き残ったレックスが持ち出したウェポンの行方を追うようだ。ポルタ・プレトリアの「解放軍の将校」と話そう。			セウェラと話した。疑似聖石システムの「オーバーソウルモード」が起動してしまうと、ウェポンの操縦者の命は助からない。その事実を知ったガイウスは、なぜ、アルフォンスはそのことをわかっていて、兄妹たちをウェポンに乗せるのだと憤る。今後、ヴァルドランとガイウスは、生き残ったレックスが持ち出したウェポンの行方を追うようだ。ポルタ・プレトリアの「解放軍の将校」と話そう。			飛べ！ ウェルリトへ 							
解放軍の将校と話した。冒険者が伝えた内容は、報告書にまとめられて、エオルゼア同盟軍に提出されるようだ。興味があったら、報告書を覗き見てみるといいだろう。			解放軍の将校と話した。冒険者が伝えた内容は、報告書にまとめられて、エオルゼア同盟軍に提出されるようだ。興味があったら、報告書を覗き見てみるといいだろう。			飛べ！ ウェルリトへ 							
アラミゴ解放軍の上級闘士と話す			アラミゴ解放軍の上級闘士と話す			飛べ！ ウェルリトへ 							
セウェラと話す			セウェラと話す			飛べ！ ウェルリトへ 							
ガイウスと話す			ガイウスと話す			飛べ！ ウェルリトへ 							
ガイウスと再度話す			ガイウスと再度話す			飛べ！ ウェルリトへ 							
ガイウスとさらに話す			ガイウスとさらに話す			飛べ！ ウェルリトへ 							
ガイウスと話す			ガイウスと話す			飛べ！ ウェルリトへ 							
ヴァルドランと話す			ヴァルドランと話す			飛べ！ ウェルリトへ 							
セウェラと話す			セウェラと話す			飛べ！ ウェルリトへ 							
ポルタ・プレトリアの解放軍の将校と話す			ポルタ・プレトリアの解放軍の将校と話す			飛べ！ ウェルリトへ 							
これはこれは、Forename殿！			これはこれは、Forename殿！			飛べ！ ウェルリトへ 							
ガイウス・バエサルの配下の者より、あなたに言伝を預かっております！なんでも、急ぎ伝えたいことがあるとのこと。			ガイウス・バエサルの配下の者より、あなたに言伝を預かっております！なんでも、急ぎ伝えたいことがあるとのこと。			飛べ！ ウェルリトへ 							
よろしければ、「アラミゴ解放軍の上級闘士」に声をかけ、彼らが待つエオルゼア同盟軍本陣に向かってください。			よろしければ、「アラミゴ解放軍の上級闘士」に声をかけ、彼らが待つエオルゼア同盟軍本陣に向かってください。			飛べ！ ウェルリトへ 							
話は聞いております。「エオルゼア同盟軍本陣」への案内は、私にお任せください！			話は聞いております。「エオルゼア同盟軍本陣」への案内は、私にお任せください！			飛べ！ ウェルリトへ 							
「エオルゼア同盟軍本陣」へ向かいますか？			「エオルゼア同盟軍本陣」へ向かいますか？			飛べ！ ウェルリトへ 							
「アラミゴ解放軍の上級闘士」と話して、エオルゼア同盟軍本陣へと向かわれるのがよろしいでしょう！			「アラミゴ解放軍の上級闘士」と話して、エオルゼア同盟軍本陣へと向かわれるのがよろしいでしょう！			飛べ！ ウェルリトへ 							
来てくれたか、Forename。			来てくれたか、Forename。			飛べ！ ウェルリトへ 							
つい先ほど、ガーロンド・アイアンワークスによる、ルビーウェポンの解析が終わったらしくてね。			つい先ほど、ガーロンド・アイアンワークスによる、ルビーウェポンの解析が終わったらしくてね。			飛べ！ ウェルリトへ 							
これからシド殿を呼んで、話を聞くところだったんだ。君も同席するだろう？			これからシド殿を呼んで、話を聞くところだったんだ。君も同席するだろう？			飛べ！ ウェルリトへ 							
では少しの間、ここで待っていてくれ。			では少しの間、ここで待っていてくれ。			飛べ！ ウェルリトへ 							
よう、お前も来てたんなら話が早いな。すでにガイウスには話したんだが、ルビーウェポンを解析してわかったことを伝えたい。			よう、お前も来てたんなら話が早いな。すでにガイウスには話したんだが、ルビーウェポンを解析してわかったことを伝えたい。			飛べ！ ウェルリトへ 							
やはり、オレの見立てのとおり、あの機体には、操縦者に他者の経験や技術といった、「戦闘データ」を上書きするシステムが搭載されていた。			やはり、オレの見立てのとおり、あの機体には、操縦者に他者の経験や技術といった、「戦闘データ」を上書きするシステムが搭載されていた。			飛べ！ ウェルリトへ 							
戦闘データを移植すれば、どんな素人でも、達人のように戦うことができる、と……。ガイウス様も仰っていましたが、そんなことが可能なのですか？			戦闘データを移植すれば、どんな素人でも、達人のように戦うことができる、と……。ガイウス様も仰っていましたが、そんなことが可能なのですか？			飛べ！ ウェルリトへ 							
コクピットのモニターがまだ生きていたんでな、強制起動をかけたところ、ある文字が浮かび上がったんだ。「疑似聖石システム」……とな。			コクピットのモニターがまだ生きていたんでな、強制起動をかけたところ、ある文字が浮かび上がったんだ。「疑似聖石システム」……とな。			飛べ！ ウェルリトへ 							
「疑似聖石」……？			「疑似聖石」……？			飛べ！ ウェルリトへ 							
アルテマウェポンは、アシエンが黒聖石サビクと呼ぶ、未知の物質をコアとして使っていた。			アルテマウェポンは、アシエンが黒聖石サビクと呼ぶ、未知の物質をコアとして使っていた。			飛べ！ ウェルリトへ 							
そしてオレは、別の場所でも聖石と呼ばれる物を見たことがある。黒聖石サビクにも引けを取らないほど、強い力を持つ物質だった。			そしてオレは、別の場所でも聖石と呼ばれる物を見たことがある。黒聖石サビクにも引けを取らないほど、強い力を持つ物質だった。			飛べ！ ウェルリトへ 							
疑似聖石と言うからには、あの機体には、聖石と名のつく物質を模した何かが、搭載されている可能性が高い。あくまで、推測に過ぎないがな……。			疑似聖石と言うからには、あの機体には、聖石と名のつく物質を模した何かが、搭載されている可能性が高い。あくまで、推測に過ぎないがな……。			飛べ！ ウェルリトへ 							
疑似聖石システムとやらのおかげで、操縦者がネールのようにふるまったというのは、わかりました。ですが、第七霊災時に戦死したネールのデータを、どうやって？			疑似聖石システムとやらのおかげで、操縦者がネールのようにふるまったというのは、わかりました。ですが、第七霊災時に戦死したネールのデータを、どうやって？			飛べ！ ウェルリトへ 							
ガイウスによれば、帝国軍の将校が身につけている、最新式の魔導甲冑には、胸元にある装置が内蔵されているそうだ。			ガイウスによれば、帝国軍の将校が身につけている、最新式の魔導甲冑には、胸元にある装置が内蔵されているそうだ。			飛べ！ ウェルリトへ 							
エオルゼアでは、古くより戦技や魔法の知識を継承するために、「ソウルクリスタル」という道具を使ってきたんだが……それの帝国版といったところだな。			エオルゼアでは、古くより戦技や魔法の知識を継承するために、「ソウルクリスタル」という道具を使ってきたんだが……それの帝国版といったところだな。			飛べ！ ウェルリトへ 							
そんな噂を聞いたことはありましたが……帝国兵たちは、効果なんて信じていませんでしたよ。蛮族のまじない道具だと、馬鹿にしていたくらいです。			そんな噂を聞いたことはありましたが……帝国兵たちは、効果なんて信じていませんでしたよ。蛮族のまじない道具だと、馬鹿にしていたくらいです。			飛べ！ ウェルリトへ 							
まじない道具か……言い得て妙だな。実際問題として半ば失敗しかけていたんだ。			まじない道具か……言い得て妙だな。実際問題として半ば失敗しかけていたんだ。			飛べ！ ウェルリトへ 							
いや、言い方を変えよう。おそらく、魔導甲冑の装置には、戦闘に関する記憶のエーテルが、しっかりと蓄積されていたはずなんだ。			いや、言い方を変えよう。おそらく、魔導甲冑の装置には、戦闘に関する記憶のエーテルが、しっかりと蓄積されていたはずなんだ。			飛べ！ ウェルリトへ 							
だが、エーテル学に関しては遅れている帝国がやることだ。抽出したエーテルに混入した、ネールの怨念に気づかず、すべてを操縦者に上書きしてしまった……。			だが、エーテル学に関しては遅れている帝国がやることだ。抽出したエーテルに混入した、ネールの怨念に気づかず、すべてを操縦者に上書きしてしまった……。			飛べ！ ウェルリトへ 							
それが、ルビーウェポンのコアと融合して増幅された結果、操縦者が怨念の怪物へと変じてしまったというのが、オレの推測だ。			それが、ルビーウェポンのコアと融合して増幅された結果、操縦者が怨念の怪物へと変じてしまったというのが、オレの推測だ。			飛べ！ ウェルリトへ 							
では、操縦者が死亡したのは、システムの不具合だったのですか？			では、操縦者が死亡したのは、システムの不具合だったのですか？			飛べ！ ウェルリトへ 							
これまでの情報から考えると、ルビーウェポンの操縦者が、肉体ごとコアに取り込まれたのは、システムの暴走としか思えない。……しかし、果たして、本当にそうなのか……？			これまでの情報から考えると、ルビーウェポンの操縦者が、肉体ごとコアに取り込まれたのは、システムの暴走としか思えない。……しかし、果たして、本当にそうなのか……？			飛べ！ ウェルリトへ 							
おっと、ちょうどいいところに戻ってきたな。こうしてオレたちだけで考えていても仕方がない。続きは「ガイウス」たちも交えて話し合おう。			おっと、ちょうどいいところに戻ってきたな。こうしてオレたちだけで考えていても仕方がない。続きは「ガイウス」たちも交えて話し合おう。			飛べ！ ウェルリトへ 							
「エオルゼア同盟軍本陣」への案内は、私にお任せください！			「エオルゼア同盟軍本陣」への案内は、私にお任せください！			飛べ！ ウェルリトへ 							
「エオルゼア同盟軍本陣」へ向かいますか？			「エオルゼア同盟軍本陣」へ向かいますか？			飛べ！ ウェルリトへ 							
よいところに来た。同志ヴァルドランが、有力な情報を持ち帰ったのだ。			よいところに来た。同志ヴァルドランが、有力な情報を持ち帰ったのだ。			飛べ！ ウェルリトへ 							
ルビーウェポンの侵攻ルートを遡ってみた結果、「ウェルリト」と呼ばれる属州から出撃したことが判明しました。どうやら、そこがウェポンの開発拠点のようです。			ルビーウェポンの侵攻ルートを遡ってみた結果、「ウェルリト」と呼ばれる属州から出撃したことが判明しました。どうやら、そこがウェポンの開発拠点のようです。			飛べ！ ウェルリトへ 							
何と言う？			何と言う？			飛べ！ ウェルリトへ 							
ウェルリトとは？			ウェルリトとは？			飛べ！ ウェルリトへ 							
聞いたことがない地名だ			聞いたことがない地名だ			飛べ！ ウェルリトへ 							
ここギムリトを挟んで、西にあるのがアラミゴだとすると、その反対の東側に接するのがウェルリトだ。とっくの昔に、帝国の属州にされてしまった、哀れな都市だがな。			ここギムリトを挟んで、西にあるのがアラミゴだとすると、その反対の東側に接するのがウェルリトだ。とっくの昔に、帝国の属州にされてしまった、哀れな都市だがな。			飛べ！ ウェルリトへ 							
そのとおりです。ずいぶん詳しいようですね。			そのとおりです。ずいぶん詳しいようですね。			飛べ！ ウェルリトへ 							
別に……。			別に……。			飛べ！ ウェルリトへ 							
ウェルリトは、アルフォンスら……ルビーウェポンとの戦いの後に、我らの前に現れた、あの青年たちの故郷でもある。			ウェルリトは、アルフォンスら……ルビーウェポンとの戦いの後に、我らの前に現れた、あの青年たちの故郷でもある。			飛べ！ ウェルリトへ 							
どうやら、あやつらがウェポンの開発に、深く関与しているらしいな。			どうやら、あやつらがウェポンの開発に、深く関与しているらしいな。			飛べ！ ウェルリトへ 							
ウェルリト辺境のターンクリフという街に、飛空戦艦用の補給整備基地があるのですが……そこに先日、「ウェポン」らしき兵器が運び込まれたようです。			ウェルリト辺境のターンクリフという街に、飛空戦艦用の補給整備基地があるのですが……そこに先日、「ウェポン」らしき兵器が運び込まれたようです。			飛べ！ ウェルリトへ 							
ターンクリフといえば沿岸部だったな。急ぎ攻め込み、アルフォンスらを保護せねばならぬが……ここからでは、いかんせん距離がある。			ターンクリフといえば沿岸部だったな。急ぎ攻め込み、アルフォンスらを保護せねばならぬが……ここからでは、いかんせん距離がある。			飛べ！ ウェルリトへ 							
エオルゼア同盟軍に協力を要請すれば、船を用意してくれようが、海から攻めるとなると……			エオルゼア同盟軍に協力を要請すれば、船を用意してくれようが、海から攻めるとなると……			飛べ！ ウェルリトへ 							
オレのエンタープライズを出そう。実は、ウェポンに対抗するための秘策を用意していてな、そいつを運ぶために、この辺りまでやってきているんだ。			オレのエンタープライズを出そう。実は、ウェポンに対抗するための秘策を用意していてな、そいつを運ぶために、この辺りまでやってきているんだ。			飛べ！ ウェルリトへ 							
秘策だと？そのような話は聞いていないが……。			秘策だと？そのような話は聞いていないが……。			飛べ！ ウェルリトへ 							
秘密だから秘策なんだろうが。			秘密だから秘策なんだろうが。			飛べ！ ウェルリトへ 							
ちょうどいい。敵地に攻め込む前に、お前に使い方を教えておかないとな。			ちょうどいい。敵地に攻め込む前に、お前に使い方を教えておかないとな。			飛べ！ ウェルリトへ 							
ここまで運ぶよう手配するから、少し待っていてくれ。			ここまで運ぶよう手配するから、少し待っていてくれ。			飛べ！ ウェルリトへ 							
「ガイウス」様から話を聞こう。			「ガイウス」様から話を聞こう。			飛べ！ ウェルリトへ 							
斥候から戻ったばかりで、ひどく疲れていますが……そんなことを言ってられる状況でもないのです。			斥候から戻ったばかりで、ひどく疲れていますが……そんなことを言ってられる状況でもないのです。			飛べ！ ウェルリトへ 							
ルビーウェポンの操縦者が、肉体ごとコアに取り込まれたのは、本当にシステムの暴走だったのか……？			ルビーウェポンの操縦者が、肉体ごとコアに取り込まれたのは、本当にシステムの暴走だったのか……？			飛べ！ ウェルリトへ 							
あやつ、いったい何をするつもりだ……？			あやつ、いったい何をするつもりだ……？			飛べ！ ウェルリトへ 							
どうだ、Forename？こいつが、お前のために用意した秘策……			どうだ、Forename？こいつが、お前のために用意した秘策……			飛べ！ ウェルリトへ 							
ガーロンド・アイアンワークスによる、アルテマウォリアーのカスタムモデル……！略して「Gウォリアー」だッ！			ガーロンド・アイアンワークスによる、アルテマウォリアーのカスタムモデル……！略して「Gウォリアー」だッ！			飛べ！ ウェルリトへ 							
これはアラグの……いずこかの遺跡より発掘したということか……？			これはアラグの……いずこかの遺跡より発掘したということか……？			飛べ！ ウェルリトへ 							
ああ、ウチの連中が魔大陸を調査した際に発見したものだ。こんなこともあろうかと、改修しておいたのさ。			ああ、ウチの連中が魔大陸を調査した際に発見したものだ。こんなこともあろうかと、改修しておいたのさ。			飛べ！ ウェルリトへ 							
この機体ならば、ターンクリフの基地を電撃的に叩けるか……。			この機体ならば、ターンクリフの基地を電撃的に叩けるか……。			飛べ！ ウェルリトへ 							
Forename、準備はいいか？まずは、シミュレーターを使って、操縦方法を覚えてもらうぞ。			Forename、準備はいいか？まずは、シミュレーターを使って、操縦方法を覚えてもらうぞ。			飛べ！ ウェルリトへ 							
シド殿の用意した秘策とやらが気になるな。			シド殿の用意した秘策とやらが気になるな。			飛べ！ ウェルリトへ 							
ターンクリフには、ギムリトから敗走してきた帝国兵たちもいます。攻め込むのは、容易ではないでしょう。			ターンクリフには、ギムリトから敗走してきた帝国兵たちもいます。攻め込むのは、容易ではないでしょう。			飛べ！ ウェルリトへ 							
操縦方法は身についたか？			操縦方法は身についたか？			飛べ！ ウェルリトへ 							
何と言う？			何と言う？			飛べ！ ウェルリトへ 							
問題ない			問題ない			飛べ！ ウェルリトへ 							
もっと練習したい			もっと練習したい			飛べ！ ウェルリトへ 							
よし。ならば向かうぞ、ターンクリフへ！			よし。ならば向かうぞ、ターンクリフへ！			飛べ！ ウェルリトへ 							
では、「ガーロンド社の整備員」に声をかけ、シミュレーターにて、操縦技術を磨くがよい。			では、「ガーロンド社の整備員」に声をかけ、シミュレーターにて、操縦技術を磨くがよい。			飛べ！ ウェルリトへ 							
迎撃に出てきたか……。新型の「ウェポン」のようだが、あれには、いったい誰が……？			迎撃に出てきたか……。新型の「ウェポン」のようだが、あれには、いったい誰が……？			飛べ！ ウェルリトへ 							
降下後、すぐに戦闘になるぞ！準備はいいか、Forename！？			降下後、すぐに戦闘になるぞ！準備はいいか、Forename！？			飛べ！ ウェルリトへ 							
音声でシステムを起動せよ！			音声でシステムを起動せよ！			飛べ！ ウェルリトへ 							
システム起動！			システム起動！			飛べ！ ウェルリトへ 							
アイ・ハブ・コントロール！			アイ・ハブ・コントロール！			飛べ！ ウェルリトへ 							
動け、Gウォリアー！			動け、Gウォリアー！			飛べ！ ウェルリトへ 							
さあ、出撃の合図をくれ！			さあ、出撃の合図をくれ！			飛べ！ ウェルリトへ 							
出撃を宣言せよ！			出撃を宣言せよ！			飛べ！ ウェルリトへ 							
Forename、行きます！			Forename、行きます！			飛べ！ ウェルリトへ 							
上手くやれるかわからないけど……			上手くやれるかわからないけど……			飛べ！ ウェルリトへ 							
Gウォリアーで行く！			Gウォリアーで行く！			飛べ！ ウェルリトへ 							
よし、ぶちかましてこい！			よし、ぶちかましてこい！			飛べ！ ウェルリトへ 							
シミュレーターで掴んだ感覚を思い出せ！お前ならやれる！			シミュレーターで掴んだ感覚を思い出せ！お前ならやれる！			飛べ！ ウェルリトへ 							
こっちはいつでもいいぞ！			こっちはいつでもいいぞ！			飛べ！ ウェルリトへ 							
(-サファイアウェポンの操縦者の声-)僕たちが勝つためには……こうするしかないんだ！			(-サファイアウェポンの操縦者の声-)僕たちが勝つためには……こうするしかないんだ！			飛べ！ ウェルリトへ 							
(-サファイアウェポンの操縦者の声-)疑似聖石システム！　オーバーソウルモードで起動！			(-サファイアウェポンの操縦者の声-)疑似聖石システム！　オーバーソウルモードで起動！			飛べ！ ウェルリトへ 							
(-疑似聖石システム-)戦闘データ、コード「レグラ・ヴァン・ヒュドルス」……スタンバイ。生体コアの「上書き」を開始します。			(-疑似聖石システム-)戦闘データ、コード「レグラ・ヴァン・ヒュドルス」……スタンバイ。生体コアの「上書き」を開始します。			飛べ！ ウェルリトへ 							
う  うわあぁぁぁぁぁぁぁぁぁぁぁぁぁぁ！！僕が  消えていく――！！			う  うわあぁぁぁぁぁぁぁぁぁぁぁぁぁぁ！！僕が  消えていく――！！			飛べ！ ウェルリトへ 							
上空から戦闘指示を送る。状況開始だ、英雄よ……！			上空から戦闘指示を送る。状況開始だ、英雄よ……！			飛べ！ ウェルリトへ 							
こ、これが……シド殿の秘策……。			こ、これが……シド殿の秘策……。			飛べ！ ウェルリトへ 							
いきなりあれに乗れとは、無茶を押しつけられたものですね。			いきなりあれに乗れとは、無茶を押しつけられたものですね。			飛べ！ ウェルリトへ 							
シミュレーターで、「Gウォリアー」の操縦方法を再確認しますか？			シミュレーターで、「Gウォリアー」の操縦方法を再確認しますか？			飛べ！ ウェルリトへ 							
「Gウォリアー」のシミュレーターをプレイする？			「Gウォリアー」のシミュレーターをプレイする？			飛べ！ ウェルリトへ 							
了解しました！では、準備しますのでお待ちください！			了解しました！では、準備しますのでお待ちください！			飛べ！ ウェルリトへ 							
Gウォリアーの動かし方がわからなくなったら、また声をかけてください！			Gウォリアーの動かし方がわからなくなったら、また声をかけてください！			飛べ！ ウェルリトへ 							
サファイアウェポンの撃破、ご苦労だった。			サファイアウェポンの撃破、ご苦労だった。			飛べ！ ウェルリトへ 							
何と言う？			何と言う？			飛べ！ ウェルリトへ 							
終わった……！			終わった……！			飛べ！ ウェルリトへ 							
任務、完了……			任務、完了……			飛べ！ ウェルリトへ 							
これより、ターンクリフ市街へ上陸する。あの街で何が起こっているのか……此度の操縦者が誰であったのか、調べねばならぬ。			これより、ターンクリフ市街へ上陸する。あの街で何が起こっているのか……此度の操縦者が誰であったのか、調べねばならぬ。			飛べ！ ウェルリトへ 							
ウェルリト郊外の街、ターンクリフまでお送りいたします！			ウェルリト郊外の街、ターンクリフまでお送りいたします！			飛べ！ ウェルリトへ 							
「ターンクリフ」へ移動しますか？			「ターンクリフ」へ移動しますか？			飛べ！ ウェルリトへ 							
ウェルリト郊外の街、ターンクリフまでお送りいたします！			ウェルリト郊外の街、ターンクリフまでお送りいたします！			飛べ！ ウェルリトへ 							
「ターンクリフ」へ移動しますか？			「ターンクリフ」へ移動しますか？			飛べ！ ウェルリトへ 							
見事な戦いぶりであった。Gウォリアーに乗った、初めての戦闘で、あれだけ動かしてみせるとはな。			見事な戦いぶりであった。Gウォリアーに乗った、初めての戦闘で、あれだけ動かしてみせるとはな。			飛べ！ ウェルリトへ 							
すでに、シドが敵機の解析を始めているようだ。遠巻きに様子を確認するとしよう。			すでに、シドが敵機の解析を始めているようだ。遠巻きに様子を確認するとしよう。			飛べ！ ウェルリトへ 							
へへ……流石は義父上(ちちうえ)とエオルゼアの英雄だ。こんなに早くこの拠点を見つけて、電撃的に侵攻してくるなんてな。こうなったら、サファイアウェポンで迎え撃つしかない……か。			へへ……流石は義父上(ちちうえ)とエオルゼアの英雄だ。こんなに早くこの拠点を見つけて、電撃的に侵攻してくるなんてな。こうなったら、サファイアウェポンで迎え撃つしかない……か。			飛べ！ ウェルリトへ 							
と、言っても……調整不足のサファイアウェポンじゃ、せいぜい時間稼ぎがいいとこだろうが……。			と、言っても……調整不足のサファイアウェポンじゃ、せいぜい時間稼ぎがいいとこだろうが……。			飛べ！ ウェルリトへ 							
ここがオレの死に場所か……。案外、早かったな……。			ここがオレの死に場所か……。案外、早かったな……。			飛べ！ ウェルリトへ 							
(-？？？？-)待つんだ、レックス。			(-？？？？-)待つんだ、レックス。			飛べ！ ウェルリトへ 							
リコン！？こんなところで何をしてやがるッ！お前には、残りの「ウェポン」を持ち出せと命じたはずだッ！！			リコン！？こんなところで何をしてやがるッ！お前には、残りの「ウェポン」を持ち出せと命じたはずだッ！！			飛べ！ ウェルリトへ 							
その役目は君に任せるよ、レックス。サファイアウェポンには僕が乗る。			その役目は君に任せるよ、レックス。サファイアウェポンには僕が乗る。			飛べ！ ウェルリトへ 							
何を言ってやがる！こいつのパイロットに選ばれたのはオレだ！お前は戦わなくていいんだ！			何を言ってやがる！こいつのパイロットに選ばれたのはオレだ！お前は戦わなくていいんだ！			飛べ！ ウェルリトへ 							
それに……こいつはまだ調整が終わっていないんだ。戦うどころか、満足に動かすことすら……。			それに……こいつはまだ調整が終わっていないんだ。戦うどころか、満足に動かすことすら……。			飛べ！ ウェルリトへ 							
その心配はいらないよ。疑似聖石システムを、オーバーソウルモードで運用するからね。			その心配はいらないよ。疑似聖石システムを、オーバーソウルモードで運用するからね。			飛べ！ ウェルリトへ 							
お前……それがどういう意味かわかって言ってんのか？ミリサンディアの最期を知らないわけじゃないだろ！			お前……それがどういう意味かわかって言ってんのか？ミリサンディアの最期を知らないわけじゃないだろ！			飛べ！ ウェルリトへ 							
もちろん……いくら死を覚悟していたとは言っても、ミリサンディアだって、あんな死に方は……。			もちろん……いくら死を覚悟していたとは言っても、ミリサンディアだって、あんな死に方は……。			飛べ！ ウェルリトへ 							
でも、彼女が命がけで手に入れた情報のおかげで、システムは改良され、完成度は一段階上がっている。			でも、彼女が命がけで手に入れた情報のおかげで、システムは改良され、完成度は一段階上がっている。			飛べ！ ウェルリトへ 							
そういう問題じゃない！オーバーソウルモードを起動すれば、コアに侵食されて、操縦者の死は確実だってことが言いたいんだ！			そういう問題じゃない！オーバーソウルモードを起動すれば、コアに侵食されて、操縦者の死は確実だってことが言いたいんだ！			飛べ！ ウェルリトへ 							
だからこそだよ、レックス。今、君みたいに優秀なパイロットを失えば、アルフォンスの計画に支障が出てしまう。			だからこそだよ、レックス。今、君みたいに優秀なパイロットを失えば、アルフォンスの計画に支障が出てしまう。			飛べ！ ウェルリトへ 							
兄妹の中で、パイロット適性が低いのは僕だけだ。……ここで犠牲になるべきは、僕なんだよ。			兄妹の中で、パイロット適性が低いのは僕だけだ。……ここで犠牲になるべきは、僕なんだよ。			飛べ！ ウェルリトへ 							
それは違うッ！			それは違うッ！			飛べ！ ウェルリトへ 							
……義父上に引き取られてから、僕たちは兄妹として暮らしてきた。でも、戦いが苦手な僕は、君たちに守ってもらってばかりで、何の力にもなれなかった。			……義父上に引き取られてから、僕たちは兄妹として暮らしてきた。でも、戦いが苦手な僕は、君たちに守ってもらってばかりで、何の力にもなれなかった。			飛べ！ ウェルリトへ 							
今、サファイアウェポンに乗ることが、君たちのために僕ができる、たったひとつの戦いなんだ。			今、サファイアウェポンに乗ることが、君たちのために僕ができる、たったひとつの戦いなんだ。			飛べ！ ウェルリトへ 							
君は、開発途中の「ウェポン」とともにターンクリフを脱出して、何としても「あの機体」を完成させてくれ。			君は、開発途中の「ウェポン」とともにターンクリフを脱出して、何としても「あの機体」を完成させてくれ。			飛べ！ ウェルリトへ 							
それが、僕たち義姉弟の……ミリサンディアと、僕の願いだ……。			それが、僕たち義姉弟の……ミリサンディアと、僕の願いだ……。			飛べ！ ウェルリトへ 							
……リコン、お前の決意はよくわかったぜ。必ず「ウェポン」を完成させてみせる。			……リコン、お前の決意はよくわかったぜ。必ず「ウェポン」を完成させてみせる。			飛べ！ ウェルリトへ 							
だからよ……先に行って待っていてくれよな！向こうの世界でまた会おうぜ……兄弟ッ！			だからよ……先に行って待っていてくれよな！向こうの世界でまた会おうぜ……兄弟ッ！			飛べ！ ウェルリトへ 							
ありがとう、レックス。君たちの弟として過ごした日々は、本当に満たされていた。僕の人生は……とても幸せだったよ。			ありがとう、レックス。君たちの弟として過ごした日々は、本当に満たされていた。僕の人生は……とても幸せだったよ。			飛べ！ ウェルリトへ 							
さあ、行こう、サファイアウェポン。デキの悪い僕たちにも、やれることはあるはずさ！どうせなら、義父上の鼻を明かしてやろう！			さあ、行こう、サファイアウェポン。デキの悪い僕たちにも、やれることはあるはずさ！どうせなら、義父上の鼻を明かしてやろう！			飛べ！ ウェルリトへ 							
……超える力で、どんな過去を視た？			……超える力で、どんな過去を視た？			飛べ！ ウェルリトへ 							
そうか……。あの機体を通して読み取ったか……リコンの、兄妹を強く想う心を……。			そうか……。あの機体を通して読み取ったか……リコンの、兄妹を強く想う心を……。			飛べ！ ウェルリトへ 							
まだ軽く調べた程度だが……やはり、今回も操縦者の肉体は、コアと完全に融合してしまっているようだ。			まだ軽く調べた程度だが……やはり、今回も操縦者の肉体は、コアと完全に融合してしまっているようだ。			飛べ！ ウェルリトへ 							
レックスが運び出したという、残りの「ウェポン」……これ以上の犠牲が出る前に見つけねば……。			レックスが運び出したという、残りの「ウェポン」……これ以上の犠牲が出る前に見つけねば……。			飛べ！ ウェルリトへ 							
英雄というものは、魔導兵器の操縦までこなしてみせるのか……。			英雄というものは、魔導兵器の操縦までこなしてみせるのか……。			飛べ！ ウェルリトへ 							
ここはウェルリトの郊外にあたる場所です。			ここはウェルリトの郊外にあたる場所です。			飛べ！ ウェルリトへ 							
貴方は、ガイウス・バエサルを見て、どう感じますか？			貴方は、ガイウス・バエサルを見て、どう感じますか？			飛べ！ ウェルリトへ 							
帝国の軍団長として、エオルゼアを侵攻せんとしたガイウス。影の狩人と名乗り、かつての部下たちの仇を討たんと、アシエンを追うガイウス。			帝国の軍団長として、エオルゼアを侵攻せんとしたガイウス。影の狩人と名乗り、かつての部下たちの仇を討たんと、アシエンを追うガイウス。			飛べ！ ウェルリトへ 							
そして……今は、己を父と慕う兄妹たちを救うため、帝国に戦いを挑んでいる……。			そして……今は、己を父と慕う兄妹たちを救うため、帝国に戦いを挑んでいる……。			飛べ！ ウェルリトへ 							
いったい、どれが本当のガイウス・バエサルなのか、私にはわからない……。			いったい、どれが本当のガイウス・バエサルなのか、私にはわからない……。			飛べ！ ウェルリトへ 							
