選者殿のデブロイは、どこか気分が悪そうだ。			選者殿のデブロイは、どこか気分が悪そうだ。			激マズ完全食							
デブロイから油脂の製作を依頼された。「特製の油脂」を6個製作し、工匠殿の「デブロイ」へ納品しよう。※納品は、収集価値「150」以上で可能となりますが、「320」以上で納品した場合、より多くの報酬が得られます。			デブロイから油脂の製作を依頼された。「特製の油脂」を6個製作し、工匠殿の「デブロイ」へ納品しよう。※納品は、収集価値「150」以上で可能となりますが、「320」以上で納品した場合、より多くの報酬が得られます。			香りこそ命							
デブロイに「特製の油脂」を納品した。メルヴィンブレッドを完成させるため、準備が整い次第ふたたびデブロイに声をかけよう。			デブロイに「特製の油脂」を納品した。メルヴィンブレッドを完成させるため、準備が整い次第ふたたびデブロイに声をかけよう。			香りこそ命							
デブロイに特製の油脂を納品			デブロイに特製の油脂を納品			香りこそ命							
よく来てくれました、同志Forename！			よく来てくれました、同志Forename！			香りこそ命							
香りを改善する方法を閃きましたよ！生地に混ぜる油脂を香り高くするんです！			香りを改善する方法を閃きましたよ！生地に混ぜる油脂を香り高くするんです！			香りこそ命							
そうすれば、食欲をそそるばかりか、風味も改善すること間違いなし！当然、脂肪分ですので、少量で効果を発揮させなければいけません！			そうすれば、食欲をそそるばかりか、風味も改善すること間違いなし！当然、脂肪分ですので、少量で効果を発揮させなければいけません！			香りこそ命							
つまり、低脂肪で香り高い油脂……この矛盾する要望を、あなたの技術で両立していただきたいのです！どうか「特製の油脂」の開発をお願いします！			つまり、低脂肪で香り高い油脂……この矛盾する要望を、あなたの技術で両立していただきたいのです！どうか「特製の油脂」の開発をお願いします！			香りこそ命							
試作品四号に食欲をそそる香り付けをするために、「特製の油脂」の開発をお願いします！			試作品四号に食欲をそそる香り付けをするために、「特製の油脂」の開発をお願いします！			香りこそ命							
どうもありがとうございます！うん、いい香りが漂ってきました、お腹が空いてきますね！			どうもありがとうございます！うん、いい香りが漂ってきました、お腹が空いてきますね！			香りこそ命							
こ、これはなんと芳しい！ダメだ、涎が垂れてきちゃいました……。この香りが付いたら誰もが皆、食いつかずにいられないでしょう！			こ、これはなんと芳しい！ダメだ、涎が垂れてきちゃいました……。この香りが付いたら誰もが皆、食いつかずにいられないでしょう！			香りこそ命							
納品してくれて、ありがとうございます！特製の油脂で香り付けした試作品四号は、ラストスタンドで大人気、試作品なのに注文が殺到しています！			納品してくれて、ありがとうございます！特製の油脂で香り付けした試作品四号は、ラストスタンドで大人気、試作品なのに注文が殺到しています！			香りこそ命							
想定外だったのは、香りを目的に使った油脂が、焼き上がりを、さらにふっくらとさせてくれたこと……！			想定外だったのは、香りを目的に使った油脂が、焼き上がりを、さらにふっくらとさせてくれたこと……！			香りこそ命							
念の為、脂肪分も計測しましたが、完全食として許容範囲内の値に収まっていました！もはや完璧と言えるのではないでしょうか！？			念の為、脂肪分も計測しましたが、完全食として許容範囲内の値に収まっていました！もはや完璧と言えるのではないでしょうか！？			香りこそ命							
ぜひとも、ディコン店長に感想を聞きたいので、一緒にラストスタンドに向かいましょう！			ぜひとも、ディコン店長に感想を聞きたいので、一緒にラストスタンドに向かいましょう！			香りこそ命							
店長、香りの付いた試作品四号はどうでしたか……？			店長、香りの付いた試作品四号はどうでしたか……？			香りこそ命							
あれは……ダメだ……。			あれは……ダメだ……。			香りこそ命							
ウチで出してるパンより美味いなんて、ダメに決まってる！満点だ、ちくしょうめ……！			ウチで出してるパンより美味いなんて、ダメに決まってる！満点だ、ちくしょうめ……！			香りこそ命							
や、やったー！			や、やったー！			香りこそ命							
ディコン店長に満点をいただけたなら、これをもって試作を終え、完成を宣言しても良いのでは！？同志Forename、どうもありが……			ディコン店長に満点をいただけたなら、これをもって試作を終え、完成を宣言しても良いのでは！？同志Forename、どうもありが……			香りこそ命							
(-？？？？-)君には失望したよ、こんなところで油を売っていたとは……。			(-？？？？-)君には失望したよ、こんなところで油を売っていたとは……。			香りこそ命							
それも、私の命じた「消化効率の改善」を行わず、美食を追求していたなんてね……。			それも、私の命じた「消化効率の改善」を行わず、美食を追求していたなんてね……。			香りこそ命							
……ここまで来たら、言い訳はしません！教授のおっしゃるとおり、私は美食を追求していました！			……ここまで来たら、言い訳はしません！教授のおっしゃるとおり、私は美食を追求していました！			香りこそ命							
でも、ヘルスブレッドを食べて気持ち悪くなってしまうのは、消化の問題ではありません……単に不味いからです！			でも、ヘルスブレッドを食べて気持ち悪くなってしまうのは、消化の問題ではありません……単に不味いからです！			香りこそ命							
教授、騙されたと思って、私たちが味を改善した、試作品四号を一度、食べてみてください。			教授、騙されたと思って、私たちが味を改善した、試作品四号を一度、食べてみてください。			香りこそ命							
断る……。私は美食には微塵も興味がない、嫌悪すら感じるほどだ。			断る……。私は美食には微塵も興味がない、嫌悪すら感じるほどだ。			香りこそ命							
だが、その栄養価を分析させてもらうとしよう。そもそも、完全食として基準を満たしているかどうかをね……。			だが、その栄養価を分析させてもらうとしよう。そもそも、完全食として基準を満たしているかどうかをね……。			香りこそ命							
結論から言おう、君が作った試作品四号は不合格だ。重要な栄養素、「アスコルビン酸」が不足していた。これでは到底、完全食とは名乗れない。			結論から言おう、君が作った試作品四号は不合格だ。重要な栄養素、「アスコルビン酸」が不足していた。これでは到底、完全食とは名乗れない。			香りこそ命							
アスコルビン酸が不足すれば、人は壊血病になってしまう。特に、遠洋航海に出る船乗りに多い病気でね、有事の際にも注意が必要となる。			アスコルビン酸が不足すれば、人は壊血病になってしまう。特に、遠洋航海に出る船乗りに多い病気でね、有事の際にも注意が必要となる。			香りこそ命							
壊血病対策には柑橘類が良いとされるが、いつでもどこでも新鮮な柑橘類が採れるとは限らない。ゆえに完全食は、これを防ぐ力を持っていなければならん。			壊血病対策には柑橘類が良いとされるが、いつでもどこでも新鮮な柑橘類が採れるとは限らない。ゆえに完全食は、これを防ぐ力を持っていなければならん。			香りこそ命							
私はすでに、アスコルビン酸を添加することに成功している。ヘルスブレッドは完成したも同然だ。			私はすでに、アスコルビン酸を添加することに成功している。ヘルスブレッドは完成したも同然だ。			香りこそ命							
ど、どうやって、アスコルビン酸を添加するのですか……？			ど、どうやって、アスコルビン酸を添加するのですか……？			香りこそ命							
指示に背いた君に、研究成果を教えるわけにはいかない。デブロイ、残念だが君をこの任から解かせてもらう。			指示に背いた君に、研究成果を教えるわけにはいかない。デブロイ、残念だが君をこの任から解かせてもらう。			香りこそ命							
わかりました……。では、私は教授の力を借りずに完全食を完成させ、哲学者議会の品評会に提出し、採用を勝ち取ってみせますッ！			わかりました……。では、私は教授の力を借りずに完全食を完成させ、哲学者議会の品評会に提出し、採用を勝ち取ってみせますッ！			香りこそ命							
……おもしろい。			……おもしろい。			香りこそ命							
やれるものならば、やってみるがいい。			やれるものならば、やってみるがいい。			香りこそ命							
しかし、君の完全食が採用されなかった場合、研究費を私的流用した罪で、我がガルヴロッシュ研究室から……いや、シャーレアン魔法大学から追放させてもらうよ。			しかし、君の完全食が採用されなかった場合、研究費を私的流用した罪で、我がガルヴロッシュ研究室から……いや、シャーレアン魔法大学から追放させてもらうよ。			香りこそ命							
ガルヴロッシュ教授……ことがウチの従業員の将来に影響するってんなら、口を挟ませてもらうぞ。			ガルヴロッシュ教授……ことがウチの従業員の将来に影響するってんなら、口を挟ませてもらうぞ。			香りこそ命							
この店の設立者であるメルヴィンさんから聞いていたんだが……彼とあんたは、大学時代の同級生であり、親友同士だったんだろ？なのに、何故そんなにも美食を嫌うんだ？			この店の設立者であるメルヴィンさんから聞いていたんだが……彼とあんたは、大学時代の同級生であり、親友同士だったんだろ？なのに、何故そんなにも美食を嫌うんだ？			香りこそ命							
彼はとても優秀だった……。しかし、美食に傾倒し退学していった。			彼はとても優秀だった……。しかし、美食に傾倒し退学していった。			香りこそ命							
そして、こんな店を立ち上げた末に、早世した。美食の研究に没頭するあまり、健康を顧みることなく、試食と称して暴飲暴食を続けた結果だろう。			そして、こんな店を立ち上げた末に、早世した。美食の研究に没頭するあまり、健康を顧みることなく、試食と称して暴飲暴食を続けた結果だろう。			香りこそ命							
美食は敵だ。才能あふれる若者を惑わし、殺した、害毒なのだッ……！			美食は敵だ。才能あふれる若者を惑わし、殺した、害毒なのだッ……！			香りこそ命							
ほかに言いたいことがないのなら、これで失礼するよ。効率的に研究を進めなければ……。			ほかに言いたいことがないのなら、これで失礼するよ。効率的に研究を進めなければ……。			香りこそ命							
まさか、教授とメルヴィンさんが同級生で、しかも、親友だったなんて知りませんでした……。			まさか、教授とメルヴィンさんが同級生で、しかも、親友だったなんて知りませんでした……。			香りこそ命							
そして、教授の力を借りず完全食を作ると豪語しておいて、本当に心苦しいのですが……			そして、教授の力を借りず完全食を作ると豪語しておいて、本当に心苦しいのですが……			香りこそ命							
同志Forename！シャーレアンの食文化を護るためにも、どうか、引き続き協力をお願いいたします！			同志Forename！シャーレアンの食文化を護るためにも、どうか、引き続き協力をお願いいたします！			香りこそ命							
何と言う？			何と言う？			香りこそ命							
任せてくれ			任せてくれ			香りこそ命							
激マズ滅ぶべし……！			激マズ滅ぶべし……！			香りこそ命							
ありがとうございます！それでは、アスコルビン酸を添加する方法を探して、試作品五号を……いえ……			ありがとうございます！それでは、アスコルビン酸を添加する方法を探して、試作品五号を……いえ……			香りこそ命							
美食の普及に尽力したメルヴィンさんに因んで、私たちの完全食は、「メルヴィンブレッド」と命名しましょう。			美食の普及に尽力したメルヴィンさんに因んで、私たちの完全食は、「メルヴィンブレッド」と命名しましょう。			香りこそ命							
メルヴィンブレッドを完成させるため、どうかこれからもご協力をお願いいたします！			メルヴィンブレッドを完成させるため、どうかこれからもご協力をお願いいたします！			香りこそ命							
医学部の貢献ランクが上昇しました！デブロイはあなたの事を、「掛け替えのない職人さん」と感じているようです！			医学部の貢献ランクが上昇しました！デブロイはあなたの事を、「掛け替えのない職人さん」と感じているようです！			香りこそ命							
また、「デブロイ」から受注可能な、シャーレアン魔法大学取引のストーリークエストが発行されました！			また、「デブロイ」から受注可能な、シャーレアン魔法大学取引のストーリークエストが発行されました！			香りこそ命							
次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の、「暗闇を彩りながら」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の、「暗闇を彩りながら」を完了する必要があります。			香りこそ命							
工匠殿のデブロイは、大いに張り切っているようだ。			工匠殿のデブロイは、大いに張り切っているようだ。			健康長寿の秘訣							
イェドリマンのデブロイと話す			イェドリマンのデブロイと話す			健康長寿の秘訣							
ラザハン入口のデブロイと話して同行させる			ラザハン入口のデブロイと話して同行させる			健康長寿の秘訣							
デブロイを連れてアルキミヤ製薬堂の錬金術師と話す			デブロイを連れてアルキミヤ製薬堂の錬金術師と話す			健康長寿の秘訣							
連れているデブロイとメリードズメイハネで話す			連れているデブロイとメリードズメイハネで話す			健康長寿の秘訣							
製作手帳 魔法大学取引：黄金のスパイスを製作デブロイに黄金のスパイスを納品			製作手帳 魔法大学取引：黄金のスパイスを製作デブロイに黄金のスパイスを納品			健康長寿の秘訣							
工匠殿のデブロイと話す			工匠殿のデブロイと話す			健康長寿の秘訣							
本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の、「暗闇を彩りながら」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の、「暗闇を彩りながら」を完了する必要があります。			健康長寿の秘訣							
さて、私たちの完全食、「メルヴィンブレッド」を完成させるには、ガルヴロッシュ教授に指摘された、不足している栄養素……「アスコルビン酸」を添加しなければなりません。			さて、私たちの完全食、「メルヴィンブレッド」を完成させるには、ガルヴロッシュ教授に指摘された、不足している栄養素……「アスコルビン酸」を添加しなければなりません。			健康長寿の秘訣							
アスコルビン酸は柑橘類に多く含まれる栄養素ですが、ラヴィリンソスで生産される柑橘類は、その含有量が総じて低い。それは、本物の太陽ではなく、人工太陽で育つ影響とされています。			アスコルビン酸は柑橘類に多く含まれる栄養素ですが、ラヴィリンソスで生産される柑橘類は、その含有量が総じて低い。それは、本物の太陽ではなく、人工太陽で育つ影響とされています。			健康長寿の秘訣							
そのため、ラヴィリンソス産の食材で、アスコルビン酸を十分に添加するのは難しいのです。			そのため、ラヴィリンソス産の食材で、アスコルビン酸を十分に添加するのは難しいのです。			健康長寿の秘訣							
教授はそれに成功していると言ってましたが、いったい、どうしているのやら……。			教授はそれに成功していると言ってましたが、いったい、どうしているのやら……。			健康長寿の秘訣							
何と言う？			何と言う？			健康長寿の秘訣							
アスコルビン酸を合成している？			アスコルビン酸を合成している？			健康長寿の秘訣							
ラヴィリンソス以外の素材を使っている？			ラヴィリンソス以外の素材を使っている？			健康長寿の秘訣							
なるほど、それはあり得ますね。ラヴィリンソスで作れる素材の成分を合成して、アスコルビン酸を作り出しているのかも……。			なるほど、それはあり得ますね。ラヴィリンソスで作れる素材の成分を合成して、アスコルビン酸を作り出しているのかも……。			健康長寿の秘訣							
教授にかぎってそんなことはないと思います。頑固ですが、学問に対して嘘をつく人ではありません。			教授にかぎってそんなことはないと思います。頑固ですが、学問に対して嘘をつく人ではありません。			健康長寿の秘訣							
もしかしたら、ラヴィリンソス産の素材を合成することで、アスコルビン酸を作り出しているのかも……。			もしかしたら、ラヴィリンソス産の素材を合成することで、アスコルビン酸を作り出しているのかも……。			健康長寿の秘訣							
でも、その合成法がわからない。			でも、その合成法がわからない。			健康長寿の秘訣							
品評会までの残り時間を考えれば、ゼロから合成法を研究することも絶対に無理……。となれば、別の専門家から助言を受けるしかありません！			品評会までの残り時間を考えれば、ゼロから合成法を研究することも絶対に無理……。となれば、別の専門家から助言を受けるしかありません！			健康長寿の秘訣							
錬金術の本場、ラザハンにおられる、近東における栄養学の権威、「ジャルヴァズ」師なら、あるいは……			錬金術の本場、ラザハンにおられる、近東における栄養学の権威、「ジャルヴァズ」師なら、あるいは……			健康長寿の秘訣							
お会いしたことすらありませんが、新型エーテライトを使えば、サベネア島まで直行できます。当たって砕けろの精神で、訪ねてみましょう！			お会いしたことすらありませんが、新型エーテライトを使えば、サベネア島まで直行できます。当たって砕けろの精神で、訪ねてみましょう！			健康長寿の秘訣							
善は急げです。さっそく、「イェドリマン」まで向かいましょう！			善は急げです。さっそく、「イェドリマン」まで向かいましょう！			健康長寿の秘訣							
う、うう……。			う、うう……。			健康長寿の秘訣							
す、すみません、エーテル酔いで気分が悪くて……。でも、教授の試作品を食べたときよりは、ずっとマシです。			す、すみません、エーテル酔いで気分が悪くて……。でも、教授の試作品を食べたときよりは、ずっとマシです。			健康長寿の秘訣							
それでは、ジャルヴァズ師に助言を請うため、「ラザハン」に向かいましょう。			それでは、ジャルヴァズ師に助言を請うため、「ラザハン」に向かいましょう。			健康長寿の秘訣							
これが噂に聞く多彩なる都……なんと色鮮やかな街並みでしょう！			これが噂に聞く多彩なる都……なんと色鮮やかな街並みでしょう！			健康長寿の秘訣							
じ、実は私、ラザハンに来るのはおろか、オールド・シャーレアンから出るのも初めてなのです。			じ、実は私、ラザハンに来るのはおろか、オールド・シャーレアンから出るのも初めてなのです。			健康長寿の秘訣							
同志Forenameは、ラザハンに立ち寄ったことはありますか？			同志Forenameは、ラザハンに立ち寄ったことはありますか？			健康長寿の秘訣							
よかった……。本で得た知識はあれど、土地勘は皆無なので、あなたに案内をお願いしたいです。			よかった……。本で得た知識はあれど、土地勘は皆無なので、あなたに案内をお願いしたいです。			健康長寿の秘訣							
以前に読んだ書物によれば、ジャルヴァズ師は、国営の錬金術工房に在籍していたはず……。かなり高齢のはずですので、いまもおられるかはわかりませんが。			以前に読んだ書物によれば、ジャルヴァズ師は、国営の錬金術工房に在籍していたはず……。かなり高齢のはずですので、いまもおられるかはわかりませんが。			健康長寿の秘訣							
ひとまず、その工房「アルキミヤ製薬堂」に向かい、働く錬金術師たちに、彼のことを聞いてみましょう。			ひとまず、その工房「アルキミヤ製薬堂」に向かい、働く錬金術師たちに、彼のことを聞いてみましょう。			健康長寿の秘訣							
見慣れない顔だな……。			見慣れない顔だな……。			健康長寿の秘訣							
あら、工房の見学かしら……？			あら、工房の見学かしら……？			健康長寿の秘訣							
何をする？			何をする？			健康長寿の秘訣							
話す			話す			健康長寿の秘訣							
同行状態を解除する			同行状態を解除する			健康長寿の秘訣							
キャンセル			キャンセル			健康長寿の秘訣							
どこを見ても、鮮やかで目がチカチカしてきますね……。			どこを見ても、鮮やかで目がチカチカしてきますね……。			健康長寿の秘訣							
「錬金窯」について話す			「錬金窯」について話す			健康長寿の秘訣							
なんと立派な錬金窯でしょう！さすがは本場ですね、これなら何でも精製できてしまいそうです。			なんと立派な錬金窯でしょう！さすがは本場ですね、これなら何でも精製できてしまいそうです。			健康長寿の秘訣							
う、うう……。			う、うう……。			健康長寿の秘訣							
すみません、まだちょっと、気分が……。			すみません、まだちょっと、気分が……。			健康長寿の秘訣							
「錬金術」について話す			「錬金術」について話す			健康長寿の秘訣							
これほどまでの設備があるとは……。錬金術という分野に関しては、我がシャーレアンでも、ラザハンには敵わないでしょう。			これほどまでの設備があるとは……。錬金術という分野に関しては、我がシャーレアンでも、ラザハンには敵わないでしょう。			健康長寿の秘訣							
「料理屋」について話す			「料理屋」について話す			健康長寿の秘訣							
本場のカレーが売ってますよ！漂ってくるスパイシーな香りがたまりません！			本場のカレーが売ってますよ！漂ってくるスパイシーな香りがたまりません！			健康長寿の秘訣							
料理の研究のためにも食べ歩きたいのはやまやまですが……今はそれどころじゃありませんね。			料理の研究のためにも食べ歩きたいのはやまやまですが……今はそれどころじゃありませんね。			健康長寿の秘訣							
「道具屋」について話す			「道具屋」について話す			健康長寿の秘訣							
いろんな錬金道具が並んでいますね。魔法大学の医学部でも見たことのないものばかり……ラザハンから学ぶべきことはたくさんあるようです。			いろんな錬金道具が並んでいますね。魔法大学の医学部でも見たことのないものばかり……ラザハンから学ぶべきことはたくさんあるようです。			健康長寿の秘訣							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			健康長寿の秘訣							
急用ですか？お気になさらず向かってください。私は「ラザハン」の入口で待っていますから。			急用ですか？お気になさらず向かってください。私は「ラザハン」の入口で待っていますから。			健康長寿の秘訣							
お帰りなさい。それでは、国営の錬金術工房「アルキミヤ製薬堂」で、働く錬金術師たちに、ジャルヴァズさんのことを聞いてみましょう。			お帰りなさい。それでは、国営の錬金術工房「アルキミヤ製薬堂」で、働く錬金術師たちに、ジャルヴァズさんのことを聞いてみましょう。			健康長寿の秘訣							
お帰りなさい。それでは、「メリードズメイハネ」に向かい、ジャルヴァズさんを探してみましょう。			お帰りなさい。それでは、「メリードズメイハネ」に向かい、ジャルヴァズさんを探してみましょう。			健康長寿の秘訣							
このクエストを進行させるには、デブロイが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、デブロイが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			健康長寿の秘訣							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			健康長寿の秘訣							
ジャルヴァズ……？さあ、聞いたことないな、この工房にはいないよ。			ジャルヴァズ……？さあ、聞いたことないな、この工房にはいないよ。			健康長寿の秘訣							
やはり、もう引退されていたのでしょうか。そもそも年齢を考えれば、今もお元気なのかどうかすら……。			やはり、もう引退されていたのでしょうか。そもそも年齢を考えれば、今もお元気なのかどうかすら……。			健康長寿の秘訣							
いえ、ここまで来てそんなことは考えたくない。下の階で聞いてみましょう。			いえ、ここまで来てそんなことは考えたくない。下の階で聞いてみましょう。			健康長寿の秘訣							
ジャルヴァズなんて人、この工房にはいないよ。			ジャルヴァズなんて人、この工房にはいないよ。			健康長寿の秘訣							
ジャルヴァズを訪ねてきたんですか？彼は私の曽祖父でして、とっくに引退していますよ。			ジャルヴァズを訪ねてきたんですか？彼は私の曽祖父でして、とっくに引退していますよ。			健康長寿の秘訣							
ひ、曽孫さん……でしたか。ということは、曽お祖父さんは……もう……。			ひ、曽孫さん……でしたか。ということは、曽お祖父さんは……もう……。			健康長寿の秘訣							
齢百を超えてなお、元気いっぱいですよ。			齢百を超えてなお、元気いっぱいですよ。			健康長寿の秘訣							
栄養学を極めた曽祖父は、自ら考案した長寿法を実践してましてね。未だに酒場にまで顔を出しているほどですから……。会いたいなら、メリードズメイハネを探してみるといいですよ。			栄養学を極めた曽祖父は、自ら考案した長寿法を実践してましてね。未だに酒場にまで顔を出しているほどですから……。会いたいなら、メリードズメイハネを探してみるといいですよ。			健康長寿の秘訣							
ありがとうございます！曽お祖父さんがお元気でなによりでした！			ありがとうございます！曽お祖父さんがお元気でなによりでした！			健康長寿の秘訣							
では、同志Forename、メリードズ……うう……。			では、同志Forename、メリードズ……うう……。			健康長寿の秘訣							
す、すみません、まだちょっと気分が悪くて……でも、大丈夫です。「メリードズメイハネ」に向かいましょう。			す、すみません、まだちょっと気分が悪くて……でも、大丈夫です。「メリードズメイハネ」に向かいましょう。			健康長寿の秘訣							
曽祖父のジャルヴァズは、よく酒場にいるので、行きつけのお店、「メリードズメイハネ」を探してみるといいですよ。それにしても彼女、調子悪そうでしたけど、大丈夫ですか？			曽祖父のジャルヴァズは、よく酒場にいるので、行きつけのお店、「メリードズメイハネ」を探してみるといいですよ。それにしても彼女、調子悪そうでしたけど、大丈夫ですか？			健康長寿の秘訣							
それらしき姿は見当たりませんが……思えば、私が本で見たジャルヴァズ師の肖像は、大分、若い頃なので……あまり参考に……。			それらしき姿は見当たりませんが……思えば、私が本で見たジャルヴァズ師の肖像は、大分、若い頃なので……あまり参考に……。			健康長寿の秘訣							
う、ううう……。			う、ううう……。			健康長寿の秘訣							
(-？？？？-)どうした……？			(-？？？？-)どうした……？			健康長寿の秘訣							
(-声の大きな老人-)むむ、これはいかん！いますぐ薬を用意するでな……待っておれ！			(-声の大きな老人-)むむ、これはいかん！いますぐ薬を用意するでな……待っておれ！			健康長寿の秘訣							
あ、ありがとうございます。薬を飲んだおかげで、すっかりよくなりました。エーテル酔いしただけだと思っていたのですが……			あ、ありがとうございます。薬を飲んだおかげで、すっかりよくなりました。エーテル酔いしただけだと思っていたのですが……			健康長寿の秘訣							
(-声の大きな老人-)とんでもない。あんたは重度の貧血を起こしておったのじゃ。どうやら、アスコルビン酸が不足していたようじゃな。			(-声の大きな老人-)とんでもない。あんたは重度の貧血を起こしておったのじゃ。どうやら、アスコルビン酸が不足していたようじゃな。			健康長寿の秘訣							
(-声の大きな老人-)かの栄養素が足りないと、鉄分が吸収されにくくなる。その結果、血が薄くなり、貧血となってしまうのじゃ。			(-声の大きな老人-)かの栄養素が足りないと、鉄分が吸収されにくくなる。その結果、血が薄くなり、貧血となってしまうのじゃ。			健康長寿の秘訣							
(-声の大きな老人-)さきほどの薬があれば、ひとまずは安心じゃが……食生活を改めた方が良いぞ。そんな若さで、壊血病にかかって死にとうなかろう？			(-声の大きな老人-)さきほどの薬があれば、ひとまずは安心じゃが……食生活を改めた方が良いぞ。そんな若さで、壊血病にかかって死にとうなかろう？			健康長寿の秘訣							
そういえば……ここ最近は、完全食作りに没頭するあまり、食事はすべて試作品で済ませていました。			そういえば……ここ最近は、完全食作りに没頭するあまり、食事はすべて試作品で済ませていました。			健康長寿の秘訣							
アスコルビン酸の不足が指摘されていた食べ物だけを、食べ続けていたのだから、貧血になるのも当然ですよね……。あやうく、メルヴィンさんと同じ轍を踏むところでした。			アスコルビン酸の不足が指摘されていた食べ物だけを、食べ続けていたのだから、貧血になるのも当然ですよね……。あやうく、メルヴィンさんと同じ轍を踏むところでした。			健康長寿の秘訣							
それにしても、栄養学に精通したあなたは、もしや……			それにしても、栄養学に精通したあなたは、もしや……			健康長寿の秘訣							
わしか……？ジャルヴァズという、ただの隠居じゃ。まあ、栄養学と健康長寿には自信があるがのう。			わしか……？ジャルヴァズという、ただの隠居じゃ。まあ、栄養学と健康長寿には自信があるがのう。			健康長寿の秘訣							
やはり、そうでしたか！			やはり、そうでしたか！			健康長寿の秘訣							
私はシャーレアン魔法大学で栄養学を学ぶ、デブロイという者です。ぜひジャルヴァズ師に、助言を仰ぎたく……！			私はシャーレアン魔法大学で栄養学を学ぶ、デブロイという者です。ぜひジャルヴァズ師に、助言を仰ぎたく……！			健康長寿の秘訣							
アスコルビン酸を合成する方法……ご存じでしたら、どうかご教示ください！			アスコルビン酸を合成する方法……ご存じでしたら、どうかご教示ください！			健康長寿の秘訣							
ほう……。少し前に魔法大学で栄養学を教える教授が、同じ目的で訪ねてきたが、今度は学生とは奇遇じゃのう。			ほう……。少し前に魔法大学で栄養学を教える教授が、同じ目的で訪ねてきたが、今度は学生とは奇遇じゃのう。			健康長寿の秘訣							
アスコルビン酸の合成法は、わしが発見したものじゃから、もちろん知っておるが、タダで教えるわけにはいかん。それ相応の大金を払ってもらわねばな……。			アスコルビン酸の合成法は、わしが発見したものじゃから、もちろん知っておるが、タダで教えるわけにはいかん。それ相応の大金を払ってもらわねばな……。			健康長寿の秘訣							
た、大金……ですか……。			た、大金……ですか……。			健康長寿の秘訣							
教授は迷わず払っていったが、まあ、学生のあんたには無理じゃろう。			教授は迷わず払っていったが、まあ、学生のあんたには無理じゃろう。			健康長寿の秘訣							
じゃが、このまま門前払いするのも酷というもの。よって、チャンスをやろう。			じゃが、このまま門前払いするのも酷というもの。よって、チャンスをやろう。			健康長寿の秘訣							
わしはとにかく、カレーに目がない。しかし長い人生で、本場ラザハンの味に飽きてしもうた。			わしはとにかく、カレーに目がない。しかし長い人生で、本場ラザハンの味に飽きてしもうた。			健康長寿の秘訣							
そんなとき、西方でアレンジされた、「エオルゼア風カレーライス」なるものがあると知った。			そんなとき、西方でアレンジされた、「エオルゼア風カレーライス」なるものがあると知った。			健康長寿の秘訣							
どうしても食べたくなり、貿易商からレシピを入手した。そして、この酒場の調理師に作ってもらおうと、素材を買い集めてきたところでな。			どうしても食べたくなり、貿易商からレシピを入手した。そして、この酒場の調理師に作ってもらおうと、素材を買い集めてきたところでな。			健康長寿の秘訣							
ここで、西方の者が現れたのも何かの縁。ラザハンの調理師よりも、あんたらに作ってもらった方が、本場の味にもなるじゃろう。			ここで、西方の者が現れたのも何かの縁。ラザハンの調理師よりも、あんたらに作ってもらった方が、本場の味にもなるじゃろう。			健康長寿の秘訣							
わしに「エオルゼア風カレーライス」を作ってくれ。その味によっては、合成法を教えてやらんでもないぞい。			わしに「エオルゼア風カレーライス」を作ってくれ。その味によっては、合成法を教えてやらんでもないぞい。			健康長寿の秘訣							
ありがとうございます！ぜひとも、腕によりをかけて作らせてもらいます！			ありがとうございます！ぜひとも、腕によりをかけて作らせてもらいます！			健康長寿の秘訣							
訪ねてきたという教授は、ガルヴロッシュ教授に違いありません！ということは、合成に使う素材も、きっとラヴィリンソスで生産可能なはず。			訪ねてきたという教授は、ガルヴロッシュ教授に違いありません！ということは、合成に使う素材も、きっとラヴィリンソスで生産可能なはず。			健康長寿の秘訣							
そして、エオルゼア風カレーライスなら、ラストスタンドでも定番なので、私も作ったことがあります！			そして、エオルゼア風カレーライスなら、ラストスタンドでも定番なので、私も作ったことがあります！			健康長寿の秘訣							
オニオンを飴色になるまで炒めて甘みを出し、ブイヨンを加えて、角切りの肉を柔らかく煮込んで、そうそう、ここでしっかり灰汁をとらないと……			オニオンを飴色になるまで炒めて甘みを出し、ブイヨンを加えて、角切りの肉を柔らかく煮込んで、そうそう、ここでしっかり灰汁をとらないと……			健康長寿の秘訣							
何と言う？			何と言う？			健康長寿の秘訣							
手短に頼む			手短に頼む			健康長寿の秘訣							
で、どうすればいい？			で、どうすればいい？			健康長寿の秘訣							
す、すみません、また夢中になって……。			す、すみません、また夢中になって……。			健康長寿の秘訣							
でも、味の決め手となる黄金のスパイスだけは、店長が仕込んでいましたし、私の手には負えません……。			でも、味の決め手となる黄金のスパイスだけは、店長が仕込んでいましたし、私の手には負えません……。			健康長寿の秘訣							
