ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			明日への一歩							
ああ、あなたでしたか！おひとり様ですか？お席にご案内しますね！			ああ、あなたでしたか！おひとり様ですか？お席にご案内しますね！			豊穣海に眠る神秘							
えっ……豊穣海に遺跡のようなものはないか、と？			えっ……豊穣海に遺跡のようなものはないか、と？			豊穣海に眠る神秘							
……遺跡かどうかはわかりませんが、とある歴史学者の方が、酔っ払ったときに、海底に沈んだ宝物殿がどうとかって……確か、今日もいらしているはずですが……。			……遺跡かどうかはわかりませんが、とある歴史学者の方が、酔っ払ったときに、海底に沈んだ宝物殿がどうとかって……確か、今日もいらしているはずですが……。			豊穣海に眠る神秘							
いらっしゃいました！あちらのジャルヒーンさんがそうです。			いらっしゃいました！あちらのジャルヒーンさんがそうです。			豊穣海に眠る神秘							
彼は無類のお酒好きで、酔いが回ると口が軽くなって、聞いてもいないのに、いろいろなことを教えてくれるんです。			彼は無類のお酒好きで、酔いが回ると口が軽くなって、聞いてもいないのに、いろいろなことを教えてくれるんです。			豊穣海に眠る神秘							
もし「ジャルヒーン」さんから情報を聞き出したいのでしたら、お酒をおごってあげるのが手っ取り早いかと！			もし「ジャルヒーン」さんから情報を聞き出したいのでしたら、お酒をおごってあげるのが手っ取り早いかと！			豊穣海に眠る神秘							
あ、お代は結構ですよ。この国を救ってくださった英雄さんからお金を受け取ったら、オーナーのメリードさんに叱られちゃいますから。			あ、お代は結構ですよ。この国を救ってくださった英雄さんからお金を受け取ったら、オーナーのメリードさんに叱られちゃいますから。			豊穣海に眠る神秘							
「ジャルヒーン」さんにおごった分の代金は、メリードズメイハネで持ちますから！好きなだけ飲ませてあげてください！			「ジャルヒーン」さんにおごった分の代金は、メリードズメイハネで持ちますから！好きなだけ飲ませてあげてください！			豊穣海に眠る神秘							
む……私に何か？			む……私に何か？			豊穣海に眠る神秘							
このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			豊穣海に眠る神秘							
ジャルヒーンと話しますか？			ジャルヒーンと話しますか？			豊穣海に眠る神秘							
それで、異国の冒険者が私に何の用だね？			それで、異国の冒険者が私に何の用だね？			豊穣海に眠る神秘							
何と言う？			何と言う？			豊穣海に眠る神秘							
豊穣海に沈んでいるという宝物殿について聞きたい			豊穣海に沈んでいるという宝物殿について聞きたい			豊穣海に眠る神秘							
一杯、おごらせてくれないか？			一杯、おごらせてくれないか？			豊穣海に眠る神秘							
あんた、どこでそれを……何にせよ、シラフで話す内容じゃないな。一杯、おごってもらおうか？			あんた、どこでそれを……何にせよ、シラフで話す内容じゃないな。一杯、おごってもらおうか？			豊穣海に眠る神秘							
お待たせしました！ご注文いただいたお酒です！			お待たせしました！ご注文いただいたお酒です！			豊穣海に眠る神秘							
うむ。では遠慮なくいただくとしよう。			うむ。では遠慮なくいただくとしよう。			豊穣海に眠る神秘							
ジャルヒーンは一息に酒を飲み干した……。			ジャルヒーンは一息に酒を飲み干した……。			豊穣海に眠る神秘							
なんと、酒をおごってくれるというのか？断る理由なんて、あるわけもない。			なんと、酒をおごってくれるというのか？断る理由なんて、あるわけもない。			豊穣海に眠る神秘							
しかし、旅の者よ。見ず知らずの私におごるというからには、なにか聞きたいことがあるのではないかね？			しかし、旅の者よ。見ず知らずの私におごるというからには、なにか聞きたいことがあるのではないかね？			豊穣海に眠る神秘							
ほう、宝物殿の噂を聞きつけたか……。さては、冒険を求めるクチだな？			ほう、宝物殿の噂を聞きつけたか……。さては、冒険を求めるクチだな？			豊穣海に眠る神秘							
ラザハンの偉人、アルザダールを知っているか？大陸からサベネア島に渡ってきたアウラ族の族長でな。			ラザハンの偉人、アルザダールを知っているか？大陸からサベネア島に渡ってきたアウラ族の族長でな。			豊穣海に眠る神秘							
アルカソーダラ族とガジャースラ族の争いを平定し、のちのラザハン建国に繋がる大きな役割を果たしたと言われている。			アルカソーダラ族とガジャースラ族の争いを平定し、のちのラザハン建国に繋がる大きな役割を果たしたと言われている。			豊穣海に眠る神秘							
その孫にあたるのが、アルザダール3世……ラザハン黎明期を支えた名太守との呼び声が高い、この人物には、さまざまな逸話があってな。			その孫にあたるのが、アルザダール3世……ラザハン黎明期を支えた名太守との呼び声が高い、この人物には、さまざまな逸話があってな。			豊穣海に眠る神秘							
たとえば、異世界へ渡り、秘宝を手にして帰ってきたとか、偉大な竜と盟約を交わしただとか……。			たとえば、異世界へ渡り、秘宝を手にして帰ってきたとか、偉大な竜と盟約を交わしただとか……。			豊穣海に眠る神秘							
そのひとつが、あんたが知りたがってる宝物殿の噂だ。言い伝えによれば、豊穣海のいずこかに浮かぶ小島に、海底に続く大宝物殿を建てたのだとか……。			そのひとつが、あんたが知りたがってる宝物殿の噂だ。言い伝えによれば、豊穣海のいずこかに浮かぶ小島に、海底に続く大宝物殿を建てたのだとか……。			豊穣海に眠る神秘							
以来、ラザハンでは、天災やら不況やらが起こるたびに、その逸話が思い出され、一攫千金を狙う者が現れるのだよ。まぁ、その大半が帰らぬ者となるのだが……			以来、ラザハンでは、天災やら不況やらが起こるたびに、その逸話が思い出され、一攫千金を狙う者が現れるのだよ。まぁ、その大半が帰らぬ者となるのだが……			豊穣海に眠る神秘							
さて、この続きは……もう少しばかり酒があれば、舌もなめらかになりそうだ。			さて、この続きは……もう少しばかり酒があれば、舌もなめらかになりそうだ。			豊穣海に眠る神秘							
何と言う？			何と言う？			豊穣海に眠る神秘							
ミリール、酒を持ってきて！			ミリール、酒を持ってきて！			豊穣海に眠る神秘							
飲みすぎでは？			飲みすぎでは？			豊穣海に眠る神秘							
あんた、話がわかるじゃないか！冒険者とはそうでなくちゃな！			あんた、話がわかるじゃないか！冒険者とはそうでなくちゃな！			豊穣海に眠る神秘							
お酒をお持ちしました！			お酒をお持ちしました！			豊穣海に眠る神秘							
はっはっは！今日はいくらでも飲めそうだ！			はっはっは！今日はいくらでも飲めそうだ！			豊穣海に眠る神秘							
ジャルヒーンは一息に酒を飲み干した……。			ジャルヒーンは一息に酒を飲み干した……。			豊穣海に眠る神秘							
おいおい、まだ1杯しか飲んでないぞ。情報が欲しいなら、ケチらずにおごった方がいいんじゃないか？			おいおい、まだ1杯しか飲んでないぞ。情報が欲しいなら、ケチらずにおごった方がいいんじゃないか？			豊穣海に眠る神秘							
何と言う？			何と言う？			豊穣海に眠る神秘							
ミリール、酒を持ってきて！			ミリール、酒を持ってきて！			豊穣海に眠る神秘							
ジャルヒーンについて教えて			ジャルヒーンについて教えて			豊穣海に眠る神秘							
あんた、話がわかるな！冒険者とはそうでなくちゃな！			あんた、話がわかるな！冒険者とはそうでなくちゃな！			豊穣海に眠る神秘							
私について聞いたところで、何も面白い話などないぞ？			私について聞いたところで、何も面白い話などないぞ？			豊穣海に眠る神秘							
……今では歴史学者などと名乗ってはいるが、若い頃はアルキミヤ製薬堂で働く錬金術師だった。			……今では歴史学者などと名乗ってはいるが、若い頃はアルキミヤ製薬堂で働く錬金術師だった。			豊穣海に眠る神秘							
仕事にも恵まれ、良い恋人とも出会い、当時は、すべてが上手くいっていた。……あの日が来るまでは。			仕事にも恵まれ、良い恋人とも出会い、当時は、すべてが上手くいっていた。……あの日が来るまでは。			豊穣海に眠る神秘							
これ以上聞いても、面白くもなんともないぞ。それよりも、ほかに聞きたいことがあるんだろう？			これ以上聞いても、面白くもなんともないぞ。それよりも、ほかに聞きたいことがあるんだろう？			豊穣海に眠る神秘							
ヒック……件の宝物殿から生還したとされる者も、何を見たのかは、決して語ろうとはせんのだ。			ヒック……件の宝物殿から生還したとされる者も、何を見たのかは、決して語ろうとはせんのだ。			豊穣海に眠る神秘							
それゆえに、逸話には壮大な尾ひれがつき、半ば伝説となって、人々を魅了し続けているのだ。			それゆえに、逸話には壮大な尾ひれがつき、半ば伝説となって、人々を魅了し続けているのだ。			豊穣海に眠る神秘							
そういえば、私の飲み友達のアザーマが言っていたな。			そういえば、私の飲み友達のアザーマが言っていたな。			豊穣海に眠る神秘							
噂を信じた知人が、海に出たまま戻ってきていない、と……ヒック。なんにせよ、これ以上は、私の口からは言えんよ……。			噂を信じた知人が、海に出たまま戻ってきていない、と……ヒック。なんにせよ、これ以上は、私の口からは言えんよ……。			豊穣海に眠る神秘							
酒をおごってくれた心優しい旅人を、帰らぬ人にしてしまっては、後悔してもしきれないからな……。			酒をおごってくれた心優しい旅人を、帰らぬ人にしてしまっては、後悔してもしきれないからな……。			豊穣海に眠る神秘							
何と言う？			何と言う？			豊穣海に眠る神秘							
危険な冒険には慣れている			危険な冒険には慣れている			豊穣海に眠る神秘							
もう十分教えてもらった			もう十分教えてもらった			豊穣海に眠る神秘							
ほう……では聞かせてもらおうか？あんたがこれまで歩んできた、旅の道のりを……。			ほう……では聞かせてもらおうか？あんたがこれまで歩んできた、旅の道のりを……。			豊穣海に眠る神秘							
なんと……天の果てを見てきただと！？にわかには信じがたい話だが、この街を終末から救った英雄があんたなら、納得がいく話だ！			なんと……天の果てを見てきただと！？にわかには信じがたい話だが、この街を終末から救った英雄があんたなら、納得がいく話だ！			豊穣海に眠る神秘							
こんな話を聞いて、飲まずにいられるか！ミリール嬢、おかわりを持ってきてくれ！			こんな話を聞いて、飲まずにいられるか！ミリール嬢、おかわりを持ってきてくれ！			豊穣海に眠る神秘							
良いですけど……ジャルヒーンさんの自腹ですよ？			良いですけど……ジャルヒーンさんの自腹ですよ？			豊穣海に眠る神秘							
ジャルヒーンは一息に酒を飲み干した……。			ジャルヒーンは一息に酒を飲み干した……。			豊穣海に眠る神秘							
そうか……ヒック。あんたほどの冒険者ならば、あとは自分の足を使って見つけられるだろう。			そうか……ヒック。あんたほどの冒険者ならば、あとは自分の足を使って見つけられるだろう。			豊穣海に眠る神秘							
豊穣海に沈む宝物殿について、僅かな手がかりを得た。さらに聞き込みを続けていたら、より詳しい情報を入手できたかもしれない……。			豊穣海に沈む宝物殿について、僅かな手がかりを得た。さらに聞き込みを続けていたら、より詳しい情報を入手できたかもしれない……。			豊穣海に眠る神秘							
興味深い話を聞かせてくれたお礼にぃ、教えてやろぉ……。何たらとか言う商人が、宝物殿の在処を示す宝の地図を持っていて、件の知人は、それを手に入れようと躍起になっていたらしい……。			興味深い話を聞かせてくれたお礼にぃ、教えてやろぉ……。何たらとか言う商人が、宝物殿の在処を示す宝の地図を持っていて、件の知人は、それを手に入れようと躍起になっていたらしい……。			豊穣海に眠る神秘							
そんなことよりぃ、今はあんたとの出会いに乾杯だぁ！ミリール嬢、もっと酒を持ってきてくれ！			そんなことよりぃ、今はあんたとの出会いに乾杯だぁ！ミリール嬢、もっと酒を持ってきてくれ！			豊穣海に眠る神秘							
どうする？			どうする？			豊穣海に眠る神秘							
放っておく			放っておく			豊穣海に眠る神秘							
ミリールに水を持ってくるように合図を送る			ミリールに水を持ってくるように合図を送る			豊穣海に眠る神秘							
承知しました！			承知しました！			豊穣海に眠る神秘							
はーい、ご注文の品です！			はーい、ご注文の品です！			豊穣海に眠る神秘							
来た来た来たぁ！まだまだ飲むぞぉ～！私は酒とひとつになるのだぁ～！			来た来た来たぁ！まだまだ飲むぞぉ～！私は酒とひとつになるのだぁ～！			豊穣海に眠る神秘							
ジャルヒーンは一息に酒を飲み干した……。			ジャルヒーンは一息に酒を飲み干した……。			豊穣海に眠る神秘							
お待たせしました！			お待たせしました！			豊穣海に眠る神秘							
さあ、じゃんじゃん飲むぞぉ～！			さあ、じゃんじゃん飲むぞぉ～！			豊穣海に眠る神秘							
ジャルヒーンは一息に水を飲み干した……。			ジャルヒーンは一息に水を飲み干した……。			豊穣海に眠る神秘							
って、水ではないか！まさか、あんたの仕業か……！？なんて、なんてことを……			って、水ではないか！まさか、あんたの仕業か……！？なんて、なんてことを……			豊穣海に眠る神秘							
飲みすぎた私を気遣って、水にすり替えるとは……うぅ、熟練の冒険者というものは、心根まで立派だな……。			飲みすぎた私を気遣って、水にすり替えるとは……うぅ、熟練の冒険者というものは、心根まで立派だな……。			豊穣海に眠る神秘							
あじゃーまのいばしょ……？こにょじかんは、あしょこにいるはじゅ……。いみゃ、にゃんじか、しらにゃいけど……。			あじゃーまのいばしょ……？こにょじかんは、あしょこにいるはじゅ……。いみゃ、にゃんじか、しらにゃいけど……。			豊穣海に眠る神秘							
豊穣海に沈む宝物殿について、そこそこの手がかりを得た。ジャルヒーンが冷静ならば、より詳しい情報を教えてくれたかもしれない……。			豊穣海に沈む宝物殿について、そこそこの手がかりを得た。ジャルヒーンが冷静ならば、より詳しい情報を教えてくれたかもしれない……。			豊穣海に眠る神秘							
私としたことが、はしゃぎすぎてしまったようだな……。高名な錬金術師、ジャルザーン師の言葉を思い出したよ。「酒は飲んでも、飲まれるな」と……。			私としたことが、はしゃぎすぎてしまったようだな……。高名な錬金術師、ジャルザーン師の言葉を思い出したよ。「酒は飲んでも、飲まれるな」と……。			豊穣海に眠る神秘							
君には、迷惑をかけてしまったな。アザーマの居場所だが、何を隠そう彼も無類の酒好きでな。君と話している間に、酒場を訪れているかもしれない。			君には、迷惑をかけてしまったな。アザーマの居場所だが、何を隠そう彼も無類の酒好きでな。君と話している間に、酒場を訪れているかもしれない。			豊穣海に眠る神秘							
宝物殿が見つかることを祈っているよ。			宝物殿が見つかることを祈っているよ。			豊穣海に眠る神秘							
豊穣海に沈む宝物殿について、重大な手がかりを得た。これ以上の情報は、ジャルヒーンからは聞き出せないだろう。「アザーマ」を探そう。			豊穣海に沈む宝物殿について、重大な手がかりを得た。これ以上の情報は、ジャルヒーンからは聞き出せないだろう。「アザーマ」を探そう。			豊穣海に眠る神秘							
上手く情報は聞き出せましたか？またのご利用、お待ちしてますね！			上手く情報は聞き出せましたか？またのご利用、お待ちしてますね！			豊穣海に眠る神秘							
にょみしゅぎた……。			にょみしゅぎた……。			豊穣海に眠る神秘							
私にとって酒とは、人生の友みたいなものさ……。			私にとって酒とは、人生の友みたいなものさ……。			豊穣海に眠る神秘							
ええ、確かに僕がアザーマですが、あなたは？			ええ、確かに僕がアザーマですが、あなたは？			豊穣海に眠る神秘							
……おっしゃるとおり、知人のひとりが、アルザダール3世の宝物殿を探して海に出て、それきりです。			……おっしゃるとおり、知人のひとりが、アルザダール3世の宝物殿を探して海に出て、それきりです。			豊穣海に眠る神秘							
僕も止めたんですが……「宝物殿の在処を突き止めた、この機を逃す手はない」と言って聞かなくて……。			僕も止めたんですが……「宝物殿の在処を突き止めた、この機を逃す手はない」と言って聞かなくて……。			豊穣海に眠る神秘							
宝物殿には、アルザダール3世が持ち帰ったと言われている、「異世界の秘宝」が収蔵されている、なんて噂もありますから、欲に目が眩んだのでしょう。			宝物殿には、アルザダール3世が持ち帰ったと言われている、「異世界の秘宝」が収蔵されている、なんて噂もありますから、欲に目が眩んだのでしょう。			豊穣海に眠る神秘							
あなたも彼のように、夢物語に縋らねばならぬほど、切羽詰まっているのですか？			あなたも彼のように、夢物語に縋らねばならぬほど、切羽詰まっているのですか？			豊穣海に眠る神秘							
いえ、立ち入ったことを聞くのはやめておきましょう。知人のときだって、僕がいくら止めたところで、無駄でしたから。			いえ、立ち入ったことを聞くのはやめておきましょう。知人のときだって、僕がいくら止めたところで、無駄でしたから。			豊穣海に眠る神秘							
知人は、バルシャーン・バザールの露天商、「ザッシャル」に金を積んで、宝物殿のおおよその場所を聞き出したそうです。			知人は、バルシャーン・バザールの露天商、「ザッシャル」に金を積んで、宝物殿のおおよその場所を聞き出したそうです。			豊穣海に眠る神秘							
本当ならば、地図そのものを手に入れたかったようですが、困窮した彼には、とても手が出せる金額じゃなかったのでしょう。			本当ならば、地図そのものを手に入れたかったようですが、困窮した彼には、とても手が出せる金額じゃなかったのでしょう。			豊穣海に眠る神秘							
ザッシャルから得た情報によると、豊穣海に浮かぶ小島のひとつに、宝物殿へと繋がる「海底遺跡群」が隠されているらしいです。			ザッシャルから得た情報によると、豊穣海に浮かぶ小島のひとつに、宝物殿へと繋がる「海底遺跡群」が隠されているらしいです。			豊穣海に眠る神秘							
もしも本気で宝物殿を探すつもりなら、どうかお気をつけて。いまだ知人の行方がわかっていないことが、海底遺跡の危険性を裏付けていますからね……。			もしも本気で宝物殿を探すつもりなら、どうかお気をつけて。いまだ知人の行方がわかっていないことが、海底遺跡の危険性を裏付けていますからね……。			豊穣海に眠る神秘							
……ほかの用事はいいのかって？ああ、ヴリトラの奴が話があるというから、しばらくこの国に逗留していたが……			……ほかの用事はいいのかって？ああ、ヴリトラの奴が話があるというから、しばらくこの国に逗留していたが……			豊穣海に眠る神秘							
いざ用件を聞いてみれば、元蒼の竜騎士である俺に、星戦士団の稽古をつけさせたいときた。俺が断れないように、たらふく飯を食わせたあとでな……。			いざ用件を聞いてみれば、元蒼の竜騎士である俺に、星戦士団の稽古をつけさせたいときた。俺が断れないように、たらふく飯を食わせたあとでな……。			豊穣海に眠る神秘							
さて、そんなことよりも、だ。ここいらで船を持っているのは、外海に出ることのある交易商か漁師だが……			さて、そんなことよりも、だ。ここいらで船を持っているのは、外海に出ることのある交易商か漁師だが……			豊穣海に眠る神秘							
そういえば、アルカソーダラの「マトシャ」が、アキャーリで漁師をしていたはずだな。あたってみるか。			そういえば、アルカソーダラの「マトシャ」が、アキャーリで漁師をしていたはずだな。あたってみるか。			豊穣海に眠る神秘							
さすがに船の購入資金までは、持ち合わせていないんでな。すんなり借りられるといいんだが……。			さすがに船の購入資金までは、持ち合わせていないんでな。すんなり借りられるといいんだが……。			豊穣海に眠る神秘							
あんた方が、アキャーリまで来てくれるなんて嬉しいだす！オラに何か用だすか？			あんた方が、アキャーリまで来てくれるなんて嬉しいだす！オラに何か用だすか？			豊穣海に眠る神秘							
海底遺跡に向かうための、船を借りたい……？			海底遺跡に向かうための、船を借りたい……？			豊穣海に眠る神秘							
オラたちが、また漁に出られるようになったのは、あんた方のおかげ……そんな恩人の頼みを断るわけないだす！			オラたちが、また漁に出られるようになったのは、あんた方のおかげ……そんな恩人の頼みを断るわけないだす！			豊穣海に眠る神秘							
すぐに船の準備をしてくるから、ちょっと待っててほしいだす……！			すぐに船の準備をしてくるから、ちょっと待っててほしいだす……！			豊穣海に眠る神秘							
お前も気付いていたか……。ラザハンを出てからずっと、あとをつけてきていたようだ。			お前も気付いていたか……。ラザハンを出てからずっと、あとをつけてきていたようだ。			豊穣海に眠る神秘							
おい。俺たちに何の用だ？			おい。俺たちに何の用だ？			豊穣海に眠る神秘							
やはり、か……。			やはり、か……。			豊穣海に眠る神秘							
お前が獣に襲われないような道を選んで歩くのは、なかなか骨が折れたぞ。			お前が獣に襲われないような道を選んで歩くのは、なかなか骨が折れたぞ。			豊穣海に眠る神秘							
(-貧しい身なりの少年-)に、兄ちゃんたち、この国を救ってくれた英雄なんだろ？なのに俺、ひどいことをしちまった……。			(-貧しい身なりの少年-)に、兄ちゃんたち、この国を救ってくれた英雄なんだろ？なのに俺、ひどいことをしちまった……。			豊穣海に眠る神秘							
(-貧しい身なりの少年-)俺、ザッシャルと……あの商人とグルで！宝の地図を高く売りつけるために、ひと芝居打ってたんだ……！			(-貧しい身なりの少年-)俺、ザッシャルと……あの商人とグルで！宝の地図を高く売りつけるために、ひと芝居打ってたんだ……！			豊穣海に眠る神秘							
(-貧しい身なりの少年-)この国のために戦ってくれた人たちを、だますような真似をして、ごめん……。兄ちゃんたちがいなかったら、今ごろ、俺や妹は……。			(-貧しい身なりの少年-)この国のために戦ってくれた人たちを、だますような真似をして、ごめん……。兄ちゃんたちがいなかったら、今ごろ、俺や妹は……。			豊穣海に眠る神秘							
気に病む必要はない。ちょうど、こいつも冒険がしたくて、海底遺跡とやらのことを追っていたようだからな。			気に病む必要はない。ちょうど、こいつも冒険がしたくて、海底遺跡とやらのことを追っていたようだからな。			豊穣海に眠る神秘							
(-貧しい身なりの少年-)……ありがとう。槍使いの兄ちゃん、冒険者の姉ちゃん兄ちゃん。			(-貧しい身なりの少年-)……ありがとう。槍使いの兄ちゃん、冒険者の姉ちゃん兄ちゃん。			豊穣海に眠る神秘							
(-貧しい身なりの少年-)俺がふたりのあとをつけてたのは、謝りたかっただけじゃなくて、気をつけてって、伝えたかったからなんだ。			(-貧しい身なりの少年-)俺がふたりのあとをつけてたのは、謝りたかっただけじゃなくて、気をつけてって、伝えたかったからなんだ。			豊穣海に眠る神秘							
(-貧しい身なりの少年-)兄ちゃんたちが買ったあの地図は「本物」なんだ。地図に記された島には、本当に海底に続く遺跡があるって、ザッシャルが言ってたのを聞いたんだよ！			(-貧しい身なりの少年-)兄ちゃんたちが買ったあの地図は「本物」なんだ。地図に記された島には、本当に海底に続く遺跡があるって、ザッシャルが言ってたのを聞いたんだよ！			豊穣海に眠る神秘							
(-貧しい身なりの少年-)前に、ザッシャルから遺跡の場所を聞いた人は、海に出て……それで、帰ってこなくなっちゃった。			(-貧しい身なりの少年-)前に、ザッシャルから遺跡の場所を聞いた人は、海に出て……それで、帰ってこなくなっちゃった。			豊穣海に眠る神秘							
(-貧しい身なりの少年-)本気で行こうとしてるなら、ふたりだけじゃ危ないよ！もっと仲間を集めて、万全な状態じゃないと！			(-貧しい身なりの少年-)本気で行こうとしてるなら、ふたりだけじゃ危ないよ！もっと仲間を集めて、万全な状態じゃないと！			豊穣海に眠る神秘							
海底遺跡がどれほどのものかは知らんが、俺とこいつなら、なんとかなるだろう。			海底遺跡がどれほどのものかは知らんが、俺とこいつなら、なんとかなるだろう。			豊穣海に眠る神秘							
(-貧しい身なりの少年-)でも……もし兄ちゃんたちまで帰ってこなかったら、俺、俺……！！			(-貧しい身なりの少年-)でも……もし兄ちゃんたちまで帰ってこなかったら、俺、俺……！！			豊穣海に眠る神秘							
何と言う？			何と言う？			豊穣海に眠る神秘							
ほかの仲間も誘ってみよう			ほかの仲間も誘ってみよう			豊穣海に眠る神秘							
この子を安心させてあげよう			この子を安心させてあげよう			豊穣海に眠る神秘							
エスティニアンが泣かせた			エスティニアンが泣かせた			豊穣海に眠る神秘							
そうだな。お前がそう言うなら異論はない。			そうだな。お前がそう言うなら異論はない。			豊穣海に眠る神秘							
それでこいつが安心するなら、ほかの連中にも声をかけてみるとするか。			それでこいつが安心するなら、ほかの連中にも声をかけてみるとするか。			豊穣海に眠る神秘							
おい、泣かせてはないだろう。人聞きの悪いことを言うのはよせ。			おい、泣かせてはないだろう。人聞きの悪いことを言うのはよせ。			豊穣海に眠る神秘							
わかった、わかった。それでこいつが安心するなら、ほかの連中に声をかけてみるとするか。			わかった、わかった。それでこいつが安心するなら、ほかの連中に声をかけてみるとするか。			豊穣海に眠る神秘							
だが、元「暁」の連中は、各々の目的のために旅立っていった……。声をかけるとして、いったい誰にかけるつもりだ？			だが、元「暁」の連中は、各々の目的のために旅立っていった……。声をかけるとして、いったい誰にかけるつもりだ？			豊穣海に眠る神秘							
何と言う？			何と言う？			豊穣海に眠る神秘							
サンクレッドとウリエンジェ			サンクレッドとウリエンジェ			豊穣海に眠る神秘							
アルフィノとアリゼー			アルフィノとアリゼー			豊穣海に眠る神秘							
グ・ラハ・ティアとクルル			グ・ラハ・ティアとクルル			豊穣海に眠る神秘							
ヤ・シュトラ			ヤ・シュトラ			豊穣海に眠る神秘							
サンクレッドとウリエンジェか……。			サンクレッドとウリエンジェか……。			豊穣海に眠る神秘							
声をかければ乗ってくるだろうが、あいつらも目的を持って「石の家」を旅立っていったんだ。いまは自由にさせてやるのがいいんじゃないか。			声をかければ乗ってくるだろうが、あいつらも目的を持って「石の家」を旅立っていったんだ。いまは自由にさせてやるのがいいんじゃないか。			豊穣海に眠る神秘							
アルフィノとアリゼーか……。だが、あいつらは「暁」の解散後、帝都へと向かったはずだ。宝探しなんて浮ついた理由で呼び寄せるわけにはいくまい。			アルフィノとアリゼーか……。だが、あいつらは「暁」の解散後、帝都へと向かったはずだ。宝探しなんて浮ついた理由で呼び寄せるわけにはいくまい。			豊穣海に眠る神秘							
ほう、グ・ラハとクルルか。委員会再建を目指す手前、クルルは出てこれんだろうが……グ・ラハなら、お前が誘えば、ふたつ返事でついてきそうだ。			ほう、グ・ラハとクルルか。委員会再建を目指す手前、クルルは出てこれんだろうが……グ・ラハなら、お前が誘えば、ふたつ返事でついてきそうだ。			豊穣海に眠る神秘							
ヤ・シュトラか……。			ヤ・シュトラか……。			豊穣海に眠る神秘							
あの魔法は頼りになるが、研究の最中に呼びつけたら、チクチク言われそうだからな。もっと確実に来そうな奴から、声をかけるとしよう。			あの魔法は頼りになるが、研究の最中に呼びつけたら、チクチク言われそうだからな。もっと確実に来そうな奴から、声をかけるとしよう。			豊穣海に眠る神秘							
これなら、少しは安心できるか？			これなら、少しは安心できるか？			豊穣海に眠る神秘							
(-貧しい身なりの少年-)う、うん……。その人も、兄ちゃんたちみたいに強いんだろ？			(-貧しい身なりの少年-)う、うん……。その人も、兄ちゃんたちみたいに強いんだろ？			豊穣海に眠る神秘							
そういえば、まだお前の名を聞いていなかったな。			そういえば、まだお前の名を聞いていなかったな。			豊穣海に眠る神秘							
俺はメラドって言うんだ。			俺はメラドって言うんだ。			豊穣海に眠る神秘							
メラド。お前の人生、どう生きるのもお前の勝手だ。だが、妹を大事に思うなら、稼ぎ方は考えた方がいい。			メラド。お前の人生、どう生きるのもお前の勝手だ。だが、妹を大事に思うなら、稼ぎ方は考えた方がいい。			豊穣海に眠る神秘							
お、俺だって、好きで詐欺まがいの商売を手伝ってるわけじゃ……！			お、俺だって、好きで詐欺まがいの商売を手伝ってるわけじゃ……！			豊穣海に眠る神秘							
でも、まだまだ終末の傷跡が残るこの島には、俺たちみたいな、みなし子を助ける余裕なんてない……。だから、俺は……どうやっても稼がなくちゃいけないんだ。			でも、まだまだ終末の傷跡が残るこの島には、俺たちみたいな、みなし子を助ける余裕なんてない……。だから、俺は……どうやっても稼がなくちゃいけないんだ。			豊穣海に眠る神秘							
待て。			待て。			豊穣海に眠る神秘							
……帰り道で獣に襲われでもしたら後味が悪い。ラザハンまで送ってやる。			……帰り道で獣に襲われでもしたら後味が悪い。ラザハンまで送ってやる。			豊穣海に眠る神秘							
うん……ありがとう、槍使いの兄ちゃん。			うん……ありがとう、槍使いの兄ちゃん。			豊穣海に眠る神秘							
エスティニアンだ。			エスティニアンだ。			豊穣海に眠る神秘							
赤き月のヴァルシャンは、決意に満ちている。			赤き月のヴァルシャンは、決意に満ちている。			ヴォイドの英雄							
ヴァルシャンと話した。ゼロムスを討ち倒し、アジュダヤの魂を救い出すため、「月の地下渓谷」を攻略しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			ヴァルシャンと話した。ゼロムスを討ち倒し、アジュダヤの魂を救い出すため、「月の地下渓谷」を攻略しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			ヴォイドの英雄							
