ワチュメキメキ万貨街のローペリは、良き職人を求めているようだ。			ワチュメキメキ万貨街のローペリは、良き職人を求めているようだ。			ワチュメキメキ万貨街							
ちょうど、凱旋門の方で出店者の受け入れを手伝っている、「パメカ」たちの状況も気になっていたところだし……なにより励みになると思うんだ、きみが来てくれたら。			ちょうど、凱旋門の方で出店者の受け入れを手伝っている、「パメカ」たちの状況も気になっていたところだし……なにより励みになると思うんだ、きみが来てくれたら。			ワチュメキメキ大感謝祭							
筆記工房もセールに参加すると聞いて、パメカさんが腱鞘炎になるのでは、と思いまして……。酒場の方は休みを取って、こちらのお手伝いを願い出たんですよ。			筆記工房もセールに参加すると聞いて、パメカさんが腱鞘炎になるのでは、と思いまして……。酒場の方は休みを取って、こちらのお手伝いを願い出たんですよ。			ワチュメキメキ大感謝祭							
出店にあたっては、事前に申請書の提出が必要になります。よろしければ、こちらで代筆いたしますので、お店の内容を教えていただけないでしょうか？			出店にあたっては、事前に申請書の提出が必要になります。よろしければ、こちらで代筆いたしますので、お店の内容を教えていただけないでしょうか？			ワチュメキメキ大感謝祭							
(-ペルペル族の出店者-)おおいに助かるよ、手間が省けて！ところで、アルパカは店頭に立たせても大丈夫かな？僕たち旅歩きの商人には欠かせない友なんだ。			(-ペルペル族の出店者-)おおいに助かるよ、手間が省けて！ところで、アルパカは店頭に立たせても大丈夫かな？僕たち旅歩きの商人には欠かせない友なんだ。			ワチュメキメキ大感謝祭							
なるほど、それは特記事項に書いておきましょう。衛生面に気を配れば問題ないかと。			なるほど、それは特記事項に書いておきましょう。衛生面に気を配れば問題ないかと。			ワチュメキメキ大感謝祭							
(-ペルペル族の出店者-)ありがとう！おとなしい子だから迷惑もかけないはずさ。			(-ペルペル族の出店者-)ありがとう！おとなしい子だから迷惑もかけないはずさ。			ワチュメキメキ大感謝祭							
(-ペルペル族の出店者-)ところで、美味いジュースの店があるらしいじゃないか。普段はマテ茶を好んでるけど、そっちも気になるから、飲みに行きたいね、余裕があったら！			(-ペルペル族の出店者-)ところで、美味いジュースの店があるらしいじゃないか。普段はマテ茶を好んでるけど、そっちも気になるから、飲みに行きたいね、余裕があったら！			ワチュメキメキ大感謝祭							
ああ、そういうことでしたら……来場者に頒布する予定のカタログも作成中ですから、気になるお店がありましたら、立ち寄ってみてください！			ああ、そういうことでしたら……来場者に頒布する予定のカタログも作成中ですから、気になるお店がありましたら、立ち寄ってみてください！			ワチュメキメキ大感謝祭							
(-ヨカフイ族の出店者-)主な商品は、我々が使っている職人道具や、それを用いて加工した石細工などだ。もちろん、トライヨラの民の大きさに合わせたものだよ。			(-ヨカフイ族の出店者-)主な商品は、我々が使っている職人道具や、それを用いて加工した石細工などだ。もちろん、トライヨラの民の大きさに合わせたものだよ。			ワチュメキメキ大感謝祭							
わかりました、それなら問題なく陳列できそうですね。出店申請のための書類はこちらで代筆しておきましょう。			わかりました、それなら問題なく陳列できそうですね。出店申請のための書類はこちらで代筆しておきましょう。			ワチュメキメキ大感謝祭							
ほかにも、お店の看板や商品の値札など、代筆が必要なものがありましたら承りますよ。			ほかにも、お店の看板や商品の値札など、代筆が必要なものがありましたら承りますよ。			ワチュメキメキ大感謝祭							
(-ヨカフイ族の出店者-)おお、それは助かる。こちらで使われている文字は、我々には読めぬものだからな。			(-ヨカフイ族の出店者-)おお、それは助かる。こちらで使われている文字は、我々には読めぬものだからな。			ワチュメキメキ大感謝祭							
違う文化を持つ者同士が集まり、言葉を交わし合う……なんとも素晴らしい催しですよね。			違う文化を持つ者同士が集まり、言葉を交わし合う……なんとも素晴らしい催しですよね。			ワチュメキメキ大感謝祭							
もしよろしければ、設営のお手伝いをしながら、あなたの故郷のお話を聞かせてください。			もしよろしければ、設営のお手伝いをしながら、あなたの故郷のお話を聞かせてください。			ワチュメキメキ大感謝祭							
ちょっと、デモウェニ君……もしかして、それがお手伝いの真の目的だったのでは！？			ちょっと、デモウェニ君……もしかして、それがお手伝いの真の目的だったのでは！？			ワチュメキメキ大感謝祭							
ああ、Forename君。私たちは、出店のため来訪した方々をお迎えしているんです。皆さん続々と来てくださっているので、とても順調ですよ！			ああ、Forename君。私たちは、出店のため来訪した方々をお迎えしているんです。皆さん続々と来てくださっているので、とても順調ですよ！			ワチュメキメキ大感謝祭							
私たちがローペリさんの手伝いに専念できるように、住民への宣伝はシェーロジャさんたちが引き受けてくれました。今は、ブライトプルーム・ポストの方にいらっしゃるかと！			私たちがローペリさんの手伝いに専念できるように、住民への宣伝はシェーロジャさんたちが引き受けてくれました。今は、ブライトプルーム・ポストの方にいらっしゃるかと！			ワチュメキメキ大感謝祭							
トライヨラでの出店が面倒だと思われないように、事務作業は私たちが代理で行います。お店側も、お祭りを楽しんでいただきたいですからね！			トライヨラでの出店が面倒だと思われないように、事務作業は私たちが代理で行います。お店側も、お祭りを楽しんでいただきたいですからね！			ワチュメキメキ大感謝祭							
各地から訪れたお客さんの対応なら、酒場で慣れていますから、僕に任せてください。相手にわかりやすいたとえ話を交えて、手厚く説明しますよ！			各地から訪れたお客さんの対応なら、酒場で慣れていますから、僕に任せてください。相手にわかりやすいたとえ話を交えて、手厚く説明しますよ！			ワチュメキメキ大感謝祭							
毎日　おつかれ　隊士さん～！			毎日　おつかれ　隊士さん～！			ワチュメキメキ大感謝祭							
日々の鍛錬、ご苦労様です。よければ疲労回復に効く、こちらのジュースをどうぞ！			日々の鍛錬、ご苦労様です。よければ疲労回復に効く、こちらのジュースをどうぞ！			ワチュメキメキ大感謝祭							
毎日　おつかれ　隊士さん～！間もなく開催　ワチュメキメキ大感謝祭ジュースを飲みに　みんなで来てね～！			毎日　おつかれ　隊士さん～！間もなく開催　ワチュメキメキ大感謝祭ジュースを飲みに　みんなで来てね～！			ワチュメキメキ大感謝祭							
ごめんなさい、貴方に気がついていたんだけど、宣伝がうまくいっていたものだから。			ごめんなさい、貴方に気がついていたんだけど、宣伝がうまくいっていたものだから。			ワチュメキメキ大感謝祭							
トライヨラの皆さんを感謝祭にお誘いしつつ、ジュースを試供していたのよ。ハレナルクも元気よく手伝ってくれるから、助かってるわ。			トライヨラの皆さんを感謝祭にお誘いしつつ、ジュースを試供していたのよ。ハレナルクも元気よく手伝ってくれるから、助かってるわ。			ワチュメキメキ大感謝祭							
でも、ドーム内の方々のことで、少し不安もあるの。トライヨラとは違う環境で過ごしてきた人たちが、私たちのジュースを気に入ってくれるかどうか……。			でも、ドーム内の方々のことで、少し不安もあるの。トライヨラとは違う環境で過ごしてきた人たちが、私たちのジュースを気に入ってくれるかどうか……。			ワチュメキメキ大感謝祭							
ドーム内を見てきたForenameは、どう思うかしら……？あちらでの食文化について、なにか知っていることはある？			ドーム内を見てきたForenameは、どう思うかしら……？あちらでの食文化について、なにか知っていることはある？			ワチュメキメキ大感謝祭							
何と言う？			何と言う？			ワチュメキメキ大感謝祭							
活力の湧くエナジードリンクが売っていた			活力の湧くエナジードリンクが売っていた			ワチュメキメキ大感謝祭							
美味しいものは万国共通で好まれる			美味しいものは万国共通で好まれる			ワチュメキメキ大感謝祭							
それって……ブネワ・ソーダにもよく似てるわね！なら、私のジュースも喜んでもらえるかしら。			それって……ブネワ・ソーダにもよく似てるわね！なら、私のジュースも喜んでもらえるかしら。			ワチュメキメキ大感謝祭							
それなら、一番の自信作ブネワ・ソーダを提供しようかしら。あれは元気が出るうえ、味わいも万人受けすると思うし。			それなら、一番の自信作ブネワ・ソーダを提供しようかしら。あれは元気が出るうえ、味わいも万人受けすると思うし。			ワチュメキメキ大感謝祭							
フゴォ……フゴォ……相も変わらず　シェーロジャ　自信なし～それじゃ　いつまで経っても　ミジュクモノ～			フゴォ……フゴォ……相も変わらず　シェーロジャ　自信なし～それじゃ　いつまで経っても　ミジュクモノ～			ワチュメキメキ大感謝祭							
そ、それとは違う話でしょう！？しっかり喜んでもらえるよう確認しただけで……！			そ、それとは違う話でしょう！？しっかり喜んでもらえるよう確認しただけで……！			ワチュメキメキ大感謝祭							
心配しすぎも　禁物よ～シェーロジャ　まだまだ　ダメそうね～モブがいなくちゃ　ダメそうね～			心配しすぎも　禁物よ～シェーロジャ　まだまだ　ダメそうね～モブがいなくちゃ　ダメそうね～			ワチュメキメキ大感謝祭							
見苦しいところをごめんなさいね、貴方の言葉のおかげで、改めて自信が持てたわ。万貨街へお越しになる皆さんのためにも、頑張るわね。			見苦しいところをごめんなさいね、貴方の言葉のおかげで、改めて自信が持てたわ。万貨街へお越しになる皆さんのためにも、頑張るわね。			ワチュメキメキ大感謝祭							
そういえば、ラルソジさんたちがお店の方で、なにか面白いものを作っていたみたい。こちらは大丈夫だから、見にいってみたらどうかしら？			そういえば、ラルソジさんたちがお店の方で、なにか面白いものを作っていたみたい。こちらは大丈夫だから、見にいってみたらどうかしら？			ワチュメキメキ大感謝祭							
シューニェさんやドヌハヌさんたちは、向こうでお食事もしてくるかしら？感想が聞けたら、次の新作ジュースのヒントになるかも……！			シューニェさんやドヌハヌさんたちは、向こうでお食事もしてくるかしら？感想が聞けたら、次の新作ジュースのヒントになるかも……！			ワチュメキメキ大感謝祭							
シェーロジャ　作った　シュワシュワジュースドームの人たち　飲んでほし～！			シェーロジャ　作った　シュワシュワジュースドームの人たち　飲んでほし～！			ワチュメキメキ大感謝祭							
Forename、来てくれたのか。ということは、ドームの中の勧誘は順調のようだな？			Forename、来てくれたのか。ということは、ドームの中の勧誘は順調のようだな？			ワチュメキメキ大感謝祭							
そうか、なによりだ。いま俺たちは、大感謝祭を盛り上げるための、でかい装飾を作っててな。			そうか、なによりだ。いま俺たちは、大感謝祭を盛り上げるための、でかい装飾を作っててな。			ワチュメキメキ大感謝祭							
はいっ、西の発着場にある「気球」をモチーフにしてみました！ネックレスのひものように、各地の集落と街を結んでくれる、多部族国家トライヨラの象徴ですから！			はいっ、西の発着場にある「気球」をモチーフにしてみました！ネックレスのひものように、各地の集落と街を結んでくれる、多部族国家トライヨラの象徴ですから！			ワチュメキメキ大感謝祭							
布材や紙材は、筆記工房のパメカさんが提供してくれたので、ご覧のとおり作業も順調ですよ！			布材や紙材は、筆記工房のパメカさんが提供してくれたので、ご覧のとおり作業も順調ですよ！			ワチュメキメキ大感謝祭							
これから完成品を万貨街のあちこちに置いていく予定なのですが、Forenameさんが来てくれたのなら……ひとつお願いしたいことが！			これから完成品を万貨街のあちこちに置いていく予定なのですが、Forenameさんが来てくれたのなら……ひとつお願いしたいことが！			ワチュメキメキ大感謝祭							
えっと、いま出来上がっている分の装飾を、万貨街のあちこちに設置してきてほしいんです……！			えっと、いま出来上がっている分の装飾を、万貨街のあちこちに設置してきてほしいんです……！			ワチュメキメキ大感謝祭							
いっぱいあった方が華やかでしょうし、せっかくなら、ギリギリまでもうちょっと作りたくって……！			いっぱいあった方が華やかでしょうし、せっかくなら、ギリギリまでもうちょっと作りたくって……！			ワチュメキメキ大感謝祭							
これを渡すから、すまないが俺からも頼む。「ローペリ」さんにも、よろしく言っといてくれると助かるよ。			これを渡すから、すまないが俺からも頼む。「ローペリ」さんにも、よろしく言っといてくれると助かるよ。			ワチュメキメキ大感謝祭							
装飾は、簡単な組み立てで設置できるようになってる。万貨街の目立つところに、いくつか置いてもらえると助かるよ。終わったら、ローペリさんにもよろしく伝えてくれ。			装飾は、簡単な組み立てで設置できるようになってる。万貨街の目立つところに、いくつか置いてもらえると助かるよ。終わったら、ローペリさんにもよろしく伝えてくれ。			ワチュメキメキ大感謝祭							
装飾として飾るために簡易化している部分もありますが、できるだけ、もとの気球に寄せた意匠にしているんです。鳥を表しているみたいで可愛いですよね！			装飾として飾るために簡易化している部分もありますが、できるだけ、もとの気球に寄せた意匠にしているんです。鳥を表しているみたいで可愛いですよね！			ワチュメキメキ大感謝祭							
Forename、皆の様子はどうだった？			Forename、皆の様子はどうだった？			ワチュメキメキ大感謝祭							
そうか、皆も張り切っているようだね。本当に助かるよ、様子を見てまわってくれて。			そうか、皆も張り切っているようだね。本当に助かるよ、様子を見てまわってくれて。			ワチュメキメキ大感謝祭							
おかげで私たち運営の準備も順調さ。あとは各地から来る出店者の受け入れを進めるばかりだ。			おかげで私たち運営の準備も順調さ。あとは各地から来る出店者の受け入れを進めるばかりだ。			ワチュメキメキ大感謝祭							
シューニェからも、出店を望んだ人たちとともに、じきトライヨラに戻ると連絡があったし……			シューニェからも、出店を望んだ人たちとともに、じきトライヨラに戻ると連絡があったし……			ワチュメキメキ大感謝祭							
ここからも見えたよ、きみの置いてくれた装飾が。万貨街の賑わいに華を添えてくれる品だね。			ここからも見えたよ、きみの置いてくれた装飾が。万貨街の賑わいに華を添えてくれる品だね。			ワチュメキメキ大感謝祭							
このまま順調に準備が進めば、いよいよ大感謝祭の開催だ。きみも見届けてくれるかい？			このまま順調に準備が進めば、いよいよ大感謝祭の開催だ。きみも見届けてくれるかい？			ワチュメキメキ大感謝祭							
ワチュメキメキ大感謝祭の開催を見届けますか？			ワチュメキメキ大感謝祭の開催を見届けますか？			ワチュメキメキ大感謝祭							
とっておきのブネワ・ソーダはいかがですか？香辛料やハーブを使った、元気のでる一杯ですよ！			とっておきのブネワ・ソーダはいかがですか？香辛料やハーブを使った、元気のでる一杯ですよ！			ワチュメキメキ大感謝祭							
初来店なら　サービスしちゃう！シュワっと爽やか　スパイスふわっと　お試しあれ～！			初来店なら　サービスしちゃう！シュワっと爽やか　スパイスふわっと　お試しあれ～！			ワチュメキメキ大感謝祭							
トライヨラに住むご親戚への、お手紙の代筆ですね？ええ、感謝祭限定価格でご提供します。			トライヨラに住むご親戚への、お手紙の代筆ですね？ええ、感謝祭限定価格でご提供します。			ワチュメキメキ大感謝祭							
よければ、あなたが暮らしている町の話も、聞かせてもらえませんか？最近の様子を、手紙にも記せたらと思うんです。			よければ、あなたが暮らしている町の話も、聞かせてもらえませんか？最近の様子を、手紙にも記せたらと思うんです。			ワチュメキメキ大感謝祭							
なあ、金属の日用道具に興味はないか？頑丈なやつを、ここを発つまでに作ってやろう。			なあ、金属の日用道具に興味はないか？頑丈なやつを、ここを発つまでに作ってやろう。			ワチュメキメキ大感謝祭							
お客様の使いやすいように大きさを合わせますし、品質の高さも保証しますよ！			お客様の使いやすいように大きさを合わせますし、品質の高さも保証しますよ！			ワチュメキメキ大感謝祭							
さあ嬢ちゃん方、どの魚がお気に召したかな？うちで扱ってるのは、どれも、どれも、格別さ！			さあ嬢ちゃん方、どの魚がお気に召したかな？うちで扱ってるのは、どれも、どれも、格別さ！			ワチュメキメキ大感謝祭							
調理法がわからなくてもご安心を！どの魚も美味しく食べる方法をお教えしますよ！			調理法がわからなくてもご安心を！どの魚も美味しく食べる方法をお教えしますよ！			ワチュメキメキ大感謝祭							
どんな方法をとるにせよ、店を完全に畳むつもりはないので、ご心配なく。商品の仕入れも、心配が要らなくなったことですしねぇ。			どんな方法をとるにせよ、店を完全に畳むつもりはないので、ご心配なく。商品の仕入れも、心配が要らなくなったことですしねぇ。			ワチュメキメキ大感謝祭							
おやまあ、彼女の店を見てきてもよかったんですよ。誘われていたんでしょう？			おやまあ、彼女の店を見てきてもよかったんですよ。誘われていたんでしょう？			ワチュメキメキ大感謝祭							
あちらの国の特産品や工芸品を持ってきてくれたそうだ。興味がないわけではないが、俺はここの従業員……そして業務中だからな。			あちらの国の特産品や工芸品を持ってきてくれたそうだ。興味がないわけではないが、俺はここの従業員……そして業務中だからな。			ワチュメキメキ大感謝祭							
ういうい、ワチュメキメキ大感謝祭は大成功だね！売る側も、買う側も嬉しい商いになっているなら、なによりだ。			ういうい、ワチュメキメキ大感謝祭は大成功だね！売る側も、買う側も嬉しい商いになっているなら、なによりだ。			ワチュメキメキ大感謝祭							
商いは、需要と供給の釣り合いさ。何かが欲しいとき、その対価にはペルやギルが必要で、その金を稼ぐために働くこともまた、誰かにとって必要なこと。			商いは、需要と供給の釣り合いさ。何かが欲しいとき、その対価にはペルやギルが必要で、その金を稼ぐために働くこともまた、誰かにとって必要なこと。			ワチュメキメキ大感謝祭							
こうやって商いは、いろんな人やものを連ねていくんだよ。「多様なものが連なるネックレス」……まさにワチュメキメキだねぇ。			こうやって商いは、いろんな人やものを連ねていくんだよ。「多様なものが連なるネックレス」……まさにワチュメキメキだねぇ。			ワチュメキメキ大感謝祭							
さあ、今日は売り買いのまたとない好機だよ。終わりの時間まで、きみも見てまわってくるといい！			さあ、今日は売り買いのまたとない好機だよ。終わりの時間まで、きみも見てまわってくるといい！			ワチュメキメキ大感謝祭							
いやはや、なによりだよ！こんなにもいろんな人が売り買いを楽しんでくれて！			いやはや、なによりだよ！こんなにもいろんな人が売り買いを楽しんでくれて！			ワチュメキメキ大感謝祭							
そもそも、きみが職人として各店を援助してくれなかったら、彼らは悩みを抱えていたままだっただろうし……			そもそも、きみが職人として各店を援助してくれなかったら、彼らは悩みを抱えていたままだっただろうし……			ワチュメキメキ大感謝祭							
Forename。きみに心から感謝するよ！			Forename。きみに心から感謝するよ！			ワチュメキメキ大感謝祭							
そしてこれからもどうかご贔屓にね、ワチュメキメキ万貨街を！			そしてこれからもどうかご贔屓にね、ワチュメキメキ万貨街を！			ワチュメキメキ大感謝祭							
本クエストを進行するためには、「メインクエスト：黄金のレガシー 完結編」の、「未知との邂逅」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：黄金のレガシー 完結編」の、「未知との邂逅」を完了する必要があります。			ワチュメキメキ大感謝祭							
