忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			イシュガルドのリスキーモブ							
彼女ほど敏感であれば、同じ危険をおかすほど、愚かにはなれないでしょう……。今はその予防ができただけで、良しといたします。			彼女ほど敏感であれば、同じ危険をおかすほど、愚かにはなれないでしょう……。今はその予防ができただけで、良しといたします。			女商人の罠							
イシュガルドの精悍な神殿騎士は、ニーズヘッグを討った冒険者の力を貸してほしいようだ。			イシュガルドの精悍な神殿騎士は、ニーズヘッグを討った冒険者の力を貸してほしいようだ。			調査隊、出発！							
精悍な神殿騎士は、ニーズヘッグを討った冒険者の力を貸してほしいようだ。イシュガルドの神殿騎士団本部にいる「アンドゥルー」と話そう。			精悍な神殿騎士は、ニーズヘッグを討った冒険者の力を貸してほしいようだ。イシュガルドの神殿騎士団本部にいる「アンドゥルー」と話そう。			調査隊、出発！							
アンドゥルーから、ドラヴァニア雲海の強行偵察作戦への協力を頼まれた。神殿騎士団本部の「マエヌ」と話そう。			アンドゥルーから、ドラヴァニア雲海の強行偵察作戦への協力を頼まれた。神殿騎士団本部の「マエヌ」と話そう。			調査隊、出発！							
マエヌと話し、強行偵察に協力することになった。ドラヴァニア雲海の「飛竜泊」にいる「マエヌ」と話そう。			マエヌと話し、強行偵察に協力することになった。ドラヴァニア雲海の「飛竜泊」にいる「マエヌ」と話そう。			調査隊、出発！							
マエヌは無事に、飛竜泊に到着できたようだ。邪竜の眷属の動向を探る強行偵察を、本格的にスタートさせよう。			マエヌは無事に、飛竜泊に到着できたようだ。邪竜の眷属の動向を探る強行偵察を、本格的にスタートさせよう。			調査隊、出発！							
神殿騎士団本部のアンドゥルーと話す			神殿騎士団本部のアンドゥルーと話す			調査隊、出発！							
マエヌと話す			マエヌと話す			調査隊、出発！							
飛竜泊のマエヌと話す			飛竜泊のマエヌと話す			調査隊、出発！							
おぉ、Forename殿……探しておりましたぞ。我が上官、神殿騎士団コマンドのアンドゥルー卿が、ぜひ、貴殿の協力を願いたいと仰せになっておりましてな。			おぉ、Forename殿……探しておりましたぞ。我が上官、神殿騎士団コマンドのアンドゥルー卿が、ぜひ、貴殿の協力を願いたいと仰せになっておりましてな。			調査隊、出発！							
よろしければ、神殿騎士団本部まで足を運び、「アンドゥルー」卿から、話を聞いてはもらえないでしょうか？			よろしければ、神殿騎士団本部まで足を運び、「アンドゥルー」卿から、話を聞いてはもらえないでしょうか？			調査隊、出発！							
我らが神殿騎士団に、ぜひその力を……。よろしくお願い致します。			我らが神殿騎士団に、ぜひその力を……。よろしくお願い致します。			調査隊、出発！							
ドラヴァニア雲海か。いったい、どのような場所なのだろう……。			ドラヴァニア雲海か。いったい、どのような場所なのだろう……。			調査隊、出発！							
おぉ、来てくれたか！実は、ぜひ君に力を貸してもらいたい作戦があってな。			おぉ、来てくれたか！実は、ぜひ君に力を貸してもらいたい作戦があってな。			調査隊、出発！							
我々は、君たちが邪竜を退けた後、その眷属たちがどのような状況にあるのかを知りたい。そこで、ドラヴァニア雲海の強行偵察作戦が立案されたのだ。			我々は、君たちが邪竜を退けた後、その眷属たちがどのような状況にあるのかを知りたい。そこで、ドラヴァニア雲海の強行偵察作戦が立案されたのだ。			調査隊、出発！							
もしよければ、偵察部隊を率いる竜騎士「マエヌ」に、声をかけて、力を貸してやってほしい。よろしく頼む。			もしよければ、偵察部隊を率いる竜騎士「マエヌ」に、声をかけて、力を貸してやってほしい。よろしく頼む。			調査隊、出発！							
今回の計画の指揮は、マエヌに任せることにした。どうか、力を貸してやってほしい。			今回の計画の指揮は、マエヌに任せることにした。どうか、力を貸してやってほしい。			調査隊、出発！							
やあ、君が噂のForenameか！今回の作戦指揮を任されている、竜騎士のマエヌだ。私に力を貸してくれるんだね？			やあ、君が噂のForenameか！今回の作戦指揮を任されている、竜騎士のマエヌだ。私に力を貸してくれるんだね？			調査隊、出発！							
邪竜「ニーズヘッグ」を退けた、君がいれば百人力だ。すでに聞き及んでいることと思うが、今回の主目的は、敵地に乗り込んでの強行偵察でね。			邪竜「ニーズヘッグ」を退けた、君がいれば百人力だ。すでに聞き及んでいることと思うが、今回の主目的は、敵地に乗り込んでの強行偵察でね。			調査隊、出発！							
だが、「ドラヴァニア雲海」となると、我々にとっては、まさしく未知の領域なのだ。現地の様子を、できるだけ細かく教えてもらえないだろうか？			だが、「ドラヴァニア雲海」となると、我々にとっては、まさしく未知の領域なのだ。現地の様子を、できるだけ細かく教えてもらえないだろうか？			調査隊、出発！							
……なるほど。その情報から、比較的リスクの少ない航路が割り出せそうだ。飛空艇を用いて、「飛竜泊」とやらを目指すとしよう。			……なるほど。その情報から、比較的リスクの少ない航路が割り出せそうだ。飛空艇を用いて、「飛竜泊」とやらを目指すとしよう。			調査隊、出発！							
さっそく出撃準備に取りかかるとするよ。向こうで落ち合おう、では！			さっそく出撃準備に取りかかるとするよ。向こうで落ち合おう、では！			調査隊、出発！							
Forename殿のご協力に、感謝いたします！			Forename殿のご協力に、感謝いたします！			調査隊、出発！							
ここが、ドラヴァニア雲海……。ドラゴン族の本拠地に来るのは、初めてだ。			ここが、ドラヴァニア雲海……。ドラゴン族の本拠地に来るのは、初めてだ。			調査隊、出発！							
頭目であるニーズヘッグを失ったドラゴン族が、いかなる状態にあるのか……。皇都の安全のためにも、この目で確かめねばならない。			頭目であるニーズヘッグを失ったドラゴン族が、いかなる状態にあるのか……。皇都の安全のためにも、この目で確かめねばならない。			調査隊、出発！							
しかし、ここに来てからというもの……。何かに監視されているような気がする。これはいったい……。			しかし、ここに来てからというもの……。何かに監視されているような気がする。これはいったい……。			調査隊、出発！							
すぐに調査を始めたほうがよさそうだな。Forename、君の力に期待しているよ。			すぐに調査を始めたほうがよさそうだな。Forename、君の力に期待しているよ。			調査隊、出発！							
フォルタン伯爵邸付近のアインハルト家の騎兵は、冒険者に届けてほしいものがあるようだ。			フォルタン伯爵邸付近のアインハルト家の騎兵は、冒険者に届けてほしいものがあるようだ。			戦旗の語る落日							
アインハルト家の騎兵から、クロードバンの追悼式典に参加できなかった薔薇騎兵団のため、戦旗を届けてほしいと頼まれた。アバラシア雲海のキャンプ・クラウドトップにいる「ロントルモン」に「焼け焦げた戦旗」を見せよう。			アインハルト家の騎兵から、クロードバンの追悼式典に参加できなかった薔薇騎兵団のため、戦旗を届けてほしいと頼まれた。アバラシア雲海のキャンプ・クラウドトップにいる「ロントルモン」に「焼け焦げた戦旗」を見せよう。			戦旗の語る落日							
ロントルモンに焼け焦げた戦旗を見せると、彼はスチールヴィジルでの激戦と、クロードバンのことを思い返した。その後、戦旗をラニエットへ届けてほしいと頼まれた。アバラシア雲海のローズハウスにいる「ラニエット」に「焼け焦げた戦旗」を渡そう。			ロントルモンに焼け焦げた戦旗を見せると、彼はスチールヴィジルでの激戦と、クロードバンのことを思い返した。その後、戦旗をラニエットへ届けてほしいと頼まれた。アバラシア雲海のローズハウスにいる「ラニエット」に「焼け焦げた戦旗」を渡そう。			戦旗の語る落日							
ラニエットに焼け焦げた戦旗を渡すと、彼女もクロードバンのことを思い返した。クロードバンは優れた人物であり、その死がアインハルト家の落日の始まりだったのかもしれないと、ラニエットは語った。			ラニエットに焼け焦げた戦旗を渡すと、彼女もクロードバンのことを思い返した。クロードバンは優れた人物であり、その死がアインハルト家の落日の始まりだったのかもしれないと、ラニエットは語った。			戦旗の語る落日							
キャンプ・クラウドトップのロントルモンに焼け焦げた戦旗を見せる			キャンプ・クラウドトップのロントルモンに焼け焦げた戦旗を見せる			戦旗の語る落日							
ラニエットに焼け焦げた戦旗を渡す			ラニエットに焼け焦げた戦旗を渡す			戦旗の語る落日							
先日、スチールヴィジル防衛戦で命を落とされました、アインハルト家の三男、クロードバン様の命日があり、ささやかな追悼式典がございました。			先日、スチールヴィジル防衛戦で命を落とされました、アインハルト家の三男、クロードバン様の命日があり、ささやかな追悼式典がございました。			戦旗の語る落日							
しかし、キャンプ・クラウドトップに赴任している、「薔薇騎兵団」の者たちは、任地を離れるわけにもいかず、式典に参加することは叶いませんでした。			しかし、キャンプ・クラウドトップに赴任している、「薔薇騎兵団」の者たちは、任地を離れるわけにもいかず、式典に参加することは叶いませんでした。			戦旗の語る落日							
ですが、私の友人であるロントルモンは、クロードバン様に仕えていた身……。式典に参加したいと思っていたに違いありません。			ですが、私の友人であるロントルモンは、クロードバン様に仕えていた身……。式典に参加したいと思っていたに違いありません。			戦旗の語る落日							
どうか、「キャンプ・クラウドトップ」の「ロントルモン」に、式典の際に掲げられた「焼け焦げた戦旗」を、届けてもらえないでしょうか？			どうか、「キャンプ・クラウドトップ」の「ロントルモン」に、式典の際に掲げられた「焼け焦げた戦旗」を、届けてもらえないでしょうか？			戦旗の語る落日							
どうか、「キャンプ・クラウドトップ」の「ロントルモン」に、式典の際に掲げられた「焼け焦げた戦旗」を、届けてもらえないでしょうか？			どうか、「キャンプ・クラウドトップ」の「ロントルモン」に、式典の際に掲げられた「焼け焦げた戦旗」を、届けてもらえないでしょうか？			戦旗の語る落日							
冒険者……？こんなところに何か用か？			冒険者……？こんなところに何か用か？			戦旗の語る落日							
……これは、スチールヴィジルにかかっていた戦旗か。黄竜スヴァラのブレスに焼かれて、焦げてるな……。懐かしい……と言っていいのだろうか……。			……これは、スチールヴィジルにかかっていた戦旗か。黄竜スヴァラのブレスに焼かれて、焦げてるな……。懐かしい……と言っていいのだろうか……。			戦旗の語る落日							
思い返せば、壮絶な戦いだった。第七霊災を生き残ったというのに、スヴァラやナウル……多くのドラゴン族が襲撃してきたのだからな。			思い返せば、壮絶な戦いだった。第七霊災を生き残ったというのに、スヴァラやナウル……多くのドラゴン族が襲撃してきたのだからな。			戦旗の語る落日							
クロードバン様がいなければ、被害は拡大していただろう……。寡黙で勇敢で……憧れの上官だったよ……。私は幸運だった、彼の思いを最後まで受け取ることができたから。			クロードバン様がいなければ、被害は拡大していただろう……。寡黙で勇敢で……憧れの上官だったよ……。私は幸運だった、彼の思いを最後まで受け取ることができたから。			戦旗の語る落日							
この戦旗は、「ラニエット」様に渡してくれないか。クロードバン様の妹君である彼女も、式典に参加できず、悔やんでおいでだったからな……。			この戦旗は、「ラニエット」様に渡してくれないか。クロードバン様の妹君である彼女も、式典に参加できず、悔やんでおいでだったからな……。			戦旗の語る落日							
この戦旗は、「ラニエット」様に渡してくれないか。クロードバン様の妹君である彼女も、式典に参加できず、悔やんでおいでだったからな……。			この戦旗は、「ラニエット」様に渡してくれないか。クロードバン様の妹君である彼女も、式典に参加できず、悔やんでおいでだったからな……。			戦旗の語る落日							
よく来てくれた、Surname殿。どうぞ、ゆっくりしていってほしい。			よく来てくれた、Surname殿。どうぞ、ゆっくりしていってほしい。			戦旗の語る落日							
……スチールヴィジルの戦旗か。気を使わせてしまって申し訳ない。受け取らせてもらおう。			……スチールヴィジルの戦旗か。気を使わせてしまって申し訳ない。受け取らせてもらおう。			戦旗の語る落日							
クロードバン兄様は、気のまわるお方だった。この地を指揮する立場になって、よりそう思う。部下たちにも、とても慕われていたのだ。			クロードバン兄様は、気のまわるお方だった。この地を指揮する立場になって、よりそう思う。部下たちにも、とても慕われていたのだ。			戦旗の語る落日							
弟のフランセルが、クルザス中央高地に直接赴任したのも、クロードバン兄様の雪辱を果たすためだったのだろう。			弟のフランセルが、クルザス中央高地に直接赴任したのも、クロードバン兄様の雪辱を果たすためだったのだろう。			戦旗の語る落日							
断ち切ったつもりだったが……。こうして遺品のようなものを見ると、切なくなってくるものだな……。			断ち切ったつもりだったが……。こうして遺品のようなものを見ると、切なくなってくるものだな……。			戦旗の語る落日							
思えば……クロードバン兄様の死が、アインハルト家の落日の始まりだったのかもしれない……。だが、彼の名誉のため耐えぬいてみせる、そう決めたのだ。			思えば……クロードバン兄様の死が、アインハルト家の落日の始まりだったのかもしれない……。だが、彼の名誉のため耐えぬいてみせる、そう決めたのだ。			戦旗の語る落日							
清貧の凱旋門のモルゲインは、一流の職人である冒険者に仕事を紹介したいようだ。			清貧の凱旋門のモルゲインは、一流の職人である冒険者に仕事を紹介したいようだ。			職人の新たなお仕事							
モルゲインから、「収集品」について聞いた。興味があるならと、リディルロナという人物宛の紹介状を書いてもらった。モードゥナのレヴナンツトールにいる「リディルロナ」に「リディルロナ宛ての紹介状」を渡そう。			モルゲインから、「収集品」について聞いた。興味があるならと、リディルロナという人物宛の紹介状を書いてもらった。モードゥナのレヴナンツトールにいる「リディルロナ」に「リディルロナ宛ての紹介状」を渡そう。			職人の新たなお仕事							
リディルロナから「収集品」の説明を受けた。「収集品」を納品して対価を得る、「ロウェナ商会取引」の紹介を受けた。収集品の仕事をこなし、職人としての腕を磨いていこう。			リディルロナから「収集品」の説明を受けた。「収集品」を納品して対価を得る、「ロウェナ商会取引」の紹介を受けた。収集品の仕事をこなし、職人としての腕を磨いていこう。			職人の新たなお仕事							
レヴナンツトールのリディルロナにリディルロナ宛ての紹介状を渡す			レヴナンツトールのリディルロナにリディルロナ宛ての紹介状を渡す			職人の新たなお仕事							
アンタ、見たところ、かなり腕の立つ職人のようだね……。そんなアンタに、ちょいと面白い仕事の話があるんだ。……「収集品」ってヤツに、手を出してみる気はないかい？			アンタ、見たところ、かなり腕の立つ職人のようだね……。そんなアンタに、ちょいと面白い仕事の話があるんだ。……「収集品」ってヤツに、手を出してみる気はないかい？			職人の新たなお仕事							
アンタの話は聞いているよ、マイスター。超一流の職人に相応しい仕事があるんだ。……「収集品」ってヤツに、手を出してみる気はないかい？			アンタの話は聞いているよ、マイスター。超一流の職人に相応しい仕事があるんだ。……「収集品」ってヤツに、手を出してみる気はないかい？			職人の新たなお仕事							
フフ、興味があるなら、この「紹介状」を、「レヴナンツトール」の「リディルロナ」って女に渡しなよ。アイツが懇切丁寧、説明してくれるはずさ。			フフ、興味があるなら、この「紹介状」を、「レヴナンツトール」の「リディルロナ」って女に渡しなよ。アイツが懇切丁寧、説明してくれるはずさ。			職人の新たなお仕事							
フフ、興味があるなら、この「紹介状」を、「レヴナンツトール」の「リディルロナ」って女に渡しなよ。アイツが懇切丁寧、説明してくれるはずさ。			フフ、興味があるなら、この「紹介状」を、「レヴナンツトール」の「リディルロナ」って女に渡しなよ。アイツが懇切丁寧、説明してくれるはずさ。			職人の新たなお仕事							
ようこそいらっしゃいました、冒険者様。こちらは「収集品」取引窓口でございますが、何かご用でしょうか？			ようこそいらっしゃいました、冒険者様。こちらは「収集品」取引窓口でございますが、何かご用でしょうか？			職人の新たなお仕事							
……これは、モルゲイン様からの紹介状。なるほど、「収集品」にご興味がお有りと。では、簡単ではありますが、説明させていただきます。			……これは、モルゲイン様からの紹介状。なるほど、「収集品」にご興味がお有りと。では、簡単ではありますが、説明させていただきます。			職人の新たなお仕事							
「収集品」とは名のとおり、集めるための物。世の中には、物を集めること自体を目的とする方がいます。「収集品」は、そのような好事家に向けた品なのです。			「収集品」とは名のとおり、集めるための物。世の中には、物を集めること自体を目的とする方がいます。「収集品」は、そのような好事家に向けた品なのです。			職人の新たなお仕事							
我らの主、ロウェナ様の取引相手には好事家も多く、さまざまな「収集品」のご注文があります。			我らの主、ロウェナ様の取引相手には好事家も多く、さまざまな「収集品」のご注文があります。			職人の新たなお仕事							
冒険者様が注文に合った「収集品」を持ち込んでくだされば、その「収集価値」に応じ、適切な価格にて、買い取らせていただきましょう。			冒険者様が注文に合った「収集品」を持ち込んでくだされば、その「収集価値」に応じ、適切な価格にて、買い取らせていただきましょう。			職人の新たなお仕事							
リムサ・ロミンサ、グリダニア、ウルダハの支店においても、取引を行っていますので、あわせてご利用ください。			リムサ・ロミンサ、グリダニア、ウルダハの支店においても、取引を行っていますので、あわせてご利用ください。			職人の新たなお仕事							
なお、買い取り代金については、ロウェナ商会の発行する代替貨幣での支払となりますので、あしからず、ご了承ください。			なお、買い取り代金については、ロウェナ商会の発行する代替貨幣での支払となりますので、あしからず、ご了承ください。			職人の新たなお仕事							
説明は、以上になります。冒険者様の「収集品」の持ち込みを、心より、お待ち申し上げます。			説明は、以上になります。冒険者様の「収集品」の持ち込みを、心より、お待ち申し上げます。			職人の新たなお仕事							
「ロウェナ商会取引」が開放されました！専用のレシピやアクションにより、「収集品」の製作や採集が可能になります。			「ロウェナ商会取引」が開放されました！専用のレシピやアクションにより、「収集品」の製作や採集が可能になります。			職人の新たなお仕事							
製作、採集した「収集品」は、「収集品納品窓口」に納品すると、経験値とともに、「クラフタースクリップ」、もしくは「ギャザラースクリップ」を取得できます。			製作、採集した「収集品」は、「収集品納品窓口」に納品すると、経験値とともに、「クラフタースクリップ」、もしくは「ギャザラースクリップ」を取得できます。			職人の新たなお仕事							
これらの「スクリップ」は、「スクリップ取引窓口」で、クラフターやギャザラー用のアイテムと取引できます。			これらの「スクリップ」は、「スクリップ取引窓口」で、クラフターやギャザラー用のアイテムと取引できます。			職人の新たなお仕事							
なお、「ロウェナ商会取引」についての詳しい説明は、リディルロナから聞くことができます。			なお、「ロウェナ商会取引」についての詳しい説明は、リディルロナから聞くことができます。			職人の新たなお仕事							
雲霧街のブリクトは、薪を探しているようだ。			雲霧街のブリクトは、薪を探しているようだ。			命の温もり							
ブリクトによると、ドラゴン族の襲撃によりイシュガルドには怪我人が多くいるようだが、寒さのために怪我の回復を待たず亡くなってしまうようだ。イシュガルドの神殿騎士団本部にいる「ヴァンカネー」から「廃材の束」を貰おう。			ブリクトによると、ドラゴン族の襲撃によりイシュガルドには怪我人が多くいるようだが、寒さのために怪我の回復を待たず亡くなってしまうようだ。イシュガルドの神殿騎士団本部にいる「ヴァンカネー」から「廃材の束」を貰おう。			命の温もり							
神殿騎士団本部のヴァンカネーに実情を伝えた。薪も貴重なため簡単に支給できるものではないようだが、ドラゴン族の襲撃で破壊された建物の廃材を薪として貰うことができた。雲霧街の「ブリクト」に「廃材の束」を見せよう。			神殿騎士団本部のヴァンカネーに実情を伝えた。薪も貴重なため簡単に支給できるものではないようだが、ドラゴン族の襲撃で破壊された建物の廃材を薪として貰うことができた。雲霧街の「ブリクト」に「廃材の束」を見せよう。			命の温もり							
ブリクトに廃材の束を見せた。さっそく、雲霧街の貧民たちに「廃材の束」を配ろう。			ブリクトに廃材の束を見せた。さっそく、雲霧街の貧民たちに「廃材の束」を配ろう。			命の温もり							
貧民に廃材の束を配った。まだ、薪を必要としている人がいるかもしれない。雲霧街の「オゾリー」に「廃材の束」を渡そう。			貧民に廃材の束を配った。まだ、薪を必要としている人がいるかもしれない。雲霧街の「オゾリー」に「廃材の束」を渡そう。			命の温もり							
オゾリーという少女に薪を渡すと、凍えた仲間にも薪を配りたいと言われた。冒険者が残った廃材の束をすべて渡すと、彼女は去っていった。雲霧街の「ブリクト」に報告しよう。			オゾリーという少女に薪を渡すと、凍えた仲間にも薪を配りたいと言われた。冒険者が残った廃材の束をすべて渡すと、彼女は去っていった。雲霧街の「ブリクト」に報告しよう。			命の温もり							
ブリクトに報告した。オゾリーは盗人の少女だったらしく困っている様子だった。貧しさがそうさせるのだと理解は示すものの、許容できるほど余裕があるわけでもないようだ。			ブリクトに報告した。オゾリーは盗人の少女だったらしく困っている様子だった。貧しさがそうさせるのだと理解は示すものの、許容できるほど余裕があるわけでもないようだ。			命の温もり							
ヴァンカネーと話す			ヴァンカネーと話す			命の温もり							
ブリクトに廃材の束を見せる			ブリクトに廃材の束を見せる			命の温もり							
貧民に廃材の束を渡す			貧民に廃材の束を渡す			命の温もり							
オゾリーに廃材の束を渡す			オゾリーに廃材の束を渡す			命の温もり							
ブリクトに報告			ブリクトに報告			命の温もり							
冒険者よ、手を貸してほしい。見てのとおり、傷ついた者たちが多くての……。なんとかしてやりたいが、手が足りん。			冒険者よ、手を貸してほしい。見てのとおり、傷ついた者たちが多くての……。なんとかしてやりたいが、手が足りん。			命の温もり							
皆、ドラゴン族の襲撃でやられてしまったのだが、あまりの寒さに、怪我の回復を待たず亡くなってしまう。			皆、ドラゴン族の襲撃でやられてしまったのだが、あまりの寒さに、怪我の回復を待たず亡くなってしまう。			命の温もり							
「神殿騎士団本部」の「ヴァンカネー」殿に窮状を訴えて、火をたくための薪をもらってきてくれぬか？よろしく頼む。			「神殿騎士団本部」の「ヴァンカネー」殿に窮状を訴えて、火をたくための薪をもらってきてくれぬか？よろしく頼む。			命の温もり							
「神殿騎士団本部」の「ヴァンカネー」殿に窮状を訴えて、火をたくための薪をもらってきてくれぬか？よろしく頼む。			「神殿騎士団本部」の「ヴァンカネー」殿に窮状を訴えて、火をたくための薪をもらってきてくれぬか？よろしく頼む。			命の温もり							
む、いったい何の用だ？			む、いったい何の用だ？			命の温もり							
……なるほど、状況はわかった。しかし、薪とて貴重な物資である。簡単に譲れるものではないのだ。			……なるほど、状況はわかった。しかし、薪とて貴重な物資である。簡単に譲れるものではないのだ。			命の温もり							
ただ、幸か不幸か、前回のドラゴン族の襲撃により、破壊された建物があったため廃材が出ている。わずかではあるが、薪として使うといいだろう。			ただ、幸か不幸か、前回のドラゴン族の襲撃により、破壊された建物があったため廃材が出ている。わずかではあるが、薪として使うといいだろう。			命の温もり							
幸か不幸か、前回のドラゴン族の襲撃により、破壊された建物があったため廃材が出ている。わずかではあるが、薪として使うといいだろう。			幸か不幸か、前回のドラゴン族の襲撃により、破壊された建物があったため廃材が出ている。わずかではあるが、薪として使うといいだろう。			命の温もり							
「神殿騎士団本部」の「ヴァンカネー」殿に窮状を訴えて、火をたくための薪をもらってきてくれぬか？よろしく頼む。			「神殿騎士団本部」の「ヴァンカネー」殿に窮状を訴えて、火をたくための薪をもらってきてくれぬか？よろしく頼む。			命の温もり							
なんと、これほどの数の薪を……ありがたい。凍えている住民に渡してやってくれんか。これで救われる者も多くいるはずだ。			なんと、これほどの数の薪を……ありがたい。凍えている住民に渡してやってくれんか。これで救われる者も多くいるはずだ。			命の温もり							
なんと、これほどの数の薪を……ありがたい。凍えている住民に渡してやってくれんか。これで救われる者も多くいるはずだ。			なんと、これほどの数の薪を……ありがたい。凍えている住民に渡してやってくれんか。これで救われる者も多くいるはずだ。			命の温もり							
寒い……もう、手も動かなくなっちゃう……。			寒い……もう、手も動かなくなっちゃう……。			命の温もり							
これで暖を取れる……。ありがとう！　ありがとう！			これで暖を取れる……。ありがとう！　ありがとう！			命の温もり							
くそ……せめて最後くらい……。			くそ……せめて最後くらい……。			命の温もり							
……まさか夢か？願ったら、薪が届くなんて……。ありがとう、恩人よ。			……まさか夢か？願ったら、薪が届くなんて……。ありがとう、恩人よ。			命の温もり							
寒いし……もういいよね……。			寒いし……もういいよね……。			命の温もり							
私に生きろというのね……わかったわ。本当にありがとう。			私に生きろというのね……わかったわ。本当にありがとう。			命の温もり							
寒いよ……寒いよぉ……。			寒いよ……寒いよぉ……。			命の温もり							
薪……！？　ありがとう！でも、私だけが暖をとるわけにはいかないよ……。そうだ、その薪を全部ちょうだい！			薪……！？　ありがとう！でも、私だけが暖をとるわけにはいかないよ……。そうだ、その薪を全部ちょうだい！			命の温もり							
私が凍えた仲間に配るから！このあたりは、私のほうが詳しいからね！			私が凍えた仲間に配るから！このあたりは、私のほうが詳しいからね！			命の温もり							
本当にありがとう！じゃあ、私、行くね！			本当にありがとう！じゃあ、私、行くね！			命の温もり							
協力してくれてありがとう、本当に助かったぞ。さて、残りの薪は大切に使うとしよう。			協力してくれてありがとう、本当に助かったぞ。さて、残りの薪は大切に使うとしよう。			命の温もり							
……なに、みんなに配るから少女に渡したと？むむ、それはここらで有名な盗人なのだ。あとで見つけて回収せねば……。			……なに、みんなに配るから少女に渡したと？むむ、それはここらで有名な盗人なのだ。あとで見つけて回収せねば……。			命の温もり							
手荒な真似がしたいわけではないから、安心してほしい。ただ、助け合わねば、ここでは生きてゆけぬだけなのだ。			手荒な真似がしたいわけではないから、安心してほしい。ただ、助け合わねば、ここでは生きてゆけぬだけなのだ。			命の温もり							
貧しさが盗みなどをさせてしまっているのだろうが……理解ができるぶん、困ったものだ……。			貧しさが盗みなどをさせてしまっているのだろうが……理解ができるぶん、困ったものだ……。			命の温もり							
雲霧街のブリクトは、沈んだ顔をしている。			雲霧街のブリクトは、沈んだ顔をしている。			小さな命の小さな願い							
ブリクトによると、盗人少女のオゾリーが、路上で凍え死んでいたらしい。イシュガルドの「忘れられた騎士亭」や「雲霧街」で、彼女の死の手がかりになるものを探そう。			ブリクトによると、盗人少女のオゾリーが、路上で凍え死んでいたらしい。イシュガルドの「忘れられた騎士亭」や「雲霧街」で、彼女の死の手がかりになるものを探そう。			小さな命の小さな願い							
忘れられた騎士亭と雲霧街で、オゾリーの死の手がかりを得た。雲霧街の「ブリクト」に報告しよう。			忘れられた騎士亭と雲霧街で、オゾリーの死の手がかりを得た。雲霧街の「ブリクト」に報告しよう。			小さな命の小さな願い							
ブリクトから、オゾリーの弔いを頼まれた。彼女が焦がれていたアバラシア雲海のキャンプ・クラウドトップにある「指定地点」に、「薄汚れた麻袋」を置こう。			ブリクトから、オゾリーの弔いを頼まれた。彼女が焦がれていたアバラシア雲海のキャンプ・クラウドトップにある「指定地点」に、「薄汚れた麻袋」を置こう。			小さな命の小さな願い							
キャンプ・クラウドトップに薄汚れた麻袋を置いた。雲霧街の「ブリクト」に報告しよう。			キャンプ・クラウドトップに薄汚れた麻袋を置いた。雲霧街の「ブリクト」に報告しよう。			小さな命の小さな願い							
ブリクトによると、イシュガルドにはまだ多くの歪みと悲しみが満ちているという。だが彼は、いつかかならずその悲しみも終わるだろうと希望を持っていた。			ブリクトによると、イシュガルドにはまだ多くの歪みと悲しみが満ちているという。だが彼は、いつかかならずその悲しみも終わるだろうと希望を持っていた。			小さな命の小さな願い							
酔っ払った騎兵と話す			酔っ払った騎兵と話す			小さな命の小さな願い							
オゾリーの荷物置き場を探す			オゾリーの荷物置き場を探す			小さな命の小さな願い							
ブリクトに報告			ブリクトに報告			小さな命の小さな願い							
キャンプ・クラウドトップの指定地点に薄汚れた麻袋を置く			キャンプ・クラウドトップの指定地点に薄汚れた麻袋を置く			小さな命の小さな願い							
雲霧街のブリクトに報告			雲霧街のブリクトに報告			小さな命の小さな願い							
冒険者よ、覚えておるかの。以前、オゾリーという盗人少女がおっただろう？……可哀想なことに、今朝がた、路上で凍え死んでおったよ。			冒険者よ、覚えておるかの。以前、オゾリーという盗人少女がおっただろう？……可哀想なことに、今朝がた、路上で凍え死んでおったよ。			小さな命の小さな願い							
しかし、どうも不可解だと思ってしまっての……。褒められた行為ではないにしろ、盗みの技術はある子だった。			しかし、どうも不可解だと思ってしまっての……。褒められた行為ではないにしろ、盗みの技術はある子だった。			小さな命の小さな願い							
だったら、一夜の暖を取るぐらいの薪は買えたはずなんだが……。なぜ、それをしなかったのだろうか？			だったら、一夜の暖を取るぐらいの薪は買えたはずなんだが……。なぜ、それをしなかったのだろうか？			小さな命の小さな願い							
お前さん、悪いが……あの子が居座っていた酒場や、荷物置き場を調べて、死の手がかりを探してもらえんか？……どうにも不憫での。			お前さん、悪いが……あの子が居座っていた酒場や、荷物置き場を調べて、死の手がかりを探してもらえんか？……どうにも不憫での。			小さな命の小さな願い							
お前さん、悪いが……あの子が居座っていた酒場や、荷物置き場を調べて、死の手がかりを探してもらえんか？……どうにも不憫での。			お前さん、悪いが……あの子が居座っていた酒場や、荷物置き場を調べて、死の手がかりを探してもらえんか？……どうにも不憫での。			小さな命の小さな願い							
……盗人少女？　確か、一度話したことがあるな。その時は、そんな名で呼ばれてなかったけどさ。			……盗人少女？　確か、一度話したことがあるな。その時は、そんな名で呼ばれてなかったけどさ。			小さな命の小さな願い							
