ドマ町人地のコザクラは、仕事に励んでいるようだ。			ドマ町人地のコザクラは、仕事に励んでいるようだ。			君臣の義を以って							
Forenameさん、こちらはもう大丈夫だから、必要だったら彼女を手伝ってやってはくれないか？私もまだ仕事があるし、挨拶については、もう少し後にしよう。			Forenameさん、こちらはもう大丈夫だから、必要だったら彼女を手伝ってやってはくれないか？私もまだ仕事があるし、挨拶については、もう少し後にしよう。			君臣の義を以って							
次のクエストを進行するためには、「サブクエスト：ドマ冒険者団」の、「小さき者たちの大きな夢」を完了する必要があります。			次のクエストを進行するためには、「サブクエスト：ドマ冒険者団」の、「小さき者たちの大きな夢」を完了する必要があります。			君臣の義を以って							
「サブクエスト：ドマ冒険者団」は、レシュ・ポラリの発行するクエスト、「廃キャンプに眠る財宝」から開始することができます。			「サブクエスト：ドマ冒険者団」は、レシュ・ポラリの発行するクエスト、「廃キャンプに眠る財宝」から開始することができます。			君臣の義を以って							
確かに、正式に挨拶をしにいくべきだろう。しかし、今は子どもたちを探している最中だったんだ。あの子たちにも、帰郷の話をしなければならないからな。			確かに、正式に挨拶をしにいくべきだろう。しかし、今は子どもたちを探している最中だったんだ。あの子たちにも、帰郷の話をしなければならないからな。			君臣の義を以って							
Forenameさん、相談役はもう大丈夫だから、よければ、息子のヨウザンたちを探すのを手伝ってほしい。街中にいてくれればいいのだが……。			Forenameさん、相談役はもう大丈夫だから、よければ、息子のヨウザンたちを探すのを手伝ってほしい。街中にいてくれればいいのだが……。			君臣の義を以って							
次のクエストを進行するためには、「サブクエスト：ドマ冒険者団」の、「小さき者たちの大きな夢」を完了する必要があります。			次のクエストを進行するためには、「サブクエスト：ドマ冒険者団」の、「小さき者たちの大きな夢」を完了する必要があります。			君臣の義を以って							
確かに、正式に挨拶をしにいくべきだろう。今しがた、子どもたちにも話をしおえたことだしな。			確かに、正式に挨拶をしにいくべきだろう。今しがた、子どもたちにも話をしおえたことだしな。			君臣の義を以って							
Forenameさんも、相談役はもう大丈夫。代わりに、最後の挨拶を見届けてくれないだろうか？			Forenameさんも、相談役はもう大丈夫。代わりに、最後の挨拶を見届けてくれないだろうか？			君臣の義を以って							
レヴナンツトールのホウザンは、機を見計らっているようだ。			レヴナンツトールのホウザンは、機を見計らっているようだ。			朋友は信を示す							
ホウザンから、スラフボーンへの挨拶に立ち会うよう頼まれた。レヴナンツトールの「スラフボーン」と話そう。			ホウザンから、スラフボーンへの挨拶に立ち会うよう頼まれた。レヴナンツトールの「スラフボーン」と話そう。			朋友は信を示す							
スラフボーンとホウザンたちは、別れを前に、固く友情を結んだ。レヴナンツトールで「ヨウザン」を探そう。			スラフボーンとホウザンたちは、別れを前に、固く友情を結んだ。レヴナンツトールで「ヨウザン」を探そう。			朋友は信を示す							
ヨウザンを探し、伝言を伝えた。ロウェナ会館の「フ・ラミン」と話そう。			ヨウザンを探し、伝言を伝えた。ロウェナ会館の「フ・ラミン」と話そう。			朋友は信を示す							
フ・ラミンと話し、子どもたちと「暁」のお別れを見届けた。レヴナンツトールの「ホウザン」と話そう。			フ・ラミンと話し、子どもたちと「暁」のお別れを見届けた。レヴナンツトールの「ホウザン」と話そう。			朋友は信を示す							
ホウザンから深く感謝された。ドマ町人地の「コザクラ」と話そう。			ホウザンから深く感謝された。ドマ町人地の「コザクラ」と話そう。			朋友は信を示す							
コザクラからも感謝された。ホウザンたちの帰還も決まり、ドマ町人地の復興計画は、ますます進んでいくことだろう。この街の未来に想いをはせつつ、またの機会にも協力しよう。			コザクラからも感謝された。ホウザンたちの帰還も決まり、ドマ町人地の復興計画は、ますます進んでいくことだろう。この街の未来に想いをはせつつ、またの機会にも協力しよう。			朋友は信を示す							
スラフボーンと話す			スラフボーンと話す			朋友は信を示す							
ヨウザンを探す			ヨウザンを探す			朋友は信を示す							
フ・ラミンと話す			フ・ラミンと話す			朋友は信を示す							
ホウザンと話す			ホウザンと話す			朋友は信を示す							
ドマ町人地のコザクラと話す			ドマ町人地のコザクラと話す			朋友は信を示す							
本クエストを進行するためには、「サブクエスト：ドマ冒険者団」の、「小さき者たちの大きな夢」を完了する必要があります。			本クエストを進行するためには、「サブクエスト：ドマ冒険者団」の、「小さき者たちの大きな夢」を完了する必要があります。			朋友は信を示す							
「サブクエスト：ドマ冒険者団」は、レシュ・ポラリの発行するクエスト、「廃キャンプに眠る財宝」から開始することができます。			「サブクエスト：ドマ冒険者団」は、レシュ・ポラリの発行するクエスト、「廃キャンプに眠る財宝」から開始することができます。			朋友は信を示す							
本クエストを進行するためには、「サブクエスト：ドマ冒険者団」の、「小さき者たちの大きな夢」を完了する必要があります。			本クエストを進行するためには、「サブクエスト：ドマ冒険者団」の、「小さき者たちの大きな夢」を完了する必要があります。			朋友は信を示す							
さて……子どもたちにもドマへ帰ることは告げたし、私のやるべきことは、一段落ついている。今のうちに、スラフボーンさんのところへ挨拶に行こう。			さて……子どもたちにもドマへ帰ることは告げたし、私のやるべきことは、一段落ついている。今のうちに、スラフボーンさんのところへ挨拶に行こう。			朋友は信を示す							
ここまで取り持ってくれたForenameさんにも、是非、立ち会いをお願いしたい。			ここまで取り持ってくれたForenameさんにも、是非、立ち会いをお願いしたい。			朋友は信を示す							
仲間に声をかけてくるので、先に「スラフボーン」さんのところで待っていてくれ。			仲間に声をかけてくるので、先に「スラフボーン」さんのところで待っていてくれ。			朋友は信を示す							
おや、ドマの皆と話はできたのか？			おや、ドマの皆と話はできたのか？			朋友は信を示す							
それについては、私たちから直に報告しよう。			それについては、私たちから直に報告しよう。			朋友は信を示す							
……スラフボーンさん。私たちは、主君とあなたがたのご厚意に甘え、ドマへと帰郷しようと思う。			……スラフボーンさん。私たちは、主君とあなたがたのご厚意に甘え、ドマへと帰郷しようと思う。			朋友は信を示す							
しかし、今請けている仕事を半端に投げ出すつもりはない。皆の区切りがつくまでは、この街のため、誠心誠意、働かせてほしい。			しかし、今請けている仕事を半端に投げ出すつもりはない。皆の区切りがつくまでは、この街のため、誠心誠意、働かせてほしい。			朋友は信を示す							
相変わらず、生真面目なことだ。だが、これまでも、その誠実さにどれほど助けられたことか。			相変わらず、生真面目なことだ。だが、これまでも、その誠実さにどれほど助けられたことか。			朋友は信を示す							
見てくれ、レヴナンツトール……「亡者の弔鐘」なんて呼ばれた地が、今やここまで発展した。			見てくれ、レヴナンツトール……「亡者の弔鐘」なんて呼ばれた地が、今やここまで発展した。			朋友は信を示す							
その一端を担ってくれたのは、遠くドマからきた友の、誠実で堅実な働きぶりに違いない。			その一端を担ってくれたのは、遠くドマからきた友の、誠実で堅実な働きぶりに違いない。			朋友は信を示す							
お前たちが故郷を追われたことを、よもや幸運とはいうまい。だが、この出会いは、私やレヴナンツトール……街を利用する多くの冒険者にとって、幸いなことだった。			お前たちが故郷を追われたことを、よもや幸運とはいうまい。だが、この出会いは、私やレヴナンツトール……街を利用する多くの冒険者にとって、幸いなことだった。			朋友は信を示す							
……これまで、本当にありがとう。帰路につくその日まで、この街を愛し、その目に焼きつけていってくれると嬉しい。			……これまで、本当にありがとう。帰路につくその日まで、この街を愛し、その目に焼きつけていってくれると嬉しい。			朋友は信を示す							
ス、スラフボーン殿ぉ……！！こちらこそ、まこと、感謝が尽きませぬ！			ス、スラフボーン殿ぉ……！！こちらこそ、まこと、感謝が尽きませぬ！			朋友は信を示す							
私たち、この街の開拓で学んだことを、今度は故郷の再興に活かしたいと思います……！			私たち、この街の開拓で学んだことを、今度は故郷の再興に活かしたいと思います……！			朋友は信を示す							
そして、いつかきっと、胸を張ってみなさんを招けるような街にします。ですから、そのときは……！			そして、いつかきっと、胸を張ってみなさんを招けるような街にします。ですから、そのときは……！			朋友は信を示す							
ああ、そのときは、ぜひ旅をしにきてほしい。そして、叶うことなら、レヴナンツトールと、親善都市の契りを交わしたい。			ああ、そのときは、ぜひ旅をしにきてほしい。そして、叶うことなら、レヴナンツトールと、親善都市の契りを交わしたい。			朋友は信を示す							
……それが、今から私の夢だ。そこへ向かって、またひとつずつ、石を積み、木を組んでいこうと思う。			……それが、今から私の夢だ。そこへ向かって、またひとつずつ、石を積み、木を組んでいこうと思う。			朋友は信を示す							
あっはっは、それはいい！ならばこちらも、この街を再び亡者の地にしないよう、一層考えていかねばな！			あっはっは、それはいい！ならばこちらも、この街を再び亡者の地にしないよう、一層考えていかねばな！			朋友は信を示す							
……寂しくなるよ、引き留めはしないがな。代わりに、餞別の品くらいは、持っていってくれるだろう？			……寂しくなるよ、引き留めはしないがな。代わりに、餞別の品くらいは、持っていってくれるだろう？			朋友は信を示す							
とびきりの「レヴナンツトールの財宝」だ。倉庫番に話はしてあるから、行って受け取ってくれ。			とびきりの「レヴナンツトールの財宝」だ。倉庫番に話はしてあるから、行って受け取ってくれ。			朋友は信を示す							
かたじけない。その洒落た餞別、大切にいただくとしよう。			かたじけない。その洒落た餞別、大切にいただくとしよう。			朋友は信を示す							
……では、まだ出立のときでもなし、倉庫に寄ってから、それぞれの仕事に戻るとするよ。			……では、まだ出立のときでもなし、倉庫に寄ってから、それぞれの仕事に戻るとするよ。			朋友は信を示す							
Forenameさんも、立ち会いありがとう。			Forenameさんも、立ち会いありがとう。			朋友は信を示す							
さて、今度は俺からお前に、折り入って頼みがある。「ヨウザン」たちを探して、ロウェナ会館のテラスにいる、フ・ラミン殿のところへ連れて行ってほしいのだ。			さて、今度は俺からお前に、折り入って頼みがある。「ヨウザン」たちを探して、ロウェナ会館のテラスにいる、フ・ラミン殿のところへ連れて行ってほしいのだ。			朋友は信を示す							
……なに、餞別の品がワインでは、子どもたちは、おもしろくなかろうと思ってな。「暁」に、ちょっとした仕込みをお願いしたのさ。			……なに、餞別の品がワインでは、子どもたちは、おもしろくなかろうと思ってな。「暁」に、ちょっとした仕込みをお願いしたのさ。			朋友は信を示す							
私もここで子どもたちを探してみるが、あいつらを探しだすのは、お前の方がよほどうまい。よろしく頼んだぞ！			私もここで子どもたちを探してみるが、あいつらを探しだすのは、お前の方がよほどうまい。よろしく頼んだぞ！			朋友は信を示す							
「ヨウザン」たちを探して、ロウェナ会館のテラスにいる、フ・ラミン殿のところへ連れて行ってほしいのだ。よろしく頼んだぞ！			「ヨウザン」たちを探して、ロウェナ会館のテラスにいる、フ・ラミン殿のところへ連れて行ってほしいのだ。よろしく頼んだぞ！			朋友は信を示す							
えっ、お姉ちゃんお兄ちゃん！？あたしたち、まだ何もしてないよ！			えっ、お姉ちゃんお兄ちゃん！？あたしたち、まだ何もしてないよ！			朋友は信を示す							
……もしかして、僕たちのこと探してた？			……もしかして、僕たちのこと探してた？			朋友は信を示す							
まだ、ドマに帰る時間じゃないよね……。			まだ、ドマに帰る時間じゃないよね……。			朋友は信を示す							
おー……どうしたんだよ、ねえちゃんにいちゃん。まさか、さっそくお別れを言いにきたんじゃないだろうな……。			おー……どうしたんだよ、ねえちゃんにいちゃん。まさか、さっそくお別れを言いにきたんじゃないだろうな……。			朋友は信を示す							
オレたちは怒ってるんだぞ！おとなたちで、全部勝手に決めちゃってさ！そりゃ、ドマに帰れるのは嬉しいけど……。			オレたちは怒ってるんだぞ！おとなたちで、全部勝手に決めちゃってさ！そりゃ、ドマに帰れるのは嬉しいけど……。			朋友は信を示す							
……ロウェナ会館で、フ・ラミンさんが待ってる？なんだろ、叱られるようなことは……し、してないからな！？			……ロウェナ会館で、フ・ラミンさんが待ってる？なんだろ、叱られるようなことは……し、してないからな！？			朋友は信を示す							
よーし、「ドマ冒険者団」全員出発！フ・ラミンさんに会いに行くぞっ！ねえちゃんにいちゃんも続けーっ！			よーし、「ドマ冒険者団」全員出発！フ・ラミンさんに会いに行くぞっ！ねえちゃんにいちゃんも続けーっ！			朋友は信を示す							
まあ、あなたたち！待っていたわ。			まあ、あなたたち！待っていたわ。			朋友は信を示す							
ドマ冒険者団、ただいま参上っ！フ・ラミンさん、どうかしたのか？まさか、オレたちに冒険の依頼！？			ドマ冒険者団、ただいま参上っ！フ・ラミンさん、どうかしたのか？まさか、オレたちに冒険の依頼！？			朋友は信を示す							
ふふ、それは別の機会にお願いしようかしら。今日はむしろ、あなたたちに「報酬」を渡そうと思って。			ふふ、それは別の機会にお願いしようかしら。今日はむしろ、あなたたちに「報酬」を渡そうと思って。			朋友は信を示す							
ほ、ほーしゅー！？オレたち、何かしたっけ！？			ほ、ほーしゅー！？オレたち、何かしたっけ！？			朋友は信を示す							
ええ、とても立派な働きをしてくれたわ。			ええ、とても立派な働きをしてくれたわ。			朋友は信を示す							
開拓団の一員として、大人たちを手伝ってくれたり……冒険者さんが依頼をこなしている間、その子どもと遊んでくれたり……。			開拓団の一員として、大人たちを手伝ってくれたり……冒険者さんが依頼をこなしている間、その子どもと遊んでくれたり……。			朋友は信を示す							
そして何より、どんなに大変なことがあっても、あなたたちはずっと笑顔で、元気でいてくれました。それが、どれだけ多くの人たちを、励ましてくれたことか。			そして何より、どんなに大変なことがあっても、あなたたちはずっと笑顔で、元気でいてくれました。それが、どれだけ多くの人たちを、励ましてくれたことか。			朋友は信を示す							
よって、みんなからあなたたちに、報酬を授与します。……ほら、あっちを見てみて？			よって、みんなからあなたたちに、報酬を授与します。……ほら、あっちを見てみて？			朋友は信を示す							
(-ドマの子どもたち-)宝箱だぁぁぁーっ！			(-ドマの子どもたち-)宝箱だぁぁぁーっ！			朋友は信を示す							
こ、これは……っ！			こ、これは……っ！			朋友は信を示す							
見て見て、お姉ちゃんお兄ちゃん！おそろいの帽子が入ってたんだよ！			見て見て、お姉ちゃんお兄ちゃん！おそろいの帽子が入ってたんだよ！			朋友は信を示す							
よしみんな、今日からこれが、ドマ冒険者団の制服だぁ！オレたちのホコリだぞっ！			よしみんな、今日からこれが、ドマ冒険者団の制服だぁ！オレたちのホコリだぞっ！			朋友は信を示す							
(-？？？？-)おや、立派な装備ですね。これから、ますます活躍をしてくれそうだ。			(-？？？？-)おや、立派な装備ですね。これから、ますます活躍をしてくれそうだ。			朋友は信を示す							
ホーリー・ボルダー！　クルトゥネも！なんだよ、出かけてるんじゃなかったのかよ！			ホーリー・ボルダー！　クルトゥネも！なんだよ、出かけてるんじゃなかったのかよ！			朋友は信を示す							
折よく帰還したところで、君たちの話を聞いてね。再び任務に出てしまう前に、会いに来たんだよ。			折よく帰還したところで、君たちの話を聞いてね。再び任務に出てしまう前に、会いに来たんだよ。			朋友は信を示す							
ドマへの帰還おめでとう。君たちならば、故郷の未来を担う存在になれると、私もホーリー・ボルダーも信じているよ。			ドマへの帰還おめでとう。君たちならば、故郷の未来を担う存在になれると、私もホーリー・ボルダーも信じているよ。			朋友は信を示す							
僕、先生たちと離れるの、寂しいよ……。			僕、先生たちと離れるの、寂しいよ……。			朋友は信を示す							
……大丈夫。君たちは「冒険者団」だと、今、自分たちで名乗ったでしょう？			……大丈夫。君たちは「冒険者団」だと、今、自分たちで名乗ったでしょう？			朋友は信を示す							
冒険者ならば、どんなに離れた場所でも、国境の線が引かれた先でも、勇気とともに旅をする。だから……きっとまた、必ず会えますよ。			冒険者ならば、どんなに離れた場所でも、国境の線が引かれた先でも、勇気とともに旅をする。だから……きっとまた、必ず会えますよ。			朋友は信を示す							
きっと……きっとだからな！オレたちは強くなって、ドマで大活躍して、そしていつか、自力でエオルゼアまで来るんだ。			きっと……きっとだからな！オレたちは強くなって、ドマで大活躍して、そしていつか、自力でエオルゼアまで来るんだ。			朋友は信を示す							
そのときは、ふたりにも、Forenameねえちゃんにいちゃんにも負けないくらい、強くて立派な冒険者になってるんだからな！			そのときは、ふたりにも、Forenameねえちゃんにいちゃんにも負けないくらい、強くて立派な冒険者になってるんだからな！			朋友は信を示す							
ええ、楽しみにしていますよ！私たちも、もっともっと強くなるよう鍛えながらね！			ええ、楽しみにしていますよ！私たちも、もっともっと強くなるよう鍛えながらね！			朋友は信を示す							
それでは、私たちは任務に戻ります。…………ご準備、おつかれさまでした。			それでは、私たちは任務に戻ります。…………ご準備、おつかれさまでした。			朋友は信を示す							
よーっし！オレたちも、今から修行だぁ！いっちばん大きな荷物、運んでみせるぞ！			よーっし！オレたちも、今から修行だぁ！いっちばん大きな荷物、運んでみせるぞ！			朋友は信を示す							
……おねえさんおにいさん、フ・ラミンさん。あの、帽子、ありがとうございました。大事にするね……！			……おねえさんおにいさん、フ・ラミンさん。あの、帽子、ありがとうございました。大事にするね……！			朋友は信を示す							
子どもたちが旅立っていくのは、いつでも、少し寂しいものね。……なーんて、私もいよいよおばさんかしら！			子どもたちが旅立っていくのは、いつでも、少し寂しいものね。……なーんて、私もいよいよおばさんかしら！			朋友は信を示す							
帰りの船のなかでも、いーっぱい修行するぞ！			帰りの船のなかでも、いーっぱい修行するぞ！			朋友は信を示す							
……船では無理しちゃだめだよ。ヨウザンってば、すぐ酔うんだから。			……船では無理しちゃだめだよ。ヨウザンってば、すぐ酔うんだから。			朋友は信を示す							
コハルちゃんたち、行っちゃうの……？			コハルちゃんたち、行っちゃうの……？			朋友は信を示す							
支度がおわったら、街を出るそうだけど……それまで一緒に遊ぼうね！			支度がおわったら、街を出るそうだけど……それまで一緒に遊ぼうね！			朋友は信を示す							
……みんな、まず荷物の整理をしなきゃいけないってこと、すっかり忘れてるみたい……。			……みんな、まず荷物の整理をしなきゃいけないってこと、すっかり忘れてるみたい……。			朋友は信を示す							
子どもらの帽子は、お主らが用意してくれたのか？「暁」には感謝が尽きぬのう。孫たちが、あんなに嬉しそうにして……。			子どもらの帽子は、お主らが用意してくれたのか？「暁」には感謝が尽きぬのう。孫たちが、あんなに嬉しそうにして……。			朋友は信を示す							
よし、次の仕事に参るとしよう。まだまだ、きっちり片づけるべきことがあるのでな。			よし、次の仕事に参るとしよう。まだまだ、きっちり片づけるべきことがあるのでな。			朋友は信を示す							
私も、あとでフ・ラミンさんに挨拶してきます。故郷に戻っても、手紙で料理のレシピを交換したいと、お願いしてみようかなって……。			私も、あとでフ・ラミンさんに挨拶してきます。故郷に戻っても、手紙で料理のレシピを交換したいと、お願いしてみようかなって……。			朋友は信を示す							
はじめて来たころは、岩ばかりの寂しい土地だと思ったが、今となれば、ここほど活気ある街は知らねぇ。これからも、賑わっていてほしいねぇ。			はじめて来たころは、岩ばかりの寂しい土地だと思ったが、今となれば、ここほど活気ある街は知らねぇ。これからも、賑わっていてほしいねぇ。			朋友は信を示す							
ああ、君か！せがれたちが、すばらしい贈り物をいただいたようで……フ・ラミンさんたちにも、まったく頭が上がらないな。			ああ、君か！せがれたちが、すばらしい贈り物をいただいたようで……フ・ラミンさんたちにも、まったく頭が上がらないな。			朋友は信を示す							
おかげさまで、こちらの仕事も準備も、今のところ順調だ。ありがたくも船は冒険者ギルドが用意してくれるそうなので、やるべきことを果たし次第、ドマへ向けて出発しよう。			おかげさまで、こちらの仕事も準備も、今のところ順調だ。ありがたくも船は冒険者ギルドが用意してくれるそうなので、やるべきことを果たし次第、ドマへ向けて出発しよう。			朋友は信を示す							
ときに……君とは、君が東方でも活動している以上、今生の別れにならないとは思うのだが……どうしても今、伝えさせてほしい。			ときに……君とは、君が東方でも活動している以上、今生の別れにならないとは思うのだが……どうしても今、伝えさせてほしい。			朋友は信を示す							
これまで、本当にありがとう。君は、祖国にとっても、私たちにとっても、かけがえのない恩人だ。			これまで、本当にありがとう。君は、祖国にとっても、私たちにとっても、かけがえのない恩人だ。			朋友は信を示す							
わずかばかりではあるが、この地で君と活動できたことは、末代まで語り継がれる名誉となるだろう。本当に……感謝している。			わずかばかりではあるが、この地で君と活動できたことは、末代まで語り継がれる名誉となるだろう。本当に……感謝している。			朋友は信を示す							
……きっと、君の方がドマに戻るのは早いだろう。「コザクラ」には、すべてを見届けたと、伝えてやってほしい。いずれまた、向こうで会おう。			……きっと、君の方がドマに戻るのは早いだろう。「コザクラ」には、すべてを見届けたと、伝えてやってほしい。いずれまた、向こうで会おう。			朋友は信を示す							
きっと、君の方がドマに戻るのは早いだろう。「コザクラ」には、すべてを見届けたと、伝えてやってほしい。いずれまた、向こうで会おう。			きっと、君の方がドマに戻るのは早いだろう。「コザクラ」には、すべてを見届けたと、伝えてやってほしい。いずれまた、向こうで会おう。			朋友は信を示す							
Surname殿！お戻りになられたのでございまするか！			Surname殿！お戻りになられたのでございまするか！			朋友は信を示す							
ああ……よかった……。エオルゼアにいた皆は、無事に帰ってこられるのですね。			ああ……よかった……。エオルゼアにいた皆は、無事に帰ってこられるのですね。			朋友は信を示す							
心より、深く深く、感謝いたしまする。ヒエン様にも、よくお伝えしておきますゆえ……今はわずかばかりですが、お礼をお持ちくださいませ。			心より、深く深く、感謝いたしまする。ヒエン様にも、よくお伝えしておきますゆえ……今はわずかばかりですが、お礼をお持ちくださいませ。			朋友は信を示す							
これで、いよいよ町人地の復興計画も、本腰を入れて進められるというもの。不肖コザクラも、ますますがんばらせていただきまする！			これで、いよいよ町人地の復興計画も、本腰を入れて進められるというもの。不肖コザクラも、ますますがんばらせていただきまする！			朋友は信を示す							
ドマ町人地のコザクラは、再び仕事に励んでいるようだ。			ドマ町人地のコザクラは、再び仕事に励んでいるようだ。			町人地は根気よく							
コザクラから、町人地の新たな復興計画に協力してほしいと頼まれた。ドマ町人地の万市場にいる「ミツバ」と話そう。			コザクラから、町人地の新たな復興計画に協力してほしいと頼まれた。ドマ町人地の万市場にいる「ミツバ」と話そう。			町人地は根気よく							
ミツバと話した。車前会所の「コザクラ」と話そう。			ミツバと話した。車前会所の「コザクラ」と話そう。			町人地は根気よく							
コザクラと話した。不要なものを彼女たちに譲って、ドマ町人地の復興に貢献しよう！			コザクラと話した。不要なものを彼女たちに譲って、ドマ町人地の復興に貢献しよう！			町人地は根気よく							
ミツバと話す			ミツバと話す			町人地は根気よく							
コザクラと話す			コザクラと話す			町人地は根気よく							
これは、Surname殿……！再びお立ち寄りいただいて、恐縮にございまする……！			これは、Surname殿……！再びお立ち寄りいただいて、恐縮にございまする……！			町人地は根気よく							
先頃は、同胞の帰還に向けてお力添えいただき、本当にありがとうございました。			先頃は、同胞の帰還に向けてお力添えいただき、本当にありがとうございました。			町人地は根気よく							
おかげさまで人手の当てができ、わたくしども「車前会」による町人地の復興も、新たな段階へ進むことになったのでございまする！			おかげさまで人手の当てができ、わたくしども「車前会」による町人地の復興も、新たな段階へ進むことになったのでございまする！			町人地は根気よく							
それで……その……まことに厚かましいと……存じているのですが……			それで……その……まことに厚かましいと……存じているのですが……			町人地は根気よく							
次の復興計画には、あなた様のような、たくさんの「物」をお持ちの方が必要なのでございまする。			次の復興計画には、あなた様のような、たくさんの「物」をお持ちの方が必要なのでございまする。			町人地は根気よく							
ですので……よろしければ、またお力を……せめて話だけでも、聞いてはいただけませぬでしょうか……っ！			ですので……よろしければ、またお力を……せめて話だけでも、聞いてはいただけませぬでしょうか……っ！			町人地は根気よく							
何と答える？			何と答える？			町人地は根気よく							
ドマのためなら協力しよう			ドマのためなら協力しよう			町人地は根気よく							
くるしゅうない、申してみよ！			くるしゅうない、申してみよ！			町人地は根気よく							
……報酬は？			……報酬は？			町人地は根気よく							
あ、ありがとうございますっ……！Surname殿は、まっこと、たのもしき御仁でございまする！			あ、ありがとうございますっ……！Surname殿は、まっこと、たのもしき御仁でございまする！			町人地は根気よく							
ははーっ！　ありがたき幸せ！！ではこのコザクラめが、心して、ご説明させていただきまする！			ははーっ！　ありがたき幸せ！！ではこのコザクラめが、心して、ご説明させていただきまする！			町人地は根気よく							
も、もちろん、あなた様に損はさせませぬ……！金一封とはいきませぬが、わたくしめにも考えがありますれば、まずは説明をさせていただきたくっ！			も、もちろん、あなた様に損はさせませぬ……！金一封とはいきませぬが、わたくしめにも考えがありますれば、まずは説明をさせていただきたくっ！			町人地は根気よく							
ええと、では……コホン。まずは、町人地にかぎらず、ドマ全体の状況について、簡単にお話させていただきまする。			ええと、では……コホン。まずは、町人地にかぎらず、ドマ全体の状況について、簡単にお話させていただきまする。			町人地は根気よく							
生活と経済の面から見たとき、ドマはまだ、帝国による支配の影響から、抜け出せてはおりませぬ……。			生活と経済の面から見たとき、ドマはまだ、帝国による支配の影響から、抜け出せてはおりませぬ……。			町人地は根気よく							
この国は古来より、無二江の恵みを受け、農業とともに栄えてきました。			この国は古来より、無二江の恵みを受け、農業とともに栄えてきました。			町人地は根気よく							
戦で多くの犠牲を出し、土地が荒廃した今でも、民が日々食すだけの収穫量は、どうにか……。ただ……。			戦で多くの犠牲を出し、土地が荒廃した今でも、民が日々食すだけの収穫量は、どうにか……。ただ……。			町人地は根気よく							
農作物だけでは、暮らしは保てませぬ。こと、帝国主導の交易で得ていた品については、領内で獲得する手立てがございませぬ。			農作物だけでは、暮らしは保てませぬ。こと、帝国主導の交易で得ていた品については、領内で獲得する手立てがございませぬ。			町人地は根気よく							
改めて交易路を拓こうにも、帝国との関係悪化を恐れる国は多く、門戸を閉じられ……。			改めて交易路を拓こうにも、帝国との関係悪化を恐れる国は多く、門戸を閉じられ……。			町人地は根気よく							
代用品を作ろうにも、ものづくりのための環境が、いまだ整っていない状況なのでございまする。			代用品を作ろうにも、ものづくりのための環境が、いまだ整っていない状況なのでございまする。			町人地は根気よく							
……ご心配なさらず。困難は多けれど、ドマの民は何も諦めておりませぬ。			……ご心配なさらず。困難は多けれど、ドマの民は何も諦めておりませぬ。			町人地は根気よく							
指揮をとるわたくしたちが「車前会」と名付けられたのも、車前草……車輪に轢かれてなお天へと葉を広げる草の、根気と強さにあやかってのこと。			指揮をとるわたくしたちが「車前会」と名付けられたのも、車前草……車輪に轢かれてなお天へと葉を広げる草の、根気と強さにあやかってのこと。			町人地は根気よく							
ゆえに、しぶとく！　たくましく！この国が抱える問題を、ドマ町人地の街づくりでもって、ひとつずつ取り払っていきたいのでございまするッ！			ゆえに、しぶとく！　たくましく！この国が抱える問題を、ドマ町人地の街づくりでもって、ひとつずつ取り払っていきたいのでございまするッ！			町人地は根気よく							
ハッ……つい熱くなって……！こ、志については、おわかりいただけたようなので、具体的な計画の話に進みましょう……っ！			ハッ……つい熱くなって……！こ、志については、おわかりいただけたようなので、具体的な計画の話に進みましょう……っ！			町人地は根気よく							
実際に場を見るのがよろしいかと存じますので、町の北側にある広場に、移動をお願いできますでしょうか？「ミツバ」という女性にお声がけくださいませ。			実際に場を見るのがよろしいかと存じますので、町の北側にある広場に、移動をお願いできますでしょうか？「ミツバ」という女性にお声がけくださいませ。			町人地は根気よく							
町の北側にある広場に、移動をお願いできますでしょうか？「ミツバ」という女性にお声がけくださいませ。			町の北側にある広場に、移動をお願いできますでしょうか？「ミツバ」という女性にお声がけくださいませ。			町人地は根気よく							
おや、Surnameさんじゃないか。……どうした？　腹が空いたのかい？			おや、Surnameさんじゃないか。……どうした？　腹が空いたのかい？			町人地は根気よく							
こんにちは、ミツバさん。実は、Surname殿に、此度の計画へのご協力をお願いしているのです。			こんにちは、ミツバさん。実は、Surname殿に、此度の計画へのご協力をお願いしているのです。			町人地は根気よく							
それで、この場所について、ご説明いただければと思って……。			それで、この場所について、ご説明いただければと思って……。			町人地は根気よく							
なんと！そいつは責任もって売り込まなきゃならないね。			なんと！そいつは責任もって売り込まなきゃならないね。			町人地は根気よく							
改めて、あたしはミツバ。もともとは、この街で一番おおきな食堂をやっていたのさ。食材の買い付けから調理まで、何でもね。			改めて、あたしはミツバ。もともとは、この街で一番おおきな食堂をやっていたのさ。食材の買い付けから調理まで、何でもね。			町人地は根気よく							
んで今は、この「万市場」の責任者をさせてもらってるんだ。			んで今は、この「万市場」の責任者をさせてもらってるんだ。			町人地は根気よく							
あはは、首をかしげる気持ちもわかるさ。万市場なんていいながら、今はほとんどなーんにもないんだからね！			あはは、首をかしげる気持ちもわかるさ。万市場なんていいながら、今はほとんどなーんにもないんだからね！			町人地は根気よく							
