ココブシの目撃情報が入ったため、さっそく情報を集めに行きたいようだ。			ココブシの目撃情報が入ったため、さっそく情報を集めに行きたいようだ。			臆病者の牙							
……それは私の罪です。危機を避ける手法を教え、確度の高い戦い方を指導し、強敵に挑む勇気……それを教えてこなかった。			……それは私の罪です。危機を避ける手法を教え、確度の高い戦い方を指導し、強敵に挑む勇気……それを教えてこなかった。			深淵に射す光							
Forenameよ、貴方に頼みたいことがあります。「呪術の深淵：裏の章」の試練に挑み、弟達に勇気を示してあげてください。			Forenameよ、貴方に頼みたいことがあります。「呪術の深淵：裏の章」の試練に挑み、弟達に勇気を示してあげてください。			深淵に射す光							
そ……そんな、Forenameには無茶だよ。僕たちだって、まだ挑戦していない試練だ……。			そ……そんな、Forenameには無茶だよ。僕たちだって、まだ挑戦していない試練だ……。			深淵に射す光							
Forenameもお前達も、力は十分にあるのです。Forename、裏の章に挑む気持ちが固まったら、「ザルの祠」に来て下さい、詳しく説明しましょう……。			Forenameもお前達も、力は十分にあるのです。Forename、裏の章に挑む気持ちが固まったら、「ザルの祠」に来て下さい、詳しく説明しましょう……。			深淵に射す光							
Forenameを巻き込んでしまって、申し訳ありません。しかし、幾多の恐怖に打ち勝ってきた、Forenameなら超えられるはずです……。			Forenameを巻き込んでしまって、申し訳ありません。しかし、幾多の恐怖に打ち勝ってきた、Forenameなら超えられるはずです……。			深淵に射す光							
「呪術の深淵：裏の章」の教えとは、一人の呪術士としての総合力を試す試練……その戦いの中で勝利への道筋を見つけてください。			「呪術の深淵：裏の章」の教えとは、一人の呪術士としての総合力を試す試練……その戦いの中で勝利への道筋を見つけてください。			深淵に射す光							
それでは「呪術の深淵：裏の章」を始めましょう……。			それでは「呪術の深淵：裏の章」を始めましょう……。			深淵に射す光							
クエスト「呪術クエスト250」のバトルを開始しますか？			クエスト「呪術クエスト250」のバトルを開始しますか？			深淵に射す光							
はい			はい			深淵に射す光							
いいえ			いいえ			深淵に射す光							
Forename……む、無茶しないで……。			Forename……む、無茶しないで……。			深淵に射す光							
Forenameよぉ、逃げてもいいんだぜぇ？おめぇのこと、俺ら結構気に入ってんだよぉ！			Forenameよぉ、逃げてもいいんだぜぇ？おめぇのこと、俺ら結構気に入ってんだよぉ！			深淵に射す光							
裏の章は、我らすら未達。勝てる確率が、低いからだ……。			裏の章は、我らすら未達。勝てる確率が、低いからだ……。			深淵に射す光							
本当に裏の章に挑戦するつもり？……なんで君は、怖くないの？			本当に裏の章に挑戦するつもり？……なんで君は、怖くないの？			深淵に射す光							
ほ、本当に……Forenameが、「裏の章」が与える試練を、突破した……！？			ほ、本当に……Forenameが、「裏の章」が与える試練を、突破した……！？			深淵に射す光							
弟達よ、見ていましたね……？呪術には、どんな危機にも打ち勝つことができる、最強の破壊力があるのです。			弟達よ、見ていましたね……？呪術には、どんな危機にも打ち勝つことができる、最強の破壊力があるのです。			深淵に射す光							
……俺らだってよぉ、ココブシを助けてぇ。呪術を使って、強敵に勝ちてぇ！			……俺らだってよぉ、ココブシを助けてぇ。呪術を使って、強敵に勝ちてぇ！			深淵に射す光							
我々は臆病なだけではなく、未熟だったようだ。Forenameに、勇気を教えられようとは……。			我々は臆病なだけではなく、未熟だったようだ。Forenameに、勇気を教えられようとは……。			深淵に射す光							
Forenameが裏の章クリアしちゃったんだ。それを超える度胸をみせなきゃ、示しがつかないねぇ～。			Forenameが裏の章クリアしちゃったんだ。それを超える度胸をみせなきゃ、示しがつかないねぇ～。			深淵に射す光							
クックック……さすが、我が弟達です……。お前達の力を合わせれば、どんな災厄をも超えられます。			クックック……さすが、我が弟達です……。お前達の力を合わせれば、どんな災厄をも超えられます。			深淵に射す光							
Forename、貴方の力のおかげで、弟達が危機に挑む意志をもつことができた……。一度ギルドに帰り、今後の作戦について考えましょう。			Forename、貴方の力のおかげで、弟達が危機に挑む意志をもつことができた……。一度ギルドに帰り、今後の作戦について考えましょう。			深淵に射す光							
ココビゴ、ココバニ、ココベジ、ココボハ、そしてForename……。その魔力を束ねれば、モルモーも倒せるはずです。			ココビゴ、ココバニ、ココベジ、ココボハ、そしてForename……。その魔力を束ねれば、モルモーも倒せるはずです。			深淵に射す光							
それまでForenameは、勝利をより確かなものにするため、鍛錬を続けてください。			それまでForenameは、勝利をより確かなものにするため、鍛錬を続けてください。			深淵に射す光							
貴方の成長は、弟達の希望でもあるのです。期待していますよ、Forename。			貴方の成長は、弟達の希望でもあるのです。期待していますよ、Forename。			深淵に射す光							
クックック……もう、引き返せませんよ……？			クックック……もう、引き返せませんよ……？			深淵に射す光							
現世に虚を穿ちて、暗闇の翼を舞わせん！鮮血を啜れ！ヴォイド・ヘラルド！			現世に虚を穿ちて、暗闇の翼を舞わせん！鮮血を啜れ！ヴォイド・ヘラルド！			深淵に射す光							
こ、これが、裏の章の試練……！			こ、これが、裏の章の試練……！			深淵に射す光							
Forename！　む、無理すんじゃねーぞ！？			Forename！　む、無理すんじゃねーぞ！？			深淵に射す光							
裏の章は、こんなものではありません……。さぁ、次なる危機を呼びますよ……。			裏の章は、こんなものではありません……。さぁ、次なる危機を呼びますよ……。			深淵に射す光							
現世に虚を穿ちて、深淵の汚濁を絞らん！腐り溶かせ！　ヴォイド・ドロス！			現世に虚を穿ちて、深淵の汚濁を絞らん！腐り溶かせ！　ヴォイド・ドロス！			深淵に射す光							
ヴォイド・ドロスの静寂液を受ければ、魔法が封じられる。即座に破壊せねば、沈黙の死が這い寄るぞ……！			ヴォイド・ドロスの静寂液を受ければ、魔法が封じられる。即座に破壊せねば、沈黙の死が這い寄るぞ……！			深淵に射す光							
クックック、素晴らしい、よくぞ耐えました……。次が最後……気を緩めたら、死にますよ……。			クックック、素晴らしい、よくぞ耐えました……。次が最後……気を緩めたら、死にますよ……。			深淵に射す光							
現世に虚を穿ちて、蝿の王を招来せん！生者を蝕め！　ヴォイド・ジャンパー！			現世に虚を穿ちて、蝿の王を招来せん！生者を蝕め！　ヴォイド・ジャンパー！			深淵に射す光							
……が、頑張れ！Forename！冷静に相手の動きを見れば、放電攻撃は避けられるよ！			……が、頑張れ！Forename！冷静に相手の動きを見れば、放電攻撃は避けられるよ！			深淵に射す光							
呪術士ギルドマスターのココブキは冒険者に次なる呪術の深淵の章を教えようとしている。			呪術士ギルドマスターのココブキは冒険者に次なる呪術の深淵の章を教えようとしている。			取り囲まれる危機							
呪術士ギルドマスター、ココボハから呪術の深淵の「取り囲まれる危機」を学ぼう。			呪術士ギルドマスター、ココボハから呪術の深淵の「取り囲まれる危機」を学ぼう。			取り囲まれる危機							
呪術士の魔力を奪い、殺してしまう「魔力強盗」が現れているらしい。魔力強盗を仕留めるため「ノフィカの井戸」にいる「ココブシ」に話しかけよう。			呪術士の魔力を奪い、殺してしまう「魔力強盗」が現れているらしい。魔力強盗を仕留めるため「ノフィカの井戸」にいる「ココブシ」に話しかけよう。			取り囲まれる危機							
「呪術士の亡骸」を調べ、「魔力強盗」の手がかりを見つけよう。			「呪術士の亡骸」を調べ、「魔力強盗」の手がかりを見つけよう。			取り囲まれる危機							
調べた亡骸から見つけた「血濡れのセプター」「引き裂かれた古書」「血濡れの腕輪」をココブシに渡そう。			調べた亡骸から見つけた「血濡れのセプター」「引き裂かれた古書」「血濡れの腕輪」をココブシに渡そう。			取り囲まれる危機							
ココブシの推理によれば、犯人はまだ近くにいる可能性があるらしい。「指定地点」で「魔力強盗」が現れるまで待機しよう。			ココブシの推理によれば、犯人はまだ近くにいる可能性があるらしい。「指定地点」で「魔力強盗」が現れるまで待機しよう。			取り囲まれる危機							
屈強な剣術士と協力して、インプを全て討伐した。ココブシに報告しに行こう。			屈強な剣術士と協力して、インプを全て討伐した。ココブシに報告しに行こう。			取り囲まれる危機							
ココブシによると、一匹インプが逃げてしまったようだ。南西の方へと逃げた「インプ」を討伐すべく、洞窟内にある怪しい岩陰を調べよう。			ココブシによると、一匹インプが逃げてしまったようだ。南西の方へと逃げた「インプ」を討伐すべく、洞窟内にある怪しい岩陰を調べよう。			取り囲まれる危機							
試練の終了を「呪術士ギルド」の「ココボハ」に報告しよう。			試練の終了を「呪術士ギルド」の「ココボハ」に報告しよう。			取り囲まれる危機							
ココボハによると、今回の試練で「呪術の深淵」は修了らしい。しかし、ココブキの様子がおかしいようだ。「ココブキ」に話をきこう。			ココボハによると、今回の試練で「呪術の深淵」は修了らしい。しかし、ココブキの様子がおかしいようだ。「ココブキ」に話をきこう。			取り囲まれる危機							
ココブキは、ココブシが妖異に憑依されたことに動揺していた。彼はしばらく考える時間が欲しいようだ。※呪術士のレベルが25以上になると、ココビゴから　次の呪術士クエストを受注することができます。			ココブキは、ココブシが妖異に憑依されたことに動揺していた。彼はしばらく考える時間が欲しいようだ。※呪術士のレベルが25以上になると、ココビゴから　次の呪術士クエストを受注することができます。			取り囲まれる危機							
ココボハと話す			ココボハと話す			取り囲まれる危機							
ノフィカの井戸のココブシと話す			ノフィカの井戸のココブシと話す			取り囲まれる危機							
呪術士の亡骸を調べて証拠を入手			呪術士の亡骸を調べて証拠を入手			取り囲まれる危機							
ココブシに呪術士の遺品を渡す			ココブシに呪術士の遺品を渡す			取り囲まれる危機							
指定地点で待機する			指定地点で待機する			取り囲まれる危機							
ココブシと話す			ココブシと話す			取り囲まれる危機							
怪しい岩陰を調べる			怪しい岩陰を調べる			取り囲まれる危機							
呪術士ギルドのココボハに報告			呪術士ギルドのココボハに報告			取り囲まれる危機							
ココブキと話す			ココブキと話す			取り囲まれる危機							
ソウルサッカーたちを倒せ！			ソウルサッカーたちを倒せ！			取り囲まれる危機							
クエスト「呪術クエスト200」のバトルを開始しますか？			クエスト「呪術クエスト200」のバトルを開始しますか？			取り囲まれる危機							
はい			はい			取り囲まれる危機							
いいえ			いいえ			取り囲まれる危機							
Forename！　無事でしたか！最近「魔力強盗」による、奇妙な変死事件が多発していて心配しましたよ。			Forename！　無事でしたか！最近「魔力強盗」による、奇妙な変死事件が多発していて心配しましたよ。			取り囲まれる危機							
犠牲者は全て呪術士、死因は「魔力の枯渇」とのこと。どうやら魔力……すなわち命の源たるエーテルを全て奪われてしまったようです。			犠牲者は全て呪術士、死因は「魔力の枯渇」とのこと。どうやら魔力……すなわち命の源たるエーテルを全て奪われてしまったようです。			取り囲まれる危機							
とにかく無事でなによりでした。今日は五男のココボハから、「呪術の深淵」最終章……「取り囲まれる危機」の章を学んできなさい。			とにかく無事でなによりでした。今日は五男のココボハから、「呪術の深淵」最終章……「取り囲まれる危機」の章を学んできなさい。			取り囲まれる危機							
アハハ！　Forename。ようやく僕の番が来たみたいだね。さっさと「取り囲まれる危機」の章を読み進めようか！			アハハ！　Forename。ようやく僕の番が来たみたいだね。さっさと「取り囲まれる危機」の章を読み進めようか！			取り囲まれる危機							
「呪術の深淵：取り囲まれる危機」嗚呼、我が華々しき魔力よ、素晴らしきかな。豪炎広がり、氷刃連なり、雷撃舞い散り敵を滅さん。			「呪術の深淵：取り囲まれる危機」嗚呼、我が華々しき魔力よ、素晴らしきかな。豪炎広がり、氷刃連なり、雷撃舞い散り敵を滅さん。			取り囲まれる危機							
嗚呼、取り囲まれし時の、恐ろしきかな。その豪炎燃え盛らず、その氷刃連なることなく、その雷撃舞い散ることなし。我、危機を覚えるなり。			嗚呼、取り囲まれし時の、恐ろしきかな。その豪炎燃え盛らず、その氷刃連なることなく、その雷撃舞い散ることなし。我、危機を覚えるなり。			取り囲まれる危機							
──要はさぁ、大量の敵に囲まれたら超ピンチってこと！例えばさ、今話題の「魔力強盗」が、複数犯だったりしたら、呪術士なんてひとたまりもないね！			──要はさぁ、大量の敵に囲まれたら超ピンチってこと！例えばさ、今話題の「魔力強盗」が、複数犯だったりしたら、呪術士なんてひとたまりもないね！			取り囲まれる危機							
だから今回は～、囮……じゃなくて、お仲間を一人連れて試練を進めてほしいんだけど……。			だから今回は～、囮……じゃなくて、お仲間を一人連れて試練を進めてほしいんだけど……。			取り囲まれる危機							
ココボハ兄さん、その試練僕に手伝わせてください！僕、前もForenameの試練を手伝ったし！			ココボハ兄さん、その試練僕に手伝わせてください！僕、前もForenameの試練を手伝ったし！			取り囲まれる危機							
「ノフィカの井戸」で、例の魔力強盗の被害者と思われる呪術士の亡骸が複数見つかったんですよぉ！早く犯人を倒すためにも、Forenameの力を借りたくて！			「ノフィカの井戸」で、例の魔力強盗の被害者と思われる呪術士の亡骸が複数見つかったんですよぉ！早く犯人を倒すためにも、Forenameの力を借りたくて！			取り囲まれる危機							
アハハ！　ココブシじゃん。前回Forenameの試練に手出しをしたらしいけど、今回はちょっと、ココブシじゃダメだよ～。			アハハ！　ココブシじゃん。前回Forenameの試練に手出しをしたらしいけど、今回はちょっと、ココブシじゃダメだよ～。			取り囲まれる危機							
大丈夫、僕、腕利きの剣術士と仲良くなったんですよ。彼をForenameに紹介すればいいんでしょ？			大丈夫、僕、腕利きの剣術士と仲良くなったんですよ。彼をForenameに紹介すればいいんでしょ？			取り囲まれる危機							
アハハ！　なにそれ、面白いじゃん。そいつとForenameを組ませるんなら、「取り囲まれる危機」の章の試練内容にピッタリだ。			アハハ！　なにそれ、面白いじゃん。そいつとForenameを組ませるんなら、「取り囲まれる危機」の章の試練内容にピッタリだ。			取り囲まれる危機							
さあさあさあ、Forenameさん、兄の気が変わらないうちに、さっさと行きましょう。ノフィカの井戸で待ってますねぇ♪			さあさあさあ、Forenameさん、兄の気が変わらないうちに、さっさと行きましょう。ノフィカの井戸で待ってますねぇ♪			取り囲まれる危機							
ココブシ…………？			ココブシ…………？			取り囲まれる危機							
Forenameさん、さっすがよく来てくれました！隣のでかいルガディン族は、僕の友達の剣術士です！			Forenameさん、さっすがよく来てくれました！隣のでかいルガディン族は、僕の友達の剣術士です！			取り囲まれる危機							
ノフィカの井戸の水辺に、無残な呪術士の亡骸があります。なんだか汚いし、僕は触りたくないんで！犯人の手がかりを調査してくださいね♪			ノフィカの井戸の水辺に、無残な呪術士の亡骸があります。なんだか汚いし、僕は触りたくないんで！犯人の手がかりを調査してくださいね♪			取り囲まれる危機							
ノフィカの井戸の水辺に、無残な呪術士の亡骸があります。亡骸を調べて、手がかりになるものを見つけてください！			ノフィカの井戸の水辺に、無残な呪術士の亡骸があります。亡骸を調べて、手がかりになるものを見つけてください！			取り囲まれる危機							
報酬を積まれてな、そこのちっこいのに頼まれたんだ。盾なら俺に任せろ！　よろしくな、相棒！			報酬を積まれてな、そこのちっこいのに頼まれたんだ。盾なら俺に任せろ！　よろしくな、相棒！			取り囲まれる危機							
なにか手がかりはありましたかぁー？			なにか手がかりはありましたかぁー？			取り囲まれる危機							
ウフフ……どの血もまだ乾ききっていない。まだ襲われて間もないってことですよねー♪			ウフフ……どの血もまだ乾ききっていない。まだ襲われて間もないってことですよねー♪			取り囲まれる危機							
きっと犯人は近くにいます！Forenameさん、さっきの死体の近くで待ってみてください。あなたの魔力に誘われて、「魔力強盗」が現れるはずだ！			きっと犯人は近くにいます！Forenameさん、さっきの死体の近くで待ってみてください。あなたの魔力に誘われて、「魔力強盗」が現れるはずだ！			取り囲まれる危機							
先ほどの死体の近くで待ってみてください。あなたの魔力に誘われて、「魔力強盗」が現れるはずだ！			先ほどの死体の近くで待ってみてください。あなたの魔力に誘われて、「魔力強盗」が現れるはずだ！			取り囲まれる危機							
さすが、剣術士さんと息ぴったりでしたねぇ！ただ、Forenameさん気づかなかったと思いますけど、インプが一匹だけ逃げてたみたいなんです……。			さすが、剣術士さんと息ぴったりでしたねぇ！ただ、Forenameさん気づかなかったと思いますけど、インプが一匹だけ逃げてたみたいなんです……。			取り囲まれる危機							
これじゃぁ試練を完遂したって、ココボハ兄さんに報告できないですよね……。でも、剣術士さんはさっさと帰っちゃったし……。			これじゃぁ試練を完遂したって、ココボハ兄さんに報告できないですよね……。でも、剣術士さんはさっさと帰っちゃったし……。			取り囲まれる危機							
でもForenameさんなら、ひとりで大丈夫ですよね？逃げたインプは、洞窟の「怪しい岩陰」に隠れたようです！あの辺りを調べてみればいいんじゃないですか？			でもForenameさんなら、ひとりで大丈夫ですよね？逃げたインプは、洞窟の「怪しい岩陰」に隠れたようです！あの辺りを調べてみればいいんじゃないですか？			取り囲まれる危機							
逃げたインプは、洞窟の中……「怪しい岩陰」に隠れたようです！あの辺りを調べてみてくださいよぉ♪			逃げたインプは、洞窟の中……「怪しい岩陰」に隠れたようです！あの辺りを調べてみてくださいよぉ♪			取り囲まれる危機							
「それ」は、ココブシではありません……。呪術士から魔力を奪い、殺害したのも、モルモーの壺から脱し、ココブシに憑依した「妖異」です。			「それ」は、ココブシではありません……。呪術士から魔力を奪い、殺害したのも、モルモーの壺から脱し、ココブシに憑依した「妖異」です。			取り囲まれる危機							
………ウフフフフフ。Forenameの魔力は、美味そうでねぇ。初めて見た時からずっと、狙っていたのよぉ。			………ウフフフフフ。Forenameの魔力は、美味そうでねぇ。初めて見た時からずっと、狙っていたのよぉ。			取り囲まれる危機							
もうちょっと騙せると思ったのに、残念ねぇ……。アンタには気づかれちまってたってわけぇ？			もうちょっと騙せると思ったのに、残念ねぇ……。アンタには気づかれちまってたってわけぇ？			取り囲まれる危機							
ククク……私はココブシの兄ですからねぇ、当然ですよ。……今のうちにお前を殺し、被害の拡大を食い止めます。身内の問題です、長男として責任は持たないと。			ククク……私はココブシの兄ですからねぇ、当然ですよ。……今のうちにお前を殺し、被害の拡大を食い止めます。身内の問題です、長男として責任は持たないと。			取り囲まれる危機							
ウフフ……アンタみたいな臆病者には無理よぉ。呪術士なら、一撃目で「私」を直接狙うべきだったのに、わざわざ「ナイフ」を狙ったんだもんねぇ♪			ウフフ……アンタみたいな臆病者には無理よぉ。呪術士なら、一撃目で「私」を直接狙うべきだったのに、わざわざ「ナイフ」を狙ったんだもんねぇ♪			取り囲まれる危機							
アンタ、私と一緒に弟を殺すのが怖いんでしょう？			アンタ、私と一緒に弟を殺すのが怖いんでしょう？			取り囲まれる危機							
ウフフ、臆病者のお兄さん。ここは引くけどいいこと教えてあげる♪魔力を集めているのは、ココブシちゃんの願いでもあるのよぉ？			ウフフ、臆病者のお兄さん。ここは引くけどいいこと教えてあげる♪魔力を集めているのは、ココブシちゃんの願いでもあるのよぉ？			取り囲まれる危機							
彼、お兄さんと一緒に戦いたいんですってぇ！まぁ敵になっちゃったけど、それは仕方ないわよね。ウフフフフフ♪			彼、お兄さんと一緒に戦いたいんですってぇ！まぁ敵になっちゃったけど、それは仕方ないわよね。ウフフフフフ♪			取り囲まれる危機							
……決定的な攻撃の機会を逃してしまうとは、私は呪術士失格ですねぇ……。			……決定的な攻撃の機会を逃してしまうとは、私は呪術士失格ですねぇ……。			取り囲まれる危機							
……ココボハに与えられた試練の報告がまだでしょう？一度、呪術士ギルドに帰りなさい。私は少し……頭を冷やします。			……ココボハに与えられた試練の報告がまだでしょう？一度、呪術士ギルドに帰りなさい。私は少し……頭を冷やします。			取り囲まれる危機							
おっかえり～！　Forename！ココブキ兄ちゃんに聞いたよ。魔力強盗は逃したけど、剣術士との共闘は完璧だったって！			おっかえり～！　Forename！ココブキ兄ちゃんに聞いたよ。魔力強盗は逃したけど、剣術士との共闘は完璧だったって！			取り囲まれる危機							
兄ちゃんが言うなら問題ないからね、これで「呪術の深淵」は修了！　一人前ってことさ！			兄ちゃんが言うなら問題ないからね、これで「呪術の深淵」は修了！　一人前ってことさ！			取り囲まれる危機							
まあ、実は「裏の章」もあるんだけど、ココブキ兄ちゃんも、別にやらなくていいって言うんだ。僕だって挑戦してないよ、無駄に死にたくないしね！			まあ、実は「裏の章」もあるんだけど、ココブキ兄ちゃんも、別にやらなくていいって言うんだ。僕だって挑戦してないよ、無駄に死にたくないしね！			取り囲まれる危機							
……まだ、弟達には何も説明していません。私自身が、どうするべきかまだわからないからです。			……まだ、弟達には何も説明していません。私自身が、どうするべきかまだわからないからです。			取り囲まれる危機							
私はあの場で、ココブシごと殺すべきだった……。それが最もリスクの低い勝利だったはずだ。しかし…………。			私はあの場で、ココブシごと殺すべきだった……。それが最もリスクの低い勝利だったはずだ。しかし…………。			取り囲まれる危機							
……おそらく、件の妖異「モルモー」が次の行動に出るまでは、時間がかかるでしょう。一度見つかった以上、別の場所に移動するはずです。			……おそらく、件の妖異「モルモー」が次の行動に出るまでは、時間がかかるでしょう。一度見つかった以上、別の場所に移動するはずです。			取り囲まれる危機							
……すみませんがその間、もう少し考えさせてください。			……すみませんがその間、もう少し考えさせてください。			取り囲まれる危機							
へへっ！犯人のお出ましのようだな……！			へへっ！犯人のお出ましのようだな……！			取り囲まれる危機							
俺が敵をひきつける！お前は攻撃魔法をぶっ放せ！			俺が敵をひきつける！お前は攻撃魔法をぶっ放せ！			取り囲まれる危機							
チッ、通常のインプより高位の魔法を使いやがる！近づくとやばいぜ！			チッ、通常のインプより高位の魔法を使いやがる！近づくとやばいぜ！			取り囲まれる危機							
くっ！3匹はきついな。でかいのを眠らせてくれ！ちっこい方から片付けるぞ！			くっ！3匹はきついな。でかいのを眠らせてくれ！ちっこい方から片付けるぞ！			取り囲まれる危機							
よぉし、任務完了！お疲れさん！そんじゃ俺は、報酬もらって帰るぜ！			よぉし、任務完了！お疲れさん！そんじゃ俺は、報酬もらって帰るぜ！			取り囲まれる危機							
呪術士ギルドマスターのココブキは冒険者に次なる「呪術の深淵」の章を教えようとしている。			呪術士ギルドマスターのココブキは冒険者に次なる「呪術の深淵」の章を教えようとしている。			猛り狂う危機							
呪術士ギルドマスター、ココベジから呪術の深淵の「猛り狂う危機」を学ぼう。			呪術士ギルドマスター、ココベジから呪術の深淵の「猛り狂う危機」を学ぼう。			猛り狂う危機							
エーテル代金を請求しに来た怒れる商人達に「泣く」様子を見せ、帰ってもらおう。			エーテル代金を請求しに来た怒れる商人達に「泣く」様子を見せ、帰ってもらおう。			猛り狂う危機							
商人を泣き落とすことができた、ココベジに報告をしよう			商人を泣き落とすことができた、ココベジに報告をしよう			猛り狂う危機							
呪われた遺物「モルモーの壺」を破壊するため、壺を奪い、ドライボーンの南東を移動中の「アラクラン」を討伐しよう。			呪われた遺物「モルモーの壺」を破壊するため、壺を奪い、ドライボーンの南東を移動中の「アラクラン」を討伐しよう。			猛り狂う危機							
指定された組織を討伐し、モルモーの壺も破壊した。「呪術士ギルド」の「ココベジ」に報告しよう			指定された組織を討伐し、モルモーの壺も破壊した。「呪術士ギルド」の「ココベジ」に報告しよう			猛り狂う危機							
不測の事態で学びを活かした冒険者。試練の後のココブシの様子が気になるが……。戦いの中で学んだことを胸に、更なる修行に励もう※呪術士のレベルが20以上になると、ココブキから　次の呪術士クエストを受注することができます。			不測の事態で学びを活かした冒険者。試練の後のココブシの様子が気になるが……。戦いの中で学んだことを胸に、更なる修行に励もう※呪術士のレベルが20以上になると、ココブキから　次の呪術士クエストを受注することができます。			猛り狂う危機							
ココベジと話す			ココベジと話す			猛り狂う危機							
怒れる商人達に「泣いて」みせる			怒れる商人達に「泣いて」みせる			猛り狂う危機							
呪術士ギルドのココベジに報告			呪術士ギルドのココベジに報告			猛り狂う危機							
ドライボーンの指定地点で待機する			ドライボーンの指定地点で待機する			猛り狂う危機							
呪術士ギルドのココベジに報告			呪術士ギルドのココベジに報告			猛り狂う危機							
スリプルを使って敵地に侵入し、モルモーの壺を破壊しろ！			スリプルを使って敵地に侵入し、モルモーの壺を破壊しろ！			猛り狂う危機							
アラクランの賊達を倒せ！			アラクランの賊達を倒せ！			猛り狂う危機							
さぁ、今日も最強の破壊力を得るために、呪術の深淵を知るのです……。			さぁ、今日も最強の破壊力を得るために、呪術の深淵を知るのです……。			猛り狂う危機							
今日は四男のココベジが、「呪術の深淵」の次なる章に記された「猛り狂う危機」を教えてくれるでしょう。			今日は四男のココベジが、「呪術の深淵」の次なる章に記された「猛り狂う危機」を教えてくれるでしょう。			猛り狂う危機							
……Forenameか。我はココベジ、「猛り狂う危機」の章を教えし者。さあ、我が言葉に耳を傾けよ……。			……Forenameか。我はココベジ、「猛り狂う危機」の章を教えし者。さあ、我が言葉に耳を傾けよ……。			猛り狂う危機							
「呪術の深淵：猛り狂う危機」嗚呼、我が放出せし魔力よ、素晴らしきかな。豪炎熱風まとい、氷刃冷気まとい、雷撃閃光放ち奔らん。			「呪術の深淵：猛り狂う危機」嗚呼、我が放出せし魔力よ、素晴らしきかな。豪炎熱風まとい、氷刃冷気まとい、雷撃閃光放ち奔らん。			猛り狂う危機							
嗚呼、不意衝かれし時の、恐ろしきかな。その豪炎灯ることなく、その氷刃固まることなく、その雷撃迸ることなし。我、恐怖を覚えるなり。			嗚呼、不意衝かれし時の、恐ろしきかな。その豪炎灯ることなく、その氷刃固まることなく、その雷撃迸ることなし。我、恐怖を覚えるなり。			猛り狂う危機							
──「猛り狂う危機」の章が伝えし真理。それは、攻撃性の高き敵との遭遇が生む危機。生きるため、時に「戦いを避ける」ことも必要……。			──「猛り狂う危機」の章が伝えし真理。それは、攻撃性の高き敵との遭遇が生む危機。生きるため、時に「戦いを避ける」ことも必要……。			猛り狂う危機							
実例……今現在ウルダハ都市内にて猛り狂う商人、数多。強欲の大罪に染まりし虚ろなる存在……。			実例……今現在ウルダハ都市内にて猛り狂う商人、数多。強欲の大罪に染まりし虚ろなる存在……。			猛り狂う危機							
つまり、前回Forenameがアマルジャ族より奪還した後、我らが飲み干したエーテル代金……それを請求せし者ども！			つまり、前回Forenameがアマルジャ族より奪還した後、我らが飲み干したエーテル代金……それを請求せし者ども！			猛り狂う危機							
彼らの心を、穢れた罪より救うすべ……それは「情」。汝、Forenameに、我が秘伝の術を伝授しよう。			彼らの心を、穢れた罪より救うすべ……それは「情」。汝、Forenameに、我が秘伝の術を伝授しよう。			猛り狂う危機							
すなわち……泣き落とし！			すなわち……泣き落とし！			猛り狂う危機							
商人に「泣き」つき、猛り狂う魂を鎮めるべし！ 鎮めるべし！			商人に「泣き」つき、猛り狂う魂を鎮めるべし！ 鎮めるべし！			猛り狂う危機							
おいこら！　エーテル泥棒さんよぉ！いつになったらエーテル返すんじゃい！			おいこら！　エーテル泥棒さんよぉ！いつになったらエーテル返すんじゃい！			猛り狂う危機							
お、お前が悪くないのはわかってるよ……。アマルジャとっちめてくれた奴だもんなぁ。お前に免じて、今日のところは帰るよぉ……。			お、お前が悪くないのはわかってるよ……。アマルジャとっちめてくれた奴だもんなぁ。お前に免じて、今日のところは帰るよぉ……。			猛り狂う危機							
ちょっとぉ！火事場泥棒じゃないんだから、売り物のエーテル、返しなさいよ！			ちょっとぉ！火事場泥棒じゃないんだから、売り物のエーテル、返しなさいよ！			猛り狂う危機							
……私も、あなたに怒りたいわけじゃないのよ？あのエーテル大好き五兄弟のせいよね。次やったら、絶対代金請求してやる！			……私も、あなたに怒りたいわけじゃないのよ？あのエーテル大好き五兄弟のせいよね。次やったら、絶対代金請求してやる！			猛り狂う危機							
おうおう、呪術士さんよぉ！「売り物に手ぇ付けたら金払え」……って母ちゃんから教わらなかったか！？			おうおう、呪術士さんよぉ！「売り物に手ぇ付けたら金払え」……って母ちゃんから教わらなかったか！？			猛り狂う危機							
……そうか、そうか、泣くほど飲みたかったのか。俺も若い頃は貧乏でなぁ……苦労したんだよ。エーテル代のことは、おじさんに任せなさい！			……そうか、そうか、泣くほど飲みたかったのか。俺も若い頃は貧乏でなぁ……苦労したんだよ。エーテル代のことは、おじさんに任せなさい！			猛り狂う危機							
猛り狂いし魂を鎮めるとは、中々の業師なり。しかし、敵が「情」を解すとは限らぬこともある。ここにひとつの「破壊依頼」あり……。			猛り狂いし魂を鎮めるとは、中々の業師なり。しかし、敵が「情」を解すとは限らぬこともある。ここにひとつの「破壊依頼」あり……。			猛り狂う危機							
