流星の間のリムサ・ロミンサの駐在武官は、冒険者に頼みたいことがあるようだ。			流星の間のリムサ・ロミンサの駐在武官は、冒険者に頼みたいことがあるようだ。			いざ、出航の時							
これ以上は、話を聞いてもらえそうにないようだな……。別の海嘯派の者から話を聞こう。			これ以上は、話を聞いてもらえそうにないようだな……。別の海嘯派の者から話を聞こう。			融和派と海嘯派							
テンパードの治療が進んだとは言え、まだまだ敵対しているサハギン族は多い。この先に行くなら、くれぐれも注意するこった。			テンパードの治療が進んだとは言え、まだまだ敵対しているサハギン族は多い。この先に行くなら、くれぐれも注意するこった。			融和派と海嘯派							
フスィーッ……何やら産卵地が騒がしいと思えば、ヒレナシどもが紛れ込んでいたか。			フスィーッ……何やら産卵地が騒がしいと思えば、ヒレナシどもが紛れ込んでいたか。			融和派と海嘯派							
海嘯派の司祭ドォウ殿とお見受けする。突然の訪問を許してもらいたい。			海嘯派の司祭ドォウ殿とお見受けする。突然の訪問を許してもらいたい。			融和派と海嘯派							
私は、リムサ・ロミンサの提督、メルウィブ・ブルーフィスウィンだ。			私は、リムサ・ロミンサの提督、メルウィブ・ブルーフィスウィンだ。			融和派と海嘯派							
此度は、海嘯派の指導者であるドォウ殿と、交渉の場を設けたく、お願いに参った。			此度は、海嘯派の指導者であるドォウ殿と、交渉の場を設けたく、お願いに参った。			融和派と海嘯派							
ほう、交渉とな……？			ほう、交渉とな……？			融和派と海嘯派							
人とサハギン族との対立を、武力で決しようとした場合、どちらが勝とうが大きな犠牲が出ることは明白。			人とサハギン族との対立を、武力で決しようとした場合、どちらが勝とうが大きな犠牲が出ることは明白。			融和派と海嘯派							
さらに今、我々は共通の脅威に直面している。争い合って傷つけ合うのではなく、手を取り合い共闘したいのだ。交渉に応じるのであれば、ぜひ南防波壁に来ていただきたい。			さらに今、我々は共通の脅威に直面している。争い合って傷つけ合うのではなく、手を取り合い共闘したいのだ。交渉に応じるのであれば、ぜひ南防波壁に来ていただきたい。			融和派と海嘯派							
フスィーッ、共闘だと……！？ヒレナシどもの砦にむざむざ赴いて、だまし討ちに遭わない保証があるというのか？			フスィーッ、共闘だと……！？ヒレナシどもの砦にむざむざ赴いて、だまし討ちに遭わない保証があるというのか？			融和派と海嘯派							
人とサハギン族を隔ててきたあの壁の向こうに、貴殿らを招くということこそ、我らが門戸を開いていることの証。そう考えてはもらえないだろうか？			人とサハギン族を隔ててきたあの壁の向こうに、貴殿らを招くということこそ、我らが門戸を開いていることの証。そう考えてはもらえないだろうか？			融和派と海嘯派							
どんな提案をするつもりかは知らぬが、我らとて、逃げたと思われては戦士としての名折れだ。一度だけ、貴様らの誘いに応じようではないか。			どんな提案をするつもりかは知らぬが、我らとて、逃げたと思われては戦士としての名折れだ。一度だけ、貴様らの誘いに応じようではないか。			融和派と海嘯派							
そうか、承諾してくれるか……！感謝しよう、ドォウ殿。			そうか、承諾してくれるか……！感謝しよう、ドォウ殿。			融和派と海嘯派							
では、我々は先に「南防波壁」で待つとしよう。私は融和派と連絡して、彼らにも立ち会うよう依頼しておく。			では、我々は先に「南防波壁」で待つとしよう。私は融和派と連絡して、彼らにも立ち会うよう依頼しておく。			融和派と海嘯派							
もういいのか？ならば、ドォウ殿のもとへ向かおう。先導は君に任せたぞ……！			もういいのか？ならば、ドォウ殿のもとへ向かおう。先導は君に任せたぞ……！			融和派と海嘯派							
サプサ産卵地で「ドォウ」殿を探すとしよう。			サプサ産卵地で「ドォウ」殿を探すとしよう。			融和派と海嘯派							
司祭様は、産卵地入口の防備を確認されている頃だろう。我らの間に、話し合いなど意味を持たぬと確かめてくるがよい。			司祭様は、産卵地入口の防備を確認されている頃だろう。我らの間に、話し合いなど意味を持たぬと確かめてくるがよい。			融和派と海嘯派							
フスィーッ！神聖な産卵地を土足で踏み荒らすヒレナシどもめ！今すぐ出て行け！			フスィーッ！神聖な産卵地を土足で踏み荒らすヒレナシどもめ！今すぐ出て行け！			融和派と海嘯派							
かような所まで、ご足労いただき感謝する。			かような所まで、ご足労いただき感謝する。			融和派と海嘯派							
フスィーッ……ごたくはいい、手短に用件を言え。			フスィーッ……ごたくはいい、手短に用件を言え。			融和派と海嘯派							
では、単刀直入に言わせてもらおう。			では、単刀直入に言わせてもらおう。			融和派と海嘯派							
我々は、いま共通の脅威に直面している。それは蛮神以上に危険であり、人のみならずサハギン族にも、存亡の危機をもたらす可能性が高い。			我々は、いま共通の脅威に直面している。それは蛮神以上に危険であり、人のみならずサハギン族にも、存亡の危機をもたらす可能性が高い。			融和派と海嘯派							
だが、幸いにもテンパードの治療法が確立したことにより、対話を試み、妥協点を探ることも可能になった……。ゆえにこそ、私は共闘を申し出たのだ。			だが、幸いにもテンパードの治療法が確立したことにより、対話を試み、妥協点を探ることも可能になった……。ゆえにこそ、私は共闘を申し出たのだ。			融和派と海嘯派							
フスィーッ……ヒトの協力のおかげで、一族の半数以上が、偽りの神の呪縛から解放された。いまこそ、共に生きる道を探し出すのでござる……！			フスィーッ……ヒトの協力のおかげで、一族の半数以上が、偽りの神の呪縛から解放された。いまこそ、共に生きる道を探し出すのでござる……！			融和派と海嘯派							
此度の事態では、海嘯派も大いに苦しめられているはず……。どうか人とサハギン族で手を取り合って共闘し、この危機を乗り越えていこうではないか。			此度の事態では、海嘯派も大いに苦しめられているはず……。どうか人とサハギン族で手を取り合って共闘し、この危機を乗り越えていこうではないか。			融和派と海嘯派							
フスィーッ……何を言い出すかと思えば、共闘とはな。そもそも脅威とは、いったい何のことだ……？			フスィーッ……何を言い出すかと思えば、共闘とはな。そもそも脅威とは、いったい何のことだ……？			融和派と海嘯派							
我らと共闘したいと言うなら、そして貴様らヒレナシが、「海の民」を自称するのなら……「海蛇の舌」のように、我らサハギン族の軍門に下れ。			我らと共闘したいと言うなら、そして貴様らヒレナシが、「海の民」を自称するのなら……「海蛇の舌」のように、我らサハギン族の軍門に下れ。			融和派と海嘯派							
「海蛇の舌」だと……。それは……彼らのように、リヴァイアサンのテンパードになれと？			「海蛇の舌」だと……。それは……彼らのように、リヴァイアサンのテンパードになれと？			融和派と海嘯派							
いかにも。水神様の祝福のもと、我らと貴様らの思想をひとつとすれば、争う理由もなくなるだろう。			いかにも。水神様の祝福のもと、我らと貴様らの思想をひとつとすれば、争う理由もなくなるだろう。			融和派と海嘯派							
フスィーッ！　そんなものは、偽りの融和でしかないでござる！異なる思想を持つ者同士が、手を取り合うことこそ真の融和である！			フスィーッ！　そんなものは、偽りの融和でしかないでござる！異なる思想を持つ者同士が、手を取り合うことこそ真の融和である！			融和派と海嘯派							
おお……なんということだ……。同じ母を持つ我らが同志が、ヒレナシにそそのかされ、水神様をまがい物と決めつける不信心者へと堕ちてしまった……。			おお……なんということだ……。同じ母を持つ我らが同志が、ヒレナシにそそのかされ、水神様をまがい物と決めつける不信心者へと堕ちてしまった……。			融和派と海嘯派							
ああ、このままでは産卵地を奪われるのも時間の問題……我ら海嘯派に未来はないのであろうか……！			ああ、このままでは産卵地を奪われるのも時間の問題……我ら海嘯派に未来はないのであろうか……！			融和派と海嘯派							
フスィーッ……口惜しい……口惜しいィィィ……！！			フスィーッ……口惜しい……口惜しいィィィ……！！			融和派と海嘯派							
アァ……アアァァァァァァァァァ！！			アァ……アアァァァァァァァァァ！！			融和派と海嘯派							
フスィーッ……！　おお……やはり！！これぞ我らが水神様より賜りし、新たな祝福の力！			フスィーッ……！　おお……やはり！！これぞ我らが水神様より賜りし、新たな祝福の力！			融和派と海嘯派							
獣への転化を、祝福の力だと……！？			獣への転化を、祝福の力だと……！？			融和派と海嘯派							
フスィーッ……！かような化け物が相手では、命がいくつあっても足りぬ！			フスィーッ……！かような化け物が相手では、命がいくつあっても足りぬ！			融和派と海嘯派							
まずい、エールポートの方角へ……！ここは任せるぞ！			まずい、エールポートの方角へ……！ここは任せるぞ！			融和派と海嘯派							
フシュシュシュシュ……素晴らしい、素晴らしいぞ！すべての同志が、新たなる祝福の力を授かることができれば、ヒレナシどもを一掃し、産卵地を拡大することも夢ではないィ！！			フシュシュシュシュ……素晴らしい、素晴らしいぞ！すべての同志が、新たなる祝福の力を授かることができれば、ヒレナシどもを一掃し、産卵地を拡大することも夢ではないィ！！			融和派と海嘯派							
どんな話をするつもりかは知らぬが、我らとて、逃げたと思われては戦士としての名折れだ。一度だけ、貴様らの誘いに応じようではないか。			どんな話をするつもりかは知らぬが、我らとて、逃げたと思われては戦士としての名折れだ。一度だけ、貴様らの誘いに応じようではないか。			融和派と海嘯派							
フスィーッ……まだいたのか。用が済んだなら、さっさと失せろ。			フスィーッ……まだいたのか。用が済んだなら、さっさと失せろ。			融和派と海嘯派							
フスィーッ！神聖な産卵地を土足で踏み荒らすヒレナシどもめ！今すぐ出て行け！			フスィーッ！神聖な産卵地を土足で踏み荒らすヒレナシどもめ！今すぐ出て行け！			融和派と海嘯派							
フスィーッ……。冒険者殿の手を煩わせることは申し訳なく思うが……獣へと堕ちてしまった同胞を、解放してやってくだされ……。			フスィーッ……。冒険者殿の手を煩わせることは申し訳なく思うが……獣へと堕ちてしまった同胞を、解放してやってくだされ……。			融和派と海嘯派							
さ、魚野郎が化け物に……！？いったい何が起こってやがるんだ！？			さ、魚野郎が化け物に……！？いったい何が起こってやがるんだ！？			融和派と海嘯派							
フスィーッ……かたじけない。貴殿には、これで二度も救っていただいた。このご恩は、ヒトとの融和を実現することで報いさせてほしい。			フスィーッ……かたじけない。貴殿には、これで二度も救っていただいた。このご恩は、ヒトとの融和を実現することで報いさせてほしい。			融和派と海嘯派							
さて……我が仲間を追いかけていった「メルウィブ」殿は、ご無事でござろうか……我らも急ぎ向かいましょうぞ！			さて……我が仲間を追いかけていった「メルウィブ」殿は、ご無事でござろうか……我らも急ぎ向かいましょうぞ！			融和派と海嘯派							
すまない、間に合わなかった……。			すまない、間に合わなかった……。			融和派と海嘯派							
フスィーッ……貴殿の責任ではござらぬ。			フスィーッ……貴殿の責任ではござらぬ。			融和派と海嘯派							
しかし、獣化がもたらす悲劇を目撃しておきながら、なぜドォウ殿は……。			しかし、獣化がもたらす悲劇を目撃しておきながら、なぜドォウ殿は……。			融和派と海嘯派							
彼は、終末の獣を、リヴァイアサンの祝福の力とみなしている口ぶりだった。			彼は、終末の獣を、リヴァイアサンの祝福の力とみなしている口ぶりだった。			融和派と海嘯派							
海嘯派が、新たな力を得たのだと確信しているのであれば、共闘どころか、対話すら難しくなるだろう。			海嘯派が、新たな力を得たのだと確信しているのであれば、共闘どころか、対話すら難しくなるだろう。			融和派と海嘯派							
それにしても、終末の獣とは恐ろしいものですな。その上、冒険者殿の話によれば、偽神獣と呼ばれている、さらに強力な個体がいるのでござろう？			それにしても、終末の獣とは恐ろしいものですな。その上、冒険者殿の話によれば、偽神獣と呼ばれている、さらに強力な個体がいるのでござろう？			融和派と海嘯派							
ああ、最初に獣へと転じたということは、誰よりも獣化を引き起こす絶望が深かったということ。ゆえに強力であり、危険度は計り知れない。			ああ、最初に獣へと転じたということは、誰よりも獣化を引き起こす絶望が深かったということ。ゆえに強力であり、危険度は計り知れない。			融和派と海嘯派							
フスィーッ……我らも何かの力になれるとよいのでござるが……。			フスィーッ……我らも何かの力になれるとよいのでござるが……。			融和派と海嘯派							
我ら黒渦団は、沿岸部に警戒網を敷いた上で、軍船を使って洋上から偽神獣の捜索を行う予定だ。			我ら黒渦団は、沿岸部に警戒網を敷いた上で、軍船を使って洋上から偽神獣の捜索を行う予定だ。			融和派と海嘯派							
しかし、もしも偽神獣がほかの個体同様、サハギン族が転じたものならば、海中を移動することも可能だろう。そうなると、我々だけで見つけ出すのは難しい。			しかし、もしも偽神獣がほかの個体同様、サハギン族が転じたものならば、海中を移動することも可能だろう。そうなると、我々だけで見つけ出すのは難しい。			融和派と海嘯派							
なるほど、委細承知しましたぞ。海中の捜索は、拙者ども融和派のサハギン族にお任せあれ。			なるほど、委細承知しましたぞ。海中の捜索は、拙者ども融和派のサハギン族にお任せあれ。			融和派と海嘯派							
ありがとう。ともに力を合わせて、この海を守ってみせよう。			ありがとう。ともに力を合わせて、この海を守ってみせよう。			融和派と海嘯派							
それから……ともに融和を願った同胞の亡骸が、産卵地へ帰ることができるよう、黒渦団の者を手配させてほしい。			それから……ともに融和を願った同胞の亡骸が、産卵地へ帰ることができるよう、黒渦団の者を手配させてほしい。			融和派と海嘯派							
フスィーッ……ご厚意、痛み入るでござる……。			フスィーッ……ご厚意、痛み入るでござる……。			融和派と海嘯派							
我々は黒渦団：軍令部に戻って、書記官に情報を共有しよう。これ以上、犠牲者が出る前に、早急にこの問題を解決しなければ。			我々は黒渦団：軍令部に戻って、書記官に情報を共有しよう。これ以上、犠牲者が出る前に、早急にこの問題を解決しなければ。			融和派と海嘯派							
フスィーッ……。なんとむごたらしいことだ……。			フスィーッ……。なんとむごたらしいことだ……。			融和派と海嘯派							
ともかく、俺にできるのはこの門を守ることだけだ。			ともかく、俺にできるのはこの門を守ることだけだ。			融和派と海嘯派							
来たか、Forename。では、改めて今後の方針について話そう。			来たか、Forename。では、改めて今後の方針について話そう。			融和派と海嘯派							
今回、我々は海嘯派のサハギン族が獣化する瞬間を目撃した。融和を願う同胞を救えなかったことは無念だが、海都への獣の侵入を未然に防ぐことができた。			今回、我々は海嘯派のサハギン族が獣化する瞬間を目撃した。融和を願う同胞を救えなかったことは無念だが、海都への獣の侵入を未然に防ぐことができた。			融和派と海嘯派							
問題は、海嘯派が獣化現象を脅威と認識せず、むしろ我々に対抗するための力と考えている点だ。			問題は、海嘯派が獣化現象を脅威と認識せず、むしろ我々に対抗するための力と考えている点だ。			融和派と海嘯派							
むろん偽神獣の捜索は続けねばならないが、対立が確定的となった以上、海嘯派による妨害も予想される……。沿岸や洋上で警戒にあたっている部隊に、注意喚起をしてくれ。			むろん偽神獣の捜索は続けねばならないが、対立が確定的となった以上、海嘯派による妨害も予想される……。沿岸や洋上で警戒にあたっている部隊に、注意喚起をしてくれ。			融和派と海嘯派							
はっ、承知いたしました。			はっ、承知いたしました。			融和派と海嘯派							
場合によっては、帝都ガレマルドに派遣した兵力を呼び戻さねば、人員不足に陥る可能性があるが……それは最悪の場合としておきたい。			場合によっては、帝都ガレマルドに派遣した兵力を呼び戻さねば、人員不足に陥る可能性があるが……それは最悪の場合としておきたい。			融和派と海嘯派							
ひとまずは部隊配置を見直し、警戒を強化しておく。何か新たな情報が入り次第、君にも声をかけよう。すまないが、それまで待っていてほしい。			ひとまずは部隊配置を見直し、警戒を強化しておく。何か新たな情報が入り次第、君にも声をかけよう。すまないが、それまで待っていてほしい。			融和派と海嘯派							
「メルウィブ」提督から、今後の方針についてのお話があると聞いております！			「メルウィブ」提督から、今後の方針についてのお話があると聞いております！			融和派と海嘯派							
フスィーッ……。拙者は、黒渦団の方々とともに、仲間の遺体を産卵地へと連れ帰るでござる……。			フスィーッ……。拙者は、黒渦団の方々とともに、仲間の遺体を産卵地へと連れ帰るでござる……。			融和派と海嘯派							
黒渦団：軍令部の黒渦団の書記官は、冒険者を待っていたようだ。			黒渦団：軍令部の黒渦団の書記官は、冒険者を待っていたようだ。			復活、海雄旅団！							
黒渦団の書記官によると、リムサ・ロミンサ船籍の商船が、海嘯派のサハギン族の襲撃を受け、オ・ゴモロ産のクリスタルを奪われたという。西ラノシアの南防波壁の「メルウィブ」と話そう。			黒渦団の書記官によると、リムサ・ロミンサ船籍の商船が、海嘯派のサハギン族の襲撃を受け、オ・ゴモロ産のクリスタルを奪われたという。西ラノシアの南防波壁の「メルウィブ」と話そう。			復活、海雄旅団！							
メルウィブと話した。海嘯派のサハギン族は、再び一族をリヴァイアサンのテンパードと化すことで、団結を図ろうとしているようだ。蛮神が召喚された場合に備えて、戦力の増強案を尋ねられた冒険者は、「海雄旅団」の再結成を提言した。上甲板層の溺れた海豚亭付近の「指定地点」でメルウィブを待とう。			メルウィブと話した。海嘯派のサハギン族は、再び一族をリヴァイアサンのテンパードと化すことで、団結を図ろうとしているようだ。蛮神が召喚された場合に備えて、戦力の増強案を尋ねられた冒険者は、「海雄旅団」の再結成を提言した。上甲板層の溺れた海豚亭付近の「指定地点」でメルウィブを待とう。			復活、海雄旅団！							
指定地点でメルウィブを待つと、彼女は海雄旅団の五傑衆を率いて現れた。海雄旅団の元副団長であるヴェイスケートは、海雄旅団の再結成というメルウィブからの要請を一度は拒んだものの、冒険者を団長代行に据えることで渋々受け入れたようだ。溺れた海豚亭付近の「ヴェイスケート」と話して、海雄旅団の編成を決めよう。			指定地点でメルウィブを待つと、彼女は海雄旅団の五傑衆を率いて現れた。海雄旅団の元副団長であるヴェイスケートは、海雄旅団の再結成というメルウィブからの要請を一度は拒んだものの、冒険者を団長代行に据えることで渋々受け入れたようだ。溺れた海豚亭付近の「ヴェイスケート」と話して、海雄旅団の編成を決めよう。			復活、海雄旅団！							
ヴェイスケートと話して、海雄旅団の編成を決めた。上甲板層の黒渦団：軍令部の「黒渦団の書記官」と話そう。			ヴェイスケートと話して、海雄旅団の編成を決めた。上甲板層の黒渦団：軍令部の「黒渦団の書記官」と話そう。			復活、海雄旅団！							
黒渦団の書記官と話した。海雄旅団の面々を束ね、その力を上手く活用できるかは、団長代行の腕にかかっているようだ。※いずれかの近接物理DPSジョブのレベルが88以上になると、黒渦団：軍令部の黒渦団の書記官から次の近接物理DPSロールクエストを受注することができます。			黒渦団の書記官と話した。海雄旅団の面々を束ね、その力を上手く活用できるかは、団長代行の腕にかかっているようだ。※いずれかの近接物理DPSジョブのレベルが88以上になると、黒渦団：軍令部の黒渦団の書記官から次の近接物理DPSロールクエストを受注することができます。			復活、海雄旅団！							
南防波壁のメルウィブと話す			南防波壁のメルウィブと話す			復活、海雄旅団！							
溺れた海豚亭付近の指定地点で待機			溺れた海豚亭付近の指定地点で待機			復活、海雄旅団！							
ヴェイスケートと話す			ヴェイスケートと話す			復活、海雄旅団！							
黒渦団の書記官と話す			黒渦団の書記官と話す			復活、海雄旅団！							
Forenameさん、お伝えしたい情報がございます。			Forenameさん、お伝えしたい情報がございます。			復活、海雄旅団！							
実はリムサ・ロミンサ船籍の商船が、海嘯派(かいしょうは)に襲撃されるという事件が発生したのです。			実はリムサ・ロミンサ船籍の商船が、海嘯派(かいしょうは)に襲撃されるという事件が発生したのです。			復活、海雄旅団！							
しかも、くだんの商船は、コボルド族から預かった、オ・ゴモロ産のクリスタルを積載していまして……			しかも、くだんの商船は、コボルド族から預かった、オ・ゴモロ産のクリスタルを積載していまして……			復活、海雄旅団！							
海嘯派の狙いが神降ろしであると考えた提督は、融和派のサハギン族と話し合うため、南防波壁へ向かいました。			海嘯派の狙いが神降ろしであると考えた提督は、融和派のサハギン族と話し合うため、南防波壁へ向かいました。			復活、海雄旅団！							
リヴァイアサン討伐経験者のあなたにも同席してほしいと、提督より言伝を預かっております。			リヴァイアサン討伐経験者のあなたにも同席してほしいと、提督より言伝を預かっております。			復活、海雄旅団！							
どうか、西ラノシアの南防波壁に向かい、「メルウィブ」提督と合流してください！			どうか、西ラノシアの南防波壁に向かい、「メルウィブ」提督と合流してください！			復活、海雄旅団！							
待っていたぞ、Forename。			待っていたぞ、Forename。			復活、海雄旅団！							
書記官より聞いていると思うが、リムサ・ロミンサ船籍の商船が、海嘯派の襲撃を受けた。奪われたのは、オ・ゴモロ産のクリスタルだ。			書記官より聞いていると思うが、リムサ・ロミンサ船籍の商船が、海嘯派の襲撃を受けた。奪われたのは、オ・ゴモロ産のクリスタルだ。			復活、海雄旅団！							
フスィーッ……狙いは十中八九、偽りの神の召喚に違いない。幸い、まだ召喚に足る量は調達できていないようでござるが……。			フスィーッ……狙いは十中八九、偽りの神の召喚に違いない。幸い、まだ召喚に足る量は調達できていないようでござるが……。			復活、海雄旅団！							
海嘯派の連中は、皆が水神のテンパードだった頃の方が、一族が団結できていたと考えているようですな。それが神降ろしを企てる理由のようでござる。			海嘯派の連中は、皆が水神のテンパードだった頃の方が、一族が団結できていたと考えているようですな。それが神降ろしを企てる理由のようでござる。			復活、海雄旅団！							
偽りの神を信ずるよう、心を操作されることの、何が団結でありましょうや。			偽りの神を信ずるよう、心を操作されることの、何が団結でありましょうや。			復活、海雄旅団！							
そうだな。海嘯派による蛮神の再召喚が成れば人とサハギン族の関係は逆戻りだ。			そうだな。海嘯派による蛮神の再召喚が成れば人とサハギン族の関係は逆戻りだ。			復活、海雄旅団！							
何としても蛮神召喚を阻止せねばならないが、偽神獣を含む獣への監視を怠るわけにもいかない。			何としても蛮神召喚を阻止せねばならないが、偽神獣を含む獣への監視を怠るわけにもいかない。			復活、海雄旅団！							
だが、蛮神が召喚された場合を考えれば、いたずらに戦力を投入するわけにはいかないだろう。精神汚染を受けて、海嘯派の戦力を増やすだけだからな。			だが、蛮神が召喚された場合を考えれば、いたずらに戦力を投入するわけにはいかないだろう。精神汚染を受けて、海嘯派の戦力を増やすだけだからな。			復活、海雄旅団！							
まさに逆風といったところだが……よければ、君の考えを聞かせてくれないか？			まさに逆風といったところだが……よければ、君の考えを聞かせてくれないか？			復活、海雄旅団！							
何と言う？			何と言う？			復活、海雄旅団！							
三大海賊に協力を仰ごう！			三大海賊に協力を仰ごう！			復活、海雄旅団！							
イエロージャケットを召集しよう！			イエロージャケットを召集しよう！			復活、海雄旅団！							
海雄旅団を再結成しよう！			海雄旅団を再結成しよう！			復活、海雄旅団！							
実は断罪党、百鬼夜行、紅血聖女団の各海賊団には、すでに偽神獣捜索に加わってもらっているのだ。			実は断罪党、百鬼夜行、紅血聖女団の各海賊団には、すでに偽神獣捜索に加わってもらっているのだ。			復活、海雄旅団！							
蛮神と戦う技量を持っていて、どの組織にも属さないつわものたちがいないものか……。			蛮神と戦う技量を持っていて、どの組織にも属さないつわものたちがいないものか……。			復活、海雄旅団！							
残念だがイエロージャケットには、すでに沿岸警備の任を与えてあってな……。これ以上の戦力供出は厳しいだろう。			残念だがイエロージャケットには、すでに沿岸警備の任を与えてあってな……。これ以上の戦力供出は厳しいだろう。			復活、海雄旅団！							
蛮神と戦う技量を持っていて、どの組織にも属さないつわものたちがいないものか……。			蛮神と戦う技量を持っていて、どの組織にも属さないつわものたちがいないものか……。			復活、海雄旅団！							
……ほう、伝説の傭兵集団、「海雄旅団」か。			……ほう、伝説の傭兵集団、「海雄旅団」か。			復活、海雄旅団！							
そうか……彼らには幾度となく蛮神を討伐してきた経験がある。蛮神対策に充てる人材として申し分ないだろう。			そうか……彼らには幾度となく蛮神を討伐してきた経験がある。蛮神対策に充てる人材として申し分ないだろう。			復活、海雄旅団！							
だが、海雄旅団を束ねていた団長は、旅団の解散を境に、5年以上もの間、消息不明と聞いている。			だが、海雄旅団を束ねていた団長は、旅団の解散を境に、5年以上もの間、消息不明と聞いている。			復活、海雄旅団！							
元団員たちが、蛮神と戦うに足る力量を持つ猛者であることは確かだろう。だが、団長を欠いた状態で、協力に応じてくれるだろうか……。			元団員たちが、蛮神と戦うに足る力量を持つ猛者であることは確かだろう。だが、団長を欠いた状態で、協力に応じてくれるだろうか……。			復活、海雄旅団！							
……いや、いまは手段を選んでいられる状況ではない。まず私が、元副団長であるヴェイスケートに接触してみよう。			……いや、いまは手段を選んでいられる状況ではない。まず私が、元副団長であるヴェイスケートに接触してみよう。			復活、海雄旅団！							
君は「溺れた海豚亭」で続報を待っていてくれ。必ずや、彼らを口説き落としてみせよう。			君は「溺れた海豚亭」で続報を待っていてくれ。必ずや、彼らを口説き落としてみせよう。			復活、海雄旅団！							
望潮(しおまねき)のノォル殿は、引き続き偽神獣の捜索に力を貸していただけるだろうか？			望潮(しおまねき)のノォル殿は、引き続き偽神獣の捜索に力を貸していただけるだろうか？			復活、海雄旅団！							
フスィーッ……承知。海嘯派の動向を含めて、何かあれば連絡を入れましょう。			フスィーッ……承知。海嘯派の動向を含めて、何かあれば連絡を入れましょう。			復活、海雄旅団！							
フスィーッ……おお、冒険者殿。お待ちしておりましたぞ。			フスィーッ……おお、冒険者殿。お待ちしておりましたぞ。			復活、海雄旅団！							
西ラノシアの南防波壁で、「メルウィブ」提督と合流してください！			西ラノシアの南防波壁で、「メルウィブ」提督と合流してください！			復活、海雄旅団！							
待たせたな。			待たせたな。			復活、海雄旅団！							
何と言う？			何と言う？			復活、海雄旅団！							
メルウィブひとりか……			メルウィブひとりか……			復活、海雄旅団！							
口説き落とせなかったのか？			口説き落とせなかったのか？			復活、海雄旅団！							
(-野太い男の声-)まったく……急に呼び出されたと思えば、見覚えのある顔ばかりいやがる。大方、ロクな要件じゃないんだろうな。			(-野太い男の声-)まったく……急に呼び出されたと思えば、見覚えのある顔ばかりいやがる。大方、ロクな要件じゃないんだろうな。			復活、海雄旅団！							
黒渦団の都督ともあろう御方が、何のご用ですか？私は鬼哭隊の任務の真っ最中だったのですが……。			黒渦団の都督ともあろう御方が、何のご用ですか？私は鬼哭隊の任務の真っ最中だったのですが……。			復活、海雄旅団！							
おい、ランドゥネル。いますぐその気持ち悪ぃ喋り方をやめろ。背中がかゆくなってしょうがねぇ。			おい、ランドゥネル。いますぐその気持ち悪ぃ喋り方をやめろ。背中がかゆくなってしょうがねぇ。			復活、海雄旅団！							
何だと？てめぇ、ウ・オド！それがしばらくぶりに会った戦友にかける言葉か！			何だと？てめぇ、ウ・オド！それがしばらくぶりに会った戦友にかける言葉か！			復活、海雄旅団！							
溺れた海豚亭自慢のワインを呑みながら、旧交を温め合う会……というわけではなさそうですね。			溺れた海豚亭自慢のワインを呑みながら、旧交を温め合う会……というわけではなさそうですね。			復活、海雄旅団！							
シュコォ、シュコォ……どの面　あの面　腐れ縁～！再会　果たして　とてとて　嬉しい～！			シュコォ、シュコォ……どの面　あの面　腐れ縁～！再会　果たして　とてとて　嬉しい～！			復活、海雄旅団！							
突然の呼び出しにもかかわらず、集まってくれた君たちに、まずは感謝の意を示そう。			突然の呼び出しにもかかわらず、集まってくれた君たちに、まずは感謝の意を示そう。			復活、海雄旅団！							
能書きはいい。とっとと用件を話してもらおうか。			能書きはいい。とっとと用件を話してもらおうか。			復活、海雄旅団！							
君たちに頼みたいことは、たったひとつだ。いまこそ「海雄旅団」を再結成し、黒渦団に力を貸してもらいたい。			君たちに頼みたいことは、たったひとつだ。いまこそ「海雄旅団」を再結成し、黒渦団に力を貸してもらいたい。			復活、海雄旅団！							
……まずは、理由を聞かせてもらおうか。			……まずは、理由を聞かせてもらおうか。			復活、海雄旅団！							
と、いうわけで……現在のラノシアは、海嘯派と呼ばれるサハギン族と、終末の獣という、ふたつの大きな問題に見舞われているのだ。			と、いうわけで……現在のラノシアは、海嘯派と呼ばれるサハギン族と、終末の獣という、ふたつの大きな問題に見舞われているのだ。			復活、海雄旅団！							
特に、海嘯派が蛮神を召喚したとなれば、生半可な人員では太刀打ちすることができない。だが、神狩りの実績がある君たちならば、話は別だ。			特に、海嘯派が蛮神を召喚したとなれば、生半可な人員では太刀打ちすることができない。だが、神狩りの実績がある君たちならば、話は別だ。			復活、海雄旅団！							
事情はわかった。			事情はわかった。			復活、海雄旅団！							
だが、この話はなかったことにしてもらおう。最後の団長令は、あくまでも旅団の解散だった……。それを覆して、勝手に再結成するわけにはいかん。			だが、この話はなかったことにしてもらおう。最後の団長令は、あくまでも旅団の解散だった……。それを覆して、勝手に再結成するわけにはいかん。			復活、海雄旅団！							
ちょっと待てよ、副団長。俺たち海雄旅団のモットーを忘れたのか？			ちょっと待てよ、副団長。俺たち海雄旅団のモットーを忘れたのか？			復活、海雄旅団！							
「強き力は弱き者のために」。ラノシアには、俺たちの活動を後押ししてくれた連中が大勢いる。こんな時、団長がいたら、見て見ぬふりはしねえはずだぜ。			「強き力は弱き者のために」。ラノシアには、俺たちの活動を後押ししてくれた連中が大勢いる。こんな時、団長がいたら、見て見ぬふりはしねえはずだぜ。			復活、海雄旅団！							
