トメラの村のジオットは、酒も呑まずに佇んでいる。			トメラの村のジオットは、酒も呑まずに佇んでいる。			誇り高き追放者							
さあ、腕試しはここまでとしよう。仕事についての詳しい話は、クリスタリウムで……「彷徨う階段亭」で一杯ひっかけながらしようではないか！			さあ、腕試しはここまでとしよう。仕事についての詳しい話は、クリスタリウムで……「彷徨う階段亭」で一杯ひっかけながらしようではないか！			戦士ジオットの相棒探し							
ング、ング、ング……プハァ……。			ング、ング、ング……プハァ……。			戦士ジオットの相棒探し							
やはり、ひと暴れした後の麦酒はいいの！			やはり、ひと暴れした後の麦酒はいいの！			戦士ジオットの相棒探し							
何と答える？			何と答える？			戦士ジオットの相棒探し							
主に暴れたのは魔物だ			主に暴れたのは魔物だ			戦士ジオットの相棒探し							
主に暴れたのは自分だ			主に暴れたのは自分だ			戦士ジオットの相棒探し							
お前さん、いちいち細かいことを言うやつじゃの……。たしかに活きのいい魔物じゃったがな。			お前さん、いちいち細かいことを言うやつじゃの……。たしかに活きのいい魔物じゃったがな。			戦士ジオットの相棒探し							
お前さん、いちいち細かいことを言うやつじゃの……。たしかにお前さんの暴れっぷりも、なかなかじゃったがな。			お前さん、いちいち細かいことを言うやつじゃの……。たしかにお前さんの暴れっぷりも、なかなかじゃったがな。			戦士ジオットの相棒探し							
何はともあれ、ワシはお前さんの癒やしの腕前を理解できた。お前さんもワシの類まれな度胸と、頑丈さを知ったことじゃろう。かくて互いを認め合えばこそ、相棒になれるというもの！			何はともあれ、ワシはお前さんの癒やしの腕前を理解できた。お前さんもワシの類まれな度胸と、頑丈さを知ったことじゃろう。かくて互いを認め合えばこそ、相棒になれるというもの！			戦士ジオットの相棒探し							
さて……ワシが狙っておるのは、「光の氾濫」を引き起こした大罪人の姿を持つという罪喰い……四使徒の一角たる「ソープロシュネー」じゃ！			さて……ワシが狙っておるのは、「光の氾濫」を引き起こした大罪人の姿を持つという罪喰い……四使徒の一角たる「ソープロシュネー」じゃ！			戦士ジオットの相棒探し							
こやつは腹立たしいことに、ドワーフの面汚しにして掟破りの追放者……導師「ラミット」の姿をしておる。			こやつは腹立たしいことに、ドワーフの面汚しにして掟破りの追放者……導師「ラミット」の姿をしておる。			戦士ジオットの相棒探し							
今もドワーフの長老たちは、世界を崩壊に導いた「光の戦士」を一族の中から出したことを、恥じておってな……。			今もドワーフの長老たちは、世界を崩壊に導いた「光の戦士」を一族の中から出したことを、恥じておってな……。			戦士ジオットの相棒探し							
ゆえに最長老は、一族最強の戦士であるワシに命じたわけじゃ。死してなお、ドワーフの伝統と誇りを汚し続けるラミットを、……ソープロシュネーを討て、とな！			ゆえに最長老は、一族最強の戦士であるワシに命じたわけじゃ。死してなお、ドワーフの伝統と誇りを汚し続けるラミットを、……ソープロシュネーを討て、とな！			戦士ジオットの相棒探し							
問題は、この罪喰いが、凄腕の癒し手だったとされるラミットの能力を引き継いだのか、強力な再生能力を有しているという点での。			問題は、この罪喰いが、凄腕の癒し手だったとされるラミットの能力を引き継いだのか、強力な再生能力を有しているという点での。			戦士ジオットの相棒探し							
各地を飛び回っては、倒した罪喰いを蘇らせておるのじゃ。そればかりか、いくら痛烈な攻撃を加えようとも、たちどころに傷を癒やされてしまう。			各地を飛び回っては、倒した罪喰いを蘇らせておるのじゃ。そればかりか、いくら痛烈な攻撃を加えようとも、たちどころに傷を癒やされてしまう。			戦士ジオットの相棒探し							
ゆえに、ワシは敵の再生能力の秘密を解いて封じぬ限り、やつを倒せぬと見て、熟練の癒し手を探しておったのじゃ！死してなお、恥を晒す大悪党の討伐に、ぜひ力を貸してくれい！			ゆえに、ワシは敵の再生能力の秘密を解いて封じぬ限り、やつを倒せぬと見て、熟練の癒し手を探しておったのじゃ！死してなお、恥を晒す大悪党の討伐に、ぜひ力を貸してくれい！			戦士ジオットの相棒探し							
何と答える？			何と答える？			戦士ジオットの相棒探し							
癒し手として協力しよう			癒し手として協力しよう			戦士ジオットの相棒探し							
ラミットは大悪党ではなかったはず			ラミットは大悪党ではなかったはず			戦士ジオットの相棒探し							
うむ、期待しておるぞい！			うむ、期待しておるぞい！			戦士ジオットの相棒探し							
ふむ、お前さんの意見を尊重せぬわけではないが……ドワーフは、伝統と掟を重視するゆえ、それらを破る者は見逃せんのじゃ。			ふむ、お前さんの意見を尊重せぬわけではないが……ドワーフは、伝統と掟を重視するゆえ、それらを破る者は見逃せんのじゃ。			戦士ジオットの相棒探し							
それに、仮に生前のラミットが大悪党でなかったとしても、仲間を復活させる危険な罪喰いは、倒さねばならんじゃろう？			それに、仮に生前のラミットが大悪党でなかったとしても、仲間を復活させる危険な罪喰いは、倒さねばならんじゃろう？			戦士ジオットの相棒探し							
なんといっても、ラミットは一族伝統の兜を脱ぎ捨て、素顔を晒して旅していたと伝えられておる。罪喰いとなった今もな……！			なんといっても、ラミットは一族伝統の兜を脱ぎ捨て、素顔を晒して旅していたと伝えられておる。罪喰いとなった今もな……！			戦士ジオットの相棒探し							
家族以外には素顔を見せるべからず……このドワーフの鉄則を、今も破り続ける破廉恥者は許しがたい！ソープロシュネーを、何としても討ち倒すぞい！			家族以外には素顔を見せるべからず……このドワーフの鉄則を、今も破り続ける破廉恥者は許しがたい！ソープロシュネーを、何としても討ち倒すぞい！			戦士ジオットの相棒探し							
……とはいえ、治癒してもらったものの、まだアバラがズキズキと痛むでな……。酒を呑んで治すゆえ、少しばかり時間をくれい！			……とはいえ、治癒してもらったものの、まだアバラがズキズキと痛むでな……。酒を呑んで治すゆえ、少しばかり時間をくれい！			戦士ジオットの相棒探し							
彷徨う階段亭のジオットは、蜂蜜酒を浴びるように呑んでいるようだ。			彷徨う階段亭のジオットは、蜂蜜酒を浴びるように呑んでいるようだ。			坑道の真実							
ラミットの妹がいた場所が判明したらしい。コルシア島にあるトメラの村で「ジオット」と話そう。			ラミットの妹がいた場所が判明したらしい。コルシア島にあるトメラの村で「ジオット」と話そう。			坑道の真実							
ジオットは、冒険者が村までたどり着いたことに感服したようだ。トメラの村を奥へと進み、「ジオット」と話そう。			ジオットは、冒険者が村までたどり着いたことに感服したようだ。トメラの村を奥へと進み、「ジオット」と話そう。			坑道の真実							
ジオットの倒した罪喰いをきっかけに、冒険者の過去視が発動した。ラミットは、ドヴェルグ病に侵された者たちを救助したために、一族から追放され、兜もそのときに脱いでいたようだ。過去視の内容を聞いたジオットは、大きな衝撃を受けていた。坑道からトメラの村に出ていった「ジオット」を追いかけよう。			ジオットの倒した罪喰いをきっかけに、冒険者の過去視が発動した。ラミットは、ドヴェルグ病に侵された者たちを救助したために、一族から追放され、兜もそのときに脱いでいたようだ。過去視の内容を聞いたジオットは、大きな衝撃を受けていた。坑道からトメラの村に出ていった「ジオット」を追いかけよう。			坑道の真実							
ジオットは、過去の事実を呑み込めるようになるまで、時間がほしいという。その間、修行などをして、ジオットをそっとしておこう。※いずれかのHEALERジョブのレベルが80以上になると、トメラの村のジオットから次のHEALERロールクエストを受注することができます。			ジオットは、過去の事実を呑み込めるようになるまで、時間がほしいという。その間、修行などをして、ジオットをそっとしておこう。※いずれかのHEALERジョブのレベルが80以上になると、トメラの村のジオットから次のHEALERロールクエストを受注することができます。			坑道の真実							
トメラの村でジオットと合流			トメラの村でジオットと合流			坑道の真実							
ジオットと話す			ジオットと話す			坑道の真実							
ジオットと再度話す			ジオットと再度話す			坑道の真実							
本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「高き場所より見る景色」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「高き場所より見る景色」を完了する必要があります。			坑道の真実							
ング、ング、ング……プハァ……。			ング、ング、ング……プハァ……。			坑道の真実							
おう、我が相棒ではないか……蜂蜜酒なら、もういらんぞ？いや、酒を頼んだのは、お前さんじゃなく、サイエラじゃったか……ヒック。			おう、我が相棒ではないか……蜂蜜酒なら、もういらんぞ？いや、酒を頼んだのは、お前さんじゃなく、サイエラじゃったか……ヒック。			坑道の真実							
呆れ果てて、言うべき言葉も見つからないとでも、言いたいという様子じゃな？いや、その場合、言いたいのか言いたくないのか、どっちじゃ？			呆れ果てて、言うべき言葉も見つからないとでも、言いたいという様子じゃな？いや、その場合、言いたいのか言いたくないのか、どっちじゃ？			坑道の真実							
イカン、イカン……最近、調べ物の連続で頭を使いすぎたようじゃ。出ない答えを探す、クサれ哲学者のようになってしまったわい。			イカン、イカン……最近、調べ物の連続で頭を使いすぎたようじゃ。出ない答えを探す、クサれ哲学者のようになってしまったわい。			坑道の真実							
いいか、ワシが言いたいのは、古の大再生魔法についての知識は得られなんだが、「ラミットの妹がいた場所」が判明したということじゃ。			いいか、ワシが言いたいのは、古の大再生魔法についての知識は得られなんだが、「ラミットの妹がいた場所」が判明したということじゃ。			坑道の真実							
それでは、我が相棒を招待しよう。ワシの故郷……コルシア島の「トメラの村」にの！			それでは、我が相棒を招待しよう。ワシの故郷……コルシア島の「トメラの村」にの！			坑道の真実							
しまったのう……Forenameのやつに、我が故郷に向かう方法を、教えるのを忘れておった……。しかし、秘密坑道を通れる者は限られておるしどうしたものか。			しまったのう……Forenameのやつに、我が故郷に向かう方法を、教えるのを忘れておった……。しかし、秘密坑道を通れる者は限られておるしどうしたものか。			坑道の真実							
ん……？Forenameではないか！？どうやって、ここまで来たんじゃ？			ん……？Forenameではないか！？どうやって、ここまで来たんじゃ？			坑道の真実							
ほう、あのラダー大昇降機を動かしたのは、お前さんたちじゃったか……！			ほう、あのラダー大昇降機を動かしたのは、お前さんたちじゃったか……！			坑道の真実							
いやはや、さすが我が相棒！やるではないか、見直したぞ？			いやはや、さすが我が相棒！やるではないか、見直したぞ？			坑道の真実							
……ゴホン。ともかく、目的地はすぐそこじゃ。今度こそしっかり案内するゆえ、ついてくるがいいぞい！			……ゴホン。ともかく、目的地はすぐそこじゃ。今度こそしっかり案内するゆえ、ついてくるがいいぞい！			坑道の真実							
はぁ、はぁ、はぁ……封鎖されていた廃坑道の扉を開いたら、中から突然、こやつが飛び出してきよった……！			はぁ、はぁ、はぁ……封鎖されていた廃坑道の扉を開いたら、中から突然、こやつが飛び出してきよった……！			坑道の真実							
ま、一族最強のワシは、不意打ち程度でやられはせんがの！顔面に渾身のドワーフパンチをお見舞いしてやったわい！			ま、一族最強のワシは、不意打ち程度でやられはせんがの！顔面に渾身のドワーフパンチをお見舞いしてやったわい！			坑道の真実							
何と答える？			何と答える？			坑道の真実							
ドワーフパンチって何？			ドワーフパンチって何？			坑道の真実							
で、ここは何なの？			で、ここは何なの？			坑道の真実							
すまん、一族以外の者には教えられん。お前さんとワシの仲であっても、掟で禁じられているゆえな。それよりも、この奥の坑道についての話をするぞい。			すまん、一族以外の者には教えられん。お前さんとワシの仲であっても、掟で禁じられているゆえな。それよりも、この奥の坑道についての話をするぞい。			坑道の真実							
うむ、それこそお前さんを、我が故郷に連れてきた理由じゃ。厳密には連れてきたわけではないが、まあ精神的には、招待しておったし、問題はなかろう。			うむ、それこそお前さんを、我が故郷に連れてきた理由じゃ。厳密には連れてきたわけではないが、まあ精神的には、招待しておったし、問題はなかろう。			坑道の真実							
ともかく、この坑道は「光の氾濫」以前のこと、ある病気を患った者たちを、隔離するために使われておった。			ともかく、この坑道は「光の氾濫」以前のこと、ある病気を患った者たちを、隔離するために使われておった。			坑道の真実							
病の名は「ドヴェルグ病」……。感染すると、少しずつ皮膚が岩のように変異していき、短い者は数ヶ月、長い者でも数年後には、完全に石化したという。			病の名は「ドヴェルグ病」……。感染すると、少しずつ皮膚が岩のように変異していき、短い者は数ヶ月、長い者でも数年後には、完全に石化したという。			坑道の真実							
原因も不明ならば、治療法もわからない。ゆえに感染拡大を防ごうと、「穢れの坑道」と名付けた廃坑道に、患者を押し込めるという忌まわしい行為に手を染め……			原因も不明ならば、治療法もわからない。ゆえに感染拡大を防ごうと、「穢れの坑道」と名付けた廃坑道に、患者を押し込めるという忌まわしい行為に手を染め……			坑道の真実							
ラミット！「穢れの坑道」に立ち入ってはならぬと申し付けたはず！			ラミット！「穢れの坑道」に立ち入ってはならぬと申し付けたはず！			坑道の真実							
勝手に里を出ただけでは飽き足らず、よそ者を連れて舞い戻り、さらに禁忌を犯すとは……もはや我慢ならん……お主に永久追放を言い渡すッ！			勝手に里を出ただけでは飽き足らず、よそ者を連れて舞い戻り、さらに禁忌を犯すとは……もはや我慢ならん……お主に永久追放を言い渡すッ！			坑道の真実							
(-ドワーフ族の戦士たち-)追放だッ！　追放だッ！			(-ドワーフ族の戦士たち-)追放だッ！　追放だッ！			坑道の真実							
なぜだッ！ラミットは、苦労の末に大再生魔法「リバイヴ」を修得して、不治の病に侵されていた妹さんたちを救ったんだぞ！？			なぜだッ！ラミットは、苦労の末に大再生魔法「リバイヴ」を修得して、不治の病に侵されていた妹さんたちを救ったんだぞ！？			坑道の真実							
よそ者は黙っておれ！これは、ドワーフの問題じゃ！			よそ者は黙っておれ！これは、ドワーフの問題じゃ！			坑道の真実							
(-ドワーフ族の戦士たち-)黙っとれッ！　黙っとれッ！			(-ドワーフ族の戦士たち-)黙っとれッ！　黙っとれッ！			坑道の真実							
黙っていられるものかよ……！俺たち……いや、ラミットがどれだけ……!			黙っていられるものかよ……！俺たち……いや、ラミットがどれだけ……!			坑道の真実							
もういいの、アルバート。理由はどうあれ、掟を破ったことは事実なんだもの……。			もういいの、アルバート。理由はどうあれ、掟を破ったことは事実なんだもの……。			坑道の真実							
わかりました、最長老さま……。永久追放を受け入れます。一族の証、この兜もまたお返ししましょう。			わかりました、最長老さま……。永久追放を受け入れます。一族の証、この兜もまたお返ししましょう。			坑道の真実							
ラミット……お前…………。			ラミット……お前…………。			坑道の真実							
お姉ちゃんが、永久追放だっていうなら、私も出ていきます！			お姉ちゃんが、永久追放だっていうなら、私も出ていきます！			坑道の真実							
私たちドヴェルグ病の患者たちは、この薄暗い「穢れの坑道」に押し込められて生きてきました。呼吸がつらいから、兜も外して……。			私たちドヴェルグ病の患者たちは、この薄暗い「穢れの坑道」に押し込められて生きてきました。呼吸がつらいから、兜も外して……。			坑道の真実							
家族以外の者には、素顔を見せるべからず。掟を破ったから追放だっていうなら、私たちだって！			家族以外の者には、素顔を見せるべからず。掟を破ったから追放だっていうなら、私たちだって！			坑道の真実							
そうじゃな。ワシら病人は、ラミットに命を救われた。彼女ひとりを掟破りとして追い出すわけにはいかん。			そうじゃな。ワシら病人は、ラミットに命を救われた。彼女ひとりを掟破りとして追い出すわけにはいかん。			坑道の真実							
ゆこう、皆の者……！誇り高き掟破りの追放者として、この里を出るのじゃ！			ゆこう、皆の者……！誇り高き掟破りの追放者として、この里を出るのじゃ！			坑道の真実							
みんな……！			みんな……！			坑道の真実							
あれで、よかったのかよ。			あれで、よかったのかよ。			坑道の真実							
今からでも里に戻って、あの石頭の最長老を……			今からでも里に戻って、あの石頭の最長老を……			坑道の真実							
あなたの自慢の斧で、叩き割るつもり？もう、やめてよね……。			あなたの自慢の斧で、叩き割るつもり？もう、やめてよね……。			坑道の真実							
今のあなたは、ホブゴブリンにやられる新米冒険者じゃない。その腕前なら、ドワーフ随一の戦士と呼ばれる最長老さまさえ、簡単に倒しちゃうと思うわ。			今のあなたは、ホブゴブリンにやられる新米冒険者じゃない。その腕前なら、ドワーフ随一の戦士と呼ばれる最長老さまさえ、簡単に倒しちゃうと思うわ。			坑道の真実							
でも、それじゃ、何の解決にもならない。今、私たちがやるべきは、病を広めた元凶を探して倒すこと。きっと今回の件の裏にも「影の王」がいるはずよ。			でも、それじゃ、何の解決にもならない。今、私たちがやるべきは、病を広めた元凶を探して倒すこと。きっと今回の件の裏にも「影の王」がいるはずよ。			坑道の真実							
アルバート……私、この世界を救うためになら、故郷だって捨ててみせるわ。			アルバート……私、この世界を救うためになら、故郷だって捨ててみせるわ。			坑道の真実							
それに、重い兜を脱いでみて、初めて気づいたの。風を感じるのが、こんなに気持ちいいってこと……。			それに、重い兜を脱いでみて、初めて気づいたの。風を感じるのが、こんなに気持ちいいってこと……。			坑道の真実							
へへ……そうかよ。			へへ……そうかよ。			坑道の真実							
ま、なんだ……俺も、素顔のラミットのほうがいいと思うぜ。			ま、なんだ……俺も、素顔のラミットのほうがいいと思うぜ。			坑道の真実							
アルバート……。			アルバート……。			坑道の真実							
また、心にもない罵詈雑言を、言わねばならんのか？やいこのアホ面ヒュム高慢エルフ破廉恥ドワーフ猫もどきのミステル筋肉ゴリゴリガルジェント鱗まみれのドラン通さないロンゾピョンピョコ兎のヴィース娘野郎！！お前の母ちゃんホブゴブリン！！			また、心にもない罵詈雑言を、言わねばならんのか？やいこのアホ面ヒュム高慢エルフ破廉恥ドワーフ猫もどきのミステル筋肉ゴリゴリガルジェント鱗まみれのドラン通さないロンゾピョンピョコ兎のヴィース娘野郎！！お前の母ちゃんホブゴブリン！！			坑道の真実							
どうにか、目を覚ましたようじゃな？			どうにか、目を覚ましたようじゃな？			坑道の真実							
今回ばかりは、さしものワシも焦ったぞい。突然、お前さんが例によってフラフラし始めたかと思えば、倒したと思っていた罪喰いが動き出すしで……。			今回ばかりは、さしものワシも焦ったぞい。突然、お前さんが例によってフラフラし始めたかと思えば、倒したと思っていた罪喰いが動き出すしで……。			坑道の真実							
まぁ、罪喰いの件は、トドメを刺せていなかったワシが悪いんじゃが……それで、今回は何を視たんじゃ？			まぁ、罪喰いの件は、トドメを刺せていなかったワシが悪いんじゃが……それで、今回は何を視たんじゃ？			坑道の真実							
なんと……ドヴェルグ病をラミットが……？死病に侵された多くの同胞を救っておきながら、それゆえに追放されていたと……！？			なんと……ドヴェルグ病をラミットが……？死病に侵された多くの同胞を救っておきながら、それゆえに追放されていたと……！？			坑道の真実							
しかも……永久追放を言い渡したのは……当時の最長老は…………			しかも……永久追放を言い渡したのは……当時の最長老は…………			坑道の真実							
…………。			…………。			坑道の真実							
お、お前さんか……すまんな、勝手にフラフラとこんなところまで……。			お、お前さんか……すまんな、勝手にフラフラとこんなところまで……。			坑道の真実							
じゃが、すまん……少しだけワシに時間をくれんか？お前さんが視たという過去について、その事実を呑み込むまで、少しだけ時間が必要なんじゃ……。			じゃが、すまん……少しだけワシに時間をくれんか？お前さんが視たという過去について、その事実を呑み込むまで、少しだけ時間が必要なんじゃ……。			坑道の真実							
お前さんは、少し修行でもしていてくれ……。それではな……。			お前さんは、少し修行でもしていてくれ……。それではな……。			坑道の真実							
彷徨う階段亭のジオットは、呑んだくれているようだ。			彷徨う階段亭のジオットは、呑んだくれているようだ。			ソープロシュネーの光							
ジオットは、ソープロシュネーの再生能力を冒険者に分析してほしいらしい。コルシア島の穴あき小舟亭で「ジオット」と話そう。			ジオットは、ソープロシュネーの再生能力を冒険者に分析してほしいらしい。コルシア島の穴あき小舟亭で「ジオット」と話そう。			ソープロシュネーの光							
はぐれ罪喰いを倒しておけば、ソープロシュネーを呼び寄せられるかもしれない。ブライトクリフの「指定地点」で見渡し、現れたはぐれ罪喰いを討伐しよう。			はぐれ罪喰いを倒しておけば、ソープロシュネーを呼び寄せられるかもしれない。ブライトクリフの「指定地点」で見渡し、現れたはぐれ罪喰いを討伐しよう。			ソープロシュネーの光							
はぐれ罪喰いを討伐した。ブライトクリフの「指定地点」で見渡し、現れた別種のはぐれ罪喰いを討伐しよう。			はぐれ罪喰いを討伐した。ブライトクリフの「指定地点」で見渡し、現れた別種のはぐれ罪喰いを討伐しよう。			ソープロシュネーの光							
はぐれ罪喰いを必要なだけ討伐した。ブライトクリフの「ジオット」と話そう。			はぐれ罪喰いを必要なだけ討伐した。ブライトクリフの「ジオット」と話そう。			ソープロシュネーの光							
ソープロシュネーが罪喰いを再生している姿をきっかけに、過去視が起きてしまった。どうやら、アルバートとラミットの出会いと、彼らの旅路の一端を視たようだ。彷徨う階段亭に戻り「ジオット」と話そう。			ソープロシュネーが罪喰いを再生している姿をきっかけに、過去視が起きてしまった。どうやら、アルバートとラミットの出会いと、彼らの旅路の一端を視たようだ。彷徨う階段亭に戻り「ジオット」と話そう。			ソープロシュネーの光							
ソープロシュネーの再生能力を目撃することはできたが、封じるための具体的な手段までは思いつかなかった。ジオットは酒を呑みながら思案にふけるという。冒険者も、癒し手の修行を積みながら対応法を考えておこう。※いずれかのHEALERジョブのレベルが74以上になると、彷徨う階段亭のジオットから次のHEALERロールクエストを受注することができます。			ソープロシュネーの再生能力を目撃することはできたが、封じるための具体的な手段までは思いつかなかった。ジオットは酒を呑みながら思案にふけるという。冒険者も、癒し手の修行を積みながら対応法を考えておこう。※いずれかのHEALERジョブのレベルが74以上になると、彷徨う階段亭のジオットから次のHEALERロールクエストを受注することができます。			ソープロシュネーの光							
穴あき小舟亭のジオットと話す			穴あき小舟亭のジオットと話す			ソープロシュネーの光							
指定地点で見渡し、現れた罪喰いを討伐			指定地点で見渡し、現れた罪喰いを討伐			ソープロシュネーの光							
指定地点で見渡し、現れた罪喰いを更に討伐			指定地点で見渡し、現れた罪喰いを更に討伐			ソープロシュネーの光							
ジオットと話す			ジオットと話す			ソープロシュネーの光							
彷徨う階段亭のジオットと話す			彷徨う階段亭のジオットと話す			ソープロシュネーの光							
ング、ング、ング……プハァ……。			ング、ング、ング……プハァ……。			ソープロシュネーの光							
おやおや、誰かと思えば……ヒック……誰じゃったかの？			おやおや、誰かと思えば……ヒック……誰じゃったかの？			ソープロシュネーの光							
…………お前さん、呆れておるな？冗談じゃ、冗談、相棒のことを忘れるものか。命を預け合う者として、親睦を深めようとしただけじゃよ。			…………お前さん、呆れておるな？冗談じゃ、冗談、相棒のことを忘れるものか。命を預け合う者として、親睦を深めようとしただけじゃよ。			ソープロシュネーの光							
ともかく、アバラの具合も酒の……いや、お前さんの治癒魔法のお陰でよくなったでな。本格的に、ソープロシュネー退治を始めようと思っておる。			ともかく、アバラの具合も酒の……いや、お前さんの治癒魔法のお陰でよくなったでな。本格的に、ソープロシュネー退治を始めようと思っておる。			ソープロシュネーの光							
と言っても、敵を知らねば対策も立てようがない。そこで、まずはお前さんの目でソープロシュネーの再生能力を見て、分析してもらいたいのじゃ。			と言っても、敵を知らねば対策も立てようがない。そこで、まずはお前さんの目でソープロシュネーの再生能力を見て、分析してもらいたいのじゃ。			ソープロシュネーの光							
ワシが酒場で集めた情報によれば、最近、ヤツがコルシア島に現れたらしい。			ワシが酒場で集めた情報によれば、最近、ヤツがコルシア島に現れたらしい。			ソープロシュネーの光							
詳細は、地元民に話を聞くのがよかろう。スティルタイドと呼ばれる漁村に「穴あき小舟亭」という、小さな酒場があるでな……そこで合流するぞい！			詳細は、地元民に話を聞くのがよかろう。スティルタイドと呼ばれる漁村に「穴あき小舟亭」という、小さな酒場があるでな……そこで合流するぞい！			ソープロシュネーの光							
ング、ング、ング……プハァ……。			ング、ング、ング……プハァ……。			ソープロシュネーの光							
おやおや、誰かと思えば……って、冗談じゃ、冗談……！お前さん、ただならぬ殺気が漏れておるぞい！			おやおや、誰かと思えば……って、冗談じゃ、冗談……！お前さん、ただならぬ殺気が漏れておるぞい！			ソープロシュネーの光							
まだ一言も発しておらんというのに、何を呑んだくれているんだ、このクソッタレ、ヒゲがとっても素敵でナイスラリホーという意思が伝わって……			まだ一言も発しておらんというのに、何を呑んだくれているんだ、このクソッタレ、ヒゲがとっても素敵でナイスラリホーという意思が伝わって……			ソープロシュネーの光							
本当に、お前さんは冗談が通じないの……。とにかく、ワシとてただ呑んだくれておったわけではない！一足先に到着したもんで、果実酒と情報を集めておったのじゃ。			本当に、お前さんは冗談が通じないの……。とにかく、ワシとてただ呑んだくれておったわけではない！一足先に到着したもんで、果実酒と情報を集めておったのじゃ。			ソープロシュネーの光							
漁民たちの話によれば、ブライトクリフ一帯で、近頃、よくはぐれ罪喰いを見かけるそうでな……。			漁民たちの話によれば、ブライトクリフ一帯で、近頃、よくはぐれ罪喰いを見かけるそうでな……。			ソープロシュネーの光							
そやつらを倒しておれば、仲間を治療するため、ソープロシュネーが現れるかもしれん。			そやつらを倒しておれば、仲間を治療するため、ソープロシュネーが現れるかもしれん。			ソープロシュネーの光							
よいか、「ブライトクリフ」一帯で、ふたりで手分けして、はぐれ罪喰いどもを蹴散らすぞい。そして、何体か倒したら合流じゃ、よいな！			よいか、「ブライトクリフ」一帯で、ふたりで手分けして、はぐれ罪喰いどもを蹴散らすぞい。そして、何体か倒したら合流じゃ、よいな！			ソープロシュネーの光							
こちら側は、ワシに任せておけい。お前さんは別の場所で、はぐれ罪喰いを探して、何体か倒したら戻ってくるのじゃ！			こちら側は、ワシに任せておけい。お前さんは別の場所で、はぐれ罪喰いを探して、何体か倒したら戻ってくるのじゃ！			ソープロシュネーの光							
無事に罪喰いを始末してきたようじゃな。見ての通り、ワシも仕留めたぞい。			無事に罪喰いを始末してきたようじゃな。見ての通り、ワシも仕留めたぞい。			ソープロシュネーの光							
ヤツをおびき寄せるエサとしては、これくらいで十分じゃろう。ほれ、向こうにある岩陰にでも隠れて、のんびりソープロシュネーが現れるのを待つかの……。			ヤツをおびき寄せるエサとしては、これくらいで十分じゃろう。ほれ、向こうにある岩陰にでも隠れて、のんびりソープロシュネーが現れるのを待つかの……。			ソープロシュネーの光							
現れよった！あれが、我らドワーフの面汚し……大罪人ラミットが転生せし罪喰い、ソープロシュネーじゃ！			現れよった！あれが、我らドワーフの面汚し……大罪人ラミットが転生せし罪喰い、ソープロシュネーじゃ！			ソープロシュネーの光							
見ろ、再生させたぞい！			見ろ、再生させたぞい！			ソープロシュネーの光							
お、おい、どうした！？			お、おい、どうした！？			ソープロシュネーの光							
(-ドワーフの癒し手-)こんなところに、行き倒れだなんて……。やっぱり、里の外は恐ろしい世界なのね。			(-ドワーフの癒し手-)こんなところに、行き倒れだなんて……。やっぱり、里の外は恐ろしい世界なのね。			ソープロシュネーの光							
(-？？？？-)誰か……いるのか……？血を流しすぎて……目が、かすんで…………			(-？？？？-)誰か……いるのか……？血を流しすぎて……目が、かすんで…………			ソープロシュネーの光							
(-ドワーフの癒し手-)も、もしかして、生きてたの？それならそうと、はやく言ってよ！			(-ドワーフの癒し手-)も、もしかして、生きてたの？それならそうと、はやく言ってよ！			ソープロシュネーの光							
(-ドワーフの癒し手-)死者を生き返らせるのは無理でも、生きてる相手なら、私の魔法で……！			(-ドワーフの癒し手-)死者を生き返らせるのは無理でも、生きてる相手なら、私の魔法で……！			ソープロシュネーの光							
すっげぇ……もう傷がふさがっちまった。ありがとよ！			すっげぇ……もう傷がふさがっちまった。ありがとよ！			ソープロシュネーの光							
(-ドワーフの癒し手-)癒し手が通りがかって、よかったわね。そうじゃなかったら、あなた今頃、死んでたわよ？			(-ドワーフの癒し手-)癒し手が通りがかって、よかったわね。そうじゃなかったら、あなた今頃、死んでたわよ？			ソープロシュネーの光							
……返す言葉もないよ。まさか、ホブゴブリンが仲間を使って、待ち伏せしてくるとは思わなくてさ。			……返す言葉もないよ。まさか、ホブゴブリンが仲間を使って、待ち伏せしてくるとは思わなくてさ。			ソープロシュネーの光							
そうだ！もしよかったらホブゴブリン討伐を手伝ってくれないか？あんたみたいな、凄腕の男がいてくれたら助かるよ！			そうだ！もしよかったらホブゴブリン討伐を手伝ってくれないか？あんたみたいな、凄腕の男がいてくれたら助かるよ！			ソープロシュネーの光							
(-ドワーフの癒し手-)男……ですって！？年頃の乙女にむかって、なんてことを！			(-ドワーフの癒し手-)男……ですって！？年頃の乙女にむかって、なんてことを！			ソープロシュネーの光							
私は、トルー一家のラミット！ヒゲも生えてないアオビョウタンのヘタレ男なんかに、バカにされる筋合いはないわよ！			私は、トルー一家のラミット！ヒゲも生えてないアオビョウタンのヘタレ男なんかに、バカにされる筋合いはないわよ！			ソープロシュネーの光							
あ、あんた……女だったのか！？ヒゲがあるから、てっきり……！！			あ、あんた……女だったのか！？ヒゲがあるから、てっきり……！！			ソープロシュネーの光							
