格闘士ギルド受付のガガルナは、冒険者に依頼があるようだ。			格闘士ギルド受付のガガルナは、冒険者に依頼があるようだ。			亡国からの雷動							
ゲロルトに写本：双豹拳闘伝を渡した。「未完のスファライ」を装備して、南ザナラーンのザハラク戦陣にいる「ザハラク・ランサー」を8体と「ザハラク・ピュージャリスト」を8体、「ザハラク・アーチャー」を8体討伐しよう。			ゲロルトに写本：双豹拳闘伝を渡した。「未完のスファライ」を装備して、南ザナラーンのザハラク戦陣にいる「ザハラク・ランサー」を8体と「ザハラク・ピュージャリスト」を8体、「ザハラク・アーチャー」を8体討伐しよう。			蘇る古の武器（スファライ）							
魔物を討伐した。北部森林のハーストミルにいる「ゲロルト」と話そう。			魔物を討伐した。北部森林のハーストミルにいる「ゲロルト」と話そう。			蘇る古の武器（スファライ）							
ゲロルトと話した。東ザナラーンのハラタリ修練所で「指定地点」を調べ、コンテンツ「ハイドラ討伐戦」を開放しよう。開放された「ハイドラ討伐戦」を、「未完のスファライ」を装備して攻略しよう。※コンテンツファインダーから攻略に参加できます。			ゲロルトと話した。東ザナラーンのハラタリ修練所で「指定地点」を調べ、コンテンツ「ハイドラ討伐戦」を開放しよう。開放された「ハイドラ討伐戦」を、「未完のスファライ」を装備して攻略しよう。※コンテンツファインダーから攻略に参加できます。			蘇る古の武器（スファライ）							
ハイドラを討伐した。北部森林のハーストミルにいる「ゲロルト」と話そう。			ハイドラを討伐した。北部森林のハーストミルにいる「ゲロルト」と話そう。			蘇る古の武器（スファライ）							
ゲロルトと話した。北部森林のハーストミルにいる「ゲロルト」に「未完のスファライ」を渡そう。			ゲロルトと話した。北部森林のハーストミルにいる「ゲロルト」に「未完のスファライ」を渡そう。			蘇る古の武器（スファライ）							
ゲロルトに未完のスファライを渡した。「真イフリート討滅戦」に参加して蛮神「イフリート」から「イフリートの炎」を入手しよう。※コンテンツファインダーから攻略に参加できます。※このコンテンツは、モンクになった状態でクリアする必要があります。			ゲロルトに未完のスファライを渡した。「真イフリート討滅戦」に参加して蛮神「イフリート」から「イフリートの炎」を入手しよう。※コンテンツファインダーから攻略に参加できます。※このコンテンツは、モンクになった状態でクリアする必要があります。			蘇る古の武器（スファライ）							
イフリートの炎を入手した。「真ガルーダ討滅戦」に参加して蛮神「ガルーダ」から「ガルーダの風」を入手しよう。※コンテンツファインダーから攻略に参加できます。※このコンテンツは、モンクになった状態でクリアする必要があります。			イフリートの炎を入手した。「真ガルーダ討滅戦」に参加して蛮神「ガルーダ」から「ガルーダの風」を入手しよう。※コンテンツファインダーから攻略に参加できます。※このコンテンツは、モンクになった状態でクリアする必要があります。			蘇る古の武器（スファライ）							
ガルーダの風を入手した。「真タイタン討滅戦」に参加して蛮神「タイタン」から「タイタンの黄土」を入手しよう。※コンテンツファインダーから攻略に参加できます。※このコンテンツは、モンクになった状態でクリアする必要があります。			ガルーダの風を入手した。「真タイタン討滅戦」に参加して蛮神「タイタン」から「タイタンの黄土」を入手しよう。※コンテンツファインダーから攻略に参加できます。※このコンテンツは、モンクになった状態でクリアする必要があります。			蘇る古の武器（スファライ）							
タイタンの黄土を入手した。北部森林のハーストミルにいる「ゲロルト」に「イフリートの炎」と「ガルーダの風」、「タイタンの黄土」を渡そう。			タイタンの黄土を入手した。北部森林のハーストミルにいる「ゲロルト」に「イフリートの炎」と「ガルーダの風」、「タイタンの黄土」を渡そう。			蘇る古の武器（スファライ）							
ゲロルトに「イフリートの炎」と「ガルーダの風」、「タイタンの黄土」を渡した。北部森林のハーストミルにいる「ゲロルト」に「ラザハン焼入油」を渡そう。			ゲロルトに「イフリートの炎」と「ガルーダの風」、「タイタンの黄土」を渡した。北部森林のハーストミルにいる「ゲロルト」に「ラザハン焼入油」を渡そう。			蘇る古の武器（スファライ）							
ゲロルトに「ラザハン焼入油」を渡した。冒険者の神狩りの成功に感じ入ったゲロルトは、武具職人として神業を見せ、ついに「スファライ」が完成した！			ゲロルトに「ラザハン焼入油」を渡した。冒険者の神狩りの成功に感じ入ったゲロルトは、武具職人として神業を見せ、ついに「スファライ」が完成した！			蘇る古の武器（スファライ）							
ザハラク戦陣の宝箱を調べて朽ち果てたスファライを入手			ザハラク戦陣の宝箱を調べて朽ち果てたスファライを入手			蘇る古の武器（スファライ）							
ハーストミルのゲロルトに朽ち果てたスファライを渡す			ハーストミルのゲロルトに朽ち果てたスファライを渡す			蘇る古の武器（スファライ）							
ゲロルトにマテリア付きのワイルドリングセスタスを渡す			ゲロルトにマテリア付きのワイルドリングセスタスを渡す			蘇る古の武器（スファライ）							
聖ダナフェンの落涙の指定地点を調べモンクになった状態で「ドルムキマイラ討伐戦」を攻略			聖ダナフェンの落涙の指定地点を調べモンクになった状態で「ドルムキマイラ討伐戦」を攻略			蘇る古の武器（スファライ）							
ハーストミルのゲロルトにアルミナ研粒を渡す			ハーストミルのゲロルトにアルミナ研粒を渡す			蘇る古の武器（スファライ）							
レヴナンツトールのロウェナと話す			レヴナンツトールのロウェナと話す			蘇る古の武器（スファライ）							
モンクになった状態で「邪教排撃 古城アムダプール」を攻略しアムダプールの石板を入手			モンクになった状態で「邪教排撃 古城アムダプール」を攻略しアムダプールの石板を入手			蘇る古の武器（スファライ）							
レヴナンツトールのロウェナにアムダプールの石板を渡す			レヴナンツトールのロウェナにアムダプールの石板を渡す			蘇る古の武器（スファライ）							
ハーストミルのゲロルトに写本：双豹拳闘伝を渡す			ハーストミルのゲロルトに写本：双豹拳闘伝を渡す			蘇る古の武器（スファライ）							
未完のスファライを装備してザハラク戦陣のザハラク・ランサーを討伐			未完のスファライを装備してザハラク戦陣のザハラク・ランサーを討伐			蘇る古の武器（スファライ）							
未完のスファライを装備してザハラク戦陣のザハラク・ピュージャリストを討伐			未完のスファライを装備してザハラク戦陣のザハラク・ピュージャリストを討伐			蘇る古の武器（スファライ）							
未完のスファライを装備してザハラク戦陣のザハラク・アーチャーを討伐			未完のスファライを装備してザハラク戦陣のザハラク・アーチャーを討伐			蘇る古の武器（スファライ）							
ハーストミルのゲロルトと話す			ハーストミルのゲロルトと話す			蘇る古の武器（スファライ）							
ハラタリ修練所の指定地点を調べ未完のスファライを装備して「ハイドラ討伐戦」を攻略			ハラタリ修練所の指定地点を調べ未完のスファライを装備して「ハイドラ討伐戦」を攻略			蘇る古の武器（スファライ）							
ハーストミルのゲロルトと話す			ハーストミルのゲロルトと話す			蘇る古の武器（スファライ）							
ゲロルトに未完のスファライを渡す			ゲロルトに未完のスファライを渡す			蘇る古の武器（スファライ）							
モンクになった状態で「真イフリート討滅戦」を攻略しイフリートの炎を入手			モンクになった状態で「真イフリート討滅戦」を攻略しイフリートの炎を入手			蘇る古の武器（スファライ）							
モンクになった状態で「真ガルーダ討滅戦」を攻略しガルーダの風を入手			モンクになった状態で「真ガルーダ討滅戦」を攻略しガルーダの風を入手			蘇る古の武器（スファライ）							
モンクになった状態で「真タイタン討滅戦」を攻略しタイタンの黄土を入手			モンクになった状態で「真タイタン討滅戦」を攻略しタイタンの黄土を入手			蘇る古の武器（スファライ）							
ハーストミルのゲロルトに指定の品を渡す			ハーストミルのゲロルトに指定の品を渡す			蘇る古の武器（スファライ）							
ゲロルトにラザハン焼入油を渡す			ゲロルトにラザハン焼入油を渡す			蘇る古の武器（スファライ）							
チッ、いいか？今じゃ、酒場のヤカンを作っちゃいるが……腐ってもオレは一流の武具職人だ。			チッ、いいか？今じゃ、酒場のヤカンを作っちゃいるが……腐ってもオレは一流の武具職人だ。			蘇る古の武器（スファライ）							
ハンパな仕事をするつもりはねぇ。それも「古の武器」を復元するとなりゃ、おおごとだ。テメェにも、材料集めだなンだで、働いてもらうからな。			ハンパな仕事をするつもりはねぇ。それも「古の武器」を復元するとなりゃ、おおごとだ。テメェにも、材料集めだなンだで、働いてもらうからな。			蘇る古の武器（スファライ）							
テメェは、どんな武器を求めてるンだ？オレに話してみろ。			テメェは、どんな武器を求めてるンだ？オレに話してみろ。			蘇る古の武器（スファライ）							
「モンク」向きの闘器といやぁ、伝説的なモンク僧「双豹のイヴォン」の愛器が有名だな。			「モンク」向きの闘器といやぁ、伝説的なモンク僧「双豹のイヴォン」の愛器が有名だな。			蘇る古の武器（スファライ）							
イヴォンってヤツは、破天荒な野郎でよ。山にこもり、クァール相手に修行を積ンで獣の動きを取り入れた武技の数々を編み出した。			イヴォンってヤツは、破天荒な野郎でよ。山にこもり、クァール相手に修行を積ンで獣の動きを取り入れた武技の数々を編み出した。			蘇る古の武器（スファライ）							
クァールの頭部を象った闘器「スファライ」は、イヴォンが己の技を最大限に発揮するために考案したもンでな。以後、伝統的な様式のひとつになったンだ。			クァールの頭部を象った闘器「スファライ」は、イヴォンが己の技を最大限に発揮するために考案したもンでな。以後、伝統的な様式のひとつになったンだ。			蘇る古の武器（スファライ）							
だが、アラミゴが陥落した今、「スファライ」を作れる職人も残っちゃいまい。			だが、アラミゴが陥落した今、「スファライ」を作れる職人も残っちゃいまい。			蘇る古の武器（スファライ）							
望みがあるとすりゃ、アマルジャ族が陣取ってる「ザハラク戦陣」だな……。			望みがあるとすりゃ、アマルジャ族が陣取ってる「ザハラク戦陣」だな……。			蘇る古の武器（スファライ）							
アマルジャ族の闘士は、己の武を知らしめるため、アラミゴから落ち延びてきた敗残兵を捕らえちゃあ、なぶり殺しにするからよ。			アマルジャ族の闘士は、己の武を知らしめるため、アラミゴから落ち延びてきた敗残兵を捕らえちゃあ、なぶり殺しにするからよ。			蘇る古の武器（スファライ）							
ヤツらが勝利の記念に敗者から奪った闘器さえ手に入りゃ、「スファライ」を復元できるって寸法だな。			ヤツらが勝利の記念に敗者から奪った闘器さえ手に入りゃ、「スファライ」を復元できるって寸法だな。			蘇る古の武器（スファライ）							
クァールの頭部を象った闘器「スファライ」は、イヴォンが己の技を最大限に発揮するために考案したもンでな。以後、伝統的な様式のひとつになったンだ。			クァールの頭部を象った闘器「スファライ」は、イヴォンが己の技を最大限に発揮するために考案したもンでな。以後、伝統的な様式のひとつになったンだ。			蘇る古の武器（スファライ）							
だが、アラミゴが陥落した今、「スファライ」を作れる職人も残っちゃいまい。			だが、アラミゴが陥落した今、「スファライ」を作れる職人も残っちゃいまい。			蘇る古の武器（スファライ）							
望みがあるとすりゃ、アマルジャ族が陣取ってる「ザハラク戦陣」だな……。			望みがあるとすりゃ、アマルジャ族が陣取ってる「ザハラク戦陣」だな……。			蘇る古の武器（スファライ）							
アマルジャ族の闘士は、己の武を知らしめるため、アラミゴから落ち延びてきた敗残兵を捕らえちゃあ、なぶり殺しにするからよ。			アマルジャ族の闘士は、己の武を知らしめるため、アラミゴから落ち延びてきた敗残兵を捕らえちゃあ、なぶり殺しにするからよ。			蘇る古の武器（スファライ）							
ヤツらが勝利の記念に敗者から奪った闘器さえ手に入りゃ、「スファライ」を復元できるって寸法だな。			ヤツらが勝利の記念に敗者から奪った闘器さえ手に入りゃ、「スファライ」を復元できるって寸法だな。			蘇る古の武器（スファライ）							
……ま、まさか……本当に「古の武器」を手に入れてくるとは……チッ、本当に働くことになるなンてツイてねぇな……。			……ま、まさか……本当に「古の武器」を手に入れてくるとは……チッ、本当に働くことになるなンてツイてねぇな……。			蘇る古の武器（スファライ）							
仕方ねぇ、手伝ってやるとすっか。だが、いかんせんテメェが持ってきた「古の武器」は状態が悪すぎる。			仕方ねぇ、手伝ってやるとすっか。だが、いかんせんテメェが持ってきた「古の武器」は状態が悪すぎる。			蘇る古の武器（スファライ）							
少しでも手を加えればブッ壊しかねねぇ。「原型」となる別の武器を叩き台に、「古の武器」を組み込んで復元するしかねぇな。			少しでも手を加えればブッ壊しかねねぇ。「原型」となる別の武器を叩き台に、「古の武器」を組み込んで復元するしかねぇな。			蘇る古の武器（スファライ）							
原型は……「ワイルドリングセスタス」がいいだろう。「武略のマテリダ」を、ふたつ装着したもンを用意するンだ。			原型は……「ワイルドリングセスタス」がいいだろう。「武略のマテリダ」を、ふたつ装着したもンを用意するンだ。			蘇る古の武器（スファライ）							
「古の武器」の原型にするにゃ、それくらいの業物じゃないとな。それらを全部持ってきたら、オレが闘器「スファライ」を復元してやらぁな。			「古の武器」の原型にするにゃ、それくらいの業物じゃないとな。それらを全部持ってきたら、オレが闘器「スファライ」を復元してやらぁな。			蘇る古の武器（スファライ）							
原型は……「ワイルドリングセスタス」がいいだろう。「武略のマテリダ」を、ふたつ装着したもンを用意するンだ。			原型は……「ワイルドリングセスタス」がいいだろう。「武略のマテリダ」を、ふたつ装着したもンを用意するンだ。			蘇る古の武器（スファライ）							
原型用の武器となりゃ、わざわざオレが作るまでもねぇ。テメェで用意するンだな。			原型用の武器となりゃ、わざわざオレが作るまでもねぇ。テメェで用意するンだな。			蘇る古の武器（スファライ）							
原型用の武器に問題はねぇようだな。よし、「古の武器」を組み込むために、ちょいといじってやるか……。			原型用の武器に問題はねぇようだな。よし、「古の武器」を組み込むために、ちょいといじってやるか……。			蘇る古の武器（スファライ）							
チッ、こいつは思ったよりやっかいだぞ。テメェが手に入れてきた「古の武器」は、オレの想像以上に状態が悪かったンだ……。			チッ、こいつは思ったよりやっかいだぞ。テメェが手に入れてきた「古の武器」は、オレの想像以上に状態が悪かったンだ……。			蘇る古の武器（スファライ）							
だからよ、ガッチガチに補強したンだが……おかげで普通の砥石じゃ調整できなくなっちまった。			だからよ、ガッチガチに補強したンだが……おかげで普通の砥石じゃ調整できなくなっちまった。			蘇る古の武器（スファライ）							
そこで役に立つのが、鋼玉を溶かして粉砕した粒「アルミナ研粒」だ。問題は、入手するのが難しいってことなンだが……。			そこで役に立つのが、鋼玉を溶かして粉砕した粒「アルミナ研粒」だ。問題は、入手するのが難しいってことなンだが……。			蘇る古の武器（スファライ）							
ところで知ってるか？一部の魔物は、丸呑みした獲物を胃ですりつぶすため、鉱石をいっしょに飲み込むンだそうだ。			ところで知ってるか？一部の魔物は、丸呑みした獲物を胃ですりつぶすため、鉱石をいっしょに飲み込むンだそうだ。			蘇る古の武器（スファライ）							
それが高温のブレスを吐く魔物……例えばクルザス中央高地を騒がせる魔物、ドルムキマイラなら……あとはわかるな？			それが高温のブレスを吐く魔物……例えばクルザス中央高地を騒がせる魔物、ドルムキマイラなら……あとはわかるな？			蘇る古の武器（スファライ）							
ヤツを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			ヤツを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			蘇る古の武器（スファライ）							
クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			蘇る古の武器（スファライ）							
「モンク」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			「モンク」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			蘇る古の武器（スファライ）							
はやいとこ、ヤカンを完成させて、しこたまエールを飲……な、なンだ、テメェは！			はやいとこ、ヤカンを完成させて、しこたまエールを飲……な、なンだ、テメェは！			蘇る古の武器（スファライ）							
もう、何をすべきか忘れちまったンか？いいか、もう一度だけ説明してやる。			もう、何をすべきか忘れちまったンか？いいか、もう一度だけ説明してやる。			蘇る古の武器（スファライ）							
ドルムキマイラを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			ドルムキマイラを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			蘇る古の武器（スファライ）							
クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			蘇る古の武器（スファライ）							
「モンク」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			「モンク」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			蘇る古の武器（スファライ）							
……チッ、まぁ～だ生きていやがったンか……。ドルムキマイラも案外ふがいねぇ……いや、なンでもねぇよ。こっちの話だ。			……チッ、まぁ～だ生きていやがったンか……。ドルムキマイラも案外ふがいねぇ……いや、なンでもねぇよ。こっちの話だ。			蘇る古の武器（スファライ）							
ともかく「アルミナ研粒」、確かに受け取ったぞ。ちょいと待ってろ、復元作業を進めるからよ……。			ともかく「アルミナ研粒」、確かに受け取ったぞ。ちょいと待ってろ、復元作業を進めるからよ……。			蘇る古の武器（スファライ）							
ふぅ……。細部に手を入れたからそれなりの見た目には、なってきたぞ。			ふぅ……。細部に手を入れたからそれなりの見た目には、なってきたぞ。			蘇る古の武器（スファライ）							
だが、何かが足りねぇ……。今度ばかりは、さすがのオレにも何が足りねぇのかがわからン。			だが、何かが足りねぇ……。今度ばかりは、さすがのオレにも何が足りねぇのかがわからン。			蘇る古の武器（スファライ）							
もっと、この「古の武器」に関する情報があれば……そう、情報が足りねぇンだ！			もっと、この「古の武器」に関する情報があれば……そう、情報が足りねぇンだ！			蘇る古の武器（スファライ）							
過去に「古の武器」を使っていた英雄たちについて、ヤツらの活躍を描いた逸話や伝承、詩歌を集めてこい。その中に、何かヒントになることが書かれているかもしれン！			過去に「古の武器」を使っていた英雄たちについて、ヤツらの活躍を描いた逸話や伝承、詩歌を集めてこい。その中に、何かヒントになることが書かれているかもしれン！			蘇る古の武器（スファライ）							
誰に聞けばいいのか、だと？古い写本でも持ってねぇか、ロウェナにでも聞いてみるンだな。あのアバズレは、古い品物にめっぽう詳しいからよ。			誰に聞けばいいのか、だと？古い写本でも持ってねぇか、ロウェナにでも聞いてみるンだな。あのアバズレは、古い品物にめっぽう詳しいからよ。			蘇る古の武器（スファライ）							
ん、調子はどう？ゲロルトには、ウンザリさせられているって表情ね。ところで、あたしに御用？			ん、調子はどう？ゲロルトには、ウンザリさせられているって表情ね。ところで、あたしに御用？			蘇る古の武器（スファライ）							
……「古の武器」の復元のために、英雄たちについての逸話を記した写本を……ね。			……「古の武器」の復元のために、英雄たちについての逸話を記した写本を……ね。			蘇る古の武器（スファライ）							
確かに、あたしのツテを使えば、そうした古い写本や書物を手に入れることは、さほど難しくはないはず。			確かに、あたしのツテを使えば、そうした古い写本や書物を手に入れることは、さほど難しくはないはず。			蘇る古の武器（スファライ）							
でも、あたしは商人なの。タダで取り寄せるなんて願い下げ。ここは冒険者と商人らしく、取引といきましょう。			でも、あたしは商人なの。タダで取り寄せるなんて願い下げ。ここは冒険者と商人らしく、取引といきましょう。			蘇る古の武器（スファライ）							
あたしは「双豹のイヴォン」を題材にした写本を探す。あんたは、あたしが欲しいものを手に入れる。			あたしは「双豹のイヴォン」を題材にした写本を探す。あんたは、あたしが欲しいものを手に入れる。			蘇る古の武器（スファライ）							
つまり「アムダプールの石板」よ。黒衣森南部森林の「古城アムダプール」っていう第五星暦時代の遺跡を踏破すれば見つかるはずよ。			つまり「アムダプールの石板」よ。黒衣森南部森林の「古城アムダプール」っていう第五星暦時代の遺跡を踏破すれば見つかるはずよ。			蘇る古の武器（スファライ）							
さぁ、公正な取引を成立させるためにも、お互い必要なものを手に入れてこようじゃないか。			さぁ、公正な取引を成立させるためにも、お互い必要なものを手に入れてこようじゃないか。			蘇る古の武器（スファライ）							
確かに、集めてくれたようだね。こっちも約束を守るとしよう。さぁ、交換だよ。			確かに、集めてくれたようだね。こっちも約束を守るとしよう。さぁ、交換だよ。			蘇る古の武器（スファライ）							
チッ、もう戻ったのか……おぅおぅ、ごくろうさンでしたっと。			チッ、もう戻ったのか……おぅおぅ、ごくろうさンでしたっと。			蘇る古の武器（スファライ）							
確かに「双豹のイヴォン」について記された写本みてぇだな。しっかし、読みにくい代物だなぁ、オイ。			確かに「双豹のイヴォン」について記された写本みてぇだな。しっかし、読みにくい代物だなぁ、オイ。			蘇る古の武器（スファライ）							
そうだ。オレが休ン……じゃねぇ、写本を読み込ンでる間に、テメェは、この「未完のスファライ」を試してこい！			そうだ。オレが休ン……じゃねぇ、写本を読み込ンでる間に、テメェは、この「未完のスファライ」を試してこい！			蘇る古の武器（スファライ）							
カタチだけは、それなりに仕上がってるから、そこそこ使える武器にはなってるハズだ。			カタチだけは、それなりに仕上がってるから、そこそこ使える武器にはなってるハズだ。			蘇る古の武器（スファライ）							
モンクならではの視点ってやつで、この武器に何が足りてねぇのかを調べてくれ。			モンクならではの視点ってやつで、この武器に何が足りてねぇのかを調べてくれ。			蘇る古の武器（スファライ）							
写本から得られる知識と、テメェが体感して得た感覚。これを合わせることで、答えを探すンだ。			写本から得られる知識と、テメェが体感して得た感覚。これを合わせることで、答えを探すンだ。			蘇る古の武器（スファライ）							
よし、かつての「イヴォン」の様に、「未完のスファライ」を装備して、強敵と戦ってこい。			よし、かつての「イヴォン」の様に、「未完のスファライ」を装備して、強敵と戦ってこい。			蘇る古の武器（スファライ）							
……そうだな、南ザナラーンの「ザハラク戦陣」にいるザハラク・ランサー、ザハラク・ピュージャリスト、ザハラク・アーチャーを各8体なで斬りにして来るンだ！			……そうだな、南ザナラーンの「ザハラク戦陣」にいるザハラク・ランサー、ザハラク・ピュージャリスト、ザハラク・アーチャーを各8体なで斬りにして来るンだ！			蘇る古の武器（スファライ）							
よし、かつての「イヴォン」の様に、「未完のスファライ」を装備して、強敵と戦ってこい。			よし、かつての「イヴォン」の様に、「未完のスファライ」を装備して、強敵と戦ってこい。			蘇る古の武器（スファライ）							
……そうだな、南ザナラーンの「ザハラク戦陣」にいるザハラク・ランサー、ザハラク・ピュージャリスト、ザハラク・アーチャーを各8体なで斬りにして来るンだ！			……そうだな、南ザナラーンの「ザハラク戦陣」にいるザハラク・ランサー、ザハラク・ピュージャリスト、ザハラク・アーチャーを各8体なで斬りにして来るンだ！			蘇る古の武器（スファライ）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（スファライ）							
おう、帰ってきたか。……だが、そのツラからすっと、まだ古の武器に足りねぇモンを掴みきれてねぇようだな？			おう、帰ってきたか。……だが、そのツラからすっと、まだ古の武器に足りねぇモンを掴みきれてねぇようだな？			蘇る古の武器（スファライ）							
こうなったら、伝説に残るような戦いをするっきゃねぇ。……そうだな「ハラタリ修練所」のヌシ、多頭龍「ハイドラ」を倒してこい。			こうなったら、伝説に残るような戦いをするっきゃねぇ。……そうだな「ハラタリ修練所」のヌシ、多頭龍「ハイドラ」を倒してこい。			蘇る古の武器（スファライ）							
東ザナラーン「ハラタリ修練所」前の指定地点で、コンテンツ「ハイドラ討伐戦」を開放できるようになりました。			東ザナラーン「ハラタリ修練所」前の指定地点で、コンテンツ「ハイドラ討伐戦」を開放できるようになりました。			蘇る古の武器（スファライ）							
「未完のスファライ」を装備して「ハイドラ討伐戦」に挑み、ハイドラを倒しましょう！			「未完のスファライ」を装備して「ハイドラ討伐戦」に挑み、ハイドラを倒しましょう！			蘇る古の武器（スファライ）							
棲み着いていた魔獣も、あらかた掃討できたんですが、「ハイドラ」という大物だけが残っていて……。ええ！？　奴に挑むつもりですか？			棲み着いていた魔獣も、あらかた掃討できたんですが、「ハイドラ」という大物だけが残っていて……。ええ！？　奴に挑むつもりですか？			蘇る古の武器（スファライ）							
修練所のヌシ「ハイドラ」は、恐怖をまき散らす、恐るべき存在。命の保証はできませんよ、それでも行くのです！？			修練所のヌシ「ハイドラ」は、恐怖をまき散らす、恐るべき存在。命の保証はできませんよ、それでも行くのです！？			蘇る古の武器（スファライ）							
ハイドラとの戦いは、「未完のスファライ」を装備している状態でのみ挑むことができます。			ハイドラとの戦いは、「未完のスファライ」を装備している状態でのみ挑むことができます。			蘇る古の武器（スファライ）							
あぁン？　写本はどうしたのか、だと？細けぇ文字を見てると、頭痛くなるンでな！……ヤカン作って、気分転換してるンだよ！			あぁン？　写本はどうしたのか、だと？細けぇ文字を見てると、頭痛くなるンでな！……ヤカン作って、気分転換してるンだよ！			蘇る古の武器（スファライ）							
ガミガミガミガミ、テメェはオレの母ちゃんか？			ガミガミガミガミ、テメェはオレの母ちゃんか？			蘇る古の武器（スファライ）							
テメェも、こんなところでグダグダしてねぇでさっさと「未完のスファライ」を試して、意見を聞かせろってンだ！　チクショウめぇ！			テメェも、こんなところでグダグダしてねぇでさっさと「未完のスファライ」を試して、意見を聞かせろってンだ！　チクショウめぇ！			蘇る古の武器（スファライ）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（スファライ）							
チッ、まだ生きてやがったンか……。ハイドラに喰われれば、良かったのにな？……まぁ、それはともかく、写本の話でもすっか。			チッ、まだ生きてやがったンか……。ハイドラに喰われれば、良かったのにな？……まぁ、それはともかく、写本の話でもすっか。			蘇る古の武器（スファライ）							
例の写本はな、「双豹のイヴォン」の弟子が記した格闘術のイロハを伝える武道書だった。			例の写本はな、「双豹のイヴォン」の弟子が記した格闘術のイロハを伝える武道書だった。			蘇る古の武器（スファライ）							
そいつによると、イヴォンが考案した「スファライ」は単純な武器じゃねぇそうだ。			そいつによると、イヴォンが考案した「スファライ」は単純な武器じゃねぇそうだ。			蘇る古の武器（スファライ）							
モンクが重視する「チャクラ」ってやつを発しやすくするための装置なンだとよ。			モンクが重視する「チャクラ」ってやつを発しやすくするための装置なンだとよ。			蘇る古の武器（スファライ）							
で、どういう理屈かはわからねぇが……そのためには、クリスタルを闘器にはめ込む必要があンだそうだ。			で、どういう理屈かはわからねぇが……そのためには、クリスタルを闘器にはめ込む必要があンだそうだ。			蘇る古の武器（スファライ）							
……なんだと？「チャクラ」とは「体内を流れるエーテル」の調整弁のこと、だと？			……なんだと？「チャクラ」とは「体内を流れるエーテル」の調整弁のこと、だと？			蘇る古の武器（スファライ）							
そういうことか。それなら、結晶化したエーテルの塊であるクリスタルを用いるのも頷けるぜ。			そういうことか。それなら、結晶化したエーテルの塊であるクリスタルを用いるのも頷けるぜ。			蘇る古の武器（スファライ）							
そんなわけで、オレの方は収穫があった。テメェの方は、どうなんだ？　しっかり使い込ンだンだろうな？「体感して得た感覚」ってもンを、説明してもらおうか！			そんなわけで、オレの方は収穫があった。テメェの方は、どうなんだ？　しっかり使い込ンだンだろうな？「体感して得た感覚」ってもンを、説明してもらおうか！			蘇る古の武器（スファライ）							
なるほど……言いてぇことはわかった。確かに、テメェが指摘することにも一理はある。			なるほど……言いてぇことはわかった。確かに、テメェが指摘することにも一理はある。			蘇る古の武器（スファライ）							
よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			蘇る古の武器（スファライ）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（スファライ）							
よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			蘇る古の武器（スファライ）							
ふぅ……これで、ちったぁマシになったろう。あとは、最後の焼き入れを残すのみだ……。			ふぅ……これで、ちったぁマシになったろう。あとは、最後の焼き入れを残すのみだ……。			蘇る古の武器（スファライ）							
