レヴナンツトールのシ・ルン・ティアは、今後の修行について考えているようだ。			レヴナンツトールのシ・ルン・ティアは、今後の修行について考えているようだ。			不可避の定め							
アリアは、ここで静養を続けてくれ。それから……つらいと思うが、魔法の修行は当分おあずけだ。			アリアは、ここで静養を続けてくれ。それから……つらいと思うが、魔法の修行は当分おあずけだ。			血に塗れた起源							
おそらくは、魔力の消耗が「飢え」のきっかけになっている。おとなしくしていないと、また……			おそらくは、魔力の消耗が「飢え」のきっかけになっている。おとなしくしていないと、また……			血に塗れた起源							
はい……また誰かを襲ったりするのは、いやですから。			はい……また誰かを襲ったりするのは、いやですから。			血に塗れた起源							
それよりも、本当にいいんでしょうか？わたしなんかのために、遠いギラバニアまで…………。			それよりも、本当にいいんでしょうか？わたしなんかのために、遠いギラバニアまで…………。			血に塗れた起源							
アリア、立場が逆だったら、お前はどうする……？Forenameの身に異変が起きて、ギラバニアの山奥で答えが見つかるかも……となったら？			アリア、立場が逆だったら、お前はどうする……？Forenameの身に異変が起きて、ギラバニアの山奥で答えが見つかるかも……となったら？			血に塗れた起源							
え…………先輩に何かあったら……？もちろん、すぐにギラバニアへ行きます！			え…………先輩に何かあったら……？もちろん、すぐにギラバニアへ行きます！			血に塗れた起源							
アリアに何と言う？			アリアに何と言う？			血に塗れた起源							
ありがとう			ありがとう			血に塗れた起源							
……そ、そうか			……そ、そうか			血に塗れた起源							
ハハハ！アリアがそういうヤツだから、助けたいって思うのさ。だから気にせず、休んでろ！			ハハハ！アリアがそういうヤツだから、助けたいって思うのさ。だから気にせず、休んでろ！			血に塗れた起源							
ハハハ、即答か！Forenameが戸惑ってるぞ。			ハハハ、即答か！Forenameが戸惑ってるぞ。			血に塗れた起源							
アリアがそういうヤツだから、助けたいって思うのさ。だから気にせず、休んでろ！			アリアがそういうヤツだから、助けたいって思うのさ。だから気にせず、休んでろ！			血に塗れた起源							
あんなに張り切ってたのに、修行できないのはつらいだろう……。まずは体調だけでも、戻してやりたいな。			あんなに張り切ってたのに、修行できないのはつらいだろう……。まずは体調だけでも、戻してやりたいな。			血に塗れた起源							
それでは、「赤のジグラート」へ向けて出発しよう。アリアはここで、朗報を待っていろ。			それでは、「赤のジグラート」へ向けて出発しよう。アリアはここで、朗報を待っていろ。			血に塗れた起源							
ご迷惑をおかけしてしまって……ごめんなさい。せめて早く元気になれるように、おとなしく休んでます……。			ご迷惑をおかけしてしまって……ごめんなさい。せめて早く元気になれるように、おとなしく休んでます……。			血に塗れた起源							
さっそく、探索を始めるか！赤魔道士の歴史が書かれた「石板」を集めるぞ。			さっそく、探索を始めるか！赤魔道士の歴史が書かれた「石板」を集めるぞ。			血に塗れた起源							
「赤のジグラート」は、赤魔道士の始祖たちが築いた建造物だ。霊災で不安定になった気候を、制御するための装置らしい。乱れた地脈を鎮めるための、重しみたいなもんか。			「赤のジグラート」は、赤魔道士の始祖たちが築いた建造物だ。霊災で不安定になった気候を、制御するための装置らしい。乱れた地脈を鎮めるための、重しみたいなもんか。			血に塗れた起源							
歴代の赤魔道士は、歴史や秘術を刻んだ石板をここに安置した。盗掘や風化で、大部分が失われちまったが……			歴代の赤魔道士は、歴史や秘術を刻んだ石板をここに安置した。盗掘や風化で、大部分が失われちまったが……			血に塗れた起源							
ランバードが手を染めた秘術の、手がかりくらいは見つけたい。「赤のジグラート」の内外を、手わけして探そう。ただし見てのとおり、キキルン族の巣窟だ……気をつけろよ！			ランバードが手を染めた秘術の、手がかりくらいは見つけたい。「赤のジグラート」の内外を、手わけして探そう。ただし見てのとおり、キキルン族の巣窟だ……気をつけろよ！			血に塗れた起源							
どうだ、成果はあったか？オレの方でも、石板をいくつか見つけた。いくつか気になる記述はあったが……どうにも決め手を欠くな。			どうだ、成果はあったか？オレの方でも、石板をいくつか見つけた。いくつか気になる記述はあったが……どうにも決め手を欠くな。			血に塗れた起源							
こいつは…………！石板のひとつに、とんでもないことが書いてあるぞ。ランバードが自身に施した、秘術の正体だ。			こいつは…………！石板のひとつに、とんでもないことが書いてあるぞ。ランバードが自身に施した、秘術の正体だ。			血に塗れた起源							
第六霊災の直後、「赤魔法」がまだ体系化される前……異界「ヴォイド」の妖異と契約し、その血を体内に入れて、力を借りた赤魔道士たちがいたというんだ……！			第六霊災の直後、「赤魔法」がまだ体系化される前……異界「ヴォイド」の妖異と契約し、その血を体内に入れて、力を借りた赤魔道士たちがいたというんだ……！			血に塗れた起源							
……妖異のなかには、獲物の生命力を喰らうバケモノがいる。ランバードも、妖異の血を自分に移植したんだろう。そして、「ソウルスティール」の力を得た……。			……妖異のなかには、獲物の生命力を喰らうバケモノがいる。ランバードも、妖異の血を自分に移植したんだろう。そして、「ソウルスティール」の力を得た……。			血に塗れた起源							
もとは第六霊災前、マハのとある大魔道士の一族が始めた術らしい。己のエーテルを激しく消耗する赤魔道士にとって、敵から奪った力を使える利点は大きい。			もとは第六霊災前、マハのとある大魔道士の一族が始めた術らしい。己のエーテルを激しく消耗する赤魔道士にとって、敵から奪った力を使える利点は大きい。			血に塗れた起源							
ランバードのように、奪った力を肉体の維持にまわせば、「人」の限界を超えた、強大な魔法すらも行使できるわけだ……！			ランバードのように、奪った力を肉体の維持にまわせば、「人」の限界を超えた、強大な魔法すらも行使できるわけだ……！			血に塗れた起源							
この秘術はのちに禁じ手とされ、術者は絶えたようだ。飢えて人を襲うような副作用があるなら……無理もない話か。			この秘術はのちに禁じ手とされ、術者は絶えたようだ。飢えて人を襲うような副作用があるなら……無理もない話か。			血に塗れた起源							
ふむ…………彼らは獲物の生命を喰らえないとき、特殊な錬金薬を使って、「飢え」をしのいだらしいな。……その調合法が、こっちの石板に書いてあるぞ！			ふむ…………彼らは獲物の生命を喰らえないとき、特殊な錬金薬を使って、「飢え」をしのいだらしいな。……その調合法が、こっちの石板に書いてあるぞ！			血に塗れた起源							
アリアの症状は、ランバードと酷似している。ならば、この錬金薬も効く可能性が高い……！			アリアの症状は、ランバードと酷似している。ならば、この錬金薬も効く可能性が高い……！			血に塗れた起源							
主な材料は、半結晶状態のエーテルだな。このあたりだと「ウロリス」という魔物の心核から取りだせる。……なるべく大物のヤツがいいようだ。			主な材料は、半結晶状態のエーテルだな。このあたりだと「ウロリス」という魔物の心核から取りだせる。……なるべく大物のヤツがいいようだ。			血に塗れた起源							
ウロリスは、ここギラバニア山岳地帯の東部……「スリーピングストーンズ採石場」あたりに出没する。大物を見つけしだい、狩って心核をいただこう。			ウロリスは、ここギラバニア山岳地帯の東部……「スリーピングストーンズ採石場」あたりに出没する。大物を見つけしだい、狩って心核をいただこう。			血に塗れた起源							
「大物ウロリスの心核」を手に入れたら、「アラガーナ」で落ちあうぞ。ほかにも必要な材料があるが、それはオレが調達しておこう。			「大物ウロリスの心核」を手に入れたら、「アラガーナ」で落ちあうぞ。ほかにも必要な材料があるが、それはオレが調達しておこう。			血に塗れた起源							
え……わたしの症状と関係がありそうな石板が見つかった……？ありがとうございます、先輩……！期待して、次の報せを待つことにします！			え……わたしの症状と関係がありそうな石板が見つかった……？ありがとうございます、先輩……！期待して、次の報せを待つことにします！			血に塗れた起源							
どうだ……？「大物ウロリスの心核」は手に入ったか？			どうだ……？「大物ウロリスの心核」は手に入ったか？			血に塗れた起源							
状態もよさそうだな！オレが狩ったのもあわせて、2体ぶん……調合には充分な量だ。			状態もよさそうだな！オレが狩ったのもあわせて、2体ぶん……調合には充分な量だ。			血に塗れた起源							
ほかの材料も、すでにそろえてある。仕上げは、ウルダハの錬金術師ギルドに依頼しよう。			ほかの材料も、すでにそろえてある。仕上げは、ウルダハの錬金術師ギルドに依頼しよう。			血に塗れた起源							
……アリアも寂しがってるだろう。野暮用はオレにまかせて、お前はひと足早く、イディルシャイアへ戻ってくれ！			……アリアも寂しがってるだろう。野暮用はオレにまかせて、お前はひと足早く、イディルシャイアへ戻ってくれ！			血に塗れた起源							
えっ……わたしの症状を抑える薬が……？材料まで手に入れてくれたんですか！？			えっ……わたしの症状を抑える薬が……？材料まで手に入れてくれたんですか！？			血に塗れた起源							
あとは師匠が帰ってくるのを、待てばいいんですね……？			あとは師匠が帰ってくるのを、待てばいいんですね……？			血に塗れた起源							
……よっ、戻ったぜ！			……よっ、戻ったぜ！			血に塗れた起源							
まずはアリア、この薬を飲め。その間にギラバニアでわかったことを話そう。			まずはアリア、この薬を飲め。その間にギラバニアでわかったことを話そう。			血に塗れた起源							
わ……すごいです……！			わ……すごいです……！			血に塗れた起源							
味はその、何とも言えませんけど……嘘みたいに楽になりました！内側の渇きが、満たされる感じで……先輩、師匠……本当に、何てお礼を言っていいか……！			味はその、何とも言えませんけど……嘘みたいに楽になりました！内側の渇きが、満たされる感じで……先輩、師匠……本当に、何てお礼を言っていいか……！			血に塗れた起源							
その笑顔が、いちばんのお返しさ。だが、そいつは力を補うための薬……あくまで対症療法だ。原因を根本から治してくれるわけじゃない。			その笑顔が、いちばんのお返しさ。だが、そいつは力を補うための薬……あくまで対症療法だ。原因を根本から治してくれるわけじゃない。			血に塗れた起源							
はい……魔力を使い果たしたら、また誰かを襲ってしまうかもしれない……だから修行は禁止ですね？			はい……魔力を使い果たしたら、また誰かを襲ってしまうかもしれない……だから修行は禁止ですね？			血に塗れた起源							
つらいだろうが、いまは耐えてくれ。			つらいだろうが、いまは耐えてくれ。			血に塗れた起源							
わたし……ランバードにつかまっていたときに、妖異の血を移植されたんでしょうか？			わたし……ランバードにつかまっていたときに、妖異の血を移植されたんでしょうか？			血に塗れた起源							
イエロージャケットの記録と照合したが……アリアの失踪から救出までの時間は、実はかなり短い。			イエロージャケットの記録と照合したが……アリアの失踪から救出までの時間は、実はかなり短い。			血に塗れた起源							
しかも大部分は、荷箱で運ばれていた時間……。大がかりな儀式をするヒマはなかった。真相の解明は、これからだな。			しかも大部分は、荷箱で運ばれていた時間……。大がかりな儀式をするヒマはなかった。真相の解明は、これからだな。			血に塗れた起源							
……わたしにも、手伝わせてください！			……わたしにも、手伝わせてください！			血に塗れた起源							
少しでも早く、赤魔道士としての修行に戻りたいんです！先輩の背中を追いかけていた……わたしがわたしでいられた時間を、取り戻すために。			少しでも早く、赤魔道士としての修行に戻りたいんです！先輩の背中を追いかけていた……わたしがわたしでいられた時間を、取り戻すために。			血に塗れた起源							
アリアに何と答える？			アリアに何と答える？			血に塗れた起源							
いっしょにがんばろう			いっしょにがんばろう			血に塗れた起源							
追いつけるかな？			追いつけるかな？			血に塗れた起源							
はいっ！あっ……でも、何をすれば…………？			はいっ！あっ……でも、何をすれば…………？			血に塗れた起源							
フッ……Forenameは容赦ないな。だが、アリアを気づかって立ち止まるようなヤツじゃ、追いかける甲斐も、ないってもんだ！			フッ……Forenameは容赦ないな。だが、アリアを気づかって立ち止まるようなヤツじゃ、追いかける甲斐も、ないってもんだ！			血に塗れた起源							
それじゃ……アリアには文献探しでも手伝ってもらうか。このあたりには、シャーレアン人が残した書物が山とある。			それじゃ……アリアには文献探しでも手伝ってもらうか。このあたりには、シャーレアン人が残した書物が山とある。			血に塗れた起源							
そしてForenameは、技に磨きをかけろ。アリアが修行に戻ったとき、より高い目標でいられるようにな！			そしてForenameは、技に磨きをかけろ。アリアが修行に戻ったとき、より高い目標でいられるようにな！			血に塗れた起源							
エールポートのシ・ルン・ティアは、ランバードの次の動きを気にしているようだ。			エールポートのシ・ルン・ティアは、ランバードの次の動きを気にしているようだ。			ランバードの幻影							
シ・ルンは、ランバードに指示を出す帝国側の動きを探るつもりのようだ。リムサ・ロミンサの国際街広場で「シ・ルン・ティア」と合流しよう。			シ・ルンは、ランバードに指示を出す帝国側の動きを探るつもりのようだ。リムサ・ロミンサの国際街広場で「シ・ルン・ティア」と合流しよう。			ランバードの幻影							
リオルによれば、北ザナラーンに面したガレマール帝国の基地を探れば、暗殺団の次の計画がわかりそうだという。リムサ・ロミンサの溺れた海豚亭で「シ・ルン・ティア」と話そう。			リオルによれば、北ザナラーンに面したガレマール帝国の基地を探れば、暗殺団の次の計画がわかりそうだという。リムサ・ロミンサの溺れた海豚亭で「シ・ルン・ティア」と話そう。			ランバードの幻影							
シ・ルンとともに、帝国軍の基地へと乗り込むことになった。北ザナラーンのラウバーン緩衝地で「シ・ルン・ティア」と合流しよう。			シ・ルンとともに、帝国軍の基地へと乗り込むことになった。北ザナラーンのラウバーン緩衝地で「シ・ルン・ティア」と合流しよう。			ランバードの幻影							
冒険者が帝国軍の陽動を担当し、シ・ルンとアリアが拠点に潜入することになった。ラウバーン緩衝地の「指定地点」で周囲を見渡し、現れた敵をすべて討伐しよう。			冒険者が帝国軍の陽動を担当し、シ・ルンとアリアが拠点に潜入することになった。ラウバーン緩衝地の「指定地点」で周囲を見渡し、現れた敵をすべて討伐しよう。			ランバードの幻影							
陽動はうまくいったようだ。ラウバーン緩衝地で「シ・ルン・ティア」と合流しよう。			陽動はうまくいったようだ。ラウバーン緩衝地で「シ・ルン・ティア」と合流しよう。			ランバードの幻影							
シ・ルンらと合流した。ランバードの暗殺団について、詳細な情報が判明したという。北ザナラーンの青燐精製所で、「シ・ルン・ティア」の話を聞こう。			シ・ルンらと合流した。ランバードの暗殺団について、詳細な情報が判明したという。北ザナラーンの青燐精製所で、「シ・ルン・ティア」の話を聞こう。			ランバードの幻影							
ランバードの暗殺団の実態が明らかになり、次の襲撃目標が、天才機工師シドが創立した技術者集団、ガーロンド・アイアンワークスだと判明した。彼らに万が一のことがあれば、エオルゼアの未来に暗雲が漂うことになる。襲撃計画の阻止に尽力しよう。※赤魔道士のレベルが60以上になると、青燐精製所のシ・ルン・ティアから次の赤魔道士クエストを受注することができます。			ランバードの暗殺団の実態が明らかになり、次の襲撃目標が、天才機工師シドが創立した技術者集団、ガーロンド・アイアンワークスだと判明した。彼らに万が一のことがあれば、エオルゼアの未来に暗雲が漂うことになる。襲撃計画の阻止に尽力しよう。※赤魔道士のレベルが60以上になると、青燐精製所のシ・ルン・ティアから次の赤魔道士クエストを受注することができます。			ランバードの幻影							
リムサ・ロミンサのシ・ルン・ティアと合流			リムサ・ロミンサのシ・ルン・ティアと合流			ランバードの幻影							
溺れた海豚亭のシ・ルン・ティアと話す			溺れた海豚亭のシ・ルン・ティアと話す			ランバードの幻影							
ラウバーン緩衝地でシ・ルン・ティアと合流			ラウバーン緩衝地でシ・ルン・ティアと合流			ランバードの幻影							
指定地点で見渡して敵を討伐			指定地点で見渡して敵を討伐			ランバードの幻影							
シ・ルン・ティアと合流			シ・ルン・ティアと合流			ランバードの幻影							
シ・ルン・ティアと話す			シ・ルン・ティアと話す			ランバードの幻影							
あっ、先輩……！少しでも早く先輩に追いつけるように、がんばります！			あっ、先輩……！少しでも早く先輩に追いつけるように、がんばります！			ランバードの幻影							
師匠のこと、別に苦手ってわけじゃないんですけど……。最初のころは、顔とか雰囲気とか……何となくこわかったんですよ。本当は優しい人だって、もうわかってます！			師匠のこと、別に苦手ってわけじゃないんですけど……。最初のころは、顔とか雰囲気とか……何となくこわかったんですよ。本当は優しい人だって、もうわかってます！			ランバードの幻影							
ランバードの暗殺団が、帝国の意を受けて暗躍しているのは確実だ。さすがに懲りたのか、ウィルキン氏には手を出す様子がないが……			ランバードの暗殺団が、帝国の意を受けて暗躍しているのは確実だ。さすがに懲りたのか、ウィルキン氏には手を出す様子がないが……			ランバードの幻影							
本国から指示があれば、次の狙いを定めてくるだろう。知り合いに、帝国側のルートを探ってもらってる。リムサ・ロミンサの「国際街広場」で落ちあおう。			本国から指示があれば、次の狙いを定めてくるだろう。知り合いに、帝国側のルートを探ってもらってる。リムサ・ロミンサの「国際街広場」で落ちあおう。			ランバードの幻影							
リムサ・ロミンサの景色は、見覚えがある気がします……。住んでた街だから、身体が覚えてるんだと思います。			リムサ・ロミンサの景色は、見覚えがある気がします……。住んでた街だから、身体が覚えてるんだと思います。			ランバードの幻影							
……よう！シ・ルンが会いたいっていうんで、来てやったぜ。			……よう！シ・ルンが会いたいっていうんで、来てやったぜ。			ランバードの幻影							
こいつは、もと海雄旅団のリオル。エールポートへ向かう前から、いろいろ調べてもらってた仲間さ。			こいつは、もと海雄旅団のリオル。エールポートへ向かう前から、いろいろ調べてもらってた仲間さ。			ランバードの幻影							
リオルだ、よろしくな！			リオルだ、よろしくな！			ランバードの幻影							
こいつは、もと海雄旅団のリオル。エールポートへ向かう前から、いろいろ調べてもらってたんだが、……どうやら、初対面じゃないらしいな？			こいつは、もと海雄旅団のリオル。エールポートへ向かう前から、いろいろ調べてもらってたんだが、……どうやら、初対面じゃないらしいな？			ランバードの幻影							
何と答える？			何と答える？			ランバードの幻影							
ひさしぶり			ひさしぶり			ランバードの幻影							
……誰？			……誰？			ランバードの幻影							
よう、元気にしてたか！「真紅のシ・ルン・ティア」と旅をしてたとは、知らなかったぜ。			よう、元気にしてたか！「真紅のシ・ルン・ティア」と旅をしてたとは、知らなかったぜ。			ランバードの幻影							
おーい、いまさら初対面ヅラかよ！ほら、三ツ笛を吹けば現れる男……腕利き諜報屋のリオル様だよ！			おーい、いまさら初対面ヅラかよ！ほら、三ツ笛を吹けば現れる男……腕利き諜報屋のリオル様だよ！			ランバードの幻影							
暗殺団の洋上拠点をつきとめたのは、お手柄だったな！ヤツらも商船を装う以上、多少の取引はやっている。そこで、人や物の流れを追ってみたんだが……。			暗殺団の洋上拠点をつきとめたのは、お手柄だったな！ヤツらも商船を装う以上、多少の取引はやっている。そこで、人や物の流れを追ってみたんだが……。			ランバードの幻影							
ヤツらへの指令は、北ザナラーンに面した、帝国軍の基地を通じて出されていた可能性が高い。			ヤツらへの指令は、北ザナラーンに面した、帝国軍の基地を通じて出されていた可能性が高い。			ランバードの幻影							
さすがだな、リオル！新事実をつかんだら、お前にも知らせよう。それで、今回の貸し借りはチャラってことにしといてくれ。			さすがだな、リオル！新事実をつかんだら、お前にも知らせよう。それで、今回の貸し借りはチャラってことにしといてくれ。			ランバードの幻影							
Forename、アリア。「溺れた海豚亭」で作戦会議といこう！			Forename、アリア。「溺れた海豚亭」で作戦会議といこう！			ランバードの幻影							
魔法の修行……毎日、一生懸命やってるつもりですけど……。なかなか、思うようにいかなくて。先輩みたいな一人前の赤魔道士に、早くなりたいです！			魔法の修行……毎日、一生懸命やってるつもりですけど……。なかなか、思うようにいかなくて。先輩みたいな一人前の赤魔道士に、早くなりたいです！			ランバードの幻影							
次にどうするかだが……単刀直入に言おう。北ザナラーンの帝国基地に乗り込んで、ランバードの動きをつかむ。			次にどうするかだが……単刀直入に言おう。北ザナラーンの帝国基地に乗り込んで、ランバードの動きをつかむ。			ランバードの幻影							
……何も、正面から乗り込もうってんじゃないさ！ひとりが陽動をかけ、残るふたりで内部に侵入。情報を入手しようってわけだ。			……何も、正面から乗り込もうってんじゃないさ！ひとりが陽動をかけ、残るふたりで内部に侵入。情報を入手しようってわけだ。			ランバードの幻影							
陽動役はForename、お前に頼む。なるべく派手に暴れて、時間稼ぎをしてくれ！			陽動役はForename、お前に頼む。なるべく派手に暴れて、時間稼ぎをしてくれ！			ランバードの幻影							
…………アリアにも、少し稽古をつけとくか。魔物狩りで腕を磨いているようだが、それとはワケが違うからな！			…………アリアにも、少し稽古をつけとくか。魔物狩りで腕を磨いているようだが、それとはワケが違うからな！			ランバードの幻影							
よし……それでは、現地で集合だ！北ザナラーンの「ラウバーン緩衝地」で合流するぞ！			よし……それでは、現地で集合だ！北ザナラーンの「ラウバーン緩衝地」で合流するぞ！			ランバードの幻影							
シ・ルン師匠に、稽古をつけてもらったんですけど……得意不得意が極端だって、あきれられてしまいました……。			シ・ルン師匠に、稽古をつけてもらったんですけど……得意不得意が極端だって、あきれられてしまいました……。			ランバードの幻影							
よし、全員そろったな！陽動役をまかせられるのは、Forename、お前だけだ……派手に暴れろ！			よし、全員そろったな！陽動役をまかせられるのは、Forename、お前だけだ……派手に暴れろ！			ランバードの幻影							
アリアは、オレと基地に潜入する。ふたりで情報を探す方が早いからな。敵との交戦は、あるものと思っておけよ！			アリアは、オレと基地に潜入する。ふたりで情報を探す方が早いからな。敵との交戦は、あるものと思っておけよ！			ランバードの幻影							
ほ、本当に…………わたしにできるでしょうか？			ほ、本当に…………わたしにできるでしょうか？			ランバードの幻影							
落ちついてやれば、大丈夫だ！まだまだ、Forenameにはおよばないが、攻撃魔法の方は、オレも舌を巻くほどの上達ぶりだぞ？			落ちついてやれば、大丈夫だ！まだまだ、Forenameにはおよばないが、攻撃魔法の方は、オレも舌を巻くほどの上達ぶりだぞ？			ランバードの幻影							
まあ…………治癒魔法に関しては、素人同然だがな……。総じて黒魔法の系統は得意だが、白魔法の覚えが悪い。			まあ…………治癒魔法に関しては、素人同然だがな……。総じて黒魔法の系統は得意だが、白魔法の覚えが悪い。			ランバードの幻影							
そういや、アリゼーも多少そんな傾向があったが……あれはたぶん、見かけによらず血の気が多い性格のせいだ。ここまで極端なヤツは、滅多にいないな。			そういや、アリゼーも多少そんな傾向があったが……あれはたぶん、見かけによらず血の気が多い性格のせいだ。ここまで極端なヤツは、滅多にいないな。			ランバードの幻影							
ま、そういうタイプもたまにいるんだが……ここまで極端なヤツは、滅多に見ないな。			ま、そういうタイプもたまにいるんだが……ここまで極端なヤツは、滅多に見ないな。			ランバードの幻影							
ま、徐々に慣れていけばいいさ！			ま、徐々に慣れていけばいいさ！			ランバードの幻影							
……そんじゃ、作戦開始といくぜ。陽動は拠点の真正面から、なるべく派手にやってくれ！			……そんじゃ、作戦開始といくぜ。陽動は拠点の真正面から、なるべく派手にやってくれ！			ランバードの幻影							
わたしたちは、そこの崖づたいに背後から拠点に侵入します。無事でいてくださいね、先輩……！			わたしたちは、そこの崖づたいに背後から拠点に侵入します。無事でいてくださいね、先輩……！			ランバードの幻影							
急襲だ…迎撃する！			急襲だ…迎撃する！			ランバードの幻影							
どこの軍だ！？			どこの軍だ！？			ランバードの幻影							
正面から堂々と…いい度胸だ！			正面から堂々と…いい度胸だ！			ランバードの幻影							
厄介な魔法を使いやがる…！			厄介な魔法を使いやがる…！			ランバードの幻影							
ええい、なぜ倒せん！			ええい、なぜ倒せん！			ランバードの幻影							
コイツ…手ごわいぞ！			コイツ…手ごわいぞ！			ランバードの幻影							
何人やられたんだ！？			何人やられたんだ！？			ランバードの幻影							
ナメやがって！			ナメやがって！			ランバードの幻影							
相手はひとりだぞ！			相手はひとりだぞ！			ランバードの幻影							
少し疲れたみたいで…………ちょっと、めまいがします。でも、先輩が無事で……よかったです……！			少し疲れたみたいで…………ちょっと、めまいがします。でも、先輩が無事で……よかったです……！			ランバードの幻影							
先輩が、敵を引きつけてくれたおかげで……潜入はうまくいきました……！			先輩が、敵を引きつけてくれたおかげで……潜入はうまくいきました……！			ランバードの幻影							
おかげさんで、成果は上々だ！外の騒ぎが、壁の向こうまで聞こえてきたぜ！			おかげさんで、成果は上々だ！外の騒ぎが、壁の向こうまで聞こえてきたぜ！			ランバードの幻影							
こっちはこっちで、大変な情報を入手したが……「青燐精製所」まで引き揚げてから話そう。			こっちはこっちで、大変な情報を入手したが……「青燐精製所」まで引き揚げてから話そう。			ランバードの幻影							
それと、さっきからアリアの具合が悪そうなんだ……。…………どうだ、もう歩けるか？			それと、さっきからアリアの具合が悪そうなんだ……。…………どうだ、もう歩けるか？			ランバードの幻影							
大丈夫です……だいぶ、気分がよくなってきました。少し、疲れたんだと思います……！			大丈夫です……だいぶ、気分がよくなってきました。少し、疲れたんだと思います……！			ランバードの幻影							
アリアはだいぶ回復したみたいだ。……もう心配ないな？			アリアはだいぶ回復したみたいだ。……もう心配ないな？			ランバードの幻影							
はい……苦手な治癒魔法を、何とか使いこなそうとして……ちょっと、はりきりすぎたのかもしれません。			はい……苦手な治癒魔法を、何とか使いこなそうとして……ちょっと、はりきりすぎたのかもしれません。			ランバードの幻影							
がんばったわりに、成長のあとは見られなかったけどな！			がんばったわりに、成長のあとは見られなかったけどな！			ランバードの幻影							
アリアに何と言う？			アリアに何と言う？			ランバードの幻影							
いっしょにがんばろう			いっしょにがんばろう			ランバードの幻影							
やっぱり……			やっぱり……			ランバードの幻影							
はいっ、先輩！			はいっ、先輩！			ランバードの幻影							
……あっ、ひどいです！			……あっ、ひどいです！			ランバードの幻影							
さて……入手した情報を話す約束だったな。帝国軍が暗殺団にやらせていたことは、以前の推察どおりだ。			さて……入手した情報を話す約束だったな。帝国軍が暗殺団にやらせていたことは、以前の推察どおりだ。			ランバードの幻影							
魔法の資質がある若者を拉致し、ランバードが例の「呪印」を施す。彼らは人格を壊され、魔法を教え込まれて、暗殺者と化す……。			魔法の資質がある若者を拉致し、ランバードが例の「呪印」を施す。彼らは人格を壊され、魔法を教え込まれて、暗殺者と化す……。			ランバードの幻影							
ランバードが暗殺団を組織したのは、比較的最近のようだ。目的はアラミゴ支援勢力の排除。むろん帝国内部の、とある勢力の意向を受けてのことだ。			ランバードが暗殺団を組織したのは、比較的最近のようだ。目的はアラミゴ支援勢力の排除。むろん帝国内部の、とある勢力の意向を受けてのことだ。			ランバードの幻影							
この計画に、亡命者のランバードを抜擢したのは、ゼノスという将らしい。帝国軍のなかでも、ひときわ非道な所業で知られる男だ。			この計画に、亡命者のランバードを抜擢したのは、ゼノスという将らしい。帝国軍のなかでも、ひときわ非道な所業で知られる男だ。			ランバードの幻影							
この計画に、亡命者のランバードを抜擢したのは、新皇帝の後継者と目される、皇太子ゼノスらしい。帝国軍のなかでも、ひときわ非道な所業で知られる男だな。			この計画に、亡命者のランバードを抜擢したのは、新皇帝の後継者と目される、皇太子ゼノスらしい。帝国軍のなかでも、ひときわ非道な所業で知られる男だな。			ランバードの幻影							
この計画に、亡命者のランバードを抜擢したのは、お前が討った、皇太子ゼノスだったらしい。帝国軍でも、ひときわ非道な所業で知られる男だけあるな……。			この計画に、亡命者のランバードを抜擢したのは、お前が討った、皇太子ゼノスだったらしい。帝国軍でも、ひときわ非道な所業で知られる男だけあるな……。			ランバードの幻影							
ランバードは古代の秘儀に通じていたし、正義感も希薄な男だった。ゼノスにうまく取り入って、首領の座におさまったのだろう。			ランバードは古代の秘儀に通じていたし、正義感も希薄な男だった。ゼノスにうまく取り入って、首領の座におさまったのだろう。			ランバードの幻影							
…………さて、問題はここからだ！基地で眼にした文書には、次なる襲撃計画の目標が記されていた。			…………さて、問題はここからだ！基地で眼にした文書には、次なる襲撃計画の目標が記されていた。			ランバードの幻影							
それは……ガーロンド・アイアンワークス！そう、天才機工師シドが創立した、技術者集団だ！			それは……ガーロンド・アイアンワークス！そう、天才機工師シドが創立した、技術者集団だ！			ランバードの幻影							
ガーロンド社は、帝国亡命者の受け入れ先として、もともと目の敵にされている。おまけに、アラミゴ解放軍への技術供与なんて動きもあってな……。			ガーロンド社は、帝国亡命者の受け入れ先として、もともと目の敵にされている。おまけに、アラミゴ解放軍への技術供与なんて動きもあってな……。			ランバードの幻影							
暗殺団にとっちゃ、格好の襲撃目標だろう。しかも連中は、確実で効果的な手段を考えた。			暗殺団にとっちゃ、格好の襲撃目標だろう。しかも連中は、確実で効果的な手段を考えた。			ランバードの幻影							
……それが、ガーロンド社を支える幹部たちの暗殺計画だ。文書には、実務面のトップであるジェシー会長代行を筆頭とする、暗殺目標が記されていたんだ！			……それが、ガーロンド社を支える幹部たちの暗殺計画だ。文書には、実務面のトップであるジェシー会長代行を筆頭とする、暗殺目標が記されていたんだ！			ランバードの幻影							
まとめ役のジェシーを失えば、組織運営は立ちゆかなくなり、シドがぶち上げた天才的アイディアも実現できなくなる……。エオルゼアの未来にも、暗雲が漂うことになるぞ。			まとめ役のジェシーを失えば、組織運営は立ちゆかなくなり、シドがぶち上げた天才的アイディアも実現できなくなる……。エオルゼアの未来にも、暗雲が漂うことになるぞ。			ランバードの幻影							
