シャバーブチェのラホージャは不安そうだ。			シャバーブチェのラホージャは不安そうだ。			遭遇！ 敵は盗賊団！？							
では、自分たちについてきてください！もし盗賊が現れたら守ってくださいね……？			では、自分たちについてきてください！もし盗賊が現れたら守ってくださいね……？			調査！ 盗賊団を探せ							
(-揚々とした行商人-)ああ、ひとり引き離したからそいつは頼む。			(-揚々とした行商人-)ああ、ひとり引き離したからそいつは頼む。			調査！ 盗賊団を探せ							
(-揚々とした行商人-)……なに？僕に頼りっぱなしだからお前たちはダメなんだ！たまには自分たちだけでやってみせろ！			(-揚々とした行商人-)……なに？僕に頼りっぱなしだからお前たちはダメなんだ！たまには自分たちだけでやってみせろ！			調査！ 盗賊団を探せ							
ウチはこの人たちからお話を聞いておくから、盗賊がでる場所の確認をお願い！気をつけてねー！			ウチはこの人たちからお話を聞いておくから、盗賊がでる場所の確認をお願い！気をつけてねー！			調査！ 盗賊団を探せ							
もしも盗賊が本当に現れたら、ためらわずに打ちのめしてくれ。解放者殿にとっては造作もないだろうし、そのあとの捕縛は我々が承ろう。			もしも盗賊が本当に現れたら、ためらわずに打ちのめしてくれ。解放者殿にとっては造作もないだろうし、そのあとの捕縛は我々が承ろう。			調査！ 盗賊団を探せ							
(-揚々とした行商人-)僕たちは幸運なことに、盗賊の被害に遭ったことはありません。いやはや、護衛費をケチったキャラバンなんかが、狙われているんじゃないですか？			(-揚々とした行商人-)僕たちは幸運なことに、盗賊の被害に遭ったことはありません。いやはや、護衛費をケチったキャラバンなんかが、狙われているんじゃないですか？			調査！ 盗賊団を探せ							
ひいっ！？あ、すみませんびっくりして……。護衛もなしに出歩くのは怖いですね……。			ひいっ！？あ、すみませんびっくりして……。護衛もなしに出歩くのは怖いですね……。			調査！ 盗賊団を探せ							
ああ、ちゃんと来てくれたんですね……！この先が、よく盗賊が現れると噂されている場所ですよ。			ああ、ちゃんと来てくれたんですね……！この先が、よく盗賊が現れると噂されている場所ですよ。			調査！ 盗賊団を探せ							
もしご関心があるなら、先に行って見てきたらどうでしょう？自分たちは怖いので、ここで待たせてもらいますが……！			もしご関心があるなら、先に行って見てきたらどうでしょう？自分たちは怖いので、ここで待たせてもらいますが……！			調査！ 盗賊団を探せ							
自分たちはここで待ってます……！盗賊が出てくるかどうか、どうぞ先に行って確認してみてください……！			自分たちはここで待ってます……！盗賊が出てくるかどうか、どうぞ先に行って確認してみてください……！			調査！ 盗賊団を探せ							
もう動けない…			もう動けない…			調査！ 盗賊団を探せ							
参りました…			参りました…			調査！ 盗賊団を探せ							
許してぇ…			許してぇ…			調査！ 盗賊団を探せ							
えっ、戻ってき、た……？			えっ、戻ってき、た……？			調査！ 盗賊団を探せ							
えっ、あっ、盗賊倒せちゃったんですか……！？ひえぇ……！			えっ、あっ、盗賊倒せちゃったんですか……！？ひえぇ……！			調査！ 盗賊団を探せ							
あっ、あの、じゃあ……！ポルタ・プレトリアに残ってる、私たちのリーダーに連絡していいですか？			あっ、あの、じゃあ……！ポルタ・プレトリアに残ってる、私たちのリーダーに連絡していいですか？			調査！ 盗賊団を探せ							
そばにはお連れさんや将校さんもいたはずですし、いったん……！			そばにはお連れさんや将校さんもいたはずですし、いったん……！			調査！ 盗賊団を探せ							
……実は…………護衛さんが勝っ……。…………は、はいっ！			……実は…………護衛さんが勝っ……。…………は、はいっ！			調査！ 盗賊団を探せ							
皆さんこっちに来てくれるそうです……！			皆さんこっちに来てくれるそうです……！			調査！ 盗賊団を探せ							
行商人さんに連絡が入ったって、いったい何があったのー？			行商人さんに連絡が入ったって、いったい何があったのー？			調査！ 盗賊団を探せ							
盗賊らしき者たちを返り討ちにしただって！？ありがとう、自分は現場に向かうよ！			盗賊らしき者たちを返り討ちにしただって！？ありがとう、自分は現場に向かうよ！			調査！ 盗賊団を探せ							
(-揚々とした行商人-)いやはや、お強い方なんですねぇ！まさかご案内した先で、本当に盗賊が現れるとは！お怪我がなくてなにより、ですよ！			(-揚々とした行商人-)いやはや、お強い方なんですねぇ！まさかご案内した先で、本当に盗賊が現れるとは！お怪我がなくてなにより、ですよ！			調査！ 盗賊団を探せ							
あなたたちも、危ないところを案内してくれてありがと！ほんとにケガとかしてない？			あなたたちも、危ないところを案内してくれてありがと！ほんとにケガとかしてない？			調査！ 盗賊団を探せ							
すごく怯えてるように見えるけど……。もしかして無理して、頑張ってくれたんじゃない？			すごく怯えてるように見えるけど……。もしかして無理して、頑張ってくれたんじゃない？			調査！ 盗賊団を探せ							
あっ、えっと、大丈夫です……！			あっ、えっと、大丈夫です……！			調査！ 盗賊団を探せ							
(-揚々とした行商人-)じゃあ自分たちは失礼しますよ！さっさとアラミガン・クォーターまで荷物を運ばないと！			(-揚々とした行商人-)じゃあ自分たちは失礼しますよ！さっさとアラミガン・クォーターまで荷物を運ばないと！			調査！ 盗賊団を探せ							
(-揚々とした行商人-)おかげで盗賊もしばらくは現れないだろうし？おふたりも、危険に首を突っ込むのは、そこそこにした方がいいですよ、では！			(-揚々とした行商人-)おかげで盗賊もしばらくは現れないだろうし？おふたりも、危険に首を突っ込むのは、そこそこにした方がいいですよ、では！			調査！ 盗賊団を探せ							
じゃあウチらも、とりあえず「ポルタ・プレトリア」に戻ろっか！			じゃあウチらも、とりあえず「ポルタ・プレトリア」に戻ろっか！			調査！ 盗賊団を探せ							
手伝ってくれたり、でも急いで行っちゃったり……ちょっと不思議だけど、親切な商人さんたちだったね！			手伝ってくれたり、でも急いで行っちゃったり……ちょっと不思議だけど、親切な商人さんたちだったね！			調査！ 盗賊団を探せ							
Forenameちゃんが無事でなによりだし、盗賊は、将校さんが捕まえてくれてるだろうし……。			Forenameちゃんが無事でなによりだし、盗賊は、将校さんが捕まえてくれてるだろうし……。			調査！ 盗賊団を探せ							
そういえば、捕まえた盗賊ってどうなるんだろうね？頭目への手がかりが聞けたりしたらいいんだけど……。			そういえば、捕まえた盗賊ってどうなるんだろうね？頭目への手がかりが聞けたりしたらいいんだけど……。			調査！ 盗賊団を探せ							
ポルタ・プレトリアのセートジャは、さらなる盗賊団の情報を得たいようだ。			ポルタ・プレトリアのセートジャは、さらなる盗賊団の情報を得たいようだ。			追跡！ 盗賊を暴け							
セートジャと話し、盗賊について協力してほしいことがあると聞いた。詳細を聞くため、「ポルタ・プレトリアの将校」のもとへと赴こう。			セートジャと話し、盗賊について協力してほしいことがあると聞いた。詳細を聞くため、「ポルタ・プレトリアの将校」のもとへと赴こう。			追跡！ 盗賊を暴け							
ポルタ・プレトリアの将校から、盗賊のアジトを探るべく、泳がせ捜査に協力してほしいと依頼された。ギラバニア山岳地帯のアラギリ付近にいる「セートジャ」と話そう。			ポルタ・プレトリアの将校から、盗賊のアジトを探るべく、泳がせ捜査に協力してほしいと依頼された。ギラバニア山岳地帯のアラギリ付近にいる「セートジャ」と話そう。			追跡！ 盗賊を暴け							
セートジャと話した。アラギリからどこかへと向かう気弱な盗賊を、気づかれないように尾行しよう。※尾行状態が解除された場合、再度「セートジャ」に話しかけることで尾行に再挑戦できます。			セートジャと話した。アラギリからどこかへと向かう気弱な盗賊を、気づかれないように尾行しよう。※尾行状態が解除された場合、再度「セートジャ」に話しかけることで尾行に再挑戦できます。			追跡！ 盗賊を暴け							
盗賊団員を尾行した結果、盗賊団の頭目シャルトフィットを発見したが逃げられてしまった。ひとまず撤退して、アラギリの「解放軍の闘士」に報告しよう。			盗賊団員を尾行した結果、盗賊団の頭目シャルトフィットを発見したが逃げられてしまった。ひとまず撤退して、アラギリの「解放軍の闘士」に報告しよう。			追跡！ 盗賊を暴け							
解放軍の闘士と話し、情報を共有した。アラギリにいる「セートジャ」と改めて話そう。			解放軍の闘士と話し、情報を共有した。アラギリにいる「セートジャ」と改めて話そう。			追跡！ 盗賊を暴け							
セートジャと話し、横暴なシャルトフィットが率いている盗賊団について考えた。しぶしぶ従っている団員たちなら、もしかしたら話ができるかもしれない……。※いずれかの遠隔物理DPSジョブのレベルが96以上になると、アラギリのセートジャから次の遠隔物理DPSロールクエストを受注することができます。			セートジャと話し、横暴なシャルトフィットが率いている盗賊団について考えた。しぶしぶ従っている団員たちなら、もしかしたら話ができるかもしれない……。※いずれかの遠隔物理DPSジョブのレベルが96以上になると、アラギリのセートジャから次の遠隔物理DPSロールクエストを受注することができます。			追跡！ 盗賊を暴け							
ポルタ・プレトリアの将校と話す			ポルタ・プレトリアの将校と話す			追跡！ 盗賊を暴け							
アラギリ付近のセートジャと話す			アラギリ付近のセートジャと話す			追跡！ 盗賊を暴け							
セートジャと再度話し、気弱な盗賊を尾行			セートジャと再度話し、気弱な盗賊を尾行			追跡！ 盗賊を暴け							
解放軍の闘士と話す			解放軍の闘士と話す			追跡！ 盗賊を暴け							
セートジャと話す			セートジャと話す			追跡！ 盗賊を暴け							
Forenameちゃん、聞いて聞いて！あなたが懲らしめた盗賊のことについてなんだけど……			Forenameちゃん、聞いて聞いて！あなたが懲らしめた盗賊のことについてなんだけど……			追跡！ 盗賊を暴け							
彼らを捕まえた将校さんに聞いたら、どうやら、ウチらに協力してほしいことがあるみたいなの！			彼らを捕まえた将校さんに聞いたら、どうやら、ウチらに協力してほしいことがあるみたいなの！			追跡！ 盗賊を暴け							
盗賊たちのこととか、祭器のこととか、何かわかるかもしれないから、この先の天幕まで一緒に行こ？			盗賊たちのこととか、祭器のこととか、何かわかるかもしれないから、この先の天幕まで一緒に行こ？			追跡！ 盗賊を暴け							
ああ、君たちか。呼び出しに応じてくれて助かるよ。			ああ、君たちか。呼び出しに応じてくれて助かるよ。			追跡！ 盗賊を暴け							
先日捕まえた盗賊についてなんだが、端的に言うと、君たちに尾行を頼みたいんだ。			先日捕まえた盗賊についてなんだが、端的に言うと、君たちに尾行を頼みたいんだ。			追跡！ 盗賊を暴け							
というのも、聴取を行った結果、彼らが頭目であるシャルトフィットに心酔していることが、明らかになってね……。			というのも、聴取を行った結果、彼らが頭目であるシャルトフィットに心酔していることが、明らかになってね……。			追跡！ 盗賊を暴け							
つまり、あえて釈放すれば、頭目の下に戻る可能性が高いということ。これを追跡すれば……盗賊団のアジトがわかるだろう。			つまり、あえて釈放すれば、頭目の下に戻る可能性が高いということ。これを追跡すれば……盗賊団のアジトがわかるだろう。			追跡！ 盗賊を暴け							
だが、解放軍が動けば、やつらも警戒するはず……。そこで君たちに追跡を任せたいんだ。			だが、解放軍が動けば、やつらも警戒するはず……。そこで君たちに追跡を任せたいんだ。			追跡！ 盗賊を暴け							
任せて！Forenameちゃんがいるなら安心だし、あの盗賊たちがどういう人たちなのか知りたい！			任せて！Forenameちゃんがいるなら安心だし、あの盗賊たちがどういう人たちなのか知りたい！			追跡！ 盗賊を暴け							
では、釈放の手続きを行うと伝えつつ、捕縛していた盗賊のひとりを、ここまで連れてこよう。君たちは少し離れて見ていてくれ。			では、釈放の手続きを行うと伝えつつ、捕縛していた盗賊のひとりを、ここまで連れてこよう。君たちは少し離れて見ていてくれ。			追跡！ 盗賊を暴け							
いや～、ご迷惑をおかけして……。			いや～、ご迷惑をおかけして……。			追跡！ 盗賊を暴け							
はぁ……本当に反省しているんだろうな？			はぁ……本当に反省しているんだろうな？			追跡！ 盗賊を暴け							
まぁ、襲いかかった護衛に返り討ちにされたということだから、実害も小規模、ほかの盗賊行為への関与の証拠もない。口惜しいが、君を取り締まれる事項が少ないということだ。			まぁ、襲いかかった護衛に返り討ちにされたということだから、実害も小規模、ほかの盗賊行為への関与の証拠もない。口惜しいが、君を取り締まれる事項が少ないということだ。			追跡！ 盗賊を暴け							
ところで君は、これから身を寄せる場所はあるのか？			ところで君は、これから身を寄せる場所はあるのか？			追跡！ 盗賊を暴け							
温情な措置に感謝してますよ～。アラギリに戻って、キャラバンの下働きでも、させてもらいます～。			温情な措置に感謝してますよ～。アラギリに戻って、キャラバンの下働きでも、させてもらいます～。			追跡！ 盗賊を暴け							
では、アラギリまで護送したのち、釈放とする。以後心を入れ替えるように！			では、アラギリまで護送したのち、釈放とする。以後心を入れ替えるように！			追跡！ 盗賊を暴け							
はぁ……いかにも反省してない態度だったから、おそらく彼は盗賊団に戻るだろうね。では尾行をお願いするよ。			はぁ……いかにも反省してない態度だったから、おそらく彼は盗賊団に戻るだろうね。では尾行をお願いするよ。			追跡！ 盗賊を暴け							
目的は彼らのアジトを探ること。だから深追いはせず、どうか安全第一で頼む。			目的は彼らのアジトを探ること。だから深追いはせず、どうか安全第一で頼む。			追跡！ 盗賊を暴け							
アラギリにいる解放軍の兵士たちにも連絡を入れておくので、切り上げたら伝えておくれ。			アラギリにいる解放軍の兵士たちにも連絡を入れておくので、切り上げたら伝えておくれ。			追跡！ 盗賊を暴け							
じゃあウチらは「アラギリ」から、あの盗賊の人を追いかけよ！			じゃあウチらは「アラギリ」から、あの盗賊の人を追いかけよ！			追跡！ 盗賊を暴け							
Forenameちゃん、見える？あっちにいるのが、さっき釈放された盗賊だよ。			Forenameちゃん、見える？あっちにいるのが、さっき釈放された盗賊だよ。			追跡！ 盗賊を暴け							
アラギリで下働きするって言ってたのに、すぐに町を出て……やっぱり怪しい！			アラギリで下働きするって言ってたのに、すぐに町を出て……やっぱり怪しい！			追跡！ 盗賊を暴け							
あの「気弱な盗賊」に気づかれないように、気をつけながら尾行しよ！			あの「気弱な盗賊」に気づかれないように、気をつけながら尾行しよ！			追跡！ 盗賊を暴け							
気弱な盗賊の「尾行」に再挑戦しますか？			気弱な盗賊の「尾行」に再挑戦しますか？			追跡！ 盗賊を暴け							
あの人、まだあそこでウロウロしてるみたい！今のうちに追いかけよ！			あの人、まだあそこでウロウロしてるみたい！今のうちに追いかけよ！			追跡！ 盗賊を暴け							
ね、あれってこの前会った商人さんたちだよね？盗賊が現れる場所に案内してくれた……。			ね、あれってこの前会った商人さんたちだよね？盗賊が現れる場所に案内してくれた……。			追跡！ 盗賊を暴け							
(-揚々とした行商人-)思ったより早く釈放されたじゃないか。解放軍に尾行されたり、してないだろうな？			(-揚々とした行商人-)思ったより早く釈放されたじゃないか。解放軍に尾行されたり、してないだろうな？			追跡！ 盗賊を暴け							
はい！解放軍の闘士たちは自分をアラギリへ送ったあと、持ち場へと帰っていきました！			はい！解放軍の闘士たちは自分をアラギリへ送ったあと、持ち場へと帰っていきました！			追跡！ 盗賊を暴け							
(-揚々とした行商人-)ならば、仮初の姿でいる必要もないか……。少し待っていろ。			(-揚々とした行商人-)ならば、仮初の姿でいる必要もないか……。少し待っていろ。			追跡！ 盗賊を暴け							
シャルトフィットさま！！どうして自分たちを、あの冒険者と戦わせたのです！やっぱり「護りの力」がなければ無理ですよう……！			シャルトフィットさま！！どうして自分たちを、あの冒険者と戦わせたのです！やっぱり「護りの力」がなければ無理ですよう……！			追跡！ 盗賊を暴け							
はぁ……そうだな……。			はぁ……そうだな……。			追跡！ 盗賊を暴け							
護りの力を得たことで、戦えるようにはなったが……僕らは元は虐げられていた弱者にすぎないからな。			護りの力を得たことで、戦えるようにはなったが……僕らは元は虐げられていた弱者にすぎないからな。			追跡！ 盗賊を暴け							
祭器を取り返しに来たマムージャ娘が、あんなに強い冒険者を雇っているとは想定外だった。まったく、憎たらしい……！			祭器を取り返しに来たマムージャ娘が、あんなに強い冒険者を雇っているとは想定外だった。まったく、憎たらしい……！			追跡！ 盗賊を暴け							
(-オドオドしている商人-)でも、マムージャ族の女の子はいい子だったな。私たちのことも心配してくれたし……。			(-オドオドしている商人-)でも、マムージャ族の女の子はいい子だったな。私たちのことも心配してくれたし……。			追跡！ 盗賊を暴け							
聞こえたぞ。作戦に失敗しておいて、敵になびくとは……			聞こえたぞ。作戦に失敗しておいて、敵になびくとは……			追跡！ 盗賊を暴け							
お前たち、粛清されたいのか！？			お前たち、粛清されたいのか！？			追跡！ 盗賊を暴け							
(-オドオドしている商人-)ととととと、とんでもないです！！今の私たちがあるのは、シャルトフィット様のおかげですから……！			(-オドオドしている商人-)ととととと、とんでもないです！！今の私たちがあるのは、シャルトフィット様のおかげですから……！			追跡！ 盗賊を暴け							
まさかあの商人さんたちが盗賊だったの！？それにしても粛清だなんて、ひどい……。			まさかあの商人さんたちが盗賊だったの！？それにしても粛清だなんて、ひどい……。			追跡！ 盗賊を暴け							
(-マムージャ族の傭兵-)お前たち、そこで何してる。			(-マムージャ族の傭兵-)お前たち、そこで何してる。			追跡！ 盗賊を暴け							
なっ……！やっぱり尾行されてたんじゃないか、マヌケーー！			なっ……！やっぱり尾行されてたんじゃないか、マヌケーー！			追跡！ 盗賊を暴け							
おい、カクージャ！そいつらは、お前がなんとかしろ！			おい、カクージャ！そいつらは、お前がなんとかしろ！			追跡！ 盗賊を暴け							
ね、Forenameちゃん。ここはウチに任せて。			ね、Forenameちゃん。ここはウチに任せて。			追跡！ 盗賊を暴け							
おじさんもマムージャ族なら、トラル大陸からきたんだよね？きっと傭兵として雇われてるんだろーけど……			おじさんもマムージャ族なら、トラル大陸からきたんだよね？きっと傭兵として雇われてるんだろーけど……			追跡！ 盗賊を暴け							
あの人たちは、ウチらの村から祭器を盗んだの！危険な森で生き抜くために欠かせない、大事な品を！			あの人たちは、ウチらの村から祭器を盗んだの！危険な森で生き抜くために欠かせない、大事な品を！			追跡！ 盗賊を暴け							
だからね、ウチは祭器を取り戻さないと村に帰れない。お願いおじさん、ジャマしないで！			だからね、ウチは祭器を取り戻さないと村に帰れない。お願いおじさん、ジャマしないで！			追跡！ 盗賊を暴け							
諦めな……。できれば同胞に手出しはしたくない。生きて故郷に帰れなければ、なんの意味もないだろう？			諦めな……。できれば同胞に手出しはしたくない。生きて故郷に帰れなければ、なんの意味もないだろう？			追跡！ 盗賊を暴け							
逃げる時間は稼げたか……それじゃあな、お嬢ちゃん。			逃げる時間は稼げたか……それじゃあな、お嬢ちゃん。			追跡！ 盗賊を暴け							
今から追っても、シャルトフィットたちには追いつけないよね。説得できなかったし、逃がしちゃって申し訳ないけど、ひとまずアラギリの解放軍の闘士さんに報告しよっか。			今から追っても、シャルトフィットたちには追いつけないよね。説得できなかったし、逃がしちゃって申し訳ないけど、ひとまずアラギリの解放軍の闘士さんに報告しよっか。			追跡！ 盗賊を暴け							
多分この人でいいと思うー！			多分この人でいいと思うー！			追跡！ 盗賊を暴け							
おふたりが、尾行調査に協力してくれた方ですね。ご協力に感謝します。			おふたりが、尾行調査に協力してくれた方ですね。ご協力に感謝します。			追跡！ 盗賊を暴け							
こちらのお嬢さんから報告を受けましたが、敵方のマムージャ族と、あわや交戦という状況になったとか。			こちらのお嬢さんから報告を受けましたが、敵方のマムージャ族と、あわや交戦という状況になったとか。			追跡！ 盗賊を暴け							
ご無事でなによりでした。捜査協力とはいえ、危険なところへ送り込んで申し訳ない。			ご無事でなによりでした。捜査協力とはいえ、危険なところへ送り込んで申し訳ない。			追跡！ 盗賊を暴け							
ウチがついていきたいって言ったんだから、気にしないで！これからもウチらは盗賊団を追うから、協力しあお！			ウチがついていきたいって言ったんだから、気にしないで！これからもウチらは盗賊団を追うから、協力しあお！			追跡！ 盗賊を暴け							
それに盗賊団って、普段は行商人のふりをしているような、狡い人たちだってわかったし！			それに盗賊団って、普段は行商人のふりをしているような、狡い人たちだってわかったし！			追跡！ 盗賊を暴け							
ええ、自分も近辺の闘士たちに情報を共有して、彼らのことは留意しておきます。おふたりもお気をつけて！			ええ、自分も近辺の闘士たちに情報を共有して、彼らのことは留意しておきます。おふたりもお気をつけて！			追跡！ 盗賊を暴け							
Forenameちゃん、改めて……。尾行調査の協力、お疲れさま！			Forenameちゃん、改めて……。尾行調査の協力、お疲れさま！			追跡！ 盗賊を暴け							
ウチらに声をかけてきた行商人さんたちが盗賊だったなんて……。村にきたときもみんなを騙してたし、シャルトフィットってそういう狡いことが得意なんだね。			ウチらに声をかけてきた行商人さんたちが盗賊だったなんて……。村にきたときもみんなを騙してたし、シャルトフィットってそういう狡いことが得意なんだね。			追跡！ 盗賊を暴け							
でも、あの部下の人たちの怯えっぷりは演技じゃなくて、本当に怖がっているように見えたの。			でも、あの部下の人たちの怯えっぷりは演技じゃなくて、本当に怖がっているように見えたの。			追跡！ 盗賊を暴け							
頭目のシャルトフィットは、部下の人たちに横柄な態度をとってたし、怯えるのも当然だよ！			頭目のシャルトフィットは、部下の人たちに横柄な態度をとってたし、怯えるのも当然だよ！			追跡！ 盗賊を暴け							
カクージャのおじさんも刃を向けてきたけど、最終的に見逃してくれたし……盗賊の人たちでも、話が通じそうな人がいると思うの！			カクージャのおじさんも刃を向けてきたけど、最終的に見逃してくれたし……盗賊の人たちでも、話が通じそうな人がいると思うの！			追跡！ 盗賊を暴け							
何と言う？			何と言う？			追跡！ 盗賊を暴け							
自分もそう思う			自分もそう思う			追跡！ 盗賊を暴け							
お人好しすぎでは？			お人好しすぎでは？			追跡！ 盗賊を暴け							
そうだよね！ウチ、戦ったりするのは得意じゃないかわりに、人のことをよく見るようにしてるんだ！			そうだよね！ウチ、戦ったりするのは得意じゃないかわりに、人のことをよく見るようにしてるんだ！			追跡！ 盗賊を暴け							
そうかな？ウチ、戦ったりするのは得意じゃないかわりに、人のことをよく見るようにしてるの。			そうかな？ウチ、戦ったりするのは得意じゃないかわりに、人のことをよく見るようにしてるの。			追跡！ 盗賊を暴け							
ウチって、ずっと森の奥で暮らしてたからさ、旅に出るまで、一族以外の人に会ったことほとんどなくて……。だから知らない人と話すの、最初は怖かったんだよね。			ウチって、ずっと森の奥で暮らしてたからさ、旅に出るまで、一族以外の人に会ったことほとんどなくて……。だから知らない人と話すの、最初は怖かったんだよね。			追跡！ 盗賊を暴け							
でも、ちゃんと知り合えば、いいところも見えてきて、大丈夫になるっていうか、育った環境や文化が違っても、わかりあえるって思ったの！			でも、ちゃんと知り合えば、いいところも見えてきて、大丈夫になるっていうか、育った環境や文化が違っても、わかりあえるって思ったの！			追跡！ 盗賊を暴け							
完璧な人なんていないから、悪いところは誰しもあるけど……いいところがない人だって絶対いない。案外みんな、普通の人だって！			完璧な人なんていないから、悪いところは誰しもあるけど……いいところがない人だって絶対いない。案外みんな、普通の人だって！			追跡！ 盗賊を暴け							
だからウチは、ちゃんと話して、相手のことを知って、できるだけ仲良くなりたいんだー。			だからウチは、ちゃんと話して、相手のことを知って、できるだけ仲良くなりたいんだー。			追跡！ 盗賊を暴け							
えへへ、ケンカになっちゃったら、絶対勝てないからさ！			えへへ、ケンカになっちゃったら、絶対勝てないからさ！			追跡！ 盗賊を暴け							
でもねー、シャルトフィットはどうかなぁ。ああいう最初から仲良くなる気のない、聞く耳を持たない人とは、どこかでぶつかり合うしかないかも。			でもねー、シャルトフィットはどうかなぁ。ああいう最初から仲良くなる気のない、聞く耳を持たない人とは、どこかでぶつかり合うしかないかも。			追跡！ 盗賊を暴け							
とはいえ、部下の人は仲良くなれそうな気がする！おしゃべりできる機会が持てないか作戦考えてみるから、ちょっと待っててー！			とはいえ、部下の人は仲良くなれそうな気がする！おしゃべりできる機会が持てないか作戦考えてみるから、ちょっと待っててー！			追跡！ 盗賊を暴け							
アラギリのセートジャは、盗賊たちとの対話を検討しているようだ。			アラギリのセートジャは、盗賊たちとの対話を検討しているようだ。			喋々！ 仲良し大作戦							
セートジャはシャルトフィットに怯えていた盗賊たちと話をすべく、情報を集めていた。盗賊たちが商人のふりをして立ち寄っているらしいアラガーナで、「オドオドしている商人」たちを探そう。			セートジャはシャルトフィットに怯えていた盗賊たちと話をすべく、情報を集めていた。盗賊たちが商人のふりをして立ち寄っているらしいアラガーナで、「オドオドしている商人」たちを探そう。			喋々！ 仲良し大作戦							
商人のふりをしていた盗賊たちと接触し、彼らを説得することに成功した。アラガーナの「セートジャ」と改めて話そう。			商人のふりをしていた盗賊たちと接触し、彼らを説得することに成功した。アラガーナの「セートジャ」と改めて話そう。			喋々！ 仲良し大作戦							
セートジャと話し、次はカクージャの説得を試みることにした。贈り物を準備するために、ラストフォレスト付近で「コーパル」を探そう。			セートジャと話し、次はカクージャの説得を試みることにした。贈り物を準備するために、ラストフォレスト付近で「コーパル」を探そう。			喋々！ 仲良し大作戦							
魔物に阻まれながらも、コーパルを入手した。アラガーナに戻り、「セートジャ」に渡そう。			魔物に阻まれながらも、コーパルを入手した。アラガーナに戻り、「セートジャ」に渡そう。			喋々！ 仲良し大作戦							
セートジャにコーパルを渡した。ラストロック付近にいると噂の「カクージャ」を探そう。			セートジャにコーパルを渡した。ラストロック付近にいると噂の「カクージャ」を探そう。			喋々！ 仲良し大作戦							
カクージャもまた、シャルトフィットに騙された被害者だった。心を入れ替え、まずは悪事へ加担していたことへのけじめをつけるのだという。アラギリに戻り、「セートジャ」と話そう。			カクージャもまた、シャルトフィットに騙された被害者だった。心を入れ替え、まずは悪事へ加担していたことへのけじめをつけるのだという。アラギリに戻り、「セートジャ」と話そう。			喋々！ 仲良し大作戦							
セートジャと話した。虐げられている人のためと言いながら、仲間を虐げている悪しきシャルトフィットを、引き続き追っていこう。※いずれかの遠隔物理DPSジョブのレベルが98以上になると、アラギリのセートジャから次の遠隔物理DPSロールクエストを受注することができます。			セートジャと話した。虐げられている人のためと言いながら、仲間を虐げている悪しきシャルトフィットを、引き続き追っていこう。※いずれかの遠隔物理DPSジョブのレベルが98以上になると、アラギリのセートジャから次の遠隔物理DPSロールクエストを受注することができます。			喋々！ 仲良し大作戦							
オドオドしている商人を探す			オドオドしている商人を探す			喋々！ 仲良し大作戦							
セートジャと話す			セートジャと話す			喋々！ 仲良し大作戦							
コーパルを外敵を駆除し入手			コーパルを外敵を駆除し入手			喋々！ 仲良し大作戦							
セートジャにコーパルを渡す			セートジャにコーパルを渡す			喋々！ 仲良し大作戦							
カクージャを探す			カクージャを探す			喋々！ 仲良し大作戦							
セートジャと話す			セートジャと話す			喋々！ 仲良し大作戦							
Forenameちゃーん！あのね、ウチやっぱりシャルトフィットの部下の人たちと、ちゃんとお話ししてみたい！			Forenameちゃーん！あのね、ウチやっぱりシャルトフィットの部下の人たちと、ちゃんとお話ししてみたい！			喋々！ 仲良し大作戦							
会って話して、悪いことから足を洗ってほしい！			会って話して、悪いことから足を洗ってほしい！			喋々！ 仲良し大作戦							
シャルトフィットはいつも怒ってばかりで、部下の人たちが怯えてたのが気になるし……			シャルトフィットはいつも怒ってばかりで、部下の人たちが怯えてたのが気になるし……			喋々！ 仲良し大作戦							
なにより、盗賊さんたちが改心してくれたら、祭器だって取り戻しやすくなって、ここアラミゴの混乱も収まるでしょ？			なにより、盗賊さんたちが改心してくれたら、祭器だって取り戻しやすくなって、ここアラミゴの混乱も収まるでしょ？			喋々！ 仲良し大作戦							
カクージャのおじさんや、ウチらに接触してきた商人さんなら、顔もわかるし見つけやすいからさ！			カクージャのおじさんや、ウチらに接触してきた商人さんなら、顔もわかるし見つけやすいからさ！			喋々！ 仲良し大作戦							
何と言う？			何と言う？			喋々！ 仲良し大作戦							
じゃあ探しにいく？			じゃあ探しにいく？			喋々！ 仲良し大作戦							
聞き込みするか……			聞き込みするか……			喋々！ 仲良し大作戦							
ふっふーん、それがもう根回ししてあるんだなー！いつも守ってもらってるし、人から話を聞くのはウチの得意分野だから、これくらいやらせて！			ふっふーん、それがもう根回ししてあるんだなー！いつも守ってもらってるし、人から話を聞くのはウチの得意分野だから、これくらいやらせて！			喋々！ 仲良し大作戦							
前に、協力しあって盗賊団を追いかけよって、アラギリの解放軍の闘士さんにお話ししたじゃない？			前に、協力しあって盗賊団を追いかけよって、アラギリの解放軍の闘士さんにお話ししたじゃない？			喋々！ 仲良し大作戦							
そしたらある闘士さんが、怪しい人の情報をくれたの！人相書きがシャルトフィットの部下の商人さんにそっくりでね、付近の町で、交易やキャラバンへの勧誘をしてるみたい。			そしたらある闘士さんが、怪しい人の情報をくれたの！人相書きがシャルトフィットの部下の商人さんにそっくりでね、付近の町で、交易やキャラバンへの勧誘をしてるみたい。			喋々！ 仲良し大作戦							
