弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			響きあうふたつの音色							
砦に保管されていた初代「強弓」ギルバートの弓、「アルテミスの弓」が持ち去られちまったンだ。			砦に保管されていた初代「強弓」ギルバートの弓、「アルテミスの弓」が持ち去られちまったンだ。			蘇る古の武器（アルテミスの弓）							
襲撃者は「ナタラン入植地」を拠点にする気球部隊だ。もし、連中から奪われた「アルテミスの弓」を取り戻すことができれば……あとはわかるな？			襲撃者は「ナタラン入植地」を拠点にする気球部隊だ。もし、連中から奪われた「アルテミスの弓」を取り戻すことができれば……あとはわかるな？			蘇る古の武器（アルテミスの弓）							
……ま、まさか……本当に「古の武器」を手に入れてくるとは……チッ、本当に働くことになるなンてツイてねぇな……。			……ま、まさか……本当に「古の武器」を手に入れてくるとは……チッ、本当に働くことになるなンてツイてねぇな……。			蘇る古の武器（アルテミスの弓）							
仕方ねぇ、手伝ってやるとすっか。だが、いかんせんテメェが持ってきた「古の武器」は状態が悪すぎる。			仕方ねぇ、手伝ってやるとすっか。だが、いかんせんテメェが持ってきた「古の武器」は状態が悪すぎる。			蘇る古の武器（アルテミスの弓）							
少しでも手を加えればブッ壊しかねねぇ。「原型」となる別の武器を叩き台に、「古の武器」を組み込んで復元するしかねぇな。			少しでも手を加えればブッ壊しかねねぇ。「原型」となる別の武器を叩き台に、「古の武器」を組み込んで復元するしかねぇな。			蘇る古の武器（アルテミスの弓）							
原型は……「ロングアーム・コンポジットボウ」がいいだろう。「天眼のマテリダ」を、ふたつ装着したもンを用意するンだ。			原型は……「ロングアーム・コンポジットボウ」がいいだろう。「天眼のマテリダ」を、ふたつ装着したもンを用意するンだ。			蘇る古の武器（アルテミスの弓）							
「古の武器」の原型にするにゃ、それくらいの業物じゃないとな。それらを全部持ってきたら、オレが「アルテミスの弓」を復元してやらぁな。			「古の武器」の原型にするにゃ、それくらいの業物じゃないとな。それらを全部持ってきたら、オレが「アルテミスの弓」を復元してやらぁな。			蘇る古の武器（アルテミスの弓）							
原型は……「ロングアーム・コンポジットボウ」がいいだろう。「天眼のマテリダ」を、ふたつ装着したもンを用意するンだ。			原型は……「ロングアーム・コンポジットボウ」がいいだろう。「天眼のマテリダ」を、ふたつ装着したもンを用意するンだ。			蘇る古の武器（アルテミスの弓）							
原型用の武器となりゃ、わざわざオレが作るまでもねぇ。テメェで用意するンだな。			原型用の武器となりゃ、わざわざオレが作るまでもねぇ。テメェで用意するンだな。			蘇る古の武器（アルテミスの弓）							
原型用の武器に問題はねぇようだな。よし、「古の武器」を組み込むために、ちょいといじってやるか……。			原型用の武器に問題はねぇようだな。よし、「古の武器」を組み込むために、ちょいといじってやるか……。			蘇る古の武器（アルテミスの弓）							
チッ、こいつは思ったよりやっかいだぞ。テメェが手に入れてきた「古の武器」は、オレの想像以上に状態が悪かったンだ……。			チッ、こいつは思ったよりやっかいだぞ。テメェが手に入れてきた「古の武器」は、オレの想像以上に状態が悪かったンだ……。			蘇る古の武器（アルテミスの弓）							
だからよ、ガッチガチに補強したンだが……おかげで普通の砥石じゃ調整できなくなっちまった。			だからよ、ガッチガチに補強したンだが……おかげで普通の砥石じゃ調整できなくなっちまった。			蘇る古の武器（アルテミスの弓）							
そこで役に立つのが、鋼玉を溶かして粉砕した粒「アルミナ研粒」だ。問題は、入手するのが難しいってことなンだが……。			そこで役に立つのが、鋼玉を溶かして粉砕した粒「アルミナ研粒」だ。問題は、入手するのが難しいってことなンだが……。			蘇る古の武器（アルテミスの弓）							
ところで知ってるか？一部の魔物は、丸呑みした獲物を胃ですりつぶすため、鉱石をいっしょに飲み込むンだそうだ。			ところで知ってるか？一部の魔物は、丸呑みした獲物を胃ですりつぶすため、鉱石をいっしょに飲み込むンだそうだ。			蘇る古の武器（アルテミスの弓）							
それが高温のブレスを吐く魔物……例えばクルザス中央高地を騒がせる魔物、ドルムキマイラなら……あとはわかるな？			それが高温のブレスを吐く魔物……例えばクルザス中央高地を騒がせる魔物、ドルムキマイラなら……あとはわかるな？			蘇る古の武器（アルテミスの弓）							
ヤツを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			ヤツを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			蘇る古の武器（アルテミスの弓）							
クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			蘇る古の武器（アルテミスの弓）							
「吟遊詩人」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			「吟遊詩人」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			蘇る古の武器（アルテミスの弓）							
はやいとこ、ヤカンを完成させて、しこたまエールを飲……な、なンだ、テメェは！			はやいとこ、ヤカンを完成させて、しこたまエールを飲……な、なンだ、テメェは！			蘇る古の武器（アルテミスの弓）							
もう、何をすべきか忘れちまったンか？いいか、もう一度だけ説明してやる。			もう、何をすべきか忘れちまったンか？いいか、もう一度だけ説明してやる。			蘇る古の武器（アルテミスの弓）							
ドルムキマイラを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			ドルムキマイラを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			蘇る古の武器（アルテミスの弓）							
クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			蘇る古の武器（アルテミスの弓）							
「吟遊詩人」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			「吟遊詩人」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			蘇る古の武器（アルテミスの弓）							
……チッ、まぁ～だ生きていやがったンか……。ドルムキマイラも案外ふがいねぇ……いや、なンでもねぇよ。こっちの話だ。			……チッ、まぁ～だ生きていやがったンか……。ドルムキマイラも案外ふがいねぇ……いや、なンでもねぇよ。こっちの話だ。			蘇る古の武器（アルテミスの弓）							
ともかく「アルミナ研粒」、確かに受け取ったぞ。ちょいと待ってろ、復元作業を進めるからよ……。			ともかく「アルミナ研粒」、確かに受け取ったぞ。ちょいと待ってろ、復元作業を進めるからよ……。			蘇る古の武器（アルテミスの弓）							
ふぅ……。細部に手を入れたからそれなりの見た目には、なってきたぞ。			ふぅ……。細部に手を入れたからそれなりの見た目には、なってきたぞ。			蘇る古の武器（アルテミスの弓）							
だが、何かが足りねぇ……。今度ばかりは、さすがのオレにも何が足りねぇのかがわからン。			だが、何かが足りねぇ……。今度ばかりは、さすがのオレにも何が足りねぇのかがわからン。			蘇る古の武器（アルテミスの弓）							
もっと、この「古の武器」に関する情報があれば……そう、情報が足りねぇンだ！			もっと、この「古の武器」に関する情報があれば……そう、情報が足りねぇンだ！			蘇る古の武器（アルテミスの弓）							
過去に「古の武器」を使っていた英雄たちについて、ヤツらの活躍を描いた逸話や伝承、詩歌を集めてこい。その中に、何かヒントになることが書かれているかもしれン！			過去に「古の武器」を使っていた英雄たちについて、ヤツらの活躍を描いた逸話や伝承、詩歌を集めてこい。その中に、何かヒントになることが書かれているかもしれン！			蘇る古の武器（アルテミスの弓）							
誰に聞けばいいのか、だと？古い写本でも持ってねぇか、ロウェナにでも聞いてみるンだな。あのアバズレは、古い品物にめっぽう詳しいからよ。			誰に聞けばいいのか、だと？古い写本でも持ってねぇか、ロウェナにでも聞いてみるンだな。あのアバズレは、古い品物にめっぽう詳しいからよ。			蘇る古の武器（アルテミスの弓）							
ん、調子はどう？ゲロルトには、ウンザリさせられているって表情ね。ところで、あたしに御用？			ん、調子はどう？ゲロルトには、ウンザリさせられているって表情ね。ところで、あたしに御用？			蘇る古の武器（アルテミスの弓）							
……「古の武器」の復元のために、英雄たちについての逸話を記した写本を……ね。			……「古の武器」の復元のために、英雄たちについての逸話を記した写本を……ね。			蘇る古の武器（アルテミスの弓）							
確かに、あたしのツテを使えば、そうした古い写本や書物を手に入れることは、さほど難しくはないはず。			確かに、あたしのツテを使えば、そうした古い写本や書物を手に入れることは、さほど難しくはないはず。			蘇る古の武器（アルテミスの弓）							
でも、あたしは商人なの。タダで取り寄せるなんて願い下げ。ここは冒険者と商人らしく、取引といきましょう。			でも、あたしは商人なの。タダで取り寄せるなんて願い下げ。ここは冒険者と商人らしく、取引といきましょう。			蘇る古の武器（アルテミスの弓）							
あたしは「強弓のギルバート」を題材にした写本を探す。あんたは、あたしが欲しいものを手に入れる。			あたしは「強弓のギルバート」を題材にした写本を探す。あんたは、あたしが欲しいものを手に入れる。			蘇る古の武器（アルテミスの弓）							
つまり「アムダプールの石板」よ。黒衣森南部森林の「古城アムダプール」っていう第五星暦時代の遺跡を踏破すれば見つかるはずよ。			つまり「アムダプールの石板」よ。黒衣森南部森林の「古城アムダプール」っていう第五星暦時代の遺跡を踏破すれば見つかるはずよ。			蘇る古の武器（アルテミスの弓）							
さぁ、公正な取引を成立させるためにも、お互い必要なものを手に入れてこようじゃないか。			さぁ、公正な取引を成立させるためにも、お互い必要なものを手に入れてこようじゃないか。			蘇る古の武器（アルテミスの弓）							
確かに、集めてくれたようだね。こっちも約束を守るとしよう。さぁ、交換だよ。			確かに、集めてくれたようだね。こっちも約束を守るとしよう。さぁ、交換だよ。			蘇る古の武器（アルテミスの弓）							
チッ、もう戻ったのか……おぅおぅ、ごくろうさンでしたっと。			チッ、もう戻ったのか……おぅおぅ、ごくろうさンでしたっと。			蘇る古の武器（アルテミスの弓）							
確かに「強弓のギルバート」について記された写本みてぇだな。しっかし、読みにくい代物だなぁ、オイ。			確かに「強弓のギルバート」について記された写本みてぇだな。しっかし、読みにくい代物だなぁ、オイ。			蘇る古の武器（アルテミスの弓）							
そうだ。オレが休ン……じゃねぇ、写本を読み込ンでる間に、テメェは、この「未完のアルテミスの弓」を試してこい！			そうだ。オレが休ン……じゃねぇ、写本を読み込ンでる間に、テメェは、この「未完のアルテミスの弓」を試してこい！			蘇る古の武器（アルテミスの弓）							
カタチだけは、それなりに仕上がってるから、そこそこ使える武器にはなってるハズだ。			カタチだけは、それなりに仕上がってるから、そこそこ使える武器にはなってるハズだ。			蘇る古の武器（アルテミスの弓）							
吟遊詩人ならではの視点ってやつで、この武器に何が足りてねぇのかを調べてくれ。			吟遊詩人ならではの視点ってやつで、この武器に何が足りてねぇのかを調べてくれ。			蘇る古の武器（アルテミスの弓）							
写本から得られる知識と、テメェが体感して得た感覚。これを合わせることで、答えを探すンだ。			写本から得られる知識と、テメェが体感して得た感覚。これを合わせることで、答えを探すンだ。			蘇る古の武器（アルテミスの弓）							
よし、かつての「ギルバート」の様に、「未完のアルテミスの弓」を装備して、強敵と戦ってこい。			よし、かつての「ギルバート」の様に、「未完のアルテミスの弓」を装備して、強敵と戦ってこい。			蘇る古の武器（アルテミスの弓）							
……そうだな、クルザス中央高地の「ナタラン入植地」にいるナタラン・ボールドウィング、ナタラン・フォグコーラー、ナタラン・ウィンドタロンを各8体なで斬りにして来るンだ！			……そうだな、クルザス中央高地の「ナタラン入植地」にいるナタラン・ボールドウィング、ナタラン・フォグコーラー、ナタラン・ウィンドタロンを各8体なで斬りにして来るンだ！			蘇る古の武器（アルテミスの弓）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（アルテミスの弓）							
よし、かつての「ギルバート」の様に、「未完のアルテミスの弓」を装備して、強敵と戦ってこい。			よし、かつての「ギルバート」の様に、「未完のアルテミスの弓」を装備して、強敵と戦ってこい。			蘇る古の武器（アルテミスの弓）							
……そうだな、クルザス中央高地の「ナタラン入植地」にいるナタラン・ボールドウィング、ナタラン・フォグコーラー、ナタラン・ウィンドタロンを各8体なで斬りにして来るンだ！			……そうだな、クルザス中央高地の「ナタラン入植地」にいるナタラン・ボールドウィング、ナタラン・フォグコーラー、ナタラン・ウィンドタロンを各8体なで斬りにして来るンだ！			蘇る古の武器（アルテミスの弓）							
おう、帰ってきたか。……だが、そのツラからすっと、まだ古の武器に足りねぇモンを掴みきれてねぇようだな？			おう、帰ってきたか。……だが、そのツラからすっと、まだ古の武器に足りねぇモンを掴みきれてねぇようだな？			蘇る古の武器（アルテミスの弓）							
こうなったら、伝説に残るような戦いをするっきゃねぇ。……そうだな「ハラタリ修練所」のヌシ、多頭龍「ハイドラ」を倒してこい。			こうなったら、伝説に残るような戦いをするっきゃねぇ。……そうだな「ハラタリ修練所」のヌシ、多頭龍「ハイドラ」を倒してこい。			蘇る古の武器（アルテミスの弓）							
東ザナラーン「ハラタリ修練所」前の指定地点で、コンテンツ「ハイドラ討伐戦」を開放できるようになりました。			東ザナラーン「ハラタリ修練所」前の指定地点で、コンテンツ「ハイドラ討伐戦」を開放できるようになりました。			蘇る古の武器（アルテミスの弓）							
「未完のアルテミスの弓」を装備して「ハイドラ討伐戦」に挑み、ハイドラを倒しましょう！			「未完のアルテミスの弓」を装備して「ハイドラ討伐戦」に挑み、ハイドラを倒しましょう！			蘇る古の武器（アルテミスの弓）							
棲み着いていた魔獣も、あらかた掃討できたんですが、「ハイドラ」という大物だけが残っていて……。ええ！？　奴に挑むつもりですか？			棲み着いていた魔獣も、あらかた掃討できたんですが、「ハイドラ」という大物だけが残っていて……。ええ！？　奴に挑むつもりですか？			蘇る古の武器（アルテミスの弓）							
修練所のヌシ「ハイドラ」は、恐怖をまき散らす、恐るべき存在。命の保証はできませんよ、それでも行くのです！？			修練所のヌシ「ハイドラ」は、恐怖をまき散らす、恐るべき存在。命の保証はできませんよ、それでも行くのです！？			蘇る古の武器（アルテミスの弓）							
ハイドラとの戦いは、「未完のアルテミスの弓」を装備している状態でのみ挑むことができます。			ハイドラとの戦いは、「未完のアルテミスの弓」を装備している状態でのみ挑むことができます。			蘇る古の武器（アルテミスの弓）							
あぁン？　写本はどうしたのか、だと？細けぇ文字を見てると、頭痛くなるンでな！……ヤカン作って、気分転換してるンだよ！			あぁン？　写本はどうしたのか、だと？細けぇ文字を見てると、頭痛くなるンでな！……ヤカン作って、気分転換してるンだよ！			蘇る古の武器（アルテミスの弓）							
ガミガミガミガミ、テメェはオレの母ちゃんか？			ガミガミガミガミ、テメェはオレの母ちゃんか？			蘇る古の武器（アルテミスの弓）							
テメェも、こんなところでグダグダしてねぇでさっさと「未完のアルテミスの弓」を試して、意見を聞かせろってンだ！　チクショウめぇ！			テメェも、こんなところでグダグダしてねぇでさっさと「未完のアルテミスの弓」を試して、意見を聞かせろってンだ！　チクショウめぇ！			蘇る古の武器（アルテミスの弓）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（アルテミスの弓）							
チッ、まだ生きてやがったンか……。ハイドラに喰われれば、良かったのにな？……まぁ、それはともかく、写本の話でもすっか。			チッ、まだ生きてやがったンか……。ハイドラに喰われれば、良かったのにな？……まぁ、それはともかく、写本の話でもすっか。			蘇る古の武器（アルテミスの弓）							
例の写本はな、吟遊詩人としても知られたギルバートが詠ンだ詩歌を記した詩集だった。			例の写本はな、吟遊詩人としても知られたギルバートが詠ンだ詩歌を記した詩集だった。			蘇る古の武器（アルテミスの弓）							
古くさい詩歌ばっかりで、実につまらンものだったが……見つけたぜ、肝心の情報をな。			古くさい詩歌ばっかりで、実につまらンものだったが……見つけたぜ、肝心の情報をな。			蘇る古の武器（アルテミスの弓）							
詩集の最後に、ギルバートが語ったとされる詩歌の吟じ方が書かれていたンだ。			詩集の最後に、ギルバートが語ったとされる詩歌の吟じ方が書かれていたンだ。			蘇る古の武器（アルテミスの弓）							
そこには、気温や空気の湿り具合で微妙に変わる弦の張り具合について、記されていた。			そこには、気温や空気の湿り具合で微妙に変わる弦の張り具合について、記されていた。			蘇る古の武器（アルテミスの弓）							
弦がピンと張っているか、あるいは少し緩いのか……それによって弾いたときの音色も、矢の弾道も変わる、とな。			弦がピンと張っているか、あるいは少し緩いのか……それによって弾いたときの音色も、矢の弾道も変わる、とな。			蘇る古の武器（アルテミスの弓）							
で、これを微調整するために弓の下部に、楽器のような糸巻きを取り付けたと、記してあった。			で、これを微調整するために弓の下部に、楽器のような糸巻きを取り付けたと、記してあった。			蘇る古の武器（アルテミスの弓）							
単なる留め具と思っていたもンに、そンな意味があったとは……盲点だったな。			単なる留め具と思っていたもンに、そンな意味があったとは……盲点だったな。			蘇る古の武器（アルテミスの弓）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（アルテミスの弓）							
そんなわけで、オレの方は収穫があった。テメェの方は、どうなんだ？　しっかり使い込ンだンだろうな？「体感して得た感覚」ってもンを、説明してもらおうか！			そんなわけで、オレの方は収穫があった。テメェの方は、どうなんだ？　しっかり使い込ンだンだろうな？「体感して得た感覚」ってもンを、説明してもらおうか！			蘇る古の武器（アルテミスの弓）							
なるほど……言いてぇことはわかった。確かに、テメェが指摘することにも一理はある。			なるほど……言いてぇことはわかった。確かに、テメェが指摘することにも一理はある。			蘇る古の武器（アルテミスの弓）							
よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			蘇る古の武器（アルテミスの弓）							
よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			蘇る古の武器（アルテミスの弓）							
ふぅ……これで、ちったぁマシになったろう。あとは、最後の焼き入れを残すのみだ……。			ふぅ……これで、ちったぁマシになったろう。あとは、最後の焼き入れを残すのみだ……。			蘇る古の武器（アルテミスの弓）							
「古の武器」と原型の武器、ふたつの武器と使い手の魂を最後の焼き入れによって、完全に融合させる！往年の姿を復元するンだ！			「古の武器」と原型の武器、ふたつの武器と使い手の魂を最後の焼き入れによって、完全に融合させる！往年の姿を復元するンだ！			蘇る古の武器（アルテミスの弓）							
そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			蘇る古の武器（アルテミスの弓）							
焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			蘇る古の武器（アルテミスの弓）							
「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			蘇る古の武器（アルテミスの弓）							
なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（アルテミスの弓）							
そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			蘇る古の武器（アルテミスの弓）							
焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			蘇る古の武器（アルテミスの弓）							
「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			蘇る古の武器（アルテミスの弓）							
なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（アルテミスの弓）							
ヘ、ヘヘヘッ……本当に蛮神との戦いから、生きて戻ってくるとはよ……。し、心配し……いや、なんだ。……テメェも、やるじゃねぇか。			ヘ、ヘヘヘッ……本当に蛮神との戦いから、生きて戻ってくるとはよ……。し、心配し……いや、なんだ。……テメェも、やるじゃねぇか。			蘇る古の武器（アルテミスの弓）							
よし、まずは「イフリートの炎」、「ガルーダの風」、「タイタンの黄土」を渡してくれ。炉の準備をするからよ……。			よし、まずは「イフリートの炎」、「ガルーダの風」、「タイタンの黄土」を渡してくれ。炉の準備をするからよ……。			蘇る古の武器（アルテミスの弓）							
へへ……こいつがあれば炉は問題ねぇ。お次は、冷却用の「ラザハン焼入油」だ。ちゃんと用意してきたンだろうな？			へへ……こいつがあれば炉は問題ねぇ。お次は、冷却用の「ラザハン焼入油」だ。ちゃんと用意してきたンだろうな？			蘇る古の武器（アルテミスの弓）							
「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（アルテミスの弓）							
ヘ、ヘヘヘッ……これで全ての準備が整ったぜ。			ヘ、ヘヘヘッ……これで全ての準備が整ったぜ。			蘇る古の武器（アルテミスの弓）							
テメェが神狩りを成したのなら、オレも武具職人として、神業を見せねぇわけにはいかねぇな。			テメェが神狩りを成したのなら、オレも武具職人として、神業を見せねぇわけにはいかねぇな。			蘇る古の武器（アルテミスの弓）							
はぁ、はぁ、はぁ……つ、ついにできたぞ……それが「アルテミスの弓」だッ！！！大切にしろよなッ！！！			はぁ、はぁ、はぁ……つ、ついにできたぞ……それが「アルテミスの弓」だッ！！！大切にしろよなッ！！！			蘇る古の武器（アルテミスの弓）							
この先、クエストを進行させるには、「邪教排撃 古城アムダプール」の攻略が必要になります。			この先、クエストを進行させるには、「邪教排撃 古城アムダプール」の攻略が必要になります。			蘇る古の武器（アルテミスの弓）							
なお、「邪教排撃 古城アムダプール」をコンテンツファインダーに登録するためには、特定のクエストをコンプリートする必要があります。			なお、「邪教排撃 古城アムダプール」をコンテンツファインダーに登録するためには、特定のクエストをコンプリートする必要があります。			蘇る古の武器（アルテミスの弓）							
この先、クエストを進行させるには、「真イフリート討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真イフリート討滅戦」の攻略が必要になります。			蘇る古の武器（アルテミスの弓）							
なお、「真イフリート討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真イフリート討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（アルテミスの弓）							
この先、クエストを進行させるには、「真ガルーダ討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真ガルーダ討滅戦」の攻略が必要になります。			蘇る古の武器（アルテミスの弓）							
なお、「真ガルーダ討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真ガルーダ討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（アルテミスの弓）							
この先、クエストを進行させるには、「真タイタン討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真タイタン討滅戦」の攻略が必要になります。			蘇る古の武器（アルテミスの弓）							
なお、「真タイタン討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真タイタン討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（アルテミスの弓）							
貧乏臭ぇ冒険者が、なンの用だ？　あぁン？こちとらテメェになんざ、用はねぇンだよ！			貧乏臭ぇ冒険者が、なンの用だ？　あぁン？こちとらテメェになんざ、用はねぇンだよ！			蘇る古の武器（アルテミスの弓）							
クエスト「蘇る古の武器」を同時に複数、受注することはできません。別の武器を入手したい場合は、該当クエストをコンプリートするか、破棄する必要があります。			クエスト「蘇る古の武器」を同時に複数、受注することはできません。別の武器を入手したい場合は、該当クエストをコンプリートするか、破棄する必要があります。			蘇る古の武器（アルテミスの弓）							
ドルムキマイラを倒せ！			ドルムキマイラを倒せ！			蘇る古の武器（アルテミスの弓）							
ハイドラを倒せ！			ハイドラを倒せ！			蘇る古の武器（アルテミスの弓）							
クォーリーミルの西にいるジェアンテルは、冒険者を見て思い出したことがあるようだ。			クォーリーミルの西にいるジェアンテルは、冒険者を見て思い出したことがあるようだ。			ふたりと、もうひとり							
前回までの冒険録：ジェアンテルによる吟遊詩人の育成がはじまったグリダニア。双蛇党のサンソン大牙士は、吟遊詩人を軸に据えた部隊新設のため、「終焉の戦歌」という幻の戦歌をもとめ、神勇隊の吟遊詩人ギドゥロと冒険者とともに捜索の旅に出る。結果、「終焉の戦歌」を見つけることは叶わなかったものの、彼らは、旅を通して確かな友情を手に入れたのだった。　　　　　　　　　　　　*　*　*双蛇党のサンソン大牙士が、ついに吟遊詩人を軸に据えた部隊を発足させたらしい。グリダニアの神勇隊司令砦にむかい、「サンソン大牙士」の頼みを聞こう。			前回までの冒険録：ジェアンテルによる吟遊詩人の育成がはじまったグリダニア。双蛇党のサンソン大牙士は、吟遊詩人を軸に据えた部隊新設のため、「終焉の戦歌」という幻の戦歌をもとめ、神勇隊の吟遊詩人ギドゥロと冒険者とともに捜索の旅に出る。結果、「終焉の戦歌」を見つけることは叶わなかったものの、彼らは、旅を通して確かな友情を手に入れたのだった。　　　　　　　　　　　　*　*　*双蛇党のサンソン大牙士が、ついに吟遊詩人を軸に据えた部隊を発足させたらしい。グリダニアの神勇隊司令砦にむかい、「サンソン大牙士」の頼みを聞こう。			ふたりと、もうひとり							
サンソン大牙士から、初任務への同行を頼まれた。任務の内容を聞くため、グリダニアの双蛇党：統合司令部に向かい「ボルセル大牙佐」と話そう。			サンソン大牙士から、初任務への同行を頼まれた。任務の内容を聞くため、グリダニアの双蛇党：統合司令部に向かい「ボルセル大牙佐」と話そう。			ふたりと、もうひとり							
「紅葉戦争に関する、重大な秘密が記された書物が存在する」と書かれた手紙が双蛇党に届いたらしい。東部森林のナインアイビーで、手紙の差出人と話そう。			「紅葉戦争に関する、重大な秘密が記された書物が存在する」と書かれた手紙が双蛇党に届いたらしい。東部森林のナインアイビーで、手紙の差出人と話そう。			ふたりと、もうひとり							
