ポルタ・プレトリアのベサは、冒険者に頼みたいことがあるようだ。			ポルタ・プレトリアのベサは、冒険者に頼みたいことがあるようだ。			死霊を鎮める方法							
実は、こいつを使って、新兵の訓練をしようと思ってるんだ。いつ帝国軍が属州を奪還に来るかもわからないからな、追い払ったからって、気は抜けないってわけさ。			実は、こいつを使って、新兵の訓練をしようと思ってるんだ。いつ帝国軍が属州を奪還に来るかもわからないからな、追い払ったからって、気は抜けないってわけさ。			魔物は使いよう							
ありがとよ、Forename。また何かあったら、頼むぜ。			ありがとよ、Forename。また何かあったら、頼むぜ。			魔物は使いよう							
ポルタ・プレトリアのパミゾローは、冒険者に頼みたいことがあるようだ。			ポルタ・プレトリアのパミゾローは、冒険者に頼みたいことがあるようだ。			戦争で発展したもの							
アバドンからアバドンの腱を入手			アバドンからアバドンの腱を入手			戦争で発展したもの							
パミゾローにアバドンの腱を渡す			パミゾローにアバドンの腱を渡す			戦争で発展したもの							
君は、ドリユモン卿とも懇意にしていた……すまないけど、任務に協力してもらえないかな？			君は、ドリユモン卿とも懇意にしていた……すまないけど、任務に協力してもらえないかな？			戦争で発展したもの							
私は、ホワイトブリム前哨地から派遣されてきた治療師だ。いかに勝ち戦であっても、必ず死傷者は出るものでね……。医療品の備蓄は減る一方の状況なんだよ。			私は、ホワイトブリム前哨地から派遣されてきた治療師だ。いかに勝ち戦であっても、必ず死傷者は出るものでね……。医療品の備蓄は減る一方の状況なんだよ。			戦争で発展したもの							
そこで、このあたりで入手できるものを用いて、治療に必要な品を補充したい。			そこで、このあたりで入手できるものを用いて、治療に必要な品を補充したい。			戦争で発展したもの							
解放軍の人から、南の方にアバドンが棲息していると聞いた。これを狩り、「アバドンの腱」を、4つほど手に入れてきてもらえないかな。			解放軍の人から、南の方にアバドンが棲息していると聞いた。これを狩り、「アバドンの腱」を、4つほど手に入れてきてもらえないかな。			戦争で発展したもの							
解放軍の人から、南の方にアバドンが棲息していると聞いた。これを狩り、「アバドンの腱」を、4つほど手に入れてきてもらえないかな。			解放軍の人から、南の方にアバドンが棲息していると聞いた。これを狩り、「アバドンの腱」を、4つほど手に入れてきてもらえないかな。			戦争で発展したもの							
「アバドンの腱」は、手に入ったかい？			「アバドンの腱」は、手に入ったかい？			戦争で発展したもの							
これは……立派な腱が獲れたね。うん、これなら大丈夫だ。			これは……立派な腱が獲れたね。うん、これなら大丈夫だ。			戦争で発展したもの							
アバドンの腱は、弾力があり、切れにくい性質がある。包帯を固定するのに使えるし、義手や義足の留め具にもなる。			アバドンの腱は、弾力があり、切れにくい性質がある。包帯を固定するのに使えるし、義手や義足の留め具にもなる。			戦争で発展したもの							
千年戦争を戦い抜いてきたイシュガルドでは、こうした応急手当の技術が、発展してきたんだよ。治療の手際ばかりがよくなるというのは、複雑な心境だが……。			千年戦争を戦い抜いてきたイシュガルドでは、こうした応急手当の技術が、発展してきたんだよ。治療の手際ばかりがよくなるというのは、複雑な心境だが……。			戦争で発展したもの							
目の前に救える命があるならば、治療師として、放っておくわけにはいかないからね。最善を尽くすまでさ。			目の前に救える命があるならば、治療師として、放っておくわけにはいかないからね。最善を尽くすまでさ。			戦争で発展したもの							
つまらない話を聞かせてしまって、すまなかった。手伝ってくれてありがとう、冒険者さん。			つまらない話を聞かせてしまって、すまなかった。手伝ってくれてありがとう、冒険者さん。			戦争で発展したもの							
ポルタ・プレトリアのトファーは、屈強な冒険者の助けを必要としているようだ。			ポルタ・プレトリアのトファーは、屈強な冒険者の助けを必要としているようだ。			塔の上の魔法生物							
解放軍の闘士と話す			解放軍の闘士と話す			塔の上の魔法生物							
指定地点で見渡し、敵が現れたら討伐			指定地点で見渡し、敵が現れたら討伐			塔の上の魔法生物							
解放軍の闘士に報告			解放軍の闘士に報告			塔の上の魔法生物							
トファーに報告			トファーに報告			塔の上の魔法生物							
[GC Rank]Surname[GC Rank]Surname[GC Rank]Surnameですね。実はあなたに、ご協力いただきたい任務があるのです。			[GC Rank]Surname[GC Rank]Surname[GC Rank]Surnameですね。実はあなたに、ご協力いただきたい任務があるのです。			塔の上の魔法生物							
ここから南にある、監視塔の確保に向かった部下から、今しがた、救援要請が届いたのです。			ここから南にある、監視塔の確保に向かった部下から、今しがた、救援要請が届いたのです。			塔の上の魔法生物							
偵察兵から、長らく使われていないらしいとの報告があったため、制圧任務にしては少数名を向かわせたのですが、不覚でした……。			偵察兵から、長らく使われていないらしいとの報告があったため、制圧任務にしては少数名を向かわせたのですが、不覚でした……。			塔の上の魔法生物							
ほかの兵には別の任務を与えてしまったところで、戻るのを待っていては、部下の命が危ぶまれます。			ほかの兵には別の任務を与えてしまったところで、戻るのを待っていては、部下の命が危ぶまれます。			塔の上の魔法生物							
そこでソスウォッチ塔に赴き、「解放軍の闘士」から状況を聞いて、助けていただきたいのです。どうか、よろしくお願いします！			そこでソスウォッチ塔に赴き、「解放軍の闘士」から状況を聞いて、助けていただきたいのです。どうか、よろしくお願いします！			塔の上の魔法生物							
ソスウォッチ塔に赴き、「解放軍の闘士」から状況を聞いて、助けていただきたいのです。どうか、よろしくお願いします！			ソスウォッチ塔に赴き、「解放軍の闘士」から状況を聞いて、助けていただきたいのです。どうか、よろしくお願いします！			塔の上の魔法生物							
もしかして、あなたは「暁の血盟」の冒険者殿！？そんな方が救援に来てくださったなんて、光栄です！			もしかして、あなたは「暁の血盟」の冒険者殿！？そんな方が救援に来てくださったなんて、光栄です！			塔の上の魔法生物							
この監視塔は、随分昔に放棄されていたようで、辿り着いたときには、誰もいないように見えました。しかし、塔内の調査中に何者かに襲われまして……。			この監視塔は、随分昔に放棄されていたようで、辿り着いたときには、誰もいないように見えました。しかし、塔内の調査中に何者かに襲われまして……。			塔の上の魔法生物							
いや……姿は見えなかったため、人ではなかった可能性もあります。何かに襲われた我々には、負傷した仲間をかばいつつ、塔から脱出するのが精一杯でした。			いや……姿は見えなかったため、人ではなかった可能性もあります。何かに襲われた我々には、負傷した仲間をかばいつつ、塔から脱出するのが精一杯でした。			塔の上の魔法生物							
私はここで、部下の治療を続けようと思います。冒険者殿は、塔の頂上から周囲を「見渡し」て、我々を襲った「何か」を排除していただけますか？			私はここで、部下の治療を続けようと思います。冒険者殿は、塔の頂上から周囲を「見渡し」て、我々を襲った「何か」を排除していただけますか？			塔の上の魔法生物							
私はここで、部下の治療を続けようと思います。冒険者殿は、塔の頂上から周囲を「見渡し」て、我々を襲った「何か」を排除していただけますか？			私はここで、部下の治療を続けようと思います。冒険者殿は、塔の頂上から周囲を「見渡し」て、我々を襲った「何か」を排除していただけますか？			塔の上の魔法生物							
なんと……塔にいたのは、ロードレス・ドルヴァでしたか。しかし、冒険者殿が討伐してくださったおかげで、塔の制圧任務は、無事に果たせそうです。			なんと……塔にいたのは、ロードレス・ドルヴァでしたか。しかし、冒険者殿が討伐してくださったおかげで、塔の制圧任務は、無事に果たせそうです。			塔の上の魔法生物							
負傷者の応急処置も終わりましたので、あとは我々にお任せください。冒険者殿は、「トファー」さんに報告をお願いできますか？			負傷者の応急処置も終わりましたので、あとは我々にお任せください。冒険者殿は、「トファー」さんに報告をお願いできますか？			塔の上の魔法生物							
負傷者の応急処置も終わりましたので、あとは我々にお任せください。冒険者殿は、「トファー」さんに報告をお願いできますか？			負傷者の応急処置も終わりましたので、あとは我々にお任せください。冒険者殿は、「トファー」さんに報告をお願いできますか？			塔の上の魔法生物							
なるほど……部下もみな、ひとまず無事そうで安心しました。助かりました、[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname！			なるほど……部下もみな、ひとまず無事そうで安心しました。助かりました、[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname！			塔の上の魔法生物							
しかし、ロードレス・ドルヴァとは……。原因は不明ですが、あれは自然発生するゴーレムのようなもので、クリスタルが、魔法生物に変異したものと考えられています。			しかし、ロードレス・ドルヴァとは……。原因は不明ですが、あれは自然発生するゴーレムのようなもので、クリスタルが、魔法生物に変異したものと考えられています。			塔の上の魔法生物							
まるで生き物のように振る舞うのですが、知性はありません。ただエーテルを求め、人を含むあらゆる生物を襲うため、ギラバニアでは、非常に忌み嫌われる存在なのです。			まるで生き物のように振る舞うのですが、知性はありません。ただエーテルを求め、人を含むあらゆる生物を襲うため、ギラバニアでは、非常に忌み嫌われる存在なのです。			塔の上の魔法生物							
かつては傭兵たちが危険な魔物を駆除していたのですが、帝国軍は、それすら怠っていたのでしょう。属州民がどうなろうと、お構いなしなのでしょうな……。			かつては傭兵たちが危険な魔物を駆除していたのですが、帝国軍は、それすら怠っていたのでしょう。属州民がどうなろうと、お構いなしなのでしょうな……。			塔の上の魔法生物							
今後は我々が責任を持ち、駆除するようにいたします。冒険者殿、ありがとうございました。			今後は我々が責任を持ち、駆除するようにいたします。冒険者殿、ありがとうございました。			塔の上の魔法生物							
