イシュガルド上層の不安げな商人は、飛空艇が帰還しないことを心配しているようだ。			イシュガルド上層の不安げな商人は、飛空艇が帰還しないことを心配しているようだ。			空賊たち							
しかし、クェーサル様の力を以てしても、「スカアハ」を押さえつけ、利用することはできなかった……。船内で次々と妖異が目覚め、暴走しはじめたのだ。			しかし、クェーサル様の力を以てしても、「スカアハ」を押さえつけ、利用することはできなかった……。船内で次々と妖異が目覚め、暴走しはじめたのだ。			魔航船ヴォイドアーク							
クェーサル様と53人の魔道士たちは、命がけで、これらの妖異を「棺」に封印した。使い魔である私を、封印の番人として残してな。			クェーサル様と53人の魔道士たちは、命がけで、これらの妖異を「棺」に封印した。使い魔である私を、封印の番人として残してな。			魔航船ヴォイドアーク							
第六霊災があったのは、1500年以上も昔の話だろう？最近になって、幽霊船が目覚めたのだとすれば、封印が解かれる何らかの原因があるはずだ。			第六霊災があったのは、1500年以上も昔の話だろう？最近になって、幽霊船が目覚めたのだとすれば、封印が解かれる何らかの原因があるはずだ。			魔航船ヴォイドアーク							
ある日、船外から、蝙蝠の姿に化けた妖異が入り込んできてな。最初は私が払いのけていたのだが、徐々に魔力を増大させ、やがて手におえなくなり……次々と封印が破られていったのだ！			ある日、船外から、蝙蝠の姿に化けた妖異が入り込んできてな。最初は私が払いのけていたのだが、徐々に魔力を増大させ、やがて手におえなくなり……次々と封印が破られていったのだ！			魔航船ヴォイドアーク							
……なんと、あれは以前お主が討伐した妖異だというのか。どうやら、完全には倒しきれていなかったようだな……。奴が、女王の復活を目論んでおることは間違いない。			……なんと、あれは以前お主が討伐した妖異だというのか。どうやら、完全には倒しきれていなかったようだな……。奴が、女王の復活を目論んでおることは間違いない。			魔航船ヴォイドアーク							
……そうか、お主たちの前にも妖異は姿を現したか。おそらく奴は、スカアハに連なる妖異なのであろう……。奴が、女王の復活を目論んでおることは間違いない。			……そうか、お主たちの前にも妖異は姿を現したか。おそらく奴は、スカアハに連なる妖異なのであろう……。奴が、女王の復活を目論んでおることは間違いない。			魔航船ヴォイドアーク							
ふむ、概ね理解できたが……まだわからないことがある。幽霊船の腹から墜ちた「女王の棺」はどこに行った？			ふむ、概ね理解できたが……まだわからないことがある。幽霊船の腹から墜ちた「女王の棺」はどこに行った？			魔航船ヴォイドアーク							
お主たちも見たはずだ。魔航船が放つ魔力の光が次元を切り裂き、「ヴォイドゲート」を開いたのを……。			お主たちも見たはずだ。魔航船が放つ魔力の光が次元を切り裂き、「ヴォイドゲート」を開いたのを……。			魔航船ヴォイドアーク							
あれは、一時的に異界に「潜る」ことで、船ごと瞬間的に移動するための転送装置。これを利用し、「棺」をいずこかに転送させたのであろう。			あれは、一時的に異界に「潜る」ことで、船ごと瞬間的に移動するための転送装置。これを利用し、「棺」をいずこかに転送させたのであろう。			魔航船ヴォイドアーク							
このままでは、世界が危機にさらされる！魔航船を踏破した勇者たちよ、封印が完全に解かれる前に、「スカアハ」を封印した「棺」を探し出してはもらえぬだろうか！			このままでは、世界が危機にさらされる！魔航船を踏破した勇者たちよ、封印が完全に解かれる前に、「スカアハ」を封印した「棺」を探し出してはもらえぬだろうか！			魔航船ヴォイドアーク							
なかなか面白そうじゃねぇか！「棺」を追う過程で、マハの秘宝が手に入るかもしれん。アラグの石ころ集めにも飽きてきた頃合いだ。			なかなか面白そうじゃねぇか！「棺」を追う過程で、マハの秘宝が手に入るかもしれん。アラグの石ころ集めにも飽きてきた頃合いだ。			魔航船ヴォイドアーク							
年老いた女王様には興味ないが、あんな連中に、空の自由が侵されるのはガマンならねぇからなあ！			年老いた女王様には興味ないが、あんな連中に、空の自由が侵されるのはガマンならねぇからなあ！			魔航船ヴォイドアーク							
なっ！　なんと、自己中心的な！空どころか、世界全体の危機だというのに！			なっ！　なんと、自己中心的な！空どころか、世界全体の危機だというのに！			魔航船ヴォイドアーク							
力を貸してやるってんだから、ネコじじいは黙っときな。俺は、自分の流儀でやらせてもらう。			力を貸してやるってんだから、ネコじじいは黙っときな。俺は、自分の流儀でやらせてもらう。			魔航船ヴォイドアーク							
とにかく、何にしても棺探しには準備が必要だ。お前は、しばらく自由の身を満喫していてくれ。発見があったらすぐ呼び出すから、覚悟しとけよ。			とにかく、何にしても棺探しには準備が必要だ。お前は、しばらく自由の身を満喫していてくれ。発見があったらすぐ呼び出すから、覚悟しとけよ。			魔航船ヴォイドアーク							
さぁ、アンタたち、出発するよ！幽霊船……いや、魔航船の力を手に入れ、空の覇権を手にするのはアタイたちだ！			さぁ、アンタたち、出発するよ！幽霊船……いや、魔航船の力を手に入れ、空の覇権を手にするのはアタイたちだ！			魔航船ヴォイドアーク							
コールドウィンド島のスタシアは、冒険者を探していたようだ。			コールドウィンド島のスタシアは、冒険者を探していたようだ。			禁忌都市マハ							
前回までの冒険録：第六霊災で滅んだ魔法都市マハの住人が造り上げた、雲海に浮かぶ船「魔航船」。空賊レオファードとともに、魔航船の踏破に成功した冒険者だが、妖異ディアボロスにより、船の動力とされていた大妖異、女王スカアハの眠る「棺」が何処かに転送されてしまう。魔航船を追うための道具「霊風の羅針盤」を奪っていった空賊団「大鷲連合」の動向も警戒しつつ、レオファード率いる空賊団「レッドビル」は、ケット・シーとともに「棺」の捜索に乗り出すのだった。　　　　　　　　　　　　*　*　*スタシアは、「レッドビル」のアジトへ向かってほしいという。彼らのアジトであるパロック繋留基地に向かい、「スタシア」と合流しよう。パロック繋留基地へは、アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から向かうことができるようだ。			前回までの冒険録：第六霊災で滅んだ魔法都市マハの住人が造り上げた、雲海に浮かぶ船「魔航船」。空賊レオファードとともに、魔航船の踏破に成功した冒険者だが、妖異ディアボロスにより、船の動力とされていた大妖異、女王スカアハの眠る「棺」が何処かに転送されてしまう。魔航船を追うための道具「霊風の羅針盤」を奪っていった空賊団「大鷲連合」の動向も警戒しつつ、レオファード率いる空賊団「レッドビル」は、ケット・シーとともに「棺」の捜索に乗り出すのだった。　　　　　　　　　　　　*　*　*スタシアは、「レッドビル」のアジトへ向かってほしいという。彼らのアジトであるパロック繋留基地に向かい、「スタシア」と合流しよう。パロック繋留基地へは、アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から向かうことができるようだ。			禁忌都市マハ							
無事にスタシアと合流できた。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、レオファードの私室で「レオファード」と話そう。			無事にスタシアと合流できた。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、レオファードの私室で「レオファード」と話そう。			禁忌都市マハ							
レオファードとケット・シーの論争は、ひとまずおさまったようだ。「レッドビル」の技師ウタタが、魔航船のことで悩んでいるらしい。アバラシア雲海のガントレット諸島で「ウタタ」と話そう。			レオファードとケット・シーの論争は、ひとまずおさまったようだ。「レッドビル」の技師ウタタが、魔航船のことで悩んでいるらしい。アバラシア雲海のガントレット諸島で「ウタタ」と話そう。			禁忌都市マハ							
ウタタが作った「霊風の羅針盤」は、魔航船に潜んでいた妖異の居場所を指し示してるのかもしれない。この推論に沸き立つ一同のもとに、パロック繋留基地に「大鷲連合」の飛空艇が迫っているとの連絡が届いた。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、「レオファード」と話そう。			ウタタが作った「霊風の羅針盤」は、魔航船に潜んでいた妖異の居場所を指し示してるのかもしれない。この推論に沸き立つ一同のもとに、パロック繋留基地に「大鷲連合」の飛空艇が迫っているとの連絡が届いた。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、「レオファード」と話そう。			禁忌都市マハ							
「大鷲連合」の主力部隊は、妖異によって壊滅してしまってたらしい。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、レオファードの私室で「レオファード」と話そう。			「大鷲連合」の主力部隊は、妖異によって壊滅してしまってたらしい。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、レオファードの私室で「レオファード」と話そう。			禁忌都市マハ							
ケット・シーによれば、かつてマハの都市があった遺跡には、妖異を消滅させる力を持つ「要」が眠っているらしい。「大鷲連合」のラドリアを救出し、マハの都市に眠る「要」を手に入れるため、「レッドビル」も、ヤフェーム湿地を目指すことを決める。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、「レオファード」と話そう。			ケット・シーによれば、かつてマハの都市があった遺跡には、妖異を消滅させる力を持つ「要」が眠っているらしい。「大鷲連合」のラドリアを救出し、マハの都市に眠る「要」を手に入れるため、「レッドビル」も、ヤフェーム湿地を目指すことを決める。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、「レオファード」と話そう。			禁忌都市マハ							
レオファードは、ラドリアの捜索を受け持ってくれるらしい。「要」を手に入れるため、禁忌都市マハを踏破しよう。 ※コンテンツファインダーから攻略に参加できます。			レオファードは、ラドリアの捜索を受け持ってくれるらしい。「要」を手に入れるため、禁忌都市マハを踏破しよう。 ※コンテンツファインダーから攻略に参加できます。			禁忌都市マハ							
「禁忌都市マハ」を攻略した。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地へ戻ろう。			「禁忌都市マハ」を攻略した。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地へ戻ろう。			禁忌都市マハ							
「要」を狙って現れた妖異フェルディアを退却させ、ラドリアの救出に成功した。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、「レオファード」と話そう。			「要」を狙って現れた妖異フェルディアを退却させ、ラドリアの救出に成功した。アバラシア雲海のコールドウィンド島に立つ「レッドビル」の旗から、パロック繋留基地に向かい、「レオファード」と話そう。			禁忌都市マハ							
レオファードと話した。レオファードは、ケット・シーが無言のままに作戦を理解したことを称賛した。ふたりの距離も、これで少し近づいたかもしれない。ラドリアが目覚めた後のことを相談するため、改めて、パロック繋留基地のレオファードと話そう。			レオファードと話した。レオファードは、ケット・シーが無言のままに作戦を理解したことを称賛した。ふたりの距離も、これで少し近づいたかもしれない。ラドリアが目覚めた後のことを相談するため、改めて、パロック繋留基地のレオファードと話そう。			禁忌都市マハ							
パロック繋留基地のスタシアと合流			パロック繋留基地のスタシアと合流			禁忌都市マハ							
レオファードの私室でレオファードと話す			レオファードの私室でレオファードと話す			禁忌都市マハ							
アバラシア雲海のウタタと話す			アバラシア雲海のウタタと話す			禁忌都市マハ							
パロック繋留基地のレオファードと話す			パロック繋留基地のレオファードと話す			禁忌都市マハ							
レオファードの私室でレオファードと話す			レオファードの私室でレオファードと話す			禁忌都市マハ							
パロック繋留基地のレオファードと話す			パロック繋留基地のレオファードと話す			禁忌都市マハ							
「禁忌都市マハ」を攻略			「禁忌都市マハ」を攻略			禁忌都市マハ							
レオファードと話す			レオファードと話す			禁忌都市マハ							
あら、Forenameじゃない！会えてよかった、あなたを探していたところだったの……。			あら、Forenameじゃない！会えてよかった、あなたを探していたところだったの……。			禁忌都市マハ							
私たちが、マハの使い魔「ケット・シー」と取り組んでいる、妖異ディアボロスと女王スカアハの「棺」の捜索……。それについて、あなたにも意見を聞きたいのよ。			私たちが、マハの使い魔「ケット・シー」と取り組んでいる、妖異ディアボロスと女王スカアハの「棺」の捜索……。それについて、あなたにも意見を聞きたいのよ。			禁忌都市マハ							
雲海での妖異の目撃情報は、日に日に増しているわ。妖異は、この雲海の何処かに潜んでいるはずなんだけど……。肝心の「棺」の行方が、さっぱりでねえ。			雲海での妖異の目撃情報は、日に日に増しているわ。妖異は、この雲海の何処かに潜んでいるはずなんだけど……。肝心の「棺」の行方が、さっぱりでねえ。			禁忌都市マハ							
しかも、それが原因で、今後の捜索方法について、レオファードとケット・シーが対立しちゃったの……。			しかも、それが原因で、今後の捜索方法について、レオファードとケット・シーが対立しちゃったの……。			禁忌都市マハ							
悪いんだけど、私たちのアジト「パロック繋留基地」まで来て、レオファードから、話を聞いてあげてくれないかしら……。彼らも、あなたの意見なら聞き入れるでしょうし。			悪いんだけど、私たちのアジト「パロック繋留基地」まで来て、レオファードから、話を聞いてあげてくれないかしら……。彼らも、あなたの意見なら聞き入れるでしょうし。			禁忌都市マハ							
……あ、それとレオファードから伝言。「いちいち探すのも面倒だ、今後はお前が顔を出せ」ですって！あなたも、この旗からアジトへの航路はわかるでしょう？			……あ、それとレオファードから伝言。「いちいち探すのも面倒だ、今後はお前が顔を出せ」ですって！あなたも、この旗からアジトへの航路はわかるでしょう？			禁忌都市マハ							
悪いんだけど、私たちのアジト、「パロック繋留基地」まで来てくれないかしら……。あなたも、この旗からアジトへの航路はわかるでしょう？			悪いんだけど、私たちのアジト、「パロック繋留基地」まで来てくれないかしら……。あなたも、この旗からアジトへの航路はわかるでしょう？			禁忌都市マハ							
来てくれてありがとう。ふたりは中で話し合って……いえ、罵りあっているみたい。「レオファード」から、話を聞いてあげて。			来てくれてありがとう。ふたりは中で話し合って……いえ、罵りあっているみたい。「レオファード」から、話を聞いてあげて。			禁忌都市マハ							
いい大人と、いいお爺さまが、ホントみっともない……。「レオファード」の話を聞いてあげてくれる？			いい大人と、いいお爺さまが、ホントみっともない……。「レオファード」の話を聞いてあげてくれる？			禁忌都市マハ							
おお！　Forename殿！お主も、この大たわけを説得してくれぬか！？			おお！　Forename殿！お主も、この大たわけを説得してくれぬか！？			禁忌都市マハ							
……「棺」の捜索状況を聞きにきたんなら、無駄足だぜ。俺は、この偏屈ネコじじいに絡まれてイライラしてんだ。ほれ……さっさと帰んな。			……「棺」の捜索状況を聞きにきたんなら、無駄足だぜ。俺は、この偏屈ネコじじいに絡まれてイライラしてんだ。ほれ……さっさと帰んな。			禁忌都市マハ							
……せっかく来てくれたっていうのに、その態度はなに？私たちの「仲間」に、状況をきちんと説明なさい！			……せっかく来てくれたっていうのに、その態度はなに？私たちの「仲間」に、状況をきちんと説明なさい！			禁忌都市マハ							
…………捜索は、難航している。敵は、雲海のどこかに潜んで、勢力を拡大してるようなんだが、雲海をシラミ潰しに探せるほど、うちの規模も大きくねえんでな。			…………捜索は、難航している。敵は、雲海のどこかに潜んで、勢力を拡大してるようなんだが、雲海をシラミ潰しに探せるほど、うちの規模も大きくねえんでな。			禁忌都市マハ							
それと、空賊団「大鷲連合」のラドリアは覚えてるか？俺が、リンクパールを仕込んでおいたことに気づかず、魔航船を指し示す「霊風の羅針盤」を奪ったバカ女だが……。			それと、空賊団「大鷲連合」のラドリアは覚えてるか？俺が、リンクパールを仕込んでおいたことに気づかず、魔航船を指し示す「霊風の羅針盤」を奪ったバカ女だが……。			禁忌都市マハ							
連中も、魔航船を追っているようだったんで、情報が得られるかと盗聴をつづけちゃいるが、これも空振り。聞けたのは、航行中につきものの下世話な冗談くらいだ。			連中も、魔航船を追っているようだったんで、情報が得られるかと盗聴をつづけちゃいるが、これも空振り。聞けたのは、航行中につきものの下世話な冗談くらいだ。			禁忌都市マハ							
結果、地道に雲海を捜索するしかない……って状況なんだが、そこで、このネコじじいがギャンギャン騒ぎだしてな……。			結果、地道に雲海を捜索するしかない……って状況なんだが、そこで、このネコじじいがギャンギャン騒ぎだしてな……。			禁忌都市マハ							
広大な雲海を、この空賊団だけで捜索できるわけがない！なれば他の空賊団にも、捜索への協力を求めるべき……。そう提案するのは、当然のことであろう！			広大な雲海を、この空賊団だけで捜索できるわけがない！なれば他の空賊団にも、捜索への協力を求めるべき……。そう提案するのは、当然のことであろう！			禁忌都市マハ							
……ったく！　空賊のことを何も理解してねぇくせに喚くな！空賊は自由が信条でな、そうそう他人とつるむことはない。膨大な見返りを要求されるか、鼻で笑われるのがオチだ！			……ったく！　空賊のことを何も理解してねぇくせに喚くな！空賊は自由が信条でな、そうそう他人とつるむことはない。膨大な見返りを要求されるか、鼻で笑われるのがオチだ！			禁忌都市マハ							
貴様の下卑た思考を、他者にまで当てはめるでない。この崇高な使命を理解し協力してくれる者は、必ずいる！			貴様の下卑た思考を、他者にまで当てはめるでない。この崇高な使命を理解し協力してくれる者は、必ずいる！			禁忌都市マハ							
もう、ずっとこんな感じ……。私も空賊だし、どうにも意見がレオファードに偏っちゃって。ねえ、客観的に見て、あなたはどう思う？			もう、ずっとこんな感じ……。私も空賊だし、どうにも意見がレオファードに偏っちゃって。ねえ、客観的に見て、あなたはどう思う？			禁忌都市マハ							
どちらの意見に賛同する？			どちらの意見に賛同する？			禁忌都市マハ							
自分たちだけで十分だ			自分たちだけで十分だ			禁忌都市マハ							
他の空賊に協力を要請するべきだ			他の空賊に協力を要請するべきだ			禁忌都市マハ							
答えない			答えない			禁忌都市マハ							
ほーれ！　Forenameも俺に賛成だ。そうと決まれば、方針はこれまでとは変えずにいく。今後は、いかに捜索を効率化するかを検討するぞ。			ほーれ！　Forenameも俺に賛成だ。そうと決まれば、方針はこれまでとは変えずにいく。今後は、いかに捜索を効率化するかを検討するぞ。			禁忌都市マハ							
嘘だろ、お前までネコじじいの味方すんのかよ。空賊のことを、もっと理解してもらいたいもんだぜ……。			嘘だろ、お前までネコじじいの味方すんのかよ。空賊のことを、もっと理解してもらいたいもんだぜ……。			禁忌都市マハ							
……はぁ、様々な無理難題を、その手腕で片付けてきた冒険者だって、悩むこともあるか。			……はぁ、様々な無理難題を、その手腕で片付けてきた冒険者だって、悩むこともあるか。			禁忌都市マハ							
……いずれにせよ、いますぐ進むような話じゃねえ。この話は、いったんここまでだ……。現状の打開策は、俺がちゃんと考えておく。			……いずれにせよ、いますぐ進むような話じゃねえ。この話は、いったんここまでだ……。現状の打開策は、俺がちゃんと考えておく。			禁忌都市マハ							
ま、そんな状況なんで、お前の出番はまだ先なんだが…………そうだな、せっかくアジトまで足を運んでくれたんだ。ちょいと、頼みを聞いてくれや。			ま、そんな状況なんで、お前の出番はまだ先なんだが…………そうだな、せっかくアジトまで足を運んでくれたんだ。ちょいと、頼みを聞いてくれや。			禁忌都市マハ							
うちの腕利き技師「ウタタ」が、最近ずっと唸ってるんだ。どうも、魔航船について気になることがあるらしい……。「アバラシア雲海」にいるから、話を聞いてみてくれねぇか？			うちの腕利き技師「ウタタ」が、最近ずっと唸ってるんだ。どうも、魔航船について気になることがあるらしい……。「アバラシア雲海」にいるから、話を聞いてみてくれねぇか？			禁忌都市マハ							
……魔航船が関係することなら、私もそちらに向かおう。ここで大たわけと論議するよりも、有益なようだからな！！			……魔航船が関係することなら、私もそちらに向かおう。ここで大たわけと論議するよりも、有益なようだからな！！			禁忌都市マハ							
おなじ空賊としては、レオファードの意見に賛成だけど……私たちだけでは、捜索に時間がかかりすぎるのも確か。うまい打開策を見つけなくちゃね。			おなじ空賊としては、レオファードの意見に賛成だけど……私たちだけでは、捜索に時間がかかりすぎるのも確か。うまい打開策を見つけなくちゃね。			禁忌都市マハ							
うちの腕利き技師「ウタタ」が、最近ずっと唸ってるんだ。どうも、魔航船について気になることがあるらしい……。「アバラシア雲海」にいるから、話を聞いてみてくれねぇか？			うちの腕利き技師「ウタタ」が、最近ずっと唸ってるんだ。どうも、魔航船について気になることがあるらしい……。「アバラシア雲海」にいるから、話を聞いてみてくれねぇか？			禁忌都市マハ							
アジトで情報を待つ時間を利用して、飛空艇の操舵方法を習っておいて、正解だったようだな……。この程度の距離ならば、私の腕でも航行は可能ということか。			アジトで情報を待つ時間を利用して、飛空艇の操舵方法を習っておいて、正解だったようだな……。この程度の距離ならば、私の腕でも航行は可能ということか。			禁忌都市マハ							
あの大たわけは無視して、いっそ私自ら空賊に呼びかけを……。……いや、先のことはさておき、まずは「ウタタ」殿と話そう。			あの大たわけは無視して、いっそ私自ら空賊に呼びかけを……。……いや、先のことはさておき、まずは「ウタタ」殿と話そう。			禁忌都市マハ							
どうかしたのかね、ウタタ殿……。なにやら、魔航船に関することで悩んでおると聞いたが？			どうかしたのかね、ウタタ殿……。なにやら、魔航船に関することで悩んでおると聞いたが？			禁忌都市マハ							
ウ、ウタタどの！　は、はにゃひへ……！！はにゃ！　ふ、ふにゃーーーーーーーー！！！			ウ、ウタタどの！　は、はにゃひへ……！！はにゃ！　ふ、ふにゃーーーーーーーー！！！			禁忌都市マハ							
はぁ～、すっきりした！			はぁ～、すっきりした！			禁忌都市マハ							
……悪かったよ、どうにも行き詰まってたところに、丁度いいモフモフが目に入ってきたんで、つい憂さ晴らしをね。			……悪かったよ、どうにも行き詰まってたところに、丁度いいモフモフが目に入ってきたんで、つい憂さ晴らしをね。			禁忌都市マハ							
悩みの種は、魔航船を追うために作った「霊風の羅針盤」さ……。最初に作ったのは、こないだラドリアに奪われちまったから、そっくりおなじものを、作りなおしたんだけど……。			悩みの種は、魔航船を追うために作った「霊風の羅針盤」さ……。最初に作ったのは、こないだラドリアに奪われちまったから、そっくりおなじものを、作りなおしたんだけど……。			禁忌都市マハ							
こいつが、実際の魔航船の位置と全然違う方角を指すんだ！前に作ったときと、おなじ設計図と部品で組み立てたのに、何故うまく機能しないのかが、わからなくて……。			こいつが、実際の魔航船の位置と全然違う方角を指すんだ！前に作ったときと、おなじ設計図と部品で組み立てたのに、何故うまく機能しないのかが、わからなくて……。			禁忌都市マハ							
……ふ、ふむ、それは確かに異なことだ……。念のため尋ねるが、故障や設計不備の可能性はないのだね？			……ふ、ふむ、それは確かに異なことだ……。念のため尋ねるが、故障や設計不備の可能性はないのだね？			禁忌都市マハ							
ああ、いろんな調整を試したけど、問題は見当たらなかった。あたしはもう、すっかりさっぱりお手上げさ……。何か意見があるなら、聞かせてくれないかい？			ああ、いろんな調整を試したけど、問題は見当たらなかった。あたしはもう、すっかりさっぱりお手上げさ……。何か意見があるなら、聞かせてくれないかい？			禁忌都市マハ							
なんと答える？			なんと答える？			禁忌都市マハ							
故障なんてしていない			故障なんてしていない			禁忌都市マハ							
魔航船の状態が関係している……？			魔航船の状態が関係している……？			禁忌都市マハ							
さっぱり思い付かない			さっぱり思い付かない			禁忌都市マハ							
うむ、Forename殿の言う通り、ウタタ殿の腕前を信頼し、故障はしていないと考えるべき。羅針盤は正常だという観点で、他の要因を疑ってみよう。			うむ、Forename殿の言う通り、ウタタ殿の腕前を信頼し、故障はしていないと考えるべき。羅針盤は正常だという観点で、他の要因を疑ってみよう。			禁忌都市マハ							
……羅針盤の故障ではなく、外的要因を疑うというわけか。なるほど、視点を変えてみるというわけだな。			……羅針盤の故障ではなく、外的要因を疑うというわけか。なるほど、視点を変えてみるというわけだな。			禁忌都市マハ							
うむ、羅針盤の機構について、我らが思い当たることなど、とうにウタタ殿が検討済みのはず。何か気付いておらぬ、外的要因があるということか……？			うむ、羅針盤の機構について、我らが思い当たることなど、とうにウタタ殿が検討済みのはず。何か気付いておらぬ、外的要因があるということか……？			禁忌都市マハ							
その「霊風の羅針盤」なるものは、どのような機構に基づいて、魔航船を追っているのだね？			その「霊風の羅針盤」なるものは、どのような機構に基づいて、魔航船を追っているのだね？			禁忌都市マハ							
あたしが観測した、特殊なエーテル波形を追うようにできてる。魔航船の纏うエーテルが、かなり独特な波形をしていたんで、そいつを記録して、羅針盤で追えるようにしたんだ。			あたしが観測した、特殊なエーテル波形を追うようにできてる。魔航船の纏うエーテルが、かなり独特な波形をしていたんで、そいつを記録して、羅針盤で追えるようにしたんだ。			禁忌都市マハ							
……なるほど、魔航船の纏う特殊な波形のエーテル、か。特殊なエーテル……魔航船…………もしや……。			……なるほど、魔航船の纏う特殊な波形のエーテル、か。特殊なエーテル……魔航船…………もしや……。			禁忌都市マハ							
魔航船は、動力として妖異の魔力を利用していた……！羅針盤が追っていたのは、魔航船そのものではなく、内部に潜んでいた「妖異のエーテル」だったのではないか？			魔航船は、動力として妖異の魔力を利用していた……！羅針盤が追っていたのは、魔航船そのものではなく、内部に潜んでいた「妖異のエーテル」だったのではないか？			禁忌都市マハ							
そう考えれば、示す方角が違うのにも合点がいく……！ディアボロスや女王スカアハは、もう魔航船の中にはいない。羅針盤が奴らに反応していたのなら、指針が変わるのも当然！			そう考えれば、示す方角が違うのにも合点がいく……！ディアボロスや女王スカアハは、もう魔航船の中にはいない。羅針盤が奴らに反応していたのなら、指針が変わるのも当然！			禁忌都市マハ							
……ちょ、ちょっと待てよ。ってことは、この霊風の羅針盤に従って航空すれば、妖異どものところにたどり着く、ってこと！？			……ちょ、ちょっと待てよ。ってことは、この霊風の羅針盤に従って航空すれば、妖異どものところにたどり着く、ってこと！？			禁忌都市マハ							
そのとおりだ、ウタタ殿！この推測が正しくば、私たちだけでも妖異を追うことが叶う！			そのとおりだ、ウタタ殿！この推測が正しくば、私たちだけでも妖異を追うことが叶う！			禁忌都市マハ							
おお、スタシアか！リンクパール通信とは、ちょうどいいじゃねえかっ。すごいぞ、あたしたちの大発見を聞いておくれよ……！			おお、スタシアか！リンクパール通信とは、ちょうどいいじゃねえかっ。すごいぞ、あたしたちの大発見を聞いておくれよ……！			禁忌都市マハ							
た、大変だよ！！ラドリアの手下の飛空艇が、アジトに向かってるらしい！この前の仕返しかもしれない……いそいで戻ろう！			た、大変だよ！！ラドリアの手下の飛空艇が、アジトに向かってるらしい！この前の仕返しかもしれない……いそいで戻ろう！			禁忌都市マハ							
戻ってきてくれたのね……。今のところ、彼らに交戦の意思はなさそうよ。			戻ってきてくれたのね……。今のところ、彼らに交戦の意思はなさそうよ。			禁忌都市マハ							
どうやら、戦闘や略奪行為をしに来たわけではなさそうだ。ふぅむ……随分と疲弊しておるようだが……。			どうやら、戦闘や略奪行為をしに来たわけではなさそうだ。ふぅむ……随分と疲弊しておるようだが……。			禁忌都市マハ							
なーんか、妙だね。「大鷲連合」の親玉、ラドリアの姿が見当たらないぞ？			なーんか、妙だね。「大鷲連合」の親玉、ラドリアの姿が見当たらないぞ？			禁忌都市マハ							
……な、なんとか……ここまで来れたか。			……な、なんとか……ここまで来れたか。			禁忌都市マハ							
乱鴉のレオファード、あんたに頼みがあって来たんだ……。どうか姐さんを……ラドリア姐さんを助けてくれ！			乱鴉のレオファード、あんたに頼みがあって来たんだ……。どうか姐さんを……ラドリア姐さんを助けてくれ！			禁忌都市マハ							
お前、「大鷲連合」の主力部隊のひとりだったな。俺たちから「霊風の羅針盤」を奪っといて、助けろとは……。……お前ら、いったい何をしでかした？			お前、「大鷲連合」の主力部隊のひとりだったな。俺たちから「霊風の羅針盤」を奪っといて、助けろとは……。……お前ら、いったい何をしでかした？			禁忌都市マハ							
……俺らは、あんたから奪った羅針盤が示す先へ向かっていった。そして辿り着いたのは、見たこともねえ古ぼけた遺跡……。だが、そこには恐ろしい妖異が待ち構えてやがったんだ！			……俺らは、あんたから奪った羅針盤が示す先へ向かっていった。そして辿り着いたのは、見たこともねえ古ぼけた遺跡……。だが、そこには恐ろしい妖異が待ち構えてやがったんだ！			禁忌都市マハ							
蜘蛛みてぇな妖異に襲われ、飛空艇が次々と撃墜されて……。俺らのフネはどうにか回避できたんだが、上空から見えたのは、まさに大虐殺……ラドリア姐さんも、行方知れずに……！			蜘蛛みてぇな妖異に襲われ、飛空艇が次々と撃墜されて……。俺らのフネはどうにか回避できたんだが、上空から見えたのは、まさに大虐殺……ラドリア姐さんも、行方知れずに……！			禁忌都市マハ							
……ねえ、あなた、奪われた羅針盤に、盗聴用のリンクパールを仕込んでいたはずよね……！それを使えば、ラドリアがまだ無事かわかるんじゃない？			……ねえ、あなた、奪われた羅針盤に、盗聴用のリンクパールを仕込んでいたはずよね……！それを使えば、ラドリアがまだ無事かわかるんじゃない？			禁忌都市マハ							
…………くそ、雑音が酷いな…………。いや、待て…………何か聞こえてきた……！			…………くそ、雑音が酷いな…………。いや、待て…………何か聞こえてきた……！			禁忌都市マハ							
「マハの遺物……狙われている……　奴らも……探して……妖異から、隠れ…………！」			「マハの遺物……狙われている……　奴らも……探して……妖異から、隠れ…………！」			禁忌都市マハ							
