オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			鬼の棲む島							
無事に白虎のアラミタマを鎮めることができたようじゃな。これで本来の妖力を、存分に振るうことができるじゃろう。礼を言うぞい、Forename。			無事に白虎のアラミタマを鎮めることができたようじゃな。これで本来の妖力を、存分に振るうことができるじゃろう。礼を言うぞい、Forename。			鬼の棲む島							
玄武になんと言う？			玄武になんと言う？			鬼の棲む島							
ソロバンは何をしているの？			ソロバンは何をしているの？			鬼の棲む島							
どういう状況？			どういう状況？			鬼の棲む島							
ほっほっほ、ソロバンには、まじないをかける力があるでのう。黄龍の再封印の助けをさせるために、修行をつけておるのじゃ。いやいや、あやつはなかなか筋が良いぞい。			ほっほっほ、ソロバンには、まじないをかける力があるでのう。黄龍の再封印の助けをさせるために、修行をつけておるのじゃ。いやいや、あやつはなかなか筋が良いぞい。			鬼の棲む島							
ひぃぃぃ、いつまで経っても終わらないよぉ～！！			ひぃぃぃ、いつまで経っても終わらないよぉ～！！			鬼の棲む島							
つべこべ言わず、さっさと読むでっす！			つべこべ言わず、さっさと読むでっす！			鬼の棲む島							
ほっほっほ、斯様に賑やかなのは久方ぶりじゃわい。あの男と旅しておった時以来かもしれんのう。			ほっほっほ、斯様に賑やかなのは久方ぶりじゃわい。あの男と旅しておった時以来かもしれんのう。			鬼の棲む島							
あの男って、いったいどなたのことでっすか？そろそろ教えてほしいのでっす！			あの男って、いったいどなたのことでっすか？そろそろ教えてほしいのでっす！			鬼の棲む島							
そうじゃな……ならば、ほんの少しだけ、昔話をさせてもらおうかのう。			そうじゃな……ならば、ほんの少しだけ、昔話をさせてもらおうかのう。			鬼の棲む島							
あの男……テンゼンもまた、Forenameのような力を持っておった。おぬしらが、「超える力」と呼んでおる能力じゃ。			あの男……テンゼンもまた、Forenameのような力を持っておった。おぬしらが、「超える力」と呼んでおる能力じゃ。			鬼の棲む島							
それゆえ、同族からは異端視されていたようじゃが、テンゼンは他者の視線なぞ気にも留めず、人々のために働いた。あの男は、ヒトを愛しておったからのう。			それゆえ、同族からは異端視されていたようじゃが、テンゼンは他者の視線なぞ気にも留めず、人々のために働いた。あの男は、ヒトを愛しておったからのう。			鬼の棲む島							
そんなあやつが命を落とす原因となったのが、黄龍との戦いじゃ。当時のワシら四聖獣は、百年そこそこ生きただけの弱き獣でのう。黄龍と刺し違えるテンゼンを、見ていることしかできなかった。			そんなあやつが命を落とす原因となったのが、黄龍との戦いじゃ。当時のワシら四聖獣は、百年そこそこ生きただけの弱き獣でのう。黄龍と刺し違えるテンゼンを、見ていることしかできなかった。			鬼の棲む島							
テンゼンは、最期の力を振り絞り、瀕死の黄龍を封じると、旅の末に手にした宝玉をワシらに手渡した……。不思議な光をたたえる結晶じゃ。			テンゼンは、最期の力を振り絞り、瀕死の黄龍を封じると、旅の末に手にした宝玉をワシらに手渡した……。不思議な光をたたえる結晶じゃ。			鬼の棲む島							
我ら四聖獣が、瑞獣として裏返ることができたのも、テンゼンに託された宝玉の力ゆえだろう。少なくとも、私はそう信じている。			我ら四聖獣が、瑞獣として裏返ることができたのも、テンゼンに託された宝玉の力ゆえだろう。少なくとも、私はそう信じている。			鬼の棲む島							
そして、私たちはテンゼンの使命を受け継ぐため、あらん限りの妖力を用いて、この社を建て封印をより強固にした。			そして、私たちはテンゼンの使命を受け継ぐため、あらん限りの妖力を用いて、この社を建て封印をより強固にした。			鬼の棲む島							
……さて、昔話はここまでじゃ。引き続きForenameには、残る四聖獣のアラミタマを鎮めてもらいたい。			……さて、昔話はここまでじゃ。引き続きForenameには、残る四聖獣のアラミタマを鎮めてもらいたい。			鬼の棲む島							
とはいえ、まずは白虎との戦いの疲れを癒やすことじゃ。その間、何か知りたいことがあれば、「博識のセンリ」から聞くがよい。			とはいえ、まずは白虎との戦いの疲れを癒やすことじゃ。その間、何か知りたいことがあれば、「博識のセンリ」から聞くがよい。			鬼の棲む島							
では、私はお先に戻りまっす！Forenameさんも、ちゃんと休むでっすよ！			では、私はお先に戻りまっす！Forenameさんも、ちゃんと休むでっすよ！			鬼の棲む島							
それじゃ～、オイラも碧のタマミズに帰るとするよぉ～。			それじゃ～、オイラも碧のタマミズに帰るとするよぉ～。			鬼の棲む島							
ほっほっほ、バカを言うでない。おぬしの修行はまだ終わってはおらん、ここへ残れ。			ほっほっほ、バカを言うでない。おぬしの修行はまだ終わってはおらん、ここへ残れ。			鬼の棲む島							
そ、そんなぁ～！…………で、でも、テンゼンさんと四聖獣様たちの、想いを知ったあとだと、帰りづらくて仕方ないよぉ～。			そ、そんなぁ～！…………で、でも、テンゼンさんと四聖獣様たちの、想いを知ったあとだと、帰りづらくて仕方ないよぉ～。			鬼の棲む島							
悪いけど、「ブンチン」様に伝えておいてくれるかなぁ～。しばらく帰れそうにもないってぇ～。			悪いけど、「ブンチン」様に伝えておいてくれるかなぁ～。しばらく帰れそうにもないってぇ～。			鬼の棲む島							
はぁ～……もう疲れたよぉ～……。			はぁ～……もう疲れたよぉ～……。			鬼の棲む島							
私は、玄武さんから頼まれて、ソロバンさんの見張りを務めているのでっす！			私は、玄武さんから頼まれて、ソロバンさんの見張りを務めているのでっす！			鬼の棲む島							
全力で戦うなど、いつ以来であっただろう……。			全力で戦うなど、いつ以来であっただろう……。			鬼の棲む島							
フォフォフォ、事情は承知しましたぞぉ～。次に玄武様とお会いになったときは、ソロバンなら、いくら使っていただいても構いませぬとお伝えくだされぇ～。			フォフォフォ、事情は承知しましたぞぉ～。次に玄武様とお会いになったときは、ソロバンなら、いくら使っていただいても構いませぬとお伝えくだされぇ～。			鬼の棲む島							
……そういえば、先ほど、手紙を口に咥えた不思議な狸がやってきましてなぁ～。内容からして、お客人に宛てたもののようですぞぉ～。			……そういえば、先ほど、手紙を口に咥えた不思議な狸がやってきましてなぁ～。内容からして、お客人に宛てたもののようですぞぉ～。			鬼の棲む島							
(-謎めいた手紙-)戦いの疲れが癒えるまでに、再び社を訪れたい時は、獄之蓋におるフウリに案内を頼むがよい。			(-謎めいた手紙-)戦いの疲れが癒えるまでに、再び社を訪れたい時は、獄之蓋におるフウリに案内を頼むがよい。			鬼の棲む島							
どうやら、手紙の差出人は玄武様のようですなぁ～？気が向いたときにでも、ソロバンの様子を見に行ってやってくだされぇ～。			どうやら、手紙の差出人は玄武様のようですなぁ～？気が向いたときにでも、ソロバンの様子を見に行ってやってくだされぇ～。			鬼の棲む島							
まずは白虎との戦いの疲れを癒やすことじゃ。その間、何か知りたいことがあれば、「博識のセンリ」から聞くがよい。			まずは白虎との戦いの疲れを癒やすことじゃ。その間、何か知りたいことがあれば、「博識のセンリ」から聞くがよい。			鬼の棲む島							
悪いけど、「ブンチン」様に伝えておいてくれるかなぁ～。しばらく帰れそうにもないってぇ～。			悪いけど、「ブンチン」様に伝えておいてくれるかなぁ～。しばらく帰れそうにもないってぇ～。			鬼の棲む島							
アラミタマに飲まれる恐怖から解放され、今はとても清々しい気持ちだ。これも、お前のおかげだな。			アラミタマに飲まれる恐怖から解放され、今はとても清々しい気持ちだ。これも、お前のおかげだな。			鬼の棲む島							
碧のタマミズのブンチンは、頼みたいことがあるようだ。			碧のタマミズのブンチンは、頼みたいことがあるようだ。			時をかける亀							
前回までの冒険録：冒険者は、獄之蓋の奥地に建てられた醴泉神社で、四聖獣の一体である玄武と出会った。千年以上の時を生きたことにより、未来の凶事を予見する力を得たという玄武は、遠くない未来に、紅玉海一帯が炎に包まれる情景を視たという。冒険者は、迫り来る災厄を防ぐために、玄武以外の四聖獣のアラミタマを鎮めるよう依頼を受ける。手始めに白虎のアラミタマを鎮めることに成功した冒険者は、戦いで受けた傷を癒やしながら、玄武からの連絡を待っていた。　　　　　　　　　　　　*　*　*ブンチンは、玄武の下で修行をしているソロバンを気にかけているようだ。タタルからリンクパール通信が入り、醴泉神社で待ち合わせることになった。紅玉海の醴泉神社にいる「玄武」と話そう。醴泉神社へ行くには、獄之蓋入口にいる神出鬼没のフウリに道案内を頼むのが良いだろう。			前回までの冒険録：冒険者は、獄之蓋の奥地に建てられた醴泉神社で、四聖獣の一体である玄武と出会った。千年以上の時を生きたことにより、未来の凶事を予見する力を得たという玄武は、遠くない未来に、紅玉海一帯が炎に包まれる情景を視たという。冒険者は、迫り来る災厄を防ぐために、玄武以外の四聖獣のアラミタマを鎮めるよう依頼を受ける。手始めに白虎のアラミタマを鎮めることに成功した冒険者は、戦いで受けた傷を癒やしながら、玄武からの連絡を待っていた。　　　　　　　　　　　　*　*　*ブンチンは、玄武の下で修行をしているソロバンを気にかけているようだ。タタルからリンクパール通信が入り、醴泉神社で待ち合わせることになった。紅玉海の醴泉神社にいる「玄武」と話そう。醴泉神社へ行くには、獄之蓋入口にいる神出鬼没のフウリに道案内を頼むのが良いだろう。			時をかける亀							
玄武と話した。ソロバンに妖力の引き出し方を会得させるため、ガンエン廟に奉納されている風水玉手箱を手に入れるよう頼まれた。ヤンサのガンエン廟前にいる「新参のカマイタチ」と話そう。			玄武と話した。ソロバンに妖力の引き出し方を会得させるため、ガンエン廟に奉納されている風水玉手箱を手に入れるよう頼まれた。ヤンサのガンエン廟前にいる「新参のカマイタチ」と話そう。			時をかける亀							
新参のカマイタチと話した。風水士たちが仕掛けていた扉の封印は、新参のカマイタチが解除してくれたようだ。「風水霊殿 ガンエン廟」を攻略し、風水玉手箱を入手しよう。※コンテンツファインダーから攻略に参加できます。			新参のカマイタチと話した。風水士たちが仕掛けていた扉の封印は、新参のカマイタチが解除してくれたようだ。「風水霊殿 ガンエン廟」を攻略し、風水玉手箱を入手しよう。※コンテンツファインダーから攻略に参加できます。			時をかける亀							
ガンエン廟の奥で風水玉手箱を手に入れた。醴泉神社にいる「玄武」に「風水玉手箱」を渡そう。			ガンエン廟の奥で風水玉手箱を手に入れた。醴泉神社にいる「玄武」に「風水玉手箱」を渡そう。			時をかける亀							
玄武に風水玉手箱を渡した。ソロバンの修行には危険を伴うようだ。準備が出来次第、醴泉神社の「玄武」と話そう。			玄武に風水玉手箱を渡した。ソロバンの修行には危険を伴うようだ。準備が出来次第、醴泉神社の「玄武」と話そう。			時をかける亀							
玄武と話した。風水玉手箱によって瑞獣へと裏返ったソロバンは、社を破壊しかねないほどの妖力を持っていた。玄武とタタルと協力し、ソロバンを鎮めよう。			玄武と話した。風水玉手箱によって瑞獣へと裏返ったソロバンは、社を破壊しかねないほどの妖力を持っていた。玄武とタタルと協力し、ソロバンを鎮めよう。			時をかける亀							
ソロバンを鎮めた。醴泉神社にいる「玄武」と話そう。			ソロバンを鎮めた。醴泉神社にいる「玄武」と話そう。			時をかける亀							
玄武と話した。百年の時を生き、凶事を予見する力を得た玄武は、五百歳を過ぎた頃に、人里が土砂に呑まれる未来を視たという。テンゼンと白虎の協力により、里の人間たちを救った玄武は、以後はふたりの旅に同行して、多くの凶事に立ち向かってきたようだ。玄武は、近い未来に起こる大災厄を前に、テンゼンがいなくとも、四聖獣の力でなんとかしてみせると誓う。一方ソロバンは、瑞獣へと裏返ったときのことを忘れない内に、玄武から修行を再開するよう言い渡される。ソロバンの状況について、紅玉海の碧のタマミズにいるブンチンに報告しよう。			玄武と話した。百年の時を生き、凶事を予見する力を得た玄武は、五百歳を過ぎた頃に、人里が土砂に呑まれる未来を視たという。テンゼンと白虎の協力により、里の人間たちを救った玄武は、以後はふたりの旅に同行して、多くの凶事に立ち向かってきたようだ。玄武は、近い未来に起こる大災厄を前に、テンゼンがいなくとも、四聖獣の力でなんとかしてみせると誓う。一方ソロバンは、瑞獣へと裏返ったときのことを忘れない内に、玄武から修行を再開するよう言い渡される。ソロバンの状況について、紅玉海の碧のタマミズにいるブンチンに報告しよう。			時をかける亀							
報告を受けたブンチンは、ソロバンの潜在能力に驚く。玄武から次の依頼が来るまでの間、修行に励むソロバンの様子を見に行くのも良いだろう。			報告を受けたブンチンは、ソロバンの潜在能力に驚く。玄武から次の依頼が来るまでの間、修行に励むソロバンの様子を見に行くのも良いだろう。			時をかける亀							
醴泉神社の玄武と話す			醴泉神社の玄武と話す			時をかける亀							
ヤンサのガンエン廟前にいる新参のカマイタチと話す			ヤンサのガンエン廟前にいる新参のカマイタチと話す			時をかける亀							
「風水霊殿 ガンエン廟」を攻略し、風水玉手箱を入手			「風水霊殿 ガンエン廟」を攻略し、風水玉手箱を入手			時をかける亀							
醴泉神社の玄武に風水玉手箱を渡す			醴泉神社の玄武に風水玉手箱を渡す			時をかける亀							
玄武と話す			玄武と話す			時をかける亀							
碧のタマミズにいるブンチンと話す			碧のタマミズにいるブンチンと話す			時をかける亀							
ソロバンのアラミタマを鎮めろ！			ソロバンのアラミタマを鎮めろ！			時をかける亀							
お客人、よくぞおいでくださいましたなぁ～。			お客人、よくぞおいでくださいましたなぁ～。			時をかける亀							
しかしソロバンなら、まだ戻ってきておりませんぞぉ～。きっと、玄武さまの下で修行を続けているのでしょうなぁ～。			しかしソロバンなら、まだ戻ってきておりませんぞぉ～。きっと、玄武さまの下で修行を続けているのでしょうなぁ～。			時をかける亀							
(-タタルの声-)Forenameさん、聞こえまっすか？タタルでっす！			(-タタルの声-)Forenameさん、聞こえまっすか？タタルでっす！			時をかける亀							
(-タタルの声-)修行中のソロバンさんに差し入れを渡したいので、付き合ってほしいのでっす！			(-タタルの声-)修行中のソロバンさんに差し入れを渡したいので、付き合ってほしいのでっす！			時をかける亀							
(-タタルの声-)念のためお伝えしまっすが、醴泉神社へ向かうには、獄之蓋の入口にいる瑞獣さんに道案内を頼むのがいいでっすよ！すぐに私も向かいまっすので、現地で合流するでっす！			(-タタルの声-)念のためお伝えしまっすが、醴泉神社へ向かうには、獄之蓋の入口にいる瑞獣さんに道案内を頼むのがいいでっすよ！すぐに私も向かいまっすので、現地で合流するでっす！			時をかける亀							
なにやらよくわかりませんが……ソロバンのもとへ行かれるのであれば、「玄武」様にもよろしくお伝えくだされぇ～。			なにやらよくわかりませんが……ソロバンのもとへ行かれるのであれば、「玄武」様にもよろしくお伝えくだされぇ～。			時をかける亀							
ほっほっほ、丁度よい所に来たのう。……おや、座敷わらしは一緒ではないのか？			ほっほっほ、丁度よい所に来たのう。……おや、座敷わらしは一緒ではないのか？			時をかける亀							
座敷わらしじゃ、ないのでっす！いい加減、名前を覚えてくれないと、差し入れのタコ焼き、玄武さんにはあげないでっすよ！？			座敷わらしじゃ、ないのでっす！いい加減、名前を覚えてくれないと、差し入れのタコ焼き、玄武さんにはあげないでっすよ！？			時をかける亀							
ほっほっほっ、それは困るのう。差し入れ、感謝するぞい、座敷わらしよ。			ほっほっほっ、それは困るのう。差し入れ、感謝するぞい、座敷わらしよ。			時をかける亀							
ともかく、前回白虎のアラミタマを鎮めてくれたこと、改めて礼を言うぞい。			ともかく、前回白虎のアラミタマを鎮めてくれたこと、改めて礼を言うぞい。			時をかける亀							
あれからソロバンの修行を続けておるのじゃが、ちとおぬしらに相談したいことがあってのう。			あれからソロバンの修行を続けておるのじゃが、ちとおぬしらに相談したいことがあってのう。			時をかける亀							
こやつ、筋は悪くないのじゃが、強い妖力を持たぬゆえ、大災厄への備えとしてはちと心許なくてのう。			こやつ、筋は悪くないのじゃが、強い妖力を持たぬゆえ、大災厄への備えとしてはちと心許なくてのう。			時をかける亀							
本来ならば、青龍か朱雀のアラミタマを鎮めておくべきじゃが、来るべき時のことを考えると、布石は多いほうがよい。此度は、ソロバンの次なる修行に付き合ってくれんか。			本来ならば、青龍か朱雀のアラミタマを鎮めておくべきじゃが、来るべき時のことを考えると、布石は多いほうがよい。此度は、ソロバンの次なる修行に付き合ってくれんか。			時をかける亀							
うぅ～……いったい何をさせられるんだよぉ～……。			うぅ～……いったい何をさせられるんだよぉ～……。			時をかける亀							
なあに、怯えることはない。おぬしがやることは、ただ箱を開けるだけじゃ。			なあに、怯えることはない。おぬしがやることは、ただ箱を開けるだけじゃ。			時をかける亀							
なんだ、簡単じゃないかぁ～。そんなことでいいなら、オイラがんばるよぉ～。			なんだ、簡単じゃないかぁ～。そんなことでいいなら、オイラがんばるよぉ～。			時をかける亀							
ただし、ただの箱ではないぞ？おぬしが開けるのは、風水玉手箱と呼ばれる、時の流れを操る力を秘めた、霊験あらたかな神器じゃ。			ただし、ただの箱ではないぞ？おぬしが開けるのは、風水玉手箱と呼ばれる、時の流れを操る力を秘めた、霊験あらたかな神器じゃ。			時をかける亀							
……一気に嫌な予感がしてきたよぉ～。どうしてそんな物が必要なのさぁ～？			……一気に嫌な予感がしてきたよぉ～。どうしてそんな物が必要なのさぁ～？			時をかける亀							
風水玉手箱の力で、ソロバンの時の流れを加速させ、一時的に瑞獣へと裏返し、妖力の引き出し方を会得させる……それが、此度の修行の内容じゃ。			風水玉手箱の力で、ソロバンの時の流れを加速させ、一時的に瑞獣へと裏返し、妖力の引き出し方を会得させる……それが、此度の修行の内容じゃ。			時をかける亀							
えぇ～！？オイラ、瑞獣にされちゃうのぉ～！？			えぇ～！？オイラ、瑞獣にされちゃうのぉ～！？			時をかける亀							
……そういえば、Forenameさん、以前、紫水宮で似たような箱を見たそうでっすね？			……そういえば、Forenameさん、以前、紫水宮で似たような箱を見たそうでっすね？			時をかける亀							
確かに、紫水宮にも玉手箱と呼ばれる物があるようじゃが、あれは、開けた者の姿を老婆に変化させるだけの、贋作に過ぎん。神器を真似た品というのは、よくあるのじゃよ。			確かに、紫水宮にも玉手箱と呼ばれる物があるようじゃが、あれは、開けた者の姿を老婆に変化させるだけの、贋作に過ぎん。神器を真似た品というのは、よくあるのじゃよ。			時をかける亀							
……そういえば、東方の伝承を調べているときに、玉手箱についての逸話も、見かけた気がしまっす……。			……そういえば、東方の伝承を調べているときに、玉手箱についての逸話も、見かけた気がしまっす……。			時をかける亀							
ただ玉手箱と呼ばれる品なら、スイの民も有しておるはずじゃが、あれは、開けた者の姿を老婆に変化させるだけの、贋作に過ぎん。神器を真似た品というのは、よくあるのじゃよ。			ただ玉手箱と呼ばれる品なら、スイの民も有しておるはずじゃが、あれは、開けた者の姿を老婆に変化させるだけの、贋作に過ぎん。神器を真似た品というのは、よくあるのじゃよ。			時をかける亀							
風水玉手箱が特別なのには、わけがある。作ったのは、とある瑞獣なのじゃよ。			風水玉手箱が特別なのには、わけがある。作ったのは、とある瑞獣なのじゃよ。			時をかける亀							
そやつは、長き時を生きる中で、アラミタマに心を呑まれた瑞獣が、暴走し、災厄へと変わり果てていく光景を、幾度も見たという。それでも、そやつは毅然として、暴走する同胞を討ち続けた。			そやつは、長き時を生きる中で、アラミタマに心を呑まれた瑞獣が、暴走し、災厄へと変わり果てていく光景を、幾度も見たという。それでも、そやつは毅然として、暴走する同胞を討ち続けた。			時をかける亀							
しかして、いつしか心が壊れてしまったのじゃろう。最終的にそやつは、自身の妖力を注いで風水玉手箱を作り、自ら煙を浴びることで、老いて死ぬことを選んだのじゃ……。			しかして、いつしか心が壊れてしまったのじゃろう。最終的にそやつは、自身の妖力を注いで風水玉手箱を作り、自ら煙を浴びることで、老いて死ぬことを選んだのじゃ……。			時をかける亀							
力を持ちすぎた瑞獣は、簡単に死ねないんだねぇ～……。			力を持ちすぎた瑞獣は、簡単に死ねないんだねぇ～……。			時をかける亀							
とても……悲しい話でっす……。			とても……悲しい話でっす……。			時をかける亀							
風水玉手箱は、使いようによっては瑞獣をも殺せる危険さゆえ、ヤンサにある「ガンエン廟」の奥に奉納され、封じられておる。これを、おぬしに手に入れてきてもらいたい。			風水玉手箱は、使いようによっては瑞獣をも殺せる危険さゆえ、ヤンサにある「ガンエン廟」の奥に奉納され、封じられておる。これを、おぬしに手に入れてきてもらいたい。			時をかける亀							
なにせ、ガンエン廟は今や主を失い、暴走した式神どもがうろつく危険な場所ゆえな。「新参のカマイタチ」に案内させるゆえ、現地で合流するがよい。			なにせ、ガンエン廟は今や主を失い、暴走した式神どもがうろつく危険な場所ゆえな。「新参のカマイタチ」に案内させるゆえ、現地で合流するがよい。			時をかける亀							
さて、ソロバンよ。風水玉手箱が届くまで、これまでの修行のおさらいといこうかのう。			さて、ソロバンよ。風水玉手箱が届くまで、これまでの修行のおさらいといこうかのう。			時をかける亀							
ひぃ～、またやるのぉ～……。			ひぃ～、またやるのぉ～……。			時をかける亀							
オイラの様子を見に来てくれたんだねぇ～。玄武さまの修行はツラいけど、頑張ってるよぉ～。			オイラの様子を見に来てくれたんだねぇ～。玄武さまの修行はツラいけど、頑張ってるよぉ～。			時をかける亀							
玄武の爺さんは、あのコウジン族を買っているようだな。確かに、他の個体と比べて法力は強いようだが……。			玄武の爺さんは、あのコウジン族を買っているようだな。確かに、他の個体と比べて法力は強いようだが……。			時をかける亀							
……なにやらよくわかりませんが、「玄武」様によろしくお伝えくだされぇ～。			……なにやらよくわかりませんが、「玄武」様によろしくお伝えくだされぇ～。			時をかける亀							
やい、お前！遅かったじゃないか！玄武の爺ちゃんに言われて、お前を待っていたんだぞ！			やい、お前！遅かったじゃないか！玄武の爺ちゃんに言われて、お前を待っていたんだぞ！			時をかける亀							
ガンエン廟の中に用があるんだって？風水士たちが仕掛けていた扉の封印なら、もう解いてあるから、さっさと突入しろよな！			ガンエン廟の中に用があるんだって？風水士たちが仕掛けていた扉の封印なら、もう解いてあるから、さっさと突入しろよな！			時をかける亀							
あ、ひとつ言い忘れてた。ガンエン廟の奥には、風水玉手箱が悪用されないように、つよーい瑞獣が番人として守っているらしいぜ！			あ、ひとつ言い忘れてた。ガンエン廟の奥には、風水玉手箱が悪用されないように、つよーい瑞獣が番人として守っているらしいぜ！			時をかける亀							
本気の白虎さまと渡り合えたお前なら平気だろうけど、ま、せいぜい気をつけるんだね！			本気の白虎さまと渡り合えたお前なら平気だろうけど、ま、せいぜい気をつけるんだね！			時をかける亀							
きびきび動くでっす！サボったら、タコ焼き抜きでっすよ！			きびきび動くでっす！サボったら、タコ焼き抜きでっすよ！			時をかける亀							
ひぇぇ～。			ひぇぇ～。			時をかける亀							
ガンエン廟は今や主を失い、暴走した式神どもがうろつく危険な場所となっておる。「新参のカマイタチ」に案内させるゆえ、現地で合流するがよい。			ガンエン廟は今や主を失い、暴走した式神どもがうろつく危険な場所となっておる。「新参のカマイタチ」に案内させるゆえ、現地で合流するがよい。			時をかける亀							
ガンエン廟に行くそうだな。あの地には強力な瑞獣がいると聞いたことがある。風水玉手箱を作った瑞獣の弟子だったはずだが……。			ガンエン廟に行くそうだな。あの地には強力な瑞獣がいると聞いたことがある。風水玉手箱を作った瑞獣の弟子だったはずだが……。			時をかける亀							
さあ、準備ができたんなら、さっさと突入しろよ！			さあ、準備ができたんなら、さっさと突入しろよ！			時をかける亀							
どうじゃ、風水玉手箱は手に入ったか？			どうじゃ、風水玉手箱は手に入ったか？			時をかける亀							
無事に手に入れてきおったか。ほっほっほ、さすがは白虎を鎮めしヒトの子よ。			無事に手に入れてきおったか。ほっほっほ、さすがは白虎を鎮めしヒトの子よ。			時をかける亀							
では、早速じゃが、ソロバンの次なる修行を始めるとしよう。力のある瑞獣が作った神器とはいえ、骨董品以上の年代物じゃ。万が一ということもある、覚悟しておくのじゃ。			では、早速じゃが、ソロバンの次なる修行を始めるとしよう。力のある瑞獣が作った神器とはいえ、骨董品以上の年代物じゃ。万が一ということもある、覚悟しておくのじゃ。			時をかける亀							
えぇ～……覚悟したくないよぉ～……。			えぇ～……覚悟したくないよぉ～……。			時をかける亀							
安心せい。黄龍の封印は、白虎に護らせておくゆえな。			安心せい。黄龍の封印は、白虎に護らせておくゆえな。			時をかける亀							
そうでっす！それに私も、ソロバンさんの修行をお手伝いするために、動きやすい服装に着替えてきたのでっすよ！			そうでっす！それに私も、ソロバンさんの修行をお手伝いするために、動きやすい服装に着替えてきたのでっすよ！			時をかける亀							
高額の報酬……いえ、紅玉海の平穏を守るためには、私たちが頑張るしかないのでっす！			高額の報酬……いえ、紅玉海の平穏を守るためには、私たちが頑張るしかないのでっす！			時をかける亀							
ほっほっほ、Forenameよ……不測の事態が起こった時は、おぬしに任せるぞい。準備が出来たら、ワシに話しかけるのじゃ。			ほっほっほ、Forenameよ……不測の事態が起こった時は、おぬしに任せるぞい。準備が出来たら、ワシに話しかけるのじゃ。			時をかける亀							
Forenameさん、おかえりなさいでっす。風水玉手箱は手に入れられたのでっすか？			Forenameさん、おかえりなさいでっす。風水玉手箱は手に入れられたのでっすか？			時をかける亀							
はぁ～、オイラもう疲れたよぉ～。			はぁ～、オイラもう疲れたよぉ～。			時をかける亀							
無事に戻ったか。今さらお前の心配などしていないがな。			無事に戻ったか。今さらお前の心配などしていないがな。			時をかける亀							
お、お前……もう帰ってきたのか。			お、お前……もう帰ってきたのか。			時をかける亀							
準備は整ったかの？では、修行を始めるとするぞい。			準備は整ったかの？では、修行を始めるとするぞい。			時をかける亀							
さあソロバンよ、玉手箱を開けるのじゃ。その内より出ずる煙を浴びることで、おぬしの肉体は、一時的に千年の時を経て、瑞獣へと裏返るじゃろう。			さあソロバンよ、玉手箱を開けるのじゃ。その内より出ずる煙を浴びることで、おぬしの肉体は、一時的に千年の時を経て、瑞獣へと裏返るじゃろう。			時をかける亀							
本当にやるのぉ～……。オイラ、まだおじいちゃんにはなりたくないよぉ～。			本当にやるのぉ～……。オイラ、まだおじいちゃんにはなりたくないよぉ～。			時をかける亀							
煙を浴びないよう、ワシらは離れておこう。			煙を浴びないよう、ワシらは離れておこう。			時をかける亀							
もがもがもがもがもが……			もがもがもがもがもが……			時をかける亀							
……何も……起こらないでっすね……。			……何も……起こらないでっすね……。			時をかける亀							
もしかして、偽物なんじゃないでっすか……？			もしかして、偽物なんじゃないでっすか……？			時をかける亀							
ばかもーーーーーーーーん！！			ばかもーーーーーーーーん！！			時をかける亀							
ぎにゃあぁ！！！			ぎにゃあぁ！！！			時をかける亀							
いたたたた……でっす……。少しは手加減してほしいのでっす……。			いたたたた……でっす……。少しは手加減してほしいのでっす……。			時をかける亀							
……Forenameさん、そんなに驚いてどうかしたのでっす？私の顔に何かついているでっすか？			……Forenameさん、そんなに驚いてどうかしたのでっす？私の顔に何かついているでっすか？			時をかける亀							
おわ～～～～～～～～～っ！！！！顔がしわしわに～～～～～～～っ！！！！！			おわ～～～～～～～～～っ！！！！顔がしわしわに～～～～～～～っ！！！！！			時をかける亀							
老婆になっただけで済んでよかったわい。ヒトの身で、もう少し長く煙を浴びておったら、老衰で死んでしまうところじゃったぞい。			老婆になっただけで済んでよかったわい。ヒトの身で、もう少し長く煙を浴びておったら、老衰で死んでしまうところじゃったぞい。			時をかける亀							
老婆もイヤでっす～！			老婆もイヤでっす～！			時をかける亀							
ほっほっほ、心配するな。先ほども言ったが、玉手箱の効果は一時的なもの。じきに元の姿に戻るじゃろう。			ほっほっほ、心配するな。先ほども言ったが、玉手箱の効果は一時的なもの。じきに元の姿に戻るじゃろう。			時をかける亀							
しまった、ソロバンのことをすっかり忘れておった！こんなに長時間煙を浴びたら、瑞獣へと裏返るどころか、アラミタマが暴走してしまうぞい！			しまった、ソロバンのことをすっかり忘れておった！こんなに長時間煙を浴びたら、瑞獣へと裏返るどころか、アラミタマが暴走してしまうぞい！			時をかける亀							
とは言え、強い法力を持たぬソロバンが、瑞獣へと裏返り、暴走したところで、大した危険は…………			とは言え、強い法力を持たぬソロバンが、瑞獣へと裏返り、暴走したところで、大した危険は…………			時をかける亀							
フシュウゥゥゥゥゥゥゥ！			フシュウゥゥゥゥゥゥゥ！			時をかける亀							
…………こりゃ、本気でやらねば殺されそうじゃな。			…………こりゃ、本気でやらねば殺されそうじゃな。			時をかける亀							
