革細工師ギルドのゲヴァは、紹介したい依頼があるようだ。			革細工師ギルドのゲヴァは、紹介したい依頼があるようだ。			博物学者と剥製師							
キミも、ここでエニオンの仕事を見ていきなさいな。手伝えることもあるでしょうし、剥製造りの過程を見れるのは、革細工師としても良い機会なんじゃない？			キミも、ここでエニオンの仕事を見ていきなさいな。手伝えることもあるでしょうし、剥製造りの過程を見れるのは、革細工師としても良い機会なんじゃない？			はじめての剥製造り							
Surnameさんに見られながらの作業……。緊張するけど、僕もがんばりますっ！			Surnameさんに見られながらの作業……。緊張するけど、僕もがんばりますっ！			はじめての剥製造り							
じゃーん！　できました！「ヘネガダルメル」の剥製の完成です！			じゃーん！　できました！「ヘネガダルメル」の剥製の完成です！			はじめての剥製造り							
Surnameさんに、毛皮の貼り付けを手伝ってもらったこともあって、今にも、動き出しそうな完成度になりました！			Surnameさんに、毛皮の貼り付けを手伝ってもらったこともあって、今にも、動き出しそうな完成度になりました！			はじめての剥製造り							
……なるほど、重量がかかる首の部分に補強として、ダルメルの大腿骨を用いたのね。			……なるほど、重量がかかる首の部分に補強として、ダルメルの大腿骨を用いたのね。			はじめての剥製造り							
はい、バヌバヌ族の建築方法を参考にしました！アバラシア雲海へ行ってよかったです。多くのことを学べましたから！			はい、バヌバヌ族の建築方法を参考にしました！アバラシア雲海へ行ってよかったです。多くのことを学べましたから！			はじめての剥製造り							
素晴らしい出来よ、ふたりとも。私たちの事業を、皆に知ってもらうに相応しい1体となったわ。			素晴らしい出来よ、ふたりとも。私たちの事業を、皆に知ってもらうに相応しい1体となったわ。			はじめての剥製造り							
イシュガルドの開国以来、皮革材としての「ダルメルレザー」は、ここ、グリダニアでもよく見かけるようになってきたわ。この剥製を飾れば、元の姿も広く知れ渡ることでしょう。			イシュガルドの開国以来、皮革材としての「ダルメルレザー」は、ここ、グリダニアでもよく見かけるようになってきたわ。この剥製を飾れば、元の姿も広く知れ渡ることでしょう。			はじめての剥製造り							
さぁ、とはいえ、これはほんの手始め！私の研究の偉大さをさらに広めるため、次の剥製を選定しなきゃ。選定が終わったら、また働いてもらうからね。			さぁ、とはいえ、これはほんの手始め！私の研究の偉大さをさらに広めるため、次の剥製を選定しなきゃ。選定が終わったら、また働いてもらうからね。			はじめての剥製造り							
Forename、「剥製用ダルメルの毛皮」はできたのかしら？もう完成しているのなら、「エニオン」に渡してあげて。			Forename、「剥製用ダルメルの毛皮」はできたのかしら？もう完成しているのなら、「エニオン」に渡してあげて。			はじめての剥製造り							
「ヘネガダルメルの粗皮」が追加で必要なの？……ハァ。万一に備えて、予備を用意しておいた私を褒め称えなさい。			「ヘネガダルメルの粗皮」が追加で必要なの？……ハァ。万一に備えて、予備を用意しておいた私を褒め称えなさい。			はじめての剥製造り							
貴重な素材なんだから、次は無駄にしないように気をつけなさいよ。			貴重な素材なんだから、次は無駄にしないように気をつけなさいよ。			はじめての剥製造り							
革細工師として、命の見識を深め、「品質精査」を修得しました！			革細工師として、命の見識を深め、「品質精査」を修得しました！			はじめての剥製造り							
宝杖通りのエルドは、大きな目標があるようだ。このクエストのコンプリートに必要な納品物を製作するためには、「革細工秘伝書:第3巻」の修得が必要です。			宝杖通りのエルドは、大きな目標があるようだ。このクエストのコンプリートに必要な納品物を製作するためには、「革細工秘伝書:第3巻」の修得が必要です。			果てなき野心							
エルドは神殿騎士団への納入を狙っているようだ。革鎧の事情を調べるため、グリダニアの革細工師ギルドにいる「ゲヴァ」に「ゲヴァ宛ての手紙」を渡そう。			エルドは神殿騎士団への納入を狙っているようだ。革鎧の事情を調べるため、グリダニアの革細工師ギルドにいる「ゲヴァ」に「ゲヴァ宛ての手紙」を渡そう。			果てなき野心							
ゲヴァにゲヴァ宛ての手紙を渡して、革鎧の事情を聞いた。宝杖通りの「エルド」に報告しよう。			ゲヴァにゲヴァ宛ての手紙を渡して、革鎧の事情を聞いた。宝杖通りの「エルド」に報告しよう。			果てなき野心							
エルドに報告した。エルドの祖父が、かつて神殿騎士団に革鎧を売り込んで失敗したと判明して、神殿騎士団に売り込む革鎧の製作を頼まれた。「シバルリー・レンジャーバトルドレス」を製作して、宝杖通りの「エルド」に納品しよう。「シバルリー・レンジャーバトルドレス」を製作するためには、「革細工秘伝書:第3巻」の修得が必要です。			エルドに報告した。エルドの祖父が、かつて神殿騎士団に革鎧を売り込んで失敗したと判明して、神殿騎士団に売り込む革鎧の製作を頼まれた。「シバルリー・レンジャーバトルドレス」を製作して、宝杖通りの「エルド」に納品しよう。「シバルリー・レンジャーバトルドレス」を製作するためには、「革細工秘伝書:第3巻」の修得が必要です。			果てなき野心							
シバルリー・レンジャーバトルドレスをエルドに納品した。エルドは、売込みへの決意を新たにした。イシュガルドのライトフェザー闘技場前にいる「オルテフォシェル」と話そう。			シバルリー・レンジャーバトルドレスをエルドに納品した。エルドは、売込みへの決意を新たにした。イシュガルドのライトフェザー闘技場前にいる「オルテフォシェル」と話そう。			果てなき野心							
オルテフォシェルと話した。エルドの売り込みで、見事に神殿騎士団への納入を勝ち取って、祖父の雪辱を果たした。宝杖通りの「エルド」と話そう。			オルテフォシェルと話した。エルドの売り込みで、見事に神殿騎士団への納入を勝ち取って、祖父の雪辱を果たした。宝杖通りの「エルド」と話そう。			果てなき野心							
エルドと話した。エルドは、これから事業を世界に展開していくため、冒険者の名を冠した大工房を立ち上げた。彼女たちの活躍に負けぬよう、革細工師の腕を振るい、世界で活躍していこう。※以下の条件を満たすと、革細工師ギルドのゲヴァから、新たなクラスクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			エルドと話した。エルドは、これから事業を世界に展開していくため、冒険者の名を冠した大工房を立ち上げた。彼女たちの活躍に負けぬよう、革細工師の腕を振るい、世界で活躍していこう。※以下の条件を満たすと、革細工師ギルドのゲヴァから、新たなクラスクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			果てなき野心							
革細工師ギルドのゲヴァにゲヴァ宛ての手紙を渡す			革細工師ギルドのゲヴァにゲヴァ宛ての手紙を渡す			果てなき野心							
イシュガルドのエルドに報告			イシュガルドのエルドに報告			果てなき野心							
シバルリー・レンジャーバトルドレスを製作エルドにシバルリー・レンジャーバトルドレスを納品			シバルリー・レンジャーバトルドレスを製作エルドにシバルリー・レンジャーバトルドレスを納品			果てなき野心							
ライトフェザー闘技場前のオルテフォシェルと話す			ライトフェザー闘技場前のオルテフォシェルと話す			果てなき野心							
宝杖通りのエルドに報告			宝杖通りのエルドに報告			果てなき野心							
Forenameさん、お疲れさまです！おかげさまで、事業も拡大できそうで、万事順調ですよ！			Forenameさん、お疲れさまです！おかげさまで、事業も拡大できそうで、万事順調ですよ！			果てなき野心							
本当、あれよあれよという間に、あんたの商売もデッカくなったな。……次の目標はあるのかい？			本当、あれよあれよという間に、あんたの商売もデッカくなったな。……次の目標はあるのかい？			果てなき野心							
次は、前代未聞の大口受注を目指します。これまで教皇庁専属の職人のみで作られてきた……神殿騎士団への、防具の納入です！			次は、前代未聞の大口受注を目指します。これまで教皇庁専属の職人のみで作られてきた……神殿騎士団への、防具の納入です！			果てなき野心							
ほう……そういや神殿騎士団で、機動力のある軽装騎兵隊を新設しようって動きがあったな。その装備を、どうしたものかと揉めていたはずだ。			ほう……そういや神殿騎士団で、機動力のある軽装騎兵隊を新設しようって動きがあったな。その装備を、どうしたものかと揉めていたはずだ。			果てなき野心							
そ、それ……とんでもない商機じゃないですか！……って、オルテフォシェルさん、何でそんなこと知ってるんですか？			そ、それ……とんでもない商機じゃないですか！……って、オルテフォシェルさん、何でそんなこと知ってるんですか？			果てなき野心							
そういえば、いつも、この辺りで時間を潰しているご様子。……いったい、何者です？			そういえば、いつも、この辺りで時間を潰しているご様子。……いったい、何者です？			果てなき野心							
……あぁ、これでも俺は、神殿騎士なのさ。			……あぁ、これでも俺は、神殿騎士なのさ。			果てなき野心							
もっとも、カミさんとのケンカの末に、ここで買ったカバンのプレゼントの健闘もむなしく、家を追い出されて安宿を渡り歩いている、流浪の身だがね。			もっとも、カミさんとのケンカの末に、ここで買ったカバンのプレゼントの健闘もむなしく、家を追い出されて安宿を渡り歩いている、流浪の身だがね。			果てなき野心							
ちなみに騎士団内での担当は、兵站部門……。件の軽装騎兵隊の装備についても、あれこれやってるんだが、革鎧を推す俺の意見が、なかなか通らなくてなぁ……。			ちなみに騎士団内での担当は、兵站部門……。件の軽装騎兵隊の装備についても、あれこれやってるんだが、革鎧を推す俺の意見が、なかなか通らなくてなぁ……。			果てなき野心							
神殿騎士団は、昔から板金鎧や鎖帷子を使ってきてるもんで、伝統に反する革鎧には抵抗があるんだろう。			神殿騎士団は、昔から板金鎧や鎖帷子を使ってきてるもんで、伝統に反する革鎧には抵抗があるんだろう。			果てなき野心							
でも、グリダニアの鬼哭隊や神勇隊は、革鎧を採用している訳ですし、利点があるはずですよね？その辺りを調べれば、勝算があるかも……。			でも、グリダニアの鬼哭隊や神勇隊は、革鎧を採用している訳ですし、利点があるはずですよね？その辺りを調べれば、勝算があるかも……。			果てなき野心							
Forenameさん、この手紙を、革細工師ギルドのゲヴァさんに渡して、革鎧の売り込み方について相談してきてもらえませんか？			Forenameさん、この手紙を、革細工師ギルドのゲヴァさんに渡して、革鎧の売り込み方について相談してきてもらえませんか？			果てなき野心							
私は、オルテフォシェルさんと、神殿騎士団の方に、革鎧を見てもらう方法を考えてみます。			私は、オルテフォシェルさんと、神殿騎士団の方に、革鎧を見てもらう方法を考えてみます。			果てなき野心							
Forenameさん、その手紙を、革細工師ギルドのゲヴァさんに渡して、革鎧の売り込み方について相談してきてもらえませんか？			Forenameさん、その手紙を、革細工師ギルドのゲヴァさんに渡して、革鎧の売り込み方について相談してきてもらえませんか？			果てなき野心							
あら、Forename。皇都からの無茶な注文が来てないから、うまくやっているとは思っていたけど……どうだったの？			あら、Forename。皇都からの無茶な注文が来てないから、うまくやっているとは思っていたけど……どうだったの？			果てなき野心							
……へぇ、いつの間にか大事になったものね。神殿騎士団に革鎧を売り込もうとは……。			……へぇ、いつの間にか大事になったものね。神殿騎士団に革鎧を売り込もうとは……。			果てなき野心							
あんたもわかってるとは思うけど、革鎧の利点は、軽さとしなやかさよ。でも、それを金属鎧に慣れた者に説いたって無駄……。			あんたもわかってるとは思うけど、革鎧の利点は、軽さとしなやかさよ。でも、それを金属鎧に慣れた者に説いたって無駄……。			果てなき野心							
鎧ってのは、命を預ける装備なんだから、頑丈さを示さなければ、誰にも納得してはもらえないもの。			鎧ってのは、命を預ける装備なんだから、頑丈さを示さなければ、誰にも納得してはもらえないもの。			果てなき野心							
……こんな昔話があるわ。先々代のギルドマスターの時代、山の都から、「シセロワ」という名の職人が訪れたことがあるそうよ。			……こんな昔話があるわ。先々代のギルドマスターの時代、山の都から、「シセロワ」という名の職人が訪れたことがあるそうよ。			果てなき野心							
先々代も舌を巻く技術を持っていた彼が、森を訪れた理由……。それは、巨獣の一撃にも耐える頑丈な革鎧を作る、新たな製法を見つけるためだったと言うわ。			先々代も舌を巻く技術を持っていた彼が、森を訪れた理由……。それは、巨獣の一撃にも耐える頑丈な革鎧を作る、新たな製法を見つけるためだったと言うわ。			果てなき野心							
シセロワと先々代は、互いの知識を合わせ、それまでにない強度を誇る、革鎧の作り方を見出した。神勇隊や鬼哭隊の鎧も、その製法で作られているの。			シセロワと先々代は、互いの知識を合わせ、それまでにない強度を誇る、革鎧の作り方を見出した。神勇隊や鬼哭隊の鎧も、その製法で作られているの。			果てなき野心							
むろん、ここで技を磨いたあんたも、彼らが編み出したその技術を、すでに継承している……。後は良い革を見極め、精魂込めて作るだけよ。			むろん、ここで技を磨いたあんたも、彼らが編み出したその技術を、すでに継承している……。後は良い革を見極め、精魂込めて作るだけよ。			果てなき野心							
ここで技を磨いたあんたも、彼らが編み出したその技術を、すでに継承している……。後は良い革を見極め、精魂込めて作るだけよ。			ここで技を磨いたあんたも、彼らが編み出したその技術を、すでに継承している……。後は良い革を見極め、精魂込めて作るだけよ。			果てなき野心							
おかえりなさい！みんなで会議をしていたところなんです！			おかえりなさい！みんなで会議をしていたところなんです！			果てなき野心							
……同僚に軽くあたってみたんだが、やはり、板金鎧や鎖帷子を支持する声が大きかったな。革鎧を検討した前例もあるようだが、結局、却下されていた。			……同僚に軽くあたってみたんだが、やはり、板金鎧や鎖帷子を支持する声が大きかったな。革鎧を検討した前例もあるようだが、結局、却下されていた。			果てなき野心							
伝統にこだわる気持ちはわからんでもないが、霊災以降、クルザスの環境は大きく変わったろう？変えなければならないことも、あるだろうに。			伝統にこだわる気持ちはわからんでもないが、霊災以降、クルザスの環境は大きく変わったろう？変えなければならないことも、あるだろうに。			果てなき野心							
……確かに霊災以降、寒冷化が進んでいる。金属が冷えるってんで、鎧の下に厚着をする連中も多いな。革鎧の暖かさを、利点のひとつとして押すこともできそうだ。			……確かに霊災以降、寒冷化が進んでいる。金属が冷えるってんで、鎧の下に厚着をする連中も多いな。革鎧の暖かさを、利点のひとつとして押すこともできそうだ。			果てなき野心							
Forenameさんは、ゲヴァさんから、何か情報を得られました？			Forenameさんは、ゲヴァさんから、何か情報を得られました？			果てなき野心							
……ふむ、どんな利点を並べたてたところで、脆い鎧に意味はないか。だが、巨獣の一撃にも耐える革鎧なんて作れるのか？			……ふむ、どんな利点を並べたてたところで、脆い鎧に意味はないか。だが、巨獣の一撃にも耐える革鎧なんて作れるのか？			果てなき野心							
ほう……イシュガルド出身の職人と、グリダニアの職人が、協力して編み出した製法か……。神勇隊や鬼哭隊での、使用実績というのもウリになるな。			ほう……イシュガルド出身の職人と、グリダニアの職人が、協力して編み出した製法か……。神勇隊や鬼哭隊での、使用実績というのもウリになるな。			果てなき野心							
……ち、ちょっと待ってください。その職人の名前は？			……ち、ちょっと待ってください。その職人の名前は？			果てなき野心							
シセロワだと……！？なんたる偶然……その職人は、エルドのご祖父だぞ！			シセロワだと……！？なんたる偶然……その職人は、エルドのご祖父だぞ！			果てなき野心							
その名には、俺も覚えがある……騎士団の記録で見たんだ。革鎧の採用を訴えたものの、却下された職人の名としてな。……その失敗の後、グリダニアで修行をしたってことか。			その名には、俺も覚えがある……騎士団の記録で見たんだ。革鎧の採用を訴えたものの、却下された職人の名としてな。……その失敗の後、グリダニアで修行をしたってことか。			果てなき野心							
Forenameさん、絶対に契約を取りましょう！			Forenameさん、絶対に契約を取りましょう！			果てなき野心							
祖父が残していた、唯一のメモにあった革鎧……。私には、とても手が出せないものと思っていたけれど、あなたなら、きっと！			祖父が残していた、唯一のメモにあった革鎧……。私には、とても手が出せないものと思っていたけれど、あなたなら、きっと！			果てなき野心							
Forenameさんが受け継いだ最高の技で、どうか、「シバルリー・レンジャーバトルドレス」を！……そして、祖父が果たせなかった夢を、私たちの手で！			Forenameさんが受け継いだ最高の技で、どうか、「シバルリー・レンジャーバトルドレス」を！……そして、祖父が果たせなかった夢を、私たちの手で！			果てなき野心							
ガハハハ！これは見物だ、ワシも楽しみにしているぞ！			ガハハハ！これは見物だ、ワシも楽しみにしているぞ！			果てなき野心							
「シバルリー・レンジャーバトルドレス」を製作するためには、「革細工秘伝書:第3巻」の修得が必要です。			「シバルリー・レンジャーバトルドレス」を製作するためには、「革細工秘伝書:第3巻」の修得が必要です。			果てなき野心							
……こりゃ、世代を越えた再戦だな。			……こりゃ、世代を越えた再戦だな。			果てなき野心							
今、会議をしているところだ。			今、会議をしているところだ。			果てなき野心							
どうでしょうか、Forenameさん……。「シバルリー・レンジャーバトルドレス」は、完成しそうですか？			どうでしょうか、Forenameさん……。「シバルリー・レンジャーバトルドレス」は、完成しそうですか？			果てなき野心							
……なんて素晴らしい革鎧！Forenameさんの念入りな仕上げを見ると、革細工師だった祖父の品と、同じぬくもりを感じます。			……なんて素晴らしい革鎧！Forenameさんの念入りな仕上げを見ると、革細工師だった祖父の品と、同じぬくもりを感じます。			果てなき野心							
祖父は天才と謳われ、画期的な品を数多く作っていたのに、それを売り込む商才がまるでなかったのです。……結局、不遇のまま亡くなりました。			祖父は天才と謳われ、画期的な品を数多く作っていたのに、それを売り込む商才がまるでなかったのです。……結局、不遇のまま亡くなりました。			果てなき野心							
必要とする人に届かなければ、どんな良品も意味がありません。私には、祖父のような才能はなかったけれど……別の形で人々の役に立ちたいと思ったんです。			必要とする人に届かなければ、どんな良品も意味がありません。私には、祖父のような才能はなかったけれど……別の形で人々の役に立ちたいと思ったんです。			果てなき野心							
私の夢は、もっと事業を拡大し、あなたのような職人の品を、世界中の人に届けること……。			私の夢は、もっと事業を拡大し、あなたのような職人の品を、世界中の人に届けること……。			果てなき野心							
祖父の果たせなかった、神殿騎士団への納入を果たすことで、その夢に近づきます！さぁ、いよいよ大勝負……！			祖父の果たせなかった、神殿騎士団への納入を果たすことで、その夢に近づきます！さぁ、いよいよ大勝負……！			果てなき野心							
私はオルテフォシェルさんと一緒に、品評会が行われる「ライトフェザー闘技場」へ向かいます。そこで合流しましょう！			私はオルテフォシェルさんと一緒に、品評会が行われる「ライトフェザー闘技場」へ向かいます。そこで合流しましょう！			果てなき野心							
Forenameさん、売り込みは、商人である私に任せてください！			Forenameさん、売り込みは、商人である私に任せてください！			果てなき野心							
俺は着替えてから「ライトフェザー闘技場」へ行く。あんたも向かってくれ。			俺は着替えてから「ライトフェザー闘技場」へ行く。あんたも向かってくれ。			果てなき野心							
どうだ、これがあんたが作った勝負の革鎧だ！よし、世代を越えた再戦を始めよう。品評会が行われるのは、闘技場の中だ。			どうだ、これがあんたが作った勝負の革鎧だ！よし、世代を越えた再戦を始めよう。品評会が行われるのは、闘技場の中だ。			果てなき野心							
Forenameさん、売り込みは、商人である私に任せてください！			Forenameさん、売り込みは、商人である私に任せてください！			果てなき野心							
……確かに、気候の激変により、前線は対応に難渋している。冷え切った金属は、凍傷の原因ともなるからな……。とはいえ、革製の防具には、強度を不安視する声も多いのだ。			……確かに、気候の激変により、前線は対応に難渋している。冷え切った金属は、凍傷の原因ともなるからな……。とはいえ、革製の防具には、強度を不安視する声も多いのだ。			果てなき野心							
……その心配は、御無用。			……その心配は、御無用。			果てなき野心							
いかがでしょう？			いかがでしょう？			果てなき野心							
ほう……！革鎧に対する認識を、改めなければなるまいな。奇襲や偵察任務で、命を預けるには充分だ。			ほう……！革鎧に対する認識を、改めなければなるまいな。奇襲や偵察任務で、命を預けるには充分だ。			果てなき野心							
次期制式装備としての採用を前提に、商談を進めよう。教皇庁お抱えの職人以外に、装備を依頼するのは初のこと。故に手続きには時間がかかろうが、よろしく頼むぞ。			次期制式装備としての採用を前提に、商談を進めよう。教皇庁お抱えの職人以外に、装備を依頼するのは初のこと。故に手続きには時間がかかろうが、よろしく頼むぞ。			果てなき野心							
はい、全力で取り組みます！			はい、全力で取り組みます！			果てなき野心							
ところで、この素晴らしい革鎧を製作した職人は、どんな人物なのか？			ところで、この素晴らしい革鎧を製作した職人は、どんな人物なのか？			果てなき野心							
エオルゼアいちの革細工師……Forenameです！			エオルゼアいちの革細工師……Forenameです！			果てなき野心							
名高い冒険者とは知っていたが、まさかこれほどの腕を持つ職人でもあったとはな。その技術に敬意を表して、その名を皆に広めておこう。			名高い冒険者とは知っていたが、まさかこれほどの腕を持つ職人でもあったとはな。その技術に敬意を表して、その名を皆に広めておこう。			果てなき野心							
Forenameさん、ありがとう！あなたのおかげで、また一歩、夢に近づきました！			Forenameさん、ありがとう！あなたのおかげで、また一歩、夢に近づきました！			果てなき野心							
さあ、店に戻りましょう！これから、忙しくなりますよ！			さあ、店に戻りましょう！これから、忙しくなりますよ！			果てなき野心							
みなさん、ありがとうございました！			みなさん、ありがとうございました！			果てなき野心							
それにしても、なんと素晴らしい巡り合わせか！シセロワの技が、グリダニアに伝わって成熟し、それを受け継いだ冒険者の手により、皇都で花開くとはな！			それにしても、なんと素晴らしい巡り合わせか！シセロワの技が、グリダニアに伝わって成熟し、それを受け継いだ冒険者の手により、皇都で花開くとはな！			果てなき野心							
私の夢はまだまだこれからです……この事業を、世界中に広げたいと思っているんですから！			私の夢はまだまだこれからです……この事業を、世界中に広げたいと思っているんですから！			果てなき野心							
ガハハハ！ウチの倉庫を、大工房に改装する準備を急がにゃならんな。			ガハハハ！ウチの倉庫を、大工房に改装する準備を急がにゃならんな。			果てなき野心							
Forenameさん、本当にありがとうございました。あなたが、イシュガルドに戻してくれたお祖父さんの技を、必ず、ウチの職人さんたちに伝えてみせます！			Forenameさん、本当にありがとうございました。あなたが、イシュガルドに戻してくれたお祖父さんの技を、必ず、ウチの職人さんたちに伝えてみせます！			果てなき野心							
神殿騎士団の連中も、大騒ぎしていたぞ。その革鎧を仕立てた職人の名を教えてくれってな。			神殿騎士団の連中も、大騒ぎしていたぞ。その革鎧を仕立てた職人の名を教えてくれってな。			果てなき野心							
名前……そうだわ！			名前……そうだわ！			果てなき野心							
新しく設立する大工房の看板には、Forenameさんの名前を掲げさせてもらいますよ！新ブランド「Forename」の誕生です！！			新しく設立する大工房の看板には、Forenameさんの名前を掲げさせてもらいますよ！新ブランド「Forename」の誕生です！！			果てなき野心							
歴史的な快挙だった……。これも、あんたの腕があってこそだ！			歴史的な快挙だった……。これも、あんたの腕があってこそだ！			果てなき野心							
「革細工師」の物語が、ひとつの区切りを迎えました！次の「革細工師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			「革細工師」の物語が、ひとつの区切りを迎えました！次の「革細工師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			果てなき野心							
1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			果てなき野心							
条件を満たし、革細工師ギルドの「ゲヴァ」に話しかけ、新たなクラスクエストを開始しましょう！			条件を満たし、革細工師ギルドの「ゲヴァ」に話しかけ、新たなクラスクエストを開始しましょう！			果てなき野心							
革細工師ギルドのゲヴァは、冒険者に頼みたいことがあるようだ。			革細工師ギルドのゲヴァは、冒険者に頼みたいことがあるようだ。			命輝く名品							
ゲヴァから依頼を受けた。グリダニアの「口笛粉屋」にいる依頼人に「ゲヴァのチョーカー」を渡そう。			ゲヴァから依頼を受けた。グリダニアの「口笛粉屋」にいる依頼人に「ゲヴァのチョーカー」を渡そう。			命輝く名品							
依頼人に「ゲヴァのチョーカー」を渡した。グリダニアの革細工師ギルドにいる「ゲヴァ」と話そう。			依頼人に「ゲヴァのチョーカー」を渡した。グリダニアの革細工師ギルドにいる「ゲヴァ」と話そう。			命輝く名品							
ゲヴァと話した。グリダニアのミィ・ケット野外音楽堂にいる「エステヌ」に「器識のマテリダ」のついた「ラプトルジャーキン」を1個納品しよう。			ゲヴァと話した。グリダニアのミィ・ケット野外音楽堂にいる「エステヌ」に「器識のマテリダ」のついた「ラプトルジャーキン」を1個納品しよう。			命輝く名品							
エステヌにラプトルジャーキンを納品した。グリダニアの革細工師ギルドにいる「ゲヴァ」に報告しよう。			エステヌにラプトルジャーキンを納品した。グリダニアの革細工師ギルドにいる「ゲヴァ」に報告しよう。			命輝く名品							
ゲヴァに報告した。アンクル・ボサのダウイッドの陰謀を阻止して、ゲヴァから一人前の革細工師だと認めてもらうことができた。アンクル・ボサへと流れていた職人たちが戻ってきて、指導で忙しくなると言うゲヴァ。彼女に胸を張れるよう、これからもギルドで学んだことを活かして革細工に励もう。※以下の条件を満たすと、革細工師ギルドのゲヴァから、新たなクラスクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			ゲヴァに報告した。アンクル・ボサのダウイッドの陰謀を阻止して、ゲヴァから一人前の革細工師だと認めてもらうことができた。アンクル・ボサへと流れていた職人たちが戻ってきて、指導で忙しくなると言うゲヴァ。彼女に胸を張れるよう、これからもギルドで学んだことを活かして革細工に励もう。※以下の条件を満たすと、革細工師ギルドのゲヴァから、新たなクラスクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			命輝く名品							
依頼人にゲヴァのチョーカーを渡す			依頼人にゲヴァのチョーカーを渡す			命輝く名品							
ゲヴァと話す			ゲヴァと話す			命輝く名品							
エステヌに器識のマテリダのついたラプトルジャーキンを納品			エステヌに器識のマテリダのついたラプトルジャーキンを納品			命輝く名品							
ゲヴァに報告			ゲヴァに報告			命輝く名品							
ああ、Forename、また、いいところに来たね。ちょっと頼まれてくれないかい？			ああ、Forename、また、いいところに来たね。ちょっと頼まれてくれないかい？			命輝く名品							
時間は取らせないよ。品評会への出品をやめたから、製作は間に合ってるけど今度は、配達が追いつかなくなってしまってね。			時間は取らせないよ。品評会への出品をやめたから、製作は間に合ってるけど今度は、配達が追いつかなくなってしまってね。			命輝く名品							
悪いけど、アタシが作ったこのチョーカーを、「口笛粉屋」にいる依頼人に届けてやってほしい。			悪いけど、アタシが作ったこのチョーカーを、「口笛粉屋」にいる依頼人に届けてやってほしい。			命輝く名品							
依頼人たちは、ウチの品の到着を楽しみにしてくれているんだ。一刻も早く届けてあげてくれ、頼んだよ。			依頼人たちは、ウチの品の到着を楽しみにしてくれているんだ。一刻も早く届けてあげてくれ、頼んだよ。			命輝く名品							
革細工師ギルドの職人だな。依頼の品を届けに来たのか？			革細工師ギルドの職人だな。依頼の品を届けに来たのか？			命輝く名品							
ふん……。あいかわらず手間ばかりかけた、まどろっこしい作り方をしているようだな。			ふん……。あいかわらず手間ばかりかけた、まどろっこしい作り方をしているようだな。			命輝く名品							
君は、冒険者だろう。革細工師ギルドなんてやめて、ウチの所で働かないか？			君は、冒険者だろう。革細工師ギルドなんてやめて、ウチの所で働かないか？			命輝く名品							
私は、革細工ブランド「アンクル・ボサ」のオーナー。ウチにいる職人はほとんど、革細工師ギルドをやめて来た冒険者たちでね。			私は、革細工ブランド「アンクル・ボサ」のオーナー。ウチにいる職人はほとんど、革細工師ギルドをやめて来た冒険者たちでね。			命輝く名品							
革細工師ギルドの品は、確かに丁寧に作られている。だが……些細な違いだ、客だって気づきはしない。だというのに、手間と時間をかけて何の得がある？			革細工師ギルドの品は、確かに丁寧に作られている。だが……些細な違いだ、客だって気づきはしない。だというのに、手間と時間をかけて何の得がある？			命輝く名品							
ギルドマスターに付き合わされ、苦労しているだろ？あんなギルドとは、さっさと縁を切るべきだ。もちろん、すぐ決めろとは言わない。			ギルドマスターに付き合わされ、苦労しているだろ？あんなギルドとは、さっさと縁を切るべきだ。もちろん、すぐ決めろとは言わない。			命輝く名品							
近く開催される「品評会」に来てくれたまえ。我がアンクル・ボサが、最高賞を獲得する瞬間を見てから、決めればいい。			近く開催される「品評会」に来てくれたまえ。我がアンクル・ボサが、最高賞を獲得する瞬間を見てから、決めればいい。			命輝く名品							
毎年、最高賞を獲得していた革細工師ギルドが今年に限って出品しないのは残念だが……ふふふ、彼女の意思なら、仕方ないことだな。			毎年、最高賞を獲得していた革細工師ギルドが今年に限って出品しないのは残念だが……ふふふ、彼女の意思なら、仕方ないことだな。			命輝く名品							
……ああ、お帰り、配達してくれたのね。……実は、品評会について妙な噂を聞いたのよ。			……ああ、お帰り、配達してくれたのね。……実は、品評会について妙な噂を聞いたのよ。			命輝く名品							
開催直前の今になって、出品予定だった革細工師たちが次々と参加を辞退しているらしいの。しかも、受賞候補の腕利き職人ばかり。			開催直前の今になって、出品予定だった革細工師たちが次々と参加を辞退しているらしいの。しかも、受賞候補の腕利き職人ばかり。			命輝く名品							
……どうも、きな臭いと思わないか？あんた、何か、心当たりがないかい？納品先で何か聞いたとか……			……どうも、きな臭いと思わないか？あんた、何か、心当たりがないかい？納品先で何か聞いたとか……			命輝く名品							
