斧術士ギルドマスターのヴィルンズーンが、冒険者に伝えたいことがあるようだ。			斧術士ギルドマスターのヴィルンズーンが、冒険者に伝えたいことがあるようだ。			宿縁を断ち切る日							
あんたか、アタイも話は聞いてるよ。あの時の坊やが、行方知れずになってるんだって？			あんたか、アタイも話は聞いてるよ。あの時の坊やが、行方知れずになってるんだって？			移動山脈クジャタ							
こういう時はね、焦るのが一番悪いんだよ。まずは確実な情報を集めるのが大事さ。			こういう時はね、焦るのが一番悪いんだよ。まずは確実な情報を集めるのが大事さ。			移動山脈クジャタ							
さァForename、まずは「レッドルースター農場」へ行くよ。祖父の「ネッダード」さんから、詳しく話を聞くんだよ。			さァForename、まずは「レッドルースター農場」へ行くよ。祖父の「ネッダード」さんから、詳しく話を聞くんだよ。			移動山脈クジャタ							
お待ちしておりました。此度は大変なご面倒をおかけして、申し訳ないですじゃ。			お待ちしておりました。此度は大変なご面倒をおかけして、申し訳ないですじゃ。			移動山脈クジャタ							
しかし、孫の気持ちもわかってやってくだされ……。あの子は、それほど息子夫婦を殺した魔物を、憎んでおりましてな。			しかし、孫の気持ちもわかってやってくだされ……。あの子は、それほど息子夫婦を殺した魔物を、憎んでおりましてな。			移動山脈クジャタ							
そんな孫の前に、あなた様が現れた。まるで戦神ハルオーネのように映ったことでありましょう。期待の大きさは、想像に難くありませぬ。			そんな孫の前に、あなた様が現れた。まるで戦神ハルオーネのように映ったことでありましょう。期待の大きさは、想像に難くありませぬ。			移動山脈クジャタ							
孫のシガードはまだ子供……クジャタの力を理解できず、皆が戦おうとせぬのを、臆病と思っておるのでしょう……。			孫のシガードはまだ子供……クジャタの力を理解できず、皆が戦おうとせぬのを、臆病と思っておるのでしょう……。			移動山脈クジャタ							
だから、エールポートに魔物が出たと聞いた孫は、辛抱たまらず、飛び出したのですじゃ……。			だから、エールポートに魔物が出たと聞いた孫は、辛抱たまらず、飛び出したのですじゃ……。			移動山脈クジャタ							
どうか……あの子を探し、連れ戻してくだされ！お連れの方のお力添えも、何とぞいただければ……！			どうか……あの子を探し、連れ戻してくだされ！お連れの方のお力添えも、何とぞいただければ……！			移動山脈クジャタ							
さ、ネッダードさんから話を聞くんだよォ！			さ、ネッダードさんから話を聞くんだよォ！			移動山脈クジャタ							
分かってるだろうね、Forename！グズグズしないで、さっさと西ラノシアの「エールポート」へ向かうよ！			分かってるだろうね、Forename！グズグズしないで、さっさと西ラノシアの「エールポート」へ向かうよ！			移動山脈クジャタ							
あそこの警備兵「ファールシュティム」は、アタイの知り合いだ。坊やを見てないか、聞いてみよう。			あそこの警備兵「ファールシュティム」は、アタイの知り合いだ。坊やを見てないか、聞いてみよう。			移動山脈クジャタ							
魔獣クジャタを追う少年の手がかりを探している？それならば、このあたりの者ではない少年を見かけた。北の方角ならば、何か落ちているかもしれないな。			魔獣クジャタを追う少年の手がかりを探している？それならば、このあたりの者ではない少年を見かけた。北の方角ならば、何か落ちているかもしれないな。			移動山脈クジャタ							
最近は魔物の群れが出没していて、我々も少年を保護すべきか、協議していたところだ。急いだほうがいい、斧術士ギルドにも知らせておこう。			最近は魔物の群れが出没していて、我々も少年を保護すべきか、協議していたところだ。急いだほうがいい、斧術士ギルドにも知らせておこう。			移動山脈クジャタ							
使用しない			使用しない			移動山脈クジャタ							
使用しない			使用しない			移動山脈クジャタ							
Forename何か手がかりは見つかったかい？			Forename何か手がかりは見つかったかい？			移動山脈クジャタ							
こいつはどうやら、坊やの物のようだね……アタイも見つけたよ、これをご覧よ。この斧も、坊やの家の物じゃないのかい……？			こいつはどうやら、坊やの物のようだね……アタイも見つけたよ、これをご覧よ。この斧も、坊やの家の物じゃないのかい……？			移動山脈クジャタ							
……っ！？Forename、あそこにっ！			……っ！？Forename、あそこにっ！			移動山脈クジャタ							
クエスト「移動山脈クジャタ」のバトルを開始しますか？			クエスト「移動山脈クジャタ」のバトルを開始しますか？			移動山脈クジャタ							
はい			はい			移動山脈クジャタ							
いいえ			いいえ			移動山脈クジャタ							
う……うう……。			う……うう……。			移動山脈クジャタ							
Forename姉ちゃん兄ちゃん……。			Forename姉ちゃん兄ちゃん……。			移動山脈クジャタ							
Forename、どけいっ！！			Forename、どけいっ！！			移動山脈クジャタ							
ぬおおおおおおっ！！			ぬおおおおおおっ！！			移動山脈クジャタ							
ア、アニキ……ッ！？			ア、アニキ……ッ！？			移動山脈クジャタ							
よし、息はある……！			よし、息はある……！			移動山脈クジャタ							
「レッドルースター農場」まで退くぞ。俺に続け、Forename Surnameッ！！			「レッドルースター農場」まで退くぞ。俺に続け、Forename Surnameッ！！			移動山脈クジャタ							
……よくぞ、孫を連れ戻してくださいました。ありがとうございます……！			……よくぞ、孫を連れ戻してくださいました。ありがとうございます……！			移動山脈クジャタ							
……。			……。			移動山脈クジャタ							
今は集中してるから、声かけないでおくれよ。			今は集中してるから、声かけないでおくれよ。			移動山脈クジャタ							
う……ううーん……。			う……ううーん……。			移動山脈クジャタ							
……ふぅ、これで峠は越えたと思うよ。頭に強い衝撃を受けているからね、まだしばらくは、目を覚まさないだろうけど。			……ふぅ、これで峠は越えたと思うよ。頭に強い衝撃を受けているからね、まだしばらくは、目を覚まさないだろうけど。			移動山脈クジャタ							
アニキがいなきゃ、この坊やは危なかった。まったく絶妙の瞬間に来てくれたもんだよ。			アニキがいなきゃ、この坊やは危なかった。まったく絶妙の瞬間に来てくれたもんだよ。			移動山脈クジャタ							
何が絶妙なものか。エールポートの警備兵からの連絡でギルドを飛び出したが、一歩……いやそれ以上、出遅れてこの有様だ。			何が絶妙なものか。エールポートの警備兵からの連絡でギルドを飛び出したが、一歩……いやそれ以上、出遅れてこの有様だ。			移動山脈クジャタ							
……すまぬ、御老人。せっかく、斧術士ギルドを頼ってくれたというのに、少年をこのような目に遭わせてしまった……！			……すまぬ、御老人。せっかく、斧術士ギルドを頼ってくれたというのに、少年をこのような目に遭わせてしまった……！			移動山脈クジャタ							
孫を命がけで救出していただいたのです、文句など、あろうはずがございませなんだ。むしろ皆様こそ、お怪我はありませんじゃろうか？			孫を命がけで救出していただいたのです、文句など、あろうはずがございませなんだ。むしろ皆様こそ、お怪我はありませんじゃろうか？			移動山脈クジャタ							
我らは問題ない。こういう時のために五体を鍛えておるゆえ、心配は無用だ。			我らは問題ない。こういう時のために五体を鍛えておるゆえ、心配は無用だ。			移動山脈クジャタ							
……Forename、斧術士ギルドに戻るぞ。これ以上、ここで我らにできることはない。やるべきことは他にある……分かるな？			……Forename、斧術士ギルドに戻るぞ。これ以上、ここで我らにできることはない。やるべきことは他にある……分かるな？			移動山脈クジャタ							
Forenameよ……此度は最悪の事態こそ免れたが、おそらくあの少年はクジャタを探し、また家を出るだろう。			Forenameよ……此度は最悪の事態こそ免れたが、おそらくあの少年はクジャタを探し、また家を出るだろう。			移動山脈クジャタ							
少年は心に深い傷を負っている。その上、大人たちは……斧術士ギルドの連中だって、何もしてくれやしないと、そう思っているはずだ。			少年は心に深い傷を負っている。その上、大人たちは……斧術士ギルドの連中だって、何もしてくれやしないと、そう思っているはずだ。			移動山脈クジャタ							
少年を捨て置くわけにはいかん。幼くとも、戦う勇気を持つ少年の意思を汲み取ってやろう。それを為さずして、何が斧術士ギルドだ。			少年を捨て置くわけにはいかん。幼くとも、戦う勇気を持つ少年の意思を汲み取ってやろう。それを為さずして、何が斧術士ギルドだ。			移動山脈クジャタ							
改めてForename、お前がクジャタを討つのだ。そのための助力は、いくらでも惜しまぬ。俺も、この斧術士ギルドもな。			改めてForename、お前がクジャタを討つのだ。そのための助力は、いくらでも惜しまぬ。俺も、この斧術士ギルドもな。			移動山脈クジャタ							
敵の気配を感じた！！			敵の気配を感じた！！			移動山脈クジャタ							
パックジャッカルたちを倒せ			パックジャッカルたちを倒せ			移動山脈クジャタ							
グズグズしないで、坊やを助けるんだよォ！			グズグズしないで、坊やを助けるんだよォ！			移動山脈クジャタ							
魔物の数が多い、気ぃ抜くんじゃないよっ！			魔物の数が多い、気ぃ抜くんじゃないよっ！			移動山脈クジャタ							
くっ、早く坊やを助けたいのにっ！			くっ、早く坊やを助けたいのにっ！			移動山脈クジャタ							
しまった、こいつ麻痺毒を……油断した！			しまった、こいつ麻痺毒を……油断した！			移動山脈クジャタ							
斧術士ギルドマスターのヴィルンズーンが、冒険者に新たな試練を課そうとしているようだ。			斧術士ギルドマスターのヴィルンズーンが、冒険者に新たな試練を課そうとしているようだ。			刃鳴は響くか							
ヴィルンズーンから、試練として新たな魔物の退治を命じられた。西ラノシアの「エールポート」にいる「レインフレッド」から、魔物についての話を聞こう。			ヴィルンズーンから、試練として新たな魔物の退治を命じられた。西ラノシアの「エールポート」にいる「レインフレッド」から、魔物についての話を聞こう。			刃鳴は響くか							
西ラノシアのエールポート付近の「指定地点」にて「指笛」を吹き、現れた「パトリパタン」を討伐しよう。			西ラノシアのエールポート付近の「指定地点」にて「指笛」を吹き、現れた「パトリパタン」を討伐しよう。			刃鳴は響くか							
指定の魔物を討伐した。「斧術士ギルド」の「ヴィルンズーン」に報告しよう。			指定の魔物を討伐した。「斧術士ギルド」の「ヴィルンズーン」に報告しよう。			刃鳴は響くか							
ヴィルンズーンは、見事に試練を達成したForenameの実力を認め、さらなる試練を課した。大岩砕きに挑むため、中央ラノシアの「アジェレス川」付近で、修業を監督している「サカフギム」に話しかけよう。			ヴィルンズーンは、見事に試練を達成したForenameの実力を認め、さらなる試練を課した。大岩砕きに挑むため、中央ラノシアの「アジェレス川」付近で、修業を監督している「サカフギム」に話しかけよう。			刃鳴は響くか							
サカフギムより大岩の場所を教わった。中央ラノシアの「アジェレス川」付近にある「重厚な大岩」を「へヴィスウィング」で破壊しよう。			サカフギムより大岩の場所を教わった。中央ラノシアの「アジェレス川」付近にある「重厚な大岩」を「へヴィスウィング」で破壊しよう。			刃鳴は響くか							
見事に大岩を破壊した。中央ラノシアの「アジェレス川」付近にいる「サカフギム」に報告しよう。			見事に大岩を破壊した。中央ラノシアの「アジェレス川」付近にいる「サカフギム」に報告しよう。			刃鳴は響くか							
サカフギムは大岩を破壊した冒険者の実力を賞賛した。「斧術士ギルド」の「ヴィルンズーン」に報告しよう。			サカフギムは大岩を破壊した冒険者の実力を賞賛した。「斧術士ギルド」の「ヴィルンズーン」に報告しよう。			刃鳴は響くか							
報告を受けたヴィルンズーンは、Forenameの「力」を誉めたたえ、ギルドに伝わる技を伝授してくれた。この技を自在に使いこなせるよう、さらに斧術の鍛錬に励もう。※斧術士のレベルが20以上になると、ヴィルンズーンから次の斧術士クエストを受注することができます。			報告を受けたヴィルンズーンは、Forenameの「力」を誉めたたえ、ギルドに伝わる技を伝授してくれた。この技を自在に使いこなせるよう、さらに斧術の鍛錬に励もう。※斧術士のレベルが20以上になると、ヴィルンズーンから次の斧術士クエストを受注することができます。			刃鳴は響くか							
エールポートのレインフレッドと話す			エールポートのレインフレッドと話す			刃鳴は響くか							
指定地点で指笛を吹きパトリパタンを倒す			指定地点で指笛を吹きパトリパタンを倒す			刃鳴は響くか							
斧術士ギルドのヴィルンズーンに報告			斧術士ギルドのヴィルンズーンに報告			刃鳴は響くか							
サカフギムと話す			サカフギムと話す			刃鳴は響くか							
重厚な大岩をへヴィスウィングで破壊する			重厚な大岩をへヴィスウィングで破壊する			刃鳴は響くか							
サカフギムと話す			サカフギムと話す			刃鳴は響くか							
斧術士ギルドのヴィルンズーンに報告			斧術士ギルドのヴィルンズーンに報告			刃鳴は響くか							
どうやら、しっかりと修行を続けているようだな。自信、風格、気配……そういうものが、お前の今の実力を、語らずとも教えてくれる。			どうやら、しっかりと修行を続けているようだな。自信、風格、気配……そういうものが、お前の今の実力を、語らずとも教えてくれる。			刃鳴は響くか							
そこで次の試練だが……最近、西ラノシアの「エールポート」周辺にて、大型の魔物を目撃したという情報が相次いでいる。			そこで次の試練だが……最近、西ラノシアの「エールポート」周辺にて、大型の魔物を目撃したという情報が相次いでいる。			刃鳴は響くか							
情報を総合するに、クジャタではないようだが、危険な存在ゆえ、放置はできん。そこで……この魔物の討伐を、お前に任せたい。			情報を総合するに、クジャタではないようだが、危険な存在ゆえ、放置はできん。そこで……この魔物の討伐を、お前に任せたい。			刃鳴は響くか							
幸い、「エールポート」には俺の旧知がいる。かつて狩猟の名人として名の知られた弓術士で、名を「レインフレッド」という。			幸い、「エールポート」には俺の旧知がいる。かつて狩猟の名人として名の知られた弓術士で、名を「レインフレッド」という。			刃鳴は響くか							
彼に会い、その助力を仰ぐといい。そして必ずや魔物を探し出し、打ち果たせ！その斧に誓って、役目を果たすがいい。			彼に会い、その助力を仰ぐといい。そして必ずや魔物を探し出し、打ち果たせ！その斧に誓って、役目を果たすがいい。			刃鳴は響くか							
……ほぅ、ヴィルンズーンの弟子じゃと？斧術士ギルドのギルドマスターになったと聞いていたが、おヌシのような弟子を育てていたとはのう……。			……ほぅ、ヴィルンズーンの弟子じゃと？斧術士ギルドのギルドマスターになったと聞いていたが、おヌシのような弟子を育てていたとはのう……。			刃鳴は響くか							
その試練として魔物狩りか……。ならば、北西にあるキャンプ・スカルバレーを目指せ。そこで「指笛」を吹くのじゃ。			その試練として魔物狩りか……。ならば、北西にあるキャンプ・スカルバレーを目指せ。そこで「指笛」を吹くのじゃ。			刃鳴は響くか							
縄張りを荒らされたと思い、おヌシが標的にする魔物……「パトリパタン」が、巣から出てくるだろうて。……おヌシに山神オシュオンの加護があらんことを。			縄張りを荒らされたと思い、おヌシが標的にする魔物……「パトリパタン」が、巣から出てくるだろうて。……おヌシに山神オシュオンの加護があらんことを。			刃鳴は響くか							
レインフレッドから話は聞いた。お前をとても褒めていたぞ、俺も嬉しく思う。			レインフレッドから話は聞いた。お前をとても褒めていたぞ、俺も嬉しく思う。			刃鳴は響くか							
今の自分にどれほどの力があるのか、お前自身がそれを知るため、もうひとつ試練を与えたい。			今の自分にどれほどの力があるのか、お前自身がそれを知るため、もうひとつ試練を与えたい。			刃鳴は響くか							
修行の詳細は、担当の「サカフギム」に聞くがいい。「アジェレス川」のほとりでお前を待っているだろう。お前の斧に宿った力を、しかと確かめるのだ！！			修行の詳細は、担当の「サカフギム」に聞くがいい。「アジェレス川」のほとりでお前を待っているだろう。お前の斧に宿った力を、しかと確かめるのだ！！			刃鳴は響くか							
話は聞いている、Forename……だな？なあに、話は簡単さ、この大岩を砕くだけだ。砕けるならば、の話だがね……！			話は聞いている、Forename……だな？なあに、話は簡単さ、この大岩を砕くだけだ。砕けるならば、の話だがね……！			刃鳴は響くか							
お前の「へヴィスウィング」を見せてみろ。あの厳しいギルドマスターが、実力のない者に、この試練をさせるはずなどないからな。			お前の「へヴィスウィング」を見せてみろ。あの厳しいギルドマスターが、実力のない者に、この試練をさせるはずなどないからな。			刃鳴は響くか							
どうした、自分と話すのは試練ではないぞ？さあ、大岩を砕くのだ、「へヴィスウィング」で！！			どうした、自分と話すのは試練ではないぞ？さあ、大岩を砕くのだ、「へヴィスウィング」で！！			刃鳴は響くか							
「重厚な大岩」を「へヴィスウィング」で破壊しよう。			「重厚な大岩」を「へヴィスウィング」で破壊しよう。			刃鳴は響くか							
ひゅう～っ、さすがだな。しかと見届けさせてもらった。さあ、ギルドマスターの元に戻るがよい。			ひゅう～っ、さすがだな。しかと見届けさせてもらった。さあ、ギルドマスターの元に戻るがよい。			刃鳴は響くか							
ふっ……はははっ！俺のところにまで、お前が大岩を砕く音が聞こえてきたぞ。			ふっ……はははっ！俺のところにまで、お前が大岩を砕く音が聞こえてきたぞ。			刃鳴は響くか							
よし、試練を超えたお前に、新たな技を授けよう。かつて敵船を襲撃するために海賊たちが編み出し、ギルドによって磨かれた投擲の技「トマホーク」だ……！			よし、試練を超えたお前に、新たな技を授けよう。かつて敵船を襲撃するために海賊たちが編み出し、ギルドによって磨かれた投擲の技「トマホーク」だ……！			刃鳴は響くか							
遠距離からの攻撃で敵を怯ませ、その隙に間合いを詰める。この技によって、お前の斧術はさらに幅を広げるだろう。			遠距離からの攻撃で敵を怯ませ、その隙に間合いを詰める。この技によって、お前の斧術はさらに幅を広げるだろう。			刃鳴は響くか							
クジャタのことは、気にかかろうが……焦りは斧を滑らせるだけだ。地道な努力以上の近道など存在しないのだからな。			クジャタのことは、気にかかろうが……焦りは斧を滑らせるだけだ。地道な努力以上の近道など存在しないのだからな。			刃鳴は響くか							
敵の気配を感じた！！			敵の気配を感じた！！			刃鳴は響くか							
斧術士ギルドマスターのヴィルンズーンは、冒険者の今後の修行方針について、話があるようだ。			斧術士ギルドマスターのヴィルンズーンは、冒険者の今後の修行方針について、話があるようだ。			斧術士の礎							
ヴィルンズーンは、少年シガードの両親を殺した魔物クジャタを倒すために、Forenameを特別に指導してくれるという。彼の指示に従い、「ブラインドアイアン坑道」付近の「ガラゴ」を倒そう。			ヴィルンズーンは、少年シガードの両親を殺した魔物クジャタを倒すために、Forenameを特別に指導してくれるという。彼の指示に従い、「ブラインドアイアン坑道」付近の「ガラゴ」を倒そう。			斧術士の礎							
指定の魔物を討伐した。「斧術士ギルド」の「ヴィルンズーン」に報告しよう。			指定の魔物を討伐した。「斧術士ギルド」の「ヴィルンズーン」に報告しよう。			斧術士の礎							
ヴィルンズーンへ報告したところ、クジャタが現れたと教えられた。中央ラノシアの「開拓者の納屋」付近の「荷車」を調べ、現れた「プレインストライダー」を倒そう。			ヴィルンズーンへ報告したところ、クジャタが現れたと教えられた。中央ラノシアの「開拓者の納屋」付近の「荷車」を調べ、現れた「プレインストライダー」を倒そう。			斧術士の礎							
目的のプレインストライダーを討伐した。「斧術士ギルド」の「ヴィルンズーン」に報告しよう。			目的のプレインストライダーを討伐した。「斧術士ギルド」の「ヴィルンズーン」に報告しよう。			斧術士の礎							
討伐完了報告を受け、ヴィルンズーンはクジャタの話を聞かせてくれた。クジャタは強大な力を持つため、たくさんの魔物がつきまとっているという。そんな相手に勝つためには、今まで以上に修行する必要がある。※斧術士のレベルが15以上になると、ヴィルンズーンから次の斧術士クエストを受注することができます。			討伐完了報告を受け、ヴィルンズーンはクジャタの話を聞かせてくれた。クジャタは強大な力を持つため、たくさんの魔物がつきまとっているという。そんな相手に勝つためには、今まで以上に修行する必要がある。※斧術士のレベルが15以上になると、ヴィルンズーンから次の斧術士クエストを受注することができます。			斧術士の礎							
斧術でガラゴを倒す			斧術でガラゴを倒す			斧術士の礎							
斧術士ギルドのヴィルンズーンに報告			斧術士ギルドのヴィルンズーンに報告			斧術士の礎							
荷車を調べ、現れた魔物を斧術で倒す			荷車を調べ、現れた魔物を斧術で倒す			斧術士の礎							
斧術士ギルドのヴィルンズーンに報告			斧術士ギルドのヴィルンズーンに報告			斧術士の礎							
以前の、レッドルースター農場での一件について、少年の両親の仇については、俺も聞き及んでいる。あの悪名高き魔物……「クジャタ」のことをな。			以前の、レッドルースター農場での一件について、少年の両親の仇については、俺も聞き及んでいる。あの悪名高き魔物……「クジャタ」のことをな。			斧術士の礎							
あまりにも巨大すぎるその体躯ゆえ、あたかも山が丸ごと動いているように見えることから、「移動山脈」の二つ名で呼ばれている超大物だ。			あまりにも巨大すぎるその体躯ゆえ、あたかも山が丸ごと動いているように見えることから、「移動山脈」の二つ名で呼ばれている超大物だ。			斧術士の礎							
少年のことは、妹のソルクウィブから聞いた。お前が彼の気持ちに応えてやれるのなら、それが一番だと考えている。			少年のことは、妹のソルクウィブから聞いた。お前が彼の気持ちに応えてやれるのなら、それが一番だと考えている。			斧術士の礎							
だから、お前は強くならねばならん。……Forenameよ、まずは「ブラインドアイアン坑道」へ向かえ。			だから、お前は強くならねばならん。……Forenameよ、まずは「ブラインドアイアン坑道」へ向かえ。			斧術士の礎							
近くで人々が魔物に襲われていると、知らせが入った。かの地にはびこる「ガラゴ」を退治せよ。人々を魔物から守ることで、己を鍛え上げるのだ。			近くで人々が魔物に襲われていると、知らせが入った。かの地にはびこる「ガラゴ」を退治せよ。人々を魔物から守ることで、己を鍛え上げるのだ。			斧術士の礎							
よくやった、Forename。これで魔物に怯えていた人々も、少しは心安らぐだろう。			よくやった、Forename。これで魔物に怯えていた人々も、少しは心安らぐだろう。			斧術士の礎							
戻ったばかりで悪いが、もうひと仕事してもらいたい。……「開拓者の納屋」近くに姿を見せたクジャタに、近くを通っていた農場の荷車が襲われたそうだ。			戻ったばかりで悪いが、もうひと仕事してもらいたい。……「開拓者の納屋」近くに姿を見せたクジャタに、近くを通っていた農場の荷車が襲われたそうだ。			斧術士の礎							
壊された荷車には、餌を求めて魔物が集まっているという。積荷を失っては、農場の民も生活に窮するであろう。その斧で「荷車」にたかる魔物を討ち、民を救うのだ！			壊された荷車には、餌を求めて魔物が集まっているという。積荷を失っては、農場の民も生活に窮するであろう。その斧で「荷車」にたかる魔物を討ち、民を救うのだ！			斧術士の礎							
首尾よく、魔物を討伐できたようだな。だが、やつらはクジャタの後を追い、そのおこぼれに預かって生きながらえている卑屈な魔物にすぎん。			首尾よく、魔物を討伐できたようだな。だが、やつらはクジャタの後を追い、そのおこぼれに預かって生きながらえている卑屈な魔物にすぎん。			斧術士の礎							
クジャタを倒すには、お前の力はまだまだ及ばぬ。……修業をするぞ、Forename。			クジャタを倒すには、お前の力はまだまだ及ばぬ。……修業をするぞ、Forename。			斧術士の礎							
お前が少年との約束を果たせるよう、俺も約束しよう。ギルドマスターとして、そして斧術士の先達として、お前を必ず強くしてみせる……とな。			お前が少年との約束を果たせるよう、俺も約束しよう。ギルドマスターとして、そして斧術士の先達として、お前を必ず強くしてみせる……とな。			斧術士の礎							
敵の気配を感じた！！			敵の気配を感じた！！			斧術士の礎							
斧術士ギルドマスターのヴィルンズーンは、冒険者の今後の修行方針について、話があるようだ。			斧術士ギルドマスターのヴィルンズーンは、冒険者の今後の修行方針について、話があるようだ。			斧術士の礎							
ヴィルンズーンは、少年シガードの両親を殺した魔物クジャタを倒すために、Forenameを特別に指導してくれるという。彼の指示に従い、「ブラインドアイアン坑道」付近の「ガラゴ」を倒そう。			ヴィルンズーンは、少年シガードの両親を殺した魔物クジャタを倒すために、Forenameを特別に指導してくれるという。彼の指示に従い、「ブラインドアイアン坑道」付近の「ガラゴ」を倒そう。			斧術士の礎							
指定の魔物を討伐した。「斧術士ギルド」の「ヴィルンズーン」に報告しよう。			指定の魔物を討伐した。「斧術士ギルド」の「ヴィルンズーン」に報告しよう。			斧術士の礎							
ヴィルンズーンへ報告したところ、クジャタが現れたと教えられた。中央ラノシアの「開拓者の納屋」付近の「荷車」を調べ、現れた「プレインストライダー」を倒そう。			ヴィルンズーンへ報告したところ、クジャタが現れたと教えられた。中央ラノシアの「開拓者の納屋」付近の「荷車」を調べ、現れた「プレインストライダー」を倒そう。			斧術士の礎							
目的のプレインストライダーを討伐した。「斧術士ギルド」の「ヴィルンズーン」に報告しよう。			目的のプレインストライダーを討伐した。「斧術士ギルド」の「ヴィルンズーン」に報告しよう。			斧術士の礎							
討伐完了報告を受け、ヴィルンズーンはクジャタの話を聞かせてくれた。クジャタは強大な力を持つため、たくさんの魔物がつきまとっているという。そんな相手に勝つためには、今まで以上に修行する必要がある。※斧術士のレベルが15以上になると、ヴィルンズーンから次の斧術士クエストを受注することができます。			討伐完了報告を受け、ヴィルンズーンはクジャタの話を聞かせてくれた。クジャタは強大な力を持つため、たくさんの魔物がつきまとっているという。そんな相手に勝つためには、今まで以上に修行する必要がある。※斧術士のレベルが15以上になると、ヴィルンズーンから次の斧術士クエストを受注することができます。			斧術士の礎							
斧術でガラゴを倒す			斧術でガラゴを倒す			斧術士の礎							
斧術士ギルドのヴィルンズーンに報告			斧術士ギルドのヴィルンズーンに報告			斧術士の礎							
荷車を調べ、現れた魔物を斧術で倒す			荷車を調べ、現れた魔物を斧術で倒す			斧術士の礎							
斧術士ギルドのヴィルンズーンに報告			斧術士ギルドのヴィルンズーンに報告			斧術士の礎							
以前の、レッドルースター農場での一件について、少年の両親を殺した魔物のことを調べてみた。あの悪名高き魔物……「クジャタ」のことをな。			以前の、レッドルースター農場での一件について、少年の両親を殺した魔物のことを調べてみた。あの悪名高き魔物……「クジャタ」のことをな。			斧術士の礎							
あまりにも巨大なその体躯ゆえ、あたかも山が丸ごと動いているように見えることから、「移動山脈」の二つ名で呼ばれている超大物だ。			あまりにも巨大なその体躯ゆえ、あたかも山が丸ごと動いているように見えることから、「移動山脈」の二つ名で呼ばれている超大物だ。			斧術士の礎							
少年のことは、妹のソルクウィブから聞いた。お前が彼の気持ちに応えてやれるのなら、それが一番だと考えている。			少年のことは、妹のソルクウィブから聞いた。お前が彼の気持ちに応えてやれるのなら、それが一番だと考えている。			斧術士の礎							
だから、お前は強くならねばならん。……Forenameよ、まずは「ブラインドアイアン坑道」へ向かえ。			だから、お前は強くならねばならん。……Forenameよ、まずは「ブラインドアイアン坑道」へ向かえ。			斧術士の礎							
近くで人々が魔物に襲われていると、知らせが入った。かの地にはびこる「ガラゴ」を退治せよ。人々を魔物から守ることで、己を鍛え上げるのだ。			近くで人々が魔物に襲われていると、知らせが入った。かの地にはびこる「ガラゴ」を退治せよ。人々を魔物から守ることで、己を鍛え上げるのだ。			斧術士の礎							
よくやった、Forename。これで魔物に怯えていた人々も、少しは心安らぐだろう。			よくやった、Forename。これで魔物に怯えていた人々も、少しは心安らぐだろう。			斧術士の礎							
戻ったばかりで悪いが、もうひと仕事してもらいたい。……「開拓者の納屋」近くに姿を見せたクジャタに、近くを通っていた農場の荷車が襲われたそうだ。			戻ったばかりで悪いが、もうひと仕事してもらいたい。……「開拓者の納屋」近くに姿を見せたクジャタに、近くを通っていた農場の荷車が襲われたそうだ。			斧術士の礎							
壊された荷車には、餌を求めて魔物が集まっているという。積荷を失っては、農場の民も生活に窮するであろう。その斧で「荷車」にたかる魔物を討ち、民を救うのだ！			壊された荷車には、餌を求めて魔物が集まっているという。積荷を失っては、農場の民も生活に窮するであろう。その斧で「荷車」にたかる魔物を討ち、民を救うのだ！			斧術士の礎							
首尾よく、魔物を討伐できたようだな。だが、やつらはクジャタの後を追い、そのおこぼれに預かって生きながらえている卑屈な魔物にすぎん。			首尾よく、魔物を討伐できたようだな。だが、やつらはクジャタの後を追い、そのおこぼれに預かって生きながらえている卑屈な魔物にすぎん。			斧術士の礎							
クジャタを倒すには、お前の力はまだまだ及ばぬ。……修業をするぞ、Forename。			クジャタを倒すには、お前の力はまだまだ及ばぬ。……修業をするぞ、Forename。			斧術士の礎							
お前が少年との約束を果たせるよう、俺も約束しよう。ギルドマスターとして、そして斧術士の先達として、お前を必ず強くしてみせる……とな。			お前が少年との約束を果たせるよう、俺も約束しよう。ギルドマスターとして、そして斧術士の先達として、お前を必ず強くしてみせる……とな。			斧術士の礎							
むろん、お前が寄り道をして、他のギルド技術を学びたいのであれば、俺にはそれを止めることはできん。			むろん、お前が寄り道をして、他のギルド技術を学びたいのであれば、俺にはそれを止めることはできん。			斧術士の礎							
だが、斧術士のギルドマスターとしては、まずは斧術士を究めることを勧めるぞ……。当然だがな。			だが、斧術士のギルドマスターとしては、まずは斧術士を究めることを勧めるぞ……。当然だがな。			斧術士の礎							
「クラスチェンジ」が開放されました。他のクラスのギルドを訪れ、受付に話しかけると新たなクラスを習得するためのクエストが発行されます。			「クラスチェンジ」が開放されました。他のクラスのギルドを訪れ、受付に話しかけると新たなクラスを習得するためのクエストが発行されます。			斧術士の礎							
エオルゼアには、さまざまなクラスが存在します。まずは、現在学んでいる「斧術」について熟知し、そのうえで他のクラスを学ぶと、より理解が深まるでしょう。			エオルゼアには、さまざまなクラスが存在します。まずは、現在学んでいる「斧術」について熟知し、そのうえで他のクラスを学ぶと、より理解が深まるでしょう。			斧術士の礎							
敵の気配を感じた！！			敵の気配を感じた！！			斧術士の礎							
