星戦士団本営の星戦士団の哨兵は、目玉の妖異を見張っている。			星戦士団本営の星戦士団の哨兵は、目玉の妖異を見張っている。			続・ヴォイドの傍観者							
試練の山も石碑も、ぜーんぶ闇に呑まれちゃったケド、ルビカンテの心の中に、まだあの少女が残ってたらイイナ……。			試練の山も石碑も、ぜーんぶ闇に呑まれちゃったケド、ルビカンテの心の中に、まだあの少女が残ってたらイイナ……。			続・ヴォイドの傍観者							
じゃ、アタシそろそろみんなのところに行くネ！			じゃ、アタシそろそろみんなのところに行くネ！			続・ヴォイドの傍観者							
ン？　皆がワガハイを呼んでおるだト？……フム、不安なキモチは理解できるガ、頼まれたからといって、動くワガハイではナイ……。			ン？　皆がワガハイを呼んでおるだト？……フム、不安なキモチは理解できるガ、頼まれたからといって、動くワガハイではナイ……。			続・ヴォイドの傍観者							
ワガハイは特定の主をもたぬ……コレすなわち自由の身。つまり、皆のところにいつ戻るかハ、好きにさせてホシイのダ！			ワガハイは特定の主をもたぬ……コレすなわち自由の身。つまり、皆のところにいつ戻るかハ、好きにさせてホシイのダ！			続・ヴォイドの傍観者							
それに比べテ……ニンゲンというのは、せわしく働いてばかりおるノウ。短い時間しか生きられぬクセに、不思議な生き物ダ。			それに比べテ……ニンゲンというのは、せわしく働いてばかりおるノウ。短い時間しか生きられぬクセに、不思議な生き物ダ。			続・ヴォイドの傍観者							
実験を開始してから、しばらく経つが……よし、火は消えていないな。			実験を開始してから、しばらく経つが……よし、火は消えていないな。			続・ヴォイドの傍観者							
常に同じ状態に保っていないといけないから、目が離せないな。ま、そういう役目だから仕方ないけどさ。			常に同じ状態に保っていないといけないから、目が離せないな。ま、そういう役目だから仕方ないけどさ。			続・ヴォイドの傍観者							
常に火をつけておく役目、カ……。ワガハイも似たような行為をしていた妖異を知っておル。			常に火をつけておく役目、カ……。ワガハイも似たような行為をしていた妖異を知っておル。			続・ヴォイドの傍観者							
その妖異は、燭台に火を灯し続けておっタ。だが、それは誰かに命じられたコトではナイ。そいつが自ら進んでやっていたのダ。			その妖異は、燭台に火を灯し続けておっタ。だが、それは誰かに命じられたコトではナイ。そいつが自ら進んでやっていたのダ。			続・ヴォイドの傍観者							
ヴォイドに昼夜の概念はナイ。光に頼らぬ妖異にとって、灯火など呪術的な意味しか持たヌ。それなのに、何ユエ？			ヴォイドに昼夜の概念はナイ。光に頼らぬ妖異にとって、灯火など呪術的な意味しか持たヌ。それなのに、何ユエ？			続・ヴォイドの傍観者							
不可解な行動の理由がどうにも気になってしまってナ、ワガハイも少し手伝うようになったのダ……。			不可解な行動の理由がどうにも気になってしまってナ、ワガハイも少し手伝うようになったのダ……。			続・ヴォイドの傍観者							
その妖異……ルビカンテは、一心に火を灯し続けタ。			その妖異……ルビカンテは、一心に火を灯し続けタ。			続・ヴォイドの傍観者							
誰に命令されたわけでもないのに、無意味なコトをするものだと、ほかの妖異は呆れておったヨ。			誰に命令されたわけでもないのに、無意味なコトをするものだと、ほかの妖異は呆れておったヨ。			続・ヴォイドの傍観者							
だがそれが、ヤツにはとても重要なことだったようでナ。ワガハイも燭台の火が消えているのを見つけては、そいつに教えてやったりもしたものダ。			だがそれが、ヤツにはとても重要なことだったようでナ。ワガハイも燭台の火が消えているのを見つけては、そいつに教えてやったりもしたものダ。			続・ヴォイドの傍観者							
それから、おそらくは幾千、幾万と同じことを繰り返した後、突如、転機が訪れタ……。			それから、おそらくは幾千、幾万と同じことを繰り返した後、突如、転機が訪れタ……。			続・ヴォイドの傍観者							
(-黒鎧の騎士-)闇の中にチラつく火が見えた故、何かと思って来てみれば、なかなかの魔力の持ち主がいたものだ。燭台に火を灯すだけが、お前の能ではなかろう？			(-黒鎧の騎士-)闇の中にチラつく火が見えた故、何かと思って来てみれば、なかなかの魔力の持ち主がいたものだ。燭台に火を灯すだけが、お前の能ではなかろう？			続・ヴォイドの傍観者							
……私の炎は、敵を倒し、己が腹を満たすためにあるのではない。			……私の炎は、敵を倒し、己が腹を満たすためにあるのではない。			続・ヴォイドの傍観者							
(-黒鎧の騎士-)ほう、ではなんのためにあるのだ？			(-黒鎧の騎士-)ほう、ではなんのためにあるのだ？			続・ヴォイドの傍観者							
……それが、皆目わからぬ。だが、この炎の熱を見ると、不思議と救われたような心地がするのだ。			……それが、皆目わからぬ。だが、この炎の熱を見ると、不思議と救われたような心地がするのだ。			続・ヴォイドの傍観者							
(-黒鎧の騎士-)ふむ……己が魂に刻まれた想いを理解するには、力が足りていないようだ。			(-黒鎧の騎士-)ふむ……己が魂に刻まれた想いを理解するには、力が足りていないようだ。			続・ヴォイドの傍観者							
(-黒鎧の騎士-)ならば……！			(-黒鎧の騎士-)ならば……！			続・ヴォイドの傍観者							
この、我が身を燃やすような感覚は……！？遥か昔にも、どこかで経験したことがあるような……。			この、我が身を燃やすような感覚は……！？遥か昔にも、どこかで経験したことがあるような……。			続・ヴォイドの傍観者							
これは、タイヨウ……？そう、太陽の熱だ！かつて、この世界をあまねく照らした光……！			これは、タイヨウ……？そう、太陽の熱だ！かつて、この世界をあまねく照らした光……！			続・ヴォイドの傍観者							
陽は没すれど、空を巡って、必ずやまた昇る。ならば我が炎も、幾度消えようとも灯されなければならぬ。それこそが太陽であるがゆえ！			陽は没すれど、空を巡って、必ずやまた昇る。ならば我が炎も、幾度消えようとも灯されなければならぬ。それこそが太陽であるがゆえ！			続・ヴォイドの傍観者							
(-黒鎧の騎士-)お前は己の炎を以て、太陽の運びを……闇に呑まれる前の世界を再現しようとしていたのか。これは面白い！			(-黒鎧の騎士-)お前は己の炎を以て、太陽の運びを……闇に呑まれる前の世界を再現しようとしていたのか。これは面白い！			続・ヴォイドの傍観者							
私自身ですら忘れていた心の奥底を、こうもたやすく暴いてみせた。貴殿は、いったい……？			私自身ですら忘れていた心の奥底を、こうもたやすく暴いてみせた。貴殿は、いったい……？			続・ヴォイドの傍観者							
(-黒鎧の騎士-)どうだ、私とともに来ないか？さすれば、世界を覆う闇を掃い、再び本物の太陽を拝ませてやろうではないか。			(-黒鎧の騎士-)どうだ、私とともに来ないか？さすれば、世界を覆う闇を掃い、再び本物の太陽を拝ませてやろうではないか。			続・ヴォイドの傍観者							
黒鎧の騎士によると、世界を救う戦いにおいては、隣り合う異世界の住人を犠牲にせねばならんのだトカ……。そこでルビカンテは決意しタ。			黒鎧の騎士によると、世界を救う戦いにおいては、隣り合う異世界の住人を犠牲にせねばならんのだトカ……。そこでルビカンテは決意しタ。			続・ヴォイドの傍観者							
「我が炎は世界を救うためのもの。　誰かを焼かねばならぬのなら、その罪は必ず我が身で贖おう」			「我が炎は世界を救うためのもの。　誰かを焼かねばならぬのなら、その罪は必ず我が身で贖おう」			続・ヴォイドの傍観者							
それが、誰に命じられたわけでもナイ、ヤツ自身の想イ。ワガハイのココロにも、いまだ消えずに灯っておるヨ……。			それが、誰に命じられたわけでもナイ、ヤツ自身の想イ。ワガハイのココロにも、いまだ消えずに灯っておるヨ……。			続・ヴォイドの傍観者							
ワガハイもコチラの世界に来て、タイヨウを見たことデ、あの闇に呑まれた世界の異常さに気づいたヨ。今ならヤツのキモチが、理解できる気がすル。			ワガハイもコチラの世界に来て、タイヨウを見たことデ、あの闇に呑まれた世界の異常さに気づいたヨ。今ならヤツのキモチが、理解できる気がすル。			続・ヴォイドの傍観者							
本来あるべき世界を取り戻せるのなら、自らはその礎として、朽ち果てても構わナイ……。それほどの価値があるのだヨ、自然というヤツにはナ。			本来あるべき世界を取り戻せるのなら、自らはその礎として、朽ち果てても構わナイ……。それほどの価値があるのだヨ、自然というヤツにはナ。			続・ヴォイドの傍観者							
……フゥ、久々に昔のコトを思い出しテ、イイ気分ダ。ここはひとつ、ワガハイも自らの意思で、皆のところに戻るとしようではナイカ！			……フゥ、久々に昔のコトを思い出しテ、イイ気分ダ。ここはひとつ、ワガハイも自らの意思で、皆のところに戻るとしようではナイカ！			続・ヴォイドの傍観者							
目玉がひとつ、ふたつ、みっつ……ええと、これですべて揃ったんでしょうか？			目玉がひとつ、ふたつ、みっつ……ええと、これですべて揃ったんでしょうか？			続・ヴォイドの傍観者							
オマエ、オレたち見つけてくれタ！今度こそ、本当にみんな揃っタ！			オマエ、オレたち見つけてくれタ！今度こそ、本当にみんな揃っタ！			続・ヴォイドの傍観者							
強い妖異の話も、ちゃんと聞けたカ？			強い妖異の話も、ちゃんと聞けたカ？			続・ヴォイドの傍観者							
何と言う？			何と言う？			続・ヴォイドの傍観者							
カイナッツォとルビカンテの過去を聞いた			カイナッツォとルビカンテの過去を聞いた			続・ヴォイドの傍観者							
その妖異たちとは、もう戦うこともないだろう			その妖異たちとは、もう戦うこともないだろう			続・ヴォイドの傍観者							
そうか、オマエはすでにヤツらにも会ってたんだナ。これからの戦いには役に立たナイ話でも、何か思うトコロ、あったんじゃないカ？			そうか、オマエはすでにヤツらにも会ってたんだナ。これからの戦いには役に立たナイ話でも、何か思うトコロ、あったんじゃないカ？			続・ヴォイドの傍観者							
強い想いを抱いていたニンゲンが妖異になっテ……ゴルベーザに見出されて四天王になっテ……ついに眠りにつくときが、来たんダ。			強い想いを抱いていたニンゲンが妖異になっテ……ゴルベーザに見出されて四天王になっテ……ついに眠りにつくときが、来たんダ。			続・ヴォイドの傍観者							
ま、オレもみんなから話聞いただケ。オレたちの想い、オレのものにするには、はやく元に戻らないとナ。			ま、オレもみんなから話聞いただケ。オレたちの想い、オレのものにするには、はやく元に戻らないとナ。			続・ヴォイドの傍観者							
おお、それは朗報です！ぜひとも、元に戻ってもらいましょう。			おお、それは朗報です！ぜひとも、元に戻ってもらいましょう。			続・ヴォイドの傍観者							
よし、それじゃさっそくいくゾ。みんな、あつまレ～！			よし、それじゃさっそくいくゾ。みんな、あつまレ～！			続・ヴォイドの傍観者							
やっタ、これでまたみんないっしょ！オレたち怖くナイ！			やっタ、これでまたみんないっしょ！オレたち怖くナイ！			続・ヴォイドの傍観者							
それに、オレたちが見てきたコッチの世界のコトが、オレが見たかのように、よくわかル。			それに、オレたちが見てきたコッチの世界のコトが、オレが見たかのように、よくわかル。			続・ヴォイドの傍観者							
やっぱり、コッチの世界、面白イ！オレ、もっともっとコッチのコト、知りたイ！			やっぱり、コッチの世界、面白イ！オレ、もっともっとコッチのコト、知りたイ！			続・ヴォイドの傍観者							
これが元の姿ですか……。なんというか、立派な妖異になってしまって、逆に危険度が増してしまったような気もしますね。			これが元の姿ですか……。なんというか、立派な妖異になってしまって、逆に危険度が増してしまったような気もしますね。			続・ヴォイドの傍観者							
かといって、アルザダール海底遺跡群のゲートが壊された今、送り返すこともできませんし、どうしたものか……。			かといって、アルザダール海底遺跡群のゲートが壊された今、送り返すこともできませんし、どうしたものか……。			続・ヴォイドの傍観者							
ン、ナニか視えるゾ……？			ン、ナニか視えるゾ……？			続・ヴォイドの傍観者							
アッチの方……妖異がいるナ。この世界、ほかにも同類たちが渡ってきているみたいダ。			アッチの方……妖異がいるナ。この世界、ほかにも同類たちが渡ってきているみたいダ。			続・ヴォイドの傍観者							
みんながコッチでいろんな経験してきたせいカ、前よりも遠くまで、エーテルが視えるようになったゾ！			みんながコッチでいろんな経験してきたせいカ、前よりも遠くまで、エーテルが視えるようになったゾ！			続・ヴォイドの傍観者							
なんと、遠方の妖異の気配を探知できるようになったと？			なんと、遠方の妖異の気配を探知できるようになったと？			続・ヴォイドの傍観者							
それは素晴らしい！その能力を使えば、こちら側に侵入してきた妖異を探し、対処することができるではありませんか。			それは素晴らしい！その能力を使えば、こちら側に侵入してきた妖異を探し、対処することができるではありませんか。			続・ヴォイドの傍観者							
反応があった地点には、のちほど調査隊を向かわせるとして……敵対的な妖異の発見に協力するという条件なら、この妖異と契約する方向で官吏たちを説得できるかもしれません！			反応があった地点には、のちほど調査隊を向かわせるとして……敵対的な妖異の発見に協力するという条件なら、この妖異と契約する方向で官吏たちを説得できるかもしれません！			続・ヴォイドの傍観者							
オレ、コッチの世界、いてもイイのカ？それならいくらでも協力するゾ！			オレ、コッチの世界、いてもイイのカ？それならいくらでも協力するゾ！			続・ヴォイドの傍観者							
オマエには世話になったナ！これからはコイツといっしょに、ニンゲンたちと意思疎通する方法を考えるとしよウ！			オマエには世話になったナ！これからはコイツといっしょに、ニンゲンたちと意思疎通する方法を考えるとしよウ！			続・ヴォイドの傍観者							
ダーマ区の星戦士団の哨兵は、困っているようだ。			ダーマ区の星戦士団の哨兵は、困っているようだ。			ヴォイドの傍観者							
星戦士団の哨兵は、ラザハンを徘徊していた妖異を捕獲したものの、意思疎通ができず困っているという。ラザハンの星戦士団本営にいる「星戦士団の哨兵」に話しかけ、詳しい話を聞いてみよう。			星戦士団の哨兵は、ラザハンを徘徊していた妖異を捕獲したものの、意思疎通ができず困っているという。ラザハンの星戦士団本営にいる「星戦士団の哨兵」に話しかけ、詳しい話を聞いてみよう。			ヴォイドの傍観者							
目玉の妖異は世界が闇に呑まれる以前の記憶を持っていることから、人間の生活に憧れて原初世界にやってきたらしい。しかし、復活したばかりだったがゆえ、魂の結びつきが弱く、肉体がバラバラになってしまったという。ラザハン内を探索し、「分裂した目玉」を4体探そう。			目玉の妖異は世界が闇に呑まれる以前の記憶を持っていることから、人間の生活に憧れて原初世界にやってきたらしい。しかし、復活したばかりだったがゆえ、魂の結びつきが弱く、肉体がバラバラになってしまったという。ラザハン内を探索し、「分裂した目玉」を4体探そう。			ヴォイドの傍観者							
分裂した目玉を見つけ、強い妖異の過去にまつわる物語を聞いた。星戦士団本営にいる「目玉の妖異」と話そう。			分裂した目玉を見つけ、強い妖異の過去にまつわる物語を聞いた。星戦士団本営にいる「目玉の妖異」と話そう。			ヴォイドの傍観者							
分裂した目玉はまだほかに存在しているが、今はこの付近にはいないようだ。残りの目玉たちも、知られざる妖異の過去について、語ってくれるだろうか。目玉の妖異が、付近に残りの目玉たちの気配を感じたときには、また捜索に協力してみよう。			分裂した目玉はまだほかに存在しているが、今はこの付近にはいないようだ。残りの目玉たちも、知られざる妖異の過去について、語ってくれるだろうか。目玉の妖異が、付近に残りの目玉たちの気配を感じたときには、また捜索に協力してみよう。			ヴォイドの傍観者							
星戦士団の哨兵と話す			星戦士団の哨兵と話す			ヴォイドの傍観者							
分裂した目玉を探す			分裂した目玉を探す			ヴォイドの傍観者							
目玉の妖異と話す			目玉の妖異と話す			ヴォイドの傍観者							
ああ、Forename殿。ちょうどいいところに……！			ああ、Forename殿。ちょうどいいところに……！			ヴォイドの傍観者							
実は、ラザハン内を巡回中に、1匹の妖異を発見したんですよ！			実は、ラザハン内を巡回中に、1匹の妖異を発見したんですよ！			ヴォイドの傍観者							
はじめは討伐しようと思ったのですが、抵抗するでもなく、モゾモゾと動くだけでしてね。奇妙に思い、とりあえず捕獲しまして……			はじめは討伐しようと思ったのですが、抵抗するでもなく、モゾモゾと動くだけでしてね。奇妙に思い、とりあえず捕獲しまして……			ヴォイドの傍観者							
ヴォイドにも渡られた貴殿であれば、妖異の行動の裏にある意図を、暴けるのではないでしょうか？ぜひ、力をお貸しください！			ヴォイドにも渡られた貴殿であれば、妖異の行動の裏にある意図を、暴けるのではないでしょうか？ぜひ、力をお貸しください！			ヴォイドの傍観者							
感謝いたします。捕獲した妖異は「星戦士団本営」で拘束しておりますので、そちらまでお越し願えますでしょうか。			感謝いたします。捕獲した妖異は「星戦士団本営」で拘束しておりますので、そちらまでお越し願えますでしょうか。			ヴォイドの傍観者							
妖異が、じっとこちらを睨んでいる……！			妖異が、じっとこちらを睨んでいる……！			ヴォイドの傍観者							
お越しいただき、ありがとうございます。コイツが、件の妖異です。			お越しいただき、ありがとうございます。コイツが、件の妖異です。			ヴォイドの傍観者							
捕獲した際も、これといって暴れることもなく、市民への被害も確認されていないようです。			捕獲した際も、これといって暴れることもなく、市民への被害も確認されていないようです。			ヴォイドの傍観者							
しかし、エーテルを求めて人々を襲うのが妖異の性。きっと何か企んでいるに違いありません！			しかし、エーテルを求めて人々を襲うのが妖異の性。きっと何か企んでいるに違いありません！			ヴォイドの傍観者							
オマエ、トロイア城にいたヤツ！オレ、困ってル、ちょっと助けてホシイ！			オマエ、トロイア城にいたヤツ！オレ、困ってル、ちょっと助けてホシイ！			ヴォイドの傍観者							
何と言う？			何と言う？			ヴォイドの傍観者							
何に困っているんだ？			何に困っているんだ？			ヴォイドの傍観者							
お前はトロイア城にいた妖異か？			お前はトロイア城にいた妖異か？			ヴォイドの傍観者							
おお、オレの言ってること、ちゃんと伝わっタ？スバラシイ！			おお、オレの言ってること、ちゃんと伝わっタ？スバラシイ！			ヴォイドの傍観者							
ソウダ！オレ、向こうからやってきタ。			ソウダ！オレ、向こうからやってきタ。			ヴォイドの傍観者							
オレ、ニンゲンの言葉、わかル。けど、ニンゲンの声、出せナイ。だからオレの言ってること、伝わらなかっタ。			オレ、ニンゲンの言葉、わかル。けど、ニンゲンの声、出せナイ。だからオレの言ってること、伝わらなかっタ。			ヴォイドの傍観者							
オマエ、オレの言ってること、わかル！なら、オレのこと、助けてホシイ！			オマエ、オレの言ってること、わかル！なら、オレのこと、助けてホシイ！			ヴォイドの傍観者							
なんと、貴殿はこの妖異と会話できるのですね！お手数ですが、このまま事情聴取を進めてみていただけますか？			なんと、貴殿はこの妖異と会話できるのですね！お手数ですが、このまま事情聴取を進めてみていただけますか？			ヴォイドの傍観者							
オマエたち、トロイア城で暴れたとき、オレ、巻き添えで死んで、肉体、復活することになっタ。			オマエたち、トロイア城で暴れたとき、オレ、巻き添えで死んで、肉体、復活することになっタ。			ヴォイドの傍観者							
オレ、戦い嫌イ。だから逃げようとして、門通って、コッチに来タ。			オレ、戦い嫌イ。だから逃げようとして、門通って、コッチに来タ。			ヴォイドの傍観者							
でも、復活したばかり、魂の結びつき弱イ……。門から出るとき、肉体バラバラ、細切れになっタ。オレは、「オレたち」になってしまったんダ。			でも、復活したばかり、魂の結びつき弱イ……。門から出るとき、肉体バラバラ、細切れになっタ。オレは、「オレたち」になってしまったんダ。			ヴォイドの傍観者							
本当は目玉、もっといっぱいあっタ。でも、バラバラになった目玉、怖くなって逃げ出しタ。小さいから誰にも気付かれず、この街までは追って来られたガ……。			本当は目玉、もっといっぱいあっタ。でも、バラバラになった目玉、怖くなって逃げ出しタ。小さいから誰にも気付かれず、この街までは追って来られたガ……。			ヴォイドの傍観者							
オレは弱い、だからオレたち喰いあって、強くなってタ。オレたち揃ってないと、オレは不安。ひとりは怖い、だからオレたちを探してホシイ！			オレは弱い、だからオレたち喰いあって、強くなってタ。オレたち揃ってないと、オレは不安。ひとりは怖い、だからオレたちを探してホシイ！			ヴォイドの傍観者							
何と言う？			何と言う？			ヴォイドの傍観者							
取引をするには対価が必要だ			取引をするには対価が必要だ			ヴォイドの傍観者							
この世界で何をするつもりだ？			この世界で何をするつもりだ？			ヴォイドの傍観者							
もちろん、対価、くれてやル！オレ、オマエたちと、ケイヤクすル！できるなら、ずっとコッチに滞在したイ！			もちろん、対価、くれてやル！オレ、オマエたちと、ケイヤクすル！できるなら、ずっとコッチに滞在したイ！			ヴォイドの傍観者							
別に、ナニかをしたイわけじゃナイ！ただ、コッチで、暮らしたイ！一時的、チガウ、ずっとコッチに滞在したイ！			別に、ナニかをしたイわけじゃナイ！ただ、コッチで、暮らしたイ！一時的、チガウ、ずっとコッチに滞在したイ！			ヴォイドの傍観者							
オレは……いや、オレたちは、昔のコト、覚えてるんダ。オレたち、ニンゲン、だったっテ……。			オレは……いや、オレたちは、昔のコト、覚えてるんダ。オレたち、ニンゲン、だったっテ……。			ヴォイドの傍観者							
だからオレたち、憧れてタ。オマエたちとケイヤクして、コッチの世界、暮らすコト。オレ、元に戻っても、オマエたち喰わナイ、約束すル！			だからオレたち、憧れてタ。オマエたちとケイヤクして、コッチの世界、暮らすコト。オレ、元に戻っても、オマエたち喰わナイ、約束すル！			ヴォイドの傍観者							
オマエ、ヴォイドで戦ってるんだロ？だったら、妖異についての話、教えるのはどうダ？それも、強い妖異として名を馳せたヤツの過去！			オマエ、ヴォイドで戦ってるんだロ？だったら、妖異についての話、教えるのはどうダ？それも、強い妖異として名を馳せたヤツの過去！			ヴォイドの傍観者							
オレたち見つけたら、ソイツから強い妖異の話、聞ケ。過去の、いろんな時代のコトを教えル……それが対価ダ！			オレたち見つけたら、ソイツから強い妖異の話、聞ケ。過去の、いろんな時代のコトを教えル……それが対価ダ！			ヴォイドの傍観者							
戦いから逃れ、こちら側で暮らすためにやってきたはいいが、肉体がバラバラになってしまって、それを探している、と……。			戦いから逃れ、こちら側で暮らすためにやってきたはいいが、肉体がバラバラになってしまって、それを探している、と……。			ヴォイドの傍観者							
妖異は、正式な手順で契約を結べば、使役することができるとは聞いています。協力的な妖異がいれば、ヴォイドの研究にも役立つことでしょう。			妖異は、正式な手順で契約を結べば、使役することができるとは聞いています。協力的な妖異がいれば、ヴォイドの研究にも役立つことでしょう。			ヴォイドの傍観者							
私はここでコイツを見張りつつ、今後の処遇について、官吏たちと協議しておきます。貴殿は、ほかの目玉を探していただけませんか？			私はここでコイツを見張りつつ、今後の処遇について、官吏たちと協議しておきます。貴殿は、ほかの目玉を探していただけませんか？			ヴォイドの傍観者							
よし、取引成立だナ……！？			よし、取引成立だナ……！？			ヴォイドの傍観者							
この近く、オレたちの気配、「4つ」感じル。見つけたら、オレのところに戻れと、伝えてホシイ。繋がり意識すれば、戻ってくるハズ……！			この近く、オレたちの気配、「4つ」感じル。見つけたら、オレのところに戻れと、伝えてホシイ。繋がり意識すれば、戻ってくるハズ……！			ヴォイドの傍観者							
貴殿がいてくれて助かりました。ほかの目玉を見つけたら、こちらへ誘導をお願いいたします！			貴殿がいてくれて助かりました。ほかの目玉を見つけたら、こちらへ誘導をお願いいたします！			ヴォイドの傍観者							
オレたちみんな、ニンゲンたちの暮らし、興味あル。きっとこの近く、いるハズだ。			オレたちみんな、ニンゲンたちの暮らし、興味あル。きっとこの近く、いるハズだ。			ヴォイドの傍観者							
分裂した目玉をすべて発見し、合流を促した。星戦士団本営に戻り、目玉の妖異に報告しよう。			分裂した目玉をすべて発見し、合流を促した。星戦士団本営に戻り、目玉の妖異に報告しよう。			ヴォイドの傍観者							
なに、オレに探してくれと頼まれタ？その対価として、強い妖異の過去について話をしろッテ……？			なに、オレに探してくれと頼まれタ？その対価として、強い妖異の過去について話をしろッテ……？			ヴォイドの傍観者							
まだいろいろと見て回ってる途中なんだガ、オレが約束したのなら、しょうがないナ……。			まだいろいろと見て回ってる途中なんだガ、オレが約束したのなら、しょうがないナ……。			ヴォイドの傍観者							
あそこにいるニンゲンは……兵隊だナ？オレたちの世界にも、兵隊いタ。メモリア戦争、あったからナ……。			あそこにいるニンゲンは……兵隊だナ？オレたちの世界にも、兵隊いタ。メモリア戦争、あったからナ……。			ヴォイドの傍観者							
おお、封宝の間から戻ったか。妖異たちの撃退、ご苦労だったな。			おお、封宝の間から戻ったか。妖異たちの撃退、ご苦労だったな。			ヴォイドの傍観者							
なに、太守様の留守を任されたのだから、この程度。我らが祖国は、この命にかえても護ってみせようぞ！			なに、太守様の留守を任されたのだから、この程度。我らが祖国は、この命にかえても護ってみせようぞ！			ヴォイドの傍観者							
「国を護る」……。あの遠い昔にも、そんな言葉を聞いたようナ……。			「国を護る」……。あの遠い昔にも、そんな言葉を聞いたようナ……。			ヴォイドの傍観者							
そうダ、あれはメモリア戦争の初期。ある砦を、敵対勢力が召喚した幻魔が襲っていタ。			そうダ、あれはメモリア戦争の初期。ある砦を、敵対勢力が召喚した幻魔が襲っていタ。			ヴォイドの傍観者							
その砦にいたのは、異能を持たぬ兵隊だけだったガ、勇猛で知られる指揮官のもと、必死に抵抗していタ。			その砦にいたのは、異能を持たぬ兵隊だけだったガ、勇猛で知られる指揮官のもと、必死に抵抗していタ。			ヴォイドの傍観者							
味方のメモリア使いが到着するまで、祖国のため、死んでもこの場を守レ……指揮官の男、号令を発しタ。			味方のメモリア使いが到着するまで、祖国のため、死んでもこの場を守レ……指揮官の男、号令を発しタ。			ヴォイドの傍観者							
それから少しして、メモリア使いが到着しタ。だが、すべては遅かっタ……遅すぎたんダ……。			それから少しして、メモリア使いが到着しタ。だが、すべては遅かっタ……遅すぎたんダ……。			ヴォイドの傍観者							
(-分裂した目玉-)幻魔に勝利したメモリア使いと、その従者は、静かになった戦場を歩き回り、生存者がいないか探しタ。しかしその甲斐もむなしく、見つかるのは物言わぬ屍だケ……			(-分裂した目玉-)幻魔に勝利したメモリア使いと、その従者は、静かになった戦場を歩き回り、生存者がいないか探しタ。しかしその甲斐もむなしく、見つかるのは物言わぬ屍だケ……			ヴォイドの傍観者							
(-分裂した目玉-)諦めて捜索を切り上げようとしたそのとき、かすかにうめき声が聞こえタ。			(-分裂した目玉-)諦めて捜索を切り上げようとしたそのとき、かすかにうめき声が聞こえタ。			ヴォイドの傍観者							
(-分裂した目玉-)急いで土砂をかきわけると、ひとりの男が見つかっタ。それはなんと、この砦の指揮官だったのダ。			(-分裂した目玉-)急いで土砂をかきわけると、ひとりの男が見つかっタ。それはなんと、この砦の指揮官だったのダ。			ヴォイドの傍観者							
(-分裂した目玉-)やっと見つかった生存者。だが、そこでメモリア使いたちの顔に浮かんだのは、安堵ではなく、驚きと怒りだっタ。			(-分裂した目玉-)やっと見つかった生存者。だが、そこでメモリア使いたちの顔に浮かんだのは、安堵ではなく、驚きと怒りだっタ。			ヴォイドの傍観者							
あんた、ここの指揮官だろう。どうして、怪我ひとつしてない！？			あんた、ここの指揮官だろう。どうして、怪我ひとつしてない！？			ヴォイドの傍観者							
暴れるしか能のない幻魔だったようでな。奴の攻撃で崩れた土砂に身をうずめて隠れていたら、私の姿を見失ったらしい。			暴れるしか能のない幻魔だったようでな。奴の攻撃で崩れた土砂に身をうずめて隠れていたら、私の姿を見失ったらしい。			ヴォイドの傍観者							
お前がやるべきことは、自分の身を犠牲にしてでも、部下を逃がしてやることだった。それなのに撤退の指示も出さず、隠れていただけとは……！			お前がやるべきことは、自分の身を犠牲にしてでも、部下を逃がしてやることだった。それなのに撤退の指示も出さず、隠れていただけとは……！			ヴォイドの傍観者							
な、なにを言うか……！こうして砦を護ることはできたのだから、賢明な判断だったと言ってくれ。			な、なにを言うか……！こうして砦を護ることはできたのだから、賢明な判断だったと言ってくれ。			ヴォイドの傍観者							
それに私は、「国を護る力」になると誓った身……名誉の戦死などではなく、生きて戦い続けるべきなのだ！私は、ここで死ぬべき運命ではないッ！			それに私は、「国を護る力」になると誓った身……名誉の戦死などではなく、生きて戦い続けるべきなのだ！私は、ここで死ぬべき運命ではないッ！			ヴォイドの傍観者							
運命だと……？			運命だと……？			ヴォイドの傍観者							
そいつ、殺しちゃうんですか？			そいつ、殺しちゃうんですか？			ヴォイドの傍観者							
いいや、気絶させただけだ。兵隊たちを埋葬してやろう……こいつも一緒にな。			いいや、気絶させただけだ。兵隊たちを埋葬してやろう……こいつも一緒にな。			ヴォイドの傍観者							
ここで生きるべきか、死ぬべきか……運命とやらに委ねてやるんだ。			ここで生きるべきか、死ぬべきか……運命とやらに委ねてやるんだ。			ヴォイドの傍観者							
なるほど……それは妙案ですね。			なるほど……それは妙案ですね。			ヴォイドの傍観者							
(-分裂した目玉-)その後、埋葬された戦死者の供養が行われるなか、ひとりの男が地面から這い出てきたといウ。そう、指揮官は生きていたのダ。			(-分裂した目玉-)その後、埋葬された戦死者の供養が行われるなか、ひとりの男が地面から這い出てきたといウ。そう、指揮官は生きていたのダ。			ヴォイドの傍観者							
(-分裂した目玉-)「私は死なん……絶対に生き残ってみせるぞ……」			(-分裂した目玉-)「私は死なん……絶対に生き残ってみせるぞ……」			ヴォイドの傍観者							
