クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			凛とした女侍							
じ、爺さんっ！			じ、爺さんっ！			皇都を惑わす心中の怪！							
……ぬう、今一歩なのだ。志半ばで……くたばるわけにはいかん。……ええい！			……ぬう、今一歩なのだ。志半ばで……くたばるわけにはいかん。……ええい！			皇都を惑わす心中の怪！							
さて、モモジゴによれば、「えおるぜあ」の主要都市は、これですべてまわったことになる。			さて、モモジゴによれば、「えおるぜあ」の主要都市は、これですべてまわったことになる。			皇都を惑わす心中の怪！							
モモジゴよ、これまでよく付き合ってくれたな、感謝しておるぞ。			モモジゴよ、これまでよく付き合ってくれたな、感謝しておるぞ。			皇都を惑わす心中の怪！							
あとは、ワシの最後の目的。極悪人「コガラシ」を成敗するだけ……。			あとは、ワシの最後の目的。極悪人「コガラシ」を成敗するだけ……。			皇都を惑わす心中の怪！							
Forename殿、各都市で悪党を成敗したことで、お主は、並ぶことなき立派な侍となった。それも、コガラシと匹敵するほどにな……。			Forename殿、各都市で悪党を成敗したことで、お主は、並ぶことなき立派な侍となった。それも、コガラシと匹敵するほどにな……。			皇都を惑わす心中の怪！							
そろそろ修行も終わりのときを迎える。お主のような才ある弟子を持てて、ワシは果報者じゃ。……さあ、今は「いしゅがるど」の街へ戻ることにしよう。			そろそろ修行も終わりのときを迎える。お主のような才ある弟子を持てて、ワシは果報者じゃ。……さあ、今は「いしゅがるど」の街へ戻ることにしよう。			皇都を惑わす心中の怪！							
Forename、大変なんだ！街に着いてすぐに、爺さんが倒れちまったんだよ！			Forename、大変なんだ！街に着いてすぐに、爺さんが倒れちまったんだよ！			皇都を惑わす心中の怪！							
今は、宿で安静にしているけど、医者の話では、爺さんは重い病を抱えていたようだ。もう、刀を握ることだって難しい状態らしい……。			今は、宿で安静にしているけど、医者の話では、爺さんは重い病を抱えていたようだ。もう、刀を握ることだって難しい状態らしい……。			皇都を惑わす心中の怪！							
そして……もう……長くはないだろうって……。			そして……もう……長くはないだろうって……。			皇都を惑わす心中の怪！							
そんな身体で、エオルゼア中を回って、悪を討って、俺のことまで助けてくれたんだ……。			そんな身体で、エオルゼア中を回って、悪を討って、俺のことまで助けてくれたんだ……。			皇都を惑わす心中の怪！							
なぁ、Forename。爺さんが言ってた、「コガラシ」とかいう侍の成敗……なんで、あんなに無理をしてまでやろうとしていたんだろう？			なぁ、Forename。爺さんが言ってた、「コガラシ」とかいう侍の成敗……なんで、あんなに無理をしてまでやろうとしていたんだろう？			皇都を惑わす心中の怪！							
本人は口にしないけど、よっぽど深い理由があるみたいだ。代わりに俺たちが、その大義を果たしてやれたらな……。			本人は口にしないけど、よっぽど深い理由があるみたいだ。代わりに俺たちが、その大義を果たしてやれたらな……。			皇都を惑わす心中の怪！							
とにかく、俺はここに残って爺さんの看病をするから、また見に来てくれよ……約束だぞ。			とにかく、俺はここに残って爺さんの看病をするから、また見に来てくれよ……約束だぞ。			皇都を惑わす心中の怪！							
赤誠組屯所のマコトは、何やら慌てているようだ。			赤誠組屯所のマコトは、何やら慌てているようだ。			松葉門外の変							
マコトから、コンゴウが切腹してしまったと聞いた。弔う間もなく、大老が来ているというので、港の警備を頼まれた。クガネの小波止場にある「指定地点」で見渡そう。			マコトから、コンゴウが切腹してしまったと聞いた。弔う間もなく、大老が来ているというので、港の警備を頼まれた。クガネの小波止場にある「指定地点」で見渡そう。			松葉門外の変							
指定地点で見渡したが、不審なものは見当たらなかった。小波止場の「指定地点」で再度見渡そう。			指定地点で見渡したが、不審なものは見当たらなかった。小波止場の「指定地点」で再度見渡そう。			松葉門外の変							
指定地点で見渡したところ、お守りらしき物を見つけた。小波止場の「お守りらしき物」を拾おう。			指定地点で見渡したところ、お守りらしき物を見つけた。小波止場の「お守りらしき物」を拾おう。			松葉門外の変							
お守りらしき物を拾った。お守りにはべったりと血が付着していた。小波止場の「マコト」に「血で汚れたお守り」を渡そう。			お守りらしき物を拾った。お守りにはべったりと血が付着していた。小波止場の「マコト」に「血で汚れたお守り」を渡そう。			松葉門外の変							
マコトに血で汚れたお守りを渡したところ、お守りはコンゴウの物だという。マコトはコンゴウがウゲツ一派に殺されたと考え、シデンに一派が侵入していることを進言するようだ。クガネのラザハン大使館へ向かった「マコト」と合流しよう。			マコトに血で汚れたお守りを渡したところ、お守りはコンゴウの物だという。マコトはコンゴウがウゲツ一派に殺されたと考え、シデンに一派が侵入していることを進言するようだ。クガネのラザハン大使館へ向かった「マコト」と合流しよう。			松葉門外の変							
マコトと合流した。シデンが不在だったことから、マコトは大老が廓にいると考えたようだ。クガネの三条花街入口へ向かった「マコト」と再度合流しよう。			マコトと合流した。シデンが不在だったことから、マコトは大老が廓にいると考えたようだ。クガネの三条花街入口へ向かった「マコト」と再度合流しよう。			松葉門外の変							
マコトと合流したところ、シデンが刀を抜いて廓へ向かおうとしていた。ウゲツ派の間者はシデンだった。戦いとなり、ほかの裏切り者たちも現れたが、死んだと思われたコンゴウが仲間とともに駆けつけてくれた。冒険者はシデンを倒した。クガネのシデンを包囲しよう。			マコトと合流したところ、シデンが刀を抜いて廓へ向かおうとしていた。ウゲツ派の間者はシデンだった。戦いとなり、ほかの裏切り者たちも現れたが、死んだと思われたコンゴウが仲間とともに駆けつけてくれた。冒険者はシデンを倒した。クガネのシデンを包囲しよう。			松葉門外の変							
敗北したシデンは自刃するのだった。赤誠組屯所の「コンゴウ」と話そう。			敗北したシデンは自刃するのだった。赤誠組屯所の「コンゴウ」と話そう。			松葉門外の変							
コンゴウと話した。彼は冒険者に刃を向けたことを謝り、たとえ上が腐敗していても平和を護ると語った。コンゴウから、今後も赤誠組への協力をするよう頼まれた。折を見てまた、マコトを訪ねよう。※侍のレベルが68以上になると、赤誠組屯所のマコトから次の侍クエストを受注することができます。			コンゴウと話した。彼は冒険者に刃を向けたことを謝り、たとえ上が腐敗していても平和を護ると語った。コンゴウから、今後も赤誠組への協力をするよう頼まれた。折を見てまた、マコトを訪ねよう。※侍のレベルが68以上になると、赤誠組屯所のマコトから次の侍クエストを受注することができます。			松葉門外の変							
指定地点で見渡す			指定地点で見渡す			松葉門外の変							
指定地点で再度見渡す			指定地点で再度見渡す			松葉門外の変							
お守りらしき物を拾う			お守りらしき物を拾う			松葉門外の変							
マコトに血で汚れたお守りを渡す			マコトに血で汚れたお守りを渡す			松葉門外の変							
マコトと合流			マコトと合流			松葉門外の変							
マコトと再度合流			マコトと再度合流			松葉門外の変							
コンゴウと話す			コンゴウと話す			松葉門外の変							
Forename殿、一大事です！局長が……コンゴウさんが……			Forename殿、一大事です！局長が……コンゴウさんが……			松葉門外の変							
切腹してしまったのです……！			切腹してしまったのです……！			松葉門外の変							
ウゲツを捕らえられぬまま、多くの仲間を殺されたことを詫びる、という旨が認められた文が、遺体の側に置かれていたそうです。			ウゲツを捕らえられぬまま、多くの仲間を殺されたことを詫びる、という旨が認められた文が、遺体の側に置かれていたそうです。			松葉門外の変							
大老の遊説の折とあって、局内は混乱しています。局長の葬儀もままならず、副局長のシデンさんが、局長代理に就任し、警備の指揮を執ることになりました。			大老の遊説の折とあって、局内は混乱しています。局長の葬儀もままならず、副局長のシデンさんが、局長代理に就任し、警備の指揮を執ることになりました。			松葉門外の変							
大老は幕府の重鎮、ウゲツの格好の標的です。私は一派の潜入を監視するため、港の警備を任されています。			大老は幕府の重鎮、ウゲツの格好の標的です。私は一派の潜入を監視するため、港の警備を任されています。			松葉門外の変							
こんな役回りをお願いするのは、忍びないのですが、どうか、Forename殿も、私と一緒に「小波止場」で見回りをお願いしたい。			こんな役回りをお願いするのは、忍びないのですが、どうか、Forename殿も、私と一緒に「小波止場」で見回りをお願いしたい。			松葉門外の変							
かたじけなく存じます！どんな些細なことも見逃さず、何かあればご報告ください！			かたじけなく存じます！どんな些細なことも見逃さず、何かあればご報告ください！			松葉門外の変							
Forename殿も、「小波止場」の見回りをお願いします。どんな些細なことも見逃さず、何かあればご報告ください！			Forename殿も、「小波止場」の見回りをお願いします。どんな些細なことも見逃さず、何かあればご報告ください！			松葉門外の変							
特に不審なものは見当たらないようだ……。			特に不審なものは見当たらないようだ……。			松葉門外の変							
桟橋に「血のついたお守りらしき物」が落ちているようだ……。			桟橋に「血のついたお守りらしき物」が落ちているようだ……。			松葉門外の変							
何か不審なものでも見つけましたか？			何か不審なものでも見つけましたか？			松葉門外の変							
血で汚れたお守りですか、確かに穏やかではないですね……。それにしても、このお守り……どこかで……。			血で汚れたお守りですか、確かに穏やかではないですね……。それにしても、このお守り……どこかで……。			松葉門外の変							
そうだ……！これは、局長のコンゴウさんのお守りです！間違いありません、いつも大事に首から下げていました。			そうだ……！これは、局長のコンゴウさんのお守りです！間違いありません、いつも大事に首から下げていました。			松葉門外の変							
しかし、局長は切腹したはずなのに、どうしてこれが、こんなところに……？			しかし、局長は切腹したはずなのに、どうしてこれが、こんなところに……？			松葉門外の変							
何と言う？			何と言う？			松葉門外の変							
局長の遺体は見たのか？			局長の遺体は見たのか？			松葉門外の変							
切腹する前にここで落としたのでは？			切腹する前にここで落としたのでは？			松葉門外の変							
いいえ……少なくとも私は……。			いいえ……少なくとも私は……。			松葉門外の変							
しかし、切腹しようとする人がこんなところに……？局長は頑固ですが、何よりも侍の大義を重んじる方。切腹を決めたのなら、迷われたりは……。			しかし、切腹しようとする人がこんなところに……？局長は頑固ですが、何よりも侍の大義を重んじる方。切腹を決めたのなら、迷われたりは……。			松葉門外の変							
そもそも、誰よりも大義を重んじるあの方が、我々を置いて切腹するなんてことが……。			そもそも、誰よりも大義を重んじるあの方が、我々を置いて切腹するなんてことが……。			松葉門外の変							
まさか……局長の切腹はでっち上げ？コンゴウさんは……ウゲツ一派に殺された？			まさか……局長の切腹はでっち上げ？コンゴウさんは……ウゲツ一派に殺された？			松葉門外の変							
そんな……。もしそうだとしたら、赤誠組の内部に、ウゲツ一派がいるということになります！			そんな……。もしそうだとしたら、赤誠組の内部に、ウゲツ一派がいるということになります！			松葉門外の変							
急いで「ラザハン大使館」で警備するシデンさんに、大老の身辺警護の強化を進言しましょう！			急いで「ラザハン大使館」で警備するシデンさんに、大老の身辺警護の強化を進言しましょう！			松葉門外の変							
副局長でしたら、ここにはいません。			副局長でしたら、ここにはいません。			松葉門外の変							
ウゲツ一派が来たら、叩き斬ってやるぜ。			ウゲツ一派が来たら、叩き斬ってやるぜ。			松葉門外の変							
大老は僕たち赤誠組が、命を賭けて護ります。			大老は僕たち赤誠組が、命を賭けて護ります。			松葉門外の変							
なぜ、シデンさんはここにいないのだ……？			なぜ、シデンさんはここにいないのだ……？			松葉門外の変							
なぜって……ほら……あの噂はご存じでしょう？例の大老のご立派な趣味ですよ。			なぜって……ほら……あの噂はご存じでしょう？例の大老のご立派な趣味ですよ。			松葉門外の変							
まさか、あの噂は本当だったというのか……？			まさか、あの噂は本当だったというのか……？			松葉門外の変							
大老は無類の芸子好きで、公務と偽って、各地の廓を巡っているという、まことしやかな話があるのです。			大老は無類の芸子好きで、公務と偽って、各地の廓を巡っているという、まことしやかな話があるのです。			松葉門外の変							
それが本当だとしたら、大老がいるのは「三条花街」！きっと、シデンさんもその警護に……。急いで向かいましょう！			それが本当だとしたら、大老がいるのは「三条花街」！きっと、シデンさんもその警護に……。急いで向かいましょう！			松葉門外の変							
シデン……さん？			シデン……さん？			松葉門外の変							
君たち、なぜこんなところに……？港の警備はどうしたのだ？			君たち、なぜこんなところに……？港の警備はどうしたのだ？			松葉門外の変							
やはり、大老はラザハン大使館ではなく、三条花街の廓にいるのですね……。			やはり、大老はラザハン大使館ではなく、三条花街の廓にいるのですね……。			松葉門外の変							
そうか、君も知っていたのか……。ならば話が早い、ここは私が警備しておくから、持ち場に戻れ。			そうか、君も知っていたのか……。ならば話が早い、ここは私が警備しておくから、持ち場に戻れ。			松葉門外の変							
お待ちください、シデンさん。曲者がいたわけでもないのに、なぜ刀を……			お待ちください、シデンさん。曲者がいたわけでもないのに、なぜ刀を……			松葉門外の変							
なぜ刀を抜かれていたのですか？			なぜ刀を抜かれていたのですか？			松葉門外の変							
…………。			…………。			松葉門外の変							
……やはり君は厄介な奴だな。あのとき、紅玉海で片づけるはずだったんだがね……。			……やはり君は厄介な奴だな。あのとき、紅玉海で片づけるはずだったんだがね……。			松葉門外の変							
訪ねてきた異国の君も、ついでに始末しようとしたんだが……ムソウサイの弟子を侮ってしまったようだ……。			訪ねてきた異国の君も、ついでに始末しようとしたんだが……ムソウサイの弟子を侮ってしまったようだ……。			松葉門外の変							
局長の親友だったあなたが、どうして……！？			局長の親友だったあなたが、どうして……！？			松葉門外の変							
私の生まれは貧しい農村でね……。村民は大名の圧政に苦しんでいたが、刃向う者はいなかった。しかし、重い年貢に耐えかねた私の両親は、お上に異を唱えたんだ。			私の生まれは貧しい農村でね……。村民は大名の圧政に苦しんでいたが、刃向う者はいなかった。しかし、重い年貢に耐えかねた私の両親は、お上に異を唱えたんだ。			松葉門外の変							
するとだよ……たちまち両親は捕えられて、見せしめに、火あぶりにされてしまったのさ……。			するとだよ……たちまち両親は捕えられて、見せしめに、火あぶりにされてしまったのさ……。			松葉門外の変							
為す術もなく、焼かれる父と母を見つめながら、誓ったんだ。いつか、この不条理な世を変えてやろうとね……。そして私は、剣術を学び赤誠組に入った。			為す術もなく、焼かれる父と母を見つめながら、誓ったんだ。いつか、この不条理な世を変えてやろうとね……。そして私は、剣術を学び赤誠組に入った。			松葉門外の変							
だが、赤誠組は所詮、大名の御用聞きでしかなかった。やることと言えば、岡っ引きと大差ない市中の見回りばかり。			だが、赤誠組は所詮、大名の御用聞きでしかなかった。やることと言えば、岡っ引きと大差ない市中の見回りばかり。			松葉門外の変							
何が侍だ、何が大義だ……。そんなものでは、世の中は何も変えられないッ！			何が侍だ、何が大義だ……。そんなものでは、世の中は何も変えられないッ！			松葉門外の変							
そんなときに、ウゲツ様と出会って目覚めたんだ。世を変えるには、この国の根本から覆さねばならぬと……。			そんなときに、ウゲツ様と出会って目覚めたんだ。世を変えるには、この国の根本から覆さねばならぬと……。			松葉門外の変							
すなわち、幕府を討つほかないんだとね！			すなわち、幕府を討つほかないんだとね！			松葉門外の変							
……不幸な境遇はお察しします。しかし、幕府を倒したところで、戦乱の世に戻るだけです！			……不幸な境遇はお察しします。しかし、幕府を倒したところで、戦乱の世に戻るだけです！			松葉門外の変							
ハハハ……願ってもないことだ。故郷の暮らしは、乱世のそれと変わらぬ悲惨さだったよ。ひんがしの国は、今一度、戦乱の世からやり直すほかない！			ハハハ……願ってもないことだ。故郷の暮らしは、乱世のそれと変わらぬ悲惨さだったよ。ひんがしの国は、今一度、戦乱の世からやり直すほかない！			松葉門外の変							
な、なんてことを……。そんな世になど……させるわけにはいかない！			な、なんてことを……。そんな世になど……させるわけにはいかない！			松葉門外の変							
やれやれ……刀を交えるほかないようだね。だが、天下の赤誠組が、町人行き交う街中で、大立ち回りを繰り広げるっていうのかい……？			やれやれ……刀を交えるほかないようだね。だが、天下の赤誠組が、町人行き交う街中で、大立ち回りを繰り広げるっていうのかい……？			松葉門外の変							
くッ……。			くッ……。			松葉門外の変							
すぐそこの、松葉門外広場で相手となろう。幸い、隊士たちは警備に出ていて、邪魔もされぬ。まったく、君たちには面倒をかけられる……。			すぐそこの、松葉門外広場で相手となろう。幸い、隊士たちは警備に出ていて、邪魔もされぬ。まったく、君たちには面倒をかけられる……。			松葉門外の変							
……終わりだ、シデン。観念して、お縄を頂戴しろ。			……終わりだ、シデン。観念して、お縄を頂戴しろ。			松葉門外の変							
フフフ……何も終わってなんかいない。ひんがしの国の悪夢は……これからなのさ……。			フフフ……何も終わってなんかいない。ひんがしの国の悪夢は……これからなのさ……。			松葉門外の変							
ウゲツ様……万歳！！			ウゲツ様……万歳！！			松葉門外の変							
……自刃しおったか。修羅に堕ちた、かつての友よ……次はあの世で会おうぞ。			……自刃しおったか。修羅に堕ちた、かつての友よ……次はあの世で会おうぞ。			松葉門外の変							
局長、よくぞご無事で。いったい、今まで何があったというのですか……？			局長、よくぞご無事で。いったい、今まで何があったというのですか……？			松葉門外の変							
いや……その前に礼を言わせてくれ。			いや……その前に礼を言わせてくれ。			松葉門外の変							
Forename殿、この度の助力に感謝する。そして、先日の無礼を心より詫びたい。			Forename殿、この度の助力に感謝する。そして、先日の無礼を心より詫びたい。			松葉門外の変							
私からも、改めてお礼を言わせてください。Forename殿がいなければ、今頃、どうなっていたことか……。			私からも、改めてお礼を言わせてください。Forename殿がいなければ、今頃、どうなっていたことか……。			松葉門外の変							
しかし、まさかシデンに命を狙われようとはな……。			しかし、まさかシデンに命を狙われようとはな……。			松葉門外の変							
私たちは、局長が切腹されたと聞かされていました。			私たちは、局長が切腹されたと聞かされていました。			松葉門外の変							
ガッハッハ、あまりにも事実とかけ離れた戯言よな……。ウゲツ一派を捕らえぬまま、切腹するなど、それこそ侍の大義に反することだ……。			ガッハッハ、あまりにも事実とかけ離れた戯言よな……。ウゲツ一派を捕らえぬまま、切腹するなど、それこそ侍の大義に反することだ……。			松葉門外の変							
さて、事の顛末はというと……。真夜中にシデンから、話があると港に呼び出され、向かったところ、間髪入れず斬りつけられたのだ……。			さて、事の顛末はというと……。真夜中にシデンから、話があると港に呼び出され、向かったところ、間髪入れず斬りつけられたのだ……。			松葉門外の変							
奴の刀の切っ先がワシのお守りに絡んだおかげで、なんとか致命傷とはならず、海へ転げ落ちたのだ。あとは、息の続く限りの我慢比べよ……。			奴の刀の切っ先がワシのお守りに絡んだおかげで、なんとか致命傷とはならず、海へ転げ落ちたのだ。あとは、息の続く限りの我慢比べよ……。			松葉門外の変							
それで遺体もなく、シデンは切腹などという嘘を……。			それで遺体もなく、シデンは切腹などという嘘を……。			松葉門外の変							
そして、シデンのほかにも、局内にウゲツ一派がいると知り、私はあえて屯所に戻らず、潜伏しつつ奴らを探ることにしたのだ。			そして、シデンのほかにも、局内にウゲツ一派がいると知り、私はあえて屯所に戻らず、潜伏しつつ奴らを探ることにしたのだ。			松葉門外の変							
大老も無事で、裏切り者も討つことができた。話の続きは、シデンの亡骸を運び「屯所」へ戻ってからにしよう。			大老も無事で、裏切り者も討つことができた。話の続きは、シデンの亡骸を運び「屯所」へ戻ってからにしよう。			松葉門外の変							
Forename殿、この度の助力、重ねて礼を申すぞ。			Forename殿、この度の助力、重ねて礼を申すぞ。			松葉門外の変							
まさか、シデンさんがウゲツ一派だったなんて……。私にはまだ、どう受け止めたらいいのかわかりません。			まさか、シデンさんがウゲツ一派だったなんて……。私にはまだ、どう受け止めたらいいのかわかりません。			松葉門外の変							
我らの窮地に助力せんと、遠い異国から駆けつけてくれたというに、あろうことか、ワシはそなたに刃を向けてしまった。			我らの窮地に助力せんと、遠い異国から駆けつけてくれたというに、あろうことか、ワシはそなたに刃を向けてしまった。			松葉門外の変							
ましてや、身内の間者にすら気づかぬとはな……。己の愚鈍さを痛感した次第だ。			ましてや、身内の間者にすら気づかぬとはな……。己の愚鈍さを痛感した次第だ。			松葉門外の変							
しかし、これで赤誠組の内部に潜んでいたウゲツ一派は、一掃できたということですね。			しかし、これで赤誠組の内部に潜んでいたウゲツ一派は、一掃できたということですね。			松葉門外の変							
うむ、局内で捕らえた者から、一派への誘いの手口や、一派へ属する者たちのことも、洗いざらい聞き出せた。			うむ、局内で捕らえた者から、一派への誘いの手口や、一派へ属する者たちのことも、洗いざらい聞き出せた。			松葉門外の変							
誘いを断った者たちは、紅玉海の一件のように殺されたようだ。志を貫いた隊士たちの無念を思うと、胸をえぐられる……。			誘いを断った者たちは、紅玉海の一件のように殺されたようだ。志を貫いた隊士たちの無念を思うと、胸をえぐられる……。			松葉門外の変							
肝心のウゲツの行方は判明したのでしょうか？			肝心のウゲツの行方は判明したのでしょうか？			松葉門外の変							
あやつは、紅玉海を渡った先、ヤンサの地に潜んでいるようだ。しかし、詳しい潜伏先までは、まだわかっておらぬ……。			あやつは、紅玉海を渡った先、ヤンサの地に潜んでいるようだ。しかし、詳しい潜伏先までは、まだわかっておらぬ……。			松葉門外の変							
それにしても……大老は我々の苦労など知らず、廓で豪遊されていたとか……。果たして、我々は平和を護ったと言えるのでしょうか？			それにしても……大老は我々の苦労など知らず、廓で豪遊されていたとか……。果たして、我々は平和を護ったと言えるのでしょうか？			松葉門外の変							
……天下泰平に見えるこの国だが、諸国の大名たちは、未だに国盗りの隙を覗っている。大老が、彼らの間を巧みに取り持っていることも事実なのだ。			……天下泰平に見えるこの国だが、諸国の大名たちは、未だに国盗りの隙を覗っている。大老が、彼らの間を巧みに取り持っていることも事実なのだ。			松葉門外の変							
この国のお上が腐敗しているのは、百も承知のこと。ワシは、それでもなお、尊き平和を護ることこそ、侍の大義だと信じておる。			この国のお上が腐敗しているのは、百も承知のこと。ワシは、それでもなお、尊き平和を護ることこそ、侍の大義だと信じておる。			松葉門外の変							
大義を持つ、異国から来た誠の侍よ。……是非とも、今後も赤誠組に協力をお頼み申す。			大義を持つ、異国から来た誠の侍よ。……是非とも、今後も赤誠組に協力をお頼み申す。			松葉門外の変							
私からも、お頼み申します。やはり、貴方を弟子にとった、ムソウサイ様の目に、狂いはありませんでした。			私からも、お頼み申します。やはり、貴方を弟子にとった、ムソウサイ様の目に、狂いはありませんでした。			松葉門外の変							
カーラインカフェのムソウサイは、冒険者の到来を待っているようだ。			カーラインカフェのムソウサイは、冒険者の到来を待っているようだ。			森都を濡らす詐欺師の涙！							
ムソウサイから、モモジゴが戻ってこないと聞いた。彼を探すため、グリダニアのエーテライト・プラザ周辺で目撃情報を集めよう。			ムソウサイから、モモジゴが戻ってこないと聞いた。彼を探すため、グリダニアのエーテライト・プラザ周辺で目撃情報を集めよう。			森都を濡らす詐欺師の涙！							
エーテライト・プラザ周辺で情報を集めた。モモジゴらしき者が双蛇党に連行されていったようだ。グリダニアの水車四辻にいる「ムソウサイ」に報告しよう。			エーテライト・プラザ周辺で情報を集めた。モモジゴらしき者が双蛇党に連行されていったようだ。グリダニアの水車四辻にいる「ムソウサイ」に報告しよう。			森都を濡らす詐欺師の涙！							
ムソウサイに報告した。グリダニアの双蛇党：統合司令部にいる「ボルセル大牙佐」と話そう。			ムソウサイに報告した。グリダニアの双蛇党：統合司令部にいる「ボルセル大牙佐」と話そう。			森都を濡らす詐欺師の涙！							
ボルセル大牙佐と話した。モモジゴはかつて起こした詐欺事件の容疑で連行されたという。だが、北部森林へと逃げられてしまったようだ。北部森林のプラウドクリークで「モモジゴ」を探そう。			ボルセル大牙佐と話した。モモジゴはかつて起こした詐欺事件の容疑で連行されたという。だが、北部森林へと逃げられてしまったようだ。北部森林のプラウドクリークで「モモジゴ」を探そう。			森都を濡らす詐欺師の涙！							
モモジゴを見つけ、襲っていたイクサル族を討伐した。北部森林のプラウドクリークにいる「モモジゴ」を救助しよう。			モモジゴを見つけ、襲っていたイクサル族を討伐した。北部森林のプラウドクリークにいる「モモジゴ」を救助しよう。			森都を濡らす詐欺師の涙！							
モモジゴを救助したところ、逃げられてしまった。北部森林のプラウドクリークで「モモジゴ」を探そう。			モモジゴを救助したところ、逃げられてしまった。北部森林のプラウドクリークで「モモジゴ」を探そう。			森都を濡らす詐欺師の涙！							
モモジゴを見つけた。彼は、詐欺事件を起こしたことを反省し謝ることにしたようだ。ムソウサイは、ひんがしの国を追放された侍「コガラシ」こそ討つべき大悪党だと、冒険者に語る。グリダニアの水車四辻にいる「モモジゴ」と話そう。			モモジゴを見つけた。彼は、詐欺事件を起こしたことを反省し謝ることにしたようだ。ムソウサイは、ひんがしの国を追放された侍「コガラシ」こそ討つべき大悪党だと、冒険者に語る。グリダニアの水車四辻にいる「モモジゴ」と話そう。			森都を濡らす詐欺師の涙！							
モモジゴと話した。彼は金を返して許してもらえたという。これにて、一件落着したようだ。イシュガルドの雲霧街へ向かった「ムソウサイ」と合流しよう。※「メインクエスト：蒼天のイシュガルド」の「イシュガルドへ」を完了することで、「イシュガルド」へ行くことができるようになります。			モモジゴと話した。彼は金を返して許してもらえたという。これにて、一件落着したようだ。イシュガルドの雲霧街へ向かった「ムソウサイ」と合流しよう。※「メインクエスト：蒼天のイシュガルド」の「イシュガルドへ」を完了することで、「イシュガルド」へ行くことができるようになります。			森都を濡らす詐欺師の涙！							
ムソウサイと話した。彼がモモジゴと悪を探る間に、自己研磨に励んで、またムソウサイを訪ねよう。※侍のレベルが58以上になると、雲霧街のムソウサイから次の侍クエストを受注することができます。			ムソウサイと話した。彼がモモジゴと悪を探る間に、自己研磨に励んで、またムソウサイを訪ねよう。※侍のレベルが58以上になると、雲霧街のムソウサイから次の侍クエストを受注することができます。			森都を濡らす詐欺師の涙！							
エーテライト・プラザ周辺で情報を集める			エーテライト・プラザ周辺で情報を集める			森都を濡らす詐欺師の涙！							
ムソウサイに報告			ムソウサイに報告			森都を濡らす詐欺師の涙！							
ボルセル大牙佐と話す			ボルセル大牙佐と話す			森都を濡らす詐欺師の涙！							
北部森林でモモジゴを探す			北部森林でモモジゴを探す			森都を濡らす詐欺師の涙！							
モモジゴを救助			モモジゴを救助			森都を濡らす詐欺師の涙！							
モモジゴを探す			モモジゴを探す			森都を濡らす詐欺師の涙！							
モモジゴと話す			モモジゴと話す			森都を濡らす詐欺師の涙！							
イシュガルドのムソウサイと合流			イシュガルドのムソウサイと合流			森都を濡らす詐欺師の涙！							
心待ちにしていたぞ、Forename殿。さらに、技を磨いてきたようだな。			心待ちにしていたぞ、Forename殿。さらに、技を磨いてきたようだな。			森都を濡らす詐欺師の涙！							
「うるだは」「りむさ・ろみんさ」と、悪を討ってきたお主は、確実に侍の本分に近づいておる。この「ぐりだにあ」で、さらなる高みに辿り着ければよいが……。			「うるだは」「りむさ・ろみんさ」と、悪を討ってきたお主は、確実に侍の本分に近づいておる。この「ぐりだにあ」で、さらなる高みに辿り着ければよいが……。			森都を濡らす詐欺師の涙！							
ところで、お主、モモジゴを見なかったか？悪を探すと言って行ったきり戻ってこんのだ。			ところで、お主、モモジゴを見なかったか？悪を探すと言って行ったきり戻ってこんのだ。			森都を濡らす詐欺師の涙！							
情報集めの最中、禍事に巻き込まれたとも考えられる。すまぬが、ともにモモジゴを探してもらいたい。			情報集めの最中、禍事に巻き込まれたとも考えられる。すまぬが、ともにモモジゴを探してもらいたい。			森都を濡らす詐欺師の涙！							
それらしき、帽子を被った「ららふぇる族」を見かけてないか、街の者に聞き込みをしてみよう。			それらしき、帽子を被った「ららふぇる族」を見かけてないか、街の者に聞き込みをしてみよう。			森都を濡らす詐欺師の涙！							
うーむ、モモジゴめ、いずこへ行ったというのだ……？			うーむ、モモジゴめ、いずこへ行ったというのだ……？			森都を濡らす詐欺師の涙！							
帽子を被ったララフェル族？一度でも、ここを通った冒険者の顔なら、みんな覚えてるけど、興行師だったらわからないわ。			帽子を被ったララフェル族？一度でも、ここを通った冒険者の顔なら、みんな覚えてるけど、興行師だったらわからないわ。			森都を濡らす詐欺師の涙！							
ララフェル族なら、すぐそこで居眠りしている者がいますが……そんなことより、あなたも精霊の話を聞いていきませんか？精霊はいつも我々に寄り添っていますよ。			ララフェル族なら、すぐそこで居眠りしている者がいますが……そんなことより、あなたも精霊の話を聞いていきませんか？精霊はいつも我々に寄り添っていますよ。			森都を濡らす詐欺師の涙！							
人探しをしておられるんですか？てっきり、儲け話を持ってきてくれたのかと……。			人探しをしておられるんですか？てっきり、儲け話を持ってきてくれたのかと……。			森都を濡らす詐欺師の涙！							
そういえば、「双蛇党」に連行されていった、ララフェル族なら見かけましたわ、帽子も被っていたかしら……。			そういえば、「双蛇党」に連行されていった、ララフェル族なら見かけましたわ、帽子も被っていたかしら……。			森都を濡らす詐欺師の涙！							
