巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			業火の召喚獣							
「ウイユヴェール」ってのは、古エレゼン語で「緑色の眼」って意味でよ。おとぎ話の主人公である女召喚士の渾名なンだ。			「ウイユヴェール」ってのは、古エレゼン語で「緑色の眼」って意味でよ。おとぎ話の主人公である女召喚士の渾名なンだ。			蘇る古の武器（ウイユヴェール）							
森の奥底で悪神「オーディン」と戦い、仲間をかばって死ンじまう、もの悲しい物語でよ……。			森の奥底で悪神「オーディン」と戦い、仲間をかばって死ンじまう、もの悲しい物語でよ……。			蘇る古の武器（ウイユヴェール）							
そのおとぎ話によれば、伝説的な戦いがあったのは、今のシルフ領あたりだ。			そのおとぎ話によれば、伝説的な戦いがあったのは、今のシルフ領あたりだ。			蘇る古の武器（ウイユヴェール）							
召喚士が実在したってンなら、「ウイユヴェール」みてぇなアラグの召喚士が使った古の魔道書も現存してるかもしれン。そいつを見つけてこい。			召喚士が実在したってンなら、「ウイユヴェール」みてぇなアラグの召喚士が使った古の魔道書も現存してるかもしれン。そいつを見つけてこい。			蘇る古の武器（ウイユヴェール）							
……ま、まさか……本当に「古の武器」を手に入れてくるとは……チッ、本当に働くことになるなンてツイてねぇな……。			……ま、まさか……本当に「古の武器」を手に入れてくるとは……チッ、本当に働くことになるなンてツイてねぇな……。			蘇る古の武器（ウイユヴェール）							
仕方ねぇ、手伝ってやるとすっか。だが、いかんせんテメェが持ってきた「古の武器」は状態が悪すぎる。			仕方ねぇ、手伝ってやるとすっか。だが、いかんせんテメェが持ってきた「古の武器」は状態が悪すぎる。			蘇る古の武器（ウイユヴェール）							
少しでも手を加えればブッ壊しかねねぇ。「原型」となる別の武器を叩き台に、「古の武器」を組み込んで復元するしかねぇな。			少しでも手を加えればブッ壊しかねねぇ。「原型」となる別の武器を叩き台に、「古の武器」を組み込んで復元するしかねぇな。			蘇る古の武器（ウイユヴェール）							
原型は……「エルダイトキャスターピカトリクス」がいいだろう。「雄略のマテリダ」を、ふたつ装着したもンを用意するンだ。			原型は……「エルダイトキャスターピカトリクス」がいいだろう。「雄略のマテリダ」を、ふたつ装着したもンを用意するンだ。			蘇る古の武器（ウイユヴェール）							
「古の武器」の原型にするにゃ、それくらいの業物じゃないとな。それらを全部持ってきたら、オレが魔道書「ウイユヴェール」を復元してやらぁな。			「古の武器」の原型にするにゃ、それくらいの業物じゃないとな。それらを全部持ってきたら、オレが魔道書「ウイユヴェール」を復元してやらぁな。			蘇る古の武器（ウイユヴェール）							
原型は……「エルダイトキャスターピカトリクス」がいいだろう。「雄略のマテリダ」を、ふたつ装着したもンを用意するンだ。			原型は……「エルダイトキャスターピカトリクス」がいいだろう。「雄略のマテリダ」を、ふたつ装着したもンを用意するンだ。			蘇る古の武器（ウイユヴェール）							
原型用の武器となりゃ、わざわざオレが作るまでもねぇ。テメェで用意するンだな。			原型用の武器となりゃ、わざわざオレが作るまでもねぇ。テメェで用意するンだな。			蘇る古の武器（ウイユヴェール）							
原型用の武器に問題はねぇようだな。よし、「古の武器」を組み込むために、ちょいといじってやるか……。			原型用の武器に問題はねぇようだな。よし、「古の武器」を組み込むために、ちょいといじってやるか……。			蘇る古の武器（ウイユヴェール）							
チッ、こいつは思ったよりやっかいだぞ。テメェが手に入れてきた「古の武器」は、オレの想像以上に状態が悪かったンだ……。			チッ、こいつは思ったよりやっかいだぞ。テメェが手に入れてきた「古の武器」は、オレの想像以上に状態が悪かったンだ……。			蘇る古の武器（ウイユヴェール）							
だからよ、ガッチガチに補強したンだが……おかげで普通の砥石じゃ調整できなくなっちまった。			だからよ、ガッチガチに補強したンだが……おかげで普通の砥石じゃ調整できなくなっちまった。			蘇る古の武器（ウイユヴェール）							
そこで役に立つのが、鋼玉を溶かして粉砕した粒「アルミナ研粒」だ。問題は、入手するのが難しいってことなンだが……。			そこで役に立つのが、鋼玉を溶かして粉砕した粒「アルミナ研粒」だ。問題は、入手するのが難しいってことなンだが……。			蘇る古の武器（ウイユヴェール）							
ところで知ってるか？一部の魔物は、丸呑みした獲物を胃ですりつぶすため、鉱石をいっしょに飲み込むンだそうだ。			ところで知ってるか？一部の魔物は、丸呑みした獲物を胃ですりつぶすため、鉱石をいっしょに飲み込むンだそうだ。			蘇る古の武器（ウイユヴェール）							
それが高温のブレスを吐く魔物……例えばクルザス中央高地を騒がせる魔物、ドルムキマイラなら……あとはわかるな？			それが高温のブレスを吐く魔物……例えばクルザス中央高地を騒がせる魔物、ドルムキマイラなら……あとはわかるな？			蘇る古の武器（ウイユヴェール）							
ヤツを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			ヤツを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			蘇る古の武器（ウイユヴェール）							
クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			蘇る古の武器（ウイユヴェール）							
「召喚士」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			「召喚士」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			蘇る古の武器（ウイユヴェール）							
はやいとこ、ヤカンを完成させて、しこたまエールを飲……な、なンだ、テメェは！			はやいとこ、ヤカンを完成させて、しこたまエールを飲……な、なンだ、テメェは！			蘇る古の武器（ウイユヴェール）							
もう、何をすべきか忘れちまったンか？いいか、もう一度だけ説明してやる。			もう、何をすべきか忘れちまったンか？いいか、もう一度だけ説明してやる。			蘇る古の武器（ウイユヴェール）							
ドルムキマイラを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			ドルムキマイラを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			蘇る古の武器（ウイユヴェール）							
クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			蘇る古の武器（ウイユヴェール）							
「召喚士」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			「召喚士」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			蘇る古の武器（ウイユヴェール）							
……チッ、まぁ～だ生きていやがったンか……。ドルムキマイラも案外ふがいねぇ……いや、なンでもねぇよ。こっちの話だ。			……チッ、まぁ～だ生きていやがったンか……。ドルムキマイラも案外ふがいねぇ……いや、なンでもねぇよ。こっちの話だ。			蘇る古の武器（ウイユヴェール）							
ともかく「アルミナ研粒」、確かに受け取ったぞ。ちょいと待ってろ、復元作業を進めるからよ……。			ともかく「アルミナ研粒」、確かに受け取ったぞ。ちょいと待ってろ、復元作業を進めるからよ……。			蘇る古の武器（ウイユヴェール）							
ふぅ……。細部に手を入れたからそれなりの見た目には、なってきたぞ。			ふぅ……。細部に手を入れたからそれなりの見た目には、なってきたぞ。			蘇る古の武器（ウイユヴェール）							
だが、何かが足りねぇ……。今度ばかりは、さすがのオレにも何が足りねぇのかがわからン。			だが、何かが足りねぇ……。今度ばかりは、さすがのオレにも何が足りねぇのかがわからン。			蘇る古の武器（ウイユヴェール）							
もっと、この「古の武器」に関する情報があれば……そう、情報が足りねぇンだ！			もっと、この「古の武器」に関する情報があれば……そう、情報が足りねぇンだ！			蘇る古の武器（ウイユヴェール）							
過去に「古の武器」を使っていた英雄たちについて、ヤツらの活躍を描いた逸話や伝承、詩歌を集めてこい。その中に、何かヒントになることが書かれているかもしれン！			過去に「古の武器」を使っていた英雄たちについて、ヤツらの活躍を描いた逸話や伝承、詩歌を集めてこい。その中に、何かヒントになることが書かれているかもしれン！			蘇る古の武器（ウイユヴェール）							
誰に聞けばいいのか、だと？古い写本でも持ってねぇか、ロウェナにでも聞いてみるンだな。あのアバズレは、古い品物にめっぽう詳しいからよ。			誰に聞けばいいのか、だと？古い写本でも持ってねぇか、ロウェナにでも聞いてみるンだな。あのアバズレは、古い品物にめっぽう詳しいからよ。			蘇る古の武器（ウイユヴェール）							
ん、調子はどう？ゲロルトには、ウンザリさせられているって表情ね。ところで、あたしに御用？			ん、調子はどう？ゲロルトには、ウンザリさせられているって表情ね。ところで、あたしに御用？			蘇る古の武器（ウイユヴェール）							
……「古の武器」の復元のために、英雄たちについての逸話を記した写本を……ね。			……「古の武器」の復元のために、英雄たちについての逸話を記した写本を……ね。			蘇る古の武器（ウイユヴェール）							
確かに、あたしのツテを使えば、そうした古い写本や書物を手に入れることは、さほど難しくはないはず。			確かに、あたしのツテを使えば、そうした古い写本や書物を手に入れることは、さほど難しくはないはず。			蘇る古の武器（ウイユヴェール）							
でも、あたしは商人なの。タダで取り寄せるなんて願い下げ。ここは冒険者と商人らしく、取引といきましょう。			でも、あたしは商人なの。タダで取り寄せるなんて願い下げ。ここは冒険者と商人らしく、取引といきましょう。			蘇る古の武器（ウイユヴェール）							
あたしは「ウイユヴェール」を題材にした写本を探す。あんたは、あたしが欲しいものを手に入れる。			あたしは「ウイユヴェール」を題材にした写本を探す。あんたは、あたしが欲しいものを手に入れる。			蘇る古の武器（ウイユヴェール）							
つまり「アムダプールの石板」よ。黒衣森南部森林の「古城アムダプール」っていう第五星暦時代の遺跡を踏破すれば見つかるはずよ。			つまり「アムダプールの石板」よ。黒衣森南部森林の「古城アムダプール」っていう第五星暦時代の遺跡を踏破すれば見つかるはずよ。			蘇る古の武器（ウイユヴェール）							
さぁ、公正な取引を成立させるためにも、お互い必要なものを手に入れてこようじゃないか。			さぁ、公正な取引を成立させるためにも、お互い必要なものを手に入れてこようじゃないか。			蘇る古の武器（ウイユヴェール）							
確かに、集めてくれたようだね。こっちも約束を守るとしよう。さぁ、交換だよ。			確かに、集めてくれたようだね。こっちも約束を守るとしよう。さぁ、交換だよ。			蘇る古の武器（ウイユヴェール）							
チッ、もう戻ったのか……おぅおぅ、ごくろうさンでしたっと。			チッ、もう戻ったのか……おぅおぅ、ごくろうさンでしたっと。			蘇る古の武器（ウイユヴェール）							
確かに「ウイユヴェール」について記された写本みてぇだな。しっかし、読みにくい代物だなぁ、オイ。			確かに「ウイユヴェール」について記された写本みてぇだな。しっかし、読みにくい代物だなぁ、オイ。			蘇る古の武器（ウイユヴェール）							
そうだ。オレが休ン……じゃねぇ、写本を読み込ンでる間に、テメェは、この「未完のウイユヴェール」を試してこい！			そうだ。オレが休ン……じゃねぇ、写本を読み込ンでる間に、テメェは、この「未完のウイユヴェール」を試してこい！			蘇る古の武器（ウイユヴェール）							
カタチだけは、それなりに仕上がってるから、そこそこ使える武器にはなってるハズだ。			カタチだけは、それなりに仕上がってるから、そこそこ使える武器にはなってるハズだ。			蘇る古の武器（ウイユヴェール）							
召喚士ならではの視点ってやつで、この武器に何が足りてねぇのかを調べてくれ。			召喚士ならではの視点ってやつで、この武器に何が足りてねぇのかを調べてくれ。			蘇る古の武器（ウイユヴェール）							
写本から得られる知識と、テメェが体感して得た感覚。これを合わせることで、答えを探すンだ。			写本から得られる知識と、テメェが体感して得た感覚。これを合わせることで、答えを探すンだ。			蘇る古の武器（ウイユヴェール）							
よし、かつての「召喚士」の様に、「未完のウイユヴェール」を装備して、強敵と戦ってこい。			よし、かつての「召喚士」の様に、「未完のウイユヴェール」を装備して、強敵と戦ってこい。			蘇る古の武器（ウイユヴェール）							
……そうだな、黒衣森東部森林の「シルフ領」にいるシルフィード・スナール、シルフィード・サイ、シルフィード・スクリーチを各8体なで斬りにして来るンだ！			……そうだな、黒衣森東部森林の「シルフ領」にいるシルフィード・スナール、シルフィード・サイ、シルフィード・スクリーチを各8体なで斬りにして来るンだ！			蘇る古の武器（ウイユヴェール）							
よし、かつての「召喚士」の様に、「未完のウイユヴェール」を装備して、強敵と戦ってこい。			よし、かつての「召喚士」の様に、「未完のウイユヴェール」を装備して、強敵と戦ってこい。			蘇る古の武器（ウイユヴェール）							
……そうだな、黒衣森東部森林の「シルフ領」にいるシルフィード・スナール、シルフィード・サイ、シルフィード・スクリーチを各8体なで斬りにして来るンだ！			……そうだな、黒衣森東部森林の「シルフ領」にいるシルフィード・スナール、シルフィード・サイ、シルフィード・スクリーチを各8体なで斬りにして来るンだ！			蘇る古の武器（ウイユヴェール）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（ウイユヴェール）							
おう、帰ってきたか。……だが、そのツラからすっと、まだ古の武器に足りねぇモンを掴みきれてねぇようだな？			おう、帰ってきたか。……だが、そのツラからすっと、まだ古の武器に足りねぇモンを掴みきれてねぇようだな？			蘇る古の武器（ウイユヴェール）							
こうなったら、伝説に残るような戦いをするっきゃねぇ。……そうだな「ハラタリ修練所」のヌシ、多頭龍「ハイドラ」を倒してこい。			こうなったら、伝説に残るような戦いをするっきゃねぇ。……そうだな「ハラタリ修練所」のヌシ、多頭龍「ハイドラ」を倒してこい。			蘇る古の武器（ウイユヴェール）							
東ザナラーン「ハラタリ修練所」前の指定地点で、コンテンツ「ハイドラ討伐戦」を開放できるようになりました。			東ザナラーン「ハラタリ修練所」前の指定地点で、コンテンツ「ハイドラ討伐戦」を開放できるようになりました。			蘇る古の武器（ウイユヴェール）							
「未完のウイユヴェール」を装備して「ハイドラ討伐戦」に挑み、ハイドラを倒しましょう！			「未完のウイユヴェール」を装備して「ハイドラ討伐戦」に挑み、ハイドラを倒しましょう！			蘇る古の武器（ウイユヴェール）							
棲み着いていた魔獣も、あらかた掃討できたんですが、「ハイドラ」という大物だけが残っていて……。ええ！？　奴に挑むつもりですか？			棲み着いていた魔獣も、あらかた掃討できたんですが、「ハイドラ」という大物だけが残っていて……。ええ！？　奴に挑むつもりですか？			蘇る古の武器（ウイユヴェール）							
修練所のヌシ「ハイドラ」は、恐怖をまき散らす、恐るべき存在。命の保証はできませんよ、それでも行くのです！？			修練所のヌシ「ハイドラ」は、恐怖をまき散らす、恐るべき存在。命の保証はできませんよ、それでも行くのです！？			蘇る古の武器（ウイユヴェール）							
ハイドラとの戦いは、「未完のウイユヴェール」を装備している状態でのみ挑むことができます。			ハイドラとの戦いは、「未完のウイユヴェール」を装備している状態でのみ挑むことができます。			蘇る古の武器（ウイユヴェール）							
あぁン？　写本はどうしたのか、だと？細けぇ文字を見てると、頭痛くなるンでな！……ヤカン作って、気分転換してるンだよ！			あぁン？　写本はどうしたのか、だと？細けぇ文字を見てると、頭痛くなるンでな！……ヤカン作って、気分転換してるンだよ！			蘇る古の武器（ウイユヴェール）							
ガミガミガミガミ、テメェはオレの母ちゃんか？			ガミガミガミガミ、テメェはオレの母ちゃんか？			蘇る古の武器（ウイユヴェール）							
テメェも、こんなところでグダグダしてねぇでさっさと「未完のウイユヴェール」を試して、意見を聞かせろってンだ！　チクショウめぇ！			テメェも、こんなところでグダグダしてねぇでさっさと「未完のウイユヴェール」を試して、意見を聞かせろってンだ！　チクショウめぇ！			蘇る古の武器（ウイユヴェール）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（ウイユヴェール）							
チッ、まだ生きてやがったンか……。ハイドラに喰われれば、良かったのにな？……まぁ、それはともかく、写本の話でもすっか。			チッ、まだ生きてやがったンか……。ハイドラに喰われれば、良かったのにな？……まぁ、それはともかく、写本の話でもすっか。			蘇る古の武器（ウイユヴェール）							
例の写本はな、おとぎ話「ウイユヴェール」の中でも、現存する最古の版を写したもンでな。			例の写本はな、おとぎ話「ウイユヴェール」の中でも、現存する最古の版を写したもンでな。			蘇る古の武器（ウイユヴェール）							
オレが知っている物語とは、異なる記述もいくつか書かれていたンだ。			オレが知っている物語とは、異なる記述もいくつか書かれていたンだ。			蘇る古の武器（ウイユヴェール）							
……そこには主人公の魔道書に、己のエーテルを集約する力点となるクリスタルが付けられていたってな記述があってな。			……そこには主人公の魔道書に、己のエーテルを集約する力点となるクリスタルが付けられていたってな記述があってな。			蘇る古の武器（ウイユヴェール）							
ただの飾りと思ってたンだが、そんな用途があったとは、ちょっとした盲点だ。さっそく留め具をエーテル伝導率の高い素材に変えるぜ。			ただの飾りと思ってたンだが、そんな用途があったとは、ちょっとした盲点だ。さっそく留め具をエーテル伝導率の高い素材に変えるぜ。			蘇る古の武器（ウイユヴェール）							
そんなわけで、オレの方は収穫があった。テメェの方は、どうなんだ？　しっかり使い込ンだンだろうな？「体感して得た感覚」ってもンを、説明してもらおうか！			そんなわけで、オレの方は収穫があった。テメェの方は、どうなんだ？　しっかり使い込ンだンだろうな？「体感して得た感覚」ってもンを、説明してもらおうか！			蘇る古の武器（ウイユヴェール）							
なるほど……言いてぇことはわかった。確かに、テメェが指摘することにも一理はある。			なるほど……言いてぇことはわかった。確かに、テメェが指摘することにも一理はある。			蘇る古の武器（ウイユヴェール）							
よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			蘇る古の武器（ウイユヴェール）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（ウイユヴェール）							
よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			蘇る古の武器（ウイユヴェール）							
ふぅ……これで、ちったぁマシになったろう。あとは、最後の焼き入れを残すのみだ……。			ふぅ……これで、ちったぁマシになったろう。あとは、最後の焼き入れを残すのみだ……。			蘇る古の武器（ウイユヴェール）							
「古の武器」と原型の武器、ふたつの武器と使い手の魂を最後の焼き入れによって、完全に融合させる！　往年の姿を復元するンだ！			「古の武器」と原型の武器、ふたつの武器と使い手の魂を最後の焼き入れによって、完全に融合させる！　往年の姿を復元するンだ！			蘇る古の武器（ウイユヴェール）							
そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			蘇る古の武器（ウイユヴェール）							
焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			蘇る古の武器（ウイユヴェール）							
「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			蘇る古の武器（ウイユヴェール）							
なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（ウイユヴェール）							
そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			蘇る古の武器（ウイユヴェール）							
焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			蘇る古の武器（ウイユヴェール）							
「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			蘇る古の武器（ウイユヴェール）							
なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（ウイユヴェール）							
ヘ、ヘヘヘッ……本当に蛮神との戦いから、生きて戻ってくるとはよ……。し、心配し……いや、なんだ。……テメェも、やるじゃねぇか。			ヘ、ヘヘヘッ……本当に蛮神との戦いから、生きて戻ってくるとはよ……。し、心配し……いや、なんだ。……テメェも、やるじゃねぇか。			蘇る古の武器（ウイユヴェール）							
よし、まずは「イフリートの炎」、「ガルーダの風」、「タイタンの黄土」を渡してくれ。炉の準備をするからよ……。			よし、まずは「イフリートの炎」、「ガルーダの風」、「タイタンの黄土」を渡してくれ。炉の準備をするからよ……。			蘇る古の武器（ウイユヴェール）							
へへ……こいつがあれば炉は問題ねぇ。お次は、冷却用の「ラザハン焼入油」だ。ちゃんと用意してきたンだろうな？			へへ……こいつがあれば炉は問題ねぇ。お次は、冷却用の「ラザハン焼入油」だ。ちゃんと用意してきたンだろうな？			蘇る古の武器（ウイユヴェール）							
「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（ウイユヴェール）							
ヘ、ヘヘヘッ……これで全ての準備が整ったぜ。			ヘ、ヘヘヘッ……これで全ての準備が整ったぜ。			蘇る古の武器（ウイユヴェール）							
テメェが神狩りを成したのなら、オレも武具職人として、神業を見せねぇわけにはいかねぇな。			テメェが神狩りを成したのなら、オレも武具職人として、神業を見せねぇわけにはいかねぇな。			蘇る古の武器（ウイユヴェール）							
はぁ、はぁ、はぁ……つ、ついにできたぞ……それが「ウイユヴェール」だッ！！！大切にしろよなッ！！！			はぁ、はぁ、はぁ……つ、ついにできたぞ……それが「ウイユヴェール」だッ！！！大切にしろよなッ！！！			蘇る古の武器（ウイユヴェール）							
この先、クエストを進行させるには、「邪教排撃 古城アムダプール」の攻略が必要になります。			この先、クエストを進行させるには、「邪教排撃 古城アムダプール」の攻略が必要になります。			蘇る古の武器（ウイユヴェール）							
なお、「邪教排撃 古城アムダプール」をコンテンツファインダーに登録するためには、特定のクエストをコンプリートする必要があります。			なお、「邪教排撃 古城アムダプール」をコンテンツファインダーに登録するためには、特定のクエストをコンプリートする必要があります。			蘇る古の武器（ウイユヴェール）							
この先、クエストを進行させるには、「真イフリート討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真イフリート討滅戦」の攻略が必要になります。			蘇る古の武器（ウイユヴェール）							
なお、「真イフリート討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真イフリート討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（ウイユヴェール）							
この先、クエストを進行させるには、「真ガルーダ討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真ガルーダ討滅戦」の攻略が必要になります。			蘇る古の武器（ウイユヴェール）							
なお、「真ガルーダ討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真ガルーダ討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（ウイユヴェール）							
この先、クエストを進行させるには、「真タイタン討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真タイタン討滅戦」の攻略が必要になります。			蘇る古の武器（ウイユヴェール）							
なお、「真タイタン討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真タイタン討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（ウイユヴェール）							
貧乏臭ぇ冒険者が、なンの用だ？　あぁン？こちとらテメェになんざ、用はねぇンだよ！			貧乏臭ぇ冒険者が、なンの用だ？　あぁン？こちとらテメェになんざ、用はねぇンだよ！			蘇る古の武器（ウイユヴェール）							
クエスト「蘇る古の武器」を同時に複数、受注することはできません。別の武器を入手したい場合は、該当クエストをコンプリートするか、破棄する必要があります。			クエスト「蘇る古の武器」を同時に複数、受注することはできません。別の武器を入手したい場合は、該当クエストをコンプリートするか、破棄する必要があります。			蘇る古の武器（ウイユヴェール）							
ドルムキマイラを倒せ！			ドルムキマイラを倒せ！			蘇る古の武器（ウイユヴェール）							
ハイドラを倒せ！			ハイドラを倒せ！			蘇る古の武器（ウイユヴェール）							
アプカル滝のヤ・ミトラは、冒険者に教えたいことがあるようだ。			アプカル滝のヤ・ミトラは、冒険者に教えたいことがあるようだ。			事実の究明							
ヤ・ミトラとの会話中、トリスタンを追っているというダンシング・ウルフ大闘士がやってきた。トリスタンは炎の中に消えたはずだが、彼らしき人物が商隊を襲っているという。冒険者とヤ・ミトラは、ダンシング・ウルフ大闘士の調査に協力することにした。東ザナラーンのキャンプ・ドライボーンにいる「ダンシング・ウルフ大闘士」と話そう。			ヤ・ミトラとの会話中、トリスタンを追っているというダンシング・ウルフ大闘士がやってきた。トリスタンは炎の中に消えたはずだが、彼らしき人物が商隊を襲っているという。冒険者とヤ・ミトラは、ダンシング・ウルフ大闘士の調査に協力することにした。東ザナラーンのキャンプ・ドライボーンにいる「ダンシング・ウルフ大闘士」と話そう。			事実の究明							
ダンシング・ウルフ大闘士と話し、事件について聞きこみを行うことになった。キャンプ・ドライボーンで、事件について話を聞こう。			ダンシング・ウルフ大闘士と話し、事件について聞きこみを行うことになった。キャンプ・ドライボーンで、事件について話を聞こう。			事実の究明							
情報を集めた。キャンプ・ドライボーンの「ダンシング・ウルフ大闘士」と話そう。			情報を集めた。キャンプ・ドライボーンの「ダンシング・ウルフ大闘士」と話そう。			事実の究明							
ダンシング・ウルフ大闘士と話し、襲撃を受けた商隊の生き残りから話を聞いてみることになった。東ザナラーンのドライボーンで「襲われた交易商人」を探そう。			ダンシング・ウルフ大闘士と話し、襲撃を受けた商隊の生き残りから話を聞いてみることになった。東ザナラーンのドライボーンで「襲われた交易商人」を探そう。			事実の究明							
アマルジャ族に襲われていた交易商人を助け、話を聞いた。それによると、商隊の襲撃犯はイフリート・エギを使役していたらしく、トリスタンに間違いなさそうだ。ウルダハの不滅隊：作戦本部にいる「ダンシング・ウルフ大闘士」と話そう。			アマルジャ族に襲われていた交易商人を助け、話を聞いた。それによると、商隊の襲撃犯はイフリート・エギを使役していたらしく、トリスタンに間違いなさそうだ。ウルダハの不滅隊：作戦本部にいる「ダンシング・ウルフ大闘士」と話そう。			事実の究明							
