双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			月影の導き							
へぇ、隠れ家としては悪くないが……ちょっと地味だな。			へぇ、隠れ家としては悪くないが……ちょっと地味だな。			奪われた巻物							
まさか、カラスが現れるとはな。しかし、わざわざ情報を伝えにくるとは……もしや、我々に協力してくれるということか……？			まさか、カラスが現れるとはな。しかし、わざわざ情報を伝えにくるとは……もしや、我々に協力してくれるということか……？			奪われた巻物							
オボロ、そのカラスって奴は仲間なのか……？			オボロ、そのカラスって奴は仲間なのか……？			奪われた巻物							
ま、まさか！そんなことはない、奴はいつか私が討つべき宿敵だ！			ま、まさか！そんなことはない、奴はいつか私が討つべき宿敵だ！			奪われた巻物							
そのわりには嬉しそうだったがな……。さて、「ひんがしの国」とはまた遠いが、俺は引き受けた仕事は最後までやり遂げる性分なんだ。			そのわりには嬉しそうだったがな……。さて、「ひんがしの国」とはまた遠いが、俺は引き受けた仕事は最後までやり遂げる性分なんだ。			奪われた巻物							
だが、さすがに東方は俺にとっても未知の領域。オボロ、お前なら「クガネ」ってところも知ってるんだろ？俺と一緒に、その街へ向かって仕事を続行してくれねぇか？			だが、さすがに東方は俺にとっても未知の領域。オボロ、お前なら「クガネ」ってところも知ってるんだろ？俺と一緒に、その街へ向かって仕事を続行してくれねぇか？			奪われた巻物							
もちろん、そのつもりでござる。クガネなら、忍具の取引で何度も行っている。それでは、私たちは彼の地へと向かうことにしよう。			もちろん、そのつもりでござる。クガネなら、忍具の取引で何度も行っている。それでは、私たちは彼の地へと向かうことにしよう。			奪われた巻物							
向こうで何か進展があったら、Forenameにも、是非とも協力してもらいたい。			向こうで何か進展があったら、Forenameにも、是非とも協力してもらいたい。			奪われた巻物							
すまねぇが、俺からも頼むぜ。腕利きは多い方が助かるってもんだ。			すまねぇが、俺からも頼むぜ。腕利きは多い方が助かるってもんだ。			奪われた巻物							
協力の必要が生じたときには、「ヨウメイ」宛に文を出そう。折を見て、彼の下を訪ねてみてくれ。それでは、次はひんがしの国のクガネで会おう！			協力の必要が生じたときには、「ヨウメイ」宛に文を出そう。折を見て、彼の下を訪ねてみてくれ。それでは、次はひんがしの国のクガネで会おう！			奪われた巻物							
「忍者」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、船着場の平屋のヨウメイから受注可能です。			「忍者」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、船着場の平屋のヨウメイから受注可能です。			奪われた巻物							
今後の「忍者」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「忍者」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			奪われた巻物							
オボロは、急いで新たな印の説明をしたいようだ。			オボロは、急いで新たな印の説明をしたいようだ。			心の形							
オボロから「人の印」の使い方を聞いた。急いで東ラノシアの船着場の平屋に戻り、「オボロ」に話しかけよう。			オボロから「人の印」の使い方を聞いた。急いで東ラノシアの船着場の平屋に戻り、「オボロ」に話しかけよう。			心の形							
小屋のそばには、争った跡があった。ツバメは船着場の平屋のそばにまだいるはずだ。「ツバメ」を探そう。			小屋のそばには、争った跡があった。ツバメは船着場の平屋のそばにまだいるはずだ。「ツバメ」を探そう。			心の形							
ツバメを救助し、カラスを倒すことができた。しかし、オボロの様子がおかしい。レインキャッチャー樹林の「オボロ」に話しかけてみよう。			ツバメを救助し、カラスを倒すことができた。しかし、オボロの様子がおかしい。レインキャッチャー樹林の「オボロ」に話しかけてみよう。			心の形							
オボロの心は晴れないようだ。船着場の平屋に戻った「オボロ」を追い、話しかけてみよう。			オボロの心は晴れないようだ。船着場の平屋に戻った「オボロ」を追い、話しかけてみよう。			心の形							
カラスの話に、オボロは混乱しているようだ。オボロの心が落ち着くまで、鍛錬に励もう。※忍者のレベルが50以上になると、オボロから次の忍者クエストを受注することができます。			カラスの話に、オボロは混乱しているようだ。オボロの心が落ち着くまで、鍛錬に励もう。※忍者のレベルが50以上になると、オボロから次の忍者クエストを受注することができます。			心の形							
船着場の平屋の前のオボロと話す			船着場の平屋の前のオボロと話す			心の形							
ツバメを探す			ツバメを探す			心の形							
オボロと話す			オボロと話す			心の形							
船着場の平屋のオボロと話す			船着場の平屋のオボロと話す			心の形							
「人の印」を会得したことで、お主は、新しく4つの「忍術」を使えるようになった。急ぎ足となるが、簡単に説明しておこう……。			「人の印」を会得したことで、お主は、新しく4つの「忍術」を使えるようになった。急ぎ足となるが、簡単に説明しておこう……。			心の形							
まずは「二ツ印」……「氷遁の術」。「天人」あるいは「地人」の順で「印」を結べ。周囲のエーテルを己に流して冷やし、凍気と成す。			まずは「二ツ印」……「氷遁の術」。「天人」あるいは「地人」の順で「印」を結べ。周囲のエーテルを己に流して冷やし、凍気と成す。			心の形							
続いて「三ツ印」……「風遁の術」。「人地天」あるいは「地人天」の順で「印」を結べ。ふたつのエーテルを、天に放ち乱流を呼ぶ。			続いて「三ツ印」……「風遁の術」。「人地天」あるいは「地人天」の順で「印」を結べ。ふたつのエーテルを、天に放ち乱流を呼ぶ。			心の形							
そして「三ツ印」……「土遁の術」。「天人地」あるいは「人天地」の順で「印」を結べ。ふたつのエーテルを、地に流して土流を生む。			そして「三ツ印」……「土遁の術」。「天人地」あるいは「人天地」の順で「印」を結べ。ふたつのエーテルを、地に流して土流を生む。			心の形							
最後に「三ツ印」……「水遁の術」。「天地人」あるいは「地天人」の順で「印」を結べ。ふたつのエーテルを、己に満たし水流と成す。			最後に「三ツ印」……「水遁の術」。「天地人」あるいは「地天人」の順で「印」を結べ。ふたつのエーテルを、己に満たし水流と成す。			心の形							
いずれも異なる特性を持つ「忍術」だが、事細かに説明している時間はない……。これまでの経験を活かし、使うことで体得するのだ。			いずれも異なる特性を持つ「忍術」だが、事細かに説明している時間はない……。これまでの経験を活かし、使うことで体得するのだ。			心の形							
さぁ、Forename。急いで船着場の平屋に戻るぞ、ツバメが危ない！			さぁ、Forename。急いで船着場の平屋に戻るぞ、ツバメが危ない！			心の形							
あ……ああ……。			あ……ああ……。			心の形							
この手裏剣は、争った跡か……。……どうやら、平屋の中にはツバメはいないようだ。			この手裏剣は、争った跡か……。……どうやら、平屋の中にはツバメはいないようだ。			心の形							
ビャクブは、混乱していて話にならぬ。ツバメはまだ近くにいるはずだ……探すぞ！			ビャクブは、混乱していて話にならぬ。ツバメはまだ近くにいるはずだ……探すぞ！			心の形							
大丈夫か、ツバメ！			大丈夫か、ツバメ！			心の形							
……わ……たしは、大丈夫……です。オボロ様……気を、つけ、て……ゴホッ！			……わ……たしは、大丈夫……です。オボロ様……気を、つけ、て……ゴホッ！			心の形							
(-？？？？-)ウププ……強がっちゃってェ、怖かっただろう……？痛みと恐怖に支配されても、決して意識を手放せぬよう、ギリギリの線で傷めつけたんだァ……。			(-？？？？-)ウププ……強がっちゃってェ、怖かっただろう……？痛みと恐怖に支配されても、決して意識を手放せぬよう、ギリギリの線で傷めつけたんだァ……。			心の形							
カラス、貴様っ！！！			カラス、貴様っ！！！			心の形							
ウププ……それそれぇ、その眼だヨォ～。やはりキミの刃は、怒りに燃えている時が最も煌めく……！……合格だよ、オボロく～ん。			ウププ……それそれぇ、その眼だヨォ～。やはりキミの刃は、怒りに燃えている時が最も煌めく……！……合格だよ、オボロく～ん。			心の形							
ドマの民、里の民が目の前で大量に殺された、「あの時」と同じ煌きだァ……。オオオ、最ッ高に沸き立つヨォ……！			ドマの民、里の民が目の前で大量に殺された、「あの時」と同じ煌きだァ……。オオオ、最ッ高に沸き立つヨォ……！			心の形							
黙れ、黙れ、黙れ、黙れ……！癇に障る声で、べらべらとよく喋る！！			黙れ、黙れ、黙れ、黙れ……！癇に障る声で、べらべらとよく喋る！！			心の形							
ツバメ、さがれ……！カラスはここで、必ず仕留める！			ツバメ、さがれ……！カラスはここで、必ず仕留める！			心の形							
ンフフフフフフフフ！！いいね、いいねいいねいいねいいねェ、沸き立つヨォ！隠す気ゼロの殺意……それでこそ、ボクが本気を出す価値がある！			ンフフフフフフフフ！！いいね、いいねいいねいいねいいねェ、沸き立つヨォ！隠す気ゼロの殺意……それでこそ、ボクが本気を出す価値がある！			心の形							
忍びらしく、冷静に、忠実に……。そんな「心」は、殺し合いの場では何の力も持たない！目の前の敵を強く呪った奴だけが、先の物語に進めるんだ！			忍びらしく、冷静に、忠実に……。そんな「心」は、殺し合いの場では何の力も持たない！目の前の敵を強く呪った奴だけが、先の物語に進めるんだ！			心の形							
……さぁ、勝負をしよう。ボクの刃が勝つか、キミたちの刃が勝つか……。敗者には死が、勝者には続きが待ってるヨォ……？			……さぁ、勝負をしよう。ボクの刃が勝つか、キミたちの刃が勝つか……。敗者には死が、勝者には続きが待ってるヨォ……？			心の形							
ここまでだ、カラス……。里からの命に従い、お前の命を貰う。それが、里を裏切った代償だ……！			ここまでだ、カラス……。里からの命に従い、お前の命を貰う。それが、里を裏切った代償だ……！			心の形							
…………クク……アハハ……アハハハハハァ！			…………クク……アハハ……アハハハハハァ！			心の形							
里を裏切った……代償だァ？まぁったく、優等生仮面が、偉そうによく言うよネェ！			里を裏切った……代償だァ？まぁったく、優等生仮面が、偉そうによく言うよネェ！			心の形							
……何が言いたい。			……何が言いたい。			心の形							
鈍いなァ、教えてやってんじゃナイ。本当の「裏切り者」は、ボクじゃないってさァ……？			鈍いなァ、教えてやってんじゃナイ。本当の「裏切り者」は、ボクじゃないってさァ……？			心の形							
ウププ……。オボロくんはさァ、ドマが急襲されたあの日にィ、仲間の死体の顔……全部、確認したァ？			ウププ……。オボロくんはさァ、ドマが急襲されたあの日にィ、仲間の死体の顔……全部、確認したァ？			心の形							
なァなァなァ、思いだせよォ、ホラ早くゥ！ひとりだけ、判別不能な死体があったはずだ！服装だけで身元を判断された、ボクらの恩人がさァ……！？			なァなァなァ、思いだせよォ、ホラ早くゥ！ひとりだけ、判別不能な死体があったはずだ！服装だけで身元を判断された、ボクらの恩人がさァ……！？			心の形							
なっ……そんなわけがあるか！あの方が、あの方がそんな……！			なっ……そんなわけがあるか！あの方が、あの方がそんな……！			心の形							
アハハハ……そう、ボクらの師匠「ゲッカイ」だ！アイツは死んでない、死んだふりをして逃げた！本当の裏切り者は、アイツだよ！！			アハハハ……そう、ボクらの師匠「ゲッカイ」だ！アイツは死んでない、死んだふりをして逃げた！本当の裏切り者は、アイツだよ！！			心の形							
命乞いのデタラメだ！師匠が里を裏切るわけがない！……それに、ならばなぜ、お前まで里を逃げ出した！！			命乞いのデタラメだ！師匠が里を裏切るわけがない！……それに、ならばなぜ、お前まで里を逃げ出した！！			心の形							
忘れもしないよ、襲撃されたあの日のことォ……。死んだはずの師匠が逃げているところを、偶然見つけてさァ。理由を聞こうと思って、追いかけたんだ。			忘れもしないよ、襲撃されたあの日のことォ……。死んだはずの師匠が逃げているところを、偶然見つけてさァ。理由を聞こうと思って、追いかけたんだ。			心の形							
そしたら、逆に捕まっちゃってさァ……。味方につくなら命は助ける、って言われたわけェ。			そしたら、逆に捕まっちゃってさァ……。味方につくなら命は助ける、って言われたわけェ。			心の形							
ま、師匠を追ったのも好奇心だったし、新たな土地に行くのも面白いかなァと思って、従ったのさァ。……結局、帝国軍ごっこは想像より退屈だったけどネェ。			ま、師匠を追ったのも好奇心だったし、新たな土地に行くのも面白いかなァと思って、従ったのさァ。……結局、帝国軍ごっこは想像より退屈だったけどネェ。			心の形							
プププ、まだ信じられてないのかなァ？戦いの前の威勢が、まるでなくなっちゃったネェ……。			プププ、まだ信じられてないのかなァ？戦いの前の威勢が、まるでなくなっちゃったネェ……。			心の形							
衝撃に浸る時間はないはずだヨォ？ボクが死ねば「任務」は終わってしまう。そうしたらもう、エオルゼアでの用はないはずだからネェ。			衝撃に浸る時間はないはずだヨォ？ボクが死ねば「任務」は終わってしまう。そうしたらもう、エオルゼアでの用はないはずだからネェ。			心の形							
そうそう、これはヒヨコちゃんヒヨコ君の方に言うんだけどォ。「キャンドルキープ埠頭」付近の動きに注意しときなァ。……奴は必ず現れる、時が満ちたらネェ。			そうそう、これはヒヨコちゃんヒヨコ君の方に言うんだけどォ。「キャンドルキープ埠頭」付近の動きに注意しときなァ。……奴は必ず現れる、時が満ちたらネェ。			心の形							
それじゃ、サヨナラだ。いつの世も、勝者は先の物語に進み……敗者は死んで幕切れ、だァ。			それじゃ、サヨナラだ。いつの世も、勝者は先の物語に進み……敗者は死んで幕切れ、だァ。			心の形							
……言っとくけどォ、任務失敗したから死ぬんじゃないヨォ。そんな、ダッサい忍びみたいな信念は、ないんだからネェ。			……言っとくけどォ、任務失敗したから死ぬんじゃないヨォ。そんな、ダッサい忍びみたいな信念は、ないんだからネェ。			心の形							
英雄にも、裏切り者にもなれない素敵なボクはさァ……ただ、愛に満ちた自由の世界に逝くんだ。筋書きどおりに、ネェ……。			英雄にも、裏切り者にもなれない素敵なボクはさァ……ただ、愛に満ちた自由の世界に逝くんだ。筋書きどおりに、ネェ……。			心の形							
待て、カラス！！！！			待て、カラス！！！！			心の形							
本当に……師匠、が…………？			本当に……師匠、が…………？			心の形							
我らの目的、カラスの誅殺は完了した…………。			我らの目的、カラスの誅殺は完了した…………。			心の形							
……任務達成だ。船着場の平屋に戻ろう……。			……任務達成だ。船着場の平屋に戻ろう……。			心の形							
少し落ち着きました。だ、大丈夫です、これくらい……。			少し落ち着きました。だ、大丈夫です、これくらい……。			心の形							
先ほどは、すまなかった……。オボロ様がお待ちだ……。			先ほどは、すまなかった……。オボロ様がお待ちだ……。			心の形							
長から受けた命は達成した。ツバメの怪我が治ったら、我々は里に戻る……。			長から受けた命は達成した。ツバメの怪我が治ったら、我々は里に戻る……。			心の形							
しかし……師匠が、もし本当に……だったら……。…………私は。			しかし……師匠が、もし本当に……だったら……。…………私は。			心の形							
カラスたちを倒せ！			カラスたちを倒せ！			心の形							
この心の震えは、貴様を仕留めなければ止まらぬようだ……！			この心の震えは、貴様を仕留めなければ止まらぬようだ……！			心の形							
ウププ、随分とノリノリだネェ～。ツバメちゃんを、おちょくったからかなァ～？			ウププ、随分とノリノリだネェ～。ツバメちゃんを、おちょくったからかなァ～？			心の形							
おいでェ、蝙蝠ちゃんたち……ご馳走だヨォ……？			おいでェ、蝙蝠ちゃんたち……ご馳走だヨォ……？			心の形							
あれは「口寄せの陣」か、まずいな……Forename、陣の印を破壊してくれ！			あれは「口寄せの陣」か、まずいな……Forename、陣の印を破壊してくれ！			心の形							
ネェ、これがボクらの最後の戦いだ……。もっと本気で、死ぬ気で、全力で殺しにきなァ……！！			ネェ、これがボクらの最後の戦いだ……。もっと本気で、死ぬ気で、全力で殺しにきなァ……！！			心の形							
また「口寄せの陣」を……ッ！陣の印を頼む、Forename！			また「口寄せの陣」を……ッ！陣の印を頼む、Forename！			心の形							
こんな、ところで……！			こんな、ところで……！			心の形							
船着場の平屋のオボロは、冒険者の伸びしろについて考えているようだ。			船着場の平屋のオボロは、冒険者の伸びしろについて考えているようだ。			東方からの来訪者							
前回までの冒険録：里の裏切り者カラスの誅殺のため、ドマの隠れ里からやってきた忍者オボロ。しかし、実際の裏切り者は、カラスとオボロの師ゲッカイだった。真実を知ったオボロは、配下のツバメ、冒険者と共に、帝国の隠密諜報部隊を率いるゲッカイを倒し、里の任務を達成したのだった。　　　　　　　　　　　　*　*　*オボロと話し、冒険者のさらなる成長を促すために、双剣士ギルドへ赴くことになった。リムサ・ロミンサの双剣士ギルドにいる「ジャック」と話そう。			前回までの冒険録：里の裏切り者カラスの誅殺のため、ドマの隠れ里からやってきた忍者オボロ。しかし、実際の裏切り者は、カラスとオボロの師ゲッカイだった。真実を知ったオボロは、配下のツバメ、冒険者と共に、帝国の隠密諜報部隊を率いるゲッカイを倒し、里の任務を達成したのだった。　　　　　　　　　　　　*　*　*オボロと話し、冒険者のさらなる成長を促すために、双剣士ギルドへ赴くことになった。リムサ・ロミンサの双剣士ギルドにいる「ジャック」と話そう。			東方からの来訪者							
ジャックと話し、東方からやってきた忍術を使う盗人の捜査を手伝うことになった。まずは、被害者から話を聞こう。中央ラノシアのサマーフォード庄にいる「ムルファ・ケルファ」と話そう。			ジャックと話し、東方からやってきた忍術を使う盗人の捜査を手伝うことになった。まずは、被害者から話を聞こう。中央ラノシアのサマーフォード庄にいる「ムルファ・ケルファ」と話そう。			東方からの来訪者							
ムルファ・ケルファによると、東方風の二人組に千紫万紅という宝珠を奪われたそうだ。千紫万紅を奪った盗人を追いかけよう。サマーフォード庄西にある「指定地点」で見渡そう。			ムルファ・ケルファによると、東方風の二人組に千紫万紅という宝珠を奪われたそうだ。千紫万紅を奪った盗人を追いかけよう。サマーフォード庄西にある「指定地点」で見渡そう。			東方からの来訪者							
北西へ向かう怪しい人影を見かけた。中央ラノシアのデセント断崖付近にある「指定地点」で見渡そう。			北西へ向かう怪しい人影を見かけた。中央ラノシアのデセント断崖付近にある「指定地点」で見渡そう。			東方からの来訪者							
再び北西へ向かう怪しい人影を見かけた。デセント断崖にある「指定地点」で見渡そう。			再び北西へ向かう怪しい人影を見かけた。デセント断崖にある「指定地点」で見渡そう。			東方からの来訪者							
北東へ向かう怪しい人影を見かけた。中央ラノシアのささやきの谷にいる「風変わりな容疑者」と話そう。			北東へ向かう怪しい人影を見かけた。中央ラノシアのささやきの谷にいる「風変わりな容疑者」と話そう。			東方からの来訪者							
容疑者と話した。しかし、彼女は盗人ではなく、家宝を盗まれた被害者であり、ひんがしの国にある井ノ国からお供のアカギとともにやってきた、ユキ姫だった。冒険者の鍛錬のために、協力を約束して別れた。船着場の平屋の「オボロ」と話そう。			容疑者と話した。しかし、彼女は盗人ではなく、家宝を盗まれた被害者であり、ひんがしの国にある井ノ国からお供のアカギとともにやってきた、ユキ姫だった。冒険者の鍛錬のために、協力を約束して別れた。船着場の平屋の「オボロ」と話そう。			東方からの来訪者							
オボロと話した。アカギからの連絡が来るまで、己の技を磨いておこう。※忍者のレベルが52以上になると、船着場の平屋のオボロから次の忍者クエストを受注することができます。			オボロと話した。アカギからの連絡が来るまで、己の技を磨いておこう。※忍者のレベルが52以上になると、船着場の平屋のオボロから次の忍者クエストを受注することができます。			東方からの来訪者							
双剣士ギルドのジャックと話す			双剣士ギルドのジャックと話す			東方からの来訪者							
サマーフォード庄のムルファ・ケルファと話す			サマーフォード庄のムルファ・ケルファと話す			東方からの来訪者							
指定地点で見渡す			指定地点で見渡す			東方からの来訪者							
風変わりな容疑者と話す			風変わりな容疑者と話す			東方からの来訪者							
船着場の平屋のオボロと話す			船着場の平屋のオボロと話す			東方からの来訪者							
Forenameではないか。身に帯びた気配から察するに、精進を続けているようだな。やはり、お主には、まだ忍びとしての伸びしろがござる。			Forenameではないか。身に帯びた気配から察するに、精進を続けているようだな。やはり、お主には、まだ忍びとしての伸びしろがござる。			東方からの来訪者							
しかし、これから先の新たな術は、私が教えることはできぬ。自らの力で開眼せねば、その術は、お主の血肉とならぬのだ。			しかし、これから先の新たな術は、私が教えることはできぬ。自らの力で開眼せねば、その術は、お主の血肉とならぬのだ。			東方からの来訪者							
私は、ドマの国の忍びとしての任務中に開眼をしていったが、お主は「誰かの忍び」としての「任務」を持ってはおらぬ。何か、いいきっかけがあればいいのだが……。			私は、ドマの国の忍びとしての任務中に開眼をしていったが、お主は「誰かの忍び」としての「任務」を持ってはおらぬ。何か、いいきっかけがあればいいのだが……。			東方からの来訪者							
……きっかけといえば、双剣士ギルドのジャック殿から、急ぎリムサ・ロミンサまで来るよう、連絡がござったな。			……きっかけといえば、双剣士ギルドのジャック殿から、急ぎリムサ・ロミンサまで来るよう、連絡がござったな。			東方からの来訪者							
お主も、ジャック殿に世話になった縁があろう。古巣に帰れば、何か成長の秘訣が見いだせるかもしれぬ。ともに「双剣士ギルド」に赴かないか？			お主も、ジャック殿に世話になった縁があろう。古巣に帰れば、何か成長の秘訣が見いだせるかもしれぬ。ともに「双剣士ギルド」に赴かないか？			東方からの来訪者							
何か、お主の成長の秘訣が見いだせればいいのだが……。			何か、お主の成長の秘訣が見いだせればいいのだが……。			東方からの来訪者							
ジャック殿、久しぶりでござるな。Forenameの忍装束の手配に関する力添え……あの時は、世話になり申した。			ジャック殿、久しぶりでござるな。Forenameの忍装束の手配に関する力添え……あの時は、世話になり申した。			東方からの来訪者							
……よう、待ってたぜ。Forenameも来たのか、元気でやってるか？			……よう、待ってたぜ。Forenameも来たのか、元気でやってるか？			東方からの来訪者							
オボロに連絡をしたのは、ちょっと深刻な事情があってな……。ラノシアに、逃げ足の早い厄介な盗人が現れたんだ。			オボロに連絡をしたのは、ちょっと深刻な事情があってな……。ラノシアに、逃げ足の早い厄介な盗人が現れたんだ。			東方からの来訪者							
ふむ……。それで、なにゆえ私に連絡を？			ふむ……。それで、なにゆえ私に連絡を？			東方からの来訪者							
いや、それがな……どうもその盗人は、最近東方からきたらしくてな。			いや、それがな……どうもその盗人は、最近東方からきたらしくてな。			東方からの来訪者							
ほう、珍しい。よほどの事情があったのだろう。			ほう、珍しい。よほどの事情があったのだろう。			東方からの来訪者							
そう、そんで……忍術を扱うようだ。			そう、そんで……忍術を扱うようだ。			東方からの来訪者							
忍術を扱う、事情を抱えた東洋人……。ははは、私に瓜二つだな。			忍術を扱う、事情を抱えた東洋人……。ははは、私に瓜二つだな。			東方からの来訪者							
……というわけで、お前両手あげろ。			……というわけで、お前両手あげろ。			東方からの来訪者							
ははは、怪しい物は持ってねぇようだな。お前が容疑者から外れて、安心したよ。捜索は、別途進めておこう。			ははは、怪しい物は持ってねぇようだな。お前が容疑者から外れて、安心したよ。捜索は、別途進めておこう。			東方からの来訪者							
まさか、私が疑われていたとは……。しかし、犯人が東方の忍びならば、同胞の可能性もござる。よければ、その人物の捜索を手伝わせてもらえるか？			まさか、私が疑われていたとは……。しかし、犯人が東方の忍びならば、同胞の可能性もござる。よければ、その人物の捜索を手伝わせてもらえるか？			東方からの来訪者							
願ったりかなったりだぜ。忍術の専門家がいてくれりゃ、捜査もはかどるってもんだ。これから被害者に聞き取りに行くんで、一緒に来てくれよ。			願ったりかなったりだぜ。忍術の専門家がいてくれりゃ、捜査もはかどるってもんだ。これから被害者に聞き取りに行くんで、一緒に来てくれよ。			東方からの来訪者							
サマーフォード庄にいる、「ムルファ・ケルファ」って人だ。Forenameも、ひさびさの仕事といこうぜ？それじゃ、現地で落ち合おう。			サマーフォード庄にいる、「ムルファ・ケルファ」って人だ。Forenameも、ひさびさの仕事といこうぜ？それじゃ、現地で落ち合おう。			東方からの来訪者							
最新の被害者は、「ムルファ・ケルファ」って人だ。お前との仕事は腕が鳴るな！サマーフォード庄で落ち合おうぜ。			最新の被害者は、「ムルファ・ケルファ」って人だ。お前との仕事は腕が鳴るな！サマーフォード庄で落ち合おうぜ。			東方からの来訪者							
彼が被害者のようだ、話を聞いてみようぜ。			彼が被害者のようだ、話を聞いてみようぜ。			東方からの来訪者							
双剣士ギルドのジャックは知っているが……。あんたと、そっちの薄幸顔も双剣士なのか？			双剣士ギルドのジャックは知っているが……。あんたと、そっちの薄幸顔も双剣士なのか？			東方からの来訪者							
(-ジャック-)Forenameは、うちの若手さ。横の薄幸顔は……まあ、最近入った新人、かな。			(-ジャック-)Forenameは、うちの若手さ。横の薄幸顔は……まあ、最近入った新人、かな。			東方からの来訪者							
被害というのは、ほかでもない。「千紫万紅」という宝珠を、東方風のふたり組に奪われたのだ。大枚はたいて買った品だってのに！			被害というのは、ほかでもない。「千紫万紅」という宝珠を、東方風のふたり組に奪われたのだ。大枚はたいて買った品だってのに！			東方からの来訪者							
ゼファー陸門の出口で襲われ、犯人は北西へと逃げ去った。とにかく逃げ足の早い連中だが、なんとかして捕まえて、必ず取り返してくれ！			ゼファー陸門の出口で襲われ、犯人は北西へと逃げ去った。とにかく逃げ足の早い連中だが、なんとかして捕まえて、必ず取り返してくれ！			東方からの来訪者							
(-ジャック-)それじゃ、手分けして犯人を追うとしようぜ。ささやきの谷まで追い詰めれば、逃げ道がなくなるはずだ。目標地点にうまく誘導するよう、気をつけろよ。			(-ジャック-)それじゃ、手分けして犯人を追うとしようぜ。ささやきの谷まで追い詰めれば、逃げ道がなくなるはずだ。目標地点にうまく誘導するよう、気をつけろよ。			東方からの来訪者							
(-ジャック-)……戦闘になったら、各自応戦して構わない。ただし、事情を聞く必要があるからトドメは刺すなよ？			(-ジャック-)……戦闘になったら、各自応戦して構わない。ただし、事情を聞く必要があるからトドメは刺すなよ？			東方からの来訪者							
「千紫万紅」を、取り返してくれたまえ！			「千紫万紅」を、取り返してくれたまえ！			東方からの来訪者							
俺のことは気にするな……。フフフフフ……。			俺のことは気にするな……。フフフフフ……。			東方からの来訪者							
怪しい人影が、北西方面に向かうのが見えた……。			怪しい人影が、北西方面に向かうのが見えた……。			東方からの来訪者							
怪しい人影が、北東方面に向かうのが見えた……。			怪しい人影が、北東方面に向かうのが見えた……。			東方からの来訪者							
死んではござらぬ……。飛び降りてきたと思ったら、頭をうって失神したようだ。……さぁ、奥の女子に話を聞いてみよう。			死んではござらぬ……。飛び降りてきたと思ったら、頭をうって失神したようだ。……さぁ、奥の女子に話を聞いてみよう。			東方からの来訪者							
おいおい……。まさかお前が、「千紫万紅」を盗んだ犯人なのか？大人しそうなツラして、手癖が悪いぜ。			おいおい……。まさかお前が、「千紫万紅」を盗んだ犯人なのか？大人しそうなツラして、手癖が悪いぜ。			東方からの来訪者							
って……無視かよ！面倒な女は、もう勘弁してほしいんだがな……。			って……無視かよ！面倒な女は、もう勘弁してほしいんだがな……。			東方からの来訪者							
そうだ、その女が犯人です！さすが双剣士ギルドの方々ですね、私たちでは、捕まえられませんでしたよ。			そうだ、その女が犯人です！さすが双剣士ギルドの方々ですね、私たちでは、捕まえられませんでしたよ。			東方からの来訪者							
さて……これで、双剣士の皆さんは用済みです。その宝珠の入手方法を詮索されたら、厄介ですからね。……用心棒さん、頼みましたよ？			さて……これで、双剣士の皆さんは用済みです。その宝珠の入手方法を詮索されたら、厄介ですからね。……用心棒さん、頼みましたよ？			東方からの来訪者							
ウフフ……双剣士ギルドのジャックは手強いが……新米双剣士をふたり連れているなら……その力も半減……。「宵闇の死神」の異名を持つ、この私の敵では、ない……。			ウフフ……双剣士ギルドのジャックは手強いが……新米双剣士をふたり連れているなら……その力も半減……。「宵闇の死神」の異名を持つ、この私の敵では、ない……。			東方からの来訪者							
まいったな、被害者が悪者って奴か……？っつーか、お前らみくびられてるぞ。新米双剣士、だってさ。			まいったな、被害者が悪者って奴か……？っつーか、お前らみくびられてるぞ。新米双剣士、だってさ。			東方からの来訪者							
任務を遂行する上では、都合がよい……。それに、喋らぬ女子を捕らえるよりは、むさ苦しい悪漢を倒すほうが、気が楽でござろう。			任務を遂行する上では、都合がよい……。それに、喋らぬ女子を捕らえるよりは、むさ苦しい悪漢を倒すほうが、気が楽でござろう。			東方からの来訪者							
ウフフフ……遺言はもう書き終わったか……？私が相手であったのが運のつき……。貴様の首を……宵闇の彼方へ葬ってやろう！			ウフフフ……遺言はもう書き終わったか……？私が相手であったのが運のつき……。貴様の首を……宵闇の彼方へ葬ってやろう！			東方からの来訪者							
ま、確かに相手が悪かったな……お前の。			ま、確かに相手が悪かったな……お前の。			東方からの来訪者							
(-風変わりな少女-)一応、礼は言っとくよ……。その程度の奴なんて、俺ひとりでも倒せるけどさ。			(-風変わりな少女-)一応、礼は言っとくよ……。その程度の奴なんて、俺ひとりでも倒せるけどさ。			東方からの来訪者							
ほう、その礼の仕方は……。東方から来たという情報は、真実であるようだ。……それにその顔、どこかで見覚えがあるような？			ほう、その礼の仕方は……。東方から来たという情報は、真実であるようだ。……それにその顔、どこかで見覚えがあるような？			東方からの来訪者							
