円蓋の座のチョラ・ゾイは、憧れの人物の到着を待ちかねているようだ。			円蓋の座のチョラ・ゾイは、憧れの人物の到着を待ちかねているようだ。			職人に寄り添う新道具							
材料の交換に必要な取引資本は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			材料の交換に必要な取引資本は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			誠実な改良計画							
また、取引資本を採集する際には、「モーエンツール」に改良する道具を装備している必要があります。			また、取引資本を採集する際には、「モーエンツール」に改良する道具を装備している必要があります。			誠実な改良計画							
取引資本となる魚には、専用の釣り餌が必要になります。釣り餌も、おなじく「キナーナ」から入手できます。			取引資本となる魚には、専用の釣り餌が必要になります。釣り餌も、おなじく「キナーナ」から入手できます。			誠実な改良計画							
また、取引資本となる魚を釣る際には、「モーエンツール」に改良する道具を装備している必要があります。			また、取引資本となる魚を釣る際には、「モーエンツール」に改良する道具を装備している必要があります。			誠実な改良計画							
本クエストをコンプリートする際には、「モーエンツール」に改良する道具を装備せずに、所持品またはアーマリーチェストに入れてください。			本クエストをコンプリートする際には、「モーエンツール」に改良する道具を装備せずに、所持品またはアーマリーチェストに入れてください。			誠実な改良計画							
Forenameさん、ありがとうございますっ！必要な稀少材料を揃えていただいたようですので、改良する道具と一緒に、お預かりできればと！			Forenameさん、ありがとうございますっ！必要な稀少材料を揃えていただいたようですので、改良する道具と一緒に、お預かりできればと！			誠実な改良計画							
苦労の末に用立てていただいた稀少材料……きっと、立派な道具にしてみせますっ！			苦労の末に用立てていただいた稀少材料……きっと、立派な道具にしてみせますっ！			誠実な改良計画							
取引資本を用立ててくれたForename殿と、独自ルートで稀少材料を集めきったモーエン殿……その努力に報いねばなるまい。			取引資本を用立ててくれたForename殿と、独自ルートで稀少材料を集めきったモーエン殿……その努力に報いねばなるまい。			誠実な改良計画							
では錬鉄科の設備をお借りして、この道具を改良してきますね！こちらで、しばらくお待ちいただければとっ！			では錬鉄科の設備をお借りして、この道具を改良してきますね！こちらで、しばらくお待ちいただければとっ！			誠実な改良計画							
ただいま戻りました！稀少材料を使うということで緊張しましたが、無事に改良できましたよー！			ただいま戻りました！稀少材料を使うということで緊張しましたが、無事に改良できましたよー！			誠実な改良計画							
グレノルトさんの設計図どおりに仕上げましたので、機能は折り紙付きだと思いますっ！			グレノルトさんの設計図どおりに仕上げましたので、機能は折り紙付きだと思いますっ！			誠実な改良計画							
隣で補佐しつつ見ていたが、チョラ・ゾイの腕前は申し分ないものであった。安心して、Forename殿にお渡しできる。			隣で補佐しつつ見ていたが、チョラ・ゾイの腕前は申し分ないものであった。安心して、Forename殿にお渡しできる。			誠実な改良計画							
無事に今回も、2段階目への改良を遂げられましたよっ！新たな道具を磨いたことで、私の腕前も、少し磨かれてきたように思えます！			無事に今回も、2段階目への改良を遂げられましたよっ！新たな道具を磨いたことで、私の腕前も、少し磨かれてきたように思えます！			誠実な改良計画							
改良を施した「モーエンツール」……「[???]」ですっ！さぁ、手にとってみてください！			改良を施した「モーエンツール」……「[???]」ですっ！さぁ、手にとってみてください！			誠実な改良計画							
特殊ルール： ジョブ・クラス固定ミーン工芸館前のチョラ・ゾイは、「モーエンツール」の改良を進めたいようだ。			特殊ルール： ジョブ・クラス固定ミーン工芸館前のチョラ・ゾイは、「モーエンツール」の改良を進めたいようだ。			想い伝える改良計画							
※本クエストには「 ジョブ・クラス固定」が、　設定されています。　受注時と同じクラスでのみ進行できます。「モーエンツール」の改良に必要な材料は、ミーン工芸館前の「キナーナ」に取引資本を渡すことで用意してもらえるようだ。ミーン工芸館前の「チョラ・ゾイ」に、所持品またはアーマリーチェストに入れた「モーエンツール」と、材料を渡して、次の段階へ改良してもらおう。			※本クエストには「 ジョブ・クラス固定」が、　設定されています。　受注時と同じクラスでのみ進行できます。「モーエンツール」の改良に必要な材料は、ミーン工芸館前の「キナーナ」に取引資本を渡すことで用意してもらえるようだ。ミーン工芸館前の「チョラ・ゾイ」に、所持品またはアーマリーチェストに入れた「モーエンツール」と、材料を渡して、次の段階へ改良してもらおう。			想い伝える改良計画							
「モーエンツール」の改良が「3段階目」に到達した。さらなる性能の向上を目指すチョラ・ゾイたちと協力して、「モーエンツール」の改良を進めていこう。			「モーエンツール」の改良が「3段階目」に到達した。さらなる性能の向上を目指すチョラ・ゾイたちと協力して、「モーエンツール」の改良を進めていこう。			想い伝える改良計画							
モーエン・ソーREモーエン・クロスペインハンマーREモーエン・レイジングハンマーREモーエン・マレットREモーエン・ナイフREモーエン・ニードルREモーエン・アレンビックREモーエン・フライパンREモーエン・ピックREモーエン・ハチェットREモーエン・ロッドREを装備から外して、所持しモーエンツールの二次加工部材【木工】を90個集めモーエンツールの二次加工部材【鍛冶】を90個集めモーエンツールの二次加工部材【甲冑】を90個集めモーエンツールの二次加工部材【彫金】を90個集めモーエンツールの二次加工部材【革細工】を90個集めモーエンツールの二次加工部材【裁縫】を90個集めモーエンツールの二次加工部材【錬金】を90個集めモーエンツールの二次加工部材【調理】を90個集めモーエンツールの二次加工部材【採掘】を210個とモーエンツールの二次加工部材【園芸】を210個とモーエンツール・シャフトの二次加工部材【漁師】を80個と改良用のファイアクリスタルを210個集め改良用のライトニングクリスタルを210個集めモーエンツール・リールの二次加工部材【漁師】を80個集めミーン工芸館前のチョラ・ゾイに渡す			モーエン・ソーREモーエン・クロスペインハンマーREモーエン・レイジングハンマーREモーエン・マレットREモーエン・ナイフREモーエン・ニードルREモーエン・アレンビックREモーエン・フライパンREモーエン・ピックREモーエン・ハチェットREモーエン・ロッドREを装備から外して、所持しモーエンツールの二次加工部材【木工】を90個集めモーエンツールの二次加工部材【鍛冶】を90個集めモーエンツールの二次加工部材【甲冑】を90個集めモーエンツールの二次加工部材【彫金】を90個集めモーエンツールの二次加工部材【革細工】を90個集めモーエンツールの二次加工部材【裁縫】を90個集めモーエンツールの二次加工部材【錬金】を90個集めモーエンツールの二次加工部材【調理】を90個集めモーエンツールの二次加工部材【採掘】を210個とモーエンツールの二次加工部材【園芸】を210個とモーエンツール・シャフトの二次加工部材【漁師】を80個と改良用のファイアクリスタルを210個集め改良用のライトニングクリスタルを210個集めモーエンツール・リールの二次加工部材【漁師】を80個集めミーン工芸館前のチョラ・ゾイに渡す			想い伝える改良計画							
クエスト「想い伝える改良計画」にて入手できる主道具は、現在のクラス「[Job]」のモーエンツールとなります。「想い伝える改良計画」を「[Job]」で受注しますか？			クエスト「想い伝える改良計画」にて入手できる主道具は、現在のクラス「[Job]」のモーエンツールとなります。「想い伝える改良計画」を「[Job]」で受注しますか？			想い伝える改良計画							
[Job]のモーエンツールを改良しますか？			[Job]のモーエンツールを改良しますか？			想い伝える改良計画							
もう少し悩んでみる			もう少し悩んでみる			想い伝える改良計画							
[Job]のモーエンツールを改良する			[Job]のモーエンツールを改良する			想い伝える改良計画							
「想い伝える改良計画」を受注した場合、クエストを完了、あるいは破棄するまで、ほかのクラスで「想い伝える改良計画」を受注できません。			「想い伝える改良計画」を受注した場合、クエストを完了、あるいは破棄するまで、ほかのクラスで「想い伝える改良計画」を受注できません。			想い伝える改良計画							
改良したいモーエンツールに応じたクラスとなり、再度、チョラ・ゾイに話しかけてください。			改良したいモーエンツールに応じたクラスとなり、再度、チョラ・ゾイに話しかけてください。			想い伝える改良計画							
「[???]」を、所持または装備していないと、クエスト「想い伝える改良計画」を受注することができません。			「[???]」を、所持または装備していないと、クエスト「想い伝える改良計画」を受注することができません。			想い伝える改良計画							
「[???]」はすでに取得済みです。ほかのクラスとなり、再度チョラ・ゾイに話しかけてください。			「[???]」はすでに取得済みです。ほかのクラスとなり、再度チョラ・ゾイに話しかけてください。			想い伝える改良計画							
Forenameさん、道具の使い心地はどうですか？グレノルトさんの設計ですし、間違いないですよねっ！さっそく次の改良に進みましょう！			Forenameさん、道具の使い心地はどうですか？グレノルトさんの設計ですし、間違いないですよねっ！さっそく次の改良に進みましょう！			想い伝える改良計画							
ねっ、グレノルトさん！次はいったいどんな風にしますか！？			ねっ、グレノルトさん！次はいったいどんな風にしますか！？			想い伝える改良計画							
……貴殿なら、どうするか？			……貴殿なら、どうするか？			想い伝える改良計画							
……やっぱり、そこを考え出すのが苦手なんです。前回はグレノルトさんの設計図があったから、迷いなく作れたのですが……。			……やっぱり、そこを考え出すのが苦手なんです。前回はグレノルトさんの設計図があったから、迷いなく作れたのですが……。			想い伝える改良計画							
もちろん、いくつか案はあるのですが、あれこれ考えるうちに何が正解か、わからなくなって……。			もちろん、いくつか案はあるのですが、あれこれ考えるうちに何が正解か、わからなくなって……。			想い伝える改良計画							
うむ、それもまた成長の証であろうな。成せる技が増えたからこそ、迷いが生じたのなら、使い手にこそ、意見を求めるべきではないか？			うむ、それもまた成長の証であろうな。成せる技が増えたからこそ、迷いが生じたのなら、使い手にこそ、意見を求めるべきではないか？			想い伝える改良計画							
使い手……。そうか、道具を実際に使う職人に寄り添ってこそ、最適な改良の道筋も見えてくるはずですよねっ！			使い手……。そうか、道具を実際に使う職人に寄り添ってこそ、最適な改良の道筋も見えてくるはずですよねっ！			想い伝える改良計画							
Forenameさん……取引資本を用立てるときに道具を使われたと思いますが、どのように改良されたら、嬉しいでしょう？			Forenameさん……取引資本を用立てるときに道具を使われたと思いますが、どのように改良されたら、嬉しいでしょう？			想い伝える改良計画							
何と答える？			何と答える？			想い伝える改良計画							
想いに応えてくれる道具がいい			想いに応えてくれる道具がいい			想い伝える改良計画							
なんかすごいやつがいい			なんかすごいやつがいい			想い伝える改良計画							
想いに応える……なるほど。使い手の意図通りに、振るうことのできる道具ですね。			想いに応える……なるほど。使い手の意図通りに、振るうことのできる道具ですね。			想い伝える改良計画							
えっ……すごい、やつ……？使い手さえ驚いてしまうような要素ということでしょうか？			えっ……すごい、やつ……？使い手さえ驚いてしまうような要素ということでしょうか？			想い伝える改良計画							
そういえば、ダークマターのような精神感応物質は、人の想いに応じて性質を変えることがありますよね。			そういえば、ダークマターのような精神感応物質は、人の想いに応じて性質を変えることがありますよね。			想い伝える改良計画							
高純度の精神感応物質を見つけて、道具の持ち手に、うまいこと組み込むことができたら……「使い手に寄り添う道具」を実現できるかもしれませんっ！			高純度の精神感応物質を見つけて、道具の持ち手に、うまいこと組み込むことができたら……「使い手に寄り添う道具」を実現できるかもしれませんっ！			想い伝える改良計画							
うむ……職人チョラ・ゾイならではの答えが、目指すべき「モーエンツール」の形が見えたようであるな。さっそく、設計図の調整を進めるとしよう。			うむ……職人チョラ・ゾイならではの答えが、目指すべき「モーエンツール」の形が見えたようであるな。さっそく、設計図の調整を進めるとしよう。			想い伝える改良計画							
だが、高純度の精神感応物質となると、さしものモーエン商会でも、調達に手間取るに違いない。対価となる取引資本も、高価値のものを用立てねば……。			だが、高純度の精神感応物質となると、さしものモーエン商会でも、調達に手間取るに違いない。対価となる取引資本も、高価値のものを用立てねば……。			想い伝える改良計画							
「モーエンツール」の改良ですねっ？もちろん、私にお任せください！例の取引資本の調達から、さっそく始めましょうー！			「モーエンツール」の改良ですねっ？もちろん、私にお任せください！例の取引資本の調達から、さっそく始めましょうー！			想い伝える改良計画							
となると……今回必要となる稀少材料は、「[???]」が良さそうです！			となると……今回必要となる稀少材料は、「[???]」が良さそうです！			想い伝える改良計画							
稀少材料と交換する取引資本には、「好事家向けのマリンバ好事家向けのコーヒーサイフォン好事家向けのベンチ好事家向けのアストロスコープ好事家向けのレザーソファ好事家向けのレッドカーペット好事家向けのエリクサーボトル好事家向けのピクシーベリータルト」のご用意を、お願いできますか？			稀少材料と交換する取引資本には、「好事家向けのマリンバ好事家向けのコーヒーサイフォン好事家向けのベンチ好事家向けのアストロスコープ好事家向けのレザーソファ好事家向けのレッドカーペット好事家向けのエリクサーボトル好事家向けのピクシーベリータルト」のご用意を、お願いできますか？			想い伝える改良計画							
となると……今回必要となる稀少材料は、「[???]」と、「[???]」が良さそうです！			となると……今回必要となる稀少材料は、「[???]」と、「[???]」が良さそうです！			想い伝える改良計画							
商会から稀少材料を提供してもらう取引資本には、「好事家向けの紅孔雀石好事家向けのライトニングミント」のご用意を、お願いできますか？			商会から稀少材料を提供してもらう取引資本には、「好事家向けの紅孔雀石好事家向けのライトニングミント」のご用意を、お願いできますか？			想い伝える改良計画							
となると……今回必要となる稀少材料は、「[???]」と、「[???]」ですかね！			となると……今回必要となる稀少材料は、「[???]」と、「[???]」ですかね！			想い伝える改良計画							
それらの稀少材料を商会から提供してもらうには、取引資本に「手鏡の残像」と、「シークインピラルク」をご調達いただければ！			それらの稀少材料を商会から提供してもらうには、取引資本に「手鏡の残像」と、「シークインピラルク」をご調達いただければ！			想い伝える改良計画							
取引資本を用意していただく手順は、前回と同じです。必ず改良した「モーエンツール」を使って、調達作業をお願いしますね！			取引資本を用意していただく手順は、前回と同じです。必ず改良した「モーエンツール」を使って、調達作業をお願いしますね！			想い伝える改良計画							
調達した取引資本を、テントの「キナーナ」さんに渡せば、今回も、商会取り扱いの稀少材料を用意してもらえるはずです。もし手順に迷ったら、グレノルトさんが教えてくださいますよ！			調達した取引資本を、テントの「キナーナ」さんに渡せば、今回も、商会取り扱いの稀少材料を用意してもらえるはずです。もし手順に迷ったら、グレノルトさんが教えてくださいますよ！			想い伝える改良計画							
引き続き、改良作業は私が行いますっ！必要な材料をご用意いただいたら「モーエンツール」と一緒に、私のところへ持ってきてくださいね！			引き続き、改良作業は私が行いますっ！必要な材料をご用意いただいたら「モーエンツール」と一緒に、私のところへ持ってきてくださいね！			想い伝える改良計画							
ミーン工芸館前の「チョラ・ゾイ」に、主道具と改良に必要となる材料を渡すことで、改良された道具が入手できます。			ミーン工芸館前の「チョラ・ゾイ」に、主道具と改良に必要となる材料を渡すことで、改良された道具が入手できます。			想い伝える改良計画							
主道具を改良するために必要な材料は、ミーン工芸館前の「キナーナ」に、取引資本を渡すことで手に入ります。			主道具を改良するために必要な材料は、ミーン工芸館前の「キナーナ」に、取引資本を渡すことで手に入ります。			想い伝える改良計画							
取引資本は、製作手帳の「スペシャルレシピ」から、「モーエンツール」の項目を選択することで製作できます。			取引資本は、製作手帳の「スペシャルレシピ」から、「モーエンツール」の項目を選択することで製作できます。			想い伝える改良計画							
また、取引資本を製作する際には、「モーエンツール」を装備している必要があります。加えて一部の稀少材料は「スクリップ」で入手できます。			また、取引資本を製作する際には、「モーエンツール」を装備している必要があります。加えて一部の稀少材料は「スクリップ」で入手できます。			想い伝える改良計画							
取引資本は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			取引資本は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			想い伝える改良計画							
また、取引資本を採集する際には、「モーエンツール」を装備している必要があります。			また、取引資本を採集する際には、「モーエンツール」を装備している必要があります。			想い伝える改良計画							
取引資本となる魚には、専用の釣り餌が必要になります。釣り餌も、おなじく「キナーナ」から入手できます。			取引資本となる魚には、専用の釣り餌が必要になります。釣り餌も、おなじく「キナーナ」から入手できます。			想い伝える改良計画							
また、取引資本となる魚を釣る際には、「モーエンツール」を装備している必要があります。			また、取引資本となる魚を釣る際には、「モーエンツール」を装備している必要があります。			想い伝える改良計画							
本クエストをコンプリートする際には、改良する「モーエンツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			本クエストをコンプリートする際には、改良する「モーエンツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			想い伝える改良計画							
手順に不明点があったか？まず頼みたいことは、取引資本となる物資を、「モーエンツール」を使って用意してもらうことぞ。			手順に不明点があったか？まず頼みたいことは、取引資本となる物資を、「モーエンツール」を使って用意してもらうことぞ。			想い伝える改良計画							
調達した取引資本を「キナーナ」に渡せば、商会取り扱いの稀少材料を用意してもらえる手筈になっておる。必要なものが揃ったら、チョラ・ゾイに声を掛けるとよい。			調達した取引資本を「キナーナ」に渡せば、商会取り扱いの稀少材料を用意してもらえる手筈になっておる。必要なものが揃ったら、チョラ・ゾイに声を掛けるとよい。			想い伝える改良計画							
ミーン工芸館前の「チョラ・ゾイ」に、主道具と改良に必要となる稀少材料を渡すことで、改良された道具が入手できます。			ミーン工芸館前の「チョラ・ゾイ」に、主道具と改良に必要となる稀少材料を渡すことで、改良された道具が入手できます。			想い伝える改良計画							
なお、稀少材料は、ミーン工芸館前の「キナーナ」に、取引資本となるアイテムを納品することで入手できます。			なお、稀少材料は、ミーン工芸館前の「キナーナ」に、取引資本となるアイテムを納品することで入手できます。			想い伝える改良計画							
取引資本は、製作手帳の「スペシャルレシピ」から、「モーエンツール」の項目を選択することで製作できます。			取引資本は、製作手帳の「スペシャルレシピ」から、「モーエンツール」の項目を選択することで製作できます。			想い伝える改良計画							
また、取引資本を製作する際には、「モーエンツール」を装備している必要があります。加えて一部の稀少材料は「スクリップ」で入手できます。			また、取引資本を製作する際には、「モーエンツール」を装備している必要があります。加えて一部の稀少材料は「スクリップ」で入手できます。			想い伝える改良計画							
取引資本は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			取引資本は、採集手帳の「モーエンツール」の項目を選択することで、採集場所を確認できます。			想い伝える改良計画							
また、取引資本を採集する際には、「モーエンツール」を装備している必要があります。			また、取引資本を採集する際には、「モーエンツール」を装備している必要があります。			想い伝える改良計画							
取引資本となる魚には、専用の釣り餌が必要になります。釣り餌も、おなじく「キナーナ」から入手できます。			取引資本となる魚には、専用の釣り餌が必要になります。釣り餌も、おなじく「キナーナ」から入手できます。			想い伝える改良計画							
また、取引資本となる魚を釣る際には、「モーエンツール」を装備している必要があります。			また、取引資本となる魚を釣る際には、「モーエンツール」を装備している必要があります。			想い伝える改良計画							
本クエストをコンプリートする際には、改良する「モーエンツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			本クエストをコンプリートする際には、改良する「モーエンツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			想い伝える改良計画							
Forenameさん、ありがとうございますっ！必要な稀少材料を揃えていただけたようですので、「モーエンツール」と一緒に、お預かりできればと！			Forenameさん、ありがとうございますっ！必要な稀少材料を揃えていただけたようですので、「モーエンツール」と一緒に、お預かりできればと！			想い伝える改良計画							
今回も、ご協力感謝です！前回よりもさらに緊張しますが……準備は万全ですよっ！			今回も、ご協力感謝です！前回よりもさらに緊張しますが……準備は万全ですよっ！			想い伝える改良計画							
これほど高純度の精神感応物質とは……。吾も、こうして道具作りに用いるのは初めてのこと。何やら高揚感を覚えるものよ。			これほど高純度の精神感応物質とは……。吾も、こうして道具作りに用いるのは初めてのこと。何やら高揚感を覚えるものよ。			想い伝える改良計画							
道具も稀少材料も、確かにお預かりしました！錬鉄科の設備をお借りして「モーエンツール」を改良してきますね。こちらで、しばらくお待ちいただければとっ！			道具も稀少材料も、確かにお預かりしました！錬鉄科の設備をお借りして「モーエンツール」を改良してきますね。こちらで、しばらくお待ちいただければとっ！			想い伝える改良計画							
(-気合の入ったグレノルトの大声-)仕上げは……これだァァッ！！！！			(-気合の入ったグレノルトの大声-)仕上げは……これだァァッ！！！！			想い伝える改良計画							
無事、工房での作業は終えられましたっ……！「モーエンツール」を新たな段階に改良できましたよ！			無事、工房での作業は終えられましたっ……！「モーエンツール」を新たな段階に改良できましたよ！			想い伝える改良計画							
ですがグレノルトさん、最後の……。何か道具に、神々しい飛沫の液体を振りかけていましたが、あれはいったい、なんだったんでしょう？			ですがグレノルトさん、最後の……。何か道具に、神々しい飛沫の液体を振りかけていましたが、あれはいったい、なんだったんでしょう？			想い伝える改良計画							
フ…………あれぞ、吾が技法の真髄！一片の不純物もない、エキストラヴァージンの仕上げ油ぞ！！			フ…………あれぞ、吾が技法の真髄！一片の不純物もない、エキストラヴァージンの仕上げ油ぞ！！			想い伝える改良計画							
すっ、すごぉ～いです！！！職人のこだわりですね、グレノルトさんっ！			すっ、すごぉ～いです！！！職人のこだわりですね、グレノルトさんっ！			想い伝える改良計画							
そんなこだわりもあって、エキストラな道具になりましたっ！Forenameさん、さっそく持ってみてください！			そんなこだわりもあって、エキストラな道具になりましたっ！Forenameさん、さっそく持ってみてください！			想い伝える改良計画							
うむ、まこと申し分ない！そうして手にしただけでも、貴殿に似合いの道具であることが伝わってくるようだ！			うむ、まこと申し分ない！そうして手にしただけでも、貴殿に似合いの道具であることが伝わってくるようだ！			想い伝える改良計画							
チョラ・ゾイよ、使い手に寄り添ったよい仕事ができたな。その真摯な姿勢、隣にいて頼もしく感じたほどであるぞ。			チョラ・ゾイよ、使い手に寄り添ったよい仕事ができたな。その真摯な姿勢、隣にいて頼もしく感じたほどであるぞ。			想い伝える改良計画							
そして、Forename殿。改良した道具は、使い手たる貴殿の熱き想いにより、稀ながら、さらなる力を発揮することもあろう。			そして、Forename殿。改良した道具は、使い手たる貴殿の熱き想いにより、稀ながら、さらなる力を発揮することもあろう。			想い伝える改良計画							
商会が用立ててくれた高純度の精神感応物資……そして、秘伝の仕上げ油の効能ゆえであるな。			商会が用立ててくれた高純度の精神感応物資……そして、秘伝の仕上げ油の効能ゆえであるな。			想い伝える改良計画							
あの油には、そんな意味もあったのですね……。いったいどうすれば、そんな奇想天外なアイディアを、思いつくことができるんでしょうか？			あの油には、そんな意味もあったのですね……。いったいどうすれば、そんな奇想天外なアイディアを、思いつくことができるんでしょうか？			想い伝える改良計画							
実は、奇妙な夢を見てな。夢の中で、頭髪を失った吾は汗水垂らしながら、武具を作っていたのだが……			実は、奇妙な夢を見てな。夢の中で、頭髪を失った吾は汗水垂らしながら、武具を作っていたのだが……			想い伝える改良計画							
なんと屈強な男が現れ、吾を油まみれにするではないか！驚いた吾は、寝台から転げ落ちて目覚めたほどなのだが、これが天啓となって仕上げ油を思いついたのだ。			なんと屈強な男が現れ、吾を油まみれにするではないか！驚いた吾は、寝台から転げ落ちて目覚めたほどなのだが、これが天啓となって仕上げ油を思いついたのだ。			想い伝える改良計画							
キナーナから道具の製作が進んでいると報告がありました。貴方がたの、このご様子ですと、ちょうど新しい道具が仕上がったのですね？			キナーナから道具の製作が進んでいると報告がありました。貴方がたの、このご様子ですと、ちょうど新しい道具が仕上がったのですね？			想い伝える改良計画							
それは朗報ですわね。新たな道具を通じて産業を活性化させるためにも、今後とも、良い協力関係を育んでいただけたらと思いますわ。			それは朗報ですわね。新たな道具を通じて産業を活性化させるためにも、今後とも、良い協力関係を育んでいただけたらと思いますわ。			想い伝える改良計画							
ああ……これまでのノルヴラントの工芸や物流は、生活を守り、1日でも長く世界を繋ぐための術だった。しかしその時代も、今や終わりを迎えたと言えよう。			ああ……これまでのノルヴラントの工芸や物流は、生活を守り、1日でも長く世界を繋ぐための術だった。しかしその時代も、今や終わりを迎えたと言えよう。			想い伝える改良計画							
今ならば、互いに共に手を取り合うことで、世界を豊かにせんため、新たな力を生みだせるのであるな！			今ならば、互いに共に手を取り合うことで、世界を豊かにせんため、新たな力を生みだせるのであるな！			想い伝える改良計画							
手を……取り合い……！？			手を……取り合い……！？			想い伝える改良計画							
なっ…………ななぁぁあ！！？！ややや、海底から出奔し、若い職人や「闇の戦士」殿との協力、それにモーエン殿が材料調達してくださったのを総合して……！			なっ…………ななぁぁあ！！？！ややや、海底から出奔し、若い職人や「闇の戦士」殿との協力、それにモーエン殿が材料調達してくださったのを総合して……！			想い伝える改良計画							
何はともあれです！今回の成功を祝して、彷徨う階段亭で乾杯しませんか？			何はともあれです！今回の成功を祝して、彷徨う階段亭で乾杯しませんか？			想い伝える改良計画							
やや、嬉しき誘いではあるが、吾は下戸ゆえな……。それよりも、先々に向けた設計図の精査や、さらなる研鑽を積みたいものよ。			やや、嬉しき誘いではあるが、吾は下戸ゆえな……。それよりも、先々に向けた設計図の精査や、さらなる研鑽を積みたいものよ。			想い伝える改良計画							
むむ……さっすがグレノルトさんですっ！			むむ……さっすがグレノルトさんですっ！			想い伝える改良計画							
……ふふ！そんなところも、昔と変わりませんわね。			……ふふ！そんなところも、昔と変わりませんわね。			想い伝える改良計画							
私自身、Forenameさんやグレノルトさん、皆さんのおかげで、職人として大きく成長できました！でも、私も「モーエンツール」も、まだ伸び代だらけですね。			私自身、Forenameさんやグレノルトさん、皆さんのおかげで、職人として大きく成長できました！でも、私も「モーエンツール」も、まだ伸び代だらけですね。			想い伝える改良計画							
引き続きお力添えいただき、我々職人の手で、未来を紡いでいきましょうっ！			引き続きお力添えいただき、我々職人の手で、未来を紡いでいきましょうっ！			想い伝える改良計画							
今回も、「モーエンツール」3段階目への改良が完了しましたっ！新たな光を帯びた「[???]」、さぁ、手に取ってみてください！			今回も、「モーエンツール」3段階目への改良が完了しましたっ！新たな光を帯びた「[???]」、さぁ、手に取ってみてください！			想い伝える改良計画							
うんうん、手によく馴染んでいるようですね！こんな道具が作れて、職人冥利に尽きるというもの……。いつもありがとうございますっ！			うんうん、手によく馴染んでいるようですね！こんな道具が作れて、職人冥利に尽きるというもの……。いつもありがとうございますっ！			想い伝える改良計画							
ミーン工芸館前のグレノルトは、新しいモーエンツールの評判を喜んでいるようだ。			ミーン工芸館前のグレノルトは、新しいモーエンツールの評判を喜んでいるようだ。			新時代の新商品							
グレノルトと話し、ユールモアにやってきた。モーエンより稀少な品々を多く所有する好事家のケシ・トラオを紹介され、チョラ・ゾイの仕事ぶりにも改めて好評を得た。ユールモアのエーテライト・プラザで、「モーエン」と話そう。			グレノルトと話し、ユールモアにやってきた。モーエンより稀少な品々を多く所有する好事家のケシ・トラオを紹介され、チョラ・ゾイの仕事ぶりにも改めて好評を得た。ユールモアのエーテライト・プラザで、「モーエン」と話そう。			新時代の新商品							
モーエンと今後のモーエンツールの改良について話した。グレノルトとチョラ・ゾイたちは、先にクリスタリウムへと戻ったようだ。クリスタリウムのミーン工芸館前のテントで、「グレノルト」と話そう。			モーエンと今後のモーエンツールの改良について話した。グレノルトとチョラ・ゾイたちは、先にクリスタリウムへと戻ったようだ。クリスタリウムのミーン工芸館前のテントで、「グレノルト」と話そう。			新時代の新商品							
グレノルトたちと話したが、チョラ・ゾイはモーエンの提案に戸惑っているようだ。モーエンらの期待に応えられる道具にできるよう、今後の改良にも協力していこう。			グレノルトたちと話したが、チョラ・ゾイはモーエンの提案に戸惑っているようだ。モーエンらの期待に応えられる道具にできるよう、今後の改良にも協力していこう。			新時代の新商品							
モーエンと話す			モーエンと話す			新時代の新商品							
クリスタリウムのグレノルトと話す			クリスタリウムのグレノルトと話す			新時代の新商品							
おぉ、Forename殿。新しいモーエンツールの使い心地はいかがであろうか？			おぉ、Forename殿。新しいモーエンツールの使い心地はいかがであろうか？			新時代の新商品							
一般の職人に向け、追加生産分もモーエン商会へ卸したところ、そちらの評判も上々であると聞き及んでいるぞ。			一般の職人に向け、追加生産分もモーエン商会へ卸したところ、そちらの評判も上々であると聞き及んでいるぞ。			新時代の新商品							
グレノルトさん、本当ですかっ！？前回は、私が改良作業を担当させていただいたこともあって、評判が気になっていたのですが……！			グレノルトさん、本当ですかっ！？前回は、私が改良作業を担当させていただいたこともあって、評判が気になっていたのですが……！			新時代の新商品							
何と言う？			何と言う？			新時代の新商品							
ここは素直に喜ぼう！			ここは素直に喜ぼう！			新時代の新商品							
良い仕事が評価を受けるのは当然だ			良い仕事が評価を受けるのは当然だ			新時代の新商品							
えへへ、自信を持たなくちゃいけませんよね！Forenameさんにも、たくさん協力していただいたんですし！			えへへ、自信を持たなくちゃいけませんよね！Forenameさんにも、たくさん協力していただいたんですし！			新時代の新商品							
評判が良いというのは確かですよ、チョラ・ゾイさん。			評判が良いというのは確かですよ、チョラ・ゾイさん。			新時代の新商品							
実際にモーエンツールを手にした職人から、商会に寄せられた声は、どれも好意的なものばかり。加えて人づてに評判が広まったか、問い合わせも増加中だそうで！			実際にモーエンツールを手にした職人から、商会に寄せられた声は、どれも好意的なものばかり。加えて人づてに評判が広まったか、問い合わせも増加中だそうで！			新時代の新商品							
