スイの里のクレナイは、碧のタマミズのインバンを心待ちにしている。			スイの里のクレナイは、碧のタマミズのインバンを心待ちにしている。			ヒスイとクレナイ							
この島の北側にいる「トビザメ」から、「トビザメの肝」を3つほど採ってきちゃくんねぇか？もちろん駄賃はくれてやるから、頼むよ！			この島の北側にいる「トビザメ」から、「トビザメの肝」を3つほど採ってきちゃくんねぇか？もちろん駄賃はくれてやるから、頼むよ！			生涯現役							
「トビザメの肝」は、用意できたか？			「トビザメの肝」は、用意できたか？			生涯現役							
ひゃ～恩に着るぜ！こいつで、肝油を作るんだ。			ひゃ～恩に着るぜ！こいつで、肝油を作るんだ。			生涯現役							
肝油ってのは、昔から目にいいって言われててな。紅玉台場の防人の泣き面も見える、オレの自慢の眼力に、なくてはならない商売道具ってわけさ。			肝油ってのは、昔から目にいいって言われててな。紅玉台場の防人の泣き面も見える、オレの自慢の眼力に、なくてはならない商売道具ってわけさ。			生涯現役							
海賊衆は、死ぬまで現役だからな！足腰じゃあ若造にかなわなくなったって、見張り番の座は、あと20年は譲ってたまるかってんだ！			海賊衆は、死ぬまで現役だからな！足腰じゃあ若造にかなわなくなったって、見張り番の座は、あと20年は譲ってたまるかってんだ！			生涯現役							
紅玉台場のハヤマは、怯えているようだ。			紅玉台場のハヤマは、怯えているようだ。			不気味な鬼火							
指定地点で見渡して不気味な鬼火が現れたら討伐			指定地点で見渡して不気味な鬼火が現れたら討伐			不気味な鬼火							
ハヤマと話す			ハヤマと話す			不気味な鬼火							
ヒイッ！い、いきなり話しかけるんじゃない！こちとら見張りという大切な務めを果たしているんだぞって……			ヒイッ！い、いきなり話しかけるんじゃない！こちとら見張りという大切な務めを果たしているんだぞって……			不気味な鬼火							
むむっ、よく見れば腕が立ちそうだな。実に好都合だ、貴様……サカズキ島の東の浜まで行って、「不気味な鬼火」の正体を確かめて来い！			むむっ、よく見れば腕が立ちそうだな。実に好都合だ、貴様……サカズキ島の東の浜まで行って、「不気味な鬼火」の正体を確かめて来い！			不気味な鬼火							
どうせ、船の灯りか漁り火を見て勘違いしただけだろうが、海で死んだ死者の霊だ何だと怖がる者もいて、困っておるのだ。俺には防人として台場を護る使命がある故、持ち場を離れられん。			どうせ、船の灯りか漁り火を見て勘違いしただけだろうが、海で死んだ死者の霊だ何だと怖がる者もいて、困っておるのだ。俺には防人として台場を護る使命がある故、持ち場を離れられん。			不気味な鬼火							
そこで貴様の出番だ。噂では、ここから北西のあたりで鬼火を見た者がいるらしい……。もしも、本当にいた場合は、討伐しておくように！			そこで貴様の出番だ。噂では、ここから北西のあたりで鬼火を見た者がいるらしい……。もしも、本当にいた場合は、討伐しておくように！			不気味な鬼火							
噂では、ここから北西のほうで、鬼火を見た者がいるらしい……。もしも、本当にいた場合は、討伐しておくように！			噂では、ここから北西のほうで、鬼火を見た者がいるらしい……。もしも、本当にいた場合は、討伐しておくように！			不気味な鬼火							
このあたりでは、鬼火が見あたらないようだ。			このあたりでは、鬼火が見あたらないようだ。			不気味な鬼火							
……なに、不気味な鬼火の正体は、ちっぽけな焔の精だったと？			……なに、不気味な鬼火の正体は、ちっぽけな焔の精だったと？			不気味な鬼火							
ハッハッハ！　そんなことだろうと思っておったわ。海の魔物など、何するものぞ！			ハッハッハ！　そんなことだろうと思っておったわ。海の魔物など、何するものぞ！			不気味な鬼火							
報酬？　まったく、使命を持たぬものはこれだからな。だが俺は今、すこぶる機嫌がよい。とっておくがよいわ！　ハーッハッハッハ！			報酬？　まったく、使命を持たぬものはこれだからな。だが俺は今、すこぶる機嫌がよい。とっておくがよいわ！　ハーッハッハッハ！			不気味な鬼火							
紅玉台場のクモヂは、困り果てているようだ。			紅玉台場のクモヂは、困り果てているようだ。			クガネの防衛線							
鉄砲鍛冶の油壺を入手			鉄砲鍛冶の油壺を入手			クガネの防衛線							
クモヂに鉄砲鍛冶の油壺を渡す			クモヂに鉄砲鍛冶の油壺を渡す			クガネの防衛線							
お前さん、ちょっと今暇かい？それならひとつ、頼まれてくれないか。			お前さん、ちょっと今暇かい？それならひとつ、頼まれてくれないか。			クガネの防衛線							
オレはこの大筒の整備のためにクガネから呼ばれて来たんだ。だが道中、さんざん船に揺られるうちに気持ち悪くなって、大事な商売道具を海にぶちまけちまって……。			オレはこの大筒の整備のためにクガネから呼ばれて来たんだ。だが道中、さんざん船に揺られるうちに気持ち悪くなって、大事な商売道具を海にぶちまけちまって……。			クガネの防衛線							
恥ずかしい話だが、泳ぐのは苦手でな、代わりに取ってきてほしいんだ。			恥ずかしい話だが、泳ぐのは苦手でな、代わりに取ってきてほしいんだ。			クガネの防衛線							
「鉄砲鍛冶の油壺」は西の方に流されていったよ。あの辺りの海流を考えると、サカズキ島の東の浜あたりに、流れついているかもしれない。			「鉄砲鍛冶の油壺」は西の方に流されていったよ。あの辺りの海流を考えると、サカズキ島の東の浜あたりに、流れついているかもしれない。			クガネの防衛線							
「鉄砲鍛冶の油壺」は西の方に流されていったよ。あの辺りの海流を考えると、サカズキ島の東の浜あたりに、流れついているかもしれない。			「鉄砲鍛冶の油壺」は西の方に流されていったよ。あの辺りの海流を考えると、サカズキ島の東の浜あたりに、流れついているかもしれない。			クガネの防衛線							
鉄砲鍛冶の油壺は見つかったか？			鉄砲鍛冶の油壺は見つかったか？			クガネの防衛線							
いやー、助かった。壺の油を金属に塗れば、錆止めになって、潮風から大筒を守ってくれるんだ。			いやー、助かった。壺の油を金属に塗れば、錆止めになって、潮風から大筒を守ってくれるんだ。			クガネの防衛線							
いざ、異国の軍船や海賊衆が攻めてきたってときに、防衛の要であるこいつが錆付いてちゃ、話にならんからな。そうならないよう、きちんと整備してやるのがオレの役目だ。			いざ、異国の軍船や海賊衆が攻めてきたってときに、防衛の要であるこいつが錆付いてちゃ、話にならんからな。そうならないよう、きちんと整備してやるのがオレの役目だ。			クガネの防衛線							
お前さんは仕事を果たしてくれた。オレも、弱音もゲロも吐いてられねえな。これが報酬だ、受け取ってくれ。			お前さんは仕事を果たしてくれた。オレも、弱音もゲロも吐いてられねえな。これが報酬だ、受け取ってくれ。			クガネの防衛線							
紅玉台場のハヤマは、海を心配そうに眺めているようだ。			紅玉台場のハヤマは、海を心配そうに眺めているようだ。			防人たる者							
海賊の童子を探す			海賊の童子を探す			防人たる者							
海賊の童子と話す			海賊の童子と話す			防人たる者							
後見役の海賊と話す			後見役の海賊と話す			防人たる者							
貴様、いつぞやの旅人ではないか。ちょうどよい、話を聞いていけ。			貴様、いつぞやの旅人ではないか。ちょうどよい、話を聞いていけ。			防人たる者							
先ほど海を眺めていたら、向こうの浅瀬で、なにやら生意気そうな童子が、魔物に襲われておったのだ。サカズキ島の方へ逃げていったが、助けが来る気配もない。			先ほど海を眺めていたら、向こうの浅瀬で、なにやら生意気そうな童子が、魔物に襲われておったのだ。サカズキ島の方へ逃げていったが、助けが来る気配もない。			防人たる者							
……防人たる俺が、海賊の童子を心配するいわれもないのだが、見殺しにしたとあっては、寝覚めが悪い。前にも話したが、使命がある故、俺はここを離れられん。			……防人たる俺が、海賊の童子を心配するいわれもないのだが、見殺しにしたとあっては、寝覚めが悪い。前にも話したが、使命がある故、俺はここを離れられん。			防人たる者							
貴様、ちょっと行って見てこい。「海賊の童子」は、サカズキ島の方向へ逃げていった。報告はいらん、海賊がどうなろうと知ったことではないからな。			貴様、ちょっと行って見てこい。「海賊の童子」は、サカズキ島の方向へ逃げていった。報告はいらん、海賊がどうなろうと知ったことではないからな。			防人たる者							
「海賊の童子」は、サカズキ島に逃げていった。貴様、ちょっと行って見てこい。報告はいらん、海賊がどうなろうと知ったことではないからな。			「海賊の童子」は、サカズキ島に逃げていった。貴様、ちょっと行って見てこい。報告はいらん、海賊がどうなろうと知ったことではないからな。			防人たる者							
なにすんだよ、姉ちゃん兄ちゃん！一人前だって、島のみんなに証明できるとこだったのに！			なにすんだよ、姉ちゃん兄ちゃん！一人前だって、島のみんなに証明できるとこだったのに！			防人たる者							
追われてたんじゃなくて、罠に誘い込んだんだよ。この特製の癇癪玉を使えば、力なんかなくても、魔物をやっつけられるんだ！			追われてたんじゃなくて、罠に誘い込んだんだよ。この特製の癇癪玉を使えば、力なんかなくても、魔物をやっつけられるんだ！			防人たる者							
あーあ、いい感じに岩陰まで追い込んだのになぁ。もう一回挑戦するから、帰るのが遅くなるって、砦から見守ってる海賊に伝えておいてよ。			あーあ、いい感じに岩陰まで追い込んだのになぁ。もう一回挑戦するから、帰るのが遅くなるって、砦から見守ってる海賊に伝えておいてよ。			防人たる者							
お前さん、さっきうちのボウズを助けてくれたろ。心配かけちまったようで、すまないね。			お前さん、さっきうちのボウズを助けてくれたろ。心配かけちまったようで、すまないね。			防人たる者							
防人からの依頼とは、珍しいこともあったもんだ。クガネを守ることを至上の任務にしてる奴らが、わざわざ人に頼むなんて、変わったというか、親切な奴だな。			防人からの依頼とは、珍しいこともあったもんだ。クガネを守ることを至上の任務にしてる奴らが、わざわざ人に頼むなんて、変わったというか、親切な奴だな。			防人たる者							
奴らにも矜恃があるだろうから、それとわからない形で、後で礼でも送ることにするよ。アンタも、ボウズの件で改めて礼を言わせてくれ。			奴らにも矜恃があるだろうから、それとわからない形で、後で礼でも送ることにするよ。アンタも、ボウズの件で改めて礼を言わせてくれ。			防人たる者							
あいつはまだ若いから、加減ってもんを知らなくてな。魔物を集めすぎて、下手すりゃ怪我するところだった。ありがとうな、旅の人。			あいつはまだ若いから、加減ってもんを知らなくてな。魔物を集めすぎて、下手すりゃ怪我するところだった。ありがとうな、旅の人。			防人たる者							
スイの里のクレナイは、碧のタマミズへ向かうつもりのようだ。			スイの里のクレナイは、碧のタマミズへ向かうつもりのようだ。			幻の霊薬							
クレナイと話した。紅玉海の碧のタマミズで、「クレナイ」と合流しよう。			クレナイと話した。紅玉海の碧のタマミズで、「クレナイ」と合流しよう。			幻の霊薬							
クレナイと合流した。碧のタマミズで碧甲羅の行商を探す「クレナイ」を追い、話を聞こう。			クレナイと合流した。碧のタマミズで碧甲羅の行商を探す「クレナイ」を追い、話を聞こう。			幻の霊薬							
クレナイに御伽草子を贈った行商のインバンから、目覚めの霊薬の話を聞いた。材料は紅玉海から姿を消した、幻の大貝トノサマユメミだという。紅玉海のカガミの仙窟にいる「クレナイ」と話そう。			クレナイに御伽草子を贈った行商のインバンから、目覚めの霊薬の話を聞いた。材料は紅玉海から姿を消した、幻の大貝トノサマユメミだという。紅玉海のカガミの仙窟にいる「クレナイ」と話そう。			幻の霊薬							
クレナイと話した。カガミの仙窟の「指定地点」で「コンブの撒き餌」を使い、現れたトノサマユメミを倒して「トノサマユメミの殻」を入手しよう。			クレナイと話した。カガミの仙窟の「指定地点」で「コンブの撒き餌」を使い、現れたトノサマユメミを倒して「トノサマユメミの殻」を入手しよう。			幻の霊薬							
トノサマユメミを倒し、その殻を入手した。カガミの仙窟の「クレナイ」に「トノサマユメミの殻」を渡そう。			トノサマユメミを倒し、その殻を入手した。カガミの仙窟の「クレナイ」に「トノサマユメミの殻」を渡そう。			幻の霊薬							
碧のタマミズのインバンが、目覚めの霊薬を作ってくれることになった。スイの里へ戻り、「クレナイ」と話そう。			碧のタマミズのインバンが、目覚めの霊薬を作ってくれることになった。スイの里へ戻り、「クレナイ」と話そう。			幻の霊薬							
クレナイと話した。あとは、霊薬の完成を待つだけとなった。親友のヒスイを目覚めさせたいというクレナイの望みは、かなうのだろうか……？			クレナイと話した。あとは、霊薬の完成を待つだけとなった。親友のヒスイを目覚めさせたいというクレナイの望みは、かなうのだろうか……？			幻の霊薬							
クレナイと合流			クレナイと合流			幻の霊薬							
クレナイと話す			クレナイと話す			幻の霊薬							
クレナイと再度話す			クレナイと再度話す			幻の霊薬							
指定地点にコンブの撒き餌を使い、トノサマユメミから殻を入手			指定地点にコンブの撒き餌を使い、トノサマユメミから殻を入手			幻の霊薬							
クレナイにトノサマユメミの殻を渡す			クレナイにトノサマユメミの殻を渡す			幻の霊薬							
クレナイと話す			クレナイと話す			幻の霊薬							
もう、姫様の行動を止める気はございません。結果として、姫様のお考えが正しかったことを、貴方が証明してきたのですから……。			もう、姫様の行動を止める気はございません。結果として、姫様のお考えが正しかったことを、貴方が証明してきたのですから……。			幻の霊薬							
それでは、向かうといたしましょうか。碧甲羅の方々が住まう、碧のタマミズへと……！			それでは、向かうといたしましょうか。碧甲羅の方々が住まう、碧のタマミズへと……！			幻の霊薬							
かの地は、スイの里とも交流があります。私が御伽草子をいただいたのも、碧甲羅の行商の方からですし。私自身は「碧のタマミズ」へ赴いたことはないのですけれど……。			かの地は、スイの里とも交流があります。私が御伽草子をいただいたのも、碧甲羅の行商の方からですし。私自身は「碧のタマミズ」へ赴いたことはないのですけれど……。			幻の霊薬							
あなた様は、訪れたことがおありなのですね！このたびも御案内のほど、よろしくお願い申し上げます。			あなた様は、訪れたことがおありなのですね！このたびも御案内のほど、よろしくお願い申し上げます。			幻の霊薬							
こちらが碧のタマミズですね。でも……どなたに、霊薬のことを伺えばよろしいのでしょう？			こちらが碧のタマミズですね。でも……どなたに、霊薬のことを伺えばよろしいのでしょう？			幻の霊薬							
何と答える？			何と答える？			幻の霊薬							
とりあえず、知り合いに			とりあえず、知り合いに			幻の霊薬							
むかし会った行商に			むかし会った行商に			幻の霊薬							
そうですね、まずは知っている方を探して、その方にご相談すればいいのですよね……！			そうですね、まずは知っている方を探して、その方にご相談すればいいのですよね……！			幻の霊薬							
と、申しましても、知り合いと呼べるほどの相手は……。子どものころ、御伽草子をいただいた行商の方が、ここにいらっしゃるとよいのですが。			と、申しましても、知り合いと呼べるほどの相手は……。子どものころ、御伽草子をいただいた行商の方が、ここにいらっしゃるとよいのですが。			幻の霊薬							
例の御伽草子を贈ってくれた、行商の方ですね？ここにいらっしゃるとよいのですが。			例の御伽草子を贈ってくれた、行商の方ですね？ここにいらっしゃるとよいのですが。			幻の霊薬							
たしかお名前は、インバン様とおっしゃいましたかしら……。御一緒に、探していただけますか？			たしかお名前は、インバン様とおっしゃいましたかしら……。御一緒に、探していただけますか？			幻の霊薬							
これはこれは、珍しい客人じゃのぉ～。ワシに御用ですかなぁ～？			これはこれは、珍しい客人じゃのぉ～。ワシに御用ですかなぁ～？			幻の霊薬							
お会いしたのは、何年も前ですけれど……行商のインバン様は、たしかにこちらの方です！			お会いしたのは、何年も前ですけれど……行商のインバン様は、たしかにこちらの方です！			幻の霊薬							
はてぇ～？こちらのアウラ・スイの女性(にょしょう)は、どちら様じゃったかのぉ～？			はてぇ～？こちらのアウラ・スイの女性(にょしょう)は、どちら様じゃったかのぉ～？			幻の霊薬							
何と答える？			何と答える？			幻の霊薬							
クレナイの名に聞き覚えは？			クレナイの名に聞き覚えは？			幻の霊薬							
いちど会ったはずでは？			いちど会ったはずでは？			幻の霊薬							
おぉ～……覚えとる覚えとる！紫水宮に行商に行ったときの、あの小さな子どもかぁ～！ヒトはすぐに姿が変わるからのぉ～、わからんかったわぁ～。			おぉ～……覚えとる覚えとる！紫水宮に行商に行ったときの、あの小さな子どもかぁ～！ヒトはすぐに姿が変わるからのぉ～、わからんかったわぁ～。			幻の霊薬							
ん……言われてみると、どっかで見たようなぁ～？			ん……言われてみると、どっかで見たようなぁ～？			幻の霊薬							
おぉ～、むかし紫水宮に行商に行ったとき会った、あの小さな子どもかぁ～！ヒトはすぐに姿が変わるからのぉ～、わからんかったわぁ～。			おぉ～、むかし紫水宮に行商に行ったとき会った、あの小さな子どもかぁ～！ヒトはすぐに姿が変わるからのぉ～、わからんかったわぁ～。			幻の霊薬							
おひさしぶりです……インバン様。実は、あのとき贈っていただいた、御伽草子のことで、お聞きしたいことがあるのです。			おひさしぶりです……インバン様。実は、あのとき贈っていただいた、御伽草子のことで、お聞きしたいことがあるのです。			幻の霊薬							
おぉ～、何でも聞くがえぇ～！			おぉ～、何でも聞くがえぇ～！			幻の霊薬							
ほぉ～、この娘さんの幼なじみを目覚めさせるためにのぉ～。お前さんたち、殊勝な心持ちじゃなぁ～！			ほぉ～、この娘さんの幼なじみを目覚めさせるためにのぉ～。お前さんたち、殊勝な心持ちじゃなぁ～！			幻の霊薬							
ワシは古い本を集めるのが趣味なんじゃが……あの「目覚めの霊薬」は、ワシらの御先祖様が、実際に作っておった薬だと、何かに書いてあったのぉ～。			ワシは古い本を集めるのが趣味なんじゃが……あの「目覚めの霊薬」は、ワシらの御先祖様が、実際に作っておった薬だと、何かに書いてあったのぉ～。			幻の霊薬							
本当でございますか！では、その作り方も伝わっているのでしょうか？			本当でございますか！では、その作り方も伝わっているのでしょうか？			幻の霊薬							
うむ、作り方ならワシの蔵書でわかるんじゃが……残念ながら……いまはもう、作れぬ薬なのじゃよぉ～。			うむ、作り方ならワシの蔵書でわかるんじゃが……残念ながら……いまはもう、作れぬ薬なのじゃよぉ～。			幻の霊薬							
えっ……なぜでございます！？			えっ……なぜでございます！？			幻の霊薬							
霊薬を作るには、魔力をたっぷり溜め込んだ、「トノサマユメミ」という幻の大貝の殻が必要なんじゃぁ～。100年以上生きた、大物のユメミガイをそう呼ぶんじゃがのぉ～。			霊薬を作るには、魔力をたっぷり溜め込んだ、「トノサマユメミ」という幻の大貝の殻が必要なんじゃぁ～。100年以上生きた、大物のユメミガイをそう呼ぶんじゃがのぉ～。			幻の霊薬							
そんな大物は、もう何十年も、誰も見ておらんのじゃよぉ～。さりとて、次の大物が育つまで、100年待つわけにもいかんしのぉ～……。			そんな大物は、もう何十年も、誰も見ておらんのじゃよぉ～。さりとて、次の大物が育つまで、100年待つわけにもいかんしのぉ～……。			幻の霊薬							
そんな…………！			そんな…………！			幻の霊薬							
クレナイに何と言う？			クレナイに何と言う？			幻の霊薬							
あきらめるな			あきらめるな			幻の霊薬							
探してみよう			探してみよう			幻の霊薬							
そうですね……簡単にあきらめてはいけませんね！あなた様が、せっかく紫水宮を取り戻してくださったのに、私がここで立ち止まっては、いけません……！			そうですね……簡単にあきらめてはいけませんね！あなた様が、せっかく紫水宮を取り戻してくださったのに、私がここで立ち止まっては、いけません……！			幻の霊薬							
そうですね……！どこかに隠れてるだけで、まだ見つかるかもしれませんから！ヒスイのためにも、ここであきらめてはいけませんよね。			そうですね……！どこかに隠れてるだけで、まだ見つかるかもしれませんから！ヒスイのためにも、ここであきらめてはいけませんよね。			幻の霊薬							
ふむ…………幻の大貝を探してみるというのかぁ～。たしかに、ワシらが知らんだけで、どこかに大物が生き残っておらんともかぎらんしのぉ～。			ふむ…………幻の大貝を探してみるというのかぁ～。たしかに、ワシらが知らんだけで、どこかに大物が生き残っておらんともかぎらんしのぉ～。			幻の霊薬							
むかしは「カガミの仙窟」で、たくさん狩れたかのぉ～？美味そうなコンブを撒き餌にして、おびき寄せたもんじゃぁ～。			むかしは「カガミの仙窟」で、たくさん狩れたかのぉ～？美味そうなコンブを撒き餌にして、おびき寄せたもんじゃぁ～。			幻の霊薬							
コンブが好物なのですね。それでしたら、私もたくさん集められると思います……！			コンブが好物なのですね。それでしたら、私もたくさん集められると思います……！			幻の霊薬							
うむ、それを持って「カガミの仙窟」へ行ってみるとえぇ～。			うむ、それを持って「カガミの仙窟」へ行ってみるとえぇ～。			幻の霊薬							
そっちのお前さんは、腕が立ちそうじゃ～。幻の「トノサマユメミ」が這い出てきたら、倒して、殻を頂戴してやってくれんかのぉ～？			そっちのお前さんは、腕が立ちそうじゃ～。幻の「トノサマユメミ」が這い出てきたら、倒して、殻を頂戴してやってくれんかのぉ～？			幻の霊薬							
お願いしても、よろしいでしょうか……。私は、撒き餌のコンブを集めて、「カガミの仙窟」でお待ちしております……！			お願いしても、よろしいでしょうか……。私は、撒き餌のコンブを集めて、「カガミの仙窟」でお待ちしております……！			幻の霊薬							
「カガミの仙窟」で、娘さんと落ちあうがええ。「トノサマユメミ」がまだおると、ええんじゃがのぉ～。			「カガミの仙窟」で、娘さんと落ちあうがええ。「トノサマユメミ」がまだおると、ええんじゃがのぉ～。			幻の霊薬							
美味しそうなコンブを、たくさん集めてきました……！インバン様がおっしゃっていた場所は、この奥です。こちらを撒き餌として、お使いください。			美味しそうなコンブを、たくさん集めてきました……！インバン様がおっしゃっていた場所は、この奥です。こちらを撒き餌として、お使いください。			幻の霊薬							
「トノサマユメミ」はその長寿ゆえ、ほかの貝とは比べものにならないほど、魔力を溜め込んでいるとか。好物につられて、出てくるとよいのですけれど……。			「トノサマユメミ」はその長寿ゆえ、ほかの貝とは比べものにならないほど、魔力を溜め込んでいるとか。好物につられて、出てくるとよいのですけれど……。			幻の霊薬							
「トノサマユメミ」はその長寿ゆえ、ほかの貝とは比べものにならないほど、魔力を溜め込んでいるとか。好物につられて、出てくるとよいのですけれど……。			「トノサマユメミ」はその長寿ゆえ、ほかの貝とは比べものにならないほど、魔力を溜め込んでいるとか。好物につられて、出てくるとよいのですけれど……。			幻の霊薬							
様子を見にきたんじゃが……どうじゃったかのぉ～？好物に引き寄せられて、出てきたヤツはおったかのぉ～……。			様子を見にきたんじゃが……どうじゃったかのぉ～？好物に引き寄せられて、出てきたヤツはおったかのぉ～……。			幻の霊薬							
紅玉海から姿を消した、幻の大貝をおびき出し、倒したとおっしゃるのですか……。思いのほか、大変なお願いをしてしまったようですね……。			紅玉海から姿を消した、幻の大貝をおびき出し、倒したとおっしゃるのですか……。思いのほか、大変なお願いをしてしまったようですね……。			幻の霊薬							
インバン様が心配して、様子を見にきてくださいました。「トノサマユメミの殻」さえ手に入れば、ヒスイを目覚めさせる霊薬を、作っていただけるのですけど……。			インバン様が心配して、様子を見にきてくださいました。「トノサマユメミの殻」さえ手に入れば、ヒスイを目覚めさせる霊薬を、作っていただけるのですけど……。			幻の霊薬							
これが、「トノサマユメミの殻」……！？まだ、生き残っていたのですね！			これが、「トノサマユメミの殻」……！？まだ、生き残っていたのですね！			幻の霊薬							
おぉ～、そこらのユメミガイとは、比べものにならんほど、霊験あらたかな貝殻じゃぁ～！まさか、幻のトノサマユメミを見つけるとはのぉ～！			おぉ～、そこらのユメミガイとは、比べものにならんほど、霊験あらたかな貝殻じゃぁ～！まさか、幻のトノサマユメミを見つけるとはのぉ～！			幻の霊薬							
……むかし、ワシらが狩りまくったもんじゃから、もっと深い穴へ移り住んでおったのかもしれんのぉ～。娘さんたちには、すまんことをしたのぉ～。			……むかし、ワシらが狩りまくったもんじゃから、もっと深い穴へ移り住んでおったのかもしれんのぉ～。娘さんたちには、すまんことをしたのぉ～。			幻の霊薬							
せめてもの罪滅ぼしじゃ、ワシにそいつを預けてもらえるかのぉ～？目覚めの霊薬を作って、スイの里へ届けてやろう。ちょいと時間をもらうが、なに、効果はてきめんじゃろうてぇ～。			せめてもの罪滅ぼしじゃ、ワシにそいつを預けてもらえるかのぉ～？目覚めの霊薬を作って、スイの里へ届けてやろう。ちょいと時間をもらうが、なに、効果はてきめんじゃろうてぇ～。			幻の霊薬							
いよいよ、ヒスイを目覚めさせることができるのですね。どうか、よろしくお願いいたします……！			いよいよ、ヒスイを目覚めさせることができるのですね。どうか、よろしくお願いいたします……！			幻の霊薬							
あなた様には、何と御礼を申せばよいのでしょうか……。それでは「スイの里」へ戻り、吉報を待つと致しましょう……！			あなた様には、何と御礼を申せばよいのでしょうか……。それでは「スイの里」へ戻り、吉報を待つと致しましょう……！			幻の霊薬							
……目覚めの霊薬のことは、シオサイにも伝えました。幻の大貝を見つけ、倒したあなた様のお力に、たいへん感銘を受けておりました。			……目覚めの霊薬のことは、シオサイにも伝えました。幻の大貝を見つけ、倒したあなた様のお力に、たいへん感銘を受けておりました。			幻の霊薬							
おかげさまで、あとはインバン様が、薬を届けてくださるのを、待つのみ……。効きめは折り紙つきとのことですから、期待して待ちましょう。			おかげさまで、あとはインバン様が、薬を届けてくださるのを、待つのみ……。効きめは折り紙つきとのことですから、期待して待ちましょう。			幻の霊薬							
そして……ただの御案内にとどまらず、思いのほか大変な旅になってしまったこと、お詫び申し上げます。			そして……ただの御案内にとどまらず、思いのほか大変な旅になってしまったこと、お詫び申し上げます。			幻の霊薬							
……思い返せば、あなた様との出会いが、まさに潮の変わり目でした。私も宮殿の外に、いろいろな方が暮らしていることを知りました。			……思い返せば、あなた様との出会いが、まさに潮の変わり目でした。私も宮殿の外に、いろいろな方が暮らしていることを知りました。			幻の霊薬							
いずれ私は紫水宮に戻り、「紅玉姫」として生きねばなりませんが、あなた様との旅の思い出を胸に、心穏やかに暮らしてゆけましょう。			いずれ私は紫水宮に戻り、「紅玉姫」として生きねばなりませんが、あなた様との旅の思い出を胸に、心穏やかに暮らしてゆけましょう。			幻の霊薬							
私が里におりますのは、ヒスイが眠りから覚めるまで。残るは短い間ですが……もう少しだけ、おつきあいくださいまし。			私が里におりますのは、ヒスイが眠りから覚めるまで。残るは短い間ですが……もう少しだけ、おつきあいくださいまし。			幻の霊薬							
スイの里のクレナイは、冒険者の旅支度が整うのを待っているようだ。			スイの里のクレナイは、冒険者の旅支度が整うのを待っているようだ。			御伽草子の島							
まずは御伽草子の内容を確かめるために、オノコロ島をめざすことになった。紅玉海の筋違砦にいる「クレナイ」と話そう。			まずは御伽草子の内容を確かめるために、オノコロ島をめざすことになった。紅玉海の筋違砦にいる「クレナイ」と話そう。			御伽草子の島							
冒険者の顔を見た海賊は素早く態度を変え、年に一度訪れるという老人のことを教えてくれた。紅玉海の早逃桟橋にいる「海を見る老漁師」と話そう。			冒険者の顔を見た海賊は素早く態度を変え、年に一度訪れるという老人のことを教えてくれた。紅玉海の早逃桟橋にいる「海を見る老漁師」と話そう。			御伽草子の島							
老漁師と話し、断片的だった御伽草子の内容が判明した。スイの里へ戻り、「クレナイ」と話そう。			老漁師と話し、断片的だった御伽草子の内容が判明した。スイの里へ戻り、「クレナイ」と話そう。			御伽草子の島							
クレナイと話した。御伽草子は現実と符合する点が多く、実話がもとになっている可能性が出てきた。次はヒスイを目覚めさせる霊薬を求めて、碧のタマミズへ向かう準備をしよう。			クレナイと話した。御伽草子は現実と符合する点が多く、実話がもとになっている可能性が出てきた。次はヒスイを目覚めさせる霊薬を求めて、碧のタマミズへ向かう準備をしよう。			御伽草子の島							
クレナイと話す			クレナイと話す			御伽草子の島							
海を見る老漁師と話す			海を見る老漁師と話す			御伽草子の島							
クレナイと話す			クレナイと話す			御伽草子の島							
おそらく……ヒスイはもう二度と、目を覚まさないでしょう。身体は健在でも、消えた魂が戻ることはありませぬゆえ。されど姫様は、手を尽くすまで、その事実を受け入れぬはず。			おそらく……ヒスイはもう二度と、目を覚まさないでしょう。身体は健在でも、消えた魂が戻ることはありませぬゆえ。されど姫様は、手を尽くすまで、その事実を受け入れぬはず。			御伽草子の島							
姫様が過酷な現実を悟り、再び明日への歩みを始められるまで、しばし、貴方におつきあいいただきたいのです。……重ねて、お頼み申し上げます。			姫様が過酷な現実を悟り、再び明日への歩みを始められるまで、しばし、貴方におつきあいいただきたいのです。……重ねて、お頼み申し上げます。			御伽草子の島							
旅の支度は、終わりましたか？さっそくですが、まずは「オノコロ島」に向かいたいと存じます。……ある御伽草子(おとぎぞうし)の内容を確かめたいのです。			旅の支度は、終わりましたか？さっそくですが、まずは「オノコロ島」に向かいたいと存じます。……ある御伽草子(おとぎぞうし)の内容を確かめたいのです。			御伽草子の島							
外との交流はほとんどない、私どもですが……稀に、碧甲羅の方々が里を訪れることがございます。			外との交流はほとんどない、私どもですが……稀に、碧甲羅の方々が里を訪れることがございます。			御伽草子の島							
その御伽草子は、彼らから、子どものころにいただいた1冊。クガネで書かれたという古い本で、紅玉海の漁師をめぐる、御伽噺でありました。			その御伽草子は、彼らから、子どものころにいただいた1冊。クガネで書かれたという古い本で、紅玉海の漁師をめぐる、御伽噺でありました。			御伽草子の島							
