剣術士ギルドのルルツが、冒険者に耳寄りな情報を教えたいようだ。			剣術士ギルドのルルツが、冒険者に耳寄りな情報を教えたいようだ。			自由騎士の誓約							
「ナイト」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			「ナイト」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			蘇る古の武器（コルタナ）							
はやいとこ、ヤカンを完成させて、しこたまエールを飲……な、なンだ、テメェは！			はやいとこ、ヤカンを完成させて、しこたまエールを飲……な、なンだ、テメェは！			蘇る古の武器（コルタナ）							
もう、何をすべきか忘れちまったンか？いいか、もう一度だけ説明してやる。			もう、何をすべきか忘れちまったンか？いいか、もう一度だけ説明してやる。			蘇る古の武器（コルタナ）							
ドルムキマイラを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			ドルムキマイラを始末して「アルミナ研粒」を持ってこい。そうすりゃ、細部の仕上げに入ることができるからよ。			蘇る古の武器（コルタナ）							
クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			クルザス中央高地「聖ダナフェンの落涙」の指定地点で、コンテンツ「ドルムキマイラ討伐戦」を開放できるようになりました。			蘇る古の武器（コルタナ）							
「ナイト」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			「ナイト」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			蘇る古の武器（コルタナ）							
……チッ、まぁ～だ生きていやがったンか……。ドルムキマイラも案外ふがいねぇ……いや、なンでもねぇよ。こっちの話だ。			……チッ、まぁ～だ生きていやがったンか……。ドルムキマイラも案外ふがいねぇ……いや、なンでもねぇよ。こっちの話だ。			蘇る古の武器（コルタナ）							
ともかく「アルミナ研粒」、確かに受け取ったぞ。ちょいと待ってろ、復元作業を進めるからよ……。			ともかく「アルミナ研粒」、確かに受け取ったぞ。ちょいと待ってろ、復元作業を進めるからよ……。			蘇る古の武器（コルタナ）							
ふぅ……。細部に手を入れたからそれなりの見た目には、なってきたぞ。			ふぅ……。細部に手を入れたからそれなりの見た目には、なってきたぞ。			蘇る古の武器（コルタナ）							
だが、何かが足りねぇ……。今度ばかりは、さすがのオレにも何が足りねぇのかがわからン。			だが、何かが足りねぇ……。今度ばかりは、さすがのオレにも何が足りねぇのかがわからン。			蘇る古の武器（コルタナ）							
もっと、この「古の武器」に関する情報があれば……そう、情報が足りねぇンだ！			もっと、この「古の武器」に関する情報があれば……そう、情報が足りねぇンだ！			蘇る古の武器（コルタナ）							
過去に「古の武器」を使っていた英雄たちについて、ヤツらの活躍を描いた逸話や伝承、詩歌を集めてこい。その中に、何かヒントになることが書かれているかもしれン！			過去に「古の武器」を使っていた英雄たちについて、ヤツらの活躍を描いた逸話や伝承、詩歌を集めてこい。その中に、何かヒントになることが書かれているかもしれン！			蘇る古の武器（コルタナ）							
誰に聞けばいいのか、だと？古い写本でも持ってねぇか、ロウェナにでも聞いてみるンだな。あのアバズレは、古い品物にめっぽう詳しいからよ。			誰に聞けばいいのか、だと？古い写本でも持ってねぇか、ロウェナにでも聞いてみるンだな。あのアバズレは、古い品物にめっぽう詳しいからよ。			蘇る古の武器（コルタナ）							
ん、調子はどう？ゲロルトには、ウンザリさせられているって表情ね。ところで、あたしに御用？			ん、調子はどう？ゲロルトには、ウンザリさせられているって表情ね。ところで、あたしに御用？			蘇る古の武器（コルタナ）							
……「古の武器」の復元のために、英雄たちについての逸話を記した写本を……ね。			……「古の武器」の復元のために、英雄たちについての逸話を記した写本を……ね。			蘇る古の武器（コルタナ）							
確かに、あたしのツテを使えば、そうした古い写本や書物を手に入れることは、さほど難しくはないはず。			確かに、あたしのツテを使えば、そうした古い写本や書物を手に入れることは、さほど難しくはないはず。			蘇る古の武器（コルタナ）							
でも、あたしは商人なの。タダで取り寄せるなんて願い下げ。ここは冒険者と商人らしく、取引といきましょう。			でも、あたしは商人なの。タダで取り寄せるなんて願い下げ。ここは冒険者と商人らしく、取引といきましょう。			蘇る古の武器（コルタナ）							
あたしは「銀冑団の三騎士」を題材にした写本を探す。あんたは、あたしが欲しいものを手に入れる。			あたしは「銀冑団の三騎士」を題材にした写本を探す。あんたは、あたしが欲しいものを手に入れる。			蘇る古の武器（コルタナ）							
つまり「アムダプールの石板」よ。黒衣森南部森林の「古城アムダプール」っていう第五星暦時代の遺跡を踏破すれば見つかるはずよ。			つまり「アムダプールの石板」よ。黒衣森南部森林の「古城アムダプール」っていう第五星暦時代の遺跡を踏破すれば見つかるはずよ。			蘇る古の武器（コルタナ）							
さぁ、公正な取引を成立させるためにも、お互い必要なものを手に入れてこようじゃないか。			さぁ、公正な取引を成立させるためにも、お互い必要なものを手に入れてこようじゃないか。			蘇る古の武器（コルタナ）							
確かに、集めてくれたようだね。こっちも約束を守るとしよう。さぁ、交換だよ。			確かに、集めてくれたようだね。こっちも約束を守るとしよう。さぁ、交換だよ。			蘇る古の武器（コルタナ）							
チッ、もう戻ったのか……おぅおぅ、ごくろうさンでしたっと。			チッ、もう戻ったのか……おぅおぅ、ごくろうさンでしたっと。			蘇る古の武器（コルタナ）							
確かに「銀冑団の三騎士」について記された写本みてぇだな。しっかし、読みにくい代物だなぁ、オイ。			確かに「銀冑団の三騎士」について記された写本みてぇだな。しっかし、読みにくい代物だなぁ、オイ。			蘇る古の武器（コルタナ）							
そうだ。オレが休ン……じゃねぇ、写本を読み込ンでる間に、テメェは、この「未完のコルタナ」を試してこい！			そうだ。オレが休ン……じゃねぇ、写本を読み込ンでる間に、テメェは、この「未完のコルタナ」を試してこい！			蘇る古の武器（コルタナ）							
カタチだけは、それなりに仕上がってるから、そこそこ使える武器にはなってるハズだ。			カタチだけは、それなりに仕上がってるから、そこそこ使える武器にはなってるハズだ。			蘇る古の武器（コルタナ）							
ナイトならではの視点ってやつで、この武器に何が足りてねぇのかを調べてくれ。			ナイトならではの視点ってやつで、この武器に何が足りてねぇのかを調べてくれ。			蘇る古の武器（コルタナ）							
写本から得られる知識と、テメェが体感して得た感覚。これを合わせることで、答えを探すンだ。			写本から得られる知識と、テメェが体感して得た感覚。これを合わせることで、答えを探すンだ。			蘇る古の武器（コルタナ）							
よし、かつての「三騎士」の様に、「未完のコルタナ」を装備して、強敵と戦ってこい。			よし、かつての「三騎士」の様に、「未完のコルタナ」を装備して、強敵と戦ってこい。			蘇る古の武器（コルタナ）							
……そうだな、南ザナラーンの「ザハラク戦陣」にいるザハラク・ランサー、ザハラク・ピュージャリスト、ザハラク・サーマタージを各8体なで斬りにして来るンだ！			……そうだな、南ザナラーンの「ザハラク戦陣」にいるザハラク・ランサー、ザハラク・ピュージャリスト、ザハラク・サーマタージを各8体なで斬りにして来るンだ！			蘇る古の武器（コルタナ）							
よし、かつての「三騎士」の様に、「未完のコルタナ」を装備して、強敵と戦ってこい。			よし、かつての「三騎士」の様に、「未完のコルタナ」を装備して、強敵と戦ってこい。			蘇る古の武器（コルタナ）							
……そうだな、南ザナラーンの「ザハラク戦陣」にいるザハラク・ランサー、ザハラク・ピュージャリスト、ザハラク・サーマタージを各8体なで斬りにして来るンだ！			……そうだな、南ザナラーンの「ザハラク戦陣」にいるザハラク・ランサー、ザハラク・ピュージャリスト、ザハラク・サーマタージを各8体なで斬りにして来るンだ！			蘇る古の武器（コルタナ）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（コルタナ）							
おう、帰ってきたか。……だが、そのツラからすっと、まだ古の武器に足りねぇモンを掴みきれてねぇようだな？			おう、帰ってきたか。……だが、そのツラからすっと、まだ古の武器に足りねぇモンを掴みきれてねぇようだな？			蘇る古の武器（コルタナ）							
こうなったら、伝説に残るような戦いをするっきゃねぇ。……そうだな「ハラタリ修練所」のヌシ、多頭龍「ハイドラ」を倒してこい。			こうなったら、伝説に残るような戦いをするっきゃねぇ。……そうだな「ハラタリ修練所」のヌシ、多頭龍「ハイドラ」を倒してこい。			蘇る古の武器（コルタナ）							
東ザナラーン「ハラタリ修練所」前の指定地点で、コンテンツ「ハイドラ討伐戦」を開放できるようになりました。			東ザナラーン「ハラタリ修練所」前の指定地点で、コンテンツ「ハイドラ討伐戦」を開放できるようになりました。			蘇る古の武器（コルタナ）							
「未完のコルタナ」を装備して「ハイドラ討伐戦」に挑み、ハイドラを倒しましょう！			「未完のコルタナ」を装備して「ハイドラ討伐戦」に挑み、ハイドラを倒しましょう！			蘇る古の武器（コルタナ）							
棲み着いていた魔獣も、あらかた掃討できたんですが、「ハイドラ」という大物だけが残っていて……。ええ！？　奴に挑むつもりですか？			棲み着いていた魔獣も、あらかた掃討できたんですが、「ハイドラ」という大物だけが残っていて……。ええ！？　奴に挑むつもりですか？			蘇る古の武器（コルタナ）							
修練所のヌシ「ハイドラ」は、恐怖をまき散らす、恐るべき存在。命の保証はできませんよ、それでも行くのです！？			修練所のヌシ「ハイドラ」は、恐怖をまき散らす、恐るべき存在。命の保証はできませんよ、それでも行くのです！？			蘇る古の武器（コルタナ）							
ハイドラとの戦いは、「未完のコルタナ」を装備している状態でのみ挑むことができます。			ハイドラとの戦いは、「未完のコルタナ」を装備している状態でのみ挑むことができます。			蘇る古の武器（コルタナ）							
あぁン？　写本はどうしたのか、だと？細けぇ文字を見てると、頭痛くなるンでな！……ヤカン作って、気分転換してるンだよ！			あぁン？　写本はどうしたのか、だと？細けぇ文字を見てると、頭痛くなるンでな！……ヤカン作って、気分転換してるンだよ！			蘇る古の武器（コルタナ）							
ガミガミガミガミ、テメェはオレの母ちゃんか？			ガミガミガミガミ、テメェはオレの母ちゃんか？			蘇る古の武器（コルタナ）							
テメェも、こんなところでグダグダしてねぇでさっさと「未完のコルタナ」を試して、意見を聞かせろってンだ！　チクショウめぇ！			テメェも、こんなところでグダグダしてねぇでさっさと「未完のコルタナ」を試して、意見を聞かせろってンだ！　チクショウめぇ！			蘇る古の武器（コルタナ）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（コルタナ）							
チッ、まだ生きてやがったンか……。ハイドラに喰われれば、良かったのにな？……まぁ、それはともかく、写本の話でもすっか。			チッ、まだ生きてやがったンか……。ハイドラに喰われれば、良かったのにな？……まぁ、それはともかく、写本の話でもすっか。			蘇る古の武器（コルタナ）							
写本の内容はな、割合とよく知られている物語だった。			写本の内容はな、割合とよく知られている物語だった。			蘇る古の武器（コルタナ）							
若きトリストラム卿とササガン王との出会いに始まり……騎士への叙任、「銀冑団」の結成、アマルジャ族闘士との決闘、そして聖杯探求の旅へ……ってなもンよ。			若きトリストラム卿とササガン王との出会いに始まり……騎士への叙任、「銀冑団」の結成、アマルジャ族闘士との決闘、そして聖杯探求の旅へ……ってなもンよ。			蘇る古の武器（コルタナ）							
史実とおとぎ話がごちゃまぜになっちゃいるが、名剣「コルタナ」については、詳しい記述があったぞ。			史実とおとぎ話がごちゃまぜになっちゃいるが、名剣「コルタナ」については、詳しい記述があったぞ。			蘇る古の武器（コルタナ）							
なんでも、鍔に4つのクリスタルを、柄には、聖人の遺骨を入れていたンだそうな。			なんでも、鍔に4つのクリスタルを、柄には、聖人の遺骨を入れていたンだそうな。			蘇る古の武器（コルタナ）							
霊験あらたかな品を仕込み、その加護を受けよう……ってな古い風習だな。			霊験あらたかな品を仕込み、その加護を受けよう……ってな古い風習だな。			蘇る古の武器（コルタナ）							
柄は損傷が激しかったから、原型に手を加えただけにしておいたンだが……どうやらそれが、マズかったらしい。			柄は損傷が激しかったから、原型に手を加えただけにしておいたンだが……どうやらそれが、マズかったらしい。			蘇る古の武器（コルタナ）							
そんなわけで、オレの方は収穫があった。テメェの方は、どうなんだ？　しっかり使い込ンだンだろうな？「体感して得た感覚」ってもンを、説明してもらおうか！			そんなわけで、オレの方は収穫があった。テメェの方は、どうなんだ？　しっかり使い込ンだンだろうな？「体感して得た感覚」ってもンを、説明してもらおうか！			蘇る古の武器（コルタナ）							
なるほど……言いてぇことはわかった。確かに、テメェが指摘することにも一理はある。			なるほど……言いてぇことはわかった。確かに、テメェが指摘することにも一理はある。			蘇る古の武器（コルタナ）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（コルタナ）							
よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			蘇る古の武器（コルタナ）							
ふぅ……これで、ちったぁマシになったろう。あとは、最後の焼き入れを残すのみだ……。			ふぅ……これで、ちったぁマシになったろう。あとは、最後の焼き入れを残すのみだ……。			蘇る古の武器（コルタナ）							
「古の武器」と原型の武器、ふたつの武器と使い手の魂を最後の焼き入れによって、完全に融合させる！往年の姿を復元するンだ！			「古の武器」と原型の武器、ふたつの武器と使い手の魂を最後の焼き入れによって、完全に融合させる！往年の姿を復元するンだ！			蘇る古の武器（コルタナ）							
そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			蘇る古の武器（コルタナ）							
焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			蘇る古の武器（コルタナ）							
「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			蘇る古の武器（コルタナ）							
なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（コルタナ）							
そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			蘇る古の武器（コルタナ）							
焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			蘇る古の武器（コルタナ）							
「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			蘇る古の武器（コルタナ）							
なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（コルタナ）							
ヘ、ヘヘヘッ……本当に蛮神との戦いから、生きて戻ってくるとはよ……。し、心配し……いや、なんだ。……テメェも、やるじゃねぇか。			ヘ、ヘヘヘッ……本当に蛮神との戦いから、生きて戻ってくるとはよ……。し、心配し……いや、なんだ。……テメェも、やるじゃねぇか。			蘇る古の武器（コルタナ）							
よし、まずは「イフリートの炎」、「ガルーダの風」、「タイタンの黄土」を渡してくれ。炉の準備をするからよ……。			よし、まずは「イフリートの炎」、「ガルーダの風」、「タイタンの黄土」を渡してくれ。炉の準備をするからよ……。			蘇る古の武器（コルタナ）							
へへ……こいつがあれば炉は問題ねぇ。お次は、冷却用の「ラザハン焼入油」だ。ちゃんと用意してきたンだろうな？			へへ……こいつがあれば炉は問題ねぇ。お次は、冷却用の「ラザハン焼入油」だ。ちゃんと用意してきたンだろうな？			蘇る古の武器（コルタナ）							
「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（コルタナ）							
ヘ、ヘヘヘッ……これで全ての準備が整ったぜ。			ヘ、ヘヘヘッ……これで全ての準備が整ったぜ。			蘇る古の武器（コルタナ）							
テメェが神狩りを成したのなら、オレも武具職人として、神業を見せねぇわけにはいかねぇな。			テメェが神狩りを成したのなら、オレも武具職人として、神業を見せねぇわけにはいかねぇな。			蘇る古の武器（コルタナ）							
はぁ、はぁ、はぁ……つ、ついにできたぞ……それが「コルタナ」だッ！！！大切にしろよなッ！！！			はぁ、はぁ、はぁ……つ、ついにできたぞ……それが「コルタナ」だッ！！！大切にしろよなッ！！！			蘇る古の武器（コルタナ）							
この先、クエストを進行させるには、「邪教排撃 古城アムダプール」の攻略が必要になります。			この先、クエストを進行させるには、「邪教排撃 古城アムダプール」の攻略が必要になります。			蘇る古の武器（コルタナ）							
なお、「邪教排撃 古城アムダプール」をコンテンツファインダーに登録するためには、特定のクエストをコンプリートする必要があります。			なお、「邪教排撃 古城アムダプール」をコンテンツファインダーに登録するためには、特定のクエストをコンプリートする必要があります。			蘇る古の武器（コルタナ）							
この先、クエストを進行させるには、「真イフリート討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真イフリート討滅戦」の攻略が必要になります。			蘇る古の武器（コルタナ）							
なお、「真イフリート討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真イフリート討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（コルタナ）							
この先、クエストを進行させるには、「真ガルーダ討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真ガルーダ討滅戦」の攻略が必要になります。			蘇る古の武器（コルタナ）							
なお、「真ガルーダ討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真ガルーダ討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（コルタナ）							
この先、クエストを進行させるには、「真タイタン討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真タイタン討滅戦」の攻略が必要になります。			蘇る古の武器（コルタナ）							
なお、「真タイタン討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真タイタン討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（コルタナ）							
貧乏臭ぇ冒険者が、なンの用だ？　あぁン？こちとらテメェになんざ、用はねぇンだよ！			貧乏臭ぇ冒険者が、なンの用だ？　あぁン？こちとらテメェになんざ、用はねぇンだよ！			蘇る古の武器（コルタナ）							
クエスト「蘇る古の武器」を同時に複数、受注することはできません。別の武器を入手したい場合は、該当クエストをコンプリートするか、破棄する必要があります。			クエスト「蘇る古の武器」を同時に複数、受注することはできません。別の武器を入手したい場合は、該当クエストをコンプリートするか、破棄する必要があります。			蘇る古の武器（コルタナ）							
ドルムキマイラを倒せ！			ドルムキマイラを倒せ！			蘇る古の武器（コルタナ）							
ハイドラを倒せ！			ハイドラを倒せ！			蘇る古の武器（コルタナ）							
ウルダハ王政庁のジェンリンスは、自由騎士たる冒険者に頼みがあるようだ。			ウルダハ王政庁のジェンリンスは、自由騎士たる冒険者に頼みがあるようだ。			聖剣を追って							
前回までの冒険録：自由騎士となる試練の最中、冒険者は銀冑団の前総長ソルクザギルと出会う。彼は「聖剣」を強奪したという汚名を被りながらも、砂蠍衆の共和派に抵抗していた。その事実を知った現総長ジェンリンスは、冒険者とソルクザギルと結託し、共和派の刺客「見えざる毒尾」を討伐したのだった。　　　　　　　　　　　　*　*　*ジェンリンスから、キャンプ・ブルーフォグで行われている訓練の激励を頼まれた。北ザナラーンのキャンプ・ブルーフォグにいる「オワイン」と話そう。			前回までの冒険録：自由騎士となる試練の最中、冒険者は銀冑団の前総長ソルクザギルと出会う。彼は「聖剣」を強奪したという汚名を被りながらも、砂蠍衆の共和派に抵抗していた。その事実を知った現総長ジェンリンスは、冒険者とソルクザギルと結託し、共和派の刺客「見えざる毒尾」を討伐したのだった。　　　　　　　　　　　　*　*　*ジェンリンスから、キャンプ・ブルーフォグで行われている訓練の激励を頼まれた。北ザナラーンのキャンプ・ブルーフォグにいる「オワイン」と話そう。			聖剣を追って							
オワインと話し、訓練を受けている新人たちに戦いの手本を見せることになった。北ザナラーンの東方監視塔付近にいる「オワイン」と話そう。			オワインと話し、訓練を受けている新人たちに戦いの手本を見せることになった。北ザナラーンの東方監視塔付近にいる「オワイン」と話そう。			聖剣を追って							
オワインと話した。東方監視塔付近の「指定地点」で待機して、現れた「フォグ・バジリスク」を討伐しよう。			オワインと話した。東方監視塔付近の「指定地点」で待機して、現れた「フォグ・バジリスク」を討伐しよう。			聖剣を追って							
現れた魔物を討伐した。東方監視塔付近の「オワイン」と話そう。			現れた魔物を討伐した。東方監視塔付近の「オワイン」と話そう。			聖剣を追って							
オワインと話した。結果をジェンリンスに伝えた方がいいだろう。ウルダハ王政庁の「ジェンリンス」と話そう。			オワインと話した。結果をジェンリンスに伝えた方がいいだろう。ウルダハ王政庁の「ジェンリンス」と話そう。			聖剣を追って							
ジェンリンスと話し終わり、その場を立ち去ろうとすると、パパシャンに呼び止められた。話があるそうだが……。中央ザナラーンのウルダハ操車庫にいる「パパシャン」と話そう。			ジェンリンスと話し終わり、その場を立ち去ろうとすると、パパシャンに呼び止められた。話があるそうだが……。中央ザナラーンのウルダハ操車庫にいる「パパシャン」と話そう。			聖剣を追って							
パパシャンの話は、聖剣オウスキーパーを探す旅に出ていたソルクザギルについてだった。ソルクザギルは、聖剣を発見したとの便りを最後に、消息を絶ったらしい。彼の情報を集めるというパパシャンに、自由騎士として協力していこう。※ナイトのレベルが52以上になると、ウルダハ操車庫のパパシャンから次のナイトクエストを受注することができます。			パパシャンの話は、聖剣オウスキーパーを探す旅に出ていたソルクザギルについてだった。ソルクザギルは、聖剣を発見したとの便りを最後に、消息を絶ったらしい。彼の情報を集めるというパパシャンに、自由騎士として協力していこう。※ナイトのレベルが52以上になると、ウルダハ操車庫のパパシャンから次のナイトクエストを受注することができます。			聖剣を追って							
キャンプ・ブルーフォグのオワインと話す			キャンプ・ブルーフォグのオワインと話す			聖剣を追って							
東方監視塔付近のオワインと話す			東方監視塔付近のオワインと話す			聖剣を追って							
指定地点で待機して現れた魔物を討伐			指定地点で待機して現れた魔物を討伐			聖剣を追って							
オワインと話す			オワインと話す			聖剣を追って							
ウルダハ王政庁のジェンリンスと話す			ウルダハ王政庁のジェンリンスと話す			聖剣を追って							
ウルダハ操車庫のパパシャンと話す			ウルダハ操車庫のパパシャンと話す			聖剣を追って							
Forenameか……。この国の政情が不安定なことは、貴公も知るとおりだ。だが、我々「銀冑団」は、王家を守護するために存在している。			Forenameか……。この国の政情が不安定なことは、貴公も知るとおりだ。だが、我々「銀冑団」は、王家を守護するために存在している。			聖剣を追って							
パパシャン殿を始め、王党派の皆と協力し、いつ何時、女王陛下から号令がかかっても良いよう、準備に万全を尽くすつもりだ。			パパシャン殿を始め、王党派の皆と協力し、いつ何時、女王陛下から号令がかかっても良いよう、準備に万全を尽くすつもりだ。			聖剣を追って							
今こうして「己の聖剣」を持ち、決意を新たにできるのは、貴公が教えてくれたこと……。感謝しているぞ。			今こうして「己の聖剣」を持ち、決意を新たにできるのは、貴公が教えてくれたこと……。感謝しているぞ。			聖剣を追って							
「銀冑団」も、一時は民から不信の目で見られていたが、貴公の活躍もあってか、ここ最近は、志願者も増えていてな。			「銀冑団」も、一時は民から不信の目で見られていたが、貴公の活躍もあってか、ここ最近は、志願者も増えていてな。			聖剣を追って							
彼らは現在、「キャンプ・ブルーフォグ」で訓練を行っている。自由騎士である貴公が顔を見せれば喜ぶだろう。どうか、激励に行ってやってくれないか。			彼らは現在、「キャンプ・ブルーフォグ」で訓練を行っている。自由騎士である貴公が顔を見せれば喜ぶだろう。どうか、激励に行ってやってくれないか。			聖剣を追って							
彼らは現在、「キャンプ・ブルーフォグ」で訓練を行っている。自由騎士である貴公が顔を見せれば喜ぶだろう。どうか、激励に行ってやってくれないか。			彼らは現在、「キャンプ・ブルーフォグ」で訓練を行っている。自由騎士である貴公が顔を見せれば喜ぶだろう。どうか、激励に行ってやってくれないか。			聖剣を追って							
自由騎士Forename殿ですね！私は、オワインといいます。此度は、ご足労いただきありがとうございます。			自由騎士Forename殿ですね！私は、オワインといいます。此度は、ご足労いただきありがとうございます。			聖剣を追って							
おお、貴方は！　あの時は、ありがとうございました！覚えていますか？ウルダハで助けていただいた、オワインです！			おお、貴方は！　あの時は、ありがとうございました！覚えていますか？ウルダハで助けていただいた、オワインです！			聖剣を追って							
ジェンリンス総長から、連絡を受けています。なんでも、新人たちを激励していただけるとか！			ジェンリンス総長から、連絡を受けています。なんでも、新人たちを激励していただけるとか！			聖剣を追って							
現在、彼らは、不滅隊の「東方監視塔」付近で、この地の魔物を相手に、実戦訓練をしているところ。戦いの手本を示していただければ、彼らも喜びましょう！			現在、彼らは、不滅隊の「東方監視塔」付近で、この地の魔物を相手に、実戦訓練をしているところ。戦いの手本を示していただければ、彼らも喜びましょう！			聖剣を追って							
この先に、敵を釣るための罠を仕掛けてあります。ここに居る新人たちに、自由騎士としての戦いっぷりを見せてやってください！			この先に、敵を釣るための罠を仕掛けてあります。ここに居る新人たちに、自由騎士としての戦いっぷりを見せてやってください！			聖剣を追って							
ありがとうございます！さすが自由騎士殿、すばらしい戦いでした。やはり、言葉よりも行動で示すのは説得力が違う！			ありがとうございます！さすが自由騎士殿、すばらしい戦いでした。やはり、言葉よりも行動で示すのは説得力が違う！			聖剣を追って							
ここに居る新人たちは、貴方の話を聞き、憧れているものも多い。此度、貴方の戦いを間近で見れたことで、ウルダハを守るために、さらに奮起することでしょう。			ここに居る新人たちは、貴方の話を聞き、憧れているものも多い。此度、貴方の戦いを間近で見れたことで、ウルダハを守るために、さらに奮起することでしょう。			聖剣を追って							
私たちは負けません。ウルダハがどのような状況になろうとも、守り切ってみせますよ！			私たちは負けません。ウルダハがどのような状況になろうとも、守り切ってみせますよ！			聖剣を追って							
私たちは負けません。ウルダハがどのような状況になろうとも、守り切ってみせますよ！			私たちは負けません。ウルダハがどのような状況になろうとも、守り切ってみせますよ！			聖剣を追って							
おお、戻ったか。オワインから、興奮気味の連絡を受けたところだ。わざわざ、すまなかったな。			おお、戻ったか。オワインから、興奮気味の連絡を受けたところだ。わざわざ、すまなかったな。			聖剣を追って							
貴公は、すでに一人前の自由騎士。これ以上、私から伝えることはない。			貴公は、すでに一人前の自由騎士。これ以上、私から伝えることはない。			聖剣を追って							
このエオルゼアが、ウルダハの様に混乱しないよう、貴公の目で物を見て、自由騎士として戦い続けてほしい。			このエオルゼアが、ウルダハの様に混乱しないよう、貴公の目で物を見て、自由騎士として戦い続けてほしい。			聖剣を追って							
