ドマ冒険者団のヨウザンは、冒険者ともっと遊びたいようだ。			ドマ冒険者団のヨウザンは、冒険者ともっと遊びたいようだ。			容疑者ドマ冒険者団							
まさかオマエが、あの英雄殿だったとはな。だが、決して俺たちを捕まえることはできない。ババラ、ワワトン、リリナ、準備はいいな！			まさかオマエが、あの英雄殿だったとはな。だが、決して俺たちを捕まえることはできない。ババラ、ワワトン、リリナ、準備はいいな！			小さき者たちの大きな夢							
見せてやろう、俺のとっておきの秘技を……！一族に伝わりし、蛮神をも屠るとされる翼獣！我らの祈りに導かれ、天空より舞い降りよ、ヴァルファーレ！！			見せてやろう、俺のとっておきの秘技を……！一族に伝わりし、蛮神をも屠るとされる翼獣！我らの祈りに導かれ、天空より舞い降りよ、ヴァルファーレ！！			小さき者たちの大きな夢							
何か降りてくるのかな？……なかなか現れないね。			何か降りてくるのかな？……なかなか現れないね。			小さき者たちの大きな夢							
あっ……！アイツらいないぞ！！			あっ……！アイツらいないぞ！！			小さき者たちの大きな夢							
……見て、あんなところにいるわ。とっておきの逃げ足ね、たいしたものだわ。			……見て、あんなところにいるわ。とっておきの逃げ足ね、たいしたものだわ。			小さき者たちの大きな夢							
なんだか、おかしなやつらだったな。犯人には逃げられちゃったけど、魔道書は無事取り返せたから、オッケーだよな！			なんだか、おかしなやつらだったな。犯人には逃げられちゃったけど、魔道書は無事取り返せたから、オッケーだよな！			小さき者たちの大きな夢							
あと一歩だ。ねえちゃんにいちゃん、一気に追いつめようぜ！			あと一歩だ。ねえちゃんにいちゃん、一気に追いつめようぜ！			小さき者たちの大きな夢							
おねえさんおにいさんの戦いは、いつ観ても興奮するね！今度は私も一緒に戦いたいなー。			おねえさんおにいさんの戦いは、いつ観ても興奮するね！今度は私も一緒に戦いたいなー。			小さき者たちの大きな夢							
なんだろう……。まだ、これで終わりじゃない気がするよ。			なんだろう……。まだ、これで終わりじゃない気がするよ。			小さき者たちの大きな夢							
……口ほどでもなかったわね。これなら、私たちでもなんとかできたかもね。			……口ほどでもなかったわね。これなら、私たちでもなんとかできたかもね。			小さき者たちの大きな夢							
なんだか、おかしなやつらだったな。犯人には逃げられちゃったけど、魔道書は無事取り返せたから、オッケーだよな！			なんだか、おかしなやつらだったな。犯人には逃げられちゃったけど、魔道書は無事取り返せたから、オッケーだよな！			小さき者たちの大きな夢							
とっても愉快な人たちだったね。今度は、少しおしゃべりしてみたいかも。またどこかで会えるかな？			とっても愉快な人たちだったね。今度は、少しおしゃべりしてみたいかも。またどこかで会えるかな？			小さき者たちの大きな夢							
お姉さんお兄さんの正体がわかって、あの人たち怯えてたよね。偉そうにしてたけど、結構臆病なのかも。			お姉さんお兄さんの正体がわかって、あの人たち怯えてたよね。偉そうにしてたけど、結構臆病なのかも。			小さき者たちの大きな夢							
……あの四人組は、どういう関係なのかしら？			……あの四人組は、どういう関係なのかしら？			小さき者たちの大きな夢							
よし、魔道書も無事に回収完了だ！急いでスラフボーンのところに行こう！			よし、魔道書も無事に回収完了だ！急いでスラフボーンのところに行こう！			小さき者たちの大きな夢							
どうだ、ドマの子どもたちは何か言っていたか？			どうだ、ドマの子どもたちは何か言っていたか？			小さき者たちの大きな夢							
冒険者よ、ご苦労だった。だが、魔道書がここにあるということは…………やはり、その子たちが犯人だったのか？			冒険者よ、ご苦労だった。だが、魔道書がここにあるということは…………やはり、その子たちが犯人だったのか？			小さき者たちの大きな夢							
ふむ、なるほど……。そのガガルアとかいう男の一味が、魔道書を盗んだというのだな。			ふむ、なるほど……。そのガガルアとかいう男の一味が、魔道書を盗んだというのだな。			小さき者たちの大きな夢							
そ奴らに関しては、冒険者ギルドに報告しておく。それにしても、本当に子どもたちが真犯人を見つけて、魔道書を取り戻してきたというのか？			そ奴らに関しては、冒険者ギルドに報告しておく。それにしても、本当に子どもたちが真犯人を見つけて、魔道書を取り戻してきたというのか？			小さき者たちの大きな夢							
スラフボーン、子どもたちじゃないよ。オレたちのことは、こう呼んでくれよ！			スラフボーン、子どもたちじゃないよ。オレたちのことは、こう呼んでくれよ！			小さき者たちの大きな夢							
「ドマ冒険者団」ってさ！いつか、ねえちゃんにいちゃんを超える冒険者になって、エオルゼアだけじゃない、世界に名を轟かす英雄になるんだぜ！			「ドマ冒険者団」ってさ！いつか、ねえちゃんにいちゃんを超える冒険者になって、エオルゼアだけじゃない、世界に名を轟かす英雄になるんだぜ！			小さき者たちの大きな夢							
ふふふ……それは、楽しみだ。……では、あらためて礼を言おう。			ふふふ……それは、楽しみだ。……では、あらためて礼を言おう。			小さき者たちの大きな夢							
よくやった！「ドマ冒険者団」の小さき英雄たちよ！			よくやった！「ドマ冒険者団」の小さき英雄たちよ！			小さき者たちの大きな夢							
まだ子どもだと思っていたが、もういっぱしの冒険者か……。だが、まだ芽吹いたばかりのツボミだ。彼らが花を咲かせるには、今しばらく時間がかかるだろう。			まだ子どもだと思っていたが、もういっぱしの冒険者か……。だが、まだ芽吹いたばかりのツボミだ。彼らが花を咲かせるには、今しばらく時間がかかるだろう。			小さき者たちの大きな夢							
暁の英雄よ。その時まで、あの子たちを導いてやってほしい。			暁の英雄よ。その時まで、あの子たちを導いてやってほしい。			小さき者たちの大きな夢							
ガガルア様の敵は、すべて排除します！			ガガルア様の敵は、すべて排除します！			小さき者たちの大きな夢							
なるほど……。あなた、なかなかやりますね。			なるほど……。あなた、なかなかやりますね。			小さき者たちの大きな夢							
なんて強さなの……。			なんて強さなの……。			小さき者たちの大きな夢							
いっくぞー！			いっくぞー！			小さき者たちの大きな夢							
こっちも回復してくれよ！			こっちも回復してくれよ！			小さき者たちの大きな夢							
ハァハァ……。もう疲れました……。			ハァハァ……。もう疲れました……。			小さき者たちの大きな夢							
がんばりま～す。			がんばりま～す。			小さき者たちの大きな夢							
う～ん痛いよ～。……タンコブできちゃったよ。			う～ん痛いよ～。……タンコブできちゃったよ。			小さき者たちの大きな夢							
ケ、ケアウラン……。……噛んじゃった。			ケ、ケアウラン……。……噛んじゃった。			小さき者たちの大きな夢							
レヴナンツトールのレシュ・ポラリは、誰かを探しているようだ。			レヴナンツトールのレシュ・ポラリは、誰かを探しているようだ。			廃キャンプに眠る財宝							
元クリスタルブレイブ隊員のレシュ・ポラリは、怪我の治療を手伝ってくれたドマの少女に、「愛らしい耳飾り」を届けたいようだ。少女の行方を探すため、レヴナンツトールのロウェナ記念会館にいる「ロウェナ」と話そう。			元クリスタルブレイブ隊員のレシュ・ポラリは、怪我の治療を手伝ってくれたドマの少女に、「愛らしい耳飾り」を届けたいようだ。少女の行方を探すため、レヴナンツトールのロウェナ記念会館にいる「ロウェナ」と話そう。			廃キャンプに眠る財宝							
ロウェナに話を聞いた。レヴナンツトールの「指定地点」で、子どもたちが来るのを待ってみよう。			ロウェナに話を聞いた。レヴナンツトールの「指定地点」で、子どもたちが来るのを待ってみよう。			廃キャンプに眠る財宝							
ロッカに、愛らしい耳飾りを届けた。ドマの子どもたちは、崩壊したキャンプの隠された財宝に関する噂話に興味があるらしい。崩壊したキャンプの「指定地点」で、あたりを見渡そう。			ロッカに、愛らしい耳飾りを届けた。ドマの子どもたちは、崩壊したキャンプの隠された財宝に関する噂話に興味があるらしい。崩壊したキャンプの「指定地点」で、あたりを見渡そう。			廃キャンプに眠る財宝							
ドマ冒険者団は、崩壊したキャンプを訪れた。崩壊したキャンプで、財宝の手掛かりを探そう。			ドマ冒険者団は、崩壊したキャンプを訪れた。崩壊したキャンプで、財宝の手掛かりを探そう。			廃キャンプに眠る財宝							
崩壊したキャンプで、古ぼけたボトルを手に入れた。崩壊したキャンプの「ヨウザン」に「古ぼけたボトル」を渡そう。			崩壊したキャンプで、古ぼけたボトルを手に入れた。崩壊したキャンプの「ヨウザン」に「古ぼけたボトル」を渡そう。			廃キャンプに眠る財宝							
ヨウザンに古ぼけたボトルを渡した。見つかった手がかりは、どれもガラクタばかりだったが、古ぼけたボトルは、年代物として価値があるかもしれないようだ。レヴナンツトールの「スラフボーン」に「古ぼけたボトル」を渡し、相談してみよう。			ヨウザンに古ぼけたボトルを渡した。見つかった手がかりは、どれもガラクタばかりだったが、古ぼけたボトルは、年代物として価値があるかもしれないようだ。レヴナンツトールの「スラフボーン」に「古ぼけたボトル」を渡し、相談してみよう。			廃キャンプに眠る財宝							
スラフボーンに、古ぼけたボトルについて相談した。古ぼけたボトルに秘められた財宝の真実を聞くことができた。レヴナンツトールの「ヨウザン」に報告しよう。			スラフボーンに、古ぼけたボトルについて相談した。古ぼけたボトルに秘められた財宝の真実を聞くことができた。レヴナンツトールの「ヨウザン」に報告しよう。			廃キャンプに眠る財宝							
ヨウザンに報告した。ヨウザンは、期待していた財宝ではなかったことにがっかりするものの、冒険の旅に出れたことに満足したようだ。			ヨウザンに報告した。ヨウザンは、期待していた財宝ではなかったことにがっかりするものの、冒険の旅に出れたことに満足したようだ。			廃キャンプに眠る財宝							
ロウェナと話す			ロウェナと話す			廃キャンプに眠る財宝							
指定地点で待機			指定地点で待機			廃キャンプに眠る財宝							
指定地点で見渡す			指定地点で見渡す			廃キャンプに眠る財宝							
財宝の手がかりを探す			財宝の手がかりを探す			廃キャンプに眠る財宝							
ヨウザンに古ぼけたボトルを渡す			ヨウザンに古ぼけたボトルを渡す			廃キャンプに眠る財宝							
スラフボーンに古ぼけたボトルを渡す			スラフボーンに古ぼけたボトルを渡す			廃キャンプに眠る財宝							
ヨウザンに報告			ヨウザンに報告			廃キャンプに眠る財宝							
あっ、Forenameさん！私のこと覚えていますか？			あっ、Forenameさん！私のこと覚えていますか？			廃キャンプに眠る財宝							
うぐぅ、覚えてませんよね……もう制服も着ていませんし……。以前、帝国軍に捕まったところを助けていただいた、元クリスタルブレイブ第四分隊のレシュ・ポラリです。			うぐぅ、覚えてませんよね……もう制服も着ていませんし……。以前、帝国軍に捕まったところを助けていただいた、元クリスタルブレイブ第四分隊のレシュ・ポラリです。			廃キャンプに眠る財宝							
あの時は、本当にありがとうございました。しばらく隊から離れて療養していたのですが、その間に、いろいろなことがあったみたいですね……。			あの時は、本当にありがとうございました。しばらく隊から離れて療養していたのですが、その間に、いろいろなことがあったみたいですね……。			廃キャンプに眠る財宝							
イルベルド隊長についていった仲間もいれば、隊を抜けてほかの職に就いたりと、みんな、それぞれの道を歩み始めているようです。			イルベルド隊長についていった仲間もいれば、隊を抜けてほかの職に就いたりと、みんな、それぞれの道を歩み始めているようです。			廃キャンプに眠る財宝							
私も今は、ここの開拓団の護衛に就いています。毎日忙しくて、家族と過ごす暇もないくらいですよ。			私も今は、ここの開拓団の護衛に就いています。毎日忙しくて、家族と過ごす暇もないくらいですよ。			廃キャンプに眠る財宝							
……ところで、助けていただいた際に、私の治療を手伝ってくれたドマの少女がいたらしいのですが、その子が、どこにいるかわかりますか？			……ところで、助けていただいた際に、私の治療を手伝ってくれたドマの少女がいたらしいのですが、その子が、どこにいるかわかりますか？			廃キャンプに眠る財宝							
ずいぶん時間が空いてしまいましたが、在籍中は、大変お世話になりました。			ずいぶん時間が空いてしまいましたが、在籍中は、大変お世話になりました。			廃キャンプに眠る財宝							
私は早々に隊から離れることになり、療養をしていましたが……クリスタルブレイブ、そしてイルベルド隊長のその後は、いろいろと大変だったようですね……。			私は早々に隊から離れることになり、療養をしていましたが……クリスタルブレイブ、そしてイルベルド隊長のその後は、いろいろと大変だったようですね……。			廃キャンプに眠る財宝							
あの頃のことを、ときどき思い出したりもしますが、今は私、ここの開拓団の護衛に就いているんです。毎日忙しくて、家族と過ごす暇もないくらいですよ。			あの頃のことを、ときどき思い出したりもしますが、今は私、ここの開拓団の護衛に就いているんです。毎日忙しくて、家族と過ごす暇もないくらいですよ。			廃キャンプに眠る財宝							
……ところで、ここにドマの女の子がいますよね。以前、私の治療を手伝ってくれた子なのですが……今どこにいるかわかりますか？			……ところで、ここにドマの女の子がいますよね。以前、私の治療を手伝ってくれた子なのですが……今どこにいるかわかりますか？			廃キャンプに眠る財宝							
実は、私の荷物に、その子の耳飾りが紛れ込んでいたので、お返ししようと探していたのですが、一向に見つからないのです。人目を忍ぶのが得意とは聞いていましたが、ここまでとは……！			実は、私の荷物に、その子の耳飾りが紛れ込んでいたので、お返ししようと探していたのですが、一向に見つからないのです。人目を忍ぶのが得意とは聞いていましたが、ここまでとは……！			廃キャンプに眠る財宝							
もし、その子が悲しい想いをしていたらと思うと……早く届けてあげたいのですが、先程、仕事が入りまして、ここを離れないといけないのです。			もし、その子が悲しい想いをしていたらと思うと……早く届けてあげたいのですが、先程、仕事が入りまして、ここを離れないといけないのです。			廃キャンプに眠る財宝							
……えっ？　届けていただけるのですか！？でも、お忙しいForenameさんに、こんなことをお願いしてもよろしいのですか？			……えっ？　届けていただけるのですか！？でも、お忙しいForenameさんに、こんなことをお願いしてもよろしいのですか？			廃キャンプに眠る財宝							
ありがとうございます！では、これをお願いします。			ありがとうございます！では、これをお願いします。			廃キャンプに眠る財宝							
ロウェナ記念会館に、子どもたちが出入りしているようです。ロウェナさんに話を聞けば、何かわかるかもしれません。では、よろしくお願いします！			ロウェナ記念会館に、子どもたちが出入りしているようです。ロウェナさんに話を聞けば、何かわかるかもしれません。では、よろしくお願いします！			廃キャンプに眠る財宝							
……ドマの子どもたち？よく倉庫整理を手伝ってもらっているけど、今日の作業は終わって、今しがた帰ったわ。			……ドマの子どもたち？よく倉庫整理を手伝ってもらっているけど、今日の作業は終わって、今しがた帰ったわ。			廃キャンプに眠る財宝							
ドマの子どもと言えば、オーリアナから、店の裏手で集まって何かしているって話を聞いたわね。そこで待っていれば、やってくるかもしれないわよ。			ドマの子どもと言えば、オーリアナから、店の裏手で集まって何かしているって話を聞いたわね。そこで待っていれば、やってくるかもしれないわよ。			廃キャンプに眠る財宝							
よし、ドマ冒険者団の活動集会を始めるぞ！それじゃあ、コハルから報告をしてくれ。			よし、ドマ冒険者団の活動集会を始めるぞ！それじゃあ、コハルから報告をしてくれ。			廃キャンプに眠る財宝							
はいっ！私は、アリスさんに頼まれた食材を買いに行ってきました。			はいっ！私は、アリスさんに頼まれた食材を買いに行ってきました。			廃キャンプに眠る財宝							
……私は、怪我をした冒険者の手当てをしていたわ。			……私は、怪我をした冒険者の手当てをしていたわ。			廃キャンプに眠る財宝							
僕は、ロウェナさんのところで倉庫整理を手伝っていたよ。			僕は、ロウェナさんのところで倉庫整理を手伝っていたよ。			廃キャンプに眠る財宝							
なんだよ、どれも、ただのお手伝いじゃないかー！オレは、胸が熱くなるような冒険がしたいんだよー！何か、ドキドキハラハラするようなネタはないのか？			なんだよ、どれも、ただのお手伝いじゃないかー！オレは、胸が熱くなるような冒険がしたいんだよー！何か、ドキドキハラハラするようなネタはないのか？			廃キャンプに眠る財宝							
……なら、そう言うヨウザンは、どうなのよ？			……なら、そう言うヨウザンは、どうなのよ？			廃キャンプに眠る財宝							
オレは、まぁアレだよ……。新しい世界を目指してだな、いろいろと活動を……。			オレは、まぁアレだよ……。新しい世界を目指してだな、いろいろと活動を……。			廃キャンプに眠る財宝							
キャンプの外に行きたくて、荷車に潜り込もうとしたんだけど、持ち主の人に見つかっちゃって、その後ずーっと、スラフボーンさんにお説教されていたんだって。			キャンプの外に行きたくて、荷車に潜り込もうとしたんだけど、持ち主の人に見つかっちゃって、その後ずーっと、スラフボーンさんにお説教されていたんだって。			廃キャンプに眠る財宝							
……はぁ、呆れた。			……はぁ、呆れた。			廃キャンプに眠る財宝							
ヨウザンらしいよね！			ヨウザンらしいよね！			廃キャンプに眠る財宝							
シウン、なんでバラすんだよ！			シウン、なんでバラすんだよ！			廃キャンプに眠る財宝							
ゴメンゴメン。そういえば、さっき冒険者が噂話をしていたんだけど……。近くの「崩壊したキャンプ」に、何かが隠されているんだって。			ゴメンゴメン。そういえば、さっき冒険者が噂話をしていたんだけど……。近くの「崩壊したキャンプ」に、何かが隠されているんだって。			廃キャンプに眠る財宝							
かつて名を馳せた冒険者の隠し財宝とか、モードゥナで死んでいった者たちの封じられた怨念だとか……。			かつて名を馳せた冒険者の隠し財宝とか、モードゥナで死んでいった者たちの封じられた怨念だとか……。			廃キャンプに眠る財宝							
いろいろ話してたけど、人伝の話らしくて、正確にはわかってないらしいよ。			いろいろ話してたけど、人伝の話らしくて、正確にはわかってないらしいよ。			廃キャンプに眠る財宝							
そ、それだよ、シウン！やっと、それらしくなってきたぞー！……となれば、問題は、どうやってここを抜け出すかだな。			そ、それだよ、シウン！やっと、それらしくなってきたぞー！……となれば、問題は、どうやってここを抜け出すかだな。			廃キャンプに眠る財宝							
あれ、ねえちゃんにいちゃん！オレたちに、なにか用か？			あれ、ねえちゃんにいちゃん！オレたちに、なにか用か？			廃キャンプに眠る財宝							
ありがとう、おねえさんおにいさん。コレ、思い出のいっぱい詰まった、大事なものだったんだ。よかった、見つかって……。			ありがとう、おねえさんおにいさん。コレ、思い出のいっぱい詰まった、大事なものだったんだ。よかった、見つかって……。			廃キャンプに眠る財宝							
ねえちゃんにいちゃん、ちょっと待って！			ねえちゃんにいちゃん、ちょっと待って！			廃キャンプに眠る財宝							
はいはーい！　ここでみんなに大事な発表がありまーす！オレたちドマ冒険者団は、まだ若くとても未熟です。自由に動き回ることもできず、何をするにも危険だと言われます。			はいはーい！　ここでみんなに大事な発表がありまーす！オレたちドマ冒険者団は、まだ若くとても未熟です。自由に動き回ることもできず、何をするにも危険だと言われます。			廃キャンプに眠る財宝							
そこで、オレたちの憧れの冒険者であるねえちゃんにいちゃんを、ドマ冒険者団特別顧問としてお招きし、助言をいただきたいと思うのです！			そこで、オレたちの憧れの冒険者であるねえちゃんにいちゃんを、ドマ冒険者団特別顧問としてお招きし、助言をいただきたいと思うのです！			廃キャンプに眠る財宝							
さんせー！お姉ちゃんお兄ちゃんと一緒に冒険だー！			さんせー！お姉ちゃんお兄ちゃんと一緒に冒険だー！			廃キャンプに眠る財宝							
ヨウザン、考えたね。お姉さんお兄さんが一緒なら、みんな安心だね。			ヨウザン、考えたね。お姉さんお兄さんが一緒なら、みんな安心だね。			廃キャンプに眠る財宝							
よろしくお願いします、おねえさんおにいさん。ヨウザンは言い出したら聞かないから、もう諦めてください。			よろしくお願いします、おねえさんおにいさん。ヨウザンは言い出したら聞かないから、もう諦めてください。			廃キャンプに眠る財宝							
それじゃ、さっそく噂の「崩壊したキャンプ」へ行こう！			それじゃ、さっそく噂の「崩壊したキャンプ」へ行こう！			廃キャンプに眠る財宝							
ドマの子どもと言えば、オーリアナから、店の裏手で集まって何かしているって話を聞いたわね。そこで待っていれば、やってくるかもしれないわよ。			ドマの子どもと言えば、オーリアナから、店の裏手で集まって何かしているって話を聞いたわね。そこで待っていれば、やってくるかもしれないわよ。			廃キャンプに眠る財宝							
……ここが、第七霊災で崩壊したっていう旧レヴナンツトール？			……ここが、第七霊災で崩壊したっていう旧レヴナンツトール？			廃キャンプに眠る財宝							
なんだか、今のレヴナンツトールとは全然違うね。何もないし！			なんだか、今のレヴナンツトールとは全然違うね。何もないし！			廃キャンプに眠る財宝							
そうだね……。財宝なんてなさそうだけど……。ヨウザン、どうするの？			そうだね……。財宝なんてなさそうだけど……。ヨウザン、どうするの？			廃キャンプに眠る財宝							
とりあえず、周辺を調べようぜ！何か、それらしい手がかりがないか探すんだ。くれぐれも、魔物には気を付けろよ。			とりあえず、周辺を調べようぜ！何か、それらしい手がかりがないか探すんだ。くれぐれも、魔物には気を付けろよ。			廃キャンプに眠る財宝							
オレたちは、ねえちゃんにいちゃんの後ろをついていくよ。早く「崩壊したキャンプ」へ行こう！			オレたちは、ねえちゃんにいちゃんの後ろをついていくよ。早く「崩壊したキャンプ」へ行こう！			廃キャンプに眠る財宝							
何が埋まってるのかな？金銀財宝かな、古代兵器とかだったりして。なんだかドキドキするね。			何が埋まってるのかな？金銀財宝かな、古代兵器とかだったりして。なんだかドキドキするね。			廃キャンプに眠る財宝							
怨念ってどんな姿をしてるのかな？もし出てきても、英雄のお姉さんお兄さんがいるから問題ないよね？			怨念ってどんな姿をしてるのかな？もし出てきても、英雄のお姉さんお兄さんがいるから問題ないよね？			廃キャンプに眠る財宝							
……みんな浮かれちゃって、ホント子どもなんだから。			……みんな浮かれちゃって、ホント子どもなんだから。			廃キャンプに眠る財宝							
このテント、何か臭いぞ……。いや、怪しいとかじゃなくて、臭いがすごいんだ。なんか、目も鼻も痛くなってきた。			このテント、何か臭いぞ……。いや、怪しいとかじゃなくて、臭いがすごいんだ。なんか、目も鼻も痛くなってきた。			廃キャンプに眠る財宝							
ガラクタばっかだね。このツボ開けるのは、勇気がいるよ……。			ガラクタばっかだね。このツボ開けるのは、勇気がいるよ……。			廃キャンプに眠る財宝							
うわー、すごいなー。地面を持ち上げちゃってるよ。この下にあるなら、僕たちじゃお手上げだね。			うわー、すごいなー。地面を持ち上げちゃってるよ。この下にあるなら、僕たちじゃお手上げだね。			廃キャンプに眠る財宝							
……これだけ荒れ果てていたら、財宝があったとしても、魔物のお腹の中じゃないかしら？			……これだけ荒れ果てていたら、財宝があったとしても、魔物のお腹の中じゃないかしら？			廃キャンプに眠る財宝							
「古ぼけたボトル」を見つけた……。			「古ぼけたボトル」を見つけた……。			廃キャンプに眠る財宝							
それらしいものは、見つからないなー。ねえちゃんにいちゃんは、何か見つかった？			それらしいものは、見つからないなー。ねえちゃんにいちゃんは、何か見つかった？			廃キャンプに眠る財宝							
ねえちゃんにいちゃんが見つけたのもガラクタかー。さすがに、そう簡単には見つからないなぁ。			ねえちゃんにいちゃんが見つけたのもガラクタかー。さすがに、そう簡単には見つからないなぁ。			廃キャンプに眠る財宝							
……いくらなんでも、情報が少なすぎるもの。でも、おねえさんおにいさんの見つけたそのワインは、もしかしたら年代物かもよ？			……いくらなんでも、情報が少なすぎるもの。でも、おねえさんおにいさんの見つけたそのワインは、もしかしたら年代物かもよ？			廃キャンプに眠る財宝							
ヴィンテージワインってやつだよね。年代によっては、すごく高価な物があるって、前にフ・ラミンさんから聞いたことあるよ。			ヴィンテージワインってやつだよね。年代によっては、すごく高価な物があるって、前にフ・ラミンさんから聞いたことあるよ。			廃キャンプに眠る財宝							
スラフボーンさんも、きっと詳しいよ。この間、冒険者の人と、ずっとお酒の話で盛り上がっていたもん。			スラフボーンさんも、きっと詳しいよ。この間、冒険者の人と、ずっとお酒の話で盛り上がっていたもん。			廃キャンプに眠る財宝							
ふふ、スラフボーンさんって、意外と物知りだよね。			ふふ、スラフボーンさんって、意外と物知りだよね。			廃キャンプに眠る財宝							
ねぇ、ヨウザン。スラフボーンさんに、ワインのこと聞きに行こうよ！			ねぇ、ヨウザン。スラフボーンさんに、ワインのこと聞きに行こうよ！			廃キャンプに眠る財宝							
うーん……。今、スラフボーンのところに行くのはちょっとなぁ……。			うーん……。今、スラフボーンのところに行くのはちょっとなぁ……。			廃キャンプに眠る財宝							
そうだ……！子どもがお酒なんか持っていたらいけないよな。だからさ、ねえちゃんにいちゃんが聞いてきてくれないかな？			そうだ……！子どもがお酒なんか持っていたらいけないよな。だからさ、ねえちゃんにいちゃんが聞いてきてくれないかな？			廃キャンプに眠る財宝							
やったー！それじゃあ、レヴナンツトールに戻ろうぜ！！			やったー！それじゃあ、レヴナンツトールに戻ろうぜ！！			廃キャンプに眠る財宝							
冒険者よ、何か用か？			冒険者よ、何か用か？			廃キャンプに眠る財宝							
ワインなど持ってきてどうしたのだ？まだ職務中だから、付き合ってはやれんぞ。……それにしても、ずいぶんと年代物だな。			ワインなど持ってきてどうしたのだ？まだ職務中だから、付き合ってはやれんぞ。……それにしても、ずいぶんと年代物だな。			廃キャンプに眠る財宝							
……なるほど。あの廃キャンプで拾ってきたのか。これが、どれほど高価なワインなのかが知りたいのだな？			……なるほど。あの廃キャンプで拾ってきたのか。これが、どれほど高価なワインなのかが知りたいのだな？			廃キャンプに眠る財宝							
ははは、残念ながら、これは安物だ。……しかし、紛れもない「レヴナンツトールの財宝」だぞ？			ははは、残念ながら、これは安物だ。……しかし、紛れもない「レヴナンツトールの財宝」だぞ？			廃キャンプに眠る財宝							
レヴナンツトールは、今でこそ賑やかなキャンプへと発展したが、かつてこの辺りは、死の匂い漂うさびれた土地だった。			レヴナンツトールは、今でこそ賑やかなキャンプへと発展したが、かつてこの辺りは、死の匂い漂うさびれた土地だった。			廃キャンプに眠る財宝							
安らげるときと言ったら、酒を飲むときくらい……。ギルドの仲間や、気の合う冒険者と酒を持ち込んで、飲み交わしていた。			安らげるときと言ったら、酒を飲むときくらい……。ギルドの仲間や、気の合う冒険者と酒を持ち込んで、飲み交わしていた。			廃キャンプに眠る財宝							
そのほんの一時が、一部の冒険者の中で、「レヴナンツトールの隠し財宝」なんて噂になって、広まっていったんだ。			そのほんの一時が、一部の冒険者の中で、「レヴナンツトールの隠し財宝」なんて噂になって、広まっていったんだ。			廃キャンプに眠る財宝							
やがて、噂を勘違いした酒飲み冒険者や行商人が、「至高の酒」を求めて、この地にやってくるようになった。			やがて、噂を勘違いした酒飲み冒険者や行商人が、「至高の酒」を求めて、この地にやってくるようになった。			廃キャンプに眠る財宝							
……だが、そもそも、この辺りは危険な場所。熟練の冒険者でさえ、油断すれば、凶暴な魔物の餌食となってしまう。			……だが、そもそも、この辺りは危険な場所。熟練の冒険者でさえ、油断すれば、凶暴な魔物の餌食となってしまう。			廃キャンプに眠る財宝							
そこで、仲間と協力して、ある別の噂を流したのだ……。			そこで、仲間と協力して、ある別の噂を流したのだ……。			廃キャンプに眠る財宝							
「レヴナンツトールは、亡者の住む地。　そこで眠りにつけば、目が覚めたときには悪魔に魂を蝕まれ、　死霊として彷徨いつづけることになるだろう」……とな。			「レヴナンツトールは、亡者の住む地。　そこで眠りにつけば、目が覚めたときには悪魔に魂を蝕まれ、　死霊として彷徨いつづけることになるだろう」……とな。			廃キャンプに眠る財宝							
さすがに、死霊になってまで、酔っぱらいたい奴はいなかったよ。……これが「レヴナンツトールの財宝」の真実なのだ。			さすがに、死霊になってまで、酔っぱらいたい奴はいなかったよ。……これが「レヴナンツトールの財宝」の真実なのだ。			廃キャンプに眠る財宝							
スラフボーンから、ワインのこと聞いて来てくれよ。オレたち、ここで待ってるからさ！			スラフボーンから、ワインのこと聞いて来てくれよ。オレたち、ここで待ってるからさ！			廃キャンプに眠る財宝							
ヨウザンったら、厳しくお説教されたみたいだね。お師匠様に怒られたとき以来かも。			ヨウザンったら、厳しくお説教されたみたいだね。お師匠様に怒られたとき以来かも。			廃キャンプに眠る財宝							
スラフボーンさんって、そんなに怖いかなー。僕には、いつも優しいよ。			スラフボーンさんって、そんなに怖いかなー。僕には、いつも優しいよ。			廃キャンプに眠る財宝							
……かなり古いものもあるくらいだから、あのワインもまだ飲めるってことだよね？あんな場所でずっと野晒しだったけど大丈夫なのかな。			……かなり古いものもあるくらいだから、あのワインもまだ飲めるってことだよね？あんな場所でずっと野晒しだったけど大丈夫なのかな。			廃キャンプに眠る財宝							
ねえちゃんにいちゃん、ワインのこと聞けた？			ねえちゃんにいちゃん、ワインのこと聞けた？			廃キャンプに眠る財宝							
……そっかー。アレが「レヴナンツトールの財宝」だったのか……。			……そっかー。アレが「レヴナンツトールの財宝」だったのか……。			廃キャンプに眠る財宝							
冒険者ギルドが貯めこんだ埋蔵金とか、封じられた闇の王とか、ちょっと期待してたのになー。			冒険者ギルドが貯めこんだ埋蔵金とか、封じられた闇の王とか、ちょっと期待してたのになー。			廃キャンプに眠る財宝							
まぁ、キャンプの外にも出れたし、ねえちゃんにいちゃんと遊べて楽しかったから、いっか！			まぁ、キャンプの外にも出れたし、ねえちゃんにいちゃんと遊べて楽しかったから、いっか！			廃キャンプに眠る財宝							
