彫金師ギルドのセレンディピティーは、わたわたしているようだ。			彫金師ギルドのセレンディピティーは、わたわたしているようだ。			ギルドへの私的な依頼							
今後の「彫金師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「彫金師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			形なきものに							
また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			形なきものに							
さらに、熟練の職人だけが製作可能な、難度の高い製品の製法が記されたレシピ帳、「秘伝書」が入手できるようになります。			さらに、熟練の職人だけが製作可能な、難度の高い製品の製法が記されたレシピ帳、「秘伝書」が入手できるようになります。			形なきものに							
レヴナンツトールにいる、「ガイディング・スター」を訪ねてみましょう。			レヴナンツトールにいる、「ガイディング・スター」を訪ねてみましょう。			形なきものに							
彫金師ギルドのジェマイムは、伝言を預かっているようだ。			彫金師ギルドのジェマイムは、伝言を預かっているようだ。			始動、クラウンジェム工房！							
ジェマイムと話した。ギラバニア解放軍の拠点に工房を間借りする準備ができたようだ。中央ザナラーンの刺抜盆地で「エメロス」と話そう。			ジェマイムと話した。ギラバニア解放軍の拠点に工房を間借りする準備ができたようだ。中央ザナラーンの刺抜盆地で「エメロス」と話そう。			始動、クラウンジェム工房！							
エメロスと話した。ラールガーズリーチのエーテライト・プラザ付近で「エメロス」と合流しよう。			エメロスと話した。ラールガーズリーチのエーテライト・プラザ付近で「エメロス」と合流しよう。			始動、クラウンジェム工房！							
エメロスと話した。ラールガーズリーチにいる「ジャ・ケビカ」「ウィド」「ハル」に声をかけ、現在の様子を聞こう。			エメロスと話した。ラールガーズリーチにいる「ジャ・ケビカ」「ウィド」「ハル」に声をかけ、現在の様子を聞こう。			始動、クラウンジェム工房！							
徒弟たちと話した。ラールガーズリーチの「エメロス」と話そう。			徒弟たちと話した。ラールガーズリーチの「エメロス」と話そう。			始動、クラウンジェム工房！							
徒弟たちのために、お手本となるアクセサリーを作ることになった。「指輪の材料」をもとに「手本用シルバーリング」を製作し、ラールガーズリーチの「エメロス」に納品しよう。※「指輪の材料」を失った場合は、カンチャナに話しかけましょう。材料を入手し、再挑戦が可能になります。			徒弟たちのために、お手本となるアクセサリーを作ることになった。「指輪の材料」をもとに「手本用シルバーリング」を製作し、ラールガーズリーチの「エメロス」に納品しよう。※「指輪の材料」を失った場合は、カンチャナに話しかけましょう。材料を入手し、再挑戦が可能になります。			始動、クラウンジェム工房！							
エメロスに納品した。ウィドとハルは、より高い目標を持つことで、これまでとは違う意識を持って仕事に取り組みはじめたようだ。今後とも徒弟たちのよりよきお手本でいられるよう、さらなる高みをめざしていこう。※彫金師のレベルが65以上になると、ラールガーズリーチのエメロスから、次の彫金師クエストを受注することができます。			エメロスに納品した。ウィドとハルは、より高い目標を持つことで、これまでとは違う意識を持って仕事に取り組みはじめたようだ。今後とも徒弟たちのよりよきお手本でいられるよう、さらなる高みをめざしていこう。※彫金師のレベルが65以上になると、ラールガーズリーチのエメロスから、次の彫金師クエストを受注することができます。			始動、クラウンジェム工房！							
刺抜盆地のエメロスと話す			刺抜盆地のエメロスと話す			始動、クラウンジェム工房！							
ラールガーズリーチでエメロスと合流			ラールガーズリーチでエメロスと合流			始動、クラウンジェム工房！							
ジャ・ケビカと話す			ジャ・ケビカと話す			始動、クラウンジェム工房！							
ウィドと話す			ウィドと話す			始動、クラウンジェム工房！							
ハルと話す			ハルと話す			始動、クラウンジェム工房！							
エメロスと話す			エメロスと話す			始動、クラウンジェム工房！							
製作手帳 クラスクエスト：手本用シルバーリングを製作エメロスに手本用シルバーリングを納品			製作手帳 クラスクエスト：手本用シルバーリングを製作エメロスに手本用シルバーリングを納品			始動、クラウンジェム工房！							
本クエストを進行するためには、「メインクエスト：紅蓮のリベレーター」の、「その声に押されて」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：紅蓮のリベレーター」の、「その声に押されて」を完了する必要があります。			始動、クラウンジェム工房！							
先に女王陛下からいただいた、職人養成塾のお話ですが、アラミゴ解放軍から、受け入れ準備が整ったとの報せが届きました！			先に女王陛下からいただいた、職人養成塾のお話ですが、アラミゴ解放軍から、受け入れ準備が整ったとの報せが届きました！			始動、クラウンジェム工房！							
いよいよ、補佐役のエメロスさんとともに、ギラバニア入りしていただくことになります。新しい事業の立ち上げ……私まで、ぞくぞくしてしまいますわ！			いよいよ、補佐役のエメロスさんとともに、ギラバニア入りしていただくことになります。新しい事業の立ち上げ……私まで、ぞくぞくしてしまいますわ！			始動、クラウンジェム工房！							
中央ザナラーンの刺抜盆地で「エメロス」さんがお待ちです。まずは、彼女からお話を伺ってください。			中央ザナラーンの刺抜盆地で「エメロス」さんがお待ちです。まずは、彼女からお話を伺ってください。			始動、クラウンジェム工房！							
中央ザナラーンの刺抜盆地で「エメロス」さんがお待ちです。まずは、彼女からお話を伺ってください。			中央ザナラーンの刺抜盆地で「エメロス」さんがお待ちです。まずは、彼女からお話を伺ってください。			始動、クラウンジェム工房！							
ごきげんよう、Forenameさん。徒弟さんたちは、ひと足先にラールガーズリーチへ旅立ちました。ウィドとハルの兄弟が、アラミゴ解放軍にツテをお持ちとか。			ごきげんよう、Forenameさん。徒弟さんたちは、ひと足先にラールガーズリーチへ旅立ちました。ウィドとハルの兄弟が、アラミゴ解放軍にツテをお持ちとか。			始動、クラウンジェム工房！							
3人はいままで、ナナモ様がパトロンと知らなかったそうで、たいへん驚いておりましたのよ……！			3人はいままで、ナナモ様がパトロンと知らなかったそうで、たいへん驚いておりましたのよ……！			始動、クラウンジェム工房！							
何でも、アラミゴ難民にだけ公費を出すというのは難しく、ご予算は、すべてナナモ様の私財とか……。事業が軌道に乗るまでは、静かに進めたいご意向だそうです。			何でも、アラミゴ難民にだけ公費を出すというのは難しく、ご予算は、すべてナナモ様の私財とか……。事業が軌道に乗るまでは、静かに進めたいご意向だそうです。			始動、クラウンジェム工房！							
それもあって、募集はナナモ様の名を出さずにかけたので、3人は、何も知らなかったというわけですの。母君の宝冠をさしだされたことを知れば、もっと驚くでしょうね。			それもあって、募集はナナモ様の名を出さずにかけたので、3人は、何も知らなかったというわけですの。母君の宝冠をさしだされたことを知れば、もっと驚くでしょうね。			始動、クラウンジェム工房！							
……そろそろ、わたくしたちも旅支度をして、「ラールガーズリーチ」へと向かいましょうか？ナナモ様の宝冠につきましては、わたくしが送り届けます。			……そろそろ、わたくしたちも旅支度をして、「ラールガーズリーチ」へと向かいましょうか？ナナモ様の宝冠につきましては、わたくしが送り届けます。			始動、クラウンジェム工房！							
えへへ、とうとうここまで来たっす！師範、これからよろしくっす！			えへへ、とうとうここまで来たっす！師範、これからよろしくっす！			始動、クラウンジェム工房！							
少しの間だけど、兄弟でここに厄介になったことがある。オレたちにとっちゃ、里帰りみたいなもんさ！			少しの間だけど、兄弟でここに厄介になったことがある。オレたちにとっちゃ、里帰りみたいなもんさ！			始動、クラウンジェム工房！							
ナナモ様が支援してくれてるなんて、全然知らなくて……もっと、がんばって一人前にならなきゃ！			ナナモ様が支援してくれてるなんて、全然知らなくて……もっと、がんばって一人前にならなきゃ！			始動、クラウンジェム工房！							
シュー……あら、あなたが職人養成塾の師範？ふふ、思ってたよりも、ずっと素敵なお嬢さん殿方ね。			シュー……あら、あなたが職人養成塾の師範？ふふ、思ってたよりも、ずっと素敵なお嬢さん殿方ね。			始動、クラウンジェム工房！							
ごきげんよう、Forenameさん。この拠点でも師範の名が知れ渡っていることに、驚きました。ナナモ様が直々に御指名なさったのも、納得です。			ごきげんよう、Forenameさん。この拠点でも師範の名が知れ渡っていることに、驚きました。ナナモ様が直々に御指名なさったのも、納得です。			始動、クラウンジェム工房！							
……さて、こちらはカンチャナさん。アラミゴ解放軍側の、窓口をご担当いただけるそうですの。			……さて、こちらはカンチャナさん。アラミゴ解放軍側の、窓口をご担当いただけるそうですの。			始動、クラウンジェム工房！							
シュー……歓迎します。私たちアナンタ族は、自分たちでアクセサリーを作るのが好き。ヒトの子の彫金術がどんなものか、興味があるわ。			シュー……歓迎します。私たちアナンタ族は、自分たちでアクセサリーを作るのが好き。ヒトの子の彫金術がどんなものか、興味があるわ。			始動、クラウンジェム工房！							
ところで、こちらで預かった女王陛下の宝冠だけれど……あんな綺麗な冠から、宝石をバラして使うつもりなの？			ところで、こちらで預かった女王陛下の宝冠だけれど……あんな綺麗な冠から、宝石をバラして使うつもりなの？			始動、クラウンジェム工房！							
あたしも、びっくりっす！ナナモ様のお母さまの形見だなんて、畏れ多くて、どうあつかっていいのか……。			あたしも、びっくりっす！ナナモ様のお母さまの形見だなんて、畏れ多くて、どうあつかっていいのか……。			始動、クラウンジェム工房！							
何と答える？			何と答える？			始動、クラウンジェム工房！							
大切に使おう			大切に使おう			始動、クラウンジェム工房！							
自分も畏れ多い			自分も畏れ多い			始動、クラウンジェム工房！							
師範のおっしゃるとおり。ナナモ様は、この上ない覚悟で、この事業を始められたのですよ。			師範のおっしゃるとおり。ナナモ様は、この上ない覚悟で、この事業を始められたのですよ。			始動、クラウンジェム工房！							
ナナモ様は、師範ほどの方でもそう感じるほど強い決意で、この事業を始められたのですよ。			ナナモ様は、師範ほどの方でもそう感じるほど強い決意で、この事業を始められたのですよ。			始動、クラウンジェム工房！							
宝石を形見わけすることは、古よりの王侯貴族の伝統……。ナナモ様は、エオルゼアの民をわが子のように考えているのです。			宝石を形見わけすることは、古よりの王侯貴族の伝統……。ナナモ様は、エオルゼアの民をわが子のように考えているのです。			始動、クラウンジェム工房！							
ですから外した宝石は、大切に使わせていただきましょう。アラミゴの民が自立することが、女王陛下の治める、ウルダハの問題を解決することにもつながるのですから……。			ですから外した宝石は、大切に使わせていただきましょう。アラミゴの民が自立することが、女王陛下の治める、ウルダハの問題を解決することにもつながるのですから……。			始動、クラウンジェム工房！							
シュー……なるほどね。じゃ、これから職人養成塾が使う場所へ案内するけど……「職人養成塾」って、呼びにくいわね。			シュー……なるほどね。じゃ、これから職人養成塾が使う場所へ案内するけど……「職人養成塾」って、呼びにくいわね。			始動、クラウンジェム工房！							
それにオレたち、最後は売りモノを作るんだろ？「職人養成塾」製じゃ、締まらなくねえか？ナントカ工房とか、ちゃんとした名前じゃないと！			それにオレたち、最後は売りモノを作るんだろ？「職人養成塾」製じゃ、締まらなくねえか？ナントカ工房とか、ちゃんとした名前じゃないと！			始動、クラウンジェム工房！							
たしかに、塾よりは工房と呼びたいね。冠の宝石……「クラウンジェム工房」とか？			たしかに、塾よりは工房と呼びたいね。冠の宝石……「クラウンジェム工房」とか？			始動、クラウンジェム工房！							
…………なかなか、よい案と思いますの。師範、みなの幸せを願うナナモ様の心を忘れないように、これからは「クラウンジェム工房」と呼ぶことにしませんか？			…………なかなか、よい案と思いますの。師範、みなの幸せを願うナナモ様の心を忘れないように、これからは「クラウンジェム工房」と呼ぶことにしませんか？			始動、クラウンジェム工房！							
それでは「クラウンジェム工房」、これより始動ですね！カンチャナさん、みなさんの案内をお願いします。			それでは「クラウンジェム工房」、これより始動ですね！カンチャナさん、みなさんの案内をお願いします。			始動、クラウンジェム工房！							
師範は、徒弟さんたちの話を聞いてあげてくださいますか？まずは彫金の基本となる課題に、取り組んでもらうつもりですの。			師範は、徒弟さんたちの話を聞いてあげてくださいますか？まずは彫金の基本となる課題に、取り組んでもらうつもりですの。			始動、クラウンジェム工房！							
徒弟さんたちに、声をかけてあげてください。きっと、喜ぶと思いますよ。			徒弟さんたちに、声をかけてあげてください。きっと、喜ぶと思いますよ。			始動、クラウンジェム工房！							
シュー……ここが、クラウンジェム工房として使う場所よ。もともとは、貯蔵物資の管理なんかをしてた場所だから、たいした設備は置けないけどね。			シュー……ここが、クラウンジェム工房として使う場所よ。もともとは、貯蔵物資の管理なんかをしてた場所だから、たいした設備は置けないけどね。			始動、クラウンジェム工房！							
師範、これからよろしくっす！……師範って、ここの偉い人たちといっしょに戦ってたんすね！全然知らなくて、びっくりしたっす！			師範、これからよろしくっす！……師範って、ここの偉い人たちといっしょに戦ってたんすね！全然知らなくて、びっくりしたっす！			始動、クラウンジェム工房！							
ナナモ様の宝冠の石を使うって話を聞いて、またまたびっくりっす！あたし、ときどきドジやらかすから、手を滑らせないように、気をつけないと……！			ナナモ様の宝冠の石を使うって話を聞いて、またまたびっくりっす！あたし、ときどきドジやらかすから、手を滑らせないように、気をつけないと……！			始動、クラウンジェム工房！							
いまはエメロスさんに、彫金の基本を教えてもらってるよ。鍛冶をやってたから、金属を曲げたり延ばしたりは得意なんだけど、宝石磨きはサッパリだね。			いまはエメロスさんに、彫金の基本を教えてもらってるよ。鍛冶をやってたから、金属を曲げたり延ばしたりは得意なんだけど、宝石磨きはサッパリだね。			始動、クラウンジェム工房！							
そもそも何がだめなのか、よくわからないんだよな。……完成品を見てないからかなあ？			そもそも何がだめなのか、よくわからないんだよな。……完成品を見てないからかなあ？			始動、クラウンジェム工房！							
師範、どうぞよろしく！職人の仕事なんて初めてだから、基本を覚えるだけで、手一杯だよ！			師範、どうぞよろしく！職人の仕事なんて初めてだから、基本を覚えるだけで、手一杯だよ！			始動、クラウンジェム工房！							
でもエメロスさんから、宝石の加工はうまいって誉められたんだ。ほら、採掘をやってたからね。石の硬さや性質なんかは、よくわかるんだ。			でもエメロスさんから、宝石の加工はうまいって誉められたんだ。ほら、採掘をやってたからね。石の硬さや性質なんかは、よくわかるんだ。			始動、クラウンジェム工房！							
でも金属を加工するのは、ちょっと苦手だな。工房で渡される金属って、人の手が入ったやつがほとんどでしょ？自然のままの鉱石とは、だいぶ違うんだよなあ……。			でも金属を加工するのは、ちょっと苦手だな。工房で渡される金属って、人の手が入ったやつがほとんどでしょ？自然のままの鉱石とは、だいぶ違うんだよなあ……。			始動、クラウンジェム工房！							
師範、よろしくっす！ナナモ様の宝冠の石を使うだなんて、身が引き締まる思いっす！			師範、よろしくっす！ナナモ様の宝冠の石を使うだなんて、身が引き締まる思いっす！			始動、クラウンジェム工房！							
いまはエメロスさんに、彫金の基本を教えてもらってるよ。鍛冶をやってたから、金属を曲げたり延ばしたりは得意なんだけど、宝石磨きはサッパリだね。			いまはエメロスさんに、彫金の基本を教えてもらってるよ。鍛冶をやってたから、金属を曲げたり延ばしたりは得意なんだけど、宝石磨きはサッパリだね。			始動、クラウンジェム工房！							
エメロスさんから、宝石の加工はうまいって誉められたんだ。石の硬さや性質なんかは、よくわかるからね。			エメロスさんから、宝石の加工はうまいって誉められたんだ。石の硬さや性質なんかは、よくわかるからね。			始動、クラウンジェム工房！							
シュー……戦争だの何だので、何かと、物騒な話題の多い場所だけど……この一角だけは、少し華やいできたね。			シュー……戦争だの何だので、何かと、物騒な話題の多い場所だけど……この一角だけは、少し華やいできたね。			始動、クラウンジェム工房！							
いかがでしたか、師範？徒弟さんたちの様子は……。			いかがでしたか、師範？徒弟さんたちの様子は……。			始動、クラウンジェム工房！							
なるほど……。3人のなかで、ジャ・ケビカはまあ順調と言えそうです。宝飾店で働いてただけあってセンスもいいし、やる気もあるし。			なるほど……。3人のなかで、ジャ・ケビカはまあ順調と言えそうです。宝飾店で働いてただけあってセンスもいいし、やる気もあるし。			始動、クラウンジェム工房！							
問題は、ウィドとハルですね。ウィドは、金属加工は巧みですが、宝石加工は素人。ハルは宝石のあつかいは堅いけど、金属がイマイチ……。			問題は、ウィドとハルですね。ウィドは、金属加工は巧みですが、宝石加工は素人。ハルは宝石のあつかいは堅いけど、金属がイマイチ……。			始動、クラウンジェム工房！							
両方がこなせないと、彫金師は務まりません。まずは苦手を克服してもらってから、新しい課題に移ろうと思っているのですけど……。			両方がこなせないと、彫金師は務まりません。まずは苦手を克服してもらってから、新しい課題に移ろうと思っているのですけど……。			始動、クラウンジェム工房！							
何と答える？			何と答える？			始動、クラウンジェム工房！							
得意なことを伸ばしては？			得意なことを伸ばしては？			始動、クラウンジェム工房！							
完成品を作らせてみては？			完成品を作らせてみては？			始動、クラウンジェム工房！							
おや……苦手の克服より、得意なことをやらせてはと？たしかに成果が出ないと、やる気も下がってしまいますしね。			おや……苦手の克服より、得意なことをやらせてはと？たしかに成果が出ないと、やる気も下がってしまいますしね。			始動、クラウンジェム工房！							
……完成品、ですか。たしかに、作った部品が最終的にどう使われるか、完成品がイメージできないから、上達が遅いのかも……。			……完成品、ですか。たしかに、作った部品が最終的にどう使われるか、完成品がイメージできないから、上達が遅いのかも……。			始動、クラウンジェム工房！							
では、こんな課題を出してみましょうか？まずはお手本として、こちらで完成品を作ってみせる。その上で、とにかく3人で、それに近い質のものを作りなさいと。			では、こんな課題を出してみましょうか？まずはお手本として、こちらで完成品を作ってみせる。その上で、とにかく3人で、それに近い質のものを作りなさいと。			始動、クラウンジェム工房！							
最初は、自分たちで作りあげることを優先させたいので、それぞれ、得意なことを分担させましょう。			最初は、自分たちで作りあげることを優先させたいので、それぞれ、得意なことを分担させましょう。			始動、クラウンジェム工房！							
とにかく完成させれば、どの工程にどんな意味があるのか、理解も進むと思いますの。師範、よいアイディアをありがとうございました……！			とにかく完成させれば、どの工程にどんな意味があるのか、理解も進むと思いますの。師範、よいアイディアをありがとうございました……！			始動、クラウンジェム工房！							
どうでしょう……こうしたお手本は、わたくしごときでなく、師範に作ってもらうのがよいと思いますの。徒弟さんの勉強にもなりますし、彼らのやる気も違うでしょう。			どうでしょう……こうしたお手本は、わたくしごときでなく、師範に作ってもらうのがよいと思いますの。徒弟さんの勉強にもなりますし、彼らのやる気も違うでしょう。			始動、クラウンジェム工房！							
たとえば……徒弟さんでも加工しやすいシルバーに、宝冠から取った美しいラピスラズリをあしらった、シルバーリングなどいかがでしょう？			たとえば……徒弟さんでも加工しやすいシルバーに、宝冠から取った美しいラピスラズリをあしらった、シルバーリングなどいかがでしょう？			始動、クラウンジェム工房！							
製作には、その材料をご使用ください。もしも足りなくなったら、「カンチャナ」さんに言えば、用意してもらえますよ。			製作には、その材料をご使用ください。もしも足りなくなったら、「カンチャナ」さんに言えば、用意してもらえますよ。			始動、クラウンジェム工房！							
クラフターの「クラスクエスト」では、クエスト中に入手した材料を使い、製作を行います。			クラフターの「クラスクエスト」では、クエスト中に入手した材料を使い、製作を行います。			始動、クラウンジェム工房！							
製作に失敗した場合は、NPCに話しかけることで、再度、材料を入手できます。			製作に失敗した場合は、NPCに話しかけることで、再度、材料を入手できます。			始動、クラウンジェム工房！							
それでは、実際に製作をしてみましょう！製作手帳「スペシャルレシピ」の「クラスクエスト関連」以下、「クラスクエスト」の項目を選択することで製作できます。			それでは、実際に製作をしてみましょう！製作手帳「スペシャルレシピ」の「クラスクエスト関連」以下、「クラスクエスト」の項目を選択することで製作できます。			始動、クラウンジェム工房！							
エメロスさんが、何か次の課題を出すらしいっすけど……何なんっすかね？			エメロスさんが、何か次の課題を出すらしいっすけど……何なんっすかね？			始動、クラウンジェム工房！							
ハルは、本当に嘘のつき甲斐があるなあ……。「次の課題は、墓場で肝だめしらしいぞ」って言ってみたら、真顔で信じやがった……。			ハルは、本当に嘘のつき甲斐があるなあ……。「次の課題は、墓場で肝だめしらしいぞ」って言ってみたら、真顔で信じやがった……。			始動、クラウンジェム工房！							
あっ、師範！次の課題は、肝だめしらしいって本当！？おいら、割と怖がりなんだよね……。			あっ、師範！次の課題は、肝だめしらしいって本当！？おいら、割と怖がりなんだよね……。			始動、クラウンジェム工房！							
シュー……追加の材料をご所望でしたら、ご遠慮なく。お手本ですもの、下手なものは見せられないわよね？			シュー……追加の材料をご所望でしたら、ご遠慮なく。お手本ですもの、下手なものは見せられないわよね？			始動、クラウンジェム工房！							
シュー……もう、お手本の指輪は完成したのでしょう？エメロスに渡してあげて。			シュー……もう、お手本の指輪は完成したのでしょう？エメロスに渡してあげて。			始動、クラウンジェム工房！							
あら、徒弟さんのための「手本用シルバーリング」は、おできになりましたの？			あら、徒弟さんのための「手本用シルバーリング」は、おできになりましたの？			始動、クラウンジェム工房！							
これは…………！何度も打ち鍛え、シルバーとは別物の硬さを得たリングに、狂いなく打ちこまれ、計算しつくされた槌目……！			これは…………！何度も打ち鍛え、シルバーとは別物の硬さを得たリングに、狂いなく打ちこまれ、計算しつくされた槌目……！			始動、クラウンジェム工房！							
……まさに完璧な仕事ですね。これならば、ナナモ様の宝冠の石を使う価値もあるというもの。			……まさに完璧な仕事ですね。これならば、ナナモ様の宝冠の石を使う価値もあるというもの。			始動、クラウンジェム工房！							
ふふ……素朴な品ほど、職人の腕前の差が出ると言うけれど、徒弟さんに、この素晴らしさがわかるかしら？			ふふ……素朴な品ほど、職人の腕前の差が出ると言うけれど、徒弟さんに、この素晴らしさがわかるかしら？			始動、クラウンジェム工房！							
徒弟さんたち、こちらへいらっしゃい！これからあなたたちに、シンプルな指輪を作ってもらいます。こちらに、師範みずからご製作されたお手本があります。			徒弟さんたち、こちらへいらっしゃい！これからあなたたちに、シンプルな指輪を作ってもらいます。こちらに、師範みずからご製作されたお手本があります。			始動、クラウンジェム工房！							
これを、あたしたちが作るっす！？…………はい、無理っす！			これを、あたしたちが作るっす！？…………はい、無理っす！			始動、クラウンジェム工房！							
シュー……ふふ、即答ですか。私にも、これが簡単に真似のできない職人技だってことは、わかるわよ。			シュー……ふふ、即答ですか。私にも、これが簡単に真似のできない職人技だってことは、わかるわよ。			始動、クラウンジェム工房！							
すぐに師範と同じ品質のものを作れとは言いません。まずは、とにもかくにも完成させること！			すぐに師範と同じ品質のものを作れとは言いません。まずは、とにもかくにも完成させること！			始動、クラウンジェム工房！							
おい…………どうする、ハル。オレ、金属加工はちょいと自信があったけど……先生のはまるっきり次元が違うぞ、これ！			おい…………どうする、ハル。オレ、金属加工はちょいと自信があったけど……先生のはまるっきり次元が違うぞ、これ！			始動、クラウンジェム工房！							
おいらは、宝石の研磨の精度に打ちのめされたよ。もともと丁寧にカットされていた石なのに、さらに磨きをかけて、表面の歪みを綺麗さっぱり消してあるんだ……。			おいらは、宝石の研磨の精度に打ちのめされたよ。もともと丁寧にカットされていた石なのに、さらに磨きをかけて、表面の歪みを綺麗さっぱり消してあるんだ……。			始動、クラウンジェム工房！							
ねえ、兄貴……どっちが得意とか、そんな問題じゃないよ。師範はその両方とも、こんな高い次元でこなしちゃうんだから。			ねえ、兄貴……どっちが得意とか、そんな問題じゃないよ。師範はその両方とも、こんな高い次元でこなしちゃうんだから。			始動、クラウンジェム工房！							
……目標が高すぎて、自分たちの得意不得意なんか、どうでもよくなった感じっすかね？			……目標が高すぎて、自分たちの得意不得意なんか、どうでもよくなった感じっすかね？			始動、クラウンジェム工房！							
ただ当面は、得意な分野を活かして分業してもらいましょう。……ウィドはシルバーの成形、ハルは宝石の研磨とカット。基本のデザインと最後の仕上げは、ジャ・ケビカの担当よ。			ただ当面は、得意な分野を活かして分業してもらいましょう。……ウィドはシルバーの成形、ハルは宝石の研磨とカット。基本のデザインと最後の仕上げは、ジャ・ケビカの担当よ。			始動、クラウンジェム工房！							
3人の力を合わせて、まずはひとつの品を仕上げてください。すべての面で師範のような高みをめざすのは、それぞれの役割が、立派にこなせるようになってからです。			3人の力を合わせて、まずはひとつの品を仕上げてください。すべての面で師範のような高みをめざすのは、それぞれの役割が、立派にこなせるようになってからです。			始動、クラウンジェム工房！							
(-徒弟たち-)……はいっ！			(-徒弟たち-)……はいっ！			始動、クラウンジェム工房！							
師範、すごいお手本を見せてもらって、感激っす！力を合わせて、がんばるっす！			師範、すごいお手本を見せてもらって、感激っす！力を合わせて、がんばるっす！			始動、クラウンジェム工房！							
今日からこの場所が、あなたたちの工房です。でも、まだ届いていない道具もあることですし、指輪製作は、明日からの課題といたしましょう。			今日からこの場所が、あなたたちの工房です。でも、まだ届いていない道具もあることですし、指輪製作は、明日からの課題といたしましょう。			始動、クラウンジェム工房！							
ふふふ……高い目標をまのあたりにして、徒弟さんたちの意識が、ガラリと変わりましたね。それでは、彼らがもう一段、成長するのを待つとしましょう！			ふふふ……高い目標をまのあたりにして、徒弟さんたちの意識が、ガラリと変わりましたね。それでは、彼らがもう一段、成長するのを待つとしましょう！			始動、クラウンジェム工房！							
彫金師として、さらなる技術的洗練を高め、「品質精査」を修得しました！			彫金師として、さらなる技術的洗練を高め、「品質精査」を修得しました！			始動、クラウンジェム工房！							
宝飾店「エシュテム」のマルセルは、冒険者に最後の依頼をしたいようだ。このクエストのコンプリートに必要な納品物を製作するためには、「彫金秘伝書:第3巻」の修得が必要です。			宝飾店「エシュテム」のマルセルは、冒険者に最後の依頼をしたいようだ。このクエストのコンプリートに必要な納品物を製作するためには、「彫金秘伝書:第3巻」の修得が必要です。			絆むすぶもの							
マルセルの依頼を受けた。特別な日を祝う夫婦のために「スターサファイアオルゴール」「スタールビーオルゴール」を製作し、宝飾店「エシュテム」のマルセルに見せよう。「スターサファイアオルゴール」「スタールビーオルゴール」を製作するためには、「彫金秘伝書:第3巻」の修得が必要です。			マルセルの依頼を受けた。特別な日を祝う夫婦のために「スターサファイアオルゴール」「スタールビーオルゴール」を製作し、宝飾店「エシュテム」のマルセルに見せよう。「スターサファイアオルゴール」「スタールビーオルゴール」を製作するためには、「彫金秘伝書:第3巻」の修得が必要です。			絆むすぶもの							
マルセルは夫婦を驚かせるため、夫婦それぞれを別個に呼び出したという。まずは、ウルダハのクイックサンドにいる「スティル・リバー」に「スタールビーオルゴール」を納品しよう。			マルセルは夫婦を驚かせるため、夫婦それぞれを別個に呼び出したという。まずは、ウルダハのクイックサンドにいる「スティル・リバー」に「スタールビーオルゴール」を納品しよう。			絆むすぶもの							
スティル・リバーにオルゴールを納品した。次は、クイックサンドの「ジュエルド・ピーク」に「スターサファイアオルゴール」を納品しよう。			スティル・リバーにオルゴールを納品した。次は、クイックサンドの「ジュエルド・ピーク」に「スターサファイアオルゴール」を納品しよう。			絆むすぶもの							
特別な編曲をほどこしたオルゴールを、夫婦に納品した。夫婦は冒険者の粋なはからいに感動し、心からの感謝を示した。セレンディピティーやその師コルベルヌが見守るなか、「形なきものに形をあたえ、心なき黄金に心を刻め」という言葉を、余すところなく実現できたようだ。宝飾店エシュテムの「マルセル」に報告しよう。			特別な編曲をほどこしたオルゴールを、夫婦に納品した。夫婦は冒険者の粋なはからいに感動し、心からの感謝を示した。セレンディピティーやその師コルベルヌが見守るなか、「形なきものに形をあたえ、心なき黄金に心を刻め」という言葉を、余すところなく実現できたようだ。宝飾店エシュテムの「マルセル」に報告しよう。			絆むすぶもの							
マルセルに報告した。彼は名門「エシュテム」の歴史においても、後々まで語り草になるであろう「超一流」の仕事だと絶賛した。さらなる高みをめざし、心と技を究めることで、エオルゼアの彫金師の歴史に新たな物語を刻んでいこう。※以下の条件を満たすと、彫金師ギルドのセレンディピティーから、新たなクラスクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			マルセルに報告した。彼は名門「エシュテム」の歴史においても、後々まで語り草になるであろう「超一流」の仕事だと絶賛した。さらなる高みをめざし、心と技を究めることで、エオルゼアの彫金師の歴史に新たな物語を刻んでいこう。※以下の条件を満たすと、彫金師ギルドのセレンディピティーから、新たなクラスクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			絆むすぶもの							
スターサファイアオルゴールとスタールビーオルゴールを製作しマルセルに見せる			スターサファイアオルゴールとスタールビーオルゴールを製作しマルセルに見せる			絆むすぶもの							
クイックサンドのスティル・リバーにスタールビーオルゴールを納品			クイックサンドのスティル・リバーにスタールビーオルゴールを納品			絆むすぶもの							
ジュエルド・ピークにスターサファイアオルゴールを納品			ジュエルド・ピークにスターサファイアオルゴールを納品			絆むすぶもの							
宝飾店「エシュテム」のマルセルに報告			宝飾店「エシュテム」のマルセルに報告			絆むすぶもの							
