巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			学問ノススメ							
「学者」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			「学者」になった状態で「ドルムキマイラ討伐戦」に挑み、ドルムキマイラを倒しましょう！			蘇る古の武器（マダレムジエン）							
……チッ、まぁ～だ生きていやがったンか……。ドルムキマイラも案外ふがいねぇ……いや、なンでもねぇよ。こっちの話だ。			……チッ、まぁ～だ生きていやがったンか……。ドルムキマイラも案外ふがいねぇ……いや、なンでもねぇよ。こっちの話だ。			蘇る古の武器（マダレムジエン）							
ともかく「アルミナ研粒」、確かに受け取ったぞ。ちょいと待ってろ、復元作業を進めるからよ……。			ともかく「アルミナ研粒」、確かに受け取ったぞ。ちょいと待ってろ、復元作業を進めるからよ……。			蘇る古の武器（マダレムジエン）							
ふぅ……。細部に手を入れたからそれなりの見た目には、なってきたぞ。			ふぅ……。細部に手を入れたからそれなりの見た目には、なってきたぞ。			蘇る古の武器（マダレムジエン）							
だが、何かが足りねぇ……。今度ばかりは、さすがのオレにも何が足りねぇのかがわからン。			だが、何かが足りねぇ……。今度ばかりは、さすがのオレにも何が足りねぇのかがわからン。			蘇る古の武器（マダレムジエン）							
もっと、この「古の武器」に関する情報があれば……そう、情報が足りねぇンだ！			もっと、この「古の武器」に関する情報があれば……そう、情報が足りねぇンだ！			蘇る古の武器（マダレムジエン）							
過去に「古の武器」を使っていた英雄たちについて、ヤツらの活躍を描いた逸話や伝承、詩歌を集めてこい。その中に、何かヒントになることが書かれているかもしれン！			過去に「古の武器」を使っていた英雄たちについて、ヤツらの活躍を描いた逸話や伝承、詩歌を集めてこい。その中に、何かヒントになることが書かれているかもしれン！			蘇る古の武器（マダレムジエン）							
誰に聞けばいいのか、だと？古い写本でも持ってねぇか、ロウェナにでも聞いてみるンだな。あのアバズレは、古い品物にめっぽう詳しいからよ。			誰に聞けばいいのか、だと？古い写本でも持ってねぇか、ロウェナにでも聞いてみるンだな。あのアバズレは、古い品物にめっぽう詳しいからよ。			蘇る古の武器（マダレムジエン）							
ん、調子はどう？ゲロルトには、ウンザリさせられているって表情ね。ところで、あたしに御用？			ん、調子はどう？ゲロルトには、ウンザリさせられているって表情ね。ところで、あたしに御用？			蘇る古の武器（マダレムジエン）							
……「古の武器」の復元のために、英雄たちについての逸話を記した写本を……ね。			……「古の武器」の復元のために、英雄たちについての逸話を記した写本を……ね。			蘇る古の武器（マダレムジエン）							
確かに、あたしのツテを使えば、そうした古い写本や書物を手に入れることは、さほど難しくはないはず。			確かに、あたしのツテを使えば、そうした古い写本や書物を手に入れることは、さほど難しくはないはず。			蘇る古の武器（マダレムジエン）							
でも、あたしは商人なの。タダで取り寄せるなんて願い下げ。ここは冒険者と商人らしく、取引といきましょう。			でも、あたしは商人なの。タダで取り寄せるなんて願い下げ。ここは冒険者と商人らしく、取引といきましょう。			蘇る古の武器（マダレムジエン）							
あたしは「古の学者」を題材にした写本を探す。あんたは、あたしが欲しいものを手に入れる。			あたしは「古の学者」を題材にした写本を探す。あんたは、あたしが欲しいものを手に入れる。			蘇る古の武器（マダレムジエン）							
つまり「アムダプールの石板」よ。黒衣森南部森林の「古城アムダプール」っていう第五星暦時代の遺跡を踏破すれば見つかるはずよ。			つまり「アムダプールの石板」よ。黒衣森南部森林の「古城アムダプール」っていう第五星暦時代の遺跡を踏破すれば見つかるはずよ。			蘇る古の武器（マダレムジエン）							
さぁ、公正な取引を成立させるためにも、お互い必要なものを手に入れてこようじゃないか。			さぁ、公正な取引を成立させるためにも、お互い必要なものを手に入れてこようじゃないか。			蘇る古の武器（マダレムジエン）							
確かに、集めてくれたようだね。こっちも約束を守るとしよう。さぁ、交換だよ。			確かに、集めてくれたようだね。こっちも約束を守るとしよう。さぁ、交換だよ。			蘇る古の武器（マダレムジエン）							
チッ、もう戻ったのか……おぅおぅ、ごくろうさンでしたっと。			チッ、もう戻ったのか……おぅおぅ、ごくろうさンでしたっと。			蘇る古の武器（マダレムジエン）							
確かに「古の学者」について記された写本みてぇだな。しっかし、読みにくい代物だなぁ、オイ。			確かに「古の学者」について記された写本みてぇだな。しっかし、読みにくい代物だなぁ、オイ。			蘇る古の武器（マダレムジエン）							
そうだ。オレが休ン……じゃねぇ、写本を読み込ンでる間に、テメェは、この「未完のマダレムジエン」を試してこい！			そうだ。オレが休ン……じゃねぇ、写本を読み込ンでる間に、テメェは、この「未完のマダレムジエン」を試してこい！			蘇る古の武器（マダレムジエン）							
カタチだけは、それなりに仕上がってるから、そこそこ使える武器にはなってるハズだ。			カタチだけは、それなりに仕上がってるから、そこそこ使える武器にはなってるハズだ。			蘇る古の武器（マダレムジエン）							
学者ならではの視点ってやつで、この武器に何が足りてねぇのかを調べてくれ。			学者ならではの視点ってやつで、この武器に何が足りてねぇのかを調べてくれ。			蘇る古の武器（マダレムジエン）							
写本から得られる知識と、テメェが体感して得た感覚。これを合わせることで、答えを探すンだ。			写本から得られる知識と、テメェが体感して得た感覚。これを合わせることで、答えを探すンだ。			蘇る古の武器（マダレムジエン）							
よし、かつての「学者」の様に、「未完のマダレムジエン」を装備して、強敵と戦ってこい。			よし、かつての「学者」の様に、「未完のマダレムジエン」を装備して、強敵と戦ってこい。			蘇る古の武器（マダレムジエン）							
……そうだな、西ラノシアの「サプサ産卵地」にいるサプサ・シェルフスパイン、サプサ・シェルフクロウ、サプサ・シェルフトゥースを各8体なで斬りにして来るンだ！			……そうだな、西ラノシアの「サプサ産卵地」にいるサプサ・シェルフスパイン、サプサ・シェルフクロウ、サプサ・シェルフトゥースを各8体なで斬りにして来るンだ！			蘇る古の武器（マダレムジエン）							
よし、かつての「学者」の様に、「未完のマダレムジエン」を装備して、強敵と戦ってこい。			よし、かつての「学者」の様に、「未完のマダレムジエン」を装備して、強敵と戦ってこい。			蘇る古の武器（マダレムジエン）							
……そうだな、西ラノシアの「サプサ産卵地」にいるサプサ・シェルフスパイン、サプサ・シェルフクロウ、サプサ・シェルフトゥースを各8体なで斬りにして来るンだ！			……そうだな、西ラノシアの「サプサ産卵地」にいるサプサ・シェルフスパイン、サプサ・シェルフクロウ、サプサ・シェルフトゥースを各8体なで斬りにして来るンだ！			蘇る古の武器（マダレムジエン）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（マダレムジエン）							
おう、帰ってきたか。……だが、そのツラからすっと、まだ古の武器に足りねぇモンを掴みきれてねぇようだな？			おう、帰ってきたか。……だが、そのツラからすっと、まだ古の武器に足りねぇモンを掴みきれてねぇようだな？			蘇る古の武器（マダレムジエン）							
こうなったら、伝説に残るような戦いをするっきゃねぇ。……そうだな「ハラタリ修練所」のヌシ、多頭龍「ハイドラ」を倒してこい。			こうなったら、伝説に残るような戦いをするっきゃねぇ。……そうだな「ハラタリ修練所」のヌシ、多頭龍「ハイドラ」を倒してこい。			蘇る古の武器（マダレムジエン）							
東ザナラーン「ハラタリ修練所」前の指定地点で、コンテンツ「ハイドラ討伐戦」を開放できるようになりました。			東ザナラーン「ハラタリ修練所」前の指定地点で、コンテンツ「ハイドラ討伐戦」を開放できるようになりました。			蘇る古の武器（マダレムジエン）							
「未完のマダレムジエン」を装備して「ハイドラ討伐戦」に挑み、ハイドラを倒しましょう！			「未完のマダレムジエン」を装備して「ハイドラ討伐戦」に挑み、ハイドラを倒しましょう！			蘇る古の武器（マダレムジエン）							
棲み着いていた魔獣も、あらかた掃討できたんですが、「ハイドラ」という大物だけが残っていて……。ええ！？　奴に挑むつもりですか？			棲み着いていた魔獣も、あらかた掃討できたんですが、「ハイドラ」という大物だけが残っていて……。ええ！？　奴に挑むつもりですか？			蘇る古の武器（マダレムジエン）							
修練所のヌシ「ハイドラ」は、恐怖をまき散らす、恐るべき存在。命の保証はできませんよ、それでも行くのです！？			修練所のヌシ「ハイドラ」は、恐怖をまき散らす、恐るべき存在。命の保証はできませんよ、それでも行くのです！？			蘇る古の武器（マダレムジエン）							
ハイドラとの戦いは、「未完のマダレムジエン」を装備している状態でのみ挑むことができます。			ハイドラとの戦いは、「未完のマダレムジエン」を装備している状態でのみ挑むことができます。			蘇る古の武器（マダレムジエン）							
あぁン？　写本はどうしたのか、だと？細けぇ文字を見てると、頭痛くなるンでな！……ヤカン作って、気分転換してるンだよ！			あぁン？　写本はどうしたのか、だと？細けぇ文字を見てると、頭痛くなるンでな！……ヤカン作って、気分転換してるンだよ！			蘇る古の武器（マダレムジエン）							
ガミガミガミガミ、テメェはオレの母ちゃんか？			ガミガミガミガミ、テメェはオレの母ちゃんか？			蘇る古の武器（マダレムジエン）							
テメェも、こんなところでグダグダしてねぇでさっさと「未完のマダレムジエン」を試して、意見を聞かせろってンだ！　チクショウめぇ！			テメェも、こんなところでグダグダしてねぇでさっさと「未完のマダレムジエン」を試して、意見を聞かせろってンだ！　チクショウめぇ！			蘇る古の武器（マダレムジエン）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（マダレムジエン）							
チッ、まだ生きてやがったンか……。ハイドラに喰われれば、良かったのにな？……まぁ、それはともかく、写本の話でもすっか。			チッ、まだ生きてやがったンか……。ハイドラに喰われれば、良かったのにな？……まぁ、それはともかく、写本の話でもすっか。			蘇る古の武器（マダレムジエン）							
例の写本はな、魔大戦にまつわる古文書を、丁寧に写しとったもンでな。			例の写本はな、魔大戦にまつわる古文書を、丁寧に写しとったもンでな。			蘇る古の武器（マダレムジエン）							
ニーム海兵団が、上陸してきたアムダプールの軍勢を撃退した戦い、「ゴッズグリップ上陸戦」について記されていたンだ。			ニーム海兵団が、上陸してきたアムダプールの軍勢を撃退した戦い、「ゴッズグリップ上陸戦」について記されていたンだ。			蘇る古の武器（マダレムジエン）							
もちろん、その戦いには古の学者たちも参戦していたからな。軍学大全「マダレムジエン」についても、少しは記述があったぜ。			もちろん、その戦いには古の学者たちも参戦していたからな。軍学大全「マダレムジエン」についても、少しは記述があったぜ。			蘇る古の武器（マダレムジエン）							
それによると、どうやらその表紙は、使用者の掌から効率よくエーテルが流れ込むよう紋様が描かれていンだと。装飾にも意味があったってこった。			それによると、どうやらその表紙は、使用者の掌から効率よくエーテルが流れ込むよう紋様が描かれていンだと。装飾にも意味があったってこった。			蘇る古の武器（マダレムジエン）							
そんなわけで、オレの方は収穫があった。テメェの方は、どうなんだ？　しっかり使い込ンだンだろうな？「体感して得た感覚」ってもンを、説明してもらおうか！			そんなわけで、オレの方は収穫があった。テメェの方は、どうなんだ？　しっかり使い込ンだンだろうな？「体感して得た感覚」ってもンを、説明してもらおうか！			蘇る古の武器（マダレムジエン）							
なるほど……言いてぇことはわかった。確かに、テメェが指摘することにも一理はある。			なるほど……言いてぇことはわかった。確かに、テメェが指摘することにも一理はある。			蘇る古の武器（マダレムジエン）							
よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			蘇る古の武器（マダレムジエン）							
大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			大切な武器を捨てちゃうなんて、とんでもないクポ！モグがちゃんと拾っておいたクポ！絶対なくしちゃダメクポよ？			蘇る古の武器（マダレムジエン）							
よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			よし。写本の記述を再現しつつ、テメェの手に馴染むように調整を加えてやンぞ。貸してみろや。			蘇る古の武器（マダレムジエン）							
ふぅ……これで、ちったぁマシになったろう。あとは、最後の焼き入れを残すのみだ……。			ふぅ……これで、ちったぁマシになったろう。あとは、最後の焼き入れを残すのみだ……。			蘇る古の武器（マダレムジエン）							
「古の武器」と原型の武器、ふたつの武器と使い手の魂を最後の焼き入れによって、完全に融合させる！　往年の姿を復元するンだ！			「古の武器」と原型の武器、ふたつの武器と使い手の魂を最後の焼き入れによって、完全に融合させる！　往年の姿を復元するンだ！			蘇る古の武器（マダレムジエン）							
そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			蘇る古の武器（マダレムジエン）							
焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			蘇る古の武器（マダレムジエン）							
「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			蘇る古の武器（マダレムジエン）							
なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（マダレムジエン）							
そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			蘇る古の武器（マダレムジエン）							
焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			蘇る古の武器（マダレムジエン）							
「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			蘇る古の武器（マダレムジエン）							
なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（マダレムジエン）							
ヘ、ヘヘヘッ……本当に蛮神との戦いから、生きて戻ってくるとはよ……。し、心配し……いや、なんだ。……テメェも、やるじゃねぇか。			ヘ、ヘヘヘッ……本当に蛮神との戦いから、生きて戻ってくるとはよ……。し、心配し……いや、なんだ。……テメェも、やるじゃねぇか。			蘇る古の武器（マダレムジエン）							
よし、まずは「イフリートの炎」、「ガルーダの風」、「タイタンの黄土」を渡してくれ。炉の準備をするからよ……。			よし、まずは「イフリートの炎」、「ガルーダの風」、「タイタンの黄土」を渡してくれ。炉の準備をするからよ……。			蘇る古の武器（マダレムジエン）							
へへ……こいつがあれば炉は問題ねぇ。お次は、冷却用の「ラザハン焼入油」だ。ちゃんと用意してきたンだろうな？			へへ……こいつがあれば炉は問題ねぇ。お次は、冷却用の「ラザハン焼入油」だ。ちゃんと用意してきたンだろうな？			蘇る古の武器（マダレムジエン）							
「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（マダレムジエン）							
ヘ、ヘヘヘッ……これで全ての準備が整ったぜ。			ヘ、ヘヘヘッ……これで全ての準備が整ったぜ。			蘇る古の武器（マダレムジエン）							
テメェが神狩りを成したのなら、オレも武具職人として、神業を見せねぇわけにはいかねぇな。			テメェが神狩りを成したのなら、オレも武具職人として、神業を見せねぇわけにはいかねぇな。			蘇る古の武器（マダレムジエン）							
はぁ、はぁ、はぁ……つ、ついにできたぞ……それが「マダレムジエン」だッ！！！大切にしろよなッ！！！			はぁ、はぁ、はぁ……つ、ついにできたぞ……それが「マダレムジエン」だッ！！！大切にしろよなッ！！！			蘇る古の武器（マダレムジエン）							
この先、クエストを進行させるには、「邪教排撃 古城アムダプール」の攻略が必要になります。			この先、クエストを進行させるには、「邪教排撃 古城アムダプール」の攻略が必要になります。			蘇る古の武器（マダレムジエン）							
なお、「邪教排撃 古城アムダプール」をコンテンツファインダーに登録するためには、特定のクエストをコンプリートする必要があります。			なお、「邪教排撃 古城アムダプール」をコンテンツファインダーに登録するためには、特定のクエストをコンプリートする必要があります。			蘇る古の武器（マダレムジエン）							
この先、クエストを進行させるには、「真イフリート討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真イフリート討滅戦」の攻略が必要になります。			蘇る古の武器（マダレムジエン）							
なお、「真イフリート討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真イフリート討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（マダレムジエン）							
この先、クエストを進行させるには、「真ガルーダ討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真ガルーダ討滅戦」の攻略が必要になります。			蘇る古の武器（マダレムジエン）							
なお、「真ガルーダ討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真ガルーダ討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（マダレムジエン）							
この先、クエストを進行させるには、「真タイタン討滅戦」の攻略が必要になります。			この先、クエストを進行させるには、「真タイタン討滅戦」の攻略が必要になります。			蘇る古の武器（マダレムジエン）							
なお、「真タイタン討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			なお、「真タイタン討滅戦」をコンテンツファインダーに登録するためには、メインクエストを進めておく必要があります。			蘇る古の武器（マダレムジエン）							
貧乏臭ぇ冒険者が、なンの用だ？　あぁン？こちとらテメェになんざ、用はねぇンだよ！			貧乏臭ぇ冒険者が、なンの用だ？　あぁン？こちとらテメェになんざ、用はねぇンだよ！			蘇る古の武器（マダレムジエン）							
クエスト「蘇る古の武器」を同時に複数、受注することはできません。別の武器を入手したい場合は、該当クエストをコンプリートするか、破棄する必要があります。			クエスト「蘇る古の武器」を同時に複数、受注することはできません。別の武器を入手したい場合は、該当クエストをコンプリートするか、破棄する必要があります。			蘇る古の武器（マダレムジエン）							
ドルムキマイラを倒せ！			ドルムキマイラを倒せ！			蘇る古の武器（マダレムジエン）							
ハイドラを倒せ！			ハイドラを倒せ！			蘇る古の武器（マダレムジエン）							
斧術士ギルドのアルカ・ゾルカは、冒険者に頼みたいことがあるようだ。			斧術士ギルドのアルカ・ゾルカは、冒険者に頼みたいことがあるようだ。			ブロンズレイクの再会							
前回までの冒険録：冒険者は、斧術士アルカ・ゾルカの依頼の最中、学者の力とフェアリーを目覚めさせる。フェアリーは、かつてニーム海兵団の軍学者スリト・カリトに仕えていたが、彼は、謎の奇病により、その身をトンベリと化してしまっていた。正気を取り戻したスリト・カリトは、フェアリーを冒険者に託して去っていったのだった。　　　　　　　　　　　　*　*　*アルカ・ゾルカの依頼を受けた。高地ラノシアのワンダラーパレスにいる「スリト・カリト」と話そう。			前回までの冒険録：冒険者は、斧術士アルカ・ゾルカの依頼の最中、学者の力とフェアリーを目覚めさせる。フェアリーは、かつてニーム海兵団の軍学者スリト・カリトに仕えていたが、彼は、謎の奇病により、その身をトンベリと化してしまっていた。正気を取り戻したスリト・カリトは、フェアリーを冒険者に託して去っていったのだった。　　　　　　　　　　　　*　*　*アルカ・ゾルカの依頼を受けた。高地ラノシアのワンダラーパレスにいる「スリト・カリト」と話そう。			ブロンズレイクの再会							
スリト・カリトと話した。外地ラノシアのロングクライムで「封印の要石」を探そう。			スリト・カリトと話した。外地ラノシアのロングクライムで「封印の要石」を探そう。			ブロンズレイクの再会							
封印の要石を守る古代のガーディアンを討伐した。ロングクライムで「封印の要石」を入手しよう。			封印の要石を守る古代のガーディアンを討伐した。ロングクライムで「封印の要石」を入手しよう。			ブロンズレイクの再会							
封印の要石を入手した。ワンダラーパレスの「スリト・カリト」に「封印の要石」を渡そう。			封印の要石を入手した。ワンダラーパレスの「スリト・カリト」に「封印の要石」を渡そう。			ブロンズレイクの再会							
スリト・カリトに封印の要石を渡した。ワンダラーパレスを封じるには、さらに大要石が必要らしい。石の在処が判明するまで、修行を積みながら待つことにしよう。※学者のレベルが52以上になると、ワンダラーパレスのスリト・カリトから次の学者クエストを受注することができます。			スリト・カリトに封印の要石を渡した。ワンダラーパレスを封じるには、さらに大要石が必要らしい。石の在処が判明するまで、修行を積みながら待つことにしよう。※学者のレベルが52以上になると、ワンダラーパレスのスリト・カリトから次の学者クエストを受注することができます。			ブロンズレイクの再会							
ワンダラーパレスのスリト・カリトと話す			ワンダラーパレスのスリト・カリトと話す			ブロンズレイクの再会							
外地ラノシアの封印の要石を探す			外地ラノシアの封印の要石を探す			ブロンズレイクの再会							
封印の要石を入手			封印の要石を入手			ブロンズレイクの再会							
ワンダラーパレスのスリト・カリトに封印の要石を渡す			ワンダラーパレスのスリト・カリトに封印の要石を渡す			ブロンズレイクの再会							
やあやあ、Forename君！相変わらず、いいところに来てくれるじゃないか！何だか都合が良すぎて、怖いくらいだよ。			やあやあ、Forename君！相変わらず、いいところに来てくれるじゃないか！何だか都合が良すぎて、怖いくらいだよ。			ブロンズレイクの再会							
というのも、ついさっきレターモーグリが、ここ斧術士ギルドにやって来たみたいでね。僕と君宛ての手紙を置いていったのさ。			というのも、ついさっきレターモーグリが、ここ斧術士ギルドにやって来たみたいでね。僕と君宛ての手紙を置いていったのさ。			ブロンズレイクの再会							
差出人は誰あろう、スリト・カリトさんだ。何でも、僕たちふたりに力を貸してほしいそうだよ。			差出人は誰あろう、スリト・カリトさんだ。何でも、僕たちふたりに力を貸してほしいそうだよ。			ブロンズレイクの再会							
あの人は、ニーム海兵団を率いた伝説の学者……。つまり、新生「海兵団」である僕らの大先輩さ。そんな人の頼みを、断れるかってんだい！			あの人は、ニーム海兵団を率いた伝説の学者……。つまり、新生「海兵団」である僕らの大先輩さ。そんな人の頼みを、断れるかってんだい！			ブロンズレイクの再会							
「スリト・カリト」さんは、高地ラノシアのブロンズレイク湖畔、「ワンダラーパレス」を臨む場所で待っているそうだ。さっそく行こう、Forename君！			「スリト・カリト」さんは、高地ラノシアのブロンズレイク湖畔、「ワンダラーパレス」を臨む場所で待っているそうだ。さっそく行こう、Forename君！			ブロンズレイクの再会							
「スリト・カリト」さんは、高地ラノシアのブロンズレイク湖畔、「ワンダラーパレス」を臨む場所で待っているそうだ。さっそく行こう、Forename君！			「スリト・カリト」さんは、高地ラノシアのブロンズレイク湖畔、「ワンダラーパレス」を臨む場所で待っているそうだ。さっそく行こう、Forename君！			ブロンズレイクの再会							
おぉ、よく来てくれた！わざわざ呼び出してすまなかったね。			おぉ、よく来てくれた！わざわざ呼び出してすまなかったね。			ブロンズレイクの再会							
僕らで良かったら、いつだって力になりますよ！……でも、いったい何があったと言うんです？			僕らで良かったら、いつだって力になりますよ！……でも、いったい何があったと言うんです？			ブロンズレイクの再会							
うむ、順を追って説明しよう……。お主とリリィベルの癒やしの力により、正気を取り戻した私は、あの後、仲間の元に戻ったのだ。			うむ、順を追って説明しよう……。お主とリリィベルの癒やしの力により、正気を取り戻した私は、あの後、仲間の元に戻ったのだ。			ブロンズレイクの再会							
私は、学者としての知識のかぎりを尽くし、仲間たちを「怨み」の心から解き放たんと努力した。そして、一部の者の正気を取り戻すことに成功したのだ……。			私は、学者としての知識のかぎりを尽くし、仲間たちを「怨み」の心から解き放たんと努力した。そして、一部の者の正気を取り戻すことに成功したのだ……。			ブロンズレイクの再会							
そして、Forename、お主ら冒険者の活躍で、「怨み」の権化である「トンベリキング」が倒された……。こうして徐々に仲間たちは、正気を取り戻していったのだ。			そして、Forename、お主ら冒険者の活躍で、「怨み」の権化である「トンベリキング」が倒された……。こうして徐々に仲間たちは、正気を取り戻していったのだ。			ブロンズレイクの再会							
もちろん姿は、醜い化け物のままだし、外の世界に出て暮らすことは難しいだろう……。だが、心静かで穏やかな暮らしに、皆、満足していた。			もちろん姿は、醜い化け物のままだし、外の世界に出て暮らすことは難しいだろう……。だが、心静かで穏やかな暮らしに、皆、満足していた。			ブロンズレイクの再会							
だが、病はどこまでも私たちを苦しめる気らしい。一部の仲間たちの病状が進行しはじめたのだ……。			だが、病はどこまでも私たちを苦しめる気らしい。一部の仲間たちの病状が進行しはじめたのだ……。			ブロンズレイクの再会							
そ、そんな……！！今まで1500年以上、病は進行していなかったのでしょう？なんで今になって、突然そんなことに！？			そ、そんな……！！今まで1500年以上、病は進行していなかったのでしょう？なんで今になって、突然そんなことに！？			ブロンズレイクの再会							
患者ごとワンダラーパレスを湖に封じた封印魔法が、「第七霊災」とやらの衝撃で、解かれてしまったためだろう。1500年間、私たちは神殿とともに眠っていたのだよ。			患者ごとワンダラーパレスを湖に封じた封印魔法が、「第七霊災」とやらの衝撃で、解かれてしまったためだろう。1500年間、私たちは神殿とともに眠っていたのだよ。			ブロンズレイクの再会							
私は、何としても「トンベリ病」の治療法を見つけるつもりだ。だが、それには途方もない年月が必要だろうし、それまで仲間の命が保つ保証はない……。			私は、何としても「トンベリ病」の治療法を見つけるつもりだ。だが、それには途方もない年月が必要だろうし、それまで仲間の命が保つ保証はない……。			ブロンズレイクの再会							
……でも、諦めるつもりじゃないんでしょう？だからこそ僕らを呼んだ……違いますか？			……でも、諦めるつもりじゃないんでしょう？だからこそ僕らを呼んだ……違いますか？			ブロンズレイクの再会							
そのとおりだよ、アルカ・ゾルカ君。私は、ワンダラーパレスの一角に重症患者を集め、再び封印魔法で封じるつもりだ。			そのとおりだよ、アルカ・ゾルカ君。私は、ワンダラーパレスの一角に重症患者を集め、再び封印魔法で封じるつもりだ。			ブロンズレイクの再会							
そして、仲間が封印の眠りについている間に、「トンベリ病」の治療法を研究する！			そして、仲間が封印の眠りについている間に、「トンベリ病」の治療法を研究する！			ブロンズレイクの再会							
お主たちには、再封印に必要な要石を集めてきてもらいたい。私が出歩こうものなら、「もぶはんたー」とやらに、追いかけ回されることになるのでな……。			お主たちには、再封印に必要な要石を集めてきてもらいたい。私が出歩こうものなら、「もぶはんたー」とやらに、追いかけ回されることになるのでな……。			ブロンズレイクの再会							
がってん承知です！Forename君、やってやろうじゃないか！			がってん承知です！Forename君、やってやろうじゃないか！			ブロンズレイクの再会							
「封印の要石」は、湖を囲むように配置されていたはず。ふたりには、それぞれ地図に指示した場所に赴き、「封印の要石」を探してきてもらいたい。			「封印の要石」は、湖を囲むように配置されていたはず。ふたりには、それぞれ地図に指示した場所に赴き、「封印の要石」を探してきてもらいたい。			ブロンズレイクの再会							
よし、僕はブロンズレイクの西岸に向かうぞ。君は北岸の「外地ラノシア」方面を頼む！「封印の要石」を見つけるんだ！			よし、僕はブロンズレイクの西岸に向かうぞ。君は北岸の「外地ラノシア」方面を頼む！「封印の要石」を見つけるんだ！			ブロンズレイクの再会							
どうだね、「封印の要石」は見つかったかな？			どうだね、「封印の要石」は見つかったかな？			ブロンズレイクの再会							
