剣術士ギルドのミラは何やら慌てているようだ。			剣術士ギルドのミラは何やら慌てているようだ。			ナルザルの双剣							
頑固で偏屈で横暴で……まったく、どうしようもねェクソジジイだったよ。だが剣への情熱だけは世界一だった……。			頑固で偏屈で横暴で……まったく、どうしようもねェクソジジイだったよ。だが剣への情熱だけは世界一だった……。			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
なぁ、Forename、お前に折り入って頼みたいことがある。頼みっていうのは、他でもねェ……。			なぁ、Forename、お前に折り入って頼みたいことがある。頼みっていうのは、他でもねェ……。			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
「アラクラン」の刺客か？			「アラクラン」の刺客か？			果たし合う剣と拳							
ザナ・リエーガ……。リーヴォルド様の……影……。アルディス……お前を……葬る……。……お前……危険な敵……。			ザナ・リエーガ……。リーヴォルド様の……影……。アルディス……お前を……葬る……。……お前……危険な敵……。			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
ザナとやら、リーヴォルドを信用するな。お前みたいな、思い込みタイプの子猫ちゃんは、きっと手痛く裏切られるぜ、昔の俺のようにな。			ザナとやら、リーヴォルドを信用するな。お前みたいな、思い込みタイプの子猫ちゃんは、きっと手痛く裏切られるぜ、昔の俺のようにな。			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
……リーヴォルド様への……愚弄は…………ユルサナイ……コロス……！			……リーヴォルド様への……愚弄は…………ユルサナイ……コロス……！			果たし合う剣と拳							
Forename、子猫ちゃんの相手はお前に任せた。心配すんな、今のお前なら勝てない敵じゃない。試練の成果を見せてみろ！			Forename、子猫ちゃんの相手はお前に任せた。心配すんな、今のお前なら勝てない敵じゃない。試練の成果を見せてみろ！			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
ヒュ～ッ、さすがだぜForename。それでこそ、俺の見込んだ剣術士。そして……ミラもな……。			ヒュ～ッ、さすがだぜForename。それでこそ、俺の見込んだ剣術士。そして……ミラもな……。			果たし合う剣と拳							
ミラは本物の剣術士だ……だが危うい。あいつの剣には、迷いがある。だからこそ、ミラにはお前のような女男が必要なんだ。			ミラは本物の剣術士だ……だが危うい。あいつの剣には、迷いがある。だからこそ、ミラにはお前のような女男が必要なんだ。			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
ここまで言えばわかるよな？俺はお前にミラとギルドの将来を託したい。			ここまで言えばわかるよな？俺はお前にミラとギルドの将来を託したい。			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
任せてください。がんばります。			任せてください。がんばります。			果たし合う剣と拳							
それはあなたの役目じゃないのですか？			それはあなたの役目じゃないのですか？			果たし合う剣と拳							
いい子だ……ものわかりが良くて助かるぜ。俺には、俺のやり残したことがあるんでな。			いい子だ……ものわかりが良くて助かるぜ。俺には、俺のやり残したことがあるんでな。			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
フッ、よしてくれ……ガラじゃない。ウルダハには、風が吹いている。荒野を渡る、砂混じりの厳しい風……。			フッ、よしてくれ……ガラじゃない。ウルダハには、風が吹いている。荒野を渡る、砂混じりの厳しい風……。			果たし合う剣と拳							
俺は、その風に翻弄されるだけの、糸の切れた凧みたいなもんだ…………それに俺にはまだ、やり残したことがある。			俺は、その風に翻弄されるだけの、糸の切れた凧みたいなもんだ…………それに俺にはまだ、やり残したことがある。			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
墓の下に眠るクソジジィの弔い。そして、俺を縛りつける過去の亡霊をザル神の待つあの世に叩き堕とすことさ……。			墓の下に眠るクソジジィの弔い。そして、俺を縛りつける過去の亡霊をザル神の待つあの世に叩き堕とすことさ……。			果たし合う剣と拳							
(CUT)			(CUT)			果たし合う剣と拳							
さぁ、ミラの元に帰るんだ。あいつに必要なのは俺じゃなく、お前なんだ。			さぁ、ミラの元に帰るんだ。あいつに必要なのは俺じゃなく、お前なんだ。			果たし合う剣と拳							
ああ、Forename Surnameか。どうした？　私の顔に何かついているのか？……あまりジロジロ見るな……照れるだろ！			ああ、Forename Surnameか。どうした？　私の顔に何かついているのか？……あまりジロジロ見るな……照れるだろ！			果たし合う剣と拳							
お、お前は黙って剣の修行をしていればいいのだ！宿敵「アラクラン」と雌雄を決する戦いの日は近いぞ！			お、お前は黙って剣の修行をしていればいいのだ！宿敵「アラクラン」と雌雄を決する戦いの日は近いぞ！			果たし合う剣と拳							
次のクラスクエストは「レベル30」に受注可能になります。レベルを上げ、またギルドを訪れてください。			次のクラスクエストは「レベル30」に受注可能になります。レベルを上げ、またギルドを訪れてください。			果たし合う剣と拳							
敵の気配を感じた！！			敵の気配を感じた！！			果たし合う剣と拳							
クエスト「果たし合う剣と拳」のバトルを開始しますか？			クエスト「果たし合う剣と拳」のバトルを開始しますか？			果たし合う剣と拳							
はい			はい			果たし合う剣と拳							
いいえ			いいえ			果たし合う剣と拳							
「拳嵐のザナ・リエーガ」を倒せ			「拳嵐のザナ・リエーガ」を倒せ			果たし合う剣と拳							
さァて、お手並み拝見といこうか。がんばれよ。			さァて、お手並み拝見といこうか。がんばれよ。			果たし合う剣と拳							
貴様を殺して……アルディスを引きずり出す……！			貴様を殺して……アルディスを引きずり出す……！			果たし合う剣と拳							
敵の攻撃を読むんだ。お前なら見えるはずだ！			敵の攻撃を読むんだ。お前なら見えるはずだ！			果たし合う剣と拳							
……殺……ス！			……殺……ス！			果たし合う剣と拳							
……我が……闇の奥義……披露する……！			……我が……闇の奥義……披露する……！			果たし合う剣と拳							
気をつけろ、子猫ちゃんが何か仕掛けるぞ！			気をつけろ、子猫ちゃんが何か仕掛けるぞ！			果たし合う剣と拳							
剣術士ギルドのミラは冒険者に仕事を頼みたいようだ。			剣術士ギルドのミラは冒険者に仕事を頼みたいようだ。			闇に蠢くものたち							
かつての剣術士の襲撃事件が再燃している。その魔の手は、ついに剣術士ギルドメンバーにまで及んだ。「特製ポーション」を酒房「コッファー＆コフィン」の「負傷した剣術士」に渡そう。			かつての剣術士の襲撃事件が再燃している。その魔の手は、ついに剣術士ギルドメンバーにまで及んだ。「特製ポーション」を酒房「コッファー＆コフィン」の「負傷した剣術士」に渡そう。			闇に蠢くものたち							
彼の話によると「ブラックブラッシュ停留所」の近くで何者かに襲われたらしい。周辺で聞き込みをし、手がかりになる「証拠」を探ってみよう。			彼の話によると「ブラックブラッシュ停留所」の近くで何者かに襲われたらしい。周辺で聞き込みをし、手がかりになる「証拠」を探ってみよう。			闇に蠢くものたち							
聞き込みの結果、有力な証言と「サソリ紋の指輪」を手に入れた。酒房「コッファー＆コフィン」に戻り、「負傷した剣術士」に相談しよう。			聞き込みの結果、有力な証言と「サソリ紋の指輪」を手に入れた。酒房「コッファー＆コフィン」に戻り、「負傷した剣術士」に相談しよう。			闇に蠢くものたち							
「サソリ紋の指輪」を、情報屋ワイモンドに見せれば何か情報が手に入るかもしれない。「エメラルドアベニュー」にいる「ワイモンド」に話しかけよう。			「サソリ紋の指輪」を、情報屋ワイモンドに見せれば何か情報が手に入るかもしれない。「エメラルドアベニュー」にいる「ワイモンド」に話しかけよう。			闇に蠢くものたち							
「サソリ紋の指輪」は「アラクラン」という犯罪組織のメンバーのものらしい。命が惜しければ、この事件から手を引いたほうがいいとワイモンドは言う。「剣術士ギルド」に戻り「ミラ」に報告しよう。			「サソリ紋の指輪」は「アラクラン」という犯罪組織のメンバーのものらしい。命が惜しければ、この事件から手を引いたほうがいいとワイモンドは言う。「剣術士ギルド」に戻り「ミラ」に報告しよう。			闇に蠢くものたち							
近々、「アラクラン」が「シルバーバザー」を襲撃するという情報がはいった。ミラはアルディスの制止を振り切り、襲撃を阻止しようとする。「シルバーバザー」に向かい、「ミラ」と合流しよう。			近々、「アラクラン」が「シルバーバザー」を襲撃するという情報がはいった。ミラはアルディスの制止を振り切り、襲撃を阻止しようとする。「シルバーバザー」に向かい、「ミラ」と合流しよう。			闇に蠢くものたち							
ギルドメンバーと協力して、シルバーバザーを襲撃した盗賊団を退けた。去っていく盗賊団の首領にミラはひどく驚いていた。「剣術士ギルド」に戻り、「ミラ」と話そう。			ギルドメンバーと協力して、シルバーバザーを襲撃した盗賊団を退けた。去っていく盗賊団の首領にミラはひどく驚いていた。「剣術士ギルド」に戻り、「ミラ」と話そう。			闇に蠢くものたち							
「アラクラン」のボスの名前は「リーヴォルド」。かつて、アルディスと共に「ナルザルの双剣」と呼ばれた剣術士だった。親友だったふたりが争うことに心を痛めるミラ。果たして三人の過去に何が……？※剣術士のレベルが25以上になると、ミラから次の剣術士クエストを受注することができます。			「アラクラン」のボスの名前は「リーヴォルド」。かつて、アルディスと共に「ナルザルの双剣」と呼ばれた剣術士だった。親友だったふたりが争うことに心を痛めるミラ。果たして三人の過去に何が……？※剣術士のレベルが25以上になると、ミラから次の剣術士クエストを受注することができます。			闇に蠢くものたち							
酒房「コッファー＆コフィン」にいる負傷した剣術士に特製ポーションを渡す			酒房「コッファー＆コフィン」にいる負傷した剣術士に特製ポーションを渡す			闇に蠢くものたち							
目撃情報を集める			目撃情報を集める			闇に蠢くものたち							
襲撃者の証拠を探す			襲撃者の証拠を探す			闇に蠢くものたち							
負傷した剣術士に話す			負傷した剣術士に話す			闇に蠢くものたち							
エメラルドアベニューのワイモンドにサソリ紋の指輪を渡す			エメラルドアベニューのワイモンドにサソリ紋の指輪を渡す			闇に蠢くものたち							
剣術士ギルドのミラに報告			剣術士ギルドのミラに報告			闇に蠢くものたち							
シルバーバザーでミラと合流する			シルバーバザーでミラと合流する			闇に蠢くものたち							
剣術士ギルドのミラに報告			剣術士ギルドのミラに報告			闇に蠢くものたち							
おお、Forename Surname、待っていたぞ！我がギルドメンバーが闇討ちされ、負傷してしまったのだ！			おお、Forename Surname、待っていたぞ！我がギルドメンバーが闇討ちされ、負傷してしまったのだ！			闇に蠢くものたち							
例の剣術士にかけられた賞金のせいだ。売られた喧嘩は買うのが私の信条……だが、まずは負傷者の手当てを優先したい。			例の剣術士にかけられた賞金のせいだ。売られた喧嘩は買うのが私の信条……だが、まずは負傷者の手当てを優先したい。			闇に蠢くものたち							
負傷者は酒房「コッファー＆コフィン」で治療中だ。お前にはこの「特製ポーション」を届けてほしい。頼んだぞForename Surname、戦はその後だ！			負傷者は酒房「コッファー＆コフィン」で治療中だ。お前にはこの「特製ポーション」を届けてほしい。頼んだぞForename Surname、戦はその後だ！			闇に蠢くものたち							
いつつつ……クソッ……不覚だ……「ブラックブラッシュ停留所」の近くで、不意打ちされてこのザマだ……			いつつつ……クソッ……不覚だ……「ブラックブラッシュ停留所」の近くで、不意打ちされてこのザマだ……			闇に蠢くものたち							
ふぅ、助かったよ……。相手は人の往来があるところで襲ってきやがった。目撃者がいるかもしれん、聞き込みを頼むぜ。			ふぅ、助かったよ……。相手は人の往来があるところで襲ってきやがった。目撃者がいるかもしれん、聞き込みを頼むぜ。			闇に蠢くものたち							
いつつ……すまない。「証拠」探し、頼んだぞ……。			いつつ……すまない。「証拠」探し、頼んだぞ……。			闇に蠢くものたち							
※キャラ削除			※キャラ削除			闇に蠢くものたち							
※キャラ削除			※キャラ削除			闇に蠢くものたち							
うーん、たしかにブツブツと独り言をしている奇妙な男がいたわねぇ。「計画」とか「バザー襲撃」がどうとか……。			うーん、たしかにブツブツと独り言をしている奇妙な男がいたわねぇ。「計画」とか「バザー襲撃」がどうとか……。			闇に蠢くものたち							
※キャラ削除			※キャラ削除			闇に蠢くものたち							
※キャラ削除			※キャラ削除			闇に蠢くものたち							
見たぜ、ああ確かに見た！　あれは間違いねェ！毒々しい紫のローブ、アサシンってやつだぜ、あれはよ。そりゃもう、一瞬で剣術士の背後からブスリっとな！			見たぜ、ああ確かに見た！　あれは間違いねェ！毒々しい紫のローブ、アサシンってやつだぜ、あれはよ。そりゃもう、一瞬で剣術士の背後からブスリっとな！			闇に蠢くものたち							
ふむ……やはりプロの暗殺者の仕業か……かなりの手錬に違いない。だが、何者だろうな……。ん、何だ？　何か見つけたのか？			ふむ……やはりプロの暗殺者の仕業か……かなりの手錬に違いない。だが、何者だろうな……。ん、何だ？　何か見つけたのか？			闇に蠢くものたち							
この指輪……犯人の落としたものなのか？「サソリの刻印」か……不気味な指輪だな。それに「バザー襲撃」や「計画」って話も気になる……。			この指輪……犯人の落としたものなのか？「サソリの刻印」か……不気味な指輪だな。それに「バザー襲撃」や「計画」って話も気になる……。			闇に蠢くものたち							
ここウルダハには、「ワイモンド」というケチな情報屋がいる。ヤツに指輪を見せてみてくれ、何かわかるかもしれない。			ここウルダハには、「ワイモンド」というケチな情報屋がいる。ヤツに指輪を見せてみてくれ、何かわかるかもしれない。			闇に蠢くものたち							
ワイモンドは「エメラルドアベニュー」にいるはずだ。頼んだぞ！			ワイモンドは「エメラルドアベニュー」にいるはずだ。頼んだぞ！			闇に蠢くものたち							
なんだ、俺に何か用か？お前は……確か、ミラんとこの新入り冒険者だな？ああ、剣術士にかけられた賞金のことか。			なんだ、俺に何か用か？お前は……確か、ミラんとこの新入り冒険者だな？ああ、剣術士にかけられた賞金のことか。			闇に蠢くものたち							
お、お前、こいつをどこで手に入れたッ！？……お前ら、藪をつついて蛇を出しちまったぞ。しかも猛毒の大蛇……いやサソリか……。			お、お前、こいつをどこで手に入れたッ！？……お前ら、藪をつついて蛇を出しちまったぞ。しかも猛毒の大蛇……いやサソリか……。			闇に蠢くものたち							
……この指輪に刻まれた「サソリ」の刻印。こいつは、とある「組織」の紋章さ。「アラクラン」……それが奴らの呼び名だ。			……この指輪に刻まれた「サソリ」の刻印。こいつは、とある「組織」の紋章さ。「アラクラン」……それが奴らの呼び名だ。			闇に蠢くものたち							
ウルダハの闇世界に蠢く、犯罪集団……噂じゃ、砂蠍衆や銅刃団とも繋がりがあるって話だが……っと、これ以上はこっちの身が危うくなっちまう！			ウルダハの闇世界に蠢く、犯罪集団……噂じゃ、砂蠍衆や銅刃団とも繋がりがあるって話だが……っと、これ以上はこっちの身が危うくなっちまう！			闇に蠢くものたち							
とにかく「危うきに近寄らず」さ。この情報は忘れるのが一番……聞かなかったことにしてくれよ。いいな！			とにかく「危うきに近寄らず」さ。この情報は忘れるのが一番……聞かなかったことにしてくれよ。いいな！			闇に蠢くものたち							
Forename Surname！どうした？　遅かったじゃないか。調査の成果はあったか？			Forename Surname！どうした？　遅かったじゃないか。調査の成果はあったか？			闇に蠢くものたち							
調査の結果、得られた情報は……			調査の結果、得られた情報は……			闇に蠢くものたち							
犯罪集団は「アラクラン」というやつらだ！			犯罪集団は「アラクラン」というやつらだ！			闇に蠢くものたち							
「バザー襲撃」が「計画」されているらしい！			「バザー襲撃」が「計画」されているらしい！			闇に蠢くものたち							
「アラクラン」？……ふむ、知らない名だな。しかしそれゆえに不気味だ……。			「アラクラン」？……ふむ、知らない名だな。しかしそれゆえに不気味だ……。			闇に蠢くものたち							
何！　バザー襲撃だと!?			何！　バザー襲撃だと!?			闇に蠢くものたち							
実は別のギルドメンバーが貧民街で有力な情報を得てな。近々、盗賊団が大規模な略奪を計画しているらしい。その盗賊団とメンバー襲撃犯に繋がりがあるのか……？			実は別のギルドメンバーが貧民街で有力な情報を得てな。近々、盗賊団が大規模な略奪を計画しているらしい。その盗賊団とメンバー襲撃犯に繋がりがあるのか……？			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
襲撃場所は恐らく……「シルバーバザー」。ウルダハ上層部から疎まれるバザーで、警護の人手も足りていない……襲撃は容易だろう。			襲撃場所は恐らく……「シルバーバザー」。ウルダハ上層部から疎まれるバザーで、警護の人手も足りていない……襲撃は容易だろう。			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
これで名目が二つだな……我がギルドへ売られた喧嘩、そして襲撃の阻止だ！ギルドの総力を挙げて精鋭を集め、叩き潰してやろう！			これで名目が二つだな……我がギルドへ売られた喧嘩、そして襲撃の阻止だ！ギルドの総力を挙げて精鋭を集め、叩き潰してやろう！			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
おッと、ノックを忘れちまったな			おッと、ノックを忘れちまったな			闇に蠢くものたち							
……アルディス！貴様……！二度とここへは来るなと言ったはずだ！			……アルディス！貴様……！二度とここへは来るなと言ったはずだ！			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
ミラ、お前はギルドマスターなんだろ？なぜ、部下をみすみす危険な目にあわせる？襲撃計画の黒幕が何者か、お前わかってるのか？			ミラ、お前はギルドマスターなんだろ？なぜ、部下をみすみす危険な目にあわせる？襲撃計画の黒幕が何者か、お前わかってるのか？			闇に蠢くものたち							
減らず口を…………何者かだと？では、お前には黒幕の正体がわかるというのか！？			減らず口を…………何者かだと？では、お前には黒幕の正体がわかるというのか！？			闇に蠢くものたち							
「アラクラン」……ウルダハの闇に巣食う巨大犯罪組織だ。ミラ様の剣術士ギルドとは言え、ちと荷が重いぜ？			「アラクラン」……ウルダハの闇に巣食う巨大犯罪組織だ。ミラ様の剣術士ギルドとは言え、ちと荷が重いぜ？			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
ふん！　「アラクラン」？　それがどうした？しょせん、盗賊たちの寄せ集め、とるに足らん野合の集まりだろう。			ふん！　「アラクラン」？　それがどうした？しょせん、盗賊たちの寄せ集め、とるに足らん野合の集まりだろう。			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
やめときな。お前じゃ勝てない。			やめときな。お前じゃ勝てない。			闇に蠢くものたち							
なん……だと…………!!			なん……だと…………!!			闇に蠢くものたち							
俺がウルダハに帰ってきた理由を教えてやる。これは俺の戦いだ。奴らの……「アラクラン」の標的は、この俺なのさ。			俺がウルダハに帰ってきた理由を教えてやる。これは俺の戦いだ。奴らの……「アラクラン」の標的は、この俺なのさ。			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
ミラ、いい子だから俺のいいつけを守れ。昔は素直だったろ？			ミラ、いい子だから俺のいいつけを守れ。昔は素直だったろ？			闇に蠢くものたち							
…………7年だ。			…………7年だ。			闇に蠢くものたち							
お前がギルドからいなくなって7年。その間、私がギルドを束ねるため、どれほどの苦労をしてきたか、お前にはわかるまい……。			お前がギルドからいなくなって7年。その間、私がギルドを束ねるため、どれほどの苦労をしてきたか、お前にはわかるまい……。			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
ミラ…………			ミラ…………			闇に蠢くものたち							
気安く呼ぶな！　私はギルドマスターだ。誇り高く、決して折れぬ「最強の剣」を掲げた剣術士ギルドのマスターなんだ！			気安く呼ぶな！　私はギルドマスターだ。誇り高く、決して折れぬ「最強の剣」を掲げた剣術士ギルドのマスターなんだ！			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
待った！　ミラ、よく聞け「アラクラン」のボスは……。			待った！　ミラ、よく聞け「アラクラン」のボスは……。			闇に蠢くものたち							
でていけ！　軟弱者！貴様の折れた剣などに用はないッ！			でていけ！　軟弱者！貴様の折れた剣などに用はないッ！			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
あ～あ。女の扱いには、自信があったんだがな……。Forename、ミラを頼む……死なすなよ。			あ～あ。女の扱いには、自信があったんだがな……。Forename、ミラを頼む……死なすなよ。			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
どうした？　何をぐすぐずしている？目的地は「シルバーバザー」だ！他のメンバーに後れをとるなッ！			どうした？　何をぐすぐずしている？目的地は「シルバーバザー」だ！他のメンバーに後れをとるなッ！			闇に蠢くものたち							
数は多いぞ！　気を抜くなッ！剣術士ギルドの名にかけて、我らが剣の最強たる所以を今、みせてやれッ！			数は多いぞ！　気を抜くなッ！剣術士ギルドの名にかけて、我らが剣の最強たる所以を今、みせてやれッ！			闇に蠢くものたち							
どうだ！　剣術士ギルドの力、思い知ったかッ！			どうだ！　剣術士ギルドの力、思い知ったかッ！			闇に蠢くものたち							
むっ!?			むっ!?			闇に蠢くものたち							
ま、まさか……お、お前はッ！			ま、まさか……お、お前はッ！			闇に蠢くものたち							
残党かッ！			残党かッ！			闇に蠢くものたち							
や、やめろッ！			や、やめろッ！			闇に蠢くものたち							
(-？？？？-)……脆い……刃こぼれにも等しい剣…………口ほどにも……ない……			(-？？？？-)……脆い……刃こぼれにも等しい剣…………口ほどにも……ない……			闇に蠢くものたち							
(-？？？？-)雑魚にかまうな。いくぞ、ザナ。			(-？？？？-)雑魚にかまうな。いくぞ、ザナ。			闇に蠢くものたち							
……そんな……まさか……「リーヴォルド」？			……そんな……まさか……「リーヴォルド」？			闇に蠢くものたち							
マスター、潮時です！深追いは禁物！仲間の手当てのため、早くギルドへ！			マスター、潮時です！深追いは禁物！仲間の手当てのため、早くギルドへ！			闇に蠢くものたち							
ああ、Forename Surname……悪いが、一人にしてくれないか？少しの間……休ませてくれ。			ああ、Forename Surname……悪いが、一人にしてくれないか？少しの間……休ませてくれ。			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
だから言ったろう……やめとけって……。かつては弱小の盗賊団だった「アラクラン」が、ウルダハ最大の犯罪組織にまで上りつめた理由がアレさ。			だから言ったろう……やめとけって……。かつては弱小の盗賊団だった「アラクラン」が、ウルダハ最大の犯罪組織にまで上りつめた理由がアレさ。			闇に蠢くものたち							
アルディス……！お前……知っていたのか？リーヴォルドのこと……。			アルディス……！お前……知っていたのか？リーヴォルドのこと……。			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)(セリフなし無言でうなづく)			(CUT)(セリフなし無言でうなづく)			闇に蠢くものたち							
あのサソリのような瞳を持つ男の名は、リーヴォルド。ヤツはかつて「ザルの剣」と呼ばれ、俺の「ナルの剣」と合わせた二つ名が……「ナルザルの双剣」さ。			あのサソリのような瞳を持つ男の名は、リーヴォルド。ヤツはかつて「ザルの剣」と呼ばれ、俺の「ナルの剣」と合わせた二つ名が……「ナルザルの双剣」さ。			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
共にコロシアムで無敗の伝説を築き、ラウバーンから名剣「フレンジー」を下賜されたほどの剣の達人だ。			共にコロシアムで無敗の伝説を築き、ラウバーンから名剣「フレンジー」を下賜されたほどの剣の達人だ。			闇に蠢くものたち							
そして、奴はかつてこの剣術士ギルドで俺やミラと共に剣の腕を磨いた仲間だった男……そして、俺のかけがえのない友だった男だ。			そして、奴はかつてこの剣術士ギルドで俺やミラと共に剣の腕を磨いた仲間だった男……そして、俺のかけがえのない友だった男だ。			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
何故だ？　私の知ってるリーヴォルドは、誰よりもやさしく、勇ましく、そして正義感の強い人だったのに……。			何故だ？　私の知ってるリーヴォルドは、誰よりもやさしく、勇ましく、そして正義感の強い人だったのに……。			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
……その答えを探すために、俺はここへ帰ってきた。そして奴もまた、俺を殺すことで、その答えを得ようとしているのさ。			……その答えを探すために、俺はここへ帰ってきた。そして奴もまた、俺を殺すことで、その答えを得ようとしているのさ。			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
いったい、何があったの？あなたたち二人の間に、何が？			いったい、何があったの？あなたたち二人の間に、何が？			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
……それを「運命」って呼ぶんなら、神様ってのは、くだらん言葉遊びの好きな下衆野郎なんだろうな。			……それを「運命」って呼ぶんなら、神様ってのは、くだらん言葉遊びの好きな下衆野郎なんだろうな。			闇に蠢くものたち							
どこまでも、バカな男……。			どこまでも、バカな男……。			闇に蠢くものたち							
フッ、「バカ」か……。そいつは男にとって最高の褒め言葉さ。じゃあなミラ、Forename Surname。			フッ、「バカ」か……。そいつは男にとって最高の褒め言葉さ。じゃあなミラ、Forename Surname。			闇に蠢くものたち							
(CUT)			(CUT)			闇に蠢くものたち							
次のクラスクエストは「レベル25」に受注可能になります。レベルを上げ、またギルドを訪れてください。			次のクラスクエストは「レベル25」に受注可能になります。レベルを上げ、またギルドを訪れてください。			闇に蠢くものたち							
クエスト「闇に蠢くものたち」のバトルを開始しますか？			クエスト「闇に蠢くものたち」のバトルを開始しますか？			闇に蠢くものたち							
はい			はい			闇に蠢くものたち							
いいえ			いいえ			闇に蠢くものたち							
「アラクラン」の盗賊団を倒せ！			「アラクラン」の盗賊団を倒せ！			闇に蠢くものたち							
数が多い！　無理をせず各個撃破だッ！			数が多い！　無理をせず各個撃破だッ！			闇に蠢くものたち							
敵に回復魔法の使い手がいるのか！　厄介だな……。			敵に回復魔法の使い手がいるのか！　厄介だな……。			闇に蠢くものたち							
Forename、お前の盾で幻術士を黙らせてこい！			Forename、お前の盾で幻術士を黙らせてこい！			闇に蠢くものたち							
呪術士もいるのか！　炎系の高位魔法に注意しろ！			呪術士もいるのか！　炎系の高位魔法に注意しろ！			闇に蠢くものたち							
くッ、魔力がもたん！　急いで決着をつけるぞ！			くッ、魔力がもたん！　急いで決着をつけるぞ！			闇に蠢くものたち							
ぐ、ぐあああああああッ！			ぐ、ぐあああああああッ！			闇に蠢くものたち							
ミラさん……すみません……。			ミラさん……すみません……。			闇に蠢くものたち							
マスターを……頼んだ……ッ。			マスターを……頼んだ……ッ。			闇に蠢くものたち							
もはやこれまで……か……。			もはやこれまで……か……。			闇に蠢くものたち							
私の剣が……折れるなんて……。			私の剣が……折れるなんて……。			闇に蠢くものたち							
剣術士ギルドのミラは冒険者に課題を与えたいようだ。			剣術士ギルドのミラは冒険者に課題を与えたいようだ。			矢衾から見える勝機							
弓を使うアマルジャ族が商人を襲う事件が多発しているようだ。「ドライボーン」の東で「負傷した剣術士」に話しかけ、襲ってくる「アマルジャ・ラべジャー」を倒そう。			弓を使うアマルジャ族が商人を襲う事件が多発しているようだ。「ドライボーン」の東で「負傷した剣術士」に話しかけ、襲ってくる「アマルジャ・ラべジャー」を倒そう。			矢衾から見える勝機							
