ゲートタウンのルー・リークは、冒険者に白状したいことがあるようだ。			ゲートタウンのルー・リークは、冒険者に白状したいことがあるようだ。			不滅なる名コンビ							
ヤツは大罪喰いに匹敵する力を持っている。まあ、それでも俺ひとりで倒せないこともないが、確実に仕留めるために、仲間を探していた……。			ヤツは大罪喰いに匹敵する力を持っている。まあ、それでも俺ひとりで倒せないこともないが、確実に仕留めるために、仲間を探していた……。			高慢と罪喰い							
お前は見事、この俺のお眼鏡にかなったってことさ。			お前は見事、この俺のお眼鏡にかなったってことさ。			高慢と罪喰い							
どうする？			どうする？			高慢と罪喰い							
黙って立ち去る			黙って立ち去る			高慢と罪喰い							
喜んで協力を申し出る			喜んで協力を申し出る			高慢と罪喰い							
ちょ、ちょっと待った！もちろん、タダで協力しろとは言わない。報酬は弾むし、はぐれ罪喰いを倒せば懸賞金も出るから、な？			ちょ、ちょっと待った！もちろん、タダで協力しろとは言わない。報酬は弾むし、はぐれ罪喰いを倒せば懸賞金も出るから、な？			高慢と罪喰い							
なかなか、素直なヤツだな。一応、言っとくが、タダで協力させるわけじゃない。報酬は弾むし、はぐれ罪喰いを倒せば懸賞金も出るからな……。			なかなか、素直なヤツだな。一応、言っとくが、タダで協力させるわけじゃない。報酬は弾むし、はぐれ罪喰いを倒せば懸賞金も出るからな……。			高慢と罪喰い							
だが、お前が見掛け倒しって可能性も、なきにしもあらずだ。そこで、俺からの試練を受けてもらう。			だが、お前が見掛け倒しって可能性も、なきにしもあらずだ。そこで、俺からの試練を受けてもらう。			高慢と罪喰い							
なあに、お前の実力が本物なら、どうってことないものさ。まずは、レイクランドの迷える羊飼いの森まで来てくれ。			なあに、お前の実力が本物なら、どうってことないものさ。まずは、レイクランドの迷える羊飼いの森まで来てくれ。			高慢と罪喰い							
試練とは、獲物を探して森までやってきた、飢えたスミロドンの討伐だ。それを成すことで、お前の実力を証明してもらう。			試練とは、獲物を探して森までやってきた、飢えたスミロドンの討伐だ。それを成すことで、お前の実力を証明してもらう。			高慢と罪喰い							
だが、そいつをおびき寄せるためには、イグアナの生肉が必要でな……			だが、そいつをおびき寄せるためには、イグアナの生肉が必要でな……			高慢と罪喰い							
よう、頼まれたものを調達してきたぞ。これでいいんだよな……？			よう、頼まれたものを調達してきたぞ。これでいいんだよな……？			高慢と罪喰い							
早かったな、ご苦労だった……。約束の報酬だ。			早かったな、ご苦労だった……。約束の報酬だ。			高慢と罪喰い							
つまらん調達ごときで、手を煩わされたくないからな。こうして、人を雇えば済むことさ。			つまらん調達ごときで、手を煩わされたくないからな。こうして、人を雇えば済むことさ。			高慢と罪喰い							
さあ、この「イグアナの生肉」をそこらに置いて、しばらく待つんだ。そのうち匂いを嗅ぎつけた、飢えたスミロドンが寄ってくるだろう。そいつを、お前に倒してもらおう。			さあ、この「イグアナの生肉」をそこらに置いて、しばらく待つんだ。そのうち匂いを嗅ぎつけた、飢えたスミロドンが寄ってくるだろう。そいつを、お前に倒してもらおう。			高慢と罪喰い							
「イグアナの生肉」をそこらに置いて、しばらく待つんだ。そのうち匂いを嗅ぎつけた、飢えたスミロドンが寄ってくるだろう。そいつを、お前に倒してもらおう。			「イグアナの生肉」をそこらに置いて、しばらく待つんだ。そのうち匂いを嗅ぎつけた、飢えたスミロドンが寄ってくるだろう。そいつを、お前に倒してもらおう。			高慢と罪喰い							
どうやら、この俺の目に狂いはなかったようだな……。彷徨う階段亭に戻るとしよう。			どうやら、この俺の目に狂いはなかったようだな……。彷徨う階段亭に戻るとしよう。			高慢と罪喰い							
ご苦労だったな。喜べ、試練を突破したお前を、晴れて俺の仲間として迎えてやろう！			ご苦労だったな。喜べ、試練を突破したお前を、晴れて俺の仲間として迎えてやろう！			高慢と罪喰い							
テーブルの料理は、俺からのささやかな歓迎のしるしだ。さあ、遠慮なく食ってくれ！			テーブルの料理は、俺からのささやかな歓迎のしるしだ。さあ、遠慮なく食ってくれ！			高慢と罪喰い							
モグモグ…………どうだ……？なかなかの味だろう………ゴクゴク……腕のいい調理師を雇ったからな…………ゴックン。			モグモグ…………どうだ……？なかなかの味だろう………ゴクゴク……腕のいい調理師を雇ったからな…………ゴックン。			高慢と罪喰い							
もういいのか？いくらでも、追加していいんだぞ……。			もういいのか？いくらでも、追加していいんだぞ……。			高慢と罪喰い							
さて、俺が標的とする、はぐれ罪喰い、四使徒の一角について説明しておこう……。			さて、俺が標的とする、はぐれ罪喰い、四使徒の一角について説明しておこう……。			高慢と罪喰い							
その名は「アンドレイア」……！大罪人「光の戦士たち」のひとりにして、凄腕の狩人として知られた、レンダ・レイの姿を持つヤツだ。			その名は「アンドレイア」……！大罪人「光の戦士たち」のひとりにして、凄腕の狩人として知られた、レンダ・レイの姿を持つヤツだ。			高慢と罪喰い							
アンドレイアは、まさに神出鬼没でな。ノルヴラント各地に忽然と現れては、人ではなく、モブに指定されるような、凶暴な魔獣ばかり狩ってまわっている。			アンドレイアは、まさに神出鬼没でな。ノルヴラント各地に忽然と現れては、人ではなく、モブに指定されるような、凶暴な魔獣ばかり狩ってまわっている。			高慢と罪喰い							
それだけ聞いたら、害どころか、むしろ利があると思えるだろう。だが、ヤツに狩られた魔獣は、罪喰いとして転生し、さらに凶暴化して人々を襲い始めるんだ。			それだけ聞いたら、害どころか、むしろ利があると思えるだろう。だが、ヤツに狩られた魔獣は、罪喰いとして転生し、さらに凶暴化して人々を襲い始めるんだ。			高慢と罪喰い							
つまり、世界を崩壊させた大罪人のひとりが、死してなお、害をなす存在として徘徊しているってわけだ。そんなアンドレイアの討伐を、俺とお前で果たす……！			つまり、世界を崩壊させた大罪人のひとりが、死してなお、害をなす存在として徘徊しているってわけだ。そんなアンドレイアの討伐を、俺とお前で果たす……！			高慢と罪喰い							
何と言う？			何と言う？			高慢と罪喰い							
「光の戦士たち」は大罪人ではなかった			「光の戦士たち」は大罪人ではなかった			高慢と罪喰い							
「光の戦士たち」は世界を救おうとした			「光の戦士たち」は世界を救おうとした			高慢と罪喰い							
お前……意外と常識知らずだったりするのか？ともかく、生前のアイツらがお人好しの善人だろうが、根っからの悪人だろうが、俺には関係ないね。			お前……意外と常識知らずだったりするのか？ともかく、生前のアイツらがお人好しの善人だろうが、根っからの悪人だろうが、俺には関係ないね。			高慢と罪喰い							
アンドレイアを標的に選んだのも、レンダ・レイが自分と同じ「狩人」だったんで、ちょっとした競争心がわいたってだけだ。			アンドレイアを標的に選んだのも、レンダ・レイが自分と同じ「狩人」だったんで、ちょっとした競争心がわいたってだけだ。			高慢と罪喰い							
大体、「光の戦士たち」が生前どうであれ、いま現在、危険な罪喰いであることは変わらないだろう？			大体、「光の戦士たち」が生前どうであれ、いま現在、危険な罪喰いであることは変わらないだろう？			高慢と罪喰い							
アンドレイアの討伐、やるのかやらないのか、はっきりしろよ。			アンドレイアの討伐、やるのかやらないのか、はっきりしろよ。			高慢と罪喰い							
何と言う？			何と言う？			高慢と罪喰い							
危険な罪喰いは討伐する			危険な罪喰いは討伐する			高慢と罪喰い							
仕方がない……			仕方がない……			高慢と罪喰い							
よし、決まりだ！すぐにでもヤツと戦いたいところだが、狩人である俺は、獲物の狩り時ってのを知っているからな。			よし、決まりだ！すぐにでもヤツと戦いたいところだが、狩人である俺は、獲物の狩り時ってのを知っているからな。			高慢と罪喰い							
まずは、ヤツに罪喰い化された魔獣を討伐することで、アンドレイアの特性を体感するところから始めよう。			まずは、ヤツに罪喰い化された魔獣を討伐することで、アンドレイアの特性を体感するところから始めよう。			高慢と罪喰い							
だが、条件に合致する魔獣型の罪喰いは、ついこの間、俺が狩ったばかりだから、しばらくは獲物待ちだ。お前は折を見て、またここに来てくれ……。			だが、条件に合致する魔獣型の罪喰いは、ついこの間、俺が狩ったばかりだから、しばらくは獲物待ちだ。お前は折を見て、またここに来てくれ……。			高慢と罪喰い							
報酬が足りなかったか？次はもっとやるから、また来てくれよな……。			報酬が足りなかったか？次はもっとやるから、また来てくれよな……。			高慢と罪喰い							
ゲートタウンのオルヴァラは、ルー・リークのことを心配しているようだ。			ゲートタウンのオルヴァラは、ルー・リークのことを心配しているようだ。			彷徨うアンドレイア							
オルヴァラから、ひとりぼっちのルー・リークの様子を見てくるよう頼まれた。クリスタリウムの彷徨う階段亭の「指定地点」で見渡そう。			オルヴァラから、ひとりぼっちのルー・リークの様子を見てくるよう頼まれた。クリスタリウムの彷徨う階段亭の「指定地点」で見渡そう。			彷徨うアンドレイア							
指定地点で見渡したが、ルー・リークの姿はなかった。彼の行方を知るため、彷徨う階段亭で情報を集めよう。			指定地点で見渡したが、ルー・リークの姿はなかった。彼の行方を知るため、彷徨う階段亭で情報を集めよう。			彷徨うアンドレイア							
情報を集めたところ、ルー・リークはひとりで、アンドレイアの討伐に向かったようだ。ラケティカ大森林のシチュア湿地で「ルー・リーク」を探そう。			情報を集めたところ、ルー・リークはひとりで、アンドレイアの討伐に向かったようだ。ラケティカ大森林のシチュア湿地で「ルー・リーク」を探そう。			彷徨うアンドレイア							
ルー・リークを見つけたところ、冒険者は過去視によって、アンドレイアが賞金稼ぎを罪喰い化して、光の戦士一行を再現したことを知る。ルー・リークと冒険者は仲直りして、アンドレイアの討伐を誓うのだった。ゲートタウンの「オルヴァラ」と話そう。			ルー・リークを見つけたところ、冒険者は過去視によって、アンドレイアが賞金稼ぎを罪喰い化して、光の戦士一行を再現したことを知る。ルー・リークと冒険者は仲直りして、アンドレイアの討伐を誓うのだった。ゲートタウンの「オルヴァラ」と話そう。			彷徨うアンドレイア							
オルヴァラと話した。ルー・リークは、次こそアンドレイアを討伐すると意気込むのだった。腕を磨いて、またルー・リークを訪ねよう。※いずれかのファイター系DPSジョブのレベルが80以上になると、ゲートタウンのルー・リークから次のファイター系DPSロールクエストを受注することができます。			オルヴァラと話した。ルー・リークは、次こそアンドレイアを討伐すると意気込むのだった。腕を磨いて、またルー・リークを訪ねよう。※いずれかのファイター系DPSジョブのレベルが80以上になると、ゲートタウンのルー・リークから次のファイター系DPSロールクエストを受注することができます。			彷徨うアンドレイア							
彷徨う階段亭の指定地点で見渡す			彷徨う階段亭の指定地点で見渡す			彷徨うアンドレイア							
彷徨う階段亭で情報を集める			彷徨う階段亭で情報を集める			彷徨うアンドレイア							
シチュア湿地でルー・リークを探す			シチュア湿地でルー・リークを探す			彷徨うアンドレイア							
ゲートタウンのオルヴァラと話す			ゲートタウンのオルヴァラと話す			彷徨うアンドレイア							
Forenameさん、こんな年寄りのもとに、わざわざ来てくれてどうもありがとう。			Forenameさん、こんな年寄りのもとに、わざわざ来てくれてどうもありがとう。			彷徨うアンドレイア							
リーク坊ちゃんは、あれから何度か私に会いにきてくれたわ。でも、新しいお友達もできず、ずっとひとりぼっちなの。心配だけど、私は歩くのもやっと……。			リーク坊ちゃんは、あれから何度か私に会いにきてくれたわ。でも、新しいお友達もできず、ずっとひとりぼっちなの。心配だけど、私は歩くのもやっと……。			彷徨うアンドレイア							
どうかお願い、クリスタリウムの彷徨う階段亭まで、リーク坊ちゃんの様子を見にいってもらえないかしら？お礼はこれから精魂込めて用意するわ……。			どうかお願い、クリスタリウムの彷徨う階段亭まで、リーク坊ちゃんの様子を見にいってもらえないかしら？お礼はこれから精魂込めて用意するわ……。			彷徨うアンドレイア							
クリスタリウムの彷徨う階段亭まで、リーク坊ちゃんの様子を見にいってもらえないかしら？お礼はこれから精魂込めて用意するわ……。			クリスタリウムの彷徨う階段亭まで、リーク坊ちゃんの様子を見にいってもらえないかしら？お礼はこれから精魂込めて用意するわ……。			彷徨うアンドレイア							
あんたは、どこかで会ったような……？			あんたは、どこかで会ったような……？			彷徨うアンドレイア							
ルー・リークの姿が見当たらないようだ……。辺りの者に彼の行方を訪ねてみよう。			ルー・リークの姿が見当たらないようだ……。辺りの者に彼の行方を訪ねてみよう。			彷徨うアンドレイア							
ルー・リーク……さん？ああ、あまり評判がよろしくない方ですね。いつもの席にいらっしゃらないなら、私はわかりません……。			ルー・リーク……さん？ああ、あまり評判がよろしくない方ですね。いつもの席にいらっしゃらないなら、私はわかりません……。			彷徨うアンドレイア							
ルー・リークか……。あの、「アホぼん」は金だけが取り柄だったが、どうやら、それもなくなっちまったらしいからな……。			ルー・リークか……。あの、「アホぼん」は金だけが取り柄だったが、どうやら、それもなくなっちまったらしいからな……。			彷徨うアンドレイア							
そうなると、いよいよ誰にも相手にされなくなって、ずっとひとりで、寂しそうにしていたよ。行く当てもなさそうだし、そのうち戻ってくるんじゃないか？			そうなると、いよいよ誰にも相手にされなくなって、ずっとひとりで、寂しそうにしていたよ。行く当てもなさそうだし、そのうち戻ってくるんじゃないか？			彷徨うアンドレイア							
あんたは、コルシア島でルー・リークといた……。覚えてないかもしれないが、俺はランビルドの仲間だった者だよ。			あんたは、コルシア島でルー・リークといた……。覚えてないかもしれないが、俺はランビルドの仲間だった者だよ。			彷徨うアンドレイア							
あれから、俺たちはラケティカ大森林に出没するようになった、アンドレイアの討伐に向かったんだ……。だが、ヤツの強さは規格外だった。			あれから、俺たちはラケティカ大森林に出没するようになった、アンドレイアの討伐に向かったんだ……。だが、ヤツの強さは規格外だった。			彷徨うアンドレイア							
ランビルドもほかの仲間も次々とやられてしまい、俺は命からがら何とか逃げてきたんだ。			ランビルドもほかの仲間も次々とやられてしまい、俺は命からがら何とか逃げてきたんだ。			彷徨うアンドレイア							
臆病者と言われても構わない、なんせヤツにやられたはずの、ランビルドが立ち上がり……。ああ、思い出すだけでも震え上がる！			臆病者と言われても構わない、なんせヤツにやられたはずの、ランビルドが立ち上がり……。ああ、思い出すだけでも震え上がる！			彷徨うアンドレイア							
その後も、次々と賞金稼ぎたちが討伐に向かったが、帰ってきた者は誰ひとりとしていない。			その後も、次々と賞金稼ぎたちが討伐に向かったが、帰ってきた者は誰ひとりとしていない。			彷徨うアンドレイア							
ルー・リークも、ついさっき、ひとりでラケティカ大森林のシチュア湿地に向かったよ。かわいそうに、もう見ることもないだろうな……。			ルー・リークも、ついさっき、ひとりでラケティカ大森林のシチュア湿地に向かったよ。かわいそうに、もう見ることもないだろうな……。			彷徨うアンドレイア							
ルー・リークさんが、いつもの席にいないのなら、私はわかりません……。			ルー・リークさんが、いつもの席にいないのなら、私はわかりません……。			彷徨うアンドレイア							
ルー・リークはずっとひとりで、寂しそうにしていたよ。行く当てもなさそうだし、そのうち戻ってくるんじゃないか？			ルー・リークはずっとひとりで、寂しそうにしていたよ。行く当てもなさそうだし、そのうち戻ってくるんじゃないか？			彷徨うアンドレイア							
ルー・リークは、ついさっき、ひとりでラケティカ大森林のシチュア湿地に向かったよ。かわいそうに、もう見ることもないだろうな……。			ルー・リークは、ついさっき、ひとりでラケティカ大森林のシチュア湿地に向かったよ。かわいそうに、もう見ることもないだろうな……。			彷徨うアンドレイア							
お、お前……。わざわざ駆けつけてくれたってのか……？			お、お前……。わざわざ駆けつけてくれたってのか……？			彷徨うアンドレイア							
大変なことになったんだ！アンドレイアが、アンドレイアが……！			大変なことになったんだ！アンドレイアが、アンドレイアが……！			彷徨うアンドレイア							
おい、アンドレイア！いや……レンダ・レイ！			おい、アンドレイア！いや……レンダ・レイ！			彷徨うアンドレイア							
お前がひとりでバラム・キツェーを倒したように、俺も仲間なんかに頼らず、ひとりでお前を倒してみせる……！			お前がひとりでバラム・キツェーを倒したように、俺も仲間なんかに頼らず、ひとりでお前を倒してみせる……！			彷徨うアンドレイア							
ラ、ランビルド……ッ！？			ラ、ランビルド……ッ！？			彷徨うアンドレイア							
お前、また過去を視たのか？今度は何を視たっていうんだ……？			お前、また過去を視たのか？今度は何を視たっていうんだ……？			彷徨うアンドレイア							
そうか、俺が見た直前の光景を……。過去を視る力ってのも、使いようによっては便利なもんだな。だがなぜ、あのとき敵前で使ったんだ？			そうか、俺が見た直前の光景を……。過去を視る力ってのも、使いようによっては便利なもんだな。だがなぜ、あのとき敵前で使ったんだ？			彷徨うアンドレイア							
何と言う？			何と言う？			彷徨うアンドレイア							
自分で制御できるわけじゃない			自分で制御できるわけじゃない			彷徨うアンドレイア							
いつ発動するかわからない			いつ発動するかわからない			彷徨うアンドレイア							
そ、そうだったのか……。俺はてっきり、お前の不注意かと……。			そ、そうだったのか……。俺はてっきり、お前の不注意かと……。			彷徨うアンドレイア							
お前もあの光景を視たのなら話が早い。ヤツは、ランビルドやほかの賞金稼ぎたちを、罪喰い化して仲間にしたようだ。			お前もあの光景を視たのなら話が早い。ヤツは、ランビルドやほかの賞金稼ぎたちを、罪喰い化して仲間にしたようだ。			彷徨うアンドレイア							
それも、ヒュム族の斧使いに、ガルジェント族の剣士、ドワーフ族の癒し手に、エルフ族の魔道士ときた。この面子は、「光の戦士たち」と符合する。			それも、ヒュム族の斧使いに、ガルジェント族の剣士、ドワーフ族の癒し手に、エルフ族の魔道士ときた。この面子は、「光の戦士たち」と符合する。			彷徨うアンドレイア							
つまり……アンドレイアは、かつての仲間たちを再現したってことだ！			つまり……アンドレイアは、かつての仲間たちを再現したってことだ！			彷徨うアンドレイア							
だが、腑に落ちない点もある……。アンドレイアがラケティカ大森林をうろつくのは、バラム・キツェーを探しているからに違いない。			だが、腑に落ちない点もある……。アンドレイアがラケティカ大森林をうろつくのは、バラム・キツェーを探しているからに違いない。			彷徨うアンドレイア							
レンダ・レイは、バラム・キツェーをひとりで討伐したはず。ここで仲間を作るのは、過去と食い違う……。			レンダ・レイは、バラム・キツェーをひとりで討伐したはず。ここで仲間を作るのは、過去と食い違う……。			彷徨うアンドレイア							
な、なんだって？レンダ・レイは仲間とともに討伐しただって？じゃあ……伝わっていた話は間違いだったのか……？			な、なんだって？レンダ・レイは仲間とともに討伐しただって？じゃあ……伝わっていた話は間違いだったのか……？			彷徨うアンドレイア							
なんてこった……俺はレンダ・レイに倣って、ひとりで戦おうとしたってのに……。			なんてこった……俺はレンダ・レイに倣って、ひとりで戦おうとしたってのに……。			彷徨うアンドレイア							
でも、お前が駆けつけてくれたときに痛感したよ。仲間って、やっぱりいいもんだなって……。			でも、お前が駆けつけてくれたときに痛感したよ。仲間って、やっぱりいいもんだなって……。			彷徨うアンドレイア							
Forename……。お前に暴言を吐いて、仲違いしてしまったこと、ずっと後悔していたんだ……。			Forename……。お前に暴言を吐いて、仲違いしてしまったこと、ずっと後悔していたんだ……。			彷徨うアンドレイア							
本当に、本当に、すまなかった……！			本当に、本当に、すまなかった……！			彷徨うアンドレイア							
何と言う？			何と言う？			彷徨うアンドレイア							
もういいんだ			もういいんだ			彷徨うアンドレイア							
…………			…………			彷徨うアンドレイア							
ありがとう……。俺の本当の仲間になってくれたのは、お前だけだ……。			ありがとう……。俺の本当の仲間になってくれたのは、お前だけだ……。			彷徨うアンドレイア							
やっぱり怒ってるよな……。絶対、埋め合わせをするからカンベンしてくれ！			やっぱり怒ってるよな……。絶対、埋め合わせをするからカンベンしてくれ！			彷徨うアンドレイア							
アンドレイアはこの先、バラム・キツェーとの決着をつけるために、罪喰い化した者たちとともに、延々と森をさまよい続けるだろう。			アンドレイアはこの先、バラム・キツェーとの決着をつけるために、罪喰い化した者たちとともに、延々と森をさまよい続けるだろう。			彷徨うアンドレイア							
ランビルドは、かつて一緒に組んでいたこともあったし、ほかの賞金稼ぎたちも、このままじゃ浮かばれない。討伐することで、その魂を救ってやりたいんだ。			ランビルドは、かつて一緒に組んでいたこともあったし、ほかの賞金稼ぎたちも、このままじゃ浮かばれない。討伐することで、その魂を救ってやりたいんだ。			彷徨うアンドレイア							
そして何より、俺が幼い頃に憧れた、レンダ・レイの魂を解き放ってやりたくなった。もう名声目当ての討伐じゃあない……！			そして何より、俺が幼い頃に憧れた、レンダ・レイの魂を解き放ってやりたくなった。もう名声目当ての討伐じゃあない……！			彷徨うアンドレイア							
だが、向こうに仲間ができたいま、俺にもお前という仲間が必要だ。どうかまた、アンドレイア討伐に力を貸してくれ……！			だが、向こうに仲間ができたいま、俺にもお前という仲間が必要だ。どうかまた、アンドレイア討伐に力を貸してくれ……！			彷徨うアンドレイア							
ありがとう、Forename……！さあ、オルヴァラが心配しているだろうから、ゲートタウンに戻るとしよう。			ありがとう、Forename……！さあ、オルヴァラが心配しているだろうから、ゲートタウンに戻るとしよう。			彷徨うアンドレイア							
オルヴァラにも感謝しないとな……。			オルヴァラにも感謝しないとな……。			彷徨うアンドレイア							
Forenameさん、この度は、本当にありがとうございました。リーク坊ちゃんが無事で安心したわ。			Forenameさん、この度は、本当にありがとうございました。リーク坊ちゃんが無事で安心したわ。			彷徨うアンドレイア							
オルヴァラ、心配かけてすまなかったな。おかげで、Forenameと、仲直りすることができたよ。			オルヴァラ、心配かけてすまなかったな。おかげで、Forenameと、仲直りすることができたよ。			彷徨うアンドレイア							
きっと彼女が俺のことを心配して、お前を寄こしたんだろ？そんなことはわかっていたけど、それでも感謝してるよ。しかし……いよいよ、お前に渡す報酬がまったくない。			きっと彼女が俺のことを心配して、お前を寄こしたんだろ？そんなことはわかっていたけど、それでも感謝してるよ。しかし……いよいよ、お前に渡す報酬がまったくない。			彷徨うアンドレイア							
大丈夫よ、リーク坊ちゃん。私が頼んだことだから、報酬を用意しておいたわ。口に合うかわからないけど、精魂込めてお料理も作ったのよ。			大丈夫よ、リーク坊ちゃん。私が頼んだことだから、報酬を用意しておいたわ。口に合うかわからないけど、精魂込めてお料理も作ったのよ。			彷徨うアンドレイア							
ありがとう、オルヴァラ。この借りはアンドレイアを討伐して、その懸賞金で必ず払うよ。			ありがとう、オルヴァラ。この借りはアンドレイアを討伐して、その懸賞金で必ず払うよ。			彷徨うアンドレイア							
さあ、リーク＆Forenameの再結成だな！アンドレイアは仲間ができたことで、より強力になった。しばらく、お互い腕を磨くことにしよう。			さあ、リーク＆Forenameの再結成だな！アンドレイアは仲間ができたことで、より強力になった。しばらく、お互い腕を磨くことにしよう。			彷徨うアンドレイア							
今度こそ、ヤツを討伐するぞ！その際には懸賞金が入るから、また必ず来てくれよな……！			今度こそ、ヤツを討伐するぞ！その際には懸賞金が入るから、また必ず来てくれよな……！			彷徨うアンドレイア							
彷徨う階段亭のルー・リークは、どこか自信なさげに立っている。			彷徨う階段亭のルー・リークは、どこか自信なさげに立っている。			レンダ・レイの敗北							
ルー・リークは、人を雇って調べたところ、アンドレイアに罪喰いにされた魔獣の情報を得たようだ。アム・アレーンのシムーンの背骨で「ルー・リーク」と話そう。			ルー・リークは、人を雇って調べたところ、アンドレイアに罪喰いにされた魔獣の情報を得たようだ。アム・アレーンのシムーンの背骨で「ルー・リーク」と話そう。			レンダ・レイの敗北							
ルー・リークと話し、罪喰い化した毒蠍を探して倒すことになった。アム・アレーンのアンバーフィールドの「指定地点」で見渡して、毒蠍型の罪喰いが現れたら討伐しよう。			ルー・リークと話し、罪喰い化した毒蠍を探して倒すことになった。アム・アレーンのアンバーフィールドの「指定地点」で見渡して、毒蠍型の罪喰いが現れたら討伐しよう。			レンダ・レイの敗北							
指定地点で見渡したところ、毒蠍型の罪喰いらしき姿はなかった。再度、アンバーフィールドの「指定地点」で見渡して、毒蠍型の罪喰いが現れたら討伐しよう。			指定地点で見渡したところ、毒蠍型の罪喰いらしき姿はなかった。再度、アンバーフィールドの「指定地点」で見渡して、毒蠍型の罪喰いが現れたら討伐しよう。			レンダ・レイの敗北							
毒蠍型の罪喰いを討伐した。集合場所であるシムーンの背骨の「指定地点」で待機しよう。			毒蠍型の罪喰いを討伐した。集合場所であるシムーンの背骨の「指定地点」で待機しよう。			レンダ・レイの敗北							
指定地点で待機したところ、アンドレイアが現れて冒険者は過去視に陥った。どうやら、レンダ・レイの過去の魔獣討伐を垣間見たようだ。彷徨う階段亭に戻り「ルー・リーク」と話そう。			指定地点で待機したところ、アンドレイアが現れて冒険者は過去視に陥った。どうやら、レンダ・レイの過去の魔獣討伐を垣間見たようだ。彷徨う階段亭に戻り「ルー・リーク」と話そう。			レンダ・レイの敗北							
ルー・リークと話し、祝杯をあげた。彼はアンドレイアの動向を伺うという。よき頃合いに、またルー・リークを訪ねよう。※いずれかのファイター系DPSジョブのレベルが74以上になると、彷徨う階段亭のルー・リークから次のファイター系DPSロールクエストを受注することができます。			ルー・リークと話し、祝杯をあげた。彼はアンドレイアの動向を伺うという。よき頃合いに、またルー・リークを訪ねよう。※いずれかのファイター系DPSジョブのレベルが74以上になると、彷徨う階段亭のルー・リークから次のファイター系DPSロールクエストを受注することができます。			レンダ・レイの敗北							
シムーンの背骨のルー・リークと話す			シムーンの背骨のルー・リークと話す			レンダ・レイの敗北							
指定地点で見渡し、毒蠍型の罪喰いが現れたら討伐			指定地点で見渡し、毒蠍型の罪喰いが現れたら討伐			レンダ・レイの敗北							
指定地点で再度見渡し、毒蠍型の罪喰いが現れたら討伐			指定地点で再度見渡し、毒蠍型の罪喰いが現れたら討伐			レンダ・レイの敗北							
指定地点で待機			指定地点で待機			レンダ・レイの敗北							
彷徨う階段亭のルー・リークと話す			彷徨う階段亭のルー・リークと話す			レンダ・レイの敗北							
お前……来てくれたんだな……！よ、よかった、まさか本当に……			お前……来てくれたんだな……！よ、よかった、まさか本当に……			レンダ・レイの敗北							
い、いや……何でもない……。			い、いや……何でもない……。			レンダ・レイの敗北							
ちょうどよかった。情報集めに雇った者が、戻ってくる頃合いだったんだ。お、来たようだ……			ちょうどよかった。情報集めに雇った者が、戻ってくる頃合いだったんだ。お、来たようだ……			レンダ・レイの敗北							
頼まれた件について、調べてきたわ。直近のアンドレイアの目撃情報は、アム・アレーン……シムーンの背骨の近辺に出没したようね。			頼まれた件について、調べてきたわ。直近のアンドレイアの目撃情報は、アム・アレーン……シムーンの背骨の近辺に出没したようね。			レンダ・レイの敗北							
聞き込みによれば、アンドレイアは、当地では有名だった大物の毒蠍を罪喰い化させたようね。そいつが暴れまわって、結構な被害が出ているそうよ。			聞き込みによれば、アンドレイアは、当地では有名だった大物の毒蠍を罪喰い化させたようね。そいつが暴れまわって、結構な被害が出ているそうよ。			レンダ・レイの敗北							
なるほど……ご苦労だったな。ほら、約束の報酬だ、受け取ってくれ。			なるほど……ご苦労だったな。ほら、約束の報酬だ、受け取ってくれ。			レンダ・レイの敗北							
あちこち歩き回って、情報収集するのも面倒だろう？人を使えば、手間も省けるってもんだ。			あちこち歩き回って、情報収集するのも面倒だろう？人を使えば、手間も省けるってもんだ。			レンダ・レイの敗北							
聞いてのとおり、狙い目の獲物が出現した。さっそく、毒蠍型の罪喰いを討伐するため、アム・アレーンのシムーンの背骨に向かおう。			聞いてのとおり、狙い目の獲物が出現した。さっそく、毒蠍型の罪喰いを討伐するため、アム・アレーンのシムーンの背骨に向かおう。			レンダ・レイの敗北							
さてと、罪喰い化した毒蠍は、この辺りに徘徊してるって話だった……。			さてと、罪喰い化した毒蠍は、この辺りに徘徊してるって話だった……。			レンダ・レイの敗北							
しかし、このただっ広い砂漠で、一匹の獲物を探すってのも、骨が折れるな。また人を雇いたいところだが、それも見つかりそうにない。			しかし、このただっ広い砂漠で、一匹の獲物を探すってのも、骨が折れるな。また人を雇いたいところだが、それも見つかりそうにない。			レンダ・レイの敗北							
仕方がない、俺とお前で二手にわかれて探そう。いいか、忘れるなよ、獲物は「毒蠍型の罪喰い」だ。そいつを先に見つけた方が始末しよう。			仕方がない、俺とお前で二手にわかれて探そう。いいか、忘れるなよ、獲物は「毒蠍型の罪喰い」だ。そいつを先に見つけた方が始末しよう。			レンダ・レイの敗北							
集合場所はここだ。獲物を倒すか、探しても見つからなかったら、この場所に戻ってくれ……それじゃあ、狩猟開始！			集合場所はここだ。獲物を倒すか、探しても見つからなかったら、この場所に戻ってくれ……それじゃあ、狩猟開始！			レンダ・レイの敗北							
毒蠍型の罪喰いらしき姿はない……。もっと先で探そう。			毒蠍型の罪喰いらしき姿はない……。もっと先で探そう。			レンダ・レイの敗北							
