バルデシオン分館の新顔のバルデシオン委員は、冒険者の到来を待っていたようだ。			バルデシオン分館の新顔のバルデシオン委員は、冒険者の到来を待っていたようだ。			委員会へのとある依頼							
……必ず乗り越えよう、Forename。神々の、あんな勝手な審理なんてな！			……必ず乗り越えよう、Forename。神々の、あんな勝手な審理なんてな！			輝ける神域 アグライア							
俺は準備できてる。君のタイミングで神域に向かおうじゃないか。			俺は準備できてる。君のタイミングで神域に向かおうじゃないか。			輝ける神域 アグライア							
無事だったのね……！			無事だったのね……！			輝ける神域 アグライア							
ラハくんに連絡をもらって、急いで来たの！十二神を名乗る存在が現れたんですって！？			ラハくんに連絡をもらって、急いで来たの！十二神を名乗る存在が現れたんですって！？			輝ける神域 アグライア							
さっき現れた神々を、倒しきったのか！			さっき現れた神々を、倒しきったのか！			輝ける神域 アグライア							
あんたなら、無事に戻ってくるって信じてたよ。			あんたなら、無事に戻ってくるって信じてたよ。			輝ける神域 アグライア							
(-ラールガーの声-)ガッハッハ！愉快、愉快！			(-ラールガーの声-)ガッハッハ！愉快、愉快！			輝ける神域 アグライア							
神が人にひと芝居を打つ日がくるとはのう！ビエルゴの敵役、よくよくはまっていたではないか！			神が人にひと芝居を打つ日がくるとはのう！ビエルゴの敵役、よくよくはまっていたではないか！			輝ける神域 アグライア							
人に神々との戦いを決意させるには、あのくらいせねばと思ったのです……。そう笑わないでください、お師様……。			人に神々との戦いを決意させるには、あのくらいせねばと思ったのです……。そう笑わないでください、お師様……。			輝ける神域 アグライア							
はぁ……神域に招くためとはいえ……愛しき子らを邪険にする物言い、心苦しくあったぞ。			はぁ……神域に招くためとはいえ……愛しき子らを邪険にする物言い、心苦しくあったぞ。			輝ける神域 アグライア							
アーゼマよ……。そう宣うわりには、嬉々として戦っていたが、審理の本分は、忘れていなかったであろうな……？			アーゼマよ……。そう宣うわりには、嬉々として戦っていたが、審理の本分は、忘れていなかったであろうな……？			輝ける神域 アグライア							
ふん、人があまりにも愛いもので、少々昂っただけよ。それはナルザル、そなたも同じであろう！			ふん、人があまりにも愛いもので、少々昂っただけよ。それはナルザル、そなたも同じであろう！			輝ける神域 アグライア							
人の子らよ、僥倖であったな。此奴が高揚するところなど、そうそう見られるものではないぞ。			人の子らよ、僥倖であったな。此奴が高揚するところなど、そうそう見られるものではないぞ。			輝ける神域 アグライア							
いったい、どういうことなの……？彼らは倒されたはずじゃ……。			いったい、どういうことなの……？彼らは倒されたはずじゃ……。			輝ける神域 アグライア							
逃げ延びていた……それとも再召喚か……！？何にせよ、まだやるって言うなら……！			逃げ延びていた……それとも再召喚か……！？何にせよ、まだやるって言うなら……！			輝ける神域 アグライア							
いやいや、もうお前たちと戦う意思はない！武器なぞ置いてかまわん。			いやいや、もうお前たちと戦う意思はない！武器なぞ置いてかまわん。			輝ける神域 アグライア							
私たちは、何かに召喚されるような存在ではありません。無論、クリスタルを食らったり、人を魅了したりもしない。その点は、どうか安心してください。			私たちは、何かに召喚されるような存在ではありません。無論、クリスタルを食らったり、人を魅了したりもしない。その点は、どうか安心してください。			輝ける神域 アグライア							
……そうは言っても、十二神の神降ろしについては前例があるんだ。			……そうは言っても、十二神の神降ろしについては前例があるんだ。			輝ける神域 アグライア							
第七霊災の折、迫りくるダラガブからエオルゼアを護るために、ルイゾワ様が命を賭して、その召喚を試みたといわれている。			第七霊災の折、迫りくるダラガブからエオルゼアを護るために、ルイゾワ様が命を賭して、その召喚を試みたといわれている。			輝ける神域 アグライア							
あれは、当時の人々の信仰によって創造された、いわば「十二神の力」という蛮神……。唯一無二(オリジナル)の私たちとは別のもの。			あれは、当時の人々の信仰によって創造された、いわば「十二神の力」という蛮神……。唯一無二(オリジナル)の私たちとは別のもの。			輝ける神域 アグライア							
うむ、あの霊災の被害を減じ、また大地を再生に導いたのは、まごうことなく人の想いだったといえよう。			うむ、あの霊災の被害を減じ、また大地を再生に導いたのは、まごうことなく人の想いだったといえよう。			輝ける神域 アグライア							
何と言う？			何と言う？			輝ける神域 アグライア							
それなら、お前たちは何者だ？			それなら、お前たちは何者だ？			輝ける神域 アグライア							
本当に、星の意志になるつもりだったのか？			本当に、星の意志になるつもりだったのか？			輝ける神域 アグライア							
どうして今、自分たちの前に現れた？			どうして今、自分たちの前に現れた？			輝ける神域 アグライア							
…………人に願いがあるように、私たち十二神にも、どうしても叶えたい願いがある。			…………人に願いがあるように、私たち十二神にも、どうしても叶えたい願いがある。			輝ける神域 アグライア							
そのために、人の協力……より正確には、神と人との戦いが不可欠。ゆえにこそ、世界を征服するなどと虚言を弄したわけですが……			そのために、人の協力……より正確には、神と人との戦いが不可欠。ゆえにこそ、世界を征服するなどと虚言を弄したわけですが……			輝ける神域 アグライア							
人の神に相応しくない、不遜で不誠実な態度でした。戦いにおいて力を振るったことも含め、あなたに対しては、詫びねばならないでしょう。			人の神に相応しくない、不遜で不誠実な態度でした。戦いにおいて力を振るったことも含め、あなたに対しては、詫びねばならないでしょう。			輝ける神域 アグライア							
その叶えたい願いがどういうものかは、教えてもらえないのでしょうか？			その叶えたい願いがどういうものかは、教えてもらえないのでしょうか？			輝ける神域 アグライア							
ああ、私たちからは告げられぬ。知りたければ、その手、その足で突き止めるといい。			ああ、私たちからは告げられぬ。知りたければ、その手、その足で突き止めるといい。			輝ける神域 アグライア							
真理を知らずして進むことに、納得は得られまい。しかし歩みを止めなければ、我らが黙する理由も、いずれわかるであろう。			真理を知らずして進むことに、納得は得られまい。しかし歩みを止めなければ、我らが黙する理由も、いずれわかるであろう。			輝ける神域 アグライア							
我らの存在が、人にとっては「何」であるか……。その目でしかと見定めよ。			我らの存在が、人にとっては「何」であるか……。その目でしかと見定めよ。			輝ける神域 アグライア							
人よ、我らを知り、我らに至りなさい。時が来たらば、またこの神域でまみえましょう。			人よ、我らを知り、我らに至りなさい。時が来たらば、またこの神域でまみえましょう。			輝ける神域 アグライア							
エオルゼア十二神と言葉を交わしたなんて……落ち着いて考えてみると、とんでもないことだよな。			エオルゼア十二神と言葉を交わしたなんて……落ち着いて考えてみると、とんでもないことだよな。			輝ける神域 アグライア							
俺たち探検家が探し求めていた幻域は、神々の領域、「神域」だったってことか。俺が探索したときは、誰もいない遺跡のように見えたんだがな……。			俺たち探検家が探し求めていた幻域は、神々の領域、「神域」だったってことか。俺が探索したときは、誰もいない遺跡のように見えたんだがな……。			輝ける神域 アグライア							
驚いたわ……。なんでもないことのように、十二神が現れるんだもの！			驚いたわ……。なんでもないことのように、十二神が現れるんだもの！			輝ける神域 アグライア							
でも、話が通じる相手のようにも思えた。実際に戦った、あなたの話も詳しく聞きたいわ。			でも、話が通じる相手のようにも思えた。実際に戦った、あなたの話も詳しく聞きたいわ。			輝ける神域 アグライア							
そちらの彼にご挨拶もしたいし、状況を整理する時間を、少しもらえるかしら？			そちらの彼にご挨拶もしたいし、状況を整理する時間を、少しもらえるかしら？			輝ける神域 アグライア							
オムファロスのクルルは、状況を整理したいようだ。			オムファロスのクルルは、状況を整理したいようだ。			十二神を奉る地の調査							
クルルは、バルデシオン委員会として神域の調査を正式に引き受けることにした。オムファロスの「グ・ラハ・ティア」と次の調査について話そう。オムファロスへは、モードゥナの銀泪湖畔から移動できるようだ。			クルルは、バルデシオン委員会として神域の調査を正式に引き受けることにした。オムファロスの「グ・ラハ・ティア」と次の調査について話そう。オムファロスへは、モードゥナの銀泪湖畔から移動できるようだ。			十二神を奉る地の調査							
グ・ラハ・ティアとデリックとともに、現れた神々を奉る地を巡って類似点などを洗い出すことになった。まずはラールガーズリーチに向かい、星降りの池の「指定地点」で待機しよう。			グ・ラハ・ティアとデリックとともに、現れた神々を奉る地を巡って類似点などを洗い出すことになった。まずはラールガーズリーチに向かい、星降りの池の「指定地点」で待機しよう。			十二神を奉る地の調査							
冒険者に遅れてグ・ラハ・ティアとデリックも合流した。手分けして、ラールガー信仰に関する情報を集めよう。			冒険者に遅れてグ・ラハ・ティアとデリックも合流した。手分けして、ラールガー信仰に関する情報を集めよう。			十二神を奉る地の調査							
ラールガー信仰に関する人々の想いを聞き、経典を手に入れた。星降りの池の「指定地点」で待機し、グ・ラハ・ティアたちの合流を待とう。			ラールガー信仰に関する人々の想いを聞き、経典を手に入れた。星降りの池の「指定地点」で待機し、グ・ラハ・ティアたちの合流を待とう。			十二神を奉る地の調査							
小さな仮初の姿で現れた神々は、彼らの姿形を見聞きした人の伝承が現在の信仰に繋がっていったのだろうと語った。次の調査に向かおうとした一行だったが、グ・ラハ・ティアが神話学者を迎えにいくといってわかれてしまった。星降りの池で途方に暮れている「デリック」と話そう。			小さな仮初の姿で現れた神々は、彼らの姿形を見聞きした人の伝承が現在の信仰に繋がっていったのだろうと語った。次の調査に向かおうとした一行だったが、グ・ラハ・ティアが神話学者を迎えにいくといってわかれてしまった。星降りの池で途方に暮れている「デリック」と話そう。			十二神を奉る地の調査							
デリックと話した。ふたりだけの調査は、無事に進められるだろうか……？			デリックと話した。ふたりだけの調査は、無事に進められるだろうか……？			十二神を奉る地の調査							
グ・ラハ・ティアと話す			グ・ラハ・ティアと話す			十二神を奉る地の調査							
ラールガーズリーチの指定地点で待機			ラールガーズリーチの指定地点で待機			十二神を奉る地の調査							
ラールガー星導教の手がかりを探す			ラールガー星導教の手がかりを探す			十二神を奉る地の調査							
指定地点で待機			指定地点で待機			十二神を奉る地の調査							
デリックと話す			デリックと話す			十二神を奉る地の調査							
クルルにもすぐに連絡がついてよかったよ。			クルルにもすぐに連絡がついてよかったよ。			十二神を奉る地の調査							
こちらのお嬢さんを紹介してくれるのか？			こちらのお嬢さんを紹介してくれるのか？			十二神を奉る地の調査							
初めまして、バルデシオン委員会のクルルです。あなたがラムブルースさんに調査を依頼した探検家さんね？			初めまして、バルデシオン委員会のクルルです。あなたがラムブルースさんに調査を依頼した探検家さんね？			十二神を奉る地の調査							
ああ、デリックと……足元のこいつはオポオポの子どもだ。			ああ、デリックと……足元のこいつはオポオポの子どもだ。			十二神を奉る地の調査							
あら、名前はないの？			あら、名前はないの？			十二神を奉る地の調査							
勝手についてきてるだけだからな。名前をつけたら、こいつと俺は対等じゃなくなってしまう。			勝手についてきてるだけだからな。名前をつけたら、こいつと俺は対等じゃなくなってしまう。			十二神を奉る地の調査							
なるほど……そういう優しさもあるのかもしれないわね。			なるほど……そういう優しさもあるのかもしれないわね。			十二神を奉る地の調査							
あなたがデリックさんと神域内を探索したのよね？その時の状況を教えてくれる？			あなたがデリックさんと神域内を探索したのよね？その時の状況を教えてくれる？			十二神を奉る地の調査							
なるほど、厳しい戦いではあったものの、敵意を向けられていた感じじゃなかったんだな。			なるほど、厳しい戦いではあったものの、敵意を向けられていた感じじゃなかったんだな。			十二神を奉る地の調査							
一方で、ビエルゴは、人と神の戦いが不可欠だと言っていた。つまり……戦いたいけど……傷つけたいわけじゃない……？			一方で、ビエルゴは、人と神の戦いが不可欠だと言っていた。つまり……戦いたいけど……傷つけたいわけじゃない……？			十二神を奉る地の調査							
わからないな……。ただ、本人たちが否定していたとおり、蛮神ではないって点は信じてもいいのかもしれない。			わからないな……。ただ、本人たちが否定していたとおり、蛮神ではないって点は信じてもいいのかもしれない。			十二神を奉る地の調査							
ラグナロクに搭乗するときに聞いた話を覚えてるか？リヴィングウェイによると、神降ろしの術には、「自己の増幅」という概念が組み込まれているらしい。			ラグナロクに搭乗するときに聞いた話を覚えてるか？リヴィングウェイによると、神降ろしの術には、「自己の増幅」という概念が組み込まれているらしい。			十二神を奉る地の調査							
だから通常の蛮神は、信仰する者をテンパードにした上で、仲間を増やすように仕向ける。			だから通常の蛮神は、信仰する者をテンパードにした上で、仲間を増やすように仕向ける。			十二神を奉る地の調査							
だが、あんたの証言からも、オムファロスでの神々の言動も、そういう素振りはまったくなかった。蛮神とは一線を画する存在なのは間違いなさそうだ。			だが、あんたの証言からも、オムファロスでの神々の言動も、そういう素振りはまったくなかった。蛮神とは一線を画する存在なのは間違いなさそうだ。			十二神を奉る地の調査							
ハイデリンやゾディアークのように、古代に創造された存在、という可能性がないわけじゃないが……断定する証拠もないからな。			ハイデリンやゾディアークのように、古代に創造された存在、という可能性がないわけじゃないが……断定する証拠もないからな。			十二神を奉る地の調査							
エオルゼア十二神を称した彼らは何者なのか。そして、人との戦いを求める理由はなんなのか……。			エオルゼア十二神を称した彼らは何者なのか。そして、人との戦いを求める理由はなんなのか……。			十二神を奉る地の調査							
(-エメトセルク-)エオルゼアにも、まだ知られざる真実がある。お前たちが奉る「十二神」の正体なんぞがいい例だ。			(-エメトセルク-)エオルゼアにも、まだ知られざる真実がある。お前たちが奉る「十二神」の正体なんぞがいい例だ。			十二神を奉る地の調査							
そうだ、確かにそう言ってた……！エメトセルクは、真相に辿りついていたんだな……。			そうだ、確かにそう言ってた……！エメトセルクは、真相に辿りついていたんだな……。			十二神を奉る地の調査							
だったら、やっぱりここで放り出すわけにはいかないよな。あんたも「見て」おかなきゃ……だろ？			だったら、やっぱりここで放り出すわけにはいかないよな。あんたも「見て」おかなきゃ……だろ？			十二神を奉る地の調査							
デリックさん、このオムファロスを含めた神域と十二神の調査、正式にバルデシオン委員会に引き取らせてください。これはおそらく、星に関する重要事項よ。			デリックさん、このオムファロスを含めた神域と十二神の調査、正式にバルデシオン委員会に引き取らせてください。これはおそらく、星に関する重要事項よ。			十二神を奉る地の調査							
ああ、助かるよ。ありがとう。			ああ、助かるよ。ありがとう。			十二神を奉る地の調査							
まず私は、自分の目でここを見て回ろうかしら。いろいろ気になるものもあるし……。			まず私は、自分の目でここを見て回ろうかしら。いろいろ気になるものもあるし……。			十二神を奉る地の調査							
それならオレは、今回姿を現した神々のことを、守護神として奉っている土地を調査したい。			それならオレは、今回姿を現した神々のことを、守護神として奉っている土地を調査したい。			十二神を奉る地の調査							
Forename、デリック。オレたちはもうここを見ているし、一緒にどうだ？			Forename、デリック。オレたちはもうここを見ているし、一緒にどうだ？			十二神を奉る地の調査							
ああ、かまわない。それなら……			ああ、かまわない。それなら……			十二神を奉る地の調査							
よければお前は、お嬢さんについててくれないか？レディーをここにひとり残すのは心苦しいしな。			よければお前は、お嬢さんについててくれないか？レディーをここにひとり残すのは心苦しいしな。			十二神を奉る地の調査							
ウキーーーー！			ウキーーーー！			十二神を奉る地の調査							
ふふ、ありがとう。じゃあ気をつけて行ってきてね。			ふふ、ありがとう。じゃあ気をつけて行ってきてね。			十二神を奉る地の調査							
ラハくんにも、ざっくりとした調査結果は聞いているわ。私はこのオポオポさんと残って、自分なりの目線でこの神域を見てみるわね。			ラハくんにも、ざっくりとした調査結果は聞いているわ。私はこのオポオポさんと残って、自分なりの目線でこの神域を見てみるわね。			十二神を奉る地の調査							
(-ベイビーオポオポ-)ウキャッ！			(-ベイビーオポオポ-)ウキャッ！			十二神を奉る地の調査							
グ・ラハ・ティアから、調査について聞こうじゃないか。			グ・ラハ・ティアから、調査について聞こうじゃないか。			十二神を奉る地の調査							
よし、じゃあオレたちは、各地の十二神信仰について、調査に乗り出すぞ！			よし、じゃあオレたちは、各地の十二神信仰について、調査に乗り出すぞ！			十二神を奉る地の調査							
ひとことで十二神信仰といってもその歴史は長く、幅広い。わかっている範囲でも、第三星暦のアラグ時代には、すでに確立されていたらしいんだ。			ひとことで十二神信仰といってもその歴史は長く、幅広い。わかっている範囲でも、第三星暦のアラグ時代には、すでに確立されていたらしいんだ。			十二神を奉る地の調査							
時を経て第五星暦、魔大戦を争った各国は、十二神のいずれかを、守護神として奉じ始めていた。その流れが、現代のエオルゼア諸国にも受け継がれてるわけだ。			時を経て第五星暦、魔大戦を争った各国は、十二神のいずれかを、守護神として奉じ始めていた。その流れが、現代のエオルゼア諸国にも受け継がれてるわけだ。			十二神を奉る地の調査							
とはいえ、地域差はあるけどな。ハルオーネを絶対視するイシュガルド正教会の例もあれば、シャーレアンのサリャク信仰のように緩やかな例もある。			とはいえ、地域差はあるけどな。ハルオーネを絶対視するイシュガルド正教会の例もあれば、シャーレアンのサリャク信仰のように緩やかな例もある。			十二神を奉る地の調査							
だから、各地で特に信仰されている神と、今回姿を現した彼らとの、類似点や相違点を洗いだしたいんだ。			だから、各地で特に信仰されている神と、今回姿を現した彼らとの、類似点や相違点を洗いだしたいんだ。			十二神を奉る地の調査							
少しでも彼らの正体に近づくために、さ！			少しでも彼らの正体に近づくために、さ！			十二神を奉る地の調査							
まずは「ラールガーズリーチ」に行ってみよう。壊神ラールガー信仰の聖地でもあるからな！			まずは「ラールガーズリーチ」に行ってみよう。壊神ラールガー信仰の聖地でもあるからな！			十二神を奉る地の調査							
早かったな、Forename！			早かったな、Forename！			十二神を奉る地の調査							
シドたちとオメガの調査をしたとき、ここを拠点のひとつにしてたんだろう？あんたとここに来られて嬉しいよ！			シドたちとオメガの調査をしたとき、ここを拠点のひとつにしてたんだろう？あんたとここに来られて嬉しいよ！			十二神を奉る地の調査							
自由を勝ち取った不屈の闘士たち、アラミゴ解放軍の拠点、ラールガーズリーチか。あんたとここに来られて嬉しいよ！			自由を勝ち取った不屈の闘士たち、アラミゴ解放軍の拠点、ラールガーズリーチか。あんたとここに来られて嬉しいよ！			十二神を奉る地の調査							
なあ、ちょっと気になったんだが……誰かといっしょに行動することが、そんなにも嬉しいものなのか？			なあ、ちょっと気になったんだが……誰かといっしょに行動することが、そんなにも嬉しいものなのか？			十二神を奉る地の調査							
オレにとっては……遠い昔、もしくはあるかもしれない未来で、夢にまで見た時間だからな。			オレにとっては……遠い昔、もしくはあるかもしれない未来で、夢にまで見た時間だからな。			十二神を奉る地の調査							
何と言う？			何と言う？			十二神を奉る地の調査							
仲間との旅はいい			仲間との旅はいい			十二神を奉る地の調査							
一人になりたいときもある			一人になりたいときもある			十二神を奉る地の調査							
ふうん、そういうもんか。			ふうん、そういうもんか。			十二神を奉る地の調査							
あんたは探検家として、ずっとひとりで旅してきたのか？			あんたは探検家として、ずっとひとりで旅してきたのか？			十二神を奉る地の調査							
そうだ。まだ見ぬ土地を求めて、放浪の日々さ。旅の孤独を慈しみ、街では行きずりの人々に思いを馳せる。			そうだ。まだ見ぬ土地を求めて、放浪の日々さ。旅の孤独を慈しみ、街では行きずりの人々に思いを馳せる。			十二神を奉る地の調査							
ここにも、アラミゴが解放されて以降、幻域を探す過程で訪れたことがあるな。			ここにも、アラミゴが解放されて以降、幻域を探す過程で訪れたことがあるな。			十二神を奉る地の調査							
そうだ、今にして思えば……			そうだ、今にして思えば……			十二神を奉る地の調査							
幻域の目撃談が伝わる場所は、十二神信仰と関連が深い地域と重なっていた気がする。			幻域の目撃談が伝わる場所は、十二神信仰と関連が深い地域と重なっていた気がする。			十二神を奉る地の調査							
それはいい情報だ。じゃあ、この辺りの壊神信仰のおさらいといこう。			それはいい情報だ。じゃあ、この辺りの壊神信仰のおさらいといこう。			十二神を奉る地の調査							
ここラールガーズリーチは、ラールガー星導教の総本山、星導山寺院のお膝元でもある。			ここラールガーズリーチは、ラールガー星導教の総本山、星導山寺院のお膝元でもある。			十二神を奉る地の調査							
廃王テオドリックの焼き討ちに遭って放棄されていたのを、アラミゴ解放軍が拠点として利用していたことは……あんたの方が詳しいか。			廃王テオドリックの焼き討ちに遭って放棄されていたのを、アラミゴ解放軍が拠点として利用していたことは……あんたの方が詳しいか。			十二神を奉る地の調査							
残存する資料は少ないかもしれないが、昔の壊神信仰について知る者がいる可能性もある。そういう人たちに、話を聞いてまわりたい。			残存する資料は少ないかもしれないが、昔の壊神信仰について知る者がいる可能性もある。そういう人たちに、話を聞いてまわりたい。			十二神を奉る地の調査							
手分けして、壊神信仰に繋がることを調べてみよう。一段落したら、またここに集合な！			手分けして、壊神信仰に繋がることを調べてみよう。一段落したら、またここに集合な！			十二神を奉る地の調査							
聞き込みは順調なのか？			聞き込みは順調なのか？			十二神を奉る地の調査							
「血嵐の訓戒」を読んでみた……。			「血嵐の訓戒」を読んでみた……。			十二神を奉る地の調査							
(-血嵐の訓戒-)血の嵐が近づく時　七獄の門は開きて　七天は涙を流さんひとり残らず誰しもが　壊神の拳が届く場所にあるゆえに			(-血嵐の訓戒-)血の嵐が近づく時　七獄の門は開きて　七天は涙を流さんひとり残らず誰しもが　壊神の拳が届く場所にあるゆえに			十二神を奉る地の調査							
星導教の高僧の言葉が刻まれている。逃げようのない戦乱や災厄に備え、日々、己を鍛えるべし、という訓えであると、かつてリセが話していたものだ。			星導教の高僧の言葉が刻まれている。逃げようのない戦乱や災厄に備え、日々、己を鍛えるべし、という訓えであると、かつてリセが話していたものだ。			十二神を奉る地の調査							
あ、あなたはForenameさんでは！？もしかして、こちらの兄さんと知り合いなのかい？			あ、あなたはForenameさんでは！？もしかして、こちらの兄さんと知り合いなのかい？			十二神を奉る地の調査							
以前ここを訪ねてきた際に聞かせてくれた、各国を旅して見聞きした話が、叙情的で面白くって！			以前ここを訪ねてきた際に聞かせてくれた、各国を旅して見聞きした話が、叙情的で面白くって！			十二神を奉る地の調査							
ふたりが一緒にいるなんて、なんだか感動するなぁ！よかったら、また異国の話を聞かせてほしいよ！それに、Forenameさんの冒険譚も！			ふたりが一緒にいるなんて、なんだか感動するなぁ！よかったら、また異国の話を聞かせてほしいよ！それに、Forenameさんの冒険譚も！			十二神を奉る地の調査							
悪いが、いまはちょっと急ぎでね。アラミゴにおける壊神信仰について調べているんだ。なにか資料が残っていたりはしないかい？			悪いが、いまはちょっと急ぎでね。アラミゴにおける壊神信仰について調べているんだ。なにか資料が残っていたりはしないかい？			十二神を奉る地の調査							
資料の多くが焼かれたって聞いてるよ。廃王テオドリックによる星導山寺院の焼き討ちに、帝国統治下での宗教弾圧と、いろいろとあったから……。			資料の多くが焼かれたって聞いてるよ。廃王テオドリックによる星導山寺院の焼き討ちに、帝国統治下での宗教弾圧と、いろいろとあったから……。			十二神を奉る地の調査							
でも、残っているものだってある。僧たちが建立したラールガー像もそうだし、なによりアラミゴの建国神話みたいな口伝もそうさ。			でも、残っているものだってある。僧たちが建立したラールガー像もそうだし、なによりアラミゴの建国神話みたいな口伝もそうさ。			十二神を奉る地の調査							
これらが厳しい時代に耐え抜いた、アラミゴ人の精神的支柱になっていたことは間違いないよ！			これらが厳しい時代に耐え抜いた、アラミゴ人の精神的支柱になっていたことは間違いないよ！			十二神を奉る地の調査							
そうか、ありがとう。よければもう少し話を聞かせてほしい。			そうか、ありがとう。よければもう少し話を聞かせてほしい。			十二神を奉る地の調査							
Forename、君は他のところを見てまわってくれるか？だいたい見たなら、先に集合場所に向かっていてくれ。			Forename、君は他のところを見てまわってくれるか？だいたい見たなら、先に集合場所に向かっていてくれ。			十二神を奉る地の調査							
おや、なにかご用かな？人待ちなもんで、その間なら話を聞けるけれど……			おや、なにかご用かな？人待ちなもんで、その間なら話を聞けるけれど……			十二神を奉る地の調査							
(-？？？？-)すみません、お待たせしましたー！			(-？？？？-)すみません、お待たせしましたー！			十二神を奉る地の調査							
おや、冒険者さん？私たちはアラミゴ史を嗜む研究者ですが、なにかご用がありました？			おや、冒険者さん？私たちはアラミゴ史を嗜む研究者ですが、なにかご用がありました？			十二神を奉る地の調査							
ほうほう、壊神信仰について調べていると！それならぴったりのものがありますよ！			ほうほう、壊神信仰について調べていると！それならぴったりのものがありますよ！			十二神を奉る地の調査							
あら、星導山寺院を案内してくれた冒険者さんではありませんか！もしかしてあなたもモンクの研究でいらっしゃったんですか？			あら、星導山寺院を案内してくれた冒険者さんではありませんか！もしかしてあなたもモンクの研究でいらっしゃったんですか？			十二神を奉る地の調査							
こちらの友人も私の研究に付き合ってくれているんです。ウフフ、同好の士がたくさんで嬉しいですねぇ！			こちらの友人も私の研究に付き合ってくれているんです。ウフフ、同好の士がたくさんで嬉しいですねぇ！			十二神を奉る地の調査							
ええーっ！壊神信仰について調べているんですか！？水臭いなぁ、早く言ってくださいよ！			ええーっ！壊神信仰について調べているんですか！？水臭いなぁ、早く言ってくださいよ！			十二神を奉る地の調査							
星導教の経典『壊論』の写しです！エリックさんという史学者の方が所蔵している、焼き討ちを逃れた数少ない資料だそうですよ！			星導教の経典『壊論』の写しです！エリックさんという史学者の方が所蔵している、焼き討ちを逃れた数少ない資料だそうですよ！			十二神を奉る地の調査							
星導教の経典『壊論』の写しです！ウィダルゲルトさんというモンクの方が発見した、焼き討ちを逃れた数少ない資料だそうですよ！			星導教の経典『壊論』の写しです！ウィダルゲルトさんというモンクの方が発見した、焼き討ちを逃れた数少ない資料だそうですよ！			十二神を奉る地の調査							
友人の分まで写しをとってあげたのに、要らないっていうんです。だからよければ、差し上げますよ！			友人の分まで写しをとってあげたのに、要らないっていうんです。だからよければ、差し上げますよ！			十二神を奉る地の調査							
私はあんたに付き合ってるだけだからねぇ……。星導教だかモンクだか知らないけど、のめり込みすぎて危ないことはしないでよ？			私はあんたに付き合ってるだけだからねぇ……。星導教だかモンクだか知らないけど、のめり込みすぎて危ないことはしないでよ？			十二神を奉る地の調査							
己を研鑽して危険に立ち向かうことこそ、ラールガー星導教の僧侶やモンクたちの強さなんですよ！はぁぁ……！　モンクって……素晴らしい！			己を研鑽して危険に立ち向かうことこそ、ラールガー星導教の僧侶やモンクたちの強さなんですよ！はぁぁ……！　モンクって……素晴らしい！			十二神を奉る地の調査							
では私たちは調査に戻ります！冒険者さんも、またどこかでー！			では私たちは調査に戻ります！冒険者さんも、またどこかでー！			十二神を奉る地の調査							
Forenameさんのお話も、今度詳しく聞かせておくれよ！			Forenameさんのお話も、今度詳しく聞かせておくれよ！			十二神を奉る地の調査							
Forename、そっちはなにか収穫があったか？			Forename、そっちはなにか収穫があったか？			十二神を奉る地の調査							
ラールガー星導教の研究者から受け取った、古い経典の写しだって……！？目を通してみるから、ちょっと待っていてくれないか？			ラールガー星導教の研究者から受け取った、古い経典の写しだって……！？目を通してみるから、ちょっと待っていてくれないか？			十二神を奉る地の調査							
なるほどな……。まさにこの、ラールガー像建造の歴史を記録しているみたいだ。伝承を書き留めた、といった感じに近いが……。			なるほどな……。まさにこの、ラールガー像建造の歴史を記録しているみたいだ。伝承を書き留めた、といった感じに近いが……。			十二神を奉る地の調査							
第六霊災、エオルゼアの各地で大洪水に見舞われたとき、彗星に導かれて、ギラバニア高地に逃げて助かった人々がいた。			第六霊災、エオルゼアの各地で大洪水に見舞われたとき、彗星に導かれて、ギラバニア高地に逃げて助かった人々がいた。			十二神を奉る地の調査							
彼らはそれから、破壊と彗星を司るラールガーを、特別にあつく信仰するようになったという。ここまでは、オレでも知っている逸話だが……			彼らはそれから、破壊と彗星を司るラールガーを、特別にあつく信仰するようになったという。ここまでは、オレでも知っている逸話だが……			十二神を奉る地の調査							
この経典によれば、彗星に導かれた人々の中に、ラールガーの姿を見た、と証言した者がいたらしい。			この経典によれば、彗星に導かれた人々の中に、ラールガーの姿を見た、と証言した者がいたらしい。			十二神を奉る地の調査							
そうして言い伝えられた姿を、星導教の僧侶や信徒が何百年もかけて掘り出した……。			そうして言い伝えられた姿を、星導教の僧侶や信徒が何百年もかけて掘り出した……。			十二神を奉る地の調査							
この、「ラールガーの姿を見た」って記述が気になるな。オムファロスに現れたあのラールガーと、この石像……やっぱり似ているように思えるからさ。			この、「ラールガーの姿を見た」って記述が気になるな。オムファロスに現れたあのラールガーと、この石像……やっぱり似ているように思えるからさ。			十二神を奉る地の調査							
オムファロスのラールガーが、単なる蛮神だったなら、話は簡単だったんだ。			オムファロスのラールガーが、単なる蛮神だったなら、話は簡単だったんだ。			十二神を奉る地の調査							
まず、人々が信仰に基づいて、想像上のラールガーの石像を造りあげる。それが共通認識となり、蛮神も似た姿で召喚される……ってな。			まず、人々が信仰に基づいて、想像上のラールガーの石像を造りあげる。それが共通認識となり、蛮神も似た姿で召喚される……ってな。			十二神を奉る地の調査							
