シャバーブチェのズーヘは、優れた魔道士である冒険者の知恵と力を借りたいようだ。			シャバーブチェのズーヘは、優れた魔道士である冒険者の知恵と力を借りたいようだ。			祭器の秘された力							
前回会った星戦士さんが言っていた、祭器を掲げた直後に、輝きが生じたという証言も合わせれば……やはり、落石は祭器の力と考えてよさそうですね！			前回会った星戦士さんが言っていた、祭器を掲げた直後に、輝きが生じたという証言も合わせれば……やはり、落石は祭器の力と考えてよさそうですね！			ジャスティス・Ｒの人気							
となると次に調べるべきは……能力の詳細でしょうか。			となると次に調べるべきは……能力の詳細でしょうか。			ジャスティス・Ｒの人気							
ジャスティス・Ｒは、魔物に対峙していたとき、なかなか能力が発動せずに戸惑っていたそうです。			ジャスティス・Ｒは、魔物に対峙していたとき、なかなか能力が発動せずに戸惑っていたそうです。			ジャスティス・Ｒの人気							
……私の父は魔道士だったのですが、自分の杖と祭器は、本質的には同じものだと言っていました。両者の違いは、特別な魔法が込められているかどうかだと。			……私の父は魔道士だったのですが、自分の杖と祭器は、本質的には同じものだと言っていました。両者の違いは、特別な魔法が込められているかどうかだと。			ジャスティス・Ｒの人気							
その前提でお聞きしたいのですが、あなたは魔法を使うときに、ご自身の武器をどう使いますか？			その前提でお聞きしたいのですが、あなたは魔法を使うときに、ご自身の武器をどう使いますか？			ジャスティス・Ｒの人気							
何と言う？			何と言う？			ジャスティス・Ｒの人気							
エーテルを送り込むことが多い			エーテルを送り込むことが多い			ジャスティス・Ｒの人気							
詠唱を伴うこともある			詠唱を伴うこともある			ジャスティス・Ｒの人気							
グッと気合を込める……？			グッと気合を込める……？			ジャスティス・Ｒの人気							
やっぱり、そうした魔法的な工程が必要なんですね。でも、彼はそれらしい行動は取っていなかったそうですし、どうやって発動を……。			やっぱり、そうした魔法的な工程が必要なんですね。でも、彼はそれらしい行動は取っていなかったそうですし、どうやって発動を……。			ジャスティス・Ｒの人気							
やっぱり魔法も気合が大事、と。ジャスティス・Ｒも気合十分にいろいろ叫んでいたようですが……しばらくしてから、落石があったと聞きましたよね。			やっぱり魔法も気合が大事、と。ジャスティス・Ｒも気合十分にいろいろ叫んでいたようですが……しばらくしてから、落石があったと聞きましたよね。			ジャスティス・Ｒの人気							
うーん……そうなると、祭器の力を発動させるには、ほかに何か、特殊な手順が必要なんでしょうか。			うーん……そうなると、祭器の力を発動させるには、ほかに何か、特殊な手順が必要なんでしょうか。			ジャスティス・Ｒの人気							
ただ、シャバーブチェにいたほかの部族の人たちは、そんなこと言ってなかったですし……。祭器によって、発動方法も異なるのでしょうか……。			ただ、シャバーブチェにいたほかの部族の人たちは、そんなこと言ってなかったですし……。祭器によって、発動方法も異なるのでしょうか……。			ジャスティス・Ｒの人気							
あっ！　君たち、このあたりで、独りでいる、アウラ族の少女を見かけませんでしたか！？			あっ！　君たち、このあたりで、独りでいる、アウラ族の少女を見かけませんでしたか！？			ジャスティス・Ｒの人気							
見なかったですけど、どうしたんですか？			見なかったですけど、どうしたんですか？			ジャスティス・Ｒの人気							
む、よく見ればForename殿と……君は最近、このあたりでよく見かけるお嬢さんですね！申し訳ないですが、緊急で協力をお願いできませんか？			む、よく見ればForename殿と……君は最近、このあたりでよく見かけるお嬢さんですね！申し訳ないですが、緊急で協力をお願いできませんか？			ジャスティス・Ｒの人気							
実は、ジャスティス・Ｒなる男に入れ込んだ少女が、彼に会いたいと、イェドリマンを出ていってしまったのです！			実は、ジャスティス・Ｒなる男に入れ込んだ少女が、彼に会いたいと、イェドリマンを出ていってしまったのです！			ジャスティス・Ｒの人気							
我々も、少女の母から捜索を頼まれ探しているのです。ジャスティス・Ｒは、島の各地で魔物を倒しているので、過去の出現場所を探しているのですが、見つからず……。			我々も、少女の母から捜索を頼まれ探しているのです。ジャスティス・Ｒは、島の各地で魔物を倒しているので、過去の出現場所を探しているのですが、見つからず……。			ジャスティス・Ｒの人気							
それは大変です……！Forenameさん、私たちも協力しましょう！			それは大変です……！Forenameさん、私たちも協力しましょう！			ジャスティス・Ｒの人気							
それは助かります！私は、引き続き奴が出没した場所を見て回るので、おふたりは、それ以外の場所を探していただけますか？			それは助かります！私は、引き続き奴が出没した場所を見て回るので、おふたりは、それ以外の場所を探していただけますか？			ジャスティス・Ｒの人気							
それなら……北の海岸あたりにはまだ現れていないはず。手分けして、「アウラ族の少女」を探しましょう！			それなら……北の海岸あたりにはまだ現れていないはず。手分けして、「アウラ族の少女」を探しましょう！			ジャスティス・Ｒの人気							
私は、引き続きジャスティス・Ｒの出現箇所を探します。北側の海岸は、まだ確認してませんので、どうか「アウラ族の少女」の捜索協力をお願いいたします。			私は、引き続きジャスティス・Ｒの出現箇所を探します。北側の海岸は、まだ確認してませんので、どうか「アウラ族の少女」の捜索協力をお願いいたします。			ジャスティス・Ｒの人気							
このあたりにはアウラ族の少女はいませんね……。魔物に襲われていないといいんですが。			このあたりにはアウラ族の少女はいませんね……。魔物に襲われていないといいんですが。			ジャスティス・Ｒの人気							
戦闘音が聞こえたので来てみれば……良かった、見つかったのですね！			戦闘音が聞こえたので来てみれば……良かった、見つかったのですね！			ジャスティス・Ｒの人気							
ありがとう、お姉さんお兄さん……。			ありがとう、お姉さんお兄さん……。			ジャスティス・Ｒの人気							
無事で何よりですが、お母さんを心配させちゃ駄目ですよ。ジャスティス・Ｒなんて悪人を追いかけても、なにも良いことはないんですから……。			無事で何よりですが、お母さんを心配させちゃ駄目ですよ。ジャスティス・Ｒなんて悪人を追いかけても、なにも良いことはないんですから……。			ジャスティス・Ｒの人気							
……探してくれたことには感謝してるわ。でも、何故あの人を「悪人」だなんて言うの？			……探してくれたことには感謝してるわ。でも、何故あの人を「悪人」だなんて言うの？			ジャスティス・Ｒの人気							
あなたたちは知らないだろうけど、ジャスティス・Ｒは私の故郷で、強盗を働いてるんです……！魔物を倒すのにも、その悪事で得た道具を使ってるんですよ。			あなたたちは知らないだろうけど、ジャスティス・Ｒは私の故郷で、強盗を働いてるんです……！魔物を倒すのにも、その悪事で得た道具を使ってるんですよ。			ジャスティス・Ｒの人気							
でもそれは、魔物退治に必要だからやったんじゃない？ラザハンを守るために仕方なく……！			でもそれは、魔物退治に必要だからやったんじゃない？ラザハンを守るために仕方なく……！			ジャスティス・Ｒの人気							
理由が何であれ、悪事には変わりありません……！あなたはジャスティス・Ｒの言葉を鵜呑みにしてるようですが、星戦士団も、彼のことは怪しんでるんですよ？			理由が何であれ、悪事には変わりありません……！あなたはジャスティス・Ｒの言葉を鵜呑みにしてるようですが、星戦士団も、彼のことは怪しんでるんですよ？			ジャスティス・Ｒの人気							
でも、彼は、ラザハンを魔物の脅威から救うんだって言ってたもの！私たちにとって、あの人が正義のヒーローなの！			でも、彼は、ラザハンを魔物の脅威から救うんだって言ってたもの！私たちにとって、あの人が正義のヒーローなの！			ジャスティス・Ｒの人気							
星戦士団の人は、魔物なんて怖くないって言ってたけど、実際に相手をしてるのはジャスティス・Ｒだし……。彼がいれば、星戦士団だって……もう要らないわ！！			星戦士団の人は、魔物なんて怖くないって言ってたけど、実際に相手をしてるのはジャスティス・Ｒだし……。彼がいれば、星戦士団だって……もう要らないわ！！			ジャスティス・Ｒの人気							
何と言う？			何と言う？			ジャスティス・Ｒの人気							
それを星戦士団の人にも言える？			それを星戦士団の人にも言える？			ジャスティス・Ｒの人気							
どんな英雄も、ひとりでは限界がある			どんな英雄も、ひとりでは限界がある			ジャスティス・Ｒの人気							
あっ、そうね……！ごめんなさい、星戦士団の人たちを悪く言うつもりじゃ……。			あっ、そうね……！ごめんなさい、星戦士団の人たちを悪く言うつもりじゃ……。			ジャスティス・Ｒの人気							
……私、今ひどいことを言っちゃったね。終末が起きたとき、星戦士団が必死でみんなを守ってくれたのに、その感謝を一瞬忘れて、「要らない」だなんて。			……私、今ひどいことを言っちゃったね。終末が起きたとき、星戦士団が必死でみんなを守ってくれたのに、その感謝を一瞬忘れて、「要らない」だなんて。			ジャスティス・Ｒの人気							
……いえ、元はといえば私の発言が原因ですから。こちらこそ、すみませんでした。			……いえ、元はといえば私の発言が原因ですから。こちらこそ、すみませんでした。			ジャスティス・Ｒの人気							
ううん、ジャスティス・Ｒは正義だと私は思うけど……お姉さんの言葉も、考えてみるね。			ううん、ジャスティス・Ｒは正義だと私は思うけど……お姉さんの言葉も、考えてみるね。			ジャスティス・Ｒの人気							
Forenameさん、この子は、私がイェドリマンまで送り届けます。また集落で落ち合いましょう。			Forenameさん、この子は、私がイェドリマンまで送り届けます。また集落で落ち合いましょう。			ジャスティス・Ｒの人気							
彼女は、お母さんのところまで送り届けておきました。星戦士団にも、無事に戻ったと伝えてくださるそうです。			彼女は、お母さんのところまで送り届けておきました。星戦士団にも、無事に戻ったと伝えてくださるそうです。			ジャスティス・Ｒの人気							
……先ほどは、すみませんでした。ジャスティス・Ｒを許せないという気持ちと、自分の過ちが心から離れず、ムキになってしまったようです。			……先ほどは、すみませんでした。ジャスティス・Ｒを許せないという気持ちと、自分の過ちが心から離れず、ムキになってしまったようです。			ジャスティス・Ｒの人気							
実は、私……これまで伝えられずにいたことがあります。			実は、私……これまで伝えられずにいたことがあります。			ジャスティス・Ｒの人気							
外つ国からの商人に扮してやって来たジャスティス・Ｒに、祭器の在り処や守護役について、話してしまったのは私なんです。迂闊にも、聞かれるがままにペラペラと……。			外つ国からの商人に扮してやって来たジャスティス・Ｒに、祭器の在り処や守護役について、話してしまったのは私なんです。迂闊にも、聞かれるがままにペラペラと……。			ジャスティス・Ｒの人気							
以前もお話ししたとおり、守護役は名誉ある職務。私もずっと、そんな父を尊敬していましたから、そうした想いを、外つ国の人にも伝えようと……。			以前もお話ししたとおり、守護役は名誉ある職務。私もずっと、そんな父を尊敬していましたから、そうした想いを、外つ国の人にも伝えようと……。			ジャスティス・Ｒの人気							
父が襲われたのも祭器を奪われたのも、私のせいなんです。その責任を取るため、そして憎き悪人を懲らしめるため、私は、ラザハンまでやってきました。			父が襲われたのも祭器を奪われたのも、私のせいなんです。その責任を取るため、そして憎き悪人を懲らしめるため、私は、ラザハンまでやってきました。			ジャスティス・Ｒの人気							
だから、ジャスティス・Ｒが正義をなそうとしているなど、そんな可能性を信じたくなくて、ムキになってしまったんです。			だから、ジャスティス・Ｒが正義をなそうとしているなど、そんな可能性を信じたくなくて、ムキになってしまったんです。			ジャスティス・Ｒの人気							
でも、感情的になるのではなく、落ち着いて物事を分析しなくてはいけませんね。実際、ジャスティス・Ｒは島民を襲ったりはしてないんですから。			でも、感情的になるのではなく、落ち着いて物事を分析しなくてはいけませんね。実際、ジャスティス・Ｒは島民を襲ったりはしてないんですから。			ジャスティス・Ｒの人気							
彼が属する「自由の扉」という組織や、私の故郷での所業は、間違いなく「悪事」と呼べるものでしょう。			彼が属する「自由の扉」という組織や、私の故郷での所業は、間違いなく「悪事」と呼べるものでしょう。			ジャスティス・Ｒの人気							
ところが、ジャスティス・Ｒがラザハンでやってることは、魔物の退治という「正義」とも呼べる行動……。Forenameさんは、どう思いますか？			ところが、ジャスティス・Ｒがラザハンでやってることは、魔物の退治という「正義」とも呼べる行動……。Forenameさんは、どう思いますか？			ジャスティス・Ｒの人気							
何と言う？			何と言う？			ジャスティス・Ｒの人気							
ジャスティス・Ｒの行動にはまだ疑問が多い			ジャスティス・Ｒの行動にはまだ疑問が多い			ジャスティス・Ｒの人気							
島に混乱をもたらしていることは確かだ			島に混乱をもたらしていることは確かだ			ジャスティス・Ｒの人気							
たしかに、そうですね。やはり本人が、いくら正義を口にしていても、現状の行動だけで結論を出すべきではなさそう……。			たしかに、そうですね。やはり本人が、いくら正義を口にしていても、現状の行動だけで結論を出すべきではなさそう……。			ジャスティス・Ｒの人気							
……ありがとうございます。私だけでは、冷静な判断も難しかったと思うので、あなたの言葉を聞けて、少し安心しました。			……ありがとうございます。私だけでは、冷静な判断も難しかったと思うので、あなたの言葉を聞けて、少し安心しました。			ジャスティス・Ｒの人気							
それなら、こちらのやることは変わりませんね。ジャスティス・Ｒがどのような思想で行動していようと、私たちも、自らの目的を果たすべく全力を尽くすだけ……。			それなら、こちらのやることは変わりませんね。ジャスティス・Ｒがどのような思想で行動していようと、私たちも、自らの目的を果たすべく全力を尽くすだけ……。			ジャスティス・Ｒの人気							
そのためにも、ジャスティス・Ｒを見つけないと！引き続き、調査に全力を注ぎますので、また様子を見に来てください！			そのためにも、ジャスティス・Ｒを見つけないと！引き続き、調査に全力を注ぎますので、また様子を見に来てください！			ジャスティス・Ｒの人気							
イェドリマンのテペケは、調査について提案があるようだ。			イェドリマンのテペケは、調査について提案があるようだ。			人気の秘訣を追え							
ジャスティス・Ｒが倒したのは、島の植生にはそぐわない魔物らしい。植物の魔物について調べるため、サベネア島のギガントガル採石場付近にいる「テペケ」と話そう。			ジャスティス・Ｒが倒したのは、島の植生にはそぐわない魔物らしい。植物の魔物について調べるため、サベネア島のギガントガル採石場付近にいる「テペケ」と話そう。			人気の秘訣を追え							
テペケから魔物の捕獲を頼まれた。ギガントガル採石場の東側で魔物を探し、弱らせて「特製の編み縄」を使い捕獲しよう。			テペケから魔物の捕獲を頼まれた。ギガントガル採石場の東側で魔物を探し、弱らせて「特製の編み縄」を使い捕獲しよう。			人気の秘訣を追え							
魔物を捕獲した。ギガントガル採石場付近にいる「テペケ」に「捕獲したスポーン・モルボルバルブ」を見せよう。			魔物を捕獲した。ギガントガル採石場付近にいる「テペケ」に「捕獲したスポーン・モルボルバルブ」を見せよう。			人気の秘訣を追え							
捕獲したスポーン・モルボルバルブをテペケに見せた。サベネア島のデミールの遺烈郷にいる「柔和な錬金術師」に「捕獲したスポーン・モルボルバルブ」を渡して調査してもらおう。			捕獲したスポーン・モルボルバルブをテペケに見せた。サベネア島のデミールの遺烈郷にいる「柔和な錬金術師」に「捕獲したスポーン・モルボルバルブ」を渡して調査してもらおう。			人気の秘訣を追え							
魔物は、製作するのに相当な資金を要する錬金薬によって人工的に作り出されたそうだ。イェドリマンで情報を持っていそうな者たちから話を聞こう。			魔物は、製作するのに相当な資金を要する錬金薬によって人工的に作り出されたそうだ。イェドリマンで情報を持っていそうな者たちから話を聞こう。			人気の秘訣を追え							
情報を集めた。イェドリマンの「テペケ」と話そう。			情報を集めた。イェドリマンの「テペケ」と話そう。			人気の秘訣を追え							
ジャスティス・Ｒの本名であるヴィラザーンのことを、彼の父親から聞いた。彼の気持ちがわかると言ったテペケは、なんとしても止めると決意する。彼女がその思いを果たせるように協力を続けよう。※いずれかの遠隔魔法DPSジョブのレベルが96以上になると、イェドリマンのテペケから次の遠隔魔法DPSロールクエストを受注することができます。			ジャスティス・Ｒの本名であるヴィラザーンのことを、彼の父親から聞いた。彼の気持ちがわかると言ったテペケは、なんとしても止めると決意する。彼女がその思いを果たせるように協力を続けよう。※いずれかの遠隔魔法DPSジョブのレベルが96以上になると、イェドリマンのテペケから次の遠隔魔法DPSロールクエストを受注することができます。			人気の秘訣を追え							
テペケと話す			テペケと話す			人気の秘訣を追え							
弱らせた魔物に特製の編み縄を使い捕獲			弱らせた魔物に特製の編み縄を使い捕獲			人気の秘訣を追え							
テペケに捕獲したスポーン・モルボルバルブを見せる			テペケに捕獲したスポーン・モルボルバルブを見せる			人気の秘訣を追え							
錬金術師に捕獲したスポーン・モルボルバルブを渡す			錬金術師に捕獲したスポーン・モルボルバルブを渡す			人気の秘訣を追え							
イェドリマンで情報を集める			イェドリマンで情報を集める			人気の秘訣を追え							
テペケと話す			テペケと話す			人気の秘訣を追え							
ようこそ、Forenameさん。最近、ジャスティス・Ｒが次々と魔物退治を行ってるようで、かなりの数の証言が集まっていますよ。			ようこそ、Forenameさん。最近、ジャスティス・Ｒが次々と魔物退治を行ってるようで、かなりの数の証言が集まっていますよ。			人気の秘訣を追え							
中には「空中に岩石が出現する瞬間」を見たという人もいたんです。やはり、落石は自然現象ではなく、祭器の力を利用した、魔法的な現象と見て間違いなさそうですね。			中には「空中に岩石が出現する瞬間」を見たという人もいたんです。やはり、落石は自然現象ではなく、祭器の力を利用した、魔法的な現象と見て間違いなさそうですね。			人気の秘訣を追え							
また彼が退治しているのが、いずれも植物の魔物だということもわかってきました。何故、特定の魔物ばかり退治しているのかはまだ謎ですが……。			また彼が退治しているのが、いずれも植物の魔物だということもわかってきました。何故、特定の魔物ばかり退治しているのかはまだ謎ですが……。			人気の秘訣を追え							
加えて、最近のジャスティス・Ｒは、誰かが魔物に襲われている現場に限って現れるようなんです。			加えて、最近のジャスティス・Ｒは、誰かが魔物に襲われている現場に限って現れるようなんです。			人気の秘訣を追え							
一方で、魔物に襲われながらも、彼が助けに来なかったという事例は皆無でした……。これって、あまりにも不自然ですよね？			一方で、魔物に襲われながらも、彼が助けに来なかったという事例は皆無でした……。これって、あまりにも不自然ですよね？			人気の秘訣を追え							
ですから、星戦士団の中でも、魔物の出現は仕組まれたものだと疑う声も出ていまして。この辺りを調べてみる必要があると思うんです！			ですから、星戦士団の中でも、魔物の出現は仕組まれたものだと疑う声も出ていまして。この辺りを調べてみる必要があると思うんです！			人気の秘訣を追え							
ギガントガル採石場周辺の街道は、特に魔物の襲撃事件が多いとか。あそこでなら、討伐前の魔物が見つかるかもしれません。そちらで、植物の魔物を探してみましょう！			ギガントガル採石場周辺の街道は、特に魔物の襲撃事件が多いとか。あそこでなら、討伐前の魔物が見つかるかもしれません。そちらで、植物の魔物を探してみましょう！			人気の秘訣を追え							
植物の特徴を持つ魔物……うーん、見当たりませんね。私はここから、西側の街道を探してみますので、Forenameさんは東側をお願いできますか？			植物の特徴を持つ魔物……うーん、見当たりませんね。私はここから、西側の街道を探してみますので、Forenameさんは東側をお願いできますか？			人気の秘訣を追え							
魔物を見つけたら、討伐するのではなく、弱らせて、この「特製の編み縄」で捕獲をお願いします！その正体を見極めようと思いますので。			魔物を見つけたら、討伐するのではなく、弱らせて、この「特製の編み縄」で捕獲をお願いします！その正体を見極めようと思いますので。			人気の秘訣を追え							
植物の魔物を見つけたら、討伐ではなく、弱らせて「特製の編み縄」で捕獲をお願いします！			植物の魔物を見つけたら、討伐ではなく、弱らせて「特製の編み縄」で捕獲をお願いします！			人気の秘訣を追え							
モ…ワ…			モ…ワ…			人気の秘訣を追え							
うーん、それらしき魔物はいませんね……。襲撃自体にジャスティス・Ｒが関与しているという推測は、的外れだったのでしょうか。			うーん、それらしき魔物はいませんね……。襲撃自体にジャスティス・Ｒが関与しているという推測は、的外れだったのでしょうか。			人気の秘訣を追え							
これは……過去の目撃情報にもあった魔物です！本当に現れるなんて……！			これは……過去の目撃情報にもあった魔物です！本当に現れるなんて……！			人気の秘訣を追え							
この魔物は、今しばらく捕らえておいてください。デミールの遺烈郷に聞き込みに行った際に知り合った、錬金術師さんに頼んで、調べてもらいましょう！			この魔物は、今しばらく捕らえておいてください。デミールの遺烈郷に聞き込みに行った際に知り合った、錬金術師さんに頼んで、調べてもらいましょう！			人気の秘訣を追え							
こちらの錬金術師さんが、以前、私の相談に乗ってくださった方です。「捕獲したスポーン・モルボルバルブ」を調べていただきましょう！			こちらの錬金術師さんが、以前、私の相談に乗ってくださった方です。「捕獲したスポーン・モルボルバルブ」を調べていただきましょう！			人気の秘訣を追え							
テペケちゃんから話は聞いてるよ。さっそく、捕獲したスポーン・モルボルバルブを見せてもらえるかい？			テペケちゃんから話は聞いてるよ。さっそく、捕獲したスポーン・モルボルバルブを見せてもらえるかい？			人気の秘訣を追え							
はいはい、たしかに受け取ったよ！魔物とはいえ植物ってことなら、成分の調査は任せておいてちょうだい！			はいはい、たしかに受け取ったよ！魔物とはいえ植物ってことなら、成分の調査は任せておいてちょうだい！			人気の秘訣を追え							
実に興味深い魔物だったよ。結論から伝えると、こいつは自然に生まれた個体ではないね……！			実に興味深い魔物だったよ。結論から伝えると、こいつは自然に生まれた個体ではないね……！			人気の秘訣を追え							
調査の結果、この魔物はまだ幼体だということがわかった。魔物の種や菌糸に、特定の錬金薬を加えることで、無理やり成長させられたんだ！			調査の結果、この魔物はまだ幼体だということがわかった。魔物の種や菌糸に、特定の錬金薬を加えることで、無理やり成長させられたんだ！			人気の秘訣を追え							
その錬金薬には、対象を興奮させる副作用もある。幼体が、自分よりも大きな人間に襲いかかったのも、その影響だろうね。			その錬金薬には、対象を興奮させる副作用もある。幼体が、自分よりも大きな人間に襲いかかったのも、その影響だろうね。			人気の秘訣を追え							
ただ、この錬金薬……。一般に流通してないのはもちろん、希少な素材を要するので、個人で調合を行うには、相当な資金が必要になるはずだよ。			ただ、この錬金薬……。一般に流通してないのはもちろん、希少な素材を要するので、個人で調合を行うには、相当な資金が必要になるはずだよ。			人気の秘訣を追え							
つまり相手は、かなりのお金持ちということですね……？			つまり相手は、かなりのお金持ちということですね……？			人気の秘訣を追え							
ふむ……今まで集めた目撃情報でも、その大半が、小ぶりの魔物に襲われたと証言していました。錬金薬によって生み出された幼体と考えて良さそうですね。			ふむ……今まで集めた目撃情報でも、その大半が、小ぶりの魔物に襲われたと証言していました。錬金薬によって生み出された幼体と考えて良さそうですね。			人気の秘訣を追え							
これほど短期間に多くの魔物退治を行っていることからして、相手は、魔物が順当に育つのを待ってられないのでしょう。なので錬金薬を利用して襲撃を行わせた、と……！			これほど短期間に多くの魔物退治を行っていることからして、相手は、魔物が順当に育つのを待ってられないのでしょう。なので錬金薬を利用して襲撃を行わせた、と……！			人気の秘訣を追え							
幼体ということも、犯人にとっては好都合なはずです。確実に倒せる程度の強さでないと、魔物を退治してみせることはできませんから！			幼体ということも、犯人にとっては好都合なはずです。確実に倒せる程度の強さでないと、魔物を退治してみせることはできませんから！			人気の秘訣を追え							
いよいよ、ジャスティス・Ｒによる、自作自演の可能性が濃厚になってきましたね！その前提で、さらなる情報を集めましょう！			いよいよ、ジャスティス・Ｒによる、自作自演の可能性が濃厚になってきましたね！その前提で、さらなる情報を集めましょう！			人気の秘訣を追え							
それなら、一度イェドリマンに戻ってはどう？あの集落でも、彼の話題を口に出す若人は多いと聞く。噂や目撃談も集まりやすいんじゃないかな。			それなら、一度イェドリマンに戻ってはどう？あの集落でも、彼の話題を口に出す若人は多いと聞く。噂や目撃談も集まりやすいんじゃないかな。			人気の秘訣を追え							
ええ、貴重なお話をありがとうございました！いただいた分析結果は、決して無駄にはしません！			ええ、貴重なお話をありがとうございました！いただいた分析結果は、決して無駄にはしません！			人気の秘訣を追え							
さあ、イェドリマンへ向かいましょう！ジャスティス・Ｒの情報を持っていそうな方から、改めて、目撃前後の状況や言動を聞いてまわるんです！			さあ、イェドリマンへ向かいましょう！ジャスティス・Ｒの情報を持っていそうな方から、改めて、目撃前後の状況や言動を聞いてまわるんです！			人気の秘訣を追え							
私の分析が役に立ったのなら幸いだよ。君も、イェドリマンで聞き込みをするのかい？			私の分析が役に立ったのなら幸いだよ。君も、イェドリマンで聞き込みをするのかい？			人気の秘訣を追え							
ジャスティス・Ｒの情報を持っていそうな方から、改めて、魔物退治前後の状況や言動を聞いてまわりましょう！			ジャスティス・Ｒの情報を持っていそうな方から、改めて、魔物退治前後の状況や言動を聞いてまわりましょう！			人気の秘訣を追え							
おお、君もジャスティス・Ｒの話を聞きたいのかな？俺が見たのは、集落近くの街道で魔物と向き合ってる姿だった！			おお、君もジャスティス・Ｒの話を聞きたいのかな？俺が見たのは、集落近くの街道で魔物と向き合ってる姿だった！			人気の秘訣を追え							
どんな魔法か知らないけど、岩石を降らせて退治してくれてさ。ちょうど、星戦士団も巡回に出ているときだったし、放置していたら、集落に魔物が入ってきたかもしれない。			どんな魔法か知らないけど、岩石を降らせて退治してくれてさ。ちょうど、星戦士団も巡回に出ているときだったし、放置していたら、集落に魔物が入ってきたかもしれない。			人気の秘訣を追え							
それから「見たか、私こそラザハンのヒーローだ！」と叫んで、こちらに向けて、力強く手を上げてくれたんだ……。逆光だったのに、俺の姿にも気がついてたんだな。			それから「見たか、私こそラザハンのヒーローだ！」と叫んで、こちらに向けて、力強く手を上げてくれたんだ……。逆光だったのに、俺の姿にも気がついてたんだな。			人気の秘訣を追え							
ジャスティス・Ｒのことですか？若い者は、あの奇妙な言動に惹かれているようだが、私から見れば、いかがわしいだけですよ。			ジャスティス・Ｒのことですか？若い者は、あの奇妙な言動に惹かれているようだが、私から見れば、いかがわしいだけですよ。			人気の秘訣を追え							
親しい商人が、以前崖から滑り落ちて足をくじいたとき、偶然、ジャスティス・Ｒに遭遇したのですが……。奴ときたら、手を差し伸べもせず去っていったとか！			親しい商人が、以前崖から滑り落ちて足をくじいたとき、偶然、ジャスティス・Ｒに遭遇したのですが……。奴ときたら、手を差し伸べもせず去っていったとか！			人気の秘訣を追え							
魔物退治の話ばかり取り沙汰されていますが、彼がヒーローを自称するなら、何故困っている者を無視して、立ち去っていったのでしょうね。			魔物退治の話ばかり取り沙汰されていますが、彼がヒーローを自称するなら、何故困っている者を無視して、立ち去っていったのでしょうね。			人気の秘訣を追え							
ジャスティス・Ｒと、退治された魔物について……。それなら、星戦士団でも調査報告があがってましたね。			ジャスティス・Ｒと、退治された魔物について……。それなら、星戦士団でも調査報告があがってましたね。			人気の秘訣を追え							
現場になったのは、普段から人通りも少なく、星戦士団も、頻繁に巡回したりはしない道だそうです。使うのは、ごく一部の商人や荷運び人のみだとか。			現場になったのは、普段から人通りも少なく、星戦士団も、頻繁に巡回したりはしない道だそうです。使うのは、ごく一部の商人や荷運び人のみだとか。			人気の秘訣を追え							
相手は魔物退治を行う場所について、かなりの下調べをしたか、あるいは、そうした商人に近しい立場の人間かもしれない……。報告は、そうまとめられていましたね。			相手は魔物退治を行う場所について、かなりの下調べをしたか、あるいは、そうした商人に近しい立場の人間かもしれない……。報告は、そうまとめられていましたね。			人気の秘訣を追え							
彼は、さっそうと魔物を倒したあと、こちらに向けて、力強く手を上げてくれたんだ。逆光だったのに、俺の姿にも気がついてたんだな。			彼は、さっそうと魔物を倒したあと、こちらに向けて、力強く手を上げてくれたんだ。逆光だったのに、俺の姿にも気がついてたんだな。			人気の秘訣を追え							
あの男、負傷した私の友人を見捨てたんですよ。彼がヒーローを自称するなら、何故困っている者を無視して、立ち去っていったのでしょうね。			あの男、負傷した私の友人を見捨てたんですよ。彼がヒーローを自称するなら、何故困っている者を無視して、立ち去っていったのでしょうね。			人気の秘訣を追え							
奴は魔物退治を行う場所について、かなりの下調べをしたか、あるいは、そうした商人に近しい立場の人間かもしれない。報告は、そうまとめられていましたね。			奴は魔物退治を行う場所について、かなりの下調べをしたか、あるいは、そうした商人に近しい立場の人間かもしれない。報告は、そうまとめられていましたね。			人気の秘訣を追え							
あっ、Forenameさん。ちょっといいですか？　こちらの方なんですが……。			あっ、Forenameさん。ちょっといいですか？　こちらの方なんですが……。			人気の秘訣を追え							
錬金薬を扱っている商人さんだそうで、ジャスティス・Ｒのことを聞いたら、急に動揺されて……。			錬金薬を扱っている商人さんだそうで、ジャスティス・Ｒのことを聞いたら、急に動揺されて……。			人気の秘訣を追え							
(-動揺した様子の商人-)……い、いえ、そんな動揺など。ただ何故、私にジャスティス・Ｒのことを尋ねたのか、意図が、さっぱりわからなかったものですから。			(-動揺した様子の商人-)……い、いえ、そんな動揺など。ただ何故、私にジャスティス・Ｒのことを尋ねたのか、意図が、さっぱりわからなかったものですから。			人気の秘訣を追え							
彼は、錬金薬によって強引に魔物を生み出し、自作自演の魔物退治を行っていたかもしれないんです。あなたも錬金薬を扱っているなら、なにか知りませんか？			彼は、錬金薬によって強引に魔物を生み出し、自作自演の魔物退治を行っていたかもしれないんです。あなたも錬金薬を扱っているなら、なにか知りませんか？			人気の秘訣を追え							
(-動揺した様子の商人-)わ、私は関係ない！ヴィラ……いえ、奴のことなど何も……！			(-動揺した様子の商人-)わ、私は関係ない！ヴィラ……いえ、奴のことなど何も……！			人気の秘訣を追え							
