選者殿のキィ・アリアポーは、魔法大学の仕事を頼みたいようだ。			選者殿のキィ・アリアポーは、魔法大学の仕事を頼みたいようだ。			魔法大学職員からのお願い							
ほう……。星外脱出という目的を終えたラヴィリンソスの次なる役目……その知見を活かすなら、宇宙探査といったところかの。			ほう……。星外脱出という目的を終えたラヴィリンソスの次なる役目……その知見を活かすなら、宇宙探査といったところかの。			繋がる想い							
なるほどのう……。広く星の外へと目を向け、宇宙を探索するというのか。星外脱出ではなく、より前向きな学術調査というわけだな。			なるほどのう……。広く星の外へと目を向け、宇宙を探索するというのか。星外脱出ではなく、より前向きな学術調査というわけだな。			繋がる想い							
フォフォフォ……それこそ学問の真髄だ！わからないからこそ知りたい、という情熱が第一歩なのだからな。そして最大の未知の領域と言えば、やはり宇宙だろうて！			フォフォフォ……それこそ学問の真髄だ！わからないからこそ知りたい、という情熱が第一歩なのだからな。そして最大の未知の領域と言えば、やはり宇宙だろうて！			繋がる想い							
(-？？？？-)その話、乗ったぜ！			(-？？？？-)その話、乗ったぜ！			繋がる想い							
俺たちも考えていたんだ。この研究成果を活かして、何かすごいことができないかってな。			俺たちも考えていたんだ。この研究成果を活かして、何かすごいことができないかってな。			繋がる想い							
エーテルを捉える星見鏡の観測結果を、チャ・ラカ教授の水脈潮汐説を基に分析していけば、生命体がいる惑星を見つけることも、夢じゃないでしょうね！			エーテルを捉える星見鏡の観測結果を、チャ・ラカ教授の水脈潮汐説を基に分析していけば、生命体がいる惑星を見つけることも、夢じゃないでしょうね！			繋がる想い							
星を見つけるだけじゃなく、実際に赴くことも考えましょう。ラヴィリンソスで研究されていた惑星間航行技術も使えるはずです。メルヴィンブレッドがあれば、長期航行だって耐えられます！			星を見つけるだけじゃなく、実際に赴くことも考えましょう。ラヴィリンソスで研究されていた惑星間航行技術も使えるはずです。メルヴィンブレッドがあれば、長期航行だって耐えられます！			繋がる想い							
それは面白そうね。黄金のチャタ号を発展させていけば、未知原語を持つ異星文明とだって対話できると思うわ。			それは面白そうね。黄金のチャタ号を発展させていけば、未知原語を持つ異星文明とだって対話できると思うわ。			繋がる想い							
対話ができれば、文化を伝えることができますね。その点では、私とタンキン教授の研究成果が参考になるはずです！			対話ができれば、文化を伝えることができますね。その点では、私とタンキン教授の研究成果が参考になるはずです！			繋がる想い							
確かに、みんなの研究を統合すれば、いつの日か、まだ見ぬ知性体と出会えるかもしれないッスね！			確かに、みんなの研究を統合すれば、いつの日か、まだ見ぬ知性体と出会えるかもしれないッスね！			繋がる想い							
でも、出会えたとして、何を伝えるつもりッスか？			でも、出会えたとして、何を伝えるつもりッスか？			繋がる想い							
何と言う？			何と言う？			繋がる想い							
希望に決まっている！			希望に決まっている！			繋がる想い							
メーティオンが見つけたかったもの			メーティオンが見つけたかったもの			繋がる想い							
……！！わ、わかってきたッス！			……！！わ、わかってきたッス！			繋がる想い							
かつて、古代人が宇宙に放った創造生物、メーティオンは、命の意味を求めて星々を渡り……その答えを得ることができず、絶望を見出してしまったッス。			かつて、古代人が宇宙に放った創造生物、メーティオンは、命の意味を求めて星々を渡り……その答えを得ることができず、絶望を見出してしまったッス。			繋がる想い							
今度は、あなたたちが伝えに行こうってわけッスね。「希望」を……後に続く星々のために。			今度は、あなたたちが伝えに行こうってわけッスね。「希望」を……後に続く星々のために。			繋がる想い							
フォフォフォ……これからも、人類は希望に向かって歩み続けていくじゃろうて。あの終末を以てしても、止めることができなかったのじゃからな。			フォフォフォ……これからも、人類は希望に向かって歩み続けていくじゃろうて。あの終末を以てしても、止めることができなかったのじゃからな。			繋がる想い							
モンティシェーニュ学長が来るまで、少しの間お待ちくださいね。			モンティシェーニュ学長が来るまで、少しの間お待ちくださいね。			繋がる想い							
何としても研究共有会を見学させてもらえるよう、モンなんとかさんにお願いしてみるッス！			何としても研究共有会を見学させてもらえるよう、モンなんとかさんにお願いしてみるッス！			繋がる想い							
はぁ～……終わりましたぁ～！どなたの発表も、熱意があって素敵でしたね！			はぁ～……終わりましたぁ～！どなたの発表も、熱意があって素敵でしたね！			繋がる想い							
それにしても、宇宙探査とは……アナタの一言から「深宇宙探査学」とでも言うべき、新しい学問が誕生するとは、思いませんでしたよ……！			それにしても、宇宙探査とは……アナタの一言から「深宇宙探査学」とでも言うべき、新しい学問が誕生するとは、思いませんでしたよ……！			繋がる想い							
そうか……アナタが冒険者として、未知に挑み続けてきたからこそ、あの一言が言えたのか……。			そうか……アナタが冒険者として、未知に挑み続けてきたからこそ、あの一言が言えたのか……。			繋がる想い							
これまで私は、仕事は仕事って思ってきました。でも……未知を追い求める皆さんのお手伝いができるのは、案外、悪くないのかも……。			これまで私は、仕事は仕事って思ってきました。でも……未知を追い求める皆さんのお手伝いができるのは、案外、悪くないのかも……。			繋がる想い							
さて、Forenameさん！今回も、ご協力いただきありがとうございました！			さて、Forenameさん！今回も、ご協力いただきありがとうございました！			繋がる想い							
……って、あれ、サーチングウェイさんは！？結局、耳を触らせてもらってない！！			……って、あれ、サーチングウェイさんは！？結局、耳を触らせてもらってない！！			繋がる想い							
