トライヨラの武の院のマムージャ族は、冒険者のことを探しているようだ。			トライヨラの武の院のマムージャ族は、冒険者のことを探しているようだ。			トラル大陸のモブハント（初級）							
なるほど……あいつは相当、アンタの力を買ってるようだね。それこそ、いずれあたしらと同じ仕事を任せたいってくらいにさ。			なるほど……あいつは相当、アンタの力を買ってるようだね。それこそ、いずれあたしらと同じ仕事を任せたいってくらいにさ。			トラル大陸のモブハント（中級）							
そういうことならたしかに、少しばかり伝えたいこともある……さて、どう話させてもらおうかね。			そういうことならたしかに、少しばかり伝えたいこともある……さて、どう話させてもらおうかね。			トラル大陸のモブハント（中級）							
……モブハント導入の経緯は聞いたかい？コーナ様が制度を提案するまで、害獣への対処は、基本的に、その土地の狩人があたっていたんだ。			……モブハント導入の経緯は聞いたかい？コーナ様が制度を提案するまで、害獣への対処は、基本的に、その土地の狩人があたっていたんだ。			トラル大陸のモブハント（中級）							
蛇の戦士を自認するヴァイパーも、もともとはそんな狩人さ。しかし長い歴史の中で、あたしらは技を磨き、いつしか、命懸けで「人の生活を脅かす凶獣」を狩る専門家となっていった。			蛇の戦士を自認するヴァイパーも、もともとはそんな狩人さ。しかし長い歴史の中で、あたしらは技を磨き、いつしか、命懸けで「人の生活を脅かす凶獣」を狩る専門家となっていった。			トラル大陸のモブハント（中級）							
以来、ヴァイパーは人々の声に応じて狩りを続けてたんだが……。トラル統一が為された折、連王グルージャジャから、その技を大陸中の民のため役立ててくれと頼み込まれてね。			以来、ヴァイパーは人々の声に応じて狩りを続けてたんだが……。トラル統一が為された折、連王グルージャジャから、その技を大陸中の民のため役立ててくれと頼み込まれてね。			トラル大陸のモブハント（中級）							
そうしてあたしらは、トラルの南北をまたにかけるようになった。ただ、さすがに手が足りない……そこにモブハントが導入され、近年では傭兵の力も借りつつ、狩りに臨める体制になったわけ。			そうしてあたしらは、トラルの南北をまたにかけるようになった。ただ、さすがに手が足りない……そこにモブハントが導入され、近年では傭兵の力も借りつつ、狩りに臨める体制になったわけ。			トラル大陸のモブハント（中級）							
ま、何が言いたいかってえと……いくつかの変遷はあれど、あたしらの狩りは、あくまでも人の暮らしを守る手段ってことさ。今後どれほど獣を狩ったとて、それだけは忘れずにいておくれ。			ま、何が言いたいかってえと……いくつかの変遷はあれど、あたしらの狩りは、あくまでも人の暮らしを守る手段ってことさ。今後どれほど獣を狩ったとて、それだけは忘れずにいておくれ。			トラル大陸のモブハント（中級）							
ああ、それからもうひとつ。これはあたしが教えたヴァイパーの子らに、いつも言ってることだけど……。			ああ、それからもうひとつ。これはあたしが教えたヴァイパーの子らに、いつも言ってることだけど……。			トラル大陸のモブハント（中級）							
絶対に、死なないこと！死ねば狩りは為せず、民の命はなお脅かされる……己の背に守るべき者の命も乗っていること、覚えておくんだよ。			絶対に、死なないこと！死ねば狩りは為せず、民の命はなお脅かされる……己の背に守るべき者の命も乗っていること、覚えておくんだよ。			トラル大陸のモブハント（中級）							
じゃ、あたしはそろそろヤクテル樹海の仕事に戻ろうかね。いずれきっとまた会うだろうから、そのときを楽しみにしてるよ。			じゃ、あたしはそろそろヤクテル樹海の仕事に戻ろうかね。いずれきっとまた会うだろうから、そのときを楽しみにしてるよ。			トラル大陸のモブハント（中級）							
おや、おかえりなさい。チャカトから、狩りについての話はお聞きになれましたか？			おや、おかえりなさい。チャカトから、狩りについての話はお聞きになれましたか？			トラル大陸のモブハント（中級）							
それはよかった。生きるための狩りをせよ、というのが我らの訓えですからね、貴方にはまず、それを知ってほしかったのです。			それはよかった。生きるための狩りをせよ、というのが我らの訓えですからね、貴方にはまず、それを知ってほしかったのです。			トラル大陸のモブハント（中級）							
さて……ご足労おかけした間に、手続きは済ませておきました。以後は中級の手配書が確認可能ですので、引き続き、どうぞよろしくお願いいたします。			さて……ご足労おかけした間に、手続きは済ませておきました。以後は中級の手配書が確認可能ですので、引き続き、どうぞよろしくお願いいたします。			トラル大陸のモブハント（中級）							
「トラルモブ手配書：中級」が開放された！			「トラルモブ手配書：中級」が開放された！			トラル大陸のモブハント（中級）							
トライヨラの「トラルハントボード」から、「トラルモブ手配書：中級」を、入手できるようになりました。			トライヨラの「トラルハントボード」から、「トラルモブ手配書：中級」を、入手できるようになりました。			トラル大陸のモブハント（中級）							
また、「レベル99」以上になり、「メインクエスト」を特定の状態まで完了すると、ボロガーから、新たなクエストが受注できます。			また、「レベル99」以上になり、「メインクエスト」を特定の状態まで完了すると、ボロガーから、新たなクエストが受注できます。			トラル大陸のモブハント（中級）							
トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トラル大陸のモブハント（上級）							
ヘリテージファウンドのドメニケと話す			ヘリテージファウンドのドメニケと話す			トラル大陸のモブハント（上級）							
ソリューション・ナインのフィロメナと話す			ソリューション・ナインのフィロメナと話す			トラル大陸のモブハント（上級）							
ナピクエと話す			ナピクエと話す			トラル大陸のモブハント（上級）							
トライヨラのボロガーにナピクエの手帳を渡す			トライヨラのボロガーにナピクエの手帳を渡す			トラル大陸のモブハント（上級）							
「トラル大陸のモブハント（上級）」は、「メインクエスト：黄金のレガシー」を、特定の状態まで完了することで、受注できるようになります。			「トラル大陸のモブハント（上級）」は、「メインクエスト：黄金のレガシー」を、特定の状態まで完了することで、受注できるようになります。			トラル大陸のモブハント（上級）							
Forenameさん、お元気そうで安心しました。襲撃直後のトライヨラは一時騒然としていましたが、人々の安心のため、こんな時こそ討伐依頼に応えねば……ですね。			Forenameさん、お元気そうで安心しました。襲撃直後のトライヨラは一時騒然としていましたが、人々の安心のため、こんな時こそ討伐依頼に応えねば……ですね。			トラル大陸のモブハント（上級）							
そんな状況で恐縮ながら、貴方にお願いしたいことがあるんです。実は、ヤースラニ荒野の狩りを担当していたヴァイパーと、まったく連絡がとれない状態でして……。			そんな状況で恐縮ながら、貴方にお願いしたいことがあるんです。実は、ヤースラニ荒野の狩りを担当していたヴァイパーと、まったく連絡がとれない状態でして……。			トラル大陸のモブハント（上級）							
あそこはいま謎の障壁に覆われていると聞き、心配で。貴方ならば立ち入れると耳にしましたので、どうか安否の確認をお願いしてもよろしいでしょうか？			あそこはいま謎の障壁に覆われていると聞き、心配で。貴方ならば立ち入れると耳にしましたので、どうか安否の確認をお願いしてもよろしいでしょうか？			トラル大陸のモブハント（上級）							
ありがとうございます！彼女の名は「ナピクエ」、トナワータ族で、襲撃が起きる前はテッシャ・パニの村に赴いていたはず。			ありがとうございます！彼女の名は「ナピクエ」、トナワータ族で、襲撃が起きる前はテッシャ・パニの村に赴いていたはず。			トラル大陸のモブハント（上級）							
行方を探る際は、付近に住む人……とくに、土地に詳しい方に話を聞いてみるのがよいかと。それでは……どうか、よろしくお願いいたします。			行方を探る際は、付近に住む人……とくに、土地に詳しい方に話を聞いてみるのがよいかと。それでは……どうか、よろしくお願いいたします。			トラル大陸のモブハント（上級）							
ナピクエの行方を探る際は、テッシャ・パニの近くに住む人に話を聞いてみるのがよいかと。それでは……どうか、よろしくお願いいたします。			ナピクエの行方を探る際は、テッシャ・パニの近くに住む人に話を聞いてみるのがよいかと。それでは……どうか、よろしくお願いいたします。			トラル大陸のモブハント（上級）							
おや、あなた様は……どうされました、何かお探しですかな？			おや、あなた様は……どうされました、何かお探しですかな？			トラル大陸のモブハント（上級）							
異変当時テッシャ・パニを訪れていた二刀の狩人……もしやそれは、ナピクエさんでは？でしたら、たしかに存じ上げておりますぞ。			異変当時テッシャ・パニを訪れていた二刀の狩人……もしやそれは、ナピクエさんでは？でしたら、たしかに存じ上げておりますぞ。			トラル大陸のモブハント（上級）							
あの方は土地が様変わりした際、安全な場所まで我々を護り続けてくれたのです。数多の雷が降るなか、魔物を退けながら……忘れようはずもない。			あの方は土地が様変わりした際、安全な場所まで我々を護り続けてくれたのです。数多の雷が降るなか、魔物を退けながら……忘れようはずもない。			トラル大陸のモブハント（上級）							
ただ、最後にお顔を見たのはしばらく前のこと。狩りの技を活かすため駆除人になっていたはずですが、今どこにいるかは……。			ただ、最後にお顔を見たのはしばらく前のこと。狩りの技を活かすため駆除人になっていたはずですが、今どこにいるかは……。			トラル大陸のモブハント（上級）							
いやしかし、こうして私が覚えているのだから、きっとご存命なはず。			いやしかし、こうして私が覚えているのだから、きっとご存命なはず。			トラル大陸のモブハント（上級）							
そうだ、ソリューション・ナインの役所で尋ねてみては？同郷の者が探していると伝えれば、現在の様子を教えてもらえるかもしれませんよ。			そうだ、ソリューション・ナインの役所で尋ねてみては？同郷の者が探していると伝えれば、現在の様子を教えてもらえるかもしれませんよ。			トラル大陸のモブハント（上級）							
ナピクエさんのこと、ソリューション・ナインの役所で尋ねては？国民登録しているはずですし、同郷の者が探していると伝えれば、現在の様子を教えてもらえるかもしれません。			ナピクエさんのこと、ソリューション・ナインの役所で尋ねては？国民登録しているはずですし、同郷の者が探していると伝えれば、現在の様子を教えてもらえるかもしれません。			トラル大陸のモブハント（上級）							
ガバメントセクターへようこそ。ご用件を承ります。			ガバメントセクターへようこそ。ご用件を承ります。			トラル大陸のモブハント（上級）							
人探し、ですか。元駆除人のナピクエさん……ああ、いつも魔物の情報をご提供くださる方ですね。			人探し、ですか。元駆除人のナピクエさん……ああ、いつも魔物の情報をご提供くださる方ですね。			トラル大陸のモブハント（上級）							
あの方は温和で面倒見がよく、お怪我で引退された後も、同業者から慕われてるんです。噂では、この国での二刀流武器の浸透にも一役買ったとか。			あの方は温和で面倒見がよく、お怪我で引退された後も、同業者から慕われてるんです。噂では、この国での二刀流武器の浸透にも一役買ったとか。			トラル大陸のモブハント（上級）							
本来は規則で個人情報はお渡しできないのですが……。ご本人も、誰か訪ねてきたら伝えてくれと言っておられましたし、故郷の方が安否を気にしているのならば、住所をお教えしますよ。			本来は規則で個人情報はお渡しできないのですが……。ご本人も、誰か訪ねてきたら伝えてくれと言っておられましたし、故郷の方が安否を気にしているのならば、住所をお教えしますよ。			トラル大陸のモブハント（上級）							
あの方はいま、9-14居住殻にお住まいです。よくベンチでくつろいでいるのをお見掛けしますので、行ってみてはいかがでしょう。			あの方はいま、9-14居住殻にお住まいです。よくベンチでくつろいでいるのをお見掛けしますので、行ってみてはいかがでしょう。			トラル大陸のモブハント（上級）							
ナピクエさんはいま、9-14居住殻にお住まいです。よくベンチでくつろいでいるのをお見掛けしますので、行ってみてはいかがでしょう。			ナピクエさんはいま、9-14居住殻にお住まいです。よくベンチでくつろいでいるのをお見掛けしますので、行ってみてはいかがでしょう。			トラル大陸のモブハント（上級）							
あら……あなたは狩人さんかしら。いえね、足運びと視線の置き方が、戦いに身を置く人のそれだったものだから……。			あら……あなたは狩人さんかしら。いえね、足運びと視線の置き方が、戦いに身を置く人のそれだったものだから……。			トラル大陸のモブハント（上級）							
ボロガーから、あたしの安否確認を頼まれたの？懐かしいわねえ、彼はいまも元気なのかしら……あたしは見てのとおり、悠々自適に暮らしてるわ。			ボロガーから、あたしの安否確認を頼まれたの？懐かしいわねえ、彼はいまも元気なのかしら……あたしは見てのとおり、悠々自適に暮らしてるわ。			トラル大陸のモブハント（上級）							
ヤースラニ荒野から外に出られなくなってからは、培ってきたヴァイパーの技を役立てるために駆除人になったの。けれど10年ほど前に、利き手の腱をやられてしまってねえ。			ヤースラニ荒野から外に出られなくなってからは、培ってきたヴァイパーの技を役立てるために駆除人になったの。けれど10年ほど前に、利き手の腱をやられてしまってねえ。			トラル大陸のモブハント（上級）							
それで前線を退いたんだけど……。スフェーン様からの要請もあって、各所の情報をもとに、危険な魔物の生態をまとめたりしているのよ。			それで前線を退いたんだけど……。スフェーン様からの要請もあって、各所の情報をもとに、危険な魔物の生態をまとめたりしているのよ。			トラル大陸のモブハント（上級）							
そうだわ、障壁外との行き来が可能になったというのなら、いずれトラルの狩人が、ここの魔物の駆除に協力してくれるようにもなるのかしら。			そうだわ、障壁外との行き来が可能になったというのなら、いずれトラルの狩人が、ここの魔物の駆除に協力してくれるようにもなるのかしら。			トラル大陸のモブハント（上級）							
もしそうなら……いえ、そうなってくれることを願って……どうかこれを、ボロガーに渡してくださらない？			もしそうなら……いえ、そうなってくれることを願って……どうかこれを、ボロガーに渡してくださらない？			トラル大陸のモブハント（上級）							
それと、彼に伝言を……「あたしはこの30年、死ななかったわ」とだけ。それじゃあ……あなたも、お元気でね。			それと、彼に伝言を……「あたしはこの30年、死ななかったわ」とだけ。それじゃあ……あなたも、お元気でね。			トラル大陸のモブハント（上級）							
ボロガーには、「あたしはこの30年、死ななかったわ」と、伝えていただけるとありがたいわ。あなたも、お元気でね。			ボロガーには、「あたしはこの30年、死ななかったわ」と、伝えていただけるとありがたいわ。あなたも、お元気でね。			トラル大陸のモブハント（上級）							
おかえりなさい、Forenameさん。ナピクエについて、いかがでしたか？			おかえりなさい、Forenameさん。ナピクエについて、いかがでしたか？			トラル大陸のモブハント（上級）							
彼女は生きて、人のための狩りを為し続けていた……それを、この手帳が証明しているのですね。無事に会えたことも含め、ひとまず安心ですよ。			彼女は生きて、人のための狩りを為し続けていた……それを、この手帳が証明しているのですね。無事に会えたことも含め、ひとまず安心ですよ。			トラル大陸のモブハント（上級）							
ただ、30年……30年ですって？かの地の時間については噂程度に聞いていたものの……にわかには信じられない。			ただ、30年……30年ですって？かの地の時間については噂程度に聞いていたものの……にわかには信じられない。			トラル大陸のモブハント（上級）							
とはいえ、ヤースラニ荒野……あの障壁の内側の人々も、狩人の力を必要としているというのは事実。ならば……			とはいえ、ヤースラニ荒野……あの障壁の内側の人々も、狩人の力を必要としているというのは事実。ならば……			トラル大陸のモブハント（上級）							
私たちは、手帳の情報をもとに手配書を作成します。いずれあの土地に再び入れるようになったとき、人々の暮らしを守る一助となれるように。			私たちは、手帳の情報をもとに手配書を作成します。いずれあの土地に再び入れるようになったとき、人々の暮らしを守る一助となれるように。			トラル大陸のモブハント（上級）							
障壁内に立ち入れる貴方には、どうか先行して狩りを続けていただきたい。			障壁内に立ち入れる貴方には、どうか先行して狩りを続けていただきたい。			トラル大陸のモブハント（上級）							
上級の手配書を確認できるように手続きしておきますので、引き続き、どうぞよろしくお願いいたします。			上級の手配書を確認できるように手続きしておきますので、引き続き、どうぞよろしくお願いいたします。			トラル大陸のモブハント（上級）							
「トラルモブ手配書：上級」が開放された！			「トラルモブ手配書：上級」が開放された！			トラル大陸のモブハント（上級）							
トライヨラの「トラルハントボード」から、「トラルモブ手配書：上級」を、入手できるようになりました。			トライヨラの「トラルハントボード」から、「トラルモブ手配書：上級」を、入手できるようになりました。			トラル大陸のモブハント（上級）							
また、「レベル100」になり、「メインクエスト」を特定の状態まで完了すると、ボロガーから、新たなクエストが受注できます。			また、「レベル100」になり、「メインクエスト」を特定の状態まで完了すると、ボロガーから、新たなクエストが受注できます。			トラル大陸のモブハント（上級）							
トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トラル大陸のモブハント（リスキー）							
ソリューション・ナインのナピクエと話す			ソリューション・ナインのナピクエと話す			トラル大陸のモブハント（リスキー）							
トライヨラのボロガーと話す			トライヨラのボロガーと話す			トラル大陸のモブハント（リスキー）							
「トラル大陸のモブハント（リスキー）」は、「メインクエスト：黄金のレガシー」を、特定の状態まで完了することで、受注できるようになります。			「トラル大陸のモブハント（リスキー）」は、「メインクエスト：黄金のレガシー」を、特定の状態まで完了することで、受注できるようになります。			トラル大陸のモブハント（リスキー）							
これはForenameさん。聞きましたよ……ウクラマト様とともに、各地の困難を解決して回ったと。			これはForenameさん。聞きましたよ……ウクラマト様とともに、各地の困難を解決して回ったと。			トラル大陸のモブハント（リスキー）							
蘇りしヴァリガルマンダを打ち倒し、トライヨラ襲撃者のもたらした混乱をも解消した。その実力は、もはや疑うべくもありません。			蘇りしヴァリガルマンダを打ち倒し、トライヨラ襲撃者のもたらした混乱をも解消した。その実力は、もはや疑うべくもありません。			トラル大陸のモブハント（リスキー）							
貴方になら、我らの継いできた使命をお任せできる。ぜひとも「リスキーモブ」の対処に協力いただきたいのですが……お願いできますか？			貴方になら、我らの継いできた使命をお任せできる。ぜひとも「リスキーモブ」の対処に協力いただきたいのですが……お願いできますか？			トラル大陸のモブハント（リスキー）							
ありがとうございます。リスキーモブとはすなわち、人の暮らしを脅かす凶獣……ヴァイパーが古くから対峙してきた獣の、当世風の呼称です。			ありがとうございます。リスキーモブとはすなわち、人の暮らしを脅かす凶獣……ヴァイパーが古くから対峙してきた獣の、当世風の呼称です。			トラル大陸のモブハント（リスキー）							
そしてその最上級、神の如き力を持つ個体に冠される称号こそ、ヴァリガルマンダに代表される大地を掌握する者(トラルヴィドラール)。さすがにそこまでの存在は滅多に現れませんがね。			そしてその最上級、神の如き力を持つ個体に冠される称号こそ、ヴァリガルマンダに代表される大地を掌握する者(トラルヴィドラール)。さすがにそこまでの存在は滅多に現れませんがね。			トラル大陸のモブハント（リスキー）							
我々ヴァイパーは各地で情報を集め、そうした獣を狩っている。以前会っていただいたチャカトもそのひとりですので、ヤクテル樹海のリスキーモブ情報は、彼女に聞くといいでしょう。			我々ヴァイパーは各地で情報を集め、そうした獣を狩っている。以前会っていただいたチャカトもそのひとりですので、ヤクテル樹海のリスキーモブ情報は、彼女に聞くといいでしょう。			トラル大陸のモブハント（リスキー）							
本来はナピクエもその役目を負っていたのですが、ヤースラニ荒野の状況が一変し、彼女自身も引退したのなら……誰か後任がいるのかもしれません。			本来はナピクエもその役目を負っていたのですが、ヤースラニ荒野の状況が一変し、彼女自身も引退したのなら……誰か後任がいるのかもしれません。			トラル大陸のモブハント（リスキー）							
たびたびお手数ですが、ナピクエを訪ね、かの地のリスキーモブ情報を得ていただけると助かります。それから……。			たびたびお手数ですが、ナピクエを訪ね、かの地のリスキーモブ情報を得ていただけると助かります。それから……。			トラル大陸のモブハント（リスキー）							
困難に見舞われた人々を助け、その後も戦い続けた彼女は、我々ヴァイパーの誇りです。			困難に見舞われた人々を助け、その後も戦い続けた彼女は、我々ヴァイパーの誇りです。			トラル大陸のモブハント（リスキー）							
障壁の外に戻ってくる気はないか、もし戻るなら、最大限の敬意をもって迎える。どうかそう、お伝えいただけませんでしょうか。			障壁の外に戻ってくる気はないか、もし戻るなら、最大限の敬意をもって迎える。どうかそう、お伝えいただけませんでしょうか。			トラル大陸のモブハント（リスキー）							
隔絶した環境で、人々のため何年も戦い続けたナピクエは、我々ヴァイパーの誇りです。もしこちらへ戻るなら歓迎すると……どうかお伝えください。			隔絶した環境で、人々のため何年も戦い続けたナピクエは、我々ヴァイパーの誇りです。もしこちらへ戻るなら歓迎すると……どうかお伝えください。			トラル大陸のモブハント（リスキー）							
こんにちは、狩人さん。今日はどうしたの？			こんにちは、狩人さん。今日はどうしたの？			トラル大陸のモブハント（リスキー）							
そう、ボロガーがそんなことを。ありがとう、私を覚えていてくれる人が、障壁の外にもいる……忘れかけていたけれど、それはとても嬉しいことだわ。			そう、ボロガーがそんなことを。ありがとう、私を覚えていてくれる人が、障壁の外にもいる……忘れかけていたけれど、それはとても嬉しいことだわ。			トラル大陸のモブハント（リスキー）							
けれど、障壁の外に戻る気はないの。なぜって、外は30年前のあのときから、時間があまり経っていないのでしょう？			けれど、障壁の外に戻る気はないの。なぜって、外は30年前のあのときから、時間があまり経っていないのでしょう？			トラル大陸のモブハント（リスキー）							
もちろん、懐かしくはあるけれど……お婆ちゃんになったあたしは、却って混乱してしまいそうだもの。それに……。			もちろん、懐かしくはあるけれど……お婆ちゃんになったあたしは、却って混乱してしまいそうだもの。それに……。			トラル大陸のモブハント（リスキー）							
(-？？？？-)おーい、ナピクエさーん。			(-？？？？-)おーい、ナピクエさーん。			トラル大陸のモブハント（リスキー）							
(-？？？？-)あ、ごめん……来客中だったか。			(-？？？？-)あ、ごめん……来客中だったか。			トラル大陸のモブハント（リスキー）							
あら、ふたりとも。ちょうどいいところに来てくれたわ。			あら、ふたりとも。ちょうどいいところに来てくれたわ。			トラル大陸のモブハント（リスキー）							
狩人さん、ご紹介するわね。私が親しくしてもらっている友人のふたり……ローニネと、リヌリよ。			狩人さん、ご紹介するわね。私が親しくしてもらっている友人のふたり……ローニネと、リヌリよ。			トラル大陸のモブハント（リスキー）							
駆除人のローニネだ。ナピクエさんは二刀流武器の師匠でさ、その縁で、危険な魔物の情報集めに協力してるんだよ。			駆除人のローニネだ。ナピクエさんは二刀流武器の師匠でさ、その縁で、危険な魔物の情報集めに協力してるんだよ。			トラル大陸のモブハント（リスキー）							
Forenameさんよね？作戦時に何度か遠目で見かけてたけど、挨拶するのは初めて……あたしはリヌリ、オブリビオンの裏方みたいな仕事をやってるわ。			Forenameさんよね？作戦時に何度か遠目で見かけてたけど、挨拶するのは初めて……あたしはリヌリ、オブリビオンの裏方みたいな仕事をやってるわ。			トラル大陸のモブハント（リスキー）							
一連の騒動のあとでリビング・メモリーのことを調べていて、管理データベースから、いくつか気になる情報を見つけたのよ。危険な生物や兵器関連だから、彼女に相談していたの。			一連の騒動のあとでリビング・メモリーのことを調べていて、管理データベースから、いくつか気になる情報を見つけたのよ。危険な生物や兵器関連だから、彼女に相談していたの。			トラル大陸のモブハント（リスキー）							
もし狩人さんがリスキーモブの対処に協力してくれるなら、ぜひ、このおふたりから情報を得ていただけると嬉しいわ。			もし狩人さんがリスキーモブの対処に協力してくれるなら、ぜひ、このおふたりから情報を得ていただけると嬉しいわ。			トラル大陸のモブハント（リスキー）							
リビング・メモリーという場所については、まだ理解の追いついていないことも多いけど……。調べておいて、損はないものね。			リビング・メモリーという場所については、まだ理解の追いついていないことも多いけど……。調べておいて、損はないものね。			トラル大陸のモブハント（リスキー）							
あたしはレイノード・ナイン付近に、ローニネはアウトスカーツにいることが多いわ。情報が必要なら、またあとで声をかけてね！			あたしはレイノード・ナイン付近に、ローニネはアウトスカーツにいることが多いわ。情報が必要なら、またあとで声をかけてね！			トラル大陸のモブハント（リスキー）							
そんなわけで、私はこの先もきっと、ここで何かの役割を見つけて生きていく。だから外には戻らない。			そんなわけで、私はこの先もきっと、ここで何かの役割を見つけて生きていく。だから外には戻らない。			トラル大陸のモブハント（リスキー）							
けれど……温かく迎えると言ってくれたことは、本当に嬉しかったわ。ボロガーには、どうかそう伝えてくださいな。			けれど……温かく迎えると言ってくれたことは、本当に嬉しかったわ。ボロガーには、どうかそう伝えてくださいな。			トラル大陸のモブハント（リスキー）							
おかえりなさいForenameさん、障壁内で、リスキーモブの情報は得られそうでしたか？			おかえりなさいForenameさん、障壁内で、リスキーモブの情報は得られそうでしたか？			トラル大陸のモブハント（リスキー）							
彼女の友人から話を聞ける、と……それはよかった。何より、彼女がかの地で後任を見つけ、今もしっかりと生きていると知れて、本当によかった。			彼女の友人から話を聞ける、と……それはよかった。何より、彼女がかの地で後任を見つけ、今もしっかりと生きていると知れて、本当によかった。			トラル大陸のモブハント（リスキー）							
生きるために狩り、狩りを為して生を紡ぐ、これもまた、ヴァイパーの訓えですから。彼女はその体現者と言えるのかもしれませんね。			生きるために狩り、狩りを為して生を紡ぐ、これもまた、ヴァイパーの訓えですから。彼女はその体現者と言えるのかもしれませんね。			トラル大陸のモブハント（リスキー）							
どうか、Forenameさんも、今後も命を大事に、狩りに励んでいただければ幸いです。			どうか、Forenameさんも、今後も命を大事に、狩りに励んでいただければ幸いです。			トラル大陸のモブハント（リスキー）							
トライヨラの「トラルハントボード」から、「トラル・リスキーモブ手配書」を、入手できるようになりました。			トライヨラの「トラルハントボード」から、「トラル・リスキーモブ手配書」を、入手できるようになりました。			トラル大陸のモブハント（リスキー）							
満ちた玄関にいるモロコシ様は、助けを必要としているようだ。			満ちた玄関にいるモロコシ様は、助けを必要としているようだ。			はらへり旅情：再会篇							
モロコシ様と話した。非常に強いはらへりの気配を探すため、同行してほしいという。満ちた玄関の「モロコシ様」と話そう。			モロコシ様と話した。非常に強いはらへりの気配を探すため、同行してほしいという。満ちた玄関の「モロコシ様」と話そう。			はらへり旅情：再会篇							
モロコシ様と話した。モロコシ様を同行した状態でトライヨラのベイサイド・ベヴィーに移動し、「モロコシ様」と話そう。※同行状態が解除された場合、再度「モロコシ様」に話しかけることで同行を再開できます。			モロコシ様と話した。モロコシ様を同行した状態でトライヨラのベイサイド・ベヴィーに移動し、「モロコシ様」と話そう。※同行状態が解除された場合、再度「モロコシ様」に話しかけることで同行を再開できます。			はらへり旅情：再会篇							
モロコシ様と話した。強いはらへりの気配の正体は、ペルペル族の商人に取り憑いた古い精霊だった。ベイサイド・ベヴィーの「イケニエ様」と話そう。			モロコシ様と話した。強いはらへりの気配の正体は、ペルペル族の商人に取り憑いた古い精霊だった。ベイサイド・ベヴィーの「イケニエ様」と話そう。			はらへり旅情：再会篇							
イケニエ様と話した。なりゆきで、この古い精霊を旅の道連れにすることになった。またどこかで、モロコシ様と会うことはできるだろうか？			イケニエ様と話した。なりゆきで、この古い精霊を旅の道連れにすることになった。またどこかで、モロコシ様と会うことはできるだろうか？			はらへり旅情：再会篇							
モロコシ様と話して同行させる			モロコシ様と話して同行させる			はらへり旅情：再会篇							
連れているモロコシ様とベイサイド・ベヴィーで話す			連れているモロコシ様とベイサイド・ベヴィーで話す			はらへり旅情：再会篇							
イケニエ様と話す			イケニエ様と話す			はらへり旅情：再会篇							
ふぃ～、おぬしと会えるなんて、嬉しいのぉ！楽しくやっとったかの？　ひもじい思いはしとらんかの？			ふぃ～、おぬしと会えるなんて、嬉しいのぉ！楽しくやっとったかの？　ひもじい思いはしとらんかの？			はらへり旅情：再会篇							
そりゃあよかった。ほいじゃあ、またひとつ、この老いぼれを助けてくれんかの？			そりゃあよかった。ほいじゃあ、またひとつ、この老いぼれを助けてくれんかの？			はらへり旅情：再会篇							
実は、この先の商店街のあたりから、ぶちでかい、はらへりの気配を感じるんじゃ。			実は、この先の商店街のあたりから、ぶちでかい、はらへりの気配を感じるんじゃ。			はらへり旅情：再会篇							
じゃが、あまりにも強う、ひもじさが伝わってくるもんで、恐ろしゅうて、恐ろしゅうて……。おぬしが、いっしょに来てくれるなら心強いでの！			じゃが、あまりにも強う、ひもじさが伝わってくるもんで、恐ろしゅうて、恐ろしゅうて……。おぬしが、いっしょに来てくれるなら心強いでの！			はらへり旅情：再会篇							
ほいじゃあ、その気になったとき、わしに声をかけんしゃい。			ほいじゃあ、その気になったとき、わしに声をかけんしゃい。			はらへり旅情：再会篇							
ふぃ～、いっしょに来てくれるんか？やっぱり、おぬしの心は太陽のようじゃ！			ふぃ～、いっしょに来てくれるんか？やっぱり、おぬしの心は太陽のようじゃ！			はらへり旅情：再会篇							
この先の商店街まで行って、わしが気配を探るのを見守ってくれればいいんじゃ。頼りにしとるけえの！			この先の商店街まで行って、わしが気配を探るのを見守ってくれればいいんじゃ。頼りにしとるけえの！			はらへり旅情：再会篇							
何をする？			何をする？			はらへり旅情：再会篇							
話す			話す			はらへり旅情：再会篇							
同行状態を解除する			同行状態を解除する			はらへり旅情：再会篇							
キャンセル			キャンセル			はらへり旅情：再会篇							
何しよるんかいの？はよう、ぶちでかい、はらへりの気配を探しに行きたいんじゃ！			何しよるんかいの？はよう、ぶちでかい、はらへりの気配を探しに行きたいんじゃ！			はらへり旅情：再会篇							
急用でもあるんかいの？ほいじゃあ、わしゃ「満ちた玄関」で待っとるけえ、用事が済んだら声かけんしゃい。			急用でもあるんかいの？ほいじゃあ、わしゃ「満ちた玄関」で待っとるけえ、用事が済んだら声かけんしゃい。			はらへり旅情：再会篇							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			はらへり旅情：再会篇							
この先の商店街まで行って、わしが気配を探るのを見守ってくれればいいんじゃ。頼りにしとるけえの！			この先の商店街まで行って、わしが気配を探るのを見守ってくれればいいんじゃ。頼りにしとるけえの！			はらへり旅情：再会篇							
