イディルシャイアのイロアズは、冒険者に興味があるようだ。			イディルシャイアのイロアズは、冒険者に興味があるようだ。			イシュガルドのモブハント（上級）							
シャーレアン選者街の道案内する冒険者と話す			シャーレアン選者街の道案内する冒険者と話す			不屈なアイツを討ち倒せ							
ヘイヘイヘ～イ！そこのお前、さては……強いな？わかるぜぇ～、オレっち、最強ストロングな破壊神だからな！			ヘイヘイヘ～イ！そこのお前、さては……強いな？わかるぜぇ～、オレっち、最強ストロングな破壊神だからな！			不屈なアイツを討ち倒せ							
けどさ～、いくらストロングな自信があってもよ？仲間と戦ってると、自分の実力を見失うことがあんじゃん？「アレ、もしかしてオレっちザコくない？」みたいな。			けどさ～、いくらストロングな自信があってもよ？仲間と戦ってると、自分の実力を見失うことがあんじゃん？「アレ、もしかしてオレっちザコくない？」みたいな。			不屈なアイツを討ち倒せ							
そんな、冒険者たちのプルプル不安ハートを救う、とっておきの場所を教えてやるぜ。その名も……「ストーンスカイシー」ってんだ！			そんな、冒険者たちのプルプル不安ハートを救う、とっておきの場所を教えてやるぜ。その名も……「ストーンスカイシー」ってんだ！			不屈なアイツを討ち倒せ							
裏表紙橋から低地ドラヴァニアに出たところに、「道案内する冒険者」がいるから、詳しくはそいつに聞きな。……それじゃ、戦場でまた会おうぜ、カワイコちゃんナイスガイ！			裏表紙橋から低地ドラヴァニアに出たところに、「道案内する冒険者」がいるから、詳しくはそいつに聞きな。……それじゃ、戦場でまた会おうぜ、カワイコちゃんナイスガイ！			不屈なアイツを討ち倒せ							
おっ、「ストーンスカイシー」について聞きに来たのか？いいぞいいぞ、喜んで案内してやるよ！			おっ、「ストーンスカイシー」について聞きに来たのか？いいぞいいぞ、喜んで案内してやるよ！			不屈なアイツを討ち倒せ							
最近、強敵に挑む冒険者が増えたことを受けて、冒険者ギルドが開設した、自己研鑽のための場所……それが「ストーンスカイシー」だ。			最近、強敵に挑む冒険者が増えたことを受けて、冒険者ギルドが開設した、自己研鑽のための場所……それが「ストーンスカイシー」だ。			不屈なアイツを討ち倒せ							
「揺るぎなく大地に立ち、空に気を巡らせ、　海の如く雄大な心を以て戦う……」			「揺るぎなく大地に立ち、空に気を巡らせ、　海の如く雄大な心を以て戦う……」			不屈なアイツを討ち倒せ							
そんなエオルゼアに古くから伝わる武人の心得を体現すべく、冒険者たちが、そこで己の技を磨いてるってわけさ。			そんなエオルゼアに古くから伝わる武人の心得を体現すべく、冒険者たちが、そこで己の技を磨いてるってわけさ。			不屈なアイツを討ち倒せ							
戦いにおける強さってのはいろいろあるが、ここでは「敵を倒す力」を試すことができる。冒険者なら自由に利用できるから、指針のひとつにするといい。			戦いにおける強さってのはいろいろあるが、ここでは「敵を倒す力」を試すことができる。冒険者なら自由に利用できるから、指針のひとつにするといい。			不屈なアイツを討ち倒せ							
噂をすれば、ほら……また誰かが、「ヤツ」相手に戦いはじめたようだぞ！			噂をすれば、ほら……また誰かが、「ヤツ」相手に戦いはじめたようだぞ！			不屈なアイツを討ち倒せ							
どうだ、見えたか？「ストーンスカイシー」で使われる木人は、職人の手によって、様々な強敵を想定した強度に仕上げられているんだ。			どうだ、見えたか？「ストーンスカイシー」で使われる木人は、職人の手によって、様々な強敵を想定した強度に仕上げられているんだ。			不屈なアイツを討ち倒せ							
木人を破壊するため、己の心技体を研ぎ澄まして戦うさまは、さながら「木人討滅戦」だって言われてるよ！			木人を破壊するため、己の心技体を研ぎ澄まして戦うさまは、さながら「木人討滅戦」だって言われてるよ！			不屈なアイツを討ち倒せ							
お前もやってみたいと思ったなら、また声をかけてくれ。冒険者ギルドから管理人を任されたこの俺が、「ストーンスカイシー」まで案内してやるぜっ！			お前もやってみたいと思ったなら、また声をかけてくれ。冒険者ギルドから管理人を任されたこの俺が、「ストーンスカイシー」まで案内してやるぜっ！			不屈なアイツを討ち倒せ							
「木人討滅戦」に挑戦可能になりました。このコンテンツは、コンテンツファインダーからではなく、「道案内する冒険者」に話しかけることで開始できます。			「木人討滅戦」に挑戦可能になりました。このコンテンツは、コンテンツファインダーからではなく、「道案内する冒険者」に話しかけることで開始できます。			不屈なアイツを討ち倒せ							
イディルシャイアのミッドナイト・デューは、冒険者に頼みたいことがあるようだ。			イディルシャイアのミッドナイト・デューは、冒険者に頼みたいことがあるようだ。			稀書回収 グブラ幻想図書館							
ミッドナイト・デューから、グブラ幻想図書館に行き、「革張りの書物」を取ってきてほしいと依頼された。低地ドラヴァニアのグブラ幻想図書館前にいる「ミッドナイト・デュー」と話そう。			ミッドナイト・デューから、グブラ幻想図書館に行き、「革張りの書物」を取ってきてほしいと依頼された。低地ドラヴァニアのグブラ幻想図書館前にいる「ミッドナイト・デュー」と話そう。			稀書回収 グブラ幻想図書館							
ミッドナイト・デューに、禁書庫に通じる扉の場所を教えてもらった。準備を整え、「稀書回収 グブラ幻想図書館 (Hard)」を攻略し、革張りの書物を入手しよう。※コンテンツファインダーから攻略に参加できます。			ミッドナイト・デューに、禁書庫に通じる扉の場所を教えてもらった。準備を整え、「稀書回収 グブラ幻想図書館 (Hard)」を攻略し、革張りの書物を入手しよう。※コンテンツファインダーから攻略に参加できます。			稀書回収 グブラ幻想図書館							
「稀書回収 グブラ幻想図書館 (Hard)」を攻略し、革張りの書物を入手した。イディルシャイアの「ミッドナイト・デュー」に「革張りの書物」を渡そう。			「稀書回収 グブラ幻想図書館 (Hard)」を攻略し、革張りの書物を入手した。イディルシャイアの「ミッドナイト・デュー」に「革張りの書物」を渡そう。			稀書回収 グブラ幻想図書館							
ミッドナイト・デューに革張りの書物を渡した。依頼主は呪術士ギルドのヤヤケで、館内の本を整理するために、冒険者が入手した革張りの書物が欲しかったようだ。これで、グブラ幻想図書館に眠る書物の管理も、第一歩を踏み出せるだろう。			ミッドナイト・デューに革張りの書物を渡した。依頼主は呪術士ギルドのヤヤケで、館内の本を整理するために、冒険者が入手した革張りの書物が欲しかったようだ。これで、グブラ幻想図書館に眠る書物の管理も、第一歩を踏み出せるだろう。			稀書回収 グブラ幻想図書館							
グブラ幻想図書館前のミッドナイト・デューと話す			グブラ幻想図書館前のミッドナイト・デューと話す			稀書回収 グブラ幻想図書館							
「稀書回収 グブラ幻想図書館 (Hard)」を攻略し革張りの書物を入手			「稀書回収 グブラ幻想図書館 (Hard)」を攻略し革張りの書物を入手			稀書回収 グブラ幻想図書館							
ミッドナイト・デューに革張りの書物を渡す			ミッドナイト・デューに革張りの書物を渡す			稀書回収 グブラ幻想図書館							
冒険者じゃないか、探していたよ！ある依頼が舞い込んできたんだけど、ぜひアンタにお願いしたいと思っていてね。			冒険者じゃないか、探していたよ！ある依頼が舞い込んできたんだけど、ぜひアンタにお願いしたいと思っていてね。			稀書回収 グブラ幻想図書館							
風のつてで聞いたんだが、グブラ幻想図書館に忍び込んだことがあるんだって？そんなアンタに、おあつらえ向きの依頼が入ってるのさ。			風のつてで聞いたんだが、グブラ幻想図書館に忍び込んだことがあるんだって？そんなアンタに、おあつらえ向きの依頼が入ってるのさ。			稀書回収 グブラ幻想図書館							
依頼主が言うには、図書館の最上層にある稀覯書庫に、ひときわ目立つ「革張りの書物」があるそうなんだ。そいつを持ってきてほしいらしくてね……。			依頼主が言うには、図書館の最上層にある稀覯書庫に、ひときわ目立つ「革張りの書物」があるそうなんだ。そいつを持ってきてほしいらしくてね……。			稀書回収 グブラ幻想図書館							
問題は、どこかの誰かが禁書庫に通じる扉を、開けっ放しにしてきたおかげで、図書館の内部が、防衛用の妖異やら使い魔やらで、溢れかえってるってことさ。			問題は、どこかの誰かが禁書庫に通じる扉を、開けっ放しにしてきたおかげで、図書館の内部が、防衛用の妖異やら使い魔やらで、溢れかえってるってことさ。			稀書回収 グブラ幻想図書館							
となれば、潜入した経験がある腕利きに、仕事を任せるのが確実……アンタもそう思うだろう？進入経路を案内するから、図書館前で落ち合うとしようじゃないか。			となれば、潜入した経験がある腕利きに、仕事を任せるのが確実……アンタもそう思うだろう？進入経路を案内するから、図書館前で落ち合うとしようじゃないか。			稀書回収 グブラ幻想図書館							
目的の「革張りの書物」は、図書館の最上層にある稀覯書庫に収蔵されているらしい。進入経路を案内するから、図書館前で落ち合うとしようじゃないか。			目的の「革張りの書物」は、図書館の最上層にある稀覯書庫に収蔵されているらしい。進入経路を案内するから、図書館前で落ち合うとしようじゃないか。			稀書回収 グブラ幻想図書館							
来てくれたね。禁書庫には、少し進んだあと左側に見えてくる、頑丈そうな扉を通ると行けるはずさ。			来てくれたね。禁書庫には、少し進んだあと左側に見えてくる、頑丈そうな扉を通ると行けるはずさ。			稀書回収 グブラ幻想図書館							
アタシが案内できるのはここまでだ。「革張りの書物」の回収、ぜひともよろしく頼むよ！			アタシが案内できるのはここまでだ。「革張りの書物」の回収、ぜひともよろしく頼むよ！			稀書回収 グブラ幻想図書館							
禁書庫には、少し進んだあと左側に見えてくる、頑丈そうな扉を通ると行けるはずさ。「革張りの書物」の回収、ぜひともよろしく頼むよ！			禁書庫には、少し進んだあと左側に見えてくる、頑丈そうな扉を通ると行けるはずさ。「革張りの書物」の回収、ぜひともよろしく頼むよ！			稀書回収 グブラ幻想図書館							
目的の「革張りの書物」は、図書館の最上層にある稀覯書庫に収蔵されているらしい。回収、ぜひともよろしく頼むよ！			目的の「革張りの書物」は、図書館の最上層にある稀覯書庫に収蔵されているらしい。回収、ぜひともよろしく頼むよ！			稀書回収 グブラ幻想図書館							
調子はどうだ？「革張りの書物」は回収できたかい？			調子はどうだ？「革張りの書物」は回収できたかい？			稀書回収 グブラ幻想図書館							
目的の革張りの書物を回収できたようじゃないか！アンタに頼んで正解だったよ！			目的の革張りの書物を回収できたようじゃないか！アンタに頼んで正解だったよ！			稀書回収 グブラ幻想図書館							
さっそく、依頼主さんに確認してもらうとするかね……。呼んでくるから、ちょいと待っててくれ！			さっそく、依頼主さんに確認してもらうとするかね……。呼んでくるから、ちょいと待っててくれ！			稀書回収 グブラ幻想図書館							
貴方が依頼を受けてくださった冒険者ですか？私は、呪術士ギルドのヤヤケと申します。ご協力いただき、どうもありがとうございます。			貴方が依頼を受けてくださった冒険者ですか？私は、呪術士ギルドのヤヤケと申します。ご協力いただき、どうもありがとうございます。			稀書回収 グブラ幻想図書館							
……おや！腕利きの冒険者に頼んだと聞いておりましたが、まさかForenameだったとは。			……おや！腕利きの冒険者に頼んだと聞いておりましたが、まさかForenameだったとは。			稀書回収 グブラ幻想図書館							
我が「呪術士ギルド」の朋、Forenameが引き受けてくれたのであれば、期待しても問題なさそうですね。			我が「呪術士ギルド」の朋、Forenameが引き受けてくれたのであれば、期待しても問題なさそうですね。			稀書回収 グブラ幻想図書館							
……おや！腕利きの冒険者に頼んだと聞いておりましたが、まさかForenameさまだったとは！			……おや！腕利きの冒険者に頼んだと聞いておりましたが、まさかForenameさまだったとは！			稀書回収 グブラ幻想図書館							
破壊の化身たるForenameさまが、回収に行ってくださったのであれば、間違いないですね！			破壊の化身たるForenameさまが、回収に行ってくださったのであれば、間違いないですね！			稀書回収 グブラ幻想図書館							
さてと……それでは、確かめさせていただくとしましょう。持ち帰った革張りの書物を見せていただけますか？			さてと……それでは、確かめさせていただくとしましょう。持ち帰った革張りの書物を見せていただけますか？			稀書回収 グブラ幻想図書館							
どれどれ……ふむふむ……。			どれどれ……ふむふむ……。			稀書回収 グブラ幻想図書館							
確かに、回収を依頼した「蔵書目録」に違いありませんわ。どうもありがとうございます。			確かに、回収を依頼した「蔵書目録」に違いありませんわ。どうもありがとうございます。			稀書回収 グブラ幻想図書館							
ちょっと待ってくれ、「蔵書目録」だって？なんだって、そんな物を手に入れようなんて思ったんだい？			ちょっと待ってくれ、「蔵書目録」だって？なんだって、そんな物を手に入れようなんて思ったんだい？			稀書回収 グブラ幻想図書館							
グブラ幻想図書館に今も遺されている書物たちは、シャーレアンの民が集積してきた知識の結晶と言えるもの。それを放置しておくだなんて、許されることではありませんわ。			グブラ幻想図書館に今も遺されている書物たちは、シャーレアンの民が集積してきた知識の結晶と言えるもの。それを放置しておくだなんて、許されることではありませんわ。			稀書回収 グブラ幻想図書館							
……エオルゼアの発展のためにも、館内の書物を整理し、多くの人が学べるよう、しっかりと管理すべきでしょう。そのための手始めとして、「蔵書目録」は不可欠だったのです。			……エオルゼアの発展のためにも、館内の書物を整理し、多くの人が学べるよう、しっかりと管理すべきでしょう。そのための手始めとして、「蔵書目録」は不可欠だったのです。			稀書回収 グブラ幻想図書館							
なるほどね……あの図書館が再建されれば、学術を志す者たちが、イディルシャイアに集まるかもしれない。そういうことなら、アタシたちも協力させてもらうよ！			なるほどね……あの図書館が再建されれば、学術を志す者たちが、イディルシャイアに集まるかもしれない。そういうことなら、アタシたちも協力させてもらうよ！			稀書回収 グブラ幻想図書館							
まぁ、心強いことですこと！お陰様で、図書館の再整備に向けて、第一歩を踏み出せそうです。			まぁ、心強いことですこと！お陰様で、図書館の再整備に向けて、第一歩を踏み出せそうです。			稀書回収 グブラ幻想図書館							
目録を持ち帰ってくださったこと、心より感謝いたしますわ！			目録を持ち帰ってくださったこと、心より感謝いたしますわ！			稀書回収 グブラ幻想図書館							
崖っぷち亭のメロディーは、気になる情報を持っているようだ。			崖っぷち亭のメロディーは、気になる情報を持っているようだ。			崖っぷち亭に迫る影							
イディルシャイアのブルガンと話す			イディルシャイアのブルガンと話す			崖っぷち亭に迫る影							
崖っぷち亭のブルガンと話す			崖っぷち亭のブルガンと話す			崖っぷち亭に迫る影							
あら、Forenameさん、こんにちは。街で見かけたアウラ・ゼラの男性についてですか？			あら、Forenameさん、こんにちは。街で見かけたアウラ・ゼラの男性についてですか？			崖っぷち亭に迫る影							
ええ、初めて見るアウラ族の方で、珍しい服装をしていました。ちょうど、アルグさんやテレボゲちゃんたちのような……。それに、誰かを探しているように見えましたわ。			ええ、初めて見るアウラ族の方で、珍しい服装をしていました。ちょうど、アルグさんやテレボゲちゃんたちのような……。それに、誰かを探しているように見えましたわ。			崖っぷち亭に迫る影							
そういえば、店長にもアウラ族のような尻尾がありますが、何かご関係があるのかしら……？			そういえば、店長にもアウラ族のような尻尾がありますが、何かご関係があるのかしら……？			崖っぷち亭に迫る影							
親分！大変でやんす～！			親分！大変でやんす～！			崖っぷち亭に迫る影							
あっ、先ほどの方……。い、いらっしゃいませ！			あっ、先ほどの方……。い、いらっしゃいませ！			崖っぷち亭に迫る影							
(-アダルキム族の男-)アドキラーという男を探しているのだが、知っていたら、どこにいるか教えていただきたい。			(-アダルキム族の男-)アドキラーという男を探しているのだが、知っていたら、どこにいるか教えていただきたい。			崖っぷち亭に迫る影							
ええっと……？			ええっと……？			崖っぷち亭に迫る影							
アンタはあの時世話になった冒険者……！こんなところで再会できるとは！俺の名はブルガン、アドキラーの弟だ。			アンタはあの時世話になった冒険者……！こんなところで再会できるとは！俺の名はブルガン、アドキラーの弟だ。			崖っぷち亭に迫る影							
兄貴の噂を聞き、連れ戻すためにはるばるやって来たのだが、アドキラーを見かけなかっただろうか？			兄貴の噂を聞き、連れ戻すためにはるばるやって来たのだが、アドキラーを見かけなかっただろうか？			崖っぷち亭に迫る影							
先日、一族から失踪したふたり組をアジムステップで見かけてな、後を付けてきたので、この場所で間違いないと思うのだが……。彼らは兄貴に忠誠を誓った身ゆえ、俺に真実は語るまい。			先日、一族から失踪したふたり組をアジムステップで見かけてな、後を付けてきたので、この場所で間違いないと思うのだが……。彼らは兄貴に忠誠を誓った身ゆえ、俺に真実は語るまい。			崖っぷち亭に迫る影							
ああ、兄貴の特徴を伝えていなかったな！			ああ、兄貴の特徴を伝えていなかったな！			崖っぷち亭に迫る影							
兄貴は、そうだな。自分のことを「我」と言い……			兄貴は、そうだな。自分のことを「我」と言い……			崖っぷち亭に迫る影							
ボーズ作りが得意で……			ボーズ作りが得意で……			崖っぷち亭に迫る影							
俺と同じアウラ・ゼラゆえに、黒い鱗の尻尾があるな！			俺と同じアウラ・ゼラゆえに、黒い鱗の尻尾があるな！			崖っぷち亭に迫る影							
何と言う？			何と言う？			崖っぷち亭に迫る影							
知らないなぁ？			知らないなぁ？			崖っぷち亭に迫る影							
このポーキーがアドキラーだ！			このポーキーがアドキラーだ！			崖っぷち亭に迫る影							
…………			…………			崖っぷち亭に迫る影							
兄貴が家畜のような格好をするはずもないだろうが……。噂が真実であれば、崖っぷち亭の店主をやっているという男は、豚のマスクを被っており、兄貴の名前を名乗っているという。			兄貴が家畜のような格好をするはずもないだろうが……。噂が真実であれば、崖っぷち亭の店主をやっているという男は、豚のマスクを被っており、兄貴の名前を名乗っているという。			崖っぷち亭に迫る影							
……そこのアンタ、マスクを外してもらおうか？			……そこのアンタ、マスクを外してもらおうか？			崖っぷち亭に迫る影							
待ってください……！			待ってください……！			崖っぷち亭に迫る影							
て、店長は……そのっ、えっと……顔にひどい傷があって、マスクを被っているのです！だから、マスクは外せません……！			て、店長は……そのっ、えっと……顔にひどい傷があって、マスクを被っているのです！だから、マスクは外せません……！			崖っぷち亭に迫る影							
たしかに、初対面の人に素顔を見せろというのは、無礼であった。ならば、この街の住人に話を聞けば、崖っぷち亭の店主とやらの素性もわかるはずだな。			たしかに、初対面の人に素顔を見せろというのは、無礼であった。ならば、この街の住人に話を聞けば、崖っぷち亭の店主とやらの素性もわかるはずだな。			崖っぷち亭に迫る影							
Forenameよ……。我が部族の問題に巻き込んでしまってすまぬが、「ブルガン」の様子を見に行ってもらえぬだろうか？			Forenameよ……。我が部族の問題に巻き込んでしまってすまぬが、「ブルガン」の様子を見に行ってもらえぬだろうか？			崖っぷち亭に迫る影							
付けられたのはオイラじゃないでやんすよ～！			付けられたのはオイラじゃないでやんすよ～！			崖っぷち亭に迫る影							
テレボゲ！お前ブルガンさんに付けられやがって！			テレボゲ！お前ブルガンさんに付けられやがって！			崖っぷち亭に迫る影							
みんなで店長を守らないと……！			みんなで店長を守らないと……！			崖っぷち亭に迫る影							
なんだか、大変なことになっている……のかしら？			なんだか、大変なことになっている……のかしら？			崖っぷち亭に迫る影							
ほう、再会の市に続き、ここでもまた、俺を手助けしてくれるというのか？ありがたい……未知の土地ゆえ、心強いというものだ。			ほう、再会の市に続き、ここでもまた、俺を手助けしてくれるというのか？ありがたい……未知の土地ゆえ、心強いというものだ。			崖っぷち亭に迫る影							
まずは、この街のゴブリン族とやらの話を聞いてみるとしよう。それにしても、人と獣人がかくも協力し合っているとは。西方にも、不思議な土地はあるものだな。			まずは、この街のゴブリン族とやらの話を聞いてみるとしよう。それにしても、人と獣人がかくも協力し合っているとは。西方にも、不思議な土地はあるものだな。			崖っぷち亭に迫る影							
俺は東方から失踪した兄を連れ戻しにきた者だ。ときに、ここの崖っぷち亭の店主は、アジムステップ出身のアウラ・ゼラだろうか？			俺は東方から失踪した兄を連れ戻しにきた者だ。ときに、ここの崖っぷち亭の店主は、アジムステップ出身のアウラ・ゼラだろうか？			崖っぷち亭に迫る影							
スローフィクスと視線が合った。何か合図を送るべきだろうか……。			スローフィクスと視線が合った。何か合図を送るべきだろうか……。			崖っぷち亭に迫る影							
どうする？			どうする？			崖っぷち亭に迫る影							
首を横に振る			首を横に振る			崖っぷち亭に迫る影							
アピールする			アピールする			崖っぷち亭に迫る影							
聞いていないフリをする			聞いていないフリをする			崖っぷち亭に迫る影							
シュコォ……シュコォ……イディルシャイアは新興都市　ヒトとゴブリン　仲良く暮らす！出身　種族　関係なし　みんな大切　仲間ゴブ！			シュコォ……シュコォ……イディルシャイアは新興都市　ヒトとゴブリン　仲良く暮らす！出身　種族　関係なし　みんな大切　仲間ゴブ！			崖っぷち亭に迫る影							
ゴブたち知ってる　よく知ってる！崖っぷち亭　マスターちゃん　一文無しから努力してとうとう立派な　お店　構えた！			ゴブたち知ってる　よく知ってる！崖っぷち亭　マスターちゃん　一文無しから努力してとうとう立派な　お店　構えた！			崖っぷち亭に迫る影							
いったいぜんたい　お前さんゴブの仲間を　どうする気ゴブ～？			いったいぜんたい　お前さんゴブの仲間を　どうする気ゴブ～？			崖っぷち亭に迫る影							
俺はただ兄貴を……。い、いや……失礼する。			俺はただ兄貴を……。い、いや……失礼する。			崖っぷち亭に迫る影							
次は、トレジャーハンターに話を聞いてみるか……。この街の自治も担っていると聞いたから知らないことはないだろう。			次は、トレジャーハンターに話を聞いてみるか……。この街の自治も担っていると聞いたから知らないことはないだろう。			崖っぷち亭に迫る影							
ミッドナイト・デューと視線が合った。何か合図を送るべきだろうか……。			ミッドナイト・デューと視線が合った。何か合図を送るべきだろうか……。			崖っぷち亭に迫る影							
どうする？			どうする？			崖っぷち亭に迫る影							
首を横に振る			首を横に振る			崖っぷち亭に迫る影							
ウィンクする			ウィンクする			崖っぷち亭に迫る影							
何もしない			何もしない			崖っぷち亭に迫る影							
アドキラーというアダルキム族の男を知らないだろうか？崖っぷち亭の店主をやっていると聞いたのだが。			アドキラーというアダルキム族の男を知らないだろうか？崖っぷち亭の店主をやっていると聞いたのだが。			崖っぷち亭に迫る影							
アダルキム族？　……さぁねえ？崖っぷち亭のマスターのことだったら、よく知ってるよ。ヘンテコな格好してるけど、いいマスターでね。			アダルキム族？　……さぁねえ？崖っぷち亭のマスターのことだったら、よく知ってるよ。ヘンテコな格好してるけど、いいマスターでね。			崖っぷち亭に迫る影							
アタシらトレジャーハンターが疲れて帰って来た日には、あったかい料理で迎えてくれてさ。愚痴だっていくらでも付き合ってくれる。			アタシらトレジャーハンターが疲れて帰って来た日には、あったかい料理で迎えてくれてさ。愚痴だっていくらでも付き合ってくれる。			崖っぷち亭に迫る影							
この街には欠かせないマスターだよ。アンタが探してるアダル……なんとかっていう奴かどうかは、アタシは知らないねぇ？			この街には欠かせないマスターだよ。アンタが探してるアダル……なんとかっていう奴かどうかは、アタシは知らないねぇ？			崖っぷち亭に迫る影							
ううむ……。			ううむ……。			崖っぷち亭に迫る影							
アンタも、兄貴の肩を持つのかい？わかっているさ、昔から兄貴の周りには仲間が大勢いた。誰からも慕われる彼のようになりたいと思ったものだ。			アンタも、兄貴の肩を持つのかい？わかっているさ、昔から兄貴の周りには仲間が大勢いた。誰からも慕われる彼のようになりたいと思ったものだ。			崖っぷち亭に迫る影							
アドキラーというアダルキム族の男を知らないだろうか？崖っぷち亭の店主をやっていると聞いたのだが。			アドキラーというアダルキム族の男を知らないだろうか？崖っぷち亭の店主をやっていると聞いたのだが。			崖っぷち亭に迫る影							
アダルキム族？　……さぁねえ？崖っぷち亭のマスターのことだったら、よく知ってるよ。ヘンテコな格好してるけど、いいマスターでね。			アダルキム族？　……さぁねえ？崖っぷち亭のマスターのことだったら、よく知ってるよ。ヘンテコな格好してるけど、いいマスターでね。			崖っぷち亭に迫る影							
アタシらトレジャーハンターが疲れて帰って来た日には、あったかい料理で迎えてくれてさ。愚痴だっていくらでも付き合ってくれる。			アタシらトレジャーハンターが疲れて帰って来た日には、あったかい料理で迎えてくれてさ。愚痴だっていくらでも付き合ってくれる。			崖っぷち亭に迫る影							
この街には欠かせないマスターだよ。アンタが探してるアダル……なんとかっていう奴かどうかは、アタシは知らないねぇ？			この街には欠かせないマスターだよ。アンタが探してるアダル……なんとかっていう奴かどうかは、アタシは知らないねぇ？			崖っぷち亭に迫る影							
ううむ……。			ううむ……。			崖っぷち亭に迫る影							
アンタ、もしかして俺を見守ってくれているのか？わかっているさ、昔から兄貴の周りには仲間が大勢いた。誰からも慕われる彼のようになりたいと思ったものだ。			アンタ、もしかして俺を見守ってくれているのか？わかっているさ、昔から兄貴の周りには仲間が大勢いた。誰からも慕われる彼のようになりたいと思ったものだ。			崖っぷち亭に迫る影							
だが、俺は兄貴じゃない……！兄貴の代わりに命を狙われ続けるなんて、まっぴらさ！！			だが、俺は兄貴じゃない……！兄貴の代わりに命を狙われ続けるなんて、まっぴらさ！！			崖っぷち亭に迫る影							
はぁ……子供なら正直に話してくれるだろう。お嬢ちゃん、崖っぷち亭のアドキラーを知っているかい？			はぁ……子供なら正直に話してくれるだろう。お嬢ちゃん、崖っぷち亭のアドキラーを知っているかい？			崖っぷち亭に迫る影							
アドキラーおじちゃん、知ってるよ！いつも私とお友達に楽しいお話を聞かせてくれるの！			アドキラーおじちゃん、知ってるよ！いつも私とお友達に楽しいお話を聞かせてくれるの！			崖っぷち亭に迫る影							
たくさんアンサツされそうになったこととか、たくさんケッコンサギにあったこととか！			たくさんアンサツされそうになったこととか、たくさんケッコンサギにあったこととか！			崖っぷち亭に迫る影							
それから、それからね！おじちゃんの故郷には、すっごく頼りになる弟がいて、すっごく尊敬してるんだって！			それから、それからね！おじちゃんの故郷には、すっごく頼りになる弟がいて、すっごく尊敬してるんだって！			崖っぷち亭に迫る影							
私もお姉ちゃんにそう思って貰えるように、頑張らなきゃ！			私もお姉ちゃんにそう思って貰えるように、頑張らなきゃ！			崖っぷち亭に迫る影							
………………。			………………。			崖っぷち亭に迫る影							
崖っぷち亭のアドキラーは兄貴で間違いないようだな。俺は「崖っぷち亭」に戻るとするよ。……アンタも、よかったら見届けてくれ。			崖っぷち亭のアドキラーは兄貴で間違いないようだな。俺は「崖っぷち亭」に戻るとするよ。……アンタも、よかったら見届けてくれ。			崖っぷち亭に迫る影							
げげっ！戻って来たでやんす！			げげっ！戻って来たでやんす！			崖っぷち亭に迫る影							
どうなろうと、親分に付いていくだけさァ！			どうなろうと、親分に付いていくだけさァ！			崖っぷち亭に迫る影							
店長は、ぜーったいに渡さないんだから！			店長は、ぜーったいに渡さないんだから！			崖っぷち亭に迫る影							
あら、戻ってこられたのですね。えっと、何かお出しした方がよろしいかしら……？			あら、戻ってこられたのですね。えっと、何かお出しした方がよろしいかしら……？			崖っぷち亭に迫る影							
まったく、俺はただ静かに暮らしたいだけだというのに、理不尽な運命だぜ。			まったく、俺はただ静かに暮らしたいだけだというのに、理不尽な運命だぜ。			崖っぷち亭に迫る影							
だが……腹を括り自分の運命と向き合うか、運命に抗い別の道を模索するか、どちらも自ら行動を起こさない限りは、何も変わらないのだな。			だが……腹を括り自分の運命と向き合うか、運命に抗い別の道を模索するか、どちらも自ら行動を起こさない限りは、何も変わらないのだな。			崖っぷち亭に迫る影							
この地へ来てそれがよくわかった。俺も、覚悟を決めなければな。			この地へ来てそれがよくわかった。俺も、覚悟を決めなければな。			崖っぷち亭に迫る影							
イディルシャイアのアドキラーは偽者だったと、一族の者たちに伝えるとしよう。			イディルシャイアのアドキラーは偽者だったと、一族の者たちに伝えるとしよう。			崖っぷち亭に迫る影							
……待ちたまえ。			……待ちたまえ。			崖っぷち亭に迫る影							
我がすべてを賭けても守りたいものを見付けたように、貴様も貴様にしか守れないものが、きっとあるだろう。崖っぷちな人生に疲れた時は、いつでも杯を傾けに来るがよいぞ。			我がすべてを賭けても守りたいものを見付けたように、貴様も貴様にしか守れないものが、きっとあるだろう。崖っぷちな人生に疲れた時は、いつでも杯を傾けに来るがよいぞ。			崖っぷち亭に迫る影							
それにしても、店長が族長候補だったなんて、驚いてしまいましたわ！			それにしても、店長が族長候補だったなんて、驚いてしまいましたわ！			崖っぷち亭に迫る影							
て、店長ぉ～～～！！！連れていかれないで良かったよ～～！			て、店長ぉ～～～！！！連れていかれないで良かったよ～～！			崖っぷち亭に迫る影							
これで、一件落着でやんすね！			これで、一件落着でやんすね！			崖っぷち亭に迫る影							
ブルガンさん……。			ブルガンさん……。			崖っぷち亭に迫る影							
貴様らにも、いろいろと心配かけたな！崖っぷち亭が店主不在となる危機は免れた！一族の連中が我を連れ戻しに来ることは、当分無いであろう。			貴様らにも、いろいろと心配かけたな！崖っぷち亭が店主不在となる危機は免れた！一族の連中が我を連れ戻しに来ることは、当分無いであろう。			崖っぷち亭に迫る影							
