トメラの村の噂好きのドワーフは、困っているようだ。			トメラの村の噂好きのドワーフは、困っているようだ。			コメラの村の事件							
奴らに仕事の邪魔をされるのは困るからな……。「アノッグ」とコノッグに俺が呼んでいたと伝えてくれないか？			奴らに仕事の邪魔をされるのは困るからな……。「アノッグ」とコノッグに俺が呼んでいたと伝えてくれないか？			閉ざされた扉の向こう							
「アノッグ」とコノッグを見かけたら、俺が呼んでいたと伝えてくれ。			「アノッグ」とコノッグを見かけたら、俺が呼んでいたと伝えてくれ。			閉ざされた扉の向こう							
あぁ、アナタに打ちのめされて目が覚めた。これからは心を入れ替えて、真面目に生きていくよ。			あぁ、アナタに打ちのめされて目が覚めた。これからは心を入れ替えて、真面目に生きていくよ。			閉ざされた扉の向こう							
自らの努力で夢を掴みとってこそ、一人前ってもんだよな。よし、まずはカネだ。カネさえあれば、すべてを手に入れられる！			自らの努力で夢を掴みとってこそ、一人前ってもんだよな。よし、まずはカネだ。カネさえあれば、すべてを手に入れられる！			閉ざされた扉の向こう							
「ヨソ者」よ、坑道の番人という邪魔者は去った。しかし、目の前の扉を開ける鍵がないのだ……。坑道の番人が持っていた「扉の鍵」を知らないか？			「ヨソ者」よ、坑道の番人という邪魔者は去った。しかし、目の前の扉を開ける鍵がないのだ……。坑道の番人が持っていた「扉の鍵」を知らないか？			閉ざされた扉の向こう							
おお！　素晴らしい！これで遺跡への道が開けたぞ。			おお！　素晴らしい！これで遺跡への道が開けたぞ。			閉ざされた扉の向こう							
ところで、「ヨソ者」よ、また「お使い」しているのか？そんな「お使い」よりも、もっと面白い冒険がしたくはないか？ワタシ達についてくれば、素晴らしいものがみられるぞ？			ところで、「ヨソ者」よ、また「お使い」しているのか？そんな「お使い」よりも、もっと面白い冒険がしたくはないか？ワタシ達についてくれば、素晴らしいものがみられるぞ？			閉ざされた扉の向こう							
何と言う？			何と言う？			閉ざされた扉の向こう							
面白そうだからついていく			面白そうだからついていく			閉ざされた扉の向こう							
親方に怒られるぞ			親方に怒られるぞ			閉ざされた扉の向こう							
さすが！ワタシの見込んだ「ヨソ者」だ。			さすが！ワタシの見込んだ「ヨソ者」だ。			閉ざされた扉の向こう							
ちぇっ、ケチー！！			ちぇっ、ケチー！！			閉ざされた扉の向こう							
ケチー！！			ケチー！！			閉ざされた扉の向こう							
でも、そんなつれない事を言いながらも、実は冒険に行きたくて仕方がないのだろう？ワタシは何でもお見通しなのだ。			でも、そんなつれない事を言いながらも、実は冒険に行きたくて仕方がないのだろう？ワタシは何でもお見通しなのだ。			閉ざされた扉の向こう							
この遺跡には秘密がある。ワタシ達はそれを解き明かす。			この遺跡には秘密がある。ワタシ達はそれを解き明かす。			閉ざされた扉の向こう							
さあ「ヨソ者」よ、ワタシ達についてくるのだ！			さあ「ヨソ者」よ、ワタシ達についてくるのだ！			閉ざされた扉の向こう							
キミが坑道の番人を返り討ちにしたのか？なかなか腕が立つではないか……。			キミが坑道の番人を返り討ちにしたのか？なかなか腕が立つではないか……。			閉ざされた扉の向こう							
鍵がかかってるな……。この先に重大な秘密が眠っているハズなのだが……。			鍵がかかってるな……。この先に重大な秘密が眠っているハズなのだが……。			閉ざされた扉の向こう							
アノッグよ、こんなこともあろうかと、秘密兵器を用意しておいた。			アノッグよ、こんなこともあろうかと、秘密兵器を用意しておいた。			閉ざされた扉の向こう							
よし、先に進むとしよう。			よし、先に進むとしよう。			閉ざされた扉の向こう							
(-？？？？-)侵入者ハッケン、侵入者ハッケン。タダチニ排除スル。			(-？？？？-)侵入者ハッケン、侵入者ハッケン。タダチニ排除スル。			閉ざされた扉の向こう							
オマエら！！　とんでもないことしてくれたな！！このっ……。			オマエら！！　とんでもないことしてくれたな！！このっ……。			閉ざされた扉の向こう							
なんだ……この女は？			なんだ……この女は？			閉ざされた扉の向こう							
(-白き衣の女性-)うっ……機械……機械生命……体が……。			(-白き衣の女性-)うっ……機械……機械生命……体が……。			閉ざされた扉の向こう							
機械……生命体？キミはいったい、何者なんだ？この遺跡で、何をしている？			機械……生命体？キミはいったい、何者なんだ？この遺跡で、何をしている？			閉ざされた扉の向こう							
私は……２号……いや、２Ｐと呼ばれている。			私は……２号……いや、２Ｐと呼ばれている。			閉ざされた扉の向こう							
遺跡の奥に、機械生命体を操っているやつがいる。止めないと……。			遺跡の奥に、機械生命体を操っているやつがいる。止めないと……。			閉ざされた扉の向こう							
あっ、おい！アノッグ！　コノッグ！			あっ、おい！アノッグ！　コノッグ！			閉ざされた扉の向こう							
旅の人よ、何かあったらあいつらのことを守ってやってくれないか。一度ああなっちまったら言うことを聞かねぇんだ……。重ね重ねすまないが……よろしく頼む。			旅の人よ、何かあったらあいつらのことを守ってやってくれないか。一度ああなっちまったら言うことを聞かねぇんだ……。重ね重ねすまないが……よろしく頼む。			閉ざされた扉の向こう							
アノッグとコノッグのやつ……まったく……。あいつら、俺の言うことなんて聞いたためしがない……。			アノッグとコノッグのやつ……まったく……。あいつら、俺の言うことなんて聞いたためしがない……。			閉ざされた扉の向こう							
なんだこの邪魔な扉は！ワレワレの行く手を阻むつもりか？			なんだこの邪魔な扉は！ワレワレの行く手を阻むつもりか？			閉ざされた扉の向こう							
この扉は……。防御システムによって、閉ざされている……？			この扉は……。防御システムによって、閉ざされている……？			閉ざされた扉の向こう							
フフフ……。またしてもワタシ達の出番だな。コノッグ！			フフフ……。またしてもワタシ達の出番だな。コノッグ！			閉ざされた扉の向こう							
任された。			任された。			閉ざされた扉の向こう							
ハッハッハ！　どうだ、「ヨソ者」よ！これがワタシ達の実力！			ハッハッハ！　どうだ、「ヨソ者」よ！これがワタシ達の実力！			閉ざされた扉の向こう							
どうせ親方からワレワレを見張っているようにと、そう言われているのだろう？			どうせ親方からワレワレを見張っているようにと、そう言われているのだろう？			閉ざされた扉の向こう							
だが、キミにはワタシ達の力が必要なのだ！「機械生命体」なる未知の脅威……放ってはおけんだろう？共に遺跡の内部へと向かおうではないか。			だが、キミにはワタシ達の力が必要なのだ！「機械生命体」なる未知の脅威……放ってはおけんだろう？共に遺跡の内部へと向かおうではないか。			閉ざされた扉の向こう							
なんとか扉を破壊することはできないだろうか……。			なんとか扉を破壊することはできないだろうか……。			閉ざされた扉の向こう							
早速問題が発生したようだな。			早速問題が発生したようだな。			閉ざされた扉の向こう							
これで内部に侵入できる……。			これで内部に侵入できる……。			閉ざされた扉の向こう							
ハッハッハッハッハッ！どうだ、みたか！ワタシ達に不可能はないのだ！			ハッハッハッハッハッ！どうだ、みたか！ワタシ達に不可能はないのだ！			閉ざされた扉の向こう							
この中にはいったい何が……。未知の領域を前にして、気分が高揚しています、ハイ。			この中にはいったい何が……。未知の領域を前にして、気分が高揚しています、ハイ。			閉ざされた扉の向こう							
……あいつら……何でもかんでも爆破しやがって……。いったい誰が後片付けをすると思ってるんだ……。			……あいつら……何でもかんでも爆破しやがって……。いったい誰が後片付けをすると思ってるんだ……。			閉ざされた扉の向こう							
まだ敵が潜んでいるかもしれない……。一度この遺跡から脱出しよう。			まだ敵が潜んでいるかもしれない……。一度この遺跡から脱出しよう。			閉ざされた扉の向こう							
遺跡から戻ってきた途端、突然倒れてしまったのだ。			遺跡から戻ってきた途端、突然倒れてしまったのだ。			閉ざされた扉の向こう							
それにしても……あんなに激しい戦闘でも物怖じせず、次々と敵を倒していくなんて……。「ヨソ者」はただ「お使い」をするだけではないのだな。			それにしても……あんなに激しい戦闘でも物怖じせず、次々と敵を倒していくなんて……。「ヨソ者」はただ「お使い」をするだけではないのだな。			閉ざされた扉の向こう							
これからは敬意をもって接することにします、ハイ。			これからは敬意をもって接することにします、ハイ。			閉ざされた扉の向こう							
気が付いたか？キミには聞きたいことが沢山あるんだ。			気が付いたか？キミには聞きたいことが沢山あるんだ。			閉ざされた扉の向こう							
まず、あの機械達を操っていたやつは、いったい何者なんだ。説明してくれたまえ。			まず、あの機械達を操っていたやつは、いったい何者なんだ。説明してくれたまえ。			閉ざされた扉の向こう							
あれは……アンドロイド、人間を模した、私と同じ……自動歩兵人形。			あれは……アンドロイド、人間を模した、私と同じ……自動歩兵人形。			閉ざされた扉の向こう							
……２Ｐ、キミもその、自動歩兵人形……機械なのか？			……２Ｐ、キミもその、自動歩兵人形……機械なのか？			閉ざされた扉の向こう							
人間と同じ見た目をした……機械？そんな技術……見たことも聞いたこともない！本当なら……夢のような話だっ！			人間と同じ見た目をした……機械？そんな技術……見たことも聞いたこともない！本当なら……夢のような話だっ！			閉ざされた扉の向こう							
ん？　まてよ……それが本当だとして……。そのアンドロイドは、なぜワタシ達を襲ってきたのだ？			ん？　まてよ……それが本当だとして……。そのアンドロイドは、なぜワタシ達を襲ってきたのだ？			閉ざされた扉の向こう							
それは……わからない。ただ、アンドロイドはまだ沢山いるはず……。			それは……わからない。ただ、アンドロイドはまだ沢山いるはず……。			閉ざされた扉の向こう							
問題は、そのアンドロイド達が、遺跡を狙ってこの村に集まること……。			問題は、そのアンドロイド達が、遺跡を狙ってこの村に集まること……。			閉ざされた扉の向こう							
もしそうなった場合……ここにいる人間達も、危険に晒されることになる……。			もしそうなった場合……ここにいる人間達も、危険に晒されることになる……。			閉ざされた扉の向こう							
あんなやつらが、村に押し寄せたら……。			あんなやつらが、村に押し寄せたら……。			閉ざされた扉の向こう							
ハッハッハッ！　案ずるな弟よ！ワレワレ姉弟と頼りになる旅の者、それに、このアンドロイドもいれば……。			ハッハッハッ！　案ずるな弟よ！ワレワレ姉弟と頼りになる旅の者、それに、このアンドロイドもいれば……。			閉ざされた扉の向こう							
残念だけど、そうはいかない……。			残念だけど、そうはいかない……。			閉ざされた扉の向こう							
さっきの戦闘で、システムが破損したらしい……。私は……もうすぐ活動停止する。			さっきの戦闘で、システムが破損したらしい……。私は……もうすぐ活動停止する。			閉ざされた扉の向こう							
その前に、伝えておくことが……ある。			その前に、伝えておくことが……ある。			閉ざされた扉の向こう							
遺跡の内部に、アンドロイドに対抗する鍵があるはず……。それを探して、手に入れるんだ。			遺跡の内部に、アンドロイドに対抗する鍵があるはず……。それを探して、手に入れるんだ。			閉ざされた扉の向こう							
その鍵を解読することができれば……あのアンドロイドや、機械生命体……。			その鍵を解読することができれば……あのアンドロイドや、機械生命体……。			閉ざされた扉の向こう							
あるいは……私のことも……。			あるいは……私のことも……。			閉ざされた扉の向こう							
死んだ……いや、これは機械が活動を停止しただけなのか？			死んだ……いや、これは機械が活動を停止しただけなのか？			閉ざされた扉の向こう							
…………おい、全然話についていけないんだが……。			…………おい、全然話についていけないんだが……。			閉ざされた扉の向こう							
………ククク。			………ククク。			閉ざされた扉の向こう							
ハーッハッハッハ。面白くなってきたぞ！			ハーッハッハッハ。面白くなってきたぞ！			閉ざされた扉の向こう							
とにかく、じっとしていても仕方がない！早速遺跡の調査を始めようではないか！			とにかく、じっとしていても仕方がない！早速遺跡の調査を始めようではないか！			閉ざされた扉の向こう							
…………。			…………。			閉ざされた扉の向こう							
とにかく、皆が無事に戻ってこれたのは良かったが……遺跡で何があったのか、まずは話を聞こう。			とにかく、皆が無事に戻ってこれたのは良かったが……遺跡で何があったのか、まずは話を聞こう。			閉ざされた扉の向こう							
…………。			…………。			閉ざされた扉の向こう							
謎と危険に満ちた遺跡……実に心躍る体験だったな！しかし、次々と現れる謎の数々……。疑問が増えるばかりではないか！			謎と危険に満ちた遺跡……実に心躍る体験だったな！しかし、次々と現れる謎の数々……。疑問が増えるばかりではないか！			閉ざされた扉の向こう							
ククク……。やはりあの遺跡には秘密があった……。			ククク……。やはりあの遺跡には秘密があった……。			閉ざされた扉の向こう							
機械生命体……アンドロイド……この力を手に入れれば……ワタシ達の計画も……。			機械生命体……アンドロイド……この力を手に入れれば……ワタシ達の計画も……。			閉ざされた扉の向こう							
おっと、何でもない……。今のは忘れてくれたまえ。			おっと、何でもない……。今のは忘れてくれたまえ。			閉ざされた扉の向こう							
ところで旅の者よ、キミに折り入って頼みたいことがある。そう、２Ｐから頼まれた鍵の件だ。			ところで旅の者よ、キミに折り入って頼みたいことがある。そう、２Ｐから頼まれた鍵の件だ。			閉ざされた扉の向こう							
ワレワレはこれから、遺跡の調査へ向かう。もちろん、キミも同行してくれるだろう？			ワレワレはこれから、遺跡の調査へ向かう。もちろん、キミも同行してくれるだろう？			閉ざされた扉の向こう							
何と言う？			何と言う？			閉ざされた扉の向こう							
またあの遺跡に行くのか……			またあの遺跡に行くのか……			閉ざされた扉の向こう							
アノッグは本当に強引だな……			アノッグは本当に強引だな……			閉ざされた扉の向こう							
まぁまぁ、そう言わずに。旅人は未知との出会いを求めるものだろう？さぁ！　早速遺跡へと向かうとしよう！			まぁまぁ、そう言わずに。旅人は未知との出会いを求めるものだろう？さぁ！　早速遺跡へと向かうとしよう！			閉ざされた扉の向こう							
おっと、その前に……キミにも情報収集に協力してもらいたいのだ。これを受け取ってくれたまえ。			おっと、その前に……キミにも情報収集に協力してもらいたいのだ。これを受け取ってくれたまえ。			閉ざされた扉の向こう							
ワレワレ特製の情報記録端末だ。遺跡で気になるものがあったら、これに記録してくれ。どんな些細なことでも構わないからな。			ワレワレ特製の情報記録端末だ。遺跡で気になるものがあったら、これに記録してくれ。どんな些細なことでも構わないからな。			閉ざされた扉の向こう							
キミも調査に必要な準備があったら、今のうちに済ませておくといい。用が済んだら、ワタシに話しかけてくれ。			キミも調査に必要な準備があったら、今のうちに済ませておくといい。用が済んだら、ワタシに話しかけてくれ。			閉ざされた扉の向こう							
メインコマンドの「コンテンツ情報」項目にある、「だいじなもの」内に、「情報記録端末」が追加されました。			メインコマンドの「コンテンツ情報」項目にある、「だいじなもの」内に、「情報記録端末」が追加されました。			閉ざされた扉の向こう							
物語に関わりのある場所に点在するデータを探し出して、「情報記録端末」のアーカイブを更新しましょう！			物語に関わりのある場所に点在するデータを探し出して、「情報記録端末」のアーカイブを更新しましょう！			閉ざされた扉の向こう							
えーと……まず、遺跡で凶暴な機械達が暴れていて……そこに人間そっくりなアンドロイドってやつが登場し……そして遺跡の奥には機械を操る別のアンドロイド……？			えーと……まず、遺跡で凶暴な機械達が暴れていて……そこに人間そっくりなアンドロイドってやつが登場し……そして遺跡の奥には機械を操る別のアンドロイド……？			閉ざされた扉の向こう							
だめだ……わけがわからねぇ……。			だめだ……わけがわからねぇ……。			閉ざされた扉の向こう							
あの遺跡……いったい、いつからあったのだろう……？			あの遺跡……いったい、いつからあったのだろう……？			閉ざされた扉の向こう							
活動を停止しているようだ……。			活動を停止しているようだ……。			閉ざされた扉の向こう							
機械遺跡の坑道のアノッグは、興奮しているようだ。			機械遺跡の坑道のアノッグは、興奮しているようだ。			機械遺跡の調査							
アノッグと話した。複製サレタ工場廃墟にいる「アノッグ」と話そう。			アノッグと話した。複製サレタ工場廃墟にいる「アノッグ」と話そう。			機械遺跡の調査							
アノッグと話した。今後の方針について、双子の意見が分かれたようだ。ふたりの話を聞いて、どちらに賛同するべきかを考えよう。			アノッグと話した。今後の方針について、双子の意見が分かれたようだ。ふたりの話を聞いて、どちらに賛同するべきかを考えよう。			機械遺跡の調査							
アノッグと話す			アノッグと話す			機械遺跡の調査							
準備はできたか？ワタシはもう待ちきれん！早く遺跡へと向かうぞ！			準備はできたか？ワタシはもう待ちきれん！早く遺跡へと向かうぞ！			機械遺跡の調査							
アノッグは言い出したらきかないですからね。こういうときは好きにさせるしかありません。			アノッグは言い出したらきかないですからね。こういうときは好きにさせるしかありません。			機械遺跡の調査							
アンドロイド……なんて素晴らしい……。アンドロイドは、人類を超える存在かもしれない……。			アンドロイド……なんて素晴らしい……。アンドロイドは、人類を超える存在かもしれない……。			機械遺跡の調査							
姉さん、ちょっとは疑うことを覚えたらどうだい？いつも後先考えず首を突っ込んで……。			姉さん、ちょっとは疑うことを覚えたらどうだい？いつも後先考えず首を突っ込んで……。			機械遺跡の調査							
ムム……なんだ弟よ、ワタシの意見に賛成できないというのか？			ムム……なんだ弟よ、ワタシの意見に賛成できないというのか？			機械遺跡の調査							
調査は必要だと思うけど、すべての情報を、あのアンドロイドに渡すのは賛成できないな……だって……彼女の言い分が正しいかどうかも、わからないじゃないか。			調査は必要だと思うけど、すべての情報を、あのアンドロイドに渡すのは賛成できないな……だって……彼女の言い分が正しいかどうかも、わからないじゃないか。			機械遺跡の調査							
ふん……よろしい。では今回の調査は別行動だ。			ふん……よろしい。では今回の調査は別行動だ。			機械遺跡の調査							
旅の者よ、キミはワタシかコノッグか、どちらの意見に賛同する？賛同する方についてきてくれたまえ。			旅の者よ、キミはワタシかコノッグか、どちらの意見に賛同する？賛同する方についてきてくれたまえ。			機械遺跡の調査							
アノッグは夢中になると、周りが見えなくなることがあります……。まったく……。			アノッグは夢中になると、周りが見えなくなることがあります……。まったく……。			機械遺跡の調査							
複製サレタ工場廃墟のコノッグは、旅の者の意見を聞きたいようだ。			複製サレタ工場廃墟のコノッグは、旅の者の意見を聞きたいようだ。			コノッグの慎重な調査							
コノッグと話し、遺跡の調査に同行することになった。複製サレタ工場廃墟の「コノッグ」と話そう。			コノッグと話し、遺跡の調査に同行することになった。複製サレタ工場廃墟の「コノッグ」と話そう。			コノッグの慎重な調査							
コノッグと話した。複製サレタ工場廃墟の「コノッグ」と再度話そう。			コノッグと話した。複製サレタ工場廃墟の「コノッグ」と再度話そう。			コノッグの慎重な調査							
コノッグと再度話した。遺跡の中で道に迷ってしまった場合は、箱型の転送装置を利用することで、入口まで戻ることができるようだ。複製サレタ工場廃墟を探索して、遺物などがあれば回収しよう。			コノッグと再度話した。遺跡の中で道に迷ってしまった場合は、箱型の転送装置を利用することで、入口まで戻ることができるようだ。複製サレタ工場廃墟を探索して、遺物などがあれば回収しよう。			コノッグの慎重な調査							
複製サレタ工場廃墟を探索して、壊れた機械部品を入手した。複製サレタ工場廃墟の「コノッグ」に渡そう。			複製サレタ工場廃墟を探索して、壊れた機械部品を入手した。複製サレタ工場廃墟の「コノッグ」に渡そう。			コノッグの慎重な調査							
コノッグに壊れた機械部品を渡した。コノッグの見立てでは、壊れた機械部品には他のパーツが存在しており、組み合わせることで何かの装置になる可能性があるようだ。複製サレタ工場廃墟を探索して、遺物を回収しよう。			コノッグに壊れた機械部品を渡した。コノッグの見立てでは、壊れた機械部品には他のパーツが存在しており、組み合わせることで何かの装置になる可能性があるようだ。複製サレタ工場廃墟を探索して、遺物を回収しよう。			コノッグの慎重な調査							
複製サレタ工場廃墟を探索して、汚れた機械部品、錆びた機械部品、壊れかけたポッドを入手した。複製サレタ工場廃墟の「コノッグ」に渡そう。			複製サレタ工場廃墟を探索して、汚れた機械部品、錆びた機械部品、壊れかけたポッドを入手した。複製サレタ工場廃墟の「コノッグ」に渡そう。			コノッグの慎重な調査							
複製サレタ工場廃墟で入手した遺物を「コノッグ」に渡した。調査を終えた一行が、機械遺跡の坑道に戻ろうとした時、アノッグの探査機が反応を示す。反応を頼りに遺跡の最奥部まで向かうと、そこには、２Ｐが倒したはずのアンドロイドの少年が倒れていた。アノッグは、少年を発見したことを、２Ｐには伏せておきたいという。複製サレタ工場廃墟の「アノッグ」と話そう。			複製サレタ工場廃墟で入手した遺物を「コノッグ」に渡した。調査を終えた一行が、機械遺跡の坑道に戻ろうとした時、アノッグの探査機が反応を示す。反応を頼りに遺跡の最奥部まで向かうと、そこには、２Ｐが倒したはずのアンドロイドの少年が倒れていた。アノッグは、少年を発見したことを、２Ｐには伏せておきたいという。複製サレタ工場廃墟の「アノッグ」と話そう。			コノッグの慎重な調査							
アノッグと話した。機械遺跡の坑道に戻り、「アノッグ」と話そう。			アノッグと話した。機械遺跡の坑道に戻り、「アノッグ」と話そう。			コノッグの慎重な調査							
アノッグと話した。遺跡で回収した遺物を組み上げたところ、何かの装置のような物が出来上がったという。ポッドによる装置の読み取り処理が終わるまで、しばらく待つことになりそうだ。コメラの村の「ドワーフ族の親方」と話そう。			アノッグと話した。遺跡で回収した遺物を組み上げたところ、何かの装置のような物が出来上がったという。ポッドによる装置の読み取り処理が終わるまで、しばらく待つことになりそうだ。コメラの村の「ドワーフ族の親方」と話そう。			コノッグの慎重な調査							
ドワーフ族の親方と話した。遺跡に始まり、アンドロイド、機械生命体と言った未知の存在の謎は深まるばかりだが、まずは、ポッドの分析が終わるのを待とう。			ドワーフ族の親方と話した。遺跡に始まり、アンドロイド、機械生命体と言った未知の存在の謎は深まるばかりだが、まずは、ポッドの分析が終わるのを待とう。			コノッグの慎重な調査							
複製サレタ工場廃墟のコノッグと話す			複製サレタ工場廃墟のコノッグと話す			コノッグの慎重な調査							
コノッグと再度話す			コノッグと再度話す			コノッグの慎重な調査							
複製サレタ工場廃墟を探索して遺物を回収			複製サレタ工場廃墟を探索して遺物を回収			コノッグの慎重な調査							
回収した遺物をコノッグに渡す			回収した遺物をコノッグに渡す			コノッグの慎重な調査							
複製サレタ工場廃墟を探索して遺物を回収			複製サレタ工場廃墟を探索して遺物を回収			コノッグの慎重な調査							
回収した遺物をコノッグに渡す			回収した遺物をコノッグに渡す			コノッグの慎重な調査							
アノッグと話す			アノッグと話す			コノッグの慎重な調査							
機械遺跡の坑道のアノッグと話す			機械遺跡の坑道のアノッグと話す			コノッグの慎重な調査							
コメラの村のドワーフ族の親方と話す			コメラの村のドワーフ族の親方と話す			コノッグの慎重な調査							
どうやらアノッグは、ボクの意見を聞く気はないようですね……。			どうやらアノッグは、ボクの意見を聞く気はないようですね……。			コノッグの慎重な調査							
ボクはあのアンドロイドをまだ信用することができません。調査は必要だとしても、そこで得た情報は慎重に管理すべきです。			ボクはあのアンドロイドをまだ信用することができません。調査は必要だとしても、そこで得た情報は慎重に管理すべきです。			コノッグの慎重な調査							
というわけで、今回の調査は別行動になります。アナタは「ボク」か「アノッグ」か、どちらについていくか選んでください。			というわけで、今回の調査は別行動になります。アナタは「ボク」か「アノッグ」か、どちらについていくか選んでください。			コノッグの慎重な調査							
「コノッグ」に声をかけてストーリーを進行させると、「アノッグ」に声をかけた場合のストーリーを、進行させることができません。			「コノッグ」に声をかけてストーリーを進行させると、「アノッグ」に声をかけた場合のストーリーを、進行させることができません。			コノッグの慎重な調査							
なお、どちらを進行しても、得られるアイテムや、挑戦できるコンテンツなどに、変化はありません。自身の価値観に従い、進むべき道を選択してください。			なお、どちらを進行しても、得られるアイテムや、挑戦できるコンテンツなどに、変化はありません。自身の価値観に従い、進むべき道を選択してください。			コノッグの慎重な調査							
「コノッグ」の考えに賛同して、ストーリーを進行させますか？			「コノッグ」の考えに賛同して、ストーリーを進行させますか？			コノッグの慎重な調査							
やはり経験豊富な旅人は聡明ですね。では、慎重に調査していきましょう。			やはり経験豊富な旅人は聡明ですね。では、慎重に調査していきましょう。			コノッグの慎重な調査							
このポッドとかいう機械、ずっとここにいるみたいだけど……とりあえず、ワレワレを運んでくれるみたいですね。これに掴まって、向こうまで行きましょう！			このポッドとかいう機械、ずっとここにいるみたいだけど……とりあえず、ワレワレを運んでくれるみたいですね。これに掴まって、向こうまで行きましょう！			コノッグの慎重な調査							
そうだ、先に進む前に、遺跡の中で道に迷ってしまった時の対処を決めておきましょう。			そうだ、先に進む前に、遺跡の中で道に迷ってしまった時の対処を決めておきましょう。			コノッグの慎重な調査							
前回ここに来た時、箱型の転送装置を利用しましたか？どうやら、これを使えば遺跡の入口まで戻れるようです。遺跡を引き返すときは、この機械を使いましょう。			前回ここに来た時、箱型の転送装置を利用しましたか？どうやら、これを使えば遺跡の入口まで戻れるようです。遺跡を引き返すときは、この機械を使いましょう。			コノッグの慎重な調査							
奥へ向かうほど、元の場所に戻るのが難しくなるだろうから、気を付けて先に進みましょう。			奥へ向かうほど、元の場所に戻るのが難しくなるだろうから、気を付けて先に進みましょう。			コノッグの慎重な調査							
遺跡の中で変わったものを発見したら、ボクに渡してください。それでは調査に向かいますよ。			遺跡の中で変わったものを発見したら、ボクに渡してください。それでは調査に向かいますよ。			コノッグの慎重な調査							
先に進む前に、この辺をもっと調査してみましょう。			先に進む前に、この辺をもっと調査してみましょう。			コノッグの慎重な調査							
おや、何か気になる物でもありましたか？			おや、何か気になる物でもありましたか？			コノッグの慎重な調査							
これは、何かのパーツみたいだ。でも……部品が足りない？			これは、何かのパーツみたいだ。でも……部品が足りない？			コノッグの慎重な調査							
これを組み立てると、何かの装置になるのかもしれない。ほかにもパーツが落ちていないか、探してみましょう。			これを組み立てると、何かの装置になるのかもしれない。ほかにもパーツが落ちていないか、探してみましょう。			コノッグの慎重な調査							
遺跡で拾ったものを渡してください。			遺跡で拾ったものを渡してください。			コノッグの慎重な調査							
何か見つけたのか？ワタシにも見せてくれ！			何か見つけたのか？ワタシにも見せてくれ！			コノッグの慎重な調査							
どれどれ、パーツはすべて集まったかな？むむ……この壊れかけた機械は……ポッドじゃないか！			どれどれ、パーツはすべて集まったかな？むむ……この壊れかけた機械は……ポッドじゃないか！			コノッグの慎重な調査							
アノッグ……この機械、何か喋ってる……？			アノッグ……この機械、何か喋ってる……？			コノッグの慎重な調査							
……修復……機能確認……。……処理プロセス……起動……。			……修復……機能確認……。……処理プロセス……起動……。			コノッグの慎重な調査							
……付近に……を検知……。複数の生体反応を……確認しました。			……付近に……を検知……。複数の生体反応を……確認しました。			コノッグの慎重な調査							
生体反応……それって、ワレワレのこと？			生体反応……それって、ワレワレのこと？			コノッグの慎重な調査							
周りのものを読み取って、認識する機能があるのか……？壊れかけのようだが、何かの役に立ちそうだ。これも持って帰ろう。			周りのものを読み取って、認識する機能があるのか……？壊れかけのようだが、何かの役に立ちそうだ。これも持って帰ろう。			コノッグの慎重な調査							
向こうの方から、反応があるぞ……。行ってみよう。			向こうの方から、反応があるぞ……。行ってみよう。			コノッグの慎重な調査							
ア、アレは！			ア、アレは！			コノッグの慎重な調査							
確かにここから落ちたはずなのに……自力で戻ってきたのか……？…………どうするの？　アノッグ。			確かにここから落ちたはずなのに……自力で戻ってきたのか……？…………どうするの？　アノッグ。			コノッグの慎重な調査							
あの２Ｐって女が知ったら、「壊せ」って言う可能性があるな……。			あの２Ｐって女が知ったら、「壊せ」って言う可能性があるな……。			コノッグの慎重な調査							
こいつは調べたほうがいいかもしれない……。持って帰って、ワタシ達だけの秘密にしておこう。			こいつは調べたほうがいいかもしれない……。持って帰って、ワタシ達だけの秘密にしておこう。			コノッグの慎重な調査							
コノッグとの調査は終わったのか？興味深い発見があったら、ワタシにも教えてくれたまえ。			コノッグとの調査は終わったのか？興味深い発見があったら、ワタシにも教えてくれたまえ。			コノッグの慎重な調査							
ワタシはコノッグとともに拠点に戻る。早速、遺跡で見つけたものを調べないといけないからな。			ワタシはコノッグとともに拠点に戻る。早速、遺跡で見つけたものを調べないといけないからな。			コノッグの慎重な調査							
キミもこの遺跡を調べ終えたなら、拠点に顔をだしてくれたまえ。			キミもこの遺跡を調べ終えたなら、拠点に顔をだしてくれたまえ。			コノッグの慎重な調査							
調査に協力してくれて、ありがとうございました。しかし、大変なのはこれから……遺跡の謎を解明しないといけないですからね。			調査に協力してくれて、ありがとうございました。しかし、大変なのはこれから……遺跡の謎を解明しないといけないですからね。			コノッグの慎重な調査							
戻ったか、旅の者よ。遺跡で集めたパーツを組み上げてみたのだが……。どうやら、何かの装置みたいなんだ。			戻ったか、旅の者よ。遺跡で集めたパーツを組み上げてみたのだが……。どうやら、何かの装置みたいなんだ。			コノッグの慎重な調査							
何かわからないかと思って、ポッドに読み取らせてみたのだが、「複合処理プロセス」というものを行っているらしい。			何かわからないかと思って、ポッドに読み取らせてみたのだが、「複合処理プロセス」というものを行っているらしい。			コノッグの慎重な調査							
……まぁ、それが何のことなのかは、結局のところわからないのだが……とにかくその処理に時間がかかるらしい。			……まぁ、それが何のことなのかは、結局のところわからないのだが……とにかくその処理に時間がかかるらしい。			コノッグの慎重な調査							
とりあえずはその計算待ち……という事になるな。			とりあえずはその計算待ち……という事になるな。			コノッグの慎重な調査							
