ワチュメキメキ万貨街のパメカは、こちらの様子を窺っている。			ワチュメキメキ万貨街のパメカは、こちらの様子を窺っている。			不思議なお話を							
ワチュメキメキ万貨街のパメカは、早くも次の依頼に取り掛かりたいようだ。			ワチュメキメキ万貨街のパメカは、早くも次の依頼に取り掛かりたいようだ。			土に囲まれて							
パメカから装丁に使う部材の製作を依頼された。「モブリン様式の装丁部材」を6個製作し、ワチュメキメキ万貨街の「パメカ」へ納品しよう。※納品は、収集価値「230」以上で可能となりますが、「470」以上で納品した場合、より多くの報酬が得られます。			パメカから装丁に使う部材の製作を依頼された。「モブリン様式の装丁部材」を6個製作し、ワチュメキメキ万貨街の「パメカ」へ納品しよう。※納品は、収集価値「230」以上で可能となりますが、「470」以上で納品した場合、より多くの報酬が得られます。			土に囲まれて							
パメカに「モブリン様式の装丁部材」を納品した。デモウェニが語る次の物語に向けて、準備が整い次第ふたたびパメカに声をかけよう。			パメカに「モブリン様式の装丁部材」を納品した。デモウェニが語る次の物語に向けて、準備が整い次第ふたたびパメカに声をかけよう。			土に囲まれて							
パメカにモブリン様式の装丁部材を納品			パメカにモブリン様式の装丁部材を納品			土に囲まれて							
これは、Forename君。前回は、ペルペル族の物語についての本ということで、オルコ・パチャ産の素材を使って装丁部材を作りました。			これは、Forename君。前回は、ペルペル族の物語についての本ということで、オルコ・パチャ産の素材を使って装丁部材を作りました。			土に囲まれて							
その結果、物語の世界観が感じられる、素晴らしい装丁に仕上がったと思います。今後も同じ方針で進めていきましょう！			その結果、物語の世界観が感じられる、素晴らしい装丁に仕上がったと思います。今後も同じ方針で進めていきましょう！			土に囲まれて							
次はモブリン族の物語ということでしたが、彼らはハヌハヌ族と同じ、コザマル・カで暮らしています。ちゃんと両者の差別化を図りたいところですね。			次はモブリン族の物語ということでしたが、彼らはハヌハヌ族と同じ、コザマル・カで暮らしています。ちゃんと両者の差別化を図りたいところですね。			土に囲まれて							
コザマル・カで採れる素材の中でも、モブリン族の文化に馴染んだものを選ぶのがよさそうです。「モブリン様式の装丁部材」の準備をお願いします！			コザマル・カで採れる素材の中でも、モブリン族の文化に馴染んだものを選ぶのがよさそうです。「モブリン様式の装丁部材」の準備をお願いします！			土に囲まれて							
モブリン族の物語を本にするにあたって必要な、「モブリン様式の装丁部材」の準備をお願いします！			モブリン族の物語を本にするにあたって必要な、「モブリン様式の装丁部材」の準備をお願いします！			土に囲まれて							
常にマスクで顔を覆ったモブリン族のように、神秘的な雰囲気を漂わせる、素晴らしい装丁部材ですね！			常にマスクで顔を覆ったモブリン族のように、神秘的な雰囲気を漂わせる、素晴らしい装丁部材ですね！			土に囲まれて							
これに使われているのは、コザマル・カ特有のウコギ材？……なるほど、想像が膨らんできました。私の筆も、ノリノリで走りそうです！			これに使われているのは、コザマル・カ特有のウコギ材？……なるほど、想像が膨らんできました。私の筆も、ノリノリで走りそうです！			土に囲まれて							
さて、今回語るはモブリン族の物語。彼らには独自の文化がさまざまあるけれども……			さて、今回語るはモブリン族の物語。彼らには独自の文化がさまざまあるけれども……			土に囲まれて							
あの、デモウェニ君。椅子に座らないのですか？			あの、デモウェニ君。椅子に座らないのですか？			土に囲まれて							
おっと、これは失礼！けど、普段は店内で立ったまま物語を披露してるんで、こうしてた方が、語りに熱が入ると思うんだ。			おっと、これは失礼！けど、普段は店内で立ったまま物語を披露してるんで、こうしてた方が、語りに熱が入ると思うんだ。			土に囲まれて							
はあ、キミが良いのでしたら、こちらは構いません。……それではどうぞ。			はあ、キミが良いのでしたら、こちらは構いません。……それではどうぞ。			土に囲まれて							
皆さんはモブリン族と聞いて、何を思い描くだろうか。顔を覆うマスク、大きな背負子(しょいこ)、それとも……？これは、彼らが大事にしている「壺」に関する物語。			皆さんはモブリン族と聞いて、何を思い描くだろうか。顔を覆うマスク、大きな背負子(しょいこ)、それとも……？これは、彼らが大事にしている「壺」に関する物語。			土に囲まれて							
あるとき、日々の放浪生活に疲れたモブリン族の一団が、定住を望み、地下深くの洞窟を根城に生活を始めた。			あるとき、日々の放浪生活に疲れたモブリン族の一団が、定住を望み、地下深くの洞窟を根城に生活を始めた。			土に囲まれて							
彼らは必要な品をあちこちから調達し、壺に貯め込みながら、快適な我が家をつくりあげていった。しかし、物を集め過ぎたせいで洞窟はすぐに手狭に……。			彼らは必要な品をあちこちから調達し、壺に貯め込みながら、快適な我が家をつくりあげていった。しかし、物を集め過ぎたせいで洞窟はすぐに手狭に……。			土に囲まれて							
そこで彼らはツルハシを振るい、奥底へと穴を拡張……やがて地下に広がる一大都市を築くまでに至った！			そこで彼らはツルハシを振るい、奥底へと穴を拡張……やがて地下に広がる一大都市を築くまでに至った！			土に囲まれて							
……だが、その栄華も長くは続かなかった。あまりに遠くまでトンネルを掘ったため、彼らは海との境目に穴を開けてしまったのだ。			……だが、その栄華も長くは続かなかった。あまりに遠くまでトンネルを掘ったため、彼らは海との境目に穴を開けてしまったのだ。			土に囲まれて							
暴れ狂う濁流に呑まれたモブリンたち。自慢のマスクが仇となり、すぐさま窒息寸前に！			暴れ狂う濁流に呑まれたモブリンたち。自慢のマスクが仇となり、すぐさま窒息寸前に！			土に囲まれて							
これまで必死に貯め込んだものを手放したくない……その一心で、彼らは己の身体を壺の中へと潜らせた！			これまで必死に貯め込んだものを手放したくない……その一心で、彼らは己の身体を壺の中へと潜らせた！			土に囲まれて							
こうして濁流をやり過ごした彼らは、どうにか地上に這い上がると、地底暮らしはこりごりだと、密林の中に新たな集落を築いた。			こうして濁流をやり過ごした彼らは、どうにか地上に這い上がると、地底暮らしはこりごりだと、密林の中に新たな集落を築いた。			土に囲まれて							
このとき、自分たちの命と財貨を守った壺に感謝し、丸みを帯びた陶器で家屋や工房を建てたという。			このとき、自分たちの命と財貨を守った壺に感謝し、丸みを帯びた陶器で家屋や工房を建てたという。			土に囲まれて							
では、モブリン族の地底都市はどうなったのか？その正確な場所は忘れ去られたが、このトラル大陸のどこかに、水に沈んだ都、ムバルポロスは眠っているという……。			では、モブリン族の地底都市はどうなったのか？その正確な場所は忘れ去られたが、このトラル大陸のどこかに、水に沈んだ都、ムバルポロスは眠っているという……。			土に囲まれて							
毎度のことながら、惚れ惚れするような出来映え……物語をしっかりと聞いて、イメージを膨らませてくれたんですね！			毎度のことながら、惚れ惚れするような出来映え……物語をしっかりと聞いて、イメージを膨らませてくれたんですね！			土に囲まれて							
何と言う？			何と言う？			土に囲まれて							
モブリン族はたくましすぎる			モブリン族はたくましすぎる			土に囲まれて							
安心できる環境づくりは重要だ			安心できる環境づくりは重要だ			土に囲まれて							
ええ、モブリン族は自分たちが住みやすいように、環境の方を変えてしまうんだとか。トライヨラに馴染もうとしてる僕とは大違いだ。			ええ、モブリン族は自分たちが住みやすいように、環境の方を変えてしまうんだとか。トライヨラに馴染もうとしてる僕とは大違いだ。			土に囲まれて							
ええ、人には最高の環境を求め続けるという、本能があるのかもしれません。			ええ、人には最高の環境を求め続けるという、本能があるのかもしれません。			土に囲まれて							
以前に話したハヌハヌ族の物語もそうですが……いかにして自分たちが、ここに暮らすようになったのかを、語った物語は多いんですよ。			以前に話したハヌハヌ族の物語もそうですが……いかにして自分たちが、ここに暮らすようになったのかを、語った物語は多いんですよ。			土に囲まれて							
パメカさんの一族にも、何かしらあるんじゃないですか？			パメカさんの一族にも、何かしらあるんじゃないですか？			土に囲まれて							
……私は、トライヨラ生まれのトライヨラ育ちです。一族のルーツがどこにあるかということさえ、これまで考えたこともありませんでした。			……私は、トライヨラ生まれのトライヨラ育ちです。一族のルーツがどこにあるかということさえ、これまで考えたこともありませんでした。			土に囲まれて							
もしかして私は、自分の一族に関する語り継ぐべき物語を、すでに失ってしまっているのでしょうか……。			もしかして私は、自分の一族に関する語り継ぐべき物語を、すでに失ってしまっているのでしょうか……。			土に囲まれて							
ちょっと気になってきました。自分の御先祖様がどんな物語を持っていたのか、調べてみようかな。			ちょっと気になってきました。自分の御先祖様がどんな物語を持っていたのか、調べてみようかな。			土に囲まれて							
いいですね！何かわかったら、ぜひ僕にも聞かせてください。			いいですね！何かわかったら、ぜひ僕にも聞かせてください。			土に囲まれて							
最近、少しずつ文字が読めるようになって、これまで以上に、物語に興味が湧いてきてまして……。それでは、僕はこれで失礼します。			最近、少しずつ文字が読めるようになって、これまで以上に、物語に興味が湧いてきてまして……。それでは、僕はこれで失礼します。			土に囲まれて							
パメカの筆記工房の貢献ランクが上昇しました！パメカはあなたの事を、「創意あふれる装丁家」と感じているようです！			パメカの筆記工房の貢献ランクが上昇しました！パメカはあなたの事を、「創意あふれる装丁家」と感じているようです！			土に囲まれて							
また、「パメカ」から受注可能な、万貨街取引のストーリークエストが発行されました！			また、「パメカ」から受注可能な、万貨街取引のストーリークエストが発行されました！			土に囲まれて							
このストーリークエストを進行するためには、「メインクエスト：黄金のレガシー」の、「ウクラマトの平和」を完了する必要があります。			このストーリークエストを進行するためには、「メインクエスト：黄金のレガシー」の、「ウクラマトの平和」を完了する必要があります。			土に囲まれて							
ワチュメキメキ万貨街のパメカは、やる気に満ちているようだ。			ワチュメキメキ万貨街のパメカは、やる気に満ちているようだ。			文字では伝わらない想い							
パメカと話した。彼女は自分の一族について調べるため、実家へ帰るようだ。トライヨラのエクワーヤ広場で待ち合わせすべく、「指定地点」で待機しよう。			パメカと話した。彼女は自分の一族について調べるため、実家へ帰るようだ。トライヨラのエクワーヤ広場で待ち合わせすべく、「指定地点」で待機しよう。			文字では伝わらない想い							
パメカの曽祖父が遺していた石板が見つかった。描かれた内容を知るため、オルコ・パチャのウォーラーの残響にいる「パメカ」と話そう。			パメカの曽祖父が遺していた石板が見つかった。描かれた内容を知るため、オルコ・パチャのウォーラーの残響にいる「パメカ」と話そう。			文字では伝わらない想い							
パメカを連れてウォーラーの残響にいる人々と話し、石板に描かれた内容を教えてもらおう。※同行状態が解除された場合、再度「パメカ」に話しかけることで同行を再開できます。			パメカを連れてウォーラーの残響にいる人々と話し、石板に描かれた内容を教えてもらおう。※同行状態が解除された場合、再度「パメカ」に話しかけることで同行を再開できます。			文字では伝わらない想い							
80年ほど前にパメカの曽祖父と会った人物がいるかもしれない。パメカを連れてウォーラーの残響にいる「ヨカフイ族の石工」を探そう。			80年ほど前にパメカの曽祖父と会った人物がいるかもしれない。パメカを連れてウォーラーの残響にいる「ヨカフイ族の石工」を探そう。			文字では伝わらない想い							
ヨカフイ族の石工と話した。ウォーラーの残響にいる「パメカ」と話そう。			ヨカフイ族の石工と話した。ウォーラーの残響にいる「パメカ」と話そう。			文字では伝わらない想い							
パメカの一族に関する物語を製本することになった。「ヨカフイの伝統素材」をもとに「ヨカフイ様式の装丁」を製作し、ウォーラーの残響にいる「パメカ」に納品しよう。※「ヨカフイの伝統素材」を失った場合は、ウォーラーの残響にいるヨカフイ族の石工に話しかけましょう。材料を入手し、再挑戦が可能になります。			パメカの一族に関する物語を製本することになった。「ヨカフイの伝統素材」をもとに「ヨカフイ様式の装丁」を製作し、ウォーラーの残響にいる「パメカ」に納品しよう。※「ヨカフイの伝統素材」を失った場合は、ウォーラーの残響にいるヨカフイ族の石工に話しかけましょう。材料を入手し、再挑戦が可能になります。			文字では伝わらない想い							
パメカにヨカフイ様式の装丁を納品し、本を完成させた。ワチュメキメキ万貨街の「パメカ」と話そう。			パメカにヨカフイ様式の装丁を納品し、本を完成させた。ワチュメキメキ万貨街の「パメカ」と話そう。			文字では伝わらない想い							
パメカと話した。彼女はできあがった本をデモウェニにも読んでもらいたいようだ。次の依頼が来るのを心待ちにしよう。			パメカと話した。彼女はできあがった本をデモウェニにも読んでもらいたいようだ。次の依頼が来るのを心待ちにしよう。			文字では伝わらない想い							
指定地点で待機			指定地点で待機			文字では伝わらない想い							
ウォーラーの残響のパメカと話して同行させる			ウォーラーの残響のパメカと話して同行させる			文字では伝わらない想い							
パメカを連れてヨカフイ族と話す			パメカを連れてヨカフイ族と話す			文字では伝わらない想い							
パメカを連れてヨカフイ族の石工を探す			パメカを連れてヨカフイ族の石工を探す			文字では伝わらない想い							
パメカと話す			パメカと話す			文字では伝わらない想い							
製作手帳 万貨街取引：ヨカフイ様式の装丁を製作パメカにヨカフイ様式の装丁を納品			製作手帳 万貨街取引：ヨカフイ様式の装丁を製作パメカにヨカフイ様式の装丁を納品			文字では伝わらない想い							
トライヨラのパメカと話す			トライヨラのパメカと話す			文字では伝わらない想い							
本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「ウクラマトの平和」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「ウクラマトの平和」を完了する必要があります。			文字では伝わらない想い							
デモウェニ君の一族が、自分たちだけの伝承を語り継いでいるというお話を聞いて……私の一族にも何か伝わる物語がないか、興味が湧きました。			デモウェニ君の一族が、自分たちだけの伝承を語り継いでいるというお話を聞いて……私の一族にも何か伝わる物語がないか、興味が湧きました。			文字では伝わらない想い							
ちょうど通常の業務もすべて片づいてるので、店を閉めて、両親に話を聞きにいこうかと。内容次第では、そのまま街の外に調べに出掛けるかもしれません。			ちょうど通常の業務もすべて片づいてるので、店を閉めて、両親に話を聞きにいこうかと。内容次第では、そのまま街の外に調べに出掛けるかもしれません。			文字では伝わらない想い							
ただ、トライヨラの外には不慣れでして、キミについてきてもらえると助かるのですが……。			ただ、トライヨラの外には不慣れでして、キミについてきてもらえると助かるのですが……。			文字では伝わらない想い							
ありがとうございます！では、ひとまず実家で話を聞いてきますので、のちほど「エクワーヤ広場」で待ち合わせましょう！			ありがとうございます！では、ひとまず実家で話を聞いてきますので、のちほど「エクワーヤ広場」で待ち合わせましょう！			文字では伝わらない想い							
店を閉めてから、実家へ向かいます。のちほど、「エクワーヤ広場」で待ち合わせましょう！			店を閉めてから、実家へ向かいます。のちほど、「エクワーヤ広場」で待ち合わせましょう！			文字では伝わらない想い							
お待たせしました。私の御先祖様について、いくつかわかったことがあります。			お待たせしました。私の御先祖様について、いくつかわかったことがあります。			文字では伝わらない想い							
うちの一族は曽祖父の代に、トライヨラ建国とともにサカ・トラルから移住してきたそうです。ただ、それ以前のことは、両親も知らないようでした。			うちの一族は曽祖父の代に、トライヨラ建国とともにサカ・トラルから移住してきたそうです。ただ、それ以前のことは、両親も知らないようでした。			文字では伝わらない想い							
そこで、何か手がかりがないか蔵の中を探してみたら、絵文字が描かれた、出どころ不明の石板が見つかりましてね。			そこで、何か手がかりがないか蔵の中を探してみたら、絵文字が描かれた、出どころ不明の石板が見つかりましてね。			文字では伝わらない想い							
曽祖父は王宮に仕える役人だったそうですが、職務の秘密を家族に話すような人ではなく……この石板の由来も不明なのだとか。			曽祖父は王宮に仕える役人だったそうですが、職務の秘密を家族に話すような人ではなく……この石板の由来も不明なのだとか。			文字では伝わらない想い							
何と言う？			何と言う？			文字では伝わらない想い							
絵文字といえば叙事詩の石塔……			絵文字といえば叙事詩の石塔……			文字では伝わらない想い							
石といえばヨカフイ族の文化だ			石といえばヨカフイ族の文化だ			文字では伝わらない想い							
金煌なる旅程の石塔ですね。あの絵文字を描いたのはマムージャ族ですが、元を辿ればヨカフイ族の文化だったはず……。			金煌なる旅程の石塔ですね。あの絵文字を描いたのはマムージャ族ですが、元を辿ればヨカフイ族の文化だったはず……。			文字では伝わらない想い							
たしかに、石を記録媒体としていることからも、ヨカフイ族の手によるものと考えるのが自然ですね。			たしかに、石を記録媒体としていることからも、ヨカフイ族の手によるものと考えるのが自然ですね。			文字では伝わらない想い							
石板をヨカフイ族に見せれば、曽祖父の仕事について、何かしらの手がかりが得られるかもしれません。			石板をヨカフイ族に見せれば、曽祖父の仕事について、何かしらの手がかりが得られるかもしれません。			文字では伝わらない想い							
ならばこれから、私をヨカフイ族たちが暮らす集落、「ウォーラーの残響」に連れていってくれませんか！？			ならばこれから、私をヨカフイ族たちが暮らす集落、「ウォーラーの残響」に連れていってくれませんか！？			文字では伝わらない想い							
ありがとうございます！さっそくですが出発しましょう！			ありがとうございます！さっそくですが出発しましょう！			文字では伝わらない想い							
着きましたね。ここがヨカフイ族たちが暮らす場所……！			着きましたね。ここがヨカフイ族たちが暮らす場所……！			文字では伝わらない想い							
石柱に彫られている絵文字は、うちの石板に描かれたものと同じ系統のように見えます。			石柱に彫られている絵文字は、うちの石板に描かれたものと同じ系統のように見えます。			文字では伝わらない想い							
こちらの集落の皆さんなら、この石板に込められた意味も読み解けるはず。さっそく声をかけて、協力を仰いでみましょう。			こちらの集落の皆さんなら、この石板に込められた意味も読み解けるはず。さっそく声をかけて、協力を仰いでみましょう。			文字では伝わらない想い							
とはいえ不慣れな私では、知らずに失礼を働きかねません。ヨカフイ族とも交流した経験のあるキミに、先導をお願いさせてください！			とはいえ不慣れな私では、知らずに失礼を働きかねません。ヨカフイ族とも交流した経験のあるキミに、先導をお願いさせてください！			文字では伝わらない想い							
何をする？			何をする？			文字では伝わらない想い							
話す			話す			文字では伝わらない想い							
同行状態を解除する			同行状態を解除する			文字では伝わらない想い							
キャンセル			キャンセル			文字では伝わらない想い							
ヨカフイ族には、今も独自の言葉を使う方々もいるそうですが、ここの皆さんはトラル公用語を使うみたいです。			ヨカフイ族には、今も独自の言葉を使う方々もいるそうですが、ここの皆さんはトラル公用語を使うみたいです。			文字では伝わらない想い							
公用語の文字も読み書きできるのかもしれませんが、それでも絵文字という文化を大事に継承しているのでしょうね。			公用語の文字も読み書きできるのかもしれませんが、それでも絵文字という文化を大事に継承しているのでしょうね。			文字では伝わらない想い							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			文字では伝わらない想い							
えっ、ここで私をひとりにするんですか……！？では、さっきのところで待ってますので、必ず迎えに来てくださいね……！			えっ、ここで私をひとりにするんですか……！？では、さっきのところで待ってますので、必ず迎えに来てくださいね……！			文字では伝わらない想い							
ほかの用事は済んだんですか？それでは出発しましょう。			ほかの用事は済んだんですか？それでは出発しましょう。			文字では伝わらない想い							
「カーリョーザー祭拝殿」について話す			「カーリョーザー祭拝殿」について話す			文字では伝わらない想い							
ここが、ヴァリガルマンダが封印されていた拝殿ですか……。かの「生ける天災」に関する逸話はあまりに有名、まさに物語を持った建物と言えるでしょう。			ここが、ヴァリガルマンダが封印されていた拝殿ですか……。かの「生ける天災」に関する逸話はあまりに有名、まさに物語を持った建物と言えるでしょう。			文字では伝わらない想い							
しかし、ここにかぎらず、建物とはどのようなものであれ、何かしらの目的をもって造られています。			しかし、ここにかぎらず、建物とはどのようなものであれ、何かしらの目的をもって造られています。			文字では伝わらない想い							
中には、今では遺跡となった用途不明の建物もありますが、考古学者たちは、立地や間取り、建材や装飾などから、その正体を……固有の物語を解き明かすのだとか。			中には、今では遺跡となった用途不明の建物もありますが、考古学者たちは、立地や間取り、建材や装飾などから、その正体を……固有の物語を解き明かすのだとか。			文字では伝わらない想い							
文字などなくても、人は歴史を紡げるんですね。うーん、私には想像できない世界です……！			文字などなくても、人は歴史を紡げるんですね。うーん、私には想像できない世界です……！			文字では伝わらない想い							
私に見てもらいたいものがある、と。少しの間でよければ構いませんが、実物はどこに……？			私に見てもらいたいものがある、と。少しの間でよければ構いませんが、実物はどこに……？			文字では伝わらない想い							
継承の儀の試練は終わったはずだが。わざわざトライヨラから、いったいどうしてまた？			継承の儀の試練は終わったはずだが。わざわざトライヨラから、いったいどうしてまた？			文字では伝わらない想い							
ふわぁ……石板の絵文字を読んでほしい？……いいけど、それじゃあ見せてよ。			ふわぁ……石板の絵文字を読んでほしい？……いいけど、それじゃあ見せてよ。			文字では伝わらない想い							
このクエストを進行させるには、パメカが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、パメカが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			文字では伝わらない想い							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			文字では伝わらない想い							
ふむ、先祖伝来の石板を解読したい、と……？立て込んでるので、少しであれば構いませんよ。			ふむ、先祖伝来の石板を解読したい、と……？立て込んでるので、少しであれば構いませんよ。			文字では伝わらない想い							
これは……比較的新しいものですね。今から80年ほど前の日付が描かれています。			これは……比較的新しいものですね。今から80年ほど前の日付が描かれています。			文字では伝わらない想い							
この石板を持つ者は連王の家臣であることから、客分として、ここに滞在中の便宜を図るべし……と。なんというか、滞在許可証のようなものでしょう。			この石板を持つ者は連王の家臣であることから、客分として、ここに滞在中の便宜を図るべし……と。なんというか、滞在許可証のようなものでしょう。			文字では伝わらない想い							
あのころは、まだ戦争が終わったばかりで、今ほど自由に人々が往来してはいなかったと聞きます。だから、このような石板が必要だったのかもしれませんね。			あのころは、まだ戦争が終わったばかりで、今ほど自由に人々が往来してはいなかったと聞きます。だから、このような石板が必要だったのかもしれませんね。			文字では伝わらない想い							
この石板を持っていた人は、客分としてこの集落に滞在していたようですね。当時のことは、自分はよくわからず……すみません。			この石板を持っていた人は、客分としてこの集落に滞在していたようですね。当時のことは、自分はよくわからず……すみません。			文字では伝わらない想い							
こんなところまで来るとは、ずいぶんと暇なようだ。用があるなら、さっさと済ませてくれ。			こんなところまで来るとは、ずいぶんと暇なようだ。用があるなら、さっさと済ませてくれ。			文字では伝わらない想い							
この石板の持ち主についていろいろと描かれているな。トライヨラから来たとかなんとか、お前たちも知っていそうなことは飛ばそう。			この石板の持ち主についていろいろと描かれているな。トライヨラから来たとかなんとか、お前たちも知っていそうなことは飛ばそう。			文字では伝わらない想い							
ハッキリとはわからんが、どうも新しい文字を作り出すため、トラル大陸中の文化を学んでいる男だということらしい。新しい文字とは、いったい何のことだろうか……。			ハッキリとはわからんが、どうも新しい文字を作り出すため、トラル大陸中の文化を学んでいる男だということらしい。新しい文字とは、いったい何のことだろうか……。			文字では伝わらない想い							
石板の持ち主は、新しい文字を作ろうとした男らしいが……何のことだかサッパリわからん。私も忙しいので、これくらいでいいかね。			石板の持ち主は、新しい文字を作ろうとした男らしいが……何のことだかサッパリわからん。私も忙しいので、これくらいでいいかね。			文字では伝わらない想い							
ふわぁ……石板の絵文字を読んでみてほしい？今すごい眠いんだけど、しょうがないなぁ……。			ふわぁ……石板の絵文字を読んでみてほしい？今すごい眠いんだけど、しょうがないなぁ……。			文字では伝わらない想い							
う～ん……どうやら、この石板の持ち主も、今の君たちのように絵文字を学びに来たようだ。			う～ん……どうやら、この石板の持ち主も、今の君たちのように絵文字を学びに来たようだ。			文字では伝わらない想い							
ヨカフイ族の石工を訪ねるのが目的だったみたい。ここの者なら誰でも絵文字を描けるけど、石に刻んで記録を残すのは、専門の石工の仕事だから……。			ヨカフイ族の石工を訪ねるのが目的だったみたい。ここの者なら誰でも絵文字を描けるけど、石に刻んで記録を残すのは、専門の石工の仕事だから……。			文字では伝わらない想い							
石工から何をどう学んだのか……その内容までは全然わからないなぁ。ごめん、こんなところでいい……？			石工から何をどう学んだのか……その内容までは全然わからないなぁ。ごめん、こんなところでいい……？			文字では伝わらない想い							
ふわぁ……とりあえず、石工を訪ねたと描いてあるね。それ以上のことは、ほかの人に聞いて……。			ふわぁ……とりあえず、石工を訪ねたと描いてあるね。それ以上のことは、ほかの人に聞いて……。			文字では伝わらない想い							
お話をまとめると……私の曽祖父は、連王の家臣として、客分の扱いを受けてこちらの集落に滞在していた、と。			お話をまとめると……私の曽祖父は、連王の家臣として、客分の扱いを受けてこちらの集落に滞在していた、と。			文字では伝わらない想い							
そして、どうも新しい文字とやらを作るため、各地を巡っており、ヨカフイ族の絵文字のことも学ぼうとしていた……。			そして、どうも新しい文字とやらを作るため、各地を巡っており、ヨカフイ族の絵文字のことも学ぼうとしていた……。			文字では伝わらない想い							
80年ほど前のことなら、もしかすると当時応対した方が、まだこの集落にいるかもしれませんね。「ヨカフイ族の石工」さんを探して聞いてみましょう！			80年ほど前のことなら、もしかすると当時応対した方が、まだこの集落にいるかもしれませんね。「ヨカフイ族の石工」さんを探して聞いてみましょう！			文字では伝わらない想い							
おや、私に何か御用ですか？作業中につき、用がないなら失礼しますよ。			おや、私に何か御用ですか？作業中につき、用がないなら失礼しますよ。			文字では伝わらない想い							
ええ、私は80年以上前から石工をしていますが……。何が知りたいのです？			ええ、私は80年以上前から石工をしていますが……。何が知りたいのです？			文字では伝わらない想い							
……ああ、思い出しました。トライヨラ建国の直後のこと、この石板を持った男性が、こちらに滞在していたことがありましたね。			……ああ、思い出しました。トライヨラ建国の直後のこと、この石板を持った男性が、こちらに滞在していたことがありましたね。			文字では伝わらない想い							
やはりそうでしたか。私の曽祖父は、なぜ絵文字を学ぼうとしたのでしょう？			やはりそうでしたか。私の曽祖父は、なぜ絵文字を学ぼうとしたのでしょう？			文字では伝わらない想い							
それは、彼が新しい文字を作ろうとしていたからですよ。当時、トライヨラでは理王グルージャジャのもとで、「公用語」を作ろうとしていましたから……。			それは、彼が新しい文字を作ろうとしていたからですよ。当時、トライヨラでは理王グルージャジャのもとで、「公用語」を作ろうとしていましたから……。			文字では伝わらない想い							
そのころは、グルージャジャ様が大陸統一を成し遂げたばかり。様々な部族がトライヨラに集まっていましたから、言葉の違いによる問題も多かったのだとか。			そのころは、グルージャジャ様が大陸統一を成し遂げたばかり。様々な部族がトライヨラに集まっていましたから、言葉の違いによる問題も多かったのだとか。			文字では伝わらない想い							
そこであなたの曽祖父殿は、公用語に合わせた新たな文字を作るよう提案しました。しかしその案は採用されず、外つ国の文字を借用することに……。			そこであなたの曽祖父殿は、公用語に合わせた新たな文字を作るよう提案しました。しかしその案は採用されず、外つ国の文字を借用することに……。			文字では伝わらない想い							
そればかりか、グルージャジャ様は彼に対し、「各部族の文化について学んでこい」と命じられたそうです。			そればかりか、グルージャジャ様は彼に対し、「各部族の文化について学んでこい」と命じられたそうです。			文字では伝わらない想い							
彼はいくつもの部族を回ったのち、ここにやってきました。我々の文化といえば、もちろん絵文字。			彼はいくつもの部族を回ったのち、ここにやってきました。我々の文化といえば、もちろん絵文字。			文字では伝わらない想い							
ただし、彼が学ぼうとしたのは、読み書きだけではなかった。我々がどのような意図で石に絵を彫るのか、絵柄の決め方から、彫る順番まで過程を知ろうとしたのです。			ただし、彼が学ぼうとしたのは、読み書きだけではなかった。我々がどのような意図で石に絵を彫るのか、絵柄の決め方から、彫る順番まで過程を知ろうとしたのです。			文字では伝わらない想い							
そうして我々の文化について理解を深めた後……曽祖父殿は「連王様の言わんとすることが理解できた」と、満足してトライヨラへと戻っていきました。			そうして我々の文化について理解を深めた後……曽祖父殿は「連王様の言わんとすることが理解できた」と、満足してトライヨラへと戻っていきました。			文字では伝わらない想い							
なんと、私の曽祖父とグルージャジャ様の間に、そのようなことがあったとは、全然知りませんでした。			なんと、私の曽祖父とグルージャジャ様の間に、そのようなことがあったとは、全然知りませんでした。			文字では伝わらない想い							
グルージャジャ様が新たな文字を不要と断じ、曽祖父もまた、同じ結論に至ったその理由……。私にもわかる気がします。			グルージャジャ様が新たな文字を不要と断じ、曽祖父もまた、同じ結論に至ったその理由……。私にもわかる気がします。			文字では伝わらない想い							
ほう、それはいったいどういう理由でしょうか？			ほう、それはいったいどういう理由でしょうか？			文字では伝わらない想い							
公用語は、各部族の文化とは関係なく、あくまでも利便性のために制定されました。			公用語は、各部族の文化とは関係なく、あくまでも利便性のために制定されました。			文字では伝わらない想い							
それに対応した文字を作ったとしたら……？公用語が「自分たちの作った言葉」になり、受け継いできた文化が上書きされてしまうんです。			それに対応した文字を作ったとしたら……？公用語が「自分たちの作った言葉」になり、受け継いできた文化が上書きされてしまうんです。			文字では伝わらない想い							
けれど、エオルゼア文字を借用しておけば、公用語は誰にとっても「借り物の言葉」であり続ける。			けれど、エオルゼア文字を借用しておけば、公用語は誰にとっても「借り物の言葉」であり続ける。			文字では伝わらない想い							
