先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			敏腕美容師の華麗なる妙技							
手紙の差出人さんからのお願いを受けてるのクポ？最後までつきあいぬいて満足してもらうのが、立派な配達士クポ！			手紙の差出人さんからのお願いを受けてるのクポ？最後までつきあいぬいて満足してもらうのが、立派な配達士クポ！			反抗期の終焉							
後輩君の初仕事が終わるまで、モグはここで待ってるクポ！次々とお願いされてとっても大変だと思うけど、みなさんが満足するのを見届けるまで、がんばるクポ～！			後輩君の初仕事が終わるまで、モグはここで待ってるクポ！次々とお願いされてとっても大変だと思うけど、みなさんが満足するのを見届けるまで、がんばるクポ～！			反抗期の終焉							
あんたは、さっきの！？も、もう水は勘弁してくれ！！すまん、ちょっと悪酔いしちまってたんだ！			あんたは、さっきの！？も、もう水は勘弁してくれ！！すまん、ちょっと悪酔いしちまってたんだ！			反抗期の終焉							
……俺が、バデロンのカタキだろうって？おいおい、なんでそんな話になってるんだ？			……俺が、バデロンのカタキだろうって？おいおい、なんでそんな話になってるんだ？			反抗期の終焉							
俺の名は、ティルスヴェーン。バデロンとは、正真正銘のダチだ。			俺の名は、ティルスヴェーン。バデロンとは、正真正銘のダチだ。			反抗期の終焉							
……なるほど、そういうわけか。まあ、見てのとおり俺はちょっとばかり酒癖が悪くてよ。バデロンには厄介者扱いされても、文句は言えねえな。			……なるほど、そういうわけか。まあ、見てのとおり俺はちょっとばかり酒癖が悪くてよ。バデロンには厄介者扱いされても、文句は言えねえな。			反抗期の終焉							
バデロンとは、傭兵時代につるんでた仲だ。いわば、戦友ってヤツだな。			バデロンとは、傭兵時代につるんでた仲だ。いわば、戦友ってヤツだな。			反抗期の終焉							
まあ、あんたのおかげで酔いもさめたぜ。よければヤツの店へ案内してくれよ。			まあ、あんたのおかげで酔いもさめたぜ。よければヤツの店へ案内してくれよ。			反抗期の終焉							
……って、あれ、しまった！バデロンへの土産を入れた革袋を宿に忘れちまったぞ。急いで取りに戻らないと……。			……って、あれ、しまった！バデロンへの土産を入れた革袋を宿に忘れちまったぞ。急いで取りに戻らないと……。			反抗期の終焉							
イテテ……しまったな。あんたに水をかけられて、ここまで駆けてきたときに、足を痛めちまったようだ……。			イテテ……しまったな。あんたに水をかけられて、ここまで駆けてきたときに、足を痛めちまったようだ……。			反抗期の終焉							
悪いがあんた、サマーフォード庄へひとっ走りして、「シュテールヴィルン」に、革袋のことを聞いてきてくれないか。昨晩、旦那から宿を借りたから、話せばわかるはずだ。			悪いがあんた、サマーフォード庄へひとっ走りして、「シュテールヴィルン」に、革袋のことを聞いてきてくれないか。昨晩、旦那から宿を借りたから、話せばわかるはずだ。			反抗期の終焉							
悪いがあんた、サマーフォード庄へひとっ走りして、「シュテールヴィルン」に、革袋のことを聞いてきてくれないか。昨晩、旦那から宿を借りたから、話せばわかるはずだ。			悪いがあんた、サマーフォード庄へひとっ走りして、「シュテールヴィルン」に、革袋のことを聞いてきてくれないか。昨晩、旦那から宿を借りたから、話せばわかるはずだ。			反抗期の終焉							
おう、Surname！こりゃまた、ずいぶんと立派になりやがって！飯でも食ってけ……って、なんだ急ぎの用なのか？			おう、Surname！こりゃまた、ずいぶんと立派になりやがって！飯でも食ってけ……って、なんだ急ぎの用なのか？			反抗期の終焉							
こりゃまた、できそうな冒険者じゃないか。海賊崩れの農夫ばかりの農地になんの用だ？			こりゃまた、できそうな冒険者じゃないか。海賊崩れの農夫ばかりの農地になんの用だ？			反抗期の終焉							
……ほう、あの酔いどれが忘れていった、「土産の入った革袋」を探しにきたのか？なんとまあ、律儀なこった。			……ほう、あの酔いどれが忘れていった、「土産の入った革袋」を探しにきたのか？なんとまあ、律儀なこった。			反抗期の終焉							
部屋の掃除なんざ、しちゃいねえ。その革袋とやらも、部屋に残ってるだろう。勝手に取っていって構わないぞ。			部屋の掃除なんざ、しちゃいねえ。その革袋とやらも、部屋に残ってるだろう。勝手に取っていって構わないぞ。			反抗期の終焉							
部屋の掃除なんざ、しちゃいねえ。その革袋とやらも、その辺に残ってるだろう。勝手に取っていって構わないぞ。			部屋の掃除なんざ、しちゃいねえ。その革袋とやらも、その辺に残ってるだろう。勝手に取っていって構わないぞ。			反抗期の終焉							
見つかったか。あの酔いどれに、飲みすぎんなと伝えてくれ。			見つかったか。あの酔いどれに、飲みすぎんなと伝えてくれ。			反抗期の終焉							
サマーフォード庄に忘れちまった、バデロンへの土産を取りに行かないと……。			サマーフォード庄に忘れちまった、バデロンへの土産を取りに行かないと……。			反抗期の終焉							
おお、ありがとよ！……バデロンへの土産ってのは、古びたコインさ。まあ、細かい話はバデロンの店でしようぜ？			おお、ありがとよ！……バデロンへの土産ってのは、古びたコインさ。まあ、細かい話はバデロンの店でしようぜ？			反抗期の終焉							
酒が俺を呼んでるもんでな！店の場所は、そこの衛兵に聞いたよ。土産の礼におごるから、「バデロン」に声をかけな。			酒が俺を呼んでるもんでな！店の場所は、そこの衛兵に聞いたよ。土産の礼におごるから、「バデロン」に声をかけな。			反抗期の終焉							
手紙の差出人さんとバデロンさんが再会するクポ！？後輩君がふたりをひきあわせたようなものクポ。配達士のミョウリにつきるクポ！			手紙の差出人さんとバデロンさんが再会するクポ！？後輩君がふたりをひきあわせたようなものクポ。配達士のミョウリにつきるクポ！			反抗期の終焉							
お店に急いで、感動の再会を見届けるクポ！そのときの様子を、モグにも教えてほしいクポ！そこまでが、配達士のお仕事クポ！			お店に急いで、感動の再会を見届けるクポ！そのときの様子を、モグにも教えてほしいクポ！そこまでが、配達士のお仕事クポ！			反抗期の終焉							
ひゃ～、ここの酒は最高だぁ。あんたも、いっしょに飲もうぜ！一杯おごるから「バデロン」に声をかけな！			ひゃ～、ここの酒は最高だぁ。あんたも、いっしょに飲もうぜ！一杯おごるから「バデロン」に声をかけな！			反抗期の終焉							
あの人、本物のダチらしいけど……さっきから、ふたりともケンカ腰でね。あたしの勘違いのせいだろうから、あやまらないと……。			あの人、本物のダチらしいけど……さっきから、ふたりともケンカ腰でね。あたしの勘違いのせいだろうから、あやまらないと……。			反抗期の終焉							
おう、厄介事をおしつけちまって悪かったな。ヤツのおごりがあるんだろ？待ってな、ウチで一番イイのを出してやるからよ。			おう、厄介事をおしつけちまって悪かったな。ヤツのおごりがあるんだろ？待ってな、ウチで一番イイのを出してやるからよ。			反抗期の終焉							
まったく、ヒドイ話だぜ。はるばる訪ねてきた旧友に、凄腕の冒険者を差し向けて、追い払いにかかるとはな！			まったく、ヒドイ話だぜ。はるばる訪ねてきた旧友に、凄腕の冒険者を差し向けて、追い払いにかかるとはな！			反抗期の終焉							
うるせぇ。お前が来ると、店の酒が飲みつくされて、こっちは商売上がったりなんだよ。			うるせぇ。お前が来ると、店の酒が飲みつくされて、こっちは商売上がったりなんだよ。			反抗期の終焉							
この酒は、あたしのおごりだ。カタキが来ると勘違いして、追い返そうとしたのはあたしさ。バデロンは何も悪くないんだ、すまなかったねえ。			この酒は、あたしのおごりだ。カタキが来ると勘違いして、追い返そうとしたのはあたしさ。バデロンは何も悪くないんだ、すまなかったねえ。			反抗期の終焉							
はっはー、気にすんな。ヤツとのケンカは、挨拶みたいなもんよ。それにあんたほどのイイ女なら、なにされても歓迎だぜ！			はっはー、気にすんな。ヤツとのケンカは、挨拶みたいなもんよ。それにあんたほどのイイ女なら、なにされても歓迎だぜ！			反抗期の終焉							
アハハ、ありがとよ。でも、なぜバデロンへの土産が、古びたコインなんだい？言っちゃ悪いが、額面以上の価値はなさそうだけど？			アハハ、ありがとよ。でも、なぜバデロンへの土産が、古びたコインなんだい？言っちゃ悪いが、額面以上の価値はなさそうだけど？			反抗期の終焉							
こいつは、俺たちが駆け出しの傭兵だったころの話さ……。新米の俺たちはヘマばかりで、取り分がないことが多くてな。そんな時、ある傭兵の先輩が約束してくれたんだ。			こいつは、俺たちが駆け出しの傭兵だったころの話さ……。新米の俺たちはヘマばかりで、取り分がないことが多くてな。そんな時、ある傭兵の先輩が約束してくれたんだ。			反抗期の終焉							
先輩より長く生き残る運があったら、コインをやるってな。100ギル金貨には、運命の女神ニメーヤが刻まれてるだろ？つまりは「幸運の証」ってことだ。			先輩より長く生き残る運があったら、コインをやるってな。100ギル金貨には、運命の女神ニメーヤが刻まれてるだろ？つまりは「幸運の証」ってことだ。			反抗期の終焉							
そんな約束をしてくれた先輩が、最近、病で亡くなったんだ……。見舞いに通っていた俺に、彼は2枚のコインを渡してくれてよ。約束どおり、バデロンにも届けろってな……。			そんな約束をしてくれた先輩が、最近、病で亡くなったんだ……。見舞いに通っていた俺に、彼は2枚のコインを渡してくれてよ。約束どおり、バデロンにも届けろってな……。			反抗期の終焉							
おっとガラにもなく、しんみりしちまったな。……あの頃は、まさかバデロンが凄腕の傭兵になるたぁ、誰も予想してなかったもんだぜ。			おっとガラにもなく、しんみりしちまったな。……あの頃は、まさかバデロンが凄腕の傭兵になるたぁ、誰も予想してなかったもんだぜ。			反抗期の終焉							
それほどの凄腕が、なんだってまた、かたっくるしい冒険者ギルドの窓口に収まってんのさ……？			それほどの凄腕が、なんだってまた、かたっくるしい冒険者ギルドの窓口に収まってんのさ……？			反抗期の終焉							
おや、知らないのかい？そうだな……まあ、これは酔っ払いの戯言だが……			おや、知らないのかい？そうだな……まあ、これは酔っ払いの戯言だが……			反抗期の終焉							
20年ばかり前のことさ……。戦争が減り、行き場を失いつつあった傭兵をまとめ、冒険者ギルドを設立した、伝説の傭兵隊長がいた……。			20年ばかり前のことさ……。戦争が減り、行き場を失いつつあった傭兵をまとめ、冒険者ギルドを設立した、伝説の傭兵隊長がいた……。			反抗期の終焉							
だが、その息子は、冒険者ギルドの仕事に携わるのを嫌がって、傭兵として親父を超えると粋がったのさ。			だが、その息子は、冒険者ギルドの仕事に携わるのを嫌がって、傭兵として親父を超えると粋がったのさ。			反抗期の終焉							
そいつを諦めたのか、あるいは満足したのか……ともかく、長い長い反抗期が終わった結果、息子はギルドの窓口に収まったらしいぞ。			そいつを諦めたのか、あるいは満足したのか……ともかく、長い長い反抗期が終わった結果、息子はギルドの窓口に収まったらしいぞ。			反抗期の終焉							
えーっ！？じゃあ、バデロンの親父さんって……！！			えーっ！？じゃあ、バデロンの親父さんって……！！			反抗期の終焉							
こらぁ、ス・ホジュビ！いつまで油売ってんだ！？さぼってないで、仕事しろ！！			こらぁ、ス・ホジュビ！いつまで油売ってんだ！？さぼってないで、仕事しろ！！			反抗期の終焉							
はいはい、わかったよ。			はいはい、わかったよ。			反抗期の終焉							
さてと、俺もそろそろ行くとするか。俺があの娘としゃべってると、誰かさんが妬いちまうようだしな。……また、気が向いたら来るぜ！			さてと、俺もそろそろ行くとするか。俺があの娘としゃべってると、誰かさんが妬いちまうようだしな。……また、気が向いたら来るぜ！			反抗期の終焉							
やれやれ、ようやく嵐が去ってくれるらしい。だがよ……たまになら、ここに来てもいいぞ！おごってやるよ、一杯までならな！			やれやれ、ようやく嵐が去ってくれるらしい。だがよ……たまになら、ここに来てもいいぞ！おごってやるよ、一杯までならな！			反抗期の終焉							
厄介事を引き受けてくれて、ありがとよ。……手紙ってのは、たまにもらうといいもんだな。			厄介事を引き受けてくれて、ありがとよ。……手紙ってのは、たまにもらうといいもんだな。			反抗期の終焉							
厄介事に巻きこんじまって悪かったね。おかげで、バデロンの旧友や新しい一面も知れて、あんたには、ほんと感謝してるよ。			厄介事に巻きこんじまって悪かったね。おかげで、バデロンの旧友や新しい一面も知れて、あんたには、ほんと感謝してるよ。			反抗期の終焉							
お帰りクポ！！初めての「配達士」のお仕事……どうだったクポ？			お帰りクポ！！初めての「配達士」のお仕事……どうだったクポ？			反抗期の終焉							
バデロンさんの昔のお話まで聞けたクポ？すごいクポ！　さすがはモグの見込んだ後輩君クポ！！			バデロンさんの昔のお話まで聞けたクポ？すごいクポ！　さすがはモグの見込んだ後輩君クポ！！			反抗期の終焉							
『配達士の心得そのいち』、見事に修得クポ！手紙に込められた想いまで、後輩君がちゃ～んと届けられたってことクポ！			『配達士の心得そのいち』、見事に修得クポ！手紙に込められた想いまで、後輩君がちゃ～んと届けられたってことクポ！			反抗期の終焉							
……これなら、もっと遠いところの配達や、気難しい人への配達も、安心して任せられるクポ～！			……これなら、もっと遠いところの配達や、気難しい人への配達も、安心して任せられるクポ～！			反抗期の終焉							
次の配達からは、モグへの報告もいらないクポ！この調子で、どんどん配達よろしくクポ！！			次の配達からは、モグへの報告もいらないクポ！この調子で、どんどん配達よろしくクポ！！			反抗期の終焉							
先輩レターモーグリから託された手紙の配達に成功したため、「配達士」として成長しました！			先輩レターモーグリから託された手紙の配達に成功したため、「配達士」として成長しました！			反抗期の終焉							
先輩レターモーグリは、宛て先不明の手紙を託したいようだ。			先輩レターモーグリは、宛て先不明の手紙を託したいようだ。			君がいたアベニュー							
先輩レターモーグリから、配達を依頼された。ウルダハのエメラルドアベニューにいる情報屋「ワイモンド」に手紙を配達しよう。			先輩レターモーグリから、配達を依頼された。ウルダハのエメラルドアベニューにいる情報屋「ワイモンド」に手紙を配達しよう。			君がいたアベニュー							
ワイモンドに届けた手紙は、「レイモンド」という赤の他人宛ての脅迫状だった。事件解決に意欲を見せるワイモンドに協力し、西ザナラーンのカッパーベル銅山前にある小屋裏で「誘拐犯の要求書」を探そう。			ワイモンドに届けた手紙は、「レイモンド」という赤の他人宛ての脅迫状だった。事件解決に意欲を見せるワイモンドに協力し、西ザナラーンのカッパーベル銅山前にある小屋裏で「誘拐犯の要求書」を探そう。			君がいたアベニュー							
カッパーベル銅山で「誘拐犯の要求書」を見つけた。エメラルドアベニューの情報屋「ワイモンド」に届けよう。			カッパーベル銅山で「誘拐犯の要求書」を見つけた。エメラルドアベニューの情報屋「ワイモンド」に届けよう。			君がいたアベニュー							
ワイモンドに誘拐犯の要求書を渡した。誘拐犯は「紫煙の兄弟」という犯罪組織で、黒幕の悪徳商人と組み、青燐水の採掘権を狙っているらしい。かつて「紫煙の兄弟」の一員だった後ろ暗い過去を明かし、組織の壊滅を誓うワイモンド。黒幕を誘いだす罠を張るため、ウルダハのサファイアアベニュー国際市場にいる「セセロガ」に「ライブラ銀行の約束手形」を見せて、青燐水をあつかう商人を紹介してもらおう。			ワイモンドに誘拐犯の要求書を渡した。誘拐犯は「紫煙の兄弟」という犯罪組織で、黒幕の悪徳商人と組み、青燐水の採掘権を狙っているらしい。かつて「紫煙の兄弟」の一員だった後ろ暗い過去を明かし、組織の壊滅を誓うワイモンド。黒幕を誘いだす罠を張るため、ウルダハのサファイアアベニュー国際市場にいる「セセロガ」に「ライブラ銀行の約束手形」を見せて、青燐水をあつかう商人を紹介してもらおう。			君がいたアベニュー							
セセロガに相談し、青燐水をあつかう商人を紹介された。サファイアアベニュー国際市場にいる「シントゴート」に「ライブラ銀行の約束手形」を渡そう。			セセロガに相談し、青燐水をあつかう商人を紹介された。サファイアアベニュー国際市場にいる「シントゴート」に「ライブラ銀行の約束手形」を渡そう。			君がいたアベニュー							
シントゴートにライブラ銀行の約束手形を渡し、商談が成立した。彼の話によれば、市場では、青燐水の相場が上がるという噂が流れているようだ。エメラルドアベニューの「ワイモンド」に、商談成立の証拠「青燐水の先物手形」を見せよう。			シントゴートにライブラ銀行の約束手形を渡し、商談が成立した。彼の話によれば、市場では、青燐水の相場が上がるという噂が流れているようだ。エメラルドアベニューの「ワイモンド」に、商談成立の証拠「青燐水の先物手形」を見せよう。			君がいたアベニュー							
ワイモンドに青燐水の先物手形を見せた。それがきっかけで青燐水の相場が暴騰を始め、採掘権をめぐって「紫煙の兄弟」が黒幕を裏切ってもおかしくない状況となった。彼らを罠に陥れるため、中央ザナラーンの酒房「コッファー＆コフィン」で誘拐犯のひとり「紫煙臭い男」と接触し、「青燐水の先物手形」を見せよう。			ワイモンドに青燐水の先物手形を見せた。それがきっかけで青燐水の相場が暴騰を始め、採掘権をめぐって「紫煙の兄弟」が黒幕を裏切ってもおかしくない状況となった。彼らを罠に陥れるため、中央ザナラーンの酒房「コッファー＆コフィン」で誘拐犯のひとり「紫煙臭い男」と接触し、「青燐水の先物手形」を見せよう。			君がいたアベニュー							
紫煙臭い男と接触した。犯罪組織「紫煙の兄弟」に属するその男は、黒幕の悪徳商人を裏切る用意があるとほのめかした。エメラルドアベニューの「ワイモンド」に報告し、預かった「青燐水の先物手形」を返却しよう。			紫煙臭い男と接触した。犯罪組織「紫煙の兄弟」に属するその男は、黒幕の悪徳商人を裏切る用意があるとほのめかした。エメラルドアベニューの「ワイモンド」に報告し、預かった「青燐水の先物手形」を返却しよう。			君がいたアベニュー							
ワイモンドに報告し、青燐水の先物手形を返却した。彼の話によれば、「紫煙臭い男」が冒険者と接触したことで、黒幕との信頼関係にヒビが入ったようだ。「紫煙の兄弟」と黒幕を一網打尽にする準備が完了したというワイモンド。中央ザナラーン、カッターズクライ北の待ち合わせ場所で「ワイモンド」と合流し、あとは高みの見物と洒落込もう。			ワイモンドに報告し、青燐水の先物手形を返却した。彼の話によれば、「紫煙臭い男」が冒険者と接触したことで、黒幕との信頼関係にヒビが入ったようだ。「紫煙の兄弟」と黒幕を一網打尽にする準備が完了したというワイモンド。中央ザナラーン、カッターズクライ北の待ち合わせ場所で「ワイモンド」と合流し、あとは高みの見物と洒落込もう。			君がいたアベニュー							
ワイモンドと合流した。彼は相場操縦で得た資金を軍用爆薬につぎこみ、犯人に罠を仕掛けていた。爆発は凄まじく、「紫煙の兄弟」は黒幕ともども壊滅。誘拐された少女は両親に返された。事件は解決したが、ワイモンドは心労で衰弱していた奥さんの身を案じている。ウルダハのアルダネス聖櫃堂でレイモンド一家の無事を確かめよう。			ワイモンドと合流した。彼は相場操縦で得た資金を軍用爆薬につぎこみ、犯人に罠を仕掛けていた。爆発は凄まじく、「紫煙の兄弟」は黒幕ともども壊滅。誘拐された少女は両親に返された。事件は解決したが、ワイモンドは心労で衰弱していた奥さんの身を案じている。ウルダハのアルダネス聖櫃堂でレイモンド一家の無事を確かめよう。			君がいたアベニュー							
レイモンド一家と話した。3人は、冒険者とワイモンドの厚意に心からの感謝を表した。元気を取り戻したレイモンドの妻は、冒険者とワイモンドにお礼をしたいという。預かった「可憐な紅花」を、エメラルドアベニューの「ワイモンド」に届けよう。			レイモンド一家と話した。3人は、冒険者とワイモンドの厚意に心からの感謝を表した。元気を取り戻したレイモンドの妻は、冒険者とワイモンドにお礼をしたいという。預かった「可憐な紅花」を、エメラルドアベニューの「ワイモンド」に届けよう。			君がいたアベニュー							
ワイモンドに可憐な紅花を届けた。それは一輪のデザートローズ……彼が花売りの少女から買っていた花。さよならも言えなかった彼女との別れは、今もワイモンドの心を締めつけていた。そして彼は、贈り主の「レイモンドの妻」の正体に気づく……彼女こそ「小さな花売り」の成長した姿だった。心残りだった少女の消息が判明し、止まっていたワイモンドの時間はふたたび動きだすのだった。			ワイモンドに可憐な紅花を届けた。それは一輪のデザートローズ……彼が花売りの少女から買っていた花。さよならも言えなかった彼女との別れは、今もワイモンドの心を締めつけていた。そして彼は、贈り主の「レイモンドの妻」の正体に気づく……彼女こそ「小さな花売り」の成長した姿だった。心残りだった少女の消息が判明し、止まっていたワイモンドの時間はふたたび動きだすのだった。			君がいたアベニュー							
ウルダハのワイモンドに手紙を配達			ウルダハのワイモンドに手紙を配達			君がいたアベニュー							
カッパーベル銅山で誘拐犯の要求書を探す			カッパーベル銅山で誘拐犯の要求書を探す			君がいたアベニュー							
ウルダハのワイモンドに誘拐犯の要求書を渡す			ウルダハのワイモンドに誘拐犯の要求書を渡す			君がいたアベニュー							
サファイアアベニュー国際市場のセセロガに約束手形を見せる			サファイアアベニュー国際市場のセセロガに約束手形を見せる			君がいたアベニュー							
シントゴートに約束手形を渡す			シントゴートに約束手形を渡す			君がいたアベニュー							
エメラルドアベニューのワイモンドに先物手形を見せる			エメラルドアベニューのワイモンドに先物手形を見せる			君がいたアベニュー							
酒房「コッファー＆コフィン」の紫煙臭い男に先物手形を見せる			酒房「コッファー＆コフィン」の紫煙臭い男に先物手形を見せる			君がいたアベニュー							
ウルダハのワイモンドに先物手形を渡す			ウルダハのワイモンドに先物手形を渡す			君がいたアベニュー							
カッターズクライ北でワイモンドと合流			カッターズクライ北でワイモンドと合流			君がいたアベニュー							
ウルダハのレイモンドの妻と話す			ウルダハのレイモンドの妻と話す			君がいたアベニュー							
ワイモンドに可憐な紅花を渡す			ワイモンドに可憐な紅花を渡す			君がいたアベニュー							
うーん……うーん……弱ったクポ……どうしたものクポか……。			うーん……うーん……弱ったクポ……どうしたものクポか……。			君がいたアベニュー							
わわっ、クポクポクポッ！？……なんだ、半人前君クポ！考えゴトをしてて、気づかなかったクポ！			わわっ、クポクポクポッ！？……なんだ、半人前君クポ！考えゴトをしてて、気づかなかったクポ！			君がいたアベニュー							
……実は、宛て先不明のお手紙が舞い込んだクポ。ウルダハの「なんとかモンド」って書いてあるけど……字がきたなくて、よく読めな…………ハッ！？			……実は、宛て先不明のお手紙が舞い込んだクポ。ウルダハの「なんとかモンド」って書いてあるけど……字がきたなくて、よく読めな…………ハッ！？			君がいたアベニュー							
えっへん！　ひらめいたクポ！宛て先はきっと、ウルダハいちの情報屋「ワイモンド」さんクポ！			えっへん！　ひらめいたクポ！宛て先はきっと、ウルダハいちの情報屋「ワイモンド」さんクポ！			君がいたアベニュー							
……というわけで、半人前君！このお手紙を、ウルダハのエメラルドアベニューにいる、情報屋の「ワイモンド」さんに、ちゃっちゃか届けてきてクポ！			……というわけで、半人前君！このお手紙を、ウルダハのエメラルドアベニューにいる、情報屋の「ワイモンド」さんに、ちゃっちゃか届けてきてクポ！			君がいたアベニュー							
半人前君！渡したお手紙を、ウルダハのエメラルドアベニューにいる、情報屋の「ワイモンド」さんに、ちゃっちゃか届けてきてクポ！			半人前君！渡したお手紙を、ウルダハのエメラルドアベニューにいる、情報屋の「ワイモンド」さんに、ちゃっちゃか届けてきてクポ！			君がいたアベニュー							
よォ、冒険者……おっと、今は配達士サンか？ま、どっちでもいいよな！……なに、俺に手紙だって？			よォ、冒険者……おっと、今は配達士サンか？ま、どっちでもいいよな！……なに、俺に手紙だって？			君がいたアベニュー							
『レイモンドへ、娘は預かった。　カッパーベル銅山の小屋裏に向かい、　置かれた要求書の指示に従え……「紫煙の兄弟」より』			『レイモンドへ、娘は預かった。　カッパーベル銅山の小屋裏に向かい、　置かれた要求書の指示に従え……「紫煙の兄弟」より』			君がいたアベニュー							
……おい、お前コレ……脅迫状だぞ？			……おい、お前コレ……脅迫状だぞ？			君がいたアベニュー							
宛名はレイモンド、俺の名前はワイモンド……宛て先違いじゃねぇか！　迷惑な誤配だな、おい！			宛名はレイモンド、俺の名前はワイモンド……宛て先違いじゃねぇか！　迷惑な誤配だな、おい！			君がいたアベニュー							
フッ、だがよ……こいつぁ、とんだ運命のいたずらだ。まさか「紫煙の兄弟」の脅迫状が、この俺に舞い込むなんてな。俺が「過去」を忘れても、過去は俺を忘れちゃくれないらしい……。			フッ、だがよ……こいつぁ、とんだ運命のいたずらだ。まさか「紫煙の兄弟」の脅迫状が、この俺に舞い込むなんてな。俺が「過去」を忘れても、過去は俺を忘れちゃくれないらしい……。			君がいたアベニュー							
「紫煙の兄弟」は、金のためなら赤子も殺す、最悪の犯罪組織だ。霊災前に、全員ブタ箱にブチ込まれたはずだが……最近になって、シャバに出てきやがった。			「紫煙の兄弟」は、金のためなら赤子も殺す、最悪の犯罪組織だ。霊災前に、全員ブタ箱にブチ込まれたはずだが……最近になって、シャバに出てきやがった。			君がいたアベニュー							
この俺がいる街で、奴らをのさばらせるつもりはねぇ！誤配の埋め合わせと思って、お前もつきあってもらうぜ？カッパーベル銅山の小屋裏で「誘拐犯の要求書」を取ってきてくれ！			この俺がいる街で、奴らをのさばらせるつもりはねぇ！誤配の埋め合わせと思って、お前もつきあってもらうぜ？カッパーベル銅山の小屋裏で「誘拐犯の要求書」を取ってきてくれ！			君がいたアベニュー							
この俺がいる街で、奴らをのさばらせるつもりはねぇ！カッパーベル銅山の小屋裏で「誘拐犯の要求書」を取ってきてくれ！			この俺がいる街で、奴らをのさばらせるつもりはねぇ！カッパーベル銅山の小屋裏で「誘拐犯の要求書」を取ってきてくれ！			君がいたアベニュー							
よう、戻ったかい。お前がカッパーベル銅山に向かっている間に、本来の宛て先……娘を拐われた、レイモンド夫妻に会ってきたぜ。			よう、戻ったかい。お前がカッパーベル銅山に向かっている間に、本来の宛て先……娘を拐われた、レイモンド夫妻に会ってきたぜ。			君がいたアベニュー							
人の好さそうな商人夫婦だったよ……ったく、可哀想にな。……とりあえず下手に動かねぇで、俺にまかせろって伝えといた。			人の好さそうな商人夫婦だったよ……ったく、可哀想にな。……とりあえず下手に動かねぇで、俺にまかせろって伝えといた。			君がいたアベニュー							
……で、そっちの首尾はどうだ。「誘拐犯の要求書」は見つかったのか？			……で、そっちの首尾はどうだ。「誘拐犯の要求書」は見つかったのか？			君がいたアベニュー							
……ふぅん、そういうことか。「紫煙の兄弟」は、土地の権利書を要求してるようだな。なるほど、燃料に使う「青燐水」が湧く場所か……。			……ふぅん、そういうことか。「紫煙の兄弟」は、土地の権利書を要求してるようだな。なるほど、燃料に使う「青燐水」が湧く場所か……。			君がいたアベニュー							
奴らは、大物の悪徳商人とグルで動いてる。巻き上げた採掘利権で、旨い汁を吸おうってハラさ。だが、この俺がいるかぎり、奴らの好きにはさせねぇ！			奴らは、大物の悪徳商人とグルで動いてる。巻き上げた採掘利権で、旨い汁を吸おうってハラさ。だが、この俺がいるかぎり、奴らの好きにはさせねぇ！			君がいたアベニュー							
この際、お前にゃ言っとくべきだろうな……。俺が奴らを憎むワケを。……そう、かつては俺も、「紫煙の兄弟」の一員だったんだ。			この際、お前にゃ言っとくべきだろうな……。俺が奴らを憎むワケを。……そう、かつては俺も、「紫煙の兄弟」の一員だったんだ。			君がいたアベニュー							
あのころの俺はヤンチャだった……。ゆすり、たかり、つつもたせ……堅気にゃ遠い裏稼業さ。			あのころの俺はヤンチャだった……。ゆすり、たかり、つつもたせ……堅気にゃ遠い裏稼業さ。			君がいたアベニュー							
そんな俺の心のオアシスが、ある花売りの少女だった。彼女はいつも、このエメラルドアベニューに立っててな……。			そんな俺の心のオアシスが、ある花売りの少女だった。彼女はいつも、このエメラルドアベニューに立っててな……。			君がいたアベニュー							
その娘から一輪のデザートローズを買うのが、俺の日課だった。彼女は「いつもありがとう、ワイムンドさん！」って、とびきりの笑顔で、乾ききった俺の心を癒してくれたよ……。			その娘から一輪のデザートローズを買うのが、俺の日課だった。彼女は「いつもありがとう、ワイムンドさん！」って、とびきりの笑顔で、乾ききった俺の心を癒してくれたよ……。			君がいたアベニュー							
……ちなみに俺の名前は、ワイムンドじゃなくて、「ワイモンド」だけどな！			……ちなみに俺の名前は、ワイムンドじゃなくて、「ワイモンド」だけどな！			君がいたアベニュー							
あるとき「紫煙の兄弟」は、ひとりの情報屋を始末した。そいつはちょっとばかし、正義感の強すぎる男でな……「兄弟」の悪事を、お上に密告していたんだ。			あるとき「紫煙の兄弟」は、ひとりの情報屋を始末した。そいつはちょっとばかし、正義感の強すぎる男でな……「兄弟」の悪事を、お上に密告していたんだ。			君がいたアベニュー							
そしてこの話にゃ、最悪のオチがつく。消された情報屋は、小さな花売りの……実の兄だったんだよ。			そしてこの話にゃ、最悪のオチがつく。消された情報屋は、小さな花売りの……実の兄だったんだよ。			君がいたアベニュー							
……こたえたよ。まるで砂漠に咲くバラのようだったあの笑顔が、その日を境に、この街角から……ぱったりと消えちまったんだからな。			……こたえたよ。まるで砂漠に咲くバラのようだったあの笑顔が、その日を境に、この街角から……ぱったりと消えちまったんだからな。			君がいたアベニュー							
……………………辛い記憶だ。			……………………辛い記憶だ。			君がいたアベニュー							
