リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			新天地へと舞い挑め							
1.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。			1.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。			至上の舞を披露せよ							
2.ファイター系DPSロールの、　「ロールクエスト 漆黒編」を完了する。			2.ファイター系DPSロールの、　「ロールクエスト 漆黒編」を完了する。			至上の舞を披露せよ							
条件を満たし、下甲板層の「ナシュメラ」に話しかけ、新たなジョブクエストを開始しましょう！			条件を満たし、下甲板層の「ナシュメラ」に話しかけ、新たなジョブクエストを開始しましょう！			至上の舞を披露せよ							
これだけの人数が集まると、「心の闇」も強大だね……！でも、私たちの踊りなら、きっと立ち向かえる！			これだけの人数が集まると、「心の闇」も強大だね……！でも、私たちの踊りなら、きっと立ち向かえる！			至上の舞を披露せよ							
一瞬、俺たちの身体から魔物が出てきたのかと思ったぜ。こんな演出は初めてだ……こりゃ、踊りの方も期待できそうだな！			一瞬、俺たちの身体から魔物が出てきたのかと思ったぜ。こんな演出は初めてだ……こりゃ、踊りの方も期待できそうだな！			至上の舞を披露せよ							
私たちの「クリークタンツ」が効いているようだね。観客から、新たなエーテル体が湧き出てきたよ！			私たちの「クリークタンツ」が効いているようだね。観客から、新たなエーテル体が湧き出てきたよ！			至上の舞を披露せよ							
おおー！！　さらに魔物が出てきたぞ！			おおー！！　さらに魔物が出てきたぞ！			至上の舞を披露せよ							
これは……負のエーテルが迫ってきてる！Forename、触らないよう気をつけて！			これは……負のエーテルが迫ってきてる！Forename、触らないよう気をつけて！			至上の舞を披露せよ							
痛そうな攻撃が来るよ！　私と一緒に受け止めて！			痛そうな攻撃が来るよ！　私と一緒に受け止めて！			至上の舞を披露せよ							
ありがとう！　ふたりでなら対抗できるね！			ありがとう！　ふたりでなら対抗できるね！			至上の舞を披露せよ							
あの踊り子たち、すごいな！あんなデカイ魔物に負けてない！			あの踊り子たち、すごいな！あんなデカイ魔物に負けてない！			至上の舞を披露せよ							
すごい数……でも、私たちで相手をしないと。観客に被害を出すわけにはいかない……！			すごい数……でも、私たちで相手をしないと。観客に被害を出すわけにはいかない……！			至上の舞を披露せよ							
ラナー、Forename……待たせたわね！どうやら、公演の見せ場には間に合ったみたい！			ラナー、Forename……待たせたわね！どうやら、公演の見せ場には間に合ったみたい！			至上の舞を披露せよ							
エーテル体を、私の周りに集めて！私も、踊り子として舞台に立たせてもらうわ！			エーテル体を、私の周りに集めて！私も、踊り子として舞台に立たせてもらうわ！			至上の舞を披露せよ							
ナシュメラ先生……すごい、先生と一緒に踊れるんだ！よし、現れたエーテル体を先生の周りに集めよう！			ナシュメラ先生……すごい、先生と一緒に踊れるんだ！よし、現れたエーテル体を先生の周りに集めよう！			至上の舞を披露せよ							
おお、踊り子がさらに駆けつけてくるとは！それも、なんて美しい踊りだ！			おお、踊り子がさらに駆けつけてくるとは！それも、なんて美しい踊りだ！			至上の舞を披露せよ							
おおっ！？　また、新しい魔物が現れたぞ！			おおっ！？　また、新しい魔物が現れたぞ！			至上の舞を披露せよ							
私たちの踊りが効いている証よ！現れたエーテル体を、分担して倒しましょう！			私たちの踊りが効いている証よ！現れたエーテル体を、分担して倒しましょう！			至上の舞を披露せよ							
わかりました！Forename、中央の仮面付きの奴をお願い！			わかりました！Forename、中央の仮面付きの奴をお願い！			至上の舞を披露せよ							
激しい攻撃ね……！Forename、ラナー、連携して対処しましょう！			激しい攻撃ね……！Forename、ラナー、連携して対処しましょう！			至上の舞を披露せよ							
踊り子3人の共演……なんと華麗な踊りなんだ！			踊り子3人の共演……なんと華麗な踊りなんだ！			至上の舞を披露せよ							
残ったエーテルをすべて解き放とうとしている……！？急いで片付けましょう！			残ったエーテルをすべて解き放とうとしている……！？急いで片付けましょう！			至上の舞を披露せよ							
いよいよ、最後の盛り上がりか！？もっともっと踊ってみせてくれー！！			いよいよ、最後の盛り上がりか！？もっともっと踊ってみせてくれー！！			至上の舞を披露せよ							
くっ！　また、エーテル体が……！			くっ！　また、エーテル体が……！			至上の舞を披露せよ							
あの様子……もう時間がない！ラナー、私たちの力をForenameに！			あの様子……もう時間がない！ラナー、私たちの力をForenameに！			至上の舞を披露せよ							
了解です！Forename、どうか……お願い！			了解です！Forename、どうか……お願い！			至上の舞を披露せよ							
双蛇党：統合司令部前のナシュメラは、冒険者に朗報があるようだ。			双蛇党：統合司令部前のナシュメラは、冒険者に朗報があるようだ。			託された舞踏の心							
ラナー・ミーゴと冒険者のふたりでイシュガルドへ向かうことになった。イシュガルドの下層で「ラナー・ミーゴ」と落ち合おう。			ラナー・ミーゴと冒険者のふたりでイシュガルドへ向かうことになった。イシュガルドの下層で「ラナー・ミーゴ」と落ち合おう。			託された舞踏の心							
ラナー・ミーゴと合流した。イシュガルドの神殿騎士団本部にいる「アンドゥルー」と話そう。			ラナー・ミーゴと合流した。イシュガルドの神殿騎士団本部にいる「アンドゥルー」と話そう。			託された舞踏の心							
アンドゥルーは、舞を披露する相手を選別し集めてくれたそうだ。クルザス中央高地の大審門前で「ラナー・ミーゴ」と話そう。			アンドゥルーは、舞を披露する相手を選別し集めてくれたそうだ。クルザス中央高地の大審門前で「ラナー・ミーゴ」と話そう。			託された舞踏の心							
ラナー・ミーゴが「クリークタンツ」を披露し、貧民たちの心の闇を追い出した。大審門前で、現れた「負のエーテル体」を討伐しよう。			ラナー・ミーゴが「クリークタンツ」を披露し、貧民たちの心の闇を追い出した。大審門前で、現れた「負のエーテル体」を討伐しよう。			託された舞踏の心							
負のエーテル体を討伐した。大審門前で「ラナー・ミーゴ」と話そう。			負のエーテル体を討伐した。大審門前で「ラナー・ミーゴ」と話そう。			託された舞踏の心							
貧民たちに喜んでもらえたようだ。双蛇党：統合司令部前の「ラナー・ミーゴ」と話そう。			貧民たちに喜んでもらえたようだ。双蛇党：統合司令部前の「ラナー・ミーゴ」と話そう。			託された舞踏の心							
ナシュメラは、冒険者たちを信じてアラミゴの調査に旅立っていた。期待に答えるべく、さらなる修行をしておこう。※踊り子のレベルが70以上になると、双蛇党：統合司令部前のラナー・ミーゴから次の踊り子クエストを受注することができます。			ナシュメラは、冒険者たちを信じてアラミゴの調査に旅立っていた。期待に答えるべく、さらなる修行をしておこう。※踊り子のレベルが70以上になると、双蛇党：統合司令部前のラナー・ミーゴから次の踊り子クエストを受注することができます。			託された舞踏の心							
イシュガルドでラナー・ミーゴと話す			イシュガルドでラナー・ミーゴと話す			託された舞踏の心							
神殿騎士団本部のアンドゥルーと話す			神殿騎士団本部のアンドゥルーと話す			託された舞踏の心							
大審門前のラナー・ミーゴと話す			大審門前のラナー・ミーゴと話す			託された舞踏の心							
負のエーテル体を討伐			負のエーテル体を討伐			託された舞踏の心							
ラナー・ミーゴと話す			ラナー・ミーゴと話す			託された舞踏の心							
双蛇党：統合司令部前のラナー・ミーゴと話す			双蛇党：統合司令部前のラナー・ミーゴと話す			託された舞踏の心							
本クエストを進行するためには、「メインクエスト：竜詩戦争 完結編」の、「最期の咆哮」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：竜詩戦争 完結編」の、「最期の咆哮」を完了する必要があります。			託された舞踏の心							
公演と、修行の両立……ハードだけど充実しているよ。果たすべき使命のために努力するって、気持ちいいね！			公演と、修行の両立……ハードだけど充実しているよ。果たすべき使命のために努力するって、気持ちいいね！			託された舞踏の心							
黒衣森には、弓術を使い、かつ、歌で鼓舞を行う、戦場に出ることを選んだ「吟遊詩人」がいるとか……。能力は違えど、うちの踊り子に通ずるものがありそうですね。			黒衣森には、弓術を使い、かつ、歌で鼓舞を行う、戦場に出ることを選んだ「吟遊詩人」がいるとか……。能力は違えど、うちの踊り子に通ずるものがありそうですね。			託された舞踏の心							
よく来てくれたわね。イシュガルドから、一座に協力すると返答があったそうよ！			よく来てくれたわね。イシュガルドから、一座に協力すると返答があったそうよ！			託された舞踏の心							
幸い、クルザスでは、まだ「トーテンタンツ」を踊り出した者はいないみたい。			幸い、クルザスでは、まだ「トーテンタンツ」を踊り出した者はいないみたい。			託された舞踏の心							
でも、貧民たちの間で過激な発言をする者が、徐々に増えているという報告も届いている……。どうやら、早急な対応が必要そうね。			でも、貧民たちの間で過激な発言をする者が、徐々に増えているという報告も届いている……。どうやら、早急な対応が必要そうね。			託された舞踏の心							
そこで……イシュガルドにはラナーとふたりで向かってくれる？負傷した私の歩調に合わせていたら、手遅れになりかねないわ。今回はふたりで向かい、状況の確認と対処をお願い。			そこで……イシュガルドにはラナーとふたりで向かってくれる？負傷した私の歩調に合わせていたら、手遅れになりかねないわ。今回はふたりで向かい、状況の確認と対処をお願い。			託された舞踏の心							
わかりました。ナシュメラ先生に教えていただいた舞で、イシュガルドの人たちの心を蝕む闇を引き出してみせます！			わかりました。ナシュメラ先生に教えていただいた舞で、イシュガルドの人たちの心を蝕む闇を引き出してみせます！			託された舞踏の心							
さあ、Forename、「イシュガルド」に向かおう！			さあ、Forename、「イシュガルド」に向かおう！			託された舞踏の心							
イシュガルドは、雪風吹きすさぶ極寒の地だとか。ラナーの嬢ちゃんが、今さら妙な失態を犯すとは思いませんが、踊り子の衣装で、寒さに耐えられますかね……。			イシュガルドは、雪風吹きすさぶ極寒の地だとか。ラナーの嬢ちゃんが、今さら妙な失態を犯すとは思いませんが、踊り子の衣装で、寒さに耐えられますかね……。			託された舞踏の心							
イシュガルドには、ふたりで向かってちょうだい。今のラナーとあなたなら、きっと大丈夫。あの子は、失敗を糧に成長したわ。			イシュガルドには、ふたりで向かってちょうだい。今のラナーとあなたなら、きっと大丈夫。あの子は、失敗を糧に成長したわ。			託された舞踏の心							
さ……さささ寒い！足、肩、お腹……隙間から風が入り込んでくるよ……！Forenameは平気なの？			さ……さささ寒い！足、肩、お腹……隙間から風が入り込んでくるよ……！Forenameは平気なの？			託された舞踏の心							
何と答える？			何と答える？			託された舞踏の心							
全然、平気！			全然、平気！			託された舞踏の心							
気合で耐えている			気合で耐えている			託された舞踏の心							
そ、そうなんだ……！あちこち冒険していると、気温の変化になんて負けていられないんだね……。			そ、そうなんだ……！あちこち冒険していると、気温の変化になんて負けていられないんだね……。			託された舞踏の心							
あ、やっぱり寒いんだ……。よし、わ、私も気合でがんばるよ……！この後には、舞を披露しなくちゃいけないしね。			あ、やっぱり寒いんだ……。よし、わ、私も気合でがんばるよ……！この後には、舞を披露しなくちゃいけないしね。			託された舞踏の心							
そうそう、協力を申し出てくれたのは、神殿騎士団本部にいる「アンドゥルー」さんだって。さっそく会いに行こう！			そうそう、協力を申し出てくれたのは、神殿騎士団本部にいる「アンドゥルー」さんだって。さっそく会いに行こう！			託された舞踏の心							
Forename殿、息災であったか！しかし、旅の一座に属する踊り子でもあるとは、いつも君には驚かされるな！			Forename殿、息災であったか！しかし、旅の一座に属する踊り子でもあるとは、いつも君には驚かされるな！			託された舞踏の心							
おなじくファルシャム一座の踊り子、ラナー・ミーゴだよ。「トーテンタンツ」を鎮める活動に、協力してくれてありがとう！			おなじくファルシャム一座の踊り子、ラナー・ミーゴだよ。「トーテンタンツ」を鎮める活動に、協力してくれてありがとう！			託された舞踏の心							
現象だけを聞けば、疑ってしまう内容だったがね。しかし、双蛇党からの情報に加え、我らが英雄の存在を考えれば、それが実態ある脅威だと認めぬわけにはいかん。			現象だけを聞けば、疑ってしまう内容だったがね。しかし、双蛇党からの情報に加え、我らが英雄の存在を考えれば、それが実態ある脅威だと認めぬわけにはいかん。			託された舞踏の心							
ナシュメラ殿からも書簡が届いている。なんでも、不安や不満を抱えている貧困層の中から、発言力の強い者を選定し、集めてほしいとのことだが……。			ナシュメラ殿からも書簡が届いている。なんでも、不安や不満を抱えている貧困層の中から、発言力の強い者を選定し、集めてほしいとのことだが……。			託された舞踏の心							
うん、死の舞踏とも呼ばれる「トーテンタンツ」は、まるで伝染病のように、人々の間に広がってしまうらしいんだ。			うん、死の舞踏とも呼ばれる「トーテンタンツ」は、まるで伝染病のように、人々の間に広がってしまうらしいんだ。			託された舞踏の心							
でも、社会的に影響力のある人を「クリークタンツ」で鼓舞し、勇気や希望を与えることができれば、結果は変わってくる。彼らが模範となり、多くの人から不安が拭われるからさ。			でも、社会的に影響力のある人を「クリークタンツ」で鼓舞し、勇気や希望を与えることができれば、結果は変わってくる。彼らが模範となり、多くの人から不安が拭われるからさ。			託された舞踏の心							
なるほど、指導者が前向きになれば、集団心理にも良好な影響を与えるということか……。			なるほど、指導者が前向きになれば、集団心理にも良好な影響を与えるということか……。			託された舞踏の心							
ともかく、条件に該当する者たちには、舞の公演があると伝え、クルザス中央高地側の大審門前に集まってもらっているよ。荒療治なら、都市外の方が都合がよかろうと思ってね。			ともかく、条件に該当する者たちには、舞の公演があると伝え、クルザス中央高地側の大審門前に集まってもらっているよ。荒療治なら、都市外の方が都合がよかろうと思ってね。			託された舞踏の心							
それじゃ、さっそく「大審門」へ向かおうか。待っている人たちを、あまり凍えさせちゃいけないもんね！			それじゃ、さっそく「大審門」へ向かおうか。待っている人たちを、あまり凍えさせちゃいけないもんね！			託された舞踏の心							
条件に該当する貧民は、「大審門」前に集まってもらった。しかし、ラナー・ミーゴ殿……貧民が凍えないうちにと言うが、彼女自身は寒くないのだろうか……。			条件に該当する貧民は、「大審門」前に集まってもらった。しかし、ラナー・ミーゴ殿……貧民が凍えないうちにと言うが、彼女自身は寒くないのだろうか……。			託された舞踏の心							
みんな、集まっているみたいだね。それじゃ、彼らに「クリークタンツ」を披露しようか。ただ、死の舞踏「トーテンタンツ」のことは伝えないでおこう。			みんな、集まっているみたいだね。それじゃ、彼らに「クリークタンツ」を披露しようか。ただ、死の舞踏「トーテンタンツ」のことは伝えないでおこう。			託された舞踏の心							
相手が「トーテンタンツ」を踊り始める前に対処できれば、「心の闇」を意識させることなく、外へと追い出せるそうなんだ。どうせなら、そのまま舞を楽しんでもらいたいしね！			相手が「トーテンタンツ」を踊り始める前に対処できれば、「心の闇」を意識させることなく、外へと追い出せるそうなんだ。どうせなら、そのまま舞を楽しんでもらいたいしね！			託された舞踏の心							
緊張するけど……私たちなら、きっとやれるはず！私が先に踊って、彼らの「心の闇」を引き出すから、現れた負のエーテル体の相手は頼んだよ？			緊張するけど……私たちなら、きっとやれるはず！私が先に踊って、彼らの「心の闇」を引き出すから、現れた負のエーテル体の相手は頼んだよ？			託された舞踏の心							
私は、近東の都「ラザハン」からやってきた、ファルシャム一座の踊り子、ラナー・ミーゴ。神殿騎士団の好意で、イシュガルドに招いてもらったんだ！			私は、近東の都「ラザハン」からやってきた、ファルシャム一座の踊り子、ラナー・ミーゴ。神殿騎士団の好意で、イシュガルドに招いてもらったんだ！			託された舞踏の心							
竜詩戦争からの復興で、苦労を重ねてきたみんなに、今だけは、寒さを忘れるくらい、身も心も熱くなってもらいたい。			竜詩戦争からの復興で、苦労を重ねてきたみんなに、今だけは、寒さを忘れるくらい、身も心も熱くなってもらいたい。			託された舞踏の心							
私たちの舞で！			私たちの舞で！			託された舞踏の心							
すごい……！素人の私には詳しいことはわからないけど、なにかが心の奥底まで染み込んで……。			すごい……！素人の私には詳しいことはわからないけど、なにかが心の奥底まで染み込んで……。			託された舞踏の心							
ああ、胸の中で淀んでいる膿や澱を追い出してくれるようだ……！			ああ、胸の中で淀んでいる膿や澱を追い出してくれるようだ……！			託された舞踏の心							
安心して、これもファルシャム一座の特別演出！私たちの「クリークタンツ」が、武の舞踏だってこと、観せてあげる！			安心して、これもファルシャム一座の特別演出！私たちの「クリークタンツ」が、武の舞踏だってこと、観せてあげる！			託された舞踏の心							
さあ、Forename……ブチのめしちゃえ！			さあ、Forename……ブチのめしちゃえ！			託された舞踏の心							
私のことより、観衆のみんなが襲われないうちに……！			私のことより、観衆のみんなが襲われないうちに……！			託された舞踏の心							
(-貧しい身なりの男性-)突然、舞踏公演があると聞いたときには、何事かと思ったが……まるで心に光が灯ったような、見事な踊りだった！それに、最後の魔物が登場する演出も見事だったな！			(-貧しい身なりの男性-)突然、舞踏公演があると聞いたときには、何事かと思ったが……まるで心に光が灯ったような、見事な踊りだった！それに、最後の魔物が登場する演出も見事だったな！			託された舞踏の心							
(-貧しい身なりの女性-)本当……一瞬、魔物が私の身体から出てきたかと思ったもの！それに、ふたりとも、私たちのために踊ってくれているのが、すごく伝わってきて……素晴らしかったわ！			(-貧しい身なりの女性-)本当……一瞬、魔物が私の身体から出てきたかと思ったもの！それに、ふたりとも、私たちのために踊ってくれているのが、すごく伝わってきて……素晴らしかったわ！			託された舞踏の心							
(-貧しい身なりの男性-)ああ、不思議なもんだな……。明日をも不安な身なのは変わらないのに、心が軽くなったよ。			(-貧しい身なりの男性-)ああ、不思議なもんだな……。明日をも不安な身なのは変わらないのに、心が軽くなったよ。			託された舞踏の心							
ありがとう……。そう言ってもらえるのが、何より嬉しいや！			ありがとう……。そう言ってもらえるのが、何より嬉しいや！			託された舞踏の心							
みんな、いい笑顔だったなあ……。心の闇も、Forenameが打ち砕いてくれたし、無事、成功だね！			みんな、いい笑顔だったなあ……。心の闇も、Forenameが打ち砕いてくれたし、無事、成功だね！			託された舞踏の心							
「トーテンタンツ」の発生を未然に防げたことも嬉しいけど……さっきのみんなのキラキラした表情、私、一生忘れないと思う。あの笑顔は、私たちだけの宝物だね。			「トーテンタンツ」の発生を未然に防げたことも嬉しいけど……さっきのみんなのキラキラした表情、私、一生忘れないと思う。あの笑顔は、私たちだけの宝物だね。			託された舞踏の心							
えへへ……それじゃ、「グリダニア」へ戻ろうか！一座のみんなにも、朗報を届けないと。			えへへ……それじゃ、「グリダニア」へ戻ろうか！一座のみんなにも、朗報を届けないと。			託された舞踏の心							
こちらも、おふたりがいない間、いろいろとありましてね。まあ、見てのとおり座長に関することなんですが……。			こちらも、おふたりがいない間、いろいろとありましてね。まあ、見てのとおり座長に関することなんですが……。			託された舞踏の心							
Forename、大変……！ナシュメラ先生がいなくなっちゃった！			Forename、大変……！ナシュメラ先生がいなくなっちゃった！			託された舞踏の心							
落ち着きなさいな……。座長は、自分の意志で一座を離れたのです。なんでも、エオルゼアにいる友人に会いに行くとか。			落ち着きなさいな……。座長は、自分の意志で一座を離れたのです。なんでも、エオルゼアにいる友人に会いに行くとか。			託された舞踏の心							
ほら、私らにゲゲルジュさんを紹介してくれたお人ですよ。……まあ、何処のどなたかは、教えてくれませんでしたがね。			ほら、私らにゲゲルジュさんを紹介してくれたお人ですよ。……まあ、何処のどなたかは、教えてくれませんでしたがね。			託された舞踏の心							
なんでも、その方も「トーテンタンツ」の事情をご存知だそうで。先んじて、最終公演の予定地、アラミゴの現状について、調べてくれているそうなのです。			なんでも、その方も「トーテンタンツ」の事情をご存知だそうで。先んじて、最終公演の予定地、アラミゴの現状について、調べてくれているそうなのです。			託された舞踏の心							
座長も、ご友人と合流し、現地の状況や公演の下準備を進めておくそうです。指示あるまでは、各々、修行をして待つようにとのことでした。			座長も、ご友人と合流し、現地の状況や公演の下準備を進めておくそうです。指示あるまでは、各々、修行をして待つようにとのことでした。			託された舞踏の心							
そっか……。私たちの報告を待たずに、次のアラミゴに向かうだなんて、イシュガルドでのこと、信じていてくれたのかな……？			そっか……。私たちの報告を待たずに、次のアラミゴに向かうだなんて、イシュガルドでのこと、信じていてくれたのかな……？			託された舞踏の心							
よし、じゃあ、こっちもナシュメラ先生を信じて待とう！アラミゴも帝国支配を脱したんだもんね……。きっと、公演の機会を掴んできてくれるよ！			よし、じゃあ、こっちもナシュメラ先生を信じて待とう！アラミゴも帝国支配を脱したんだもんね……。きっと、公演の機会を掴んできてくれるよ！			託された舞踏の心							
よし、じゃあ、こっちもナシュメラ先生を信じて待とう！アラミゴを解放しようと動いている人も沢山いるって聞くし、きっと、公演の機会もやってくるよ！			よし、じゃあ、こっちもナシュメラ先生を信じて待とう！アラミゴを解放しようと動いている人も沢山いるって聞くし、きっと、公演の機会もやってくるよ！			託された舞踏の心							
私たちで、アラミゴの人々をちゃんと鼓舞できるよう、さらに修行を積んでおこうね。また、観てくれた人を笑顔にできるようにさ！			私たちで、アラミゴの人々をちゃんと鼓舞できるよう、さらに修行を積んでおこうね。また、観てくれた人を笑顔にできるようにさ！			託された舞踏の心							
ナル回廊のナシュメラは、新たな国へ興行に向かいたいようだ。			ナル回廊のナシュメラは、新たな国へ興行に向かいたいようだ。			黒衣森に広がる不安							
グリダニアで問題が起きていないか、先に確認することになった。グリダニアの双蛇党：統合司令部前で「ナシュメラ」と落ち合おう。			グリダニアで問題が起きていないか、先に確認することになった。グリダニアの双蛇党：統合司令部前で「ナシュメラ」と落ち合おう。			黒衣森に広がる不安							
黒衣森のシェーダー族も、森で騒ぎを起こしているらしい。今度は冒険者とラナー・ミーゴだけでなく、ナシュメラも調査に向かうことになった。南部森林の酒房「バスカロンドラザーズ」で「ナシュメラ」と話そう。			黒衣森のシェーダー族も、森で騒ぎを起こしているらしい。今度は冒険者とラナー・ミーゴだけでなく、ナシュメラも調査に向かうことになった。南部森林の酒房「バスカロンドラザーズ」で「ナシュメラ」と話そう。			黒衣森に広がる不安							
シェーダー族も、奇妙な舞を踊っていたらしい。南部森林のアッパーパスの「指定地点」で周囲を見渡し、シェーダー族を探そう。			シェーダー族も、奇妙な舞を踊っていたらしい。南部森林のアッパーパスの「指定地点」で周囲を見渡し、シェーダー族を探そう。			黒衣森に広がる不安							
ナシュメラがシェーダー族に舞を踊ってみせると、シェーダー族の身体からエーテル体が現れた。アッパーパスで、「謎めいたエーテル体」を討伐しよう。			ナシュメラがシェーダー族に舞を踊ってみせると、シェーダー族の身体からエーテル体が現れた。アッパーパスで、「謎めいたエーテル体」を討伐しよう。			黒衣森に広がる不安							
謎めいたエーテル体を討伐した。アッパーパスで「ナシュメラ」を救助しよう。			謎めいたエーテル体を討伐した。アッパーパスで「ナシュメラ」を救助しよう。			黒衣森に広がる不安							
ひとまず、目撃した内容を双蛇党に報告することになった。双蛇党：統合司令部にいる将校に話を伝えよう。			ひとまず、目撃した内容を双蛇党に報告することになった。双蛇党：統合司令部にいる将校に話を伝えよう。			黒衣森に広がる不安							
ナシュメラから、死の舞踏「トーテンタンツ」の秘密を聞いた。ガヴィン少牙士も、各国に協力を要請してくれるという。死の舞踏によって現れた心の闇を打ち倒すため、武の舞踏の技を磨いておこう。※踊り子のレベルが68以上になると、双蛇党：統合司令部前のナシュメラから次の踊り子クエストを受注することができます。			ナシュメラから、死の舞踏「トーテンタンツ」の秘密を聞いた。ガヴィン少牙士も、各国に協力を要請してくれるという。死の舞踏によって現れた心の闇を打ち倒すため、武の舞踏の技を磨いておこう。※踊り子のレベルが68以上になると、双蛇党：統合司令部前のナシュメラから次の踊り子クエストを受注することができます。			黒衣森に広がる不安							
双蛇党：統合司令部前のナシュメラと話す			双蛇党：統合司令部前のナシュメラと話す			黒衣森に広がる不安							
酒房「バスカロンドラザーズ」のナシュメラと話す			酒房「バスカロンドラザーズ」のナシュメラと話す			黒衣森に広がる不安							
指定地点で見渡す			指定地点で見渡す			黒衣森に広がる不安							
謎めいたエーテル体を討伐			謎めいたエーテル体を討伐			黒衣森に広がる不安							
ナシュメラを救助			ナシュメラを救助			黒衣森に広がる不安							
双蛇党：統合司令部にいる将校に報告			双蛇党：統合司令部にいる将校に報告			黒衣森に広がる不安							
迷惑かけちゃって、ごめんね。もう二度と、おなじ失態を繰り返さないよう、ウルダハでの公演を全力でやりきって、心構えを学び直すよ。			迷惑かけちゃって、ごめんね。もう二度と、おなじ失態を繰り返さないよう、ウルダハでの公演を全力でやりきって、心構えを学び直すよ。			黒衣森に広がる不安							
旅の一座にとって、お客様とは一期一会。失敗を取り返す二度目がない分、すべては観客のために、という気持ちが特に大切なんです。			旅の一座にとって、お客様とは一期一会。失敗を取り返す二度目がない分、すべては観客のために、という気持ちが特に大切なんです。			黒衣森に広がる不安							
ようこそ、ウルダハでの興行も一段落したところよ！ラナーも奮起して、驕ることなく全力を尽くしてくれたわ。			ようこそ、ウルダハでの興行も一段落したところよ！ラナーも奮起して、驕ることなく全力を尽くしてくれたわ。			黒衣森に広がる不安							
最初に巡ると決めた三ヶ国も、あとはグリダニアを残すのみ。さっそく、現地へ向かいたいのだけれど……あちらでも、問題が起きていないとも限らない。			最初に巡ると決めた三ヶ国も、あとはグリダニアを残すのみ。さっそく、現地へ向かいたいのだけれど……あちらでも、問題が起きていないとも限らない。			黒衣森に広がる不安							
まずは、グリダニアのグランドカンパニー、双蛇党の「統合司令部」というところに向かって、話を聞いてみましょう。			まずは、グリダニアのグランドカンパニー、双蛇党の「統合司令部」というところに向かって、話を聞いてみましょう。			黒衣森に広がる不安							
なんだか、また問題が起きているみたい……。			なんだか、また問題が起きているみたい……。			黒衣森に広がる不安							
ふむ？　問題続きだというのに、座長はずいぶんと落ち着いていますね……。			ふむ？　問題続きだというのに、座長はずいぶんと落ち着いていますね……。			黒衣森に広がる不安							
普段なら、森の精霊をいたずらに刺激しなければ、興行を行っていただいて構わないのですが……。			普段なら、森の精霊をいたずらに刺激しなければ、興行を行っていただいて構わないのですが……。			黒衣森に広がる不安							
Forename、嫌な予想が当たったわ……。グリダニアでも、やはり問題が起きているらしいの。			Forename、嫌な予想が当たったわ……。グリダニアでも、やはり問題が起きているらしいの。			黒衣森に広がる不安							
ええ……最近になって、都市の掟に従わないシェーダー族たちが徒党を組み、森の外れで、怪しげな集会を開いているようなのです。			ええ……最近になって、都市の掟に従わないシェーダー族たちが徒党を組み、森の外れで、怪しげな集会を開いているようなのです。			黒衣森に広がる不安							
シェーダー族とは、グリダニア建国時に精霊に従うことを拒み、地下洞窟での生活を選んだ者たちの末裔です。			シェーダー族とは、グリダニア建国時に精霊に従うことを拒み、地下洞窟での生活を選んだ者たちの末裔です。			黒衣森に広がる不安							
よく言えば自由を好む者たち、悪く言えば無法者の集団……。中には盗賊まがいの生き方を続ける者もいるため、元より、都市民との折り合いは良くありません。			よく言えば自由を好む者たち、悪く言えば無法者の集団……。中には盗賊まがいの生き方を続ける者もいるため、元より、都市民との折り合いは良くありません。			黒衣森に広がる不安							
そんな連中が集まり、騒ぎ始めたとあって、反乱を起こすつもりなのではないかと疑われていまして……。			そんな連中が集まり、騒ぎ始めたとあって、反乱を起こすつもりなのではないかと疑われていまして……。			黒衣森に広がる不安							
しかも、彼らの集団が目撃されているのが、公演予定地の近くらしく、興行の許可が降りないのよ。			しかも、彼らの集団が目撃されているのが、公演予定地の近くらしく、興行の許可が降りないのよ。			黒衣森に広がる不安							
Forename、ラナー。あなたたちが力を貸してくれるというのなら……この一件、私たちの一座で解決してみない？			Forename、ラナー。あなたたちが力を貸してくれるというのなら……この一件、私たちの一座で解決してみない？			黒衣森に広がる不安							
もちろん……！ウルダハでの汚名、必ず返上してみせます。ですからどうか、シェーダー族を鎮める役目を任せてください！			もちろん……！ウルダハでの汚名、必ず返上してみせます。ですからどうか、シェーダー族を鎮める役目を任せてください！			黒衣森に広がる不安							
ありがとう、ふたりとも……。シェーダー族が抱える不安、踊り子の舞で消し去りましょう。			ありがとう、ふたりとも……。シェーダー族が抱える不安、踊り子の舞で消し去りましょう。			黒衣森に広がる不安							
たしかに、グリダニアの民が接触したところで、逆効果にしかならないでしょうが、あなた方なら……。しかし、くれぐれも気をつけてくださいね？			たしかに、グリダニアの民が接触したところで、逆効果にしかならないでしょうが、あなた方なら……。しかし、くれぐれも気をつけてくださいね？			黒衣森に広がる不安							
ええ、もちろん。今回は、彼らふたりに加えて、座長である私も同行します。監督役の意味もあるし……この目で確かめたいこともあるので。			ええ、もちろん。今回は、彼らふたりに加えて、座長である私も同行します。監督役の意味もあるし……この目で確かめたいこともあるので。			黒衣森に広がる不安							
