弓術士ギルドマスター、ルシアヌの周囲で、何やら揉め事があるようだが……。			弓術士ギルドマスター、ルシアヌの周囲で、何やら揉め事があるようだが……。			迷い無き瞳							
密猟者「パワ・ムジューク」の尻尾を掴んだ冒険者の働きを賞賛するルシアヌ。レイとシルヴェル、ひいては弓術士ギルドのために、冒険者の目を貸してほしいと言う。彼女の期待に応えられるよう、弓術の鍛錬に励もう。※弓術士のレベルが25以上になると、ルシアヌから次の弓術士クエストを受注することができます。			密猟者「パワ・ムジューク」の尻尾を掴んだ冒険者の働きを賞賛するルシアヌ。レイとシルヴェル、ひいては弓術士ギルドのために、冒険者の目を貸してほしいと言う。彼女の期待に応えられるよう、弓術の鍛錬に励もう。※弓術士のレベルが25以上になると、ルシアヌから次の弓術士クエストを受注することができます。			闇に放たれし矢							
バスカロンドラザーズのバスカロンと話す			バスカロンドラザーズのバスカロンと話す			闇に放たれし矢							
密猟者の手がかりを探す			密猟者の手がかりを探す			闇に放たれし矢							
バスカロンドラザーズで待つ			バスカロンドラザーズで待つ			闇に放たれし矢							
バスカロン監視所跡で密猟者の手がかりを探す			バスカロン監視所跡で密猟者の手がかりを探す			闇に放たれし矢							
バスカロンと話す			バスカロンと話す			闇に放たれし矢							
弓術士ギルドのルシアヌに報告			弓術士ギルドのルシアヌに報告			闇に放たれし矢							
密猟者たちを倒せ！			密猟者たちを倒せ！			闇に放たれし矢							
待っていたわ、Forename。あなたの、弓術士としての目を借りたいの。			待っていたわ、Forename。あなたの、弓術士としての目を借りたいの。			闇に放たれし矢							
南部森林にある酒房「バスカロンドラザーズ」の店主から相談があったわ。			南部森林にある酒房「バスカロンドラザーズ」の店主から相談があったわ。			闇に放たれし矢							
密猟者が酒場の付近で目撃されて、弓術士ギルドの力を借りたいということよ。あなたたち3人で向かってくれるかしら？			密猟者が酒場の付近で目撃されて、弓術士ギルドの力を借りたいということよ。あなたたち3人で向かってくれるかしら？			闇に放たれし矢							
3人って……アタシと、Forenameと……			3人って……アタシと、Forenameと……			闇に放たれし矢							
ルシアヌ、俺ひとりでいい。こいつらは足手まといだ。			ルシアヌ、俺ひとりでいい。こいつらは足手まといだ。			闇に放たれし矢							
いいえ、3人で行って。それに、この子の弓を認めたのはあなたよ、シルヴェル。			いいえ、3人で行って。それに、この子の弓を認めたのはあなたよ、シルヴェル。			闇に放たれし矢							
ギルドに籍を置くことは許したが、弓術士として認めたつもりはない。			ギルドに籍を置くことは許したが、弓術士として認めたつもりはない。			闇に放たれし矢							
アンタさ、何様？「元」神勇隊がさ、ギルドマスターでもないくせに。			アンタさ、何様？「元」神勇隊がさ、ギルドマスターでもないくせに。			闇に放たれし矢							
……俺はお前のことも認めたつもりはない。故郷を守る誇りを知らぬ、野蛮なムーンキーパーが。			……俺はお前のことも認めたつもりはない。故郷を守る誇りを知らぬ、野蛮なムーンキーパーが。			闇に放たれし矢							
ハッ……上等だな。守る戦い方しか知らない、頭でっかちのお坊ちゃんが。			ハッ……上等だな。守る戦い方しか知らない、頭でっかちのお坊ちゃんが。			闇に放たれし矢							
……もう一度言うわよ？			……もう一度言うわよ？			闇に放たれし矢							
3人で南部森林の「バスカロンドラザーズ」へ行きなさい。いいわね？			3人で南部森林の「バスカロンドラザーズ」へ行きなさい。いいわね？			闇に放たれし矢							
よう、弓術士たち。バスカロンドラザーズへ、よく来てくれた。			よう、弓術士たち。バスカロンドラザーズへ、よく来てくれた。			闇に放たれし矢							
ルシアヌから、話は聞いているな？この酒場の付近で「密猟者」が見かけられてな。奴らの手がかりを追うために、お前らの「目」を借りたい。			ルシアヌから、話は聞いているな？この酒場の付近で「密猟者」が見かけられてな。奴らの手がかりを追うために、お前らの「目」を借りたい。			闇に放たれし矢							
お言葉ですが、この付近で「密猟者」が見かけられるのは、珍しくはないことでしょう。大きな被害があった様子もないが、何故、わざわざ？			お言葉ですが、この付近で「密猟者」が見かけられるのは、珍しくはないことでしょう。大きな被害があった様子もないが、何故、わざわざ？			闇に放たれし矢							
それがな……ただの密猟者じゃない。「パワ・ムジューク」の一団だっていう話だ。			それがな……ただの密猟者じゃない。「パワ・ムジューク」の一団だっていう話だ。			闇に放たれし矢							
……！			……！			闇に放たれし矢							
奴らは定期的に根城を移すだろう？だから、今のうちに尻尾を掴んでおきたいんだ。			奴らは定期的に根城を移すだろう？だから、今のうちに尻尾を掴んでおきたいんだ。			闇に放たれし矢							
だがよ、バスカロンドラザーズは、知ってのとおり、北のレッドベリー砦を領地とする盗賊どもと、不可侵の条約を結んでいる。			だがよ、バスカロンドラザーズは、知ってのとおり、北のレッドベリー砦を領地とする盗賊どもと、不可侵の条約を結んでいる。			闇に放たれし矢							
密猟者探しに鬼哭隊や神勇隊を呼び出して、レッドベリーの奴らを刺激するのは避けたい。それで、あんたらに依頼したという訳だ。			密猟者探しに鬼哭隊や神勇隊を呼び出して、レッドベリーの奴らを刺激するのは避けたい。それで、あんたらに依頼したという訳だ。			闇に放たれし矢							
……事情はわかりました。ならば、我々も手を尽くしましょう。			……事情はわかりました。ならば、我々も手を尽くしましょう。			闇に放たれし矢							
レイ、Forename。まずは、この近辺で密猟者の手がかりを探すぞ。			レイ、Forename。まずは、この近辺で密猟者の手がかりを探すぞ。			闇に放たれし矢							
3つほど手がかりを見つけたら、一度この酒場で落ち合おう。			3つほど手がかりを見つけたら、一度この酒場で落ち合おう。			闇に放たれし矢							
※このステップは　机で待ち合わせ→レイ、シルヴェルとのLcutに　修正予定			※このステップは　机で待ち合わせ→レイ、シルヴェルとのLcutに　修正予定			闇に放たれし矢							
「トラバサミ」に「密猟者の矢」か……密猟者のものだというのはわかるが、「パワ」の一団だという決め手には欠ける。			「トラバサミ」に「密猟者の矢」か……密猟者のものだというのはわかるが、「パワ」の一団だという決め手には欠ける。			闇に放たれし矢							
この「汚れた古い酒瓶」にいたっては、かなり古いものだ。どうやら、この酒場のものではない。これは、なんの手がかりにもならないな。			この「汚れた古い酒瓶」にいたっては、かなり古いものだ。どうやら、この酒場のものではない。これは、なんの手がかりにもならないな。			闇に放たれし矢							
……なあ、その「パワ」って何なんだ？			……なあ、その「パワ」って何なんだ？			闇に放たれし矢							
「パワ・ムジューク」。グリダニアに悪名を轟かせている密猟者だ。			「パワ・ムジューク」。グリダニアに悪名を轟かせている密猟者だ。			闇に放たれし矢							
本来は徒党を組まぬ密猟者どもを、まとめあげる指導力と、圧倒的な弓の腕を誇る、ムーンキーパー。			本来は徒党を組まぬ密猟者どもを、まとめあげる指導力と、圧倒的な弓の腕を誇る、ムーンキーパー。			闇に放たれし矢							
かつて、一度は捕縛しかけたのだが、監視の衛士がやつの口車に乗せられ、まんまと逃げられてしまった。……それだけだ。			かつて、一度は捕縛しかけたのだが、監視の衛士がやつの口車に乗せられ、まんまと逃げられてしまった。……それだけだ。			闇に放たれし矢							
……ふぅん。			……ふぅん。			闇に放たれし矢							
まあ、アタシらは、やるべきことはやったよ。手がかり探しは、もう十分じゃないか？			まあ、アタシらは、やるべきことはやったよ。手がかり探しは、もう十分じゃないか？			闇に放たれし矢							
それに、密猟者がパワかどうかなんてアタシら一介の弓術士には関係ないじゃないか。あとは鬼哭隊と神勇隊がなんとかしてくれるだろ。			それに、密猟者がパワかどうかなんてアタシら一介の弓術士には関係ないじゃないか。あとは鬼哭隊と神勇隊がなんとかしてくれるだろ。			闇に放たれし矢							
パワ・ムジュークをなめるな。残忍で狡猾な密猟者を放っておけば、都市にとって大きな痛手だ。			パワ・ムジュークをなめるな。残忍で狡猾な密猟者を放っておけば、都市にとって大きな痛手だ。			闇に放たれし矢							
……故郷も責任感もないムーンキーパーや、冒険者には、知ったことのないことかもしれんがな。			……故郷も責任感もないムーンキーパーや、冒険者には、知ったことのないことかもしれんがな。			闇に放たれし矢							
聞き捨てならないね。Forename、アンタもなんか言ってやれよ！			聞き捨てならないね。Forename、アンタもなんか言ってやれよ！			闇に放たれし矢							
何て言う？			何て言う？			闇に放たれし矢							
言い争っている場合じゃない			言い争っている場合じゃない			闇に放たれし矢							
…………。			…………。			闇に放たれし矢							
ふん、何も言えないか。俺の言うとおりだということだ。			ふん、何も言えないか。俺の言うとおりだということだ。			闇に放たれし矢							
……ちょっと、Forename！			……ちょっと、Forename！			闇に放たれし矢							
……チッ。悔しいが、冒険者の言うとおりだな。この手がかりから、何とか「パワ」に繋がるものを見つけ出さなくては。			……チッ。悔しいが、冒険者の言うとおりだな。この手がかりから、何とか「パワ」に繋がるものを見つけ出さなくては。			闇に放たれし矢							
そうは言ったって、この「トラバサミ」も「矢」も、アタシらが見つけたものも全部、密猟者なら当たり前に使うものだ。			そうは言ったって、この「トラバサミ」も「矢」も、アタシらが見つけたものも全部、密猟者なら当たり前に使うものだ。			闇に放たれし矢							
Forename、ほかに何かないのか？			Forename、ほかに何かないのか？			闇に放たれし矢							
何を見せる？			何を見せる？			闇に放たれし矢							
密猟者の矢を見せる			密猟者の矢を見せる			闇に放たれし矢							
トラバサミを見せる			トラバサミを見せる			闇に放たれし矢							
汚れた古い酒瓶を見せる			汚れた古い酒瓶を見せる			闇に放たれし矢							
密猟者の使う矢だな。これだけじゃ、「パワ」の手がかりにはならないぞ。			密猟者の使う矢だな。これだけじゃ、「パワ」の手がかりにはならないぞ。			闇に放たれし矢							
密猟者が動物を捕まえるときに使う罠だ。			密猟者が動物を捕まえるときに使う罠だ。			闇に放たれし矢							
人やチョコボが怪我をする原因になるため、グリダニアの猟師たちは、まず使わない。			人やチョコボが怪我をする原因になるため、グリダニアの猟師たちは、まず使わない。			闇に放たれし矢							
密猟者ならば当たり前に使うものだが、これだけでは「パワ」の手がかりにはならないな。			密猟者ならば当たり前に使うものだが、これだけでは「パワ」の手がかりにはならないな。			闇に放たれし矢							
その酒瓶が、どうしたというんだ？そんな傷だらけで古いもの……			その酒瓶が、どうしたというんだ？そんな傷だらけで古いもの……			闇に放たれし矢							
そういや、なんでそんなのが森の中にあるんだ？ここの酒場のものじゃないなら、どこから持ってきたんだ？			そういや、なんでそんなのが森の中にあるんだ？ここの酒場のものじゃないなら、どこから持ってきたんだ？			闇に放たれし矢							
いや、待て……酒房の店主バスカロンは、元、哨兵だった。確か、彼が霊災前に駐在していた小屋があったはず。			いや、待て……酒房の店主バスカロンは、元、哨兵だった。確か、彼が霊災前に駐在していた小屋があったはず。			闇に放たれし矢							
「バスカロン監視所跡地」……あそこならば……！			「バスカロン監視所跡地」……あそこならば……！			闇に放たれし矢							
おい、行くぞ！あの付近で「パワ」の手がかりを探すんだ！			おい、行くぞ！あの付近で「パワ」の手がかりを探すんだ！			闇に放たれし矢							
何か見つかったか？			何か見つかったか？			闇に放たれし矢							
見ろ、この床板の痕跡……。ミコッテ族のものだ。			見ろ、この床板の痕跡……。ミコッテ族のものだ。			闇に放たれし矢							
まだ新しい。アタシらが探りにきたのに感付いて移動したか……あるいは、まだ近くに……			まだ新しい。アタシらが探りにきたのに感付いて移動したか……あるいは、まだ近くに……			闇に放たれし矢							
……伏せろッ！			……伏せろッ！			闇に放たれし矢							
……あらぁ？てっきり煩わしい仮面共かと思ったけど。			……あらぁ？てっきり煩わしい仮面共かと思ったけど。			闇に放たれし矢							
ふふ、仮面なんかない方がずっとステキね。			ふふ、仮面なんかない方がずっとステキね。			闇に放たれし矢							
でも、レディをコソコソ嗅ぎ回るのって、不躾よ。			でも、レディをコソコソ嗅ぎ回るのって、不躾よ。			闇に放たれし矢							
賊が躾を語るか、面白い冗談だ。			賊が躾を語るか、面白い冗談だ。			闇に放たれし矢							
……数が多い。手分けするぞ。			……数が多い。手分けするぞ。			闇に放たれし矢							
頭と取り巻きはアタシがやる。……仲間同士の気配が読めない距離まで引き離す。			頭と取り巻きはアタシがやる。……仲間同士の気配が読めない距離まで引き離す。			闇に放たれし矢							
ここは、二人に任せるわ。			ここは、二人に任せるわ。			闇に放たれし矢							
……好きにしろ。			……好きにしろ。			闇に放たれし矢							
やったか？……まあ、当然だな。			やったか？……まあ、当然だな。			闇に放たれし矢							
レイは……？			レイは……？			闇に放たれし矢							
……あっちか。行くぞ。			……あっちか。行くぞ。			闇に放たれし矢							
情けないわね。それでもムーンキーパー？			情けないわね。それでもムーンキーパー？			闇に放たれし矢							
牙を失くした獣は狩られるだけよ。			牙を失くした獣は狩られるだけよ。			闇に放たれし矢							
……っ！			……っ！			闇に放たれし矢							
……あら、残念。時間切れね。			……あら、残念。時間切れね。			闇に放たれし矢							
またね、子猫ちゃん。			またね、子猫ちゃん。			闇に放たれし矢							
やはり、パワ・ムジュークの一団だったか。バスカロンに報告に行かねばだな。			やはり、パワ・ムジュークの一団だったか。バスカロンに報告に行かねばだな。			闇に放たれし矢							
パワ・ムジューク……。アタシの弓が、さっぱり敵わなかった……。			パワ・ムジューク……。アタシの弓が、さっぱり敵わなかった……。			闇に放たれし矢							
何！？　監視所跡で、パワの一団と戦ったのか！			何！？　監視所跡で、パワの一団と戦ったのか！			闇に放たれし矢							
やはり奴らだったとは……看過するわけにはいかん。鬼哭隊と神勇隊に、対応を要請するべきか。			やはり奴らだったとは……看過するわけにはいかん。鬼哭隊と神勇隊に、対応を要請するべきか。			闇に放たれし矢							
事を荒立てぬよう、レッドベリーの奴らと交渉をしてはみるが、奴らの了承を得るには、しばらく時間がかかるだろう。			事を荒立てぬよう、レッドベリーの奴らと交渉をしてはみるが、奴らの了承を得るには、しばらく時間がかかるだろう。			闇に放たれし矢							
パワの奴らも、見つかったとわかれば早々に根城を移動するかもしれんな……。			パワの奴らも、見つかったとわかれば早々に根城を移動するかもしれんな……。			闇に放たれし矢							
……おっと、すまん。ともかく、お前たちはよく働いてくれた。ルシアヌにも礼を伝えておいてくれ。			……おっと、すまん。ともかく、お前たちはよく働いてくれた。ルシアヌにも礼を伝えておいてくれ。			闇に放たれし矢							
シルヴェルから聞いたわ。密猟者は、パワの一団だったそうね。			シルヴェルから聞いたわ。密猟者は、パワの一団だったそうね。			闇に放たれし矢							
「パワ・ムジューク」……。グリダニアの者ならば、一度はその名を耳にしたことがあるでしょう。			「パワ・ムジューク」……。グリダニアの者ならば、一度はその名を耳にしたことがあるでしょう。			闇に放たれし矢							
正直、私たち弓術士だけの手に負える相手ではないわ。今回の件については、鬼哭隊や神勇隊も動くことになるでしょうね。			正直、私たち弓術士だけの手に負える相手ではないわ。今回の件については、鬼哭隊や神勇隊も動くことになるでしょうね。			闇に放たれし矢							
本当に、よくやってくれたわ。何しろ、あのふたりに同じ仕事を任せて、喧嘩をせずに戻ってきたのは初めてのことだもの。			本当に、よくやってくれたわ。何しろ、あのふたりに同じ仕事を任せて、喧嘩をせずに戻ってきたのは初めてのことだもの。			闇に放たれし矢							
……Forename。あなたは、素直なよい目を持っている。			……Forename。あなたは、素直なよい目を持っている。			闇に放たれし矢							
どうかその目を磨き、あの「ふたり」に貸してあげて。あなたの目はきっと、ギルドの皆の弓術を、よりよいものにしてくれる。			どうかその目を磨き、あの「ふたり」に貸してあげて。あなたの目はきっと、ギルドの皆の弓術を、よりよいものにしてくれる。			闇に放たれし矢							
もちろん、戦いを通じての鍛錬も忘れないで。さらに腕を上げたあなたに会えることを、楽しみにしているわ。			もちろん、戦いを通じての鍛錬も忘れないで。さらに腕を上げたあなたに会えることを、楽しみにしているわ。			闇に放たれし矢							
敵の気配を感じた！！			敵の気配を感じた！！			闇に放たれし矢							
クエスト「闇に放たれし矢」のバトルを開始しますか？			クエスト「闇に放たれし矢」のバトルを開始しますか？			闇に放たれし矢							
はい			はい			闇に放たれし矢							
いいえ			いいえ			闇に放たれし矢							
パワ様の邪魔はさせないっ！			パワ様の邪魔はさせないっ！			闇に放たれし矢							
Forename！俺の邪魔は、するなよっ！			Forename！俺の邪魔は、するなよっ！			闇に放たれし矢							
くっ……生意気な弓使いどもがっ！			くっ……生意気な弓使いどもがっ！			闇に放たれし矢							
敵に回復魔法の使い手が……この戦い、下手すると長引くぞ			敵に回復魔法の使い手が……この戦い、下手すると長引くぞ			闇に放たれし矢							
Forename、幻術士をさっさと片付けてしまえ！			Forename、幻術士をさっさと片付けてしまえ！			闇に放たれし矢							
このっ……調子に乗りやがって！			このっ……調子に乗りやがって！			闇に放たれし矢							
クイックノックだと……ふんっ、敵にも腕の立つやつがいるらしい。			クイックノックだと……ふんっ、敵にも腕の立つやつがいるらしい。			闇に放たれし矢							
Forenameまともに食らったら死ぬぞ、立ち位置に気をつけろ！			Forenameまともに食らったら死ぬぞ、立ち位置に気をつけろ！			闇に放たれし矢							
俺としたことが、しくじった……。			俺としたことが、しくじった……。			闇に放たれし矢							
弓術士ギルドのルシアヌは、腕を磨いた冒険者に、シルヴェルからの指導を受けさせようとしている。			弓術士ギルドのルシアヌは、腕を磨いた冒険者に、シルヴェルからの指導を受けさせようとしている。			シルヴェルの弓術							
ルシアヌから、兄弟子のシルヴェルから指導を受けるよう言われた。「弓術士ギルド」にいる「シルヴェル」に声をかけよう。			ルシアヌから、兄弟子のシルヴェルから指導を受けるよう言われた。「弓術士ギルド」にいる「シルヴェル」に声をかけよう。			シルヴェルの弓術							
シルヴェルから、東部森林の的の破壊を命じられた。マトを効率良く破壊するためには、周囲の魔物の動きをよく観察し、気付かれぬよう行動するといいらしい。東部森林に設置された「弓術用の的」を6つ、「ヘヴィショット」で破壊してこよう。			シルヴェルから、東部森林の的の破壊を命じられた。マトを効率良く破壊するためには、周囲の魔物の動きをよく観察し、気付かれぬよう行動するといいらしい。東部森林に設置された「弓術用の的」を6つ、「ヘヴィショット」で破壊してこよう。			シルヴェルの弓術							
的を破壊することができた。「弓術士ギルド」にいる「シルヴェル」に報告しよう。			的を破壊することができた。「弓術士ギルド」にいる「シルヴェル」に報告しよう。			シルヴェルの弓術							
シルヴェルから、北部森林の川辺に現れるイクサル族の斥候部隊の撃退を命じられた。すべての敵を倒さずとも、部隊を率いる「侵奪のネズル・カットラン」を討伐すればよいとのこと。指定された場所に向かい、待ちぶせをしよう。			シルヴェルから、北部森林の川辺に現れるイクサル族の斥候部隊の撃退を命じられた。すべての敵を倒さずとも、部隊を率いる「侵奪のネズル・カットラン」を討伐すればよいとのこと。指定された場所に向かい、待ちぶせをしよう。			シルヴェルの弓術							
侵奪のネズル・カットランを討伐し、斥候部隊を退けることができた。「弓術士ギルド」に戻り、「シルヴェル」に報告しよう。			侵奪のネズル・カットランを討伐し、斥候部隊を退けることができた。「弓術士ギルド」に戻り、「シルヴェル」に報告しよう。			シルヴェルの弓術							
冒険者の活躍をマグレだと言うシルヴェル。いずれにせよ、結果は認めてもらえたようだ。「弓術士ギルド」の「ルシアヌ」に報告しよう。			冒険者の活躍をマグレだと言うシルヴェル。いずれにせよ、結果は認めてもらえたようだ。「弓術士ギルド」の「ルシアヌ」に報告しよう。			シルヴェルの弓術							
シルヴェルは、彼の言葉に反して冒険者のことを認めていると言うルシアヌ。口元に手を当てるというのは、シルヴェルが嘘をつくときにする仕草らしい。ふたりの先輩の指導を終え、弓術士ギルドの基礎を学び終えた証として、ギルドに伝わる技を伝授された。この技を自在に使いこなせるよう、さらに弓術の鍛錬に励もう。※弓術士のレベルが20以上になると、ルシアヌから次の弓術士クエストを受注することができます。			シルヴェルは、彼の言葉に反して冒険者のことを認めていると言うルシアヌ。口元に手を当てるというのは、シルヴェルが嘘をつくときにする仕草らしい。ふたりの先輩の指導を終え、弓術士ギルドの基礎を学び終えた証として、ギルドに伝わる技を伝授された。この技を自在に使いこなせるよう、さらに弓術の鍛錬に励もう。※弓術士のレベルが20以上になると、ルシアヌから次の弓術士クエストを受注することができます。			シルヴェルの弓術							
シルヴェルと話す			シルヴェルと話す			シルヴェルの弓術							
東部森林の弓術用の的をヘヴィショットで破壊			東部森林の弓術用の的をヘヴィショットで破壊			シルヴェルの弓術							
弓術士ギルドのシルヴェルに報告			弓術士ギルドのシルヴェルに報告			シルヴェルの弓術							
北部森林の指定地点で待つ			北部森林の指定地点で待つ			シルヴェルの弓術							
弓術士ギルドのシルヴェルに報告			弓術士ギルドのシルヴェルに報告			シルヴェルの弓術							
ルシアヌに報告			ルシアヌに報告			シルヴェルの弓術							
侵奪のネズル・カットランを倒せ！			侵奪のネズル・カットランを倒せ！			シルヴェルの弓術							
待っていたわ、Forename。着実に腕を磨いているようね。			待っていたわ、Forename。着実に腕を磨いているようね。			シルヴェルの弓術							
以前言ったように、今回はあなたの兄弟子「シルヴェル」から指導を受けてもらうつもりよ。			以前言ったように、今回はあなたの兄弟子「シルヴェル」から指導を受けてもらうつもりよ。			シルヴェルの弓術							
彼は少し尊大なところがあるけれど、元、神勇隊だけあって、前線で鍛えた腕は確かよ。彼のところへ行き、話を聞いていらっしゃい。			彼は少し尊大なところがあるけれど、元、神勇隊だけあって、前線で鍛えた腕は確かよ。彼のところへ行き、話を聞いていらっしゃい。			シルヴェルの弓術							
……確かに、以前よりは腕を上げたようだな。			……確かに、以前よりは腕を上げたようだな。			シルヴェルの弓術							
それでもお前の弓は、まったくなっていない。それは、「弓術士」の意味を理解していないからだ。			それでもお前の弓は、まったくなっていない。それは、「弓術士」の意味を理解していないからだ。			シルヴェルの弓術							
弓術とは、我らフォレスターの誇り高き技。その真髄は、都市を守るために磨かれた、「見抜く力」にほかならない。			弓術とは、我らフォレスターの誇り高き技。その真髄は、都市を守るために磨かれた、「見抜く力」にほかならない。			シルヴェルの弓術							
つまり、敵の残した微細な痕跡を探したり、僅かな動作や異変を見つけるという力だ。			つまり、敵の残した微細な痕跡を探したり、僅かな動作や異変を見つけるという力だ。			シルヴェルの弓術							
ま、冒険者ごときに理解できるとは思えんが……ルシアヌに免じて、指導だけはしてやる。			ま、冒険者ごときに理解できるとは思えんが……ルシアヌに免じて、指導だけはしてやる。			シルヴェルの弓術							
今回お前のなすべきことは、東部森林に赴き、的を破壊すること。ただし……今までのように簡単に壊せると思うな。			今回お前のなすべきことは、東部森林に赴き、的を破壊すること。ただし……今までのように簡単に壊せると思うな。			シルヴェルの弓術							
敵の動作を見抜くことが重要だと言っただろう？			敵の動作を見抜くことが重要だと言っただろう？			シルヴェルの弓術							
的が仕掛けられているのは、凶暴な魔物が多い場所。さらに、的は簡単には見つからない場所に設置してある。			的が仕掛けられているのは、凶暴な魔物が多い場所。さらに、的は簡単には見つからない場所に設置してある。			シルヴェルの弓術							
運良く的を見つけても、射抜くためには魔物の群れをかいくぐらねばならんだろう。……さあ、どうすればいい？			運良く的を見つけても、射抜くためには魔物の群れをかいくぐらねばならんだろう。……さあ、どうすればいい？			シルヴェルの弓術							
よく敵の動きを「観察」し、魔物どもに気付かれぬよう、立ち振る舞うのだ。			よく敵の動きを「観察」し、魔物どもに気付かれぬよう、立ち振る舞うのだ。			シルヴェルの弓術							
目を持つ魔物ならば、奴らの視界に入らぬよう、目を持たぬ魔物ならば、物音を立てぬよう、行動してみろ。			目を持つ魔物ならば、奴らの視界に入らぬよう、目を持たぬ魔物ならば、物音を立てぬよう、行動してみろ。			シルヴェルの弓術							
……俺の助言に従うかどうかは、お前次第だ。せいぜい努力してみるがいい。			……俺の助言に従うかどうかは、お前次第だ。せいぜい努力してみるがいい。			シルヴェルの弓術							
（仮）todoがきたら差し替えます			（仮）todoがきたら差し替えます			シルヴェルの弓術							
的を壊してきたようだな。冒険者にしては中々根性があるようだが、この程度で「弓術」を知ったと思わぬことだ。			的を壊してきたようだな。冒険者にしては中々根性があるようだが、この程度で「弓術」を知ったと思わぬことだ。			シルヴェルの弓術							
弓術の歴史は長く、奥深い。我らフォレスターは、グリダニアでの幾度もの戦いを経て、弓術を磨き上げてきた。			弓術の歴史は長く、奥深い。我らフォレスターは、グリダニアでの幾度もの戦いを経て、弓術を磨き上げてきた。			シルヴェルの弓術							
打たれ弱さを補うために、距離を生かして戦うこと、視界の外に身をひそめ、物陰から攻撃すること……これはすべて、我々が考えぬいた…………			打たれ弱さを補うために、距離を生かして戦うこと、視界の外に身をひそめ、物陰から攻撃すること……これはすべて、我々が考えぬいた…………			シルヴェルの弓術							
…………ばかばかしい。どうせ、よそ者には理解できんことだ。			…………ばかばかしい。どうせ、よそ者には理解できんことだ。			シルヴェルの弓術							
だが、万にひとつでも、お前に、誇り高きフォレスターの技を学びたいという意志があるのならば……			だが、万にひとつでも、お前に、誇り高きフォレスターの技を学びたいという意志があるのならば……			シルヴェルの弓術							
近頃、北部森林の川辺で目撃されている、我らが宿敵「イクサル族」の斥候部隊を撃退してみせろ。			近頃、北部森林の川辺で目撃されている、我らが宿敵「イクサル族」の斥候部隊を撃退してみせろ。			シルヴェルの弓術							
なに、部隊を殲滅しろという話ではない。部隊を率いる親玉「侵奪のネズル・カットラン」を、仕留めるんだ。			なに、部隊を殲滅しろという話ではない。部隊を率いる親玉「侵奪のネズル・カットラン」を、仕留めるんだ。			シルヴェルの弓術							
「侵奪のネズル・カットラン」は、雑兵に周囲の様子を探らせている。隙をついて雑兵の目をかいくぐり、目標だけを射抜け。			「侵奪のネズル・カットラン」は、雑兵に周囲の様子を探らせている。隙をついて雑兵の目をかいくぐり、目標だけを射抜け。			シルヴェルの弓術							
これこそが、グリダニアの弓術。俺が先ほどの試練で教えたことを活かせれば、さほど苦戦することもあるまい。			これこそが、グリダニアの弓術。俺が先ほどの試練で教えたことを活かせれば、さほど苦戦することもあるまい。			シルヴェルの弓術							
ヤツを仕留められたならば、お前の真剣さを認めてやらんでもない。……もっとも、おまえに真剣さがあればの話だがな。			ヤツを仕留められたならば、お前の真剣さを認めてやらんでもない。……もっとも、おまえに真剣さがあればの話だがな。			シルヴェルの弓術							
北部森林の衛士から、話を聞いた。「侵奪のネズル・カットラン」を退けたそうだな。まさか本当に、あの群れをくぐり抜けるとは……			北部森林の衛士から、話を聞いた。「侵奪のネズル・カットラン」を退けたそうだな。まさか本当に、あの群れをくぐり抜けるとは……			シルヴェルの弓術							
……ふん、運だけはいいようだな。マグレとは言え、約束は約束だ。ギルドで学ぶも、去るも、お前の勝手にするがいい。			……ふん、運だけはいいようだな。マグレとは言え、約束は約束だ。ギルドで学ぶも、去るも、お前の勝手にするがいい。			シルヴェルの弓術							
指導は終わりだ、ルシアヌに報告しておけ。			指導は終わりだ、ルシアヌに報告しておけ。			シルヴェルの弓術							
イクサル族の斥候部隊を撃退したそうね。驚いたわ、あの雑兵たちの目をかいくぐってみせるなんて。			イクサル族の斥候部隊を撃退したそうね。驚いたわ、あの雑兵たちの目をかいくぐってみせるなんて。			シルヴェルの弓術							
けどさ！　訓練にしちゃ危険すぎだ。Forenameは、冒険者だぞ？アイツと違って、グリダニアの駒じゃないんだ。			けどさ！　訓練にしちゃ危険すぎだ。Forenameは、冒険者だぞ？アイツと違って、グリダニアの駒じゃないんだ。			シルヴェルの弓術							
おまけに、それだけの危険を冒させておいて、Forenameの実力を、「マグレ」だなんて言いやがる。			おまけに、それだけの危険を冒させておいて、Forenameの実力を、「マグレ」だなんて言いやがる。			シルヴェルの弓術							
あら、そうでもないわよ？			あら、そうでもないわよ？			シルヴェルの弓術							
……え？			……え？			シルヴェルの弓術							
シルヴェルは間違いなく、この子の力を認めているわ。「マグレ」と言った時、彼は口元に手を当てたでしょう？			シルヴェルは間違いなく、この子の力を認めているわ。「マグレ」と言った時、彼は口元に手を当てたでしょう？			シルヴェルの弓術							
彼は本当のことを言いたくない時、あの仕草をするの。彼自身は気づいていないようだけど、この子の力に驚いているんだわ。			彼は本当のことを言いたくない時、あの仕草をするの。彼自身は気づいていないようだけど、この子の力に驚いているんだわ。			シルヴェルの弓術							
ふふ……。意外と自分のことは、見えていないものよ。			ふふ……。意外と自分のことは、見えていないものよ。			シルヴェルの弓術							
よくやったわね、Forename。あなたは、レイとシルヴェルの指導に取り組み、弓術士として力を証明してみせた。			よくやったわね、Forename。あなたは、レイとシルヴェルの指導に取り組み、弓術士として力を証明してみせた。			シルヴェルの弓術							
