アゴラの大繁盛商店の新人店員は、呼び込みをしているようだ。			アゴラの大繁盛商店の新人店員は、呼び込みをしているようだ。			出航！ いざ、無人島へ！							
でもまだ追いつくはず……！Forenameさん、申し訳ないのでっすが、手を貸していただけると助かりまっす！			でもまだ追いつくはず……！Forenameさん、申し訳ないのでっすが、手を貸していただけると助かりまっす！			余談？ エンジョイ不足な野郎ども							
私は拠点の北側に向かった方々を追いかけますので、そちらは南側にいらっしゃる方と、採集環境へ向かった方にこの服をお渡しください！			私は拠点の北側に向かった方々を追いかけますので、そちらは南側にいらっしゃる方と、採集環境へ向かった方にこの服をお渡しください！			余談？ エンジョイ不足な野郎ども							
配り終えたらまたこの場所で……！よろしくお願いしまっす！			配り終えたらまたこの場所で……！よろしくお願いしまっす！			余談？ エンジョイ不足な野郎ども							
おお、あんたか！ちょうどこれから、この魔法人形と一緒に、木材の採集に行くところなんだ。			おお、あんたか！ちょうどこれから、この魔法人形と一緒に、木材の採集に行くところなんだ。			余談？ エンジョイ不足な野郎ども							
バカンスのための服……？あのお嬢ちゃん、こんなものまで用意してくれてたのか。			バカンスのための服……？あのお嬢ちゃん、こんなものまで用意してくれてたのか。			余談？ エンジョイ不足な野郎ども							
よーし、これは大事に持っておいて、採集から戻ったら着替えることにしよう。袖を通すのが今から楽しみだ！			よーし、これは大事に持っておいて、採集から戻ったら着替えることにしよう。袖を通すのが今から楽しみだ！			余談？ エンジョイ不足な野郎ども							
それじゃあ、ちょっくら行ってくる。クイントゥス様のもとで長年しごかれてきたんだ、南国の木々相手だって負けないぜ！			それじゃあ、ちょっくら行ってくる。クイントゥス様のもとで長年しごかれてきたんだ、南国の木々相手だって負けないぜ！			余談？ エンジョイ不足な野郎ども							
Forenameか……ちょうど魔法人形からお前の話を聞いてたんだ。この島を、いちから開拓したんだって？			Forenameか……ちょうど魔法人形からお前の話を聞いてたんだ。この島を、いちから開拓したんだって？			余談？ エンジョイ不足な野郎ども							
素直にすごいと思ったよ。俺は帝都の生まれで、高等学院を出てすぐ軍に入ったから、これといって生活に役立つ技能も持ってないしな……。			素直にすごいと思ったよ。俺は帝都の生まれで、高等学院を出てすぐ軍に入ったから、これといって生活に役立つ技能も持ってないしな……。			余談？ エンジョイ不足な野郎ども							
今も、この拠点を回りながら、まずどんな仕事があるのかから教えてもらってたんだ。			今も、この拠点を回りながら、まずどんな仕事があるのかから教えてもらってたんだ。			余談？ エンジョイ不足な野郎ども							
俺たちに新しい服を……？無難な私服を着てきたつもりだったが、もっと休暇らしい格好があったんだな……。			俺たちに新しい服を……？無難な私服を着てきたつもりだったが、もっと休暇らしい格好があったんだな……。			余談？ エンジョイ不足な野郎ども							
……服が一式入っているはずなのに、すごく軽い。いつもの軍装とは何もかもが大違いだ。			……服が一式入っているはずなのに、すごく軽い。いつもの軍装とは何もかもが大違いだ。			余談？ エンジョイ不足な野郎ども							
ありがとう、どこかで着替えさせてもらうことにする。タタルにも礼を言っておいてくれ。			ありがとう、どこかで着替えさせてもらうことにする。タタルにも礼を言っておいてくれ。			余談？ エンジョイ不足な野郎ども							
ほらマニウス、お前の分の服だ。			ほらマニウス、お前の分の服だ。			余談？ エンジョイ不足な野郎ども							
……Forenameとは、話したことがあったか？			……Forenameとは、話したことがあったか？			余談？ エンジョイ不足な野郎ども							
(-マニウス-)おうよ、自己紹介だってとっくに済んでるぞ。			(-マニウス-)おうよ、自己紹介だってとっくに済んでるぞ。			余談？ エンジョイ不足な野郎ども							
(-マニウス-)前に「臣の褒賞」で偶然会ったの、覚えてるか？あんたは青い服を着た小さなチョコボと、虫みたいな機械を連れ歩いてた。			(-マニウス-)前に「臣の褒賞」で偶然会ったの、覚えてるか？あんたは青い服を着た小さなチョコボと、虫みたいな機械を連れ歩いてた。			余談？ エンジョイ不足な野郎ども							
(-マニウス-)それでその機械が、墓参りに来てた俺に、心が云々って難しい質問をしてきてさ……。			(-マニウス-)それでその機械が、墓参りに来てた俺に、心が云々って難しい質問をしてきてさ……。			余談？ エンジョイ不足な野郎ども							
チョコボと機械が……なんだって？それ、お前の夢の中の話じゃないか……？			チョコボと機械が……なんだって？それ、お前の夢の中の話じゃないか……？			余談？ エンジョイ不足な野郎ども							
(-マニウス-)んなわけないだろ！講義の最中に寝ぼけて妹と弟を叱りだした、どこぞのユルスくんじゃあるまいし！			(-マニウス-)んなわけないだろ！講義の最中に寝ぼけて妹と弟を叱りだした、どこぞのユルスくんじゃあるまいし！			余談？ エンジョイ不足な野郎ども							
なっ……！いつの話だよ、もう忘れろ……！			なっ……！いつの話だよ、もう忘れろ……！			余談？ エンジョイ不足な野郎ども							
(-マニウス-)やーなこった！お前がどれだけ出世しようが、貴重な同期として思い出し続けてやる！			(-マニウス-)やーなこった！お前がどれだけ出世しようが、貴重な同期として思い出し続けてやる！			余談？ エンジョイ不足な野郎ども							
まったく、マニウスの奴……！あれは不可抗力だったんだよ。まだ訓練に慣れてなくて……すごく眠くて……。			まったく、マニウスの奴……！あれは不可抗力だったんだよ。まだ訓練に慣れてなくて……すごく眠くて……。			余談？ エンジョイ不足な野郎ども							
も、もういいだろ！魔法人形に案内してもらって着替えてくるから、この場は解散だ、解散！			も、もういいだろ！魔法人形に案内してもらって着替えてくるから、この場は解散だ、解散！			余談？ エンジョイ不足な野郎ども							
島に来るまでの間に、タタルは装備を扱う商店の経営もしていると聞いた。そんな人が選んだ服だと思うと、ちょっと緊張するな……。			島に来るまでの間に、タタルは装備を扱う商店の経営もしていると聞いた。そんな人が選んだ服だと思うと、ちょっと緊張するな……。			余談？ エンジョイ不足な野郎ども							
着こなしが難しかったりしないか……？エオルゼアから来る奴は、たまにすごく……なんというか……高度な格好をしてるからな。			着こなしが難しかったりしないか……？エオルゼアから来る奴は、たまにすごく……なんというか……高度な格好をしてるからな。			余談？ エンジョイ不足な野郎ども							
はぁ……はぁ……。こちらはどうにか、探していたふたりに追いつけまっした。			はぁ……はぁ……。こちらはどうにか、探していたふたりに追いつけまっした。			余談？ エンジョイ不足な野郎ども							
そちらはいかがでっしたか……？			そちらはいかがでっしたか……？			余談？ エンジョイ不足な野郎ども							
ああよかった！おかげさまで、より快適に島を満喫してもらえそうでっす！			ああよかった！おかげさまで、より快適に島を満喫してもらえそうでっす！			余談？ エンジョイ不足な野郎ども							
このあとしばらくは、それぞれ仕事を楽しんでもらうとして……一生懸命働いたら、きっとおなかが空きまっすよね。			このあとしばらくは、それぞれ仕事を楽しんでもらうとして……一生懸命働いたら、きっとおなかが空きまっすよね。			余談？ エンジョイ不足な野郎ども							
Forenameさん、よければ一緒に、食事の支度をしておきませんか？みなさんが戻ってきたときに、楽しい宴を開けるように！			Forenameさん、よければ一緒に、食事の支度をしておきませんか？みなさんが戻ってきたときに、楽しい宴を開けるように！			余談？ エンジョイ不足な野郎ども							
…………不思議だな。			…………不思議だな。			余談？ エンジョイ不足な野郎ども							
いろんな……本当にいろんなことがあって……今、ここでこんな風に過ごしてる……。			いろんな……本当にいろんなことがあって……今、ここでこんな風に過ごしてる……。			余談？ エンジョイ不足な野郎ども							
最初の転機は、きっとソル帝が亡くなったことだった。続いてヴァリス帝まで亡くなって、日常が壊れていったんだ。			最初の転機は、きっとソル帝が亡くなったことだった。続いてヴァリス帝まで亡くなって、日常が壊れていったんだ。			余談？ エンジョイ不足な野郎ども							
ガレマルドでの内戦……あれは、何も知らなかった俺たちの罪だ……。			ガレマルドでの内戦……あれは、何も知らなかった俺たちの罪だ……。			余談？ エンジョイ不足な野郎ども							
結果、蛮神アニマが呼び降ろされて、多くの同胞を…………大事な家族を喪った。			結果、蛮神アニマが呼び降ろされて、多くの同胞を…………大事な家族を喪った。			余談？ エンジョイ不足な野郎ども							
イルサバード派遣団が来て……あの寒夜に、俺自身もアニマのテンパードにされて……。			イルサバード派遣団が来て……あの寒夜に、俺自身もアニマのテンパードにされて……。			余談？ エンジョイ不足な野郎ども							
でも、それで終わりじゃなかった。治療してもらって、目が覚めて……			でも、それで終わりじゃなかった。治療してもらって、目が覚めて……			余談？ エンジョイ不足な野郎ども							
見たんだ、空が燃え上がるのを。終末の災厄に、世界が脅かされていた。			見たんだ、空が燃え上がるのを。終末の災厄に、世界が脅かされていた。			余談？ エンジョイ不足な野郎ども							
……そういう災難を払いのけて、残ったものは何だ？			……そういう災難を払いのけて、残ったものは何だ？			余談？ エンジョイ不足な野郎ども							
生きていくための、山積みの問題……。帝都の瓦礫みたいに折り重なって、どう片づけたらいいのかさえ、わからない。			生きていくための、山積みの問題……。帝都の瓦礫みたいに折り重なって、どう片づけたらいいのかさえ、わからない。			余談？ エンジョイ不足な野郎ども							
そこに、アルフィノとアリゼーが来た。お前たちと、ラザハンの太守も。			そこに、アルフィノとアリゼーが来た。お前たちと、ラザハンの太守も。			余談？ エンジョイ不足な野郎ども							
あとは……そう、ゼロもだな。			あとは……そう、ゼロもだな。			余談？ エンジョイ不足な野郎ども							
来て、友人になって、そして去っていった……。			来て、友人になって、そして去っていった……。			余談？ エンジョイ不足な野郎ども							
次から次へと何かが起きて、立ち止まることさえできない。毎日が流れるように過ぎていく……。			次から次へと何かが起きて、立ち止まることさえできない。毎日が流れるように過ぎていく……。			余談？ エンジョイ不足な野郎ども							
そこで浮いたり沈んだりしてるうちに、わかったんだ。笑えるくらい、当たり前のことかもしれないが……			そこで浮いたり沈んだりしてるうちに、わかったんだ。笑えるくらい、当たり前のことかもしれないが……			余談？ エンジョイ不足な野郎ども							
生きることは、死にゆくこと。出会えば別れ、始まれば終わる。			生きることは、死にゆくこと。出会えば別れ、始まれば終わる。			余談？ エンジョイ不足な野郎ども							
……けど何だって、終わりを積み重ねながら続いていくんだってな。			……けど何だって、終わりを積み重ねながら続いていくんだってな。			余談？ エンジョイ不足な野郎ども							
結局、私まで一緒に飲んで歌って楽しんでしまいまっした。帝国軍の方々とこんな風に過ごす日がくるなんて、考えてもみなかったでっす……。			結局、私まで一緒に飲んで歌って楽しんでしまいまっした。帝国軍の方々とこんな風に過ごす日がくるなんて、考えてもみなかったでっす……。			余談？ エンジョイ不足な野郎ども							
全員、帰り支度はきっちり済ませた。仕事についても、それぞれきりのいいところまでやって、魔法人形に引き継ぎをしてある。			全員、帰り支度はきっちり済ませた。仕事についても、それぞれきりのいいところまでやって、魔法人形に引き継ぎをしてある。			余談？ エンジョイ不足な野郎ども							
……楽しかった、本当に。			……楽しかった、本当に。			余談？ エンジョイ不足な野郎ども							
ここでのことを思い出せば、寒さの厳しい夜だって、少しあたたまりそうだ。			ここでのことを思い出せば、寒さの厳しい夜だって、少しあたたまりそうだ。			余談？ エンジョイ不足な野郎ども							
何か礼ができればよかったんだけどな……。支援物資に頼ってる身じゃ、結局、手伝い程度が関の山だ。			何か礼ができればよかったんだけどな……。支援物資に頼ってる身じゃ、結局、手伝い程度が関の山だ。			余談？ エンジョイ不足な野郎ども							
みなさん手際がよくて仕事がはかどったって、魔法人形たちが言ってまっした。なので、こちらがお礼をしたいくらいでっす！			みなさん手際がよくて仕事がはかどったって、魔法人形たちが言ってまっした。なので、こちらがお礼をしたいくらいでっす！			余談？ エンジョイ不足な野郎ども							
だったらよかった。復興の参考になりそうな話も聞けたし、あいつらにも、感謝を伝えておいてくれ。			だったらよかった。復興の参考になりそうな話も聞けたし、あいつらにも、感謝を伝えておいてくれ。			余談？ エンジョイ不足な野郎ども							
それはそれとして、ガレマルドを立て直すことができたら、今度は俺たちがお前を帝都に招待しよう。			それはそれとして、ガレマルドを立て直すことができたら、今度は俺たちがお前を帝都に招待しよう。			余談？ エンジョイ不足な野郎ども							
できることなら、短い夏の間にな。遠くの山まで広がる草原を、風が駆け抜けていくんだ。			できることなら、短い夏の間にな。遠くの山まで広がる草原を、風が駆け抜けていくんだ。			余談？ エンジョイ不足な野郎ども							
……この島の主なら、きっと気に入ると思う。			……この島の主なら、きっと気に入ると思う。			余談？ エンジョイ不足な野郎ども							
何と言う？			何と言う？			余談？ エンジョイ不足な野郎ども							
楽しみにしてる！			楽しみにしてる！			余談？ エンジョイ不足な野郎ども							
いつになるやら……			いつになるやら……			余談？ エンジョイ不足な野郎ども							
ああ、俺たちも、そうなるのを楽しみにがんばろう。いい休暇をとって、たっぷり英気を養ったことだしな。			ああ、俺たちも、そうなるのを楽しみにがんばろう。いい休暇をとって、たっぷり英気を養ったことだしな。			余談？ エンジョイ不足な野郎ども							
少しずつでも進めていくさ。いい休暇をとって、たっぷり英気を養ったことだしな。			少しずつでも進めていくさ。いい休暇をとって、たっぷり英気を養ったことだしな。			余談？ エンジョイ不足な野郎ども							
……その日が来るまで、お互いに元気で。またな、Forename。			……その日が来るまで、お互いに元気で。またな、Forename。			余談？ エンジョイ不足な野郎ども							
それでは、みなさんをお送りしまっす！帰りもガレマルドまでの経路はしっかり確保してあるので、安心してお任せください！			それでは、みなさんをお送りしまっす！帰りもガレマルドまでの経路はしっかり確保してあるので、安心してお任せください！			余談？ エンジョイ不足な野郎ども							
これで、今度こそ来客の予定はすべて完了でっす！			これで、今度こそ来客の予定はすべて完了でっす！			余談？ エンジョイ不足な野郎ども							
振り返ってみると、私もみなさんと一緒に、たくさん楽しませていただきまっした……。			振り返ってみると、私もみなさんと一緒に、たくさん楽しませていただきまっした……。			余談？ エンジョイ不足な野郎ども							
持ち込んだ企画が認められたことも嬉しかったですが、この島で過ごした時間が、何よりの宝物でっす。			持ち込んだ企画が認められたことも嬉しかったですが、この島で過ごした時間が、何よりの宝物でっす。			余談？ エンジョイ不足な野郎ども							
Forenameさんはどうですか？戦いの合間に、気分転換できまっしたか？			Forenameさんはどうですか？戦いの合間に、気分転換できまっしたか？			余談？ エンジョイ不足な野郎ども							
そうだとしたら、私も幸せでっす！これからも風の向くまま気の向くまま、自由に島へお越しください！			そうだとしたら、私も幸せでっす！これからも風の向くまま気の向くまま、自由に島へお越しください！			余談？ エンジョイ不足な野郎ども							
開拓拠点のれんらくくんは、伝えたいことがあるようだ。			開拓拠点のれんらくくんは、伝えたいことがあるようだ。			珍客？ 老後のスローライフ計画							
れんらくくんと話した。無人島の南西の浜辺に向かい、「指定地点」でタタルを待とう。			れんらくくんと話した。無人島の南西の浜辺に向かい、「指定地点」でタタルを待とう。			珍客？ 老後のスローライフ計画							
タタルと共に、エインザル大甲将とヒルフィルが冒険者の島にやってきた。無人島の噂は海賊たちにも広まっていきそうだ。引き続き、島の開拓を続けてみよう。			タタルと共に、エインザル大甲将とヒルフィルが冒険者の島にやってきた。無人島の噂は海賊たちにも広まっていきそうだ。引き続き、島の開拓を続けてみよう。			珍客？ 老後のスローライフ計画							
指定地点で待機			指定地点で待機			珍客？ 老後のスローライフ計画							
ご連絡、ご連絡！「タタル」から連絡がありました。			ご連絡、ご連絡！「タタル」から連絡がありました。			珍客？ 老後のスローライフ計画							
開拓の様子を見るため島に向かっている、とのこと！南西の浜辺で待っていれば、落ち合えるでしょう！			開拓の様子を見るため島に向かっている、とのこと！南西の浜辺で待っていれば、落ち合えるでしょう！			珍客？ 老後のスローライフ計画							
「タタル」が間もなく島に到着する、とのこと！南西の浜辺で待っていれば、落ち合えるでしょう！			「タタル」が間もなく島に到着する、とのこと！南西の浜辺で待っていれば、落ち合えるでしょう！			珍客？ 老後のスローライフ計画							
Forenameさん！開拓の調子はいかがでっすか？			Forenameさん！開拓の調子はいかがでっすか？			珍客？ 老後のスローライフ計画							
ねこみみさんから、ある程度の進捗報告は入っていまっすが……			ねこみみさんから、ある程度の進捗報告は入っていまっすが……			珍客？ 老後のスローライフ計画							
「開拓工房」や「グラナリーオフィス」を建てたとか！現地の素材を使って交易を始めるなんて、とっても素晴らしい試みなのでっす！			「開拓工房」や「グラナリーオフィス」を建てたとか！現地の素材を使って交易を始めるなんて、とっても素晴らしい試みなのでっす！			珍客？ 老後のスローライフ計画							
今回は、こちらのおふたりもお連れいたしまっした！視察も兼ねて、Forenameさんの島を、是非ひと目見たかったそうでっす。			今回は、こちらのおふたりもお連れいたしまっした！視察も兼ねて、Forenameさんの島を、是非ひと目見たかったそうでっす。			珍客？ 老後のスローライフ計画							
(-見覚えのあるルガディン族-)おう、お前が無人島の開拓をしてるって、提督から聞いてな。ヒルフィルの野郎を連れて遊びにきたぜ！			(-見覚えのあるルガディン族-)おう、お前が無人島の開拓をしてるって、提督から聞いてな。ヒルフィルの野郎を連れて遊びにきたぜ！			珍客？ 老後のスローライフ計画							
(-見覚えのあるルガディン族-)ん？　ああ、遊びにきたって言っても、お前だけの聖域に長居するつもりはねぇから安心してくれ。挨拶が済んだら別の島に行くつもりさ。			(-見覚えのあるルガディン族-)ん？　ああ、遊びにきたって言っても、お前だけの聖域に長居するつもりはねぇから安心してくれ。挨拶が済んだら別の島に行くつもりさ。			珍客？ 老後のスローライフ計画							
何と言う？			何と言う？			珍客？ 老後のスローライフ計画							
……どちら様？			……どちら様？			珍客？ 老後のスローライフ計画							
もしかして、エインザル？			もしかして、エインザル？			珍客？ 老後のスローライフ計画							
はっはっはっ、いつもの制服じゃないから無理もないか。俺だ俺、黒渦団のエインザルだ。			はっはっはっ、いつもの制服じゃないから無理もないか。俺だ俺、黒渦団のエインザルだ。			珍客？ 老後のスローライフ計画							
もしかしなくても、黒渦団のエインザルだ。いつもの制服じゃねぇってのに、よくわかったな。			もしかしなくても、黒渦団のエインザルだ。いつもの制服じゃねぇってのに、よくわかったな。			珍客？ 老後のスローライフ計画							
提督から、たまには休めと休暇を押し付けられちまってなぁ。視察も兼ねて無人島に行ってみようと思い立ったついでに、暇そうな野郎に声をかけてみたってとこだ。			提督から、たまには休めと休暇を押し付けられちまってなぁ。視察も兼ねて無人島に行ってみようと思い立ったついでに、暇そうな野郎に声をかけてみたってとこだ。			珍客？ 老後のスローライフ計画							
ああ、ズカズカと船室に入ってきたときは何事かと思ったが……。海賊の失業対策と聞いちゃ、若いもんのためにも、この目で見ておきたくてな。			ああ、ズカズカと船室に入ってきたときは何事かと思ったが……。海賊の失業対策と聞いちゃ、若いもんのためにも、この目で見ておきたくてな。			珍客？ 老後のスローライフ計画							
とはいえ、断罪党を仕切ってきたこの俺が、まさか、メルウィブの右腕に誘われて航海するたぁ……			とはいえ、断罪党を仕切ってきたこの俺が、まさか、メルウィブの右腕に誘われて航海するたぁ……			珍客？ 老後のスローライフ計画							
ゴホッ、ゴホッ……			ゴホッ、ゴホッ……			珍客？ 老後のスローライフ計画							
おいおい、大丈夫かよ？			おいおい、大丈夫かよ？			珍客？ 老後のスローライフ計画							
しかしまあ、お前も海賊の頭を退いたことだ。余生はこんな離島で、のんびり療養するのもいいんじゃないか？			しかしまあ、お前も海賊の頭を退いたことだ。余生はこんな離島で、のんびり療養するのもいいんじゃないか？			珍客？ 老後のスローライフ計画							
ハッ、笑わせるぜ。			ハッ、笑わせるぜ。			珍客？ 老後のスローライフ計画							
……だが、しみったれた船室でくたばるくらいなら、最後くらい、陸(おか)で暮らすのも悪かねぇか。			……だが、しみったれた船室でくたばるくらいなら、最後くらい、陸(おか)で暮らすのも悪かねぇか。			珍客？ 老後のスローライフ計画							
そのときは、「大繁盛商店」にお声がけくださいまっせ！開拓データと引き換えに、交易品の卸し先など、お役立ち情報をご提供いたしまっすよ！			そのときは、「大繁盛商店」にお声がけくださいまっせ！開拓データと引き換えに、交易品の卸し先など、お役立ち情報をご提供いたしまっすよ！			珍客？ 老後のスローライフ計画							
フッ……それなら、ときどきは断罪党の若いもんも連れてきて、浜辺で派手な宴をやるのもいいな。			フッ……それなら、ときどきは断罪党の若いもんも連れてきて、浜辺で派手な宴をやるのもいいな。			珍客？ 老後のスローライフ計画							
なんだ、すっかりその気じゃねぇか。そのときは俺も呼んでくれよ！			なんだ、すっかりその気じゃねぇか。そのときは俺も呼んでくれよ！			珍客？ 老後のスローライフ計画							
Forenameも行くだろ？			Forenameも行くだろ？			珍客？ 老後のスローライフ計画							
ハッ……Forenameはともかく、黒渦団の軍令部総長殿なんて、肩書きの男は御免だぜ。ひとりの「海賊」として来るつもりなら構わんがな。			ハッ……Forenameはともかく、黒渦団の軍令部総長殿なんて、肩書きの男は御免だぜ。ひとりの「海賊」として来るつもりなら構わんがな。			珍客？ 老後のスローライフ計画							
改めて、突然の訪問で申し訳なかった。			改めて、突然の訪問で申し訳なかった。			珍客？ 老後のスローライフ計画							
しかし、お前の島をひと目見て、メルウィブ提督の新たな一歩は正しかったんだってわかった。それだけで、俺にとっちゃ有意義なひと時だった。			しかし、お前の島をひと目見て、メルウィブ提督の新たな一歩は正しかったんだってわかった。それだけで、俺にとっちゃ有意義なひと時だった。			珍客？ 老後のスローライフ計画							
私も、ざっと島を見学させてもらったら、勉強のためにも、ほかの島を見にいこうと思っていまっす。			私も、ざっと島を見学させてもらったら、勉強のためにも、ほかの島を見にいこうと思っていまっす。			珍客？ 老後のスローライフ計画							
……この無人島が少しでも、Forenameさんの癒やしの場になったなら、私もとっても嬉しいのでっす！			……この無人島が少しでも、Forenameさんの癒やしの場になったなら、私もとっても嬉しいのでっす！			珍客？ 老後のスローライフ計画							
そうだそうだ、危うく忘れるとこだったぜ。ちょっとした手土産を持ってきたんだ。			そうだそうだ、危うく忘れるとこだったぜ。ちょっとした手土産を持ってきたんだ。			珍客？ 老後のスローライフ計画							
本当はメルウィブ提督も来たがっていたんだがな……政務を外れられないってんで、代わりに差し入れを預かってきた。提督直々に見繕ったそうだ、良ければもらってくれ。			本当はメルウィブ提督も来たがっていたんだがな……政務を外れられないってんで、代わりに差し入れを預かってきた。提督直々に見繕ったそうだ、良ければもらってくれ。			珍客？ 老後のスローライフ計画							
それでは、引き続き無人島ライフをお楽しみくださいまっせ！またしばらくしたら、様子を見に来させてくださいでっす！			それでは、引き続き無人島ライフをお楽しみくださいまっせ！またしばらくしたら、様子を見に来させてくださいでっす！			珍客？ 老後のスローライフ計画							
開拓拠点のれんらくくんは、今度も伝えたいことがあるようだ。			開拓拠点のれんらくくんは、今度も伝えたいことがあるようだ。			大団円？ 幸せ無人島開拓							
れんらくくんと話した。無人島の南西の浜辺に向かい、「指定地点」でタタルを待とう。			れんらくくんと話した。無人島の南西の浜辺に向かい、「指定地点」でタタルを待とう。			大団円？ 幸せ無人島開拓							
タタルたちと合流した。無人島のアイランドホール付近にいる「ウィルフスン」と話そう。			タタルたちと合流した。無人島のアイランドホール付近にいる「ウィルフスン」と話そう。			大団円？ 幸せ無人島開拓							
プディングウェイも合流し、みんなでプディング作りをすることになった。アイランドホール付近にいる「ブローウィダ」と話そう。			プディングウェイも合流し、みんなでプディング作りをすることになった。アイランドホール付近にいる「ブローウィダ」と話そう。			大団円？ 幸せ無人島開拓							
ブローウィダから作業について聞いた。開拓拠点の坂の上にいる「おかたづけくん」と話そう。			ブローウィダから作業について聞いた。開拓拠点の坂の上にいる「おかたづけくん」と話そう。			大団円？ 幸せ無人島開拓							
おかたづけくんと話した。付近にある「資材入りの木箱」を持ち上げよう。			おかたづけくんと話した。付近にある「資材入りの木箱」を持ち上げよう。			大団円？ 幸せ無人島開拓							
資材入りの木箱を持ち上げた。南西の浜辺まで運搬して「指定地点」に置こう。※運搬状態は、一定時間が過ぎると効果を失います。			資材入りの木箱を持ち上げた。南西の浜辺まで運搬して「指定地点」に置こう。※運搬状態は、一定時間が過ぎると効果を失います。			大団円？ 幸せ無人島開拓							
木箱を浜辺まで運んだ。開拓拠点の坂の上にいる「おかたづけくん」と再度話そう。			木箱を浜辺まで運んだ。開拓拠点の坂の上にいる「おかたづけくん」と再度話そう。			大団円？ 幸せ無人島開拓							
おかたづけくんと話した。付近にある2つ目の「資材入りの木箱」を持ち上げよう。			おかたづけくんと話した。付近にある2つ目の「資材入りの木箱」を持ち上げよう。			大団円？ 幸せ無人島開拓							
資材入りの木箱を持ち上げた。南西の浜辺まで運搬して「指定地点」に置こう。※運搬状態は、一定時間が過ぎると効果を失います。			資材入りの木箱を持ち上げた。南西の浜辺まで運搬して「指定地点」に置こう。※運搬状態は、一定時間が過ぎると効果を失います。			大団円？ 幸せ無人島開拓							
木箱を2つとも浜辺まで運んだ。南西の浜辺にある「指定地点」で待機しよう。			木箱を2つとも浜辺まで運んだ。南西の浜辺にある「指定地点」で待機しよう。			大団円？ 幸せ無人島開拓							
みんなで力を合わせて、巨大なハピネス・セレモニープディングを作り上げた！南西の浜辺にいる「ブローウィダ」と話そう。			みんなで力を合わせて、巨大なハピネス・セレモニープディングを作り上げた！南西の浜辺にいる「ブローウィダ」と話そう。			大団円？ 幸せ無人島開拓							
夫妻はこの島で楽しい時間を過ごすことができたようだ。プディングウェイも幸せそうな様子で帰っていった。無人島の開拓はひとつのゴールを迎えたが、あとひと組、ここへ呼びたい人々がいるそうだ。タタルから連絡があるまでは、自由に時間を過ごそう。			夫妻はこの島で楽しい時間を過ごすことができたようだ。プディングウェイも幸せそうな様子で帰っていった。無人島の開拓はひとつのゴールを迎えたが、あとひと組、ここへ呼びたい人々がいるそうだ。タタルから連絡があるまでは、自由に時間を過ごそう。			大団円？ 幸せ無人島開拓							
指定地点で待機			指定地点で待機			大団円？ 幸せ無人島開拓							
ウィルフスンと話す			ウィルフスンと話す			大団円？ 幸せ無人島開拓							
ブローウィダと話す			ブローウィダと話す			大団円？ 幸せ無人島開拓							
おかたづけくんと話す			おかたづけくんと話す			大団円？ 幸せ無人島開拓							
資材入りの木箱を持ち上げる			資材入りの木箱を持ち上げる			大団円？ 幸せ無人島開拓							
浜辺の指定地点に資材入りの木箱を置く			浜辺の指定地点に資材入りの木箱を置く			大団円？ 幸せ無人島開拓							
おかたづけくんと話す			おかたづけくんと話す			大団円？ 幸せ無人島開拓							
資材入りの木箱を持ち上げる			資材入りの木箱を持ち上げる			大団円？ 幸せ無人島開拓							
浜辺の指定地点に資材入りの木箱を置く			浜辺の指定地点に資材入りの木箱を置く			大団円？ 幸せ無人島開拓							
指定地点で待機			指定地点で待機			大団円？ 幸せ無人島開拓							
ブローウィダと話す			ブローウィダと話す			大団円？ 幸せ無人島開拓							
ご連絡、ご連絡！タタルが新たな見学希望のお客人を連れて、こちらへ向かっているそうです！			ご連絡、ご連絡！タタルが新たな見学希望のお客人を連れて、こちらへ向かっているそうです！			大団円？ 幸せ無人島開拓							
加えて、今回はなにやら重大報告があるとか……ひとまず島の南西の浜辺でお待ちください！			加えて、今回はなにやら重大報告があるとか……ひとまず島の南西の浜辺でお待ちください！			大団円？ 幸せ無人島開拓							
今度はどのような方がいらっしゃるのでしょう？我々も楽しみです！			今度はどのような方がいらっしゃるのでしょう？我々も楽しみです！			大団円？ 幸せ無人島開拓							
Forenameさん！今回もお出迎えいただき感謝でっす！			Forenameさん！今回もお出迎えいただき感謝でっす！			大団円？ 幸せ無人島開拓							
やあ、お邪魔するよ。君が元気そうで何よりだ。			やあ、お邪魔するよ。君が元気そうで何よりだ。			大団円？ 幸せ無人島開拓							
まったくだよ！ウリエンジェに「ほかの子はどうしてるんだ」って聞いても、もったいつけるばかりで要領を得ないんだから！			まったくだよ！ウリエンジェに「ほかの子はどうしてるんだ」って聞いても、もったいつけるばかりで要領を得ないんだから！			大団円？ 幸せ無人島開拓							
魔導船の開発に携わった研究員のみなさんには、終末の一件が落ち着いたあと、リフレッシュ休暇が与えられたそうなんでっす。			魔導船の開発に携わった研究員のみなさんには、終末の一件が落ち着いたあと、リフレッシュ休暇が与えられたそうなんでっす。			大団円？ 幸せ無人島開拓							
おふたりは、それを利用した小旅行の一環として、こちらの島にお越しくださいまっした！			おふたりは、それを利用した小旅行の一環として、こちらの島にお越しくださいまっした！			大団円？ 幸せ無人島開拓							
気づいたら、周りはみーんな休暇を取りおわってて、私たちだけ出遅れてる始末だったのさ。			気づいたら、周りはみーんな休暇を取りおわってて、私たちだけ出遅れてる始末だったのさ。			大団円？ 幸せ無人島開拓							
