宝杖通りの商人マスは、商品の手配に追われているようだ。			宝杖通りの商人マスは、商品の手配に追われているようだ。			聖アンダリム神学院の消えた書物							
よかろう、学院長がお戻りになるまでに、石像盗難事件は解決しておきたいからな……。では、改めて私からも、助力を依頼させていただきたい。			よかろう、学院長がお戻りになるまでに、石像盗難事件は解決しておきたいからな……。では、改めて私からも、助力を依頼させていただきたい。			天に選ばれし特別顧問							
なりゆきで巻き込んでしまったが、事件の捜査解決には、腕利きの助力が必要だったものでね。さっそく、修復作業にあたっていた神学生の話を聞いてみよう。			なりゆきで巻き込んでしまったが、事件の捜査解決には、腕利きの助力が必要だったものでね。さっそく、修復作業にあたっていた神学生の話を聞いてみよう。			天に選ばれし特別顧問							
彼が「聖バルロアイアン像」の修復にあたっていたそうだ。			彼が「聖バルロアイアン像」の修復にあたっていたそうだ。			天に選ばれし特別顧問							
学院長が戻るまでに、事件が解決することを期待しています。			学院長が戻るまでに、事件が解決することを期待しています。			天に選ばれし特別顧問							
ブリアルディアン殿と旧知の仲であったとは、なんという神のおぼしめし……。			ブリアルディアン殿と旧知の仲であったとは、なんという神のおぼしめし……。			天に選ばれし特別顧問							
Forenameさん……。この再会を、戦神ハルオーネに感謝いたします。			Forenameさん……。この再会を、戦神ハルオーネに感謝いたします。			天に選ばれし特別顧問							
……なるほど、貴方も石像の件でいらっしゃったのですか。今回の盗難は、頭部を作業場に放置した僕の責任です。必ず、僕が見つけ出します……！			……なるほど、貴方も石像の件でいらっしゃったのですか。今回の盗難は、頭部を作業場に放置した僕の責任です。必ず、僕が見つけ出します……！			天に選ばれし特別顧問							
事件の捜査は、我々に任せるがいい。素人に現場を荒らされるのは、懲り懲りなものでね。それに、確か君は、暴漢に襲われたばかりなのだろう？			事件の捜査は、我々に任せるがいい。素人に現場を荒らされるのは、懲り懲りなものでね。それに、確か君は、暴漢に襲われたばかりなのだろう？			天に選ばれし特別顧問							
いえ、それでは神が僕をお許しになりません！！やはり僕の過ちは、我が身で償わなければ……！！			いえ、それでは神が僕をお許しになりません！！やはり僕の過ちは、我が身で償わなければ……！！			天に選ばれし特別顧問							
やれやれ、信心深いのも結構だが、ほどほどにしてもらいたいものだ。			やれやれ、信心深いのも結構だが、ほどほどにしてもらいたいものだ。			天に選ばれし特別顧問							
新たに事件を増やされたのでは、たまらない。言って聞かない奴は、手元に置いておくしかないか……。ひとまず手分けして、下層に向かったであろう彼を探そう。			新たに事件を増やされたのでは、たまらない。言って聞かない奴は、手元に置いておくしかないか……。ひとまず手分けして、下層に向かったであろう彼を探そう。			天に選ばれし特別顧問							
くっ、またアンタか……！？面倒事に巻き込まれたくなけりゃ、去りな！			くっ、またアンタか……！？面倒事に巻き込まれたくなけりゃ、去りな！			天に選ばれし特別顧問							
Forenameさん……！？どうやらあの箱に、石像の頭部が入っている様子……。でも少しお待ちください、ベンが改心するのを信じたいんです。			Forenameさん……！？どうやらあの箱に、石像の頭部が入っている様子……。でも少しお待ちください、ベンが改心するのを信じたいんです。			天に選ばれし特別顧問							
ベン……。どうか、その木箱をお返しください。中身が「聖バルロアイアン像」の頭部だと、知っているのでしょう？			ベン……。どうか、その木箱をお返しください。中身が「聖バルロアイアン像」の頭部だと、知っているのでしょう？			天に選ばれし特別顧問							
思い出してください……！ショワソー司祭は、いつも僕たちに聖人の話をしてくれました。ベンだって、竜騎士の聖バルロアイアン様に憧れていたはず……。			思い出してください……！ショワソー司祭は、いつも僕たちに聖人の話をしてくれました。ベンだって、竜騎士の聖バルロアイアン様に憧れていたはず……。			天に選ばれし特別顧問							
ああ、確かに憧れてたよ……。悪いドラゴンを、さっそうと倒す蒼の竜騎士だもんな。だけど、その伝説だって、どうせデタラメだったんだろう！？			ああ、確かに憧れてたよ……。悪いドラゴンを、さっそうと倒す蒼の竜騎士だもんな。だけど、その伝説だって、どうせデタラメだったんだろう！？			天に選ばれし特別顧問							
聖職者や貴族たちが、ドラゴン族との戦いに、平民を投げ込むためにでっちあげた真っ赤な大ウソだろ！！			聖職者や貴族たちが、ドラゴン族との戦いに、平民を投げ込むためにでっちあげた真っ赤な大ウソだろ！！			天に選ばれし特別顧問							
見つけたぞ、ベン！　やっぱ、お前の仕業だったか！テオがお前に石像のことを話したって言ってたから、ピンときたんだ！！			見つけたぞ、ベン！　やっぱ、お前の仕業だったか！テオがお前に石像のことを話したって言ってたから、ピンときたんだ！！			天に選ばれし特別顧問							
なあ、あんたも手伝ってくれ！この愚かな幼馴染が、今すぐ石像を返却するように！！			なあ、あんたも手伝ってくれ！この愚かな幼馴染が、今すぐ石像を返却するように！！			天に選ばれし特別顧問							
わ、わ、わ。ふたりとも、もう少し……もう少しだけお待ちください！僕は、ベンが過ちを悔い改めることを信じます！			わ、わ、わ。ふたりとも、もう少し……もう少しだけお待ちください！僕は、ベンが過ちを悔い改めることを信じます！			天に選ばれし特別顧問							
……過ちだと！？そうやって神の名を騙って俺たちからすべてを奪い続けた、お前らの方が、よっぽど罪深いだろうが！			……過ちだと！？そうやって神の名を騙って俺たちからすべてを奪い続けた、お前らの方が、よっぽど罪深いだろうが！			天に選ばれし特別顧問							
だから俺たちは、正教に復讐を始めたんだ！それでも、まだお前らは……坊主を目指すってのか！？			だから俺たちは、正教に復讐を始めたんだ！それでも、まだお前らは……坊主を目指すってのか！？			天に選ばれし特別顧問							
……正教は、偽りの歴史を広める罪を犯しました。ですが、孤児の僕たちを育ててくれたのも、正教の司祭様です……。			……正教は、偽りの歴史を広める罪を犯しました。ですが、孤児の僕たちを育ててくれたのも、正教の司祭様です……。			天に選ばれし特別顧問							
Forenameさん……。僕は、どうしたらいいんでしょう……？			Forenameさん……。僕は、どうしたらいいんでしょう……？			天に選ばれし特別顧問							
何と答える？			何と答える？			天に選ばれし特別顧問							
自分で決めろ			自分で決めろ			天に選ばれし特別顧問							
…………。			…………。			天に選ばれし特別顧問							
ありがとうございます、おかげで確信できました。僕を導くために、神が貴方をお遣わしになったんですね。そうです、これは自分で決めねばならない問題です！			ありがとうございます、おかげで確信できました。僕を導くために、神が貴方をお遣わしになったんですね。そうです、これは自分で決めねばならない問題です！			天に選ばれし特別顧問							
……そうですよね。僕の進むべき道は、僕が決めなければなりませんよね……！			……そうですよね。僕の進むべき道は、僕が決めなければなりませんよね……！			天に選ばれし特別顧問							
ありがとうございます、おかげで確信できました。きっと僕を導くために、神が貴方をお遣わしになったんですね。			ありがとうございます、おかげで確信できました。きっと僕を導くために、神が貴方をお遣わしになったんですね。			天に選ばれし特別顧問							
ごめんなさい、ベン……。やっぱり僕は……聖職者を目指します。正教の罪をあがない、そして多くの人々の魂を救うために……。			ごめんなさい、ベン……。やっぱり僕は……聖職者を目指します。正教の罪をあがない、そして多くの人々の魂を救うために……。			天に選ばれし特別顧問							
ああ、この道を選んだ以上、つき進むしかないんだ。さあ……石像を神学院に戻そうぜ。急がないと、また貴族組にイヤミを言われるぞ！			ああ、この道を選んだ以上、つき進むしかないんだ。さあ……石像を神学院に戻そうぜ。急がないと、また貴族組にイヤミを言われるぞ！			天に選ばれし特別顧問							
また、あんたに助けてもらったな。ついでに神学院の副学長のところまで来てくれないか？場合によっては、俺たちの身がヤバくなりそうだからさ……。			また、あんたに助けてもらったな。ついでに神学院の副学長のところまで来てくれないか？場合によっては、俺たちの身がヤバくなりそうだからさ……。			天に選ばれし特別顧問							
やれやれ、ぼくよりも先にテオモサンを見つけたばかりか、事件を解決して帰ってくるとはな。			やれやれ、ぼくよりも先にテオモサンを見つけたばかりか、事件を解決して帰ってくるとはな。			天に選ばれし特別顧問							
Forenameさん！ちょうど副学長に、貴方のご協力を報告していたんですよ。			Forenameさん！ちょうど副学長に、貴方のご協力を報告していたんですよ。			天に選ばれし特別顧問							
来てくれたのか、ありがとよ。あんたからも副学長に報告してくれないか？ただ……ベンのことは伏せてやってほしい。			来てくれたのか、ありがとよ。あんたからも副学長に報告してくれないか？ただ……ベンのことは伏せてやってほしい。			天に選ばれし特別顧問							
Forename殿、戻られましたか。貴方の助勢のおかげで、事件を解決できたと聞きました。			Forename殿、戻られましたか。貴方の助勢のおかげで、事件を解決できたと聞きました。			天に選ばれし特別顧問							
……それで、石像を盗んだ犯人はどうした？神学生たちは、そろいもそろって口をつぐんでいてな。			……それで、石像を盗んだ犯人はどうした？神学生たちは、そろいもそろって口をつぐんでいてな。			天に選ばれし特別顧問							
(-自信にみちた声-)ハッ、しらを切るつもりか。学のない平民が安易に使いそうな、場しのぎの下策だな。			(-自信にみちた声-)ハッ、しらを切るつもりか。学のない平民が安易に使いそうな、場しのぎの下策だな。			天に選ばれし特別顧問							
ブリュヴァニョン様。彼らに代わり、私アルションバダンが報告いたします。犯人は、この2名と同じ修道院で育った平民の孤児です！			ブリュヴァニョン様。彼らに代わり、私アルションバダンが報告いたします。犯人は、この2名と同じ修道院で育った平民の孤児です！			天に選ばれし特別顧問							
盗まれた石像を、すぐに奪還した点から推察するに、自作自演の可能性も濃厚といえましょう。			盗まれた石像を、すぐに奪還した点から推察するに、自作自演の可能性も濃厚といえましょう。			天に選ばれし特別顧問							
(-冷徹な声の神学生-)「点数稼ぎ」に必死ですねぇ……？灰となった聖典も買い換えられぬほど困窮していては、財を成すため、聖職者にならんとするのも無理からぬこと……。			(-冷徹な声の神学生-)「点数稼ぎ」に必死ですねぇ……？灰となった聖典も買い換えられぬほど困窮していては、財を成すため、聖職者にならんとするのも無理からぬこと……。			天に選ばれし特別顧問							
黙れ……！この方が、俺たちの無実を証明してくれる！それとも俺が、力ずくで黙らせてやろーか！？			黙れ……！この方が、俺たちの無実を証明してくれる！それとも俺が、力ずくで黙らせてやろーか！？			天に選ばれし特別顧問							
そこまでです！神学院内での根拠なき暴言も、暴力も許しません！今は神学院が一丸にならねばならぬ時だというのに……！			そこまでです！神学院内での根拠なき暴言も、暴力も許しません！今は神学院が一丸にならねばならぬ時だというのに……！			天に選ばれし特別顧問							
今後、石像などの修復に関しては、まず私にご相談を。石造建築にかけては、皇都において、我らゼーメル家の右に出る存在はいないのですからね。			今後、石像などの修復に関しては、まず私にご相談を。石造建築にかけては、皇都において、我らゼーメル家の右に出る存在はいないのですからね。			天に選ばれし特別顧問							
それから、平民組よ。教材をそろえられぬのなら、私にすがるがいい。ハッ、聖典の1冊程度、この私が恵んでやるぞ。			それから、平民組よ。教材をそろえられぬのなら、私にすがるがいい。ハッ、聖典の1冊程度、この私が恵んでやるぞ。			天に選ばれし特別顧問							
あっ、僕の聖典！			あっ、僕の聖典！			天に選ばれし特別顧問							
(-厳格な声の神学生-)いつまで倒れていますの？さっさとお立ちなさい……。			(-厳格な声の神学生-)いつまで倒れていますの？さっさとお立ちなさい……。			天に選ばれし特別顧問							
(-厳格な声の神学生-)……目障りですわ。			(-厳格な声の神学生-)……目障りですわ。			天に選ばれし特別顧問							
あっ、ありがとうございます。			あっ、ありがとうございます。			天に選ばれし特別顧問							
ああああ、むしゃくしゃする！テオ、頭冷やしにいくぞ！			ああああ、むしゃくしゃする！テオ、頭冷やしにいくぞ！			天に選ばれし特別顧問							
貴方たちが無事だったのは、英雄殿と神の賜物。以後、無茶は控えるのですよ。			貴方たちが無事だったのは、英雄殿と神の賜物。以後、無茶は控えるのですよ。			天に選ばれし特別顧問							
(-邪気に満ちた声-)貴族と平民を隔てる壁は、先祖の行いなのか、運命なのか……。さあて、ついに聖戦がはじまるね……ウフフフ。			(-邪気に満ちた声-)貴族と平民を隔てる壁は、先祖の行いなのか、運命なのか……。さあて、ついに聖戦がはじまるね……ウフフフ。			天に選ばれし特別顧問							
実に見事だった。これで叔父上も、君をぼくの助手として認めざるをえないだろう。			実に見事だった。これで叔父上も、君をぼくの助手として認めざるをえないだろう。			天に選ばれし特別顧問							
学生たちのせいで少々ごたつきましたが、Forename殿は、見事に事件を解決されました。約束どおり、貴方を特別顧問として迎えさせてください。			学生たちのせいで少々ごたつきましたが、Forename殿は、見事に事件を解決されました。約束どおり、貴方を特別顧問として迎えさせてください。			天に選ばれし特別顧問							
叔父上、その前にひとつ確認したい。ぼくが、この神学院に赴いて数日……気になっていることがある。			叔父上、その前にひとつ確認したい。ぼくが、この神学院に赴いて数日……気になっていることがある。			天に選ばれし特別顧問							
確かに神学院をとりまく状況は厳しく、実際に被害も出ている。しかし、ぼくを呼んだ理由は、それだけではないはずだ。対立深まる学内の様子……こちらの方が深刻なのでは？			確かに神学院をとりまく状況は厳しく、実際に被害も出ている。しかし、ぼくを呼んだ理由は、それだけではないはずだ。対立深まる学内の様子……こちらの方が深刻なのでは？			天に選ばれし特別顧問							
……さすがは我が甥、事件屋の看板に偽りないようだ。まさしく、お前を呼び寄せた真の理由は別にある……！			……さすがは我が甥、事件屋の看板に偽りないようだ。まさしく、お前を呼び寄せた真の理由は別にある……！			天に選ばれし特別顧問							
聖アンダリム神学院のブリュヴァニョン副学長は、真実を明かそうとしているようだ。			聖アンダリム神学院のブリュヴァニョン副学長は、真実を明かそうとしているようだ。			神学生の聖戦							
ブリュヴァニョン副学長に、学内に広がる対立を鎮めるよう依頼された。エルヴィアヌ学院長と面会するため、聖レマノー大聖堂の「神学院の助祭」と話そう。			ブリュヴァニョン副学長に、学内に広がる対立を鎮めるよう依頼された。エルヴィアヌ学院長と面会するため、聖レマノー大聖堂の「神学院の助祭」と話そう。			神学生の聖戦							
エルヴィアヌ学院長と面会したところ、学内の対立を煽る黒幕を暴くよう依頼された。聖レマノー大聖堂の「ブリアルディアン」と話そう。			エルヴィアヌ学院長と面会したところ、学内の対立を煽る黒幕を暴くよう依頼された。聖レマノー大聖堂の「ブリアルディアン」と話そう。			神学生の聖戦							
ブリアルディアンと話して、神学生の人間関係を調べることになった。聖アンダリム神学院の「アルションバダン」と話そう。			ブリアルディアンと話して、神学生の人間関係を調べることになった。聖アンダリム神学院の「アルションバダン」と話そう。			神学生の聖戦							
アルションバダンと話した。神学生たちは、神学院に姿を見せなくなった神学生を復帰させる復学促進運動にあたっているようだ。その様子を探るために、イシュガルド上層で、聖アンダリム神学院の神学生たちと話そう。			アルションバダンと話した。神学生たちは、神学院に姿を見せなくなった神学生を復帰させる復学促進運動にあたっているようだ。その様子を探るために、イシュガルド上層で、聖アンダリム神学院の神学生たちと話そう。			神学生の聖戦							
聖アンダリム神学院の神学生たちと話した。神学生たちは、それぞれの思いを抱き、復学促進運動を進めているようだ。聖アンダリム神学院の「ブリアルディアン」と話そう。			聖アンダリム神学院の神学生たちと話した。神学生たちは、それぞれの思いを抱き、復学促進運動を進めているようだ。聖アンダリム神学院の「ブリアルディアン」と話そう。			神学生の聖戦							
ブリアルディアンとともに、復学促進運動の結果を確認した。しかし、クラムヴォワが復帰させたはずの神学生ウラーが、なぜか退学していた。この結果に対して、ブリアルディアンは違和感を感じているようだ。			ブリアルディアンとともに、復学促進運動の結果を確認した。しかし、クラムヴォワが復帰させたはずの神学生ウラーが、なぜか退学していた。この結果に対して、ブリアルディアンは違和感を感じているようだ。			神学生の聖戦							
聖レマノー大聖堂の神学院の助祭と話す			聖レマノー大聖堂の神学院の助祭と話す			神学生の聖戦							
ブリアルディアンと話す			ブリアルディアンと話す			神学生の聖戦							
聖アンダリム神学院のアルションバダンと話す			聖アンダリム神学院のアルションバダンと話す			神学生の聖戦							
上層の神学生たちと話す			上層の神学生たちと話す			神学生の聖戦							
聖アンダリム神学院のブリアルディアンと話す			聖アンダリム神学院のブリアルディアンと話す			神学生の聖戦							
さて、叔父上がぼくを呼び寄せた真の理由とやらを、聞かせてもらおうじゃないか……。			さて、叔父上がぼくを呼び寄せた真の理由とやらを、聞かせてもらおうじゃないか……。			神学生の聖戦							
……君たちの真の使命を説明するためには、神学生たちの、卒業後の進路について知っておく必要がある。			……君たちの真の使命を説明するためには、神学生たちの、卒業後の進路について知っておく必要がある。			神学生の聖戦							
ここ聖アンダリム神学院が、イシュガルド正教の聖職者を育成することは知ってのとおり。しかし、ひとことで聖職者といっても、実態はさまざま……。			ここ聖アンダリム神学院が、イシュガルド正教の聖職者を育成することは知ってのとおり。しかし、ひとことで聖職者といっても、実態はさまざま……。			神学生の聖戦							
修道会に属し、貧民に奉仕する者、辺境の集落に赴任する者、そして、教皇庁に入り、高位聖職者の道に進む者……。			修道会に属し、貧民に奉仕する者、辺境の集落に赴任する者、そして、教皇庁に入り、高位聖職者の道に進む者……。			神学生の聖戦							
確かに、高位聖職者と一介の修道士では雲泥の差だ。教皇庁に入れば、皇都の政策をも左右する権力が手に入る。……ふむ、「点数稼ぎ」が行き着くのは、そこか。			確かに、高位聖職者と一介の修道士では雲泥の差だ。教皇庁に入れば、皇都の政策をも左右する権力が手に入る。……ふむ、「点数稼ぎ」が行き着くのは、そこか。			神学生の聖戦							
そのとおりだ。卒業時点の成績が、上位三席に含まれる者が、教皇庁入りの推薦を受けることができるという伝統なのだ。			そのとおりだ。卒業時点の成績が、上位三席に含まれる者が、教皇庁入りの推薦を受けることができるという伝統なのだ。			神学生の聖戦							
もちろん、これまでは単純に成績を測れば良かった。だが、正教の教義に疑問符がついた以上、今までのように、成績だけをもって席次を決めるわけにはいかなくなった。			もちろん、これまでは単純に成績を測れば良かった。だが、正教の教義に疑問符がついた以上、今までのように、成績だけをもって席次を決めるわけにはいかなくなった。			神学生の聖戦							
明確な指標を失い、あいまいな評価に不安を覚え、神学生たちの間に混乱が生じているというわけか……。			明確な指標を失い、あいまいな評価に不安を覚え、神学生たちの間に混乱が生じているというわけか……。			神学生の聖戦							
……そう、これこそ君たちが立ち向かう真の使命。			……そう、これこそ君たちが立ち向かう真の使命。			神学生の聖戦							
イシュガルド正教そのものが揺らいでいるからこそ、明日の正教を担う神学生たちは、団結する必要がある。			イシュガルド正教そのものが揺らいでいるからこそ、明日の正教を担う神学生たちは、団結する必要がある。			神学生の聖戦							
ゆえに君たちの真の使命とは、学内に広がる対立の鎮静化。神学生同士が衝突していては、民の心を鎮めることなど、夢のまた夢だからな……。			ゆえに君たちの真の使命とは、学内に広がる対立の鎮静化。神学生同士が衝突していては、民の心を鎮めることなど、夢のまた夢だからな……。			神学生の聖戦							
なるほど、聖アンダリム神学院は、今や外部と内部の両方から、蝕まれているというわけか。			なるほど、聖アンダリム神学院は、今や外部と内部の両方から、蝕まれているというわけか。			神学生の聖戦							
……そういうことだ。詳しくは学院長のエルヴィアヌ様から、直接、聞いてほしい。準備ができたら、「神学院の助祭」に声をかけてくれ。			……そういうことだ。詳しくは学院長のエルヴィアヌ様から、直接、聞いてほしい。準備ができたら、「神学院の助祭」に声をかけてくれ。			神学生の聖戦							
ただし、エルヴィアヌ様は前教皇の就任前から、学院長を務められている、伝統を重んじる厳格なお方だ。くれぐれも粗相のないように……。			ただし、エルヴィアヌ様は前教皇の就任前から、学院長を務められている、伝統を重んじる厳格なお方だ。くれぐれも粗相のないように……。			神学生の聖戦							
エルヴィアヌ学院長が、伝統を重んじる守旧派であれば、今の状況は、決して面白くはないだろうな……。少し鎌をかけてみるか。			エルヴィアヌ学院長が、伝統を重んじる守旧派であれば、今の状況は、決して面白くはないだろうな……。少し鎌をかけてみるか。			神学生の聖戦							
……揃われたようですね。エルヴィアヌ様は「学院長室」におられます。こちらへどうぞ。			……揃われたようですね。エルヴィアヌ様は「学院長室」におられます。こちらへどうぞ。			神学生の聖戦							
エルヴィアヌ学院長……彼らが、学院内の混乱を収拾するために召喚した、事件屋と英雄殿です。			エルヴィアヌ学院長……彼らが、学院内の混乱を収拾するために召喚した、事件屋と英雄殿です。			神学生の聖戦							
ご足労いただき感謝します。副学長の強い勧めで、お二方の力をお借りしたいと思います。			ご足労いただき感謝します。副学長の強い勧めで、お二方の力をお借りしたいと思います。			神学生の聖戦							
聖アンダリム神学院は、教皇庁を導く高位聖職者たちを、数多く輩出してきました。すなわち、神学院が教皇による統治を支えてきたということ。			聖アンダリム神学院は、教皇庁を導く高位聖職者たちを、数多く輩出してきました。すなわち、神学院が教皇による統治を支えてきたということ。			神学生の聖戦							
あえて悪意に満ちた見方をすれば……偽りの教義によって人々を戦争に動員するのを、助けたことになりましょうな。			あえて悪意に満ちた見方をすれば……偽りの教義によって人々を戦争に動員するのを、助けたことになりましょうな。			神学生の聖戦							
ええ、我らもまた、真実を知らされていなかったことなど、騙されたと怒る民の耳には届かないのでしょう。もはや理屈ではないのです……。			ええ、我らもまた、真実を知らされていなかったことなど、騙されたと怒る民の耳には届かないのでしょう。もはや理屈ではないのです……。			神学生の聖戦							
民は、怒りのもっとも簡単なはけ口として、身近にいて、力のない者を求めました。それが神学院であり、生徒たちなのです。			民は、怒りのもっとも簡単なはけ口として、身近にいて、力のない者を求めました。それが神学院であり、生徒たちなのです。			神学生の聖戦							
よって、今すべきは、民の信頼を取り戻すこと……神学院が率先して正教の立て直しに挑むことでしょう。そのためにこそ、一丸になるべきだというのに……。			よって、今すべきは、民の信頼を取り戻すこと……神学院が率先して正教の立て直しに挑むことでしょう。そのためにこそ、一丸になるべきだというのに……。			神学生の聖戦							
席次を巡る「点数稼ぎ」で、神学生の対立が激化しているようですね。			席次を巡る「点数稼ぎ」で、神学生の対立が激化しているようですね。			神学生の聖戦							
根本が揺らいだままの状況では、既存の教義だけで、授業を続けるわけにはいかない。そこで、生徒たちに奉仕活動を奨励したのだ。			根本が揺らいだままの状況では、既存の教義だけで、授業を続けるわけにはいかない。そこで、生徒たちに奉仕活動を奨励したのだ。			神学生の聖戦							
ところが、いつの間にやら卒業席次の評価に、奉仕活動が直結すると受け取られてしまいました。結果、生徒同士が徒党を組み、争いだしたのです……。			ところが、いつの間にやら卒業席次の評価に、奉仕活動が直結すると受け取られてしまいました。結果、生徒同士が徒党を組み、争いだしたのです……。			神学生の聖戦							
(-柔和そうな司祭-)確かに、授業が行えない以上、奉仕活動の成果を評価として頼らざるをえないのは事実です。しかし、この対立の進み方には、異常なものがあります。			(-柔和そうな司祭-)確かに、授業が行えない以上、奉仕活動の成果を評価として頼らざるをえないのは事実です。しかし、この対立の進み方には、異常なものがあります。			神学生の聖戦							
何者かが、裏から対立を煽っているのではないか……その疑念についても、お二方には調べていただきたいのです。くれぐれも慎重に……よろしくお願いいたしますよ。			何者かが、裏から対立を煽っているのではないか……その疑念についても、お二方には調べていただきたいのです。くれぐれも慎重に……よろしくお願いいたしますよ。			神学生の聖戦							
人を癒し導く聖職者を目指す身でありながら、不安に駆られて徒党を組むなど……実にふがいない話です。			人を癒し導く聖職者を目指す身でありながら、不安に駆られて徒党を組むなど……実にふがいない話です。			神学生の聖戦							
学内の対立を煽る者など、本当にいるのでしょうか？			学内の対立を煽る者など、本当にいるのでしょうか？			神学生の聖戦							
捜査を始める前に、まずは神学生たちの主要な顔ぶれと、力関係を把握したいところだな……。教員であるあなた方からも、少し話を聞かせてもらいたい。			捜査を始める前に、まずは神学生たちの主要な顔ぶれと、力関係を把握したいところだな……。教員であるあなた方からも、少し話を聞かせてもらいたい。			神学生の聖戦							
(-サテュールノワ-)は、はい……。私は、主に平民出身の神学生たちの指導を担当している、サテュールノワと申します。			(-サテュールノワ-)は、はい……。私は、主に平民出身の神学生たちの指導を担当している、サテュールノワと申します。			神学生の聖戦							
(-サテュールノワ-)調査をお手伝いしたいのは山々ですが……。私自身、赴任して間もないため、恥ずかしながら、神学生の詳しい関係性までは把握しきれておりません。			(-サテュールノワ-)調査をお手伝いしたいのは山々ですが……。私自身、赴任して間もないため、恥ずかしながら、神学生の詳しい関係性までは把握しきれておりません。			神学生の聖戦							
私は、貴族出身の神学生を指導して10年以上になりますが、関係を調べるなら、直接、学生に確認することをお勧めします。学友の前と教員の前では、異なる顔を見せるものですから。			私は、貴族出身の神学生を指導して10年以上になりますが、関係を調べるなら、直接、学生に確認することをお勧めします。学友の前と教員の前では、異なる顔を見せるものですから。			神学生の聖戦							
まず声をかけるなら、入学以来、首席の座にあり続け、学生寮の長も務める「アルションバダン」がいいでしょう。学内の行事などを取り仕切る、中心的な人物です。			まず声をかけるなら、入学以来、首席の座にあり続け、学生寮の長も務める「アルションバダン」がいいでしょう。学内の行事などを取り仕切る、中心的な人物です。			神学生の聖戦							
聞いたことのある名だ……確か、ゼーメル家の子息だったな。ともかく、さっそく彼を訪ねてみるとしよう。			聞いたことのある名だ……確か、ゼーメル家の子息だったな。ともかく、さっそく彼を訪ねてみるとしよう。			神学生の聖戦							
「アルションバダン」の名は、社交界で聞いたことがある。確か、ゼーメル家の子息のひとりだったはずだ。			「アルションバダン」の名は、社交界で聞いたことがある。確か、ゼーメル家の子息のひとりだったはずだ。			神学生の聖戦							
貴方が、ブリアルディアン様の助手の……？			貴方が、ブリアルディアン様の助手の……？			神学生の聖戦							
ハッ、また部外者か……。静寂であるべき正教の学び舎が、最近は騒がしくてかなわない……。			ハッ、また部外者か……。静寂であるべき正教の学び舎が、最近は騒がしくてかなわない……。			神学生の聖戦							
新たな特別顧問のForenameだ。ぼくたちは、学内の問題を解決するために招聘された。協力してもらえれば、君の望みも自ずとかなうだろう。			新たな特別顧問のForenameだ。ぼくたちは、学内の問題を解決するために招聘された。協力してもらえれば、君の望みも自ずとかなうだろう。			神学生の聖戦							
でしたら、真っ先にここに赴かれたのは的確なご判断です。寮長も務めるアルションバダン・ゼーメルが、当神学院の諸活動を実質的に指揮していますから。			でしたら、真っ先にここに赴かれたのは的確なご判断です。寮長も務めるアルションバダン・ゼーメルが、当神学院の諸活動を実質的に指揮していますから。			神学生の聖戦							
そして、私は寮長を補佐しているルブラソワールです。ゼーメル家とは、遠い親戚にあたります。			そして、私は寮長を補佐しているルブラソワールです。ゼーメル家とは、遠い親戚にあたります。			神学生の聖戦							
おや……。もしや貴方は、皇都の歴史を暴いた英雄様では？			おや……。もしや貴方は、皇都の歴史を暴いた英雄様では？			神学生の聖戦							
ハッ、余計なことをしてくれたものだ。歴史とは、勝者が記述する物語に過ぎない。理想の実現のために、真実を編集するのは真っ当な方策だ。			ハッ、余計なことをしてくれたものだ。歴史とは、勝者が記述する物語に過ぎない。理想の実現のために、真実を編集するのは真っ当な方策だ。			神学生の聖戦							
真実とやらを知り、無秩序な混乱に興じる民衆の姿を見たまえ。憐れな民衆を救う方法とは、我ら貴族が新たな教義を構築し、秩序をあたえてやるしかなかろう？			真実とやらを知り、無秩序な混乱に興じる民衆の姿を見たまえ。憐れな民衆を救う方法とは、我ら貴族が新たな教義を構築し、秩序をあたえてやるしかなかろう？			神学生の聖戦							
その第一歩が、学院内の混乱を鎮めることです。寮長は、無用な「点数争い」を防ぐため、神学生に寮長への協力を呼びかけました。			その第一歩が、学院内の混乱を鎮めることです。寮長は、無用な「点数争い」を防ぐため、神学生に寮長への協力を呼びかけました。			神学生の聖戦							
……ほう、それは興味深い。神学生の点数を寮長に集約しようというわけか。それで、神学生たちの反応は……？			……ほう、それは興味深い。神学生の点数を寮長に集約しようというわけか。それで、神学生たちの反応は……？			神学生の聖戦							
ハッ、我々の影響力をその目で確認する、いい機会があるぞ。			ハッ、我々の影響力をその目で確認する、いい機会があるぞ。			神学生の聖戦							
神学生たちには、ここ最近の騒動に心くじけ、授業に現れなくなった者に対する「復学促進運動」を指示している。この結果を発表する会を、近く開催するのだ。			神学生たちには、ここ最近の騒動に心くじけ、授業に現れなくなった者に対する「復学促進運動」を指示している。この結果を発表する会を、近く開催するのだ。			神学生の聖戦							
……では、神学生たちは、皇都各地で学友を探しているのだな？Forename……手分けして、その様子を見てみるとしよう。			……では、神学生たちは、皇都各地で学友を探しているのだな？Forename……手分けして、その様子を見てみるとしよう。			神学生の聖戦							
おお、いいところに来てくれた！			おお、いいところに来てくれた！			神学生の聖戦							
ちょっと取り込み中だから後にしてくれない？せっかくの彼とのひとときを、邪魔しないでほしいの！			ちょっと取り込み中だから後にしてくれない？せっかくの彼とのひとときを、邪魔しないでほしいの！			神学生の聖戦							
